Orthogroup	Mus_musculus	Microcebus_murinus
OG0001454	sp|Q9WV60|GSK3B_MOUSE	tr|A0A8B7HG39|A0A8B7HG39_MICMU
OG0001454	sp|Q2NL51|GSK3A_MOUSE	tr|A0A8B7FY44|A0A8B7FY44_MICMU
OG0001455	sp|Q99N08|M4A6C_MOUSE, sp|Q99N07|M4A6D_MOUSE, sp|Q99N09|M4A6B_MOUSE	tr|A0A8C5V002|A0A8C5V002_MICMU
OG0001456	sp|Q8BLY2|SYTC2_MOUSE	tr|A0A8C5XT27|A0A8C5XT27_MICMU
OG0001456	sp|Q9D0R2|SYTC_MOUSE	tr|A0A8C5XC61|A0A8C5XC61_MICMU
OG0001457	sp|Q3B7Z2|OSBP1_MOUSE	tr|A0A8C5UNS7|A0A8C5UNS7_MICMU
OG0001457	sp|Q5QNQ6|OSBP2_MOUSE	tr|A0A8C5UVG5|A0A8C5UVG5_MICMU
OG0001458	tr|A2AJW4|A2AJW4_MOUSE, sp|Q9CW07|PP13G_MOUSE, sp|Q8BRJ4|PPR3E_MOUSE	tr|A0A8C6EKM5|A0A8C6EKM5_MICMU
OG0001459	sp|Q9QYF1|RDH11_MOUSE	tr|A0A8C5Y694|A0A8C5Y694_MICMU
OG0001459	sp|Q8BYK4|RDH12_MOUSE	tr|A0A8B7HJX0|A0A8B7HJX0_MICMU
OG0001460	sp|Q504N0|CBPA2_MOUSE	tr|A0A8C6EJ75|A0A8C6EJ75_MICMU
OG0001460	sp|Q7TPZ8|CBPA1_MOUSE	tr|A0A8C5XC75|A0A8C5XC75_MICMU
OG0001461	sp|Q8K0U4|HS12A_MOUSE	tr|A0A8B7H275|A0A8B7H275_MICMU
OG0001461	sp|Q9CZJ2|HS12B_MOUSE	tr|A0A8B7FQH1|A0A8B7FQH1_MICMU
OG0001462	sp|P17427|AP2A2_MOUSE	tr|A0A8B7GPD6|A0A8B7GPD6_MICMU
OG0001462	sp|P17426|AP2A1_MOUSE	tr|A0A8C5XZB0|A0A8C5XZB0_MICMU
OG0001463	sp|Q99LG2|TNPO2_MOUSE	tr|A0A8B7I4Z3|A0A8B7I4Z3_MICMU
OG0001463	sp|Q8BFY9|TNPO1_MOUSE	tr|A0A8C5UYN0|A0A8C5UYN0_MICMU
OG0001464	sp|Q9Z0K8|VNN1_MOUSE	tr|A0A8B7ED78|A0A8B7ED78_MICMU
OG0001464	sp|Q9QZ25|VNN3_MOUSE	tr|A0A8C5URW6|A0A8C5URW6_MICMU
OG0001465	sp|Q02956|KPCZ_MOUSE	tr|A0A8C5V0S7|A0A8C5V0S7_MICMU
OG0001465	sp|Q62074|KPCI_MOUSE	tr|A0A8C5YHB8|A0A8C5YHB8_MICMU
OG0001466	sp|Q5JCT0|GCNT3_MOUSE, sp|Q09324|GCNT1_MOUSE	tr|A0A8C6EEX0|A0A8C6EEX0_MICMU, tr|A0A8C5UPC7|A0A8C5UPC7_MICMU
OG0001467	sp|O88962|CP8B1_MOUSE	tr|A0A8C6ELP2|A0A8C6ELP2_MICMU, tr|A0A8C5YI31|A0A8C5YI31_MICMU, tr|A0A8C5YGT2|A0A8C5YGT2_MICMU
OG0001468	sp|Q91V93|RHBT2_MOUSE	tr|A0A8C5UXW3|A0A8C5UXW3_MICMU
OG0001468	sp|Q9DAK3|RHBT1_MOUSE	tr|A0A8B7G812|A0A8B7G812_MICMU
OG0001469	sp|Q9CW42|MARC1_MOUSE	tr|A0A8B7ECR3|A0A8B7ECR3_MICMU
OG0001469	sp|Q922Q1|MARC2_MOUSE	tr|A0A8C5XT80|A0A8C5XT80_MICMU
OG0001470	sp|Q8BL00|CDHR3_MOUSE, tr|A0A1B0GR31|A0A1B0GR31_MOUSE, tr|D3Z1Y0|D3Z1Y0_MOUSE	tr|A0A8B7F263|A0A8B7F263_MICMU
OG0001471	sp|Q8VCV9|MF4B1_MOUSE, tr|J3QNS5|J3QNS5_MOUSE, tr|E9PYY6|E9PYY6_MOUSE	tr|A0A8C5UVL5|A0A8C5UVL5_MICMU
OG0001472	sp|Q1JRP2|TM11C_MOUSE, sp|Q14C59|TM11B_MOUSE, sp|Q8BHM9|TM11F_MOUSE	tr|A0A8B7G2Y6|A0A8B7G2Y6_MICMU
OG0001473	sp|Q8CBC6|LRRN3_MOUSE, tr|Q6PHP6|Q6PHP6_MOUSE, sp|Q61809|LRRN1_MOUSE	tr|A0A8B7FF57|A0A8B7FF57_MICMU
OG0001502	sp|Q9JHU2|PALMD_MOUSE, sp|A2TJV2|PALM3_MOUSE	tr|A0A8B7F849|A0A8B7F849_MICMU
OG0001503	tr|Q50E62|Q50E62_MOUSE, sp|Q9QXA6|BAT1_MOUSE	tr|A0A8B7H324|A0A8B7H324_MICMU
OG0001504	sp|Q9CQQ4|GEMI2_MOUSE	tr|A0A8C5XSQ4|A0A8C5XSQ4_MICMU, tr|A0A8C5UQJ4|A0A8C5UQJ4_MICMU
OG0001505	sp|P52479|UBP10_MOUSE	tr|A0A8C5Y0A9|A0A8C5Y0A9_MICMU, tr|A0A8C5UZL5|A0A8C5UZL5_MICMU
OG0001506	sp|O35324|SH21B_MOUSE, sp|Q45HK4|SH21C_MOUSE	tr|A0A8C5XAR9|A0A8C5XAR9_MICMU
OG0001507	sp|Q9R0P5|DEST_MOUSE	tr|A0A8C5Y296|A0A8C5Y296_MICMU, tr|A0A8C5VUQ9|A0A8C5VUQ9_MICMU
OG0001508	sp|Q689Z5|SBNO1_MOUSE	tr|A0A8C5URX8|A0A8C5URX8_MICMU, tr|A0A8C5Y2A0|A0A8C5Y2A0_MICMU
OG0001509	sp|Q9CXW3|CYBP_MOUSE	tr|A0A8B7GD10|A0A8B7GD10_MICMU, tr|A0A8C5W0U3|A0A8C5W0U3_MICMU
OG0001510	sp|Q9D287|SPF27_MOUSE	tr|A0A8B7HAW4|A0A8B7HAW4_MICMU, tr|A0A8C5VYE3|A0A8C5VYE3_MICMU
OG0001511	sp|P35235|PTN11_MOUSE	tr|A0A8B7HDH5|A0A8B7HDH5_MICMU, tr|A0A8C5XZK3|A0A8C5XZK3_MICMU
OG0001512	sp|Q9D864|ARP6_MOUSE	tr|A0A8C5XL94|A0A8C5XL94_MICMU, tr|A0A8B7I024|A0A8B7I024_MICMU
OG0001514	sp|Q9CR35|CTRB1_MOUSE	tr|A0A8C5V0N7|A0A8C5V0N7_MICMU, tr|A0A8C5VJ94|A0A8C5VJ94_MICMU
OG0001516	sp|P50516|VATA_MOUSE	tr|A0A8C5VNT6|A0A8C5VNT6_MICMU, tr|A0A8C5YFT5|A0A8C5YFT5_MICMU
OG0001517	sp|Q9Z0L8|GGH_MOUSE	tr|A0A8C5W2T8|A0A8C5W2T8_MICMU, tr|A0A8B7EPU4|A0A8B7EPU4_MICMU
OG0001518	sp|Q9ER00|STX12_MOUSE	tr|A0A8C5W507|A0A8C5W507_MICMU, tr|A0A8C5W500|A0A8C5W500_MICMU
OG0001519	sp|Q9CQ43|DUT_MOUSE	tr|A0A8C5W821|A0A8C5W821_MICMU, tr|A0A8C5V0F1|A0A8C5V0F1_MICMU
OG0001520	sp|P51175|PPOX_MOUSE	tr|A0A8C5UX90|A0A8C5UX90_MICMU, tr|A0A8C5WA57|A0A8C5WA57_MICMU
OG0001521	sp|P01910|HA2K_MOUSE	tr|A0A8C5Y4S6|A0A8C5Y4S6_MICMU, tr|A0A8C5UN83|A0A8C5UN83_MICMU
OG0001522	sp|Q9CR22|TMM42_MOUSE	tr|A0A8B7GRD5|A0A8B7GRD5_MICMU, tr|A0A8C5VK41|A0A8C5VK41_MICMU
OG0001523	sp|A2AKM2|HACD4_MOUSE	tr|A0A8C5V6K6|A0A8C5V6K6_MICMU, tr|A0A8B7G5P7|A0A8B7G5P7_MICMU
OG0001524	sp|Q571G4|LIN54_MOUSE	tr|A0A8C5V6N9|A0A8C5V6N9_MICMU, tr|A0A8C5V8N2|A0A8C5V8N2_MICMU
OG0001525	sp|P61600|NAA20_MOUSE	tr|A0A8C5VNH9|A0A8C5VNH9_MICMU, tr|A0A8B7FVD9|A0A8B7FVD9_MICMU
OG0001526	sp|Q9D0I8|MRT4_MOUSE	tr|A0A8C5XBN9|A0A8C5XBN9_MICMU, tr|A0A8C5W631|A0A8C5W631_MICMU
OG0001527	sp|P28656|NP1L1_MOUSE	tr|A0A8C5XFN3|A0A8C5XFN3_MICMU, tr|A0A8C5US06|A0A8C5US06_MICMU
OG0001528	sp|Q62446|FKBP3_MOUSE	tr|A0A8C5YAY1|A0A8C5YAY1_MICMU, tr|A0A8B7HNJ8|A0A8B7HNJ8_MICMU
OG0001529	tr|A0A140LIS8|A0A140LIS8_MOUSE, sp|Q9CXR1|DHRS7_MOUSE	tr|A0A8B7HV22|A0A8B7HV22_MICMU
OG0001530	sp|Q9ESX5|DKC1_MOUSE	tr|A0A8C5VBV7|A0A8C5VBV7_MICMU, tr|A0A8C5ULX1|A0A8C5ULX1_MICMU
OG0001531	sp|Q9Z1R2|BAG6_MOUSE	tr|A0A8C5UN45|A0A8C5UN45_MICMU, tr|A0A8C5W974|A0A8C5W974_MICMU
OG0001532	sp|Q6UJY2|SL9C1_MOUSE	tr|A0A8C5URS4|A0A8C5URS4_MICMU, tr|A0A8C5YGB2|A0A8C5YGB2_MICMU
OG0001533	sp|Q9D1T0|LIGO1_MOUSE, sp|Q149C3|LIGO4_MOUSE	tr|A0A8C5VLX6|A0A8C5VLX6_MICMU
OG0001534	sp|Q80WS1|RIMKB_MOUSE	tr|A0A8C5VQG1|A0A8C5VQG1_MICMU, tr|A0A8C5VPW0|A0A8C5VPW0_MICMU
OG0001535	sp|Q64512|PTN13_MOUSE	tr|A0A8C5VV67|A0A8C5VV67_MICMU, tr|A0A8C5XU73|A0A8C5XU73_MICMU
OG0001536	sp|Q01887|RYK_MOUSE	tr|A0A8C5W8U4|A0A8C5W8U4_MICMU, tr|A0A8C5YHD0|A0A8C5YHD0_MICMU
OG0001537	sp|Q505G4|RTL6_MOUSE, sp|Q5DTT4|RTL5_MOUSE	tr|A0A8C5W9I6|A0A8C5W9I6_MICMU
OG0001538	sp|Q64311|NTAN1_MOUSE	tr|A0A8C5XY83|A0A8C5XY83_MICMU, tr|A0A8B7I6D1|A0A8B7I6D1_MICMU
OG0001539	sp|Q61584|FXR1_MOUSE	tr|A0A8C5YJV3|A0A8C5YJV3_MICMU, tr|A0A8C5VYU1|A0A8C5VYU1_MICMU
OG0001540	sp|Q69ZX6|MOR2A_MOUSE, sp|Q8C5W4|MOR2B_MOUSE	tr|A0A8B7GAP9|A0A8B7GAP9_MICMU
OG0001541	sp|P18893|IL10_MOUSE	tr|A0A8C5UPN3|A0A8C5UPN3_MICMU, tr|A0A8C5Y5E0|A0A8C5Y5E0_MICMU
OG0001542	sp|P46471|PRS7_MOUSE	tr|A0A8C5VSK6|A0A8C5VSK6_MICMU, tr|A0A8C5UUH4|A0A8C5UUH4_MICMU
OG0001543	sp|Q9Z0V8|TI17A_MOUSE	tr|A0A8C5W2T5|A0A8C5W2T5_MICMU, tr|A0A8B7EWY0|A0A8B7EWY0_MICMU
OG0001544	sp|Q9WVE8|PACN2_MOUSE	tr|A0A8C5Y0Q5|A0A8C5Y0Q5_MICMU, tr|A0A8C5XFG6|A0A8C5XFG6_MICMU
OG0001545	tr|G3XA12|G3XA12_MOUSE	tr|A0A8C5YAK8|A0A8C5YAK8_MICMU, tr|A0A8C5Y1D7|A0A8C5Y1D7_MICMU
OG0001546	sp|Q9ERQ3|ZN704_MOUSE	tr|A0A8B7EN85|A0A8B7EN85_MICMU, tr|A0A8C5VQL1|A0A8C5VQL1_MICMU
OG0001547	sp|Q8CI59|STEA3_MOUSE	tr|A0A8C5VM02|A0A8C5VM02_MICMU, tr|A0A8C5YEL5|A0A8C5YEL5_MICMU
OG0001548	tr|J3QQ10|J3QQ10_MOUSE, sp|Q9D011|MPLKI_MOUSE	tr|A0A8B7FI93|A0A8B7FI93_MICMU
OG0001549	sp|P62962|PROF1_MOUSE	tr|A0A8C5UZT2|A0A8C5UZT2_MICMU, tr|A0A8B7HD97|A0A8B7HD97_MICMU
OG0001550	sp|A0A1L1SUL6|TXND6_MOUSE, sp|Q715T0|TXND3_MOUSE	tr|A0A8C5UT78|A0A8C5UT78_MICMU
OG0001551	sp|O88822|SC5D_MOUSE	tr|A0A8C5V0C5|A0A8C5V0C5_MICMU, tr|A0A8C5XW14|A0A8C5XW14_MICMU
OG0001552	sp|Q61121|GPR19_MOUSE, sp|P56479|GALR1_MOUSE	tr|A0A8C5VJW2|A0A8C5VJW2_MICMU
OG0001553	sp|O35326|SRSF5_MOUSE	tr|A0A8C5W1G1|A0A8C5W1G1_MICMU, tr|A0A8C5VYX8|A0A8C5VYX8_MICMU
OG0001554	tr|Q3UJB0|Q3UJB0_MOUSE	tr|A0A8C5VWL2|A0A8C5VWL2_MICMU, tr|A0A8C5W8W0|A0A8C5W8W0_MICMU
OG0001555	sp|Q8BJZ4|RT35_MOUSE	tr|A0A8C5XF57|A0A8C5XF57_MICMU, tr|A0A8C5YBE8|A0A8C5YBE8_MICMU
OG0001556	sp|Q9CQF4|MRES1_MOUSE	tr|A0A8C5XHT3|A0A8C5XHT3_MICMU, tr|A0A8C5UNR7|A0A8C5UNR7_MICMU
OG0001557	sp|Q8BKC8|PI4KB_MOUSE	tr|A0A8C5XES9|A0A8C5XES9_MICMU, tr|A0A8C5XJ87|A0A8C5XJ87_MICMU
OG0001558	sp|Q3TYX2|LRN4L_MOUSE, sp|P59383|LRRN4_MOUSE	tr|A0A8C5XLG8|A0A8C5XLG8_MICMU
OG0001559	sp|P46737|BRCC3_MOUSE, sp|Q7M757|BRC3L_MOUSE	tr|A0A8C5Y3F1|A0A8C5Y3F1_MICMU
OG0001560	sp|Q3UV70|PDP1_MOUSE, tr|Q504M2|Q504M2_MOUSE	tr|A0A8C6ECZ1|A0A8C6ECZ1_MICMU
OG0001561	sp|Q8BKE9|IFT74_MOUSE	tr|A0A8C6EE10|A0A8C6EE10_MICMU, tr|A0A8C5US97|A0A8C5US97_MICMU
OG0001562	sp|O55239|NNMT_MOUSE, sp|P40936|INMT_MOUSE	tr|A0A8B7F6N5|A0A8B7F6N5_MICMU
OG0001563	tr|Q8C6P5|Q8C6P5_MOUSE, sp|Q3KNI6|DAAF6_MOUSE	tr|A0A8B7FDU5|A0A8B7FDU5_MICMU
OG0001564	sp|Q9Z2C9|MTMR7_MOUSE	tr|A0A8C5XQM7|A0A8C5XQM7_MICMU, tr|A0A8B7HRE9|A0A8B7HRE9_MICMU
OG0001565	sp|Q9JJA4|WDR12_MOUSE	tr|A0A8C5Y9Q6|A0A8C5Y9Q6_MICMU, tr|A0A8C5Y294|A0A8C5Y294_MICMU
OG0001566	sp|O88597|BECN1_MOUSE, sp|P0DM65|BECN2_MOUSE	tr|A0A8B7EU34|A0A8B7EU34_MICMU
OG0001567	sp|Q99J93|IFM2_MOUSE, sp|Q9CQW9|IFM3_MOUSE	tr|A0A8B7GPX1|A0A8B7GPX1_MICMU
OG0001568	sp|Q920E5|FPPS_MOUSE	tr|A0A8C5W8M7|A0A8C5W8M7_MICMU, tr|A0A8C5UT09|A0A8C5UT09_MICMU
OG0001569	sp|Q69ZS7|HBS1L_MOUSE	tr|A0A8C5VNY4|A0A8C5VNY4_MICMU, tr|A0A8C5XS33|A0A8C5XS33_MICMU
OG0001570	sp|Q9D7S1|TMM54_MOUSE	tr|A0A8C5VXS4|A0A8C5VXS4_MICMU, tr|A0A8B7GDS3|A0A8B7GDS3_MICMU
OG0001571	sp|P01878|IGHA_MOUSE, tr|A0A0A6YXW6|A0A0A6YXW6_MOUSE	tr|A0A8C5W4F0|A0A8C5W4F0_MICMU
OG0001572	sp|Q9D8S9|BOLA1_MOUSE, sp|Q8BGS2|BOLA2_MOUSE	tr|A0A8C5XHV5|A0A8C5XHV5_MICMU
OG0001573	sp|Q80X59|TMC5B_MOUSE, sp|Q9D9D5|TMC5A_MOUSE	tr|A0A8C5XXB4|A0A8C5XXB4_MICMU
OG0001574	sp|O08608|OAZ2_MOUSE	tr|A0A8C5UT49|A0A8C5UT49_MICMU, tr|A0A8C5Y604|A0A8C5Y604_MICMU
OG0001575	sp|Q99PW4|PRPKB_MOUSE, tr|Q5U452|Q5U452_MOUSE	tr|A0A8B7ETG5|A0A8B7ETG5_MICMU
OG0001576	sp|Q8VC57|KCTD5_MOUSE	tr|A0A8B7EV65|A0A8B7EV65_MICMU, tr|A0A8B7HEB5|A0A8B7HEB5_MICMU
OG0001577	sp|P97304|RPAC2_MOUSE	tr|A0A8B7EW18|A0A8B7EW18_MICMU, tr|A0A8C5VB57|A0A8C5VB57_MICMU
OG0001578	sp|Q99NC0|VGLL1_MOUSE, sp|Q8BGW8|VGLL2_MOUSE	tr|A0A8B7FL11|A0A8B7FL11_MICMU
OG0001579	sp|P0CW70|D19L2_MOUSE, sp|A6X919|D19L1_MOUSE	tr|A0A8B7HBC2|A0A8B7HBC2_MICMU
OG0001580	sp|Q8C7V3|UTP15_MOUSE	tr|A0A8B7HP88|A0A8B7HP88_MICMU, tr|A0A8C5W5Y1|A0A8C5W5Y1_MICMU
OG0001581	sp|Q91WS7|DEPD7_MOUSE	tr|A0A8C5XBY5|A0A8C5XBY5_MICMU, tr|A0A8C5V4Q8|A0A8C5V4Q8_MICMU
OG0001582	sp|Q64727|VINC_MOUSE, tr|A2AP89|A2AP89_MOUSE	tr|A0A8C5V5Q7|A0A8C5V5Q7_MICMU
OG0001583	sp|O08663|MAP2_MOUSE	tr|A0A8B7H3I7|A0A8B7H3I7_MICMU, tr|A0A8C5VRR9|A0A8C5VRR9_MICMU
OG0001584	sp|Q5IBH7|SPDYA_MOUSE	tr|A0A8C5VYC2|A0A8C5VYC2_MICMU, tr|A0A8B7XAZ7|A0A8B7XAZ7_MICMU
OG0001585	sp|Q8BMJ2|SYLC_MOUSE	tr|A0A8C5XP32|A0A8C5XP32_MICMU, tr|A0A8C5V924|A0A8C5V924_MICMU
OG0001587	sp|Q8CCJ4|AMER2_MOUSE, sp|Q6NS69|AMER3_MOUSE	tr|A0A8C5YC54|A0A8C5YC54_MICMU
OG0001588	sp|P48432|SOX2_MOUSE, sp|P53784|SOX3_MOUSE	tr|A0A8C5YIX8|A0A8C5YIX8_MICMU
OG0001589	tr|J3QMK1|J3QMK1_MOUSE, sp|Q7TSY8|SGO2_MOUSE	tr|A0A8B7EIP8|A0A8B7EIP8_MICMU
OG0001590	sp|Q9CQF9|PCYOX_MOUSE	tr|A0A8B7FBW4|A0A8B7FBW4_MICMU, tr|A0A8C5UIA0|A0A8C5UIA0_MICMU
OG0001591	sp|P35285|RB22A_MOUSE	tr|A0A8C5XRU0|A0A8C5XRU0_MICMU, tr|A0A8B7GTB7|A0A8B7GTB7_MICMU
OG0001592	sp|Q6IRU7|CEP78_MOUSE	tr|A0A8C5UM96|A0A8C5UM96_MICMU, tr|A0A8C5XMV4|A0A8C5XMV4_MICMU
OG0001593	sp|Q9EST3|4ET_MOUSE	tr|A0A8C5XXV1|A0A8C5XXV1_MICMU, tr|A0A8C5US62|A0A8C5US62_MICMU
OG0001594	sp|Q8R349|CDC16_MOUSE	tr|A0A8C5V0H9|A0A8C5V0H9_MICMU, tr|A0A8C5Y222|A0A8C5Y222_MICMU
OG0001595	sp|Q9D8U8|SNX5_MOUSE	tr|A0A8C5VII6|A0A8C5VII6_MICMU, tr|A0A8C5VUD8|A0A8C5VUD8_MICMU
OG0001596	tr|A0A1B0GSG7|A0A1B0GSG7_MOUSE, sp|Q99PT9|KIF19_MOUSE	tr|A0A8C5XRZ1|A0A8C5XRZ1_MICMU
OG0001597	sp|Q80VL1|TDRKH_MOUSE	tr|A0A8C5Y173|A0A8C5Y173_MICMU, tr|A0A8B7GJI0|A0A8B7GJI0_MICMU
OG0001598	sp|O89051|ITM2B_MOUSE	tr|A0A8C5ULM8|A0A8C5ULM8_MICMU, tr|A0A8C5YAL9|A0A8C5YAL9_MICMU
OG0001599	sp|P08556|RASN_MOUSE	tr|A0A8B7WR35|A0A8B7WR35_MICMU, tr|A0A8C5VEZ1|A0A8C5VEZ1_MICMU
OG0001600	sp|Q61532|MK06_MOUSE	tr|A0A8C5Y4I1|A0A8C5Y4I1_MICMU, tr|A0A8C5VTX0|A0A8C5VTX0_MICMU
OG0001601	sp|Q8BHE0|PRR11_MOUSE	tr|A0A8C5W0D3|A0A8C5W0D3_MICMU, tr|A0A8C5VA55|A0A8C5VA55_MICMU
OG0001602	sp|P00493|HPRT_MOUSE	tr|A0A8B7GCU3|A0A8B7GCU3_MICMU, tr|A0A8C5W7T2|A0A8C5W7T2_MICMU
OG0001603	sp|O55242|SGMR1_MOUSE	tr|A0A8C5YCW1|A0A8C5YCW1_MICMU, tr|A0A8C5WA70|A0A8C5WA70_MICMU
OG0001604	tr|Q3U0A6|Q3U0A6_MOUSE, tr|Q8BYM1|Q8BYM1_MOUSE	tr|A0A8C5XVN1|A0A8C5XVN1_MICMU
OG0001605	sp|Q8CAE9|PDXL2_MOUSE, sp|Q9R0M4|PODXL_MOUSE	tr|A0A8C5Y866|A0A8C5Y866_MICMU
OG0001606	sp|Q9D6K7|TTC33_MOUSE	tr|A0A8C6EI42|A0A8C6EI42_MICMU, tr|A0A8B7FWA4|A0A8B7FWA4_MICMU
OG0001607	sp|P81269|ATF1_MOUSE	tr|A0A8C6EKE8|A0A8C6EKE8_MICMU, tr|A0A8B7G6Q3|A0A8B7G6Q3_MICMU
OG0001608	sp|Q8CAA7|PGM2L_MOUSE	tr|A0A8B7X509|A0A8B7X509_MICMU, tr|A0A8C5W602|A0A8C5W602_MICMU
OG0001609	sp|Q925T6|GRIP1_MOUSE, tr|G3XA20|G3XA20_MOUSE	tr|A0A8C5V4X3|A0A8C5V4X3_MICMU
OG0001610	sp|Q9D819|IPYR_MOUSE	tr|A0A8C5VUT7|A0A8C5VUT7_MICMU, tr|A0A8C5W021|A0A8C5W021_MICMU
OG0001611	sp|Q9CQZ0|ORML2_MOUSE	tr|A0A8C5XDE8|A0A8C5XDE8_MICMU, tr|A0A8C5UUG7|A0A8C5UUG7_MICMU
OG0001612	sp|P97471|SMAD4_MOUSE	tr|A0A8C6ELJ5|A0A8C6ELJ5_MICMU, tr|A0A8C5XP46|A0A8C5XP46_MICMU
OG0001613	sp|Q61166|MARE1_MOUSE	tr|A0A8C5XT40|A0A8C5XT40_MICMU, tr|A0A8C5UME3|A0A8C5UME3_MICMU
OG0001614	sp|Q8VEB2|SAV1_MOUSE	tr|A0A8C5XUV0|A0A8C5XUV0_MICMU, tr|A0A8B7FVK2|A0A8B7FVK2_MICMU
OG0001615	sp|Q8QZY1|EIF3L_MOUSE	tr|A0A8C5XR58|A0A8C5XR58_MICMU, tr|A0A8C5XWZ3|A0A8C5XWZ3_MICMU
OG0001616	tr|J3QPY3|J3QPY3_MOUSE, sp|Q9WUD8|FAIM1_MOUSE	tr|A0A8C5YG34|A0A8C5YG34_MICMU
OG0001617	sp|Q60596|XRCC1_MOUSE	tr|A0A8C5V9K1|A0A8C5V9K1_MICMU, tr|A0A8B7G3J5|A0A8B7G3J5_MICMU
OG0001618	sp|Q07105|GDF9_MOUSE, sp|Q9Z0L4|BMP15_MOUSE	tr|A0A8B7G733|A0A8B7G733_MICMU
OG0001619	sp|Q8R5H1|UBP15_MOUSE, sp|Q6K1E7|GGNB1_MOUSE	tr|A0A8B7HK33|A0A8B7HK33_MICMU
OG0001620	sp|Q3UUD2|SPRY3_MOUSE, sp|Q9QXV8|SPY2_MOUSE	tr|A0A8B7HT89|A0A8B7HT89_MICMU
OG0001621	sp|P49429|HPPD_MOUSE, sp|Q8K248|HPDL_MOUSE	tr|A0A8C5V0W8|A0A8C5V0W8_MICMU
OG0001622	sp|Q6P8Z1|MYCB_MOUSE, sp|P01108|MYC_MOUSE	tr|A0A8C5V281|A0A8C5V281_MICMU
OG0001623	sp|Q91ZA3|PCCA_MOUSE	tr|A0A8C5W8Z5|A0A8C5W8Z5_MICMU, tr|A0A8C5VFP2|A0A8C5VFP2_MICMU
OG0001624	sp|Q99N92|RM27_MOUSE	tr|A0A8C5XSR4|A0A8C5XSR4_MICMU, tr|A0A8C5YA31|A0A8C5YA31_MICMU
OG0001625	sp|Q8BLI4|DSE_MOUSE, sp|Q0VBN2|DSEL_MOUSE	tr|A0A8B7FJB7|A0A8B7FJB7_MICMU
OG0001626	sp|P97468|CML1_MOUSE, sp|Q8K087|CML2_MOUSE	tr|A0A8C5VHC9|A0A8C5VHC9_MICMU
OG0001627	sp|P46938|YAP1_MOUSE	tr|A0A8C5W6P7|A0A8C5W6P7_MICMU, tr|A0A8C5VUN4|A0A8C5VUN4_MICMU
OG0001628	sp|Q8VC34|RPAP2_MOUSE	tr|A0A8C5YC83|A0A8C5YC83_MICMU, tr|A0A8C5XG13|A0A8C5XG13_MICMU
OG0001629	sp|Q8JZM7|CDC73_MOUSE	tr|A0A8C5Y2U5|A0A8C5Y2U5_MICMU, tr|A0A8C5Y8R8|A0A8C5Y8R8_MICMU
OG0001631	sp|Q3UP87|ELNE_MOUSE	tr|A0A8B7F2G3|A0A8B7F2G3_MICMU, tr|A0A8B7F053|A0A8B7F053_MICMU
OG0001632	tr|A0A0U1RNF2|A0A0U1RNF2_MOUSE, sp|Q8BYR1|TYW4_MOUSE	tr|A0A8B7HEY0|A0A8B7HEY0_MICMU
OG0001633	sp|Q7TSN6|GP151_MOUSE, sp|O88853|GALR3_MOUSE	tr|A0A8C5XS44|A0A8C5XS44_MICMU
OG0001634	sp|Q99MQ4|ASPN_MOUSE	tr|A0A8C5VAI6|A0A8C5VAI6_MICMU, tr|A0A8C5Y487|A0A8C5Y487_MICMU
OG0001635	sp|Q9CPQ8|ATP5L_MOUSE	tr|A0A8B7H190|A0A8B7H190_MICMU, tr|A0A8C5YH05|A0A8C5YH05_MICMU
OG0001636	sp|Q8BVF2|PDCL3_MOUSE	tr|A0A8C5W331|A0A8C5W331_MICMU, tr|A0A8B7F6A7|A0A8B7F6A7_MICMU
OG0001637	sp|Q30KP3|DFB20_MOUSE	tr|A0A8C5YGB6|A0A8C5YGB6_MICMU, tr|A0A8B7WRV9|A0A8B7WRV9_MICMU
OG0001638	sp|Q3UKU1|ELL2_MOUSE	tr|A0A8C5YFC3|A0A8C5YFC3_MICMU, tr|A0A8C5UXJ8|A0A8C5UXJ8_MICMU
OG0001639	sp|Q99NI3|GT2D2_MOUSE, sp|Q8VEH5|EPMIP_MOUSE	tr|A0A8C5V252|A0A8C5V252_MICMU
OG0001640	sp|Q9JMB7|PIWL1_MOUSE	tr|A0A8C5VST7|A0A8C5VST7_MICMU, tr|A0A8C6EKY9|A0A8C6EKY9_MICMU
OG0001641	tr|Q78F42|Q78F42_MOUSE	tr|A0A8C5XV10|A0A8C5XV10_MICMU, tr|A0A8C5W0M6|A0A8C5W0M6_MICMU
OG0001642	sp|Q8BGD4|SO4C1_MOUSE	tr|A0A8C5XGK9|A0A8C5XGK9_MICMU, tr|A0A8C5XE34|A0A8C5XE34_MICMU
OG0001643	tr|A0A140LIJ0|A0A140LIJ0_MOUSE, sp|Q059Y8|DCST1_MOUSE	tr|A0A8C6EIF5|A0A8C6EIF5_MICMU
OG0001644	sp|Q8C7N7|APH1B_MOUSE, sp|Q9DCZ9|APH1C_MOUSE	tr|A0A8B7FXL4|A0A8B7FXL4_MICMU
OG0001645	sp|Q66JZ4|TCAIM_MOUSE	tr|A0A8B7GRG3|A0A8B7GRG3_MICMU, tr|A0A8C5YB53|A0A8C5YB53_MICMU
OG0001646	sp|Q8R310|TMCC3_MOUSE, tr|B1AYN9|B1AYN9_MOUSE	tr|A0A8B7H3A6|A0A8B7H3A6_MICMU
