Orthogroup	Mus_musculus	Jaculus_jaculus
OG0000607	sp|Q8R4R6|NUP35_MOUSE	tr|A0A8C5K3H1|A0A8C5K3H1_JACJA, tr|A0A8C5P0F8|A0A8C5P0F8_JACJA, tr|A0A8C5K082|A0A8C5K082_JACJA, tr|A0A8C5KTP1|A0A8C5KTP1_JACJA
OG0000608	sp|Q8BRK8|AAPK2_MOUSE	tr|A0A8C5KV37|A0A8C5KV37_JACJA
OG0000608	sp|Q61846|MELK_MOUSE, sp|Q5EG47|AAPK1_MOUSE	tr|A0A8C5L894|A0A8C5L894_JACJA
OG0000609	sp|P47962|RL5_MOUSE	tr|A0A8C5L6M7|A0A8C5L6M7_JACJA, tr|A0A8C5NWS6|A0A8C5NWS6_JACJA, tr|A0A8C5LF80|A0A8C5LF80_JACJA, tr|A0A8C5LC68|A0A8C5LC68_JACJA
OG0000610	sp|P35979|RL12_MOUSE	tr|A0A8C5KD43|A0A8C5KD43_JACJA, tr|A0A8C5LG98|A0A8C5LG98_JACJA, tr|A0A8C5JVC6|A0A8C5JVC6_JACJA, tr|A0A8C5JWA6|A0A8C5JWA6_JACJA
OG0000611	sp|Q8BLI0|ATL1_MOUSE	tr|A0A8C5KSK9|A0A8C5KSK9_JACJA
OG0000611	tr|G3UXC7|G3UXC7_MOUSE	tr|A0A8C5KMX1|A0A8C5KMX1_JACJA, tr|A0A8C5K059|A0A8C5K059_JACJA
OG0000612	sp|P08101|FCGR2_MOUSE	tr|A0A8C5LD61|A0A8C5LD61_JACJA
OG0000612	sp|P08508|FCGR3_MOUSE, sp|P26151|FCGR1_MOUSE	tr|A0A8C5L3A6|A0A8C5L3A6_JACJA
OG0000613	sp|Q9CQS4|S2546_MOUSE	tr|A0A8C5P2E4|A0A8C5P2E4_JACJA, tr|A0A8C5L7H3|A0A8C5L7H3_JACJA, tr|A0A8C5L3A8|A0A8C5L3A8_JACJA, tr|A0A8C5KQN6|A0A8C5KQN6_JACJA
OG0000614	sp|Q61001|LAMA5_MOUSE	tr|A0A8C5KKY7|A0A8C5KKY7_JACJA
OG0000614	sp|Q61789|LAMA3_MOUSE	tr|A0A8C5P1M6|A0A8C5P1M6_JACJA, tr|A0A8C5NVV6|A0A8C5NVV6_JACJA
OG0000615	tr|A0A1L1STQ7|A0A1L1STQ7_MOUSE, tr|Q3UV66|Q3UV66_MOUSE, tr|Q9Z0I6|Q9Z0I6_MOUSE, tr|Q9Z0I7|Q9Z0I7_MOUSE	tr|A0A8C5LMK9|A0A8C5LMK9_JACJA
OG0000616	sp|Q8C8C1|RTP1_MOUSE	tr|A0A8C5K3K9|A0A8C5K3K9_JACJA
OG0000616	sp|Q80ZI2|RTP2_MOUSE	tr|A0A8C5NY69|A0A8C5NY69_JACJA, tr|A0A8C5NWP2|A0A8C5NWP2_JACJA
OG0000618	sp|Q8BP67|RL24_MOUSE	tr|A0A8C5KUD0|A0A8C5KUD0_JACJA, tr|A0A8C5LES8|A0A8C5LES8_JACJA, tr|A0A8C5KFJ1|A0A8C5KFJ1_JACJA, tr|A0A8C5K619|A0A8C5K619_JACJA
OG0000619	tr|E9Q422|E9Q422_MOUSE, tr|Q6NSQ5|Q6NSQ5_MOUSE, tr|Q8C898|Q8C898_MOUSE, sp|Q8BVK9|SP110_MOUSE	tr|A0A8C5L2R2|A0A8C5L2R2_JACJA
OG0000620	sp|P50580|PA2G4_MOUSE	tr|A0A8C5LKY4|A0A8C5LKY4_JACJA, tr|A0A8C5KN73|A0A8C5KN73_JACJA, tr|A0A8C5NZG3|A0A8C5NZG3_JACJA, tr|A0A8C5L4J1|A0A8C5L4J1_JACJA
OG0000621	sp|P97353|SEC1_MOUSE	tr|A0A8C5KV28|A0A8C5KV28_JACJA
OG0000621	sp|O09160|FUT1_MOUSE, sp|Q9JL27|FUT2_MOUSE	tr|A0A8C5KE08|A0A8C5KE08_JACJA
OG0000622	sp|Q9JKW0|AR6P1_MOUSE	tr|A0A8C5KU44|A0A8C5KU44_JACJA, tr|A0A8C5LGB1|A0A8C5LGB1_JACJA, tr|A0A8C5KEW1|A0A8C5KEW1_JACJA, tr|A0A8C5L4P5|A0A8C5L4P5_JACJA
OG0000623	sp|Q9ESN2|TRI39_MOUSE, tr|Q8JZK6|Q8JZK6_MOUSE, sp|Q8VI40|TRI60_MOUSE, sp|Q3UWZ0|TRI75_MOUSE	tr|A0A8C5L872|A0A8C5L872_JACJA
OG0000624	sp|P62342|SELT_MOUSE	tr|A0A8C5P2G8|A0A8C5P2G8_JACJA, tr|A0A8C5L9Z0|A0A8C5L9Z0_JACJA, tr|A0A8C5L160|A0A8C5L160_JACJA, tr|A0A8C5KMK9|A0A8C5KMK9_JACJA
OG0000625	sp|Q9CZ96|ZCRB1_MOUSE	tr|A0A8C5LAG9|A0A8C5LAG9_JACJA, tr|A0A8C5L8Y8|A0A8C5L8Y8_JACJA, tr|A0A8C5NXQ5|A0A8C5NXQ5_JACJA, tr|A0A8C5LFD7|A0A8C5LFD7_JACJA
OG0000626	sp|Q8VEE0|RPE_MOUSE	tr|A0A8C5KC85|A0A8C5KC85_JACJA, tr|A0A8C5KP44|A0A8C5KP44_JACJA, tr|A0A8C5KMU4|A0A8C5KMU4_JACJA, tr|A0A8C5NVY1|A0A8C5NVY1_JACJA
OG0000627	sp|Q9Z1N5|DX39B_MOUSE	tr|A0A8C5K153|A0A8C5K153_JACJA
OG0000627	sp|Q8VDW0|DX39A_MOUSE	tr|A0A8C5JYI5|A0A8C5JYI5_JACJA, tr|A0A8C5KZB1|A0A8C5KZB1_JACJA
OG0000628	sp|P97772|GRM1_MOUSE	tr|A0A8C5L1Z0|A0A8C5L1Z0_JACJA
OG0000628	sp|Q3UVX5|GRM5_MOUSE	tr|A0A8C5NUV7|A0A8C5NUV7_JACJA, tr|A0A8C5LKR7|A0A8C5LKR7_JACJA
OG0000630	sp|Q91VK1|5MP1_MOUSE	tr|A0A8C5KQ69|A0A8C5KQ69_JACJA
OG0000630	sp|Q9CQC6|5MP2_MOUSE	tr|A0A8C5KDA8|A0A8C5KDA8_JACJA, tr|A0A8C5LBX8|A0A8C5LBX8_JACJA
OG0000631	sp|Q91YS8|KCC1A_MOUSE	tr|A0A8C5LN39|A0A8C5LN39_JACJA
OG0000631	sp|Q3UHL1|CAMKV_MOUSE, sp|Q8BW96|KCC1D_MOUSE	tr|A0A8C5KA36|A0A8C5KA36_JACJA
OG0000632	sp|P62700|YPEL5_MOUSE	tr|A0A8C5K704|A0A8C5K704_JACJA, tr|A0A8C5JWZ9|A0A8C5JWZ9_JACJA, tr|A0A8C5LKB4|A0A8C5LKB4_JACJA, tr|A0A8C5P4Q3|A0A8C5P4Q3_JACJA
OG0000633	sp|P83882|RL36A_MOUSE	tr|A0A8C5K449|A0A8C5K449_JACJA, tr|A0A8C5KIR3|A0A8C5KIR3_JACJA, tr|A0A8C5KFF9|A0A8C5KFF9_JACJA, tr|A0A8C5KCI3|A0A8C5KCI3_JACJA
OG0000634	tr|Q6UKZ0|Q6UKZ0_MOUSE, tr|A2RSF9|A2RSF9_MOUSE, tr|Q9D1Q5|Q9D1Q5_MOUSE, tr|G3X9V8|G3X9V8_MOUSE	tr|A0A8C5KHJ7|A0A8C5KHJ7_JACJA
OG0000635	sp|Q91VJ4|STK38_MOUSE	tr|A0A8C5KUC0|A0A8C5KUC0_JACJA
OG0000635	sp|Q7TSE6|ST38L_MOUSE	tr|A0A8C5L106|A0A8C5L106_JACJA, tr|A0A8C5KFJ6|A0A8C5KFJ6_JACJA
OG0000636	sp|Q80Y98|DDHD2_MOUSE	tr|A0A8C5NWP3|A0A8C5NWP3_JACJA
OG0000636	sp|Q6NZC7|S23IP_MOUSE	tr|A0A8C5KN17|A0A8C5KN17_JACJA, tr|A0A8C5L975|A0A8C5L975_JACJA
OG0000637	sp|Q62210|BIRC2_MOUSE	tr|A0A8C5KT57|A0A8C5KT57_JACJA, tr|A0A8C5LB72|A0A8C5LB72_JACJA
OG0000637	sp|O08863|BIRC3_MOUSE	tr|A0A8C5LAB2|A0A8C5LAB2_JACJA
OG0000638	sp|P00329|ADH1_MOUSE, sp|Q64437|ADH7_MOUSE, tr|A0A1D5RMB0|A0A1D5RMB0_MOUSE, tr|E9Q5Z6|E9Q5Z6_MOUSE	tr|A0A8C5LH64|A0A8C5LH64_JACJA
OG0000639	sp|Q6P8K8|CBPA4_MOUSE, sp|Q504N0|CBPA2_MOUSE, sp|Q7TPZ8|CBPA1_MOUSE, sp|Q8R4H4|CBPA5_MOUSE	tr|A0A8C5NU08|A0A8C5NU08_JACJA
OG0000640	sp|Q9DB27|MCTS1_MOUSE	tr|A0A8C5JXX4|A0A8C5JXX4_JACJA
OG0000640	sp|Q9CQ21|MCTS2_MOUSE, sp|Q61211|EIF2D_MOUSE	tr|A0A8C5KQD3|A0A8C5KQD3_JACJA
OG0000641	sp|Q91X34|BAAT_MOUSE	tr|A0A8C5KPK8|A0A8C5KPK8_JACJA
OG0000641	sp|Q8BGG9|ACNT2_MOUSE, sp|A2AKK5|ACNT1_MOUSE	tr|A0A8C5LHK4|A0A8C5LHK4_JACJA
OG0000642	sp|Q99MJ9|DDX50_MOUSE	tr|A0A8C5L505|A0A8C5L505_JACJA, tr|A0A8C5LL30|A0A8C5LL30_JACJA
OG0000642	sp|Q9JIK5|DDX21_MOUSE	tr|A0A8C5NYV3|A0A8C5NYV3_JACJA
OG0000643	sp|O88485|DC1I1_MOUSE	tr|A0A8C5NVQ0|A0A8C5NVQ0_JACJA
OG0000643	sp|Q8C761|DC2I1_MOUSE, sp|O88487|DC1I2_MOUSE	tr|A0A8C5LFG3|A0A8C5LFG3_JACJA
OG0000644	sp|Q61247|A2AP_MOUSE, sp|Q5SV42|ILEUC_MOUSE, sp|Q8VHP7|ILEUB_MOUSE, sp|Q9D154|ILEUA_MOUSE	tr|A0A8C5KB39|A0A8C5KB39_JACJA
OG0000645	sp|Q7M6Y3|PICAL_MOUSE	tr|A0A8C5JWQ2|A0A8C5JWQ2_JACJA
OG0000645	sp|Q61548|AP180_MOUSE	tr|A0A8C5JUW2|A0A8C5JUW2_JACJA, tr|A0A8C5L7J5|A0A8C5L7J5_JACJA
OG0000646	sp|Q91VM9|IPYR2_MOUSE	tr|A0A8C5NUI1|A0A8C5NUI1_JACJA
OG0000646	sp|Q9D819|IPYR_MOUSE	tr|A0A8C5LD35|A0A8C5LD35_JACJA, tr|A0A8C5JU54|A0A8C5JU54_JACJA
OG0000647	sp|Q9R0Q6|ARC1A_MOUSE	tr|A0A8C5KAU1|A0A8C5KAU1_JACJA, tr|A0A8C5P2Y5|A0A8C5P2Y5_JACJA, tr|A0A8C5LMU7|A0A8C5LMU7_JACJA, tr|A0A8C5L300|A0A8C5L300_JACJA
OG0000648	tr|Q8BVT7|Q8BVT7_MOUSE, tr|B1AXN3|B1AXN3_MOUSE	tr|A0A8C5KGY0|A0A8C5KGY0_JACJA
OG0000648	sp|Q8VDJ3|VIGLN_MOUSE	tr|A0A8C5JXN7|A0A8C5JXN7_JACJA
OG0000649	tr|F6YNI8|F6YNI8_MOUSE	tr|A0A8C5LE99|A0A8C5LE99_JACJA, tr|A0A8C5KS11|A0A8C5KS11_JACJA, tr|A0A8C5P3W9|A0A8C5P3W9_JACJA, tr|A0A8C5KFZ0|A0A8C5KFZ0_JACJA
OG0000650	sp|Q91WK5|GCSH_MOUSE	tr|A0A8C5LB56|A0A8C5LB56_JACJA, tr|A0A8C5KTV5|A0A8C5KTV5_JACJA, tr|A0A8C5LD78|A0A8C5LD78_JACJA, tr|A0A8C5NZE6|A0A8C5NZE6_JACJA
OG0000651	sp|G5E8P1|BRD1_MOUSE	tr|A0A8C5P4J3|A0A8C5P4J3_JACJA
OG0000651	sp|B2KF05|BRPF3_MOUSE	tr|A0A8C5KZL3|A0A8C5KZL3_JACJA, tr|A0A8C5JXY5|A0A8C5JXY5_JACJA
OG0000652	sp|Q6DFY8|BRNP2_MOUSE	tr|A0A8C5KQJ2|A0A8C5KQJ2_JACJA
OG0000652	sp|Q920P3|BRNP1_MOUSE, sp|Q499E0|BRNP3_MOUSE	tr|A0A8C5KIN3|A0A8C5KIN3_JACJA
OG0000653	sp|O70310|NMT1_MOUSE	tr|A0A8C5P265|A0A8C5P265_JACJA
OG0000653	sp|O70311|NMT2_MOUSE	tr|A0A8C5KWU4|A0A8C5KWU4_JACJA, tr|A0A8C5L7V2|A0A8C5L7V2_JACJA
OG0000654	sp|Q8R107|PRLD1_MOUSE	tr|A0A8C5KA06|A0A8C5KA06_JACJA, tr|A0A8C5KDS1|A0A8C5KDS1_JACJA, tr|A0A8C5LGY4|A0A8C5LGY4_JACJA, tr|A0A8C5KLH4|A0A8C5KLH4_JACJA
OG0000655	sp|P35831|PTN12_MOUSE	tr|A0A8C5LDT8|A0A8C5LDT8_JACJA
OG0000655	sp|Q61152|PTN18_MOUSE, sp|P29352|PTN22_MOUSE	tr|A0A8C5NYI8|A0A8C5NYI8_JACJA
OG0000656	sp|P55014|S12A1_MOUSE	tr|A0A8C5NW66|A0A8C5NW66_JACJA
OG0000656	sp|Q8VI23|S12A8_MOUSE, sp|P55012|S12A2_MOUSE	tr|A0A8C5KZN2|A0A8C5KZN2_JACJA
OG0000657	sp|Q8K2H1|PPHLN_MOUSE	tr|A0A8C5KHS0|A0A8C5KHS0_JACJA, tr|A0A8C5L697|A0A8C5L697_JACJA
OG0000657	tr|Q9CZ70|Q9CZ70_MOUSE	tr|A0A8C5KPM4|A0A8C5KPM4_JACJA
OG0000658	sp|P33173|KIF1A_MOUSE	tr|A0A8C5P259|A0A8C5P259_JACJA
OG0000658	sp|L0N7N1|KIF14_MOUSE, sp|Q60575|KIF1B_MOUSE	tr|A0A8C5KXE6|A0A8C5KXE6_JACJA
OG0000659	sp|Q9R078|AAKB1_MOUSE	tr|A0A8C5KVR1|A0A8C5KVR1_JACJA
OG0000659	sp|Q6PAM0|AAKB2_MOUSE	tr|A0A8C5NUW3|A0A8C5NUW3_JACJA, tr|A0A8C5LHC2|A0A8C5LHC2_JACJA
OG0000660	sp|P47774|CCR7_MOUSE, sp|Q9EQ16|CXCR6_MOUSE, sp|O54689|CCR6_MOUSE, sp|Q9WUT7|CCR9_MOUSE	tr|A0A8C5K2P9|A0A8C5K2P9_JACJA
OG0000661	sp|P31938|MP2K1_MOUSE	tr|A0A8C5L7Z6|A0A8C5L7Z6_JACJA
OG0000661	sp|Q63932|MP2K2_MOUSE	tr|A0A8C5KVI6|A0A8C5KVI6_JACJA, tr|A0A8C5KRG5|A0A8C5KRG5_JACJA
OG0000662	sp|Q80XI4|PI42B_MOUSE	tr|A0A8C5LEQ7|A0A8C5LEQ7_JACJA
OG0000662	sp|Q91XU3|PI42C_MOUSE, sp|O70172|PI42A_MOUSE	tr|A0A8C5KZE6|A0A8C5KZE6_JACJA
OG0000663	sp|Q8BLG2|LPAR4_MOUSE, sp|Q9ES90|GPR35_MOUSE, sp|Q3UJF0|GPR55_MOUSE, tr|Q3UQH6|Q3UQH6_MOUSE	tr|A0A8C5NZ57|A0A8C5NZ57_JACJA
OG0000664	sp|A2AGH6|MED12_MOUSE	tr|A0A8C5K9N0|A0A8C5K9N0_JACJA
OG0000664	sp|Q8BQM9|MD12L_MOUSE	tr|A0A8C5JW60|A0A8C5JW60_JACJA, tr|A0A8C5KD71|A0A8C5KD71_JACJA
OG0000665	sp|Q3UHE1|PITM3_MOUSE	tr|A0A8C5P3E6|A0A8C5P3E6_JACJA
OG0000665	sp|O35954|PITM1_MOUSE, sp|Q6ZPQ6|PITM2_MOUSE	tr|A0A8C5L6B1|A0A8C5L6B1_JACJA
OG0000666	sp|Q9QY36|NAA10_MOUSE	tr|A0A8C5KH73|A0A8C5KH73_JACJA, tr|A0A8C5LBQ1|A0A8C5LBQ1_JACJA, tr|A0A8C5L5S6|A0A8C5L5S6_JACJA, tr|A0A8C5LKR3|A0A8C5LKR3_JACJA
OG0000667	sp|P48193|EPB41_MOUSE	tr|A0A8C5KRJ2|A0A8C5KRJ2_JACJA
OG0000667	sp|O70318|E41L2_MOUSE	tr|A0A8C5L7E9|A0A8C5L7E9_JACJA, tr|A0A8C5K865|A0A8C5K865_JACJA
OG0000668	sp|P61255|RL26_MOUSE	tr|A0A8C5LFA4|A0A8C5LFA4_JACJA, tr|A0A8C5JWV2|A0A8C5JWV2_JACJA, tr|A0A8C5K957|A0A8C5K957_JACJA, tr|A0A8C5NY38|A0A8C5NY38_JACJA
OG0000669	sp|Q7TMK9|HNRPQ_MOUSE	tr|A0A8C5P3K0|A0A8C5P3K0_JACJA, tr|A0A8C5KM07|A0A8C5KM07_JACJA
OG0000669	tr|Q8VHM5|Q8VHM5_MOUSE	tr|A0A8C5KYW3|A0A8C5KYW3_JACJA
OG0000670	sp|P11157|RIR2_MOUSE	tr|A0A8C5KXX5|A0A8C5KXX5_JACJA, tr|A0A8C5KIV8|A0A8C5KIV8_JACJA
OG0000670	sp|Q6PEE3|RIR2B_MOUSE	tr|A0A8C5KS03|A0A8C5KS03_JACJA
OG0000671	sp|Q6GYP7|RGPA1_MOUSE	tr|A0A8C5KPV6|A0A8C5KPV6_JACJA
OG0000671	sp|A3KGS3|RGPA2_MOUSE	tr|A0A8C5L8W6|A0A8C5L8W6_JACJA, tr|A0A8C5P3Q7|A0A8C5P3Q7_JACJA
OG0000672	sp|P51881|ADT2_MOUSE	tr|A0A8C5K686|A0A8C5K686_JACJA, tr|A0A8C5L9I8|A0A8C5L9I8_JACJA
OG0000672	sp|P48962|ADT1_MOUSE	tr|A0A8C5NU41|A0A8C5NU41_JACJA
OG0000673	sp|Q9D3E6|STAG1_MOUSE	tr|A0A8C5KD39|A0A8C5KD39_JACJA
OG0000673	sp|O35638|STAG2_MOUSE	tr|A0A8C5KEM4|A0A8C5KEM4_JACJA, tr|A0A8C5L2F3|A0A8C5L2F3_JACJA
OG0000674	sp|Q91W59|RBMS1_MOUSE	tr|A0A8C5KPV9|A0A8C5KPV9_JACJA
OG0000674	sp|Q8VC70|RBMS2_MOUSE	tr|A0A8C5P075|A0A8C5P075_JACJA, tr|A0A8C5KRY3|A0A8C5KRY3_JACJA
OG0000676	sp|Q99NB5|GSDMC_MOUSE, sp|Q3TR54|GSDC4_MOUSE, sp|Q2KHK6|GSDC2_MOUSE, sp|Q8CB12|GSDC3_MOUSE	tr|A0A8C5LIP4|A0A8C5LIP4_JACJA
OG0000677	tr|F8VQM5|F8VQM5_MOUSE	tr|A0A8C5KHT8|A0A8C5KHT8_JACJA
OG0000677	tr|A0A571BDS5|A0A571BDS5_MOUSE, tr|A0A571BF69|A0A571BF69_MOUSE	tr|A0A8C5KXA4|A0A8C5KXA4_JACJA
OG0000678	sp|P05132|KAPCA_MOUSE	tr|A0A8C5P3W5|A0A8C5P3W5_JACJA
OG0000678	sp|Q922R0|PRKX_MOUSE, sp|P68181|KAPCB_MOUSE	tr|A0A8C5NXS8|A0A8C5NXS8_JACJA
OG0000679	sp|Q60969|STYX_MOUSE	tr|A0A8C5KE49|A0A8C5KE49_JACJA, tr|A0A8C5K906|A0A8C5K906_JACJA, tr|A0A8C5K1S3|A0A8C5K1S3_JACJA, tr|A0A8C5KTB6|A0A8C5KTB6_JACJA
OG0000680	sp|Q9DCY0|KEG1_MOUSE	tr|A0A8C5LA56|A0A8C5LA56_JACJA
OG0000680	sp|Q5FW57|GLYAL_MOUSE, sp|Q91XE0|GLYAT_MOUSE	tr|A0A8C5L298|A0A8C5L298_JACJA
OG0000681	sp|Q91YI4|ARRB2_MOUSE	tr|A0A8C5L2F1|A0A8C5L2F1_JACJA
OG0000681	sp|Q9EQP6|ARRC_MOUSE, sp|Q8BWG8|ARRB1_MOUSE	tr|A0A8C5JZ78|A0A8C5JZ78_JACJA
OG0000682	sp|O08709|PRDX6_MOUSE, tr|Q8BG37|Q8BG37_MOUSE	tr|A0A8C5KI51|A0A8C5KI51_JACJA, tr|A0A8C5L9G8|A0A8C5L9G8_JACJA, tr|A0A8C5L6D1|A0A8C5L6D1_JACJA
OG0000683	sp|Q99JR1|SFXN1_MOUSE	tr|A0A8C5KAK9|A0A8C5KAK9_JACJA, tr|A0A8C5KDY4|A0A8C5KDY4_JACJA
OG0000683	sp|Q91V61|SFXN3_MOUSE	tr|A0A8C5KT44|A0A8C5KT44_JACJA
OG0000684	sp|Q8C0I4|EPC2_MOUSE	tr|A0A8C5LKM4|A0A8C5LKM4_JACJA
OG0000684	sp|Q8C9X6|EPC1_MOUSE	tr|A0A8C5NYW2|A0A8C5NYW2_JACJA, tr|A0A8C5KMU1|A0A8C5KMU1_JACJA
OG0000685	sp|Q91WA9|ABCG4_MOUSE	tr|A0A8C5P237|A0A8C5P237_JACJA
OG0000685	sp|P61222|ABCE1_MOUSE, sp|Q64343|ABCG1_MOUSE	tr|A0A8C5K849|A0A8C5K849_JACJA
OG0000686	sp|Q9QZ73|DCNL1_MOUSE, tr|A0A1Y7VP24|A0A1Y7VP24_MOUSE	tr|A0A8C5L5M4|A0A8C5L5M4_JACJA
OG0000686	sp|Q8BZJ7|DCNL2_MOUSE	tr|A0A8C5LF92|A0A8C5LF92_JACJA
OG0000687	sp|Q9JJ00|PLS1_MOUSE, sp|Q9DCW2|PLS2_MOUSE	tr|A0A8C5L979|A0A8C5L979_JACJA, tr|A0A8C5L5W8|A0A8C5L5W8_JACJA, tr|A0A8C5L6E7|A0A8C5L6E7_JACJA
OG0000688	sp|Q50L42|PA24E_MOUSE, sp|Q50L41|PA24F_MOUSE, sp|Q50L43|PA24D_MOUSE, sp|P0C871|PA24B_MOUSE	tr|A0A8C5K9F3|A0A8C5K9F3_JACJA
OG0000689	sp|Q61241|TSSK1_MOUSE	tr|A0A8C5KH65|A0A8C5KH65_JACJA
OG0000689	sp|Q8C1R0|TSSK5_MOUSE, sp|O54863|TSSK2_MOUSE	tr|A0A8C5KGP5|A0A8C5KGP5_JACJA
OG0000690	sp|Q5SWP3|NACAD_MOUSE	tr|A0A8C5LEX6|A0A8C5LEX6_JACJA
OG0000690	sp|P70670|NACAM_MOUSE	tr|A0A8C5LAH2|A0A8C5LAH2_JACJA, tr|A0A8C5KU52|A0A8C5KU52_JACJA
OG0000691	sp|Q8VDF3|DAPK2_MOUSE	tr|A0A8C5KXU1|A0A8C5KXU1_JACJA
OG0000691	sp|Q6PDN3|MYLK_MOUSE, sp|O54784|DAPK3_MOUSE	tr|A0A8C5NU20|A0A8C5NU20_JACJA
OG0000692	sp|O08640|KRA14_MOUSE, tr|A0A338P708|A0A338P708_MOUSE, tr|Q8K198|Q8K198_MOUSE, tr|Q9D6S9|Q9D6S9_MOUSE	tr|A0A8C5P3N3|A0A8C5P3N3_JACJA
OG0000693	sp|P62911|RL32_MOUSE	tr|A0A8C5KBV2|A0A8C5KBV2_JACJA, tr|A0A8C5JWC5|A0A8C5JWC5_JACJA, tr|A0A8C5K504|A0A8C5K504_JACJA, tr|A0A8C5KNB4|A0A8C5KNB4_JACJA
OG0000694	sp|Q61704|ITIH3_MOUSE	tr|A0A8C5K011|A0A8C5K011_JACJA
OG0000694	sp|A6X935|ITIH4_MOUSE, sp|Q61702|ITIH1_MOUSE	tr|A0A8C5L2Q3|A0A8C5L2Q3_JACJA
OG0000695	sp|Q6P4U0|THS7B_MOUSE	tr|A0A8C5KSE7|A0A8C5KSE7_JACJA
OG0000695	sp|Q3UPR9|SBSPO_MOUSE, sp|Q69ZU6|THS7A_MOUSE	tr|A0A8C5KJS1|A0A8C5KJS1_JACJA
OG0000696	sp|Q8CEG8|UBP27_MOUSE	tr|A0A8C5KXY8|A0A8C5KXY8_JACJA
OG0000696	sp|B1AY15|UBP51_MOUSE, sp|Q5DU02|UBP22_MOUSE	tr|A0A8C5L7I5|A0A8C5L7I5_JACJA
OG0000697	sp|Q9JJN2|ZFHX4_MOUSE	tr|A0A8C5LI14|A0A8C5LI14_JACJA
OG0000697	sp|Q2MHN3|ZFHX2_MOUSE, sp|Q61329|ZFHX3_MOUSE	tr|A0A8C5NVF7|A0A8C5NVF7_JACJA
OG0000698	sp|Q9Z191|EYA4_MOUSE	tr|A0A8C5KGQ5|A0A8C5KGQ5_JACJA
OG0000698	sp|O08575|EYA2_MOUSE, sp|P97767|EYA1_MOUSE	tr|A0A8C5LG06|A0A8C5LG06_JACJA
OG0000699	tr|E9PV04|E9PV04_MOUSE, tr|A0A0N4SVP8|A0A0N4SVP8_MOUSE, sp|Q91VC3|IF4A3_MOUSE	tr|A0A8C5KW99|A0A8C5KW99_JACJA, tr|A0A8C5KNJ5|A0A8C5KNJ5_JACJA
OG0000700	sp|P12382|PFKAL_MOUSE	tr|A0A8C5L4R7|A0A8C5L4R7_JACJA
OG0000700	sp|Q9WUA3|PFKAP_MOUSE, sp|P47857|PFKAM_MOUSE	tr|A0A8C5L8C9|A0A8C5L8C9_JACJA
OG0000701	sp|P62984|RL40_MOUSE	tr|A0A8C5JZN4|A0A8C5JZN4_JACJA
OG0000701	tr|A0A0A6YW67|A0A0A6YW67_MOUSE, sp|P63072|UBD_MOUSE	tr|A0A8C5K5M4|A0A8C5K5M4_JACJA
OG0000702	tr|Q8VFP2|Q8VFP2_MOUSE, tr|Q8VFE7|Q8VFE7_MOUSE, tr|Q8VFP0|Q8VFP0_MOUSE, tr|Q8VFN6|Q8VFN6_MOUSE	tr|A0A8C5K612|A0A8C5K612_JACJA
OG0000703	sp|Q60972|RBBP4_MOUSE	tr|A0A8C5KRW8|A0A8C5KRW8_JACJA
OG0000703	sp|Q60973|RBBP7_MOUSE	tr|A0A8C5KH39|A0A8C5KH39_JACJA, tr|A0A8C5KQM5|A0A8C5KQM5_JACJA
OG0000704	sp|Q91XQ6|LAP4B_MOUSE	tr|A0A8C5LIE2|A0A8C5LIE2_JACJA, tr|A0A8C5K6Q9|A0A8C5K6Q9_JACJA, tr|A0A8C5KR00|A0A8C5KR00_JACJA, tr|A0A8C5KKY3|A0A8C5KKY3_JACJA
OG0000705	sp|Q9Z2W1|STK25_MOUSE	tr|A0A8C5JX65|A0A8C5JX65_JACJA
OG0000705	sp|Q99KH8|STK24_MOUSE	tr|A0A8C5K0F5|A0A8C5K0F5_JACJA, tr|A0A8C5NX30|A0A8C5NX30_JACJA
OG0000706	tr|Q9JLQ4|Q9JLQ4_MOUSE, sp|B2RRF6|Z518A_MOUSE, sp|B2RRE4|Z518B_MOUSE, tr|Q925T4|Q925T4_MOUSE	tr|A0A8C5K1R7|A0A8C5K1R7_JACJA
OG0000707	sp|P06801|MAOX_MOUSE	tr|A0A8C5LDZ7|A0A8C5LDZ7_JACJA
OG0000707	sp|Q99KE1|MAOM_MOUSE, sp|Q8BMF3|MAON_MOUSE	tr|A0A8C5LGF8|A0A8C5LGF8_JACJA
OG0000708	tr|D3Z0W3|D3Z0W3_MOUSE	tr|A0A8C5LI42|A0A8C5LI42_JACJA
OG0000708	sp|P70338|GFI1_MOUSE, sp|O70237|GFI1B_MOUSE	tr|A0A8C5KTA6|A0A8C5KTA6_JACJA
OG0000709	sp|Q91WG5|AAKG2_MOUSE	tr|A0A8C5K4M6|A0A8C5K4M6_JACJA
OG0000709	sp|Q8BGM7|AAKG3_MOUSE, sp|O54950|AAKG1_MOUSE	tr|A0A8C5LBV5|A0A8C5LBV5_JACJA
OG0000710	sp|P25911|LYN_MOUSE	tr|A0A8C5KNJ1|A0A8C5KNJ1_JACJA
OG0000710	sp|P00536|MOS_MOUSE, sp|P08103|HCK_MOUSE	tr|A0A8C5NUL1|A0A8C5NUL1_JACJA
