Orthogroup	Mus_musculus	Rattus_norvegicus
OG0002737	sp|Q6NS59|F135A_MOUSE	tr|A0A8I5ZQV8|A0A8I5ZQV8_RAT
OG0002738	sp|Q71KT5|ERG24_MOUSE	tr|Q5BK21|Q5BK21_RAT
OG0002739	sp|Q78IK4|MIC27_MOUSE	tr|A0A8J8YNE4|A0A8J8YNE4_RAT
OG0002740	sp|Q7TN16|HHIP_MOUSE	tr|D3ZGL3|D3ZGL3_RAT
OG0002741	sp|Q7TNC6|KI26B_MOUSE	tr|D4ADC4|D4ADC4_RAT
OG0002742	sp|Q7TPD7|LR75B_MOUSE	tr|A0A8I5Y6W7|A0A8I5Y6W7_RAT
OG0002743	sp|Q7TSS2|UB2Q1_MOUSE	tr|B2GV55|B2GV55_RAT
OG0002744	sp|Q7TT36|AGRA3_MOUSE	tr|A0A0G2JSU2|A0A0G2JSU2_RAT
OG0002745	sp|Q8BGD8|COA6_MOUSE	tr|A0A8I5ZL79|A0A8I5ZL79_RAT
OG0002746	sp|Q8BHY8|SNX14_MOUSE	tr|A0A8I5YBU7|A0A8I5YBU7_RAT
OG0002747	sp|Q8BI69|ZN784_MOUSE	tr|D4A0V8|D4A0V8_RAT
OG0002748	sp|Q8BR21|F180A_MOUSE	tr|A0A8I5ZZP3|A0A8I5ZZP3_RAT
OG0002749	sp|Q8BVA4|LMOD1_MOUSE	sp|A0A0G2K0D3|LMOD1_RAT
OG0002750	tr|Q8BVJ3|Q8BVJ3_MOUSE	tr|D4ABX7|D4ABX7_RAT
OG0002751	sp|Q8BW86|ARG33_MOUSE	tr|A0A8I6G7U0|A0A8I6G7U0_RAT
OG0002752	sp|Q8C310|ROBO4_MOUSE	sp|Q80W87|ROBO4_RAT
OG0002753	sp|Q8CDC7|ZBTB9_MOUSE	tr|Q6MGD2|Q6MGD2_RAT
OG0002754	sp|Q8CGA0|PPM1F_MOUSE	sp|Q9WVR7|PPM1F_RAT
OG0002755	sp|Q8VCS0|PGRP2_MOUSE	tr|M0R485|M0R485_RAT
OG0002756	sp|Q91YH5|ATLA3_MOUSE	sp|Q0ZHH6|ATLA3_RAT
OG0002757	sp|Q923M0|PP16A_MOUSE	tr|A0A8I6A2T7|A0A8I6A2T7_RAT
OG0002758	sp|Q99KQ4|NAMPT_MOUSE	sp|Q80Z29|NAMPT_RAT
OG0002759	sp|Q99LQ7|PDES1_MOUSE	tr|A0A0G2KB37|A0A0G2KB37_RAT
OG0002760	sp|Q99MY0|SPZ1_MOUSE	sp|Q6AXY9|SPZ1_RAT
OG0002761	sp|Q9CQA5|MED4_MOUSE	sp|Q561Q8|MED4_RAT
OG0002762	sp|Q9CQX8|KGD4_MOUSE	tr|A0A8I6A554|A0A8I6A554_RAT
OG0002763	sp|Q9CRA0|NAR4_MOUSE	tr|F1MA10|F1MA10_RAT
OG0002764	sp|Q9CWV4|MAGBG_MOUSE	sp|Q6AY37|MAGBG_RAT
OG0002765	sp|Q9CWY8|RNH2A_MOUSE	sp|Q5U209|RNH2A_RAT
OG0002766	sp|Q9D7X1|KCTD4_MOUSE	tr|D3ZXL9|D3ZXL9_RAT
OG0002767	sp|Q9EP97|SENP3_MOUSE	tr|A0A8I6AGU4|A0A8I6AGU4_RAT
OG0002768	sp|Q9JI60|LRAT_MOUSE	sp|Q9JI61|LRAT_RAT
OG0002769	sp|Q9QWF0|CAF1A_MOUSE	tr|M0R3S3|M0R3S3_RAT
OG0002770	sp|Q9QZM3|CLCF1_MOUSE	tr|A0A8I6GGY9|A0A8I6GGY9_RAT
OG0002771	sp|Q9R0D8|WDR54_MOUSE	tr|D3ZX63|D3ZX63_RAT
OG0002772	sp|Q9R226|KHDR3_MOUSE	sp|Q9JLP1|KHDR3_RAT
OG0002773	sp|Q9Z1B5|MD2L1_MOUSE	tr|D4ACM2|D4ACM2_RAT
OG0002774	sp|Q9Z1Z2|STRAP_MOUSE	sp|Q5XIG8|STRAP_RAT
OG0002775	sp|Q9Z2T1|KCNK7_MOUSE	tr|D4A806|D4A806_RAT
OG0002776	sp|A3FIN4|AT8B5_MOUSE	tr|M0R7E2|M0R7E2_RAT
OG0002777	sp|D3YZI9|PGBD5_MOUSE	tr|D3ZSZ4|D3ZSZ4_RAT
OG0002778	tr|D3YZR0|D3YZR0_MOUSE	tr|A0A8I5ZTT5|A0A8I5ZTT5_RAT
OG0002779	sp|E9Q6Z5|AUNIP_MOUSE	sp|D3ZUC4|AUNIP_RAT
OG0002780	tr|M0QWL6|M0QWL6_MOUSE	tr|A0A8I6AE80|A0A8I6AE80_RAT
OG0002781	sp|O35622|FGF15_MOUSE	tr|Q8VI81|Q8VI81_RAT
OG0002782	sp|O54786|DFFA_MOUSE	tr|A0A8I6ANF5|A0A8I6ANF5_RAT
OG0002783	sp|O70405|ULK1_MOUSE	tr|D3ZMG0|D3ZMG0_RAT
OG0002784	sp|P00184|CP1A1_MOUSE	sp|P00185|CP1A1_RAT
OG0002785	sp|P00186|CP1A2_MOUSE	sp|P04799|CP1A2_RAT
OG0002786	sp|P01942|HBA_MOUSE	sp|P01946|HBA_RAT
OG0002787	sp|P04925|PRIO_MOUSE	sp|P13852|PRIO_RAT
OG0002788	sp|P05524|FGF3_MOUSE	tr|Q8R5L9|Q8R5L9_RAT
OG0002789	sp|P18242|CATD_MOUSE	sp|P24268|CATD_RAT
OG0002790	sp|P50636|RN19A_MOUSE	tr|D3ZXM0|D3ZXM0_RAT
OG0002791	sp|P57774|NPY_MOUSE	sp|P07808|NPY_RAT
OG0002792	sp|P58404|STRN4_MOUSE	tr|F1M6V8|F1M6V8_RAT
OG0002793	sp|P62257|UBE2H_MOUSE	tr|M0R4P9|M0R4P9_RAT
OG0002794	sp|P62915|TF2B_MOUSE	sp|P62916|TF2B_RAT
OG0002795	sp|Q03173|ENAH_MOUSE	tr|A0A8I5Y4S4|A0A8I5Y4S4_RAT
OG0002796	sp|Q3UGR5|HDHD2_MOUSE	sp|Q6AYR6|HDHD2_RAT
OG0002797	sp|Q3UHF7|ZEP2_MOUSE	sp|Q00900|ZEP2_RAT
OG0002798	sp|Q3UKJ7|SMU1_MOUSE	sp|Q99M63|SMU1_RAT
OG0002799	sp|Q3UPR7|TM102_MOUSE	tr|F1M0L2|F1M0L2_RAT
OG0002800	tr|Q58A37|Q58A37_MOUSE	tr|A0A0G2K314|A0A0G2K314_RAT
OG0002801	sp|Q61315|APC_MOUSE	sp|P70478|APC_RAT
OG0002802	sp|Q61824|ADA12_MOUSE	tr|A0A8I6AGQ6|A0A8I6AGQ6_RAT
OG0002803	sp|Q62083|PICK1_MOUSE	sp|Q9EP80|PICK1_RAT
OG0002804	sp|Q64124|SCX_MOUSE	tr|G3V8X3|G3V8X3_RAT
OG0002805	sp|Q6P9L6|KIF15_MOUSE	sp|Q7TSP2|KIF15_RAT
OG0002806	sp|Q6ZPS2|CRNS1_MOUSE	tr|D3Z945|D3Z945_RAT
OG0002807	sp|Q75NR7|RECQ4_MOUSE	tr|D4A5W5|D4A5W5_RAT
OG0002808	sp|Q7M718|TR124_MOUSE	sp|Q67ES5|TR124_RAT
OG0002809	sp|Q7M758|NALDL_MOUSE	sp|O54697|NALDL_RAT
OG0002810	sp|Q7TNE3|SPAG7_MOUSE	tr|D3ZCG4|D3ZCG4_RAT
OG0002811	sp|Q80TZ9|RERE_MOUSE	sp|Q62901|RERE_RAT
OG0002812	sp|Q80V42|CBPM_MOUSE	tr|D4A9Q5|D4A9Q5_RAT
OG0002813	sp|Q80VP1|EPN1_MOUSE	sp|O88339|EPN1_RAT
OG0002814	sp|Q8BKW4|ZCHC4_MOUSE	sp|D3ZV31|ZCHC4_RAT
OG0002815	sp|Q8BMJ8|SP8_MOUSE	tr|A0A8I6G2S5|A0A8I6G2S5_RAT
OG0002816	sp|Q8BPX9|S15A3_MOUSE	sp|Q924V4|S15A3_RAT
OG0002817	sp|Q8BUG5|CAYP2_MOUSE	tr|A0A8I6GEU7|A0A8I6GEU7_RAT
OG0002818	sp|Q8BUZ1|ABRA_MOUSE	sp|Q8K4K7|ABRA_RAT
OG0002819	sp|Q8C163|EXOG_MOUSE	tr|D3ZTW9|D3ZTW9_RAT
OG0002820	sp|Q8C1A9|ABD18_MOUSE	sp|Q4V7A8|ABD18_RAT
OG0002821	sp|Q8C1Z7|BBS4_MOUSE	tr|A0A8I6AHB5|A0A8I6AHB5_RAT
OG0002822	sp|Q8C863|ITCH_MOUSE	tr|A0A8I5ZZU1|A0A8I5ZZU1_RAT
OG0002823	sp|Q8K1L6|CP074_MOUSE	tr|D3ZSX5|D3ZSX5_RAT
OG0002824	sp|Q8R2Z0|ADIPL_MOUSE	tr|D3ZQD2|D3ZQD2_RAT
OG0002825	sp|Q8R4G9|ACHA3_MOUSE	sp|P04757|ACHA3_RAT
OG0002826	sp|Q8VI47|MRP2_MOUSE	sp|Q63120|MRP2_RAT
OG0002827	sp|Q91V13|LEAP2_MOUSE	tr|A0A8I6AKK4|A0A8I6AKK4_RAT
OG0002828	sp|Q91VP7|TM101_MOUSE	tr|A0A8I5ZSR4|A0A8I5ZSR4_RAT
OG0002829	sp|Q91WA6|SHRPN_MOUSE	sp|Q9EQL9|SHRPN_RAT
OG0002830	sp|Q91YI1|ATG13_MOUSE	tr|D3ZA45|D3ZA45_RAT
OG0002831	sp|Q9CPV4|GLOD4_MOUSE	sp|Q5I0D1|GLOD4_RAT
OG0002832	sp|Q9CQF3|CPSF5_MOUSE	sp|Q4KM65|CPSF5_RAT
OG0002833	sp|Q9CQX3|BPIA5_MOUSE	tr|A0A8I6AKM9|A0A8I6AKM9_RAT
OG0002834	sp|Q9CQZ5|NDUA6_MOUSE	tr|D4A3V2|D4A3V2_RAT
OG0002835	sp|Q9CWM4|PFD1_MOUSE	tr|A0A8I6A6J4|A0A8I6A6J4_RAT
OG0002836	sp|Q9CZR4|CKLF8_MOUSE	tr|A0A8I6ADT7|A0A8I6ADT7_RAT
OG0002837	sp|Q9D0L1|ZBED3_MOUSE	tr|Q4V7E3|Q4V7E3_RAT
OG0002838	sp|Q9D1P4|CHRD1_MOUSE	sp|D4A4T9|CHRD1_RAT
OG0002839	sp|Q9D2V8|MFS10_MOUSE	tr|A0A8I5ZZQ6|A0A8I5ZZQ6_RAT
OG0002840	tr|Q9D6L6|Q9D6L6_MOUSE	tr|M0R4X7|M0R4X7_RAT
OG0002841	sp|Q9DA73|CCD89_MOUSE	sp|B2RZ86|CCD89_RAT
OG0002842	sp|Q9DAZ2|PR2B1_MOUSE	sp|Q9JKL9|PR2B1_RAT
OG0002843	sp|Q9ESN6|TRIM2_MOUSE	sp|D3ZQG6|TRIM2_RAT
OG0002844	sp|Q9QY24|ZBP1_MOUSE	sp|Q8VDA5|ZBP1_RAT
OG0002845	sp|Q9QZU9|UB2L6_MOUSE	sp|Q4V8J2|UB2L6_RAT
OG0002846	sp|Q9WVB3|TLE6_MOUSE	tr|F1LXS4|F1LXS4_RAT
OG0002847	sp|Q9Z0E0|NCDN_MOUSE	sp|O35095|NCDN_RAT
OG0002849	tr|A0A1Y7VJE6|A0A1Y7VJE6_MOUSE	tr|A0A8I6A0F0|A0A8I6A0F0_RAT
OG0002850	sp|A2AKQ0|S35D1_MOUSE	tr|A0A8I5ZPC4|A0A8I5ZPC4_RAT
OG0002851	tr|D3Z3H0|D3Z3H0_MOUSE	sp|Q6AYH2|IN80E_RAT
OG0002852	tr|E9PWW9|E9PWW9_MOUSE	tr|D3ZGQ8|D3ZGQ8_RAT
OG0002853	sp|E9PXT9|F170B_MOUSE	tr|D3ZLX4|D3ZLX4_RAT
OG0002854	sp|O88667|RAD_MOUSE	sp|P55043|RAD_RAT
OG0002855	sp|P0DP59|SLUR2_MOUSE	tr|D3ZUR5|D3ZUR5_RAT
OG0002856	sp|P16879|FES_MOUSE	tr|D4A584|D4A584_RAT
OG0002857	sp|P20334|TNR9_MOUSE	tr|Q4V895|Q4V895_RAT
OG0002858	sp|P31240|PDGFB_MOUSE	sp|Q05028|PDGFB_RAT
OG0002859	sp|P39876|TIMP3_MOUSE	sp|P48032|TIMP3_RAT
OG0002860	sp|P49962|SRP09_MOUSE	tr|D4A511|D4A511_RAT
OG0002861	sp|P51807|DYLT1_MOUSE	sp|Q9Z336|DYLT1_RAT
OG0002862	sp|P56391|CX6B1_MOUSE	tr|A0A8I6A8X0|A0A8I6A8X0_RAT
OG0002863	sp|P61213|ARL4A_MOUSE	sp|P61214|ARL4A_RAT
OG0002864	sp|P61290|PSME3_MOUSE	tr|A0A8I6AA17|A0A8I6AA17_RAT
OG0002865	sp|P62696|CRBB2_MOUSE	sp|P62697|CRBB2_RAT
OG0002866	sp|P69525|TMPS9_MOUSE	sp|P69526|TMPS9_RAT
OG0002867	sp|P70205|PACR_MOUSE	sp|P32215|PACR_RAT
OG0002868	sp|Q05AH6|SPNDC_MOUSE	tr|D4AED1|D4AED1_RAT
OG0002869	sp|Q11131|FUT7_MOUSE	sp|Q712G6|FUT7_RAT
OG0002870	sp|Q14DN9|AKD1B_MOUSE	tr|F1M363|F1M363_RAT
OG0002871	sp|Q2TJ95|RSPO3_MOUSE	tr|A7LKE6|A7LKE6_RAT
OG0002872	sp|Q3TMP8|TM38A_MOUSE	sp|A6ZIQ8|TM38A_RAT
OG0002873	sp|Q3U1T9|DEN1B_MOUSE	tr|D3Z8F6|D3Z8F6_RAT
OG0002874	sp|Q3U507|GP174_MOUSE	tr|D3ZWS1|D3ZWS1_RAT
OG0002875	sp|Q3UP87|ELNE_MOUSE	tr|D4A488|D4A488_RAT
OG0002876	sp|Q3V0G7|GARL3_MOUSE	tr|A0A8I6ALW8|A0A8I6ALW8_RAT
OG0002877	sp|Q3V129|ULK4_MOUSE	tr|M0R685|M0R685_RAT
OG0002878	sp|Q5BN45|PIRC1_MOUSE	tr|D3ZTM5|D3ZTM5_RAT
OG0002879	sp|Q5NCR9|NSRP1_MOUSE	sp|Q4FZU3|NSRP1_RAT
OG0002880	sp|Q60755|CALCR_MOUSE	sp|P32214|CALCR_RAT
OG0002881	sp|Q64692|SIA8D_MOUSE	tr|A1KQY6|A1KQY6_RAT
OG0002882	sp|Q67BT3|S13A5_MOUSE	sp|Q8CJ44|S13A5_RAT
OG0002883	sp|Q6NVE8|WDR44_MOUSE	sp|Q9R037|WDR44_RAT
OG0002884	sp|Q6PFC5|LRIT2_MOUSE	tr|D4A7B9|D4A7B9_RAT
OG0002885	sp|Q70IV5|SYNEM_MOUSE	tr|G3V9G5|G3V9G5_RAT
OG0002886	sp|Q8BG55|GP171_MOUSE	sp|D4A4Q2|GP171_RAT
OG0002887	sp|Q8BG67|EFR3A_MOUSE	tr|A0A8I6ADR8|A0A8I6ADR8_RAT
OG0002888	sp|Q8BS95|GPHR_MOUSE	tr|A0A8I6AU33|A0A8I6AU33_RAT
OG0002889	sp|Q8BT35|MTLN_MOUSE	tr|A0A8I6A6Z7|A0A8I6A6Z7_RAT
OG0002890	sp|Q8BZ94|ZMAT4_MOUSE	tr|B4F7C6|B4F7C6_RAT
OG0002891	sp|Q8C8Y5|SAMD7_MOUSE	tr|D4A5C9|D4A5C9_RAT
OG0002892	sp|Q8K120|NFAC4_MOUSE	sp|D3Z9H7|NFAC4_RAT
OG0002893	sp|Q8K201|KCT2_MOUSE	tr|D3ZQ77|D3ZQ77_RAT
OG0002894	sp|Q8K2M0|RM38_MOUSE	sp|Q5PQN9|RM38_RAT
OG0002895	sp|Q8K561|OTOAN_MOUSE	tr|D4A6R6|D4A6R6_RAT
OG0002896	sp|Q8R3Y5|CS047_MOUSE	sp|A0JPQ7|CS047_RAT
OG0002897	tr|Q8VF02|Q8VF02_MOUSE	tr|D4A084|D4A084_RAT
OG0002898	sp|Q920M5|CORO6_MOUSE	sp|Q920J3|CORO6_RAT
OG0002899	sp|Q920N1|ODF3A_MOUSE	tr|D3ZE94|D3ZE94_RAT
OG0002900	sp|Q921G6|LRCH4_MOUSE	tr|E9PSW6|E9PSW6_RAT
OG0002901	sp|Q99J19|SIM11_MOUSE	tr|A0A8I6A6D4|A0A8I6A6D4_RAT
OG0002902	sp|Q99LL3|CHSTC_MOUSE	tr|Q498S0|Q498S0_RAT
OG0002903	sp|Q99N87|RT05_MOUSE	tr|D3ZYT2|D3ZYT2_RAT
OG0002904	sp|Q99PU8|DHX30_MOUSE	sp|Q5BJS0|DHX30_RAT
OG0002905	sp|Q9CY64|BIEA_MOUSE	sp|P46844|BIEA_RAT
OG0002906	sp|Q9CZP7|CD37L_MOUSE	sp|Q5XIC3|CD37L_RAT
OG0002907	sp|Q9CZT6|CMS1_MOUSE	sp|Q5FVR6|CMS1_RAT
OG0002908	sp|Q9D1E5|LMBRL_MOUSE	tr|A0A0G2JVJ7|A0A0G2JVJ7_RAT
OG0002909	sp|Q9D2F7|P210L_MOUSE	tr|D3Z8Z6|D3Z8Z6_RAT
OG0002910	tr|Q9D4J9|Q9D4J9_MOUSE	tr|A0A0G2JZY9|A0A0G2JZY9_RAT
OG0002911	sp|Q9D9R3|SPAT9_MOUSE	tr|A0A8I6G8H0|A0A8I6G8H0_RAT
OG0002912	sp|Q9DBH5|LMAN2_MOUSE	tr|F7FPK8|F7FPK8_RAT
OG0002913	sp|Q9QUS4|HEY2_MOUSE	tr|G3V7S6|G3V7S6_RAT
OG0002914	sp|Q9QXX8|NUFP1_MOUSE	sp|Q641W3|NUFP1_RAT
OG0002915	sp|Q9R171|CBLN1_MOUSE	sp|P63182|CBLN1_RAT
OG0002916	sp|Q9WTR1|TRPV2_MOUSE	sp|Q9WUD2|TRPV2_RAT
OG0002917	sp|Q9Z1F9|SAE2_MOUSE	tr|A0A8I6A3Z5|A0A8I6A3Z5_RAT
OG0002918	tr|A0A140LI67|A0A140LI67_MOUSE	tr|F1LVM9|F1LVM9_RAT
OG0002919	sp|A0A1B0GSZ0|SPAR_MOUSE	tr|A0A8I6AS13|A0A8I6AS13_RAT
OG0002920	sp|A1A546|ISX_MOUSE	tr|F1M478|F1M478_RAT
OG0002921	tr|E9PVG4|E9PVG4_MOUSE	tr|E9PTT8|E9PTT8_RAT
OG0002922	tr|G5E845|G5E845_MOUSE	tr|D3ZLR9|D3ZLR9_RAT
OG0002923	sp|O09000|NCOA3_MOUSE	sp|Q9EPU2|NCOA3_RAT
OG0002924	sp|O35174|KCNS2_MOUSE	sp|Q9ER26|KCNS2_RAT
OG0002925	sp|O35392|FOXD2_MOUSE	tr|F1LP85|F1LP85_RAT
OG0002926	sp|O35598|ADA10_MOUSE	sp|Q10743|ADA10_RAT
OG0002927	sp|O35701|MATN3_MOUSE	tr|A0A0G2JYF9|A0A0G2JYF9_RAT
OG0002928	sp|O54790|MAFG_MOUSE	sp|Q76MX4|MAFG_RAT
OG0002929	sp|O70131|NINJ1_MOUSE	sp|P70617|NINJ1_RAT
OG0002930	sp|P13609|SRGN_MOUSE	sp|P04917|SRGN_RAT
OG0002931	sp|P21619|LMNB2_MOUSE	tr|D3ZLC1|D3ZLC1_RAT
OG0002932	sp|P22723|GBRG2_MOUSE	sp|P18508|GBRG2_RAT
OG0002933	sp|P35639|DDIT3_MOUSE	sp|Q62857|DDIT3_RAT
OG0002934	sp|P43404|ZAP70_MOUSE	tr|A0A8I6AHV6|A0A8I6AHV6_RAT
OG0002935	sp|P51960|MYBA_MOUSE	tr|A0A8I6AI21|A0A8I6AI21_RAT
OG0002936	sp|P52431|DPOD1_MOUSE	sp|O54747|DPOD1_RAT
OG0002937	sp|P61264|STX1B_MOUSE	sp|P61265|STX1B_RAT
OG0002938	sp|P61622|ITA11_MOUSE	tr|F1LUU1|F1LUU1_RAT
OG0002939	sp|P84089|ERH_MOUSE	tr|A0A8I6AFK4|A0A8I6AFK4_RAT
OG0002940	sp|Q08024|PEBB_MOUSE	tr|A0A8I6GMB2|A0A8I6GMB2_RAT
OG0002941	sp|Q1RNF8|SAM11_MOUSE	tr|A0A8I5ZXL4|A0A8I5ZXL4_RAT
OG0002942	sp|Q3LRV9|TRML4_MOUSE	tr|F1LU58|F1LU58_RAT
OG0002943	sp|Q3TRM8|HXK3_MOUSE	sp|P27926|HXK3_RAT
OG0002944	sp|Q3UFY7|5NT3B_MOUSE	sp|Q6AYP7|5NT3B_RAT
OG0002945	sp|Q3UM89|FOXR2_MOUSE	tr|D4ADV2|D4ADV2_RAT
OG0002946	sp|Q3V132|ADT4_MOUSE	tr|D3ZB81|D3ZB81_RAT
OG0002947	sp|Q5QD04|TAAR9_MOUSE	sp|Q923Y6|TAAR9_RAT
OG0002948	sp|Q5U464|ASAP3_MOUSE	tr|M0R5J1|M0R5J1_RAT
OG0002949	sp|Q60612|AA1R_MOUSE	sp|P25099|AA1R_RAT
OG0002950	sp|Q61909|MTG8_MOUSE	tr|A0A0G2K0G0|A0A0G2K0G0_RAT
OG0002951	sp|Q68FH4|GALK2_MOUSE	sp|Q5XIG6|GALK2_RAT
OG0002952	sp|Q6KCD5|NIPBL_MOUSE	tr|A0A8I6AXR8|A0A8I6AXR8_RAT
OG0002953	sp|Q6PAR0|KLD10_MOUSE	sp|Q5U3Y0|KLD10_RAT
OG0002954	sp|Q6ZPU9|KBP_MOUSE	sp|Q4G074|KBP_RAT
OG0002955	sp|Q80UJ1|S22AK_MOUSE	tr|A0A8I6GCG0|A0A8I6GCG0_RAT
OG0002956	tr|Q80W26|Q80W26_MOUSE	tr|A0A8I6GKA9|A0A8I6GKA9_RAT
OG0002957	sp|Q80YX1|TENA_MOUSE	tr|A0A8I6ARC1|A0A8I6ARC1_RAT
OG0002958	sp|Q8BG17|NOL12_MOUSE	sp|Q5D1Z3|NOL12_RAT
OG0002959	sp|Q8BHS8|SYBU_MOUSE	tr|A0A8I6A508|A0A8I6A508_RAT
OG0002960	sp|Q8BSN5|PHF23_MOUSE	sp|Q6AY75|PHF23_RAT
OG0002961	sp|Q8BWC0|TPC2_MOUSE	tr|F1MAS6|F1MAS6_RAT
OG0002962	sp|Q8C263|SKA3_MOUSE	sp|B2GUZ2|SKA3_RAT
OG0002963	sp|Q8K3K7|PLCB_MOUSE	tr|D4AC45|D4AC45_RAT
OG0002964	sp|Q8N7N6|CIKS_MOUSE	tr|A0A8I6GLR0|A0A8I6GLR0_RAT
OG0002965	sp|Q8R015|BL1S5_MOUSE	sp|B2GV52|BL1S5_RAT
OG0002966	sp|Q8R5K4|NOL6_MOUSE	tr|A0A0G2QC27|A0A0G2QC27_RAT
OG0002967	tr|Q8VEV1|Q8VEV1_MOUSE	tr|A0A0G2JYA1|A0A0G2JYA1_RAT
OG0002968	tr|Q8VGD8|Q8VGD8_MOUSE	tr|G3V922|G3V922_RAT
OG0002969	sp|Q91YT0|NDUV1_MOUSE	tr|Q5XIH3|Q5XIH3_RAT
OG0002970	sp|Q924H7|WAC_MOUSE	tr|F1LW69|F1LW69_RAT
OG0002971	sp|Q9D075|TM10B_MOUSE	sp|Q5RJK3|TM10B_RAT
OG0002972	sp|Q9D244|RNAS6_MOUSE	tr|Q6QDX6|Q6QDX6_RAT
OG0002973	sp|Q9D7C9|NRK2_MOUSE	tr|D3ZBU8|D3ZBU8_RAT
OG0002974	tr|Q9D9G7|Q9D9G7_MOUSE	tr|F7EZP5|F7EZP5_RAT
OG0002975	sp|Q9DC58|DRAM1_MOUSE	tr|B5DEF4|B5DEF4_RAT
OG0002976	sp|Q9JHX2|SP5_MOUSE	tr|A0A0G2JUC1|A0A0G2JUC1_RAT
OG0002977	sp|Q9JJG6|TMM47_MOUSE	tr|D3ZBB3|D3ZBB3_RAT
OG0002978	sp|Q9JJZ9|CNGB3_MOUSE	tr|F1LX27|F1LX27_RAT
OG0002979	sp|Q9JKR6|HYOU1_MOUSE	sp|Q63617|HYOU1_RAT
OG0002980	sp|Q9JKU8|LMX1A_MOUSE	tr|F1LRJ8|F1LRJ8_RAT
OG0002981	sp|Q9JM05|PIAS4_MOUSE	tr|B5DFF9|B5DFF9_RAT
OG0002982	sp|Q9R008|KIME_MOUSE	sp|P17256|KIME_RAT
OG0002983	sp|Q9WUI0|MIXL1_MOUSE	tr|D4A558|D4A558_RAT
OG0002984	sp|Q9WVJ0|KCNH3_MOUSE	sp|O89047|KCNH3_RAT
OG0002985	tr|D3Z660|D3Z660_MOUSE	tr|G3V8X9|G3V8X9_RAT
OG0002986	tr|E9PWI5|E9PWI5_MOUSE	tr|A0A8I6A5H7|A0A8I6A5H7_RAT
OG0002987	tr|E9Q3D4|E9Q3D4_MOUSE	tr|A0A8I6G8X8|A0A8I6G8X8_RAT
OG0002988	sp|G3X8R9|TMIG3_MOUSE	tr|A0A0G2K2L2|A0A0G2K2L2_RAT
OG0002989	sp|G5E8Q8|AGRF5_MOUSE	sp|Q9WVT0|AGRF5_RAT
OG0002990	sp|O70348|DXO_MOUSE	sp|Q6MG77|DXO_RAT
OG0002991	sp|P01101|FOS_MOUSE	sp|P12841|FOS_RAT
OG0002992	sp|P0C5J4|GPR52_MOUSE	tr|A0A8I5ZQK1|A0A8I5ZQK1_RAT
OG0002993	sp|P10078|ZFP28_MOUSE	tr|D3ZB41|D3ZB41_RAT
OG0002994	sp|P26011|ITB7_MOUSE	tr|G3V7M2|G3V7M2_RAT
OG0002995	sp|P43432|IL12B_MOUSE	tr|E9PU71|E9PU71_RAT
OG0002996	sp|P53702|CCHL_MOUSE	tr|D3ZL85|D3ZL85_RAT
OG0002997	sp|P58742|AAAS_MOUSE	tr|A0A8I5YCH6|A0A8I5YCH6_RAT
OG0002998	sp|P59178|LMBL2_MOUSE	sp|Q3MIF2|LMBL2_RAT
OG0002999	sp|P60879|SNP25_MOUSE	sp|P60881|SNP25_RAT
OG0003000	sp|P63115|AAA1_MOUSE	sp|P63116|AAA1_RAT
OG0003001	sp|P70324|TBX3_MOUSE	sp|Q7TST9|TBX3_RAT
OG0003002	sp|P70379|FGF14_MOUSE	sp|Q8R5L7|FGF14_RAT
OG0003003	sp|Q0VDU3|GPR15_MOUSE	tr|D4AA67|D4AA67_RAT
OG0003004	sp|Q11127|FUT4_MOUSE	sp|Q62994|FUT4_RAT
OG0003005	sp|Q17ST2|KCNA7_MOUSE	tr|D4A810|D4A810_RAT
OG0003006	tr|Q1HL35|Q1HL35_MOUSE	sp|O54838|DUS5_RAT
OG0003007	sp|Q24JP4|CE047_MOUSE	tr|D4AAX2|D4AAX2_RAT
OG0003008	sp|Q3UMG5|LRCH2_MOUSE	tr|D4A456|D4A456_RAT
OG0003009	sp|Q4LDD4|ARAP1_MOUSE	tr|A0A8I6AQA1|A0A8I6AQA1_RAT
OG0003010	sp|Q5D1E7|ZC12A_MOUSE	sp|A0JPN4|ZC12A_RAT
OG0003011	sp|Q5DU02|UBP22_MOUSE	tr|D3ZTX7|D3ZTX7_RAT
OG0003012	sp|Q60707|TBX2_MOUSE	tr|F1M0C0|F1M0C0_RAT
OG0003013	sp|Q60902|EP15R_MOUSE	tr|A0A8I6A726|A0A8I6A726_RAT
OG0003014	sp|Q61045|SIM1_MOUSE	tr|D3ZMU8|D3ZMU8_RAT
OG0003015	sp|Q61048|WBP4_MOUSE	sp|Q5HZF2|WBP4_RAT
OG0003016	sp|Q61335|BAP31_MOUSE	tr|A0A0G2JXK2|A0A0G2JXK2_RAT
OG0003017	sp|Q61467|ZIC4_MOUSE	tr|A0A8I6ATI6|A0A8I6ATI6_RAT
OG0003018	sp|Q61599|GDIR2_MOUSE	tr|A0A8I5ZXI2|A0A8I5ZXI2_RAT
OG0003019	sp|Q61985|NF2L1_MOUSE	tr|A0A8I6A8A5|A0A8I6A8A5_RAT
OG0003020	sp|Q640Q5|PAN3_MOUSE	tr|D4ADM2|D4ADM2_RAT
OG0003021	sp|Q64701|RBL1_MOUSE	sp|D3ZS28|RBL1_RAT
