Orthogroup	Mus_musculus	Phascolarctos_cinereus
OG0000536	tr|E9PX39|E9PX39_MOUSE	tr|A0A6P5JBW5|A0A6P5JBW5_PHACI
OG0000536	sp|Q8C9W3|ATS2_MOUSE	tr|A0A6P5IM14|A0A6P5IM14_PHACI
OG0000536	tr|E9Q287|E9Q287_MOUSE	tr|A0A6P5KHQ5|A0A6P5KHQ5_PHACI
OG0000537	sp|O88673|DGKA_MOUSE	tr|A0A6P5KMH5|A0A6P5KMH5_PHACI
OG0000537	sp|Q91WG7|DGKG_MOUSE	tr|A0A6P5LVT4|A0A6P5LVT4_PHACI
OG0000537	sp|Q6NS52|DGKB_MOUSE	tr|A0A6P5LBT8|A0A6P5LBT8_PHACI
OG0000538	sp|Q9JMC3|DNJA4_MOUSE	tr|A0A6P5JKF0|A0A6P5JKF0_PHACI
OG0000538	sp|P63037|DNJA1_MOUSE	tr|A0A6P5JPU0|A0A6P5JPU0_PHACI, tr|A0A6P5JMG4|A0A6P5JMG4_PHACI, tr|A0A6P5LPJ0|A0A6P5LPJ0_PHACI
OG0000539	sp|Q9R1B9|SLIT2_MOUSE	tr|A0A6P5KXT0|A0A6P5KXT0_PHACI
OG0000539	sp|Q80TR4|SLIT1_MOUSE	tr|A0A6P5L3P1|A0A6P5L3P1_PHACI
OG0000539	sp|Q9WVB4|SLIT3_MOUSE	tr|A0A6P5KT60|A0A6P5KT60_PHACI
OG0000540	sp|Q5QNS5|HAVR1_MOUSE, sp|Q8R183|TIMD2_MOUSE, tr|Q810Y7|Q810Y7_MOUSE, tr|A0A0B4J1F6|A0A0B4J1F6_MOUSE, tr|F2Z474|F2Z474_MOUSE	tr|A0A6P5JGT1|A0A6P5JGT1_PHACI
OG0000541	sp|Q9D7Q1|CHIT1_MOUSE	tr|A0A6P5LK53|A0A6P5LK53_PHACI
OG0000541	sp|Q61362|CH3L1_MOUSE	tr|A0A6P5LGI2|A0A6P5LGI2_PHACI, tr|A0A6P5LMM5|A0A6P5LMM5_PHACI, tr|A0A6P5LKT3|A0A6P5LKT3_PHACI
OG0000542	sp|Q4VA55|PWP3B_MOUSE, sp|Q6DID5|PWP3A_MOUSE, tr|Q52KH6|Q52KH6_MOUSE, tr|A2BG95|A2BG95_MOUSE, tr|A3KG49|A3KG49_MOUSE	tr|A0A6P5M905|A0A6P5M905_PHACI
OG0000543	sp|Q8BKT8|HAUS7_MOUSE	tr|A0A6P5JF59|A0A6P5JF59_PHACI, tr|A0A6P5M031|A0A6P5M031_PHACI, tr|A0A6P5K7Q0|A0A6P5K7Q0_PHACI, tr|A0A6P5JFI7|A0A6P5JFI7_PHACI, tr|A0A6P5J9M3|A0A6P5J9M3_PHACI
OG0000544	sp|P30731|GPR83_MOUSE	tr|A0A6P5LHN3|A0A6P5LHN3_PHACI
OG0000544	tr|Q3V3A3|Q3V3A3_MOUSE	tr|A0A6P5IPB6|A0A6P5IPB6_PHACI
OG0000544	tr|Q80T54|Q80T54_MOUSE	tr|A0A6P5IVE1|A0A6P5IVE1_PHACI
OG0000545	sp|Q8BHK3|S36A2_MOUSE	tr|A0A6P5ICJ8|A0A6P5ICJ8_PHACI
OG0000545	sp|Q811P0|S36A3_MOUSE	tr|A0A6P5ICQ4|A0A6P5ICQ4_PHACI
OG0000545	sp|Q8K4D3|S36A1_MOUSE	tr|A0A6P5IMN9|A0A6P5IMN9_PHACI
OG0000546	sp|P97872|FMO5_MOUSE	tr|A0A6P5LL53|A0A6P5LL53_PHACI
OG0000546	tr|Q8C116|Q8C116_MOUSE, tr|G3X946|G3X946_MOUSE, tr|B2RWH8|B2RWH8_MOUSE	tr|A0A6P5JKD7|A0A6P5JKD7_PHACI
OG0000547	tr|Q9EPG2|Q9EPG2_MOUSE	tr|A0A6P5K6Q5|A0A6P5K6Q5_PHACI
OG0000547	tr|Q7TQS4|Q7TQS4_MOUSE, tr|Q8VGU4|Q8VGU4_MOUSE, tr|Q8VGU5|Q8VGU5_MOUSE	tr|A0A6P5JHE9|A0A6P5JHE9_PHACI
OG0000548	sp|Q62468|VILI_MOUSE	tr|A0A6P5LM59|A0A6P5LM59_PHACI
OG0000548	sp|Q91YD6|VILL_MOUSE	tr|A0A6P5IG61|A0A6P5IG61_PHACI
OG0000548	sp|O88398|AVIL_MOUSE	tr|A0A6P5KJM2|A0A6P5KJM2_PHACI
OG0000549	sp|P39098|MA1A2_MOUSE	tr|A0A6P5LK22|A0A6P5LK22_PHACI
OG0000549	tr|Q6NXK9|Q6NXK9_MOUSE	tr|A0A6P5K1I6|A0A6P5K1I6_PHACI
OG0000549	sp|P45700|MA1A1_MOUSE	tr|A0A6P5J1V8|A0A6P5J1V8_PHACI
OG0000551	sp|P20662|ZFY2_MOUSE, sp|P10925|ZFY1_MOUSE	tr|A0A6P5JMD8|A0A6P5JMD8_PHACI
OG0000551	sp|P23607|ZFA_MOUSE, sp|P17012|ZFX_MOUSE	tr|A0A6P5KIW1|A0A6P5KIW1_PHACI
OG0000552	sp|Q9EQR3|KCNN1_MOUSE	tr|A0A6P5M1P7|A0A6P5M1P7_PHACI
OG0000552	sp|P58390|KCNN2_MOUSE	tr|A0A6P5M354|A0A6P5M354_PHACI
OG0000552	sp|P58391|KCNN3_MOUSE	tr|A0A6P5KPR2|A0A6P5KPR2_PHACI
OG0000553	sp|Q5F226|FAT2_MOUSE	tr|A0A6P5ID69|A0A6P5ID69_PHACI
OG0000553	tr|A0A1L1SQU7|A0A1L1SQU7_MOUSE	tr|A0A6P5IPW1|A0A6P5IPW1_PHACI
OG0000553	sp|Q8BNA6|FAT3_MOUSE	tr|A0A6P5LD01|A0A6P5LD01_PHACI
OG0000554	sp|Q9JLA2|IL36A_MOUSE, sp|Q8R460|IL36G_MOUSE	tr|A0A6P5IAX0|A0A6P5IAX0_PHACI, tr|A0A6P5IDH6|A0A6P5IDH6_PHACI, tr|A0A6P5IAE0|A0A6P5IAE0_PHACI, tr|A0A6P5IB20|A0A6P5IB20_PHACI
OG0000555	sp|E9PUQ8|DGKD_MOUSE	tr|A0A6P5J077|A0A6P5J077_PHACI
OG0000555	tr|F6UUZ3|F6UUZ3_MOUSE	tr|A0A6P5JMI1|A0A6P5JMI1_PHACI
OG0000555	sp|D3YXJ0|DGKH_MOUSE	tr|A0A6P5JN93|A0A6P5JN93_PHACI
OG0000556	sp|Q9CS84|NRX1A_MOUSE	tr|A0A6P5L0U4|A0A6P5L0U4_PHACI
OG0000556	sp|E9Q7X7|NRX2A_MOUSE	tr|A0A6P5IPM6|A0A6P5IPM6_PHACI
OG0000556	sp|Q6P9K9|NRX3A_MOUSE	tr|A0A6P5K9L7|A0A6P5K9L7_PHACI
OG0000557	tr|Q8VET1|Q8VET1_MOUSE	tr|A0A6P5LBK6|A0A6P5LBK6_PHACI, tr|A0A6P5LCY3|A0A6P5LCY3_PHACI, tr|A0A6P5L9J8|A0A6P5L9J8_PHACI, tr|A0A6P5LBN4|A0A6P5LBN4_PHACI, tr|A0A6P5L7V8|A0A6P5L7V8_PHACI
OG0000558	sp|Q64462|CP4B1_MOUSE	tr|A0A6P5KEB3|A0A6P5KEB3_PHACI, tr|A0A6P5KCW2|A0A6P5KCW2_PHACI, tr|A0A6P5KF82|A0A6P5KF82_PHACI, tr|A0A6P5KCW6|A0A6P5KCW6_PHACI, tr|A0A6P5KF86|A0A6P5KF86_PHACI
OG0000559	sp|Q5DTL9|S4A10_MOUSE	tr|A0A6P5LQ22|A0A6P5LQ22_PHACI
OG0000559	sp|Q8JZR6|S4A8_MOUSE	tr|A0A6P5ITF7|A0A6P5ITF7_PHACI
OG0000559	sp|Q8BTY2|S4A7_MOUSE	tr|A0A6P5KUK5|A0A6P5KUK5_PHACI
OG0000560	sp|Q9Z0V1|KCND3_MOUSE	tr|A0A6P5LLP1|A0A6P5LLP1_PHACI
OG0000560	sp|Q9Z0V2|KCND2_MOUSE	tr|A0A6P5IU01|A0A6P5IU01_PHACI
OG0000560	sp|Q03719|KCND1_MOUSE	tr|A0A6P5JM41|A0A6P5JM41_PHACI
OG0000561	sp|P70268|PKN1_MOUSE	tr|A0A6P5JQG7|A0A6P5JQG7_PHACI
OG0000561	sp|Q8K045|PKN3_MOUSE	tr|A0A6P5IG09|A0A6P5IG09_PHACI
OG0000561	sp|Q8BWW9|PKN2_MOUSE	tr|A0A6P5KIY4|A0A6P5KIY4_PHACI
OG0000562	sp|Q8VDD9|PHIP_MOUSE	tr|A0A6P5JA26|A0A6P5JA26_PHACI
OG0000562	sp|Q921C3|BRWD1_MOUSE	tr|A0A6P5J5B0|A0A6P5J5B0_PHACI
OG0000562	sp|A2AHJ4|BRWD3_MOUSE	tr|A0A6P5ING0|A0A6P5ING0_PHACI
OG0000563	sp|P31650|S6A11_MOUSE	tr|A0A6P5JRE7|A0A6P5JRE7_PHACI
OG0000563	sp|P31651|S6A12_MOUSE	tr|A0A6P5LGB3|A0A6P5LGB3_PHACI
OG0000563	sp|P31649|S6A13_MOUSE	tr|A0A6P5LNA9|A0A6P5LNA9_PHACI
OG0000564	tr|D3YUU6|D3YUU6_MOUSE	tr|A0A6P5LE38|A0A6P5LE38_PHACI
OG0000564	tr|B9EJL3|B9EJL3_MOUSE	tr|A0A6P5LA32|A0A6P5LA32_PHACI, tr|A0A6P5LE23|A0A6P5LE23_PHACI, tr|A0A6P5LBL2|A0A6P5LBL2_PHACI
OG0000565	sp|Q9D8T2|GSDMD_MOUSE	tr|A0A6P5L8N9|A0A6P5L8N9_PHACI, tr|A0A6P5L514|A0A6P5L514_PHACI, tr|A0A6P5L519|A0A6P5L519_PHACI, tr|A0A6P5KX81|A0A6P5KX81_PHACI, tr|A0A6P5KYW4|A0A6P5KYW4_PHACI
OG0000566	tr|Q8VF37|Q8VF37_MOUSE	tr|A0A6P5IV01|A0A6P5IV01_PHACI
OG0000566	tr|E9Q3K2|E9Q3K2_MOUSE	tr|A0A6P5IJ26|A0A6P5IJ26_PHACI, tr|A0A6P5ILN5|A0A6P5ILN5_PHACI, tr|A0A6P5ITB2|A0A6P5ITB2_PHACI
OG0000567	sp|Q99K51|PLST_MOUSE	tr|A0A6P5I9U7|A0A6P5I9U7_PHACI
OG0000567	sp|Q61233|PLSL_MOUSE	tr|A0A6P5KXR8|A0A6P5KXR8_PHACI
OG0000567	sp|Q3V0K9|PLSI_MOUSE	tr|A0A6P5IWV0|A0A6P5IWV0_PHACI
OG0000568	sp|Q91Z31|PTBP2_MOUSE	tr|A0A6P5LB52|A0A6P5LB52_PHACI
OG0000568	sp|P17225|PTBP1_MOUSE	tr|A0A6P5M7I6|A0A6P5M7I6_PHACI
OG0000568	sp|Q8BHD7|PTBP3_MOUSE	tr|A0A6P5JAD0|A0A6P5JAD0_PHACI
OG0000569	sp|P23578|ACRO_MOUSE	tr|A0A6P5JR92|A0A6P5JR92_PHACI, tr|A0A6P5JPF9|A0A6P5JPF9_PHACI, tr|A0A6P5KU24|A0A6P5KU24_PHACI, tr|A0A6P5K074|A0A6P5K074_PHACI, tr|A0A6P5K0I1|A0A6P5K0I1_PHACI
OG0000570	sp|Q64518|AT2A3_MOUSE	tr|A0A6P5IGW8|A0A6P5IGW8_PHACI
OG0000570	sp|O55143|AT2A2_MOUSE	tr|A0A6P5IUU3|A0A6P5IUU3_PHACI
OG0000570	sp|Q8R429|AT2A1_MOUSE	tr|A0A6P5M2T2|A0A6P5M2T2_PHACI
OG0000571	sp|O54827|AT10A_MOUSE	tr|A0A6P5KYF6|A0A6P5KYF6_PHACI
OG0000571	sp|B1AWN4|AT10B_MOUSE	tr|A0A6P5KT79|A0A6P5KT79_PHACI
OG0000571	sp|Q8K2X1|AT10D_MOUSE	tr|A0A6P5KPC2|A0A6P5KPC2_PHACI
OG0000572	sp|P23440|PDE6B_MOUSE	tr|A0A6P5LRA8|A0A6P5LRA8_PHACI
OG0000572	sp|P27664|PDE6A_MOUSE	tr|A0A6P5IFH6|A0A6P5IFH6_PHACI
OG0000572	sp|Q91ZQ1|PDE6C_MOUSE	tr|A0A6P5ILQ3|A0A6P5ILQ3_PHACI
OG0000573	sp|P50427|STS_MOUSE	tr|A0A6P5KRV3|A0A6P5KRV3_PHACI, tr|A0A6P5KTS7|A0A6P5KTS7_PHACI, tr|A0A6P5KRU8|A0A6P5KRU8_PHACI, tr|A0A6P5KS86|A0A6P5KS86_PHACI, tr|A0A6P5M0W3|A0A6P5M0W3_PHACI
OG0000574	tr|F7BAB2|F7BAB2_MOUSE	tr|A0A6P5LNX0|A0A6P5LNX0_PHACI
OG0000574	sp|Q76HP3|T132D_MOUSE	tr|A0A6P5LNN8|A0A6P5LNN8_PHACI
OG0000574	sp|Q8CEF9|T132C_MOUSE	tr|A0A6P5LNN3|A0A6P5LNN3_PHACI
OG0000575	sp|Q91Z69|SRGP1_MOUSE	tr|A0A6P5KMH8|A0A6P5KMH8_PHACI
OG0000575	sp|Q812A2|SRGP3_MOUSE	tr|A0A6P5J563|A0A6P5J563_PHACI
OG0000575	sp|Q91Z67|SRGP2_MOUSE	tr|A0A6P5LML1|A0A6P5LML1_PHACI
OG0000576	sp|Q9CPN8|IF2B3_MOUSE	tr|A0A6P5KUN7|A0A6P5KUN7_PHACI
OG0000576	sp|O88477|IF2B1_MOUSE	tr|A0A6P5L5T4|A0A6P5L5T4_PHACI
OG0000576	sp|Q5SF07|IF2B2_MOUSE	tr|A0A6P5LVS8|A0A6P5LVS8_PHACI
OG0000577	sp|O88174|MCP_MOUSE	tr|A0A6P5LS59|A0A6P5LS59_PHACI, tr|A0A6P5LYE0|A0A6P5LYE0_PHACI, tr|A0A6P5JVX2|A0A6P5JVX2_PHACI, tr|A0A6P5JRY4|A0A6P5JRY4_PHACI, tr|A0A6P5JNA3|A0A6P5JNA3_PHACI
OG0000578	sp|Q04735|CDK16_MOUSE	tr|A0A6P5JDC5|A0A6P5JDC5_PHACI
OG0000578	sp|Q04899|CDK18_MOUSE	tr|A0A6P5LQZ7|A0A6P5LQZ7_PHACI
OG0000578	sp|Q8K0D0|CDK17_MOUSE	tr|A0A6P5LU65|A0A6P5LU65_PHACI
OG0000579	sp|E9Q3M5|S4A5_MOUSE	tr|A0A6P5M121|A0A6P5M121_PHACI
OG0000579	tr|A0A494BA31|A0A494BA31_MOUSE	tr|A0A6P5LR01|A0A6P5LR01_PHACI
OG0000579	sp|O88343|S4A4_MOUSE	tr|A0A6P5KHR1|A0A6P5KHR1_PHACI
OG0000580	sp|Q8K2T1|NMRL1_MOUSE	tr|A0A6P5KZB2|A0A6P5KZB2_PHACI, tr|A0A6P5JRY8|A0A6P5JRY8_PHACI, tr|A0A6P5LSA5|A0A6P5LSA5_PHACI, tr|A0A6P5LVZ1|A0A6P5LVZ1_PHACI, tr|A0A6P5JX46|A0A6P5JX46_PHACI
OG0000581	sp|Q8BYM5|NLGN3_MOUSE	tr|A0A6P5JDL2|A0A6P5JDL2_PHACI
OG0000581	sp|B0F2B4|NLGN4_MOUSE	tr|A0A6P5M0Z1|A0A6P5M0Z1_PHACI
OG0000581	sp|Q99K10|NLGN1_MOUSE	tr|A0A6P5JPH8|A0A6P5JPH8_PHACI
OG0000582	sp|P43137|LIT1_MOUSE, sp|Q08731|LIT2_MOUSE	tr|A0A6P5LLT3|A0A6P5LLT3_PHACI, tr|A0A6P5LLR1|A0A6P5LLR1_PHACI, tr|A0A6P5LFR8|A0A6P5LFR8_PHACI, tr|A0A6P5LG45|A0A6P5LG45_PHACI
OG0000583	sp|P97402|GCNT2_MOUSE	tr|A0A6P5MBH5|A0A6P5MBH5_PHACI, tr|A0A6P5MAP6|A0A6P5MAP6_PHACI, tr|A0A6P5IIP5|A0A6P5IIP5_PHACI, tr|A0A6P5IIZ5|A0A6P5IIZ5_PHACI, tr|A0A6P5M494|A0A6P5M494_PHACI
OG0000594	sp|P47739|AL3A1_MOUSE	tr|A0A6P5LZC4|A0A6P5LZC4_PHACI, tr|A0A6P5LW03|A0A6P5LW03_PHACI
OG0000594	sp|P47740|AL3A2_MOUSE	tr|A0A6P5LZ47|A0A6P5LZ47_PHACI
OG0000595	sp|Q3UIR3|DTX3L_MOUSE	tr|A0A6P5JWR6|A0A6P5JWR6_PHACI, tr|A0A6P5K813|A0A6P5K813_PHACI, tr|A0A6P5JHZ2|A0A6P5JHZ2_PHACI, tr|A0A6P5JNR0|A0A6P5JNR0_PHACI
OG0000597	sp|O35488|S27A2_MOUSE	tr|A0A6P5JNT0|A0A6P5JNT0_PHACI
OG0000597	sp|E9Q9W4|S27A6_MOUSE, sp|Q4LDG0|S27A5_MOUSE	tr|A0A6P5LU10|A0A6P5LU10_PHACI
OG0000598	sp|Q8BX22|SALL4_MOUSE	tr|A0A6P5K3X8|A0A6P5K3X8_PHACI
OG0000598	sp|Q62255|SALL3_MOUSE	tr|A0A6P5KC65|A0A6P5KC65_PHACI, tr|A0A6P5JX34|A0A6P5JX34_PHACI
OG0000600	tr|E9PYY2|E9PYY2_MOUSE, tr|E9Q7C5|E9Q7C5_MOUSE, tr|E9PV96|E9PV96_MOUSE, tr|K7N6B2|K7N6B2_MOUSE	tr|A0A6P5JKH9|A0A6P5JKH9_PHACI
OG0000603	sp|Q9CZ52|ANTR1_MOUSE	tr|A0A6P5K6H9|A0A6P5K6H9_PHACI
OG0000603	tr|A0A2I3BPJ2|A0A2I3BPJ2_MOUSE, sp|Q8BVM2|ANTRL_MOUSE	tr|A0A6P5L6S2|A0A6P5L6S2_PHACI
OG0000604	tr|A0A571BEG0|A0A571BEG0_MOUSE	tr|A0A6P5KXJ9|A0A6P5KXJ9_PHACI
OG0000604	tr|A0A1D5RM54|A0A1D5RM54_MOUSE, tr|G3X8W1|G3X8W1_MOUSE	tr|A0A6P5KYD8|A0A6P5KYD8_PHACI
OG0000606	tr|Q8BW45|Q8BW45_MOUSE, sp|Q8K2Z8|UB2Q2_MOUSE	tr|A0A6P5JE07|A0A6P5JE07_PHACI
OG0000606	sp|Q7TSS2|UB2Q1_MOUSE	tr|A0A6P5KR34|A0A6P5KR34_PHACI
OG0000607	sp|P00184|CP1A1_MOUSE, sp|P00186|CP1A2_MOUSE	tr|A0A6P5L075|A0A6P5L075_PHACI, tr|A0A6P5KWG8|A0A6P5KWG8_PHACI, tr|A0A6P5M3K3|A0A6P5M3K3_PHACI
OG0000608	sp|P97361|BPIA1_MOUSE, sp|Q9CQX3|BPIA5_MOUSE	tr|A0A6P5KKN0|A0A6P5KKN0_PHACI
OG0000608	sp|P07743|BPIA2_MOUSE	tr|A0A6P5KML4|A0A6P5KML4_PHACI
OG0000612	tr|E9PZ66|E9PZ66_MOUSE, tr|F8VQI7|F8VQI7_MOUSE	tr|A0A6P5IMN1|A0A6P5IMN1_PHACI, tr|A0A6P5IR79|A0A6P5IR79_PHACI, tr|A0A6P5IYD3|A0A6P5IYD3_PHACI
OG0000614	tr|Q8VGD8|Q8VGD8_MOUSE, tr|E9Q4J3|E9Q4J3_MOUSE, tr|Q7TRY2|Q7TRY2_MOUSE, tr|Q5NC45|Q5NC45_MOUSE	tr|A0A6P5IIR0|A0A6P5IIR0_PHACI
OG0000615	sp|P16388|KCNA1_MOUSE	tr|A0A6P5KZP8|A0A6P5KZP8_PHACI
OG0000615	sp|Q17ST2|KCNA7_MOUSE, sp|P16390|KCNA3_MOUSE	tr|A0A6P5LF39|A0A6P5LF39_PHACI
OG0000616	sp|Q9DBG5|PLIN3_MOUSE	tr|A0A6P5IY78|A0A6P5IY78_PHACI
OG0000616	sp|Q8BVZ1|PLIN5_MOUSE	tr|A0A6P5IXZ4|A0A6P5IXZ4_PHACI, tr|A0A6P5IYB8|A0A6P5IYB8_PHACI
OG0000617	sp|Q8JZQ5|AOC1_MOUSE, tr|E9Q745|E9Q745_MOUSE, tr|Q6IMK7|Q6IMK7_MOUSE, tr|Q6WIZ7|Q6WIZ7_MOUSE	tr|A0A6P5JH79|A0A6P5JH79_PHACI
OG0000618	sp|P68181|KAPCB_MOUSE	tr|A0A6P5KIP6|A0A6P5KIP6_PHACI
OG0000618	sp|P05132|KAPCA_MOUSE	tr|A0A6P5L4S0|A0A6P5L4S0_PHACI, tr|A0A6P5JHA1|A0A6P5JHA1_PHACI
OG0000619	sp|Q9QXP6|MKRN1_MOUSE	tr|A0A6P5LAB8|A0A6P5LAB8_PHACI
OG0000619	sp|Q60764|MKRN3_MOUSE	tr|A0A6P5LAY6|A0A6P5LAY6_PHACI, tr|A0A6P5IN21|A0A6P5IN21_PHACI
OG0000624	sp|Q64332|SYN2_MOUSE	tr|A0A6P5JRJ2|A0A6P5JRJ2_PHACI
OG0000624	sp|Q8JZP2|SYN3_MOUSE, sp|O88935|SYN1_MOUSE	tr|A0A6P5JD90|A0A6P5JD90_PHACI
OG0000625	sp|Q9D454|CX049_MOUSE, tr|A0A1B0GR91|A0A1B0GR91_MOUSE, tr|E9Q4Y8|E9Q4Y8_MOUSE, tr|A0A668KLC8|A0A668KLC8_MOUSE	tr|A0A6P5JMK3|A0A6P5JMK3_PHACI
OG0000626	sp|P23336|GGTA1_MOUSE	tr|A0A6P5KPB7|A0A6P5KPB7_PHACI
OG0000626	tr|A2AUQ8|A2AUQ8_MOUSE, sp|Q3V1N9|A3LT2_MOUSE	tr|A0A6P5KNB9|A0A6P5KNB9_PHACI
OG0000629	sp|B1ARD6|SLFN9_MOUSE, sp|B1ARD8|SLFN8_MOUSE	tr|A0A6P5LT61|A0A6P5LT61_PHACI
OG0000629	sp|Q8CBA2|SLFN5_MOUSE	tr|A0A6P5LWS5|A0A6P5LWS5_PHACI
OG0000630	sp|J3QMK6|AL3B3_MOUSE, sp|E9Q3E1|AL3B2_MOUSE, sp|Q80VQ0|AL3B1_MOUSE	tr|A0A6P5IYG5|A0A6P5IYG5_PHACI, tr|A0A6P5IRM6|A0A6P5IRM6_PHACI
OG0000632	sp|Q8VI94|OASL1_MOUSE	tr|A0A6P5LYU3|A0A6P5LYU3_PHACI
OG0000632	sp|Q9Z2F2|OASL2_MOUSE	tr|A0A6P5M5Y5|A0A6P5M5Y5_PHACI, tr|A0A6P5LYQ0|A0A6P5LYQ0_PHACI
OG0000633	sp|P01910|HA2K_MOUSE	tr|A0A0U4HGU3|A0A0U4HGU3_PHACI
OG0000633	sp|P04224|HA22_MOUSE, sp|P01904|HA21_MOUSE	tr|A0A0U4G588|A0A0U4G588_PHACI
OG0000635	sp|Q6ZWV3|RL10_MOUSE	tr|A0A6P5JD62|A0A6P5JD62_PHACI, tr|A0A6P5LDR8|A0A6P5LDR8_PHACI, tr|A0A6P5KA05|A0A6P5KA05_PHACI, tr|A0A6P5MAK8|A0A6P5MAK8_PHACI
OG0000636	sp|Q925H0|ASIC2_MOUSE	tr|A0A6P5IJU8|A0A6P5IJU8_PHACI
OG0000636	sp|Q9R0Y1|ASIC5_MOUSE, sp|Q6NXK8|ASIC1_MOUSE	tr|A0A6P5IKR2|A0A6P5IKR2_PHACI
OG0000637	tr|Q7TRV7|Q7TRV7_MOUSE, tr|Q8VGP4|Q8VGP4_MOUSE, tr|Q7TRV8|Q7TRV8_MOUSE	tr|A0A6P5LAN8|A0A6P5LAN8_PHACI, tr|A0A6P5LE00|A0A6P5LE00_PHACI
OG0000638	tr|Q8C879|Q8C879_MOUSE	tr|A0A6P5K5H7|A0A6P5K5H7_PHACI
OG0000638	sp|Q8BZ34|ZN641_MOUSE, tr|B2RX31|B2RX31_MOUSE	tr|A0A6P5L2Y4|A0A6P5L2Y4_PHACI
OG0000639	sp|Q64516|GLPK_MOUSE	tr|A0A6P5JVU0|A0A6P5JVU0_PHACI
OG0000639	sp|Q9WU65|GLPK2_MOUSE, tr|Q8C635|Q8C635_MOUSE	tr|A0A6P5JN19|A0A6P5JN19_PHACI
OG0000640	sp|Q8CIA9|MF14B_MOUSE	tr|A0A6P5LVE7|A0A6P5LVE7_PHACI
OG0000640	sp|P70187|MF14A_MOUSE	tr|A0A6P5M7I9|A0A6P5M7I9_PHACI, tr|A0A6P5LFG8|A0A6P5LFG8_PHACI
OG0000641	tr|A2ATW2|A2ATW2_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE	tr|A0A6P5M426|A0A6P5M426_PHACI
OG0000642	tr|E9Q3K0|E9Q3K0_MOUSE, tr|E9Q8Z1|E9Q8Z1_MOUSE, tr|E9Q6D3|E9Q6D3_MOUSE, tr|Q9D496|Q9D496_MOUSE	tr|A0A6P5K3T5|A0A6P5K3T5_PHACI
OG0000643	tr|E9Q9V5|E9Q9V5_MOUSE, sp|Q99N09|M4A6B_MOUSE, sp|Q99N08|M4A6C_MOUSE, sp|Q99N07|M4A6D_MOUSE	tr|A0A6P5JEG8|A0A6P5JEG8_PHACI
OG0000645	sp|P10630|IF4A2_MOUSE	tr|A0A6P5JQR0|A0A6P5JQR0_PHACI
OG0000645	sp|P60843|IF4A1_MOUSE	tr|A0A6P5LFV4|A0A6P5LFV4_PHACI, tr|A0A6P5IUE5|A0A6P5IUE5_PHACI
OG0000646	tr|D3YUP5|D3YUP5_MOUSE	tr|A0A6P5JR04|A0A6P5JR04_PHACI, tr|A0A6P5JSF8|A0A6P5JSF8_PHACI, tr|A0A6P5JP44|A0A6P5JP44_PHACI, tr|A0A6P5JQ31|A0A6P5JQ31_PHACI
OG0000647	sp|Q9D733|GP2_MOUSE	tr|A0A6P5IFW0|A0A6P5IFW0_PHACI
OG0000647	sp|Q5DID3|UROL1_MOUSE, sp|Q91X17|UROM_MOUSE	tr|A0A6P5IFU7|A0A6P5IFU7_PHACI
OG0000648	sp|P30051|TEAD1_MOUSE	tr|A0A6P5LGV3|A0A6P5LGV3_PHACI
OG0000648	sp|P48301|TEAD2_MOUSE, sp|Q62296|TEAD4_MOUSE	tr|A0A6P5LFK5|A0A6P5LFK5_PHACI
OG0000649	sp|P39655|LOX12_MOUSE	tr|A0A6P5IT48|A0A6P5IT48_PHACI
OG0000649	sp|P39654|LOX15_MOUSE, sp|P55249|LX12E_MOUSE	tr|A0A6P5IU81|A0A6P5IU81_PHACI
OG0000650	sp|Q3UZ09|C1RL_MOUSE	tr|A0A6P5L335|A0A6P5L335_PHACI
OG0000650	sp|Q8CFG9|C1RB_MOUSE, sp|Q8CG16|C1RA_MOUSE	tr|A0A6P5KVQ6|A0A6P5KVQ6_PHACI
OG0000651	tr|E9Q4X2|E9Q4X2_MOUSE	tr|A0A6P5IHF7|A0A6P5IHF7_PHACI, tr|A0A6P5JRF0|A0A6P5JRF0_PHACI
OG0000651	sp|Q6P5E4|UGGG1_MOUSE	tr|A0A6P5IKY3|A0A6P5IKY3_PHACI
OG0000652	tr|A2ART8|A2ART8_MOUSE	tr|A0A6P5M8V5|A0A6P5M8V5_PHACI
OG0000652	sp|Q8BZH1|TGM4_MOUSE, sp|Q9D7I9|TGM5_MOUSE	tr|A0A6P5M522|A0A6P5M522_PHACI
OG0000654	tr|Q0P538|Q0P538_MOUSE, sp|Q07440|B2LA1_MOUSE, tr|O55179|O55179_MOUSE, tr|Q497M6|Q497M6_MOUSE	tr|A0A6P5IHE9|A0A6P5IHE9_PHACI
OG0000656	sp|P08071|TRFL_MOUSE, sp|Q9DBD0|ICA_MOUSE, sp|Q921I1|TRFE_MOUSE	tr|A0A6P5K946|A0A6P5K946_PHACI, tr|A0A6P5K9Q6|A0A6P5K9Q6_PHACI
OG0000657	tr|Q8VGZ2|Q8VGZ2_MOUSE, tr|Q8VGV9|Q8VGV9_MOUSE, tr|Q8VGW0|Q8VGW0_MOUSE	tr|A0A6P5IR71|A0A6P5IR71_PHACI, tr|A0A6P5INC4|A0A6P5INC4_PHACI
