Orthogroup	Mus_musculus	Cavia_porcellus
OG0001143	sp|Q61597|CRGC_MOUSE	tr|A3RLD9|A3RLD9_CAVPO
OG0001144	sp|Q6PAK3|ANM8_MOUSE	tr|H0V6A3|H0V6A3_CAVPO
OG0001144	sp|Q9JIF0|ANM1_MOUSE	tr|A0A286X7Q2|A0A286X7Q2_CAVPO
OG0001145	sp|Q8BHJ5|TBL1R_MOUSE	tr|H0V5J5|H0V5J5_CAVPO
OG0001145	sp|Q9QXE7|TBL1X_MOUSE	tr|H0VBI8|H0VBI8_CAVPO
OG0001146	sp|Q8K3Z9|PO121_MOUSE, sp|Q5SW25|P12L2_MOUSE, tr|A0A1B0GSJ4|A0A1B0GSJ4_MOUSE	tr|H0VDE5|H0VDE5_CAVPO
OG0001147	sp|Q7TQQ0|O1509_MOUSE, tr|Q0VEP0|Q0VEP0_MOUSE, tr|Q9R0K4|Q9R0K4_MOUSE	tr|H0VW28|H0VW28_CAVPO
OG0001148	sp|P0C027|NUD10_MOUSE, sp|P0C028|NUD11_MOUSE	tr|H0W9S6|H0W9S6_CAVPO, tr|H0W838|H0W838_CAVPO
OG0001149	tr|E9PZS7|E9PZS7_MOUSE, tr|A0A2I3BRI6|A0A2I3BRI6_MOUSE	tr|H0VYF7|H0VYF7_CAVPO, tr|A0A286Y164|A0A286Y164_CAVPO
OG0001150	tr|A0A5F8MPH2|A0A5F8MPH2_MOUSE	tr|H0V669|H0V669_CAVPO
OG0001150	sp|Q8CIN6|CELF3_MOUSE	tr|A0A286X9Y0|A0A286X9Y0_CAVPO
OG0001151	sp|P84102|SERF2_MOUSE	tr|A0A286XMI4|A0A286XMI4_CAVPO
OG0001151	sp|O88892|SERF1_MOUSE	tr|A0A286XN49|A0A286XN49_CAVPO
OG0001152	sp|P97366|EVI5_MOUSE	tr|H0V8W8|H0V8W8_CAVPO
OG0001152	tr|H3BKQ3|H3BKQ3_MOUSE	tr|A0A286XTB9|A0A286XTB9_CAVPO
OG0001153	sp|Q149F3|ERF3B_MOUSE	tr|H0V9A5|H0V9A5_CAVPO
OG0001153	sp|Q8R050|ERF3A_MOUSE	tr|H0VEH8|H0VEH8_CAVPO
OG0001154	sp|Q920R6|VPP4_MOUSE	tr|H0VIY1|H0VIY1_CAVPO
OG0001154	sp|Q9Z1G4|VPP1_MOUSE	tr|H0VJ49|H0VJ49_CAVPO
OG0001155	sp|P42232|STA5B_MOUSE	tr|H0VXN9|H0VXN9_CAVPO
OG0001155	sp|P42230|STA5A_MOUSE	tr|H0VKX1|H0VKX1_CAVPO
OG0001156	sp|Q3UH53|SDK1_MOUSE	tr|H0VS84|H0VS84_CAVPO
OG0001156	sp|Q6V4S5|SDK2_MOUSE	tr|A0A286XG20|A0A286XG20_CAVPO
OG0001157	sp|P97798|NEO1_MOUSE	tr|H0V6G6|H0V6G6_CAVPO
OG0001157	sp|P70211|DCC_MOUSE	tr|H0UXK1|H0UXK1_CAVPO
OG0001158	sp|Q63844|MK03_MOUSE	tr|A0A286XFG6|A0A286XFG6_CAVPO
OG0001158	sp|P63085|MK01_MOUSE	tr|H0VMU3|H0VMU3_CAVPO
OG0001159	sp|A6H5Z3|EXC6B_MOUSE	tr|H0VHG3|H0VHG3_CAVPO
OG0001159	sp|Q8R313|EXOC6_MOUSE	tr|H0V1Q7|H0V1Q7_CAVPO
OG0001160	sp|Q2YFS3|PILRA_MOUSE, sp|Q2YFS1|PILB2_MOUSE, sp|Q2YFS2|PILRB_MOUSE	tr|H0VSP2|H0VSP2_CAVPO
OG0001161	tr|Q8R379|Q8R379_MOUSE, sp|G3X987|GIMA9_MOUSE, sp|E9PW74|GIMD1_MOUSE	tr|H0WAN2|H0WAN2_CAVPO
OG0001162	tr|Q9D3H4|Q9D3H4_MOUSE, tr|A0PK51|A0PK51_MOUSE	tr|A0A286Y4W6|A0A286Y4W6_CAVPO, tr|A0A286XT80|A0A286XT80_CAVPO
OG0001163	sp|Q80XR2|AT2C1_MOUSE	tr|A0A286XVH3|A0A286XVH3_CAVPO
OG0001163	sp|A7L9Z8|AT2C2_MOUSE	tr|H0W2R6|H0W2R6_CAVPO
OG0001164	sp|P17553|WNT3_MOUSE	tr|H0VEK0|H0VEK0_CAVPO
OG0001164	sp|P27467|WNT3A_MOUSE	tr|A0A286XG29|A0A286XG29_CAVPO
OG0001165	sp|Q99L27|GMPR2_MOUSE	tr|A0A286Y002|A0A286Y002_CAVPO
OG0001165	sp|Q9DCZ1|GMPR1_MOUSE	tr|H0VKD1|H0VKD1_CAVPO
OG0001166	tr|E9PWZ3|E9PWZ3_MOUSE	tr|H0VJM2|H0VJM2_CAVPO
OG0001166	sp|P27659|RL3_MOUSE	tr|H0VFZ5|H0VFZ5_CAVPO
OG0001167	sp|Q6P9R2|OXSR1_MOUSE	tr|H0VDD6|H0VDD6_CAVPO
OG0001167	sp|Q9Z1W9|STK39_MOUSE	tr|H0VP19|H0VP19_CAVPO
OG0001168	tr|D3Z649|D3Z649_MOUSE	tr|H0UYT7|H0UYT7_CAVPO
OG0001168	sp|Q6ZPR4|KCNT1_MOUSE	tr|H0W2H8|H0W2H8_CAVPO
OG0001169	sp|A2AF47|DOC11_MOUSE	tr|H0V6P0|H0V6P0_CAVPO
OG0001169	sp|Q8BIK4|DOCK9_MOUSE	tr|H0UW64|H0UW64_CAVPO
OG0001170	sp|Q8K135|K319L_MOUSE	tr|H0VC57|H0VC57_CAVPO
OG0001170	sp|Q5SZV5|K0319_MOUSE	tr|H0VRR2|H0VRR2_CAVPO
OG0001171	sp|Q8BMW7|NIPA3_MOUSE	tr|A0A286XBB4|A0A286XBB4_CAVPO
OG0001171	sp|Q9JJC8|NIPA2_MOUSE	tr|H0VM35|H0VM35_CAVPO
OG0001172	sp|Q8R2P1|KLH25_MOUSE	tr|H0VMY7|H0VMY7_CAVPO
OG0001172	sp|O35709|ENC1_MOUSE	tr|H0VX37|H0VX37_CAVPO
OG0001173	sp|P11416|RARA_MOUSE	tr|A0A286XPR8|A0A286XPR8_CAVPO
OG0001173	sp|P22605|RARB_MOUSE	tr|H0VTA6|H0VTA6_CAVPO
OG0001174	sp|Q9JHY3|WFD12_MOUSE, sp|Q4KUS1|WFDC8_MOUSE, sp|Q9DA01|EPPI_MOUSE	tr|H0V040|H0V040_CAVPO
OG0001175	sp|Q8BH88|DEP1B_MOUSE	tr|A0A286XAF2|A0A286XAF2_CAVPO
OG0001175	sp|Q8CIG0|DEP1A_MOUSE	tr|H0VPN6|H0VPN6_CAVPO
OG0001176	sp|Q8QZS5|RN183_MOUSE, sp|Q3UV31|RN223_MOUSE, sp|Q9D7D1|RN225_MOUSE	tr|H0VHL5|H0VHL5_CAVPO
OG0001177	sp|Q60996|2A5G_MOUSE	tr|H0UTJ4|H0UTJ4_CAVPO
OG0001177	tr|Q7TNL5|Q7TNL5_MOUSE	tr|H0VI33|H0VI33_CAVPO
OG0001178	tr|A0A140LHS9|A0A140LHS9_MOUSE, tr|A0A2I3BR00|A0A2I3BR00_MOUSE, tr|Q8VFV3|Q8VFV3_MOUSE	tr|H0W3T6|H0W3T6_CAVPO
OG0001179	sp|P63158|HMGB1_MOUSE	tr|A0A286Y2Z6|A0A286Y2Z6_CAVPO, tr|A0A286XER8|A0A286XER8_CAVPO, tr|H0WAS6|H0WAS6_CAVPO
OG0001180	sp|Q6ZPE2|MTMR5_MOUSE	tr|A0A286Y4T3|A0A286Y4T3_CAVPO
OG0001180	sp|E9PXF8|MTMRD_MOUSE	tr|A0A286Y4Q3|A0A286Y4Q3_CAVPO
OG0001181	sp|Q8R0Y6|AL1L1_MOUSE	tr|H0V7T5|H0V7T5_CAVPO
OG0001181	sp|Q8K009|AL1L2_MOUSE	tr|H0VH13|H0VH13_CAVPO
OG0001182	sp|D3YXG0|HMCN1_MOUSE	tr|H0VAJ3|H0VAJ3_CAVPO
OG0001182	sp|A2AJ76|HMCN2_MOUSE	tr|H0VN85|H0VN85_CAVPO
OG0001183	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A286XH17|A0A286XH17_CAVPO
OG0001183	sp|Q8BQC8|RBAK_MOUSE	tr|H0VE56|H0VE56_CAVPO
OG0001184	sp|Q1EG27|MYO3B_MOUSE	tr|A0A286Y0P1|A0A286Y0P1_CAVPO
OG0001184	sp|Q8K3H5|MYO3A_MOUSE	tr|H0VPD8|H0VPD8_CAVPO
OG0001185	sp|Q8BHL5|ELMO2_MOUSE	tr|H0UZR8|H0UZR8_CAVPO
OG0001185	sp|Q8BPU7|ELMO1_MOUSE	tr|H0V667|H0V667_CAVPO
OG0001186	sp|Q8BT60|CPNE3_MOUSE	tr|H0VQZ2|H0VQZ2_CAVPO
OG0001186	sp|Q8C166|CPNE1_MOUSE	tr|H0WB17|H0WB17_CAVPO
OG0001187	sp|Q9CZR2|NALD2_MOUSE	tr|A0A286XXX9|A0A286XXX9_CAVPO
OG0001187	sp|O35409|FOLH1_MOUSE	tr|A0A286XLX4|A0A286XLX4_CAVPO
OG0001188	sp|Q5SWU9|ACACA_MOUSE	tr|H0V6W7|H0V6W7_CAVPO
OG0001188	sp|E9Q4Z2|ACACB_MOUSE	tr|H0V3L2|H0V3L2_CAVPO
OG0001189	sp|P0C673|IGS11_MOUSE, tr|A7E1W8|A7E1W8_MOUSE, sp|Q63994|CD33_MOUSE	tr|H0V0B9|H0V0B9_CAVPO
OG0001190	sp|P17426|AP2A1_MOUSE	tr|H0V4P1|H0V4P1_CAVPO
OG0001190	sp|P17427|AP2A2_MOUSE	tr|H0VIB5|H0VIB5_CAVPO
OG0001191	sp|O88799|ZAN_MOUSE, tr|E9PVG8|E9PVG8_MOUSE, tr|E9Q0B5|E9Q0B5_MOUSE	tr|H0WC58|H0WC58_CAVPO
OG0001192	sp|P53784|SOX3_MOUSE, sp|P48432|SOX2_MOUSE, sp|P53783|SOX1_MOUSE	tr|A0A286XAQ8|A0A286XAQ8_CAVPO
OG0001193	sp|Q8VDF2|UHRF1_MOUSE	tr|H0VPS5|H0VPS5_CAVPO
OG0001193	sp|Q7TMI3|UHRF2_MOUSE	tr|H0V426|H0V426_CAVPO
OG0001194	sp|Q69ZF7|CNNM4_MOUSE	tr|H0VEV0|H0VEV0_CAVPO
OG0001194	sp|Q3TWN3|CNNM2_MOUSE	tr|H0VU28|H0VU28_CAVPO
OG0001195	sp|Q4VK74|IFNL2_MOUSE, sp|Q8CGK6|IFNL3_MOUSE	tr|H0W5T9|H0W5T9_CAVPO, tr|H0VBN4|H0VBN4_CAVPO
OG0001196	sp|Q80VP1|EPN1_MOUSE	tr|H0VD16|H0VD16_CAVPO
OG0001196	sp|Q8CHU3|EPN2_MOUSE	tr|H0V429|H0V429_CAVPO
OG0001197	sp|P60762|MO4L1_MOUSE	tr|A0A286XGN0|A0A286XGN0_CAVPO, tr|A0A286XHD0|A0A286XHD0_CAVPO, tr|A0A286XXP5|A0A286XXP5_CAVPO
OG0001198	sp|Q8CF93|GLT13_MOUSE	tr|A0A286XNC2|A0A286XNC2_CAVPO
OG0001198	sp|O08912|GALT1_MOUSE	tr|A0A286XXZ5|A0A286XXZ5_CAVPO
OG0001199	sp|Q71LX4|TLN2_MOUSE	tr|A0A286XDN7|A0A286XDN7_CAVPO
OG0001199	sp|P26039|TLN1_MOUSE	tr|H0UTV0|H0UTV0_CAVPO
OG0001200	sp|Q9JMK2|KC1E_MOUSE	tr|H0V5Y3|H0V5Y3_CAVPO
OG0001200	sp|Q9DC28|KC1D_MOUSE	tr|H0VI07|H0VI07_CAVPO
OG0001201	tr|Q8VF30|Q8VF30_MOUSE, tr|Q8VF31|Q8VF31_MOUSE, tr|Q924H8|Q924H8_MOUSE	tr|H0VUR4|H0VUR4_CAVPO
OG0001202	sp|Q9CQ52|CEL3B_MOUSE, tr|A2A9U8|A2A9U8_MOUSE	tr|H0UTV2|H0UTV2_CAVPO, tr|H0VUY6|H0VUY6_CAVPO
OG0001203	sp|Q05BC3|EMAL1_MOUSE	tr|A0A286XZM2|A0A286XZM2_CAVPO
OG0001203	sp|Q7TNG5|EMAL2_MOUSE	tr|H0VNT2|H0VNT2_CAVPO
OG0001204	tr|Q8VG49|Q8VG49_MOUSE, tr|E9Q725|E9Q725_MOUSE	tr|A0A286XVN8|A0A286XVN8_CAVPO, tr|H0VX40|H0VX40_CAVPO
OG0001205	sp|Q6S5G4|CXA6_MOUSE, sp|Q64448|CXA3_MOUSE, sp|P23242|CXA1_MOUSE	tr|H0W5E9|H0W5E9_CAVPO
OG0001206	sp|Q921C3|BRWD1_MOUSE	tr|H0VHP2|H0VHP2_CAVPO
OG0001206	sp|Q8VDD9|PHIP_MOUSE	tr|H0V8E6|H0V8E6_CAVPO
OG0001207	sp|Q6SJ95|TBPL2_MOUSE	tr|H0V751|H0V751_CAVPO
OG0001207	sp|P29037|TBP_MOUSE	tr|A0A286Y1K6|A0A286Y1K6_CAVPO
OG0001208	tr|Q9ERL0|Q9ERL0_MOUSE	tr|H0UVT8|H0UVT8_CAVPO
OG0001208	sp|A2AM29|AF9_MOUSE	tr|A0A286XTG9|A0A286XTG9_CAVPO
OG0001209	tr|Q8VGL5|Q8VGL5_MOUSE, tr|Q8VGT4|Q8VGT4_MOUSE	tr|A0A286X832|A0A286X832_CAVPO, tr|A0A286XV19|A0A286XV19_CAVPO
OG0001210	sp|Q8CIF6|SIDT2_MOUSE	tr|H0V939|H0V939_CAVPO
OG0001210	sp|Q6AXF6|SIDT1_MOUSE	tr|A0A286XWJ9|A0A286XWJ9_CAVPO
OG0001211	sp|Q8BFZ4|FXL21_MOUSE	tr|H0UVU2|H0UVU2_CAVPO
OG0001211	sp|Q8C4V4|FBXL3_MOUSE	tr|H0V4E7|H0V4E7_CAVPO
OG0001212	sp|Q8BYF6|SC5A8_MOUSE	tr|H0VG11|H0VG11_CAVPO
OG0001212	sp|Q5U4D8|SC5A6_MOUSE	tr|A0A286XWH2|A0A286XWH2_CAVPO
OG0001213	sp|Q9JI11|STK4_MOUSE	tr|A0A286Y208|A0A286Y208_CAVPO
OG0001213	sp|Q9JI10|STK3_MOUSE	tr|H0VHF9|H0VHF9_CAVPO
OG0001214	sp|P14211|CALR_MOUSE	tr|H0UUR0|H0UUR0_CAVPO
OG0001214	tr|Q3TQS0|Q3TQS0_MOUSE	tr|H0W538|H0W538_CAVPO
OG0001215	sp|Q9R0M0|CELR2_MOUSE	tr|A0A286Y5A0|A0A286Y5A0_CAVPO
OG0001215	sp|O35161|CELR1_MOUSE	tr|H0VPZ8|H0VPZ8_CAVPO
OG0001216	sp|Q8VC57|KCTD5_MOUSE	tr|A0A286XI67|A0A286XI67_CAVPO
OG0001216	sp|Q8CEZ0|KCTD2_MOUSE	tr|H0VVT7|H0VVT7_CAVPO
OG0001217	sp|Q8CFI0|NED4L_MOUSE	tr|A0A286XGM8|A0A286XGM8_CAVPO
OG0001217	sp|P46935|NEDD4_MOUSE	tr|H0UUG7|H0UUG7_CAVPO
OG0001218	sp|Q99MK8|ARBK1_MOUSE	tr|A0A286Y3X9|A0A286Y3X9_CAVPO
OG0001218	sp|Q3UYH7|ARBK2_MOUSE	tr|H0VFE9|H0VFE9_CAVPO
OG0001219	sp|Q8VGR9|O1044_MOUSE, tr|Q8VFL0|Q8VFL0_MOUSE	tr|A0A286XY18|A0A286XY18_CAVPO, tr|H0WA71|H0WA71_CAVPO
OG0001220	sp|P00687|AMY1_MOUSE, sp|P00688|AMYP_MOUSE, tr|E9PV85|E9PV85_MOUSE	tr|A0A286X8A2|A0A286X8A2_CAVPO
OG0001221	sp|Q9JKL1|PKR1_MOUSE	tr|A0A286XL64|A0A286XL64_CAVPO
OG0001221	sp|Q8K458|PKR2_MOUSE	tr|A0A286XLQ7|A0A286XLQ7_CAVPO
OG0001222	sp|Q9R194|CRY2_MOUSE	tr|A0A286XLI9|A0A286XLI9_CAVPO
OG0001222	sp|P97784|CRY1_MOUSE	tr|A0A286XNT6|A0A286XNT6_CAVPO
OG0001223	sp|Q8C050|KS6A5_MOUSE	tr|H0VSH3|H0VSH3_CAVPO
OG0001223	sp|Q9Z2B9|KS6A4_MOUSE	tr|H0UUL4|H0UUL4_CAVPO
OG0001224	sp|Q05909|PTPRG_MOUSE	tr|H0V0A9|H0V0A9_CAVPO
OG0001224	sp|B9EKR1|PTPRZ_MOUSE	tr|A0A286XCJ8|A0A286XCJ8_CAVPO
OG0001225	sp|P28660|NCKP1_MOUSE	tr|H0VWF2|H0VWF2_CAVPO
OG0001225	sp|Q8K1X4|NCKPL_MOUSE	tr|H0VD15|H0VD15_CAVPO
OG0001226	sp|Q9Z2V4|PCKGC_MOUSE	tr|H0V844|H0V844_CAVPO
OG0001226	sp|Q8BH04|PCKGM_MOUSE	tr|H0VI00|H0VI00_CAVPO
OG0001227	sp|P86546|OSTCN_MOUSE, sp|P86547|OSTC2_MOUSE, sp|P54615|OSTR_MOUSE	tr|A0A286Y3F6|A0A286Y3F6_CAVPO
OG0001228	sp|Q8BJI1|S6A17_MOUSE	tr|H0VM74|H0VM74_CAVPO
OG0001228	sp|Q8BG16|S6A15_MOUSE	tr|H0V030|H0V030_CAVPO
OG0001229	sp|P21803|FGFR2_MOUSE	tr|A0A286XNN2|A0A286XNN2_CAVPO
OG0001229	sp|P16092|FGFR1_MOUSE	tr|H0V817|H0V817_CAVPO
OG0001230	sp|P00329|ADH1_MOUSE, sp|Q64437|ADH7_MOUSE, sp|Q9QYY9|ADH4_MOUSE	tr|H0V955|H0V955_CAVPO
OG0001231	sp|Q9QYZ9|PRS30_MOUSE, tr|E9Q409|E9Q409_MOUSE, sp|Q80WM7|PRS33_MOUSE	tr|A0A286XUM7|A0A286XUM7_CAVPO
OG0001232	tr|D3YXK0|D3YXK0_MOUSE	tr|H0UX63|H0UX63_CAVPO
OG0001232	sp|Q8BVL9|JKIP1_MOUSE	tr|H0VJH7|H0VJH7_CAVPO
OG0001233	sp|Q6NZL0|SOGA3_MOUSE	tr|A0A286XVN6|A0A286XVN6_CAVPO
OG0001233	sp|Q3UHU5|MTCL1_MOUSE	tr|A0A286X9B7|A0A286X9B7_CAVPO
OG0001234	sp|Q6DFY8|BRNP2_MOUSE	tr|H0VKB5|H0VKB5_CAVPO
OG0001234	sp|Q499E0|BRNP3_MOUSE	tr|H0W7X6|H0W7X6_CAVPO
OG0001235	tr|Q8VFU1|Q8VFU1_MOUSE, tr|Q8VFH9|Q8VFH9_MOUSE, tr|Q8VFU2|Q8VFU2_MOUSE	tr|H0W8F6|H0W8F6_CAVPO
OG0001236	sp|P70339|FRAT1_MOUSE, tr|Q9WVA7|Q9WVA7_MOUSE, sp|Q8K025|FRAT2_MOUSE	tr|H0WCQ4|H0WCQ4_CAVPO
OG0001237	sp|A2ADY9|DDI2_MOUSE	tr|H0VVH1|H0VVH1_CAVPO
OG0001237	sp|Q9DAF3|DDI1_MOUSE	tr|H0UUW6|H0UUW6_CAVPO
OG0001238	sp|Q5DQR4|STB5L_MOUSE	tr|H0VC00|H0VC00_CAVPO
OG0001238	sp|Q8K400|STXB5_MOUSE	tr|H0VMR6|H0VMR6_CAVPO
OG0001239	sp|Q6VUP9|AP2E_MOUSE	tr|H0W2L3|H0W2L3_CAVPO
OG0001239	sp|Q61313|AP2B_MOUSE	tr|A0A286Y2K9|A0A286Y2K9_CAVPO
OG0001240	tr|E9Q459|E9Q459_MOUSE	tr|A0A286XEW0|A0A286XEW0_CAVPO
OG0001240	tr|E9Q5M9|E9Q5M9_MOUSE	tr|A0A286XNK7|A0A286XNK7_CAVPO
OG0001241	sp|Q9D687|S6A19_MOUSE	tr|H0VH62|H0VH62_CAVPO
OG0001241	sp|O88576|S6A18_MOUSE	tr|H0VH68|H0VH68_CAVPO
OG0001242	sp|Q91Y44|BRDT_MOUSE	tr|H0V1T7|H0V1T7_CAVPO
OG0001242	sp|Q7JJ13|BRD2_MOUSE	tr|A0A286XCB9|A0A286XCB9_CAVPO
OG0001243	sp|Q6PAL8|DEN5A_MOUSE	tr|H0VIH3|H0VIH3_CAVPO
OG0001243	sp|A2RSQ0|DEN5B_MOUSE	tr|H0V5N4|H0V5N4_CAVPO
OG0001244	sp|P62810|WFD18_MOUSE, tr|Q5SSJ1|Q5SSJ1_MOUSE, sp|Q9DAU7|WFDC2_MOUSE	tr|A0A286XM70|A0A286XM70_CAVPO
OG0001245	sp|Q8K3X4|I2BPL_MOUSE, sp|E9Q1P8|I2BP2_MOUSE, sp|Q8R3Y8|I2BP1_MOUSE	tr|H0WB99|H0WB99_CAVPO
OG0001246	sp|P70660|NGN1_MOUSE, sp|P70661|NGN3_MOUSE, sp|P70447|NGN2_MOUSE	tr|H0WCA1|H0WCA1_CAVPO
OG0001247	tr|E9Q046|E9Q046_MOUSE, tr|Q80W76|Q80W76_MOUSE, tr|E9PYJ0|E9PYJ0_MOUSE	tr|H0VDM4|H0VDM4_CAVPO
OG0001248	sp|Q9JME5|AP3B2_MOUSE	tr|H0VJP8|H0VJP8_CAVPO
OG0001248	sp|Q9Z1T1|AP3B1_MOUSE	tr|H0UU13|H0UU13_CAVPO
OG0001249	tr|A6ZI46|A6ZI46_MOUSE, tr|A6ZI47|A6ZI47_MOUSE, sp|P05064|ALDOA_MOUSE	tr|H0VA39|H0VA39_CAVPO
OG0001250	tr|Q7TRY5|Q7TRY5_MOUSE, tr|Q8VFP3|Q8VFP3_MOUSE, tr|Q8VF16|Q8VF16_MOUSE	tr|H0W338|H0W338_CAVPO
OG0001251	sp|Q8VD63|TSYL4_MOUSE, tr|Q3UYP3|Q3UYP3_MOUSE, sp|O88852|TSYL1_MOUSE	tr|H0VZ02|H0VZ02_CAVPO
OG0001252	sp|P35569|IRS1_MOUSE, tr|Q4QQK2|Q4QQK2_MOUSE, sp|P81122|IRS2_MOUSE	tr|H0V5F0|H0V5F0_CAVPO
OG0001253	sp|A2CG49|KALRN_MOUSE	tr|H0VLG9|H0VLG9_CAVPO
OG0001253	sp|Q0KL02|TRIO_MOUSE	tr|A0A286XAM4|A0A286XAM4_CAVPO
OG0001254	sp|O70451|MOT2_MOUSE	tr|H0VGE2|H0VGE2_CAVPO
OG0001254	sp|P53986|MOT1_MOUSE	tr|H0W523|H0W523_CAVPO
OG0001290	sp|Q9D385|AR2BP_MOUSE	tr|A0A286Y5P1|A0A286Y5P1_CAVPO, tr|A0A286XJN6|A0A286XJN6_CAVPO
OG0001291	sp|O88174|MCP_MOUSE	tr|A0A2C9F1E0|A0A2C9F1E0_CAVPO, sp|P70105|MCP_CAVPO
OG0001292	sp|Q6PFY8|TRI45_MOUSE, sp|Q9R1R2|TRIM3_MOUSE	tr|H0UVA5|H0UVA5_CAVPO
OG0001293	sp|P12804|FGL2_MOUSE	tr|H0VKC8|H0VKC8_CAVPO, tr|H0UX64|H0UX64_CAVPO
OG0001294	sp|Q8C255|DPEP2_MOUSE, sp|Q9DA79|DPEP3_MOUSE	tr|H0V6K8|H0V6K8_CAVPO
OG0001295	sp|Q5D1E7|ZC12A_MOUSE	tr|A0A286XX75|A0A286XX75_CAVPO, tr|H0VID6|H0VID6_CAVPO
OG0001296	sp|Q3UFY7|5NT3B_MOUSE, sp|Q9D020|5NT3A_MOUSE	tr|H0VP86|H0VP86_CAVPO
OG0001297	sp|P49681|NPBW1_MOUSE	tr|A0A286XWL0|A0A286XWL0_CAVPO, tr|H0VSC9|H0VSC9_CAVPO
OG0001298	sp|Q920A9|FCRLA_MOUSE	tr|A0A286XDV7|A0A286XDV7_CAVPO, tr|H0VX15|H0VX15_CAVPO
OG0001299	tr|G3X943|G3X943_MOUSE	tr|A0A286Y586|A0A286Y586_CAVPO, tr|A0A286XJ77|A0A286XJ77_CAVPO
OG0001300	tr|F6RXI4|F6RXI4_MOUSE, sp|Q8VHY0|CSPG4_MOUSE	tr|H0VKI2|H0VKI2_CAVPO
OG0001301	sp|Q62394|ZN185_MOUSE, sp|Q9EQG3|SCEL_MOUSE	tr|H0VU50|H0VU50_CAVPO
OG0001302	sp|O89110|CASP8_MOUSE	tr|H0VF12|H0VF12_CAVPO, tr|H0VV85|H0VV85_CAVPO
OG0001303	sp|P47937|NK3R_MOUSE	tr|H0VVZ2|H0VVZ2_CAVPO, sp|P30098|NK3R_CAVPO
OG0001304	sp|Q9QYN3|KLK11_MOUSE, tr|Q32M27|Q32M27_MOUSE	tr|A0A286XQC7|A0A286XQC7_CAVPO
OG0001305	tr|D3Z7X0|D3Z7X0_MOUSE, sp|Q8K370|ACD10_MOUSE	tr|H0UW42|H0UW42_CAVPO
OG0001306	tr|B1ARL3|B1ARL3_MOUSE, tr|Q7TRX0|Q7TRX0_MOUSE	tr|H0UXQ3|H0UXQ3_CAVPO
OG0001308	tr|Q99ML6|Q99ML6_MOUSE, sp|Q9WVD5|ORNT1_MOUSE	tr|H0V5S2|H0V5S2_CAVPO
OG0001309	sp|Q3TIW9|ENPP7_MOUSE, sp|Q9EQG7|ENPP5_MOUSE	tr|H0VD20|H0VD20_CAVPO
OG0001310	tr|B7ZMQ6|B7ZMQ6_MOUSE	tr|H0W6U4|H0W6U4_CAVPO, tr|A0A286XKE6|A0A286XKE6_CAVPO
OG0001311	sp|P35378|FSHR_MOUSE	sp|Q8R428|FSHR_CAVPO, tr|H0VJX0|H0VJX0_CAVPO
OG0001312	sp|Q9D7S7|RL22L_MOUSE	tr|H0VE45|H0VE45_CAVPO, tr|A0A286XB34|A0A286XB34_CAVPO
OG0001313	sp|P28293|CATG_MOUSE	tr|A0A286XMS5|A0A286XMS5_CAVPO, tr|H0VLD3|H0VLD3_CAVPO
OG0001314	sp|Q8BLK3|LSAMP_MOUSE, tr|G5E8G3|G5E8G3_MOUSE	tr|A0A286XUM6|A0A286XUM6_CAVPO
OG0001315	sp|Q9D305|THAP2_MOUSE	tr|H0VET8|H0VET8_CAVPO, tr|A0A286Y2V1|A0A286Y2V1_CAVPO
OG0001316	tr|E9Q5A6|E9Q5A6_MOUSE, sp|Q60641|NR1H4_MOUSE	tr|H0UXX1|H0UXX1_CAVPO
OG0001317	sp|Q9JHR9|NRIP2_MOUSE, sp|Q9JJR9|NRIP3_MOUSE	tr|H0VIG3|H0VIG3_CAVPO
OG0001318	sp|Q8VHW4|CCG5_MOUSE, sp|P62956|CCG7_MOUSE	tr|H0VSX2|H0VSX2_CAVPO
OG0001319	sp|P97762|RP9_MOUSE	tr|H0W3K2|H0W3K2_CAVPO, tr|A0A286XDP0|A0A286XDP0_CAVPO
OG0001320	tr|G5E8W5|G5E8W5_MOUSE, tr|Q9D262|Q9D262_MOUSE	tr|H0W8H1|H0W8H1_CAVPO
OG0001321	tr|Q8VF20|Q8VF20_MOUSE, tr|Q7TRV1|Q7TRV1_MOUSE	tr|H0WBH0|H0WBH0_CAVPO
OG0001322	sp|P43029|GDF7_MOUSE, sp|P43028|GDF6_MOUSE	tr|H0WC30|H0WC30_CAVPO
OG0001323	tr|Q8BHV4|Q8BHV4_MOUSE, sp|Q9D3J9|TASL_MOUSE	tr|H0WCF8|H0WCF8_CAVPO
OG0001324	sp|P97295|NPY2R_MOUSE	sp|Q9Z2D5|NPY2R_CAVPO, tr|A0A286XRA6|A0A286XRA6_CAVPO
OG0001325	sp|P58021|TM9S2_MOUSE, tr|A2AFI6|A2AFI6_MOUSE	tr|A0A286XA64|A0A286XA64_CAVPO
OG0001326	sp|Q8CFG8|CS1B_MOUSE, sp|Q8CG14|CS1A_MOUSE	tr|H0VDE9|H0VDE9_CAVPO
OG0001327	sp|P09671|SODM_MOUSE	tr|A0A286X7T6|A0A286X7T6_CAVPO, sp|P49114|SODM_CAVPO
OG0001328	sp|O09159|MA2B1_MOUSE	tr|A0A0C3SFZ0|A0A0C3SFZ0_CAVPO, sp|Q8VHC8|MA2B1_CAVPO
