Orthogroup	Mus_musculus	Lipotes_vexillifer
OG0001290	sp|Q9WV34|MPP2_MOUSE	tr|A0A340X0J6|A0A340X0J6_LIPVE
OG0001291	sp|Q8CJC7|KLRE1_MOUSE, sp|O54709|NKG2D_MOUSE, sp|O54707|KLRD1_MOUSE	tr|A0A340YCD1|A0A340YCD1_LIPVE
OG0001292	sp|Q9D4M9|GLTL5_MOUSE	tr|A0A340YEL1|A0A340YEL1_LIPVE
OG0001292	sp|Q921L8|GLT11_MOUSE	tr|A0A340YD39|A0A340YD39_LIPVE
OG0001293	sp|Q8CGV9|TSH3_MOUSE	tr|A0A340YG14|A0A340YG14_LIPVE
OG0001293	sp|Q5DTH5|TSH1_MOUSE	tr|A0A340WQ18|A0A340WQ18_LIPVE
OG0001294	tr|E9PUZ9|E9PUZ9_MOUSE	tr|A0A340X5P6|A0A340X5P6_LIPVE
OG0001294	sp|Q69ZS0|PZRN3_MOUSE	tr|A0A340WJI2|A0A340WJI2_LIPVE
OG0001295	sp|Q61656|DDX5_MOUSE	tr|A0A340XCT5|A0A340XCT5_LIPVE
OG0001295	sp|Q501J6|DDX17_MOUSE	tr|A0A340X4K6|A0A340X4K6_LIPVE
OG0001296	sp|Q9Z1A9|TBCD8_MOUSE	tr|A0A340Y7M9|A0A340Y7M9_LIPVE
OG0001296	sp|A3KGB4|TBC8B_MOUSE	tr|A0A340XCM0|A0A340XCM0_LIPVE
OG0001297	sp|A2AP18|PLCH2_MOUSE	tr|A0A340WHD4|A0A340WHD4_LIPVE
OG0001297	sp|Q4KWH5|PLCH1_MOUSE	tr|A0A340XFA9|A0A340XFA9_LIPVE
OG0001298	sp|P49443|PPM1A_MOUSE	tr|A0A340XY63|A0A340XY63_LIPVE
OG0001298	sp|P36993|PPM1B_MOUSE	tr|A0A340XF05|A0A340XF05_LIPVE
OG0001299	sp|Q8BMW7|NIPA3_MOUSE	tr|A0A340WW04|A0A340WW04_LIPVE
OG0001299	sp|Q9JJC8|NIPA2_MOUSE	tr|A0A340XX99|A0A340XX99_LIPVE
OG0001300	sp|Q8K2F0|BRD3_MOUSE	tr|A0A340X1Y2|A0A340X1Y2_LIPVE
OG0001300	sp|Q7JJ13|BRD2_MOUSE	tr|A0A340XHJ2|A0A340XHJ2_LIPVE
OG0001301	sp|Q9JJX6|P2RX4_MOUSE	tr|A0A340WP64|A0A340WP64_LIPVE
OG0001301	tr|Q3UYI1|Q3UYI1_MOUSE	tr|A0A340X2S0|A0A340X2S0_LIPVE
OG0001302	sp|Q61144|PSN2_MOUSE	tr|A0A340WZ12|A0A340WZ12_LIPVE
OG0001302	sp|P49769|PSN1_MOUSE	tr|A0A340XI58|A0A340XI58_LIPVE
OG0001303	sp|Q9QXG2|RAE1_MOUSE	tr|A0A340YB36|A0A340YB36_LIPVE
OG0001303	sp|Q9QZD5|RAE2_MOUSE	tr|A0A340XTM2|A0A340XTM2_LIPVE
OG0001304	sp|Q9DBB1|DUS6_MOUSE	tr|A0A340WNE3|A0A340WNE3_LIPVE
OG0001304	sp|Q91Z46|DUS7_MOUSE	tr|A0A340WSQ0|A0A340WSQ0_LIPVE
OG0001305	sp|P49282|NRAM2_MOUSE	tr|A0A340WZ82|A0A340WZ82_LIPVE
OG0001305	sp|P41251|NRAM1_MOUSE	tr|A0A340WRL7|A0A340WRL7_LIPVE
OG0001306	sp|Q6VVW5|ANPRB_MOUSE	tr|A0A340X3Y0|A0A340X3Y0_LIPVE
OG0001306	sp|P18293|ANPRA_MOUSE	tr|A0A340XGE2|A0A340XGE2_LIPVE
OG0001307	sp|Q8BMF5|GRIK4_MOUSE	tr|A0A340WUX5|A0A340WUX5_LIPVE
OG0001307	sp|Q61626|GRIK5_MOUSE	tr|A0A340XB42|A0A340XB42_LIPVE
OG0001308	tr|A0A286YCV9|A0A286YCV9_MOUSE	tr|A0A340Y3Q7|A0A340Y3Q7_LIPVE
OG0001308	sp|Q9EQW7|KI13A_MOUSE	tr|A0A340XMF9|A0A340XMF9_LIPVE
OG0001309	sp|Q9JKL1|PKR1_MOUSE	tr|A0A340XS40|A0A340XS40_LIPVE
OG0001309	sp|Q8K458|PKR2_MOUSE	tr|A0A340WV90|A0A340WV90_LIPVE
OG0001310	sp|Q9QXK3|COPG2_MOUSE	tr|A0A340Y804|A0A340Y804_LIPVE
OG0001310	sp|Q9QZE5|COPG1_MOUSE	tr|A0A340XYM2|A0A340XYM2_LIPVE
OG0001311	sp|Q02111|KPCT_MOUSE	tr|A0A340XXI8|A0A340XXI8_LIPVE
OG0001311	sp|P28867|KPCD_MOUSE	tr|A0A340WCL0|A0A340WCL0_LIPVE
OG0001312	sp|Q9QXL1|KI21B_MOUSE	tr|A0A340XB43|A0A340XB43_LIPVE
OG0001312	sp|Q9QXL2|KI21A_MOUSE	tr|A0A340WTA0|A0A340WTA0_LIPVE
OG0001313	sp|Q3UD61|MX1_MOUSE, sp|Q9WVP9|MX2_MOUSE	tr|A0A340WTU5|A0A340WTU5_LIPVE, tr|A0A340X0V5|A0A340X0V5_LIPVE
OG0001314	sp|P62245|RS15A_MOUSE	tr|A0A340W9L5|A0A340W9L5_LIPVE, tr|A0A340X994|A0A340X994_LIPVE, tr|A0A340Y3K3|A0A340Y3K3_LIPVE
OG0001315	sp|Q60973|RBBP7_MOUSE	tr|A0A340X6H9|A0A340X6H9_LIPVE
OG0001315	sp|Q60972|RBBP4_MOUSE	tr|A0A340Y8J3|A0A340Y8J3_LIPVE
OG0001316	sp|Q9JLC4|SORC1_MOUSE	tr|A0A340YDK3|A0A340YDK3_LIPVE
OG0001316	sp|Q8VI51|SORC3_MOUSE	tr|A0A340YET1|A0A340YET1_LIPVE
OG0001317	sp|P62484|ABI2_MOUSE	tr|A0A340X4P9|A0A340X4P9_LIPVE
OG0001317	sp|Q8CBW3|ABI1_MOUSE	tr|A0A340WCC0|A0A340WCC0_LIPVE
OG0001318	sp|Q8K297|GT251_MOUSE	tr|A0A340XP45|A0A340XP45_LIPVE
OG0001318	sp|Q6NVG7|GT252_MOUSE	tr|A0A340WKZ6|A0A340WKZ6_LIPVE
OG0001319	sp|Q80YA7|DPP8_MOUSE	tr|A0A340WHJ7|A0A340WHJ7_LIPVE
OG0001319	sp|Q8BVG4|DPP9_MOUSE	tr|A0A340XGI2|A0A340XGI2_LIPVE
OG0001320	sp|O70492|SNX3_MOUSE	tr|A0A340WCP4|A0A340WCP4_LIPVE
OG0001320	sp|O70493|SNX12_MOUSE	tr|A0A340Y932|A0A340Y932_LIPVE
OG0001321	sp|Q8BUY8|GASP2_MOUSE	tr|A0A340WWR8|A0A340WWR8_LIPVE
OG0001321	sp|Q5U4C1|GASP1_MOUSE	tr|A0A340YHN3|A0A340YHN3_LIPVE
OG0001322	sp|Q91XQ0|DYH8_MOUSE	tr|A0A340XE34|A0A340XE34_LIPVE
OG0001322	sp|Q8VHE6|DYH5_MOUSE	tr|A0A340WQ86|A0A340WQ86_LIPVE
OG0001324	sp|Q99LJ1|FUCO_MOUSE	tr|A0A340XCS4|A0A340XCS4_LIPVE
OG0001324	sp|Q99KR8|FUCO2_MOUSE	tr|A0A340WTG4|A0A340WTG4_LIPVE
OG0001325	sp|Q8R238|SDSL_MOUSE	tr|A0A340Y890|A0A340Y890_LIPVE
OG0001325	sp|Q8VBT2|SDHL_MOUSE	tr|A0A340Y5W0|A0A340Y5W0_LIPVE
OG0001326	tr|Q6DIC6|Q6DIC6_MOUSE	tr|A0A340YEH6|A0A340YEH6_LIPVE
OG0001326	tr|Q9ER67|Q9ER67_MOUSE	tr|A0A340WG48|A0A340WG48_LIPVE
OG0001327	sp|P31387|5HT5B_MOUSE	tr|A0A340XBL5|A0A340XBL5_LIPVE
OG0001327	sp|P30966|5HT5A_MOUSE	tr|A0A340X7C7|A0A340X7C7_LIPVE
OG0001328	sp|Q8BHD8|PCMD2_MOUSE	tr|A0A340XT78|A0A340XT78_LIPVE
OG0001328	sp|P59913|PCMD1_MOUSE	tr|A0A340XXY0|A0A340XXY0_LIPVE
OG0001329	sp|Q9Z1B7|MK13_MOUSE	tr|A0A340Y1Z1|A0A340Y1Z1_LIPVE
OG0001329	sp|O08911|MK12_MOUSE	tr|A0A340X472|A0A340X472_LIPVE
OG0001330	sp|Q9CU62|SMC1A_MOUSE	tr|A0A340WR65|A0A340WR65_LIPVE
OG0001330	sp|Q920F6|SMC1B_MOUSE	tr|A0A340WYK4|A0A340WYK4_LIPVE
OG0001331	sp|P63044|VAMP2_MOUSE	tr|A0A340X900|A0A340X900_LIPVE
OG0001331	sp|Q62442|VAMP1_MOUSE	tr|A0A340Y8N0|A0A340Y8N0_LIPVE
OG0001332	sp|P67984|RL22_MOUSE	tr|A0A340Y4M8|A0A340Y4M8_LIPVE, tr|A0A340XW57|A0A340XW57_LIPVE, tr|A0A340X211|A0A340X211_LIPVE
OG0001333	sp|Q9CQ43|DUT_MOUSE	tr|A0A340WPC8|A0A340WPC8_LIPVE, tr|A0A340X2R0|A0A340X2R0_LIPVE, tr|A0A340XB57|A0A340XB57_LIPVE
OG0001334	sp|Q3V3Q7|PACS2_MOUSE	tr|A0A340WYT9|A0A340WYT9_LIPVE
OG0001334	sp|Q8K212|PACS1_MOUSE	tr|A0A340XKR2|A0A340XKR2_LIPVE
OG0001335	sp|Q61909|MTG8_MOUSE	tr|A0A340WEV7|A0A340WEV7_LIPVE
OG0001335	sp|O54972|MTG16_MOUSE	tr|A0A340YAS9|A0A340YAS9_LIPVE
OG0001336	sp|Q8K2J0|PLCD3_MOUSE	tr|A0A340X0P9|A0A340X0P9_LIPVE
OG0001336	sp|Q8K3R3|PLCD4_MOUSE	tr|A0A340WEB0|A0A340WEB0_LIPVE
OG0001337	sp|P19137|LAMA1_MOUSE	tr|A0A340XGX9|A0A340XGX9_LIPVE
OG0001337	sp|Q60675|LAMA2_MOUSE	tr|A0A340WUM1|A0A340WUM1_LIPVE
OG0001338	sp|Q9Z262|CLD6_MOUSE	tr|A0A340X2R3|A0A340X2R3_LIPVE
OG0001338	sp|Q9Z0S7|CLD9_MOUSE	tr|A0A340X344|A0A340X344_LIPVE
OG0001339	sp|Q64338|PDE1C_MOUSE	tr|A0A340Y3E9|A0A340Y3E9_LIPVE
OG0001339	sp|Q61481|PDE1A_MOUSE	tr|A0A340XIQ8|A0A340XIQ8_LIPVE
OG0001340	tr|D3YUU6|D3YUU6_MOUSE, sp|P97347|RPTN_MOUSE, sp|Q9D3P1|TCHL1_MOUSE	tr|A0A340XMY0|A0A340XMY0_LIPVE
OG0001341	sp|Q9EPN1|NBEA_MOUSE	tr|A0A340XSK5|A0A340XSK5_LIPVE
OG0001341	sp|Q9ESE1|LRBA_MOUSE	tr|A0A340YDD0|A0A340YDD0_LIPVE
OG0001342	sp|P21271|MYO5B_MOUSE	tr|A0A340XWS9|A0A340XWS9_LIPVE
OG0001342	sp|Q99104|MYO5A_MOUSE	tr|A0A340XRJ5|A0A340XRJ5_LIPVE
OG0001343	sp|Q91VK1|5MP1_MOUSE	tr|A0A340Y794|A0A340Y794_LIPVE
OG0001343	sp|Q9CQC6|5MP2_MOUSE	tr|A0A340YCU3|A0A340YCU3_LIPVE
OG0001344	sp|P31361|PO3F3_MOUSE	tr|A0A340X6F5|A0A340X6F5_LIPVE
OG0001344	sp|P62515|PO3F4_MOUSE	tr|A0A340WRU1|A0A340WRU1_LIPVE
OG0001345	sp|Q99MK8|ARBK1_MOUSE	tr|A0A340WTX2|A0A340WTX2_LIPVE
OG0001345	sp|Q3UYH7|ARBK2_MOUSE	tr|A0A340XPF5|A0A340XPF5_LIPVE
OG0001346	sp|Q6PAL8|DEN5A_MOUSE	tr|A0A340XEM8|A0A340XEM8_LIPVE
OG0001346	sp|A2RSQ0|DEN5B_MOUSE	tr|A0A340WYW1|A0A340WYW1_LIPVE
OG0001347	sp|Q7TMB8|CYFP1_MOUSE	tr|A0A340XUJ5|A0A340XUJ5_LIPVE
OG0001347	sp|Q5SQX6|CYFP2_MOUSE	tr|A0A340WCB5|A0A340WCB5_LIPVE
OG0001348	sp|Q8BH16|FBXL2_MOUSE	tr|A0A340WL56|A0A340WL56_LIPVE
OG0001348	sp|Q9CZV8|FXL20_MOUSE	tr|A0A340XV35|A0A340XV35_LIPVE
OG0001349	sp|A3KFX0|5NT1A_MOUSE	tr|A0A340WWS4|A0A340WWS4_LIPVE
OG0001349	sp|Q91YE9|5NT1B_MOUSE	tr|A0A340XT46|A0A340XT46_LIPVE
OG0001350	sp|Q9QYB2|DACH1_MOUSE	tr|A0A340Y8K1|A0A340Y8K1_LIPVE
OG0001350	sp|Q925Q8|DACH2_MOUSE	tr|A0A340XT92|A0A340XT92_LIPVE
OG0001351	sp|Q641P0|ARP3B_MOUSE	tr|A0A340YEK6|A0A340YEK6_LIPVE
OG0001351	sp|Q99JY9|ARP3_MOUSE	tr|A0A340XX68|A0A340XX68_LIPVE
OG0001352	sp|Q76MZ3|2AAA_MOUSE	tr|A0A340X9T8|A0A340X9T8_LIPVE
OG0001352	sp|Q7TNP2|2AAB_MOUSE	tr|A0A340XZK1|A0A340XZK1_LIPVE
OG0001353	sp|Q8BH69|SPS1_MOUSE	tr|A0A340XHR7|A0A340XHR7_LIPVE
OG0001353	sp|P97364|SPS2_MOUSE	tr|A0A340YJ98|A0A340YJ98_LIPVE
OG0001354	sp|A2BGH0|BPIB4_MOUSE, sp|Q8BU51|BPIB6_MOUSE, tr|Q3UQ05|Q3UQ05_MOUSE	tr|A0A340WIF2|A0A340WIF2_LIPVE
OG0001355	sp|Q69Z28|ATS16_MOUSE	tr|A0A340WY04|A0A340WY04_LIPVE
OG0001355	sp|Q4VC17|ATS18_MOUSE	tr|A0A340WF03|A0A340WF03_LIPVE
OG0001356	sp|O08739|AMPD3_MOUSE	tr|A0A340YGA2|A0A340YGA2_LIPVE
OG0001356	sp|Q3V1D3|AMPD1_MOUSE	tr|A0A340XMC5|A0A340XMC5_LIPVE
OG0001357	sp|Q8VI94|OASL1_MOUSE, sp|Q9Z2F2|OASL2_MOUSE	tr|A0A340XXB4|A0A340XXB4_LIPVE, tr|A0A340WKX7|A0A340WKX7_LIPVE
OG0001358	sp|A2ADU8|DG2L6_MOUSE	tr|A0A340YLN2|A0A340YLN2_LIPVE
OG0001358	sp|Q6E1M8|AWAT2_MOUSE	tr|A0A340YCP6|A0A340YCP6_LIPVE
OG0001359	sp|Q9WV38|GTR5_MOUSE	tr|A0A340X0E3|A0A340X0E3_LIPVE
OG0001359	sp|P0C6A1|GTR7_MOUSE	tr|A0A340WWH9|A0A340WWH9_LIPVE
OG0001360	sp|Q9CZJ2|HS12B_MOUSE	tr|A0A340XZ04|A0A340XZ04_LIPVE
OG0001360	sp|Q8K0U4|HS12A_MOUSE	tr|A0A340YCM5|A0A340YCM5_LIPVE
OG0001361	sp|Q62432|SMAD2_MOUSE	tr|A0A340Y2L7|A0A340Y2L7_LIPVE
OG0001361	sp|Q8BUN5|SMAD3_MOUSE	tr|A0A340WHM0|A0A340WHM0_LIPVE
OG0001362	tr|Q3U5A2|Q3U5A2_MOUSE, tr|E9PWP7|E9PWP7_MOUSE, tr|A0A5F8MPQ6|A0A5F8MPQ6_MOUSE	tr|A0A340Y941|A0A340Y941_LIPVE
OG0001363	sp|Q99JP0|M4K3_MOUSE	tr|A0A340WBE5|A0A340WBE5_LIPVE
OG0001363	sp|Q8BPM2|M4K5_MOUSE	tr|A0A340WAY9|A0A340WAY9_LIPVE
OG0001364	sp|Q91VH1|PAQR1_MOUSE	tr|A0A340X874|A0A340X874_LIPVE
OG0001364	sp|Q8BQS5|PAQR2_MOUSE	tr|A0A340Y8T5|A0A340Y8T5_LIPVE
OG0001365	sp|Q9EQD0|FZD5_MOUSE	tr|A0A340XQV8|A0A340XQV8_LIPVE
OG0001365	sp|Q61091|FZD8_MOUSE	tr|A0A340W943|A0A340W943_LIPVE
OG0001366	sp|Q8VDF2|UHRF1_MOUSE	tr|A0A340XP33|A0A340XP33_LIPVE
OG0001366	sp|Q7TMI3|UHRF2_MOUSE	tr|A0A340WXC4|A0A340WXC4_LIPVE
OG0001367	sp|Q9D0M1|KPRA_MOUSE	tr|A0A340X4Z8|A0A340X4Z8_LIPVE
OG0001367	sp|Q8R574|KPRB_MOUSE	tr|A0A340WLF6|A0A340WLF6_LIPVE
OG0001368	sp|Q9ER35|FN3K_MOUSE	tr|A0A340XCU9|A0A340XCU9_LIPVE
OG0001368	sp|Q8K274|KT3K_MOUSE	tr|A0A340X6B5|A0A340X6B5_LIPVE
OG0001369	sp|P81069|GABP2_MOUSE	tr|A0A340XMS0|A0A340XMS0_LIPVE
OG0001369	sp|Q00420|GABP1_MOUSE	tr|A0A340X991|A0A340X991_LIPVE
OG0001370	sp|Q9D6F4|GBRA4_MOUSE	tr|A0A340WAP2|A0A340WAP2_LIPVE
OG0001370	sp|P16305|GBRA6_MOUSE	tr|A0A340XT41|A0A340XT41_LIPVE
OG0001371	sp|Q9D4C9|CLVS1_MOUSE	tr|A0A340YJB1|A0A340YJB1_LIPVE
OG0001371	sp|Q8BG92|CLVS2_MOUSE	tr|A0A340WG16|A0A340WG16_LIPVE
OG0001372	sp|G3X9K3|BIG1_MOUSE	tr|A0A340WLQ2|A0A340WLQ2_LIPVE
OG0001372	sp|A2A5R2|BIG2_MOUSE	tr|A0A340WH49|A0A340WH49_LIPVE
OG0001373	sp|Q8BP48|MAP11_MOUSE	tr|A0A340XXC8|A0A340XXC8_LIPVE, tr|A0A340X5X6|A0A340X5X6_LIPVE, tr|A0A340YEI8|A0A340YEI8_LIPVE
OG0001374	sp|P84444|CC21A_MOUSE, sp|P86792|CC21B_MOUSE, sp|P86793|CC21C_MOUSE	tr|A0A340YFK4|A0A340YFK4_LIPVE
OG0001375	tr|Q8BVT7|Q8BVT7_MOUSE, tr|B1AXN3|B1AXN3_MOUSE, sp|Q8VDJ3|VIGLN_MOUSE	tr|A0A340YJ69|A0A340YJ69_LIPVE
OG0001376	sp|A6X919|D19L1_MOUSE	tr|A0A340WF34|A0A340WF34_LIPVE
OG0001376	sp|P0CW70|D19L2_MOUSE	tr|A0A340WGM4|A0A340WGM4_LIPVE
OG0001377	sp|Q3UMW7|MAPK3_MOUSE	tr|A0A340WXR4|A0A340WXR4_LIPVE
OG0001377	sp|P49138|MAPK2_MOUSE	tr|A0A340YCL2|A0A340YCL2_LIPVE
OG0001378	sp|P27048|RSMB_MOUSE	tr|A0A340XVQ4|A0A340XVQ4_LIPVE
OG0001378	sp|P63163|RSMN_MOUSE	tr|A0A340WMH1|A0A340WMH1_LIPVE
OG0001379	sp|P58307|OX1R_MOUSE	tr|A0A340YA48|A0A340YA48_LIPVE
OG0001379	sp|P58308|OX2R_MOUSE	tr|A0A340YFR9|A0A340YFR9_LIPVE
OG0001380	sp|P63158|HMGB1_MOUSE	tr|A0A340YGD6|A0A340YGD6_LIPVE
OG0001380	sp|P30681|HMGB2_MOUSE	tr|A0A340X7T2|A0A340X7T2_LIPVE
OG0001381	sp|Q8BW96|KCC1D_MOUSE	tr|A0A340X000|A0A340X000_LIPVE
OG0001381	sp|Q91YS8|KCC1A_MOUSE	tr|A0A340WPZ4|A0A340WPZ4_LIPVE
OG0001382	sp|Q91VI7|RINI_MOUSE	tr|A0A340Y2U5|A0A340Y2U5_LIPVE
OG0001382	tr|A0A1B0GSW2|A0A1B0GSW2_MOUSE	tr|A0A340WV84|A0A340WV84_LIPVE
OG0001383	sp|Q9QXT5|EGFL7_MOUSE	tr|A0A340XIB7|A0A340XIB7_LIPVE
OG0001383	sp|Q80V70|MEGF6_MOUSE	tr|A0A340WJY6|A0A340WJY6_LIPVE
OG0001384	sp|Q8BG16|S6A15_MOUSE	tr|A0A340XC89|A0A340XC89_LIPVE
OG0001384	sp|Q8BJI1|S6A17_MOUSE	tr|A0A340WQL3|A0A340WQL3_LIPVE
OG0001385	sp|Q9D5L7|SPSB1_MOUSE	tr|A0A340X240|A0A340X240_LIPVE
OG0001385	sp|Q8R5B6|SPSB4_MOUSE	tr|A0A340WEI1|A0A340WEI1_LIPVE
OG0001386	sp|P35550|FBRL_MOUSE	tr|A0A340XAX3|A0A340XAX3_LIPVE
OG0001386	sp|Q80WS3|FBLL1_MOUSE	tr|A0A340WLH5|A0A340WLH5_LIPVE
OG0001387	sp|Q9D3B1|HACD2_MOUSE	tr|A0A340WM21|A0A340WM21_LIPVE
OG0001387	sp|Q9QY80|HACD1_MOUSE	tr|A0A340XNQ5|A0A340XNQ5_LIPVE
OG0001388	sp|Q61245|COBA1_MOUSE	tr|A0A340YJ30|A0A340YJ30_LIPVE
OG0001388	tr|Q9JLI2|Q9JLI2_MOUSE	tr|A0A340XH31|A0A340XH31_LIPVE
OG0001389	sp|Q5DTK1|CHSS3_MOUSE	tr|A0A340XL99|A0A340XL99_LIPVE
OG0001389	sp|Q6ZQ11|CHSS1_MOUSE	tr|A0A340W9T5|A0A340W9T5_LIPVE
OG0001390	sp|P35343|CXCR2_MOUSE, sp|Q810W6|CXCR1_MOUSE	tr|A0A340WX96|A0A340WX96_LIPVE, tr|A0A340WWN2|A0A340WWN2_LIPVE
OG0001391	sp|Q504M8|RAB26_MOUSE	tr|A0A340X123|A0A340X123_LIPVE
OG0001391	sp|Q9JKM7|RAB37_MOUSE	tr|A0A340X3D1|A0A340X3D1_LIPVE
OG0001392	sp|P09690|ACHB_MOUSE	tr|A0A340WJE3|A0A340WJE3_LIPVE, tr|A0A340XAJ1|A0A340XAJ1_LIPVE, tr|A0A340XF43|A0A340XF43_LIPVE
OG0001393	sp|Q80Z96|VANG1_MOUSE	tr|A0A340X6Z7|A0A340X6Z7_LIPVE
OG0001393	sp|Q91ZD4|VANG2_MOUSE	tr|A0A340XLU3|A0A340XLU3_LIPVE
OG0001394	sp|P70335|ROCK1_MOUSE	tr|A0A340WNM0|A0A340WNM0_LIPVE
OG0001394	sp|P70336|ROCK2_MOUSE	tr|A0A340XCM7|A0A340XCM7_LIPVE
OG0001395	sp|Q9JIW9|RALB_MOUSE	tr|A0A340Y9C8|A0A340Y9C8_LIPVE
OG0001395	sp|P63321|RALA_MOUSE	tr|A0A340XU88|A0A340XU88_LIPVE
OG0001396	sp|O54829|RGS7_MOUSE	tr|A0A340XMN3|A0A340XMN3_LIPVE
OG0001396	sp|Q9Z2H2|RGS6_MOUSE	tr|A0A340WZK4|A0A340WZK4_LIPVE
OG0001397	sp|P63147|UBE2B_MOUSE	tr|A0A340XMQ0|A0A340XMQ0_LIPVE
OG0001397	sp|Q9Z255|UBE2A_MOUSE	tr|A0A340XWB7|A0A340XWB7_LIPVE
OG0001398	sp|Q91YQ7|RMD5B_MOUSE	tr|A0A340XVK5|A0A340XVK5_LIPVE
OG0001398	sp|Q80YQ8|RMD5A_MOUSE	tr|A0A340Y0G2|A0A340Y0G2_LIPVE
OG0001399	sp|Q8R0S6|WFKN1_MOUSE	tr|A0A340X194|A0A340X194_LIPVE
OG0001399	sp|Q7TQN3|WFKN2_MOUSE	tr|A0A340Y0G1|A0A340Y0G1_LIPVE
OG0001400	sp|Q8C0N2|GPAT3_MOUSE	tr|A0A340Y397|A0A340Y397_LIPVE
OG0001400	sp|Q8K2C8|GPAT4_MOUSE	tr|A0A340X2I6|A0A340X2I6_LIPVE
OG0001401	sp|Q8R5C5|ACTY_MOUSE	tr|A0A340YAZ6|A0A340YAZ6_LIPVE
OG0001401	sp|P61164|ACTZ_MOUSE	tr|A0A340YBM7|A0A340YBM7_LIPVE
OG0001402	sp|Q3LAC4|PREX2_MOUSE	tr|A0A340WN93|A0A340WN93_LIPVE
OG0001402	sp|Q69ZK0|PREX1_MOUSE	tr|A0A340WD09|A0A340WD09_LIPVE
OG0001403	sp|Q60790|RASA3_MOUSE	tr|A0A340Y4J0|A0A340Y4J0_LIPVE
OG0001403	sp|P58069|RASA2_MOUSE	tr|A0A340WEH7|A0A340WEH7_LIPVE
OG0001404	sp|Q5DU57|SPT13_MOUSE	tr|A0A340YHJ2|A0A340YHJ2_LIPVE
OG0001404	sp|Q3UTH8|ARHG9_MOUSE	tr|A0A340X0W6|A0A340X0W6_LIPVE
OG0001405	sp|Q9DB50|AP1S2_MOUSE	tr|A0A340XZ40|A0A340XZ40_LIPVE
OG0001405	sp|P61967|AP1S1_MOUSE	tr|A0A340YAK8|A0A340YAK8_LIPVE
OG0001406	sp|P59113|FERM1_MOUSE	tr|A0A340YCL3|A0A340YCL3_LIPVE
OG0001406	sp|Q8CIB5|FERM2_MOUSE	tr|A0A340WEL4|A0A340WEL4_LIPVE
OG0001407	sp|P98197|AT11A_MOUSE	tr|A0A340Y1S4|A0A340Y1S4_LIPVE
OG0001407	sp|Q9QZW0|AT11C_MOUSE	tr|A0A340WWV4|A0A340WWV4_LIPVE
OG0001408	sp|Q2YFS3|PILRA_MOUSE, sp|Q2YFS1|PILB2_MOUSE, sp|Q2YFS2|PILRB_MOUSE	tr|A0A340Y6P9|A0A340Y6P9_LIPVE
OG0001409	sp|P62069|UBP46_MOUSE	tr|A0A340XAW6|A0A340XAW6_LIPVE
OG0001409	sp|Q9D9M2|UBP12_MOUSE	tr|A0A340YCV8|A0A340YCV8_LIPVE
OG0001410	sp|Q8BPU7|ELMO1_MOUSE	tr|A0A340WF19|A0A340WF19_LIPVE
OG0001410	sp|Q8BHL5|ELMO2_MOUSE	tr|A0A340WIZ5|A0A340WIZ5_LIPVE
OG0001411	sp|Q9QXX4|S2513_MOUSE	tr|A0A340WMG9|A0A340WMG9_LIPVE
OG0001411	sp|Q8BH59|S2512_MOUSE	tr|A0A340XHZ5|A0A340XHZ5_LIPVE
OG0001412	sp|Q9R0M6|RAB9A_MOUSE	tr|A0A340XCZ5|A0A340XCZ5_LIPVE
OG0001412	sp|Q8BHH2|RAB9B_MOUSE	tr|A0A340WKM3|A0A340WKM3_LIPVE
OG0001413	sp|Q9D4J1|EFHD1_MOUSE	tr|A0A340XN73|A0A340XN73_LIPVE
OG0001413	sp|Q9D8Y0|EFHD2_MOUSE	tr|A0A340XH09|A0A340XH09_LIPVE
OG0001414	sp|Q3U1V8|M3K9_MOUSE	tr|A0A340YD55|A0A340YD55_LIPVE
OG0001414	sp|Q8VDG6|M3K21_MOUSE	tr|A0A340Y086|A0A340Y086_LIPVE
OG0001415	sp|Q8BMK1|METL2_MOUSE	tr|A0A340X675|A0A340X675_LIPVE
OG0001415	sp|A2AUU0|METL8_MOUSE	tr|A0A340WH88|A0A340WH88_LIPVE
OG0001416	sp|Q9WUI1|MK11_MOUSE	tr|A0A340WXR5|A0A340WXR5_LIPVE
OG0001416	sp|P47811|MK14_MOUSE	tr|A0A340Y132|A0A340Y132_LIPVE
OG0001417	sp|Q91ZX7|LRP1_MOUSE	tr|A0A340Y395|A0A340Y395_LIPVE
OG0001417	sp|Q9JI18|LRP1B_MOUSE	tr|A0A340X1J4|A0A340X1J4_LIPVE
OG0001418	sp|Q9CW42|MARC1_MOUSE	tr|A0A340XW14|A0A340XW14_LIPVE
OG0001418	sp|Q922Q1|MARC2_MOUSE	tr|A0A340XYX4|A0A340XYX4_LIPVE
OG0001419	sp|Q8R4F1|NTNG2_MOUSE	tr|A0A340X215|A0A340X215_LIPVE
OG0001419	sp|Q8R4G0|NTNG1_MOUSE	tr|A0A340WIG3|A0A340WIG3_LIPVE
OG0001420	sp|Q80XR2|AT2C1_MOUSE	tr|A0A340XM27|A0A340XM27_LIPVE
OG0001420	sp|A7L9Z8|AT2C2_MOUSE	tr|A0A340X0D8|A0A340X0D8_LIPVE
OG0001421	sp|Q920A9|FCRLA_MOUSE	tr|A0A340XA89|A0A340XA89_LIPVE
OG0001421	sp|A1YIY0|FCRL6_MOUSE	tr|A0A340YKU0|A0A340YKU0_LIPVE
