Orthogroup	Mus_musculus	Pteropus_alecto
OG0001538	sp|O89094|CASPE_MOUSE	tr|L5JXH2|L5JXH2_PTEAL, tr|L5KIZ5|L5KIZ5_PTEAL, tr|L5KFI7|L5KFI7_PTEAL
OG0001539	sp|Q9QXQ1|PDE7B_MOUSE	tr|L5KFX3|L5KFX3_PTEAL
OG0001539	sp|P70453|PDE7A_MOUSE	tr|L5JSH2|L5JSH2_PTEAL
OG0001540	sp|Q5SUA5|MYO1G_MOUSE	tr|L5KMY5|L5KMY5_PTEAL
OG0001540	sp|Q5SYD0|MYO1D_MOUSE	tr|L5JR20|L5JR20_PTEAL
OG0001541	sp|Q8BIJ7|RUFY1_MOUSE	tr|L5JY77|L5JY77_PTEAL
OG0001541	sp|Q8R4C2|RUFY2_MOUSE	tr|L5KE25|L5KE25_PTEAL
OG0001542	sp|P0DN90|T254B_MOUSE, sp|P0DN89|T254A_MOUSE, sp|P0DN91|T254C_MOUSE	tr|L5KFD7|L5KFD7_PTEAL
OG0001543	sp|O35855|BCAT2_MOUSE	tr|L5L561|L5L561_PTEAL
OG0001543	sp|P24288|BCAT1_MOUSE	tr|L5KKZ9|L5KKZ9_PTEAL
OG0001544	sp|Q6DFY8|BRNP2_MOUSE	tr|L5KYZ7|L5KYZ7_PTEAL
OG0001544	sp|Q499E0|BRNP3_MOUSE	tr|L5KB76|L5KB76_PTEAL
OG0001545	sp|B2RUR8|OTU7B_MOUSE	tr|L5K3U6|L5K3U6_PTEAL
OG0001545	sp|Q8R554|OTU7A_MOUSE	tr|L5L0S2|L5L0S2_PTEAL
OG0001546	sp|P27773|PDIA3_MOUSE	tr|L5KI08|L5KI08_PTEAL, tr|L5KGF6|L5KGF6_PTEAL, tr|L5K1N7|L5K1N7_PTEAL
OG0001547	sp|Q8BHY3|ANO1_MOUSE, sp|Q8CFW1|ANO2_MOUSE, sp|Q14AT5|ANO7_MOUSE	tr|L5KPK2|L5KPK2_PTEAL
OG0001548	sp|Q9Z2V4|PCKGC_MOUSE	tr|L5JZ24|L5JZ24_PTEAL
OG0001548	sp|Q8BH04|PCKGM_MOUSE	tr|L5KKC0|L5KKC0_PTEAL
OG0001549	sp|Q9JJN4|SCO2A_MOUSE, sp|Q9ESL0|SCO2B_MOUSE, sp|Q9D0K2|SCOT1_MOUSE	tr|L5K6H8|L5K6H8_PTEAL
OG0001550	sp|Q3TCT4|ENTP7_MOUSE	tr|L5JNB3|L5JNB3_PTEAL
OG0001550	sp|Q9DBT4|ENTP4_MOUSE	tr|L5KMC9|L5KMC9_PTEAL
OG0001551	sp|Q9DBD2|MARH8_MOUSE	tr|L5KAH5|L5KAH5_PTEAL
OG0001551	sp|Q6NZQ8|MARH1_MOUSE	tr|L5KCV9|L5KCV9_PTEAL
OG0001553	sp|Q91V93|RHBT2_MOUSE	tr|L5L6J6|L5L6J6_PTEAL
OG0001553	sp|Q9DAK3|RHBT1_MOUSE	tr|L5KDH8|L5KDH8_PTEAL
OG0001554	sp|P48320|DCE2_MOUSE	tr|L5KZT5|L5KZT5_PTEAL
OG0001554	sp|P48318|DCE1_MOUSE	tr|L5JZC7|L5JZC7_PTEAL
OG0001555	sp|Q3UD61|MX1_MOUSE, sp|Q9WVP9|MX2_MOUSE	tr|L5KAD8|L5KAD8_PTEAL, tr|L5KCI3|L5KCI3_PTEAL
OG0001556	sp|O70174|ACHA4_MOUSE, sp|Q9R0W9|ACHA6_MOUSE, sp|Q91X60|ACHA2_MOUSE	tr|L5KCS8|L5KCS8_PTEAL
OG0001557	sp|O70228|ATP9A_MOUSE	tr|L5K1C0|L5K1C0_PTEAL
OG0001557	sp|P98195|ATP9B_MOUSE	tr|L5KK34|L5KK34_PTEAL
OG0001558	sp|Q9QZR5|HIPK2_MOUSE	tr|L5KS79|L5KS79_PTEAL
OG0001558	sp|O88904|HIPK1_MOUSE	tr|L5K3M5|L5K3M5_PTEAL
OG0001559	sp|P62484|ABI2_MOUSE	tr|L5K277|L5K277_PTEAL
OG0001559	sp|Q8CBW3|ABI1_MOUSE	tr|L5KZU0|L5KZU0_PTEAL
OG0001560	sp|Q5SWU9|ACACA_MOUSE	tr|L5JSN8|L5JSN8_PTEAL
OG0001560	sp|E9Q4Z2|ACACB_MOUSE	tr|L5JZJ9|L5JZJ9_PTEAL
OG0001561	sp|Q61083|M3K2_MOUSE	tr|L5KJ27|L5KJ27_PTEAL
OG0001561	sp|Q61084|M3K3_MOUSE	tr|L5KPC3|L5KPC3_PTEAL
OG0001562	sp|Q8BH65|DEN6A_MOUSE	tr|L5K8G0|L5K8G0_PTEAL
OG0001562	sp|Q9D9V7|DEN6B_MOUSE	tr|L5K820|L5K820_PTEAL
OG0001563	sp|O09131|GSTO1_MOUSE	tr|L5K2K3|L5K2K3_PTEAL
OG0001563	sp|Q8K2Q2|GSTO2_MOUSE	tr|L5K075|L5K075_PTEAL
OG0001564	sp|P61164|ACTZ_MOUSE	tr|L5K097|L5K097_PTEAL
OG0001564	sp|Q8R5C5|ACTY_MOUSE	tr|L5KV03|L5KV03_PTEAL
OG0001565	sp|P41251|NRAM1_MOUSE	tr|L5L0E5|L5L0E5_PTEAL
OG0001565	sp|P49282|NRAM2_MOUSE	tr|L5L7L4|L5L7L4_PTEAL
OG0001566	sp|E9PXF8|MTMRD_MOUSE	tr|L5L2R6|L5L2R6_PTEAL
OG0001566	sp|Q6ZPE2|MTMR5_MOUSE	tr|L5KAJ0|L5KAJ0_PTEAL
OG0001567	sp|Q8VHP8|RB40B_MOUSE	tr|L5KLK8|L5KLK8_PTEAL
OG0001567	sp|Q8VHQ4|RB40C_MOUSE	tr|L5KGS2|L5KGS2_PTEAL
OG0001568	sp|Q99K30|ES8L2_MOUSE	tr|L5KQZ2|L5KQZ2_PTEAL
OG0001568	sp|Q08509|EPS8_MOUSE	tr|L5KKX3|L5KKX3_PTEAL
OG0001569	sp|O54864|SUV91_MOUSE, sp|Q9EQQ0|SUV92_MOUSE, sp|Q80UJ9|SETMR_MOUSE	tr|L5JVU4|L5JVU4_PTEAL
OG0001570	sp|Q9Z0H8|CLIP2_MOUSE	tr|L5K8M9|L5K8M9_PTEAL
OG0001570	sp|Q922J3|CLIP1_MOUSE	tr|L5KTN7|L5KTN7_PTEAL
OG0001571	sp|Q8VCK6|FFAR2_MOUSE, sp|Q3UFD7|FFAR3_MOUSE, sp|Q3V2T4|KTDAP_MOUSE	tr|L5K4S6|L5K4S6_PTEAL
OG0001572	sp|Q3UFJ6|T184A_MOUSE	tr|L5KD00|L5KD00_PTEAL
OG0001572	sp|Q8BG09|T184B_MOUSE	tr|L5KFW6|L5KFW6_PTEAL
OG0001573	sp|Q9QYF1|RDH11_MOUSE	tr|L5KHC5|L5KHC5_PTEAL
OG0001573	sp|Q8BYK4|RDH12_MOUSE	tr|L5KE12|L5KE12_PTEAL
OG0001574	sp|P18052|PTPRA_MOUSE	tr|L5K0K4|L5K0K4_PTEAL
OG0001574	sp|P49446|PTPRE_MOUSE	tr|L5KJH1|L5KJH1_PTEAL
OG0001575	sp|Q61743|KCJ11_MOUSE	tr|L5L6F0|L5L6F0_PTEAL
OG0001575	sp|P97794|KCNJ8_MOUSE	tr|L5KKY7|L5KKY7_PTEAL
OG0001576	sp|Q9JHT5|AMMR1_MOUSE	tr|L5K948|L5K948_PTEAL
OG0001576	sp|Q8JZZ6|AMERL_MOUSE	tr|L5KKP1|L5KKP1_PTEAL
OG0001577	sp|Q504M8|RAB26_MOUSE	tr|L5KHJ1|L5KHJ1_PTEAL
OG0001577	sp|Q9JKM7|RAB37_MOUSE	tr|L5KL89|L5KL89_PTEAL
OG0001579	sp|Q9QYA2|TOM40_MOUSE	tr|L5KQ01|L5KQ01_PTEAL
OG0001579	sp|Q9CZR3|TM40L_MOUSE	tr|L5KYA2|L5KYA2_PTEAL
OG0001580	sp|O88448|KLC2_MOUSE	tr|L5KRA8|L5KRA8_PTEAL
OG0001580	sp|Q9DBS5|KLC4_MOUSE	tr|L5JLL4|L5JLL4_PTEAL
OG0001581	sp|Q9Z2U0|PSA7_MOUSE	tr|L5JZA0|L5JZA0_PTEAL
OG0001581	sp|Q9CWH6|PSMA8_MOUSE	tr|L5K287|L5K287_PTEAL
OG0001582	tr|A6H6S0|A6H6S0_MOUSE	tr|L5KSA8|L5KSA8_PTEAL
OG0001582	sp|Q6PAV2|HERC4_MOUSE	tr|L5KE30|L5KE30_PTEAL
OG0001583	sp|Q4JIM5|ABL2_MOUSE	tr|L5KXU8|L5KXU8_PTEAL
OG0001583	sp|P00520|ABL1_MOUSE	tr|L5K6Z7|L5K6Z7_PTEAL
OG0001584	sp|Q80U63|MFN2_MOUSE	tr|L5KIC1|L5KIC1_PTEAL
OG0001584	sp|Q811U4|MFN1_MOUSE	tr|L5KQH7|L5KQH7_PTEAL
OG0001585	tr|Q8BG37|Q8BG37_MOUSE, sp|O08709|PRDX6_MOUSE	tr|L5KXZ0|L5KXZ0_PTEAL, tr|L5JQT0|L5JQT0_PTEAL
OG0001586	sp|Q8BHP7|OLM2A_MOUSE	tr|L5K9J6|L5K9J6_PTEAL
OG0001586	sp|Q3V1G4|OLM2B_MOUSE	tr|L5KZX3|L5KZX3_PTEAL
OG0001587	tr|A2AHY8|A2AHY8_MOUSE	tr|L5L4C0|L5L4C0_PTEAL
OG0001587	sp|Q8N7N5|DCAF8_MOUSE	tr|L5JYP5|L5JYP5_PTEAL
OG0001588	sp|P59113|FERM1_MOUSE	tr|L5JXC1|L5JXC1_PTEAL
OG0001588	sp|Q8CIB5|FERM2_MOUSE	tr|L5K3C2|L5K3C2_PTEAL
OG0001589	sp|Q8K458|PKR2_MOUSE	tr|L5JXC9|L5JXC9_PTEAL
OG0001589	sp|Q9JKL1|PKR1_MOUSE	tr|L5KV01|L5KV01_PTEAL
OG0001590	sp|Q99LJ1|FUCO_MOUSE	tr|L5JT52|L5JT52_PTEAL
OG0001590	sp|Q99KR8|FUCO2_MOUSE	tr|L5KDL7|L5KDL7_PTEAL
OG0001591	sp|O88485|DC1I1_MOUSE	tr|L5KLW3|L5KLW3_PTEAL
OG0001591	sp|O88487|DC1I2_MOUSE	tr|L5K2G1|L5K2G1_PTEAL
OG0001592	sp|Q14BI2|GRM2_MOUSE	tr|L5KUK5|L5KUK5_PTEAL
OG0001592	sp|Q9QYS2|GRM3_MOUSE	tr|L5JNK5|L5JNK5_PTEAL
OG0001593	sp|Q9CYI4|LUC7L_MOUSE	tr|L5KGU8|L5KGU8_PTEAL
OG0001593	sp|Q7TNC4|LC7L2_MOUSE	tr|L5KPV9|L5KPV9_PTEAL
OG0001595	sp|G3X9K3|BIG1_MOUSE	tr|L5JTK9|L5JTK9_PTEAL
OG0001595	sp|A2A5R2|BIG2_MOUSE	tr|L5K197|L5K197_PTEAL
OG0001596	sp|P18572|BASI_MOUSE	tr|L5L884|L5L884_PTEAL
OG0001596	sp|P97300|NPTN_MOUSE	tr|L5JZ54|L5JZ54_PTEAL
OG0001597	sp|Q8VBZ0|DHRSX_MOUSE	tr|L5KVJ7|L5KVJ7_PTEAL
OG0001597	sp|Q8CEE7|RDH13_MOUSE	tr|L5KFA8|L5KFA8_PTEAL
OG0001598	sp|Q9JL04|FMN2_MOUSE	tr|L5JUY7|L5JUY7_PTEAL
OG0001598	sp|Q05860|FMN1_MOUSE	tr|L5K518|L5K518_PTEAL
OG0001599	sp|P97784|CRY1_MOUSE	tr|L5KIF2|L5KIF2_PTEAL
OG0001599	sp|Q9R194|CRY2_MOUSE	tr|L5KX76|L5KX76_PTEAL
OG0001600	sp|P31387|5HT5B_MOUSE	tr|L5JYM5|L5JYM5_PTEAL
OG0001600	sp|P30966|5HT5A_MOUSE	tr|L5L7P1|L5L7P1_PTEAL
OG0001601	sp|Q8K0C4|CP51A_MOUSE	tr|L5KPD4|L5KPD4_PTEAL
OG0001601	sp|Q3UYG1|CC160_MOUSE	tr|L5K144|L5K144_PTEAL
OG0001602	sp|Q3ULA2|FBW1A_MOUSE	tr|L5JPG7|L5JPG7_PTEAL
OG0001602	sp|Q5SRY7|FBW1B_MOUSE	tr|L5L0W5|L5L0W5_PTEAL
OG0001603	sp|Q9QYB8|ADDB_MOUSE	tr|L5KUX6|L5KUX6_PTEAL
OG0001603	sp|Q9QYB5|ADDG_MOUSE	tr|L5K2J4|L5K2J4_PTEAL
OG0001604	tr|A0A0N4SUK7|A0A0N4SUK7_MOUSE	tr|L5KQF1|L5KQF1_PTEAL
OG0001604	tr|D3Z7A8|D3Z7A8_MOUSE	tr|L5K0R9|L5K0R9_PTEAL
OG0001605	tr|Q9CQ11|Q9CQ11_MOUSE, sp|Q9Z0K7|SLUR1_MOUSE, sp|Q9DD23|LYPD2_MOUSE	tr|L5KM81|L5KM81_PTEAL
OG0001606	sp|Q8BZ21|KAT6A_MOUSE	tr|L5KDZ3|L5KDZ3_PTEAL
OG0001606	sp|Q8BRB7|KAT6B_MOUSE	tr|L5KGA1|L5KGA1_PTEAL
OG0001607	sp|P47878|IBP3_MOUSE	tr|L5KQ42|L5KQ42_PTEAL
OG0001607	sp|Q07079|IBP5_MOUSE	tr|L5L1B3|L5L1B3_PTEAL
OG0001608	sp|Q61390|TCPW_MOUSE	tr|L5JR11|L5JR11_PTEAL
OG0001608	sp|P80317|TCPZ_MOUSE	tr|L5K5K5|L5K5K5_PTEAL
OG0001609	sp|Q80ZI2|RTP2_MOUSE	tr|L5JN09|L5JN09_PTEAL
OG0001609	sp|Q8C8C1|RTP1_MOUSE	tr|L5JN04|L5JN04_PTEAL
OG0001610	sp|Q8K2F0|BRD3_MOUSE	tr|L5KA16|L5KA16_PTEAL
OG0001610	sp|Q7JJ13|BRD2_MOUSE	tr|L5L046|L5L046_PTEAL
OG0001611	sp|Q91X46|ARHG3_MOUSE	tr|L5K8W1|L5K8W1_PTEAL
OG0001611	sp|Q9Z206|ARHG8_MOUSE	tr|L5L0X1|L5L0X1_PTEAL
OG0001612	tr|Q9WVA7|Q9WVA7_MOUSE, sp|Q8K025|FRAT2_MOUSE, sp|P70339|FRAT1_MOUSE	tr|L5JPM8|L5JPM8_PTEAL
OG0001613	sp|P84099|RL19_MOUSE	tr|L5JS47|L5JS47_PTEAL, tr|L5JZI2|L5JZI2_PTEAL, tr|L5KK25|L5KK25_PTEAL
OG0001614	sp|Q9DC28|KC1D_MOUSE	tr|L5KN44|L5KN44_PTEAL
OG0001614	sp|Q9JMK2|KC1E_MOUSE	tr|L5KHI1|L5KHI1_PTEAL
OG0001615	sp|Q9JJN2|ZFHX4_MOUSE	tr|L5JSN4|L5JSN4_PTEAL
OG0001615	sp|Q61329|ZFHX3_MOUSE	tr|L5KUC2|L5KUC2_PTEAL
OG0001616	sp|Q9Z0G0|GIPC1_MOUSE, sp|Q9Z2H7|GIPC2_MOUSE, sp|Q8R5M0|GIPC3_MOUSE	tr|L5K5E0|L5K5E0_PTEAL
OG0001617	sp|D0G895|ACE3_MOUSE	tr|L5KMF9|L5KMF9_PTEAL
OG0001617	sp|P09470|ACE_MOUSE	tr|L5KPC7|L5KPC7_PTEAL
OG0001618	sp|P70326|TBX5_MOUSE	tr|L5KWD8|L5KWD8_PTEAL
OG0001618	sp|P70325|TBX4_MOUSE	tr|L5JTW2|L5JTW2_PTEAL
OG0001619	sp|E9Q6P5|TTC7B_MOUSE	tr|L5JQA8|L5JQA8_PTEAL
OG0001619	sp|Q8BGB2|TTC7A_MOUSE	tr|L5KU22|L5KU22_PTEAL
OG0001620	sp|Q3UYK3|TBCD9_MOUSE	tr|L5L1G1|L5L1G1_PTEAL
OG0001620	sp|Q5SVR0|TBC9B_MOUSE	tr|L5JXG1|L5JXG1_PTEAL
OG0001621	sp|Q60954|MEIS1_MOUSE	tr|L5KTV3|L5KTV3_PTEAL
OG0001621	sp|P97367|MEIS2_MOUSE	tr|L5K2J9|L5K2J9_PTEAL
OG0001622	sp|Q61009|SCRB1_MOUSE, sp|O35114|SCRB2_MOUSE, sp|Q08857|CD36_MOUSE	tr|L5KS71|L5KS71_PTEAL
OG0001623	sp|Q8C1F4|CGAT2_MOUSE	tr|L5KY96|L5KY96_PTEAL
OG0001623	sp|Q8BJQ9|CGAT1_MOUSE	tr|L5KDX9|L5KDX9_PTEAL
OG0001624	sp|Q6PEM8|PCFT_MOUSE	tr|L5JSB4|L5JSB4_PTEAL
OG0001624	sp|Q9DC26|S46A3_MOUSE	tr|L5L5M3|L5L5M3_PTEAL
OG0001625	sp|Q8CBH7|MARHB_MOUSE	tr|L5L078|L5L078_PTEAL
OG0001625	sp|Q3TZ87|MARH9_MOUSE	tr|L5KVW1|L5KVW1_PTEAL
OG0001626	sp|Q9JJ26|MEFV_MOUSE	tr|L5KJM7|L5KJM7_PTEAL
OG0001626	sp|Q62158|TRI27_MOUSE	tr|L5KXQ6|L5KXQ6_PTEAL
OG0001627	sp|Q8R1Q8|DC1L1_MOUSE	tr|L5L3G9|L5L3G9_PTEAL
OG0001627	sp|Q6PDL0|DC1L2_MOUSE	tr|L5KSN0|L5KSN0_PTEAL
OG0001628	sp|Q2WF71|LRFN1_MOUSE, sp|Q8BLY3|LRFN3_MOUSE, sp|Q80XU8|LRFN4_MOUSE	tr|L5L432|L5L432_PTEAL
OG0001629	sp|Q9Z0Y9|NR1H3_MOUSE	tr|L5KX96|L5KX96_PTEAL
OG0001629	sp|Q60644|NR1H2_MOUSE	tr|L5L459|L5L459_PTEAL
OG0001630	sp|Q9Z0P5|TWF2_MOUSE	tr|L5KVD9|L5KVD9_PTEAL
OG0001630	sp|Q91YR1|TWF1_MOUSE	tr|L5KAA2|L5KAA2_PTEAL
OG0001631	sp|Q05922|DUS2_MOUSE	tr|L5KTS0|L5KTS0_PTEAL
OG0001631	sp|P28563|DUS1_MOUSE	tr|L5L2B0|L5L2B0_PTEAL
OG0001632	sp|Q5XF90|AT134_MOUSE	tr|L5L2Y1|L5L2Y1_PTEAL
OG0001632	sp|Q3TYU2|AT135_MOUSE	tr|L5L1W5|L5L1W5_PTEAL
OG0001633	sp|P97402|GCNT2_MOUSE	tr|L5KU57|L5KU57_PTEAL
OG0001633	sp|Q3V3K7|GCNT7_MOUSE	tr|L5KW09|L5KW09_PTEAL
OG0001634	sp|P70194|CLC4F_MOUSE	tr|L5KT10|L5KT10_PTEAL
OG0001634	sp|Q8VBX4|CLC4K_MOUSE	tr|L5KUX1|L5KUX1_PTEAL
OG0001635	sp|Q8JZL7|RGF1B_MOUSE	tr|L5KZJ8|L5KZJ8_PTEAL
OG0001635	sp|Q9D300|RGF1C_MOUSE	tr|L5JV55|L5JV55_PTEAL
OG0001636	sp|Q9EST1|GSDMA_MOUSE, sp|Q32M21|GSDA2_MOUSE, sp|Q5Y4Y6|GSDA3_MOUSE	tr|L5JQC0|L5JQC0_PTEAL
OG0001637	sp|O55026|ENTP2_MOUSE, sp|Q8K0L2|ENTP8_MOUSE, sp|P55772|ENTP1_MOUSE	tr|L5K7T7|L5K7T7_PTEAL
OG0001638	sp|O08532|CA2D1_MOUSE	tr|L5JS54|L5JS54_PTEAL
OG0001638	sp|Q6PHS9|CA2D2_MOUSE	tr|L5KUN7|L5KUN7_PTEAL
OG0001639	sp|Q7TSL0|IFNK_MOUSE	tr|L5KKJ7|L5KKJ7_PTEAL
OG0001639	sp|Q80ZF2|IFNE_MOUSE	tr|L5KXU3|L5KXU3_PTEAL
OG0001640	sp|Q7TT45|RRAGD_MOUSE	tr|L5JMV1|L5JMV1_PTEAL
OG0001640	sp|Q99K70|RRAGC_MOUSE	tr|L5JRI2|L5JRI2_PTEAL
OG0001641	sp|Q9R117|TYK2_MOUSE	tr|L5L344|L5L344_PTEAL
OG0001641	sp|P52332|JAK1_MOUSE	tr|L5K6W6|L5K6W6_PTEAL
OG0001642	sp|P53657|KPYR_MOUSE	tr|L5JTW4|L5JTW4_PTEAL
OG0001642	sp|P52480|KPYM_MOUSE	tr|L5JW30|L5JW30_PTEAL
OG0001643	sp|A2VDH3|LRC38_MOUSE, sp|Q91W20|LRC26_MOUSE, sp|Q3UY51|LRC55_MOUSE	tr|L5L3U9|L5L3U9_PTEAL
OG0001644	sp|Q5DTH5|TSH1_MOUSE	tr|L5KIH6|L5KIH6_PTEAL
OG0001644	sp|Q8CGV9|TSH3_MOUSE	tr|L5JV37|L5JV37_PTEAL
OG0001645	sp|Q9EPL8|IPO7_MOUSE	tr|L5L2R2|L5L2R2_PTEAL
OG0001645	sp|Q7TMY7|IPO8_MOUSE	tr|L5KL29|L5KL29_PTEAL
OG0001646	sp|P70404|IDHG1_MOUSE	tr|L5KDS8|L5KDS8_PTEAL
OG0001646	sp|Q8BPC6|IDHG2_MOUSE	tr|L5KYA9|L5KYA9_PTEAL
OG0001647	sp|B2RWS6|EP300_MOUSE	tr|L5KBW8|L5KBW8_PTEAL
OG0001647	sp|P45481|CBP_MOUSE	tr|L5KGL1|L5KGL1_PTEAL
OG0001648	sp|Q62189|SNRPA_MOUSE	tr|L5L4N0|L5L4N0_PTEAL, tr|L5JKZ6|L5JKZ6_PTEAL, tr|L5JSM8|L5JSM8_PTEAL
OG0001649	sp|O88853|GALR3_MOUSE	tr|L5KEY4|L5KEY4_PTEAL
OG0001649	sp|O88854|GALR2_MOUSE	tr|L5KM15|L5KM15_PTEAL
OG0001651	sp|Q6JPI3|MD13L_MOUSE	tr|L5KVQ8|L5KVQ8_PTEAL
OG0001651	sp|Q5SWW4|MED13_MOUSE	tr|L5JQP2|L5JQP2_PTEAL
OG0001652	sp|Q62193|RFA2_MOUSE	tr|L5JRV1|L5JRV1_PTEAL
OG0001652	sp|P01887|B2MG_MOUSE	tr|L5K3Y9|L5K3Y9_PTEAL
OG0001653	sp|Q8K0E1|KCD15_MOUSE	tr|L5JNM3|L5JNM3_PTEAL
OG0001653	sp|Q5M956|KCTD1_MOUSE	tr|L5K5C2|L5K5C2_PTEAL
OG0001654	sp|P35486|ODPA_MOUSE	tr|L5KQD6|L5KQD6_PTEAL
OG0001654	sp|P35487|ODPAT_MOUSE	tr|L5KRX2|L5KRX2_PTEAL
OG0001655	sp|O54982|KCNU1_MOUSE	tr|L5KE34|L5KE34_PTEAL
OG0001655	sp|Q08460|KCMA1_MOUSE	tr|L5KG93|L5KG93_PTEAL
OG0001656	sp|Q99L60|VATC2_MOUSE	tr|L5KRC6|L5KRC6_PTEAL
OG0001656	sp|Q9Z1G3|VATC1_MOUSE	tr|L5KA95|L5KA95_PTEAL
OG0001657	sp|D3YXK2|SAFB1_MOUSE	tr|L5L7Q0|L5L7Q0_PTEAL
OG0001657	sp|Q80YR5|SAFB2_MOUSE	tr|L5L6U2|L5L6U2_PTEAL
OG0001658	sp|Q9EQG7|ENPP5_MOUSE	tr|L5JQ34|L5JQ34_PTEAL
OG0001658	sp|Q3TIW9|ENPP7_MOUSE	tr|L5KNS8|L5KNS8_PTEAL
OG0001659	sp|P86176|TIGIT_MOUSE, tr|Q8K094|Q8K094_MOUSE, sp|P32507|NECT2_MOUSE	tr|L5KN36|L5KN36_PTEAL
OG0001660	tr|B2RXM5|B2RXM5_MOUSE	tr|L5KIT8|L5KIT8_PTEAL
OG0001660	sp|A8Y5H7|S14L1_MOUSE	tr|L5KNW8|L5KNW8_PTEAL
OG0001661	sp|P15066|JUND_MOUSE	tr|L5L6X1|L5L6X1_PTEAL
OG0001661	sp|P05627|JUN_MOUSE	tr|L5K6T4|L5K6T4_PTEAL
OG0001662	sp|O70370|CATS_MOUSE	tr|L5K6C5|L5K6C5_PTEAL
OG0001662	sp|P55097|CATK_MOUSE	tr|L5K2V6|L5K2V6_PTEAL
OG0001663	sp|Q62255|SALL3_MOUSE	tr|L5KHT3|L5KHT3_PTEAL
OG0001663	sp|Q9ER74|SALL1_MOUSE	tr|L5KVC2|L5KVC2_PTEAL
OG0001664	sp|Q8BHL3|TB10B_MOUSE	tr|L5KJM9|L5KJM9_PTEAL
OG0001664	sp|P58802|TB10A_MOUSE	tr|L5L5V7|L5L5V7_PTEAL
OG0001665	sp|Q99JY9|ARP3_MOUSE	tr|L5JZ14|L5JZ14_PTEAL
OG0001665	sp|Q641P0|ARP3B_MOUSE	tr|L5K0N5|L5K0N5_PTEAL
OG0001666	sp|O09010|LFNG_MOUSE	tr|L5KCB9|L5KCB9_PTEAL
OG0001666	sp|O09009|RFNG_MOUSE	tr|L5KNL9|L5KNL9_PTEAL
OG0001667	sp|P54116|STOM_MOUSE	tr|L5K912|L5K912_PTEAL
OG0001667	sp|Q6PE84|STML3_MOUSE	tr|L5KFI1|L5KFI1_PTEAL
OG0001668	sp|Q9DBE0|CSAD_MOUSE	tr|L5L6E2|L5L6E2_PTEAL
OG0001668	sp|Q80WP8|GADL1_MOUSE	tr|L5L2U4|L5L2U4_PTEAL
OG0001669	sp|Q9QXL8|NDK7_MOUSE, sp|Q99MH5|NDK5_MOUSE, sp|O88425|NDK6_MOUSE	tr|L5JRQ6|L5JRQ6_PTEAL
OG0001670	sp|Q04892|SOX14_MOUSE	tr|L5KZV5|L5KZV5_PTEAL, tr|L5KHV3|L5KHV3_PTEAL, tr|L5KHK0|L5KHK0_PTEAL
OG0001671	sp|P70392|RGRF2_MOUSE	tr|L5KIJ8|L5KIJ8_PTEAL
OG0001671	sp|P27671|RGRF1_MOUSE	tr|L5L502|L5L502_PTEAL
OG0001672	sp|P70170|ABCC9_MOUSE	tr|L5KN42|L5KN42_PTEAL
OG0001672	tr|B2RUS7|B2RUS7_MOUSE	tr|L5L5X7|L5L5X7_PTEAL
OG0001673	sp|Q8K2H2|OTU6B_MOUSE	tr|L5KBD7|L5KBD7_PTEAL
OG0001673	sp|Q6IE21|OTU6A_MOUSE	tr|L5KXV5|L5KXV5_PTEAL
OG0001674	tr|Q8R3P8|Q8R3P8_MOUSE, tr|Q14B01|Q14B01_MOUSE	tr|L5L736|L5L736_PTEAL, tr|L5L550|L5L550_PTEAL
OG0001675	sp|B2RXV4|FLVC1_MOUSE	tr|L5KXG6|L5KXG6_PTEAL
OG0001675	sp|Q91X85|FLVC2_MOUSE	tr|L5JQN2|L5JQN2_PTEAL
OG0001676	tr|E9Q519|E9Q519_MOUSE	tr|L5JM00|L5JM00_PTEAL
OG0001676	tr|E9Q518|E9Q518_MOUSE	tr|L5JLW3|L5JLW3_PTEAL
OG0001677	sp|Q9WTL4|INSRR_MOUSE	tr|L5JUJ5|L5JUJ5_PTEAL
OG0001677	sp|Q60751|IGF1R_MOUSE	tr|L5JVC9|L5JVC9_PTEAL
OG0001678	sp|Q9Z247|FKBP9_MOUSE	tr|L5KPT3|L5KPT3_PTEAL
OG0001678	sp|Q61576|FKB10_MOUSE	tr|L5JRD4|L5JRD4_PTEAL
OG0001679	sp|P80313|TCPH_MOUSE	tr|L5JL87|L5JL87_PTEAL, tr|L5JPV0|L5JPV0_PTEAL, tr|L5L3U6|L5L3U6_PTEAL
OG0001680	sp|Q8R050|ERF3A_MOUSE	tr|L5KRG3|L5KRG3_PTEAL
OG0001680	sp|Q149F3|ERF3B_MOUSE	tr|L5L342|L5L342_PTEAL
OG0001681	sp|Q9Z1A9|TBCD8_MOUSE	tr|L5KBA9|L5KBA9_PTEAL
OG0001681	sp|A3KGB4|TBC8B_MOUSE	tr|L5KFU7|L5KFU7_PTEAL
OG0001682	sp|Q9D9E0|S22AH_MOUSE	tr|L5JME4|L5JME4_PTEAL, tr|L5JP29|L5JP29_PTEAL, tr|L5KI21|L5KI21_PTEAL
OG0001683	sp|Q6PGN3|DCLK2_MOUSE	tr|L5L2M0|L5L2M0_PTEAL
OG0001683	sp|Q9JLM8|DCLK1_MOUSE	tr|L5KFJ8|L5KFJ8_PTEAL
OG0001684	sp|Q5EG47|AAPK1_MOUSE	tr|L5K413|L5K413_PTEAL
