Orthogroup	Mus_musculus	Dipodomys_ordii
OG0001708	sp|C0HKD9|MFA1B_MOUSE, sp|C0HKD8|MFA1A_MOUSE	tr|A0A1S3EP32|A0A1S3EP32_DIPOR
OG0001709	sp|Q8BGW4|DC122_MOUSE, sp|Q8CBW4|DC121_MOUSE	tr|A0A1S3FAJ5|A0A1S3FAJ5_DIPOR
OG0001710	sp|P42581|HMX3_MOUSE, sp|O70218|HMX1_MOUSE	tr|A0A1S3FNA4|A0A1S3FNA4_DIPOR
OG0001711	sp|Q920G9|GMCL1_MOUSE	tr|A0A1S3GR83|A0A1S3GR83_DIPOR, tr|A0A1S3FPN5|A0A1S3FPN5_DIPOR
OG0001712	sp|P13597|ICAM1_MOUSE	tr|A0A1S3GL43|A0A1S3GL43_DIPOR, tr|A0A1S3GKT1|A0A1S3GKT1_DIPOR
OG0001713	sp|Q8R4X3|RBM12_MOUSE	tr|A0A1S3GM67|A0A1S3GM67_DIPOR, tr|A0A1S3ESC0|A0A1S3ESC0_DIPOR
OG0001714	sp|Q00690|LYAM2_MOUSE, sp|Q01102|LYAM3_MOUSE	tr|A0A1S3F457|A0A1S3F457_DIPOR
OG0001715	sp|Q3TDE8|ZN691_MOUSE	tr|A0A1S3F6W3|A0A1S3F6W3_DIPOR, tr|A0A1S3FXK8|A0A1S3FXK8_DIPOR
OG0001716	sp|Q5M956|KCTD1_MOUSE, sp|Q8K0E1|KCD15_MOUSE	tr|A0A1S3FZG0|A0A1S3FZG0_DIPOR
OG0001717	sp|Q9Z176|P2R3D_MOUSE, tr|B2RXC8|B2RXC8_MOUSE	tr|A0A1S3GPD2|A0A1S3GPD2_DIPOR
OG0001718	sp|Q8VCZ2|TM45B_MOUSE	tr|A0A1S3EM89|A0A1S3EM89_DIPOR, tr|A0A1S3ELS8|A0A1S3ELS8_DIPOR
OG0001719	sp|Q3UZP0|MALD2_MOUSE, sp|Q8VCR9|OCEL1_MOUSE	tr|A0A1S3F4X4|A0A1S3F4X4_DIPOR
OG0001720	sp|Q9D9H3|MB3L1_MOUSE	tr|A0A1S3GJS1|A0A1S3GJS1_DIPOR, tr|A0A1S3GJI2|A0A1S3GJI2_DIPOR
OG0001721	tr|J3QPY3|J3QPY3_MOUSE, sp|Q9WUD8|FAIM1_MOUSE	tr|A0A1S3GN74|A0A1S3GN74_DIPOR
OG0001722	sp|Q9QWT9|KIFC1_MOUSE, tr|E9PUA5|E9PUA5_MOUSE	tr|A0A1S3GNX0|A0A1S3GNX0_DIPOR
OG0001723	sp|Q5FW85|ECM2_MOUSE	tr|A0A1S3FZ74|A0A1S3FZ74_DIPOR, tr|A0A1S3GPM3|A0A1S3GPM3_DIPOR
OG0001724	sp|Q8CHZ9|MTF1A_MOUSE, sp|B9EJ57|MTF1B_MOUSE	tr|A0A1S3FYB0|A0A1S3FYB0_DIPOR
OG0001725	sp|P33174|KIF4_MOUSE	tr|A0A1S3GE56|A0A1S3GE56_DIPOR, tr|A0A1S3G2V5|A0A1S3G2V5_DIPOR
OG0001726	sp|Q99JP6|HOME3_MOUSE	tr|A0A1S3GWU6|A0A1S3GWU6_DIPOR, tr|A0A1S3G520|A0A1S3G520_DIPOR
OG0001727	sp|Q62241|RU1C_MOUSE	tr|A0A1S3GNB3|A0A1S3GNB3_DIPOR, tr|A0A1S3G897|A0A1S3G897_DIPOR
OG0001728	sp|F2Z461|HERC6_MOUSE	tr|A0A1S3G8M8|A0A1S3G8M8_DIPOR, tr|A0A1S3G8V0|A0A1S3G8V0_DIPOR
OG0001729	sp|Q2M2N2|SPOPL_MOUSE	tr|A0A1S3GZ44|A0A1S3GZ44_DIPOR, tr|A0A1S3G9L4|A0A1S3G9L4_DIPOR
OG0001730	sp|Q3ULW6|CCD33_MOUSE	tr|A0A1S3EVC5|A0A1S3EVC5_DIPOR, tr|A0A1S3GU02|A0A1S3GU02_DIPOR
OG0001731	sp|Q9QUP5|HPLN1_MOUSE, sp|Q80WM5|HPLN3_MOUSE	tr|A0A1S3F659|A0A1S3F659_DIPOR
OG0001732	sp|Q61362|CH3L1_MOUSE	tr|A0A1S3FAB6|A0A1S3FAB6_DIPOR, tr|A0A1S3FVP7|A0A1S3FVP7_DIPOR
OG0001733	sp|Q8R3B1|PLCD1_MOUSE, sp|Q8K4D7|PLCZ1_MOUSE	tr|A0A1S3GCG9|A0A1S3GCG9_DIPOR
OG0001734	sp|Q9QZA0|CAH5B_MOUSE, sp|P23589|CAH5A_MOUSE	tr|A0A1S3GFX4|A0A1S3GFX4_DIPOR
OG0001735	sp|Q99J79|DDB2_MOUSE	tr|A0A1S3GBV0|A0A1S3GBV0_DIPOR, tr|A0A1S3GVF9|A0A1S3GVF9_DIPOR
OG0001736	sp|P0DMN7|DCAM1_MOUSE, sp|D3Z6H8|DCAM2_MOUSE	tr|A0A1S3GVS4|A0A1S3GVS4_DIPOR
OG0001737	sp|P70398|USP9X_MOUSE, tr|F8VPU6|F8VPU6_MOUSE	tr|A0A1S3G069|A0A1S3G069_DIPOR
OG0001738	sp|Q9CQJ7|PTTG1_MOUSE	tr|A0A1S3GE33|A0A1S3GE33_DIPOR, tr|A0A1S3G5I6|A0A1S3G5I6_DIPOR
OG0001739	sp|Q8BGK9|CC018_MOUSE, sp|Q8R043|SIM29_MOUSE	tr|A0A1S3GAN3|A0A1S3GAN3_DIPOR
OG0001740	tr|A0A5F8MPE2|A0A5F8MPE2_MOUSE	tr|A0A1S3GB40|A0A1S3GB40_DIPOR, tr|A0A1S3GAY3|A0A1S3GAY3_DIPOR
OG0001741	tr|Q3V2K7|Q3V2K7_MOUSE, sp|Q9JIH2|NUP50_MOUSE	tr|A0A1S3FYY9|A0A1S3FYY9_DIPOR
OG0001742	sp|Q9EQU5|SET_MOUSE	tr|A0A1S3G1F8|A0A1S3G1F8_DIPOR, tr|A0A1S3FLR8|A0A1S3FLR8_DIPOR
OG0001743	sp|Q8CEG8|UBP27_MOUSE	tr|A0A1S3GG64|A0A1S3GG64_DIPOR, tr|A0A1S3GSF4|A0A1S3GSF4_DIPOR
OG0001744	sp|Q60774|TM45A_MOUSE	tr|A0A1S3FUM4|A0A1S3FUM4_DIPOR, tr|A0A1S3FSQ3|A0A1S3FSQ3_DIPOR
OG0001745	sp|Q9Z0M6|AGRE5_MOUSE	tr|A0A1S3GN65|A0A1S3GN65_DIPOR, tr|A0A1S3GL77|A0A1S3GL77_DIPOR
OG0001746	sp|Q6NS45|CCD66_MOUSE	tr|A0A1S3GUX6|A0A1S3GUX6_DIPOR, tr|A0A1S3GT47|A0A1S3GT47_DIPOR
OG0001747	sp|Q99KC8|VMA5A_MOUSE, tr|Q8BGF0|Q8BGF0_MOUSE	tr|A0A1S3EM01|A0A1S3EM01_DIPOR
OG0001749	sp|Q9CWH6|PSMA8_MOUSE, sp|Q9Z2U0|PSA7_MOUSE	tr|A0A1S3F3E8|A0A1S3F3E8_DIPOR
OG0001750	sp|Q9DB52|PBIR1_MOUSE, tr|Q9D5J5|Q9D5J5_MOUSE	tr|A0A1S3FBN6|A0A1S3FBN6_DIPOR
OG0001751	sp|Q811F1|ZBT41_MOUSE	tr|A0A1S3G6U0|A0A1S3G6U0_DIPOR, tr|A0A1S3F877|A0A1S3F877_DIPOR
OG0001752	sp|A2AQ14|MS18B_MOUSE	tr|A0A1S3GXK6|A0A1S3GXK6_DIPOR, tr|A0A1S3GW29|A0A1S3GW29_DIPOR
OG0001753	sp|P07724|ALBU_MOUSE	tr|A0A1S3FHD6|A0A1S3FHD6_DIPOR, tr|A0A1S3FI52|A0A1S3FI52_DIPOR
OG0001754	sp|Q9D6K9|CERS5_MOUSE, sp|Q8C172|CERS6_MOUSE	tr|A0A1S3G477|A0A1S3G477_DIPOR
OG0001755	sp|Q9WTV7|RNF12_MOUSE	tr|A0A1S3G0J4|A0A1S3G0J4_DIPOR, tr|A0A1S3G801|A0A1S3G801_DIPOR
OG0001756	sp|O35345|IMA7_MOUSE	tr|A0A1S3GJP4|A0A1S3GJP4_DIPOR, tr|A0A1S3FHK2|A0A1S3FHK2_DIPOR
OG0001757	sp|P62702|RS4X_MOUSE	tr|A0A1S3F0B0|A0A1S3F0B0_DIPOR, tr|A0A1S3GTW3|A0A1S3GTW3_DIPOR
OG0001758	sp|P62869|ELOB_MOUSE, tr|A6PWE0|A6PWE0_MOUSE	tr|A0A1S3ER72|A0A1S3ER72_DIPOR
OG0001759	tr|Q9DAA5|Q9DAA5_MOUSE, sp|Q9D2S4|SPAC7_MOUSE	tr|A0A1S3FNN5|A0A1S3FNN5_DIPOR
OG0001760	sp|Q9D787|PPIL2_MOUSE	tr|A0A1S3GDP2|A0A1S3GDP2_DIPOR, tr|A0A1S3GET6|A0A1S3GET6_DIPOR
OG0001761	sp|Q80ST9|LCA5_MOUSE	tr|A0A1S3GFT3|A0A1S3GFT3_DIPOR, tr|A0A1S3GMT2|A0A1S3GMT2_DIPOR
OG0001762	sp|Q8K1F9|LCTL_MOUSE	tr|A0A1S3EPT9|A0A1S3EPT9_DIPOR, tr|A0A1S3EL25|A0A1S3EL25_DIPOR
OG0001763	sp|Q99JT6|TLCD1_MOUSE, sp|Q8VC26|TLCD2_MOUSE	tr|A0A1S3F824|A0A1S3F824_DIPOR
OG0001764	sp|Q8CHW1|THAP1_MOUSE	tr|A0A1S3FTU9|A0A1S3FTU9_DIPOR, tr|A0A1S3FVE6|A0A1S3FVE6_DIPOR
OG0001765	sp|P12970|RL7A_MOUSE	tr|A0A1S3GA20|A0A1S3GA20_DIPOR, tr|A0A1S3GNE2|A0A1S3GNE2_DIPOR
OG0001766	sp|P22726|WNT5B_MOUSE, sp|P22725|WNT5A_MOUSE	tr|A0A1S3GC24|A0A1S3GC24_DIPOR
OG0001767	sp|P09602|HMGN2_MOUSE	tr|A0A1S3GPC5|A0A1S3GPC5_DIPOR, tr|A0A1S3GQY4|A0A1S3GQY4_DIPOR
OG0001768	tr|Q8VG23|Q8VG23_MOUSE, tr|E9PVA0|E9PVA0_MOUSE	tr|A0A1S3GQW3|A0A1S3GQW3_DIPOR
OG0001769	sp|P0DM65|BECN2_MOUSE	tr|A0A1S3FXT9|A0A1S3FXT9_DIPOR, tr|A0A1S3FMD9|A0A1S3FMD9_DIPOR
OG0001770	sp|A0A1B0GSN8|SRTM2_MOUSE, sp|Q8CD78|SRTM1_MOUSE	tr|A0A1S3GE01|A0A1S3GE01_DIPOR
OG0001771	tr|A0A0N4SUM5|A0A0N4SUM5_MOUSE, sp|P46099|KLF1_MOUSE	tr|A0A1S3GNW9|A0A1S3GNW9_DIPOR
OG0001772	tr|F8VPJ9|F8VPJ9_MOUSE	tr|A0A1S3GT12|A0A1S3GT12_DIPOR, tr|A0A1S3EZN6|A0A1S3EZN6_DIPOR
OG0001773	tr|Q8C0E6|Q8C0E6_MOUSE	tr|A0A1S3EVR7|A0A1S3EVR7_DIPOR, tr|A0A1S3FFW6|A0A1S3FFW6_DIPOR
OG0001774	sp|A2A3V1|AK17B_MOUSE	tr|A0A1S3GRG3|A0A1S3GRG3_DIPOR, tr|A0A1S3FFZ1|A0A1S3FFZ1_DIPOR
OG0001775	tr|Q99ML6|Q99ML6_MOUSE, sp|Q9WVD5|ORNT1_MOUSE	tr|A0A1S3FIS4|A0A1S3FIS4_DIPOR
OG0001776	sp|Q8BMN3|ACHB3_MOUSE, sp|Q2MKA5|ACHA5_MOUSE	tr|A0A1S3FV24|A0A1S3FV24_DIPOR
OG0001777	sp|P49945|FRIL2_MOUSE, sp|P29391|FRIL1_MOUSE	tr|A0A1S3G3D5|A0A1S3G3D5_DIPOR
OG0001778	sp|O35071|KIF1C_MOUSE	tr|A0A1S3EVZ9|A0A1S3EVZ9_DIPOR, tr|A0A1S3GEV9|A0A1S3GEV9_DIPOR
OG0001779	tr|G3X992|G3X992_MOUSE, sp|Q9WVG9|MS3L1_MOUSE	tr|A0A1S3GHF1|A0A1S3GHF1_DIPOR
OG0001780	sp|Q9CYN9|RENR_MOUSE	tr|A0A1S3G1P3|A0A1S3G1P3_DIPOR, tr|A0A1S3G440|A0A1S3G440_DIPOR
OG0001781	sp|Q810Z1|LCN10_MOUSE	tr|A0A1S3G978|A0A1S3G978_DIPOR, tr|A0A1S3GA15|A0A1S3GA15_DIPOR
OG0001782	tr|Q9D7L5|Q9D7L5_MOUSE, sp|Q8BHD4|FRMD3_MOUSE	tr|A0A1S3GCH3|A0A1S3GCH3_DIPOR
OG0001783	sp|P08556|RASN_MOUSE	tr|A0A1S3GJH0|A0A1S3GJH0_DIPOR, tr|A0A1S3FUE3|A0A1S3FUE3_DIPOR
OG0001784	sp|Q9CW42|MARC1_MOUSE, sp|Q922Q1|MARC2_MOUSE	tr|A0A1S3F2T4|A0A1S3F2T4_DIPOR
OG0001785	sp|P00493|HPRT_MOUSE	tr|A0A1S3FC50|A0A1S3FC50_DIPOR, tr|A0A1S3F1L2|A0A1S3F1L2_DIPOR
OG0001786	tr|Q8BS54|Q8BS54_MOUSE	tr|A0A1S3G6E6|A0A1S3G6E6_DIPOR, tr|A0A1S3GNE1|A0A1S3GNE1_DIPOR
OG0001787	sp|Q8VIF2|PRS42_MOUSE, sp|Q8K4I7|PRS45_MOUSE	tr|A0A1S3GCD4|A0A1S3GCD4_DIPOR
OG0001788	sp|P15066|JUND_MOUSE	tr|A0A1S3FM60|A0A1S3FM60_DIPOR, tr|A0A1S3G4P1|A0A1S3G4P1_DIPOR
OG0001789	sp|Q6NXJ0|WWC2_MOUSE	tr|A0A1S3GG20|A0A1S3GG20_DIPOR, tr|A0A1S3FRX1|A0A1S3FRX1_DIPOR
OG0001790	sp|P56393|COX7B_MOUSE	tr|A0A1S3EK88|A0A1S3EK88_DIPOR, tr|A0A1S3G8K2|A0A1S3G8K2_DIPOR
OG0001791	sp|A2AGX3|PRD11_MOUSE	tr|A0A1S3GBK0|A0A1S3GBK0_DIPOR, tr|A0A1S3GSF7|A0A1S3GSF7_DIPOR
OG0001792	sp|P21761|TRHR_MOUSE, tr|Q9ERT2|Q9ERT2_MOUSE	tr|A0A1S3ETT0|A0A1S3ETT0_DIPOR
OG0001793	sp|P52840|ST1A1_MOUSE	tr|A0A1S3ERH0|A0A1S3ERH0_DIPOR, tr|A0A1S3EUA6|A0A1S3EUA6_DIPOR
OG0001794	sp|P00796|RENI2_MOUSE, sp|P06281|RENI1_MOUSE	tr|A0A1S3F9W7|A0A1S3F9W7_DIPOR
OG0001795	sp|P12850|GROA_MOUSE	tr|A0A1S3FH37|A0A1S3FH37_DIPOR, tr|A0A1S3FHU8|A0A1S3FHU8_DIPOR
OG0001796	sp|Q3V2Q8|N42L1_MOUSE, sp|Q8JZS6|N42L2_MOUSE	tr|A0A1S3G3B2|A0A1S3G3B2_DIPOR
OG0001797	tr|A0A140LII9|A0A140LII9_MOUSE, tr|A0A140LIU8|A0A140LIU8_MOUSE	tr|A0A1S3GQ18|A0A1S3GQ18_DIPOR
OG0001799	sp|Q91ZF0|DJC24_MOUSE	tr|A0A1S3FGE1|A0A1S3FGE1_DIPOR, tr|A0A1S3FEA3|A0A1S3FEA3_DIPOR
OG0001800	sp|Q8CDN1|CC020_MOUSE	tr|A0A1S3EPC5|A0A1S3EPC5_DIPOR, tr|A0A1S3FGZ6|A0A1S3FGZ6_DIPOR
OG0001801	sp|Q2TL60|ZN667_MOUSE	tr|A0A1S3FYI7|A0A1S3FYI7_DIPOR, tr|A0A1S3GMH0|A0A1S3GMH0_DIPOR
OG0001802	sp|Q62093|SRSF2_MOUSE, tr|A2RRY9|A2RRY9_MOUSE	tr|A0A1S3GWM9|A0A1S3GWM9_DIPOR
OG0001803	sp|Q6IR41|C1QT6_MOUSE	tr|A0A1S3FW58|A0A1S3FW58_DIPOR, tr|A0A1S3EQR1|A0A1S3EQR1_DIPOR
OG0001804	sp|P47811|MK14_MOUSE, sp|Q9WUI1|MK11_MOUSE	tr|A0A1S3G8B7|A0A1S3G8B7_DIPOR
OG0001805	sp|Q9D110|MTHFS_MOUSE, tr|L7N466|L7N466_MOUSE	tr|A0A1S3EUM2|A0A1S3EUM2_DIPOR
OG0001806	sp|P14869|RLA0_MOUSE	tr|A0A1S3GCH2|A0A1S3GCH2_DIPOR, tr|A0A1S3EZM8|A0A1S3EZM8_DIPOR
OG0001807	sp|Q8K2H1|PPHLN_MOUSE, tr|Q9CZ70|Q9CZ70_MOUSE	tr|A0A1S3FDB3|A0A1S3FDB3_DIPOR
OG0001808	sp|Q49B93|SC5AC_MOUSE	tr|A0A1S3FGB6|A0A1S3FGB6_DIPOR, tr|A0A1S3FFD6|A0A1S3FFD6_DIPOR
OG0001809	tr|J9JI72|J9JI72_MOUSE, sp|P97460|NPAS2_MOUSE	tr|A0A1S3FFY1|A0A1S3FFY1_DIPOR
OG0001810	sp|A2ARV4|LRP2_MOUSE, tr|A0A140LJC7|A0A140LJC7_MOUSE	tr|A0A1S3G1X7|A0A1S3G1X7_DIPOR
OG0001811	sp|Q14C59|TM11B_MOUSE	tr|A0A1S3EJ97|A0A1S3EJ97_DIPOR, tr|A0A1S3EKC0|A0A1S3EKC0_DIPOR
OG0001812	sp|P49312|ROA1_MOUSE	tr|A0A1S3GGH5|A0A1S3GGH5_DIPOR, tr|A0A1S3FUK7|A0A1S3FUK7_DIPOR
OG0001813	sp|O88809|DCX_MOUSE	tr|A0A1S3G8G0|A0A1S3G8G0_DIPOR, tr|A0A1S3FXM3|A0A1S3FXM3_DIPOR
OG0001815	sp|Q8R1Z9|RN121_MOUSE	tr|A0A1S3G8L6|A0A1S3G8L6_DIPOR, tr|A0A1S3F1I9|A0A1S3F1I9_DIPOR
OG0001816	sp|Q8CCT7|NSUN3_MOUSE	tr|A0A1S3F827|A0A1S3F827_DIPOR, tr|A0A1S3FST6|A0A1S3FST6_DIPOR
OG0001817	sp|Q11131|FUT7_MOUSE	tr|A0A1S3G7R2|A0A1S3G7R2_DIPOR, tr|A0A1S3FQJ4|A0A1S3FQJ4_DIPOR
OG0001818	sp|Q2VPD4|BMAL2_MOUSE, sp|Q9WTL8|BMAL1_MOUSE	tr|A0A1S3G785|A0A1S3G785_DIPOR
OG0001819	sp|Q9DCJ1|LST8_MOUSE	tr|A0A1S3EUS7|A0A1S3EUS7_DIPOR, tr|A0A1S3GYM9|A0A1S3GYM9_DIPOR
OG0001820	sp|Q66LM6|F170A_MOUSE	tr|A0A1S3F4H9|A0A1S3F4H9_DIPOR, tr|A0A1S3EKU7|A0A1S3EKU7_DIPOR
OG0001821	sp|Q8VE92|RBM4B_MOUSE, sp|Q8C7Q4|RBM4_MOUSE	tr|A0A1S3FJA6|A0A1S3FJA6_DIPOR
OG0001822	sp|O35904|PK3CD_MOUSE	tr|A0A1S3GMG3|A0A1S3GMG3_DIPOR, tr|A0A1S3GQW0|A0A1S3GQW0_DIPOR
OG0001823	sp|O35242|FAN_MOUSE	tr|A0A1S3FYL2|A0A1S3FYL2_DIPOR, tr|A0A1S3EL97|A0A1S3EL97_DIPOR
OG0001824	sp|Q8WUR0|CS012_MOUSE	tr|A0A1S3G0C4|A0A1S3G0C4_DIPOR, tr|A0A1S3FYW8|A0A1S3FYW8_DIPOR
OG0001825	sp|Q69Z37|SAM9L_MOUSE	tr|A0A1S3G0D7|A0A1S3G0D7_DIPOR, tr|A0A1S3G0E3|A0A1S3G0E3_DIPOR
OG0001826	sp|P29452|CASP1_MOUSE, sp|O08736|CASPC_MOUSE	tr|A0A1S3ENX6|A0A1S3ENX6_DIPOR
OG0001827	tr|A2A4U6|A2A4U6_MOUSE, tr|E9QAH2|E9QAH2_MOUSE	tr|A0A1S3ESY8|A0A1S3ESY8_DIPOR
OG0001828	sp|Q91WB4|PKHF2_MOUSE, sp|Q3TB82|PKHF1_MOUSE	tr|A0A1S3EVN9|A0A1S3EVN9_DIPOR
OG0001829	sp|Q8VE65|TAF12_MOUSE	tr|A0A1S3GUF3|A0A1S3GUF3_DIPOR, tr|A0A1S3GHX9|A0A1S3GHX9_DIPOR
OG0001830	sp|Q99P87|RETN_MOUSE	tr|A0A1S3GJE9|A0A1S3GJE9_DIPOR, tr|A0A1S3GLT5|A0A1S3GLT5_DIPOR
OG0001831	sp|P08113|ENPL_MOUSE	tr|A0A1S3GV09|A0A1S3GV09_DIPOR, tr|A0A1S3FKN5|A0A1S3FKN5_DIPOR
OG0001832	sp|Q8BJD1|ITIH5_MOUSE	tr|A0A1S3EKF3|A0A1S3EKF3_DIPOR, tr|A0A1S3GSK8|A0A1S3GSK8_DIPOR
OG0001833	sp|Q6ZWQ0|SYNE2_MOUSE	tr|A0A1S3F5A9|A0A1S3F5A9_DIPOR, tr|A0A1S3EZ94|A0A1S3EZ94_DIPOR
OG0001834	sp|Q5HZI2|C2C4C_MOUSE, sp|P0CG09|C2C4D_MOUSE	tr|A0A1S3FPF3|A0A1S3FPF3_DIPOR
OG0001835	sp|P55086|PAR2_MOUSE, sp|O88634|PAR4_MOUSE	tr|A0A1S3FXY0|A0A1S3FXY0_DIPOR
OG0001836	sp|Q9DAN9|CF97D_MOUSE	tr|A0A1S3GF07|A0A1S3GF07_DIPOR, tr|A0A1S3G627|A0A1S3G627_DIPOR
OG0001837	sp|Q8BGV5|ZNF8_MOUSE	tr|A0A1S3G340|A0A1S3G340_DIPOR, tr|A0A1S3GPW1|A0A1S3GPW1_DIPOR
OG0001838	sp|Q7TMS5|ABCG2_MOUSE, sp|Q99P81|ABCG3_MOUSE	tr|A0A1S3GB78|A0A1S3GB78_DIPOR
OG0001839	sp|Q8BGY6|B3GN5_MOUSE, tr|A0A1L1SR01|A0A1L1SR01_MOUSE	tr|A0A1S3GI18|A0A1S3GI18_DIPOR
OG0001840	sp|Q99MP3|CALCB_MOUSE	tr|A0A1S3GNM6|A0A1S3GNM6_DIPOR, tr|A0A1S3GLA2|A0A1S3GLA2_DIPOR
OG0001841	tr|Q9WV19|Q9WV19_MOUSE	tr|A0A1S3GTK7|A0A1S3GTK7_DIPOR, tr|A0A1S3GTH7|A0A1S3GTH7_DIPOR
OG0001842	sp|Q3U1V8|M3K9_MOUSE, sp|Q8VDG6|M3K21_MOUSE	tr|A0A1S3F9D6|A0A1S3F9D6_DIPOR
OG0001843	sp|Q9Z130|HNRDL_MOUSE, tr|Q9D3U4|Q9D3U4_MOUSE	tr|A0A1S3FH56|A0A1S3FH56_DIPOR
OG0001844	tr|Q9D3V8|Q9D3V8_MOUSE, sp|Q9D518|F227B_MOUSE	tr|A0A1S3FV42|A0A1S3FV42_DIPOR
OG0001845	sp|Q710D3|UN93A_MOUSE, tr|B2RWK3|B2RWK3_MOUSE	tr|A0A1S3FVF2|A0A1S3FVF2_DIPOR
OG0001846	sp|Q8K2F0|BRD3_MOUSE	tr|A0A1S3G817|A0A1S3G817_DIPOR, tr|A0A1S3GVI2|A0A1S3GVI2_DIPOR
OG0001847	sp|Q7TSN6|GP151_MOUSE	tr|A0A1S3FWK6|A0A1S3FWK6_DIPOR, tr|A0A1S3FX32|A0A1S3FX32_DIPOR
OG0001848	sp|O70439|STX7_MOUSE	tr|A0A1S3FVK2|A0A1S3FVK2_DIPOR, tr|A0A1S3G105|A0A1S3G105_DIPOR
OG0001849	tr|A0A1L1SVH0|A0A1L1SVH0_MOUSE, tr|A0A140LHU2|A0A140LHU2_MOUSE	tr|A0A1S3G772|A0A1S3G772_DIPOR
OG0001850	tr|E9Q840|E9Q840_MOUSE, tr|E9Q9Z0|E9Q9Z0_MOUSE	tr|A0A1S3GT69|A0A1S3GT69_DIPOR
OG0001851	sp|O35516|NOTC2_MOUSE	tr|A0A1S3FC97|A0A1S3FC97_DIPOR, tr|A0A1S3GX57|A0A1S3GX57_DIPOR
OG0001852	tr|Q9D6S9|Q9D6S9_MOUSE, tr|A0A338P708|A0A338P708_MOUSE	tr|A0A1S3G267|A0A1S3G267_DIPOR
OG0001853	tr|Q8VG40|Q8VG40_MOUSE	tr|A0A1S3GT41|A0A1S3GT41_DIPOR, tr|A0A1S3GVJ0|A0A1S3GVJ0_DIPOR
OG0001854	sp|Q07104|GDF3_MOUSE, sp|P20863|GDF1_MOUSE	tr|A0A1S3GWI8|A0A1S3GWI8_DIPOR
OG0001855	tr|Q9D3H4|Q9D3H4_MOUSE, tr|A0PK51|A0PK51_MOUSE	tr|A0A1S3GWU2|A0A1S3GWU2_DIPOR
OG0001856	sp|O08863|BIRC3_MOUSE, sp|Q62210|BIRC2_MOUSE	tr|A0A1S3EL58|A0A1S3EL58_DIPOR
OG0001857	tr|Q8CDC8|Q8CDC8_MOUSE, sp|P97447|FHL1_MOUSE	tr|A0A1S3FAQ7|A0A1S3FAQ7_DIPOR
OG0001858	sp|Q8VED9|LEGL_MOUSE, sp|Q7TPX9|LEGLB_MOUSE	tr|A0A1S3FMX6|A0A1S3FMX6_DIPOR
OG0001859	sp|Q63810|CANB1_MOUSE	tr|A0A1S3FRR9|A0A1S3FRR9_DIPOR, tr|A0A1S3FPP0|A0A1S3FPP0_DIPOR
OG0001860	sp|Q62193|RFA2_MOUSE	tr|A0A1S3ETY3|A0A1S3ETY3_DIPOR, tr|A0A1S3GJ70|A0A1S3GJ70_DIPOR
OG0001861	sp|Q3T9X0|GTR9_MOUSE	tr|A0A1S3FU87|A0A1S3FU87_DIPOR, tr|A0A1S3EZR2|A0A1S3EZR2_DIPOR
OG0001862	tr|A0A1D5RMB0|A0A1D5RMB0_MOUSE, tr|E9Q5Z6|E9Q5Z6_MOUSE	tr|A0A1S3FTQ7|A0A1S3FTQ7_DIPOR
OG0001863	tr|A2AG10|A2AG10_MOUSE, sp|Q63850|NUP62_MOUSE	tr|A0A1S3G543|A0A1S3G543_DIPOR
OG0001864	sp|P97370|AT1B3_MOUSE	tr|A0A1S3G8J6|A0A1S3G8J6_DIPOR, tr|A0A1S3GBE0|A0A1S3GBE0_DIPOR
OG0001865	sp|Q8R0E5|ZRAS1_MOUSE	tr|A0A1S3FL94|A0A1S3FL94_DIPOR, tr|A0A1S3GEX0|A0A1S3GEX0_DIPOR
OG0001866	sp|Q50L41|PA24F_MOUSE, sp|P0C871|PA24B_MOUSE	tr|A0A1S3EMU5|A0A1S3EMU5_DIPOR
OG0001867	tr|Q7TS30|Q7TS30_MOUSE	tr|A0A1S3F2V3|A0A1S3F2V3_DIPOR, tr|A0A1S3F4A9|A0A1S3F4A9_DIPOR
OG0001868	sp|Q9D8C3|ALG13_MOUSE	tr|A0A1S3FXL5|A0A1S3FXL5_DIPOR, tr|A0A1S3GTJ6|A0A1S3GTJ6_DIPOR
OG0001869	sp|Q8VHP8|RB40B_MOUSE, sp|Q8VHQ4|RB40C_MOUSE	tr|A0A1S3ETJ8|A0A1S3ETJ8_DIPOR
OG0001870	sp|Q3USF0|B3GN6_MOUSE, sp|Q5JCS9|B3GN3_MOUSE	tr|A0A1S3F033|A0A1S3F033_DIPOR
OG0001871	sp|Q641K1|CBPC1_MOUSE	tr|A0A1S3GCE8|A0A1S3GCE8_DIPOR, tr|A0A1S3GE32|A0A1S3GE32_DIPOR
OG0001872	sp|Q3UW26|BSPH1_MOUSE	tr|A0A1S3GVP6|A0A1S3GVP6_DIPOR, tr|A0A1S3GSE1|A0A1S3GSE1_DIPOR
OG0001873	sp|Q62073|M3K7_MOUSE	tr|A0A1S3GTR6|A0A1S3GTR6_DIPOR, tr|A0A1S3F624|A0A1S3F624_DIPOR
OG0001874	sp|Q9CQE0|RN138_MOUSE, tr|Q9D9M9|Q9D9M9_MOUSE	tr|A0A1S3F3P2|A0A1S3F3P2_DIPOR
OG0001875	sp|Q8QZR8|CCNQ_MOUSE	tr|A0A1S3GR96|A0A1S3GR96_DIPOR, tr|A0A1S3F5V8|A0A1S3F5V8_DIPOR
