Orthogroup	Mus_musculus	Pipistrellus_kuhlii
OG0002967	sp|Q60707|TBX2_MOUSE	tr|A0A7J7U9C3|A0A7J7U9C3_PIPKU
OG0002968	sp|Q60902|EP15R_MOUSE	tr|A0A7J7S4H5|A0A7J7S4H5_PIPKU
OG0002969	sp|Q61048|WBP4_MOUSE	tr|A0A7J7ZNQ1|A0A7J7ZNQ1_PIPKU
OG0002970	sp|Q61335|BAP31_MOUSE	tr|A0A7J7R4R5|A0A7J7R4R5_PIPKU
OG0002971	sp|Q61467|ZIC4_MOUSE	tr|A0A7J8ADU9|A0A7J8ADU9_PIPKU
OG0002972	sp|Q61599|GDIR2_MOUSE	tr|A0A7J7ZG40|A0A7J7ZG40_PIPKU
OG0002973	sp|Q61985|NF2L1_MOUSE	tr|A0A7J7U8Q5|A0A7J7U8Q5_PIPKU
OG0002974	sp|Q640Q5|PAN3_MOUSE	tr|A0A7J7ZMA2|A0A7J7ZMA2_PIPKU
OG0002975	sp|Q64701|RBL1_MOUSE	tr|A0A7J7YBB4|A0A7J7YBB4_PIPKU
OG0002976	sp|Q6J9G1|STYK1_MOUSE	tr|A0A7J7ZN08|A0A7J7ZN08_PIPKU
OG0002977	sp|Q6P5B0|RRP12_MOUSE	tr|A0A7J7VCR6|A0A7J7VCR6_PIPKU
OG0002978	sp|Q6PFD5|DLGP3_MOUSE	tr|A0A7J8A5M1|A0A7J8A5M1_PIPKU
OG0002979	sp|Q7TQ40|ZIC5_MOUSE	tr|A0A7J7ZQ69|A0A7J7ZQ69_PIPKU
OG0002980	sp|Q80UU2|RPP38_MOUSE	tr|A0A7J8B5H8|A0A7J8B5H8_PIPKU
OG0002981	sp|Q8BSA9|TYW3_MOUSE	tr|A0A7J8ACF7|A0A7J8ACF7_PIPKU
OG0002982	sp|Q8BVZ1|PLIN5_MOUSE	tr|A0A7J7TA58|A0A7J7TA58_PIPKU
OG0002983	sp|Q8CCP0|NEMF_MOUSE	tr|A0A7J8B3I7|A0A7J8B3I7_PIPKU
OG0002984	sp|Q8CHK4|KAT5_MOUSE	tr|A0A7J7S050|A0A7J7S050_PIPKU
OG0002985	sp|Q8R164|BPHL_MOUSE	tr|A0A7J8A493|A0A7J8A493_PIPKU
OG0002986	sp|Q8VBT3|OSCAR_MOUSE	tr|A0A7J7QSY6|A0A7J7QSY6_PIPKU
OG0002987	sp|Q8VCP8|KAD6_MOUSE	tr|A0A7J7YUM7|A0A7J7YUM7_PIPKU
OG0002988	sp|Q8VCP9|CLC14_MOUSE	tr|A0A7J8AYY0|A0A7J8AYY0_PIPKU
OG0002989	sp|Q8VHI7|DRC2_MOUSE	tr|A0A7J7ZGI0|A0A7J7ZGI0_PIPKU
OG0002990	sp|Q920P5|KAD5_MOUSE	tr|A0A7J8A3S4|A0A7J8A3S4_PIPKU
OG0002991	sp|Q99L45|IF2B_MOUSE	tr|A0A7J7Y8A5|A0A7J7Y8A5_PIPKU
OG0002992	sp|Q9CQ69|QCR8_MOUSE	tr|A0A7J7XD82|A0A7J7XD82_PIPKU
OG0002993	sp|Q9CWZ7|SNAG_MOUSE	tr|A0A7J7Y9M8|A0A7J7Y9M8_PIPKU
OG0002994	sp|Q9D1L0|CHCH2_MOUSE	tr|A0A7J7YVV4|A0A7J7YVV4_PIPKU
OG0002995	sp|Q9D8F3|S52A2_MOUSE	tr|A0A7J7RLB1|A0A7J7RLB1_PIPKU
OG0002996	sp|Q9D8W5|PSD12_MOUSE	tr|A0A7J7U8Y5|A0A7J7U8Y5_PIPKU
OG0002997	sp|Q9DAL0|SIM23_MOUSE	tr|A0A7J7XCL3|A0A7J7XCL3_PIPKU
OG0002998	sp|Q9DBY4|TRIL_MOUSE	tr|A0A7J7TPT8|A0A7J7TPT8_PIPKU
OG0002999	sp|Q9WTR0|MMP16_MOUSE	tr|A0A7J7VNG2|A0A7J7VNG2_PIPKU
OG0003000	sp|Q9Z2Q5|RM40_MOUSE	tr|A0A7J7UGQ4|A0A7J7UGQ4_PIPKU
OG0003001	tr|A0A1L1STD6|A0A1L1STD6_MOUSE	tr|A0A7J8B1K3|A0A7J8B1K3_PIPKU
OG0003002	sp|B1AYB6|MBD5_MOUSE	tr|A0A7J7XVM6|A0A7J7XVM6_PIPKU
OG0003003	sp|O55098|STK10_MOUSE	tr|A0A7J7XD88|A0A7J7XD88_PIPKU
OG0003004	sp|O70333|CRIPT_MOUSE	tr|A0A7J7VUF5|A0A7J7VUF5_PIPKU
OG0003005	sp|O70481|UBR1_MOUSE	tr|A0A7J8B6U9|A0A7J8B6U9_PIPKU
OG0003006	sp|O88351|IKKB_MOUSE	tr|A0A7J7ZI07|A0A7J7ZI07_PIPKU
OG0003007	sp|O88531|PPT1_MOUSE	tr|A0A7J8A9V0|A0A7J8A9V0_PIPKU
OG0003008	sp|P07934|PHKG1_MOUSE	tr|A0A7J7YYG8|A0A7J7YYG8_PIPKU
OG0003009	sp|P09671|SODM_MOUSE	tr|A0A7J7YPC6|A0A7J7YPC6_PIPKU
OG0003010	sp|P14131|RS16_MOUSE	tr|A0A7J7SNN9|A0A7J7SNN9_PIPKU
OG0003011	sp|P23950|TISB_MOUSE	tr|A0A7J8B738|A0A7J8B738_PIPKU
OG0003012	sp|P41588|VIPR2_MOUSE	tr|A0A7J7R7S0|A0A7J7R7S0_PIPKU
OG0003013	sp|P52875|TM165_MOUSE	tr|A0A7J8B5A1|A0A7J8B5A1_PIPKU
OG0003014	sp|P60229|EIF3E_MOUSE	tr|A0A7J7VMG6|A0A7J7VMG6_PIPKU
OG0003015	sp|P60761|NEUG_MOUSE	tr|A0A7J7UGF9|A0A7J7UGF9_PIPKU
OG0003016	sp|Q3TTY0|PLB1_MOUSE	tr|A0A7J7VVS8|A0A7J7VVS8_PIPKU
OG0003017	sp|Q3U0M1|TPPC9_MOUSE	tr|A0A7J7VP29|A0A7J7VP29_PIPKU
OG0003018	sp|Q3UYV8|DAAF3_MOUSE	tr|A0A7J7R0C1|A0A7J7R0C1_PIPKU
OG0003019	tr|Q5SXC4|Q5SXC4_MOUSE	tr|A0A7J7TLG4|A0A7J7TLG4_PIPKU
OG0003020	sp|Q62209|SYCP1_MOUSE	tr|A0A7J7TWS7|A0A7J7TWS7_PIPKU
OG0003021	sp|Q6PB60|BHLH9_MOUSE	tr|A0A7J7V639|A0A7J7V639_PIPKU
OG0003022	sp|Q6PFR5|TRA2A_MOUSE	tr|A0A7J7TNT8|A0A7J7TNT8_PIPKU
OG0003023	sp|Q70KF4|CMYA5_MOUSE	tr|A0A7J7YVC2|A0A7J7YVC2_PIPKU
OG0003024	sp|Q7TQK5|CCD93_MOUSE	tr|A0A7J7XTI8|A0A7J7XTI8_PIPKU
OG0003025	sp|Q80W35|TM202_MOUSE	tr|A0A7J8B6F0|A0A7J8B6F0_PIPKU
OG0003026	sp|Q811Q9|PCY1B_MOUSE	tr|A0A7J7V6C6|A0A7J7V6C6_PIPKU
OG0003027	sp|Q8BG73|SH3L2_MOUSE	tr|A0A7J7YNP3|A0A7J7YNP3_PIPKU
OG0003028	sp|Q8BHY2|NOC4L_MOUSE	tr|A0A7J7QXX1|A0A7J7QXX1_PIPKU
OG0003029	sp|Q8BP22|CBAR1_MOUSE	tr|A0A7J7VMA7|A0A7J7VMA7_PIPKU
OG0003030	sp|Q8C1F5|TTC16_MOUSE	tr|A0A7J7S492|A0A7J7S492_PIPKU
OG0003031	sp|Q8CHT0|AL4A1_MOUSE	tr|A0A7J8A3T3|A0A7J8A3T3_PIPKU
OG0003032	sp|Q8CHT1|NGEF_MOUSE	tr|A0A7J7XWK7|A0A7J7XWK7_PIPKU
OG0003033	sp|Q8K1L5|PP1RB_MOUSE	tr|A0A7J7R519|A0A7J7R519_PIPKU
OG0003034	sp|Q8K3J9|GPC5C_MOUSE	tr|A0A7J7SUG4|A0A7J7SUG4_PIPKU
OG0003035	sp|Q8VC30|TKFC_MOUSE	tr|A0A7J7RTU0|A0A7J7RTU0_PIPKU
OG0003036	sp|Q8VC74|COX18_MOUSE	tr|A0A7J8AZW4|A0A7J8AZW4_PIPKU
OG0003037	sp|Q8VHP9|ASB17_MOUSE	tr|A0A7J8A3Z9|A0A7J8A3Z9_PIPKU
OG0003038	sp|Q91Z92|B3GT6_MOUSE	tr|A0A7J7T0K5|A0A7J7T0K5_PIPKU
OG0003039	sp|Q922B9|ITPI2_MOUSE	tr|A0A7J7XUN1|A0A7J7XUN1_PIPKU
OG0003040	sp|Q99JB2|STML2_MOUSE	tr|A0A7J7W4G5|A0A7J7W4G5_PIPKU
OG0003041	sp|Q9CTN5|S6OS1_MOUSE	tr|A0A7J8AXX5|A0A7J8AXX5_PIPKU
OG0003042	sp|Q9CX98|CP2U1_MOUSE	tr|A0A7J8AYS1|A0A7J8AYS1_PIPKU
OG0003043	sp|Q9D411|TSSK4_MOUSE	tr|A0A7J8B6P8|A0A7J8B6P8_PIPKU
OG0003044	sp|Q9D668|ARRD2_MOUSE	tr|A0A7J7U9G7|A0A7J7U9G7_PIPKU
OG0003045	sp|Q9ERA6|TFP11_MOUSE	tr|A0A7J7UHD3|A0A7J7UHD3_PIPKU
OG0003046	sp|Q9QUR6|PPCE_MOUSE	tr|A0A7J7YND1|A0A7J7YND1_PIPKU
OG0003047	sp|Q9QYL7|ABT1_MOUSE	tr|A0A7J7TVE3|A0A7J7TVE3_PIPKU
OG0003048	sp|Q9WVB6|LENEP_MOUSE	tr|A0A7J7UTE3|A0A7J7UTE3_PIPKU
OG0003049	sp|Q9WVJ3|CBPQ_MOUSE	tr|A0A7J7VM13|A0A7J7VM13_PIPKU
OG0003050	tr|A0A1B0GR13|A0A1B0GR13_MOUSE	tr|A0A7J7V604|A0A7J7V604_PIPKU
OG0003051	sp|A2A825|CPLN2_MOUSE	tr|A0A7J8A5F1|A0A7J8A5F1_PIPKU
OG0003052	sp|A2AAY5|SPD2B_MOUSE	tr|A0A7J7XCJ2|A0A7J7XCJ2_PIPKU
OG0003053	sp|D4PHA7|WSCD2_MOUSE	tr|A0A7J7UHJ3|A0A7J7UHJ3_PIPKU
OG0003054	sp|E9PY46|IF140_MOUSE	tr|A0A7J7YWC6|A0A7J7YWC6_PIPKU
OG0003055	tr|E9Q9F7|E9Q9F7_MOUSE	tr|A0A7J7WKC3|A0A7J7WKC3_PIPKU
OG0003056	tr|L7N244|L7N244_MOUSE	tr|A0A7J7W1W5|A0A7J7W1W5_PIPKU
OG0003057	sp|O35242|FAN_MOUSE	tr|A0A7J7VMT7|A0A7J7VMT7_PIPKU
OG0003058	sp|O54929|WSB2_MOUSE	tr|A0A7J7UHV3|A0A7J7UHV3_PIPKU
OG0003059	sp|P10820|PERF_MOUSE	tr|A0A7J7VCB1|A0A7J7VCB1_PIPKU
OG0003060	sp|P23927|CRYAB_MOUSE	tr|A0A7J7WZP6|A0A7J7WZP6_PIPKU
OG0003061	sp|P46460|NSF_MOUSE	tr|A0A7J7U8S4|A0A7J7U8S4_PIPKU
OG0003062	sp|Q07279|NFE2_MOUSE	tr|A0A7J7ZKT2|A0A7J7ZKT2_PIPKU
OG0003063	sp|Q3URS3|LRCL1_MOUSE	tr|A0A7J7QXX6|A0A7J7QXX6_PIPKU
OG0003064	sp|Q3UUQ7|PGAP1_MOUSE	tr|A0A7J7XW85|A0A7J7XW85_PIPKU
OG0003065	sp|Q5MPP0|FA2H_MOUSE	tr|A0A7J7UZV0|A0A7J7UZV0_PIPKU
OG0003066	sp|Q64700|RBL2_MOUSE	tr|A0A7J7V1K1|A0A7J7V1K1_PIPKU
OG0003067	sp|Q69ZZ6|TMCC1_MOUSE	tr|A0A7J7WF12|A0A7J7WF12_PIPKU
OG0003068	sp|Q78IK2|ATPMK_MOUSE	tr|A0A7J7VA60|A0A7J7VA60_PIPKU
OG0003069	sp|Q80UW8|RPAB1_MOUSE	tr|A0A7J7XCT5|A0A7J7XCT5_PIPKU
OG0003070	sp|Q810S1|MCUB_MOUSE	tr|A0A7J8B301|A0A7J8B301_PIPKU
OG0003071	sp|Q8BGQ7|SYAC_MOUSE	tr|A0A7J7UZD0|A0A7J7UZD0_PIPKU
OG0003072	sp|Q8BLG0|PHF20_MOUSE	tr|A0A7J7Y9Y4|A0A7J7Y9Y4_PIPKU
OG0003073	sp|Q8BQ30|PPR18_MOUSE	tr|A0A7J7R4Y6|A0A7J7R4Y6_PIPKU
OG0003074	sp|Q8BSY0|ASPH_MOUSE	tr|A0A7J7VLR4|A0A7J7VLR4_PIPKU
OG0003075	sp|Q8BTG6|SPRNG_MOUSE	tr|A0A7J7UFD3|A0A7J7UFD3_PIPKU
OG0003076	tr|Q8C084|Q8C084_MOUSE	tr|A0A7J8B5P9|A0A7J8B5P9_PIPKU
OG0003077	sp|Q8C0V1|TERB1_MOUSE	tr|A0A7J7V1D9|A0A7J7V1D9_PIPKU
OG0003078	sp|Q8C160|MSLNL_MOUSE	tr|A0A7J7T2D3|A0A7J7T2D3_PIPKU
OG0003079	sp|Q8CIG9|FBXL8_MOUSE	tr|A0A7J7V044|A0A7J7V044_PIPKU
OG0003080	sp|Q8CJ78|ZN628_MOUSE	tr|A0A7J7QV90|A0A7J7QV90_PIPKU
OG0003081	sp|Q8R1G2|CMBL_MOUSE	tr|A0A7J7YWF9|A0A7J7YWF9_PIPKU
OG0003082	sp|Q8VIK1|SNR25_MOUSE	tr|A0A7J7T2L7|A0A7J7T2L7_PIPKU
OG0003083	sp|Q99JL1|SPEF1_MOUSE	tr|A0A7J7YAX0|A0A7J7YAX0_PIPKU
OG0003084	sp|Q99LM3|SMTL1_MOUSE	tr|A0A7J7X2L6|A0A7J7X2L6_PIPKU
OG0003085	sp|Q9CQ44|TM218_MOUSE	tr|A0A7J7UHQ2|A0A7J7UHQ2_PIPKU
OG0003086	sp|Q9CQZ1|HSBP1_MOUSE	tr|A0A7J7V0B7|A0A7J7V0B7_PIPKU
OG0003087	sp|Q9D6S7|RRFM_MOUSE	tr|A0A7J7W3R8|A0A7J7W3R8_PIPKU
OG0003088	sp|Q9D7D1|RN225_MOUSE	tr|A0A7J7R9F9|A0A7J7R9F9_PIPKU
OG0003089	sp|Q9D832|DNJB4_MOUSE	tr|A0A7J8A5X2|A0A7J8A5X2_PIPKU
OG0003090	sp|Q9DB40|MED27_MOUSE	tr|A0A7J7RM41|A0A7J7RM41_PIPKU
OG0003091	sp|Q9DB72|BTBDH_MOUSE	tr|A0A7J7SV18|A0A7J7SV18_PIPKU
OG0003092	sp|Q9JKD3|SCAM5_MOUSE	tr|A0A7J8B547|A0A7J8B547_PIPKU
OG0003093	sp|Q9QYE5|JAG2_MOUSE	tr|A0A7J7R1X1|A0A7J7R1X1_PIPKU
OG0003094	sp|Q9R1R2|TRIM3_MOUSE	tr|A0A7J7X2Z1|A0A7J7X2Z1_PIPKU
OG0003095	sp|Q9WUL7|ARL3_MOUSE	tr|A0A7J7VA50|A0A7J7VA50_PIPKU
OG0003096	sp|Q9WV92|E41L3_MOUSE	tr|A0A7J7Y8E5|A0A7J7Y8E5_PIPKU
OG0003097	sp|A4FUP9|GL1D1_MOUSE	tr|A0A7J7RGX8|A0A7J7RGX8_PIPKU
OG0003098	sp|D3YWX3|PAT13_MOUSE	tr|A0A7J7UG90|A0A7J7UG90_PIPKU
OG0003099	sp|F6VAN0|ATF6A_MOUSE	tr|A0A7J7RDZ7|A0A7J7RDZ7_PIPKU
OG0003100	sp|G3XA57|RFIP2_MOUSE	tr|A0A7J7VCF2|A0A7J7VCF2_PIPKU
OG0003101	sp|O09100|GATA2_MOUSE	tr|A0A7J7Y8L5|A0A7J7Y8L5_PIPKU
OG0003102	sp|O88456|CPNS1_MOUSE	tr|A0A7J7UZI9|A0A7J7UZI9_PIPKU
OG0003104	sp|P22777|PAI1_MOUSE	tr|A0A7J7YYS1|A0A7J7YYS1_PIPKU
OG0003105	sp|P25085|IL1RA_MOUSE	tr|A0A7J7VV39|A0A7J7VV39_PIPKU
OG0003106	sp|P51448|RORA_MOUSE	tr|A0A7J8B501|A0A7J8B501_PIPKU
OG0003107	sp|P63084|S10A5_MOUSE	tr|A0A7J7UUR4|A0A7J7UUR4_PIPKU
OG0003108	sp|Q3UPR9|SBSPO_MOUSE	tr|A0A7J7VNF2|A0A7J7VNF2_PIPKU
OG0003109	sp|Q52KR3|PRUN2_MOUSE	tr|A0A7J7W439|A0A7J7W439_PIPKU
OG0003110	sp|Q5BLK4|TUT7_MOUSE	tr|A0A7J7W4R4|A0A7J7W4R4_PIPKU
OG0003111	sp|Q5NBU5|FBX39_MOUSE	tr|A0A7J7TXF8|A0A7J7TXF8_PIPKU
OG0003112	sp|Q60987|FOXG1_MOUSE	tr|A0A7J8B011|A0A7J8B011_PIPKU
OG0003113	sp|Q61543|GSLG1_MOUSE	tr|A0A7J7V017|A0A7J7V017_PIPKU
OG0003114	sp|Q62100|PRM3_MOUSE	tr|A0A7J7YY49|A0A7J7YY49_PIPKU
OG0003115	sp|Q62160|GDIR3_MOUSE	tr|A0A7J7T282|A0A7J7T282_PIPKU
OG0003116	sp|Q62384|ZPR1_MOUSE	tr|A0A7J7X3E3|A0A7J7X3E3_PIPKU
OG0003117	sp|Q6F3F9|AGRG6_MOUSE	tr|A0A7J7YLU2|A0A7J7YLU2_PIPKU
OG0003118	sp|Q6NVE9|PPTC7_MOUSE	tr|A0A7J7UGV1|A0A7J7UGV1_PIPKU
OG0003119	sp|Q6PGB6|NAA50_MOUSE	tr|A0A7J8A9N4|A0A7J8A9N4_PIPKU
OG0003120	sp|Q78XF5|OSTC_MOUSE	tr|A0A7J8B345|A0A7J8B345_PIPKU
OG0003121	sp|Q80TA6|MTMRC_MOUSE	tr|A0A7J7YZ18|A0A7J7YZ18_PIPKU
OG0003122	sp|Q80TE4|SI1L2_MOUSE	tr|A0A7J7TQ48|A0A7J7TQ48_PIPKU
OG0003123	sp|Q80X56|TRI69_MOUSE	tr|A0A7J8B6I4|A0A7J8B6I4_PIPKU
OG0003124	sp|Q8BI71|EX3L1_MOUSE	tr|A0A7J7V033|A0A7J7V033_PIPKU
OG0003125	sp|Q8BVF4|CCD30_MOUSE	tr|A0A7J8A627|A0A7J8A627_PIPKU
OG0003126	sp|Q8BWQ6|VP35L_MOUSE	tr|A0A7J7QXM3|A0A7J7QXM3_PIPKU
OG0003127	sp|Q8BXQ2|PIGT_MOUSE	tr|A0A7J7YA11|A0A7J7YA11_PIPKU
OG0003128	sp|Q8BXR1|S7A14_MOUSE	tr|A0A7J8AB89|A0A7J8AB89_PIPKU
OG0003129	sp|Q8C551|R51A1_MOUSE	tr|A0A7J7ZLH4|A0A7J7ZLH4_PIPKU
OG0003130	sp|Q8K093|TRHDE_MOUSE	tr|A0A7J7ZNB7|A0A7J7ZNB7_PIPKU
OG0003131	sp|Q8K0S2|ERIC5_MOUSE	tr|A0A7J7VMJ0|A0A7J7VMJ0_PIPKU
OG0003132	sp|Q8K1G2|LBN_MOUSE	tr|A0A7J8AZ95|A0A7J8AZ95_PIPKU
OG0003133	sp|Q8K1T5|LY65C_MOUSE	tr|A0A7J7YMP1|A0A7J7YMP1_PIPKU
OG0003134	sp|Q8K1X1|WDR11_MOUSE	tr|A0A7J7RG99|A0A7J7RG99_PIPKU
OG0003135	sp|Q8K2J4|CCD14_MOUSE	tr|A0A7J8A524|A0A7J8A524_PIPKU
OG0003136	sp|Q8R1N0|ZN830_MOUSE	tr|A0A7J7U9I2|A0A7J7U9I2_PIPKU
OG0003137	sp|Q8R3S2|TSN33_MOUSE	tr|A0A7J7WMM9|A0A7J7WMM9_PIPKU
OG0003138	sp|Q91UZ4|EGLN3_MOUSE	tr|A0A7J8AZX4|A0A7J8AZX4_PIPKU
OG0003139	sp|Q91W29|COX42_MOUSE	tr|A0A7J7Y7U1|A0A7J7Y7U1_PIPKU
OG0003140	sp|Q91WU2|S22A7_MOUSE	tr|A0A7J7YNV8|A0A7J7YNV8_PIPKU
OG0003141	sp|Q920N7|SYT12_MOUSE	tr|A0A7J7S0Y8|A0A7J7S0Y8_PIPKU
OG0003142	sp|Q99N80|SYTL1_MOUSE	tr|A0A7J8ACR8|A0A7J8ACR8_PIPKU
OG0003143	sp|Q99P86|RETNB_MOUSE	tr|A0A7J8AB20|A0A7J8AB20_PIPKU
OG0003144	sp|Q9CQH3|NDUB5_MOUSE	tr|A0A7J8A8S3|A0A7J8A8S3_PIPKU
OG0003145	sp|Q9CQI6|COTL1_MOUSE	tr|A0A7J7UZW6|A0A7J7UZW6_PIPKU
OG0003146	sp|Q9CQR6|PPP6_MOUSE	tr|A0A7J7SF84|A0A7J7SF84_PIPKU
OG0003147	sp|Q9CR73|PNRC2_MOUSE	tr|A0A7J8A9L3|A0A7J8A9L3_PIPKU
OG0003148	sp|Q9CWV0|MASU1_MOUSE	tr|A0A7J7TPD6|A0A7J7TPD6_PIPKU
OG0003149	sp|Q9D211|C2AIL_MOUSE	tr|A0A7J7X9H6|A0A7J7X9H6_PIPKU
OG0003150	sp|Q9D565|WDR64_MOUSE	tr|A0A7J7TPP2|A0A7J7TPP2_PIPKU
OG0003151	sp|Q9D6U8|F162A_MOUSE	tr|A0A7J8A6R2|A0A7J8A6R2_PIPKU
OG0003152	sp|Q9D902|T2EB_MOUSE	tr|A0A7J7ZHQ3|A0A7J7ZHQ3_PIPKU
OG0003153	sp|Q9DBP0|NPT2B_MOUSE	tr|A0A7J8B4J8|A0A7J8B4J8_PIPKU
OG0003154	sp|Q9EQQ9|OGA_MOUSE	tr|A0A7J7VBY5|A0A7J7VBY5_PIPKU
OG0003155	sp|Q9ER38|TOR3A_MOUSE	tr|A0A7J7UV37|A0A7J7UV37_PIPKU
OG0003156	sp|Q9JHJ8|ICOSL_MOUSE	tr|A0A7J8A6L8|A0A7J8A6L8_PIPKU
OG0003157	tr|Q9JLI2|Q9JLI2_MOUSE	tr|A0A7J7T9Y8|A0A7J7T9Y8_PIPKU
OG0003158	sp|Q9JLV2|TP4AP_MOUSE	tr|A0A7J7YBB1|A0A7J7YBB1_PIPKU
OG0003159	sp|Q9QXE2|DPOLL_MOUSE	tr|A0A7J7VCI1|A0A7J7VCI1_PIPKU
OG0003160	sp|Q9WV72|ASB3_MOUSE	tr|A0A7J7VU16|A0A7J7VU16_PIPKU
OG0003161	sp|Q9Z2H6|CLC4D_MOUSE	tr|A0A7J7ZH38|A0A7J7ZH38_PIPKU
OG0003163	sp|A6H611|MIPEP_MOUSE	tr|A0A7J7ZK06|A0A7J7ZK06_PIPKU
OG0003164	tr|B1AUC4|B1AUC4_MOUSE	tr|A0A7J8AD00|A0A7J8AD00_PIPKU
OG0003165	tr|E0CZ22|E0CZ22_MOUSE	tr|A0A7J7RLE2|A0A7J7RLE2_PIPKU
OG0003166	sp|O08579|EMD_MOUSE	tr|A0A7J7S4H1|A0A7J7S4H1_PIPKU
OG0003167	sp|O08696|FOXM1_MOUSE	tr|A0A7J7ZI30|A0A7J7ZI30_PIPKU
OG0003168	sp|O88324|CD83_MOUSE	tr|A0A7J8A4H6|A0A7J8A4H6_PIPKU
OG0003169	sp|O88967|YMEL1_MOUSE	tr|A0A7J8B748|A0A7J8B748_PIPKU
OG0003170	sp|O89033|CDC6_MOUSE	tr|A0A7J7SV36|A0A7J7SV36_PIPKU
OG0003171	sp|P00683|RNAS1_MOUSE	tr|A0A7J8B5D9|A0A7J8B5D9_PIPKU
OG0003172	sp|P24527|LKHA4_MOUSE	tr|A0A7J7ZJM4|A0A7J7ZJM4_PIPKU
OG0003173	sp|P35582|FOXA1_MOUSE	tr|A0A7J8B045|A0A7J8B045_PIPKU
OG0003174	sp|P55200|KMT2A_MOUSE	tr|A0A7J7RG45|A0A7J7RG45_PIPKU
OG0003175	sp|P58467|SETD4_MOUSE	tr|A0A7J8AB14|A0A7J8AB14_PIPKU
OG0003176	sp|P59054|CSRN1_MOUSE	tr|A0A7J7WCY2|A0A7J7WCY2_PIPKU
OG0003177	sp|P61222|ABCE1_MOUSE	tr|A0A7J7X8X4|A0A7J7X8X4_PIPKU
OG0003178	sp|P83870|PHF5A_MOUSE	tr|A0A7J7ZKW5|A0A7J7ZKW5_PIPKU
OG0003179	sp|Q03347|RUNX1_MOUSE	tr|A0A7J7R2D6|A0A7J7R2D6_PIPKU
OG0003180	sp|Q2TA57|ASPH1_MOUSE	tr|A0A7J7S5M6|A0A7J7S5M6_PIPKU
OG0003181	sp|Q2WG77|RIPP1_MOUSE	tr|A0A7J7T1F3|A0A7J7T1F3_PIPKU
OG0003182	sp|Q32M07|KAD8_MOUSE	tr|A0A7J7RLU0|A0A7J7RLU0_PIPKU
OG0003183	sp|Q3UNU4|ERIC4_MOUSE	tr|A0A7J7SNA3|A0A7J7SNA3_PIPKU
OG0003184	sp|Q3V1N9|A3LT2_MOUSE	tr|A0A7J8A3I9|A0A7J8A3I9_PIPKU
OG0003185	sp|Q3V3I5|CQ067_MOUSE	tr|A0A7J7TL34|A0A7J7TL34_PIPKU
OG0003186	sp|Q566J8|COQ8B_MOUSE	tr|A0A7J7SNJ1|A0A7J7SNJ1_PIPKU
OG0003187	sp|Q56A04|EME2_MOUSE	tr|A0A7J7YWC5|A0A7J7YWC5_PIPKU
OG0003188	sp|Q61818|RAI1_MOUSE	tr|A0A7J7TXX6|A0A7J7TXX6_PIPKU
OG0003189	sp|Q62009|POSTN_MOUSE	tr|A0A7J7ZLH2|A0A7J7ZLH2_PIPKU
OG0003190	sp|Q64131|RUNX3_MOUSE	tr|A0A7J8ABY1|A0A7J8ABY1_PIPKU
OG0003191	tr|Q6XZL8|Q6XZL8_MOUSE	tr|A0A7J7X9P6|A0A7J7X9P6_PIPKU
OG0003192	sp|Q6ZWY3|RS27L_MOUSE	tr|A0A7J8B505|A0A7J8B505_PIPKU
OG0003193	sp|Q810D6|GRWD1_MOUSE	tr|A0A7J7QZD4|A0A7J7QZD4_PIPKU
OG0003194	sp|Q8BFZ2|PLPR1_MOUSE	tr|A0A7J7W455|A0A7J7W455_PIPKU
OG0003195	sp|Q8BH51|COX14_MOUSE	tr|A0A7J7ZGU2|A0A7J7ZGU2_PIPKU
OG0003196	sp|Q8BJW6|EIF2A_MOUSE	tr|A0A7J8A5K3|A0A7J8A5K3_PIPKU
OG0003197	sp|Q8BP71|RFOX2_MOUSE	tr|A0A7J7ZLZ1|A0A7J7ZLZ1_PIPKU
OG0003198	sp|Q8BVN3|CTSR4_MOUSE	tr|A0A7J8A4S2|A0A7J8A4S2_PIPKU
OG0003199	sp|Q8BX17|GEMI5_MOUSE	tr|A0A7J7XA45|A0A7J7XA45_PIPKU
OG0003200	sp|Q8C4B4|U119B_MOUSE	tr|A0A7J7UHI0|A0A7J7UHI0_PIPKU
OG0003201	sp|Q8CAE9|PDXL2_MOUSE	tr|A0A7J7YAH7|A0A7J7YAH7_PIPKU
OG0003202	sp|Q8K0C1|IPO13_MOUSE	tr|A0A7J8A7N3|A0A7J8A7N3_PIPKU
OG0003203	sp|Q8K0S5|R4RL1_MOUSE	tr|A0A7J7SN58|A0A7J7SN58_PIPKU
OG0003204	sp|Q8K3B1|FBSP1_MOUSE	tr|A0A7J8A6E7|A0A7J8A6E7_PIPKU
OG0003205	sp|Q8K3H0|DP13A_MOUSE	tr|A0A7J7WBH6|A0A7J7WBH6_PIPKU
OG0003206	sp|Q8R060|ZWILC_MOUSE	tr|A0A7J8B6X3|A0A7J8B6X3_PIPKU
OG0003207	sp|Q8R092|CA043_MOUSE	tr|A0A7J7USU2|A0A7J7USU2_PIPKU
OG0003208	sp|Q8R0C0|RPC7L_MOUSE	tr|A0A7J7UUF5|A0A7J7UUF5_PIPKU
OG0003209	sp|Q8VCG4|CO8G_MOUSE	tr|A0A7J7RVN7|A0A7J7RVN7_PIPKU
