Orthogroup	Mus_musculus	Peromyscus_maniculatus_bairdii
OG0000296	sp|Q7TPS0|KS6A6_MOUSE	tr|A0A6J0CRL6|A0A6J0CRL6_PERMB
OG0000296	sp|P18653|KS6A1_MOUSE	tr|A0A6J0D5J1|A0A6J0D5J1_PERMB
OG0000297	tr|Q91ZP4|Q91ZP4_MOUSE	tr|A0A6I9MHQ9|A0A6I9MHQ9_PERMB
OG0000297	sp|Q8C3K6|SC5A1_MOUSE	tr|A0A6I9KXQ0|A0A6I9KXQ0_PERMB
OG0000297	sp|Q9ET37|S5A4A_MOUSE	tr|A0A6I9MGP4|A0A6I9MGP4_PERMB, tr|A0A6J0CEK6|A0A6J0CEK6_PERMB, tr|A0A6I9M4H4|A0A6I9M4H4_PERMB
OG0000298	sp|Q9Z2W9|GRIA3_MOUSE	tr|A0A6I9LD26|A0A6I9LD26_PERMB
OG0000298	sp|P23819|GRIA2_MOUSE	tr|A0A6I9LE03|A0A6I9LE03_PERMB
OG0000298	sp|P23818|GRIA1_MOUSE	tr|A0A6I9LJA2|A0A6I9LJA2_PERMB
OG0000298	sp|Q9Z2W8|GRIA4_MOUSE	tr|A0A6I9LHD6|A0A6I9LHD6_PERMB
OG0000300	sp|Q3UD61|MX1_MOUSE	tr|A0A6J0CYQ9|A0A6J0CYQ9_PERMB
OG0000300	sp|Q9WVP9|MX2_MOUSE	tr|A0A6J0DKA3|A0A6J0DKA3_PERMB, tr|A0A6J0DK26|A0A6J0DK26_PERMB, tr|A0A6I9LEJ0|A0A6I9LEJ0_PERMB, tr|A0A6J0CWQ0|A0A6J0CWQ0_PERMB, tr|A0A6J0CXS3|A0A6J0CXS3_PERMB
OG0000301	sp|Q8C650|SEP10_MOUSE	tr|A0A6J0CT24|A0A6J0CT24_PERMB
OG0000301	sp|Q8C1B7|SEP11_MOUSE	tr|A0A6J0DYY8|A0A6J0DYY8_PERMB
OG0000301	sp|Q9R1T4|SEPT6_MOUSE	tr|A0A6J0CJU5|A0A6J0CJU5_PERMB
OG0000301	sp|Q8CHH9|SEPT8_MOUSE	tr|A0A6I9MBH0|A0A6I9MBH0_PERMB
OG0000302	tr|E9PXM2|E9PXM2_MOUSE	tr|A0A6J0CPU6|A0A6J0CPU6_PERMB
OG0000302	tr|B9EHI3|B9EHI3_MOUSE	tr|A0A6J0EGP4|A0A6J0EGP4_PERMB
OG0000302	tr|Q3V0P3|Q3V0P3_MOUSE	tr|A0A6J0DNC7|A0A6J0DNC7_PERMB, tr|A0A6J0DNM7|A0A6J0DNM7_PERMB
OG0000303	sp|P03975|IGEB_MOUSE	tr|A0A6I9MQD9|A0A6I9MQD9_PERMB, tr|A0A6J0CV40|A0A6J0CV40_PERMB, tr|A0A6J0DKP7|A0A6J0DKP7_PERMB, tr|A0A6J0E7S3|A0A6J0E7S3_PERMB, tr|A0A6J0CSE3|A0A6J0CSE3_PERMB, tr|A0A6J0CM84|A0A6J0CM84_PERMB, tr|A0A6J0DBJ3|A0A6J0DBJ3_PERMB
OG0000304	tr|Q8VFR3|Q8VFR3_MOUSE	tr|A0A6I9LSZ1|A0A6I9LSZ1_PERMB
OG0000304	tr|A2BHP6|A2BHP6_MOUSE	tr|A0A6I9MNP6|A0A6I9MNP6_PERMB
OG0000304	tr|Q7TR29|Q7TR29_MOUSE	tr|A0A6I9MMC3|A0A6I9MMC3_PERMB
OG0000304	tr|Q920P2|Q920P2_MOUSE	tr|A0A6I9MES9|A0A6I9MES9_PERMB
OG0000305	sp|Q8K354|CBR3_MOUSE	tr|A0A6I9LCS7|A0A6I9LCS7_PERMB
OG0000305	sp|P48758|CBR1_MOUSE, tr|A0A1B0GRG8|A0A1B0GRG8_MOUSE	tr|A0A6J0CZQ8|A0A6J0CZQ8_PERMB, tr|A0A6J0DK15|A0A6J0DK15_PERMB, tr|A0A6I9MKC7|A0A6I9MKC7_PERMB, tr|A0A6I9MG02|A0A6I9MG02_PERMB
OG0000306	sp|P97797|SHPS1_MOUSE	tr|A0A6J0DT03|A0A6J0DT03_PERMB, tr|A0A6I9MPD1|A0A6I9MPD1_PERMB, tr|A0A6I9MQG0|A0A6I9MQG0_PERMB, tr|A0A6I9LQK7|A0A6I9LQK7_PERMB, tr|A0A6I9MNU7|A0A6I9MNU7_PERMB, tr|A0A6I9MMH2|A0A6I9MMH2_PERMB, tr|A0A6J0CTP4|A0A6J0CTP4_PERMB
OG0000307	tr|D3Z5D4|D3Z5D4_MOUSE	tr|A0A6J0CT53|A0A6J0CT53_PERMB, tr|A0A6J0CQ54|A0A6J0CQ54_PERMB, tr|A0A6I9L1M7|A0A6I9L1M7_PERMB, tr|A0A6I9KYM2|A0A6I9KYM2_PERMB
OG0000307	tr|D3Z1H5|D3Z1H5_MOUSE	tr|A0A6I9KYI5|A0A6I9KYI5_PERMB, tr|A0A6I9KS91|A0A6I9KS91_PERMB
OG0000308	tr|Q9D4D2|Q9D4D2_MOUSE	tr|A0A6J0CK17|A0A6J0CK17_PERMB, tr|A0A6I9M0L1|A0A6I9M0L1_PERMB, tr|A0A6I9MIB6|A0A6I9MIB6_PERMB, tr|A0A6I9LWS7|A0A6I9LWS7_PERMB, tr|A0A6J0EIW4|A0A6J0EIW4_PERMB, tr|A0A6I9MBW5|A0A6I9MBW5_PERMB, tr|A0A6I9LJG2|A0A6I9LJG2_PERMB
OG0000309	sp|P07724|ALBU_MOUSE	tr|A0A6I9LWC9|A0A6I9LWC9_PERMB, tr|A0A6J0CVE5|A0A6J0CVE5_PERMB, tr|A0A6J0EDD5|A0A6J0EDD5_PERMB, tr|A0A6J0EB50|A0A6J0EB50_PERMB, tr|A0A6J0EEC9|A0A6J0EEC9_PERMB, tr|A0A6J0CTW9|A0A6J0CTW9_PERMB, tr|A0A6I9MG68|A0A6I9MG68_PERMB
OG0000310	sp|Q9JIY7|NAT8_MOUSE	tr|A0A6I9MFJ8|A0A6I9MFJ8_PERMB, tr|A0A6I9M8X9|A0A6I9M8X9_PERMB, tr|A0A6I9MJC4|A0A6I9MJC4_PERMB, tr|A0A6J0CTE3|A0A6J0CTE3_PERMB, tr|A0A6J0CUX9|A0A6J0CUX9_PERMB, tr|A0A6I9MPG6|A0A6I9MPG6_PERMB, tr|A0A6I9MJC2|A0A6I9MJC2_PERMB
OG0000311	sp|A7TZE6|SKIT1_MOUSE	tr|A0A6J0DF91|A0A6J0DF91_PERMB, tr|A0A6I9LMJ3|A0A6I9LMJ3_PERMB, tr|A0A6I9L626|A0A6I9L626_PERMB, tr|A0A6J0CTC8|A0A6J0CTC8_PERMB, tr|A0A6I9MFI8|A0A6I9MFI8_PERMB, tr|A0A6J0DAV7|A0A6J0DAV7_PERMB, tr|A0A6I9LF27|A0A6I9LF27_PERMB
OG0000312	sp|P30115|GSTA3_MOUSE	tr|A0A6I9M896|A0A6I9M896_PERMB, tr|A0A6I9M8X8|A0A6I9M8X8_PERMB, tr|A0A6I9MPJ6|A0A6I9MPJ6_PERMB, tr|A0A6I9MIR6|A0A6I9MIR6_PERMB, tr|A0A6J0CT15|A0A6J0CT15_PERMB, tr|A0A6J0EEH1|A0A6J0EEH1_PERMB, tr|A0A6J0EIG4|A0A6J0EIG4_PERMB
OG0000322	sp|Q925H6|KR193_MOUSE, sp|Q925H2|KR191_MOUSE, sp|Q925I0|KR192_MOUSE	tr|A0A6J0E8M3|A0A6J0E8M3_PERMB, tr|A0A6I9M5U1|A0A6I9M5U1_PERMB, tr|A0A6I9LTH0|A0A6I9LTH0_PERMB, tr|A0A6I9LPT2|A0A6I9LPT2_PERMB
OG0000323	sp|P24823|PPBN_MOUSE	tr|A0A6J0DQF5|A0A6J0DQF5_PERMB, tr|A0A6I9LXY1|A0A6I9LXY1_PERMB
OG0000323	sp|P24822|PPBI_MOUSE	tr|A0A6I9LSE8|A0A6I9LSE8_PERMB
OG0000323	tr|F8VPQ6|F8VPQ6_MOUSE	tr|A0A6J0DSA2|A0A6J0DSA2_PERMB
OG0000325	tr|A0A3B2WB67|A0A3B2WB67_MOUSE	tr|A0A6I9MQ52|A0A6I9MQ52_PERMB, tr|A0A6I9M9F9|A0A6I9M9F9_PERMB, tr|A0A6I9MKI9|A0A6I9MKI9_PERMB, tr|A0A6I9MH56|A0A6I9MH56_PERMB, tr|A0A6J0CSI9|A0A6J0CSI9_PERMB, tr|A0A6J0EAP0|A0A6J0EAP0_PERMB
OG0000326	tr|Q5SVD6|Q5SVD6_MOUSE	tr|A0A6I9MQB5|A0A6I9MQB5_PERMB, tr|A0A6I9MJA3|A0A6I9MJA3_PERMB, tr|A0A6I9MPZ6|A0A6I9MPZ6_PERMB, tr|A0A6I9MD03|A0A6I9MD03_PERMB, tr|A0A6J0E8U3|A0A6J0E8U3_PERMB, tr|A0A6J0E6T9|A0A6J0E6T9_PERMB
OG0000328	sp|P98199|AT8B2_MOUSE	tr|A0A6J0D6C3|A0A6J0D6C3_PERMB
OG0000328	sp|A3FIN4|AT8B5_MOUSE	tr|A0A6I9LP68|A0A6I9LP68_PERMB
OG0000328	tr|A2ANX3|A2ANX3_MOUSE	tr|A0A6J0DYP6|A0A6J0DYP6_PERMB, tr|A0A6I9MEV8|A0A6I9MEV8_PERMB
OG0000329	sp|Q5UKY4|MO2R3_MOUSE	tr|A0A6I9L3B6|A0A6I9L3B6_PERMB
OG0000329	sp|Q6XJV6|MO2R2_MOUSE, sp|Q6XJV4|MO2R4_MOUSE, sp|Q8BTP3|MO2R5_MOUSE, sp|Q9ES57|MO2R1_MOUSE	tr|A0A6I9LEA8|A0A6I9LEA8_PERMB
OG0000330	sp|P11881|ITPR1_MOUSE	tr|A0A6J0CUZ8|A0A6J0CUZ8_PERMB, tr|A0A6I9LJJ2|A0A6I9LJJ2_PERMB
OG0000330	sp|P70227|ITPR3_MOUSE	tr|A0A6J0CV33|A0A6J0CV33_PERMB
OG0000330	sp|Q9Z329|ITPR2_MOUSE	tr|A0A6I9LMJ8|A0A6I9LMJ8_PERMB
OG0000331	tr|Q9CQM7|Q9CQM7_MOUSE, tr|Q91V05|Q91V05_MOUSE, tr|E9Q8V1|E9Q8V1_MOUSE, tr|Q497I5|Q497I5_MOUSE, tr|Q6PAI4|Q6PAI4_MOUSE, tr|F8VQJ0|F8VQJ0_MOUSE	tr|A0A6I9LF89|A0A6I9LF89_PERMB
OG0000332	sp|P97820|M4K4_MOUSE	tr|A0A6I9LAZ0|A0A6I9LAZ0_PERMB
OG0000332	sp|P83510|TNIK_MOUSE	tr|A0A6J0DTX9|A0A6J0DTX9_PERMB
OG0000332	sp|Q9JM52|MINK1_MOUSE	tr|A0A6I9MC69|A0A6I9MC69_PERMB
OG0000333	sp|Q8K442|ABC8A_MOUSE	tr|A0A6I9KZC5|A0A6I9KZC5_PERMB
OG0000333	sp|Q8K441|ABCA6_MOUSE	tr|A0A6I9KST1|A0A6I9KST1_PERMB
OG0000333	sp|Q8K449|ABCA9_MOUSE	tr|A0A6J0D7D7|A0A6J0D7D7_PERMB
OG0000334	sp|A2A8L5|PTPRF_MOUSE	tr|A0A6I9M805|A0A6I9M805_PERMB
OG0000334	sp|B0V2N1|PTPRS_MOUSE	tr|A0A6J0DNA5|A0A6J0DNA5_PERMB
OG0000334	sp|Q64487|PTPRD_MOUSE	tr|A0A6J0DK84|A0A6J0DK84_PERMB
OG0000335	sp|Q9Z2K1|K1C16_MOUSE	tr|A0A6I9M572|A0A6I9M572_PERMB
OG0000335	sp|Q61781|K1C14_MOUSE	tr|A0A6I9MC77|A0A6I9MC77_PERMB
OG0000335	sp|Q9QWL7|K1C17_MOUSE, sp|Q6IFX2|K1C42_MOUSE	tr|A0A6I9MEY0|A0A6I9MEY0_PERMB
OG0000337	sp|P21812|MCPT4_MOUSE, sp|Q00356|MCPTX_MOUSE, sp|O35164|MCPT9_MOUSE, tr|Q91VB1|Q91VB1_MOUSE, sp|P11034|MCPT1_MOUSE, sp|P15119|MCPT2_MOUSE	tr|A0A6I9M6X2|A0A6I9M6X2_PERMB
OG0000338	tr|Q8VG01|Q8VG01_MOUSE	tr|A0A6J0DDW1|A0A6J0DDW1_PERMB
OG0000338	tr|L7N224|L7N224_MOUSE, tr|Q7TRR2|Q7TRR2_MOUSE	tr|A0A6I9M8N2|A0A6I9M8N2_PERMB, tr|A0A6I9LHQ7|A0A6I9LHQ7_PERMB, tr|A0A6I9MJ32|A0A6I9MJ32_PERMB
OG0000339	sp|P86048|RL10L_MOUSE	tr|A0A6I9M1X5|A0A6I9M1X5_PERMB, tr|A0A6I9M3J4|A0A6I9M3J4_PERMB
OG0000339	sp|Q6ZWV3|RL10_MOUSE	tr|A0A6J0CX22|A0A6J0CX22_PERMB, tr|A0A6I9ME29|A0A6I9ME29_PERMB, tr|A0A6J0CV69|A0A6J0CV69_PERMB
OG0000340	sp|P47857|PFKAM_MOUSE	tr|A0A6J0CZT0|A0A6J0CZT0_PERMB
OG0000340	sp|Q9WUA3|PFKAP_MOUSE	tr|A0A6I9M5K3|A0A6I9M5K3_PERMB
OG0000340	sp|P12382|PFKAL_MOUSE	tr|A0A6J0CVY5|A0A6J0CVY5_PERMB, tr|A0A6I9M4J7|A0A6I9M4J7_PERMB
OG0000341	tr|Q8VFC8|Q8VFC8_MOUSE	tr|A0A6I9MQZ4|A0A6I9MQZ4_PERMB, tr|A0A6I9MNG0|A0A6I9MNG0_PERMB
OG0000341	tr|Q14AK5|Q14AK5_MOUSE	tr|A0A6I9LV80|A0A6I9LV80_PERMB
OG0000341	tr|Q8VFT5|Q8VFT5_MOUSE	tr|A0A6I9MBH1|A0A6I9MBH1_PERMB
OG0000342	sp|Q62148|AL1A2_MOUSE	tr|A0A6J0DF28|A0A6J0DF28_PERMB
OG0000342	sp|P24549|AL1A1_MOUSE	tr|A0A6I9LV47|A0A6I9LV47_PERMB
OG0000342	sp|O35945|AL1A7_MOUSE	tr|A0A6I9LK83|A0A6I9LK83_PERMB, tr|A0A6I9M0M7|A0A6I9M0M7_PERMB
OG0000343	tr|Q9D3H7|Q9D3H7_MOUSE, tr|Q64526|Q64526_MOUSE, tr|A2A4M2|A2A4M2_MOUSE, tr|Q9D141|Q9D141_MOUSE	tr|A0A6I9M8Y4|A0A6I9M8Y4_PERMB, tr|A0A6I9MNE5|A0A6I9MNE5_PERMB, tr|A0A6I9MJC9|A0A6I9MJC9_PERMB
OG0000345	sp|A2AEP0|OBP1B_MOUSE, tr|A2BHD2|A2BHD2_MOUSE, tr|A2AEN9|A2AEN9_MOUSE, sp|Q9D3H2|OBP1A_MOUSE	tr|A0A6I9MJ73|A0A6I9MJ73_PERMB, tr|A0A6J0CWL9|A0A6J0CWL9_PERMB, tr|A0A6J0CRR8|A0A6J0CRR8_PERMB
OG0000346	sp|O08792|COE2_MOUSE	tr|A0A6I9M854|A0A6I9M854_PERMB
OG0000346	sp|O08791|COE3_MOUSE	tr|A0A6J0E353|A0A6J0E353_PERMB
OG0000346	sp|Q07802|COE1_MOUSE	tr|A0A6J0DYE3|A0A6J0DYE3_PERMB, tr|A0A6I9MG25|A0A6I9MG25_PERMB
OG0000347	tr|Q499D5|Q499D5_MOUSE, tr|E9Q8I5|E9Q8I5_MOUSE, sp|Q61116|ZN235_MOUSE, tr|A0A0U1RPC5|A0A0U1RPC5_MOUSE, tr|Q9R164|Q9R164_MOUSE, tr|B2RRA8|B2RRA8_MOUSE	tr|A0A6J0CLS8|A0A6J0CLS8_PERMB
OG0000348	tr|A2AGW5|A2AGW5_MOUSE, tr|A2A8M8|A2A8M8_MOUSE, tr|A2AGW8|A2AGW8_MOUSE, tr|A2ASJ3|A2ASJ3_MOUSE, tr|Q7TPY4|Q7TPY4_MOUSE	tr|A0A6I9ML13|A0A6I9ML13_PERMB, tr|A0A6I9L2N9|A0A6I9L2N9_PERMB
OG0000351	sp|Q7TSN2|CLM4_MOUSE, sp|A2A7V7|CLM6_MOUSE	tr|A0A6J0CV21|A0A6J0CV21_PERMB, tr|A0A6J0D0P4|A0A6J0D0P4_PERMB, tr|A0A6J0CU76|A0A6J0CU76_PERMB, tr|A0A6I9M8J6|A0A6I9M8J6_PERMB, tr|A0A6J0DD68|A0A6J0DD68_PERMB
OG0000352	sp|P17182|ENOA_MOUSE	tr|A0A6I9L9E7|A0A6I9L9E7_PERMB
OG0000352	sp|P17183|ENOG_MOUSE	tr|A0A6I9M356|A0A6I9M356_PERMB
OG0000352	sp|P21550|ENOB_MOUSE	tr|A0A6I9MC64|A0A6I9MC64_PERMB
OG0000353	sp|P21300|ALD1_MOUSE	tr|A0A6I9LZ74|A0A6I9LZ74_PERMB
OG0000353	sp|P45377|ALD2_MOUSE	tr|A0A6I9M4X8|A0A6I9M4X8_PERMB, tr|A0A6I9MAG4|A0A6I9MAG4_PERMB
OG0000353	tr|G5E895|G5E895_MOUSE	tr|A0A6I9M698|A0A6I9M698_PERMB
OG0000355	tr|Q8R265|Q8R265_MOUSE, tr|Q8R266|Q8R266_MOUSE	tr|A0A6I9MPA6|A0A6I9MPA6_PERMB, tr|A0A6I9MNX9|A0A6I9MNX9_PERMB, tr|A0A6J0CVJ4|A0A6J0CVJ4_PERMB, tr|A0A6I9M933|A0A6I9M933_PERMB, tr|A0A6I9MFH3|A0A6I9MFH3_PERMB
OG0000356	tr|Q8VFK5|Q8VFK5_MOUSE	tr|A0A6I9LSU0|A0A6I9LSU0_PERMB
OG0000356	tr|Q7TR85|Q7TR85_MOUSE, tr|A0A1L1ST14|A0A1L1ST14_MOUSE	tr|A0A6I9M950|A0A6I9M950_PERMB
OG0000356	tr|A2ATE5|A2ATE5_MOUSE	tr|A0A6I9LXU6|A0A6I9LXU6_PERMB
OG0000357	tr|G3X9U1|G3X9U1_MOUSE, tr|Q9D350|Q9D350_MOUSE, tr|E9PXV9|E9PXV9_MOUSE, tr|Q4KL20|Q4KL20_MOUSE, tr|G3X9P6|G3X9P6_MOUSE, tr|Q3UT54|Q3UT54_MOUSE	tr|A0A6I9LD77|A0A6I9LD77_PERMB
OG0000358	tr|Q8VGC1|Q8VGC1_MOUSE, sp|Q60885|OLF9_MOUSE	tr|A0A6I9MAI1|A0A6I9MAI1_PERMB, tr|A0A6I9MLD9|A0A6I9MLD9_PERMB, tr|A0A6I9M9J7|A0A6I9M9J7_PERMB, tr|A0A6I9MQ16|A0A6I9MQ16_PERMB, tr|A0A6I9LRZ5|A0A6I9LRZ5_PERMB
OG0000359	sp|Q8R2W9|PANK3_MOUSE	tr|A0A6J0DA89|A0A6J0DA89_PERMB
OG0000359	sp|Q8K4K6|PANK1_MOUSE	tr|A0A6I9M142|A0A6I9M142_PERMB
OG0000359	sp|Q7M753|PANK2_MOUSE	tr|A0A6J0DRJ5|A0A6J0DRJ5_PERMB
OG0000360	sp|Q8BSL7|ARF2_MOUSE	tr|A0A6I9KZK4|A0A6I9KZK4_PERMB
OG0000360	sp|P61205|ARF3_MOUSE	tr|A0A6I9LBA0|A0A6I9LBA0_PERMB
OG0000360	sp|P84078|ARF1_MOUSE	tr|A0A6I9MI52|A0A6I9MI52_PERMB
OG0000361	sp|E9PZQ0|RYR1_MOUSE	tr|A0A6I9LFX7|A0A6I9LFX7_PERMB
OG0000361	sp|E9Q401|RYR2_MOUSE	tr|A0A6J0DGW0|A0A6J0DGW0_PERMB
OG0000361	sp|A2AGL3|RYR3_MOUSE	tr|A0A6I9MBQ1|A0A6I9MBQ1_PERMB, tr|A0A6I9LRR1|A0A6I9LRR1_PERMB
OG0000362	tr|B2RXZ2|B2RXZ2_MOUSE, sp|P56593|CP2AC_MOUSE	tr|A0A6I9MBE9|A0A6I9MBE9_PERMB
OG0000362	sp|P20852|CP2A5_MOUSE, sp|P15392|CP2A4_MOUSE	tr|A0A6I9MIM9|A0A6I9MIM9_PERMB, tr|A0A6I9M217|A0A6I9M217_PERMB
OG0000363	tr|A0A1D5RM70|A0A1D5RM70_MOUSE, tr|A0A0J9YUZ3|A0A0J9YUZ3_MOUSE, tr|A0A0J9YUH2|A0A0J9YUH2_MOUSE, tr|D3Z1P8|D3Z1P8_MOUSE, tr|Q8C646|Q8C646_MOUSE, tr|E9Q637|E9Q637_MOUSE	tr|A0A6J0CTB3|A0A6J0CTB3_PERMB
OG0000364	sp|P14097|CCL4_MOUSE	tr|A0A6I9M2X8|A0A6I9M2X8_PERMB, tr|A0A6I9LRG1|A0A6I9LRG1_PERMB, tr|A0A6I9MJP0|A0A6I9MJP0_PERMB, tr|A0A6I9LQD8|A0A6I9LQD8_PERMB, tr|A0A6I9LG93|A0A6I9LG93_PERMB, tr|A0A6I9LHW0|A0A6I9LHW0_PERMB
OG0000365	sp|Q6A068|CDC5L_MOUSE, tr|A0A1W2P7Z8|A0A1W2P7Z8_MOUSE, tr|A0A1W2P6Q8|A0A1W2P6Q8_MOUSE, tr|A0A1W2P855|A0A1W2P855_MOUSE, tr|A0A1W2P7H4|A0A1W2P7H4_MOUSE, tr|A0A1W2P7S8|A0A1W2P7S8_MOUSE	tr|A0A6J0DUB1|A0A6J0DUB1_PERMB
OG0000366	sp|Q1RLL3|CPNE9_MOUSE	tr|A0A6I9MN62|A0A6I9MN62_PERMB
OG0000366	sp|Q8JZW4|CPNE5_MOUSE	tr|A0A6J0DW73|A0A6J0DW73_PERMB
OG0000366	sp|Q9DC53|CPNE8_MOUSE	tr|A0A6I9L426|A0A6I9L426_PERMB
OG0000367	tr|A0A2I3BPQ2|A0A2I3BPQ2_MOUSE, tr|A0A2I3BRN4|A0A2I3BRN4_MOUSE	tr|A0A6I9MEU4|A0A6I9MEU4_PERMB, tr|A0A6I9MMD8|A0A6I9MMD8_PERMB
OG0000367	tr|A0A2I3BPX0|A0A2I3BPX0_MOUSE	tr|A0A6I9MIP7|A0A6I9MIP7_PERMB, tr|A0A6I9M869|A0A6I9M869_PERMB
OG0000368	tr|Q7TQU9|Q7TQU9_MOUSE, sp|Q60892|OLF8_MOUSE, tr|E9Q5G9|E9Q5G9_MOUSE	tr|A0A6I9MGT0|A0A6I9MGT0_PERMB
OG0000368	tr|Q8VGU8|Q8VGU8_MOUSE, tr|Q8VGX5|Q8VGX5_MOUSE	tr|A0A6I9MM41|A0A6I9MM41_PERMB
OG0000370	sp|Q8BPK2|ZCHC3_MOUSE	tr|A0A6J0DWT9|A0A6J0DWT9_PERMB, tr|A0A6I9MM15|A0A6I9MM15_PERMB, tr|A0A6I9MCR5|A0A6I9MCR5_PERMB, tr|A0A6I9MK49|A0A6I9MK49_PERMB, tr|A0A6I9M5P0|A0A6I9M5P0_PERMB, tr|A0A6I9MGQ1|A0A6I9MGQ1_PERMB
OG0000371	tr|Q9DAV8|Q9DAV8_MOUSE, tr|O54832|O54832_MOUSE, sp|Q9DAY2|PR8A6_MOUSE, sp|Q9DAS4|PR8A8_MOUSE, sp|Q9CQ58|PR8A9_MOUSE	tr|A0A6I9LXI0|A0A6I9LXI0_PERMB, tr|A0A6J0CV30|A0A6J0CV30_PERMB
OG0000372	sp|P01915|HB22_MOUSE, sp|P04230|HB21_MOUSE, sp|P20040|HB24_MOUSE	tr|A0A6J0CTT7|A0A6J0CTT7_PERMB
OG0000372	tr|Q3UUV9|Q3UUV9_MOUSE	tr|A0A6I9MIF1|A0A6I9MIF1_PERMB, tr|A0A6I9MM12|A0A6I9MM12_PERMB
OG0000373	sp|P49312|ROA1_MOUSE	tr|A0A6I9LK98|A0A6I9LK98_PERMB, tr|A0A6J0CTC1|A0A6J0CTC1_PERMB, tr|A0A6J0CRB4|A0A6J0CRB4_PERMB, tr|A0A6I9MB74|A0A6I9MB74_PERMB, tr|A0A6J0CYH5|A0A6J0CYH5_PERMB, tr|A0A6J0CRP3|A0A6J0CRP3_PERMB
OG0000374	tr|Q8VG63|Q8VG63_MOUSE	tr|A0A6I9MP18|A0A6I9MP18_PERMB
OG0000374	tr|Q8VFB0|Q8VFB0_MOUSE	tr|A0A6I9MKX7|A0A6I9MKX7_PERMB, tr|A0A6I9MG93|A0A6I9MG93_PERMB
OG0000374	tr|Q8VGN2|Q8VGN2_MOUSE	tr|A0A6I9MG90|A0A6I9MG90_PERMB
OG0000375	sp|Q8K1H9|OBP2A_MOUSE	tr|A0A6I9LE08|A0A6I9LE08_PERMB
OG0000375	tr|A2BHR0|A2BHR0_MOUSE	tr|A0A6I9LM08|A0A6I9LM08_PERMB, tr|A0A6J0DIU2|A0A6J0DIU2_PERMB, tr|A0A6J0DIW3|A0A6J0DIW3_PERMB, tr|A0A6I9LLB3|A0A6I9LLB3_PERMB
OG0000376	tr|Q9EQ86|Q9EQ86_MOUSE	tr|A0A6I9LY52|A0A6I9LY52_PERMB
OG0000376	sp|Q60888|OL149_MOUSE	tr|A0A6I9M4J6|A0A6I9M4J6_PERMB
OG0000376	tr|Q9EQ87|Q9EQ87_MOUSE	tr|A0A6I9M992|A0A6I9M992_PERMB, tr|A0A6I9M972|A0A6I9M972_PERMB
OG0000377	sp|Q9D8T2|GSDMD_MOUSE	tr|A0A6J0DHK7|A0A6J0DHK7_PERMB, tr|A0A6J0EBU0|A0A6J0EBU0_PERMB, tr|A0A6J0CLU0|A0A6J0CLU0_PERMB, tr|A0A6I9MDG9|A0A6I9MDG9_PERMB, tr|A0A6I9MNY3|A0A6I9MNY3_PERMB, tr|A0A6I9MQP9|A0A6I9MQP9_PERMB
OG0000378	tr|F8VQM5|F8VQM5_MOUSE	tr|A0A6I9L3T3|A0A6I9L3T3_PERMB
OG0000378	tr|A0A571BDS5|A0A571BDS5_MOUSE	tr|A0A6J0CRZ0|A0A6J0CRZ0_PERMB
OG0000378	tr|A0A571BF69|A0A571BF69_MOUSE	tr|A0A6I9MLE9|A0A6I9MLE9_PERMB, tr|A0A6J0CW61|A0A6J0CW61_PERMB
OG0000379	tr|Q7TRW8|Q7TRW8_MOUSE	tr|A0A6I9L585|A0A6I9L585_PERMB
OG0000379	tr|Q8VFX6|Q8VFX6_MOUSE, tr|Q8VFX8|Q8VFX8_MOUSE, tr|Q8VFX7|Q8VFX7_MOUSE	tr|A0A6I9LE06|A0A6I9LE06_PERMB, tr|A0A6I9LEF8|A0A6I9LEF8_PERMB
OG0000380	sp|Q8C0N0|SMKZ_MOUSE	tr|A0A6I9LEM8|A0A6I9LEM8_PERMB, tr|A0A6I9LFE8|A0A6I9LFE8_PERMB, tr|A0A6J0DIS7|A0A6J0DIS7_PERMB, tr|A0A6I9LSW8|A0A6I9LSW8_PERMB, tr|A0A6J0DXT1|A0A6J0DXT1_PERMB, tr|A0A6I9LPB1|A0A6I9LPB1_PERMB
OG0000381	sp|Q9CS42|PRPS2_MOUSE	tr|A0A6J0CYQ6|A0A6J0CYQ6_PERMB
OG0000381	tr|Q8C5R8|Q8C5R8_MOUSE	tr|A0A6J0DPT9|A0A6J0DPT9_PERMB
OG0000381	sp|Q9D7G0|PRPS1_MOUSE, tr|G3UXL2|G3UXL2_MOUSE	tr|A0A6I9KSI8|A0A6I9KSI8_PERMB
OG0000382	sp|P26043|RADI_MOUSE	tr|A0A6J0E1A0|A0A6J0E1A0_PERMB
OG0000382	sp|P26040|EZRI_MOUSE	tr|A0A6I9LJC8|A0A6I9LJC8_PERMB
OG0000382	sp|P26041|MOES_MOUSE	tr|A0A6I9LCE1|A0A6I9LCE1_PERMB
OG0000383	sp|Q80SU7|GVIN1_MOUSE	tr|A0A6J0ECM2|A0A6J0ECM2_PERMB, tr|A0A6J0EIM4|A0A6J0EIM4_PERMB, tr|A0A6I9LWM7|A0A6I9LWM7_PERMB, tr|A0A6I9MCR9|A0A6I9MCR9_PERMB, tr|A0A6J0EAV4|A0A6J0EAV4_PERMB, tr|A0A6J0CTH2|A0A6J0CTH2_PERMB
OG0000384	sp|Q62441|TLE4_MOUSE	tr|A0A6J0E263|A0A6J0E263_PERMB
