Orthogroup	Mus_musculus	Fukomys_damarensis
OG0001438	sp|Q8CFI0|NED4L_MOUSE	tr|A0A091D8V2|A0A091D8V2_FUKDA
OG0001439	sp|Q9R194|CRY2_MOUSE	tr|A0A091DAM6|A0A091DAM6_FUKDA
OG0001439	sp|P97784|CRY1_MOUSE	tr|A0A091D960|A0A091D960_FUKDA
OG0001440	sp|P58355|S45A2_MOUSE	tr|A0A091CYU4|A0A091CYU4_FUKDA
OG0001440	sp|Q8K0H7|S45A3_MOUSE	tr|A0A091DJD6|A0A091DJD6_FUKDA
OG0001441	sp|Q7TMB8|CYFP1_MOUSE	tr|A0A091DAB9|A0A091DAB9_FUKDA
OG0001441	sp|Q5SQX6|CYFP2_MOUSE	tr|A0A091DT21|A0A091DT21_FUKDA
OG0001442	sp|O54931|AKAP2_MOUSE	tr|A0A091D929|A0A091D929_FUKDA, tr|A0A091DRH4|A0A091DRH4_FUKDA, tr|A0A091DYP7|A0A091DYP7_FUKDA
OG0001443	sp|Q61488|DHH_MOUSE, sp|P97812|IHH_MOUSE, sp|Q62226|SHH_MOUSE	tr|A0A091E3M3|A0A091E3M3_FUKDA
OG0001444	sp|Q6DFV6|FN3C1_MOUSE, tr|A2AP83|A2AP83_MOUSE, sp|Q8BX90|FND3A_MOUSE	tr|A0A091DC56|A0A091DC56_FUKDA
OG0001445	sp|Q6ZWQ7|SPCS3_MOUSE, sp|C0HK79|ARXS1_MOUSE, sp|C0HK80|ARXS2_MOUSE	tr|A0A091DKN9|A0A091DKN9_FUKDA
OG0001446	sp|Q6SJ95|TBPL2_MOUSE	tr|A0A091CPA6|A0A091CPA6_FUKDA
OG0001446	sp|P29037|TBP_MOUSE	tr|A0A091DLE9|A0A091DLE9_FUKDA
OG0001447	sp|P02089|HBB2_MOUSE, sp|P02088|HBB1_MOUSE, tr|A8DUK4|A8DUK4_MOUSE	tr|A0A091DVA1|A0A091DVA1_FUKDA
OG0001448	sp|Q8K1X4|NCKPL_MOUSE	tr|A0A091CQ94|A0A091CQ94_FUKDA
OG0001448	sp|P28660|NCKP1_MOUSE	tr|A0A091DBQ6|A0A091DBQ6_FUKDA
OG0001449	sp|Q6PGA0|RCOR3_MOUSE	tr|A0A091CQU7|A0A091CQU7_FUKDA
OG0001449	sp|Q8CFE3|RCOR1_MOUSE	tr|A0A091DHN3|A0A091DHN3_FUKDA
OG0001450	sp|P58019|CD59B_MOUSE, sp|O55186|CD59A_MOUSE	tr|A0A091CRE2|A0A091CRE2_FUKDA, tr|A0A091CQH1|A0A091CQH1_FUKDA
OG0001451	sp|Q61701|ELAV4_MOUSE	tr|A0A091CSQ2|A0A091CSQ2_FUKDA
OG0001451	sp|Q60899|ELAV2_MOUSE	tr|A0A091DNK9|A0A091DNK9_FUKDA
OG0001452	sp|Q8R527|RHOQ_MOUSE	tr|A0A091D6G3|A0A091D6G3_FUKDA
OG0001452	sp|Q9ER71|RHOJ_MOUSE	tr|A0A091DW76|A0A091DW76_FUKDA
OG0001453	sp|Q6IE26|EPHX4_MOUSE, sp|Q9EPB5|SERHL_MOUSE, sp|Q3V1F8|EPHX3_MOUSE	tr|A0A091CXF5|A0A091CXF5_FUKDA
OG0001454	tr|E9Q3M9|E9Q3M9_MOUSE, sp|Q5PR69|CRACD_MOUSE, sp|E9Q0C6|K1210_MOUSE	tr|A0A091D4L2|A0A091D4L2_FUKDA
OG0001455	sp|Q5I1X5|IASPP_MOUSE	tr|A0A091CLP1|A0A091CLP1_FUKDA
OG0001455	sp|Q62415|ASPP1_MOUSE	tr|A0A091DHP4|A0A091DHP4_FUKDA
OG0001456	tr|Q8VH14|Q8VH14_MOUSE, tr|Q8VGX7|Q8VGX7_MOUSE	tr|A0A091DMD4|A0A091DMD4_FUKDA, tr|A0A091CZ16|A0A091CZ16_FUKDA
OG0001457	sp|P05555|ITAM_MOUSE, sp|Q9QXH4|ITAX_MOUSE, sp|Q3V0T4|ITAD_MOUSE	tr|A0A091DMN2|A0A091DMN2_FUKDA
OG0001458	sp|Q3UX43|AN13C_MOUSE, sp|Q5F259|AN13B_MOUSE, sp|Q6PD24|AN13D_MOUSE	tr|A0A091DZV3|A0A091DZV3_FUKDA
OG0001459	sp|Q8BGS1|E41L5_MOUSE	tr|A0A091DHU2|A0A091DHU2_FUKDA
OG0001459	sp|Q9JMC8|E41LB_MOUSE	tr|A0A091D8F2|A0A091D8F2_FUKDA
OG0001460	sp|Q9EST1|GSDMA_MOUSE, sp|Q32M21|GSDA2_MOUSE, sp|Q5Y4Y6|GSDA3_MOUSE	tr|A0A091DRW3|A0A091DRW3_FUKDA
OG0001461	sp|Q8K4T3|STRAB_MOUSE	tr|A0A091DHD1|A0A091DHD1_FUKDA
OG0001461	sp|Q3UUJ4|STRAA_MOUSE	tr|A0A091CM53|A0A091CM53_FUKDA
OG0001462	sp|Q8BHG3|CC50B_MOUSE, sp|Q8VEK0|CC50A_MOUSE	tr|A0A091E065|A0A091E065_FUKDA, tr|A0A091D4T2|A0A091D4T2_FUKDA
OG0001463	tr|E9PUZ9|E9PUZ9_MOUSE	tr|A0A091D6P0|A0A091D6P0_FUKDA
OG0001463	sp|Q69ZS0|PZRN3_MOUSE	tr|A0A091DF93|A0A091DF93_FUKDA
OG0001464	tr|Q7TQT8|Q7TQT8_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A091D7Z9|A0A091D7Z9_FUKDA
OG0001465	sp|Q8BLS7|SWAHA_MOUSE, sp|Q8BY98|SWAHD_MOUSE, sp|Q8BZW2|SWAHB_MOUSE	tr|A0A091DSE7|A0A091DSE7_FUKDA
OG0001466	sp|Q61324|ARNT2_MOUSE	tr|A0A091DWJ3|A0A091DWJ3_FUKDA
OG0001466	sp|P53762|ARNT_MOUSE	tr|A0A091CIH7|A0A091CIH7_FUKDA
OG0001467	sp|Q71KU9|FGL1_MOUSE, sp|P12804|FGL2_MOUSE, sp|Q8VCM7|FIBG_MOUSE	tr|A0A091EG08|A0A091EG08_FUKDA
OG0001468	sp|Q9ERD6|RGPS2_MOUSE	tr|A0A091DHX7|A0A091DHX7_FUKDA
OG0001468	sp|A2AR50|RGPS1_MOUSE	tr|A0A091CNB2|A0A091CNB2_FUKDA
OG0001469	sp|Q6PAV2|HERC4_MOUSE	tr|A0A091DXT4|A0A091DXT4_FUKDA
OG0001469	sp|F2Z461|HERC6_MOUSE	tr|A0A091CSG6|A0A091CSG6_FUKDA
OG0001470	tr|Q8CB76|Q8CB76_MOUSE	tr|A0A091DKR3|A0A091DKR3_FUKDA, tr|A0A091CKU2|A0A091CKU2_FUKDA, tr|A0A091CUZ3|A0A091CUZ3_FUKDA
OG0001471	sp|Q641K1|CBPC1_MOUSE	tr|A0A091CYT4|A0A091CYT4_FUKDA
OG0001471	sp|Q09M05|CBPC4_MOUSE	tr|A0A091EGM0|A0A091EGM0_FUKDA
OG0001472	sp|Q9D6A1|MYO1H_MOUSE	tr|A0A091DLS6|A0A091DLS6_FUKDA
OG0001472	sp|Q9WTI7|MYO1C_MOUSE	tr|A0A091D5H5|A0A091D5H5_FUKDA
OG0001473	sp|O09046|OXLA_MOUSE, tr|B1ARV3|B1ARV3_MOUSE, tr|Q5SPH3|Q5SPH3_MOUSE	tr|A0A091DTW3|A0A091DTW3_FUKDA
OG0001474	sp|A2A5R2|BIG2_MOUSE	tr|A0A091DUU0|A0A091DUU0_FUKDA
OG0001474	sp|G3X9K3|BIG1_MOUSE	tr|A0A091CSA3|A0A091CSA3_FUKDA
OG0001475	sp|Q08274|DMWD_MOUSE, tr|Q3UWE6|Q3UWE6_MOUSE, sp|Q9D5R2|WDR20_MOUSE	tr|A0A091CWR9|A0A091CWR9_FUKDA
OG0001476	sp|P09041|PGK2_MOUSE	tr|A0A091E5L6|A0A091E5L6_FUKDA
OG0001476	sp|P09411|PGK1_MOUSE	tr|A0A091D1J3|A0A091D1J3_FUKDA
OG0001477	sp|P62715|PP2AB_MOUSE, sp|P63330|PP2AA_MOUSE	tr|A0A091E6J7|A0A091E6J7_FUKDA, tr|A0A091D3C6|A0A091D3C6_FUKDA
OG0001478	sp|P59509|ATS19_MOUSE	tr|A0A091DLP0|A0A091DLP0_FUKDA
OG0001478	tr|E9Q4D1|E9Q4D1_MOUSE	tr|A0A091DCG6|A0A091DCG6_FUKDA
OG0001479	sp|Q91W59|RBMS1_MOUSE	tr|A0A091CW96|A0A091CW96_FUKDA
OG0001479	sp|Q8VC70|RBMS2_MOUSE	tr|A0A091DP25|A0A091DP25_FUKDA
OG0001480	sp|Q80Z10|ASTN2_MOUSE	tr|A0A091D6V0|A0A091D6V0_FUKDA
OG0001480	sp|Q61137|ASTN1_MOUSE	tr|A0A091DJJ4|A0A091DJJ4_FUKDA
OG0001481	sp|A2A5Z6|SMUF2_MOUSE	tr|A0A091CI53|A0A091CI53_FUKDA
OG0001481	sp|Q9CUN6|SMUF1_MOUSE	tr|A0A091D492|A0A091D492_FUKDA
OG0001482	tr|Q8VFP3|Q8VFP3_MOUSE, tr|Q8VF16|Q8VF16_MOUSE, tr|Q7TRY5|Q7TRY5_MOUSE	tr|A0A091CL22|A0A091CL22_FUKDA
OG0001483	sp|Q9R0N8|SYT6_MOUSE	tr|A0A091DGY7|A0A091DGY7_FUKDA
OG0001483	sp|Q9R0N4|SYT10_MOUSE	tr|A0A091E6Z6|A0A091E6Z6_FUKDA
OG0001484	sp|Q9ET47|ESPN_MOUSE	tr|A0A091DI67|A0A091DI67_FUKDA
OG0001484	sp|Q8C3F7|KLH30_MOUSE	tr|A0A091DK06|A0A091DK06_FUKDA
OG0001485	sp|A7M7C7|SKOR2_MOUSE	tr|A0A091DQG3|A0A091DQG3_FUKDA
OG0001485	sp|Q8BX46|SKOR1_MOUSE	tr|A0A091DQQ5|A0A091DQQ5_FUKDA
OG0001486	sp|A3KFX0|5NT1A_MOUSE	tr|A0A091DN35|A0A091DN35_FUKDA
OG0001486	sp|Q91YE9|5NT1B_MOUSE	tr|A0A091CUS2|A0A091CUS2_FUKDA
OG0001487	sp|Q9QXN0|SHRM3_MOUSE, sp|Q5SX79|SHRM1_MOUSE, sp|A2ALU4|SHRM2_MOUSE	tr|A0A091DZ82|A0A091DZ82_FUKDA
OG0001488	tr|Q7TRH2|Q7TRH2_MOUSE, tr|Q8VFU4|Q8VFU4_MOUSE	tr|A0A091CQA3|A0A091CQA3_FUKDA, tr|A0A091DEU4|A0A091DEU4_FUKDA
OG0001489	sp|Q60736|ZP3R_MOUSE	tr|A0A091CQS3|A0A091CQS3_FUKDA, tr|A0A091DA21|A0A091DA21_FUKDA, tr|A0A091CNR6|A0A091CNR6_FUKDA
OG0001490	sp|Q8CDM1|ATAD2_MOUSE	tr|A0A091DC77|A0A091DC77_FUKDA
OG0001490	tr|E9Q166|E9Q166_MOUSE	tr|A0A091DKQ4|A0A091DKQ4_FUKDA
OG0001491	sp|Q8BMF3|MAON_MOUSE	tr|A0A091DDX7|A0A091DDX7_FUKDA
OG0001491	sp|P06801|MAOX_MOUSE	tr|A0A091DE28|A0A091DE28_FUKDA
OG0001492	sp|Q9CZR2|NALD2_MOUSE	tr|A0A091DFJ2|A0A091DFJ2_FUKDA
OG0001492	sp|O35409|FOLH1_MOUSE	tr|A0A091DDW9|A0A091DDW9_FUKDA
OG0001493	sp|Q6PGN3|DCLK2_MOUSE	tr|A0A091DGM9|A0A091DGM9_FUKDA
OG0001493	sp|Q9JLM8|DCLK1_MOUSE	tr|A0A091EDE9|A0A091EDE9_FUKDA
OG0001494	sp|Q9EQQ0|SUV92_MOUSE	tr|A0A091D5X8|A0A091D5X8_FUKDA
OG0001494	sp|O54864|SUV91_MOUSE	tr|A0A091CWT2|A0A091CWT2_FUKDA
OG0001495	sp|Q9DCR2|AP3S1_MOUSE	tr|A0A091D8U7|A0A091D8U7_FUKDA
OG0001495	sp|Q8BSZ2|AP3S2_MOUSE	tr|A0A091DWD9|A0A091DWD9_FUKDA
OG0001496	sp|Q9R0Q4|MO4L2_MOUSE	tr|A0A091DZ56|A0A091DZ56_FUKDA, tr|A0A091DJQ6|A0A091DJQ6_FUKDA, tr|A0A091DBN0|A0A091DBN0_FUKDA
OG0001497	sp|Q60575|KIF1B_MOUSE	tr|A0A091DHH8|A0A091DHH8_FUKDA
OG0001497	sp|P33173|KIF1A_MOUSE	tr|A0A091CT33|A0A091CT33_FUKDA
OG0001498	sp|Q99K48|NONO_MOUSE	tr|A0A091D8Y8|A0A091D8Y8_FUKDA, tr|A0A091CV86|A0A091CV86_FUKDA, tr|A0A091CMX2|A0A091CMX2_FUKDA
OG0001499	sp|P06802|ENPP1_MOUSE	tr|A0A091D8P1|A0A091D8P1_FUKDA
OG0001499	sp|Q6DYE8|ENPP3_MOUSE	tr|A0A091D414|A0A091D414_FUKDA
OG0001500	sp|P11247|PERM_MOUSE	tr|A0A091DV85|A0A091DV85_FUKDA
OG0001500	sp|P49290|PERE_MOUSE	tr|A0A091DS81|A0A091DS81_FUKDA
OG0001501	tr|A0A2I3BRI6|A0A2I3BRI6_MOUSE, tr|E9PZS7|E9PZS7_MOUSE	tr|A0A091D585|A0A091D585_FUKDA, tr|A0A091DAI5|A0A091DAI5_FUKDA
OG0001502	sp|P97364|SPS2_MOUSE	tr|A0A091E190|A0A091E190_FUKDA
OG0001502	sp|Q8BH69|SPS1_MOUSE	tr|A0A091D595|A0A091D595_FUKDA
OG0001503	sp|Q6AXF6|SIDT1_MOUSE	tr|A0A091D975|A0A091D975_FUKDA
OG0001503	sp|Q8CIF6|SIDT2_MOUSE	tr|A0A091DG19|A0A091DG19_FUKDA
OG0001504	sp|Q8JZQ2|AFG32_MOUSE	tr|A0A091D8U9|A0A091D8U9_FUKDA
OG0001504	sp|Q920A7|AFG31_MOUSE	tr|A0A091DNM4|A0A091DNM4_FUKDA
OG0001506	sp|Q9JKS5|HABP4_MOUSE	tr|A0A091D8W9|A0A091D8W9_FUKDA
OG0001506	sp|Q9CY58|PAIRB_MOUSE	tr|A0A091CUL2|A0A091CUL2_FUKDA
OG0001507	sp|Q4VBE8|WDR18_MOUSE, sp|Q9R0D8|WDR54_MOUSE, sp|O54929|WSB2_MOUSE	tr|A0A091D0U7|A0A091D0U7_FUKDA
OG0001509	sp|Q8VHA6|ASB18_MOUSE, sp|Q8VHS5|ASB16_MOUSE, sp|Q91ZT7|ASB10_MOUSE	tr|A0A091DBJ7|A0A091DBJ7_FUKDA
OG0001510	sp|Q8VIG1|REST_MOUSE	tr|A0A091DEL7|A0A091DEL7_FUKDA, tr|A0A091D419|A0A091D419_FUKDA, tr|A0A091DHA6|A0A091DHA6_FUKDA
OG0001511	tr|B7XG49|B7XG49_MOUSE	tr|A0A091D015|A0A091D015_FUKDA
OG0001511	sp|Q5STT6|GAR3_MOUSE	tr|A0A091DUS2|A0A091DUS2_FUKDA
OG0001512	sp|P0DN91|T254C_MOUSE, sp|P0DN89|T254A_MOUSE, sp|P0DN90|T254B_MOUSE	tr|A0A091EL04|A0A091EL04_FUKDA
OG0001513	sp|Q99L88|SNTB1_MOUSE	tr|A0A091EIA7|A0A091EIA7_FUKDA
OG0001513	sp|Q61235|SNTB2_MOUSE	tr|A0A091CPM2|A0A091CPM2_FUKDA
OG0001514	sp|Q80VU4|NTF4_MOUSE, sp|P21237|BDNF_MOUSE, sp|P20181|NTF3_MOUSE	tr|A0A091CS64|A0A091CS64_FUKDA
OG0001515	sp|Q921R4|DJC14_MOUSE	tr|A0A091CXR3|A0A091CXR3_FUKDA, tr|A0A091CVH4|A0A091CVH4_FUKDA, tr|A0A091E3N9|A0A091E3N9_FUKDA
OG0001516	tr|Q80VE5|Q80VE5_MOUSE	tr|A0A091DW03|A0A091DW03_FUKDA
OG0001516	sp|Q8R5A6|TB22A_MOUSE	tr|A0A091DPJ8|A0A091DPJ8_FUKDA
OG0001517	sp|Q501J6|DDX17_MOUSE	tr|A0A091E032|A0A091E032_FUKDA
OG0001517	sp|Q61656|DDX5_MOUSE	tr|A0A091CK82|A0A091CK82_FUKDA
OG0001518	tr|Q8VFT2|Q8VFT2_MOUSE, tr|A0A140T8Q2|A0A140T8Q2_MOUSE	tr|A0A091D9A7|A0A091D9A7_FUKDA, tr|A0A091CN85|A0A091CN85_FUKDA
OG0001519	sp|O35084|CP27B_MOUSE, sp|Q9DBG1|CP27A_MOUSE, sp|Q64441|CP24A_MOUSE	tr|A0A091D1Y5|A0A091D1Y5_FUKDA
OG0001520	sp|Q6NZL0|SOGA3_MOUSE, sp|E1U8D0|SOGA1_MOUSE, sp|Q3UHU5|MTCL1_MOUSE	tr|A0A091DQ24|A0A091DQ24_FUKDA
OG0001521	sp|Q91VM9|IPYR2_MOUSE	tr|A0A091DSU0|A0A091DSU0_FUKDA
OG0001521	sp|Q9D819|IPYR_MOUSE	tr|A0A091EMU3|A0A091EMU3_FUKDA
OG0001522	sp|Q9WTL8|BMAL1_MOUSE, sp|Q2VPD4|BMAL2_MOUSE	tr|A0A091DKA8|A0A091DKA8_FUKDA, tr|A0A091CLN0|A0A091CLN0_FUKDA
OG0001523	sp|Q9JKS4|LDB3_MOUSE	tr|A0A091D472|A0A091D472_FUKDA
OG0001523	sp|Q8CI51|PDLI5_MOUSE	tr|A0A091D1U9|A0A091D1U9_FUKDA
OG0001524	sp|Q9DBJ1|PGAM1_MOUSE	tr|A0A091DWN5|A0A091DWN5_FUKDA
OG0001524	sp|O70250|PGAM2_MOUSE	tr|A0A091DPQ9|A0A091DPQ9_FUKDA
OG0001525	sp|Q9D7H2|WDR5B_MOUSE	tr|A0A091E6B1|A0A091E6B1_FUKDA
OG0001525	sp|P61965|WDR5_MOUSE	tr|A0A091CT22|A0A091CT22_FUKDA
OG0001526	sp|Q8BXA7|PHLP2_MOUSE	tr|A0A091D2C6|A0A091D2C6_FUKDA
OG0001526	sp|Q8CHE4|PHLP1_MOUSE	tr|A0A091D1V1|A0A091D1V1_FUKDA
OG0001527	sp|Q3TC46|PATL1_MOUSE	tr|A0A091DEJ9|A0A091DEJ9_FUKDA
OG0001527	sp|A2ARM1|PATL2_MOUSE	tr|A0A091CQS8|A0A091CQS8_FUKDA
OG0001528	tr|A0A0G2JGA3|A0A0G2JGA3_MOUSE, sp|D3YU32|T13C1_MOUSE, tr|Q810P0|Q810P0_MOUSE	tr|A0A091E5U0|A0A091E5U0_FUKDA
OG0001529	sp|Q61805|LBP_MOUSE, sp|Q67E05|BPI_MOUSE, sp|P55065|PLTP_MOUSE	tr|A0A091EAW6|A0A091EAW6_FUKDA
OG0001530	sp|Q61411|RASH_MOUSE	tr|A0A091D5P9|A0A091D5P9_FUKDA
OG0001530	sp|Q6TDU8|DNAI7_MOUSE	tr|A0A091ELT7|A0A091ELT7_FUKDA
OG0001531	sp|O08584|KLF6_MOUSE	tr|A0A091DAP0|A0A091DAP0_FUKDA
OG0001531	sp|Q99JB0|KLF7_MOUSE	tr|A0A091CIQ9|A0A091CIQ9_FUKDA
OG0001532	sp|O88310|ITL1A_MOUSE, sp|Q80ZA0|ITL1B_MOUSE	tr|A0A091CKE1|A0A091CKE1_FUKDA, tr|A0A091CMC1|A0A091CMC1_FUKDA
OG0001533	sp|P62960|YBOX1_MOUSE	tr|A0A091CMW5|A0A091CMW5_FUKDA
OG0001533	sp|Q8BVF4|CCD30_MOUSE	tr|A0A091E4W6|A0A091E4W6_FUKDA
OG0001534	sp|Q3LAC4|PREX2_MOUSE	tr|A0A091CRB3|A0A091CRB3_FUKDA
OG0001534	sp|Q69ZK0|PREX1_MOUSE	tr|A0A091E006|A0A091E006_FUKDA
OG0001535	tr|Q8VGW8|Q8VGW8_MOUSE, tr|Q8VFE7|Q8VFE7_MOUSE, tr|Q8VFP2|Q8VFP2_MOUSE	tr|A0A091D8P7|A0A091D8P7_FUKDA
OG0001536	sp|Q61655|DD19A_MOUSE	tr|A0A091D0X0|A0A091D0X0_FUKDA
OG0001536	tr|Q8BZY3|Q8BZY3_MOUSE	tr|A0A091DPB8|A0A091DPB8_FUKDA
OG0001537	sp|Q8K0S5|R4RL1_MOUSE, sp|Q7M6Z0|R4RL2_MOUSE, sp|Q99PI8|RTN4R_MOUSE	tr|A0A091D4S5|A0A091D4S5_FUKDA
OG0001538	sp|P97742|CPT1A_MOUSE, sp|Q8BGD5|CPT1C_MOUSE, sp|Q924X2|CPT1B_MOUSE	tr|A0A091DB67|A0A091DB67_FUKDA
OG0001539	sp|Q4VC17|ATS18_MOUSE	tr|A0A091CTG1|A0A091CTG1_FUKDA
OG0001539	sp|Q69Z28|ATS16_MOUSE	tr|A0A091E6R6|A0A091E6R6_FUKDA
OG0001540	sp|O54974|LEG7_MOUSE, sp|O54891|LEG6_MOUSE, sp|Q8K419|LEG4_MOUSE	tr|A0A091DH70|A0A091DH70_FUKDA
OG0001541	sp|Q4JIM5|ABL2_MOUSE	tr|A0A091DK86|A0A091DK86_FUKDA
OG0001541	sp|P00520|ABL1_MOUSE	tr|A0A091DIH4|A0A091DIH4_FUKDA
OG0001542	sp|O70283|WNT2B_MOUSE	tr|A0A091DIN6|A0A091DIN6_FUKDA
OG0001542	sp|P21552|WNT2_MOUSE	tr|A0A091DUY3|A0A091DUY3_FUKDA
OG0001543	sp|A0A1W2P872|NOVA2_MOUSE	tr|A0A091CN87|A0A091CN87_FUKDA
OG0001543	sp|Q9JKN6|NOVA1_MOUSE	tr|A0A091DLZ1|A0A091DLZ1_FUKDA
OG0001544	tr|G3X972|G3X972_MOUSE	tr|A0A091DXZ7|A0A091DXZ7_FUKDA
OG0001544	tr|Q6NXL1|Q6NXL1_MOUSE	tr|A0A091E2L0|A0A091E2L0_FUKDA
OG0001545	sp|P34986|OLF6_MOUSE	tr|A0A091CMU7|A0A091CMU7_FUKDA, tr|A0A091CKY7|A0A091CKY7_FUKDA, tr|A0A091D6B4|A0A091D6B4_FUKDA
OG0001547	sp|Q8R0J7|VP37B_MOUSE, sp|Q8CHS8|VP37A_MOUSE, sp|Q8R105|VP37C_MOUSE	tr|A0A091CZ48|A0A091CZ48_FUKDA
OG0001548	sp|O08580|ERR1_MOUSE, sp|P62509|ERR3_MOUSE, sp|Q61539|ERR2_MOUSE	tr|A0A091DBJ0|A0A091DBJ0_FUKDA
OG0001549	sp|P40201|CHD1_MOUSE	tr|A0A091D198|A0A091D198_FUKDA
OG0001549	sp|E9PZM4|CHD2_MOUSE	tr|A0A091EGL0|A0A091EGL0_FUKDA
OG0001550	tr|Q8BU47|Q8BU47_MOUSE	tr|A0A091D8U8|A0A091D8U8_FUKDA, tr|A0A091D3K0|A0A091D3K0_FUKDA, tr|A0A091CQP4|A0A091CQP4_FUKDA
OG0001551	sp|P86546|OSTCN_MOUSE, sp|P86547|OSTC2_MOUSE, sp|P54615|OSTR_MOUSE	tr|A0A091D3T7|A0A091D3T7_FUKDA
OG0001552	tr|K7N727|K7N727_MOUSE, tr|E9PVJ7|E9PVJ7_MOUSE	tr|A0A091CUI8|A0A091CUI8_FUKDA, tr|A0A091DP99|A0A091DP99_FUKDA
OG0001553	sp|E9Q4S1|PDE8B_MOUSE	tr|A0A091DTF1|A0A091DTF1_FUKDA
OG0001553	sp|O88502|PDE8A_MOUSE	tr|A0A091DU70|A0A091DU70_FUKDA
OG0001554	sp|Q922Q4|P5CR2_MOUSE	tr|A0A091CPZ9|A0A091CPZ9_FUKDA
OG0001554	sp|Q922W5|P5CR1_MOUSE	tr|A0A091DZ72|A0A091DZ72_FUKDA
OG0001555	sp|A2AJ88|PLPL7_MOUSE	tr|A0A091CUS8|A0A091CUS8_FUKDA
OG0001555	sp|Q3TRM4|PLPL6_MOUSE	tr|A0A091DJI2|A0A091DJI2_FUKDA
OG0001556	tr|Q9D8C9|Q9D8C9_MOUSE, sp|P23492|PNPH_MOUSE	tr|A0A091DD97|A0A091DD97_FUKDA, tr|A0A091CUV3|A0A091CUV3_FUKDA
OG0001557	sp|O35874|SATT_MOUSE	tr|A0A091CT97|A0A091CT97_FUKDA
OG0001557	sp|P51912|AAAT_MOUSE	tr|A0A091D5G0|A0A091D5G0_FUKDA
OG0001558	sp|P22726|WNT5B_MOUSE	tr|A0A091DK07|A0A091DK07_FUKDA
OG0001558	sp|P22725|WNT5A_MOUSE	tr|A0A091D3U8|A0A091D3U8_FUKDA
OG0001559	sp|O35393|EFNB3_MOUSE, sp|P52800|EFNB2_MOUSE, sp|P52795|EFNB1_MOUSE	tr|A0A091DHW8|A0A091DHW8_FUKDA
OG0001560	sp|Q8K007|SULF1_MOUSE	tr|A0A091DF44|A0A091DF44_FUKDA
OG0001560	sp|Q8CFG0|SULF2_MOUSE	tr|A0A091DMU8|A0A091DMU8_FUKDA
OG0001561	sp|Q9ESE1|LRBA_MOUSE	tr|A0A091DHB0|A0A091DHB0_FUKDA
OG0001561	sp|Q9EPN1|NBEA_MOUSE	tr|A0A091DSC1|A0A091DSC1_FUKDA
OG0001562	sp|Q8C7M3|TRIM9_MOUSE	tr|A0A091DHJ3|A0A091DHJ3_FUKDA
OG0001562	sp|Q505D9|TRI67_MOUSE	tr|A0A091DUU1|A0A091DUU1_FUKDA
OG0001563	sp|Q9D4C9|CLVS1_MOUSE	tr|A0A091ENX7|A0A091ENX7_FUKDA
OG0001563	sp|Q8BG92|CLVS2_MOUSE	tr|A0A091DA05|A0A091DA05_FUKDA
OG0001564	sp|P09405|NUCL_MOUSE	tr|A0A091DSC0|A0A091DSC0_FUKDA, tr|A0A091CR25|A0A091CR25_FUKDA, tr|A0A091DIH8|A0A091DIH8_FUKDA
OG0001565	sp|Q8R2R9|AP3M2_MOUSE	tr|A0A091DWA4|A0A091DWA4_FUKDA
OG0001565	sp|Q9JKC8|AP3M1_MOUSE	tr|A0A091E0X8|A0A091E0X8_FUKDA
OG0001566	tr|E9Q4X2|E9Q4X2_MOUSE	tr|A0A091E3B9|A0A091E3B9_FUKDA
OG0001566	sp|Q6P5E4|UGGG1_MOUSE	tr|A0A091D639|A0A091D639_FUKDA
OG0001567	sp|Q9WTX6|CUL1_MOUSE	tr|A0A091D9I7|A0A091D9I7_FUKDA, tr|A0A091ENY2|A0A091ENY2_FUKDA, tr|A0A091E242|A0A091E242_FUKDA
OG0001568	sp|Q99JP0|M4K3_MOUSE	tr|A0A091CYI7|A0A091CYI7_FUKDA
OG0001568	sp|Q8BPM2|M4K5_MOUSE	tr|A0A091DFB2|A0A091DFB2_FUKDA
OG0001569	sp|Q9D0K2|SCOT1_MOUSE, sp|Q9ESL0|SCO2B_MOUSE, sp|Q9JJN4|SCO2A_MOUSE	tr|A0A091DAL8|A0A091DAL8_FUKDA
OG0001570	sp|O88597|BECN1_MOUSE	tr|A0A091D8U1|A0A091D8U1_FUKDA
OG0001570	sp|P0DM65|BECN2_MOUSE	tr|A0A091CTP1|A0A091CTP1_FUKDA
OG0001571	sp|Q9D2F7|P210L_MOUSE	tr|A0A091D1T5|A0A091D1T5_FUKDA
OG0001571	sp|Q9QY81|PO210_MOUSE	tr|A0A091DW64|A0A091DW64_FUKDA
OG0001572	sp|Q3TLH4|PRC2C_MOUSE, sp|Q7TSC1|PRC2A_MOUSE, sp|Q7TPM1|PRC2B_MOUSE	tr|A0A091CXB5|A0A091CXB5_FUKDA
OG0001573	sp|P48432|SOX2_MOUSE, sp|P53784|SOX3_MOUSE, sp|P53783|SOX1_MOUSE	tr|A0A091DLS7|A0A091DLS7_FUKDA
OG0001574	sp|Q91X97|NCALD_MOUSE	tr|A0A091EI86|A0A091EI86_FUKDA, tr|A0A091DLT9|A0A091DLT9_FUKDA, tr|A0A091EFZ0|A0A091EFZ0_FUKDA
OG0001575	sp|Q8R4F1|NTNG2_MOUSE	tr|A0A091DII4|A0A091DII4_FUKDA
