Orthogroup	Mus_musculus	Sus_scrofa
OG0000624	sp|P14097|CCL4_MOUSE	sp|Q711P4|CCL4_PIG, tr|A0A286ZXS6|A0A286ZXS6_PIG, tr|A0A287BRD6|A0A287BRD6_PIG, tr|A0A287BE47|A0A287BE47_PIG
OG0000625	sp|D2EAC2|ZBED6_MOUSE	tr|A0A5G2RG72|A0A5G2RG72_PIG
OG0000625	sp|Q80WQ9|ZBED4_MOUSE	tr|A0A287BCC4|A0A287BCC4_PIG, tr|A0A287BR05|A0A287BR05_PIG
OG0000626	sp|Q64511|TOP2B_MOUSE	tr|F1RS45|F1RS45_PIG
OG0000626	sp|Q01320|TOP2A_MOUSE	sp|O46374|TOP2A_PIG, tr|A0A5S6GIV5|A0A5S6GIV5_PIG
OG0000628	sp|Q62240|KDM5D_MOUSE	tr|A0A5G2R7V2|A0A5G2R7V2_PIG
OG0000628	sp|P41230|KDM5C_MOUSE	sp|A1YVX4|KDM5C_PIG, tr|F1RUI7|F1RUI7_PIG
OG0000629	sp|Q8JZW4|CPNE5_MOUSE	tr|A0A287AMN8|A0A287AMN8_PIG
OG0000629	sp|Q1RLL3|CPNE9_MOUSE, sp|Q9DC53|CPNE8_MOUSE	tr|I3LB11|I3LB11_PIG
OG0000631	tr|Q8VH10|Q8VH10_MOUSE, tr|E9Q985|E9Q985_MOUSE, tr|Q8VH08|Q8VH08_MOUSE	tr|A0A5G2QFL3|A0A5G2QFL3_PIG, tr|A0A5G2R3S4|A0A5G2R3S4_PIG
OG0000633	tr|Q7TRT7|Q7TRT7_MOUSE, tr|Q8VFE8|Q8VFE8_MOUSE, tr|Q8VFE9|Q8VFE9_MOUSE	tr|A0A287A8U6|A0A287A8U6_PIG, tr|A0A287A242|A0A287A242_PIG
OG0000634	tr|Q8VFT6|Q8VFT6_MOUSE	tr|A0A287ALQ0|A0A287ALQ0_PIG, tr|F1S7F3|F1S7F3_PIG, tr|A0A287AQH5|A0A287AQH5_PIG, tr|A0A287ARA8|A0A287ARA8_PIG
OG0000635	tr|A2ATJ4|A2ATJ4_MOUSE, tr|Q7TR13|Q7TR13_MOUSE, tr|Q7TR14|Q7TR14_MOUSE	tr|A0A286ZNL6|A0A286ZNL6_PIG, tr|A0A5G2RC32|A0A5G2RC32_PIG
OG0000636	sp|P63037|DNJA1_MOUSE	tr|F1SE73|F1SE73_PIG
OG0000636	sp|Q9JMC3|DNJA4_MOUSE	tr|A0A287BAZ4|A0A287BAZ4_PIG, tr|F6PUU1|F6PUU1_PIG
OG0000637	tr|B7XG49|B7XG49_MOUSE	tr|F1S2W0|F1S2W0_PIG
OG0000637	sp|Q5STT6|GAR3_MOUSE	tr|A0A287AZX2|A0A287AZX2_PIG, tr|F1RQD7|F1RQD7_PIG
OG0000638	tr|A0A0B4J1H1|A0A0B4J1H1_MOUSE, tr|A0A0B4J1H0|A0A0B4J1H0_MOUSE	tr|A0A5G2RAH4|A0A5G2RAH4_PIG, tr|A0A286ZQB7|A0A286ZQB7_PIG, tr|A0A287BPA6|A0A287BPA6_PIG
OG0000639	sp|Q8VEJ9|VPS4A_MOUSE	tr|I3LL27|I3LL27_PIG
OG0000639	sp|P46467|VPS4B_MOUSE	tr|A0A5G2R7H0|A0A5G2R7H0_PIG, tr|A0A287BA12|A0A287BA12_PIG
OG0000640	sp|Q921K8|TCAF2_MOUSE	tr|A0A287ABA9|A0A287ABA9_PIG
OG0000640	sp|Q6QR59|TCAF3_MOUSE, sp|Q8BNE1|TCAF1_MOUSE	tr|A0A287A9U0|A0A287A9U0_PIG
OG0000641	sp|Q91V24|ABCA7_MOUSE	tr|A0A287A193|A0A287A193_PIG
OG0000641	sp|P41234|ABCA2_MOUSE, sp|P41233|ABCA1_MOUSE	tr|F1SP55|F1SP55_PIG
OG0000642	sp|Q7TN88|PK1L2_MOUSE, sp|Q2EG98|PK1L3_MOUSE, sp|Q8R526|PK1L1_MOUSE, sp|Q9Z0T6|PKDRE_MOUSE	tr|A0A287A9Y8|A0A287A9Y8_PIG
OG0000643	sp|Q8CGK7|GNAL_MOUSE	tr|I3LRX8|I3LRX8_PIG
OG0000643	sp|Q6R0H7|GNAS1_MOUSE	sp|P29797|GNAS_PIG, tr|A5GFT9|A5GFT9_PIG
OG0000644	sp|P08414|KCC4_MOUSE	tr|A0A286ZKQ7|A0A286ZKQ7_PIG, tr|A0A287ABD6|A0A287ABD6_PIG, tr|A0A286ZXY0|A0A286ZXY0_PIG, tr|F1RLT4|F1RLT4_PIG
OG0000645	sp|Q3UU96|MRCKA_MOUSE	tr|A0A286ZYD7|A0A286ZYD7_PIG, tr|A0A5G2QDV5|A0A5G2QDV5_PIG
OG0000645	sp|Q7TT50|MRCKB_MOUSE	tr|A0A480JSC9|A0A480JSC9_PIG
OG0000646	sp|P0DP28|CALM3_MOUSE, sp|P0DP26|CALM1_MOUSE, sp|P0DP27|CALM2_MOUSE, sp|Q9D6P8|CALL3_MOUSE	tr|F1S145|F1S145_PIG
OG0000647	tr|Q8VGU5|Q8VGU5_MOUSE, tr|Q7TQS4|Q7TQS4_MOUSE, tr|Q8VGU4|Q8VGU4_MOUSE	tr|A0A286ZNA2|A0A286ZNA2_PIG, tr|A0A287AFS5|A0A287AFS5_PIG
OG0000648	sp|P18527|HVM56_MOUSE	tr|A0A286ZIM1|A0A286ZIM1_PIG, tr|A0A287AP28|A0A287AP28_PIG, tr|A0A286ZSX6|A0A286ZSX6_PIG, tr|A0A287BAB3|A0A287BAB3_PIG
OG0000649	sp|P70704|AT8A1_MOUSE	tr|A0A5G2R3D8|A0A5G2R3D8_PIG
OG0000649	sp|P98200|AT8A2_MOUSE	tr|I3LGF0|I3LGF0_PIG, tr|A0A287AFK3|A0A287AFK3_PIG
OG0000650	tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q8VF39|Q8VF39_MOUSE	tr|A0A287BEF2|A0A287BEF2_PIG, tr|A0A287BR29|A0A287BR29_PIG
OG0000651	sp|P01849|TCA_MOUSE, tr|A0A075B662|A0A075B662_MOUSE	tr|A0A287B132|A0A287B132_PIG, tr|A0A287BGD5|A0A287BGD5_PIG, tr|A0A287AJ88|A0A287AJ88_PIG
OG0000652	tr|Q8VF82|Q8VF82_MOUSE, tr|Q7TS32|Q7TS32_MOUSE, tr|Q7TS33|Q7TS33_MOUSE, tr|Q8VG27|Q8VG27_MOUSE	tr|A0A287A549|A0A287A549_PIG
OG0000653	tr|Q8C6B0|Q8C6B0_MOUSE, tr|G3X9G9|G3X9G9_MOUSE, tr|Q5I0W6|Q5I0W6_MOUSE	tr|A0A287A0X8|A0A287A0X8_PIG, tr|A0A287A6C1|A0A287A6C1_PIG
OG0000654	tr|Q8VGY7|Q8VGY7_MOUSE, tr|Q0VBH3|Q0VBH3_MOUSE, tr|E9Q564|E9Q564_MOUSE	tr|A0A287BJ17|A0A287BJ17_PIG, tr|A0A286ZIC9|A0A286ZIC9_PIG
OG0000655	sp|Q8BQC8|RBAK_MOUSE	tr|F1S9G1|F1S9G1_PIG
OG0000655	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A5G2QNY5|A0A5G2QNY5_PIG, tr|I3LL99|I3LL99_PIG
OG0000656	sp|Q9ERA0|TFCP2_MOUSE	tr|A0A5G2R4D5|A0A5G2R4D5_PIG
OG0000656	sp|Q3UNW5|TF2L1_MOUSE	tr|F1RWL0|F1RWL0_PIG, tr|F1RXX5|F1RXX5_PIG
OG0000657	tr|Q8VFU4|Q8VFU4_MOUSE, tr|Q7TRH2|Q7TRH2_MOUSE	tr|F1SR41|F1SR41_PIG, tr|A0A287A6J0|A0A287A6J0_PIG, tr|F1SR35|F1SR35_PIG
OG0000658	tr|A2BHR0|A2BHR0_MOUSE, sp|Q8K1H9|OBP2A_MOUSE	tr|A0A5G2QCL8|A0A5G2QCL8_PIG, sp|P53715|LCN1_PIG, tr|A0A5G2RAF6|A0A5G2RAF6_PIG
OG0000659	sp|Q61301|CTNA2_MOUSE	tr|I3LV18|I3LV18_PIG
OG0000659	sp|O88327|CTNL1_MOUSE, sp|P26231|CTNA1_MOUSE	tr|F1RGJ2|F1RGJ2_PIG
OG0000660	sp|Q9Z0R9|FADS2_MOUSE	tr|F1RKS7|F1RKS7_PIG
OG0000660	sp|Q0VAX3|FS2P1_MOUSE, sp|Q9JJE7|FADS3_MOUSE	tr|D2D0E5|D2D0E5_PIG
OG0000661	sp|Q6DIA9|FBX27_MOUSE	tr|A0A286ZW56|A0A286ZW56_PIG, tr|F1RI37|F1RI37_PIG, tr|A0A5G2QH53|A0A5G2QH53_PIG, tr|A0A287AB25|A0A287AB25_PIG
OG0000662	tr|A0A0N4SVP8|A0A0N4SVP8_MOUSE, tr|E9PV04|E9PV04_MOUSE	sp|A6M931|IF4A3_PIG
OG0000662	sp|Q91VC3|IF4A3_MOUSE	tr|A0A5S8KY97|A0A5S8KY97_PIG
OG0000663	tr|A0A0U1RPZ4|A0A0U1RPZ4_MOUSE	tr|F1S6L6|F1S6L6_PIG, tr|A0A287BHL8|A0A287BHL8_PIG, tr|F1S6L5|F1S6L5_PIG, tr|A0A5G2R6Y6|A0A5G2R6Y6_PIG
OG0000664	sp|O88445|AURKC_MOUSE	tr|A0A287BBS5|A0A287BBS5_PIG
OG0000664	sp|O70126|AURKB_MOUSE	sp|Q9N0X0|AURKB_PIG, tr|A0A5G2QDV6|A0A5G2QDV6_PIG
OG0000665	sp|Q8BH04|PCKGM_MOUSE	tr|A0A287AES5|A0A287AES5_PIG
OG0000665	sp|Q9Z2V4|PCKGC_MOUSE	sp|A0A4X1UM84|PCKGC_PIG, tr|A0A6R3G414|A0A6R3G414_PIG
OG0000666	sp|Q6J756|CAN11_MOUSE	tr|A0A5G2RBB8|A0A5G2RBB8_PIG
OG0000666	sp|O35350|CAN1_MOUSE	tr|I3LD38|I3LD38_PIG, sp|P35750|CAN1_PIG
OG0000668	sp|Q9WVP9|MX2_MOUSE, sp|Q3UD61|MX1_MOUSE	sp|A7VK00|MX2_PIG, sp|P27594|MX1_PIG, tr|K7GKN2|K7GKN2_PIG
OG0000669	sp|Q8K3Z9|PO121_MOUSE	tr|A0A287ACY9|A0A287ACY9_PIG, tr|F1SRM6|F1SRM6_PIG, tr|A0A5G2QM62|A0A5G2QM62_PIG, tr|A0A5G2QVI9|A0A5G2QVI9_PIG
OG0000670	tr|Q7TQS8|Q7TQS8_MOUSE	tr|A0A287B0P1|A0A287B0P1_PIG, tr|A0A287A387|A0A287A387_PIG
OG0000670	sp|Q8VGD6|OLF56_MOUSE	tr|A0A287ARF5|A0A287ARF5_PIG
OG0000671	tr|G3X9T1|G3X9T1_MOUSE, tr|Q5PPQ4|Q5PPQ4_MOUSE, tr|Q80V81|Q80V81_MOUSE, tr|Q8BIV1|Q8BIV1_MOUSE	tr|F1RP89|F1RP89_PIG
OG0000672	tr|J3QPI0|J3QPI0_MOUSE, tr|Q8BUY2|Q8BUY2_MOUSE, tr|W4VSP6|W4VSP6_MOUSE, tr|B2RWD2|B2RWD2_MOUSE	tr|A0A286ZZV0|A0A286ZZV0_PIG
OG0000673	sp|Q3U497|CLM7_MOUSE	tr|F1RV51|F1RV51_PIG, tr|A0A287B224|A0A287B224_PIG, tr|A0A287AYU8|A0A287AYU8_PIG, tr|A0A286ZYG6|A0A286ZYG6_PIG
OG0000674	sp|P04212|TVB4_MOUSE, tr|A0A0B4J1H4|A0A0B4J1H4_MOUSE	tr|A0A5G2QH11|A0A5G2QH11_PIG, tr|F1SRS5|F1SRS5_PIG, tr|A0A5G2RFK8|A0A5G2RFK8_PIG
OG0000675	tr|A0A2I3BR00|A0A2I3BR00_MOUSE, tr|Q8VFV3|Q8VFV3_MOUSE, tr|A0A140LHS9|A0A140LHS9_MOUSE	tr|I3LLX7|I3LLX7_PIG, tr|A0A287BA33|A0A287BA33_PIG
OG0000676	sp|P11404|FABPH_MOUSE	sp|O02772|FABPH_PIG, tr|F1STV2|F1STV2_PIG, tr|I3LTW5|I3LTW5_PIG, tr|A0A287B9U4|A0A287B9U4_PIG
OG0000677	sp|P97479|MYO7A_MOUSE	tr|F1SUK5|F1SUK5_PIG
OG0000677	sp|Q99MZ6|MYO7B_MOUSE	sp|Q28970|MYO7A_PIG, tr|F1RQH5|F1RQH5_PIG
OG0000678	sp|Q91VW9|ZKSC3_MOUSE, tr|E9PUD6|E9PUD6_MOUSE, tr|Q8BGS5|Q8BGS5_MOUSE, tr|Q5SZT6|Q5SZT6_MOUSE	tr|F1S1S1|F1S1S1_PIG
OG0000679	tr|Q8VGJ3|Q8VGJ3_MOUSE	tr|F1SQ96|F1SQ96_PIG, tr|F1SQC9|F1SQC9_PIG, tr|A0A287AD94|A0A287AD94_PIG, tr|A0A287APP0|A0A287APP0_PIG
OG0000680	tr|Q3UW09|Q3UW09_MOUSE	tr|F1SD34|F1SD34_PIG, tr|A0A5G2QN91|A0A5G2QN91_PIG, tr|I3LQ76|I3LQ76_PIG, sp|Q29100|UPTI_PIG
OG0000681	sp|P21107|TPM3_MOUSE	sp|A1XQV4|TPM3_PIG
OG0000681	sp|P58774|TPM2_MOUSE	tr|A0A5G2RN24|A0A5G2RN24_PIG, tr|A0A287AD38|A0A287AD38_PIG
OG0000682	sp|Q8CF93|GLT13_MOUSE	tr|A0A287B9E6|A0A287B9E6_PIG
OG0000682	sp|O08912|GALT1_MOUSE	tr|F1SAI6|F1SAI6_PIG, sp|Q29121|GALT1_PIG
OG0000683	sp|Q9D7U6|CLD22_MOUSE, tr|D3YXJ9|D3YXJ9_MOUSE	tr|I3LDL2|I3LDL2_PIG, tr|C3VMW7|C3VMW7_PIG, tr|F1SM66|F1SM66_PIG
OG0000684	sp|P39039|MBL1_MOUSE	sp|Q5U9S1|MBL1_PIG
OG0000684	sp|P41317|MBL2_MOUSE	sp|Q9XSW3|MBL2_PIG, tr|A0A5G2QFX9|A0A5G2QFX9_PIG
OG0000685	sp|P15089|CBPA3_MOUSE	tr|A0A286ZYQ1|A0A286ZYQ1_PIG
OG0000685	tr|B2RS76|B2RS76_MOUSE	tr|F1SKC7|F1SKC7_PIG, sp|P09955|CBPB1_PIG
OG0000686	tr|B2RPU8|B2RPU8_MOUSE	tr|A0A287AJN8|A0A287AJN8_PIG, tr|F1S1Q2|F1S1Q2_PIG, tr|I3LJQ6|I3LJQ6_PIG, tr|A0A287BSF1|A0A287BSF1_PIG
OG0000687	sp|P09041|PGK2_MOUSE	sp|Q6RI85|PGK2_PIG
OG0000687	sp|P09411|PGK1_MOUSE	tr|F1RPH0|F1RPH0_PIG, sp|Q7SIB7|PGK1_PIG
OG0000688	sp|P08042|ZFP1_MOUSE	tr|A0A287AVC8|A0A287AVC8_PIG, tr|A0A5G2R8B3|A0A5G2R8B3_PIG, tr|A0A5G2R548|A0A5G2R548_PIG, tr|A0A5G2QDG8|A0A5G2QDG8_PIG
OG0000689	sp|P63330|PP2AA_MOUSE	sp|P67776|PP2AA_PIG
OG0000689	sp|P62715|PP2AB_MOUSE	sp|P11493|PP2AB_PIG, tr|A0A5G2R6Q5|A0A5G2R6Q5_PIG
OG0000690	sp|P11499|HS90B_MOUSE	tr|A0A286ZKC5|A0A286ZKC5_PIG
OG0000690	sp|P07901|HS90A_MOUSE	sp|O02705|HS90A_PIG, tr|A0A287AQK7|A0A287AQK7_PIG
OG0000691	tr|E9Q547|E9Q547_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE	tr|F1RHR2|F1RHR2_PIG, tr|A0A5G2QL22|A0A5G2QL22_PIG, tr|A0A5G2QU75|A0A5G2QU75_PIG
OG0000692	tr|B4XVQ1|B4XVQ1_MOUSE, sp|Q8BVM9|PH11A_MOUSE, tr|B4XVP9|B4XVP9_MOUSE, sp|A6H5X4|PHF11_MOUSE	tr|F1RK19|F1RK19_PIG
OG0000693	tr|Q8VFY0|Q8VFY0_MOUSE	tr|A0A5G2QDY2|A0A5G2QDY2_PIG
OG0000693	tr|Q7TRY4|Q7TRY4_MOUSE	tr|F1RV61|F1RV61_PIG, tr|F1RV60|F1RV60_PIG
OG0000694	sp|P16125|LDHB_MOUSE	tr|A0A5G2RCU2|A0A5G2RCU2_PIG, sp|P00336|LDHB_PIG, tr|A0A5G2QHL7|A0A5G2QHL7_PIG, tr|F1SR05|F1SR05_PIG
OG0000695	tr|A2CG22|A2CG22_MOUSE, tr|A2CG29|A2CG29_MOUSE	tr|F6PX94|F6PX94_PIG, tr|A5A8X2|A5A8X2_PIG, tr|K7GLA3|K7GLA3_PIG
OG0000696	sp|Q9CZR2|NALD2_MOUSE	tr|F1STP2|F1STP2_PIG
OG0000696	sp|O35409|FOLH1_MOUSE	tr|A0A287BBW9|A0A287BBW9_PIG, sp|O77564|FOLH1_PIG
OG0000697	sp|Q6NZL8|SCUB1_MOUSE	tr|A0A287BBU5|A0A287BBU5_PIG
OG0000697	sp|P08399|PHXR5_MOUSE, sp|Q9JJS0|SCUB2_MOUSE	tr|F1RNJ7|F1RNJ7_PIG
OG0000698	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A287BRJ0|A0A287BRJ0_PIG, tr|I3LDA6|I3LDA6_PIG, tr|A0A5G2RNC3|A0A5G2RNC3_PIG, tr|F1S7G9|F1S7G9_PIG
OG0000699	sp|P63163|RSMN_MOUSE	tr|I3LBT8|I3LBT8_PIG
OG0000699	sp|P27048|RSMB_MOUSE	tr|A0A287BAW7|A0A287BAW7_PIG, tr|A0A287AG39|A0A287AG39_PIG
OG0000700	sp|P62482|KCAB2_MOUSE	tr|A0A287AU00|A0A287AU00_PIG
OG0000700	sp|P63143|KCAB1_MOUSE	tr|A0A287BA57|A0A287BA57_PIG, tr|A0A5G2QD41|A0A5G2QD41_PIG
OG0000701	tr|Q923D1|Q923D1_MOUSE	tr|A0A287A9U6|A0A287A9U6_PIG, tr|A0A287ABG6|A0A287ABG6_PIG, tr|I3L8Q6|I3L8Q6_PIG, tr|A0A480XVD5|A0A480XVD5_PIG
OG0000702	tr|Q8VGE3|Q8VGE3_MOUSE, sp|Q60893|OL151_MOUSE	tr|A0A287BHN8|A0A287BHN8_PIG, tr|F1S7B5|F1S7B5_PIG, tr|F1S7B6|F1S7B6_PIG
OG0000703	tr|Q7TS19|Q7TS19_MOUSE	tr|F1SP64|F1SP64_PIG, tr|A0A287BP25|A0A287BP25_PIG, tr|F1SP58|F1SP58_PIG, tr|F1SP57|F1SP57_PIG
OG0000724	sp|P01027|CO3_MOUSE	tr|A0A5G2QAW9|A0A5G2QAW9_PIG, tr|A0A5G2QJA9|A0A5G2QJA9_PIG, sp|P01025|CO3_PIG
OG0000725	sp|Q9DBC7|KAP0_MOUSE, sp|P12849|KAP1_MOUSE	sp|P07802|KAP0_PIG, tr|A0A287AJA4|A0A287AJA4_PIG
OG0000726	sp|P17427|AP2A2_MOUSE	tr|A0A5G2R890|A0A5G2R890_PIG
OG0000726	sp|P17426|AP2A1_MOUSE	tr|F1RH60|F1RH60_PIG
OG0000727	sp|Q60675|LAMA2_MOUSE	tr|A0A287A027|A0A287A027_PIG
OG0000727	sp|P19137|LAMA1_MOUSE	tr|A0A287AG36|A0A287AG36_PIG
OG0000728	sp|P47740|AL3A2_MOUSE	tr|A0A287BBJ7|A0A287BBJ7_PIG
OG0000728	sp|P47739|AL3A1_MOUSE	tr|A0A286ZP99|A0A286ZP99_PIG
OG0000729	sp|Q6ZWQ7|SPCS3_MOUSE, sp|C0HK79|ARXS1_MOUSE, sp|C0HK80|ARXS2_MOUSE	tr|F2Z5C8|F2Z5C8_PIG
OG0000730	sp|Q6PFG8|OLIG3_MOUSE, sp|Q8C6A8|BHE22_MOUSE, sp|Q8BGW3|BHE23_MOUSE	tr|F1S693|F1S693_PIG
OG0000731	sp|Q9Z1T1|AP3B1_MOUSE	tr|F1S2G1|F1S2G1_PIG
OG0000731	sp|Q9JME5|AP3B2_MOUSE	tr|I3LRS3|I3LRS3_PIG
OG0000732	tr|A0A0A6YW14|A0A0A6YW14_MOUSE, sp|P01882|IGHDM_MOUSE, sp|P01881|IGHD_MOUSE	tr|A0A287ANX9|A0A287ANX9_PIG
OG0000733	sp|P24822|PPBI_MOUSE, tr|F8VPQ6|F8VPQ6_MOUSE, sp|P24823|PPBN_MOUSE	tr|A0A287A6H7|A0A287A6H7_PIG
OG0000734	sp|P27681|GBRG3_MOUSE	tr|A0A287BPD9|A0A287BPD9_PIG
OG0000734	tr|A2AMW3|A2AMW3_MOUSE	tr|A0A5G2QBM6|A0A5G2QBM6_PIG
OG0000735	sp|P57785|LFTY2_MOUSE, sp|Q64280|LFTY1_MOUSE	tr|I3L695|I3L695_PIG, tr|F1S8R0|F1S8R0_PIG
OG0000736	sp|Q920E3|KCNH5_MOUSE	tr|A0A287B7R9|A0A287B7R9_PIG
OG0000736	sp|Q60603|KCNH1_MOUSE	tr|A0A287ACY3|A0A287ACY3_PIG
OG0000737	tr|Q7TRT9|Q7TRT9_MOUSE, tr|Q8VGL2|Q8VGL2_MOUSE	tr|A0A287AXA2|A0A287AXA2_PIG, tr|F1SCT1|F1SCT1_PIG
OG0000738	sp|Q8VDR9|DOCK6_MOUSE	tr|A0A287B6K8|A0A287B6K8_PIG
OG0000738	sp|Q8R1A4|DOCK7_MOUSE	tr|A0A286ZJI5|A0A286ZJI5_PIG
OG0000739	sp|Q8BH16|FBXL2_MOUSE	tr|A0A287AFN0|A0A287AFN0_PIG
OG0000739	sp|Q9CZV8|FXL20_MOUSE	tr|A0A5G2QKY8|A0A5G2QKY8_PIG
OG0000740	sp|Q9D1G0|DNSL2_MOUSE, sp|P49183|DNAS1_MOUSE	sp|P11936|DNAS1_PIG, tr|A0A287BNY8|A0A287BNY8_PIG
OG0000741	sp|Q99NF8|RBP17_MOUSE	tr|F1RRY0|F1RRY0_PIG
OG0000741	sp|Q9EPK7|XPO7_MOUSE	tr|A0A286ZUU8|A0A286ZUU8_PIG
OG0000742	tr|E9PX31|E9PX31_MOUSE, tr|G5E8L7|G5E8L7_MOUSE	tr|A0A287BM70|A0A287BM70_PIG, tr|A0A287BBM3|A0A287BBM3_PIG
OG0000743	tr|A2BH01|A2BH01_MOUSE	tr|F1S2C7|F1S2C7_PIG
OG0000743	sp|P70281|SYCP3_MOUSE	tr|A0A286ZSN7|A0A286ZSN7_PIG
OG0000744	sp|Q99PT9|KIF19_MOUSE	tr|I3LEH8|I3LEH8_PIG
OG0000744	tr|A0A1B0GSG7|A0A1B0GSG7_MOUSE	tr|A0A287BQR5|A0A287BQR5_PIG
OG0000745	sp|Q8BZJ7|DCNL2_MOUSE, tr|A0A1Y7VP24|A0A1Y7VP24_MOUSE, sp|Q9QZ73|DCNL1_MOUSE	tr|A0A286ZYM7|A0A286ZYM7_PIG
OG0000746	sp|P15116|CADH2_MOUSE	tr|F1SAM3|F1SAM3_PIG
OG0000746	sp|P39038|CADH4_MOUSE	tr|I3LFD4|I3LFD4_PIG
OG0000747	sp|P28667|MRP_MOUSE	tr|A0A287B4N8|A0A287B4N8_PIG
OG0000747	sp|P26645|MARCS_MOUSE	tr|A0A287BRL8|A0A287BRL8_PIG
OG0000748	sp|Q99LJ7|RCBT2_MOUSE	tr|A0A287AQ61|A0A287AQ61_PIG
OG0000748	sp|Q6NXM2|RCBT1_MOUSE	tr|A0A287AIT4|A0A287AIT4_PIG
OG0000749	sp|Q8BG05|ROA3_MOUSE	tr|F2Z5B4|F2Z5B4_PIG, tr|A0A287B004|A0A287B004_PIG, tr|A0A287AIY4|A0A287AIY4_PIG
OG0000750	sp|O70585|DTNB_MOUSE	tr|A0A287BMV0|A0A287BMV0_PIG
OG0000750	sp|Q9D2N4|DTNA_MOUSE	tr|A0A287ADQ2|A0A287ADQ2_PIG
OG0000751	sp|Q9CUN6|SMUF1_MOUSE	tr|A0A5G2QY82|A0A5G2QY82_PIG
OG0000751	sp|A2A5Z6|SMUF2_MOUSE	tr|A0A287ATZ7|A0A287ATZ7_PIG
OG0000752	sp|Q68SN8|FCRL5_MOUSE	tr|A0A5G2QI67|A0A5G2QI67_PIG, tr|I3L6A1|I3L6A1_PIG, tr|A0A286ZQ90|A0A286ZQ90_PIG
OG0000753	sp|Q7TSS2|UB2Q1_MOUSE, tr|Q8BW45|Q8BW45_MOUSE, sp|Q8K2Z8|UB2Q2_MOUSE	tr|F1RGM7|F1RGM7_PIG
OG0000754	sp|P00184|CP1A1_MOUSE	tr|F1SIE9|F1SIE9_PIG
OG0000754	sp|P00186|CP1A2_MOUSE	tr|F1SJ26|F1SJ26_PIG
OG0000755	sp|P18242|CATD_MOUSE, sp|P70269|CATE_MOUSE	sp|P00795|CATD_PIG, tr|A0A286ZX26|A0A286ZX26_PIG
OG0000756	sp|Q91XD2|LIMS2_MOUSE	tr|A0A286ZK92|A0A286ZK92_PIG
OG0000756	sp|Q99JW4|LIMS1_MOUSE	tr|A0A287BG02|A0A287BG02_PIG
OG0000757	sp|P97361|BPIA1_MOUSE, sp|Q9CQX3|BPIA5_MOUSE	tr|K7GS01|K7GS01_PIG, sp|Q5XW65|BPIA1_PIG
OG0000758	sp|Q9CWP4|LY6K_MOUSE, sp|P0DP59|SLUR2_MOUSE, tr|Q9CQ11|Q9CQ11_MOUSE	tr|A0A287ALH7|A0A287ALH7_PIG
OG0000759	sp|P16092|FGFR1_MOUSE	tr|K7GQJ1|K7GQJ1_PIG
OG0000759	sp|P21803|FGFR2_MOUSE	tr|K7GQY0|K7GQY0_PIG
OG0000760	sp|Q60590|A1AG1_MOUSE, sp|Q63805|A1AG3_MOUSE, sp|P07361|A1AG2_MOUSE	tr|A0A5G2R0I4|A0A5G2R0I4_PIG
OG0000762	tr|Q9D9S4|Q9D9S4_MOUSE, tr|A2BG94|A2BG94_MOUSE, tr|A3KG45|A3KG45_MOUSE	tr|A0A5G2QRM8|A0A5G2QRM8_PIG
OG0000763	sp|Q3UWR2|KHD1A_MOUSE, sp|Q4KL78|KHD1C_MOUSE, sp|P0C7A0|KHD1B_MOUSE	tr|A0A5G2RGZ8|A0A5G2RGZ8_PIG
OG0000765	sp|Q00262|STX2_MOUSE, sp|O35526|STX1A_MOUSE, sp|P61264|STX1B_MOUSE	tr|A0A5G2RCE1|A0A5G2RCE1_PIG
OG0000766	sp|Q3UTB7|FOXR1_MOUSE	tr|F1SAJ1|F1SAJ1_PIG
OG0000766	sp|Q3UM89|FOXR2_MOUSE	tr|I3LPM3|I3LPM3_PIG
OG0000767	sp|Q61909|MTG8_MOUSE	tr|F1RY37|F1RY37_PIG
OG0000767	sp|O54972|MTG16_MOUSE	tr|A0A480Z5S7|A0A480Z5S7_PIG
OG0000768	sp|O55234|PSB5_MOUSE	sp|Q29576|PSB8_PIG
OG0000768	sp|P28063|PSB8_MOUSE	tr|A0A287A1Z0|A0A287A1Z0_PIG
OG0000769	sp|P05555|ITAM_MOUSE, sp|Q3V0T4|ITAD_MOUSE, sp|Q9QXH4|ITAX_MOUSE	tr|F1RIS4|F1RIS4_PIG
OG0000770	sp|P15539|C11B2_MOUSE, tr|Q3TG86|Q3TG86_MOUSE	tr|W0FJN1|W0FJN1_PIG, sp|Q29552|C11B1_PIG
OG0000771	sp|B1AY15|UBP51_MOUSE	tr|F1RTR5|F1RTR5_PIG
OG0000771	sp|Q5DU02|UBP22_MOUSE	tr|A0A286ZK36|A0A286ZK36_PIG
OG0000772	tr|Q8C6G0|Q8C6G0_MOUSE, sp|Q8VC49|IF27B_MOUSE, sp|Q8R412|IF27A_MOUSE	tr|A0A287AXI5|A0A287AXI5_PIG
OG0000773	sp|Q61627|GRID1_MOUSE	tr|F1SEP5|F1SEP5_PIG
OG0000773	sp|Q61625|GRID2_MOUSE	tr|F1RWW0|F1RWW0_PIG
