Orthogroup	Mus_musculus	Mus_spicilegus
OG0001003	sp|O35379|MRP1_MOUSE	tr|A0A8C6HRG8|A0A8C6HRG8_MUSSI
OG0001003	sp|B2RX12|MRP3_MOUSE	tr|A0A8C6GN36|A0A8C6GN36_MUSSI
OG0001004	tr|Q5NC59|Q5NC59_MOUSE, tr|Q7TRZ9|Q7TRZ9_MOUSE, tr|Q5NC55|Q5NC55_MOUSE	tr|A0A8C6HRG3|A0A8C6HRG3_MUSSI
OG0001005	sp|Q80XI4|PI42B_MOUSE	tr|A0A8C6HE52|A0A8C6HE52_MUSSI
OG0001005	sp|O70172|PI42A_MOUSE	tr|A0A8C6G8K5|A0A8C6G8K5_MUSSI
OG0001006	tr|Q8VFX1|Q8VFX1_MOUSE	tr|A0A8C6H9S2|A0A8C6H9S2_MUSSI
OG0001006	tr|Q8VFW9|Q8VFW9_MOUSE	tr|A0A8C6HBF6|A0A8C6HBF6_MUSSI
OG0001007	sp|Q61495|DSG1A_MOUSE, sp|Q7TSF1|DSG1B_MOUSE, sp|Q7TSF0|DSG1C_MOUSE	tr|A0A8C6GBC5|A0A8C6GBC5_MUSSI
OG0001008	sp|Q60885|OLF9_MOUSE	tr|A0A8C6I9L7|A0A8C6I9L7_MUSSI
OG0001008	tr|Q8VGC1|Q8VGC1_MOUSE	tr|A0A8C6IDI4|A0A8C6IDI4_MUSSI
OG0001009	sp|Q8BPM2|M4K5_MOUSE	tr|A0A8C6IEL0|A0A8C6IEL0_MUSSI
OG0001009	sp|Q99JP0|M4K3_MOUSE	tr|A0A8C6GJJ4|A0A8C6GJJ4_MUSSI
OG0001010	sp|Q9ES28|ARHG7_MOUSE	tr|A0A8C6MT02|A0A8C6MT02_MUSSI
OG0001010	sp|Q8K4I3|ARHG6_MOUSE	tr|A0A8C6MVZ0|A0A8C6MVZ0_MUSSI
OG0001011	tr|E9Q546|E9Q546_MOUSE	tr|A0A8C6MQN0|A0A8C6MQN0_MUSSI
OG0001011	tr|Q7TRS6|Q7TRS6_MOUSE	tr|A0A8C6GDQ4|A0A8C6GDQ4_MUSSI
OG0001012	sp|Q3ULJ0|GPD1L_MOUSE	tr|A0A8C6GAF0|A0A8C6GAF0_MUSSI
OG0001012	sp|P13707|GPDA_MOUSE	tr|A0A8C6MRN3|A0A8C6MRN3_MUSSI
OG0001013	sp|Q8R2W9|PANK3_MOUSE	tr|A0A8C6GN46|A0A8C6GN46_MUSSI
OG0001013	sp|Q7M753|PANK2_MOUSE	tr|A0A8C6H6L4|A0A8C6H6L4_MUSSI
OG0001014	sp|Q80U19|DAAM2_MOUSE	tr|A0A8C6IJB5|A0A8C6IJB5_MUSSI
OG0001014	sp|Q8BPM0|DAAM1_MOUSE	tr|A0A8C6I1H0|A0A8C6I1H0_MUSSI
OG0001015	sp|Q8R0Z2|ENOX2_MOUSE	tr|A0A8C6H527|A0A8C6H527_MUSSI
OG0001015	sp|Q8BHR2|ENOX1_MOUSE	tr|A0A8C6HSP9|A0A8C6HSP9_MUSSI
OG0001016	tr|Q920G5|Q920G5_MOUSE	tr|A0A8C6IIX9|A0A8C6IIX9_MUSSI
OG0001016	tr|Q7TRN0|Q7TRN0_MOUSE	tr|A0A8C6IMG8|A0A8C6IMG8_MUSSI
OG0001017	sp|Q9EPQ1|TLR1_MOUSE	tr|A0A8C6MTU1|A0A8C6MTU1_MUSSI
OG0001017	sp|Q9EPW9|TLR6_MOUSE	tr|A0A8C6GV32|A0A8C6GV32_MUSSI
OG0001018	sp|O55125|NIPS1_MOUSE	tr|A0A8C6MXQ5|A0A8C6MXQ5_MUSSI
OG0001018	sp|O55126|NIPS2_MOUSE	tr|A0A8C6GFH8|A0A8C6GFH8_MUSSI
OG0001019	sp|Q9Z1W9|STK39_MOUSE	tr|A0A8C6H359|A0A8C6H359_MUSSI
OG0001019	sp|Q6P9R2|OXSR1_MOUSE	tr|A0A8C6GDE0|A0A8C6GDE0_MUSSI
OG0001021	sp|P81270|ERG_MOUSE	tr|A0A8C6HFY8|A0A8C6HFY8_MUSSI
OG0001021	sp|P26323|FLI1_MOUSE	tr|A0A8C6GTF9|A0A8C6GTF9_MUSSI
OG0001022	sp|P69566|RANB9_MOUSE	tr|A0A8C6GF66|A0A8C6GF66_MUSSI
OG0001022	sp|Q6VN19|RBP10_MOUSE	tr|A0A8C6HC55|A0A8C6HC55_MUSSI
OG0001023	sp|Q9CQP2|TPPC2_MOUSE	tr|A0A8C6GLG9|A0A8C6GLG9_MUSSI
OG0001023	tr|Q8R3W2|Q8R3W2_MOUSE	tr|A0A8C6HSL3|A0A8C6HSL3_MUSSI
OG0001024	tr|E9Q840|E9Q840_MOUSE	tr|A0A8C6MYS9|A0A8C6MYS9_MUSSI
OG0001024	tr|E9Q9Z0|E9Q9Z0_MOUSE	tr|A0A8C6HIZ3|A0A8C6HIZ3_MUSSI
OG0001025	sp|Q8CGV2|TPH2_MOUSE	tr|A0A8C6MY91|A0A8C6MY91_MUSSI
OG0001025	sp|P17532|TPH1_MOUSE	tr|A0A8C6I7M9|A0A8C6I7M9_MUSSI
OG0001026	sp|Q9WUI1|MK11_MOUSE	tr|A0A8C6HR58|A0A8C6HR58_MUSSI
OG0001026	sp|P47811|MK14_MOUSE	tr|A0A8C6GS91|A0A8C6GS91_MUSSI
OG0001027	sp|P51125|ICAL_MOUSE	tr|A0A8C6I2R7|A0A8C6I2R7_MUSSI, tr|A0A8C6HM78|A0A8C6HM78_MUSSI, tr|A0A8C6HJP3|A0A8C6HJP3_MUSSI
OG0001028	sp|P60007|APC15_MOUSE, tr|A0A140T8L6|A0A140T8L6_MOUSE	tr|A0A8C6HAF4|A0A8C6HAF4_MUSSI, tr|A0A8C6N3V9|A0A8C6N3V9_MUSSI
OG0001029	sp|O54926|SIVA_MOUSE	tr|A0A8C6G8S2|A0A8C6G8S2_MUSSI, tr|A0A8C6HLX9|A0A8C6HLX9_MUSSI, tr|A0A8C6N448|A0A8C6N448_MUSSI
OG0001030	sp|P36898|BMR1B_MOUSE	tr|A0A8C6I4H9|A0A8C6I4H9_MUSSI
OG0001030	sp|P36895|BMR1A_MOUSE	tr|A0A8C6IBX8|A0A8C6IBX8_MUSSI
OG0001031	sp|P58544|BTBD1_MOUSE	tr|A0A8C6GC58|A0A8C6GC58_MUSSI
OG0001031	tr|E9PUS2|E9PUS2_MOUSE	tr|A0A8C6HSQ6|A0A8C6HSQ6_MUSSI
OG0001032	sp|P50396|GDIA_MOUSE	tr|A0A8C6N2A0|A0A8C6N2A0_MUSSI
OG0001032	sp|Q61598|GDIB_MOUSE	tr|A0A8C6N692|A0A8C6N692_MUSSI
OG0001033	sp|Q9ESD7|DYSF_MOUSE	tr|A0A8C6IJ54|A0A8C6IJ54_MUSSI
OG0001033	sp|Q69ZN7|MYOF_MOUSE	tr|A0A8C6G780|A0A8C6G780_MUSSI
OG0001034	sp|Q6P1Z5|PED1A_MOUSE	tr|A0A8C6GB00|A0A8C6GB00_MUSSI
OG0001034	sp|Q8BGX1|PED1B_MOUSE	tr|A0A8C6N327|A0A8C6N327_MUSSI
OG0001035	tr|A0A140LHT7|A0A140LHT7_MOUSE	tr|A0A8C6IHD8|A0A8C6IHD8_MUSSI
OG0001035	tr|A0A140LHS7|A0A140LHS7_MOUSE	tr|A0A8C6IKG4|A0A8C6IKG4_MUSSI
OG0001036	tr|Q8VGC7|Q8VGC7_MOUSE	tr|A0A8C6I919|A0A8C6I919_MUSSI
OG0001036	tr|L7MU59|L7MU59_MOUSE	tr|A0A8C6I8H2|A0A8C6I8H2_MUSSI
OG0001037	tr|O08797|O08797_MOUSE	tr|A0A8C6H374|A0A8C6H374_MUSSI
OG0001037	tr|Q9DAV6|Q9DAV6_MOUSE	tr|A0A8C6H3C3|A0A8C6H3C3_MUSSI
OG0001038	sp|P35561|KCNJ2_MOUSE	tr|A0A8C6HEJ3|A0A8C6HEJ3_MUSSI
OG0001038	sp|P52187|KCJ12_MOUSE	tr|A0A8C6HPU4|A0A8C6HPU4_MUSSI
OG0001039	sp|P62852|RS25_MOUSE	tr|A0A8C6GMB7|A0A8C6GMB7_MUSSI, tr|A0A8C6MPU6|A0A8C6MPU6_MUSSI, tr|A0A8C6HNJ6|A0A8C6HNJ6_MUSSI
OG0001040	tr|Q7TR40|Q7TR40_MOUSE	tr|A0A8C6H507|A0A8C6H507_MUSSI
OG0001040	tr|Q0VBI4|Q0VBI4_MOUSE	tr|A0A8C6H327|A0A8C6H327_MUSSI
OG0001041	sp|Q6V4S5|SDK2_MOUSE	tr|A0A8C6GUA3|A0A8C6GUA3_MUSSI
OG0001041	sp|Q3UH53|SDK1_MOUSE	tr|A0A8C6IFB4|A0A8C6IFB4_MUSSI
OG0001042	sp|P69744|TRPV5_MOUSE	tr|A0A8C6MPS9|A0A8C6MPS9_MUSSI
OG0001042	sp|Q91WD2|TRPV6_MOUSE	tr|A0A8C6GC68|A0A8C6GC68_MUSSI
OG0001043	tr|A0A140T8P0|A0A140T8P0_MOUSE	tr|A0A8C6MUT0|A0A8C6MUT0_MUSSI
OG0001043	tr|A0A140T8Q0|A0A140T8Q0_MOUSE	tr|A0A8C6G801|A0A8C6G801_MUSSI
OG0001044	tr|A0A2I3BRV7|A0A2I3BRV7_MOUSE	tr|A0A8C6I5M8|A0A8C6I5M8_MUSSI
OG0001044	tr|E9PVW2|E9PVW2_MOUSE	tr|A0A8C6MYA0|A0A8C6MYA0_MUSSI
OG0001045	tr|E9Q0Q3|E9Q0Q3_MOUSE	tr|A0A8C6GHD1|A0A8C6GHD1_MUSSI
OG0001045	tr|G3UY09|G3UY09_MOUSE	tr|A0A8C6GNT8|A0A8C6GNT8_MUSSI
OG0001046	tr|G5E904|G5E904_MOUSE	tr|A0A8C6I8G1|A0A8C6I8G1_MUSSI
OG0001046	sp|O35403|ST3A1_MOUSE	tr|A0A8C6G7K6|A0A8C6G7K6_MUSSI
OG0001047	sp|P34821|BMP8A_MOUSE	tr|A0A8C6H5C0|A0A8C6H5C0_MUSSI
OG0001047	sp|P55105|BMP8B_MOUSE	tr|A0A8C6H3S5|A0A8C6H3S5_MUSSI
OG0001048	sp|Q8BFZ4|FXL21_MOUSE	tr|A0A8C6HKY0|A0A8C6HKY0_MUSSI
OG0001048	sp|Q8C4V4|FBXL3_MOUSE	tr|A0A8C6H6U4|A0A8C6H6U4_MUSSI
OG0001049	sp|Q9DBJ1|PGAM1_MOUSE	tr|A0A8C6H8V8|A0A8C6H8V8_MUSSI
OG0001049	sp|O70250|PGAM2_MOUSE	tr|A0A8C6HIP8|A0A8C6HIP8_MUSSI
OG0001050	sp|Q8BGE6|ATG4B_MOUSE, tr|A0A0G2JFS9|A0A0G2JFS9_MOUSE, sp|Q8C9S8|ATG4A_MOUSE	tr|A0A8C6MWU4|A0A8C6MWU4_MUSSI
OG0001051	sp|Q91ZR1|RAB4B_MOUSE	tr|A0A8C6I7Z5|A0A8C6I7Z5_MUSSI
OG0001051	sp|P56371|RAB4A_MOUSE	tr|A0A8C6MST3|A0A8C6MST3_MUSSI
OG0001052	sp|P81269|ATF1_MOUSE	tr|A0A8C6GRM9|A0A8C6GRM9_MUSSI, tr|A0A8C6H027|A0A8C6H027_MUSSI, tr|A0A8C6GFQ5|A0A8C6GFQ5_MUSSI
OG0001053	sp|P43135|COT2_MOUSE	tr|A0A8C6GHD3|A0A8C6GHD3_MUSSI
OG0001053	sp|Q60632|COT1_MOUSE	tr|A0A8C6GB74|A0A8C6GB74_MUSSI
OG0001054	sp|Q8BHL5|ELMO2_MOUSE	tr|A0A8C6HWE3|A0A8C6HWE3_MUSSI
OG0001054	sp|Q8BPU7|ELMO1_MOUSE	tr|A0A8C6HHQ6|A0A8C6HHQ6_MUSSI
OG0001055	sp|Q9CQY5|MAGT1_MOUSE	tr|A0A8C6H5H8|A0A8C6H5H8_MUSSI
OG0001055	sp|Q8BTV1|TUSC3_MOUSE	tr|A0A8C6GZG2|A0A8C6GZG2_MUSSI
OG0001056	tr|H3BLP0|H3BLP0_MOUSE	tr|A0A8C6MXT7|A0A8C6MXT7_MUSSI
OG0001056	tr|Q8R2D2|Q8R2D2_MOUSE	tr|A0A8C6HEV2|A0A8C6HEV2_MUSSI
OG0001057	tr|B1ARH2|B1ARH2_MOUSE	tr|A0A8C6HUR2|A0A8C6HUR2_MUSSI
OG0001057	tr|J3QN14|J3QN14_MOUSE	tr|A0A8C6HTT2|A0A8C6HTT2_MUSSI
OG0001058	sp|P70335|ROCK1_MOUSE	tr|A0A8C6N0F3|A0A8C6N0F3_MUSSI
OG0001058	sp|P70336|ROCK2_MOUSE	tr|A0A8C6GZ81|A0A8C6GZ81_MUSSI
OG0001059	sp|Q3TCH7|CUL4A_MOUSE	tr|A0A8C6GKD6|A0A8C6GKD6_MUSSI
OG0001059	sp|A2A432|CUL4B_MOUSE	tr|A0A8C6N4N5|A0A8C6N4N5_MUSSI
OG0001060	sp|Q8BX94|OSBL2_MOUSE	tr|A0A8C6HC39|A0A8C6HC39_MUSSI
OG0001060	sp|Q91XL9|OSBL1_MOUSE	tr|A0A8C6GLD4|A0A8C6GLD4_MUSSI
OG0001061	sp|Q8R0Y6|AL1L1_MOUSE	tr|A0A8C6MSB6|A0A8C6MSB6_MUSSI
OG0001061	sp|Q8K009|AL1L2_MOUSE	tr|A0A8C6G794|A0A8C6G794_MUSSI
OG0001062	sp|Q8VEH3|ARL8A_MOUSE	tr|A0A8C6MXC2|A0A8C6MXC2_MUSSI
OG0001062	sp|Q9CQW2|ARL8B_MOUSE	tr|A0A8C6GU47|A0A8C6GU47_MUSSI
OG0001063	sp|Q9JI18|LRP1B_MOUSE	tr|A0A8C6MQ68|A0A8C6MQ68_MUSSI
OG0001063	sp|Q91ZX7|LRP1_MOUSE	tr|A0A8C6GB05|A0A8C6GB05_MUSSI
OG0001064	tr|Q3TQS0|Q3TQS0_MOUSE	tr|A0A8C6MTH0|A0A8C6MTH0_MUSSI
OG0001064	sp|P14211|CALR_MOUSE	tr|A0A8C6H5C6|A0A8C6H5C6_MUSSI
OG0001065	sp|Q9D7R7|PEPC_MOUSE	tr|A0A8C6IKZ1|A0A8C6IKZ1_MUSSI
OG0001065	sp|P70269|CATE_MOUSE	tr|A0A8C6HZN9|A0A8C6HZN9_MUSSI
OG0001066	tr|A0A494BAW1|A0A494BAW1_MOUSE	tr|A0A8C6HJZ9|A0A8C6HJZ9_MUSSI
OG0001066	tr|A2AQ92|A2AQ92_MOUSE	tr|A0A8C6HM27|A0A8C6HM27_MUSSI
OG0001068	sp|Q8C7M3|TRIM9_MOUSE	tr|A0A8C6IDY3|A0A8C6IDY3_MUSSI
OG0001068	sp|Q505D9|TRI67_MOUSE	tr|A0A8C6HV63|A0A8C6HV63_MUSSI
OG0001069	tr|Q7TRX1|Q7TRX1_MOUSE, tr|Q7TRX2|Q7TRX2_MOUSE	tr|A0A8C6HWX2|A0A8C6HWX2_MUSSI, tr|A0A8C6HV97|A0A8C6HV97_MUSSI
OG0001070	sp|Q8BHJ5|TBL1R_MOUSE	tr|A0A8C6GEL5|A0A8C6GEL5_MUSSI
OG0001070	sp|Q9QXE7|TBL1X_MOUSE	tr|A0A8C6IJT8|A0A8C6IJT8_MUSSI
OG0001071	sp|P70694|DHB5_MOUSE	tr|A0A8C6IFT4|A0A8C6IFT4_MUSSI
OG0001071	tr|Q8VC77|Q8VC77_MOUSE	tr|A0A8C6IDR9|A0A8C6IDR9_MUSSI
OG0001072	sp|Q05769|PGH2_MOUSE	tr|A0A8C6N4V1|A0A8C6N4V1_MUSSI, tr|A0A8C6GLJ4|A0A8C6GLJ4_MUSSI, tr|A0A8C6GT41|A0A8C6GT41_MUSSI
OG0001073	sp|Q8BXA7|PHLP2_MOUSE	tr|A0A8C6MY19|A0A8C6MY19_MUSSI
OG0001073	sp|Q8CHE4|PHLP1_MOUSE	tr|A0A8C6MWA0|A0A8C6MWA0_MUSSI
OG0001074	sp|Q9CXC9|ETV5_MOUSE	tr|A0A8C6MTR9|A0A8C6MTR9_MUSSI, tr|A0A8C6HAR2|A0A8C6HAR2_MUSSI, tr|A0A8C6HLA0|A0A8C6HLA0_MUSSI
OG0001075	sp|Q8K3M5|CABL2_MOUSE	tr|A0A8C6HEK2|A0A8C6HEK2_MUSSI
OG0001075	sp|Q9ESJ1|CABL1_MOUSE	tr|A0A8C6H6F3|A0A8C6H6F3_MUSSI
OG0001076	sp|A7XV07|SKIT8_MOUSE	tr|A0A8C6HRW6|A0A8C6HRW6_MUSSI
OG0001076	sp|A7XV04|SKIT7_MOUSE	tr|A0A8C6HRY7|A0A8C6HRY7_MUSSI
OG0001077	sp|P27046|MA2A1_MOUSE	tr|A0A8C6IHR4|A0A8C6IHR4_MUSSI
OG0001077	sp|Q8BRK9|MA2A2_MOUSE	tr|A0A8C6HCI6|A0A8C6HCI6_MUSSI
OG0001078	sp|Q9Z2V6|HDAC5_MOUSE	tr|A0A8C6IAZ5|A0A8C6IAZ5_MUSSI
OG0001078	sp|Q99N13|HDAC9_MOUSE	tr|A0A8C6GQC6|A0A8C6GQC6_MUSSI
OG0001079	sp|Q3KNA1|MRGB2_MOUSE, sp|Q3UG61|MRGB1_MOUSE, sp|Q3UG50|MRGX2_MOUSE	tr|A0A8C6I820|A0A8C6I820_MUSSI
OG0001080	tr|Q7TRG8|Q7TRG8_MOUSE, tr|Q7TRG9|Q7TRG9_MOUSE, tr|Q8VEY9|Q8VEY9_MOUSE	tr|A0A8C6H9Q6|A0A8C6H9Q6_MUSSI
OG0001081	tr|Q8BY68|Q8BY68_MOUSE	tr|A0A8C6HQ66|A0A8C6HQ66_MUSSI
OG0001081	sp|Q8BFU7|P2Y10_MOUSE	tr|A0A8C6GKF5|A0A8C6GKF5_MUSSI
OG0001082	tr|E9Q725|E9Q725_MOUSE	tr|A0A8C6GCN6|A0A8C6GCN6_MUSSI
OG0001082	tr|Q8VG49|Q8VG49_MOUSE	tr|A0A8C6GS61|A0A8C6GS61_MUSSI
OG0001083	sp|P83882|RL36A_MOUSE	tr|A0A8C6I3E1|A0A8C6I3E1_MUSSI, tr|A0A8C6N495|A0A8C6N495_MUSSI, tr|A0A8C6IDI5|A0A8C6IDI5_MUSSI
OG0001084	tr|Q9EQQ7|Q9EQQ7_MOUSE	tr|A0A8C6H5M8|A0A8C6H5M8_MUSSI
OG0001084	tr|Q8VGZ8|Q8VGZ8_MOUSE	tr|A0A8C6H6H5|A0A8C6H6H5_MUSSI
OG0001085	sp|Q9WUB7|CLCKA_MOUSE	tr|A0A8C6H652|A0A8C6H652_MUSSI
OG0001085	sp|Q9WUB6|CLCKB_MOUSE	tr|A0A8C6MW07|A0A8C6MW07_MUSSI
OG0001086	tr|A0A075B605|A0A075B605_MOUSE, tr|A0A075B643|A0A075B643_MOUSE, tr|A0A075B626|A0A075B626_MOUSE	tr|A0A8C6GBY4|A0A8C6GBY4_MUSSI
OG0001087	sp|O54714|PIAS3_MOUSE	tr|A0A8C6HSA2|A0A8C6HSA2_MUSSI
OG0001087	sp|Q8C5D8|PIAS2_MOUSE	tr|A0A8C6IKT0|A0A8C6IKT0_MUSSI
OG0001088	sp|Q8BMF3|MAON_MOUSE	tr|A0A8C6G890|A0A8C6G890_MUSSI
OG0001088	sp|P06801|MAOX_MOUSE	tr|A0A8C6MYR9|A0A8C6MYR9_MUSSI
OG0001089	tr|K9J6X0|K9J6X0_MOUSE	tr|A0A8C6HFU6|A0A8C6HFU6_MUSSI
OG0001089	tr|Q7TQU5|Q7TQU5_MOUSE	tr|A0A8C6HI17|A0A8C6HI17_MUSSI
OG0001090	tr|E9Q7E4|E9Q7E4_MOUSE, tr|Q91X93|Q91X93_MOUSE, tr|E9PXN1|E9PXN1_MOUSE	tr|A0A8C6ICZ8|A0A8C6ICZ8_MUSSI
OG0001091	tr|A0A075B615|A0A075B615_MOUSE, tr|A0A075B651|A0A075B651_MOUSE, tr|A0A075B638|A0A075B638_MOUSE	tr|A0A8C6GIT2|A0A8C6GIT2_MUSSI
OG0001092	sp|P11157|RIR2_MOUSE	tr|A0A8C6I546|A0A8C6I546_MUSSI
OG0001092	sp|Q6PEE3|RIR2B_MOUSE	tr|A0A8C6N4L2|A0A8C6N4L2_MUSSI
OG0001093	sp|P20263|PO5F1_MOUSE	tr|A0A8C6H7M5|A0A8C6H7M5_MUSSI
OG0001093	sp|Q9DAC9|PO5F2_MOUSE	tr|A0A8C6HAB9|A0A8C6HAB9_MUSSI
OG0001094	sp|Q5SQM0|EMAL6_MOUSE	tr|A0A8C6HXK3|A0A8C6HXK3_MUSSI
OG0001094	sp|Q8BQM8|EMAL5_MOUSE	tr|A0A8C6GTA6|A0A8C6GTA6_MUSSI
OG0001095	tr|Q3UQL6|Q3UQL6_MOUSE	tr|A0A8C6G539|A0A8C6G539_MUSSI
OG0001095	tr|Q7TNU5|Q7TNU5_MOUSE	tr|A0A8C6G4W7|A0A8C6G4W7_MUSSI
OG0001096	sp|Q810Y8|PRAL7_MOUSE, tr|A2ASJ1|A2ASJ1_MOUSE, tr|L7MU96|L7MU96_MOUSE	tr|A0A8C6HW86|A0A8C6HW86_MUSSI
OG0001097	sp|Q9D8V7|SC11C_MOUSE	tr|A0A8C6HP30|A0A8C6HP30_MUSSI
OG0001097	sp|Q9R0P6|SC11A_MOUSE	tr|A0A8C6MPW4|A0A8C6MPW4_MUSSI
OG0001098	tr|Q32M27|Q32M27_MOUSE	tr|A0A8C6I1J4|A0A8C6I1J4_MUSSI
OG0001098	sp|Q9QYN3|KLK11_MOUSE	tr|A0A8C6I297|A0A8C6I297_MUSSI
OG0001099	sp|Q8CIQ7|DOCK3_MOUSE	tr|A0A8C6GTS4|A0A8C6GTS4_MUSSI
OG0001099	sp|P59764|DOCK4_MOUSE	tr|A0A8C6I2X7|A0A8C6I2X7_MUSSI
OG0001100	tr|Q9D5Q6|Q9D5Q6_MOUSE	tr|A0A8C6GRT5|A0A8C6GRT5_MUSSI
OG0001100	tr|E9Q366|E9Q366_MOUSE	tr|A0A8C6GQR6|A0A8C6GQR6_MUSSI
OG0001101	sp|Q9D5R2|WDR20_MOUSE	tr|A0A8C6GTI0|A0A8C6GTI0_MUSSI
OG0001101	tr|Q3UWE6|Q3UWE6_MOUSE	tr|A0A8C6GQH1|A0A8C6GQH1_MUSSI
OG0001102	sp|A2AWA9|RBGP1_MOUSE	tr|A0A8C6G6N9|A0A8C6G6N9_MUSSI
OG0001102	sp|A6H6A9|RBG1L_MOUSE	tr|A0A8C6HNQ2|A0A8C6HNQ2_MUSSI
OG0001103	tr|E9QAN8|E9QAN8_MOUSE	tr|A0A8C6HWN1|A0A8C6HWN1_MUSSI
OG0001103	sp|O70167|P3C2G_MOUSE	tr|A0A8C6HXC2|A0A8C6HXC2_MUSSI
OG0001104	sp|P27467|WNT3A_MOUSE	tr|A0A8C6HQD4|A0A8C6HQD4_MUSSI
OG0001104	sp|P17553|WNT3_MOUSE	tr|A0A8C6I9P9|A0A8C6I9P9_MUSSI
OG0001105	sp|Q01320|TOP2A_MOUSE	tr|A0A8C6I392|A0A8C6I392_MUSSI
OG0001105	sp|Q64511|TOP2B_MOUSE	tr|A0A8C6H7K2|A0A8C6H7K2_MUSSI
OG0001106	sp|Q8C9H6|STRP2_MOUSE	tr|A0A8C6HVL8|A0A8C6HVL8_MUSSI
OG0001106	sp|Q8C079|STRP1_MOUSE	tr|A0A8C6IM17|A0A8C6IM17_MUSSI
OG0001107	sp|Q9WVP6|PAPOB_MOUSE	tr|A0A8C6MYD0|A0A8C6MYD0_MUSSI
OG0001107	sp|Q61183|PAPOA_MOUSE	tr|A0A8C6MTW6|A0A8C6MTW6_MUSSI
OG0001108	sp|P24383|WNT7A_MOUSE	tr|A0A8C6GQL2|A0A8C6GQL2_MUSSI
OG0001108	sp|P28047|WNT7B_MOUSE	tr|A0A8C6HKM7|A0A8C6HKM7_MUSSI
OG0001109	sp|Q8CIN6|CELF3_MOUSE	tr|A0A8C6MQ17|A0A8C6MQ17_MUSSI
OG0001109	sp|Q7TSY6|CELF4_MOUSE	tr|A0A8C6GHY5|A0A8C6GHY5_MUSSI
OG0001110	sp|O35343|IMA3_MOUSE	tr|A0A8C6HZN7|A0A8C6HZN7_MUSSI
OG0001110	sp|O35344|IMA4_MOUSE	tr|A0A8C6I120|A0A8C6I120_MUSSI
OG0001111	sp|P16546|SPTN1_MOUSE	tr|A0A8C6GNW1|A0A8C6GNW1_MUSSI
OG0001111	sp|P08032|SPTA1_MOUSE	tr|A0A8C6MUR5|A0A8C6MUR5_MUSSI
OG0001112	sp|Q9D0R2|SYTC_MOUSE	tr|A0A8C6H5L0|A0A8C6H5L0_MUSSI
OG0001112	sp|Q8BLY2|SYTC2_MOUSE	tr|A0A8C6HUJ3|A0A8C6HUJ3_MUSSI
OG0001113	sp|Q8C6M1|UBP20_MOUSE	tr|A0A8C6HPH1|A0A8C6HPH1_MUSSI
OG0001113	sp|Q8R5K2|UBP33_MOUSE	tr|A0A8C6GKP6|A0A8C6GKP6_MUSSI
OG0001114	sp|Q9QXZ0|MACF1_MOUSE	tr|A0A8C6H7E6|A0A8C6H7E6_MUSSI
OG0001114	sp|Q91ZU6|DYST_MOUSE	tr|A0A8C6IJX0|A0A8C6IJX0_MUSSI
OG0001115	sp|Q9CR57|RL14_MOUSE	tr|A0A8C6N2Q2|A0A8C6N2Q2_MUSSI, tr|A0A8C6GMG9|A0A8C6GMG9_MUSSI, tr|A0A8C6I5X2|A0A8C6I5X2_MUSSI
OG0001116	sp|A2ASZ8|SCMC2_MOUSE	tr|A0A8C6GYK8|A0A8C6GYK8_MUSSI
OG0001116	sp|Q6GQS1|SCMC3_MOUSE	tr|A0A8C6HTZ7|A0A8C6HTZ7_MUSSI
OG0001117	sp|Q9WU67|LY6I_MOUSE, sp|P0CW03|LY6C2_MOUSE, sp|P0CW02|LY6C1_MOUSE	tr|A0A8C6I0Z5|A0A8C6I0Z5_MUSSI
OG0001118	sp|P49138|MAPK2_MOUSE	tr|A0A8C6I2P6|A0A8C6I2P6_MUSSI
OG0001118	sp|Q3UMW7|MAPK3_MOUSE	tr|A0A8C6GID0|A0A8C6GID0_MUSSI
OG0001119	sp|Q9EQD0|FZD5_MOUSE	tr|A0A8C6GST0|A0A8C6GST0_MUSSI
OG0001119	sp|Q61091|FZD8_MOUSE	tr|A0A8C6N0K7|A0A8C6N0K7_MUSSI
OG0001120	sp|Q8BLV3|SL9A7_MOUSE	tr|A0A8C6N5L7|A0A8C6N5L7_MUSSI
OG0001120	tr|A1L3P4|A1L3P4_MOUSE	tr|A0A8C6IEZ1|A0A8C6IEZ1_MUSSI
OG0001121	sp|P84084|ARF5_MOUSE	tr|A0A8C6I517|A0A8C6I517_MUSSI
OG0001121	sp|P61750|ARF4_MOUSE	tr|A0A8C6IA58|A0A8C6IA58_MUSSI
OG0001122	tr|Q923L6|Q923L6_MOUSE, sp|P97426|ECP1_MOUSE, sp|P97425|ECP2_MOUSE	tr|A0A8C6GKE7|A0A8C6GKE7_MUSSI
OG0001123	sp|Q9QZS6|HS3SB_MOUSE	tr|A0A8C6HFV8|A0A8C6HFV8_MUSSI
OG0001123	sp|Q8BKN6|HS3SA_MOUSE	tr|A0A8C6MZ04|A0A8C6MZ04_MUSSI
OG0001124	sp|Q91WG7|DGKG_MOUSE	tr|A0A8C6GVE8|A0A8C6GVE8_MUSSI
OG0001124	sp|Q6NS52|DGKB_MOUSE	tr|A0A8C6MN92|A0A8C6MN92_MUSSI
OG0001125	sp|Q9JI10|STK3_MOUSE	tr|A0A8C6HDG4|A0A8C6HDG4_MUSSI
OG0001125	sp|Q9JI11|STK4_MOUSE	tr|A0A8C6IBU5|A0A8C6IBU5_MUSSI
