Orthogroup	Mus_musculus	Ictidomys_tridecemlineatus
OG0001335	sp|P98191|CDS1_MOUSE	tr|I3ME51|I3ME51_ICTTR
OG0001335	sp|Q99L43|CDS2_MOUSE	tr|I3M8G1|I3M8G1_ICTTR
OG0001336	sp|P56400|GP1BB_MOUSE, sp|Q9DBB9|CPN2_MOUSE, sp|O88186|GPIX_MOUSE	tr|A0A287D369|A0A287D369_ICTTR
OG0001337	sp|Q9D9H2|CLDN2_MOUSE, sp|P56563|LMIP_MOUSE, sp|Q99PA5|NKG7_MOUSE	tr|A0A287DF66|A0A287DF66_ICTTR
OG0001338	sp|Q6PEE3|RIR2B_MOUSE	tr|A0A287CX45|A0A287CX45_ICTTR
OG0001338	sp|P11157|RIR2_MOUSE	tr|A0A287D2R4|A0A287D2R4_ICTTR
OG0001339	tr|S4R1E0|S4R1E0_MOUSE, tr|S4R1M3|S4R1M3_MOUSE, tr|S4R1G7|S4R1G7_MOUSE	tr|A0A287DFJ9|A0A287DFJ9_ICTTR
OG0001340	sp|Q5DU56|NLRC3_MOUSE, sp|A1Z198|NL1B2_MOUSE, sp|Q2LKU9|NLR1A_MOUSE	tr|A0A287DBR3|A0A287DBR3_ICTTR
OG0001341	sp|Q0VB07|PGRP4_MOUSE	tr|A0A287D876|A0A287D876_ICTTR
OG0001341	sp|A1A547|PGRP3_MOUSE	tr|I3M599|I3M599_ICTTR
OG0001342	sp|Q9JKN6|NOVA1_MOUSE	tr|I3N4D0|I3N4D0_ICTTR
OG0001342	sp|A0A1W2P872|NOVA2_MOUSE	tr|I3NDX7|I3NDX7_ICTTR
OG0001343	sp|P97353|SEC1_MOUSE	tr|I3N2R3|I3N2R3_ICTTR
OG0001343	sp|Q9JL27|FUT2_MOUSE	tr|I3N769|I3N769_ICTTR
OG0001344	sp|Q8BY89|CTL2_MOUSE	tr|I3MAD9|I3MAD9_ICTTR
OG0001344	sp|Q5RJI2|CTL5_MOUSE	tr|I3NC85|I3NC85_ICTTR
OG0001345	sp|Q8K2Z8|UB2Q2_MOUSE, sp|A0PJN4|U2QL1_MOUSE, tr|Q8BW45|Q8BW45_MOUSE	tr|I3M1V9|I3M1V9_ICTTR
OG0001346	tr|A2AS37|A2AS37_MOUSE, sp|P01027|CO3_MOUSE, sp|P06684|CO5_MOUSE	tr|I3MKC9|I3MKC9_ICTTR
OG0001347	sp|D3YXK2|SAFB1_MOUSE	tr|I3M144|I3M144_ICTTR
OG0001347	sp|Q80YR5|SAFB2_MOUSE	tr|I3M124|I3M124_ICTTR
OG0001348	sp|Q924X2|CPT1B_MOUSE	tr|I3MMG4|I3MMG4_ICTTR
OG0001348	sp|P97742|CPT1A_MOUSE	tr|I3MJY4|I3MJY4_ICTTR
OG0001349	sp|Q6GQS1|SCMC3_MOUSE	tr|I3M0B5|I3M0B5_ICTTR
OG0001349	sp|A2ASZ8|SCMC2_MOUSE	tr|I3MVF5|I3MVF5_ICTTR
OG0001350	sp|P52293|IMA1_MOUSE	tr|I3NFF1|I3NFF1_ICTTR
OG0001350	sp|C0LLJ0|IMA8_MOUSE	tr|A0A287DCQ1|A0A287DCQ1_ICTTR
OG0001351	sp|Q6P1Z5|PED1A_MOUSE	tr|I3MRE5|I3MRE5_ICTTR
OG0001351	sp|Q8BGX1|PED1B_MOUSE	tr|A0A287D5N2|A0A287D5N2_ICTTR
OG0001352	sp|P14148|RL7_MOUSE	tr|A0A287CZX3|A0A287CZX3_ICTTR, tr|A0A287CTI6|A0A287CTI6_ICTTR, tr|I3M4I1|I3M4I1_ICTTR
OG0001353	sp|P61620|S61A1_MOUSE	tr|A0A287D1J0|A0A287D1J0_ICTTR
OG0001353	sp|Q9JLR1|S61A2_MOUSE	tr|A0A287DEA9|A0A287DEA9_ICTTR
OG0001354	sp|Q9D7Q1|CHIT1_MOUSE	tr|I3MP37|I3MP37_ICTTR
OG0001354	sp|Q62010|OVGP1_MOUSE	tr|I3NGW7|I3NGW7_ICTTR
OG0001355	tr|Q5SW48|Q5SW48_MOUSE, tr|Q5SW50|Q5SW50_MOUSE, tr|Q5SW49|Q5SW49_MOUSE	tr|I3NC14|I3NC14_ICTTR
OG0001356	tr|E9Q0B5|E9Q0B5_MOUSE, tr|E9PVG8|E9PVG8_MOUSE, sp|O88799|ZAN_MOUSE	tr|A0A287D545|A0A287D545_ICTTR
OG0001357	sp|Q7TQE7|MACA2_MOUSE	tr|A0A287D849|A0A287D849_ICTTR
OG0001357	sp|Q810A5|MACAP_MOUSE	tr|I3MRI5|I3MRI5_ICTTR
OG0001358	sp|Q9D0R2|SYTC_MOUSE	tr|I3LXE2|I3LXE2_ICTTR
OG0001358	sp|Q8BLY2|SYTC2_MOUSE	tr|A0A287D8B2|A0A287D8B2_ICTTR
OG0001359	sp|A3KGS3|RGPA2_MOUSE	tr|I3MTS1|I3MTS1_ICTTR
OG0001359	sp|Q6GYP7|RGPA1_MOUSE	tr|I3LY98|I3LY98_ICTTR
OG0001360	tr|E9Q598|E9Q598_MOUSE, tr|L7N462|L7N462_MOUSE, tr|K7N609|K7N609_MOUSE	tr|I3NG39|I3NG39_ICTTR
OG0001361	sp|Q9JMK2|KC1E_MOUSE	tr|I3M5X0|I3M5X0_ICTTR
OG0001361	sp|Q9DC28|KC1D_MOUSE	tr|I3LZ40|I3LZ40_ICTTR
OG0001362	tr|E9Q4D1|E9Q4D1_MOUSE	tr|I3M4E6|I3M4E6_ICTTR
OG0001362	sp|P59509|ATS19_MOUSE	tr|I3NEM1|I3NEM1_ICTTR
OG0001363	sp|Q9ET77|JPH3_MOUSE, sp|Q9ET78|JPH2_MOUSE, sp|Q9ET80|JPH1_MOUSE	tr|I3M6D8|I3M6D8_ICTTR
OG0001364	sp|P34927|ASGR1_MOUSE, sp|P49300|CLC10_MOUSE, tr|A9XX86|A9XX86_MOUSE	tr|I3MBT6|I3MBT6_ICTTR
OG0001365	sp|P04342|CRGD_MOUSE, sp|Q03740|CRGE_MOUSE, sp|Q9CXV3|CRGF_MOUSE	tr|A0A287D7S3|A0A287D7S3_ICTTR
OG0001366	sp|P21300|ALD1_MOUSE, tr|G5E895|G5E895_MOUSE, sp|P45377|ALD2_MOUSE	tr|I3NBJ2|I3NBJ2_ICTTR
OG0001367	sp|Q9QZR5|HIPK2_MOUSE	tr|I3M711|I3M711_ICTTR
OG0001367	sp|O88904|HIPK1_MOUSE	tr|I3NBG6|I3NBG6_ICTTR
OG0001368	sp|Q7TNC4|LC7L2_MOUSE	tr|I3MNE9|I3MNE9_ICTTR
OG0001368	sp|Q9CYI4|LUC7L_MOUSE	tr|I3MFX0|I3MFX0_ICTTR
OG0001369	sp|P07361|A1AG2_MOUSE, sp|Q63805|A1AG3_MOUSE, sp|Q60590|A1AG1_MOUSE	tr|I3MJR5|I3MJR5_ICTTR
OG0001370	sp|Q62296|TEAD4_MOUSE	tr|I3N9I5|I3N9I5_ICTTR
OG0001370	sp|P30051|TEAD1_MOUSE	tr|A0A287CWT6|A0A287CWT6_ICTTR
OG0001371	tr|O70238|O70238_MOUSE, sp|Q06348|PRRX2_MOUSE, sp|P63013|PRRX1_MOUSE	tr|I3NCU7|I3NCU7_ICTTR
OG0001372	sp|Q9Z0J4|NOS1_MOUSE	tr|I3NFR7|I3NFR7_ICTTR
OG0001372	sp|P70313|NOS3_MOUSE	tr|A0A287DB04|A0A287DB04_ICTTR
OG0001373	sp|Q9QXT9|Z354B_MOUSE	tr|I3MCF9|I3MCF9_ICTTR
OG0001373	sp|Q61751|Z354A_MOUSE	tr|I3NAH1|I3NAH1_ICTTR
OG0001374	sp|Q3SYP2|CTRC_MOUSE, sp|Q9CQ52|CEL3B_MOUSE, tr|A2A9U8|A2A9U8_MOUSE	tr|I3NGS4|I3NGS4_ICTTR
OG0001375	sp|Q8C172|CERS6_MOUSE	tr|I3MX78|I3MX78_ICTTR
OG0001375	sp|Q9D6K9|CERS5_MOUSE	tr|I3M577|I3M577_ICTTR
OG0001376	sp|Q5Y4Y6|GSDA3_MOUSE, sp|Q32M21|GSDA2_MOUSE, sp|Q9EST1|GSDMA_MOUSE	tr|I3NDL8|I3NDL8_ICTTR
OG0001377	tr|E9Q438|E9Q438_MOUSE, tr|E9PXH6|E9PXH6_MOUSE, tr|E9Q8M2|E9Q8M2_MOUSE	tr|I3NCM6|I3NCM6_ICTTR
OG0001378	sp|Q9R224|BEX1_MOUSE, sp|Q9WTZ8|BEX2_MOUSE	tr|I3N489|I3N489_ICTTR, tr|I3MV85|I3MV85_ICTTR
OG0001379	sp|A2AF53|T185A_MOUSE	tr|I3MN08|I3MN08_ICTTR
OG0001379	sp|Q8R3R5|T185B_MOUSE	tr|I3MUH1|I3MUH1_ICTTR
OG0001380	sp|Q61188|EZH2_MOUSE	tr|A0A287D7I6|A0A287D7I6_ICTTR
OG0001380	sp|P70351|EZH1_MOUSE	tr|I3M2Z1|I3M2Z1_ICTTR
OG0001381	sp|P21460|CYTC_MOUSE	tr|I3NH43|I3NH43_ICTTR, tr|I3LY87|I3LY87_ICTTR, tr|I3LYD1|I3LYD1_ICTTR
OG0001382	sp|Q8K1X4|NCKPL_MOUSE	tr|I3N0M6|I3N0M6_ICTTR
OG0001382	sp|P28660|NCKP1_MOUSE	tr|I3NA27|I3NA27_ICTTR
OG0001383	sp|Q922Q4|P5CR2_MOUSE	tr|I3NCS0|I3NCS0_ICTTR
OG0001383	sp|Q922W5|P5CR1_MOUSE	tr|I3MM88|I3MM88_ICTTR
OG0001384	sp|Q76HL1|PRS43_MOUSE	tr|I3NHA7|I3NHA7_ICTTR
OG0001384	sp|Q402U7|PRS44_MOUSE	tr|I3MTP2|I3MTP2_ICTTR
OG0001385	sp|Q925T6|GRIP1_MOUSE	tr|A0A287D5L6|A0A287D5L6_ICTTR
OG0001385	tr|G3XA20|G3XA20_MOUSE	tr|I3LXP2|I3LXP2_ICTTR
OG0001386	sp|Q9WV60|GSK3B_MOUSE	tr|I3NFP6|I3NFP6_ICTTR
OG0001386	sp|Q2NL51|GSK3A_MOUSE	tr|I3LXF9|I3LXF9_ICTTR
OG0001387	sp|Q8BPW0|IQCJ_MOUSE, sp|P0DPB4|SCHI1_MOUSE, sp|A0A088MLT8|IQIP1_MOUSE	tr|I3MN87|I3MN87_ICTTR
OG0001388	sp|Q8C0J6|SWAHC_MOUSE, sp|Q8BY98|SWAHD_MOUSE, sp|Q8BLS7|SWAHA_MOUSE	tr|I3MNV0|I3MNV0_ICTTR
OG0001389	sp|Q9D638|KRA32_MOUSE, sp|A2A5X4|KR291_MOUSE, sp|A2A5X5|KR161_MOUSE	tr|I3NG18|I3NG18_ICTTR
OG0001390	sp|Q8K274|KT3K_MOUSE	tr|I3NDJ6|I3NDJ6_ICTTR
OG0001390	sp|Q9ER35|FN3K_MOUSE	tr|I3LZL9|I3LZL9_ICTTR
OG0001391	tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q8VF39|Q8VF39_MOUSE	tr|I3M532|I3M532_ICTTR
OG0001392	sp|Q99JR1|SFXN1_MOUSE	tr|I3NCH5|I3NCH5_ICTTR
OG0001392	sp|Q91V61|SFXN3_MOUSE	tr|I3MZA1|I3MZA1_ICTTR
OG0001393	tr|E9Q046|E9Q046_MOUSE, tr|E9PYJ0|E9PYJ0_MOUSE, tr|Q80W76|Q80W76_MOUSE	tr|I3N4K8|I3N4K8_ICTTR
OG0001394	sp|Q9D2L5|CPXM2_MOUSE	tr|I3N9G8|I3N9G8_ICTTR
OG0001394	sp|Q640N1|AEBP1_MOUSE	tr|I3M0Y0|I3M0Y0_ICTTR
OG0001395	sp|Q8BMD8|SCMC1_MOUSE	tr|I3MS45|I3MS45_ICTTR
OG0001395	tr|B1AUS6|B1AUS6_MOUSE	tr|I3N408|I3N408_ICTTR
OG0001396	sp|Q8VDJ3|VIGLN_MOUSE, tr|Q8BVT7|Q8BVT7_MOUSE, tr|B1AXN3|B1AXN3_MOUSE	tr|I3MKU2|I3MKU2_ICTTR
OG0001397	sp|P59529|T2R16_MOUSE, sp|Q7TQB0|TR134_MOUSE, sp|Q7TQB9|TR143_MOUSE	tr|I3MSV5|I3MSV5_ICTTR
OG0001398	sp|Q8HWB0|HMR1_MOUSE, sp|Q8HWE5|MILL2_MOUSE, sp|Q8HWE7|MILL1_MOUSE	tr|I3LYM2|I3LYM2_ICTTR
OG0001399	sp|Q60736|ZP3R_MOUSE	tr|A0A287CUV1|A0A287CUV1_ICTTR
OG0001399	sp|P08607|C4BPA_MOUSE	tr|I3M890|I3M890_ICTTR
OG0001400	sp|A7TZG3|SKIT9_MOUSE, sp|A7TZG1|SKI10_MOUSE, sp|A7XV14|SKI11_MOUSE	tr|I3NB34|I3NB34_ICTTR
OG0001401	sp|P20060|HEXB_MOUSE	tr|I3MAN0|I3MAN0_ICTTR
OG0001401	sp|P29416|HEXA_MOUSE	tr|A0A287DDT5|A0A287DDT5_ICTTR
OG0001402	tr|Q8VGC1|Q8VGC1_MOUSE, sp|Q60885|OLF9_MOUSE, tr|Q8VGJ1|Q8VGJ1_MOUSE	tr|I3NEX6|I3NEX6_ICTTR
OG0001403	sp|P28033|CEBPB_MOUSE, sp|Q00322|CEBPD_MOUSE, sp|Q6PZD9|CEBPE_MOUSE	tr|I3M995|I3M995_ICTTR
OG0001404	sp|Q04447|KCRB_MOUSE	tr|I3MS67|I3MS67_ICTTR
OG0001404	sp|P07310|KCRM_MOUSE	tr|I3MHI9|I3MHI9_ICTTR
OG0001405	sp|Q3UZ09|C1RL_MOUSE, sp|Q8CFG9|C1RB_MOUSE, sp|Q8CG16|C1RA_MOUSE	tr|I3M0P9|I3M0P9_ICTTR
OG0001406	tr|Q7TR84|Q7TR84_MOUSE, sp|Q8VGR9|O1044_MOUSE, tr|Q8VFL0|Q8VFL0_MOUSE	tr|I3N5U7|I3N5U7_ICTTR
OG0001407	sp|Q9D304|RN128_MOUSE, sp|Q14B02|RN133_MOUSE, sp|G3X9R7|RN148_MOUSE	tr|I3NG04|I3NG04_ICTTR
OG0001408	tr|A0A1B0GST0|A0A1B0GST0_MOUSE, tr|E9PXW4|E9PXW4_MOUSE, tr|Q8VG25|Q8VG25_MOUSE	tr|I3N3Z4|I3N3Z4_ICTTR
OG0001439	sp|Q9R0Q7|TEBP_MOUSE	tr|A0A287CUM7|A0A287CUM7_ICTTR, tr|A0A287CY87|A0A287CY87_ICTTR
OG0001440	sp|Q9DBN4|P33MX_MOUSE	tr|A0A287D355|A0A287D355_ICTTR, tr|I3LXM6|I3LXM6_ICTTR
OG0001441	sp|Q8CHW1|THAP1_MOUSE	tr|I3N0I9|I3N0I9_ICTTR, tr|A0A287D7X7|A0A287D7X7_ICTTR
OG0001442	sp|Q01727|MSHR_MOUSE	tr|A0A287DAD8|A0A287DAD8_ICTTR, tr|I3NH06|I3NH06_ICTTR
OG0001443	sp|Q9JHJ5|5HT3B_MOUSE	tr|I3M0S7|I3M0S7_ICTTR, tr|I3M9R3|I3M9R3_ICTTR
OG0001444	sp|Q91VI7|RINI_MOUSE, sp|Q6IRU7|CEP78_MOUSE	tr|I3MST9|I3MST9_ICTTR
OG0001445	sp|P16390|KCNA3_MOUSE, sp|Q61923|KCNA6_MOUSE	tr|I3N0M4|I3N0M4_ICTTR
OG0001446	sp|P47964|RL36_MOUSE	tr|I3NDR8|I3NDR8_ICTTR, tr|I3MT82|I3MT82_ICTTR
OG0001447	sp|P97355|SPSY_MOUSE	tr|I3MVN9|I3MVN9_ICTTR, tr|A0A287CS47|A0A287CS47_ICTTR
OG0001448	sp|Q8BZ34|ZN641_MOUSE	tr|I3LZI8|I3LZI8_ICTTR, tr|A0A287CTE5|A0A287CTE5_ICTTR
OG0001449	sp|Q9CQT2|RBM7_MOUSE	tr|I3MJ70|I3MJ70_ICTTR, tr|A0A287D1U4|A0A287D1U4_ICTTR
OG0001450	sp|O35286|DHX15_MOUSE	tr|A0A287D4X6|A0A287D4X6_ICTTR, tr|I3MNZ4|I3MNZ4_ICTTR
OG0001451	sp|Q6PDY2|AEDO_MOUSE	tr|I3M2J5|I3M2J5_ICTTR, tr|A0A287CTV8|A0A287CTV8_ICTTR
OG0001452	tr|G3UYY4|G3UYY4_MOUSE, sp|Q8C1F5|TTC16_MOUSE	tr|I3MCN7|I3MCN7_ICTTR
OG0001453	sp|Q61597|CRGC_MOUSE	tr|I3MRN0|I3MRN0_ICTTR, tr|I3MZ11|I3MZ11_ICTTR
OG0001454	sp|P0C027|NUD10_MOUSE, sp|P0C028|NUD11_MOUSE	tr|I3MYL1|I3MYL1_ICTTR
OG0001455	tr|A0A2I3BS13|A0A2I3BS13_MOUSE, tr|A0A2I3BQ57|A0A2I3BQ57_MOUSE	tr|I3N1B2|I3N1B2_ICTTR
OG0001456	sp|Q99KV1|DJB11_MOUSE	tr|I3MDK6|I3MDK6_ICTTR, tr|A0A287DD54|A0A287DD54_ICTTR
OG0001457	sp|Q3UNH4|GRIN1_MOUSE, tr|A0A2I3BRN2|A0A2I3BRN2_MOUSE	tr|I3M6X4|I3M6X4_ICTTR
OG0001458	sp|Q64669|NQO1_MOUSE, sp|Q9JI75|NQO2_MOUSE	tr|I3MQU6|I3MQU6_ICTTR
OG0001461	sp|Q9CQC7|NDUB4_MOUSE	tr|I3MWY7|I3MWY7_ICTTR, tr|A0A287D855|A0A287D855_ICTTR
OG0001462	sp|O35681|SYT3_MOUSE, sp|Q9R0N9|SYT9_MOUSE	tr|I3MEZ0|I3MEZ0_ICTTR
OG0001463	sp|Q9CWI3|BCCIP_MOUSE	tr|I3MI24|I3MI24_ICTTR, tr|A0A287D086|A0A287D086_ICTTR
OG0001465	sp|O89110|CASP8_MOUSE	tr|I3NBQ0|I3NBQ0_ICTTR, tr|I3MH56|I3MH56_ICTTR
OG0001466	sp|Q99MV2|TX19A_MOUSE, sp|Q9D5S1|TX19B_MOUSE	tr|I3NCS6|I3NCS6_ICTTR
OG0001467	sp|P46978|STT3A_MOUSE	tr|A0A287DBP4|A0A287DBP4_ICTTR, tr|I3NES7|I3NES7_ICTTR
OG0001468	sp|P62196|PRS8_MOUSE	tr|I3MCM0|I3MCM0_ICTTR, tr|A0A287D920|A0A287D920_ICTTR
OG0001469	sp|Q8BHH1|AQP11_MOUSE	tr|I3NEZ0|I3NEZ0_ICTTR, tr|I3M3E7|I3M3E7_ICTTR
OG0001470	sp|Q9R0P5|DEST_MOUSE	tr|I3N2X1|I3N2X1_ICTTR, tr|I3M6C6|I3M6C6_ICTTR
OG0001471	sp|Q920A1|CLTR2_MOUSE, sp|Q6NS65|GPR17_MOUSE	tr|I3N551|I3N551_ICTTR
OG0001472	tr|Q7TR12|Q7TR12_MOUSE, tr|Q8VG47|Q8VG47_MOUSE	tr|I3N6S0|I3N6S0_ICTTR
OG0001473	sp|Q05915|GCH1_MOUSE	tr|A0A287CTD3|A0A287CTD3_ICTTR, tr|I3NFM9|I3NFM9_ICTTR
OG0001474	sp|P56395|CYB5_MOUSE	tr|A0A287CXN4|A0A287CXN4_ICTTR, tr|A0A287CV72|A0A287CV72_ICTTR
OG0001475	sp|Q8C0T9|ADCYA_MOUSE	tr|I3M1Z8|I3M1Z8_ICTTR, tr|A0A287CVA4|A0A287CVA4_ICTTR
OG0001476	sp|Q8R010|AIMP2_MOUSE	tr|A0A287CX52|A0A287CX52_ICTTR, tr|I3N832|I3N832_ICTTR
OG0001477	sp|Q8C6K9|CO6A6_MOUSE, sp|A6H584|CO6A5_MOUSE	tr|A0A287CXW6|A0A287CXW6_ICTTR
OG0001478	sp|Q91W50|CSDE1_MOUSE	tr|A0A287DC34|A0A287DC34_ICTTR, tr|A0A287D308|A0A287D308_ICTTR
OG0001479	tr|Q8BGU0|Q8BGU0_MOUSE	tr|I3MQS6|I3MQS6_ICTTR, tr|A0A287CWT4|A0A287CWT4_ICTTR
OG0001480	sp|Q8C7N7|APH1B_MOUSE, sp|Q9DCZ9|APH1C_MOUSE	tr|I3MQU3|I3MQU3_ICTTR
OG0001481	sp|Q9Z1P7|KANK3_MOUSE, sp|Q6P9J5|KANK4_MOUSE	tr|I3NAT8|I3NAT8_ICTTR
OG0001482	sp|Q61476|DAF2_MOUSE, sp|Q61475|DAF1_MOUSE	tr|I3NE44|I3NE44_ICTTR
OG0001483	tr|G5E8G3|G5E8G3_MOUSE, sp|Q99PJ0|NTRI_MOUSE	tr|I3LXZ5|I3LXZ5_ICTTR
OG0001484	tr|A0A2I3BRI6|A0A2I3BRI6_MOUSE, tr|E9PZS7|E9PZS7_MOUSE	tr|I3LZI2|I3LZI2_ICTTR
OG0001485	sp|Q61471|TOB1_MOUSE	tr|A0A287D4E2|A0A287D4E2_ICTTR, tr|I3M8R3|I3M8R3_ICTTR
OG0001486	sp|O88878|ZFAN5_MOUSE	tr|I3MIN1|I3MIN1_ICTTR, tr|I3M9G4|I3M9G4_ICTTR
OG0001487	sp|Q01776|GNRHR_MOUSE	tr|I3MLY1|I3MLY1_ICTTR, tr|I3MUW6|I3MUW6_ICTTR
OG0001488	tr|Q7TRX2|Q7TRX2_MOUSE, tr|Q7TRX1|Q7TRX1_MOUSE	tr|I3N3L6|I3N3L6_ICTTR
OG0001489	sp|Q8R0W6|NFIP1_MOUSE	tr|I3M5K3|I3M5K3_ICTTR, tr|A0A287D7M1|A0A287D7M1_ICTTR
OG0001490	tr|Q8VGH2|Q8VGH2_MOUSE	tr|I3LY24|I3LY24_ICTTR, tr|A0A287DG91|A0A287DG91_ICTTR
OG0001491	sp|C0HKD9|MFA1B_MOUSE, sp|C0HKD8|MFA1A_MOUSE	tr|I3M8V6|I3M8V6_ICTTR
OG0001492	sp|Q9D1L0|CHCH2_MOUSE, tr|B2RPU8|B2RPU8_MOUSE	tr|I3MFM5|I3MFM5_ICTTR
OG0001494	tr|A2RRY9|A2RRY9_MOUSE, sp|Q62093|SRSF2_MOUSE	tr|I3NGJ8|I3NGJ8_ICTTR
OG0001495	sp|Q9CQH8|RPP14_MOUSE	tr|I3MPN6|I3MPN6_ICTTR, tr|A0A287D4F1|A0A287D4F1_ICTTR
OG0001496	sp|Q8VCQ3|NRBF2_MOUSE	tr|I3MXX5|I3MXX5_ICTTR, tr|I3MH54|I3MH54_ICTTR
OG0001497	sp|P50172|DHI1_MOUSE	tr|I3MRR5|I3MRR5_ICTTR, tr|I3MSN1|I3MSN1_ICTTR
OG0001498	tr|Q9ER67|Q9ER67_MOUSE	tr|I3NHK4|I3NHK4_ICTTR, tr|I3M888|I3M888_ICTTR
OG0001499	sp|Q8VE70|PDC10_MOUSE	tr|I3N761|I3N761_ICTTR, tr|A0A287D156|A0A287D156_ICTTR
OG0001500	sp|Q8BZ39|NMUR2_MOUSE	tr|I3N210|I3N210_ICTTR, tr|I3LWJ8|I3LWJ8_ICTTR
OG0001501	sp|Q9R0U0|SRS10_MOUSE	tr|I3LXN2|I3LXN2_ICTTR, tr|I3M980|I3M980_ICTTR
OG0001502	sp|Q69ZX6|MOR2A_MOUSE, sp|Q8C5W4|MOR2B_MOUSE	tr|I3MM92|I3MM92_ICTTR
OG0001503	sp|P97760|RPB3_MOUSE	tr|I3MP87|I3MP87_ICTTR, tr|A0A287DDI1|A0A287DDI1_ICTTR
OG0001504	sp|P04344|CRGB_MOUSE	tr|I3MRN1|I3MRN1_ICTTR, tr|I3M2Q0|I3M2Q0_ICTTR
OG0001505	sp|Q8R015|BL1S5_MOUSE	tr|I3MXJ4|I3MXJ4_ICTTR, tr|A0A287DEQ1|A0A287DEQ1_ICTTR
OG0001506	sp|Q64096|MCF2L_MOUSE	tr|A0A287CUT1|A0A287CUT1_ICTTR, tr|I3MFE2|I3MFE2_ICTTR
OG0001507	sp|Q9QXV8|SPY2_MOUSE	tr|I3M0D4|I3M0D4_ICTTR, tr|I3MW79|I3MW79_ICTTR
OG0001508	sp|P62878|RBX1_MOUSE	tr|I3MPZ6|I3MPZ6_ICTTR, tr|I3N110|I3N110_ICTTR
OG0001509	sp|Q8VFK2|O1002_MOUSE, sp|Q9QY00|OL154_MOUSE	tr|I3N5I0|I3N5I0_ICTTR
OG0001510	sp|O09117|SYPL1_MOUSE	tr|A0A287CSS8|A0A287CSS8_ICTTR, tr|I3N790|I3N790_ICTTR
OG0001511	sp|Q9D1Q1|MPH6_MOUSE	tr|I3MYX6|I3MYX6_ICTTR, tr|A0A287CVK5|A0A287CVK5_ICTTR
OG0001512	sp|Q5SVD0|RFLB_MOUSE, sp|Q7TS73|RFLA_MOUSE	tr|A0A287D5H3|A0A287D5H3_ICTTR
OG0001513	sp|Q9D702|TMM52_MOUSE, sp|Q0VBF2|TM52B_MOUSE	tr|I3M007|I3M007_ICTTR
OG0001514	tr|Q810P8|Q810P8_MOUSE, tr|A0A087WSD2|A0A087WSD2_MOUSE	tr|I3M3L2|I3M3L2_ICTTR
OG0001515	sp|Q9DBS2|TPRGL_MOUSE	tr|I3MYM1|I3MYM1_ICTTR, tr|I3M9S1|I3M9S1_ICTTR
OG0001516	sp|Q80YV2|ZC3C1_MOUSE	tr|I3MPN3|I3MPN3_ICTTR, tr|I3NEN1|I3NEN1_ICTTR
OG0001517	sp|Q9CZG9|PDZ11_MOUSE	tr|A0A287DF41|A0A287DF41_ICTTR, tr|I3N6Q0|I3N6Q0_ICTTR
OG0001518	sp|P19467|MUC13_MOUSE, sp|E9Q7X6|HEG1_MOUSE	tr|I3N896|I3N896_ICTTR
OG0001519	sp|Q8BYI6|PCAT2_MOUSE, sp|Q9D5U0|PCT2B_MOUSE	tr|A0A287DB98|A0A287DB98_ICTTR
OG0001520	tr|Q8C6P5|Q8C6P5_MOUSE, sp|Q3KNI6|DAAF6_MOUSE	tr|I3LYR6|I3LYR6_ICTTR
OG0001521	sp|P35454|NEU1_MOUSE	tr|I3MP22|I3MP22_ICTTR, tr|I3N8A5|I3N8A5_ICTTR
OG0001522	tr|Q7TRW7|Q7TRW7_MOUSE	tr|I3N6L0|I3N6L0_ICTTR, tr|I3NB88|I3NB88_ICTTR
OG0001523	sp|P30306|MPIP2_MOUSE	tr|I3N4N6|I3N4N6_ICTTR, tr|I3NDQ2|I3NDQ2_ICTTR
OG0001524	sp|Q6P542|ABCF1_MOUSE	tr|A0A287D3Q5|A0A287D3Q5_ICTTR, tr|A0A287DEM5|A0A287DEM5_ICTTR
OG0001525	sp|Q9CR68|UCRI_MOUSE	tr|A0A287D8D2|A0A287D8D2_ICTTR, tr|I3MI69|I3MI69_ICTTR
OG0001526	sp|Q9CPR4|RL17_MOUSE	tr|A0A287DEW4|A0A287DEW4_ICTTR, tr|I3M5L8|I3M5L8_ICTTR
OG0001527	sp|Q8VC49|IF27B_MOUSE, sp|Q8R412|IF27A_MOUSE	tr|I3M6P8|I3M6P8_ICTTR
OG0001528	tr|E9Q0Z1|E9Q0Z1_MOUSE, tr|Q8VGL1|Q8VGL1_MOUSE	tr|I3NHE2|I3NHE2_ICTTR
OG0001529	sp|Q61532|MK06_MOUSE	tr|A0A287CZ86|A0A287CZ86_ICTTR, tr|A0A287CSG4|A0A287CSG4_ICTTR
OG0001530	sp|Q9QUG2|POLK_MOUSE	tr|A0A287CX26|A0A287CX26_ICTTR, tr|A0A287D4A2|A0A287D4A2_ICTTR
OG0001531	sp|Q810T2|CCNB3_MOUSE, sp|P24860|CCNB1_MOUSE	tr|A0A287D6H6|A0A287D6H6_ICTTR
OG0001532	sp|Q99KC8|VMA5A_MOUSE, tr|Q8BGF0|Q8BGF0_MOUSE	tr|I3M243|I3M243_ICTTR
OG0001533	sp|P48076|PA2GC_MOUSE, sp|Q9WVF6|PA2GD_MOUSE	tr|I3MD59|I3MD59_ICTTR
