Orthogroup	Mus_musculus	Erinaceus_europaeus
OG0000905	tr|B2RXM5|B2RXM5_MOUSE	tr|A0A1S2ZNG5|A0A1S2ZNG5_ERIEU
OG0000905	sp|A8Y5H7|S14L1_MOUSE	tr|A0A1S3AC24|A0A1S3AC24_ERIEU
OG0000906	sp|Q9DB16|CB39L_MOUSE	tr|A0A1S3W8W8|A0A1S3W8W8_ERIEU
OG0000906	sp|Q06138|CAB39_MOUSE	tr|A0A1S2ZJF2|A0A1S2ZJF2_ERIEU
OG0000907	sp|P97479|MYO7A_MOUSE	tr|A0A1S3WJQ2|A0A1S3WJQ2_ERIEU
OG0000907	sp|Q99MZ6|MYO7B_MOUSE	tr|A0A1S3AH16|A0A1S3AH16_ERIEU
OG0000908	sp|Q60751|IGF1R_MOUSE	tr|A0A1S2ZG47|A0A1S2ZG47_ERIEU
OG0000908	sp|P15208|INSR_MOUSE	tr|A0A1S3WNJ7|A0A1S3WNJ7_ERIEU
OG0000909	sp|A2AQW0|M3K15_MOUSE	tr|A0A1S3AQZ8|A0A1S3AQZ8_ERIEU
OG0000909	sp|O35099|M3K5_MOUSE	tr|A0A1S2ZJ14|A0A1S2ZJ14_ERIEU
OG0000910	sp|Q61241|TSSK1_MOUSE	tr|A0A1S2ZKR1|A0A1S2ZKR1_ERIEU
OG0000910	sp|O54863|TSSK2_MOUSE	tr|A0A1S2ZKL1|A0A1S2ZKL1_ERIEU
OG0000911	sp|Q8BZF8|PGM5_MOUSE	tr|A0A1S3A2Y2|A0A1S3A2Y2_ERIEU
OG0000911	sp|Q9D0F9|PGM1_MOUSE	tr|A0A1S2ZPL1|A0A1S2ZPL1_ERIEU
OG0000912	sp|Q91VJ4|STK38_MOUSE	tr|A0A1S3AFP0|A0A1S3AFP0_ERIEU
OG0000912	sp|Q7TSE6|ST38L_MOUSE	tr|A0A1S3A631|A0A1S3A631_ERIEU
OG0000913	sp|Q91VE0|S27A4_MOUSE	tr|A0A1S2ZZ38|A0A1S2ZZ38_ERIEU
OG0000913	sp|Q60714|S27A1_MOUSE	tr|A0A1S3ADP0|A0A1S3ADP0_ERIEU
OG0000914	sp|Q61466|SMRD1_MOUSE	tr|A0A1S3A2Y8|A0A1S3A2Y8_ERIEU
OG0000914	sp|Q6P9Z1|SMRD3_MOUSE	tr|A0A1S3AL65|A0A1S3AL65_ERIEU
OG0000915	sp|Q9Z1L5|CA2D3_MOUSE	tr|A0A1S2ZLK5|A0A1S2ZLK5_ERIEU
OG0000915	sp|Q5RJF7|CA2D4_MOUSE	tr|A0A1S3W403|A0A1S3W403_ERIEU
OG0000916	sp|Q9D0M1|KPRA_MOUSE	tr|A0A1S3AMY8|A0A1S3AMY8_ERIEU
OG0000916	sp|Q8R574|KPRB_MOUSE	tr|A0A1S3WFL6|A0A1S3WFL6_ERIEU
OG0000917	sp|Q6PNC0|DMXL1_MOUSE	tr|A0A1S3A1R1|A0A1S3A1R1_ERIEU
OG0000917	sp|Q8BPN8|DMXL2_MOUSE	tr|A0A1S3WMD1|A0A1S3WMD1_ERIEU
OG0000918	sp|Q63959|KCNC3_MOUSE	tr|A0A1S3WLW3|A0A1S3WLW3_ERIEU
OG0000918	sp|P15388|KCNC1_MOUSE	tr|A0A1S2Z9F3|A0A1S2Z9F3_ERIEU
OG0000919	sp|Q91XQ0|DYH8_MOUSE	tr|A0A1S2ZDW4|A0A1S2ZDW4_ERIEU
OG0000919	sp|Q8VHE6|DYH5_MOUSE	tr|A0A1S2ZTF0|A0A1S2ZTF0_ERIEU
OG0000920	sp|Q62226|SHH_MOUSE	tr|A0A1S3AK22|A0A1S3AK22_ERIEU
OG0000920	sp|P97812|IHH_MOUSE	tr|A0A1S2ZKB0|A0A1S2ZKB0_ERIEU
OG0000921	sp|Q9QXX4|S2513_MOUSE	tr|A0A1S3AAT4|A0A1S3AAT4_ERIEU
OG0000921	sp|Q8BH59|S2512_MOUSE	tr|A0A1S3ANK6|A0A1S3ANK6_ERIEU
OG0000922	sp|Q8BYM7|RSH4A_MOUSE	tr|A0A1S2ZL87|A0A1S2ZL87_ERIEU
OG0000922	sp|Q8CDR2|RSH6A_MOUSE	tr|A0A1S3AB13|A0A1S3AB13_ERIEU
OG0000923	sp|Q64446|ATP7B_MOUSE	tr|A0A1S2ZMF5|A0A1S2ZMF5_ERIEU
OG0000923	sp|Q64430|ATP7A_MOUSE	tr|A0A1S3AFV9|A0A1S3AFV9_ERIEU
OG0000924	sp|Q704Y3|TRPV1_MOUSE	tr|A0A1S2ZQP3|A0A1S2ZQP3_ERIEU
OG0000924	sp|Q9WTR1|TRPV2_MOUSE	tr|A0A1S3W6E2|A0A1S3W6E2_ERIEU
OG0000925	sp|Q01755|TCP11_MOUSE	tr|A0A1S3ACC8|A0A1S3ACC8_ERIEU
OG0000925	tr|A2AEI7|A2AEI7_MOUSE	tr|A0A1S3WVI3|A0A1S3WVI3_ERIEU
OG0000926	sp|Q9JJL3|SO1B2_MOUSE	tr|A0A1S3WVN2|A0A1S3WVN2_ERIEU
OG0000926	sp|Q9ERB5|SO1C1_MOUSE	tr|A0A1S3APJ7|A0A1S3APJ7_ERIEU
OG0000927	sp|Q9EQW7|KI13A_MOUSE	tr|A0A1S3WWP7|A0A1S3WWP7_ERIEU
OG0000927	tr|A0A286YCV9|A0A286YCV9_MOUSE	tr|A0A1S2ZCP6|A0A1S2ZCP6_ERIEU
OG0000928	sp|P26262|KLKB1_MOUSE	tr|A0A1S2ZDJ8|A0A1S2ZDJ8_ERIEU
OG0000928	sp|Q91Y47|FA11_MOUSE	tr|A0A1S2ZDK0|A0A1S2ZDK0_ERIEU
OG0000929	tr|E9PWZ3|E9PWZ3_MOUSE	tr|A0A1S3A208|A0A1S3A208_ERIEU
OG0000929	sp|P27659|RL3_MOUSE	tr|A0A1S2ZHB2|A0A1S2ZHB2_ERIEU
OG0000930	sp|P35279|RAB6A_MOUSE	tr|A0A1S2ZJK5|A0A1S2ZJK5_ERIEU
OG0000930	sp|P61294|RAB6B_MOUSE	tr|A0A1S2Z9V6|A0A1S2Z9V6_ERIEU
OG0000931	sp|Q9ES88|S13A2_MOUSE	tr|A0A1S3A7V1|A0A1S3A7V1_ERIEU
OG0000931	sp|Q67BT3|S13A5_MOUSE	tr|A0A1S2ZLI1|A0A1S2ZLI1_ERIEU
OG0000932	sp|Q91X17|UROM_MOUSE	tr|A0A1S2ZB44|A0A1S2ZB44_ERIEU
OG0000932	sp|Q9D733|GP2_MOUSE	tr|A0A1S2ZB03|A0A1S2ZB03_ERIEU
OG0000933	sp|Q60878|OL140_MOUSE	tr|A0A1S2ZGN0|A0A1S2ZGN0_ERIEU
OG0000933	tr|Q9R0K2|Q9R0K2_MOUSE	tr|A0A1S2ZGX9|A0A1S2ZGX9_ERIEU
OG0000934	sp|Q9D154|ILEUA_MOUSE, sp|Q5SV42|ILEUC_MOUSE, sp|Q8VHP7|ILEUB_MOUSE	tr|A0A1S2ZNT4|A0A1S2ZNT4_ERIEU
OG0000935	sp|Q8BZJ7|DCNL2_MOUSE, sp|Q9QZ73|DCNL1_MOUSE, tr|A0A1Y7VP24|A0A1Y7VP24_MOUSE	tr|A0A1S3AFI7|A0A1S3AFI7_ERIEU
OG0000936	sp|Q8R050|ERF3A_MOUSE	tr|A0A1S3AGH1|A0A1S3AGH1_ERIEU
OG0000936	sp|Q149F3|ERF3B_MOUSE	tr|A0A1S3ALM9|A0A1S3ALM9_ERIEU
OG0000937	sp|Q5XPT3|LARG2_MOUSE	tr|A0A1S2ZGY7|A0A1S2ZGY7_ERIEU
OG0000937	sp|Q9Z1M7|LARG1_MOUSE	tr|A0A1S3WMX1|A0A1S3WMX1_ERIEU
OG0000938	sp|B2RXR6|ANR44_MOUSE	tr|A0A1S3WU63|A0A1S3WU63_ERIEU
OG0000938	sp|Q8BTI7|ANR52_MOUSE	tr|A0A1S3ADI2|A0A1S3ADI2_ERIEU
OG0000939	sp|Q99PT9|KIF19_MOUSE	tr|A0A1S2ZVB0|A0A1S2ZVB0_ERIEU
OG0000939	tr|A0A1B0GSG7|A0A1B0GSG7_MOUSE	tr|A0A1S3WEJ1|A0A1S3WEJ1_ERIEU
OG0000940	sp|P55014|S12A1_MOUSE	tr|A0A1S2ZCR0|A0A1S2ZCR0_ERIEU
OG0000940	sp|P55012|S12A2_MOUSE	tr|A0A1S3A1M7|A0A1S3A1M7_ERIEU
OG0000941	sp|Q9QZM0|UBQL2_MOUSE	tr|A0A1S3WU22|A0A1S3WU22_ERIEU
OG0000941	sp|Q8R317|UBQL1_MOUSE	tr|A0A1S3A2T0|A0A1S3A2T0_ERIEU
OG0000943	sp|Q80X95|RRAGA_MOUSE	tr|A0A1S3AIR4|A0A1S3AIR4_ERIEU
OG0000943	sp|Q6NTA4|RRAGB_MOUSE	tr|A0A1S3AL52|A0A1S3AL52_ERIEU
OG0000944	sp|A2ARP1|VIP1_MOUSE	tr|A0A1S3WP98|A0A1S3WP98_ERIEU
OG0000944	sp|Q6ZQB6|VIP2_MOUSE	tr|A0A1S3WG54|A0A1S3WG54_ERIEU
OG0000945	sp|Q9EPR4|S23A2_MOUSE	tr|A0A1S3AS86|A0A1S3AS86_ERIEU
OG0000945	sp|Q9Z2J0|S23A1_MOUSE	tr|A0A1S2ZD87|A0A1S2ZD87_ERIEU
OG0000946	sp|P62821|RAB1A_MOUSE	tr|A0A1S3ARY2|A0A1S3ARY2_ERIEU
OG0000946	sp|Q9D1G1|RAB1B_MOUSE	tr|A0A1S2ZFR9|A0A1S2ZFR9_ERIEU
OG0000947	sp|Q8BRK9|MA2A2_MOUSE	tr|A0A1S3WAV8|A0A1S3WAV8_ERIEU
OG0000947	sp|P27046|MA2A1_MOUSE	tr|A0A1S3A4I8|A0A1S3A4I8_ERIEU
OG0000948	sp|Q7TMI3|UHRF2_MOUSE	tr|A0A1S3AEC6|A0A1S3AEC6_ERIEU
OG0000948	sp|Q8VDF2|UHRF1_MOUSE	tr|A0A1S2ZV08|A0A1S2ZV08_ERIEU
OG0000950	sp|Q9JME5|AP3B2_MOUSE	tr|A0A1S3W9Z7|A0A1S3W9Z7_ERIEU
OG0000950	sp|Q9Z1T1|AP3B1_MOUSE	tr|A0A1S3W619|A0A1S3W619_ERIEU
OG0000951	sp|Q8BPB0|MOB1B_MOUSE	tr|A0A1S3WBZ2|A0A1S3WBZ2_ERIEU
OG0000951	sp|Q921Y0|MOB1A_MOUSE	tr|A0A1S2ZGF6|A0A1S2ZGF6_ERIEU
OG0000952	sp|Q9D8Y0|EFHD2_MOUSE	tr|A0A1S3WBZ3|A0A1S3WBZ3_ERIEU
OG0000952	sp|Q9D4J1|EFHD1_MOUSE	tr|A0A1S2ZJS3|A0A1S2ZJS3_ERIEU
OG0000954	tr|E9PUZ9|E9PUZ9_MOUSE	tr|A0A1S3A8V6|A0A1S3A8V6_ERIEU
OG0000954	sp|Q69ZS0|PZRN3_MOUSE	tr|A0A1S2ZDG1|A0A1S2ZDG1_ERIEU
OG0000955	sp|Q91V61|SFXN3_MOUSE	tr|A0A1S3A723|A0A1S3A723_ERIEU
OG0000955	sp|Q99JR1|SFXN1_MOUSE	tr|A0A1S2ZTS0|A0A1S2ZTS0_ERIEU
OG0000956	sp|O35219|KCNH2_MOUSE	tr|A0A1S3AKK7|A0A1S3AKK7_ERIEU
OG0000956	tr|Q32ME0|Q32ME0_MOUSE	tr|A0A1S3A147|A0A1S3A147_ERIEU
OG0000957	sp|Q9EP66|HCAR2_MOUSE	tr|A0A1S3ASW1|A0A1S3ASW1_ERIEU
OG0000957	sp|F8VQN3|GPR31_MOUSE	tr|A0A1S3ASE5|A0A1S3ASE5_ERIEU
OG0000958	sp|A2A5R2|BIG2_MOUSE	tr|A0A1S2ZYX6|A0A1S2ZYX6_ERIEU
OG0000958	sp|G3X9K3|BIG1_MOUSE	tr|A0A1S3WGH5|A0A1S3WGH5_ERIEU
OG0000959	tr|Q7TNL5|Q7TNL5_MOUSE	tr|A0A1S3A7A2|A0A1S3A7A2_ERIEU
OG0000959	sp|Q60996|2A5G_MOUSE	tr|A0A1S2ZF34|A0A1S2ZF34_ERIEU
OG0000960	tr|B1AXN3|B1AXN3_MOUSE, tr|Q8BVT7|Q8BVT7_MOUSE, sp|Q8VDJ3|VIGLN_MOUSE	tr|A0A1S3AAS1|A0A1S3AAS1_ERIEU
OG0000961	sp|Q9R0N8|SYT6_MOUSE	tr|A0A1S3WKC5|A0A1S3WKC5_ERIEU
OG0000961	sp|Q9R0N4|SYT10_MOUSE	tr|A0A1S3AA63|A0A1S3AA63_ERIEU
OG0000962	sp|P97767|EYA1_MOUSE	tr|A0A1S3A045|A0A1S3A045_ERIEU
OG0000962	sp|Q9Z191|EYA4_MOUSE	tr|A0A1S2ZIZ4|A0A1S2ZIZ4_ERIEU
OG0000963	sp|Q91WM1|STRBP_MOUSE	tr|A0A1S3ASS5|A0A1S3ASS5_ERIEU
OG0000963	sp|Q9Z1X4|ILF3_MOUSE	tr|A0A1S2ZXE0|A0A1S2ZXE0_ERIEU
OG0000964	sp|Q61598|GDIB_MOUSE	tr|A0A1S2ZYR2|A0A1S2ZYR2_ERIEU
OG0000964	sp|P50396|GDIA_MOUSE	tr|A0A1S3APJ9|A0A1S3APJ9_ERIEU
OG0000965	sp|Q6ZPR4|KCNT1_MOUSE	tr|A0A1S3W8W4|A0A1S3W8W4_ERIEU
OG0000965	tr|D3Z649|D3Z649_MOUSE	tr|A0A1S3ASN4|A0A1S3ASN4_ERIEU
OG0000966	sp|Q8C547|HTR5B_MOUSE	tr|A0A1S2ZL48|A0A1S2ZL48_ERIEU
OG0000966	sp|Q5PRF0|HTR5A_MOUSE	tr|A0A1S3W360|A0A1S3W360_ERIEU
OG0000967	sp|Q9D0K2|SCOT1_MOUSE, sp|Q9JJN4|SCO2A_MOUSE, sp|Q9ESL0|SCO2B_MOUSE	tr|A0A1S2ZDG0|A0A1S2ZDG0_ERIEU
OG0000968	sp|P09803|CADH1_MOUSE	tr|A0A1S3ANI7|A0A1S3ANI7_ERIEU
OG0000968	sp|P10287|CADH3_MOUSE	tr|A0A1S2ZDK3|A0A1S2ZDK3_ERIEU
OG0000969	tr|Q8VGP8|Q8VGP8_MOUSE, tr|Q8VEZ5|Q8VEZ5_MOUSE, tr|Q8VEZ4|Q8VEZ4_MOUSE	tr|A0A1S2ZHY8|A0A1S2ZHY8_ERIEU
OG0000970	tr|Q8VF80|Q8VF80_MOUSE, tr|Q8VGP5|Q8VGP5_MOUSE, tr|B2RT27|B2RT27_MOUSE	tr|A0A1S2ZP78|A0A1S2ZP78_ERIEU
OG0000971	sp|Q9ERC8|DSCAM_MOUSE	tr|A0A1S3WS08|A0A1S3WS08_ERIEU
OG0000971	sp|Q4VA61|DSCL1_MOUSE	tr|A0A1S2ZQK9|A0A1S2ZQK9_ERIEU
OG0000972	sp|Q99MV2|TX19A_MOUSE, sp|Q9D5S1|TX19B_MOUSE	tr|A0A1S2ZU34|A0A1S2ZU34_ERIEU, tr|A0A1S2ZU24|A0A1S2ZU24_ERIEU
OG0000973	sp|Q61315|APC_MOUSE	tr|A0A1S3WST2|A0A1S3WST2_ERIEU
OG0000973	sp|Q9Z1K7|APCL_MOUSE	tr|A0A1S2ZUX3|A0A1S2ZUX3_ERIEU
OG0000974	sp|Q9DCZ1|GMPR1_MOUSE	tr|A0A1S3AR67|A0A1S3AR67_ERIEU
OG0000974	sp|Q99L27|GMPR2_MOUSE	tr|A0A1S3AMD0|A0A1S3AMD0_ERIEU
OG0000976	sp|Q6VVW5|ANPRB_MOUSE	tr|A0A1S3WB24|A0A1S3WB24_ERIEU
OG0000976	sp|P18293|ANPRA_MOUSE	tr|A0A1S3WF47|A0A1S3WF47_ERIEU
OG0000977	sp|Q66L42|M3K10_MOUSE	tr|A0A1S3AKZ3|A0A1S3AKZ3_ERIEU
OG0000977	sp|Q8VDG6|M3K21_MOUSE	tr|A0A1S3WB58|A0A1S3WB58_ERIEU
OG0000978	sp|Q9CZW4|ACSL3_MOUSE	tr|A0A1S2ZLH0|A0A1S2ZLH0_ERIEU
OG0000978	sp|Q9QUJ7|ACSL4_MOUSE	tr|A0A1S3WQG2|A0A1S3WQG2_ERIEU
OG0000979	sp|O88904|HIPK1_MOUSE	tr|A0A1S3A6T6|A0A1S3A6T6_ERIEU
OG0000979	sp|Q9QZR5|HIPK2_MOUSE	tr|A0A1S2ZVG1|A0A1S2ZVG1_ERIEU
OG0000980	sp|Q9D4M9|GLTL5_MOUSE	tr|A0A1S3AJ39|A0A1S3AJ39_ERIEU
OG0000980	sp|Q921L8|GLT11_MOUSE	tr|A0A1S3AIT6|A0A1S3AIT6_ERIEU
OG0000981	sp|Q8R5C5|ACTY_MOUSE	tr|A0A1S3AJ53|A0A1S3AJ53_ERIEU
OG0000981	sp|P61164|ACTZ_MOUSE	tr|A0A1S3A7Z4|A0A1S3A7Z4_ERIEU
OG0000982	sp|O70577|S22A2_MOUSE	tr|A0A1S3AJU2|A0A1S3AJU2_ERIEU
OG0000982	sp|O08966|S22A1_MOUSE	tr|A0A1S3AJN6|A0A1S3AJN6_ERIEU
OG0000983	sp|O08914|FAAH1_MOUSE	tr|A0A1S3WMD7|A0A1S3WMD7_ERIEU, tr|A0A1S3W905|A0A1S3W905_ERIEU, tr|A0A1S2ZLZ6|A0A1S2ZLZ6_ERIEU
OG0000984	sp|Q61554|FBN1_MOUSE	tr|A0A1S3W5A4|A0A1S3W5A4_ERIEU
OG0000984	sp|Q61555|FBN2_MOUSE	tr|A0A1S3A1M5|A0A1S3A1M5_ERIEU
OG0000985	sp|Q80XR2|AT2C1_MOUSE	tr|A0A1S3WKI5|A0A1S3WKI5_ERIEU
OG0000985	sp|A7L9Z8|AT2C2_MOUSE	tr|A0A1S3A2R2|A0A1S3A2R2_ERIEU
OG0000986	tr|Q8BV16|Q8BV16_MOUSE	tr|A0A1S3WP09|A0A1S3WP09_ERIEU
OG0000986	tr|E9PVC2|E9PVC2_MOUSE	tr|A0A1S3ACF0|A0A1S3ACF0_ERIEU
OG0000987	sp|Q8BFU7|P2Y10_MOUSE, sp|Q3U507|GP174_MOUSE, tr|Q8BY68|Q8BY68_MOUSE	tr|A0A1S3AFZ1|A0A1S3AFZ1_ERIEU
OG0000988	sp|P21619|LMNB2_MOUSE, sp|Q9D4C1|LMTD1_MOUSE, sp|P48678|LMNA_MOUSE	tr|A0A1S3AIB3|A0A1S3AIB3_ERIEU
OG0000989	sp|Q8JZQ2|AFG32_MOUSE	tr|A0A1S3W3Z1|A0A1S3W3Z1_ERIEU
OG0000989	sp|Q920A7|AFG31_MOUSE	tr|A0A1S3WLR7|A0A1S3WLR7_ERIEU
OG0000990	sp|Q6ZPE2|MTMR5_MOUSE	tr|A0A1S3W6R1|A0A1S3W6R1_ERIEU
OG0000990	sp|E9PXF8|MTMRD_MOUSE	tr|A0A1S3WLI8|A0A1S3WLI8_ERIEU
OG0000991	sp|P12850|GROA_MOUSE	tr|A0A1S2ZIJ4|A0A1S2ZIJ4_ERIEU, tr|A0A1S3W7A5|A0A1S3W7A5_ERIEU, tr|A0A1S2ZIJ3|A0A1S2ZIJ3_ERIEU
OG0000992	sp|Q80SW1|SAHH2_MOUSE	tr|A0A1S3A4V4|A0A1S3A4V4_ERIEU
OG0000992	sp|Q68FL4|SAHH3_MOUSE	tr|A0A1S3WCI0|A0A1S3WCI0_ERIEU
OG0000993	sp|Q91V04|TRAM1_MOUSE	tr|A0A1S3WGM5|A0A1S3WGM5_ERIEU
OG0000993	sp|Q8QZR0|TR1L1_MOUSE	tr|A0A1S2ZW89|A0A1S2ZW89_ERIEU
OG0000994	tr|Q8C879|Q8C879_MOUSE	tr|A0A1S3A3Z7|A0A1S3A3Z7_ERIEU, tr|A0A1S3WUX0|A0A1S3WUX0_ERIEU, tr|A0A1S3WQV5|A0A1S3WQV5_ERIEU
OG0000995	sp|Q9JKT3|TA2R4_MOUSE	tr|A0A1S2ZP61|A0A1S2ZP61_ERIEU, tr|A0A1S2ZP19|A0A1S2ZP19_ERIEU, tr|A0A1S3AB46|A0A1S3AB46_ERIEU
OG0000996	sp|P22437|PGH1_MOUSE	tr|A0A1S3ASL2|A0A1S3ASL2_ERIEU
OG0000996	sp|Q05769|PGH2_MOUSE	tr|A0A1S2ZSI6|A0A1S2ZSI6_ERIEU
OG0000997	sp|Q3B7Z2|OSBP1_MOUSE	tr|A0A1S3W6Z7|A0A1S3W6Z7_ERIEU
OG0000997	sp|Q5QNQ6|OSBP2_MOUSE	tr|A0A1S3A4T7|A0A1S3A4T7_ERIEU
OG0000998	sp|O70433|FHL2_MOUSE	tr|A0A1S3AAJ9|A0A1S3AAJ9_ERIEU
OG0000998	sp|Q9WTX7|FHL5_MOUSE	tr|A0A1S3AQJ1|A0A1S3AQJ1_ERIEU
OG0000999	sp|Q6P3Y5|Z280C_MOUSE	tr|A0A1S3WH35|A0A1S3WH35_ERIEU
OG0000999	sp|Q68FE8|Z280D_MOUSE	tr|A0A1S3W8I7|A0A1S3W8I7_ERIEU
OG0001000	sp|Q8C088|EGFEM_MOUSE	tr|A0A1S3WAY6|A0A1S3WAY6_ERIEU
OG0001000	sp|Q80V70|MEGF6_MOUSE	tr|A0A1S3WJI2|A0A1S3WJI2_ERIEU
OG0001001	tr|Q7TQQ3|Q7TQQ3_MOUSE	tr|A0A1S2ZHQ3|A0A1S2ZHQ3_ERIEU
OG0001001	tr|Q8VG11|Q8VG11_MOUSE	tr|A0A1S2ZHP0|A0A1S2ZHP0_ERIEU
OG0001002	sp|Q810W6|CXCR1_MOUSE, sp|P35343|CXCR2_MOUSE	tr|A0A1S2ZIV5|A0A1S2ZIV5_ERIEU, tr|A0A1S2ZKK3|A0A1S2ZKK3_ERIEU
OG0001003	sp|O70299|MB211_MOUSE	tr|A0A1S2ZJK1|A0A1S2ZJK1_ERIEU
OG0001003	sp|Q8BPP1|MB212_MOUSE	tr|A0A1S3A242|A0A1S3A242_ERIEU
OG0001004	sp|P28862|MMP3_MOUSE, sp|O55123|MMP10_MOUSE, sp|P34960|MMP12_MOUSE	tr|A0A1S2ZKJ1|A0A1S2ZKJ1_ERIEU
OG0001006	sp|P31938|MP2K1_MOUSE	tr|A0A1S3WUS5|A0A1S3WUS5_ERIEU
OG0001006	sp|Q63932|MP2K2_MOUSE	tr|A0A1S2ZUU3|A0A1S2ZUU3_ERIEU
OG0001007	sp|O35643|AP1B1_MOUSE	tr|A0A1S3A5E8|A0A1S3A5E8_ERIEU
OG0001007	sp|Q9DBG3|AP2B1_MOUSE	tr|A0A1S2ZBX7|A0A1S2ZBX7_ERIEU
OG0001008	tr|E9Q5M4|E9Q5M4_MOUSE	tr|A0A1S3WDE0|A0A1S3WDE0_ERIEU
OG0001008	sp|O88532|ZFR_MOUSE	tr|A0A1S3A7C4|A0A1S3A7C4_ERIEU
OG0001009	sp|Q6P9S7|GLT10_MOUSE	tr|A0A1S3AFX9|A0A1S3AFX9_ERIEU
OG0001009	tr|E5D8G1|E5D8G1_MOUSE	tr|A0A1S2ZQP9|A0A1S2ZQP9_ERIEU
OG0001010	sp|Q9CZY3|UB2V1_MOUSE	tr|A0A1S3AIG0|A0A1S3AIG0_ERIEU, tr|A0A1S3A1N8|A0A1S3A1N8_ERIEU, tr|A0A1S3WNB6|A0A1S3WNB6_ERIEU
OG0001011	sp|P49290|PERE_MOUSE	tr|A0A1S3AJH3|A0A1S3AJH3_ERIEU
OG0001011	sp|P11247|PERM_MOUSE	tr|A0A1S3AK49|A0A1S3AK49_ERIEU
OG0001012	sp|Q9JJC8|NIPA2_MOUSE	tr|A0A1S3AER5|A0A1S3AER5_ERIEU
OG0001012	sp|Q8BMW7|NIPA3_MOUSE	tr|A0A1S3ASM4|A0A1S3ASM4_ERIEU
OG0001013	sp|P35569|IRS1_MOUSE	tr|A0A1S2ZJ46|A0A1S2ZJ46_ERIEU
OG0001013	sp|P81122|IRS2_MOUSE	tr|A0A1S3WSR8|A0A1S3WSR8_ERIEU
OG0001014	sp|Q8R1K4|AT2L2_MOUSE	tr|A0A1S2ZTT1|A0A1S2ZTT1_ERIEU
OG0001014	sp|Q8BWU8|AT2L1_MOUSE	tr|A0A1S3A8X3|A0A1S3A8X3_ERIEU
OG0001015	sp|P28663|SNAB_MOUSE	tr|A0A1S2ZW98|A0A1S2ZW98_ERIEU
OG0001015	sp|Q9DB05|SNAA_MOUSE	tr|A0A1S3WS30|A0A1S3WS30_ERIEU
OG0001016	sp|Q9DBD2|MARH8_MOUSE	tr|A0A1S2ZYH1|A0A1S2ZYH1_ERIEU
OG0001016	sp|Q6NZQ8|MARH1_MOUSE	tr|A0A1S3WKI8|A0A1S3WKI8_ERIEU
OG0001017	sp|Q8BGS7|CEPT1_MOUSE	tr|A0A1S2ZZG9|A0A1S2ZZG9_ERIEU
OG0001017	sp|Q8C025|CHPT1_MOUSE	tr|A0A1S3ANA3|A0A1S3ANA3_ERIEU
OG0001018	sp|P62069|UBP46_MOUSE	tr|A0A1S3ASK3|A0A1S3ASK3_ERIEU
OG0001018	sp|Q9D9M2|UBP12_MOUSE	tr|A0A1S3A3A4|A0A1S3A3A4_ERIEU
OG0001019	sp|Q8VE97|SRSF4_MOUSE	tr|A0A1S3WAH8|A0A1S3WAH8_ERIEU
OG0001019	sp|Q3TWW8|SRSF6_MOUSE	tr|A0A1S3AI89|A0A1S3AI89_ERIEU
OG0001020	sp|P16277|BLK_MOUSE	tr|A0A1S2ZCK3|A0A1S2ZCK3_ERIEU
OG0001020	sp|P06240|LCK_MOUSE	tr|A0A1S3WBK8|A0A1S3WBK8_ERIEU
OG0001021	sp|Q99104|MYO5A_MOUSE	tr|A0A1S3WN66|A0A1S3WN66_ERIEU
OG0001021	sp|P21271|MYO5B_MOUSE	tr|A0A1S2Z9I7|A0A1S2Z9I7_ERIEU
OG0001022	sp|Q61626|GRIK5_MOUSE	tr|A0A1S3WNK9|A0A1S3WNK9_ERIEU
OG0001022	sp|Q8BMF5|GRIK4_MOUSE	tr|A0A1S2ZRX8|A0A1S2ZRX8_ERIEU
OG0001023	sp|Q9DBI2|BBS10_MOUSE	tr|A0A1S3AQC9|A0A1S3AQC9_ERIEU, tr|A0A1S3WWC8|A0A1S3WWC8_ERIEU, tr|A0A1S3AQD8|A0A1S3AQD8_ERIEU
OG0001024	sp|Q0HA38|TT21B_MOUSE	tr|A0A1S3AR68|A0A1S3AR68_ERIEU
OG0001024	sp|Q8C0S4|TT21A_MOUSE	tr|A0A1S2ZDL1|A0A1S2ZDL1_ERIEU
OG0001025	sp|O55106|STRN_MOUSE	tr|A0A1S2ZL67|A0A1S2ZL67_ERIEU
OG0001025	sp|Q9ERG2|STRN3_MOUSE	tr|A0A1S2ZBN1|A0A1S2ZBN1_ERIEU
OG0001026	sp|Q9CQV8|1433B_MOUSE	tr|A0A1S3A897|A0A1S3A897_ERIEU
OG0001026	sp|P63101|1433Z_MOUSE	tr|A0A1S3ABR1|A0A1S3ABR1_ERIEU
OG0001027	sp|O54829|RGS7_MOUSE	tr|A0A1S3ABX7|A0A1S3ABX7_ERIEU
OG0001027	sp|Q9Z2H2|RGS6_MOUSE	tr|A0A1S3A2U8|A0A1S3A2U8_ERIEU
OG0001028	sp|P63300|SELW_MOUSE	tr|A0A1S3AJ01|A0A1S3AJ01_ERIEU
OG0001028	tr|D3YXG1|D3YXG1_MOUSE	tr|A0A1S3AR59|A0A1S3AR59_ERIEU
OG0001029	sp|Q91YH6|VATB1_MOUSE	tr|A0A1S2ZS65|A0A1S2ZS65_ERIEU
OG0001029	sp|P62814|VATB2_MOUSE	tr|A0A1S3AJQ1|A0A1S3AJQ1_ERIEU
