Orthogroup	Mus_musculus	Rhinolophus_ferrumequinum
OG0000439	tr|F8VQ29|F8VQ29_MOUSE	tr|A0A671F475|A0A671F475_RHIFE
OG0000441	tr|A0A087WRX6|A0A087WRX6_MOUSE	tr|A0A671FXG5|A0A671FXG5_RHIFE, tr|A0A671DHQ4|A0A671DHQ4_RHIFE, tr|A0A671DI27|A0A671DI27_RHIFE, tr|A0A671FXB8|A0A671FXB8_RHIFE, tr|A0A671DQ69|A0A671DQ69_RHIFE
OG0000443	sp|Q9D7Z6|CLCA1_MOUSE	tr|A0A671EQV8|A0A671EQV8_RHIFE
OG0000443	sp|Q6Q473|CLA4A_MOUSE, tr|Q3UW98|Q3UW98_MOUSE	tr|A0A671EQL3|A0A671EQL3_RHIFE, tr|A0A671ER70|A0A671ER70_RHIFE
OG0000444	sp|Q8K1Y2|KPCD3_MOUSE	tr|A0A671EUG5|A0A671EUG5_RHIFE
OG0000444	sp|Q62101|KPCD1_MOUSE	tr|A0A671DLS7|A0A671DLS7_RHIFE
OG0000444	sp|Q8BZ03|KPCD2_MOUSE	tr|A0A671EWJ7|A0A671EWJ7_RHIFE
OG0000445	tr|Q8VGY4|Q8VGY4_MOUSE, tr|Q7TRQ1|Q7TRQ1_MOUSE, tr|Q924X8|Q924X8_MOUSE, tr|Q8VGY1|Q8VGY1_MOUSE, tr|Q8VH21|Q8VH21_MOUSE	tr|A0A671EVM3|A0A671EVM3_RHIFE
OG0000447	sp|P63087|PP1G_MOUSE	tr|A0A671EGJ0|A0A671EGJ0_RHIFE
OG0000447	sp|P62141|PP1B_MOUSE	tr|A0A671EHW1|A0A671EHW1_RHIFE
OG0000447	sp|P62137|PP1A_MOUSE	tr|A0A671DJP2|A0A671DJP2_RHIFE
OG0000448	sp|Q9CQV8|1433B_MOUSE	tr|A0A671G103|A0A671G103_RHIFE
OG0000448	sp|P68254|1433T_MOUSE	tr|A0A671ELB9|A0A671ELB9_RHIFE
OG0000448	sp|P63101|1433Z_MOUSE	tr|A0A671FU06|A0A671FU06_RHIFE
OG0000450	sp|Q8BUY8|GASP2_MOUSE	tr|A0A671DJC8|A0A671DJC8_RHIFE
OG0000450	sp|Q5U4C1|GASP1_MOUSE	tr|A0A671DP31|A0A671DP31_RHIFE, tr|A0A671DJT3|A0A671DJT3_RHIFE, tr|A0A671DKD2|A0A671DKD2_RHIFE
OG0000451	tr|B1AR17|B1AR17_MOUSE	tr|A0A671ENL2|A0A671ENL2_RHIFE
OG0000451	sp|A2A8L1|CHD5_MOUSE	tr|A0A671EPI7|A0A671EPI7_RHIFE
OG0000451	sp|Q6PDQ2|CHD4_MOUSE	tr|A0A671DRE3|A0A671DRE3_RHIFE
OG0000452	tr|Q9D4Z5|Q9D4Z5_MOUSE, tr|A2AHA7|A2AHA7_MOUSE, tr|A2AWL1|A2AWL1_MOUSE, tr|L7MUB4|L7MUB4_MOUSE, tr|A2AWL3|A2AWL3_MOUSE	tr|A0A671DK70|A0A671DK70_RHIFE
OG0000453	sp|P61226|RAP2B_MOUSE	tr|A0A671E4H5|A0A671E4H5_RHIFE
OG0000453	sp|Q80ZJ1|RAP2A_MOUSE	tr|A0A671E2L3|A0A671E2L3_RHIFE
OG0000453	sp|Q8BU31|RAP2C_MOUSE	tr|A0A671DIB2|A0A671DIB2_RHIFE
OG0000454	sp|Q8BUR4|DOCK1_MOUSE	tr|A0A671EFN7|A0A671EFN7_RHIFE
OG0000454	sp|Q8C3J5|DOCK2_MOUSE	tr|A0A671G8B8|A0A671G8B8_RHIFE
OG0000454	sp|B2RY04|DOCK5_MOUSE	tr|A0A671EIW2|A0A671EIW2_RHIFE
OG0000455	sp|P20612|GNAT1_MOUSE	tr|A0A671FYS7|A0A671FYS7_RHIFE
OG0000455	sp|P50149|GNAT2_MOUSE	tr|A0A671G2L6|A0A671G2L6_RHIFE
OG0000455	sp|Q3V3I2|GNAT3_MOUSE	tr|A0A671G0Q1|A0A671G0Q1_RHIFE
OG0000457	tr|A7UAK5|A7UAK5_MOUSE	tr|A0A671FG82|A0A671FG82_RHIFE
OG0000457	sp|P70266|F261_MOUSE	tr|A0A671DUJ3|A0A671DUJ3_RHIFE
OG0000457	sp|Q6DTY7|F264_MOUSE	tr|A0A671ESG0|A0A671ESG0_RHIFE
OG0000458	sp|Q9R0B9|PLOD2_MOUSE	tr|A0A671E361|A0A671E361_RHIFE
OG0000458	sp|Q9R0E1|PLOD3_MOUSE	tr|A0A671ECK9|A0A671ECK9_RHIFE
OG0000458	sp|Q9R0E2|PLOD1_MOUSE	tr|A0A671FKH2|A0A671FKH2_RHIFE
OG0000459	tr|D3YXK0|D3YXK0_MOUSE	tr|A0A671EN77|A0A671EN77_RHIFE
OG0000459	sp|Q8BVL9|JKIP1_MOUSE	tr|A0A671E3V5|A0A671E3V5_RHIFE
OG0000459	sp|Q5DTN8|JKIP3_MOUSE	tr|A0A671E7F3|A0A671E7F3_RHIFE
OG0000460	sp|P27812|KRBBA_MOUSE, sp|P27811|KLRBA_MOUSE, sp|P27814|KLRBC_MOUSE, sp|Q0ZUP1|KLRB1_MOUSE, sp|Q8VD98|KLRBF_MOUSE	tr|A0A671E6M1|A0A671E6M1_RHIFE
OG0000461	sp|Q62082|MYL10_MOUSE	tr|A0A671EE53|A0A671EE53_RHIFE
OG0000461	sp|P51667|MLRV_MOUSE	tr|A0A671F2R5|A0A671F2R5_RHIFE, tr|A0A671FLA9|A0A671FLA9_RHIFE, tr|A0A671ELD0|A0A671ELD0_RHIFE
OG0000462	sp|Q9DBD0|ICA_MOUSE	tr|A0A671FP20|A0A671FP20_RHIFE
OG0000462	sp|Q921I1|TRFE_MOUSE	tr|A0A671FNM4|A0A671FNM4_RHIFE
OG0000462	sp|P08071|TRFL_MOUSE	tr|A0A671FIB3|A0A671FIB3_RHIFE
OG0000463	sp|Q3V2C1|KRA93_MOUSE, tr|A2A590|A2A590_MOUSE	tr|A0A671FS30|A0A671FS30_RHIFE, tr|A0A671FXX3|A0A671FXX3_RHIFE, tr|A0A671FSC1|A0A671FSC1_RHIFE, tr|A0A671FXV3|A0A671FXV3_RHIFE
OG0000465	sp|Q8CBF3|EPHB1_MOUSE	tr|A0A671EI34|A0A671EI34_RHIFE
OG0000465	sp|P54763|EPHB2_MOUSE	tr|A0A671DLC3|A0A671DLC3_RHIFE
OG0000465	sp|P54754|EPHB3_MOUSE	tr|A0A671F6Q5|A0A671F6Q5_RHIFE
OG0000466	sp|P48453|PP2BB_MOUSE	tr|A0A671FMB3|A0A671FMB3_RHIFE
OG0000466	sp|P63328|PP2BA_MOUSE	tr|A0A671DWU3|A0A671DWU3_RHIFE
OG0000466	sp|P48455|PP2BC_MOUSE	tr|A0A671ET66|A0A671ET66_RHIFE
OG0000467	sp|Q09143|CTR1_MOUSE	tr|A0A671DIL4|A0A671DIL4_RHIFE
OG0000467	tr|E9PWS4|E9PWS4_MOUSE	tr|A0A671EFQ6|A0A671EFQ6_RHIFE
OG0000467	sp|P70423|CTR3_MOUSE	tr|A0A671DH18|A0A671DH18_RHIFE
OG0000468	sp|Q61036|PAK3_MOUSE	tr|A0A671G687|A0A671G687_RHIFE
OG0000468	sp|O88643|PAK1_MOUSE	tr|A0A671G5K3|A0A671G5K3_RHIFE
OG0000468	sp|Q8CIN4|PAK2_MOUSE	tr|A0A671FBU0|A0A671FBU0_RHIFE
OG0000469	sp|Q91WC3|ACSL6_MOUSE	tr|A0A671FNX4|A0A671FNX4_RHIFE
OG0000469	sp|P41216|ACSL1_MOUSE	tr|A0A671FMM8|A0A671FMM8_RHIFE
OG0000469	sp|Q8JZR0|ACSL5_MOUSE	tr|A0A671EQH4|A0A671EQH4_RHIFE
OG0000470	sp|Q9R0M0|CELR2_MOUSE	tr|A0A671FRE2|A0A671FRE2_RHIFE
OG0000470	sp|O35161|CELR1_MOUSE	tr|A0A671EU48|A0A671EU48_RHIFE
OG0000470	sp|Q91ZI0|CELR3_MOUSE	tr|A0A671EKX4|A0A671EKX4_RHIFE
OG0000471	tr|Q8CDK1|Q8CDK1_MOUSE, tr|A0A0U1RPT6|A0A0U1RPT6_MOUSE, tr|E9PVP9|E9PVP9_MOUSE, tr|W4VSN8|W4VSN8_MOUSE, sp|Q3V0A6|CB078_MOUSE	tr|A0A671ERP6|A0A671ERP6_RHIFE
OG0000472	sp|P18911|RARG_MOUSE	tr|A0A671DPI7|A0A671DPI7_RHIFE
OG0000472	sp|P22605|RARB_MOUSE	tr|A0A671ERV6|A0A671ERV6_RHIFE
OG0000472	sp|P11416|RARA_MOUSE	tr|A0A671FK48|A0A671FK48_RHIFE
OG0000473	sp|Q61292|LAMB2_MOUSE	tr|A0A671EEX0|A0A671EEX0_RHIFE
OG0000473	sp|P02469|LAMB1_MOUSE	tr|A0A671EA79|A0A671EA79_RHIFE, tr|A0A671FRC9|A0A671FRC9_RHIFE, tr|A0A671FWH4|A0A671FWH4_RHIFE
OG0000474	sp|Q9DCY0|KEG1_MOUSE	tr|A0A671DZE9|A0A671DZE9_RHIFE, tr|A0A671DUA3|A0A671DUA3_RHIFE
OG0000474	sp|Q5FW57|GLYAL_MOUSE, sp|Q91XE0|GLYAT_MOUSE	tr|A0A671DUI1|A0A671DUI1_RHIFE
OG0000475	sp|Q8K596|NAC2_MOUSE	tr|A0A671FFQ8|A0A671FFQ8_RHIFE
OG0000475	sp|P70414|NAC1_MOUSE	tr|A0A671EIZ7|A0A671EIZ7_RHIFE
OG0000475	sp|S4R2P9|NAC3_MOUSE	tr|A0A671E0K4|A0A671E0K4_RHIFE
OG0000476	tr|Q7TR85|Q7TR85_MOUSE, tr|A0A1L1ST14|A0A1L1ST14_MOUSE, tr|Q7TR87|Q7TR87_MOUSE, tr|Q8VFK5|Q8VFK5_MOUSE, tr|A2ATE5|A2ATE5_MOUSE	tr|A0A671EHJ5|A0A671EHJ5_RHIFE
OG0000477	sp|Q80TS3|AGRL3_MOUSE	tr|A0A671ESP5|A0A671ESP5_RHIFE
OG0000477	sp|Q8JZZ7|AGRL2_MOUSE	tr|A0A671EBY1|A0A671EBY1_RHIFE
OG0000477	sp|Q80TR1|AGRL1_MOUSE	tr|A0A671ERE4|A0A671ERE4_RHIFE
OG0000478	sp|Q8C4X2|KC1G3_MOUSE	tr|A0A671DIW2|A0A671DIW2_RHIFE
OG0000478	sp|Q8BVP5|KC1G2_MOUSE	tr|A0A671EPU9|A0A671EPU9_RHIFE
OG0000478	sp|Q8BTH8|KC1G1_MOUSE	tr|A0A671EJH0|A0A671EJH0_RHIFE
OG0000479	sp|P30677|GNA14_MOUSE	tr|A0A671EXX2|A0A671EXX2_RHIFE
OG0000479	sp|P21279|GNAQ_MOUSE	tr|A0A671EY81|A0A671EY81_RHIFE
OG0000479	sp|P21278|GNA11_MOUSE	tr|A0A671EHK0|A0A671EHK0_RHIFE
OG0000480	sp|Q7M753|PANK2_MOUSE	tr|A0A671FQA4|A0A671FQA4_RHIFE
OG0000480	sp|Q8K4K6|PANK1_MOUSE	tr|A0A671FR27|A0A671FR27_RHIFE
OG0000480	sp|Q8R2W9|PANK3_MOUSE	tr|A0A671G4P3|A0A671G4P3_RHIFE
OG0000481	sp|Q923L3|CSMD1_MOUSE	tr|A0A671FD34|A0A671FD34_RHIFE
OG0000481	sp|Q80T79|CSMD3_MOUSE	tr|A0A671EJE5|A0A671EJE5_RHIFE
OG0000481	tr|V9GX34|V9GX34_MOUSE	tr|A0A671DKC5|A0A671DKC5_RHIFE
OG0000482	sp|Q9CPR4|RL17_MOUSE	tr|A0A671DI53|A0A671DI53_RHIFE, tr|A0A671DMX3|A0A671DMX3_RHIFE
OG0000482	tr|B2RY53|B2RY53_MOUSE	tr|A0A671DPG5|A0A671DPG5_RHIFE, tr|A0A671FY74|A0A671FY74_RHIFE
OG0000483	sp|Q9JJZ8|CNGA3_MOUSE	tr|A0A671E9L7|A0A671E9L7_RHIFE
OG0000483	sp|P29974|CNGA1_MOUSE	tr|A0A671DKX6|A0A671DKX6_RHIFE
OG0000483	sp|Q62398|CNGA2_MOUSE	tr|A0A671ECD6|A0A671ECD6_RHIFE
OG0000484	sp|Q80X90|FLNB_MOUSE	tr|A0A671EK95|A0A671EK95_RHIFE
OG0000484	sp|Q8BTM8|FLNA_MOUSE	tr|A0A671DYL7|A0A671DYL7_RHIFE
OG0000484	sp|Q8VHX6|FLNC_MOUSE	tr|A0A671FTA7|A0A671FTA7_RHIFE
OG0000485	sp|Q9ET01|PYGL_MOUSE	tr|A0A671DUN0|A0A671DUN0_RHIFE
OG0000485	sp|Q8CI94|PYGB_MOUSE	tr|A0A671EZP3|A0A671EZP3_RHIFE
OG0000485	sp|Q9WUB3|PYGM_MOUSE	tr|B2KIB4|B2KIB4_RHIFE
OG0000486	sp|P70340|SMAD1_MOUSE	tr|A0A671FDU9|A0A671FDU9_RHIFE
OG0000486	sp|Q9JIW5|SMAD9_MOUSE	tr|A0A671DPX6|A0A671DPX6_RHIFE
OG0000486	sp|P97454|SMAD5_MOUSE	tr|A0A671E988|A0A671E988_RHIFE
OG0000487	sp|Q9CR98|F136A_MOUSE	tr|A0A671F5B9|A0A671F5B9_RHIFE, tr|A0A671E2N8|A0A671E2N8_RHIFE, tr|A0A671G598|A0A671G598_RHIFE, tr|A0A671DWW7|A0A671DWW7_RHIFE, tr|A0A671F7K7|A0A671F7K7_RHIFE
OG0000488	sp|E9PZQ0|RYR1_MOUSE	tr|A0A671G8K5|A0A671G8K5_RHIFE
OG0000488	sp|A2AGL3|RYR3_MOUSE	tr|A0A671E5Z5|A0A671E5Z5_RHIFE
OG0000488	sp|E9Q401|RYR2_MOUSE	tr|A0A671G0M3|A0A671G0M3_RHIFE
OG0000489	sp|P63141|KCNA2_MOUSE	tr|A0A671EPT4|A0A671EPT4_RHIFE
OG0000489	sp|P16388|KCNA1_MOUSE, sp|Q61923|KCNA6_MOUSE, sp|P16390|KCNA3_MOUSE	tr|A0A671EYP0|A0A671EYP0_RHIFE
OG0000490	sp|P62748|HPCL1_MOUSE	tr|A0A671EQY0|A0A671EQY0_RHIFE
OG0000490	sp|P84075|HPCA_MOUSE	tr|A0A671FLE3|A0A671FLE3_RHIFE
OG0000490	sp|Q91X97|NCALD_MOUSE	tr|A0A671G0P0|A0A671G0P0_RHIFE
OG0000491	sp|Q9Z2X1|HNRPF_MOUSE	tr|A0A671F0W6|A0A671F0W6_RHIFE
OG0000491	sp|P70333|HNRH2_MOUSE	tr|A0A671DL85|A0A671DL85_RHIFE
OG0000491	sp|O35737|HNRH1_MOUSE	tr|A0A671G9Z3|A0A671G9Z3_RHIFE
OG0000492	sp|Q99JW1|AB17A_MOUSE	tr|A0A671EQT0|A0A671EQT0_RHIFE
OG0000492	sp|Q7M759|AB17B_MOUSE	tr|A0A671EKF4|A0A671EKF4_RHIFE
OG0000492	sp|Q8VCV1|AB17C_MOUSE	tr|A0A671FNA4|A0A671FNA4_RHIFE
OG0000493	sp|Q9JMB8|CNTN6_MOUSE	tr|A0A671F0C4|A0A671F0C4_RHIFE
OG0000493	sp|Q07409|CNTN3_MOUSE	tr|A0A671EZ30|A0A671EZ30_RHIFE
OG0000493	sp|Q69Z26|CNTN4_MOUSE	tr|A0A671F0J1|A0A671F0J1_RHIFE
OG0000494	sp|P55292|DSC2_MOUSE	tr|A0A671G4M1|A0A671G4M1_RHIFE
OG0000494	sp|P55850|DSC3_MOUSE	tr|A0A671GBZ8|A0A671GBZ8_RHIFE
OG0000494	sp|P55849|DSC1_MOUSE	tr|A0A671G9V9|A0A671G9V9_RHIFE
OG0000495	sp|Q9Z2V6|HDAC5_MOUSE	tr|A0A671FDR7|A0A671FDR7_RHIFE
OG0000495	sp|Q99N13|HDAC9_MOUSE	tr|A0A671FDQ9|A0A671FDQ9_RHIFE
OG0000495	sp|Q6NZM9|HDAC4_MOUSE	tr|A0A671DRG0|A0A671DRG0_RHIFE
OG0000496	sp|P83882|RL36A_MOUSE	tr|A0A671EHU0|A0A671EHU0_RHIFE, tr|A0A671EKI4|A0A671EKI4_RHIFE, tr|A0A671DPW5|A0A671DPW5_RHIFE, tr|A0A671DQA9|A0A671DQA9_RHIFE, tr|A0A671EBL3|A0A671EBL3_RHIFE
OG0000497	tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|Q8VGZ8|Q8VGZ8_MOUSE, tr|F8VPJ9|F8VPJ9_MOUSE, tr|K7N6B1|K7N6B1_MOUSE, tr|Q8VH20|Q8VH20_MOUSE	tr|A0A671F1A5|A0A671F1A5_RHIFE
OG0000500	sp|Q62381|TLL1_MOUSE	tr|A0A671EJU0|A0A671EJU0_RHIFE
OG0000500	sp|Q9WVM6|TLL2_MOUSE	tr|A0A671FCT8|A0A671FCT8_RHIFE
OG0000500	sp|P98063|BMP1_MOUSE	tr|A0A671F330|A0A671F330_RHIFE
OG0000501	sp|O35343|IMA3_MOUSE	tr|A0A671DSE8|A0A671DSE8_RHIFE
OG0000501	sp|C0LLJ0|IMA8_MOUSE	tr|A0A671F254|A0A671F254_RHIFE
OG0000501	sp|O35344|IMA4_MOUSE	tr|A0A671FYH3|A0A671FYH3_RHIFE
OG0000502	sp|P10107|ANXA1_MOUSE	tr|A0A671DJY5|A0A671DJY5_RHIFE, tr|A0A671DWG8|A0A671DWG8_RHIFE, tr|A0A671FIV1|A0A671FIV1_RHIFE, tr|A0A671EVJ5|A0A671EVJ5_RHIFE, tr|A0A671FCR0|A0A671FCR0_RHIFE
OG0000503	sp|Q8JZW4|CPNE5_MOUSE	tr|A0A671DID5|A0A671DID5_RHIFE
OG0000503	sp|Q1RLL3|CPNE9_MOUSE	tr|A0A671F8Q4|A0A671F8Q4_RHIFE
OG0000503	sp|Q9DC53|CPNE8_MOUSE	tr|A0A671DZ26|A0A671DZ26_RHIFE
OG0000504	sp|Q60972|RBBP4_MOUSE	tr|A0A671F859|A0A671F859_RHIFE
OG0000504	sp|Q60973|RBBP7_MOUSE	tr|A0A671DSI6|A0A671DSI6_RHIFE, tr|A0A671EJE4|A0A671EJE4_RHIFE, tr|A0A671F3C8|A0A671F3C8_RHIFE
OG0000505	sp|Q8C9W3|ATS2_MOUSE	tr|A0A671G1P6|A0A671G1P6_RHIFE
OG0000505	tr|E9PX39|E9PX39_MOUSE	tr|A0A671ETM4|A0A671ETM4_RHIFE
OG0000505	tr|E9Q287|E9Q287_MOUSE	tr|A0A671FVZ6|A0A671FVZ6_RHIFE
OG0000506	sp|Q9EST5|AN32B_MOUSE	tr|A0A671F754|A0A671F754_RHIFE
OG0000506	sp|O35381|AN32A_MOUSE, sp|Q64G17|AN32C_MOUSE	tr|A0A671E250|A0A671E250_RHIFE, tr|A0A671FPU8|A0A671FPU8_RHIFE
OG0000507	sp|Q8BKN6|HS3SA_MOUSE	tr|A0A671FC86|A0A671FC86_RHIFE
OG0000507	tr|D3YVV6|D3YVV6_MOUSE	tr|A0A671FLQ0|A0A671FLQ0_RHIFE
OG0000507	sp|Q9QZS6|HS3SB_MOUSE	tr|A0A671F289|A0A671F289_RHIFE
OG0000508	sp|Q3UTA9|I4E1B_MOUSE	tr|A0A671ETJ6|A0A671ETJ6_RHIFE
OG0000508	sp|P63073|IF4E_MOUSE	tr|A0A671FLZ0|A0A671FLZ0_RHIFE, tr|A0A671DLI4|A0A671DLI4_RHIFE, tr|A0A671E2W3|A0A671E2W3_RHIFE
OG0000509	sp|Q9CPQ1|COX6C_MOUSE	tr|A0A671EGN1|A0A671EGN1_RHIFE, tr|A0A671EHH8|A0A671EHH8_RHIFE, tr|A0A671FAC9|A0A671FAC9_RHIFE, tr|A0A671DJX1|A0A671DJX1_RHIFE, tr|A0A671DUY6|A0A671DUY6_RHIFE
OG0000510	sp|Q64448|CXA3_MOUSE	tr|A0A671DRC7|A0A671DRC7_RHIFE
OG0000510	sp|P28235|CXA4_MOUSE	tr|A0A671DRE0|A0A671DRE0_RHIFE, tr|A0A671DZP6|A0A671DZP6_RHIFE, tr|A0A671DKB8|A0A671DKB8_RHIFE
OG0000511	sp|Q9WVB4|SLIT3_MOUSE	tr|A0A671G4X5|A0A671G4X5_RHIFE
OG0000511	sp|Q9R1B9|SLIT2_MOUSE	tr|A0A671E0D5|A0A671E0D5_RHIFE
OG0000511	sp|Q80TR4|SLIT1_MOUSE	tr|A0A671F634|A0A671F634_RHIFE
OG0000512	sp|Q9DAL7|IQCF5_MOUSE, sp|Q9D498|IQCF3_MOUSE	tr|A0A671FK08|A0A671FK08_RHIFE
OG0000512	sp|Q9D9K8|IQCF1_MOUSE	tr|A0A671FUB7|A0A671FUB7_RHIFE, tr|A0A671FHF2|A0A671FHF2_RHIFE
OG0000514	sp|P25911|LYN_MOUSE	tr|A0A671EGF4|A0A671EGF4_RHIFE
OG0000514	sp|P08103|HCK_MOUSE	tr|A0A671EVG6|A0A671EVG6_RHIFE
OG0000514	sp|P06240|LCK_MOUSE	tr|A0A671F9G7|A0A671F9G7_RHIFE
OG0000515	sp|Q8BHJ7|GBRA5_MOUSE	tr|A0A671F5Z5|A0A671F5Z5_RHIFE
OG0000515	sp|P62812|GBRA1_MOUSE	tr|A0A671FUC2|A0A671FUC2_RHIFE
OG0000515	sp|P26048|GBRA2_MOUSE	tr|A0A671DS50|A0A671DS50_RHIFE
OG0000516	sp|O35600|ABCA4_MOUSE	tr|A0A671ENK3|A0A671ENK3_RHIFE
OG0000516	sp|P41234|ABCA2_MOUSE, sp|Q91V24|ABCA7_MOUSE, sp|P41233|ABCA1_MOUSE	tr|A0A671FF14|A0A671FF14_RHIFE
OG0000517	sp|B5X0E4|ABCB5_MOUSE	tr|A0A671FAR0|A0A671FAR0_RHIFE
OG0000517	sp|P21440|MDR3_MOUSE, sp|P21447|MDR1A_MOUSE, sp|P06795|MDR1B_MOUSE	tr|A0A671FUS3|A0A671FUS3_RHIFE
OG0000518	sp|Q9JIB6|BIR1F_MOUSE, sp|Q9JIB3|BIR1G_MOUSE, sp|Q9R016|BIR1E_MOUSE, sp|Q9QWK5|BIR1A_MOUSE, sp|Q9QUK4|BIR1B_MOUSE	tr|A0A671G0E7|A0A671G0E7_RHIFE
OG0000519	sp|P97326|CADH6_MOUSE	tr|A0A671DZZ4|A0A671DZZ4_RHIFE
OG0000519	sp|P70408|CAD10_MOUSE	tr|A0A671E7D3|A0A671E7D3_RHIFE
OG0000519	sp|P70407|CADH9_MOUSE	tr|A0A671DZE1|A0A671DZE1_RHIFE
OG0000520	tr|Q5SQ27|Q5SQ27_MOUSE	tr|A0A671EES8|A0A671EES8_RHIFE
OG0000520	sp|Q99J08|S14L2_MOUSE	tr|A0A671EDU7|A0A671EDU7_RHIFE
OG0000520	sp|Q8R0F9|S14L4_MOUSE	tr|A0A671EN80|A0A671EN80_RHIFE
OG0000521	sp|Q9D6P8|CALL3_MOUSE	tr|A0A671FA45|A0A671FA45_RHIFE
OG0000521	sp|P0DP26|CALM1_MOUSE, sp|P0DP27|CALM2_MOUSE, sp|P0DP28|CALM3_MOUSE	tr|A0A671ELC3|A0A671ELC3_RHIFE
OG0000522	sp|O08528|HXK2_MOUSE	tr|A0A671E5Q3|A0A671E5Q3_RHIFE
OG0000522	sp|Q91W97|HKDC1_MOUSE	tr|A0A671ETQ1|A0A671ETQ1_RHIFE
OG0000522	sp|P17710|HXK1_MOUSE	tr|A0A671EKP6|A0A671EKP6_RHIFE
OG0000523	sp|Q9EQR3|KCNN1_MOUSE	tr|A0A671FQ92|A0A671FQ92_RHIFE
OG0000523	sp|P58390|KCNN2_MOUSE	tr|A0A671F957|A0A671F957_RHIFE
OG0000523	sp|P58391|KCNN3_MOUSE	tr|A0A671G143|A0A671G143_RHIFE
OG0000524	tr|A0A1L1SQU7|A0A1L1SQU7_MOUSE	tr|A0A671F099|A0A671F099_RHIFE
OG0000524	sp|Q5F226|FAT2_MOUSE	tr|A0A671FGI6|A0A671FGI6_RHIFE
OG0000524	sp|Q8BNA6|FAT3_MOUSE	tr|A0A671FS68|A0A671FS68_RHIFE
OG0000525	sp|Q9CQT5|POMP_MOUSE	tr|A0A671E731|A0A671E731_RHIFE, tr|A0A671FU32|A0A671FU32_RHIFE, tr|A0A671ECR5|A0A671ECR5_RHIFE, tr|A0A671FN62|A0A671FN62_RHIFE, tr|A0A671ET56|A0A671ET56_RHIFE
OG0000526	sp|E9Q7X7|NRX2A_MOUSE	tr|A0A671E8Z5|A0A671E8Z5_RHIFE
OG0000526	sp|Q9CS84|NRX1A_MOUSE	tr|A0A671FFF7|A0A671FFF7_RHIFE
OG0000526	sp|Q6P9K9|NRX3A_MOUSE	tr|A0A671FAI4|A0A671FAI4_RHIFE
OG0000527	sp|Q9CQ19|MYL9_MOUSE	tr|A0A671FHM3|A0A671FHM3_RHIFE
OG0000527	sp|Q3THE2|ML12B_MOUSE	tr|A0A671EST9|A0A671EST9_RHIFE, tr|A0A671F999|A0A671F999_RHIFE, tr|A0A671FHT6|A0A671FHT6_RHIFE
OG0000528	sp|P50571|GBRB1_MOUSE	tr|A0A671DMU8|A0A671DMU8_RHIFE
OG0000528	sp|P63080|GBRB3_MOUSE	tr|A0A671F5H9|A0A671F5H9_RHIFE
OG0000528	sp|P63137|GBRB2_MOUSE	tr|A0A671G1W6|A0A671G1W6_RHIFE
OG0000529	sp|Q5DTL9|S4A10_MOUSE	tr|A0A671EAQ0|A0A671EAQ0_RHIFE
OG0000529	sp|Q8JZR6|S4A8_MOUSE	tr|A0A671FSY2|A0A671FSY2_RHIFE
OG0000529	sp|Q8BTY2|S4A7_MOUSE	tr|A0A671EJF6|A0A671EJF6_RHIFE
OG0000530	sp|Q8VDD9|PHIP_MOUSE	tr|A0A671FT52|A0A671FT52_RHIFE
OG0000530	sp|A2AHJ4|BRWD3_MOUSE	tr|A0A671EAL5|A0A671EAL5_RHIFE
OG0000530	sp|Q921C3|BRWD1_MOUSE	tr|A0A671E337|A0A671E337_RHIFE
OG0000531	sp|Q8C7B8|ZSWM4_MOUSE	tr|A0A671EVA2|A0A671EVA2_RHIFE
OG0000531	sp|Q80TC6|ZSWM5_MOUSE	tr|A0A671EQ70|A0A671EQ70_RHIFE
OG0000531	sp|Q80TB7|ZSWM6_MOUSE	tr|A0A671FP08|A0A671FP08_RHIFE
OG0000532	sp|Q9CYZ8|SSBP2_MOUSE	tr|A0A671FWJ4|A0A671FWJ4_RHIFE
OG0000532	sp|Q9D032|SSBP3_MOUSE	tr|A0A671E3D8|A0A671E3D8_RHIFE
OG0000532	tr|Q3U4B1|Q3U4B1_MOUSE	tr|A0A671FWE1|A0A671FWE1_RHIFE
OG0000533	sp|P31650|S6A11_MOUSE	tr|A0A671FZD0|A0A671FZD0_RHIFE
OG0000533	sp|P31649|S6A13_MOUSE	tr|A0A671FYZ9|A0A671FYZ9_RHIFE
OG0000533	sp|P31651|S6A12_MOUSE	tr|A0A671FYS8|A0A671FYS8_RHIFE
OG0000534	sp|Q3U497|CLM7_MOUSE	tr|A0A671ELF7|A0A671ELF7_RHIFE, tr|A0A671ELA5|A0A671ELA5_RHIFE, tr|A0A671ENC9|A0A671ENC9_RHIFE, tr|A0A671ELN1|A0A671ELN1_RHIFE, tr|A0A671ELN9|A0A671ELN9_RHIFE
OG0000535	sp|P61021|RAB5B_MOUSE	tr|A0A671EDG2|A0A671EDG2_RHIFE
OG0000535	sp|Q9CQD1|RAB5A_MOUSE	tr|A0A671F6T7|A0A671F6T7_RHIFE
OG0000535	sp|P35278|RAB5C_MOUSE	tr|A0A671EDF7|A0A671EDF7_RHIFE
OG0000536	tr|A0A571BF69|A0A571BF69_MOUSE	tr|A0A671FXC9|A0A671FXC9_RHIFE
OG0000536	tr|F8VQM5|F8VQM5_MOUSE	tr|A0A671DRC3|A0A671DRC3_RHIFE
