Orthogroup	Mus_musculus	Puma_concolor
OG0001386	sp|P30282|CCND3_MOUSE, sp|P25322|CCND1_MOUSE, sp|P30280|CCND2_MOUSE	tr|A0A6P6I263|A0A6P6I263_PUMCO
OG0001387	sp|Q04744|EMX2_MOUSE	tr|A0A6P6HE86|A0A6P6HE86_PUMCO, tr|A0A6P6HN46|A0A6P6HN46_PUMCO, tr|A0A6P6HED8|A0A6P6HED8_PUMCO
OG0001388	sp|Q9DBT4|ENTP4_MOUSE	tr|A0A6P6IKQ2|A0A6P6IKQ2_PUMCO
OG0001388	sp|Q3TCT4|ENTP7_MOUSE	tr|A0A6P6HE49|A0A6P6HE49_PUMCO
OG0001389	sp|Q6NZQ8|MARH1_MOUSE	tr|A0A6P6HMN8|A0A6P6HMN8_PUMCO
OG0001389	sp|Q9DBD2|MARH8_MOUSE	tr|A0A6P6HDI3|A0A6P6HDI3_PUMCO
OG0001391	sp|Q8BHY3|ANO1_MOUSE	tr|A0A6P6H662|A0A6P6H662_PUMCO
OG0001391	sp|Q8CFW1|ANO2_MOUSE	tr|A0A6P6ICK9|A0A6P6ICK9_PUMCO
OG0001392	sp|Q9DAK3|RHBT1_MOUSE	tr|A0A6P6HEY5|A0A6P6HEY5_PUMCO
OG0001392	sp|Q91V93|RHBT2_MOUSE	tr|A0A6P6IKV4|A0A6P6IKV4_PUMCO
OG0001393	sp|P48318|DCE1_MOUSE	tr|A0A6P6GY78|A0A6P6GY78_PUMCO
OG0001393	sp|P48320|DCE2_MOUSE	tr|A0A6P6ICI9|A0A6P6ICI9_PUMCO
OG0001394	sp|P70419|GALT3_MOUSE	tr|A0A6P6IR10|A0A6P6IR10_PUMCO
OG0001394	sp|Q8C7U7|GALT6_MOUSE	tr|A0A6P6IEC1|A0A6P6IEC1_PUMCO
OG0001395	sp|P00493|HPRT_MOUSE	tr|A0A6P6INY6|A0A6P6INY6_PUMCO, tr|A0A6P6I1R7|A0A6P6I1R7_PUMCO, tr|A0A6P6IF17|A0A6P6IF17_PUMCO
OG0001396	sp|P98195|ATP9B_MOUSE	tr|A0A6P6IGE4|A0A6P6IGE4_PUMCO
OG0001396	sp|O70228|ATP9A_MOUSE	tr|A0A6P6IIC4|A0A6P6IIC4_PUMCO
OG0001397	sp|Q7TNR9|ARHG4_MOUSE	tr|A0A6P6IQ60|A0A6P6IQ60_PUMCO
OG0001397	sp|Q5DU57|SPT13_MOUSE	tr|A0A6P6HVH6|A0A6P6HVH6_PUMCO
OG0001398	sp|Q8BIE6|FRM4A_MOUSE	tr|A0A6P6IF11|A0A6P6IF11_PUMCO
OG0001398	sp|Q920B0|FRM4B_MOUSE	tr|A0A6P6H8R9|A0A6P6H8R9_PUMCO
OG0001399	sp|Q9JLC4|SORC1_MOUSE	tr|A0A6P6HCY4|A0A6P6HCY4_PUMCO
OG0001399	sp|Q8VI51|SORC3_MOUSE	tr|A0A6P6HCM6|A0A6P6HCM6_PUMCO
OG0001400	sp|O88904|HIPK1_MOUSE	tr|A0A6P6IJM7|A0A6P6IJM7_PUMCO
OG0001400	sp|Q9QZR5|HIPK2_MOUSE	tr|A0A6P6IAC5|A0A6P6IAC5_PUMCO
OG0001401	sp|E9Q4Z2|ACACB_MOUSE	tr|A0A6P6IMA8|A0A6P6IMA8_PUMCO
OG0001401	sp|Q5SWU9|ACACA_MOUSE	tr|A0A6P6H6I9|A0A6P6H6I9_PUMCO
OG0001402	sp|Q61083|M3K2_MOUSE	tr|A0A6P6I8G9|A0A6P6I8G9_PUMCO
OG0001402	sp|Q61084|M3K3_MOUSE	tr|A0A6P6I589|A0A6P6I589_PUMCO
OG0001403	sp|Q6AXF6|SIDT1_MOUSE	tr|A0A6P6H1Z0|A0A6P6H1Z0_PUMCO
OG0001403	sp|Q8CIF6|SIDT2_MOUSE	tr|A0A6P6IBF0|A0A6P6IBF0_PUMCO
OG0001404	sp|Q9D9V7|DEN6B_MOUSE	tr|A0A6P6I2M0|A0A6P6I2M0_PUMCO
OG0001404	sp|Q8BH65|DEN6A_MOUSE	tr|A0A6P6H8C8|A0A6P6H8C8_PUMCO
OG0001405	sp|Q8K2Q2|GSTO2_MOUSE	tr|A0A6P6HEC4|A0A6P6HEC4_PUMCO
OG0001405	sp|O09131|GSTO1_MOUSE	tr|A0A6P6HD51|A0A6P6HD51_PUMCO
OG0001406	sp|P61164|ACTZ_MOUSE	tr|A0A6P6HDV6|A0A6P6HDV6_PUMCO
OG0001406	sp|Q8R5C5|ACTY_MOUSE	tr|A0A6P6IH76|A0A6P6IH76_PUMCO
OG0001407	sp|Q9D9J3|ACTT1_MOUSE	tr|A0A6P6IPM7|A0A6P6IPM7_PUMCO
OG0001407	sp|Q9D9L5|ACTT2_MOUSE	tr|A0A6P6GY79|A0A6P6GY79_PUMCO
OG0001408	sp|A2AJK6|CHD7_MOUSE	tr|A0A6P6HTC3|A0A6P6HTC3_PUMCO
OG0001408	sp|Q8BYH8|CHD9_MOUSE	tr|A0A6P6HL89|A0A6P6HL89_PUMCO
OG0001409	sp|P06684|CO5_MOUSE	tr|A0A6P6IFQ4|A0A6P6IFQ4_PUMCO
OG0001409	tr|A2AS37|A2AS37_MOUSE	tr|A0A6P6H2T9|A0A6P6H2T9_PUMCO
OG0001410	sp|P49282|NRAM2_MOUSE	tr|A0A6P6IFW3|A0A6P6IFW3_PUMCO
OG0001410	sp|P41251|NRAM1_MOUSE	tr|A0A6P6IQ68|A0A6P6IQ68_PUMCO
OG0001411	sp|Q6ZPE2|MTMR5_MOUSE	tr|A0A6P6I396|A0A6P6I396_PUMCO
OG0001411	sp|E9PXF8|MTMRD_MOUSE	tr|A0A6P6IA06|A0A6P6IA06_PUMCO
OG0001412	sp|Q8VHP8|RB40B_MOUSE	tr|A0A6P6I5P3|A0A6P6I5P3_PUMCO
OG0001412	sp|Q8VHQ4|RB40C_MOUSE	tr|A0A6P6HTE5|A0A6P6HTE5_PUMCO
OG0001413	sp|Q9D256|ISK12_MOUSE	tr|A0A6P6HYM3|A0A6P6HYM3_PUMCO
OG0001413	sp|P09036|ISK1_MOUSE	tr|A0A6P6HXW4|A0A6P6HXW4_PUMCO
OG0001414	sp|P70268|PKN1_MOUSE	tr|A0A6P6H857|A0A6P6H857_PUMCO
OG0001414	sp|Q8BWW9|PKN2_MOUSE	tr|A0A6P6GY30|A0A6P6GY30_PUMCO
OG0001415	sp|Q91V04|TRAM1_MOUSE	tr|A0A6P6HTL7|A0A6P6HTL7_PUMCO
OG0001415	sp|Q8QZR0|TR1L1_MOUSE	tr|A0A6P6HQZ3|A0A6P6HQZ3_PUMCO
OG0001416	sp|P18052|PTPRA_MOUSE	tr|A0A6P6II33|A0A6P6II33_PUMCO
OG0001416	sp|P49446|PTPRE_MOUSE	tr|A0A6P6HFK3|A0A6P6HFK3_PUMCO
OG0001417	sp|P97794|KCNJ8_MOUSE	tr|A0A6P6IEF0|A0A6P6IEF0_PUMCO
OG0001417	sp|Q61743|KCJ11_MOUSE	tr|A0A6P6I871|A0A6P6I871_PUMCO
OG0001418	sp|Q8VGD6|OLF56_MOUSE	tr|A0A6P6HXQ4|A0A6P6HXQ4_PUMCO
OG0001418	tr|Q7TQS8|Q7TQS8_MOUSE	tr|A0A6P6HWZ1|A0A6P6HWZ1_PUMCO
OG0001419	sp|Q9JHT5|AMMR1_MOUSE	tr|A0A6P6IP53|A0A6P6IP53_PUMCO
OG0001419	sp|Q8JZZ6|AMERL_MOUSE	tr|A0A6P6ISD0|A0A6P6ISD0_PUMCO
OG0001420	sp|Q05910|ADAM8_MOUSE	tr|A0A6P6HEX8|A0A6P6HEX8_PUMCO
OG0001420	sp|Q9JLN6|ADA28_MOUSE	tr|A0A6P6IP39|A0A6P6IP39_PUMCO
OG0001421	sp|Q2M2N2|SPOPL_MOUSE	tr|A0A6P6IRB3|A0A6P6IRB3_PUMCO
OG0001421	sp|Q6ZWS8|SPOP_MOUSE	tr|A0A6P6H752|A0A6P6H752_PUMCO
OG0001423	sp|Q8BV66|IFI44_MOUSE	tr|A0A6P6I4I0|A0A6P6I4I0_PUMCO
OG0001423	sp|Q9BDB7|IF44L_MOUSE	tr|A0A6P6IS85|A0A6P6IS85_PUMCO
OG0001424	sp|Q9Z0U1|ZO2_MOUSE	tr|A0A6P6II63|A0A6P6II63_PUMCO
OG0001424	sp|Q9QXY1|ZO3_MOUSE	tr|A0A6P6H8S0|A0A6P6H8S0_PUMCO
OG0001425	sp|E9PZM4|CHD2_MOUSE	tr|A0A6P6HGK1|A0A6P6HGK1_PUMCO
OG0001425	sp|P40201|CHD1_MOUSE	tr|A0A6P6I0B4|A0A6P6I0B4_PUMCO
OG0001426	sp|Q8K285|FCHO1_MOUSE	tr|A0A6P6H7Y7|A0A6P6H7Y7_PUMCO
OG0001426	sp|Q3UQN2|FCHO2_MOUSE	tr|A0A6P6HUW6|A0A6P6HUW6_PUMCO
OG0001427	sp|Q9DBS5|KLC4_MOUSE	tr|A0A6P6HZC0|A0A6P6HZC0_PUMCO
OG0001427	sp|O88447|KLC1_MOUSE	tr|A0A6P6HGI6|A0A6P6HGI6_PUMCO
OG0001428	sp|Q9JKN6|NOVA1_MOUSE	tr|A0A6P6HGZ8|A0A6P6HGZ8_PUMCO
OG0001428	sp|A0A1W2P872|NOVA2_MOUSE	tr|A0A6P6H2X2|A0A6P6H2X2_PUMCO
OG0001429	sp|Q8BZE1|DMBTL_MOUSE	tr|A0A6P6IEW3|A0A6P6IEW3_PUMCO
OG0001429	sp|A1L0T3|SRB4D_MOUSE	tr|A0A6P6HUN9|A0A6P6HUN9_PUMCO
OG0001430	sp|Q80U63|MFN2_MOUSE	tr|A0A6P6IEZ7|A0A6P6IEZ7_PUMCO
OG0001430	sp|Q811U4|MFN1_MOUSE	tr|A0A6P6GZX7|A0A6P6GZX7_PUMCO
OG0001431	sp|Q8C025|CHPT1_MOUSE	tr|A0A6P6I287|A0A6P6I287_PUMCO
OG0001431	sp|Q8BGS7|CEPT1_MOUSE	tr|A0A6P6IJP4|A0A6P6IJP4_PUMCO
OG0001432	sp|O08832|GALT4_MOUSE	tr|A0A6P6I353|A0A6P6I353_PUMCO
OG0001432	sp|Q8BGT9|GLT12_MOUSE	tr|A0A6P6H7D5|A0A6P6H7D5_PUMCO
OG0001433	sp|P59113|FERM1_MOUSE	tr|A0A6P6IHZ9|A0A6P6IHZ9_PUMCO
OG0001433	sp|Q8CIB5|FERM2_MOUSE	tr|A0A6P6HFV3|A0A6P6HFV3_PUMCO
OG0001434	sp|Q8BSM7|LAT3_MOUSE	tr|A0A6P6I712|A0A6P6I712_PUMCO
OG0001434	sp|Q8CGA3|LAT4_MOUSE	tr|A0A6P6HH83|A0A6P6HH83_PUMCO
OG0001435	sp|Q9JKL1|PKR1_MOUSE	tr|A0A6P6IMU3|A0A6P6IMU3_PUMCO
OG0001435	sp|Q8K458|PKR2_MOUSE	tr|A0A6P6IIS6|A0A6P6IIS6_PUMCO
OG0001436	sp|O88485|DC1I1_MOUSE	tr|A0A6P6IDH8|A0A6P6IDH8_PUMCO
OG0001436	sp|O88487|DC1I2_MOUSE	tr|A0A6P6IQZ8|A0A6P6IQZ8_PUMCO
OG0001437	sp|Q9QYS2|GRM3_MOUSE	tr|A0A6P6IEY7|A0A6P6IEY7_PUMCO
OG0001437	sp|Q14BI2|GRM2_MOUSE	tr|A0A6P6H8M6|A0A6P6H8M6_PUMCO
OG0001438	sp|Q9CYI4|LUC7L_MOUSE	tr|A0A6P6HV09|A0A6P6HV09_PUMCO
OG0001438	sp|Q7TNC4|LC7L2_MOUSE	tr|A0A6P6IFQ7|A0A6P6IFQ7_PUMCO
OG0001439	sp|Q60766|IRGM1_MOUSE, tr|Q9DCE9|Q9DCE9_MOUSE, tr|A0A140LIF8|A0A140LIF8_MOUSE	tr|A0A6P6HYF9|A0A6P6HYF9_PUMCO
OG0001441	sp|A2A5R2|BIG2_MOUSE	tr|A0A6P6III9|A0A6P6III9_PUMCO
OG0001441	sp|G3X9K3|BIG1_MOUSE	tr|A0A6P6HSB6|A0A6P6HSB6_PUMCO
OG0001442	sp|P70269|CATE_MOUSE	tr|A0A6P6HMP7|A0A6P6HMP7_PUMCO, tr|A0A6P6I6C5|A0A6P6I6C5_PUMCO, tr|A0A6P6H5Z6|A0A6P6H5Z6_PUMCO
OG0001443	sp|Q8BMN3|ACHB3_MOUSE	tr|A0A6P6HN71|A0A6P6HN71_PUMCO
OG0001443	sp|Q2MKA5|ACHA5_MOUSE	tr|A0A6P6HFV1|A0A6P6HFV1_PUMCO
OG0001444	sp|Q9R194|CRY2_MOUSE	tr|A0A6P6I7V7|A0A6P6I7V7_PUMCO
OG0001444	sp|P97784|CRY1_MOUSE	tr|A0A6P6I309|A0A6P6I309_PUMCO
OG0001445	sp|P30966|5HT5A_MOUSE, sp|P31387|5HT5B_MOUSE, sp|Q8BZA7|GPR26_MOUSE	tr|A0A6P6IC63|A0A6P6IC63_PUMCO
OG0001446	sp|Q8VDG6|M3K21_MOUSE	tr|A0A6P6H5E6|A0A6P6H5E6_PUMCO
OG0001446	sp|Q3U1V8|M3K9_MOUSE	tr|A0A6P6HGX4|A0A6P6HGX4_PUMCO
OG0001447	sp|Q5SRY7|FBW1B_MOUSE	tr|A0A6P6HYG8|A0A6P6HYG8_PUMCO
OG0001447	sp|Q3ULA2|FBW1A_MOUSE	tr|A0A6P6HE70|A0A6P6HE70_PUMCO
OG0001448	tr|A0A0N4SUK7|A0A0N4SUK7_MOUSE	tr|A0A6P6H1V4|A0A6P6H1V4_PUMCO
OG0001448	sp|Q8C9R9|EFCB8_MOUSE	tr|A0A6P6INJ8|A0A6P6INJ8_PUMCO
OG0001449	sp|Q61473|SOX17_MOUSE, sp|P43680|SOX18_MOUSE, sp|P40646|SOX7_MOUSE	tr|A0A6P6HSD4|A0A6P6HSD4_PUMCO
OG0001450	sp|Q5NCC9|TRI58_MOUSE	tr|A0A6P6HJN7|A0A6P6HJN7_PUMCO, tr|A0A6P6HVA5|A0A6P6HVA5_PUMCO, tr|A0A6P6HBB9|A0A6P6HBB9_PUMCO
OG0001452	sp|Q80VA5|S3TC2_MOUSE	tr|A0A6P6HV06|A0A6P6HV06_PUMCO
OG0001452	tr|G3X9F6|G3X9F6_MOUSE	tr|A0A6P6HPU3|A0A6P6HPU3_PUMCO
OG0001453	sp|Q8BRB7|KAT6B_MOUSE	tr|A0A6P6HDX8|A0A6P6HDX8_PUMCO
OG0001453	sp|Q8BZ21|KAT6A_MOUSE	tr|A0A6P6HQZ9|A0A6P6HQZ9_PUMCO
OG0001454	sp|Q91WD0|GP108_MOUSE	tr|A0A6P6H939|A0A6P6H939_PUMCO
OG0001454	sp|Q8BUV8|GP107_MOUSE	tr|A0A6P6IP15|A0A6P6IP15_PUMCO
OG0001455	sp|O70583|TRI18_MOUSE	tr|A0A6P6IQL4|A0A6P6IQL4_PUMCO
OG0001455	sp|Q9QUS6|TRIM1_MOUSE	tr|A0A6P6IP06|A0A6P6IP06_PUMCO
OG0001456	sp|Q00420|GABP1_MOUSE	tr|A0A6P6HJL6|A0A6P6HJL6_PUMCO
OG0001456	sp|P81069|GABP2_MOUSE	tr|A0A6P6IS91|A0A6P6IS91_PUMCO
OG0001457	tr|Q9D2F1|Q9D2F1_MOUSE, sp|Q99MW3|PRAL1_MOUSE	tr|A0A6P6ILN6|A0A6P6ILN6_PUMCO, tr|A0A6P6IS38|A0A6P6IS38_PUMCO
OG0001458	sp|Q9WV60|GSK3B_MOUSE	tr|A0A6P6H2F8|A0A6P6H2F8_PUMCO
OG0001458	sp|Q2NL51|GSK3A_MOUSE	tr|A0A6P6H4H6|A0A6P6H4H6_PUMCO
OG0001459	sp|P86793|CC21C_MOUSE, sp|P86792|CC21B_MOUSE, sp|P84444|CC21A_MOUSE	tr|A0A6P6H4A5|A0A6P6H4A5_PUMCO
OG0001460	sp|Q3URR7|ZSC10_MOUSE, sp|Q91VW9|ZKSC3_MOUSE, tr|Q5SZT6|Q5SZT6_MOUSE	tr|A0A6P6HBU5|A0A6P6HBU5_PUMCO
OG0001461	sp|Q8C8C1|RTP1_MOUSE	tr|A0A6P6H217|A0A6P6H217_PUMCO
OG0001461	sp|Q80ZI2|RTP2_MOUSE	tr|A0A6P6H343|A0A6P6H343_PUMCO
OG0001462	tr|Q8VGC6|Q8VGC6_MOUSE, tr|Q7TRA1|Q7TRA1_MOUSE, tr|Q7TRA2|Q7TRA2_MOUSE	tr|A0A6P6IAV5|A0A6P6IAV5_PUMCO
OG0001463	sp|Q9Z206|ARHG8_MOUSE	tr|A0A6P6IDC0|A0A6P6IDC0_PUMCO
OG0001463	sp|Q91X46|ARHG3_MOUSE	tr|A0A6P6H9K8|A0A6P6H9K8_PUMCO
OG0001464	sp|Q8BHZ0|CYRIA_MOUSE	tr|A0A6P6I5M1|A0A6P6I5M1_PUMCO
OG0001464	sp|Q921M7|CYRIB_MOUSE	tr|A0A6P6HS69|A0A6P6HS69_PUMCO
OG0001465	sp|Q9CTN8|LHPL3_MOUSE	tr|A0A6P6IBI3|A0A6P6IBI3_PUMCO
OG0001465	sp|Q5U4E0|LHPL4_MOUSE	tr|A0A6P6HSB0|A0A6P6HSB0_PUMCO
OG0001466	sp|P70339|FRAT1_MOUSE, sp|Q8K025|FRAT2_MOUSE, tr|Q9WVA7|Q9WVA7_MOUSE	tr|A0A6P6HEG4|A0A6P6HEG4_PUMCO
OG0001467	sp|O70310|NMT1_MOUSE	tr|A0A6P6HBP9|A0A6P6HBP9_PUMCO
OG0001467	sp|O70311|NMT2_MOUSE	tr|A0A6P6IIL8|A0A6P6IIL8_PUMCO
OG0001468	sp|Q9DC28|KC1D_MOUSE	tr|A0A6P6I5I9|A0A6P6I5I9_PUMCO
OG0001468	sp|Q9JMK2|KC1E_MOUSE	tr|A0A6P6I416|A0A6P6I416_PUMCO
OG0001469	sp|Q9JJN2|ZFHX4_MOUSE	tr|A0A6P6HRV7|A0A6P6HRV7_PUMCO
OG0001469	sp|Q61329|ZFHX3_MOUSE	tr|A0A6P6HM32|A0A6P6HM32_PUMCO
OG0001470	sp|P70326|TBX5_MOUSE	tr|A0A6P6IRA0|A0A6P6IRA0_PUMCO
OG0001470	sp|P70325|TBX4_MOUSE	tr|A0A6P6H910|A0A6P6H910_PUMCO
OG0001471	sp|Q09199|B4GN2_MOUSE	tr|A0A6P6HDD2|A0A6P6HDD2_PUMCO
OG0001471	sp|Q09200|B4GN1_MOUSE	tr|A0A6P6I3J5|A0A6P6I3J5_PUMCO
OG0001472	sp|Q5SVR0|TBC9B_MOUSE	tr|A0A6P6HV58|A0A6P6HV58_PUMCO
OG0001472	sp|Q3UYK3|TBCD9_MOUSE	tr|A0A6P6HN39|A0A6P6HN39_PUMCO
OG0001473	sp|Q3UP75|UD3A1_MOUSE, sp|Q8JZZ0|UD3A2_MOUSE	tr|A0A6P6HYR6|A0A6P6HYR6_PUMCO, tr|A0A6P6HYT1|A0A6P6HYT1_PUMCO
OG0001475	sp|P04117|FABP4_MOUSE	tr|A0A6P6HT49|A0A6P6HT49_PUMCO
OG0001475	sp|O08716|FABP9_MOUSE	tr|A0A6P6HRV8|A0A6P6HRV8_PUMCO
OG0001476	sp|P56183|RRP1_MOUSE	tr|A0A6P6GZJ7|A0A6P6GZJ7_PUMCO
OG0001476	sp|Q91YK2|RRP1B_MOUSE	tr|A0A6P6GZL0|A0A6P6GZL0_PUMCO
OG0001477	sp|Q62158|TRI27_MOUSE	tr|A0A6P6HCD8|A0A6P6HCD8_PUMCO
OG0001477	sp|Q9JJ26|MEFV_MOUSE	tr|A0A6P6HAL4|A0A6P6HAL4_PUMCO
OG0001478	sp|Q8R1Q8|DC1L1_MOUSE	tr|A0A6P6GZQ7|A0A6P6GZQ7_PUMCO
OG0001478	sp|Q6PDL0|DC1L2_MOUSE	tr|A0A6P6HM06|A0A6P6HM06_PUMCO
OG0001479	sp|Q91VR7|MLP3A_MOUSE	tr|A0A6P6IID1|A0A6P6IID1_PUMCO, tr|A0A6P6I1Y5|A0A6P6I1Y5_PUMCO, tr|A0A6P6I265|A0A6P6I265_PUMCO
OG0001480	sp|Q99MZ6|MYO7B_MOUSE	tr|A0A6P6I8B0|A0A6P6I8B0_PUMCO
OG0001480	sp|P97479|MYO7A_MOUSE	tr|A0A6P6I9I0|A0A6P6I9I0_PUMCO
OG0001481	sp|Q9Z0Y9|NR1H3_MOUSE	tr|A0A6P6I9X9|A0A6P6I9X9_PUMCO
OG0001481	sp|Q60644|NR1H2_MOUSE	tr|A0A6P6H3A1|A0A6P6H3A1_PUMCO
OG0001482	sp|Q91YR1|TWF1_MOUSE	tr|A0A6P6IDL5|A0A6P6IDL5_PUMCO
OG0001482	sp|Q9Z0P5|TWF2_MOUSE	tr|A0A6P6H7T0|A0A6P6H7T0_PUMCO
OG0001483	sp|Q4PZA2|ECE1_MOUSE	tr|A0A6P6HZF9|A0A6P6HZF9_PUMCO
OG0001483	sp|P0DPD9|EFCE2_MOUSE	tr|A0A6P6H1I1|A0A6P6H1I1_PUMCO
OG0001484	sp|Q5XF90|AT134_MOUSE	tr|A0A6P6H116|A0A6P6H116_PUMCO
OG0001484	sp|Q3TYU2|AT135_MOUSE	tr|A0A6P6H199|A0A6P6H199_PUMCO
OG0001486	sp|Q9DBG3|AP2B1_MOUSE	tr|A0A6P6HEA1|A0A6P6HEA1_PUMCO
OG0001486	sp|O35643|AP1B1_MOUSE	tr|A0A6P6IM78|A0A6P6IM78_PUMCO
OG0001487	sp|Q80TL1|ADCY2_MOUSE	tr|A0A6P6HTQ1|A0A6P6HTQ1_PUMCO
OG0001487	sp|P51829|ADCY7_MOUSE	tr|A0A6P6HMC6|A0A6P6HMC6_PUMCO
OG0001488	sp|P70194|CLC4F_MOUSE	tr|A0A6P6IJ97|A0A6P6IJ97_PUMCO
OG0001488	sp|Q8VBX4|CLC4K_MOUSE	tr|A0A6P6IJB9|A0A6P6IJB9_PUMCO
OG0001489	sp|Q32M21|GSDA2_MOUSE, sp|Q5Y4Y6|GSDA3_MOUSE, sp|Q9EST1|GSDMA_MOUSE	tr|A0A6P6HCA8|A0A6P6HCA8_PUMCO
OG0001490	sp|Q9JMG7|HDGR3_MOUSE, tr|Q2VPR5|Q2VPR5_MOUSE, sp|P51859|HDGF_MOUSE	tr|A0A6P6HHU7|A0A6P6HHU7_PUMCO
OG0001491	sp|Q99K70|RRAGC_MOUSE	tr|A0A6P6ITG4|A0A6P6ITG4_PUMCO
OG0001491	sp|Q7TT45|RRAGD_MOUSE	tr|A0A6P6I0G7|A0A6P6I0G7_PUMCO
OG0001492	sp|Q9QWT9|KIFC1_MOUSE, tr|E9PUA5|E9PUA5_MOUSE	tr|A0A6P6GYZ1|A0A6P6GYZ1_PUMCO, tr|A0A6P6I3R4|A0A6P6I3R4_PUMCO
OG0001493	sp|P70343|CASP4_MOUSE	tr|A0A6P6IAY0|A0A6P6IAY0_PUMCO
OG0001493	sp|O08736|CASPC_MOUSE	tr|A0A6P6I748|A0A6P6I748_PUMCO
OG0001494	sp|P52480|KPYM_MOUSE	tr|A0A6P6HGD7|A0A6P6HGD7_PUMCO
OG0001494	sp|P53657|KPYR_MOUSE	tr|A0A6P6H5F6|A0A6P6H5F6_PUMCO
OG0001495	sp|Q8CGV9|TSH3_MOUSE	tr|A0A6P6H4N4|A0A6P6H4N4_PUMCO
OG0001495	sp|Q5DTH5|TSH1_MOUSE	tr|A0A6P6IG77|A0A6P6IG77_PUMCO
OG0001496	sp|Q7TMY7|IPO8_MOUSE	tr|A0A6P6ID36|A0A6P6ID36_PUMCO
OG0001496	sp|Q9EPL8|IPO7_MOUSE	tr|A0A6P6I6T3|A0A6P6I6T3_PUMCO
OG0001497	sp|Q8BPC6|IDHG2_MOUSE	tr|A0A6P6I7H2|A0A6P6I7H2_PUMCO
OG0001497	sp|P70404|IDHG1_MOUSE	tr|A0A6P6INK4|A0A6P6INK4_PUMCO
OG0001498	sp|P45481|CBP_MOUSE	tr|A0A6P6HAG2|A0A6P6HAG2_PUMCO
OG0001498	sp|B2RWS6|EP300_MOUSE	tr|A0A6P6I234|A0A6P6I234_PUMCO
OG0001499	sp|Q60760|GRB10_MOUSE	tr|A0A6P6HSL9|A0A6P6HSL9_PUMCO
OG0001499	sp|Q03160|GRB7_MOUSE	tr|A0A6P6HC11|A0A6P6HC11_PUMCO
OG0001500	sp|Q8BVP1|TRIML_MOUSE	tr|A0A6P6IM28|A0A6P6IM28_PUMCO, tr|A0A6P6ICS4|A0A6P6ICS4_PUMCO, tr|A0A6P6I8N2|A0A6P6I8N2_PUMCO
OG0001501	sp|Q5SWW4|MED13_MOUSE	tr|A0A6P6HHV3|A0A6P6HHV3_PUMCO
OG0001501	sp|Q6JPI3|MD13L_MOUSE	tr|A0A6P6IMU4|A0A6P6IMU4_PUMCO
OG0001502	sp|Q5M956|KCTD1_MOUSE	tr|A0A6P6IFZ0|A0A6P6IFZ0_PUMCO
OG0001502	sp|Q8K0E1|KCD15_MOUSE	tr|A0A6P6H4D1|A0A6P6H4D1_PUMCO
OG0001503	sp|P35486|ODPA_MOUSE	tr|A0A6P6IRS3|A0A6P6IRS3_PUMCO
OG0001503	sp|P35487|ODPAT_MOUSE	tr|A0A6P6HPN7|A0A6P6HPN7_PUMCO
OG0001504	sp|P58466|CTDS1_MOUSE, sp|P58465|CTDSL_MOUSE, sp|Q8BX07|CTDS2_MOUSE	tr|A0A6P6IDE2|A0A6P6IDE2_PUMCO
OG0001505	sp|Q08460|KCMA1_MOUSE	tr|A0A6P6HDV8|A0A6P6HDV8_PUMCO
OG0001505	sp|O54982|KCNU1_MOUSE	tr|A0A6P6HPR7|A0A6P6HPR7_PUMCO
OG0001506	sp|Q9R092|H17B6_MOUSE	tr|A0A6P6I3M2|A0A6P6I3M2_PUMCO, tr|A0A6P6I6F6|A0A6P6I6F6_PUMCO, tr|A0A6P6I205|A0A6P6I205_PUMCO
OG0001507	sp|D3YXK2|SAFB1_MOUSE	tr|A0A6P6HA55|A0A6P6HA55_PUMCO
OG0001507	sp|Q80YR5|SAFB2_MOUSE	tr|A0A6P6H8U9|A0A6P6H8U9_PUMCO
OG0001508	sp|Q8K2X1|AT10D_MOUSE	tr|A0A6P6HSE4|A0A6P6HSE4_PUMCO
OG0001508	sp|B1AWN4|AT10B_MOUSE	tr|A0A6P6HXL7|A0A6P6HXL7_PUMCO
OG0001509	tr|B2RXM5|B2RXM5_MOUSE	tr|A0A6P6H9R1|A0A6P6H9R1_PUMCO
OG0001509	sp|A8Y5H7|S14L1_MOUSE	tr|A0A6P6I5C7|A0A6P6I5C7_PUMCO
OG0001510	sp|P05627|JUN_MOUSE, sp|P09450|JUNB_MOUSE, sp|P15066|JUND_MOUSE	tr|A0A6P6ITJ2|A0A6P6ITJ2_PUMCO
OG0001511	sp|Q5SZV5|K0319_MOUSE	tr|A0A6P6HAT9|A0A6P6HAT9_PUMCO
OG0001511	sp|Q8K135|K319L_MOUSE	tr|A0A6P6INP8|A0A6P6INP8_PUMCO
OG0001512	sp|Q62255|SALL3_MOUSE	tr|A0A6P6IKN4|A0A6P6IKN4_PUMCO
OG0001512	sp|Q9ER74|SALL1_MOUSE	tr|A0A6P6HL27|A0A6P6HL27_PUMCO
OG0001513	sp|Q641P0|ARP3B_MOUSE	tr|A0A6P6IBA5|A0A6P6IBA5_PUMCO
OG0001513	sp|Q99JY9|ARP3_MOUSE	tr|A0A6P6IR49|A0A6P6IR49_PUMCO
OG0001514	sp|Q9WV03|FA50A_MOUSE	tr|A0A6P6INK0|A0A6P6INK0_PUMCO
OG0001514	sp|Q9WTJ8|FA50B_MOUSE	tr|A0A6P6HCS0|A0A6P6HCS0_PUMCO
