Orthogroup	Mus_musculus	Myotis_lucifugus
OG0001008	sp|Q8BY89|CTL2_MOUSE	tr|G1P7H4|G1P7H4_MYOLU
OG0001008	sp|Q5RJI2|CTL5_MOUSE	tr|G1NWC5|G1NWC5_MYOLU
OG0001009	sp|Q8CG65|SSPO_MOUSE	tr|G1Q7X4|G1Q7X4_MYOLU
OG0001009	sp|Q8CIZ8|VWF_MOUSE	tr|G1PTM8|G1PTM8_MYOLU
OG0001010	sp|Q99JV5|STAR4_MOUSE, sp|Q9EPQ7|STAR5_MOUSE, sp|P59096|STAR6_MOUSE	tr|G1P912|G1P912_MYOLU
OG0001011	sp|P43135|COT2_MOUSE	tr|G1PRD6|G1PRD6_MYOLU
OG0001011	sp|Q60632|COT1_MOUSE	tr|G1P4A4|G1P4A4_MYOLU
OG0001012	sp|Q8BHL5|ELMO2_MOUSE	tr|G1PCA3|G1PCA3_MYOLU
OG0001012	sp|Q8BPU7|ELMO1_MOUSE	tr|G1PX58|G1PX58_MYOLU
OG0001013	sp|Q925H4|KR211_MOUSE	tr|G1Q712|G1Q712_MYOLU, tr|G1PTC1|G1PTC1_MYOLU, tr|G1QAK7|G1QAK7_MYOLU
OG0001014	sp|Q9D305|THAP2_MOUSE	tr|G1P1S5|G1P1S5_MYOLU, tr|G1PL42|G1PL42_MYOLU, tr|G1NZ46|G1NZ46_MYOLU
OG0001015	sp|A6H5Z3|EXC6B_MOUSE	tr|G1NWY5|G1NWY5_MYOLU
OG0001015	sp|Q8R313|EXOC6_MOUSE	tr|G1PDY5|G1PDY5_MYOLU
OG0001016	sp|Q06985|SIA1B_MOUSE, sp|P61092|SIA1A_MOUSE	tr|G1Q079|G1Q079_MYOLU, tr|G1QD27|G1QD27_MYOLU
OG0001017	sp|P70336|ROCK2_MOUSE	tr|G1PSW6|G1PSW6_MYOLU
OG0001017	sp|P70335|ROCK1_MOUSE	tr|G1PP69|G1PP69_MYOLU
OG0001018	sp|Q8R0Y6|AL1L1_MOUSE	tr|G1PEG3|G1PEG3_MYOLU
OG0001018	sp|Q8K009|AL1L2_MOUSE	tr|G1P8Y1|G1P8Y1_MYOLU
OG0001019	sp|P30873|SSR1_MOUSE, sp|Q9EPB7|GPR88_MOUSE, sp|P49660|SSR4_MOUSE	tr|G1Q031|G1Q031_MYOLU
OG0001020	sp|Q01098|NMDE3_MOUSE	tr|G1PXN9|G1PXN9_MYOLU
OG0001020	sp|Q03391|NMDE4_MOUSE	tr|G1Q0E0|G1Q0E0_MYOLU
OG0001021	sp|Q62311|TAF6_MOUSE	tr|G1Q2W7|G1Q2W7_MYOLU, tr|G1Q7H9|G1Q7H9_MYOLU, tr|G1Q221|G1Q221_MYOLU
OG0001022	sp|Q03141|MARK3_MOUSE	tr|G1PTG5|G1PTG5_MYOLU
OG0001022	sp|Q8VHJ5|MARK1_MOUSE	tr|G1PQY1|G1PQY1_MYOLU
OG0001023	sp|Q9JHE4|G3ST1_MOUSE, tr|Q3ULK5|Q3ULK5_MOUSE, sp|Q6XQH0|G3ST2_MOUSE	tr|G1NZZ7|G1NZZ7_MYOLU
OG0001024	tr|A2AQ92|A2AQ92_MOUSE	tr|G1P8K8|G1P8K8_MYOLU
OG0001024	tr|A0A494BAW1|A0A494BAW1_MOUSE	tr|G1P8E7|G1P8E7_MYOLU
OG0001025	sp|P61965|WDR5_MOUSE	tr|G1NXE6|G1NXE6_MYOLU
OG0001025	sp|Q9D7H2|WDR5B_MOUSE	tr|G1NUG3|G1NUG3_MYOLU
OG0001026	sp|Q505D9|TRI67_MOUSE	tr|G1P228|G1P228_MYOLU
OG0001026	sp|Q8C7M3|TRIM9_MOUSE	tr|G1PDA7|G1PDA7_MYOLU
OG0001027	sp|Q80YA7|DPP8_MOUSE	tr|G1PDR9|G1PDR9_MYOLU
OG0001027	sp|Q8BVG4|DPP9_MOUSE	tr|G1P628|G1P628_MYOLU
OG0001028	sp|Q80Z64|NANOG_MOUSE	tr|G1Q4M5|G1Q4M5_MYOLU, tr|G1QF41|G1QF41_MYOLU, tr|G1QDS0|G1QDS0_MYOLU
OG0001029	sp|Q8C0S4|TT21A_MOUSE	tr|G1P572|G1P572_MYOLU
OG0001029	sp|Q0HA38|TT21B_MOUSE	tr|G1P391|G1P391_MYOLU
OG0001030	sp|O08917|FLOT1_MOUSE	tr|G1Q5C7|G1Q5C7_MYOLU, tr|G1QAL2|G1QAL2_MYOLU, tr|G1P5P8|G1P5P8_MYOLU
OG0001031	sp|Q8C669|PELI1_MOUSE	tr|G1NZH3|G1NZH3_MYOLU
OG0001031	sp|Q8BST6|PELI2_MOUSE	tr|G1P7C5|G1P7C5_MYOLU
OG0001032	sp|Q920S2|PRS41_MOUSE	tr|G1PUI3|G1PUI3_MYOLU
OG0001032	sp|Q9JHJ7|TEST_MOUSE	tr|G1PV92|G1PV92_MYOLU
OG0001033	sp|Q99N13|HDAC9_MOUSE	tr|G1P7E4|G1P7E4_MYOLU
OG0001033	sp|Q6NZM9|HDAC4_MOUSE	tr|G1PQF2|G1PQF2_MYOLU
OG0001034	sp|Q9CUX1|P52K_MOUSE	tr|G1Q7C2|G1Q7C2_MYOLU, tr|G1NVD3|G1NVD3_MYOLU, tr|G1Q612|G1Q612_MYOLU
OG0001035	sp|Q99MV5|M10L1_MOUSE, tr|Q9D434|Q9D434_MOUSE, tr|Q14BQ3|Q14BQ3_MOUSE	tr|G1P7T8|G1P7T8_MYOLU
OG0001036	sp|Q9JIK5|DDX21_MOUSE	tr|G1QBR2|G1QBR2_MYOLU
OG0001036	sp|Q99MJ9|DDX50_MOUSE	tr|G1PX79|G1PX79_MYOLU
OG0001037	tr|E9Q5Z6|E9Q5Z6_MOUSE	tr|G1QCU3|G1QCU3_MYOLU
OG0001037	tr|A0A1D5RMB0|A0A1D5RMB0_MOUSE	tr|G1QCQ2|G1QCQ2_MYOLU
OG0001038	sp|P14106|C1QB_MOUSE, sp|Q02105|C1QC_MOUSE, sp|P98086|C1QA_MOUSE	tr|G1NZH8|G1NZH8_MYOLU
OG0001039	sp|Q61207|SAP_MOUSE	tr|G1PT24|G1PT24_MYOLU
OG0001039	sp|Q8C1C1|SAPL1_MOUSE	tr|G1NVX6|G1NVX6_MYOLU
OG0001040	sp|Q64707|U2AFL_MOUSE, sp|Q62377|U2AFM_MOUSE	tr|G1PZT7|G1PZT7_MYOLU, tr|G1PEH0|G1PEH0_MYOLU
OG0001042	tr|B9EKK6|B9EKK6_MOUSE, sp|Q3U095|NXPE2_MOUSE, sp|Q52KP5|NXPE4_MOUSE	tr|G1Q6B9|G1Q6B9_MYOLU
OG0001043	sp|Q5SRX1|TM1L2_MOUSE	tr|G1NTF9|G1NTF9_MYOLU
OG0001043	sp|O88746|TOM1_MOUSE	tr|G1NWT2|G1NWT2_MYOLU
OG0001044	sp|Q60629|EPHA5_MOUSE	tr|G1NYV2|G1NYV2_MYOLU
OG0001044	sp|P29319|EPHA3_MOUSE	tr|G1NXM4|G1NXM4_MYOLU
OG0001045	sp|G5E8K5|ANK3_MOUSE	tr|G1PHA6|G1PHA6_MYOLU
OG0001045	sp|Q02357|ANK1_MOUSE	tr|G1P4E4|G1P4E4_MYOLU
OG0001046	sp|P06801|MAOX_MOUSE	tr|G1P141|G1P141_MYOLU
OG0001046	sp|Q8BMF3|MAON_MOUSE	tr|G1NWS3|G1NWS3_MYOLU
OG0001047	sp|Q9QZV9|NXT1_MOUSE	tr|G1QF48|G1QF48_MYOLU
OG0001047	sp|Q3UNA4|NXT2_MOUSE	tr|G1NTR1|G1NTR1_MYOLU
OG0001048	sp|Q810B7|SLIK5_MOUSE, sp|Q810B9|SLIK3_MOUSE, sp|Q810C0|SLIK2_MOUSE	tr|G1PRP1|G1PRP1_MYOLU
OG0001049	sp|Q3U2E2|ZMYM5_MOUSE	tr|G1QDL9|G1QDL9_MYOLU
OG0001049	sp|Q9CU65|ZMYM2_MOUSE	tr|G1PKC5|G1PKC5_MYOLU
OG0001050	sp|O88947|FA10_MOUSE	tr|L7N1Q3|L7N1Q3_MYOLU, tr|G1QAT0|G1QAT0_MYOLU, tr|G1Q5N3|G1Q5N3_MYOLU
OG0001051	sp|Q8BQM8|EMAL5_MOUSE	tr|G1PUF3|G1PUF3_MYOLU
OG0001051	sp|Q5SQM0|EMAL6_MOUSE	tr|G1PE14|G1PE14_MYOLU
OG0001053	sp|Q7TSQ8|PDPR_MOUSE, sp|Q99LB7|SARDH_MOUSE	tr|G1PDB2|G1PDB2_MYOLU, tr|G1PYW9|G1PYW9_MYOLU
OG0001054	sp|Q64739|COBA2_MOUSE, sp|O88207|CO5A1_MOUSE, sp|Q61245|COBA1_MOUSE	tr|G1P6W8|G1P6W8_MYOLU
OG0001055	sp|Q640M1|UT14A_MOUSE, sp|Q6EJB6|UT14B_MOUSE	tr|G1PYB7|G1PYB7_MYOLU, tr|G1NWT3|G1NWT3_MYOLU
OG0001056	sp|Q8JZL0|ZN467_MOUSE, sp|Q80VM4|ZN579_MOUSE, sp|Q6A085|ZN629_MOUSE	tr|G1NTR6|G1NTR6_MYOLU
OG0001057	sp|Q01320|TOP2A_MOUSE	tr|G1PAB1|G1PAB1_MYOLU
OG0001057	sp|Q64511|TOP2B_MOUSE	tr|G1NW71|G1NW71_MYOLU
OG0001058	sp|Q3U5F4|YRDC_MOUSE	tr|G1NUG9|G1NUG9_MYOLU, tr|G1Q5W6|G1Q5W6_MYOLU, tr|G1PZ19|G1PZ19_MYOLU
OG0001059	sp|Q64446|ATP7B_MOUSE	tr|G1PJR7|G1PJR7_MYOLU
OG0001059	sp|Q64430|ATP7A_MOUSE	tr|G1Q3M4|G1Q3M4_MYOLU
OG0001060	sp|Q8R3N6|THOC1_MOUSE	tr|G1P1N2|G1P1N2_MYOLU, tr|G1QF70|G1QF70_MYOLU, tr|G1Q608|G1Q608_MYOLU
OG0001061	sp|Q9JHD1|KAT2B_MOUSE	tr|G1P979|G1P979_MYOLU
OG0001061	sp|Q9JHD2|KAT2A_MOUSE	tr|G1PJL5|G1PJL5_MYOLU
OG0001062	sp|Q61183|PAPOA_MOUSE	tr|G1PH37|G1PH37_MYOLU
OG0001062	sp|Q9WVP6|PAPOB_MOUSE	tr|G1Q5Y0|G1Q5Y0_MYOLU
OG0001063	tr|A0A1W2P860|A0A1W2P860_MOUSE, tr|J3QJV4|J3QJV4_MOUSE	tr|G1PJ66|G1PJ66_MYOLU, tr|G1PYR1|G1PYR1_MYOLU
OG0001064	sp|Q8BU04|UBR7_MOUSE	tr|G1Q8T3|G1Q8T3_MYOLU, tr|G1NY67|G1NY67_MYOLU, tr|G1PYC7|G1PYC7_MYOLU
OG0001065	sp|Q3UYR4|ESPNL_MOUSE	tr|G1NVA4|G1NVA4_MYOLU
OG0001065	sp|Q9ET47|ESPN_MOUSE	tr|G1Q412|G1Q412_MYOLU
OG0001066	sp|Q9D4V0|EKI1_MOUSE	tr|G1PB54|G1PB54_MYOLU
OG0001066	sp|A7MCT6|EKI2_MOUSE	tr|G1PBL0|G1PBL0_MYOLU
OG0001067	sp|O88427|CAC1H_MOUSE	tr|G1PH91|G1PH91_MYOLU
OG0001067	tr|E9Q7P2|E9Q7P2_MOUSE	tr|G1P4F4|G1P4F4_MYOLU
OG0001068	sp|O35343|IMA3_MOUSE	tr|G1PMS5|G1PMS5_MYOLU
OG0001068	sp|O35344|IMA4_MOUSE	tr|G1NZZ5|G1NZZ5_MYOLU
OG0001069	sp|P08032|SPTA1_MOUSE	tr|G1PTP6|G1PTP6_MYOLU
OG0001069	sp|P16546|SPTN1_MOUSE	tr|G1P9D4|G1P9D4_MYOLU
OG0001070	sp|O54950|AAKG1_MOUSE	tr|G1PHL1|G1PHL1_MYOLU
OG0001070	sp|Q91WG5|AAKG2_MOUSE	tr|G1P256|G1P256_MYOLU
OG0001071	sp|Q60972|RBBP4_MOUSE	tr|G1NU01|G1NU01_MYOLU
OG0001071	sp|Q60973|RBBP7_MOUSE	tr|G1P6G6|G1P6G6_MYOLU
OG0001072	sp|Q99L88|SNTB1_MOUSE	tr|G1PEK1|G1PEK1_MYOLU
OG0001072	sp|Q61235|SNTB2_MOUSE	tr|G1Q0L3|G1Q0L3_MYOLU
OG0001073	sp|Q9R1C6|DGKE_MOUSE	tr|G1PGK0|G1PGK0_MYOLU
OG0001073	sp|Q6P5E8|DGKQ_MOUSE	tr|G1QA83|G1QA83_MYOLU
OG0001074	tr|I7HPW8|I7HPW8_MOUSE	tr|G1PS66|G1PS66_MYOLU
OG0001074	sp|Q9QZZ4|MYO15_MOUSE	tr|G1NVB2|G1NVB2_MYOLU
OG0001075	sp|Q6PGE7|SC6A7_MOUSE	tr|G1Q0D2|G1Q0D2_MYOLU
OG0001075	sp|P28571|SC6A9_MOUSE	tr|G1P6Y5|G1P6Y5_MYOLU
OG0001077	sp|Q5NCC3|TRI41_MOUSE, tr|Q8CDV4|Q8CDV4_MOUSE	tr|G1PSI4|G1PSI4_MYOLU, tr|G1PW96|G1PW96_MYOLU
OG0001078	sp|P35428|HES1_MOUSE, sp|O54792|HES2_MOUSE, sp|Q9JHE6|HES6_MOUSE	tr|G1PBP0|G1PBP0_MYOLU
OG0001079	sp|Q8R149|BUD13_MOUSE	tr|G1QDV2|G1QDV2_MYOLU, tr|G1Q6G4|G1Q6G4_MYOLU, tr|G1PP34|G1PP34_MYOLU
OG0001080	sp|Q9D8M7|PHF10_MOUSE	tr|G1QGE8|G1QGE8_MYOLU, tr|G1QDQ0|G1QDQ0_MYOLU, tr|G1P7B8|G1P7B8_MYOLU
OG0001081	sp|Q8R2R9|AP3M2_MOUSE	tr|G1NWV2|G1NWV2_MYOLU
OG0001081	sp|Q9JKC8|AP3M1_MOUSE	tr|G1P0S6|G1P0S6_MYOLU
OG0001082	sp|Q9QY00|OL154_MOUSE, sp|Q8VFK2|O1002_MOUSE	tr|G1QEM2|G1QEM2_MYOLU, tr|G1NZH1|G1NZH1_MYOLU
OG0001083	sp|Q9Z2C9|MTMR7_MOUSE	tr|G1PA23|G1PA23_MYOLU
OG0001083	sp|Q8VE11|MTMR6_MOUSE	tr|G1PLA6|G1PLA6_MYOLU
OG0001084	sp|P29755|AGTRB_MOUSE, sp|P29754|AGTRA_MOUSE, sp|Q61125|BKRB1_MOUSE	tr|G1NWJ4|G1NWJ4_MYOLU
OG0001085	tr|Q7TR80|Q7TR80_MOUSE, tr|Q7TR71|Q7TR71_MOUSE, tr|Q7TR75|Q7TR75_MOUSE	tr|G1PTI8|G1PTI8_MYOLU
OG0001086	sp|Q99M96|ST7_MOUSE	tr|G1PS41|G1PS41_MYOLU
OG0001086	sp|Q8K4P7|ST7L_MOUSE	tr|G1PEG9|G1PEG9_MYOLU
OG0001087	sp|Q9ET77|JPH3_MOUSE	tr|G1P8F3|G1P8F3_MYOLU
OG0001087	sp|Q9ET78|JPH2_MOUSE	tr|G1Q1U9|G1Q1U9_MYOLU
OG0001088	sp|Q641K1|CBPC1_MOUSE, sp|Q8CDP0|CBPC3_MOUSE, sp|Q8CDK2|CBPC2_MOUSE	tr|G1P8P1|G1P8P1_MYOLU
OG0001089	sp|Q9R0E1|PLOD3_MOUSE	tr|G1PF28|G1PF28_MYOLU
OG0001089	sp|Q9R0B9|PLOD2_MOUSE	tr|G1NUP6|G1NUP6_MYOLU
OG0001090	sp|Q9WVA4|TAGL2_MOUSE	tr|G1QG53|G1QG53_MYOLU, tr|G1Q4N4|G1Q4N4_MYOLU, tr|G1Q288|G1Q288_MYOLU
OG0001091	sp|O70255|MPZL2_MOUSE, sp|Q56A07|SCN2B_MOUSE, sp|Q7M729|SCN4B_MOUSE	tr|G1PBM9|G1PBM9_MYOLU
OG0001092	sp|Q61144|PSN2_MOUSE	tr|G1P6M0|G1P6M0_MYOLU
OG0001092	sp|P49769|PSN1_MOUSE	tr|G1PSD4|G1PSD4_MYOLU
OG0001093	sp|P63037|DNJA1_MOUSE	tr|G1PTT5|G1PTT5_MYOLU
OG0001093	sp|Q9JMC3|DNJA4_MOUSE	tr|G1Q821|G1Q821_MYOLU
OG0001094	sp|Q6ZPT1|KLHL9_MOUSE	tr|G1QEE7|G1QEE7_MYOLU
OG0001094	sp|Q80TF4|KLH13_MOUSE	tr|G1Q702|G1Q702_MYOLU
OG0001095	sp|Q9CPV3|RM42_MOUSE	tr|G1QFS9|G1QFS9_MYOLU, tr|G1PXU7|G1PXU7_MYOLU, tr|G1QB85|G1QB85_MYOLU
OG0001096	sp|Q8VE92|RBM4B_MOUSE	tr|G1NV95|G1NV95_MYOLU
OG0001096	sp|Q8C7Q4|RBM4_MOUSE	tr|G1P1L8|G1P1L8_MYOLU
OG0001097	tr|Q8VFZ3|Q8VFZ3_MOUSE, tr|Q8VF60|Q8VF60_MOUSE, tr|Q7TS13|Q7TS13_MOUSE	tr|G1P459|G1P459_MYOLU
OG0001099	sp|Q3V3R1|C1TM_MOUSE	tr|G1P4F3|G1P4F3_MYOLU
OG0001099	sp|Q922D8|C1TC_MOUSE	tr|G1PUV4|G1PUV4_MYOLU
OG0001100	sp|Q3U0S6|RAIN_MOUSE, sp|Q69Z89|RADIL_MOUSE, sp|Q9D6K5|SYJ2B_MOUSE	tr|G1Q7G9|G1Q7G9_MYOLU
OG0001101	sp|Q6P7W2|SHKB1_MOUSE	tr|G1P4H9|G1P4H9_MYOLU
OG0001101	sp|Q8BFX3|KCTD3_MOUSE	tr|G1P3L7|G1P3L7_MYOLU
OG0001102	sp|Q8BHJ7|GBRA5_MOUSE	tr|G1Q096|G1Q096_MYOLU
OG0001102	sp|P62812|GBRA1_MOUSE	tr|G1PP14|G1PP14_MYOLU
OG0001103	sp|Q01405|SC23A_MOUSE	tr|G1PN06|G1PN06_MYOLU
OG0001103	sp|Q9D662|SC23B_MOUSE	tr|G1PQY4|G1PQY4_MYOLU
OG0001104	tr|E9Q048|E9Q048_MOUSE, tr|Q8C5D3|Q8C5D3_MOUSE, tr|F6UWZ4|F6UWZ4_MOUSE	tr|G1P917|G1P917_MYOLU
OG0001105	sp|P16382|IL4RA_MOUSE	tr|G1QEK7|G1QEK7_MYOLU, tr|G1PJ12|G1PJ12_MYOLU, tr|G1Q404|G1Q404_MYOLU
OG0001106	sp|P83626|TNR26_MOUSE	tr|G1Q8P3|G1Q8P3_MYOLU, tr|G1Q5X6|G1Q5X6_MYOLU, tr|G1Q0J5|G1Q0J5_MYOLU
OG0001108	sp|P16882|GHR_MOUSE	tr|G1QF22|G1QF22_MYOLU, tr|G1Q4Y1|G1Q4Y1_MYOLU, tr|G1NSK2|G1NSK2_MYOLU
OG0001109	sp|A2AIG8|1A1L1_MOUSE	tr|G1P446|G1P446_MYOLU
OG0001109	sp|Q3UX83|1A1L2_MOUSE	tr|G1P435|G1P435_MYOLU
OG0001110	tr|Q8VG26|Q8VG26_MOUSE	tr|G1PA66|G1PA66_MYOLU, tr|G1Q9P1|G1Q9P1_MYOLU, tr|G1PTD4|G1PTD4_MYOLU
OG0001111	tr|Q9D4I8|Q9D4I8_MOUSE, sp|Q99NB8|UBQL4_MOUSE	tr|G1NXA5|G1NXA5_MYOLU, tr|G1PFA4|G1PFA4_MYOLU
OG0001112	sp|Q9EPL9|ACOX3_MOUSE, sp|Q9DBS4|ACOXL_MOUSE, sp|Q9R0H0|ACOX1_MOUSE	tr|G1NV31|G1NV31_MYOLU
OG0001113	sp|P31938|MP2K1_MOUSE	tr|G1PJ27|G1PJ27_MYOLU
OG0001113	sp|Q63932|MP2K2_MOUSE	tr|G1PBZ4|G1PBZ4_MYOLU
OG0001114	sp|Q64133|AOFA_MOUSE	tr|G1NVK8|G1NVK8_MYOLU
OG0001114	sp|Q8BW75|AOFB_MOUSE	tr|G1NVL8|G1NVL8_MYOLU
OG0001115	sp|Q6R0H7|GNAS1_MOUSE	tr|G1P9W6|G1P9W6_MYOLU
OG0001115	sp|Q8CGK7|GNAL_MOUSE	tr|G1PHJ0|G1PHJ0_MYOLU
OG0001116	tr|Q8VFU6|Q8VFU6_MOUSE, tr|Q8VFU7|Q8VFU7_MOUSE	tr|G1Q9X6|G1Q9X6_MYOLU, tr|G1P479|G1P479_MYOLU
OG0001117	sp|Q8R1S4|MTSS1_MOUSE	tr|G1P0X6|G1P0X6_MYOLU
OG0001117	sp|Q6P9S0|MTSS2_MOUSE	tr|G1Q5E9|G1Q5E9_MYOLU
OG0001118	sp|O35709|ENC1_MOUSE	tr|G1P336|G1P336_MYOLU
OG0001118	sp|Q8R2P1|KLH25_MOUSE	tr|G1PC41|G1PC41_MYOLU
OG0001119	sp|Q8VE97|SRSF4_MOUSE	tr|G1PQR5|G1PQR5_MYOLU
OG0001119	sp|Q3TWW8|SRSF6_MOUSE	tr|G1PV06|G1PV06_MYOLU
OG0001120	sp|Q9Z306|S22A4_MOUSE, sp|Q9Z0E8|S22A5_MOUSE, sp|Q9WTN6|S22AL_MOUSE	tr|G1PTZ7|G1PTZ7_MYOLU
OG0001121	sp|O54829|RGS7_MOUSE	tr|G1P0A9|G1P0A9_MYOLU
OG0001121	sp|Q9Z2H2|RGS6_MOUSE	tr|G1PDL8|G1PDL8_MYOLU
OG0001122	sp|P63056|NOE3_MOUSE	tr|G1NXI8|G1NXI8_MYOLU
OG0001122	sp|O88998|NOE1_MOUSE	tr|G1P822|G1P822_MYOLU
OG0001123	sp|Q80TT8|CUL9_MOUSE	tr|G1PCI6|G1PCI6_MYOLU
OG0001123	sp|Q8VE73|CUL7_MOUSE	tr|G1PK07|G1PK07_MYOLU
OG0001124	sp|Q9QZH3|PPIE_MOUSE	tr|G1QGD3|G1QGD3_MYOLU, tr|G1P6H0|G1P6H0_MYOLU, tr|G1PU48|G1PU48_MYOLU
OG0001125	sp|Q62273|S26A2_MOUSE, sp|Q80ZD3|S2611_MOUSE, sp|P58735|S26A1_MOUSE	tr|G1PM80|G1PM80_MYOLU
OG0001126	sp|Q9JK54|MSGN1_MOUSE, sp|O08574|MESP2_MOUSE, sp|P97309|MESP1_MOUSE	tr|G1P9L7|G1P9L7_MYOLU
OG0001127	sp|Q5SUV5|MYLK4_MOUSE, sp|Q3UIZ8|MYLK3_MOUSE, sp|Q8VCR8|MYLK2_MOUSE	tr|G1PHN5|G1PHN5_MYOLU
OG0001128	sp|Q3UU96|MRCKA_MOUSE	tr|G1P829|G1P829_MYOLU
OG0001128	sp|Q7TT50|MRCKB_MOUSE	tr|G1PUX0|G1PUX0_MYOLU
OG0001129	sp|Q8BZ25|ANKK1_MOUSE	tr|G1PJA1|G1PJA1_MYOLU
OG0001129	sp|Q9ERK0|RIPK4_MOUSE	tr|G1NUR6|G1NUR6_MYOLU
OG0001130	tr|Q8BVT7|Q8BVT7_MOUSE, tr|B1AXN3|B1AXN3_MOUSE, sp|Q8VDJ3|VIGLN_MOUSE	tr|G1P587|G1P587_MYOLU
OG0001131	sp|P0DP27|CALM2_MOUSE, sp|P0DP26|CALM1_MOUSE, sp|P0DP28|CALM3_MOUSE	tr|G1Q740|G1Q740_MYOLU
OG0001133	sp|Q8BGT5|ALAT2_MOUSE	tr|G1PU09|G1PU09_MYOLU
OG0001133	sp|Q8QZR5|ALAT1_MOUSE	tr|G1QB69|G1QB69_MYOLU
OG0001134	sp|Q91YE9|5NT1B_MOUSE	tr|G1PTF0|G1PTF0_MYOLU
OG0001134	sp|A3KFX0|5NT1A_MOUSE	tr|G1PU37|G1PU37_MYOLU
OG0001136	sp|P04224|HA22_MOUSE, sp|P01904|HA21_MOUSE	tr|G1QA54|G1QA54_MYOLU, tr|L7N1N9|L7N1N9_MYOLU
OG0001137	sp|P70704|AT8A1_MOUSE	tr|G1PA69|G1PA69_MYOLU
OG0001137	sp|P98200|AT8A2_MOUSE	tr|G1PUE9|G1PUE9_MYOLU
OG0001138	sp|Q80XP9|WNK3_MOUSE	tr|G1PAZ2|G1PAZ2_MYOLU
OG0001138	sp|Q3UH66|WNK2_MOUSE	tr|G1PPU1|G1PPU1_MYOLU
OG0001139	sp|P70232|NCHL1_MOUSE	tr|G1P6E9|G1P6E9_MYOLU
OG0001139	sp|Q810U4|NRCAM_MOUSE	tr|G1PWR3|G1PWR3_MYOLU
OG0001140	sp|Q62158|TRI27_MOUSE, sp|Q8R0K2|TRI31_MOUSE, sp|Q9ESN2|TRI39_MOUSE	tr|G1PZD1|G1PZD1_MYOLU
OG0001141	sp|Q9EQW6|OLIG2_MOUSE, sp|Q9JKN5|OLIG1_MOUSE, sp|Q6PFG8|OLIG3_MOUSE	tr|G1QE23|G1QE23_MYOLU
OG0001142	sp|Q4VA53|PDS5B_MOUSE	tr|G1PNK1|G1PNK1_MYOLU
OG0001142	sp|Q6A026|PDS5A_MOUSE	tr|G1PHW1|G1PHW1_MYOLU
OG0001143	tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF40|Q8VF40_MOUSE	tr|G1QDN5|G1QDN5_MYOLU
OG0001144	sp|P28357|HXD9_MOUSE, sp|P09631|HXA9_MOUSE, sp|P09633|HXC9_MOUSE	tr|G1NTE4|G1NTE4_MYOLU
OG0001145	tr|Q8VFH8|Q8VFH8_MOUSE, tr|Q8VGJ2|Q8VGJ2_MOUSE	tr|G1PY93|G1PY93_MYOLU, tr|G1Q5K3|G1Q5K3_MYOLU
OG0001146	tr|Q8VH13|Q8VH13_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|Q8VH16|Q8VH16_MOUSE	tr|G1PWU1|G1PWU1_MYOLU
OG0001147	sp|O35457|CCRL2_MOUSE, sp|P51682|CCR5_MOUSE, sp|P51683|CCR2_MOUSE	tr|G1PV89|G1PV89_MYOLU
OG0001148	sp|P09405|NUCL_MOUSE	tr|L7N1P5|L7N1P5_MYOLU, tr|G1QD01|G1QD01_MYOLU, tr|G1PQ98|G1PQ98_MYOLU
OG0001150	sp|Q9D6N1|CAH13_MOUSE, sp|P13634|CAH1_MOUSE, sp|Q99N23|CAH15_MOUSE	tr|G1P6D5|G1P6D5_MYOLU
OG0001151	sp|Q8BVE8|NSD2_MOUSE	tr|G1PJ88|G1PJ88_MYOLU
OG0001151	sp|Q6P2L6|NSD3_MOUSE	tr|G1PG98|G1PG98_MYOLU
OG0001152	sp|Q9Z2I4|ROBO3_MOUSE	tr|G1PZT9|G1PZT9_MYOLU
OG0001152	sp|Q7TPD3|ROBO2_MOUSE	tr|G1PAW7|G1PAW7_MYOLU
OG0001153	sp|Q9D5U0|PCT2B_MOUSE	tr|G1PWD3|G1PWD3_MYOLU
OG0001153	sp|Q8BYI6|PCAT2_MOUSE	tr|G1P1G5|G1P1G5_MYOLU
OG0001154	sp|Q99104|MYO5A_MOUSE	tr|G1P8C3|G1P8C3_MYOLU
OG0001154	sp|P21271|MYO5B_MOUSE	tr|G1PV90|G1PV90_MYOLU
OG0001155	sp|Q8CH72|TRI32_MOUSE, sp|Q3UP44|NHLC4_MOUSE, sp|Q8BR37|NHLC1_MOUSE	tr|G1Q1M0|G1Q1M0_MYOLU
OG0001156	sp|Q4ACU6|SHAN3_MOUSE, sp|D3YZU1|SHAN1_MOUSE, sp|Q80Z38|SHAN2_MOUSE	tr|G1PFG4|G1PFG4_MYOLU
OG0001157	sp|O09127|EPHA8_MOUSE	tr|G1NZF7|G1NZF7_MYOLU
OG0001157	sp|Q03137|EPHA4_MOUSE	tr|G1PT48|G1PT48_MYOLU
OG0001158	sp|O70191|ATF5_MOUSE	tr|G1QCQ8|G1QCQ8_MYOLU
OG0001158	sp|Q06507|ATF4_MOUSE	tr|G1QEU7|G1QEU7_MYOLU
OG0001159	sp|P10628|HXD4_MOUSE, sp|P10284|HXB4_MOUSE, sp|P06798|HXA4_MOUSE	tr|G1PKP1|G1PKP1_MYOLU
