Orthogroup	Mus_musculus	Macaca_nemestrina
OG0001978	tr|Q8BGS5|Q8BGS5_MOUSE	tr|A0A2K6C6G5|A0A2K6C6G5_MACNE, tr|A0A2K6BK83|A0A2K6BK83_MACNE
OG0001979	sp|P70377|FGF13_MOUSE	tr|A0A2K6CRA7|A0A2K6CRA7_MACNE, tr|A0A2K6CRJ6|A0A2K6CRJ6_MACNE
OG0001980	sp|O54784|DAPK3_MOUSE, sp|Q8VDF3|DAPK2_MOUSE	tr|A0A2K6CYH4|A0A2K6CYH4_MACNE
OG0001981	sp|Q9Z2I0|LETM1_MOUSE	tr|A0A2K6AYI7|A0A2K6AYI7_MACNE, tr|A0A2K6D2F2|A0A2K6D2F2_MACNE
OG0001982	sp|Q9JJV2|PROF2_MOUSE	tr|A0A2K6E0J1|A0A2K6E0J1_MACNE, tr|A0A2K6ANH0|A0A2K6ANH0_MACNE
OG0001983	sp|Q9JJU8|SH3L1_MOUSE	tr|A0A2K6E846|A0A2K6E846_MACNE, tr|A0A2K6C1L4|A0A2K6C1L4_MACNE
OG0001984	sp|Q6IR41|C1QT6_MOUSE	tr|A0A2K6DT78|A0A2K6DT78_MACNE, tr|A0A2K6EB31|A0A2K6EB31_MACNE
OG0001985	sp|Q9WVA2|TIM8A_MOUSE	tr|A0A2K6B2D8|A0A2K6B2D8_MACNE, tr|A0A2K6CSS7|A0A2K6CSS7_MACNE
OG0001986	sp|Q8CCT7|NSUN3_MOUSE	tr|A0A2K6B3W0|A0A2K6B3W0_MACNE, tr|A0A2K6BB36|A0A2K6BB36_MACNE
OG0001987	sp|Q8R3W5|SEN15_MOUSE	tr|A0A2K6B7M8|A0A2K6B7M8_MACNE, tr|A0A2K6DNE6|A0A2K6DNE6_MACNE
OG0001988	sp|Q9DCP9|DAZP2_MOUSE	tr|A0A2K6BD15|A0A2K6BD15_MACNE, tr|A0A2K6CA41|A0A2K6CA41_MACNE
OG0001989	sp|Q9CQ02|COMD4_MOUSE	tr|A0A2K6BFA7|A0A2K6BFA7_MACNE, tr|A0A2K6BQU5|A0A2K6BQU5_MACNE
OG0001990	sp|Q9Z2I8|SUCB2_MOUSE	tr|A0A2K6DPL0|A0A2K6DPL0_MACNE, tr|A0A2K6BMC6|A0A2K6BMC6_MACNE
OG0001991	sp|Q4VBE4|EGFLA_MOUSE	tr|A0A2K6BNK0|A0A2K6BNK0_MACNE, tr|A0A2K6BXN4|A0A2K6BXN4_MACNE
OG0001992	sp|Q9WUB4|DCTN6_MOUSE	tr|A0A2K6DS48|A0A2K6DS48_MACNE, tr|A0A2K6C7W5|A0A2K6C7W5_MACNE
OG0001993	sp|O35943|FRDA_MOUSE	tr|A0A2K6D255|A0A2K6D255_MACNE, tr|A0A2K6CCJ3|A0A2K6CCJ3_MACNE
OG0001994	sp|Q9D385|AR2BP_MOUSE	tr|A0A2K6CW30|A0A2K6CW30_MACNE, tr|A0A2K6CLB5|A0A2K6CLB5_MACNE
OG0001995	sp|P58021|TM9S2_MOUSE, tr|A2AFI6|A2AFI6_MOUSE	tr|A0A2K6CXG3|A0A2K6CXG3_MACNE
OG0001996	sp|Q9ESW4|AGK_MOUSE	tr|A0A2K6BI78|A0A2K6BI78_MACNE, tr|A0A2K6D5F8|A0A2K6D5F8_MACNE
OG0001997	tr|E9Q512|E9Q512_MOUSE	tr|A0A2K6DH02|A0A2K6DH02_MACNE, tr|A0A2K6DHH1|A0A2K6DHH1_MACNE
OG0001998	sp|Q8C0V9|FRMD6_MOUSE	tr|A0A2K6E681|A0A2K6E681_MACNE, tr|A0A2K6DRJ7|A0A2K6DRJ7_MACNE
OG0001999	sp|Q9CR46|SKA2_MOUSE	tr|A0A2K6CLM6|A0A2K6CLM6_MACNE, tr|A0A2K6AQ18|A0A2K6AQ18_MACNE
OG0002000	sp|Q9CRA4|MSMO1_MOUSE, sp|Q9Z0F5|CH25H_MOUSE	tr|A0A2K6ASA7|A0A2K6ASA7_MACNE
OG0002001	sp|P35428|HES1_MOUSE	tr|A0A2K6BR59|A0A2K6BR59_MACNE, tr|A0A2K6CU85|A0A2K6CU85_MACNE
OG0002003	tr|Q2VPR5|Q2VPR5_MOUSE, sp|P51859|HDGF_MOUSE	tr|A0A2K6CEJ4|A0A2K6CEJ4_MACNE
OG0002004	tr|Q8BGR1|Q8BGR1_MOUSE, sp|Q8R1G6|PDLI2_MOUSE	tr|A0A2K6CW38|A0A2K6CW38_MACNE
OG0002005	sp|Q9DA80|RSH3B_MOUSE, sp|Q3UFY4|RSH3A_MOUSE	tr|A0A2K6D0B9|A0A2K6D0B9_MACNE
OG0002006	sp|P30993|C5AR1_MOUSE, sp|Q8BW93|C5AR2_MOUSE	tr|A0A2K6DDM4|A0A2K6DDM4_MACNE
OG0002007	tr|A2A3U9|A2A3U9_MOUSE	tr|A0A2K6E101|A0A2K6E101_MACNE, tr|A0A2K6CZV0|A0A2K6CZV0_MACNE
OG0002008	sp|A2A7Z8|ADCL3_MOUSE	tr|A0A2K6CAW8|A0A2K6CAW8_MACNE, tr|A0A2K6E8R0|A0A2K6E8R0_MACNE
OG0002009	sp|P27548|CD40L_MOUSE	sp|Q9BDM7|CD40L_MACNE, tr|A0A2K6D7C9|A0A2K6D7C9_MACNE
OG0002010	tr|Q8C393|Q8C393_MOUSE, tr|Q8C0Q5|Q8C0Q5_MOUSE	tr|A0A2K6B331|A0A2K6B331_MACNE
OG0002011	tr|E9PZQ1|E9PZQ1_MOUSE	tr|A0A2K6BG16|A0A2K6BG16_MACNE, tr|A0A2K6BM87|A0A2K6BM87_MACNE
OG0002012	sp|Q9WTX2|PRKRA_MOUSE	tr|A0A2K6BUM1|A0A2K6BUM1_MACNE, tr|A0A2K6BK90|A0A2K6BK90_MACNE
OG0002013	sp|Q8C7N7|APH1B_MOUSE, sp|Q9DCZ9|APH1C_MOUSE	tr|A0A2K6CEY2|A0A2K6CEY2_MACNE
OG0002014	sp|Q9R0Q8|CLC4E_MOUSE	tr|A0A2K6DDS2|A0A2K6DDS2_MACNE, tr|A0A2K6CG61|A0A2K6CG61_MACNE
OG0002015	sp|P80316|TCPE_MOUSE	tr|A0A2K6CZM5|A0A2K6CZM5_MACNE, tr|A0A2K6CW28|A0A2K6CW28_MACNE
OG0002016	sp|Q3UKU1|ELL2_MOUSE	tr|A0A2K6E2G2|A0A2K6E2G2_MACNE, tr|A0A2K6C697|A0A2K6C697_MACNE
OG0002017	sp|O08580|ERR1_MOUSE	tr|A0A2K6B4D5|A0A2K6B4D5_MACNE, tr|A0A2K6E6J8|A0A2K6E6J8_MACNE
OG0002018	sp|P26516|PSMD7_MOUSE	tr|A0A2K6B841|A0A2K6B841_MACNE, tr|A0A2K6AT66|A0A2K6AT66_MACNE
OG0002019	tr|Q3TS87|Q3TS87_MOUSE, sp|O09005|DEGS1_MOUSE	tr|A0A2K6BAM0|A0A2K6BAM0_MACNE
OG0002020	sp|Q3U285|LCORL_MOUSE, sp|Q6ZPI3|LCOR_MOUSE	tr|A0A2K6BM00|A0A2K6BM00_MACNE
OG0002021	sp|Q8VE22|RT23_MOUSE	tr|A0A2K6BSK0|A0A2K6BSK0_MACNE, tr|A0A2K6AXW4|A0A2K6AXW4_MACNE
OG0002022	sp|Q8VDS8|STX18_MOUSE	tr|A0A2K6DDF2|A0A2K6DDF2_MACNE, tr|A0A2K6CAC3|A0A2K6CAC3_MACNE
OG0002023	sp|Q8C8R3|ANK2_MOUSE	tr|A0A2K6CI25|A0A2K6CI25_MACNE, tr|A0A2K6D9M7|A0A2K6D9M7_MACNE
OG0002024	sp|Q9JMG1|EDF1_MOUSE	tr|A0A2K6CNL6|A0A2K6CNL6_MACNE, tr|A0A2K6CYQ9|A0A2K6CYQ9_MACNE
OG0002025	sp|Q8CJ40|CROCC_MOUSE	tr|A0A2K6ATZ7|A0A2K6ATZ7_MACNE, tr|A0A2K6D1T9|A0A2K6D1T9_MACNE
OG0002026	sp|G5E8K5|ANK3_MOUSE, sp|Q02357|ANK1_MOUSE	tr|A0A2K6DC65|A0A2K6DC65_MACNE
OG0002027	sp|Q8CH02|SUGP1_MOUSE	tr|A0A2K6CK36|A0A2K6CK36_MACNE, tr|A0A2K6DPV4|A0A2K6DPV4_MACNE
OG0002028	sp|Q61102|ABCB7_MOUSE	tr|A0A2K6C4M0|A0A2K6C4M0_MACNE, tr|A0A2K6DSA7|A0A2K6DSA7_MACNE
OG0002029	sp|P25446|TNR6_MOUSE	tr|A0A2K6B711|A0A2K6B711_MACNE, sp|Q9BDN0|TNR6_MACNE
OG0002030	tr|A0A140LHT7|A0A140LHT7_MOUSE, tr|A0A140LHS7|A0A140LHS7_MOUSE	tr|A0A2K6AMJ2|A0A2K6AMJ2_MACNE
OG0002031	sp|Q80SU7|GVIN1_MOUSE, sp|Q5NCI0|URGCP_MOUSE	tr|A0A2K6AQ60|A0A2K6AQ60_MACNE
OG0002032	tr|A0A0A6YYE2|A0A0A6YYE2_MOUSE	tr|A0A2K6ART3|A0A2K6ART3_MACNE, tr|A0A2K6AUU5|A0A2K6AUU5_MACNE
OG0002033	sp|Q6XQH0|G3ST2_MOUSE, tr|Q3ULK5|Q3ULK5_MOUSE	tr|A0A2K6BCI8|A0A2K6BCI8_MACNE
OG0002034	sp|Q6PGG6|GNL3L_MOUSE	tr|A0A2K6BRU1|A0A2K6BRU1_MACNE, tr|A0A2K6CF36|A0A2K6CF36_MACNE
OG0002035	sp|Q8QZY9|SF3B4_MOUSE	tr|A0A2K6BTR9|A0A2K6BTR9_MACNE, tr|A0A2K6BVQ7|A0A2K6BVQ7_MACNE
OG0002037	sp|Q9CR09|UFC1_MOUSE	tr|A0A2K6DBY0|A0A2K6DBY0_MACNE, tr|A0A2K6E0C3|A0A2K6E0C3_MACNE
OG0002038	sp|Q02053|UBA1_MOUSE, sp|P31254|UBA1Y_MOUSE	tr|A0A2K6E6M9|A0A2K6E6M9_MACNE
OG0002039	sp|Q9CQX8|KGD4_MOUSE	tr|A0A2K6BVP8|A0A2K6BVP8_MACNE, tr|A0A2K6EA17|A0A2K6EA17_MACNE
OG0002040	sp|Q8VCL2|SCO2_MOUSE, sp|Q5SUC9|SCO1_MOUSE	tr|A0A2K6EBK1|A0A2K6EBK1_MACNE
OG0002041	sp|Q80ZE5|PAQR8_MOUSE, sp|Q80ZE4|PAQR7_MOUSE	tr|A0A2K6ATK0|A0A2K6ATK0_MACNE
OG0002042	sp|O70338|RNH1_MOUSE	tr|A0A2K6BGL7|A0A2K6BGL7_MACNE, tr|A0A2K6DDF0|A0A2K6DDF0_MACNE
OG0002043	sp|Q8C4N4|LAAT1_MOUSE	tr|A0A2K6AUM7|A0A2K6AUM7_MACNE, tr|A0A2K6BW78|A0A2K6BW78_MACNE
OG0002044	sp|P56484|CCR8_MOUSE, sp|P51680|CCR4_MOUSE	tr|A0A2K6AVR0|A0A2K6AVR0_MACNE
OG0002045	tr|A0A1L1SU27|A0A1L1SU27_MOUSE	tr|A0A2K6BN18|A0A2K6BN18_MACNE, tr|A0A2K6BYB9|A0A2K6BYB9_MACNE
OG0002046	sp|Q61550|RAD21_MOUSE	tr|A0A2K6EA01|A0A2K6EA01_MACNE, tr|A0A2K6BV02|A0A2K6BV02_MACNE
OG0002047	sp|Q8BX46|SKOR1_MOUSE	tr|A0A2K6C2G9|A0A2K6C2G9_MACNE, tr|A0A2K6CZQ5|A0A2K6CZQ5_MACNE
OG0002048	sp|Q9D7A8|ARMC1_MOUSE	tr|A0A2K6D8P1|A0A2K6D8P1_MACNE, tr|A0A2K6CN32|A0A2K6CN32_MACNE
OG0002049	sp|Q9D7A6|SRP19_MOUSE	tr|A0A2K6D3R6|A0A2K6D3R6_MACNE, tr|A0A2K6DCW8|A0A2K6DCW8_MACNE
OG0002050	tr|Q3LR78|Q3LR78_MOUSE, sp|Q8BN78|KAISO_MOUSE	tr|A0A2K6B174|A0A2K6B174_MACNE
OG0002051	sp|Q8K2C8|GPAT4_MOUSE	tr|A0A2K6B7E6|A0A2K6B7E6_MACNE, tr|A0A2K6C031|A0A2K6C031_MACNE
OG0002052	sp|P00920|CAH2_MOUSE, sp|Q99N23|CAH15_MOUSE	tr|A0A2K6CV11|A0A2K6CV11_MACNE
OG0002053	sp|Q3TLD5|RMP_MOUSE	tr|A0A2K6BXX3|A0A2K6BXX3_MACNE, tr|A0A2K6DB61|A0A2K6DB61_MACNE
OG0002054	sp|Q924Z4|CERS2_MOUSE, sp|P27545|CERS1_MOUSE	tr|A0A2K6DSL2|A0A2K6DSL2_MACNE
OG0002055	sp|P97822|AN32E_MOUSE	tr|A0A2K6DGH8|A0A2K6DGH8_MACNE, tr|A0A2K6DU37|A0A2K6DU37_MACNE
OG0002056	sp|Q9DBB5|IF4E3_MOUSE	tr|A0A2K6DYA8|A0A2K6DYA8_MACNE, tr|A0A2K6CHN9|A0A2K6CHN9_MACNE
OG0002057	sp|Q6P8X1|SNX6_MOUSE	tr|A0A2K6DSG3|A0A2K6DSG3_MACNE, tr|A0A2K6E467|A0A2K6E467_MACNE
OG0002058	sp|Q91VJ1|AIM2_MOUSE	tr|A0A2K6BND5|A0A2K6BND5_MACNE, tr|A0A2K6E921|A0A2K6E921_MACNE
OG0002059	sp|Q8K2H6|APC10_MOUSE	tr|A0A2K6ANG4|A0A2K6ANG4_MACNE, tr|A0A2K6C1G3|A0A2K6C1G3_MACNE
OG0002060	sp|Q9R1P1|PSB3_MOUSE	tr|A0A2K6CWZ1|A0A2K6CWZ1_MACNE, tr|A0A2K6B6R1|A0A2K6B6R1_MACNE
OG0002062	sp|O55128|SAP18_MOUSE	tr|A0A2K6DEC7|A0A2K6DEC7_MACNE, tr|A0A2K6C0H6|A0A2K6C0H6_MACNE
OG0002063	sp|Q3KNY0|IGFN1_MOUSE	tr|A0A2K6EBH7|A0A2K6EBH7_MACNE, tr|A0A2K6CHH0|A0A2K6CHH0_MACNE
OG0002064	sp|Q3UP75|UD3A1_MOUSE, sp|Q8JZZ0|UD3A2_MOUSE	tr|A0A2K6D3N5|A0A2K6D3N5_MACNE
OG0002065	sp|Q9D5U0|PCT2B_MOUSE, sp|Q8BYI6|PCAT2_MOUSE	tr|A0A2K6DHW8|A0A2K6DHW8_MACNE
OG0002066	sp|Q5STT6|GAR3_MOUSE	tr|A0A2K6DLG9|A0A2K6DLG9_MACNE, tr|A0A2K6BR85|A0A2K6BR85_MACNE
OG0002067	sp|Q9R1T2|SAE1_MOUSE	tr|A0A2K6DWM5|A0A2K6DWM5_MACNE, tr|A0A2K6B1V9|A0A2K6B1V9_MACNE
OG0002068	sp|Q8C010|GPR61_MOUSE, sp|Q80UC6|GPR62_MOUSE	tr|A0A2K6B5J6|A0A2K6B5J6_MACNE
OG0002069	tr|J3QNP9|J3QNP9_MOUSE	tr|A0A2K6BFD5|A0A2K6BFD5_MACNE, tr|A0A2K6E8Y3|A0A2K6E8Y3_MACNE
OG0002070	sp|P28293|CATG_MOUSE	tr|A0A2K6C8M2|A0A2K6C8M2_MACNE, tr|A0A2K6BJ36|A0A2K6BJ36_MACNE
OG0002071	sp|A1L0T3|SRB4D_MOUSE, sp|Q8BZE1|DMBTL_MOUSE	tr|A0A2K6BZ33|A0A2K6BZ33_MACNE
OG0002072	sp|Q91WD0|GP108_MOUSE	tr|A0A2K6B4B5|A0A2K6B4B5_MACNE, tr|A0A2K6C033|A0A2K6C033_MACNE
OG0002073	sp|P35700|PRDX1_MOUSE	tr|A0A2K6CMD4|A0A2K6CMD4_MACNE, tr|A0A2K6D8Z2|A0A2K6D8Z2_MACNE
OG0002074	sp|O88384|VTI1B_MOUSE	tr|A0A2K6CP99|A0A2K6CP99_MACNE, tr|A0A2K6AUZ4|A0A2K6AUZ4_MACNE
OG0002075	sp|Q07230|ZSCA2_MOUSE	tr|A0A2K6DAT3|A0A2K6DAT3_MACNE, tr|A0A2K6DZJ6|A0A2K6DZJ6_MACNE
OG0002076	sp|Q69ZP3|PNKD_MOUSE	tr|A0A2K6DLV9|A0A2K6DLV9_MACNE, tr|A0A2K6BUR0|A0A2K6BUR0_MACNE
OG0002077	sp|Q9DCI3|STR3N_MOUSE	tr|A0A2K6DS58|A0A2K6DS58_MACNE, tr|A0A2K6CBX9|A0A2K6CBX9_MACNE
OG0002078	sp|Q7TMV3|FAKD5_MOUSE, sp|Q6DI86|FAKD1_MOUSE	tr|A0A2K6E0F4|A0A2K6E0F4_MACNE
OG0002079	sp|Q921R4|DJC14_MOUSE	tr|A0A2K6AQB2|A0A2K6AQB2_MACNE, tr|A0A2K6DRS8|A0A2K6DRS8_MACNE
OG0002080	tr|E9Q5B4|E9Q5B4_MOUSE, tr|Q3UDN3|Q3UDN3_MOUSE	tr|A0A2K6B013|A0A2K6B013_MACNE
OG0002081	sp|P50516|VATA_MOUSE	tr|A0A2K6C4F5|A0A2K6C4F5_MACNE, tr|A0A2K6E428|A0A2K6E428_MACNE
OG0002082	sp|O55131|SEPT7_MOUSE	tr|A0A2K6BMS9|A0A2K6BMS9_MACNE, tr|A0A2K6C7G1|A0A2K6C7G1_MACNE
OG0002083	sp|Q9CQW1|YKT6_MOUSE	tr|A0A2K6CH65|A0A2K6CH65_MACNE, tr|A0A2K6CQM5|A0A2K6CQM5_MACNE
OG0002084	sp|Q8BGK2|ARHL1_MOUSE, sp|P54923|ADPRH_MOUSE	tr|A0A2K6DAI0|A0A2K6DAI0_MACNE
OG0002085	sp|Q9QXP4|DONS_MOUSE	tr|A0A2K6BKZ1|A0A2K6BKZ1_MACNE, tr|A0A2K6DPL8|A0A2K6DPL8_MACNE
OG0002086	sp|Q9DBA9|TF2H1_MOUSE	tr|A0A2K6CTG5|A0A2K6CTG5_MACNE, tr|A0A2K6DSU8|A0A2K6DSU8_MACNE
OG0002087	sp|Q9CQM9|GLRX3_MOUSE	tr|A0A2K6D792|A0A2K6D792_MACNE, tr|A0A2K6DV05|A0A2K6DV05_MACNE
OG0002088	sp|Q8VD31|TPSNR_MOUSE	tr|A0A2K6AUG4|A0A2K6AUG4_MACNE, tr|A0A2K6ALK3|A0A2K6ALK3_MACNE
OG0002089	sp|Q8BGY7|F210A_MOUSE	tr|A0A2K6AVW2|A0A2K6AVW2_MACNE, tr|A0A2K6CA62|A0A2K6CA62_MACNE
OG0002090	sp|O08750|NFIL3_MOUSE, tr|A0A5F8MPM5|A0A5F8MPM5_MOUSE	tr|A0A2K6B794|A0A2K6B794_MACNE
OG0002091	sp|Q64096|MCF2L_MOUSE	tr|A0A2K6B848|A0A2K6B848_MACNE, tr|A0A2K6CLN5|A0A2K6CLN5_MACNE
OG0002092	sp|Q9Z2I9|SUCB1_MOUSE	tr|A0A2K6AQI7|A0A2K6AQI7_MACNE, tr|A0A2K6BYU2|A0A2K6BYU2_MACNE
OG0002093	sp|P61022|CHP1_MOUSE	tr|A0A2K6C2R3|A0A2K6C2R3_MACNE, tr|A0A2K6BDF8|A0A2K6BDF8_MACNE
OG0002095	sp|O89110|CASP8_MOUSE	tr|A0A2K6D9X7|A0A2K6D9X7_MACNE, tr|A0A2K6CSB4|A0A2K6CSB4_MACNE
OG0002096	sp|Q8R2L5|RT18C_MOUSE	tr|A0A2K6E0K0|A0A2K6E0K0_MACNE, tr|A0A2K6AXX5|A0A2K6AXX5_MACNE
OG0002097	sp|Q8C166|CPNE1_MOUSE, sp|Q8BT60|CPNE3_MOUSE	tr|A0A2K6BID9|A0A2K6BID9_MACNE
OG0002098	sp|Q99LB6|MAT2B_MOUSE	tr|A0A2K6CXP3|A0A2K6CXP3_MACNE, tr|A0A2K6BUJ3|A0A2K6BUJ3_MACNE
OG0002099	sp|Q00690|LYAM2_MOUSE	tr|A0A2K6AW79|A0A2K6AW79_MACNE, tr|A0A2K6C1X8|A0A2K6C1X8_MACNE
OG0002100	sp|P46718|PDCD2_MOUSE	tr|A0A2K6DRV3|A0A2K6DRV3_MACNE, tr|A0A2K6CBV2|A0A2K6CBV2_MACNE
OG0002101	sp|P97393|RHG05_MOUSE	tr|A0A2K6D5S0|A0A2K6D5S0_MACNE, tr|A0A2K6E5J1|A0A2K6E5J1_MACNE
OG0002102	tr|A0A2I3BR81|A0A2I3BR81_MOUSE	tr|A0A2K6BC75|A0A2K6BC75_MACNE, tr|A0A2K6DG67|A0A2K6DG67_MACNE
OG0002103	sp|Q3TEW6|MPZL1_MOUSE	tr|A0A2K6DK65|A0A2K6DK65_MACNE, tr|A0A2K6DTI2|A0A2K6DTI2_MACNE
OG0002104	tr|A0A0A6YVU8|A0A0A6YVU8_MOUSE, sp|Q9JKV1|ADRM1_MOUSE	tr|A0A2K6B2Q4|A0A2K6B2Q4_MACNE
OG0002105	sp|P19324|SERPH_MOUSE	tr|A0A2K6CBJ6|A0A2K6CBJ6_MACNE, tr|A0A2K6CKJ6|A0A2K6CKJ6_MACNE
OG0002106	sp|Q9D2N9|VP33A_MOUSE	tr|A0A2K6DRC4|A0A2K6DRC4_MACNE, tr|A0A2K6CN96|A0A2K6CN96_MACNE
OG0002107	sp|Q9QYI3|DNJC7_MOUSE	tr|A0A2K6C0K4|A0A2K6C0K4_MACNE, tr|A0A2K6DXN4|A0A2K6DXN4_MACNE
OG0002108	sp|Q99N85|RT18A_MOUSE	tr|A0A2K6CTX1|A0A2K6CTX1_MACNE, tr|A0A2K6E7A3|A0A2K6E7A3_MACNE
OG0002109	sp|Q9JM13|RABX5_MOUSE	tr|A0A2K6E012|A0A2K6E012_MACNE, tr|A0A2K6B768|A0A2K6B768_MACNE
OG0002110	sp|P56391|CX6B1_MOUSE	tr|A0A2K6BGE7|A0A2K6BGE7_MACNE, tr|A0A2K6E0D8|A0A2K6E0D8_MACNE
OG0002111	sp|Q9CQZ5|NDUA6_MOUSE	tr|A0A2K6BGR0|A0A2K6BGR0_MACNE, tr|A0A2K6C992|A0A2K6C992_MACNE
OG0002112	sp|Q8BR21|F180A_MOUSE	tr|A0A2K6BLK6|A0A2K6BLK6_MACNE, tr|A0A2K6C506|A0A2K6C506_MACNE
OG0002113	sp|O88796|RPP30_MOUSE	tr|A0A2K6B0W9|A0A2K6B0W9_MACNE, tr|A0A2K6C8M8|A0A2K6C8M8_MACNE
OG0002114	sp|Q9R0X4|ACOT9_MOUSE, sp|Q32MW3|ACO10_MOUSE	tr|A0A2K6CB85|A0A2K6CB85_MACNE
OG0002115	sp|P00796|RENI2_MOUSE, sp|P06281|RENI1_MOUSE	tr|A0A2K6CIY4|A0A2K6CIY4_MACNE
OG0002116	sp|Q3U0J8|TBD2B_MOUSE	tr|A0A2K6CQX9|A0A2K6CQX9_MACNE, tr|A0A2K6DJ33|A0A2K6DJ33_MACNE
OG0002117	sp|Q6P1Z5|PED1A_MOUSE, sp|Q8BGX1|PED1B_MOUSE	tr|A0A2K6E574|A0A2K6E574_MACNE
OG0002118	sp|Q8C2L6|T161B_MOUSE	tr|A0A2K6E8E0|A0A2K6E8E0_MACNE, tr|A0A2K6ALN9|A0A2K6ALN9_MACNE
OG0002119	sp|Q60980|KLF3_MOUSE	tr|A0A2K6API9|A0A2K6API9_MACNE, tr|A0A2K6CH91|A0A2K6CH91_MACNE
OG0002120	sp|Q9DCD5|TJAP1_MOUSE	tr|A0A2K6B2L5|A0A2K6B2L5_MACNE, tr|A0A2K6BHL5|A0A2K6BHL5_MACNE
OG0002121	tr|A0A1L1SUA2|A0A1L1SUA2_MOUSE, sp|Q6PDE8|MF13A_MOUSE	tr|A0A2K6BD63|A0A2K6BD63_MACNE
OG0002122	sp|Q62028|PLA2R_MOUSE	tr|A0A2K6BY59|A0A2K6BY59_MACNE, tr|A0A2K6CI80|A0A2K6CI80_MACNE
OG0002123	sp|Q9Z1K6|ARI2_MOUSE	tr|A0A2K6DVZ0|A0A2K6DVZ0_MACNE, tr|A0A2K6DCZ6|A0A2K6DCZ6_MACNE
OG0002124	sp|Q8C0J6|SWAHC_MOUSE, sp|Q8BLS7|SWAHA_MOUSE	tr|A0A2K6AQS2|A0A2K6AQS2_MACNE
OG0002125	sp|P32067|LA_MOUSE	tr|A0A2K6CEC2|A0A2K6CEC2_MACNE, tr|A0A2K6B7V7|A0A2K6B7V7_MACNE
OG0002126	sp|Q9D6J5|NDUB8_MOUSE	tr|A0A2K6B002|A0A2K6B002_MACNE, tr|A0A2K6CN98|A0A2K6CN98_MACNE
OG0002127	sp|O55103|PRAX_MOUSE, tr|A0A7N9VR94|A0A7N9VR94_MOUSE	tr|A0A2K6D5I9|A0A2K6D5I9_MACNE
OG0002128	sp|O35347|DGCR6_MOUSE	tr|A0A2K6D992|A0A2K6D992_MACNE, tr|A0A2K6DLM9|A0A2K6DLM9_MACNE
OG0002129	sp|Q30KP6|DFB41_MOUSE	tr|A0A2K6CRE9|A0A2K6CRE9_MACNE, tr|A0A2K6DVL1|A0A2K6DVL1_MACNE
OG0002130	sp|Q8K310|MATR3_MOUSE	tr|A0A2K6AZL3|A0A2K6AZL3_MACNE, tr|A0A2K6DWZ5|A0A2K6DWZ5_MACNE
OG0002131	sp|Q62266|SPR1A_MOUSE, sp|Q62267|SPR1B_MOUSE	tr|A0A2K6AT81|A0A2K6AT81_MACNE
OG0002132	sp|P59110|SENP1_MOUSE	tr|A0A2K6B6V5|A0A2K6B6V5_MACNE, tr|A0A2K6E4Y8|A0A2K6E4Y8_MACNE
OG0002133	tr|F7CZ33|F7CZ33_MOUSE	tr|A0A2K6BB02|A0A2K6BB02_MACNE, tr|A0A2K6DXU4|A0A2K6DXU4_MACNE
OG0002134	sp|Q8BGB7|ENOPH_MOUSE	tr|A0A2K6D6B3|A0A2K6D6B3_MACNE, tr|A0A2K6BCD6|A0A2K6BCD6_MACNE
OG0002135	sp|Q9CX56|PSMD8_MOUSE	tr|A0A2K6BTQ6|A0A2K6BTQ6_MACNE, tr|A0A2K6BFB5|A0A2K6BFB5_MACNE
OG0002136	sp|P43081|GUC1A_MOUSE	tr|A0A2K6DKD2|A0A2K6DKD2_MACNE, tr|A0A2K6BZV7|A0A2K6BZV7_MACNE
OG0002137	sp|Q62314|TGON2_MOUSE, sp|Q62313|TGON1_MOUSE	tr|A0A2K6CAB3|A0A2K6CAB3_MACNE
OG0002138	tr|Q7TNE6|Q7TNE6_MOUSE	tr|A0A2K6CDE2|A0A2K6CDE2_MACNE, tr|A0A2K6CAT9|A0A2K6CAT9_MACNE
OG0002139	sp|P30681|HMGB2_MOUSE	tr|A0A2K6ANP6|A0A2K6ANP6_MACNE, tr|A0A2K6CMK2|A0A2K6CMK2_MACNE
OG0002140	tr|G3UWA8|G3UWA8_MOUSE, sp|P83861|QRFPR_MOUSE	tr|A0A2K6DLT1|A0A2K6DLT1_MACNE
OG0002141	sp|Q9JKF4|CLC6A_MOUSE	tr|A0A2K6DYL2|A0A2K6DYL2_MACNE, tr|A0A2K6BRD4|A0A2K6BRD4_MACNE
OG0002142	tr|Q9Z1A1|Q9Z1A1_MOUSE	tr|A0A2K6E111|A0A2K6E111_MACNE, tr|A0A2K6B7K6|A0A2K6B7K6_MACNE
OG0002143	sp|P13597|ICAM1_MOUSE	tr|A0A2K6C429|A0A2K6C429_MACNE, tr|A0A2K6E6U0|A0A2K6E6U0_MACNE
OG0002144	sp|P00493|HPRT_MOUSE	tr|A0A2K6CGL4|A0A2K6CGL4_MACNE, tr|A0A2K6APL0|A0A2K6APL0_MACNE
OG0002145	sp|P17095|HMGA1_MOUSE	tr|A0A2K6DCN2|A0A2K6DCN2_MACNE, tr|A0A2K6AQ34|A0A2K6AQ34_MACNE
OG0002146	sp|Q3UFD7|FFAR3_MOUSE, sp|Q8VCK6|FFAR2_MOUSE	tr|A0A2K6B121|A0A2K6B121_MACNE
