Orthogroup	Mus_musculus	Phyllostomus_discolor
OG0000410	sp|Q9JM52|MINK1_MOUSE	tr|A0A6J2NE49|A0A6J2NE49_9CHIR
OG0000410	sp|P97820|M4K4_MOUSE	tr|A0A7E6DYY6|A0A7E6DYY6_9CHIR
OG0000411	sp|P68404|KPCB_MOUSE	tr|A0A7E6DE27|A0A7E6DE27_9CHIR
OG0000411	sp|P63318|KPCG_MOUSE	tr|A0A6J2MZL1|A0A6J2MZL1_9CHIR
OG0000411	sp|P20444|KPCA_MOUSE	tr|A0A6J2M785|A0A6J2M785_9CHIR
OG0000412	sp|Q7M725|TR107_MOUSE, sp|Q7M723|TR104_MOUSE, sp|Q9JKT4|TR105_MOUSE, sp|Q7M722|TR114_MOUSE, sp|Q7M724|TR106_MOUSE	tr|A0A6J2NFU1|A0A6J2NFU1_9CHIR
OG0000413	tr|A2AVX9|A2AVX9_MOUSE	tr|A0A6J2LSV3|A0A6J2LSV3_9CHIR
OG0000413	tr|Q7TR79|Q7TR79_MOUSE	tr|A0A6J2M1U8|A0A6J2M1U8_9CHIR, tr|A0A6J2M1A7|A0A6J2M1A7_9CHIR, tr|A0A6J2LXD3|A0A6J2LXD3_9CHIR
OG0000414	sp|Q64487|PTPRD_MOUSE	tr|A0A7E6DEN2|A0A7E6DEN2_9CHIR
OG0000414	sp|A2A8L5|PTPRF_MOUSE	tr|A0A7E6DRH1|A0A7E6DRH1_9CHIR
OG0000414	sp|B0V2N1|PTPRS_MOUSE	tr|A0A7E6EA12|A0A7E6EA12_9CHIR
OG0000415	sp|Q61418|CLCN4_MOUSE	tr|A0A6J2MJC3|A0A6J2MJC3_9CHIR
OG0000415	sp|P51791|CLCN3_MOUSE	tr|A0A6J2MEE3|A0A6J2MEE3_9CHIR
OG0000415	sp|Q9WVD4|CLCN5_MOUSE	tr|A0A6J2MIC8|A0A6J2MIC8_9CHIR
OG0000416	sp|Q9QZC1|TRPC3_MOUSE	tr|A0A7E6E7W1|A0A7E6E7W1_9CHIR
OG0000416	sp|Q61143|TRPC6_MOUSE	tr|A0A6J2M1A5|A0A6J2M1A5_9CHIR
OG0000416	sp|Q9WVC5|TRPC7_MOUSE	tr|A0A7E6CUY6|A0A7E6CUY6_9CHIR
OG0000417	sp|Q61831|MK10_MOUSE	tr|A0A6J2L8U5|A0A6J2L8U5_9CHIR
OG0000417	sp|Q91Y86|MK08_MOUSE	tr|A0A6J2LI68|A0A6J2LI68_9CHIR
OG0000417	sp|Q9WTU6|MK09_MOUSE	tr|A0A6J2N0V0|A0A6J2N0V0_9CHIR
OG0000418	sp|Q3TTE0|ADAM5_MOUSE	tr|A0A7E6CJ87|A0A7E6CJ87_9CHIR
OG0000418	sp|F8VQ03|ADAM3_MOUSE, sp|Q9R157|ADA18_MOUSE, sp|Q60718|ADAM2_MOUSE	tr|A0A7E6CLB4|A0A7E6CLB4_9CHIR
OG0000419	sp|Q2VLH6|C163A_MOUSE	tr|A0A6J2N742|A0A6J2N742_9CHIR
OG0000419	sp|Q60997|DMBT1_MOUSE	tr|A0A7E6D0X3|A0A7E6D0X3_9CHIR, tr|A0A7E6D0N8|A0A7E6D0N8_9CHIR, tr|A0A7E6DVQ6|A0A7E6DVQ6_9CHIR
OG0000422	sp|Q811L6|MAST4_MOUSE	tr|A0A7E6D8X9|A0A7E6D8X9_9CHIR
OG0000422	sp|Q9R1L5|MAST1_MOUSE	tr|A0A7E6E9H7|A0A7E6E9H7_9CHIR
OG0000422	sp|Q60592|MAST2_MOUSE	tr|A0A7E6DSI3|A0A7E6DSI3_9CHIR
OG0000425	sp|P04918|SAA3_MOUSE	tr|A0A7E6E0J4|A0A7E6E0J4_9CHIR, tr|A0A6J2LWK3|A0A6J2LWK3_9CHIR, tr|A0A6J2M1Y3|A0A6J2M1Y3_9CHIR, tr|A0A6J2M233|A0A6J2M233_9CHIR, tr|A0A6J2LWZ5|A0A6J2LWZ5_9CHIR
OG0000426	sp|P47857|PFKAM_MOUSE	tr|A0A6J2N6P3|A0A6J2N6P3_9CHIR
OG0000426	sp|P12382|PFKAL_MOUSE	tr|A0A6J2KZK7|A0A6J2KZK7_9CHIR
OG0000426	sp|Q9WUA3|PFKAP_MOUSE	tr|A0A6J2LAX6|A0A6J2LAX6_9CHIR
OG0000427	tr|Q8VFC8|Q8VFC8_MOUSE	tr|A0A6J2KY14|A0A6J2KY14_9CHIR
OG0000427	tr|Q8VFT5|Q8VFT5_MOUSE, tr|Q14AK5|Q14AK5_MOUSE	tr|A0A6J2KXG3|A0A6J2KXG3_9CHIR, tr|A0A6J2L395|A0A6J2L395_9CHIR
OG0000428	sp|Q61805|LBP_MOUSE	tr|A0A6J2MJI4|A0A6J2MJI4_9CHIR
OG0000428	sp|Q67E05|BPI_MOUSE	tr|A0A7E6CF25|A0A7E6CF25_9CHIR, tr|A0A7E6CG16|A0A7E6CG16_9CHIR, tr|A0A6J2MLV1|A0A6J2MLV1_9CHIR
OG0000429	tr|Q7TQZ8|Q7TQZ8_MOUSE	tr|A0A6J2LUS2|A0A6J2LUS2_9CHIR, tr|A0A6J2LXS1|A0A6J2LXS1_9CHIR, tr|A0A6J2LY78|A0A6J2LY78_9CHIR, tr|A0A6J2LSP8|A0A6J2LSP8_9CHIR, tr|A0A6J2LUR6|A0A6J2LUR6_9CHIR
OG0000430	sp|A2AF47|DOC11_MOUSE	tr|A0A7E6CZT6|A0A7E6CZT6_9CHIR
OG0000430	sp|Q8BIK4|DOCK9_MOUSE	tr|A0A7E6CK64|A0A7E6CK64_9CHIR
OG0000430	sp|Q8BZN6|DOC10_MOUSE	tr|A0A7E6DI14|A0A7E6DI14_9CHIR
OG0000431	sp|Q3UQ44|IQGA2_MOUSE	tr|A0A7E6DAH1|A0A7E6DAH1_9CHIR
OG0000431	tr|F8VQ29|F8VQ29_MOUSE	tr|A0A6J2KV11|A0A6J2KV11_9CHIR
OG0000431	sp|Q9JKF1|IQGA1_MOUSE	tr|A0A6J2KRX9|A0A6J2KRX9_9CHIR
OG0000432	sp|O70423|AOC3_MOUSE	tr|A0A7E6CD79|A0A7E6CD79_9CHIR, tr|A0A6J2MBZ8|A0A6J2MBZ8_9CHIR, tr|A0A7E6EE16|A0A7E6EE16_9CHIR
OG0000432	sp|Q812C9|AOC2_MOUSE	tr|A0A6J2MCG6|A0A6J2MCG6_9CHIR
OG0000433	tr|Q68FG2|Q68FG2_MOUSE	tr|A0A7E6E3M0|A0A7E6E3M0_9CHIR
OG0000433	sp|Q62261|SPTB2_MOUSE	tr|A0A6J2M169|A0A6J2M169_9CHIR
OG0000433	sp|P15508|SPTB1_MOUSE	tr|A0A6J2L6D4|A0A6J2L6D4_9CHIR
OG0000434	sp|Q8K1Y2|KPCD3_MOUSE	tr|A0A6J2LVM1|A0A6J2LVM1_9CHIR
OG0000434	sp|Q62101|KPCD1_MOUSE	tr|A0A6J2L4X2|A0A6J2L4X2_9CHIR
OG0000434	sp|Q8BZ03|KPCD2_MOUSE	tr|A0A6J2N0F5|A0A6J2N0F5_9CHIR
OG0000435	sp|P62141|PP1B_MOUSE	tr|A0A6J2M2Q4|A0A6J2M2Q4_9CHIR
OG0000435	sp|P63087|PP1G_MOUSE	tr|A0A6J2MUA4|A0A6J2MUA4_9CHIR
OG0000435	sp|P62137|PP1A_MOUSE	tr|A0A6J2LZB2|A0A6J2LZB2_9CHIR
OG0000436	tr|B1AR17|B1AR17_MOUSE	tr|A0A7E6ED99|A0A7E6ED99_9CHIR
OG0000436	sp|Q6PDQ2|CHD4_MOUSE	tr|A0A7E6D4G4|A0A7E6D4G4_9CHIR
OG0000436	sp|A2A8L1|CHD5_MOUSE	tr|A0A7E6DPM1|A0A7E6DPM1_9CHIR
OG0000438	sp|Q8BUR4|DOCK1_MOUSE	tr|A0A6J2LNZ8|A0A6J2LNZ8_9CHIR
OG0000438	sp|B2RY04|DOCK5_MOUSE	tr|A0A7E6EAC8|A0A7E6EAC8_9CHIR
OG0000438	sp|Q8C3J5|DOCK2_MOUSE	tr|A0A7E6CRZ0|A0A7E6CRZ0_9CHIR
OG0000439	sp|Q3V3I2|GNAT3_MOUSE	tr|A0A7E6CIA0|A0A7E6CIA0_9CHIR
OG0000439	sp|P20612|GNAT1_MOUSE	tr|A0A6J2M126|A0A6J2M126_9CHIR
OG0000439	sp|P50149|GNAT2_MOUSE	tr|A0A6J2KT80|A0A6J2KT80_9CHIR
OG0000440	sp|Q8BXK9|CLIC5_MOUSE	tr|A0A6J2LIY0|A0A6J2LIY0_9CHIR
OG0000440	sp|Q9QYB1|CLIC4_MOUSE	tr|A0A6J2LNZ4|A0A6J2LNZ4_9CHIR
OG0000440	sp|Q8BHB9|CLIC6_MOUSE	tr|A0A6J2L0C7|A0A6J2L0C7_9CHIR
OG0000441	sp|P08071|TRFL_MOUSE	tr|A0A6J2M8P2|A0A6J2M8P2_9CHIR
OG0000441	sp|Q9DBD0|ICA_MOUSE	tr|A0A6J2M3G1|A0A6J2M3G1_9CHIR
OG0000441	sp|Q921I1|TRFE_MOUSE	tr|A0A7E6E5F3|A0A7E6E5F3_9CHIR
OG0000442	tr|A2A590|A2A590_MOUSE, sp|Q3V2C1|KRA93_MOUSE, tr|A2A588|A2A588_MOUSE, tr|Q3V2D6|Q3V2D6_MOUSE	tr|A0A6J2ME59|A0A6J2ME59_9CHIR, tr|A0A7E6EFN3|A0A7E6EFN3_9CHIR
OG0000444	sp|P54754|EPHB3_MOUSE	tr|A0A7E6D394|A0A7E6D394_9CHIR
OG0000444	sp|P54763|EPHB2_MOUSE	tr|A0A6J2LQ75|A0A6J2LQ75_9CHIR
OG0000444	sp|Q8CBF3|EPHB1_MOUSE	tr|A0A6J2M369|A0A6J2M369_9CHIR
OG0000445	sp|P48453|PP2BB_MOUSE	tr|A0A6J2LU82|A0A6J2LU82_9CHIR
OG0000445	sp|P48455|PP2BC_MOUSE	tr|A0A6J2MA31|A0A6J2MA31_9CHIR
OG0000445	sp|P63328|PP2BA_MOUSE	tr|A0A6J2L657|A0A6J2L657_9CHIR
OG0000446	sp|Q8JZR0|ACSL5_MOUSE	tr|A0A6J2LV51|A0A6J2LV51_9CHIR
OG0000446	sp|Q91WC3|ACSL6_MOUSE	tr|A0A7E6CWX7|A0A7E6CWX7_9CHIR
OG0000446	sp|P41216|ACSL1_MOUSE	tr|A0A7E6CL62|A0A7E6CL62_9CHIR
OG0000447	sp|Q3V0C3|NUTM2_MOUSE	tr|A0A7E6D9H1|A0A7E6D9H1_9CHIR
OG0000447	sp|Q8BHP2|NUTM1_MOUSE	tr|A0A6J2NAL8|A0A6J2NAL8_9CHIR, tr|A0A6J2N506|A0A6J2N506_9CHIR, tr|A0A7E6D1F3|A0A7E6D1F3_9CHIR
OG0000448	sp|O35161|CELR1_MOUSE	tr|A0A7E6D8T5|A0A7E6D8T5_9CHIR
OG0000448	sp|Q91ZI0|CELR3_MOUSE	tr|A0A7E6E3W6|A0A7E6E3W6_9CHIR
OG0000448	sp|Q9R0M0|CELR2_MOUSE	tr|A0A6J2KYI2|A0A6J2KYI2_9CHIR
OG0000450	tr|A0A668KLA7|A0A668KLA7_MOUSE, tr|A0A668KLA6|A0A668KLA6_MOUSE, tr|A0A668KLD8|A0A668KLD8_MOUSE, tr|A0A668KL92|A0A668KL92_MOUSE, tr|A0A668KM38|A0A668KM38_MOUSE	tr|A0A7E6DHS5|A0A7E6DHS5_9CHIR
OG0000452	tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q8VGI8|Q8VGI8_MOUSE, tr|Q8VEX8|Q8VEX8_MOUSE, tr|Q7TRH5|Q7TRH5_MOUSE	tr|A0A6J2N5X6|A0A6J2N5X6_9CHIR
OG0000453	sp|P17183|ENOG_MOUSE	tr|A0A6J2N8Z9|A0A6J2N8Z9_9CHIR
OG0000453	sp|P17182|ENOA_MOUSE	tr|A0A6J2LQK0|A0A6J2LQK0_9CHIR
OG0000453	sp|P21550|ENOB_MOUSE	tr|A0A7E6ECN9|A0A7E6ECN9_9CHIR
OG0000454	sp|P45376|ALDR_MOUSE, sp|Q9DCT1|AKCL2_MOUSE, sp|P45377|ALD2_MOUSE, sp|P21300|ALD1_MOUSE, tr|G5E895|G5E895_MOUSE	tr|A0A6J2MPN2|A0A6J2MPN2_9CHIR
OG0000455	sp|P02469|LAMB1_MOUSE	tr|A0A6J2MNB7|A0A6J2MNB7_9CHIR
OG0000455	sp|Q61292|LAMB2_MOUSE	tr|A0A7E6E8W4|A0A7E6E8W4_9CHIR, tr|A0A7E6CI93|A0A7E6CI93_9CHIR, tr|A0A6J2M3N2|A0A6J2M3N2_9CHIR
OG0000456	sp|P70414|NAC1_MOUSE	tr|A0A7E6DX95|A0A7E6DX95_9CHIR
OG0000456	sp|S4R2P9|NAC3_MOUSE	tr|A0A6J2L8P0|A0A6J2L8P0_9CHIR
OG0000456	sp|Q8K596|NAC2_MOUSE	tr|A0A6J2N7Y6|A0A6J2N7Y6_9CHIR
OG0000457	sp|Q8JZZ7|AGRL2_MOUSE	tr|A0A7E6DSQ6|A0A7E6DSQ6_9CHIR
OG0000457	sp|Q80TS3|AGRL3_MOUSE	tr|A0A7E6DDL8|A0A7E6DDL8_9CHIR
OG0000457	sp|Q80TR1|AGRL1_MOUSE	tr|A0A6J2M9C4|A0A6J2M9C4_9CHIR
OG0000458	sp|P08101|FCGR2_MOUSE, sp|P08508|FCGR3_MOUSE	tr|A0A7E6CY52|A0A7E6CY52_9CHIR, tr|A0A7E6CXR9|A0A7E6CXR9_9CHIR
OG0000458	sp|A0A0B4J1G0|FCG3A_MOUSE	tr|A0A6J2KVB3|A0A6J2KVB3_9CHIR
OG0000459	tr|Q8VF34|Q8VF34_MOUSE	tr|A0A6J2N552|A0A6J2N552_9CHIR
OG0000459	tr|Q7TRZ9|Q7TRZ9_MOUSE, tr|Q5NC59|Q5NC59_MOUSE, tr|Q5NC55|Q5NC55_MOUSE	tr|A0A6J2MYW3|A0A6J2MYW3_9CHIR
OG0000460	sp|Q8C4X2|KC1G3_MOUSE	tr|A0A6J2L6L9|A0A6J2L6L9_9CHIR
OG0000460	sp|Q8BVP5|KC1G2_MOUSE	tr|A0A6J2MAD1|A0A6J2MAD1_9CHIR
OG0000460	sp|Q8BTH8|KC1G1_MOUSE	tr|A0A6J2L3Z5|A0A6J2L3Z5_9CHIR
OG0000461	sp|P30677|GNA14_MOUSE	tr|A0A6J2N3D9|A0A6J2N3D9_9CHIR
OG0000461	sp|P21278|GNA11_MOUSE	tr|A0A6J2M7H2|A0A6J2M7H2_9CHIR
OG0000461	sp|P21279|GNAQ_MOUSE	tr|A0A6J2MPE8|A0A6J2MPE8_9CHIR
OG0000462	sp|Q7M753|PANK2_MOUSE	tr|A0A6J2ML27|A0A6J2ML27_9CHIR
OG0000462	sp|Q8R2W9|PANK3_MOUSE	tr|A0A6J2MVA2|A0A6J2MVA2_9CHIR
OG0000462	sp|Q8K4K6|PANK1_MOUSE	tr|A0A6J2LQ64|A0A6J2LQ64_9CHIR
OG0000463	sp|Q9EPW9|TLR6_MOUSE	tr|A0A6J2LA19|A0A6J2LA19_9CHIR
OG0000463	sp|Q9EPQ1|TLR1_MOUSE	tr|A0A6J2L7Y1|A0A6J2L7Y1_9CHIR, tr|A0A7E6DWU3|A0A7E6DWU3_9CHIR, tr|A0A6J2LED3|A0A6J2LED3_9CHIR
OG0000464	sp|Q62398|CNGA2_MOUSE	tr|A0A7E6D1B3|A0A7E6D1B3_9CHIR
OG0000464	sp|Q9JJZ8|CNGA3_MOUSE	tr|A0A7E6E3T6|A0A7E6E3T6_9CHIR
OG0000464	sp|P29974|CNGA1_MOUSE	tr|A0A6J2L689|A0A6J2L689_9CHIR
OG0000465	tr|Q3V0U0|Q3V0U0_MOUSE	tr|A0A7E6D3B5|A0A7E6D3B5_9CHIR, tr|A0A7E6D028|A0A7E6D028_9CHIR
OG0000465	sp|Q9DCW2|PLS2_MOUSE, sp|Q9JJ00|PLS1_MOUSE	tr|A0A6J2KY39|A0A6J2KY39_9CHIR
OG0000466	sp|Q8VHX6|FLNC_MOUSE	tr|A0A6J2MSQ6|A0A6J2MSQ6_9CHIR
OG0000466	sp|Q80X90|FLNB_MOUSE	tr|A0A6J2M736|A0A6J2M736_9CHIR
OG0000466	sp|Q8BTM8|FLNA_MOUSE	tr|A0A7E6D072|A0A7E6D072_9CHIR
OG0000467	sp|P97454|SMAD5_MOUSE	tr|A0A6J2MX71|A0A6J2MX71_9CHIR
OG0000467	sp|P70340|SMAD1_MOUSE	tr|A0A6J2MEW3|A0A6J2MEW3_9CHIR
OG0000467	sp|Q9JIW5|SMAD9_MOUSE	tr|A0A6J2MS69|A0A6J2MS69_9CHIR
OG0000468	sp|A2AGL3|RYR3_MOUSE	tr|A0A7E6E6Q4|A0A7E6E6Q4_9CHIR
OG0000468	sp|E9Q401|RYR2_MOUSE	tr|A0A7E6D0M9|A0A7E6D0M9_9CHIR
OG0000468	sp|E9PZQ0|RYR1_MOUSE	tr|A0A7E6CQ71|A0A7E6CQ71_9CHIR
OG0000470	sp|Q06986|SIAH2_MOUSE	tr|A0A6J2L1G0|A0A6J2L1G0_9CHIR
OG0000470	tr|B2RWG3|B2RWG3_MOUSE, sp|Q06985|SIA1B_MOUSE, sp|P61092|SIA1A_MOUSE	tr|A0A6J2KSE4|A0A6J2KSE4_9CHIR
OG0000471	sp|P16390|KCNA3_MOUSE	tr|A0A6J2KWI6|A0A6J2KWI6_9CHIR
OG0000471	sp|P16388|KCNA1_MOUSE	tr|A0A6J2N640|A0A6J2N640_9CHIR
OG0000471	sp|P63141|KCNA2_MOUSE	tr|A0A6J2KVT9|A0A6J2KVT9_9CHIR
OG0000472	sp|Q8R0Y6|AL1L1_MOUSE	tr|A0A6J2MPE9|A0A6J2MPE9_9CHIR, tr|A0A6J2ML08|A0A6J2ML08_9CHIR
OG0000472	sp|Q8K009|AL1L2_MOUSE	tr|A0A7E6CE32|A0A7E6CE32_9CHIR, tr|A0A6J2NBF9|A0A6J2NBF9_9CHIR
OG0000473	sp|Q9D7R7|PEPC_MOUSE	tr|A0A6J2LFA1|A0A6J2LFA1_9CHIR
OG0000473	sp|Q9D106|PEPA5_MOUSE	tr|A0A6J2L0F4|A0A6J2L0F4_9CHIR, tr|A0A6J2M476|A0A6J2M476_9CHIR, tr|A0A7E6E3G4|A0A7E6E3G4_9CHIR
OG0000474	sp|P31750|AKT1_MOUSE	tr|A0A6J2L5H7|A0A6J2L5H7_9CHIR
OG0000474	sp|Q60823|AKT2_MOUSE	tr|A0A6J2N5R8|A0A6J2N5R8_9CHIR
OG0000474	sp|Q9WUA6|AKT3_MOUSE	tr|A0A6J2N9Z9|A0A6J2N9Z9_9CHIR
OG0000475	sp|P15392|CP2A4_MOUSE, sp|P20852|CP2A5_MOUSE, sp|P56593|CP2AC_MOUSE, tr|B2RXZ2|B2RXZ2_MOUSE	tr|A0A6J2KW52|A0A6J2KW52_9CHIR, tr|A0A6J2KZF7|A0A6J2KZF7_9CHIR
OG0000476	sp|Q9JMB8|CNTN6_MOUSE	tr|A0A7E6E3J8|A0A7E6E3J8_9CHIR
OG0000476	sp|Q69Z26|CNTN4_MOUSE	tr|A0A7E6E521|A0A7E6E521_9CHIR
OG0000476	sp|Q07409|CNTN3_MOUSE	tr|A0A7E6E8W0|A0A7E6E8W0_9CHIR
OG0000477	sp|Q14AE4|WFDC3_MOUSE	tr|A0A7E6CFL2|A0A7E6CFL2_9CHIR
OG0000477	sp|Q9DAU7|WFDC2_MOUSE, sp|P62810|WFD18_MOUSE, tr|Q5SSJ1|Q5SSJ1_MOUSE	tr|A0A7E6CFR9|A0A7E6CFR9_9CHIR
OG0000478	sp|Q62381|TLL1_MOUSE	tr|A0A6J2MF28|A0A6J2MF28_9CHIR
OG0000478	sp|P98063|BMP1_MOUSE	tr|A0A6J2M538|A0A6J2M538_9CHIR
OG0000478	sp|Q9WVM6|TLL2_MOUSE	tr|A0A6J2LLZ3|A0A6J2LLZ3_9CHIR
OG0000479	sp|P10400|POL1_MOUSE, tr|Q3TZL0|Q3TZL0_MOUSE, tr|B2RQY6|B2RQY6_MOUSE, sp|P11370|ENV2_MOUSE, sp|P10404|ENV1_MOUSE	tr|A0A6J2MMP7|A0A6J2MMP7_9CHIR
OG0000480	sp|Q1RLL3|CPNE9_MOUSE	tr|A0A6J2M9N2|A0A6J2M9N2_9CHIR
OG0000480	sp|Q8JZW4|CPNE5_MOUSE	tr|A0A6J2LC77|A0A6J2LC77_9CHIR
OG0000480	sp|Q9DC53|CPNE8_MOUSE	tr|A0A6J2N9K0|A0A6J2N9K0_9CHIR
OG0000482	tr|E9Q287|E9Q287_MOUSE	tr|A0A6J2LAV5|A0A6J2LAV5_9CHIR
OG0000482	sp|Q8C9W3|ATS2_MOUSE	tr|A0A6J2NEW3|A0A6J2NEW3_9CHIR
OG0000482	tr|E9PX39|E9PX39_MOUSE	tr|A0A7E6DUQ2|A0A7E6DUQ2_9CHIR
OG0000483	tr|E9Q8B5|E9Q8B5_MOUSE, sp|P06909|CFAH_MOUSE	tr|A0A6J2N5U7|A0A6J2N5U7_9CHIR, tr|A0A7E6CYZ1|A0A7E6CYZ1_9CHIR, tr|A0A7E6CYH5|A0A7E6CYH5_9CHIR, tr|A0A7E6D0P9|A0A7E6D0P9_9CHIR
OG0000484	sp|Q9R1B9|SLIT2_MOUSE	tr|A0A7E6D7A8|A0A7E6D7A8_9CHIR
OG0000484	sp|Q9WVB4|SLIT3_MOUSE	tr|A0A6J2N1S3|A0A6J2N1S3_9CHIR
OG0000484	sp|Q80TR4|SLIT1_MOUSE	tr|A0A6J2LJI0|A0A6J2LJI0_9CHIR
OG0000485	tr|Q6P8Y2|Q6P8Y2_MOUSE, sp|Q9D498|IQCF3_MOUSE, sp|Q9DAL7|IQCF5_MOUSE	tr|A0A6J2M7Z3|A0A6J2M7Z3_9CHIR, tr|A0A6J2M4D9|A0A6J2M4D9_9CHIR, tr|A0A6J2M640|A0A6J2M640_9CHIR
OG0000487	sp|Q811P0|S36A3_MOUSE	tr|A0A6J2MX31|A0A6J2MX31_9CHIR
OG0000487	sp|Q8BHK3|S36A2_MOUSE	tr|A0A7E6CS53|A0A7E6CS53_9CHIR
OG0000487	sp|Q8K4D3|S36A1_MOUSE	tr|A0A6J2N1K4|A0A6J2N1K4_9CHIR
OG0000488	sp|Q9JIB3|BIR1G_MOUSE, sp|Q9JIB6|BIR1F_MOUSE, sp|Q9R016|BIR1E_MOUSE, sp|Q9QWK5|BIR1A_MOUSE, sp|Q9QUK4|BIR1B_MOUSE	tr|A0A6J2MZV9|A0A6J2MZV9_9CHIR
OG0000489	sp|P97326|CADH6_MOUSE	tr|A0A6J2MZZ1|A0A6J2MZZ1_9CHIR
OG0000489	sp|P70408|CAD10_MOUSE	tr|A0A6J2N451|A0A6J2N451_9CHIR
OG0000489	sp|P70407|CADH9_MOUSE	tr|A0A6J2M3A4|A0A6J2M3A4_9CHIR
OG0000490	tr|Q5SQ27|Q5SQ27_MOUSE	tr|A0A6J2MZA9|A0A6J2MZA9_9CHIR
OG0000490	sp|Q99J08|S14L2_MOUSE	tr|A0A6J2MU82|A0A6J2MU82_9CHIR
OG0000490	sp|Q8R0F9|S14L4_MOUSE	tr|A0A6J2N0X6|A0A6J2N0X6_9CHIR
OG0000491	sp|P63034|CYH2_MOUSE	tr|A0A6J2N641|A0A6J2N641_9CHIR
OG0000491	sp|O08967|CYH3_MOUSE	tr|A0A7E6CTS1|A0A7E6CTS1_9CHIR
OG0000491	sp|Q9QX11|CYH1_MOUSE	tr|A0A6J2M969|A0A6J2M969_9CHIR
OG0000492	sp|Q5F226|FAT2_MOUSE	tr|A0A7E6CWT2|A0A7E6CWT2_9CHIR
OG0000492	tr|A0A1L1SQU7|A0A1L1SQU7_MOUSE	tr|A0A7E6CL32|A0A7E6CL32_9CHIR
OG0000492	sp|Q8BNA6|FAT3_MOUSE	tr|A0A7E6DZG0|A0A7E6DZG0_9CHIR
OG0000493	sp|Q9DD20|MET7B_MOUSE, tr|Q8C6B0|Q8C6B0_MOUSE, tr|G3X9G9|G3X9G9_MOUSE, tr|Q5I0W6|Q5I0W6_MOUSE	tr|A0A6J2NCK4|A0A6J2NCK4_9CHIR, tr|A0A6J2N9V2|A0A6J2N9V2_9CHIR
OG0000494	sp|Q9QZN4|FBX6_MOUSE	tr|A0A6J2LLG4|A0A6J2LLG4_9CHIR, tr|A0A6J2LP47|A0A6J2LP47_9CHIR, tr|A0A7E6DQI3|A0A7E6DQI3_9CHIR
OG0000494	sp|Q8BK26|FBX44_MOUSE	tr|A0A6J2LPY7|A0A6J2LPY7_9CHIR
OG0000495	sp|E9Q7X7|NRX2A_MOUSE	tr|A0A7E6E1Z3|A0A7E6E1Z3_9CHIR
OG0000495	sp|Q9CS84|NRX1A_MOUSE	tr|A0A6J2LSD5|A0A6J2LSD5_9CHIR
OG0000495	sp|Q6P9K9|NRX3A_MOUSE	tr|A0A7E6D964|A0A7E6D964_9CHIR
OG0000496	sp|P63080|GBRB3_MOUSE	tr|A0A7E6CP45|A0A7E6CP45_9CHIR
OG0000496	sp|P63137|GBRB2_MOUSE	tr|A0A6J2N3Q4|A0A6J2N3Q4_9CHIR
OG0000496	sp|P50571|GBRB1_MOUSE	tr|A0A6J2L7I0|A0A6J2L7I0_9CHIR
OG0000497	sp|Q5DTL9|S4A10_MOUSE	tr|A0A6J2LAK1|A0A6J2LAK1_9CHIR
OG0000497	sp|Q8BTY2|S4A7_MOUSE	tr|A0A6J2M2U6|A0A6J2M2U6_9CHIR
OG0000497	sp|Q8JZR6|S4A8_MOUSE	tr|A0A6J2NCQ2|A0A6J2NCQ2_9CHIR
OG0000498	sp|A2AHJ4|BRWD3_MOUSE	tr|A0A6J2MJQ0|A0A6J2MJQ0_9CHIR
OG0000498	sp|Q8VDD9|PHIP_MOUSE	tr|A0A6J2LB73|A0A6J2LB73_9CHIR
OG0000498	sp|Q921C3|BRWD1_MOUSE	tr|A0A6J2L230|A0A6J2L230_9CHIR
OG0000499	sp|Q80TB7|ZSWM6_MOUSE	tr|A0A6J2L6G3|A0A6J2L6G3_9CHIR
OG0000499	sp|Q8C7B8|ZSWM4_MOUSE	tr|A0A6J2M8N8|A0A6J2M8N8_9CHIR
OG0000499	sp|Q80TC6|ZSWM5_MOUSE	tr|A0A6J2LND4|A0A6J2LND4_9CHIR
OG0000500	sp|P31651|S6A12_MOUSE	tr|A0A6J2NAU3|A0A6J2NAU3_9CHIR
OG0000500	sp|P31650|S6A11_MOUSE	tr|A0A6J2M9G8|A0A6J2M9G8_9CHIR
OG0000500	sp|P31649|S6A13_MOUSE	tr|A0A7E6D5A3|A0A7E6D5A3_9CHIR
OG0000501	tr|G3X941|G3X941_MOUSE, tr|Q8BHM7|Q8BHM7_MOUSE, tr|E9QAP1|E9QAP1_MOUSE, tr|E9PZQ8|E9PZQ8_MOUSE, tr|E9Q5M9|E9Q5M9_MOUSE	tr|A0A7E6DDU6|A0A7E6DDU6_9CHIR
OG0000502	sp|Q3U497|CLM7_MOUSE	tr|A0A6J2MD89|A0A6J2MD89_9CHIR, tr|A0A7E6EG82|A0A7E6EG82_9CHIR, tr|A0A7E6EG76|A0A7E6EG76_9CHIR, tr|A0A6J2MCX7|A0A6J2MCX7_9CHIR, tr|A0A7E6CD72|A0A7E6CD72_9CHIR
OG0000503	sp|Q9Z184|PADI3_MOUSE	tr|A0A7E6DQQ0|A0A7E6DQQ0_9CHIR
OG0000503	sp|Q9Z183|PADI4_MOUSE	tr|A0A7E6DQS3|A0A7E6DQS3_9CHIR
