Orthogroup	Mus_musculus	Cervus_elaphus_hippelaphus
OG0000912	sp|P29351|PTN6_MOUSE	tr|A0A212CC66|A0A212CC66_CEREH
OG0000912	sp|P35235|PTN11_MOUSE	tr|A0A212CR98|A0A212CR98_CEREH, tr|A0A212D8Q1|A0A212D8Q1_CEREH
OG0000913	sp|P36536|SAR1A_MOUSE	tr|A0A212CQ03|A0A212CQ03_CEREH
OG0000913	sp|Q9CQC9|SAR1B_MOUSE	tr|A0A212D0J8|A0A212D0J8_CEREH, tr|A0A212DIX2|A0A212DIX2_CEREH
OG0000914	sp|Q8CIE2|ZMIZ2_MOUSE	tr|A0A212CLC2|A0A212CLC2_CEREH
OG0000914	sp|Q6P1E1|ZMIZ1_MOUSE	tr|A0A212CKN8|A0A212CKN8_CEREH, tr|A0A212CPX6|A0A212CPX6_CEREH
OG0000915	sp|Q7TQ40|ZIC5_MOUSE	tr|A0A212C3V5|A0A212C3V5_CEREH
OG0000915	sp|Q61467|ZIC4_MOUSE	tr|A0A212C766|A0A212C766_CEREH, tr|A0A212CJS4|A0A212CJS4_CEREH
OG0000916	sp|A2ARP1|VIP1_MOUSE	tr|A0A212CT39|A0A212CT39_CEREH
OG0000916	sp|Q6ZQB6|VIP2_MOUSE	tr|A0A212D0Q2|A0A212D0Q2_CEREH, tr|A0A212D295|A0A212D295_CEREH
OG0000917	sp|Q8K183|PDXK_MOUSE	tr|A0A212C159|A0A212C159_CEREH, tr|A0A212CBL0|A0A212CBL0_CEREH, tr|A0A212BZW8|A0A212BZW8_CEREH, tr|A0A212CI80|A0A212CI80_CEREH
OG0000918	sp|Q9EQH7|NDST3_MOUSE, sp|P52850|NDST2_MOUSE, sp|Q3UHN9|NDST1_MOUSE, sp|Q9EQW8|NDST4_MOUSE	tr|A0A212CM25|A0A212CM25_CEREH
OG0000919	sp|Q8BJ42|DLGP2_MOUSE	tr|A0A212CSF3|A0A212CSF3_CEREH
OG0000919	sp|Q9D415|DLGP1_MOUSE, sp|B1AZP2|DLGP4_MOUSE	tr|A0A212CB73|A0A212CB73_CEREH
OG0000920	sp|P22725|WNT5A_MOUSE	tr|A0A212C9B7|A0A212C9B7_CEREH
OG0000920	sp|P22726|WNT5B_MOUSE	tr|A0A212CE05|A0A212CE05_CEREH, tr|A0A212C8T6|A0A212C8T6_CEREH
OG0000921	sp|Q9CPQ8|ATP5L_MOUSE	tr|A0A212DHQ6|A0A212DHQ6_CEREH, tr|A0A212CI58|A0A212CI58_CEREH, tr|A0A212CFP8|A0A212CFP8_CEREH, tr|A0A212CEV9|A0A212CEV9_CEREH
OG0000922	sp|Q62167|DDX3X_MOUSE, sp|Q62095|DDX3Y_MOUSE, sp|P16381|DDX3L_MOUSE	tr|A0A212C111|A0A212C111_CEREH, tr|A0A212C0W0|A0A212C0W0_CEREH
OG0000923	sp|P04918|SAA3_MOUSE	tr|A0A212DGK7|A0A212DGK7_CEREH
OG0000923	sp|P31532|SAA4_MOUSE	tr|A0A212DG97|A0A212DG97_CEREH, tr|A0A212DIY9|A0A212DIY9_CEREH
OG0000924	sp|Q61233|PLSL_MOUSE, sp|Q99K51|PLST_MOUSE, sp|Q3V0K9|PLSI_MOUSE	tr|A0A212BZU8|A0A212BZU8_CEREH, tr|A0A212C418|A0A212C418_CEREH
OG0000925	sp|P48540|GDNF_MOUSE, sp|P97463|NRTN_MOUSE, sp|O70300|PSPN_MOUSE, sp|Q9Z0L2|ARTN_MOUSE	tr|A0A212C8K2|A0A212C8K2_CEREH
OG0000926	sp|V9GXG1|SLN14_MOUSE, sp|Q8CBA2|SLFN5_MOUSE, sp|B1ARD8|SLFN8_MOUSE, sp|B1ARD6|SLFN9_MOUSE	tr|A0A212D8P0|A0A212D8P0_CEREH
OG0000927	sp|Q80WJ6|MRP9_MOUSE	tr|A0A212DCK2|A0A212DCK2_CEREH
OG0000927	sp|Q9R1X5|MRP5_MOUSE	tr|A0A212C4Q1|A0A212C4Q1_CEREH, tr|A0A212DE92|A0A212DE92_CEREH
OG0000928	sp|Q6GQU6|LIGO3_MOUSE, sp|Q149C3|LIGO4_MOUSE, sp|Q3URE9|LIGO2_MOUSE, sp|Q9D1T0|LIGO1_MOUSE	tr|A0A212D2J6|A0A212D2J6_CEREH
OG0000929	sp|O70310|NMT1_MOUSE	tr|A0A212D9R3|A0A212D9R3_CEREH
OG0000929	sp|O70311|NMT2_MOUSE	tr|A0A212C0X0|A0A212C0X0_CEREH, tr|A0A212CAE2|A0A212CAE2_CEREH
OG0000930	sp|O88958|GNPI1_MOUSE	tr|A0A212D2I7|A0A212D2I7_CEREH
OG0000930	sp|Q9CRC9|GNPI2_MOUSE	tr|A0A212CB92|A0A212CB92_CEREH, tr|A0A212D5Q1|A0A212D5Q1_CEREH
OG0000931	sp|G3X9J0|SI1L3_MOUSE, sp|P46062|SIPA1_MOUSE, sp|Q8C0T5|SI1L1_MOUSE, sp|Q80TE4|SI1L2_MOUSE	tr|A0A212DC93|A0A212DC93_CEREH
OG0000932	sp|Q9DBG3|AP2B1_MOUSE	tr|A0A212D9H6|A0A212D9H6_CEREH
OG0000932	sp|O35643|AP1B1_MOUSE	tr|A0A212D6W5|A0A212D6W5_CEREH, tr|A0A212D8M6|A0A212D8M6_CEREH
OG0000933	sp|O70576|STAG3_MOUSE	tr|A0A212CZI4|A0A212CZI4_CEREH
OG0000933	sp|Q9D3E6|STAG1_MOUSE, sp|O35638|STAG2_MOUSE	tr|A0A212C0H8|A0A212C0H8_CEREH
OG0000934	tr|Q810P0|Q810P0_MOUSE, tr|A0A0G2JGA3|A0A0G2JGA3_MOUSE, sp|D3YU32|T13C1_MOUSE	tr|A0A212C024|A0A212C024_CEREH, tr|A0A212C0T8|A0A212C0T8_CEREH
OG0000935	sp|P46412|GPX3_MOUSE	tr|A0A212D0K9|A0A212D0K9_CEREH
OG0000935	sp|P21765|GPX5_MOUSE	tr|A0A212D4D7|A0A212D4D7_CEREH, tr|A0A212D4P4|A0A212D4P4_CEREH
OG0000936	sp|Q9JMD1|SMBT1_MOUSE	tr|A0A212CA81|A0A212CA81_CEREH
OG0000936	sp|Q5DTW2|SMBT2_MOUSE	tr|A0A212CCF9|A0A212CCF9_CEREH, tr|A0A212CAW9|A0A212CAW9_CEREH
OG0000937	sp|Q99PU5|ACBG1_MOUSE	tr|A0A212CSS9|A0A212CSS9_CEREH
OG0000937	sp|Q2XU92|ACBG2_MOUSE, tr|Q08EE8|Q08EE8_MOUSE	tr|A0A212D2G0|A0A212D2G0_CEREH
OG0000938	sp|Q5SXA9|KIBRA_MOUSE	tr|A0A212D2P8|A0A212D2P8_CEREH
OG0000938	sp|Q6NXJ0|WWC2_MOUSE	tr|A0A212C2X9|A0A212C2X9_CEREH, tr|A0A212C0L8|A0A212C0L8_CEREH
OG0000939	sp|Q8CIF4|BTD_MOUSE, sp|Q9QZ25|VNN3_MOUSE	tr|A0A212C7X0|A0A212C7X0_CEREH
OG0000939	sp|Q9Z0K8|VNN1_MOUSE	tr|A0A212C7V8|A0A212C7V8_CEREH
OG0000940	sp|A2A8L5|PTPRF_MOUSE	tr|A0A212CGH5|A0A212CGH5_CEREH
OG0000940	sp|B0V2N1|PTPRS_MOUSE, sp|Q64487|PTPRD_MOUSE	tr|A0A212C576|A0A212C576_CEREH
OG0000941	sp|P27659|RL3_MOUSE	tr|A0A212C4G0|A0A212C4G0_CEREH, tr|A0A212C7Q4|A0A212C7Q4_CEREH
OG0000941	tr|E9PWZ3|E9PWZ3_MOUSE	tr|A0A212CYB4|A0A212CYB4_CEREH
OG0000942	sp|Q32M21|GSDA2_MOUSE	tr|A0A212CDM7|A0A212CDM7_CEREH
OG0000942	sp|Q5Y4Y6|GSDA3_MOUSE, sp|Q9EST1|GSDMA_MOUSE	tr|A0A212D9E5|A0A212D9E5_CEREH
OG0000943	sp|P20917|MAG_MOUSE, sp|Q80ZE3|SIG10_MOUSE	tr|A0A212DDX4|A0A212DDX4_CEREH, tr|A0A212DC79|A0A212DC79_CEREH, tr|A0A212DCH2|A0A212DCH2_CEREH
OG0000944	sp|D3YXJ0|DGKH_MOUSE	tr|A0A212C4E4|A0A212C4E4_CEREH
OG0000944	tr|F6UUZ3|F6UUZ3_MOUSE, sp|E9PUQ8|DGKD_MOUSE	tr|A0A212CGX9|A0A212CGX9_CEREH
OG0000945	sp|Q61699|HS105_MOUSE	tr|A0A212C3P8|A0A212C3P8_CEREH
OG0000945	sp|P48722|HS74L_MOUSE, sp|Q61316|HSP74_MOUSE	tr|A0A212D0H9|A0A212D0H9_CEREH
OG0000946	sp|O88477|IF2B1_MOUSE	tr|A0A212DB99|A0A212DB99_CEREH
OG0000946	sp|Q9CPN8|IF2B3_MOUSE, sp|Q5SF07|IF2B2_MOUSE	tr|A0A212CJ60|A0A212CJ60_CEREH
OG0000947	sp|Q9R244|TRPC2_MOUSE, sp|Q9QZC1|TRPC3_MOUSE, sp|Q9WVC5|TRPC7_MOUSE, sp|Q61143|TRPC6_MOUSE	tr|A0A212D8K3|A0A212D8K3_CEREH
OG0000948	sp|P39038|CADH4_MOUSE	tr|A0A212CC31|A0A212CC31_CEREH
OG0000948	sp|Q9WTR5|CAD13_MOUSE, sp|P15116|CADH2_MOUSE	tr|A0A212C6V6|A0A212C6V6_CEREH
OG0000949	sp|Q8R2P1|KLH25_MOUSE	tr|A0A212CS97|A0A212CS97_CEREH
OG0000949	sp|O35709|ENC1_MOUSE	tr|A0A212CSE4|A0A212CSE4_CEREH, tr|A0A212C8P3|A0A212C8P3_CEREH
OG0000950	sp|P17532|TPH1_MOUSE, sp|P16331|PH4H_MOUSE	tr|A0A212DID1|A0A212DID1_CEREH
OG0000950	sp|Q8CGV2|TPH2_MOUSE	tr|A0A212DFI9|A0A212DFI9_CEREH
OG0000951	sp|P63318|KPCG_MOUSE	tr|A0A212DCQ2|A0A212DCQ2_CEREH
OG0000951	sp|P68404|KPCB_MOUSE, sp|P20444|KPCA_MOUSE	tr|A0A212D8Z9|A0A212D8Z9_CEREH
OG0000952	sp|O54828|RGS9_MOUSE, sp|Q9Z2H1|RGS11_MOUSE, sp|Q9Z2H2|RGS6_MOUSE, sp|O54829|RGS7_MOUSE	tr|A0A212CQI7|A0A212CQI7_CEREH
OG0000953	sp|Q8VC60|GLB1L_MOUSE	tr|A0A212D332|A0A212D332_CEREH
OG0000953	sp|P23780|BGAL_MOUSE	tr|A0A212DHA6|A0A212DHA6_CEREH, tr|A0A212C9F4|A0A212C9F4_CEREH
OG0000954	sp|P62702|RS4X_MOUSE	tr|A0A212C5A8|A0A212C5A8_CEREH, tr|A0A212CRH7|A0A212CRH7_CEREH, tr|A0A212C356|A0A212C356_CEREH, tr|A0A212C0D2|A0A212C0D2_CEREH
OG0000955	sp|Q66PY1|SCUB3_MOUSE	tr|A0A212D5L0|A0A212D5L0_CEREH
OG0000955	sp|Q9JJS0|SCUB2_MOUSE, sp|Q6NZL8|SCUB1_MOUSE	tr|A0A212CDK3|A0A212CDK3_CEREH
OG0000956	sp|Q8BQM9|MD12L_MOUSE	tr|A0A212CJ72|A0A212CJ72_CEREH, tr|A0A212CI74|A0A212CI74_CEREH
OG0000956	sp|A2AGH6|MED12_MOUSE	tr|A0A212C1D3|A0A212C1D3_CEREH
OG0000957	sp|A2AF47|DOC11_MOUSE	tr|A0A212BZU0|A0A212BZU0_CEREH
OG0000957	sp|Q8BZN6|DOC10_MOUSE, sp|Q8BIK4|DOCK9_MOUSE	tr|A0A212C4P7|A0A212C4P7_CEREH
OG0000958	sp|Q9JLF6|TGM1_MOUSE	tr|A0A212CUN1|A0A212CUN1_CEREH
OG0000958	sp|Q8BZH1|TGM4_MOUSE, sp|Q8BH61|F13A_MOUSE	tr|A0A212D4S2|A0A212D4S2_CEREH
OG0000959	sp|O88512|AP1G2_MOUSE	tr|A0A212CU37|A0A212CU37_CEREH
OG0000959	sp|P22892|AP1G1_MOUSE, sp|Q80V94|AP4E1_MOUSE	tr|A0A212DCM9|A0A212DCM9_CEREH
OG0000960	sp|P56476|GBRR2_MOUSE	tr|A0A212C5Y2|A0A212C5Y2_CEREH
OG0000960	sp|P56475|GBRR1_MOUSE, tr|B2RXA8|B2RXA8_MOUSE	tr|A0A212C3K3|A0A212C3K3_CEREH
OG0000961	sp|O35245|PKD2_MOUSE	tr|A0A212CM68|A0A212CM68_CEREH
OG0000961	sp|Q9JLG4|PK2L2_MOUSE, sp|A2A259|PK2L1_MOUSE	tr|A0A212CPM3|A0A212CPM3_CEREH
OG0000962	sp|Q8QZV4|ST32C_MOUSE	tr|A0A212CPA4|A0A212CPA4_CEREH
OG0000962	sp|Q8BGW6|ST32A_MOUSE, sp|Q9JJX8|ST32B_MOUSE	tr|A0A212D6J3|A0A212D6J3_CEREH
OG0000963	sp|Q9CQ35|GRPL2_MOUSE, tr|A0A1W2P7V2|A0A1W2P7V2_MOUSE, sp|Q9DAG6|GPRL1_MOUSE, sp|Q9CWG1|GLIP1_MOUSE	tr|A0A212DEV7|A0A212DEV7_CEREH
OG0000964	sp|Q9Z0T6|PKDRE_MOUSE, sp|Q8R526|PK1L1_MOUSE, sp|Q2EG98|PK1L3_MOUSE, sp|Q7TN88|PK1L2_MOUSE	tr|A0A212DCS2|A0A212DCS2_CEREH
OG0000965	sp|Q9R226|KHDR3_MOUSE	tr|A0A212CDP5|A0A212CDP5_CEREH
OG0000965	sp|Q9WU01|KHDR2_MOUSE, sp|Q60749|KHDR1_MOUSE	tr|A0A212D3U9|A0A212D3U9_CEREH
OG0000966	sp|O08543|EFNA5_MOUSE, sp|O08545|EFNA3_MOUSE, sp|O08542|EFNA4_MOUSE, sp|P52801|EFNA2_MOUSE	tr|A0A212D261|A0A212D261_CEREH
OG0000967	sp|Q8VE01|DUS18_MOUSE, sp|Q9JLY7|DUS14_MOUSE, sp|Q9D9D8|DUS21_MOUSE	tr|A0A212C097|A0A212C097_CEREH, tr|A0A212C0Y4|A0A212C0Y4_CEREH
OG0000968	sp|P33175|KIF5A_MOUSE	tr|A0A212DEL1|A0A212DEL1_CEREH
OG0000968	sp|P28738|KIF5C_MOUSE, sp|Q61768|KINH_MOUSE	tr|A0A212CBE2|A0A212CBE2_CEREH
OG0000969	sp|Q99PL7|SCD3_MOUSE, sp|P13011|SCD2_MOUSE, sp|P13516|ACOD1_MOUSE	tr|A0A212D6F1|A0A212D6F1_CEREH, tr|A0A212CPZ6|A0A212CPZ6_CEREH
OG0000970	tr|Q924H8|Q924H8_MOUSE, tr|Q8VF30|Q8VF30_MOUSE, tr|Q8VF31|Q8VF31_MOUSE	tr|A0A212CL92|A0A212CL92_CEREH, tr|A0A212CK23|A0A212CK23_CEREH
OG0000971	sp|Q8BX90|FND3A_MOUSE, tr|A2AP83|A2AP83_MOUSE, sp|Q6DFV6|FN3C1_MOUSE, sp|Q6NWW9|FND3B_MOUSE	tr|A0A212C4G4|A0A212C4G4_CEREH
OG0000972	sp|Q6P5H6|FRMD5_MOUSE	tr|A0A212CT21|A0A212CT21_CEREH
OG0000972	sp|Q8BHD4|FRMD3_MOUSE, tr|Q9D7L5|Q9D7L5_MOUSE	tr|A0A212CN49|A0A212CN49_CEREH
OG0000973	tr|A0A668KLC8|A0A668KLC8_MOUSE, tr|A0A1B0GR91|A0A1B0GR91_MOUSE, tr|E9Q4Y8|E9Q4Y8_MOUSE, sp|Q9D454|CX049_MOUSE	tr|A0A212BZX5|A0A212BZX5_CEREH
OG0000974	tr|A0A075B5I8|A0A075B5I8_MOUSE	tr|A0A212CKA6|A0A212CKA6_CEREH
OG0000974	sp|P01734|TVB1_MOUSE, tr|A0A075B5J0|A0A075B5J0_MOUSE	tr|A0A212CLD3|A0A212CLD3_CEREH
OG0000975	tr|Q9CQX6|Q9CQX6_MOUSE, sp|Q3UX61|NAA11_MOUSE	tr|A0A212D5Z1|A0A212D5Z1_CEREH
OG0000975	sp|Q9QY36|NAA10_MOUSE	tr|A0A212C141|A0A212C141_CEREH
OG0000976	sp|Q8BM89|ARSJ_MOUSE	tr|A0A212CMI4|A0A212CMI4_CEREH
OG0000976	sp|P50429|ARSB_MOUSE, sp|Q32KI9|ARSI_MOUSE	tr|A0A212D2A7|A0A212D2A7_CEREH
OG0000977	sp|Q91YT7|YTHD2_MOUSE	tr|A0A212D340|A0A212D340_CEREH
OG0000977	sp|Q8BYK6|YTHD3_MOUSE, sp|P59326|YTHD1_MOUSE	tr|A0A212CBB3|A0A212CBB3_CEREH
OG0000978	sp|O54950|AAKG1_MOUSE	tr|A0A212DEW5|A0A212DEW5_CEREH, tr|A0A212CY12|A0A212CY12_CEREH
OG0000978	sp|Q91WG5|AAKG2_MOUSE	tr|A0A212CKP1|A0A212CKP1_CEREH
OG0000979	sp|Q80SU6|NPT2C_MOUSE	tr|A0A212CW90|A0A212CW90_CEREH
OG0000979	sp|Q9DBP0|NPT2B_MOUSE, sp|Q60825|NPT2A_MOUSE	tr|A0A212D150|A0A212D150_CEREH
OG0000980	sp|Q62414|NDF2_MOUSE, sp|O09105|NDF4_MOUSE, sp|Q60867|NDF1_MOUSE, sp|P48986|NDF6_MOUSE	tr|A0A212D6Z0|A0A212D6Z0_CEREH
OG0000981	sp|A6BLY7|K1C28_MOUSE, sp|Q3TRJ4|K1C26_MOUSE, sp|Q9Z320|K1C27_MOUSE, sp|Q8VCW2|K1C25_MOUSE	tr|A0A212D9R9|A0A212D9R9_CEREH
OG0000982	tr|A0A1L1STQ7|A0A1L1STQ7_MOUSE, tr|Q3UV66|Q3UV66_MOUSE, tr|Q9Z0I6|Q9Z0I6_MOUSE, tr|Q9Z0I7|Q9Z0I7_MOUSE	tr|A0A212DBB4|A0A212DBB4_CEREH
OG0001025	sp|Q60948|MAD4_MOUSE, sp|P50538|MAD1_MOUSE, sp|P50540|MXI1_MOUSE	tr|A0A212CNR4|A0A212CNR4_CEREH
OG0001027	sp|Q9EQR3|KCNN1_MOUSE, sp|P58391|KCNN3_MOUSE, sp|P58390|KCNN2_MOUSE	tr|A0A212D1F3|A0A212D1F3_CEREH
OG0001028	sp|Q9WTR2|M3K6_MOUSE, sp|O35099|M3K5_MOUSE, sp|A2AQW0|M3K15_MOUSE	tr|A0A212D419|A0A212D419_CEREH
OG0001029	sp|P09103|PDIA1_MOUSE	tr|A0A212DB37|A0A212DB37_CEREH
OG0001029	sp|D3Z6P0|PDIA2_MOUSE	tr|A0A212CZY3|A0A212CZY3_CEREH
OG0001030	sp|Q17ST2|KCNA7_MOUSE	tr|A0A212DCM5|A0A212DCM5_CEREH
OG0001030	sp|Q61423|KCNA4_MOUSE	tr|A0A212DI97|A0A212DI97_CEREH
OG0001031	tr|Q8C6B0|Q8C6B0_MOUSE	tr|A0A212DF00|A0A212DF00_CEREH
OG0001031	sp|Q9DD20|MET7B_MOUSE	tr|A0A212DE95|A0A212DE95_CEREH
OG0001032	sp|P98195|ATP9B_MOUSE, sp|O70228|ATP9A_MOUSE	tr|A0A212CAR2|A0A212CAR2_CEREH, tr|A0A212C6L2|A0A212C6L2_CEREH
OG0001033	sp|Q9R117|TYK2_MOUSE	tr|A0A212D0T1|A0A212D0T1_CEREH
OG0001033	sp|P52332|JAK1_MOUSE	tr|A0A212CH50|A0A212CH50_CEREH
OG0001034	sp|Q921Y0|MOB1A_MOUSE	tr|A0A212CVT7|A0A212CVT7_CEREH
OG0001034	sp|Q8BPB0|MOB1B_MOUSE	tr|A0A212D5U0|A0A212D5U0_CEREH
OG0001036	sp|Q06219|NR4A2_MOUSE	tr|A0A212C2U0|A0A212C2U0_CEREH
OG0001036	sp|Q9QZB6|NR4A3_MOUSE	tr|A0A212CMX5|A0A212CMX5_CEREH
OG0001037	sp|Q6KAR6|EXOC3_MOUSE	tr|A0A212C847|A0A212C847_CEREH, tr|A0A212C304|A0A212C304_CEREH, tr|A0A212C2V8|A0A212C2V8_CEREH
OG0001038	sp|Q920R6|VPP4_MOUSE	tr|A0A212CL57|A0A212CL57_CEREH
OG0001038	sp|Q9Z1G4|VPP1_MOUSE	tr|A0A212DA86|A0A212DA86_CEREH
OG0001039	sp|Q80YQ8|RMD5A_MOUSE	tr|A0A212CW14|A0A212CW14_CEREH
OG0001039	sp|Q91YQ7|RMD5B_MOUSE	tr|A0A212D1Q8|A0A212D1Q8_CEREH
OG0001040	sp|Q8CIB6|TM230_MOUSE	tr|A0A212D147|A0A212D147_CEREH, tr|A0A212D586|A0A212D586_CEREH, tr|A0A212CC01|A0A212CC01_CEREH
OG0001041	sp|Q9R1Y5|HIC1_MOUSE	tr|A0A212DC19|A0A212DC19_CEREH
OG0001041	sp|Q9JLZ6|HIC2_MOUSE	tr|A0A212D7L6|A0A212D7L6_CEREH
OG0001042	sp|P28352|APEX1_MOUSE	tr|A0A212C296|A0A212C296_CEREH, tr|A0A212C0Z5|A0A212C0Z5_CEREH, tr|A0A212CT84|A0A212CT84_CEREH
OG0001043	sp|Q64511|TOP2B_MOUSE	tr|A0A212C360|A0A212C360_CEREH
OG0001043	sp|Q01320|TOP2A_MOUSE	tr|A0A212D829|A0A212D829_CEREH
OG0001044	sp|Q8BLQ0|F124B_MOUSE	tr|A0A212D450|A0A212D450_CEREH
OG0001044	tr|D3Z5V4|D3Z5V4_MOUSE	tr|A0A212C4F0|A0A212C4F0_CEREH
OG0001045	sp|Q8CJH3|PLXB1_MOUSE	tr|A0A212C9Q5|A0A212C9Q5_CEREH
OG0001045	sp|B2RXS4|PLXB2_MOUSE	tr|A0A212CCD9|A0A212CCD9_CEREH
OG0001046	sp|Q9D4V0|EKI1_MOUSE	tr|A0A212CD92|A0A212CD92_CEREH
OG0001046	sp|A7MCT6|EKI2_MOUSE	tr|A0A212CRW0|A0A212CRW0_CEREH
OG0001047	sp|Q3UD61|MX1_MOUSE	tr|A0A212CJ26|A0A212CJ26_CEREH
OG0001047	sp|Q9WVP9|MX2_MOUSE	tr|A0A212CJE0|A0A212CJE0_CEREH
OG0001048	sp|P47753|CAZA1_MOUSE	tr|A0A212CEX5|A0A212CEX5_CEREH
OG0001048	sp|P47754|CAZA2_MOUSE	tr|A0A212CJQ4|A0A212CJQ4_CEREH
OG0001050	sp|P25799|NFKB1_MOUSE	tr|A0A212CM89|A0A212CM89_CEREH
OG0001050	sp|Q9WTK5|NFKB2_MOUSE	tr|A0A212CN52|A0A212CN52_CEREH
OG0001051	sp|Q8VEG6|CNO6L_MOUSE	tr|A0A212D5P5|A0A212D5P5_CEREH
OG0001051	sp|Q8K3P5|CNOT6_MOUSE	tr|A0A212D121|A0A212D121_CEREH
OG0001052	sp|P34927|ASGR1_MOUSE	tr|A0A212DAK2|A0A212DAK2_CEREH, tr|A0A212DAE7|A0A212DAE7_CEREH, tr|A0A212D8N6|A0A212D8N6_CEREH
OG0001053	sp|Q03265|ATPA_MOUSE	tr|A0A212C6F7|A0A212C6F7_CEREH, tr|A0A212DEE3|A0A212DEE3_CEREH, tr|A0A212DEK5|A0A212DEK5_CEREH
OG0001054	sp|Q61271|ACV1B_MOUSE	tr|A0A212DEZ4|A0A212DEZ4_CEREH
OG0001054	sp|Q64729|TGFR1_MOUSE	tr|A0A212CNJ4|A0A212CNJ4_CEREH
OG0001055	sp|Q6ZPF3|TIAM2_MOUSE	tr|A0A212C7V7|A0A212C7V7_CEREH
OG0001055	sp|Q60610|TIAM1_MOUSE	tr|A0A212C3R5|A0A212C3R5_CEREH
OG0001056	sp|Q64446|ATP7B_MOUSE	tr|A0A212C435|A0A212C435_CEREH
OG0001056	sp|Q64430|ATP7A_MOUSE	tr|A0A212C0S3|A0A212C0S3_CEREH
OG0001057	tr|E9PXF0|E9PXF0_MOUSE	tr|A0A212C465|A0A212C465_CEREH
OG0001057	sp|Q80TF3|PCD19_MOUSE	tr|A0A212BZY4|A0A212BZY4_CEREH
OG0001058	sp|O70309|ITB5_MOUSE	tr|A0A212CJ64|A0A212CJ64_CEREH
OG0001058	sp|O54890|ITB3_MOUSE	tr|A0A212D8H1|A0A212D8H1_CEREH
OG0001059	sp|Q9R155|S26A4_MOUSE	tr|A0A212CLE4|A0A212CLE4_CEREH
OG0001059	sp|Q9WVC8|S26A3_MOUSE	tr|A0A212CLJ9|A0A212CLJ9_CEREH
OG0001060	sp|Q9JKS4|LDB3_MOUSE	tr|A0A212CPW8|A0A212CPW8_CEREH
OG0001060	sp|Q8CI51|PDLI5_MOUSE	tr|A0A212CM36|A0A212CM36_CEREH
OG0001061	sp|Q60597|ODO1_MOUSE	tr|A0A212CJP8|A0A212CJP8_CEREH
OG0001061	tr|E9Q7L0|E9Q7L0_MOUSE	tr|A0A212CQ79|A0A212CQ79_CEREH
OG0001062	sp|Q811J3|IREB2_MOUSE	tr|A0A212CSF0|A0A212CSF0_CEREH
OG0001062	sp|P28271|ACOHC_MOUSE	tr|A0A212C5J0|A0A212C5J0_CEREH
OG0001063	sp|Q8C6M1|UBP20_MOUSE	tr|A0A212CXS8|A0A212CXS8_CEREH
OG0001063	sp|Q8R5K2|UBP33_MOUSE	tr|A0A212CEW3|A0A212CEW3_CEREH
OG0001064	sp|A2A5Z6|SMUF2_MOUSE	tr|A0A212D7C1|A0A212D7C1_CEREH
OG0001064	sp|Q9CUN6|SMUF1_MOUSE	tr|A0A212CYI0|A0A212CYI0_CEREH
OG0001065	sp|Q8CG76|ARK72_MOUSE	tr|A0A212D3R2|A0A212D3R2_CEREH, tr|A0A212D3T4|A0A212D3T4_CEREH, tr|A0A212D486|A0A212D486_CEREH
OG0001066	sp|Q9R0T8|IKKE_MOUSE	tr|A0A212CR64|A0A212CR64_CEREH
OG0001066	sp|Q9WUN2|TBK1_MOUSE	tr|A0A212DFS2|A0A212DFS2_CEREH
OG0001067	sp|Q9WVL2|STAT2_MOUSE	tr|A0A212DEM4|A0A212DEM4_CEREH
OG0001067	sp|P42225|STAT1_MOUSE	tr|A0A212C2F6|A0A212C2F6_CEREH
OG0001069	sp|P43346|DCK_MOUSE	tr|A0A212D683|A0A212D683_CEREH
OG0001069	sp|Q9QX60|DGUOK_MOUSE	tr|A0A212CX46|A0A212CX46_CEREH
OG0001070	sp|Q9R0Y5|KAD1_MOUSE	tr|A0A212CHH1|A0A212CHH1_CEREH, tr|A0A212D210|A0A212D210_CEREH, tr|A0A212CXR2|A0A212CXR2_CEREH
OG0001071	sp|P48614|WN10B_MOUSE	tr|A0A212DFJ4|A0A212DFJ4_CEREH
OG0001071	sp|P70701|WN10A_MOUSE	tr|A0A212D413|A0A212D413_CEREH
OG0001072	sp|Q8R003|MBNL3_MOUSE, sp|Q9JKP5|MBNL1_MOUSE, sp|Q8C181|MBNL2_MOUSE	tr|A0A212C0Y3|A0A212C0Y3_CEREH
OG0001073	sp|P52293|IMA1_MOUSE	tr|A0A212DAA3|A0A212DAA3_CEREH, tr|A0A212D004|A0A212D004_CEREH, tr|A0A212C608|A0A212C608_CEREH
OG0001074	sp|Q8JZQ2|AFG32_MOUSE	tr|A0A212C6Y0|A0A212C6Y0_CEREH
OG0001074	sp|Q920A7|AFG31_MOUSE	tr|A0A212DE49|A0A212DE49_CEREH
OG0001075	sp|P28659|CELF1_MOUSE	tr|A0A212CAJ6|A0A212CAJ6_CEREH, tr|A0A212CAB0|A0A212CAB0_CEREH, tr|A0A212DIT2|A0A212DIT2_CEREH
OG0001076	sp|Q80SW1|SAHH2_MOUSE	tr|A0A212CF63|A0A212CF63_CEREH
OG0001076	sp|Q68FL4|SAHH3_MOUSE	tr|A0A212CKA0|A0A212CKA0_CEREH
OG0001077	sp|Q6PFR5|TRA2A_MOUSE	tr|A0A212CLF6|A0A212CLF6_CEREH
OG0001077	sp|P62996|TRA2B_MOUSE	tr|A0A212CI77|A0A212CI77_CEREH
