Orthogroup	Mus_musculus	Theropithecus_gelada
OG0001154	sp|P08101|FCGR2_MOUSE, sp|P08508|FCGR3_MOUSE	tr|A0A8D2JY80|A0A8D2JY80_THEGE, tr|A0A8D2ETC8|A0A8D2ETC8_THEGE
OG0001155	sp|Q9QX66|DPF1_MOUSE	tr|A0A8D2ELZ2|A0A8D2ELZ2_THEGE
OG0001155	sp|P58269|DPF3_MOUSE	tr|A0A8D2FY85|A0A8D2FY85_THEGE
OG0001156	sp|O70172|PI42A_MOUSE	tr|A0A8D2EDT1|A0A8D2EDT1_THEGE
OG0001156	sp|Q80XI4|PI42B_MOUSE	tr|A0A8D2EAQ7|A0A8D2EAQ7_THEGE
OG0001157	sp|Q8R4P4|TMC2_MOUSE	tr|A0A8D2JZR9|A0A8D2JZR9_THEGE
OG0001157	sp|Q8R4P5|TMC1_MOUSE	tr|A0A8D2GAL6|A0A8D2GAL6_THEGE
OG0001158	sp|Q8BG54|SPTC3_MOUSE	tr|A0A8D2FF50|A0A8D2FF50_THEGE
OG0001158	sp|P97363|SPTC2_MOUSE	tr|A0A8D2GAE3|A0A8D2GAE3_THEGE
OG0001159	sp|Q7TSF0|DSG1C_MOUSE, sp|Q61495|DSG1A_MOUSE, sp|Q7TSF1|DSG1B_MOUSE	tr|A0A8D2FJ46|A0A8D2FJ46_THEGE
OG0001160	sp|Q5H8B9|FREM3_MOUSE	tr|A0A8D2F488|A0A8D2F488_THEGE
OG0001160	sp|Q6NVD0|FREM2_MOUSE	tr|A0A8D2G6Z5|A0A8D2G6Z5_THEGE
OG0001161	tr|Q8VG65|Q8VG65_MOUSE, tr|Q7TQQ2|Q7TQQ2_MOUSE, tr|Q8VG66|Q8VG66_MOUSE	tr|A0A8D2K5Y3|A0A8D2K5Y3_THEGE
OG0001162	tr|Q8VGJ1|Q8VGJ1_MOUSE, tr|Q8VGC1|Q8VGC1_MOUSE, sp|Q60885|OLF9_MOUSE	tr|A0A8D2F2T5|A0A8D2F2T5_THEGE
OG0001163	sp|Q99JP0|M4K3_MOUSE	tr|A0A8D2G8W5|A0A8D2G8W5_THEGE
OG0001163	sp|Q8BPM2|M4K5_MOUSE	tr|A0A8D2EQB6|A0A8D2EQB6_THEGE
OG0001164	tr|Q7TRS6|Q7TRS6_MOUSE	tr|A0A8D2K712|A0A8D2K712_THEGE
OG0001164	tr|E9Q546|E9Q546_MOUSE	tr|A0A8D2G1F2|A0A8D2G1F2_THEGE
OG0001165	sp|Q3ULJ0|GPD1L_MOUSE	tr|A0A8D2FPW6|A0A8D2FPW6_THEGE
OG0001165	sp|P13707|GPDA_MOUSE	tr|A0A8D2E9Q6|A0A8D2E9Q6_THEGE
OG0001166	sp|Q8BPM0|DAAM1_MOUSE	tr|A0A8D2F945|A0A8D2F945_THEGE
OG0001166	sp|Q80U19|DAAM2_MOUSE	tr|A0A8D2GE78|A0A8D2GE78_THEGE
OG0001167	sp|Q8BHR2|ENOX1_MOUSE	tr|A0A8D2JUI0|A0A8D2JUI0_THEGE
OG0001167	sp|Q8R0Z2|ENOX2_MOUSE	tr|A0A8D2G2X7|A0A8D2G2X7_THEGE
OG0001168	tr|J9JI72|J9JI72_MOUSE	tr|A0A8D2ESI6|A0A8D2ESI6_THEGE
OG0001168	sp|O08785|CLOCK_MOUSE	tr|A0A8D2G2M3|A0A8D2G2M3_THEGE
OG0001169	sp|O55192|SC6A2_MOUSE	tr|A0A8D2G3G2|A0A8D2G3G2_THEGE
OG0001169	sp|Q61327|SC6A3_MOUSE	tr|A0A8D2E3C1|A0A8D2E3C1_THEGE
OG0001170	sp|Q6P9R2|OXSR1_MOUSE	tr|A0A8D2FRI1|A0A8D2FRI1_THEGE
OG0001170	sp|Q9Z1W9|STK39_MOUSE	tr|A0A8D2FDA8|A0A8D2FDA8_THEGE
OG0001172	sp|O54751|CRX_MOUSE	tr|A0A8D2G667|A0A8D2G667_THEGE, tr|A0A8D2JU58|A0A8D2JU58_THEGE, tr|A0A8D2JX69|A0A8D2JX69_THEGE
OG0001173	sp|P20801|TNNC2_MOUSE	tr|A0A8D2K515|A0A8D2K515_THEGE, tr|A0A8D2G4J7|A0A8D2G4J7_THEGE, tr|A0A8D2F659|A0A8D2F659_THEGE
OG0001174	sp|P69566|RANB9_MOUSE	tr|A0A8D2FIY5|A0A8D2FIY5_THEGE
OG0001174	sp|Q6VN19|RBP10_MOUSE	tr|A0A8D2EQ34|A0A8D2EQ34_THEGE
OG0001175	sp|P70345|B2CL2_MOUSE	tr|A0A8D2FRS7|A0A8D2FRS7_THEGE
OG0001175	sp|Q8CCS6|PABP2_MOUSE	tr|A0A8D2EDU1|A0A8D2EDU1_THEGE
OG0001176	sp|P17532|TPH1_MOUSE	tr|A0A8D2F1E2|A0A8D2F1E2_THEGE
OG0001176	sp|Q8CGV2|TPH2_MOUSE	tr|A0A8D2G6W7|A0A8D2G6W7_THEGE
OG0001177	sp|Q9WUI1|MK11_MOUSE	tr|A0A8D2E7F4|A0A8D2E7F4_THEGE
OG0001177	sp|P47811|MK14_MOUSE	tr|A0A8D2GL47|A0A8D2GL47_THEGE
OG0001178	sp|Q91VE0|S27A4_MOUSE	tr|A0A8D2FIY2|A0A8D2FIY2_THEGE
OG0001178	sp|Q60714|S27A1_MOUSE	tr|A0A8D2F655|A0A8D2F655_THEGE
OG0001179	sp|Q923J1|TRPM7_MOUSE	tr|A0A8D2F3R3|A0A8D2F3R3_THEGE
OG0001179	sp|Q8CIR4|TRPM6_MOUSE	tr|A0A8D2GC36|A0A8D2GC36_THEGE
OG0001180	sp|P36898|BMR1B_MOUSE	tr|A0A8D2EDI5|A0A8D2EDI5_THEGE
OG0001180	sp|P36895|BMR1A_MOUSE	tr|A0A8D2FE69|A0A8D2FE69_THEGE
OG0001181	tr|E9PUS2|E9PUS2_MOUSE	tr|A0A8D2F2P5|A0A8D2F2P5_THEGE
OG0001181	sp|P58544|BTBD1_MOUSE	tr|A0A8D2EGV1|A0A8D2EGV1_THEGE
OG0001182	sp|Q69ZN7|MYOF_MOUSE	tr|A0A8D2EPS6|A0A8D2EPS6_THEGE
OG0001182	sp|Q9ESD7|DYSF_MOUSE	tr|A0A8D2FBJ4|A0A8D2FBJ4_THEGE
OG0001183	tr|A0A0U1RNF2|A0A0U1RNF2_MOUSE	tr|A0A8D2FK95|A0A8D2FK95_THEGE
OG0001183	sp|Q8BYR1|TYW4_MOUSE	tr|A0A8D2FH90|A0A8D2FH90_THEGE
OG0001184	sp|P52187|KCJ12_MOUSE	tr|A0A8D2E654|A0A8D2E654_THEGE
OG0001184	sp|P35561|KCNJ2_MOUSE	tr|A0A8D2GCQ1|A0A8D2GCQ1_THEGE
OG0001185	sp|Q6V4S5|SDK2_MOUSE	tr|A0A8D2K9K2|A0A8D2K9K2_THEGE
OG0001185	sp|Q3UH53|SDK1_MOUSE	tr|A0A8D2EH44|A0A8D2EH44_THEGE
OG0001186	sp|Q91WD2|TRPV6_MOUSE	tr|A0A8D2E4Z8|A0A8D2E4Z8_THEGE
OG0001186	sp|P69744|TRPV5_MOUSE	tr|A0A8D2E365|A0A8D2E365_THEGE
OG0001187	sp|P63158|HMGB1_MOUSE	tr|A0A8D2EBK7|A0A8D2EBK7_THEGE, tr|A0A8D2ETF5|A0A8D2ETF5_THEGE, tr|A0A8D2FUN4|A0A8D2FUN4_THEGE
OG0001188	sp|Q8BY89|CTL2_MOUSE	tr|A0A8D2G9W2|A0A8D2G9W2_THEGE
OG0001188	sp|Q5RJI2|CTL5_MOUSE	tr|A0A8D2FDF4|A0A8D2FDF4_THEGE
OG0001189	sp|Q8C4V4|FBXL3_MOUSE	tr|A0A8D2JY17|A0A8D2JY17_THEGE
OG0001189	sp|Q8BFZ4|FXL21_MOUSE	tr|A0A8D2FQB5|A0A8D2FQB5_THEGE
OG0001190	sp|Q9WTZ8|BEX2_MOUSE, sp|Q9R224|BEX1_MOUSE	tr|A0A8D2EYR7|A0A8D2EYR7_THEGE, tr|A0A8D2F554|A0A8D2F554_THEGE
OG0001191	tr|A0A0G2JFS9|A0A0G2JFS9_MOUSE, sp|Q8C9S8|ATG4A_MOUSE, sp|Q8BGE6|ATG4B_MOUSE	tr|A0A8D2F959|A0A8D2F959_THEGE
OG0001192	sp|A2AGX3|PRD11_MOUSE	tr|A0A8D2JYZ7|A0A8D2JYZ7_THEGE, tr|A0A8D2EFE2|A0A8D2EFE2_THEGE, tr|A0A8D2E3L6|A0A8D2E3L6_THEGE
OG0001193	sp|B9EJV3|GRB1L_MOUSE	tr|A0A8D2K2E4|A0A8D2K2E4_THEGE
OG0001193	sp|Q3UHK3|GREB1_MOUSE	tr|A0A8D2FK28|A0A8D2FK28_THEGE
OG0001194	sp|Q60632|COT1_MOUSE	tr|A0A8D2JV80|A0A8D2JV80_THEGE
OG0001194	sp|P43135|COT2_MOUSE	tr|A0A8D2JZW5|A0A8D2JZW5_THEGE
OG0001195	sp|Q7TNP2|2AAB_MOUSE	tr|A0A8D2FK64|A0A8D2FK64_THEGE
OG0001195	sp|Q76MZ3|2AAA_MOUSE	tr|A0A8D2EFL3|A0A8D2EFL3_THEGE
OG0001196	sp|Q8BHL5|ELMO2_MOUSE	tr|A0A8D2FEM5|A0A8D2FEM5_THEGE
OG0001196	sp|Q8BPU7|ELMO1_MOUSE	tr|A0A8D2FEZ9|A0A8D2FEZ9_THEGE
OG0001197	sp|A6H5Z3|EXC6B_MOUSE	tr|A0A8D2K1S4|A0A8D2K1S4_THEGE
OG0001197	sp|Q8R313|EXOC6_MOUSE	tr|A0A8D2ETM3|A0A8D2ETM3_THEGE
OG0001198	tr|G3UWD9|G3UWD9_MOUSE	tr|A0A8D2K646|A0A8D2K646_THEGE
OG0001198	sp|Q5NCM1|S17A4_MOUSE	tr|A0A8D2K5P7|A0A8D2K5P7_THEGE
OG0001199	sp|P70335|ROCK1_MOUSE	tr|A0A8D2FCV3|A0A8D2FCV3_THEGE
OG0001199	sp|P70336|ROCK2_MOUSE	tr|A0A8D2FJF4|A0A8D2FJF4_THEGE
OG0001200	sp|A2A432|CUL4B_MOUSE	tr|A0A8D2FV71|A0A8D2FV71_THEGE
OG0001200	sp|Q3TCH7|CUL4A_MOUSE	tr|A0A8D2FEV0|A0A8D2FEV0_THEGE
OG0001201	sp|Q504N0|CBPA2_MOUSE	tr|A0A8D2G0D5|A0A8D2G0D5_THEGE
OG0001201	sp|Q7TPZ8|CBPA1_MOUSE	tr|A0A8D2G2D7|A0A8D2G2D7_THEGE
OG0001202	sp|Q80ZA0|ITL1B_MOUSE, sp|O88310|ITL1A_MOUSE	tr|A0A8D2ELK6|A0A8D2ELK6_THEGE, tr|A0A8D2JX25|A0A8D2JX25_THEGE
OG0001203	sp|Q8K009|AL1L2_MOUSE	tr|A0A8D2EY73|A0A8D2EY73_THEGE
OG0001203	sp|Q8R0Y6|AL1L1_MOUSE	tr|A0A8D2EXA9|A0A8D2EXA9_THEGE
OG0001204	sp|Q8K214|SCMH1_MOUSE	tr|A0A8D2G851|A0A8D2G851_THEGE, tr|A0A8D2FMT9|A0A8D2FMT9_THEGE, tr|A0A8D2FJR5|A0A8D2FJR5_THEGE
OG0001205	sp|Q9CQW2|ARL8B_MOUSE	tr|A0A8D2FWS1|A0A8D2FWS1_THEGE
OG0001205	sp|Q8VEH3|ARL8A_MOUSE	tr|A0A8D2FRH3|A0A8D2FRH3_THEGE
OG0001206	sp|Q91ZD4|VANG2_MOUSE	tr|A0A8D2ELC3|A0A8D2ELC3_THEGE
OG0001206	sp|Q80Z96|VANG1_MOUSE	tr|A0A8D2EHM8|A0A8D2EHM8_THEGE
OG0001207	sp|Q810F8|TBX10_MOUSE	tr|A0A8D2EDL0|A0A8D2EDL0_THEGE
OG0001207	sp|P70323|TBX1_MOUSE	tr|A0A8D2EHR9|A0A8D2EHR9_THEGE
OG0001208	sp|Q91YI4|ARRB2_MOUSE	tr|A0A8D2FFT4|A0A8D2FFT4_THEGE
OG0001208	sp|Q8BWG8|ARRB1_MOUSE	tr|A0A8D2GD43|A0A8D2GD43_THEGE
OG0001209	sp|Q9D7R7|PEPC_MOUSE	tr|A0A8D2E9X9|A0A8D2E9X9_THEGE, tr|A0A8D2EBT5|A0A8D2EBT5_THEGE, tr|A0A8D2GJJ3|A0A8D2GJJ3_THEGE
OG0001210	tr|A0A494BAW1|A0A494BAW1_MOUSE	tr|A0A8D2ETN0|A0A8D2ETN0_THEGE
OG0001210	tr|A2AQ92|A2AQ92_MOUSE	tr|A0A8D2EWS6|A0A8D2EWS6_THEGE
OG0001211	sp|P61965|WDR5_MOUSE	tr|A0A8D2JZI1|A0A8D2JZI1_THEGE
OG0001211	sp|Q9D7H2|WDR5B_MOUSE	tr|A0A8D2JXU5|A0A8D2JXU5_THEGE
OG0001212	sp|Q8C7M3|TRIM9_MOUSE	tr|A0A8D2EVF6|A0A8D2EVF6_THEGE
OG0001212	sp|Q505D9|TRI67_MOUSE	tr|A0A8D2F082|A0A8D2F082_THEGE
OG0001213	tr|Q7TRX1|Q7TRX1_MOUSE, tr|Q7TRX2|Q7TRX2_MOUSE	tr|A0A8D2FEJ5|A0A8D2FEJ5_THEGE, tr|A0A8D2FEF6|A0A8D2FEF6_THEGE
OG0001214	sp|Q80YA7|DPP8_MOUSE	tr|A0A8D2G0U8|A0A8D2G0U8_THEGE
OG0001214	sp|Q8BVG4|DPP9_MOUSE	tr|A0A8D2FI87|A0A8D2FI87_THEGE
OG0001215	sp|Q9QXE7|TBL1X_MOUSE	tr|A0A8D2FA43|A0A8D2FA43_THEGE
OG0001215	sp|Q8BHJ5|TBL1R_MOUSE	tr|A0A8D2GA71|A0A8D2GA71_THEGE
OG0001216	sp|Q8C0S4|TT21A_MOUSE	tr|A0A8D2FJJ7|A0A8D2FJJ7_THEGE
OG0001216	sp|Q0HA38|TT21B_MOUSE	tr|A0A8D2F130|A0A8D2F130_THEGE
OG0001218	sp|P22437|PGH1_MOUSE	tr|A0A8D2G975|A0A8D2G975_THEGE
OG0001218	sp|Q05769|PGH2_MOUSE	tr|A0A8D2G0P1|A0A8D2G0P1_THEGE
OG0001219	sp|Q6P9L4|UBP49_MOUSE	tr|A0A8D2KB73|A0A8D2KB73_THEGE
OG0001219	sp|Q8C2S0|UBP44_MOUSE	tr|A0A8D2EDQ9|A0A8D2EDQ9_THEGE
OG0001220	sp|Q8BST6|PELI2_MOUSE	tr|A0A8D2K116|A0A8D2K116_THEGE
OG0001220	sp|Q8C669|PELI1_MOUSE	tr|A0A8D2EUF1|A0A8D2EUF1_THEGE
OG0001221	sp|Q9JHJ7|TEST_MOUSE	tr|A0A8D2G4A9|A0A8D2G4A9_THEGE
OG0001221	sp|Q920S2|PRS41_MOUSE	tr|A0A8D2GC56|A0A8D2GC56_THEGE
OG0001222	sp|Q8BRK9|MA2A2_MOUSE	tr|A0A8D2EIH6|A0A8D2EIH6_THEGE
OG0001222	sp|P27046|MA2A1_MOUSE	tr|A0A8D2ETA0|A0A8D2ETA0_THEGE
OG0001223	sp|Q8K3R3|PLCD4_MOUSE	tr|A0A8D2EXU0|A0A8D2EXU0_THEGE
OG0001223	sp|Q8K2J0|PLCD3_MOUSE	tr|A0A8D2FGX1|A0A8D2FGX1_THEGE
OG0001224	sp|Q99LP6|GRPE1_MOUSE	tr|A0A8D2E547|A0A8D2E547_THEGE, tr|A0A8D2JTZ5|A0A8D2JTZ5_THEGE, tr|A0A8D2K879|A0A8D2K879_THEGE
OG0001225	sp|Q99N13|HDAC9_MOUSE	tr|A0A8D2FXD0|A0A8D2FXD0_THEGE
OG0001225	sp|Q9Z2V6|HDAC5_MOUSE	tr|A0A8D2F414|A0A8D2F414_THEGE
OG0001226	sp|Q9DAU7|WFDC2_MOUSE, sp|P62810|WFD18_MOUSE, tr|Q5SSJ1|Q5SSJ1_MOUSE	tr|A0A8D2FRX0|A0A8D2FRX0_THEGE
OG0001227	sp|Q99MJ9|DDX50_MOUSE	tr|A0A8D2GIC5|A0A8D2GIC5_THEGE
OG0001227	sp|Q9JIK5|DDX21_MOUSE	tr|A0A8D2GLB7|A0A8D2GLB7_THEGE
OG0001228	sp|O35943|FRDA_MOUSE	tr|A0A8D2GDJ6|A0A8D2GDJ6_THEGE, tr|A0A8D2G212|A0A8D2G212_THEGE, tr|A0A8D2G2J6|A0A8D2G2J6_THEGE
OG0001230	sp|Q64707|U2AFL_MOUSE, sp|Q62377|U2AFM_MOUSE	tr|A0A8D2K350|A0A8D2K350_THEGE, tr|A0A8D2EYS2|A0A8D2EYS2_THEGE
OG0001231	tr|Q8BY68|Q8BY68_MOUSE	tr|A0A8D2K9D1|A0A8D2K9D1_THEGE
OG0001231	sp|Q8BFU7|P2Y10_MOUSE	tr|A0A8D2GDI6|A0A8D2GDI6_THEGE
OG0001232	tr|A2ALD2|A2ALD2_MOUSE, tr|Q7TR94|Q7TR94_MOUSE, tr|Q8VFP0|Q8VFP0_MOUSE	tr|A0A8D2FYY2|A0A8D2FYY2_THEGE
OG0001233	sp|Q9CXS4|CENPV_MOUSE	tr|A0A8D2E555|A0A8D2E555_THEGE, tr|A0A8D2GAP5|A0A8D2GAP5_THEGE, tr|A0A8D2JWQ3|A0A8D2JWQ3_THEGE
OG0001236	sp|Q3UUX7|CD046_MOUSE	tr|A0A8D2FCK7|A0A8D2FCK7_THEGE, tr|A0A8D2FL42|A0A8D2FL42_THEGE, tr|A0A8D2K8F1|A0A8D2K8F1_THEGE
OG0001237	sp|Q9WUB7|CLCKA_MOUSE, sp|Q9WUB6|CLCKB_MOUSE	tr|A0A8D2EKA7|A0A8D2EKA7_THEGE, tr|A0A8D2FN52|A0A8D2FN52_THEGE
OG0001238	sp|P06801|MAOX_MOUSE	tr|A0A8D2K3U3|A0A8D2K3U3_THEGE
OG0001238	sp|Q8BMF3|MAON_MOUSE	tr|A0A8D2JXZ5|A0A8D2JXZ5_THEGE
OG0001239	sp|Q62420|SH3G2_MOUSE	tr|A0A8D2FCN1|A0A8D2FCN1_THEGE
OG0001239	sp|Q62421|SH3G3_MOUSE	tr|A0A8D2EC25|A0A8D2EC25_THEGE
OG0001240	sp|Q8BFP9|PDK1_MOUSE	tr|A0A8D2FRN0|A0A8D2FRN0_THEGE
OG0001240	sp|Q9JK42|PDK2_MOUSE	tr|A0A8D2GKM5|A0A8D2GKM5_THEGE
OG0001241	sp|P11157|RIR2_MOUSE	tr|A0A8D2K287|A0A8D2K287_THEGE
OG0001241	sp|Q6PEE3|RIR2B_MOUSE	tr|A0A8D2EH05|A0A8D2EH05_THEGE
OG0001242	sp|P26262|KLKB1_MOUSE	tr|A0A8D2G6A2|A0A8D2G6A2_THEGE
OG0001242	sp|Q91Y47|FA11_MOUSE	tr|A0A8D2K8D9|A0A8D2K8D9_THEGE
OG0001243	sp|Q8BQM8|EMAL5_MOUSE	tr|A0A8D2GI56|A0A8D2GI56_THEGE
OG0001243	sp|Q5SQM0|EMAL6_MOUSE	tr|A0A8D2JWN0|A0A8D2JWN0_THEGE
OG0001244	sp|Q62210|BIRC2_MOUSE	tr|A0A8D2F6Z8|A0A8D2F6Z8_THEGE
OG0001244	sp|O08863|BIRC3_MOUSE	tr|A0A8D2F886|A0A8D2F886_THEGE
OG0001246	sp|Q9QYI3|DNJC7_MOUSE	tr|A0A8D2EVZ9|A0A8D2EVZ9_THEGE, tr|A0A8D2EZZ1|A0A8D2EZZ1_THEGE, tr|A0A8D2FJT2|A0A8D2FJT2_THEGE
OG0001247	tr|E9Q842|E9Q842_MOUSE	tr|A0A8D2EXG3|A0A8D2EXG3_THEGE
OG0001247	sp|Q80TN7|NAV3_MOUSE	tr|A0A8D2GB68|A0A8D2GB68_THEGE
OG0001248	sp|O88895|HDAC3_MOUSE	tr|A0A8D2G7F4|A0A8D2G7F4_THEGE, tr|A0A8D2FSP3|A0A8D2FSP3_THEGE, tr|A0A8D2F718|A0A8D2F718_THEGE
OG0001249	sp|Q8CIQ7|DOCK3_MOUSE	tr|A0A8D2E7R2|A0A8D2E7R2_THEGE
OG0001249	sp|P59764|DOCK4_MOUSE	tr|A0A8D2K2J1|A0A8D2K2J1_THEGE
OG0001250	sp|Q6EJB6|UT14B_MOUSE, sp|Q640M1|UT14A_MOUSE	tr|A0A8D2EL64|A0A8D2EL64_THEGE, tr|A0A8D2G127|A0A8D2G127_THEGE
OG0001251	sp|Q99PL8|S19A3_MOUSE	tr|A0A8D2EN11|A0A8D2EN11_THEGE, tr|A0A8D2FFT8|A0A8D2FFT8_THEGE, tr|A0A8D2FEV9|A0A8D2FEV9_THEGE
OG0001252	sp|P27467|WNT3A_MOUSE	tr|A0A8D2FPN6|A0A8D2FPN6_THEGE
OG0001252	sp|P17553|WNT3_MOUSE	tr|A0A8D2FPM7|A0A8D2FPM7_THEGE
OG0001253	sp|Q01320|TOP2A_MOUSE	tr|A0A8D2EM42|A0A8D2EM42_THEGE
OG0001253	sp|Q64511|TOP2B_MOUSE	tr|A0A8D2FQA3|A0A8D2FQA3_THEGE
OG0001254	sp|Q64430|ATP7A_MOUSE	tr|A0A8D2E817|A0A8D2E817_THEGE
OG0001254	sp|Q64446|ATP7B_MOUSE	tr|A0A8D2JXH6|A0A8D2JXH6_THEGE
OG0001255	sp|Q8BVF2|PDCL3_MOUSE	tr|A0A8D2EQX1|A0A8D2EQX1_THEGE, tr|A0A8D2ENJ3|A0A8D2ENJ3_THEGE, tr|A0A8D2EYJ9|A0A8D2EYJ9_THEGE
OG0001256	sp|Q8C9H6|STRP2_MOUSE	tr|A0A8D2G1T9|A0A8D2G1T9_THEGE
OG0001256	sp|Q8C079|STRP1_MOUSE	tr|A0A8D2E8F2|A0A8D2E8F2_THEGE
OG0001257	sp|Q8BWD8|CDK19_MOUSE	tr|A0A8D2E8F1|A0A8D2E8F1_THEGE
OG0001257	sp|Q8R3L8|CDK8_MOUSE	tr|A0A8D2FQI3|A0A8D2FQI3_THEGE
OG0001258	sp|Q9JHD1|KAT2B_MOUSE	tr|A0A8D2FKI0|A0A8D2FKI0_THEGE
OG0001258	sp|Q9JHD2|KAT2A_MOUSE	tr|A0A8D2EYB8|A0A8D2EYB8_THEGE
OG0001260	sp|P28047|WNT7B_MOUSE	tr|A0A8D2JVW4|A0A8D2JVW4_THEGE
OG0001260	sp|P24383|WNT7A_MOUSE	tr|A0A8D2FB31|A0A8D2FB31_THEGE
OG0001261	sp|Q3UGC7|EI3JA_MOUSE, sp|Q66JS6|EI3JB_MOUSE	tr|A0A8D2EQP2|A0A8D2EQP2_THEGE, tr|A0A8D2K9F8|A0A8D2K9F8_THEGE
OG0001262	sp|Q9CXW2|RT22_MOUSE	tr|A0A8D2EUS8|A0A8D2EUS8_THEGE, tr|A0A8D2E8F5|A0A8D2E8F5_THEGE, tr|A0A8D2FD47|A0A8D2FD47_THEGE
OG0001263	sp|O88427|CAC1H_MOUSE	tr|A0A8D2ELA6|A0A8D2ELA6_THEGE
OG0001263	tr|E9Q7P2|E9Q7P2_MOUSE	tr|A0A8D2EUL9|A0A8D2EUL9_THEGE
OG0001264	sp|O35343|IMA3_MOUSE	tr|A0A8D2E7Q4|A0A8D2E7Q4_THEGE
OG0001264	sp|O35344|IMA4_MOUSE	tr|A0A8D2EEA8|A0A8D2EEA8_THEGE
OG0001265	sp|P08032|SPTA1_MOUSE	tr|A0A8D2E9D2|A0A8D2E9D2_THEGE
OG0001265	sp|P16546|SPTN1_MOUSE	tr|A0A8D2FQV6|A0A8D2FQV6_THEGE
OG0001266	sp|Q62172|RBP1_MOUSE	tr|A0A8D2EU95|A0A8D2EU95_THEGE, tr|A0A8D2K8H9|A0A8D2K8H9_THEGE, tr|A0A8D2ENU4|A0A8D2ENU4_THEGE
OG0001267	sp|Q9D0R2|SYTC_MOUSE	tr|A0A8D2EKW8|A0A8D2EKW8_THEGE
OG0001267	sp|Q8BLY2|SYTC2_MOUSE	tr|A0A8D2F5H0|A0A8D2F5H0_THEGE
OG0001268	sp|Q8C6M1|UBP20_MOUSE	tr|A0A8D2FHF4|A0A8D2FHF4_THEGE
OG0001268	sp|Q8R5K2|UBP33_MOUSE	tr|A0A8D2FCE0|A0A8D2FCE0_THEGE
OG0001269	sp|Q91X83|METK1_MOUSE	tr|A0A8D2K3R6|A0A8D2K3R6_THEGE
OG0001269	sp|Q3THS6|METK2_MOUSE	tr|A0A8D2FTL1|A0A8D2FTL1_THEGE
OG0001270	sp|A2ASZ8|SCMC2_MOUSE	tr|A0A8D2FWE5|A0A8D2FWE5_THEGE
OG0001270	sp|Q6GQS1|SCMC3_MOUSE	tr|A0A8D2FNW2|A0A8D2FNW2_THEGE
OG0001271	sp|Q8C1R0|TSSK5_MOUSE, sp|Q61241|TSSK1_MOUSE, sp|O54863|TSSK2_MOUSE	tr|A0A8D2ECX5|A0A8D2ECX5_THEGE
OG0001272	tr|Q80X81|Q80X81_MOUSE, sp|Q8CAY6|THIC_MOUSE	tr|A0A8D2GJW8|A0A8D2GJW8_THEGE, tr|A0A8D2FC20|A0A8D2FC20_THEGE
OG0001273	sp|Q8BZQ2|CRLD2_MOUSE	tr|A0A8D2K4I2|A0A8D2K4I2_THEGE
OG0001273	sp|Q8CGD2|CRLD1_MOUSE	tr|A0A8D2G0D3|A0A8D2G0D3_THEGE
OG0001274	sp|Q8VC70|RBMS2_MOUSE	tr|A0A8D2F2X9|A0A8D2F2X9_THEGE
OG0001274	sp|Q91W59|RBMS1_MOUSE	tr|A0A8D2F2E4|A0A8D2F2E4_THEGE
OG0001275	sp|O55106|STRN_MOUSE	tr|A0A8D2K9I7|A0A8D2K9I7_THEGE
OG0001275	sp|Q9ERG2|STRN3_MOUSE	tr|A0A8D2E6J6|A0A8D2E6J6_THEGE
OG0001276	sp|Q8BLV3|SL9A7_MOUSE	tr|A0A8D2EL38|A0A8D2EL38_THEGE
OG0001276	tr|A1L3P4|A1L3P4_MOUSE	tr|A0A8D2E9G7|A0A8D2E9G7_THEGE
OG0001277	sp|P84084|ARF5_MOUSE	tr|A0A8D2FJI9|A0A8D2FJI9_THEGE
OG0001277	sp|P61750|ARF4_MOUSE	tr|A0A8D2GET6|A0A8D2GET6_THEGE
OG0001278	sp|Q9QZS6|HS3SB_MOUSE	tr|A0A8D2E4A7|A0A8D2E4A7_THEGE
OG0001278	sp|Q8BKN6|HS3SA_MOUSE	tr|A0A8D2GA27|A0A8D2GA27_THEGE
OG0001279	sp|Q9JI11|STK4_MOUSE	tr|A0A8D2FV28|A0A8D2FV28_THEGE
OG0001279	sp|Q9JI10|STK3_MOUSE	tr|A0A8D2JUB3|A0A8D2JUB3_THEGE
OG0001280	tr|G5E8G3|G5E8G3_MOUSE	tr|A0A8D2E7N9|A0A8D2E7N9_THEGE
OG0001280	sp|Q99PJ0|NTRI_MOUSE	tr|A0A8D2JUE0|A0A8D2JUE0_THEGE
OG0001281	sp|P63073|IF4E_MOUSE	tr|A0A8D2G2I5|A0A8D2G2I5_THEGE
OG0001281	sp|Q3UTA9|I4E1B_MOUSE	tr|A0A8D2F9N9|A0A8D2F9N9_THEGE
OG0001282	sp|P63085|MK01_MOUSE	tr|A0A8D2EQJ8|A0A8D2EQJ8_THEGE
OG0001282	sp|Q63844|MK03_MOUSE	tr|A0A8D2FCD9|A0A8D2FCD9_THEGE
OG0001283	tr|E9Q3A7|E9Q3A7_MOUSE	tr|A0A8D2EFY6|A0A8D2EFY6_THEGE
OG0001283	sp|Q8BM92|CADH7_MOUSE	tr|A0A8D2EFN7|A0A8D2EFN7_THEGE
OG0001284	sp|Q8R2R9|AP3M2_MOUSE	tr|A0A8D2F1J9|A0A8D2F1J9_THEGE
OG0001284	sp|Q9JKC8|AP3M1_MOUSE	tr|A0A8D2KA67|A0A8D2KA67_THEGE
