Orthogroup	Mus_musculus	Rhinopithecus_roxellana
OG0000513	sp|P62270|RS18_MOUSE	tr|A0A2K6NFP0|A0A2K6NFP0_RHIRO, tr|A0A2K6NGT8|A0A2K6NGT8_RHIRO, tr|A0A2K6RPY3|A0A2K6RPY3_RHIRO, tr|A0A2K6NI41|A0A2K6NI41_RHIRO, tr|A0A2K6QAW9|A0A2K6QAW9_RHIRO
OG0000514	sp|Q921C3|BRWD1_MOUSE	tr|A0A2K6P721|A0A2K6P721_RHIRO
OG0000514	sp|Q8VDD9|PHIP_MOUSE	tr|A0A2K6RQM8|A0A2K6RQM8_RHIRO
OG0000514	sp|A2AHJ4|BRWD3_MOUSE	tr|A0A2K6PPM6|A0A2K6PPM6_RHIRO
OG0000515	sp|Q80TC6|ZSWM5_MOUSE	tr|A0A2K6Q3W7|A0A2K6Q3W7_RHIRO
OG0000515	sp|Q8C7B8|ZSWM4_MOUSE	tr|A0A2K6PME1|A0A2K6PME1_RHIRO
OG0000515	sp|Q80TB7|ZSWM6_MOUSE	tr|A0A2K6PDU4|A0A2K6PDU4_RHIRO
OG0000516	sp|P97400|LEG10_MOUSE	tr|A0A2K6NGA8|A0A2K6NGA8_RHIRO, tr|A0A2K6NA64|A0A2K6NA64_RHIRO, tr|A0A2K6N7S4|A0A2K6N7S4_RHIRO, tr|A0A2K6QLE1|A0A2K6QLE1_RHIRO, tr|A0A2K6QNW2|A0A2K6QNW2_RHIRO
OG0000517	sp|P18608|HMGN1_MOUSE	tr|A0A2K6NP39|A0A2K6NP39_RHIRO, tr|A0A2K6RW79|A0A2K6RW79_RHIRO, tr|A0A2K6PPZ6|A0A2K6PPZ6_RHIRO, tr|A0A2K6RHC1|A0A2K6RHC1_RHIRO, tr|A0A2K6P8Q9|A0A2K6P8Q9_RHIRO
OG0000518	sp|Q91VY5|KDM4B_MOUSE	tr|A0A2K6RWB8|A0A2K6RWB8_RHIRO
OG0000518	sp|Q8VCD7|KDM4C_MOUSE	tr|A0A2K6RPA9|A0A2K6RPA9_RHIRO
OG0000518	sp|Q8BW72|KDM4A_MOUSE	tr|A0A2K6NRZ5|A0A2K6NRZ5_RHIRO
OG0000519	sp|Q6ZPF4|FMNL3_MOUSE	tr|A0A2K6NJN9|A0A2K6NJN9_RHIRO
OG0000519	sp|A2APV2|FMNL2_MOUSE	tr|A0A2K6NP54|A0A2K6NP54_RHIRO
OG0000519	sp|Q9JL26|FMNL1_MOUSE	tr|A0A2K6RSP8|A0A2K6RSP8_RHIRO
OG0000520	tr|A0A571BF69|A0A571BF69_MOUSE	tr|A0A2K6QJI7|A0A2K6QJI7_RHIRO
OG0000520	tr|A0A571BDS5|A0A571BDS5_MOUSE	tr|A0A2K6PEP5|A0A2K6PEP5_RHIRO
OG0000520	tr|F8VQM5|F8VQM5_MOUSE	tr|A0A2K6RK08|A0A2K6RK08_RHIRO
OG0000521	sp|Q61390|TCPW_MOUSE	tr|A0A2K6PCL0|A0A2K6PCL0_RHIRO
OG0000521	sp|P80317|TCPZ_MOUSE	tr|A0A2K6PSZ1|A0A2K6PSZ1_RHIRO, tr|A0A2K6NMH3|A0A2K6NMH3_RHIRO, tr|A0A2K6QFM8|A0A2K6QFM8_RHIRO
OG0000522	sp|Q9Z185|PADI1_MOUSE	tr|A0A2K6PNB2|A0A2K6PNB2_RHIRO
OG0000522	sp|Q9Z183|PADI4_MOUSE	tr|A0A2K6QP15|A0A2K6QP15_RHIRO
OG0000522	sp|Q9Z184|PADI3_MOUSE	tr|A0A2K6RNL9|A0A2K6RNL9_RHIRO
OG0000523	sp|Q61233|PLSL_MOUSE	tr|A0A2K6PPT2|A0A2K6PPT2_RHIRO
OG0000523	sp|Q99K51|PLST_MOUSE	tr|A0A2K6PDF1|A0A2K6PDF1_RHIRO
OG0000523	sp|Q3V0K9|PLSI_MOUSE	tr|A0A2K6QRV4|A0A2K6QRV4_RHIRO
OG0000524	sp|O35345|IMA7_MOUSE	tr|A0A2K6RTW8|A0A2K6RTW8_RHIRO, tr|A0A2K6N751|A0A2K6N751_RHIRO
OG0000524	sp|Q60960|IMA5_MOUSE	tr|A0A2K6NC93|A0A2K6NC93_RHIRO, tr|A0A2K6NKA3|A0A2K6NKA3_RHIRO
OG0000525	sp|Q61249|IGBP1_MOUSE, sp|Q9QZ29|IGB1B_MOUSE	tr|A0A2K6NFU8|A0A2K6NFU8_RHIRO, tr|A0A2K6R5N1|A0A2K6R5N1_RHIRO, tr|A0A2K6NFV3|A0A2K6NFV3_RHIRO, tr|A0A2K6RCB5|A0A2K6RCB5_RHIRO
OG0000526	sp|Q8R1F0|L10K_MOUSE	tr|A0A2K6NVI9|A0A2K6NVI9_RHIRO, tr|A0A2K6PLZ9|A0A2K6PLZ9_RHIRO, tr|A0A2K6PRT4|A0A2K6PRT4_RHIRO, tr|A0A2K6P5Q1|A0A2K6P5Q1_RHIRO, tr|A0A2K6RQN6|A0A2K6RQN6_RHIRO
OG0000527	sp|Q8R429|AT2A1_MOUSE	tr|A0A2K6NHN7|A0A2K6NHN7_RHIRO
OG0000527	sp|O55143|AT2A2_MOUSE	tr|A0A2K6RQ13|A0A2K6RQ13_RHIRO
OG0000527	sp|Q64518|AT2A3_MOUSE	tr|A0A2K6QPE4|A0A2K6QPE4_RHIRO
OG0000528	sp|P26043|RADI_MOUSE	tr|A0A2K6Q7G4|A0A2K6Q7G4_RHIRO
OG0000528	sp|P26041|MOES_MOUSE	tr|A0A2K6P6E9|A0A2K6P6E9_RHIRO
OG0000528	sp|P26040|EZRI_MOUSE	tr|A0A2K6RMJ3|A0A2K6RMJ3_RHIRO
OG0000529	sp|P35846|FOLR1_MOUSE	tr|A0A2K6R864|A0A2K6R864_RHIRO
OG0000529	sp|Q05685|FOLR2_MOUSE	tr|A0A2K6N9T1|A0A2K6N9T1_RHIRO, tr|A0A2K6NH12|A0A2K6NH12_RHIRO, tr|A0A2K6RR53|A0A2K6RR53_RHIRO
OG0000530	sp|Q4KUS2|UN13A_MOUSE	tr|A0A2K6QVE7|A0A2K6QVE7_RHIRO
OG0000530	sp|Q8K0T7|UN13C_MOUSE	tr|A0A2K6PNW7|A0A2K6PNW7_RHIRO
OG0000530	sp|Q9Z1N9|UN13B_MOUSE	tr|A0A2K6PI20|A0A2K6PI20_RHIRO
OG0000531	sp|P50427|STS_MOUSE	tr|A0A2K6QPD1|A0A2K6QPD1_RHIRO, tr|A0A2K6PU56|A0A2K6PU56_RHIRO, tr|A0A2K6QRK3|A0A2K6QRK3_RHIRO, tr|A0A2K6RAF3|A0A2K6RAF3_RHIRO, tr|A0A2K6QU43|A0A2K6QU43_RHIRO
OG0000532	tr|F7BAB2|F7BAB2_MOUSE	tr|A0A2K6PUB5|A0A2K6PUB5_RHIRO
OG0000532	sp|Q8CEF9|T132C_MOUSE	tr|A0A2K6RVJ1|A0A2K6RVJ1_RHIRO
OG0000532	sp|Q76HP3|T132D_MOUSE	tr|A0A2K6PGM2|A0A2K6PGM2_RHIRO
OG0000533	sp|Q812A2|SRGP3_MOUSE	tr|A0A2K6PQC1|A0A2K6PQC1_RHIRO
OG0000533	sp|Q91Z67|SRGP2_MOUSE	tr|A0A2K6PFV9|A0A2K6PFV9_RHIRO
OG0000533	sp|Q91Z69|SRGP1_MOUSE	tr|A0A2K6NW14|A0A2K6NW14_RHIRO
OG0000534	sp|Q9D504|ANKR7_MOUSE	tr|A0A2K6P3Z7|A0A2K6P3Z7_RHIRO, tr|A0A2K6PX55|A0A2K6PX55_RHIRO, tr|A0A2K6NY12|A0A2K6NY12_RHIRO, tr|A0A2K6P1Y7|A0A2K6P1Y7_RHIRO, tr|A0A2K6PY42|A0A2K6PY42_RHIRO
OG0000535	tr|Q8BGU0|Q8BGU0_MOUSE	tr|A0A2K6R024|A0A2K6R024_RHIRO, tr|A0A2K6RAL6|A0A2K6RAL6_RHIRO, tr|A0A2K6RVQ3|A0A2K6RVQ3_RHIRO, tr|A0A2K6RDC8|A0A2K6RDC8_RHIRO, tr|A0A2K6NCF0|A0A2K6NCF0_RHIRO
OG0000536	sp|P28656|NP1L1_MOUSE	tr|A0A2K6NRU5|A0A2K6NRU5_RHIRO, tr|A0A2K6PVN2|A0A2K6PVN2_RHIRO, tr|A0A2K6NDF9|A0A2K6NDF9_RHIRO, tr|A0A2K6NXL7|A0A2K6NXL7_RHIRO, tr|A0A2K6Q5B0|A0A2K6Q5B0_RHIRO
OG0000537	sp|Q9CQW9|IFM3_MOUSE	tr|A0A2K6NHZ2|A0A2K6NHZ2_RHIRO, tr|A0A2K6RXE8|A0A2K6RXE8_RHIRO, tr|A0A2K6RLH6|A0A2K6RLH6_RHIRO, tr|A0A2K6RLV0|A0A2K6RLV0_RHIRO, tr|A0A2K6NEH5|A0A2K6NEH5_RHIRO
OG0000538	sp|Q9CPQ8|ATP5L_MOUSE	tr|A0A2K6RJ90|A0A2K6RJ90_RHIRO, tr|A0A2K6NSX9|A0A2K6NSX9_RHIRO, tr|A0A2K6N9Y0|A0A2K6N9Y0_RHIRO, tr|A0A2K6NNI0|A0A2K6NNI0_RHIRO, tr|A0A2K6NC74|A0A2K6NC74_RHIRO
OG0000539	sp|Q8VH31|RFPLA_MOUSE	tr|A0A2K6PLL9|A0A2K6PLL9_RHIRO, tr|A0A2K6RQ67|A0A2K6RQ67_RHIRO, tr|A0A2K6RVN2|A0A2K6RVN2_RHIRO, tr|A0A2K6QS77|A0A2K6QS77_RHIRO, tr|A0A2K6RBE0|A0A2K6RBE0_RHIRO
OG0000540	sp|P45376|ALDR_MOUSE	tr|A0A2K6NIZ6|A0A2K6NIZ6_RHIRO, tr|A0A2K6NFY1|A0A2K6NFY1_RHIRO, tr|A0A2K6PLW2|A0A2K6PLW2_RHIRO, tr|A0A2K6QZ33|A0A2K6QZ33_RHIRO, tr|A0A2K6RXF8|A0A2K6RXF8_RHIRO
OG0000541	sp|Q9D6H2|IFT25_MOUSE	tr|A0A2K6Q7Y3|A0A2K6Q7Y3_RHIRO, tr|A0A2K6RBW0|A0A2K6RBW0_RHIRO, tr|A0A2K6NT60|A0A2K6NT60_RHIRO, tr|A0A2K6QSH8|A0A2K6QSH8_RHIRO, tr|A0A2K6NB76|A0A2K6NB76_RHIRO
OG0000542	sp|Q9D8N0|EF1G_MOUSE	tr|A0A2K6NSF5|A0A2K6NSF5_RHIRO, tr|A0A2K6RD95|A0A2K6RD95_RHIRO, tr|A0A2K6QBW1|A0A2K6QBW1_RHIRO, tr|A0A2K6RQS0|A0A2K6RQS0_RHIRO, tr|A0A2K6RST1|A0A2K6RST1_RHIRO
OG0000543	sp|P62908|RS3_MOUSE	tr|A0A2K6QUJ4|A0A2K6QUJ4_RHIRO, tr|A0A2K6NDX7|A0A2K6NDX7_RHIRO, tr|A0A2K6PMJ8|A0A2K6PMJ8_RHIRO, tr|A0A2K6QV61|A0A2K6QV61_RHIRO, tr|A0A2K6QDC4|A0A2K6QDC4_RHIRO
OG0000544	sp|Q05421|CP2E1_MOUSE	tr|A0A2K6QEY3|A0A2K6QEY3_RHIRO, tr|A0A2K6PID1|A0A2K6PID1_RHIRO, tr|A0A2K6R7P3|A0A2K6R7P3_RHIRO, tr|A0A2K6R2H0|A0A2K6R2H0_RHIRO, tr|A0A2K6R2T6|A0A2K6R2T6_RHIRO
OG0000545	sp|Q9D8T7|SLIRP_MOUSE	tr|A0A2K6REE1|A0A2K6REE1_RHIRO, tr|A0A2K6R3P8|A0A2K6R3P8_RHIRO, tr|A0A2K6Q424|A0A2K6Q424_RHIRO, tr|A0A2K6QAQ0|A0A2K6QAQ0_RHIRO, tr|A0A2K6NIW9|A0A2K6NIW9_RHIRO
OG0000546	sp|Q99LB2|DHRS4_MOUSE	tr|A0A2K6PXY4|A0A2K6PXY4_RHIRO, tr|A0A2K6P7B5|A0A2K6P7B5_RHIRO, tr|A0A2K6RFM9|A0A2K6RFM9_RHIRO, tr|A0A2K6NIS4|A0A2K6NIS4_RHIRO, tr|A0A2K6PMC1|A0A2K6PMC1_RHIRO
OG0000547	sp|Q64152|BTF3_MOUSE	tr|A0A2K6RWJ7|A0A2K6RWJ7_RHIRO, tr|A0A2K6NS63|A0A2K6NS63_RHIRO, tr|A0A2K6R0H6|A0A2K6R0H6_RHIRO, tr|A0A2K6PLX1|A0A2K6PLX1_RHIRO, tr|A0A2K6Q8A1|A0A2K6Q8A1_RHIRO
OG0000553	sp|Q7M721|TR120_MOUSE	tr|A0A2K6NQ21|A0A2K6NQ21_RHIRO, tr|A0A2K6NGL1|A0A2K6NGL1_RHIRO, tr|A0A2K6NQZ3|A0A2K6NQZ3_RHIRO, tr|A0A2K6NJG7|A0A2K6NJG7_RHIRO
OG0000554	sp|Q8VEY3|OL958_MOUSE, tr|Q7TRA9|Q7TRA9_MOUSE, tr|Q9EQ84|Q9EQ84_MOUSE, tr|Q8VET5|Q8VET5_MOUSE	tr|A0A2K6NCY3|A0A2K6NCY3_RHIRO
OG0000555	sp|P24823|PPBN_MOUSE, sp|P24822|PPBI_MOUSE, tr|F8VPQ6|F8VPQ6_MOUSE	tr|A0A2K6R687|A0A2K6R687_RHIRO, tr|A0A2K6NZB7|A0A2K6NZB7_RHIRO
OG0000556	sp|Q9D883|U2AF1_MOUSE	tr|A0A2K6NWX9|A0A2K6NWX9_RHIRO
OG0000556	sp|Q8BGJ9|U2AF4_MOUSE	tr|A0A2K6QAT3|A0A2K6QAT3_RHIRO, tr|A0A2K6QBF0|A0A2K6QBF0_RHIRO
OG0000557	tr|Q6UKZ0|Q6UKZ0_MOUSE, tr|G3X9V8|G3X9V8_MOUSE, tr|Q9D1Q5|Q9D1Q5_MOUSE, tr|A2RSF9|A2RSF9_MOUSE	tr|A0A2K6RXT7|A0A2K6RXT7_RHIRO
OG0000558	sp|A6H6T1|PRS40_MOUSE, sp|O70169|PRS39_MOUSE, tr|A0A0N4SVQ0|A0A0N4SVQ0_MOUSE, sp|Q3UKY7|PRS38_MOUSE	tr|A0A2K6PIM6|A0A2K6PIM6_RHIRO
OG0000559	sp|P15116|CADH2_MOUSE	tr|A0A2K6R4K5|A0A2K6R4K5_RHIRO
OG0000559	sp|P59862|CAD26_MOUSE, sp|P39038|CADH4_MOUSE	tr|A0A2K6P2W3|A0A2K6P2W3_RHIRO
OG0000560	sp|P26443|DHE3_MOUSE	tr|A0A2K6PL15|A0A2K6PL15_RHIRO, tr|A0A2K6R6U8|A0A2K6R6U8_RHIRO, tr|A0A2K6NSJ9|A0A2K6NSJ9_RHIRO, tr|A0A2K6QQ08|A0A2K6QQ08_RHIRO
OG0000561	sp|Q8K2Z8|UB2Q2_MOUSE	tr|A0A2K6PNS8|A0A2K6PNS8_RHIRO
OG0000561	tr|Q8BW45|Q8BW45_MOUSE, sp|Q7TSS2|UB2Q1_MOUSE	tr|A0A2K6Q7H2|A0A2K6Q7H2_RHIRO
OG0000562	tr|Q8BVJ3|Q8BVJ3_MOUSE	tr|A0A2K6PA82|A0A2K6PA82_RHIRO
OG0000562	sp|Q9QXZ0|MACF1_MOUSE, sp|Q91ZU6|DYST_MOUSE	tr|A0A2K6RN78|A0A2K6RN78_RHIRO
OG0000563	tr|A0A1B0GSJ4|A0A1B0GSJ4_MOUSE	tr|A0A2K6R9Y6|A0A2K6R9Y6_RHIRO
OG0000563	sp|Q5SW25|P12L2_MOUSE, sp|Q8K3Z9|PO121_MOUSE	tr|A0A2K6RRX8|A0A2K6RRX8_RHIRO
OG0000564	sp|P98199|AT8B2_MOUSE	tr|A0A2K6NWY9|A0A2K6NWY9_RHIRO
OG0000564	sp|A3FIN4|AT8B5_MOUSE, tr|A2ANX3|A2ANX3_MOUSE	tr|A0A2K6R456|A0A2K6R456_RHIRO
OG0000565	sp|P00186|CP1A2_MOUSE	tr|A0A2K6PHN4|A0A2K6PHN4_RHIRO
OG0000565	sp|P00184|CP1A1_MOUSE	tr|A0A2K6Q340|A0A2K6Q340_RHIRO, tr|A0A2K6Q3V3|A0A2K6Q3V3_RHIRO
OG0000566	sp|Q99K85|SERC_MOUSE	tr|A0A2K6PWP3|A0A2K6PWP3_RHIRO, tr|A0A2K6QKF6|A0A2K6QKF6_RHIRO, tr|A0A2K6QL44|A0A2K6QL44_RHIRO, tr|A0A2K6QUB3|A0A2K6QUB3_RHIRO
OG0000567	sp|Q9CR51|VATG1_MOUSE	tr|A0A2K6RT79|A0A2K6RT79_RHIRO, tr|A0A2K6ND58|A0A2K6ND58_RHIRO, tr|A0A2K6QBV4|A0A2K6QBV4_RHIRO, tr|A0A2K6NBQ2|A0A2K6NBQ2_RHIRO
OG0000568	sp|Q9JIP6|FZD2_MOUSE	tr|A0A2K6Q6X4|A0A2K6Q6X4_RHIRO
OG0000568	sp|O70421|FZD1_MOUSE, sp|Q61090|FZD7_MOUSE	tr|A0A2K6Q6Q0|A0A2K6Q6Q0_RHIRO
OG0000570	sp|P36536|SAR1A_MOUSE	tr|A0A2K6RLV2|A0A2K6RLV2_RHIRO
OG0000570	sp|Q9CQC9|SAR1B_MOUSE	tr|A0A2K6QNA8|A0A2K6QNA8_RHIRO, tr|A0A2K6NX08|A0A2K6NX08_RHIRO
OG0000572	sp|Q5DU02|UBP22_MOUSE	tr|A0A2K6PTU0|A0A2K6PTU0_RHIRO
OG0000572	sp|B1AY15|UBP51_MOUSE, sp|Q8CEG8|UBP27_MOUSE	tr|A0A2K6QE20|A0A2K6QE20_RHIRO
OG0000573	sp|Q8R412|IF27A_MOUSE, sp|Q8VC49|IF27B_MOUSE	tr|A0A2K6NTV5|A0A2K6NTV5_RHIRO, tr|A0A2K6Q3E3|A0A2K6Q3E3_RHIRO, tr|A0A2K6PKF6|A0A2K6PKF6_RHIRO
OG0000574	tr|E9Q745|E9Q745_MOUSE, tr|Q6IMK7|Q6IMK7_MOUSE, tr|Q6WIZ7|Q6WIZ7_MOUSE, sp|Q8JZQ5|AOC1_MOUSE	tr|A0A2K6R9V6|A0A2K6R9V6_RHIRO
OG0000575	sp|Q0VBL1|TIGD2_MOUSE	tr|A0A2K6QFD2|A0A2K6QFD2_RHIRO, tr|A0A2K6ND56|A0A2K6ND56_RHIRO, tr|A0A2K6NLN7|A0A2K6NLN7_RHIRO, tr|A0A2K6PMA9|A0A2K6PMA9_RHIRO
OG0000576	sp|Q3UNX5|ACSM3_MOUSE	tr|A0A2K6RQH5|A0A2K6RQH5_RHIRO
OG0000576	sp|Q80W40|ACSM4_MOUSE, sp|Q8K0L3|ACSM2_MOUSE	tr|A0A2K6R4Q5|A0A2K6R4Q5_RHIRO
OG0000579	sp|Q8CB12|GSDC3_MOUSE, sp|Q2KHK6|GSDC2_MOUSE, sp|Q3TR54|GSDC4_MOUSE, sp|Q99NB5|GSDMC_MOUSE	tr|A0A2K6QPT8|A0A2K6QPT8_RHIRO
OG0000580	tr|A0A075B608|A0A075B608_MOUSE, tr|A0A075B646|A0A075B646_MOUSE, tr|A0A0G2JGQ7|A0A0G2JGQ7_MOUSE, tr|A0A075B650|A0A075B650_MOUSE	tr|A0A2K6NR97|A0A2K6NR97_RHIRO
OG0000581	sp|Q9CWH0|DPPA2_MOUSE	tr|A0A2K6QVI8|A0A2K6QVI8_RHIRO, tr|A0A2K6RL60|A0A2K6RL60_RHIRO, tr|A0A2K6RR68|A0A2K6RR68_RHIRO, tr|A0A2K6RTR8|A0A2K6RTR8_RHIRO
OG0000582	sp|Q9D7D2|SPA9_MOUSE	tr|A0A2K6RKQ5|A0A2K6RKQ5_RHIRO
OG0000582	sp|P61939|THBG_MOUSE	tr|A0A2K6NE15|A0A2K6NE15_RHIRO, tr|A0A2K6Q1V9|A0A2K6Q1V9_RHIRO
OG0000583	sp|Q9QXL2|KI21A_MOUSE	tr|A0A2K6Q1U4|A0A2K6Q1U4_RHIRO
OG0000583	sp|Q9QXL1|KI21B_MOUSE	tr|A0A2K6NFH3|A0A2K6NFH3_RHIRO, tr|A0A2K6Q3B5|A0A2K6Q3B5_RHIRO
OG0000584	sp|Q2YFS3|PILRA_MOUSE, sp|Q2YFS2|PILRB_MOUSE, sp|Q2YFS1|PILB2_MOUSE	tr|A0A2K6QF67|A0A2K6QF67_RHIRO, tr|A0A2K6RTR7|A0A2K6RTR7_RHIRO
OG0000585	sp|Q5DU57|SPT13_MOUSE	tr|A0A2K6QPJ4|A0A2K6QPJ4_RHIRO
OG0000585	sp|Q7TNR9|ARHG4_MOUSE, sp|Q3UTH8|ARHG9_MOUSE	tr|A0A2K6Q4I7|A0A2K6Q4I7_RHIRO
OG0000586	sp|Q9CQQ7|AT5F1_MOUSE	tr|A0A2K6R6D9|A0A2K6R6D9_RHIRO, tr|A0A2K6P1C7|A0A2K6P1C7_RHIRO, tr|A0A2K6R223|A0A2K6R223_RHIRO, tr|A0A2K6QCX9|A0A2K6QCX9_RHIRO
OG0000587	sp|Q9CVD2|ATX3_MOUSE	tr|A0A2K6QIY4|A0A2K6QIY4_RHIRO, tr|A0A2K6RGZ4|A0A2K6RGZ4_RHIRO, tr|A0A2K6QCB7|A0A2K6QCB7_RHIRO, tr|A0A2K6PAR1|A0A2K6PAR1_RHIRO
OG0000588	sp|J3QMK6|AL3B3_MOUSE, sp|E9Q3E1|AL3B2_MOUSE	tr|A0A2K6P8H0|A0A2K6P8H0_RHIRO
OG0000588	sp|Q80VQ0|AL3B1_MOUSE	tr|A0A2K6Q3A0|A0A2K6Q3A0_RHIRO
OG0000590	sp|Q9Z0K8|VNN1_MOUSE	tr|A0A2K6RES3|A0A2K6RES3_RHIRO
OG0000590	sp|Q9QZ25|VNN3_MOUSE	tr|A0A2K6QCR1|A0A2K6QCR1_RHIRO, tr|A0A2K6QM90|A0A2K6QM90_RHIRO
OG0000592	sp|Q9ER80|RTP4_MOUSE	tr|A0A2K6NV37|A0A2K6NV37_RHIRO
OG0000592	sp|Q5QGU6|RTP3_MOUSE	tr|A0A2K6NIP2|A0A2K6NIP2_RHIRO, tr|A0A2K6RHB9|A0A2K6RHB9_RHIRO
OG0000593	sp|Q4VK74|IFNL2_MOUSE, sp|Q8CGK6|IFNL3_MOUSE	tr|A0A2K6NYB2|A0A2K6NYB2_RHIRO, tr|A0A2K6RS99|A0A2K6RS99_RHIRO, tr|A0A2K6RQ79|A0A2K6RQ79_RHIRO
OG0000594	sp|Q96EQ9|PRDM9_MOUSE	tr|A0A2K6P0L8|A0A2K6P0L8_RHIRO, tr|A0A2K6P3D4|A0A2K6P3D4_RHIRO, tr|A0A2K6RN75|A0A2K6RN75_RHIRO, tr|A0A2K6PC36|A0A2K6PC36_RHIRO
OG0000595	sp|Q9Z0N2|IF2H_MOUSE	tr|A0A2K6P980|A0A2K6P980_RHIRO
OG0000595	sp|Q9Z0N1|IF2G_MOUSE	tr|A0A2K6NUX7|A0A2K6NUX7_RHIRO, tr|A0A2K6PT88|A0A2K6PT88_RHIRO
OG0000596	sp|O70165|FCN1_MOUSE	tr|A0A2K6PQ80|A0A2K6PQ80_RHIRO
OG0000596	sp|O70497|FCN2_MOUSE	tr|A0A2K6NA97|A0A2K6NA97_RHIRO, tr|A0A2K6QMB1|A0A2K6QMB1_RHIRO
OG0000597	sp|Q9CZ30|OLA1_MOUSE	tr|A0A2K6PKF3|A0A2K6PKF3_RHIRO, tr|A0A2K6NRI0|A0A2K6NRI0_RHIRO, tr|A0A2K6QL71|A0A2K6QL71_RHIRO, tr|A0A2K6QCP0|A0A2K6QCP0_RHIRO
OG0000599	sp|Q71LX4|TLN2_MOUSE	tr|A0A2K6Q2T5|A0A2K6Q2T5_RHIRO
OG0000599	sp|Q9ERE8|TLRN1_MOUSE, sp|P26039|TLN1_MOUSE	tr|A0A2K6Q0V4|A0A2K6Q0V4_RHIRO
OG0000600	sp|Q91YH6|VATB1_MOUSE	tr|A0A2K6QVG7|A0A2K6QVG7_RHIRO
OG0000600	sp|P62814|VATB2_MOUSE	tr|A0A2K6PSY3|A0A2K6PSY3_RHIRO, tr|A0A2K6RJA0|A0A2K6RJA0_RHIRO
OG0000601	sp|Q6ZWV3|RL10_MOUSE	tr|A0A2K6PZF4|A0A2K6PZF4_RHIRO, tr|A0A2K6NJP8|A0A2K6NJP8_RHIRO, tr|A0A2K6NK39|A0A2K6NK39_RHIRO, tr|A0A2K6NZA3|A0A2K6NZA3_RHIRO
OG0000602	sp|P61294|RAB6B_MOUSE	tr|A0A2K6P6X1|A0A2K6P6X1_RHIRO
OG0000602	sp|P35279|RAB6A_MOUSE	tr|A0A2K6PHS4|A0A2K6PHS4_RHIRO, tr|A0A2K6R8M8|A0A2K6R8M8_RHIRO
OG0000604	sp|Q64516|GLPK_MOUSE	tr|A0A2K6P389|A0A2K6P389_RHIRO
OG0000604	tr|Q8C635|Q8C635_MOUSE, sp|Q9WU65|GLPK2_MOUSE	tr|A0A2K6QHW0|A0A2K6QHW0_RHIRO
OG0000605	tr|E9Q3K0|E9Q3K0_MOUSE, tr|E9Q8Z1|E9Q8Z1_MOUSE, tr|E9Q6D3|E9Q6D3_MOUSE, tr|Q9D496|Q9D496_MOUSE	tr|A0A2K6P558|A0A2K6P558_RHIRO
OG0000606	sp|Q6GYP7|RGPA1_MOUSE	tr|A0A2K6PCS0|A0A2K6PCS0_RHIRO
OG0000606	sp|A3KGS3|RGPA2_MOUSE	tr|A0A2K6PDT9|A0A2K6PDT9_RHIRO, tr|A0A2K6QF14|A0A2K6QF14_RHIRO
OG0000607	tr|Q7TNL5|Q7TNL5_MOUSE	tr|A0A2K6R5Y7|A0A2K6R5Y7_RHIRO
OG0000607	sp|Q60996|2A5G_MOUSE	tr|A0A2K6RB52|A0A2K6RB52_RHIRO, tr|A0A2K6RTN0|A0A2K6RTN0_RHIRO
OG0000608	tr|Q8VF62|Q8VF62_MOUSE	tr|A0A2K6QCW2|A0A2K6QCW2_RHIRO, tr|A0A2K6NMI9|A0A2K6NMI9_RHIRO, tr|A0A2K6PSA2|A0A2K6PSA2_RHIRO, tr|A0A2K6NNY9|A0A2K6NNY9_RHIRO
OG0000609	sp|Q99N07|M4A6D_MOUSE, sp|Q99N09|M4A6B_MOUSE, sp|Q99N08|M4A6C_MOUSE	tr|A0A2K6QX72|A0A2K6QX72_RHIRO, tr|A0A2K6QYY5|A0A2K6QYY5_RHIRO
OG0000610	sp|A2BH40|ARI1A_MOUSE	tr|A0A2K6QA92|A0A2K6QA92_RHIRO
OG0000610	sp|E9Q4N7|ARI1B_MOUSE	tr|A0A2K6NYF7|A0A2K6NYF7_RHIRO, tr|A0A2K6RQG5|A0A2K6RQG5_RHIRO
OG0000611	sp|Q8K0H1|S47A1_MOUSE	tr|A0A2K6PBP5|A0A2K6PBP5_RHIRO, tr|A0A2K6PCI9|A0A2K6PCI9_RHIRO
OG0000611	sp|Q3V050|S47A2_MOUSE	tr|A0A2K6NQE5|A0A2K6NQE5_RHIRO
OG0000612	sp|P58545|BTBD3_MOUSE	tr|A0A2K6QCU2|A0A2K6QCU2_RHIRO
OG0000612	sp|Q8K2J9|BTBD6_MOUSE	tr|A0A2K6Q1U7|A0A2K6Q1U7_RHIRO, tr|A0A2K6RI88|A0A2K6RI88_RHIRO
OG0000613	sp|P62515|PO3F4_MOUSE, sp|P31361|PO3F3_MOUSE, sp|P21952|PO3F1_MOUSE, sp|P31360|PO3F2_MOUSE	tr|A0A2K6NLP8|A0A2K6NLP8_RHIRO
OG0000615	sp|Q9CR70|LAGE3_MOUSE	tr|A0A2K6QH08|A0A2K6QH08_RHIRO, tr|A0A2K6NG23|A0A2K6NG23_RHIRO, tr|A0A2K6NQU1|A0A2K6NQU1_RHIRO, tr|A0A2K6PYG6|A0A2K6PYG6_RHIRO
OG0000616	sp|Q9EPR4|S23A2_MOUSE	tr|A0A2K6PSY0|A0A2K6PSY0_RHIRO
