Orthogroup	Mus_musculus	Vombatus_ursinus
OG0002972	tr|Q8VF34|Q8VF34_MOUSE	tr|A0A4X2M2T2|A0A4X2M2T2_VOMUR, tr|A0A4X2M100|A0A4X2M100_VOMUR
OG0002974	sp|Q8VHZ7|IMP4_MOUSE	tr|A0A4X2KZE3|A0A4X2KZE3_VOMUR, tr|A0A4X2KZY2|A0A4X2KZY2_VOMUR
OG0002975	sp|P23804|MDM2_MOUSE	tr|A0A4X2M1A4|A0A4X2M1A4_VOMUR, tr|A0A4X2L9L9|A0A4X2L9L9_VOMUR
OG0002976	sp|Q8VCR8|MYLK2_MOUSE	tr|A0A4X2L9E1|A0A4X2L9E1_VOMUR, tr|A0A4X2K035|A0A4X2K035_VOMUR
OG0002977	sp|Q9D030|TWST2_MOUSE	tr|A0A4X2LQF8|A0A4X2LQF8_VOMUR, tr|A0A4X2KWA2|A0A4X2KWA2_VOMUR
OG0002978	sp|O35929|REM1_MOUSE	tr|A0A4X2L1C5|A0A4X2L1C5_VOMUR, tr|A0A4X2JY01|A0A4X2JY01_VOMUR
OG0002979	sp|P48428|TBCA_MOUSE	tr|A0A4X2KMB1|A0A4X2KMB1_VOMUR, tr|A0A4X2LTJ6|A0A4X2LTJ6_VOMUR
OG0002980	sp|Q570Y9|DPTOR_MOUSE	tr|A0A4X2LII1|A0A4X2LII1_VOMUR, tr|A0A4X2LDZ0|A0A4X2LDZ0_VOMUR
OG0002981	sp|Q8VHI6|WASF3_MOUSE	tr|A0A4X2KCG6|A0A4X2KCG6_VOMUR, tr|A0A4X2LZ27|A0A4X2LZ27_VOMUR
OG0002982	tr|E9PUN6|E9PUN6_MOUSE, sp|P59511|ATS20_MOUSE	tr|A0A4X2KF34|A0A4X2KF34_VOMUR
OG0002984	sp|Q9DB42|ZN593_MOUSE	tr|A0A4X2KGW4|A0A4X2KGW4_VOMUR, tr|A0A4X2LRF6|A0A4X2LRF6_VOMUR
OG0002985	sp|Q9ER69|FL2D_MOUSE	tr|A0A4X2LT05|A0A4X2LT05_VOMUR, tr|A0A4X2LHT8|A0A4X2LHT8_VOMUR
OG0002986	sp|Q9Z2E9|BSCL2_MOUSE	tr|A0A4X2JS60|A0A4X2JS60_VOMUR, tr|A0A4X2LH98|A0A4X2LH98_VOMUR
OG0002987	sp|O70514|FGFP1_MOUSE	tr|A0A4X2JYH2|A0A4X2JYH2_VOMUR, tr|A0A4X2JRN3|A0A4X2JRN3_VOMUR
OG0002988	sp|P50114|S100B_MOUSE, tr|A0A0B4J1F9|A0A0B4J1F9_MOUSE	tr|A0A4X2M1C5|A0A4X2M1C5_VOMUR
OG0002989	tr|Q3ULQ2|Q3ULQ2_MOUSE, sp|Q9QUR7|PIN1_MOUSE	tr|A0A4X2M4F6|A0A4X2M4F6_VOMUR
OG0002990	sp|Q9JJG0|TACC2_MOUSE, sp|Q6Y685|TACC1_MOUSE	tr|A0A4X2KME8|A0A4X2KME8_VOMUR
OG0002991	sp|Q7TPC1|CDSN_MOUSE	tr|A0A4X2L8V4|A0A4X2L8V4_VOMUR, tr|A0A4X2LBW4|A0A4X2LBW4_VOMUR
OG0002992	sp|Q80UG6|ALKL2_MOUSE	tr|A0A4X2KAY8|A0A4X2KAY8_VOMUR, tr|A0A4X2KT51|A0A4X2KT51_VOMUR
OG0002993	tr|Q8VF81|Q8VF81_MOUSE	tr|A0A4X2M7L1|A0A4X2M7L1_VOMUR, tr|A0A4X2M1G1|A0A4X2M1G1_VOMUR
OG0002994	sp|Q8VIG6|TRAIP_MOUSE	tr|A0A4X2LTF4|A0A4X2LTF4_VOMUR, tr|A0A4X2LNW1|A0A4X2LNW1_VOMUR
OG0002995	sp|Q9CWE0|MFR1L_MOUSE	tr|A0A4X2KET6|A0A4X2KET6_VOMUR, tr|A0A4X2M4L5|A0A4X2M4L5_VOMUR
OG0002996	sp|Q9JMA1|UBP14_MOUSE	tr|A0A4X2KTP1|A0A4X2KTP1_VOMUR, tr|A0A4X2M9M0|A0A4X2M9M0_VOMUR
OG0002997	sp|Q9QY76|VAPB_MOUSE, sp|Q9WV55|VAPA_MOUSE	tr|A0A4X2LR20|A0A4X2LR20_VOMUR
OG0002998	sp|P59017|B2L13_MOUSE	tr|A0A4X2KEN3|A0A4X2KEN3_VOMUR, tr|A0A4X2M4U1|A0A4X2M4U1_VOMUR
OG0002999	sp|P62264|RS14_MOUSE	tr|A0A4X2KL90|A0A4X2KL90_VOMUR, tr|A0A4X2KIX2|A0A4X2KIX2_VOMUR
OG0003000	sp|P62911|RL32_MOUSE	tr|A0A4X2LCC0|A0A4X2LCC0_VOMUR, tr|A0A4X2KXT8|A0A4X2KXT8_VOMUR
OG0003001	sp|P62983|RS27A_MOUSE	tr|A0A4X2L3R7|A0A4X2L3R7_VOMUR, tr|A0A4X2LCZ2|A0A4X2LCZ2_VOMUR
OG0003002	tr|G3UWA8|G3UWA8_MOUSE, sp|P83861|QRFPR_MOUSE	tr|A0A4X2L4R9|A0A4X2L4R9_VOMUR
OG0003003	sp|Q3TTA7|CBLB_MOUSE	tr|A0A4X2L8A4|A0A4X2L8A4_VOMUR, tr|A0A4X2K553|A0A4X2K553_VOMUR
OG0003004	sp|Q61180|SCNNA_MOUSE	tr|A0A4X2LZ55|A0A4X2LZ55_VOMUR, tr|A0A4X2LQM9|A0A4X2LQM9_VOMUR
OG0003005	sp|Q6PDH4|RNB3L_MOUSE	tr|A0A4X2LEK5|A0A4X2LEK5_VOMUR, tr|A0A4X2JLW1|A0A4X2JLW1_VOMUR
OG0003006	sp|O09117|SYPL1_MOUSE	tr|A0A4X2KYA1|A0A4X2KYA1_VOMUR, tr|A0A4X2K7F6|A0A4X2K7F6_VOMUR
OG0003007	sp|P54726|RD23A_MOUSE	tr|A0A4X2MCL4|A0A4X2MCL4_VOMUR, tr|A0A4X2L5Z2|A0A4X2L5Z2_VOMUR
OG0003008	sp|Q6NXI6|RPRD2_MOUSE	tr|A0A4X2JRX2|A0A4X2JRX2_VOMUR, tr|A0A4X2LEZ9|A0A4X2LEZ9_VOMUR
OG0003009	sp|Q9DCR2|AP3S1_MOUSE	tr|A0A4X2KN24|A0A4X2KN24_VOMUR, tr|A0A4X2KGL4|A0A4X2KGL4_VOMUR
OG0003010	sp|Q9R1C7|PR40A_MOUSE	tr|A0A4X2M5U7|A0A4X2M5U7_VOMUR, tr|A0A4X2LHY0|A0A4X2LHY0_VOMUR
OG0003011	sp|Q9CQE1|NPS3B_MOUSE, tr|B1AWZ3|B1AWZ3_MOUSE	tr|A0A4X2LB07|A0A4X2LB07_VOMUR
OG0003012	sp|Q99ML2|TNK1_MOUSE, sp|O54967|ACK1_MOUSE	tr|A0A4X2KDP2|A0A4X2KDP2_VOMUR
OG0003013	sp|P39428|TRAF1_MOUSE	tr|A0A4X2LKP8|A0A4X2LKP8_VOMUR, tr|A0A4X2KE34|A0A4X2KE34_VOMUR
OG0003014	sp|P50592|TNF10_MOUSE	tr|A0A4X2L6K2|A0A4X2L6K2_VOMUR, tr|A0A4X2LJ79|A0A4X2LJ79_VOMUR
OG0003015	sp|P97470|PP4C_MOUSE	tr|A0A4X2KHD7|A0A4X2KHD7_VOMUR, tr|A0A4X2L0C4|A0A4X2L0C4_VOMUR
OG0003016	sp|Q62231|SIX1_MOUSE	tr|A0A4X2LPM8|A0A4X2LPM8_VOMUR, tr|A0A4X2LW38|A0A4X2LW38_VOMUR
OG0003017	sp|Q8BGN2|CD033_MOUSE	tr|A0A4X2MEU8|A0A4X2MEU8_VOMUR, tr|A0A4X2M7I6|A0A4X2M7I6_VOMUR
OG0003018	sp|Q8BYK6|YTHD3_MOUSE	tr|A0A4X2JSQ6|A0A4X2JSQ6_VOMUR, tr|A0A4X2L9M3|A0A4X2L9M3_VOMUR
OG0003019	tr|E9Q4X7|E9Q4X7_MOUSE, tr|Q8VH11|Q8VH11_MOUSE	tr|A0A4X2LTM5|A0A4X2LTM5_VOMUR
OG0003020	sp|Q9CPQ8|ATP5L_MOUSE	tr|A0A4X2K8C5|A0A4X2K8C5_VOMUR, tr|A0A4X2KBA2|A0A4X2KBA2_VOMUR
OG0003021	sp|Q61885|MOG_MOUSE, tr|A0A0U1RPM1|A0A0U1RPM1_MOUSE	tr|A0A4X2JUQ6|A0A4X2JUQ6_VOMUR
OG0003022	sp|A6X919|D19L1_MOUSE, sp|P0CW70|D19L2_MOUSE	tr|A0A4X2K3S6|A0A4X2K3S6_VOMUR
OG0003023	tr|D3Z2H9|D3Z2H9_MOUSE	tr|A0A4X2M1J0|A0A4X2M1J0_VOMUR, tr|A0A4X2K4Q0|A0A4X2K4Q0_VOMUR
OG0003024	sp|Q91XF4|RN167_MOUSE	tr|A0A4X2JVE4|A0A4X2JVE4_VOMUR, tr|A0A4X2M322|A0A4X2M322_VOMUR
OG0003025	sp|Q4ACU6|SHAN3_MOUSE, sp|D3YZU1|SHAN1_MOUSE	tr|A0A4X2K3P8|A0A4X2K3P8_VOMUR
OG0003026	sp|Q8BJE2|BTNL9_MOUSE	tr|A0A4X2KR30|A0A4X2KR30_VOMUR, tr|A0A4X2LKU8|A0A4X2LKU8_VOMUR
OG0003027	sp|Q8BMA3|CNKR3_MOUSE	tr|A0A4X2LLD7|A0A4X2LLD7_VOMUR, tr|A0A4X2L4A3|A0A4X2L4A3_VOMUR
OG0003028	sp|P70670|NACAM_MOUSE	tr|A0A4X2MBC3|A0A4X2MBC3_VOMUR, tr|A0A4X2LB92|A0A4X2LB92_VOMUR
OG0003029	sp|Q3TUU5|TEX30_MOUSE	tr|A0A4X2LZ10|A0A4X2LZ10_VOMUR, tr|A0A4X2JZJ4|A0A4X2JZJ4_VOMUR
OG0003030	sp|Q9D187|CIA2B_MOUSE	tr|A0A4X2KTL8|A0A4X2KTL8_VOMUR, tr|A0A4X2KPQ9|A0A4X2KPQ9_VOMUR
OG0003031	sp|O35621|PMM1_MOUSE	tr|A0A4X2JVM6|A0A4X2JVM6_VOMUR, tr|A0A4X2KCW5|A0A4X2KCW5_VOMUR
OG0003032	sp|Q60662|AKAP4_MOUSE	tr|A0A4X2M104|A0A4X2M104_VOMUR, tr|A0A4X2M8P2|A0A4X2M8P2_VOMUR
OG0003033	sp|Q64FW2|RETST_MOUSE	tr|A0A4X2LWF1|A0A4X2LWF1_VOMUR, tr|A0A4X2KZI5|A0A4X2KZI5_VOMUR
OG0003034	sp|Q6P8I6|COX11_MOUSE	tr|A0A4X2LX01|A0A4X2LX01_VOMUR, tr|A0A4X2M512|A0A4X2M512_VOMUR
OG0003035	tr|Q8BGF0|Q8BGF0_MOUSE, sp|Q99KC8|VMA5A_MOUSE	tr|A0A4X2JSQ1|A0A4X2JSQ1_VOMUR
OG0003036	sp|Q8JZN5|ACAD9_MOUSE	tr|A0A4X2LCL9|A0A4X2LCL9_VOMUR, tr|A0A4X2L027|A0A4X2L027_VOMUR
OG0003037	sp|Q91VR2|ATPG_MOUSE	tr|A0A4X2L2P4|A0A4X2L2P4_VOMUR, tr|A0A4X2L856|A0A4X2L856_VOMUR
OG0003038	sp|P47993|XCL1_MOUSE	tr|A0A4X2K7G6|A0A4X2K7G6_VOMUR, tr|A0A4X2K787|A0A4X2K787_VOMUR
OG0003039	sp|Q3U5C8|ARHGG_MOUSE	tr|A0A4X2MA36|A0A4X2MA36_VOMUR, tr|A0A4X2M2K6|A0A4X2M2K6_VOMUR
OG0003040	sp|Q501P1|FBLN7_MOUSE	tr|A0A4X2LA79|A0A4X2LA79_VOMUR, tr|A0A4X2M985|A0A4X2M985_VOMUR
OG0003041	sp|Q6P073|UB2J2_MOUSE	tr|A0A4X2LCC8|A0A4X2LCC8_VOMUR, tr|A0A4X2M3I7|A0A4X2M3I7_VOMUR
OG0003042	sp|Q9CQY9|NDUC1_MOUSE	tr|A0A4X2MEQ6|A0A4X2MEQ6_VOMUR, tr|A0A4X2M7B6|A0A4X2M7B6_VOMUR
OG0003043	sp|P12815|PDCD6_MOUSE	tr|A0A4X2M3H0|A0A4X2M3H0_VOMUR, tr|A0A4X2KK13|A0A4X2KK13_VOMUR
OG0003044	sp|P47911|RL6_MOUSE	tr|A0A4X2K6J7|A0A4X2K6J7_VOMUR, tr|A0A4X2JZG5|A0A4X2JZG5_VOMUR
OG0003045	tr|Q8VF28|Q8VF28_MOUSE, tr|Q7TRR7|Q7TRR7_MOUSE	tr|A0A4X2LH05|A0A4X2LH05_VOMUR
OG0003046	sp|Q9D883|U2AF1_MOUSE	tr|A0A4X2M9T4|A0A4X2M9T4_VOMUR, tr|A0A4X2KXW7|A0A4X2KXW7_VOMUR
OG0003047	tr|M0QWB7|M0QWB7_MOUSE	tr|A0A4X2JZH1|A0A4X2JZH1_VOMUR, tr|A0A4X2K8K3|A0A4X2K8K3_VOMUR
OG0003048	sp|O70302|CIDEA_MOUSE	tr|A0A4X2LS97|A0A4X2LS97_VOMUR, tr|A0A4X2M5V2|A0A4X2M5V2_VOMUR
OG0003049	sp|P35293|RAB18_MOUSE	tr|A0A4X2MD99|A0A4X2MD99_VOMUR, tr|A0A4X2KNJ2|A0A4X2KNJ2_VOMUR
OG0003050	sp|P46662|MERL_MOUSE	tr|A0A4X2KXQ3|A0A4X2KXQ3_VOMUR, tr|A0A4X2K3H6|A0A4X2K3H6_VOMUR
OG0003051	sp|Q3U182|CRTC2_MOUSE	tr|A0A4X2LJZ2|A0A4X2LJZ2_VOMUR, tr|A0A4X2LZ75|A0A4X2LZ75_VOMUR
OG0003052	sp|Q8K480|MFRP_MOUSE, sp|Q8R4W6|PCOC2_MOUSE	tr|A0A4X2KWN6|A0A4X2KWN6_VOMUR
OG0003053	sp|Q61937|NPM_MOUSE	tr|A0A4X2K4Q7|A0A4X2K4Q7_VOMUR, tr|A0A4X2JQC2|A0A4X2JQC2_VOMUR
OG0003054	sp|Q8CGS6|DPOLQ_MOUSE, sp|Q7TQ07|DPOLN_MOUSE	tr|A0A4X2K4M7|A0A4X2K4M7_VOMUR
OG0003055	sp|Q99020|ROAA_MOUSE, sp|Q9D8T7|SLIRP_MOUSE	tr|A0A4X2JM21|A0A4X2JM21_VOMUR
OG0003056	sp|Q9WV95|PHLA3_MOUSE	tr|A0A4X2JT05|A0A4X2JT05_VOMUR, tr|A0A4X2K3M2|A0A4X2K3M2_VOMUR
OG0003057	sp|P70274|SEPP1_MOUSE	tr|A0A4X2LBF8|A0A4X2LBF8_VOMUR, tr|A0A4X2JVP5|A0A4X2JVP5_VOMUR
OG0003058	sp|Q3UA37|QRIC1_MOUSE	tr|A0A4X2LJ63|A0A4X2LJ63_VOMUR, tr|A0A4X2JW73|A0A4X2JW73_VOMUR
OG0003059	sp|Q3V0M2|LRC36_MOUSE, sp|Q9D3R3|CEP72_MOUSE	tr|A0A4X2M4A5|A0A4X2M4A5_VOMUR
OG0003060	sp|Q6GQT5|T151A_MOUSE, sp|Q68FE7|T151B_MOUSE	tr|A0A4X2KA76|A0A4X2KA76_VOMUR
OG0003061	sp|Q8BY71|HAT1_MOUSE	tr|A0A4X2K3R2|A0A4X2K3R2_VOMUR, tr|A0A4X2LLB2|A0A4X2LLB2_VOMUR
OG0003062	sp|Q9D9T0|DYDC1_MOUSE	tr|A0A4X2LBJ1|A0A4X2LBJ1_VOMUR, tr|A0A4X2LMT0|A0A4X2LMT0_VOMUR
OG0003063	sp|Q9WTL7|LYPA2_MOUSE	tr|A0A4X2LS04|A0A4X2LS04_VOMUR, tr|A0A4X2M9I9|A0A4X2M9I9_VOMUR
OG0003064	sp|Q9WUK7|OPN3_MOUSE	tr|A0A4X2L8B3|A0A4X2L8B3_VOMUR, tr|A0A4X2KCC5|A0A4X2KCC5_VOMUR
OG0003065	sp|Q6PGF7|EXOC8_MOUSE	tr|A0A4X2JPW4|A0A4X2JPW4_VOMUR, tr|A0A4X2JPZ7|A0A4X2JPZ7_VOMUR
OG0003066	sp|Q8K190|SMDC1_MOUSE	tr|A0A4X2M2X0|A0A4X2M2X0_VOMUR, tr|A0A4X2LLV5|A0A4X2LLV5_VOMUR
OG0003067	sp|Q99KG3|RBM10_MOUSE	tr|A0A4X2KY49|A0A4X2KY49_VOMUR, tr|A0A4X2LQT3|A0A4X2LQT3_VOMUR
OG0003068	sp|Q99L47|F10A1_MOUSE	tr|A0A4X2K143|A0A4X2K143_VOMUR, tr|A0A4X2LEA0|A0A4X2LEA0_VOMUR
OG0003069	sp|O08914|FAAH1_MOUSE	tr|A0A4X2LPD1|A0A4X2LPD1_VOMUR, tr|A0A4X2LTZ0|A0A4X2LTZ0_VOMUR
OG0003070	sp|P45376|ALDR_MOUSE	tr|A0A4X2L6R5|A0A4X2L6R5_VOMUR, tr|A0A4X2MBZ5|A0A4X2MBZ5_VOMUR
OG0003071	sp|O70622|RTN2_MOUSE	tr|A0A4X2M3R1|A0A4X2M3R1_VOMUR, tr|A0A4X2K4M0|A0A4X2K4M0_VOMUR
OG0003072	sp|Q04742|EMX1_MOUSE	tr|A0A4X2JQQ5|A0A4X2JQQ5_VOMUR, tr|A0A4X2JQT9|A0A4X2JQT9_VOMUR
OG0003073	tr|Q8C8S0|Q8C8S0_MOUSE	tr|A0A4X2LNE8|A0A4X2LNE8_VOMUR, tr|A0A4X2KRG3|A0A4X2KRG3_VOMUR
OG0003074	sp|Q9D937|CK098_MOUSE	tr|A0A4X2M0Y9|A0A4X2M0Y9_VOMUR, tr|A0A4X2JXJ9|A0A4X2JXJ9_VOMUR
OG0003075	sp|Q9JHI7|EXOS9_MOUSE	tr|A0A4X2M0E9|A0A4X2M0E9_VOMUR, tr|A0A4X2KWW7|A0A4X2KWW7_VOMUR
OG0003076	tr|A0A1Y7VMD6|A0A1Y7VMD6_MOUSE	tr|A0A4X2LZH6|A0A4X2LZH6_VOMUR, tr|A0A4X2L8H2|A0A4X2L8H2_VOMUR
OG0003077	sp|Q8CFC2|MYT1_MOUSE, sp|P97500|MYT1L_MOUSE	tr|A0A4X2L7C6|A0A4X2L7C6_VOMUR
OG0003078	sp|Q91W39|NCOA5_MOUSE	tr|A0A4X2LMJ7|A0A4X2LMJ7_VOMUR, tr|A0A4X2LM16|A0A4X2LM16_VOMUR
OG0003079	sp|Q91XV3|BASP1_MOUSE	tr|A0A4X2KPH4|A0A4X2KPH4_VOMUR, tr|A0A4X2L095|A0A4X2L095_VOMUR
OG0003080	sp|Q9D9G3|CHIC2_MOUSE	tr|A0A4X2L7L4|A0A4X2L7L4_VOMUR, tr|A0A4X2KPI4|A0A4X2KPI4_VOMUR
OG0003081	sp|P97478|COQ7_MOUSE	tr|A0A4X2KBX3|A0A4X2KBX3_VOMUR, tr|A0A4X2K5V2|A0A4X2K5V2_VOMUR
OG0003082	sp|Q3TLP5|ECHD2_MOUSE	tr|A0A4X2KVX7|A0A4X2KVX7_VOMUR, tr|A0A4X2KVX4|A0A4X2KVX4_VOMUR
OG0003083	sp|Q60769|TNAP3_MOUSE	tr|A0A4X2M403|A0A4X2M403_VOMUR, tr|A0A4X2LXE2|A0A4X2LXE2_VOMUR
OG0003084	sp|Q64302|T4S1_MOUSE	tr|A0A4X2KY63|A0A4X2KY63_VOMUR, tr|A0A4X2KZ90|A0A4X2KZ90_VOMUR
OG0003085	sp|Q8BI17|SH2D7_MOUSE, sp|Q9QXK9|SH22A_MOUSE	tr|A0A4X2LB91|A0A4X2LB91_VOMUR
OG0003086	sp|Q99L60|VATC2_MOUSE	tr|A0A4X2LRT6|A0A4X2LRT6_VOMUR, tr|A0A4X2LAR5|A0A4X2LAR5_VOMUR
OG0003087	sp|Q9D0I6|WSDU1_MOUSE	tr|A0A4X2LST1|A0A4X2LST1_VOMUR, tr|A0A4X2LCW7|A0A4X2LCW7_VOMUR
OG0003088	sp|Q9JLG8|CAN15_MOUSE	tr|A0A4X2JR91|A0A4X2JR91_VOMUR, tr|A0A4X2L6W4|A0A4X2L6W4_VOMUR
OG0003089	sp|Q9D011|MPLKI_MOUSE, tr|J3QQ10|J3QQ10_MOUSE	tr|A0A4X2L8Y0|A0A4X2L8Y0_VOMUR
OG0003090	sp|O88721|V2R_MOUSE	tr|A0A4X2M382|A0A4X2M382_VOMUR, tr|A0A4X2KRV9|A0A4X2KRV9_VOMUR
OG0003091	sp|Q3TNA1|XYLB_MOUSE	tr|A0A4X2KZP3|A0A4X2KZP3_VOMUR, tr|A0A4X2LUF9|A0A4X2LUF9_VOMUR
OG0003092	sp|Q6IRU2|TPM4_MOUSE	tr|A0A4X2LVT6|A0A4X2LVT6_VOMUR, tr|A0A4X2KR12|A0A4X2KR12_VOMUR
OG0003093	sp|Q91XB7|YIF1A_MOUSE, sp|Q9CX30|YIF1B_MOUSE	tr|A0A4X2LSL9|A0A4X2LSL9_VOMUR
OG0003094	sp|Q3KQP7|SPO16_MOUSE	tr|A0A4X2JWE9|A0A4X2JWE9_VOMUR, tr|A0A4X2LTG5|A0A4X2LTG5_VOMUR
OG0003095	sp|Q91ZP6|NFIP2_MOUSE	tr|A0A4X2LKW5|A0A4X2LKW5_VOMUR, tr|A0A4X2KEY7|A0A4X2KEY7_VOMUR
OG0003096	tr|Q9D2F8|Q9D2F8_MOUSE, sp|Q80Z37|TOPRS_MOUSE	tr|A0A4X2KFE4|A0A4X2KFE4_VOMUR
OG0003097	sp|A2AUY4|BAZ2B_MOUSE	tr|A0A4X2M4I9|A0A4X2M4I9_VOMUR, tr|A0A4X2L5S6|A0A4X2L5S6_VOMUR
OG0003098	tr|E0CYQ0|E0CYQ0_MOUSE	tr|A0A4X2L662|A0A4X2L662_VOMUR, tr|A0A4X2K0I6|A0A4X2K0I6_VOMUR
OG0003099	sp|O35129|PHB2_MOUSE	tr|A0A4X2K9I9|A0A4X2K9I9_VOMUR, tr|A0A4X2K0I3|A0A4X2K0I3_VOMUR
OG0003100	sp|P48318|DCE1_MOUSE	tr|A0A4X2M0S4|A0A4X2M0S4_VOMUR, tr|A0A4X2LQ76|A0A4X2LQ76_VOMUR
OG0003101	sp|Q8BKS9|PUM3_MOUSE	tr|A0A4X2LE68|A0A4X2LE68_VOMUR, tr|A0A4X2KAR6|A0A4X2KAR6_VOMUR
OG0003102	sp|Q91XE8|TM205_MOUSE	tr|A0A4X2KHL0|A0A4X2KHL0_VOMUR, tr|A0A4X2KUP2|A0A4X2KUP2_VOMUR
OG0003103	sp|Q9D8U8|SNX5_MOUSE, sp|Q6P8X1|SNX6_MOUSE	tr|A0A4X2K951|A0A4X2K951_VOMUR
OG0003104	tr|E9PVG0|E9PVG0_MOUSE, sp|Q8BUH7|RNF26_MOUSE	tr|A0A4X2K363|A0A4X2K363_VOMUR
OG0003105	sp|P09022|HXA1_MOUSE	tr|A0A4X2LW79|A0A4X2LW79_VOMUR, tr|A0A4X2KEC6|A0A4X2KEC6_VOMUR
OG0003106	sp|Q5RL79|KTAP2_MOUSE	tr|A0A4X2LDR0|A0A4X2LDR0_VOMUR, tr|A0A4X2LY09|A0A4X2LY09_VOMUR
OG0003107	sp|Q9QZB1|RGS20_MOUSE	tr|A0A4X2JPJ7|A0A4X2JPJ7_VOMUR, tr|A0A4X2KEA4|A0A4X2KEA4_VOMUR
OG0003108	sp|P67871|CSK2B_MOUSE	tr|A0A4X2K199|A0A4X2K199_VOMUR, tr|A0A4X2KUY0|A0A4X2KUY0_VOMUR
OG0003109	sp|P70122|SBDS_MOUSE	tr|A0A4X2K3E3|A0A4X2K3E3_VOMUR, tr|A0A4X2LXY1|A0A4X2LXY1_VOMUR
OG0003110	sp|Q9D6Y7|MSRA_MOUSE	tr|A0A4X2K4V6|A0A4X2K4V6_VOMUR, tr|A0A4X2LDM1|A0A4X2LDM1_VOMUR
OG0003111	sp|Q9ERY9|ERG28_MOUSE	tr|A0A4X2L6W9|A0A4X2L6W9_VOMUR, tr|A0A4X2L580|A0A4X2L580_VOMUR
OG0003112	sp|P51863|VA0D1_MOUSE	tr|A0A4X2L5H3|A0A4X2L5H3_VOMUR, tr|A0A4X2M3N2|A0A4X2M3N2_VOMUR
OG0003113	sp|P97767|EYA1_MOUSE	tr|A0A4X2LL61|A0A4X2LL61_VOMUR, tr|A0A4X2M2W2|A0A4X2M2W2_VOMUR
OG0003114	sp|Q3UGF1|WDR19_MOUSE	tr|A0A4X2KC09|A0A4X2KC09_VOMUR, tr|A0A4X2KC65|A0A4X2KC65_VOMUR
OG0003115	sp|Q9CRZ8|TSPO2_MOUSE	tr|A0A4X2LZ04|A0A4X2LZ04_VOMUR, tr|A0A4X2LS59|A0A4X2LS59_VOMUR
OG0003116	sp|Q9EQ28|DPOD3_MOUSE	tr|A0A4X2LK64|A0A4X2LK64_VOMUR, tr|A0A4X2LBD9|A0A4X2LBD9_VOMUR
OG0003117	sp|P07356|ANXA2_MOUSE	tr|A0A4X2KG59|A0A4X2KG59_VOMUR, tr|A0A4X2L9I5|A0A4X2L9I5_VOMUR
OG0003118	sp|P56501|UCP3_MOUSE	tr|A0A4X2KM37|A0A4X2KM37_VOMUR, tr|A0A4X2LEL6|A0A4X2LEL6_VOMUR
OG0003119	sp|P84228|H32_MOUSE	tr|A0A4X2K8L4|A0A4X2K8L4_VOMUR, tr|A0A4X2KAF6|A0A4X2KAF6_VOMUR
OG0003120	sp|Q8BG28|B3GL2_MOUSE	tr|A0A4X2JYT5|A0A4X2JYT5_VOMUR, tr|A0A4X2JZR7|A0A4X2JZR7_VOMUR
OG0003121	sp|Q9CQ49|NCBP2_MOUSE	tr|A0A4X2LN54|A0A4X2LN54_VOMUR, tr|A0A4X2LLI2|A0A4X2LLI2_VOMUR
OG0003122	sp|Q9DB52|PBIR1_MOUSE	tr|A0A4X2K4C5|A0A4X2K4C5_VOMUR, tr|A0A4X2K489|A0A4X2K489_VOMUR
OG0003123	sp|P14901|HMOX1_MOUSE	tr|A0A4X2K1S2|A0A4X2K1S2_VOMUR, tr|A0A4X2KA46|A0A4X2KA46_VOMUR
OG0003124	sp|Q8BFY6|PEF1_MOUSE	tr|A0A4X2JYA0|A0A4X2JYA0_VOMUR, tr|A0A4X2LNN2|A0A4X2LNN2_VOMUR
OG0003125	sp|Q9CYZ2|TPD54_MOUSE	tr|A0A4X2MFF7|A0A4X2MFF7_VOMUR, tr|A0A4X2L8B6|A0A4X2L8B6_VOMUR
OG0003126	sp|P70460|VASP_MOUSE	tr|A0A4X2LV84|A0A4X2LV84_VOMUR, tr|A0A4X2K6Y2|A0A4X2K6Y2_VOMUR
OG0003127	sp|Q62186|SSRD_MOUSE	tr|A0A4X2LQ79|A0A4X2LQ79_VOMUR, tr|A0A4X2LQT8|A0A4X2LQT8_VOMUR
OG0003128	sp|Q80ZQ0|SACA4_MOUSE	tr|A0A4X2KB61|A0A4X2KB61_VOMUR, tr|A0A4X2LKJ9|A0A4X2LKJ9_VOMUR
OG0003129	sp|Q8K0J2|B3GN7_MOUSE	tr|A0A4X2M7S1|A0A4X2M7S1_VOMUR, tr|A0A4X2M4G9|A0A4X2M4G9_VOMUR
OG0003130	sp|Q9D9D9|CP141_MOUSE	tr|A0A4X2M6T3|A0A4X2M6T3_VOMUR, tr|A0A4X2LGQ8|A0A4X2LGQ8_VOMUR
OG0003131	sp|Q9QXP7|C1QT1_MOUSE	tr|A0A4X2KM18|A0A4X2KM18_VOMUR, tr|A0A4X2LDQ7|A0A4X2LDQ7_VOMUR
OG0003132	sp|Q99N57|RAF1_MOUSE, sp|P04627|ARAF_MOUSE	tr|A0A4X2L8A6|A0A4X2L8A6_VOMUR
OG0003133	sp|P0DPE0|EFMT4_MOUSE	tr|A0A4X2LXG2|A0A4X2LXG2_VOMUR, tr|A0A4X2JXI2|A0A4X2JXI2_VOMUR
OG0003134	sp|P52787|IF_MOUSE	tr|A0A4X2JNZ2|A0A4X2JNZ2_VOMUR, tr|A0A4X2JP09|A0A4X2JP09_VOMUR
