Orthogroup	Mus_musculus	Nyctereutes_procyonoides
OG0000425	tr|E9Q5M9|E9Q5M9_MOUSE	tr|A0A811Z545|A0A811Z545_NYCPR, tr|A0A811Z4X5|A0A811Z4X5_NYCPR, tr|A0A811Z142|A0A811Z142_NYCPR, tr|A0A811Z8C0|A0A811Z8C0_NYCPR, tr|A0A811Y9F5|A0A811Y9F5_NYCPR, tr|A0A811YC20|A0A811YC20_NYCPR, tr|A0A811ZZK0|A0A811ZZK0_NYCPR
OG0000426	sp|Q9CWW6|PIN4_MOUSE	tr|A0A811ZHF0|A0A811ZHF0_NYCPR, tr|A0A811YWX4|A0A811YWX4_NYCPR, tr|A0A811YV61|A0A811YV61_NYCPR, tr|A0A811Y1X5|A0A811Y1X5_NYCPR, tr|A0A811ZCS0|A0A811ZCS0_NYCPR, tr|A0A811XTV6|A0A811XTV6_NYCPR, tr|A0A811YB30|A0A811YB30_NYCPR
OG0000435	tr|Q5SPI8|Q5SPI8_MOUSE, tr|A0A286YDP4|A0A286YDP4_MOUSE, tr|A0A286YD13|A0A286YD13_MOUSE, tr|A0A286YDK0|A0A286YDK0_MOUSE, tr|A0A286YCH8|A0A286YCH8_MOUSE, tr|A0A286YE43|A0A286YE43_MOUSE	tr|A0A811ZFQ6|A0A811ZFQ6_NYCPR
OG0000436	sp|P70372|ELAV1_MOUSE	tr|A0A811ZAE4|A0A811ZAE4_NYCPR, tr|A0A811YGT1|A0A811YGT1_NYCPR, tr|A0A811XW65|A0A811XW65_NYCPR, tr|A0A811YW41|A0A811YW41_NYCPR, tr|A0A811XX98|A0A811XX98_NYCPR, tr|A0A811YS72|A0A811YS72_NYCPR
OG0000437	tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE	tr|A0A811Y490|A0A811Y490_NYCPR, tr|A0A811Y862|A0A811Y862_NYCPR
OG0000437	tr|Q7TRP3|Q7TRP3_MOUSE, tr|Q8VF06|Q8VF06_MOUSE	tr|A0A811Y3L8|A0A811Y3L8_NYCPR
OG0000440	sp|Q6P8U6|LIPP_MOUSE	tr|A0A811ZCN0|A0A811ZCN0_NYCPR
OG0000440	sp|P17892|LIPR2_MOUSE	tr|A0A811ZCS7|A0A811ZCS7_NYCPR
OG0000440	sp|Q5BKQ4|LIPR1_MOUSE	tr|A0A811ZCR2|A0A811ZCR2_NYCPR, tr|A0A811ZCQ0|A0A811ZCQ0_NYCPR
OG0000441	sp|Q5UKY4|MO2R3_MOUSE, sp|Q6XJV6|MO2R2_MOUSE, sp|Q6XJV4|MO2R4_MOUSE, sp|Q8BTP3|MO2R5_MOUSE, sp|Q9ES57|MO2R1_MOUSE	tr|A0A811Y1U1|A0A811Y1U1_NYCPR, tr|A0A811Y236|A0A811Y236_NYCPR
OG0000442	tr|Q80W26|Q80W26_MOUSE, sp|O35744|CHIL3_MOUSE, sp|Q91Z98|CHIL4_MOUSE, tr|A0A0G2JDS2|A0A0G2JDS2_MOUSE, sp|Q9D7Q1|CHIT1_MOUSE, sp|Q91XA9|CHIA_MOUSE	tr|A0A811Z3K3|A0A811Z3K3_NYCPR
OG0000443	sp|Q8BVK9|SP110_MOUSE	tr|A0A811ZDU3|A0A811ZDU3_NYCPR
OG0000443	tr|Q8C898|Q8C898_MOUSE, tr|E9Q422|E9Q422_MOUSE, tr|Q6NSQ5|Q6NSQ5_MOUSE	tr|A0A811ZDH7|A0A811ZDH7_NYCPR, tr|A0A811ZDQ7|A0A811ZDQ7_NYCPR
OG0000444	sp|P05555|ITAM_MOUSE	tr|A0A811Z415|A0A811Z415_NYCPR
OG0000444	sp|Q9QXH4|ITAX_MOUSE	tr|A0A811Z2B5|A0A811Z2B5_NYCPR
OG0000444	sp|Q3V0T4|ITAD_MOUSE	tr|A0A811Z8D2|A0A811Z8D2_NYCPR, tr|A0A811Z582|A0A811Z582_NYCPR
OG0000445	sp|Q60764|MKRN3_MOUSE	tr|A0A811YJQ7|A0A811YJQ7_NYCPR
OG0000445	sp|Q9QXP6|MKRN1_MOUSE	tr|A0A811YF56|A0A811YF56_NYCPR, tr|A0A811Y2M1|A0A811Y2M1_NYCPR, tr|A0A811ZEK4|A0A811ZEK4_NYCPR, tr|A0A811Z1J0|A0A811Z1J0_NYCPR
OG0000446	sp|Q8K440|ABC8B_MOUSE	tr|A0A811XZ46|A0A811XZ46_NYCPR
OG0000446	sp|Q8K441|ABCA6_MOUSE	tr|A0A811XTF4|A0A811XTF4_NYCPR
OG0000446	sp|Q8K449|ABCA9_MOUSE	tr|A0A811XVT5|A0A811XVT5_NYCPR
OG0000447	sp|Q9CVD2|ATX3_MOUSE	tr|A0A811Z8K8|A0A811Z8K8_NYCPR, tr|A0A811XPV7|A0A811XPV7_NYCPR, tr|A0A811YNR5|A0A811YNR5_NYCPR, tr|A0A811ZY24|A0A811ZY24_NYCPR, tr|A0A811YR45|A0A811YR45_NYCPR, tr|A0A811YQA6|A0A811YQA6_NYCPR
OG0000448	sp|Q9WTU6|MK09_MOUSE	tr|A0A811YVA2|A0A811YVA2_NYCPR, tr|A0A811ZHB2|A0A811ZHB2_NYCPR
OG0000448	sp|Q61831|MK10_MOUSE	tr|A0A811ZXM9|A0A811ZXM9_NYCPR
OG0000448	sp|Q91Y86|MK08_MOUSE	tr|A0A811ZC17|A0A811ZC17_NYCPR
OG0000449	sp|P21812|MCPT4_MOUSE, sp|O35164|MCPT9_MOUSE, sp|Q00356|MCPTX_MOUSE, tr|Q91VB1|Q91VB1_MOUSE, sp|P11034|MCPT1_MOUSE, sp|P15119|MCPT2_MOUSE	tr|A0A811ZT35|A0A811ZT35_NYCPR
OG0000451	tr|Q8VF31|Q8VF31_MOUSE	tr|A0A811YVX5|A0A811YVX5_NYCPR, tr|A0A811YVC3|A0A811YVC3_NYCPR
OG0000451	tr|Q8VF30|Q8VF30_MOUSE	tr|A0A811Z1K7|A0A811Z1K7_NYCPR
OG0000451	tr|Q924H8|Q924H8_MOUSE	tr|A0A811YW14|A0A811YW14_NYCPR
OG0000453	sp|Q91WK5|GCSH_MOUSE	tr|A0A811YYH9|A0A811YYH9_NYCPR, tr|A0A811ZP84|A0A811ZP84_NYCPR, tr|A0A811YJ12|A0A811YJ12_NYCPR, tr|A0A811Y0R5|A0A811Y0R5_NYCPR, tr|A0A811ZXC7|A0A811ZXC7_NYCPR, tr|A0A811ZKL1|A0A811ZKL1_NYCPR
OG0000455	tr|Q7TRV7|Q7TRV7_MOUSE, tr|Q8VGP4|Q8VGP4_MOUSE, tr|Q7TRV8|Q7TRV8_MOUSE	tr|A0A811YVX7|A0A811YVX7_NYCPR, tr|A0A811YT00|A0A811YT00_NYCPR, tr|A0A811YTC3|A0A811YTC3_NYCPR, tr|A0A811Z1S3|A0A811Z1S3_NYCPR
OG0000456	tr|A0A1L1STD5|A0A1L1STD5_MOUSE, tr|A2AV13|A2AV13_MOUSE, tr|A2ATW2|A2ATW2_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE	tr|A0A811Y2J4|A0A811Y2J4_NYCPR
OG0000459	sp|Q811D0|DLG1_MOUSE	tr|A0A811Y528|A0A811Y528_NYCPR
OG0000459	sp|P70175|DLG3_MOUSE	tr|A0A811Z0L5|A0A811Z0L5_NYCPR
OG0000459	sp|Q91XM9|DLG2_MOUSE	tr|A0A811Y7X1|A0A811Y7X1_NYCPR
OG0000461	sp|Q9EP96|SO1A4_MOUSE, sp|Q99J94|SO1A6_MOUSE, tr|L7N264|L7N264_MOUSE, tr|M0QWR8|M0QWR8_MOUSE, sp|Q91YY5|SO1A5_MOUSE, sp|Q9QXZ6|SO1A1_MOUSE	tr|A0A811Y791|A0A811Y791_NYCPR
OG0000462	sp|Q3V0Y1|P4R3C_MOUSE, tr|A2ADI4|A2ADI4_MOUSE	tr|A0A811YWI2|A0A811YWI2_NYCPR
OG0000462	sp|Q6P2K6|P4R3A_MOUSE	tr|A0A811ZIC3|A0A811ZIC3_NYCPR
OG0000462	sp|Q922R5|P4R3B_MOUSE	tr|A0A811YL39|A0A811YL39_NYCPR
OG0000463	sp|P62141|PP1B_MOUSE	tr|A0A811YHV0|A0A811YHV0_NYCPR
OG0000463	sp|P62137|PP1A_MOUSE	tr|A0A811Y325|A0A811Y325_NYCPR
OG0000463	sp|P63087|PP1G_MOUSE	tr|A0A811YC13|A0A811YC13_NYCPR, tr|A0A811YUH3|A0A811YUH3_NYCPR
OG0000465	sp|O54754|AOXA_MOUSE	tr|A0A811ZBB1|A0A811ZBB1_NYCPR
OG0000465	sp|Q5SGK3|AOXB_MOUSE	tr|A0A811ZBD4|A0A811ZBD4_NYCPR
OG0000465	sp|G3X982|AOXC_MOUSE, sp|Q3TYQ9|AOXD_MOUSE	tr|A0A811ZBD1|A0A811ZBD1_NYCPR
OG0000466	tr|F8VQ01|F8VQ01_MOUSE	tr|A0A811Y2C4|A0A811Y2C4_NYCPR
OG0000466	tr|F8VPZ8|F8VPZ8_MOUSE	tr|A0A811Y4E5|A0A811Y4E5_NYCPR, tr|A0A811Y7W8|A0A811Y7W8_NYCPR, tr|A0A811Y8C2|A0A811Y8C2_NYCPR, tr|A0A811Y4Y7|A0A811Y4Y7_NYCPR
OG0000467	sp|P56393|COX7B_MOUSE	tr|A0A811YZ83|A0A811YZ83_NYCPR, tr|A0A811ZRU5|A0A811ZRU5_NYCPR, tr|A0A811YGA7|A0A811YGA7_NYCPR, tr|A0A811Z038|A0A811Z038_NYCPR, tr|A0A811Y4Y4|A0A811Y4Y4_NYCPR, tr|A0A811YJL9|A0A811YJL9_NYCPR
OG0000468	sp|Q3V2C1|KRA93_MOUSE, tr|A2A590|A2A590_MOUSE	tr|A0A811XQX5|A0A811XQX5_NYCPR, tr|A0A811XSW2|A0A811XSW2_NYCPR
OG0000468	tr|A2A588|A2A588_MOUSE	tr|A0A811Y0T8|A0A811Y0T8_NYCPR, tr|A0A811XQU4|A0A811XQU4_NYCPR
OG0000469	sp|P43274|H14_MOUSE	tr|A0A811YEE2|A0A811YEE2_NYCPR, tr|A0A811Y839|A0A811Y839_NYCPR, tr|A0A811YBU9|A0A811YBU9_NYCPR
OG0000469	sp|P43275|H11_MOUSE	tr|A0A811Y9I3|A0A811Y9I3_NYCPR, tr|A0A811YBW8|A0A811YBW8_NYCPR
OG0000470	sp|P35545|UBIM_MOUSE	tr|A0A811XX65|A0A811XX65_NYCPR, tr|A0A811YHM5|A0A811YHM5_NYCPR, tr|A0A811Y366|A0A811Y366_NYCPR, tr|A0A811Y0Y1|A0A811Y0Y1_NYCPR, tr|A0A811ZKX8|A0A811ZKX8_NYCPR, tr|A0A811Z1M8|A0A811Z1M8_NYCPR
OG0000471	sp|P48453|PP2BB_MOUSE	tr|A0A811YFE3|A0A811YFE3_NYCPR
OG0000471	sp|P63328|PP2BA_MOUSE	tr|A0A811Z8W8|A0A811Z8W8_NYCPR
OG0000471	sp|P48455|PP2BC_MOUSE	tr|A0A811ZDP2|A0A811ZDP2_NYCPR, tr|A0A811ZVX1|A0A811ZVX1_NYCPR
OG0000472	tr|B1AVU6|B1AVU6_MOUSE, tr|B1AVU7|B1AVU7_MOUSE, tr|B1ASB3|B1ASB3_MOUSE, tr|B1AVU5|B1AVU5_MOUSE, tr|A2A752|A2A752_MOUSE, sp|Q8BM81|AD4F1_MOUSE	tr|A0A811YNG5|A0A811YNG5_NYCPR
OG0000474	tr|E9Q2B9|E9Q2B9_MOUSE, tr|Q7TRH2|Q7TRH2_MOUSE, tr|Q8VFU4|Q8VFU4_MOUSE	tr|A0A811ZNL8|A0A811ZNL8_NYCPR, tr|A0A811YVI6|A0A811YVI6_NYCPR, tr|A0A811YWA0|A0A811YWA0_NYCPR, tr|A0A811YHB2|A0A811YHB2_NYCPR
OG0000475	sp|P62874|GBB1_MOUSE	tr|A0A811YLV3|A0A811YLV3_NYCPR, tr|A0A811YXU0|A0A811YXU0_NYCPR
OG0000475	sp|P62880|GBB2_MOUSE	tr|A0A811Z2K0|A0A811Z2K0_NYCPR
OG0000475	sp|P29387|GBB4_MOUSE	tr|A0A811ZL20|A0A811ZL20_NYCPR
OG0000476	sp|Q8BGW4|DC122_MOUSE, sp|Q8CBW4|DC121_MOUSE	tr|A0A811YYF3|A0A811YYF3_NYCPR, tr|A0A811YVQ4|A0A811YVQ4_NYCPR, tr|A0A811Z3X1|A0A811Z3X1_NYCPR, tr|A0A811Z6S5|A0A811Z6S5_NYCPR, tr|A0A811Z341|A0A811Z341_NYCPR
OG0000477	sp|Q9D7J4|COX20_MOUSE	tr|A0A811YKB6|A0A811YKB6_NYCPR, tr|A0A811YJP2|A0A811YJP2_NYCPR, tr|A0A811Y0D2|A0A811Y0D2_NYCPR, tr|A0A811ZJI3|A0A811ZJI3_NYCPR, tr|A0A811YGB0|A0A811YGB0_NYCPR, tr|A0A811ZZF9|A0A811ZZF9_NYCPR
OG0000478	sp|P32037|GTR3_MOUSE	tr|A0A811XVP0|A0A811XVP0_NYCPR, tr|A0A811YPR6|A0A811YPR6_NYCPR, tr|A0A811YTC9|A0A811YTC9_NYCPR, tr|A0A811YY61|A0A811YY61_NYCPR, tr|A0A811YR23|A0A811YR23_NYCPR, tr|A0A811YSD8|A0A811YSD8_NYCPR
OG0000479	sp|P56567|CYTA_MOUSE, sp|P35173|CYT3_MOUSE, tr|Q8BWM3|Q8BWM3_MOUSE, sp|P35174|CYT2_MOUSE, tr|Q9D8D6|Q9D8D6_MOUSE, tr|B2RV77|B2RV77_MOUSE	tr|A0A811Y0P0|A0A811Y0P0_NYCPR
OG0000480	sp|P23979|5HT3A_MOUSE	tr|A0A811ZP91|A0A811ZP91_NYCPR, tr|A0A811ZQ08|A0A811ZQ08_NYCPR, tr|A0A811ZQ58|A0A811ZQ58_NYCPR, tr|A0A811ZQP1|A0A811ZQP1_NYCPR, tr|A0A811XXV0|A0A811XXV0_NYCPR, tr|A0A811ZLV1|A0A811ZLV1_NYCPR
OG0000481	tr|Q8VH10|Q8VH10_MOUSE, tr|E9Q985|E9Q985_MOUSE, tr|Q8VH08|Q8VH08_MOUSE	tr|A0A811ZNB6|A0A811ZNB6_NYCPR, tr|A0A811ZN72|A0A811ZN72_NYCPR, tr|A0A811ZN27|A0A811ZN27_NYCPR, tr|A0A811ZPD0|A0A811ZPD0_NYCPR
OG0000482	tr|A0A2I3BPQ2|A0A2I3BPQ2_MOUSE, tr|A0A2I3BRN4|A0A2I3BRN4_MOUSE	tr|A0A811YSW2|A0A811YSW2_NYCPR
OG0000482	tr|A0A2I3BPX0|A0A2I3BPX0_MOUSE	tr|A0A811YTT8|A0A811YTT8_NYCPR, tr|A0A811YQ68|A0A811YQ68_NYCPR, tr|A0A811YWV6|A0A811YWV6_NYCPR
OG0000484	tr|Q497M0|Q497M0_MOUSE, tr|Q9D519|Q9D519_MOUSE, tr|A2ARK7|A2ARK7_MOUSE, tr|Q9D4X6|Q9D4X6_MOUSE, tr|A2BEE3|A2BEE3_MOUSE, tr|A2BED8|A2BED8_MOUSE	tr|A0A811YZ57|A0A811YZ57_NYCPR
OG0000486	tr|Q7TQT8|Q7TQT8_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE	tr|A0A811YT74|A0A811YT74_NYCPR
OG0000487	tr|Q8VFU6|Q8VFU6_MOUSE, tr|Q8VFU7|Q8VFU7_MOUSE	tr|A0A811Z2G8|A0A811Z2G8_NYCPR, tr|A0A811YZX5|A0A811YZX5_NYCPR, tr|A0A811YVW4|A0A811YVW4_NYCPR, tr|A0A811XVZ6|A0A811XVZ6_NYCPR, tr|A0A811YYL5|A0A811YYL5_NYCPR
OG0000488	sp|Q8BLF2|CDKL3_MOUSE	tr|A0A811ZGV6|A0A811ZGV6_NYCPR
OG0000488	sp|P62715|PP2AB_MOUSE	tr|A0A811YYG9|A0A811YYG9_NYCPR
OG0000488	sp|P63330|PP2AA_MOUSE	tr|A0A811ZP14|A0A811ZP14_NYCPR
OG0000489	sp|Q3UP24|NLRC4_MOUSE, sp|Q9QUK4|BIR1B_MOUSE, sp|Q9R016|BIR1E_MOUSE, sp|Q9JIB3|BIR1G_MOUSE, sp|Q9JIB6|BIR1F_MOUSE, sp|Q9QWK5|BIR1A_MOUSE	tr|A0A811YMK8|A0A811YMK8_NYCPR
OG0000490	sp|O08528|HXK2_MOUSE	tr|A0A811ZWP9|A0A811ZWP9_NYCPR
OG0000490	sp|Q91W97|HKDC1_MOUSE	tr|A0A811YHG7|A0A811YHG7_NYCPR
OG0000490	sp|P17710|HXK1_MOUSE	tr|A0A811YZS0|A0A811YZS0_NYCPR, tr|A0A811YMV2|A0A811YMV2_NYCPR
OG0000491	tr|Q7TS32|Q7TS32_MOUSE, tr|Q7TS33|Q7TS33_MOUSE	tr|A0A811ZBZ3|A0A811ZBZ3_NYCPR
OG0000491	tr|Q8VF82|Q8VF82_MOUSE	tr|A0A811ZBZ4|A0A811ZBZ4_NYCPR
OG0000491	tr|Q8VG27|Q8VG27_MOUSE	tr|A0A811ZC36|A0A811ZC36_NYCPR
OG0000492	sp|P63034|CYH2_MOUSE	tr|A0A811ZW89|A0A811ZW89_NYCPR
OG0000492	sp|Q9QX11|CYH1_MOUSE	tr|A0A811XW78|A0A811XW78_NYCPR
OG0000492	sp|O08967|CYH3_MOUSE	tr|A0A811Z1G0|A0A811Z1G0_NYCPR, tr|A0A811ZGQ1|A0A811ZGQ1_NYCPR
OG0000493	sp|Q811D2|ANR26_MOUSE	tr|A0A811ZQW0|A0A811ZQW0_NYCPR
OG0000493	tr|Q9D5T2|Q9D5T2_MOUSE	tr|A0A811YNK1|A0A811YNK1_NYCPR, tr|A0A811Y286|A0A811Y286_NYCPR, tr|A0A811YUR7|A0A811YUR7_NYCPR, tr|A0A811ZPN8|A0A811ZPN8_NYCPR
OG0000494	tr|Q8VGV8|Q8VGV8_MOUSE	tr|A0A811Y487|A0A811Y487_NYCPR, tr|A0A811Y6G1|A0A811Y6G1_NYCPR
OG0000494	tr|Q7TRR4|Q7TRR4_MOUSE	tr|A0A811Y8I6|A0A811Y8I6_NYCPR, tr|A0A811Y823|A0A811Y823_NYCPR, tr|A0A811Y2C8|A0A811Y2C8_NYCPR
OG0000495	sp|Q3U497|CLM7_MOUSE	tr|A0A811XVW4|A0A811XVW4_NYCPR, tr|A0A811XUG2|A0A811XUG2_NYCPR, tr|A0A811XTI2|A0A811XTI2_NYCPR, tr|A0A811Y3E4|A0A811Y3E4_NYCPR, tr|A0A811XXN5|A0A811XXN5_NYCPR, tr|A0A811XZN5|A0A811XZN5_NYCPR
OG0000496	sp|O70291|GRK4_MOUSE	tr|A0A811YEQ8|A0A811YEQ8_NYCPR
OG0000496	sp|O70293|GRK6_MOUSE	tr|A0A811YF37|A0A811YF37_NYCPR
OG0000496	sp|Q8VEB1|GRK5_MOUSE	tr|A0A811ZD13|A0A811ZD13_NYCPR
OG0000497	sp|P47964|RL36_MOUSE	tr|A0A811ZAM1|A0A811ZAM1_NYCPR, tr|A0A811ZIM1|A0A811ZIM1_NYCPR, tr|A0A811YLG3|A0A811YLG3_NYCPR, tr|A0A811ZRU8|A0A811ZRU8_NYCPR, tr|A0A811YDA7|A0A811YDA7_NYCPR, tr|A0A811ZRM9|A0A811ZRM9_NYCPR
OG0000498	sp|Q61233|PLSL_MOUSE	tr|A0A811Z249|A0A811Z249_NYCPR
OG0000498	sp|Q3V0K9|PLSI_MOUSE	tr|A0A811Y7I4|A0A811Y7I4_NYCPR
OG0000498	sp|Q99K51|PLST_MOUSE	tr|A0A811ZQB3|A0A811ZQB3_NYCPR, tr|A0A811YYL8|A0A811YYL8_NYCPR
OG0000499	sp|P49722|PSA2_MOUSE	tr|A0A811XQ47|A0A811XQ47_NYCPR, tr|A0A811ZPQ8|A0A811ZPQ8_NYCPR, tr|A0A811XRE0|A0A811XRE0_NYCPR, tr|A0A811ZJV7|A0A811ZJV7_NYCPR, tr|A0A811Y6K3|A0A811Y6K3_NYCPR, tr|A0A811ZE47|A0A811ZE47_NYCPR
OG0000500	sp|Q0VG62|RBIS_MOUSE	tr|A0A811ZXM0|A0A811ZXM0_NYCPR, tr|A0A811ZQF2|A0A811ZQF2_NYCPR, tr|A0A811YGX3|A0A811YGX3_NYCPR, tr|A0A811YR20|A0A811YR20_NYCPR, tr|A0A811ZS06|A0A811ZS06_NYCPR, tr|A0A811ZNG2|A0A811ZNG2_NYCPR
OG0000501	tr|J3QMS2|J3QMS2_MOUSE	tr|A0A811ZTI3|A0A811ZTI3_NYCPR
OG0000501	sp|E9QAF0|SPT31_MOUSE	tr|A0A811ZT50|A0A811ZT50_NYCPR, tr|A0A811ZTX9|A0A811ZTX9_NYCPR, tr|A0A811ZUT4|A0A811ZUT4_NYCPR, tr|A0A811ZSZ8|A0A811ZSZ8_NYCPR
OG0000502	sp|P60766|CDC42_MOUSE	tr|A0A811YLM0|A0A811YLM0_NYCPR, tr|A0A811YCT8|A0A811YCT8_NYCPR, tr|A0A811Z1I4|A0A811Z1I4_NYCPR, tr|A0A811YTS3|A0A811YTS3_NYCPR, tr|A0A811YU71|A0A811YU71_NYCPR, tr|A0A811YAF2|A0A811YAF2_NYCPR
OG0000503	sp|Q62440|TLE1_MOUSE	tr|A0A811ZRR4|A0A811ZRR4_NYCPR
OG0000503	sp|Q08122|TLE3_MOUSE	tr|A0A811Y6Y5|A0A811Y6Y5_NYCPR
OG0000503	sp|P63002|TLE5_MOUSE, sp|Q62441|TLE4_MOUSE	tr|A0A811ZT84|A0A811ZT84_NYCPR
OG0000504	sp|P62717|RL18A_MOUSE	tr|A0A811YGX2|A0A811YGX2_NYCPR, tr|A0A811Z9H6|A0A811Z9H6_NYCPR, tr|A0A811YHH0|A0A811YHH0_NYCPR, tr|A0A811Y2Z5|A0A811Y2Z5_NYCPR, tr|A0A811Z1I6|A0A811Z1I6_NYCPR, tr|A0A811ZTA7|A0A811ZTA7_NYCPR
OG0000505	sp|P09041|PGK2_MOUSE	tr|A0A811YP45|A0A811YP45_NYCPR
OG0000505	sp|P09411|PGK1_MOUSE	tr|A0A811Z642|A0A811Z642_NYCPR, tr|A0A811YML0|A0A811YML0_NYCPR, tr|A0A811XQ69|A0A811XQ69_NYCPR, tr|A0A811Z5G4|A0A811Z5G4_NYCPR
OG0000506	sp|P97766|CFC1_MOUSE	tr|A0A811XYU4|A0A811XYU4_NYCPR
OG0000506	sp|P51865|TDGF1_MOUSE	tr|A0A811Z348|A0A811Z348_NYCPR, tr|A0A811Y902|A0A811Y902_NYCPR, tr|A0A811ZEL1|A0A811ZEL1_NYCPR, tr|A0A811Z982|A0A811Z982_NYCPR
OG0000507	sp|Q6ZWV7|RL35_MOUSE	tr|A0A811Z293|A0A811Z293_NYCPR, tr|A0A811YXR6|A0A811YXR6_NYCPR, tr|A0A811YL81|A0A811YL81_NYCPR, tr|A0A811YU80|A0A811YU80_NYCPR, tr|A0A811Y9Y3|A0A811Y9Y3_NYCPR, tr|A0A811XV58|A0A811XV58_NYCPR
OG0000508	sp|Q9D504|ANKR7_MOUSE	tr|A0A811YV59|A0A811YV59_NYCPR, tr|A0A811YR92|A0A811YR92_NYCPR, tr|A0A811XPM1|A0A811XPM1_NYCPR, tr|A0A811ZR64|A0A811ZR64_NYCPR, tr|A0A811YVB0|A0A811YVB0_NYCPR, tr|A0A811YRF2|A0A811YRF2_NYCPR
OG0000509	sp|Q07104|GDF3_MOUSE	tr|A0A811YRE7|A0A811YRE7_NYCPR, tr|A0A811YSC7|A0A811YSC7_NYCPR, tr|A0A811YSE8|A0A811YSE8_NYCPR, tr|A0A811XW47|A0A811XW47_NYCPR, tr|A0A811XPP6|A0A811XPP6_NYCPR, tr|A0A811XPK7|A0A811XPK7_NYCPR
OG0000510	sp|P28656|NP1L1_MOUSE	tr|A0A811YPG3|A0A811YPG3_NYCPR, tr|A0A811Z6R9|A0A811Z6R9_NYCPR, tr|A0A811Y9C7|A0A811Y9C7_NYCPR, tr|A0A811YYN3|A0A811YYN3_NYCPR, tr|A0A811Z1F6|A0A811Z1F6_NYCPR, tr|A0A811Z0K0|A0A811Z0K0_NYCPR
OG0000511	tr|A2A4E2|A2A4E2_MOUSE	tr|A0A811ZSV3|A0A811ZSV3_NYCPR, tr|A0A811Y562|A0A811Y562_NYCPR, tr|A0A811Y2G0|A0A811Y2G0_NYCPR, tr|A0A811Y2K5|A0A811Y2K5_NYCPR, tr|A0A811YTK0|A0A811YTK0_NYCPR, tr|A0A811YW65|A0A811YW65_NYCPR
OG0000512	sp|Q9ER69|FL2D_MOUSE	tr|A0A811ZSK9|A0A811ZSK9_NYCPR, tr|A0A811Y115|A0A811Y115_NYCPR, tr|A0A811Z7P6|A0A811Z7P6_NYCPR, tr|A0A811ZXY1|A0A811ZXY1_NYCPR, tr|A0A811ZVQ5|A0A811ZVQ5_NYCPR, tr|A0A811YPB9|A0A811YPB9_NYCPR
OG0000513	tr|Q8VGP1|Q8VGP1_MOUSE	tr|A0A811Y0R1|A0A811Y0R1_NYCPR, tr|A0A811Y6A3|A0A811Y6A3_NYCPR, tr|A0A811XZ08|A0A811XZ08_NYCPR, tr|A0A811XY66|A0A811XY66_NYCPR, tr|A0A811Y2H7|A0A811Y2H7_NYCPR, tr|A0A811Y0Q1|A0A811Y0Q1_NYCPR
OG0000514	tr|Q9D6S9|Q9D6S9_MOUSE	tr|A0A811ZYR6|A0A811ZYR6_NYCPR, tr|A0A811ZZL9|A0A811ZZL9_NYCPR, tr|A0A811ZY71|A0A811ZY71_NYCPR, tr|A0A811ZY41|A0A811ZY41_NYCPR, tr|A0A811ZWH1|A0A811ZWH1_NYCPR, tr|A0A811ZWE5|A0A811ZWE5_NYCPR
OG0000515	sp|Q9WV84|NDKM_MOUSE	tr|A0A811ZCF7|A0A811ZCF7_NYCPR, tr|A0A811Z0Y9|A0A811Z0Y9_NYCPR, tr|A0A811Z706|A0A811Z706_NYCPR, tr|A0A811YTM9|A0A811YTM9_NYCPR, tr|A0A811YWZ4|A0A811YWZ4_NYCPR, tr|A0A811ZGK2|A0A811ZGK2_NYCPR
OG0000516	sp|Q791V5|MTCH2_MOUSE	tr|A0A811ZHI2|A0A811ZHI2_NYCPR, tr|A0A811XY96|A0A811XY96_NYCPR, tr|A0A811Z8P3|A0A811Z8P3_NYCPR, tr|A0A811YV99|A0A811YV99_NYCPR, tr|A0A811ZJA9|A0A811ZJA9_NYCPR, tr|A0A811Z351|A0A811Z351_NYCPR
OG0000532	tr|A2AMW3|A2AMW3_MOUSE	tr|A0A811Z2C8|A0A811Z2C8_NYCPR
OG0000532	sp|P27681|GBRG3_MOUSE	tr|A0A811YIX1|A0A811YIX1_NYCPR
OG0000532	sp|P22723|GBRG2_MOUSE	tr|A0A811YD47|A0A811YD47_NYCPR
OG0000533	sp|P00860|DCOR_MOUSE	tr|A0A811ZSD0|A0A811ZSD0_NYCPR, tr|A0A811Y0H9|A0A811Y0H9_NYCPR, tr|A0A811YFI0|A0A811YFI0_NYCPR
OG0000533	tr|Q3UNZ2|Q3UNZ2_MOUSE	tr|A0A811YM93|A0A811YM93_NYCPR
OG0000534	sp|Q60934|GRIK1_MOUSE	tr|A0A811ZY32|A0A811ZY32_NYCPR
OG0000534	sp|P39087|GRIK2_MOUSE	tr|A0A811YPS2|A0A811YPS2_NYCPR
OG0000534	sp|B1AS29|GRIK3_MOUSE	tr|A0A811Z741|A0A811Z741_NYCPR
