Orthogroup	Mus_musculus	Mustela_putorius_furo
OG0003597	sp|Q99N95|RM03_MOUSE	tr|M3YF70|M3YF70_MUSPF
OG0003598	sp|Q9CPZ6|ORML3_MOUSE	tr|M3YU45|M3YU45_MUSPF
OG0003599	sp|Q9CX19|F162B_MOUSE	tr|M3YS28|M3YS28_MUSPF
OG0003600	sp|Q9CXZ1|NDUS4_MOUSE	tr|A0A8U0SNG2|A0A8U0SNG2_MUSPF
OG0003601	sp|Q9CYH6|RRS1_MOUSE	tr|M3Z4J5|M3Z4J5_MUSPF
OG0003602	sp|Q9D0L8|MCES_MOUSE	tr|M3XYX8|M3XYX8_MUSPF
OG0003603	sp|Q9D2G9|HIPL2_MOUSE	tr|A0A8U0V219|A0A8U0V219_MUSPF
OG0003604	sp|Q9EQF2|KELL_MOUSE	tr|A0A8U0VBA2|A0A8U0VBA2_MUSPF
OG0003605	sp|Q9ESY9|GILT_MOUSE	tr|A0A8U0SZH8|A0A8U0SZH8_MUSPF
OG0003606	sp|Q9JIE6|TSLP_MOUSE	tr|A0A8U0SJZ2|A0A8U0SJZ2_MUSPF
OG0003607	sp|Q9JJB9|TM183_MOUSE	tr|A0A8U0V255|A0A8U0V255_MUSPF
OG0003608	sp|Q9JJI8|RL38_MOUSE	tr|A0A8U0V662|A0A8U0V662_MUSPF
OG0003609	sp|Q9JK84|PAR6G_MOUSE	tr|A0A8U0SFP8|A0A8U0SFP8_MUSPF
OG0003610	sp|Q9Z138|ROR2_MOUSE	tr|A0A8U0S9I9|A0A8U0S9I9_MUSPF
OG0003611	sp|Q9Z2M6|UBL3_MOUSE	tr|M3XZV1|M3XZV1_MUSPF
OG0003612	sp|A2AUM9|CE152_MOUSE	tr|M3YLK1|M3YLK1_MUSPF
OG0003613	sp|A3KGF7|PLCB2_MOUSE	tr|M3YAI4|M3YAI4_MUSPF
OG0003614	tr|E0CXC6|E0CXC6_MOUSE	tr|A0A8U0SXB5|A0A8U0SXB5_MUSPF
OG0003615	sp|E9Q6W4|ZN296_MOUSE	tr|A0A8U0T1M9|A0A8U0T1M9_MUSPF
OG0003616	tr|F6XJP7|F6XJP7_MOUSE	tr|A0A8U0UU22|A0A8U0UU22_MUSPF
OG0003617	sp|F8VPZ9|BICRA_MOUSE	tr|A0A8U0RZ47|A0A8U0RZ47_MUSPF
OG0003618	sp|O70137|ALX3_MOUSE	tr|A0A8U0N6Z2|A0A8U0N6Z2_MUSPF
OG0003619	sp|O88335|KCNJ1_MOUSE	tr|A0A8U0T0U2|A0A8U0T0U2_MUSPF
OG0003620	sp|O88533|DDC_MOUSE	tr|M3Z385|M3Z385_MUSPF
OG0003621	sp|O89023|TPP1_MOUSE	tr|M3Y288|M3Y288_MUSPF
OG0003622	sp|P12367|KAP2_MOUSE	tr|A0A8U0S4F5|A0A8U0S4F5_MUSPF
OG0003623	sp|P47879|IBP4_MOUSE	tr|A0A8U0N347|A0A8U0N347_MUSPF
OG0003624	sp|P60840|ENSA_MOUSE	tr|A0A8U0NCN0|A0A8U0NCN0_MUSPF
OG0003625	sp|Q02858|TIE2_MOUSE	tr|A0A8U0N004|A0A8U0N004_MUSPF
OG0003626	sp|Q05020|APOC2_MOUSE	tr|M3Y458|M3Y458_MUSPF
OG0003627	sp|Q3UM18|LSG1_MOUSE	tr|M3XXA4|M3XXA4_MUSPF
OG0003628	tr|Q3UTB2|Q3UTB2_MOUSE	tr|M3XZN4|M3XZN4_MUSPF
OG0003629	sp|Q3ZRW6|CLUL1_MOUSE	tr|M3Y239|M3Y239_MUSPF
OG0003630	sp|Q499E5|STOX2_MOUSE	tr|A0A8U0USH0|A0A8U0USH0_MUSPF
OG0003632	sp|Q5DTY9|KCD16_MOUSE	tr|A0A8U0SS09|A0A8U0SS09_MUSPF
OG0003633	sp|Q5F2L2|FUT10_MOUSE	tr|A0A8U0USF4|A0A8U0USF4_MUSPF
OG0003634	sp|Q61371|IFT88_MOUSE	tr|A0A8U0UTR5|A0A8U0UTR5_MUSPF
OG0003635	tr|Q68FM7|Q68FM7_MOUSE	tr|A0A8U0T693|A0A8U0T693_MUSPF
OG0003636	sp|Q6A0D4|RFTN1_MOUSE	tr|A0A8U0VAF2|A0A8U0VAF2_MUSPF
OG0003637	sp|Q6HA09|ASTL_MOUSE	tr|A0A8U0N903|A0A8U0N903_MUSPF
OG0003638	sp|Q6P6I6|GRL1A_MOUSE	tr|M3XZ80|M3XZ80_MUSPF
OG0003639	sp|Q80TS5|ZN423_MOUSE	tr|M3XVE4|M3XVE4_MUSPF
OG0003640	sp|Q80ZQ5|JAZF1_MOUSE	tr|A0A8U0R6U7|A0A8U0R6U7_MUSPF
OG0003641	sp|Q8BGI3|INSI1_MOUSE	tr|A0A8U0V8Y8|A0A8U0V8Y8_MUSPF
OG0003642	sp|Q8BGN8|SYNPR_MOUSE	tr|A0A8U0MDT6|A0A8U0MDT6_MUSPF
OG0003643	sp|Q8BHE5|BMP3_MOUSE	tr|A0A8U0RT58|A0A8U0RT58_MUSPF
OG0003644	sp|Q8BIF2|RFOX3_MOUSE	tr|A0A8U0V6J6|A0A8U0V6J6_MUSPF
OG0003645	sp|Q8BJ25|THAP3_MOUSE	tr|A0A8U0R823|A0A8U0R823_MUSPF
OG0003646	sp|Q8BQ33|TICRR_MOUSE	tr|A0A8U0T0H6|A0A8U0T0H6_MUSPF
OG0003647	sp|Q8BQH4|UBAD2_MOUSE	tr|A0A8U0SFM1|A0A8U0SFM1_MUSPF
OG0003648	sp|Q8C092|TAF5_MOUSE	tr|A0A8U0TCY3|A0A8U0TCY3_MUSPF
OG0003649	sp|Q8CBY8|DCTN4_MOUSE	tr|M3YQL5|M3YQL5_MUSPF
OG0003650	sp|Q8CFQ3|AQR_MOUSE	tr|A0A8U0SUV0|A0A8U0SUV0_MUSPF
OG0003651	sp|Q8K0Y7|PAXX_MOUSE	tr|A0A8U0V5I8|A0A8U0V5I8_MUSPF
OG0003652	sp|Q8K1A5|TM41B_MOUSE	tr|M3YMX9|M3YMX9_MUSPF
OG0003653	sp|Q8K2I4|MANBA_MOUSE	tr|A0A8U0MN97|A0A8U0MN97_MUSPF
OG0003654	sp|Q8K2W3|TXD11_MOUSE	tr|A0A8U0UTI7|A0A8U0UTI7_MUSPF
OG0003655	sp|Q8R0W1|CIPC_MOUSE	tr|M3YC12|M3YC12_MUSPF
OG0003656	sp|Q8VC12|HUTU_MOUSE	tr|A0A8U0SNZ3|A0A8U0SNZ3_MUSPF
OG0003657	sp|Q8VDM1|ZGPAT_MOUSE	tr|A0A8U0RME8|A0A8U0RME8_MUSPF
OG0003658	sp|Q8VDQ1|PTGR2_MOUSE	tr|A0A8U0UTV2|A0A8U0UTV2_MUSPF
OG0003659	sp|Q91VA0|ACSM1_MOUSE	tr|M3YP30|M3YP30_MUSPF
OG0003660	sp|Q91VN4|MIC25_MOUSE	tr|A0A8U0NSJ1|A0A8U0NSJ1_MUSPF
OG0003661	sp|Q922E4|PCY2_MOUSE	tr|A0A8U0SES9|A0A8U0SES9_MUSPF
OG0003662	sp|Q99MV1|TDRD1_MOUSE	tr|A0A8U0RKN2|A0A8U0RKN2_MUSPF
OG0003663	sp|Q99N11|DUS22_MOUSE	tr|A0A8U0VB74|A0A8U0VB74_MUSPF
OG0003664	sp|Q99PI8|RTN4R_MOUSE	tr|M3XYT4|M3XYT4_MUSPF
OG0003665	sp|Q9CQ22|LTOR1_MOUSE	tr|M3YFV8|M3YFV8_MUSPF
OG0003666	sp|Q9CWR8|DNM3L_MOUSE	tr|A0A8U0V6E8|A0A8U0V6E8_MUSPF
OG0003667	sp|Q9CYH2|PXL2A_MOUSE	tr|M3XWR4|M3XWR4_MUSPF
OG0003668	sp|Q9D009|LIPT2_MOUSE	tr|M3YD23|M3YD23_MUSPF
OG0003669	sp|Q9D8S4|ORN_MOUSE	tr|M3XXW5|M3XXW5_MUSPF
OG0003670	sp|Q9DAJ5|DLRB2_MOUSE	tr|M3YEF4|M3YEF4_MUSPF
OG0003671	sp|Q9DB75|CDIP1_MOUSE	tr|M3YU79|M3YU79_MUSPF
OG0003672	sp|Q9JHI4|S13A1_MOUSE	tr|A0A8U0SQN2|A0A8U0SQN2_MUSPF
OG0003673	sp|Q9JJW0|PXMP4_MOUSE	tr|M3Z2A0|M3Z2A0_MUSPF
OG0003674	sp|Q9JKX8|UPK3A_MOUSE	tr|A0A8U0N933|A0A8U0N933_MUSPF
OG0003675	sp|Q9QUL3|PA2GE_MOUSE	tr|A0A8U0MGI5|A0A8U0MGI5_MUSPF
OG0003676	sp|Q9QY48|DNS2B_MOUSE	tr|A0A8U0NTS0|A0A8U0NTS0_MUSPF
OG0003677	sp|Q9QYE3|BC11A_MOUSE	tr|A0A8U0RZX7|A0A8U0RZX7_MUSPF
OG0003678	sp|Q9WV18|GABR1_MOUSE	tr|A0A8U0RV40|A0A8U0RV40_MUSPF
OG0003679	sp|Q9Z315|SNUT1_MOUSE	tr|A0A8U0T3I3|A0A8U0T3I3_MUSPF
OG0003680	sp|A2A8Z1|OSBL9_MOUSE	tr|A0A8U0NAV5|A0A8U0NAV5_MUSPF
OG0003681	tr|A2ABG4|A2ABG4_MOUSE	tr|M3YLE4|M3YLE4_MUSPF
OG0003682	tr|A2ADB2|A2ADB2_MOUSE	tr|A0A8U0R8P2|A0A8U0R8P2_MUSPF
OG0003683	sp|B1AVD1|XPP2_MOUSE	tr|M3Z154|M3Z154_MUSPF
OG0003684	sp|B2RS91|RRN3_MOUSE	tr|A0A8U0RRM7|A0A8U0RRM7_MUSPF
OG0003685	tr|C3VD30|C3VD30_MOUSE	tr|M3XS81|M3XS81_MUSPF
OG0003686	tr|E9PVZ8|E9PVZ8_MOUSE	tr|A0A8U0MKH7|A0A8U0MKH7_MUSPF
OG0003687	tr|E9PWH2|E9PWH2_MOUSE	tr|A0A8U0V1M7|A0A8U0V1M7_MUSPF
OG0003688	tr|E9PYP2|E9PYP2_MOUSE	tr|A0A8U0S1A6|A0A8U0S1A6_MUSPF
OG0003689	sp|O35671|ITBP1_MOUSE	tr|M3YP55|M3YP55_MUSPF
OG0003690	sp|O70258|SGCE_MOUSE	tr|A0A8U0N4E2|A0A8U0N4E2_MUSPF
OG0003691	sp|O70338|RNH1_MOUSE	tr|A0A8U0V6S0|A0A8U0V6S0_MUSPF
OG0003692	sp|O88876|DHRS3_MOUSE	tr|M3YY58|M3YY58_MUSPF
OG0003693	sp|P11862|GAS2_MOUSE	tr|M3YRK7|M3YRK7_MUSPF
OG0003694	sp|P35279|RAB6A_MOUSE	tr|M3YE91|M3YE91_MUSPF
OG0003695	sp|P48985|ATOH1_MOUSE	tr|M3Z5V7|M3Z5V7_MUSPF
OG0003696	sp|P52479|UBP10_MOUSE	tr|A0A8U0RWN1|A0A8U0RWN1_MUSPF
OG0003697	sp|P60867|RS20_MOUSE	tr|A0A8U0N5K2|A0A8U0N5K2_MUSPF
OG0003698	sp|P97334|NKX23_MOUSE	tr|A0A8U0RKE0|A0A8U0RKE0_MUSPF
OG0003699	sp|Q3U129|B3GNL_MOUSE	tr|A0A8U0SGA0|A0A8U0SGA0_MUSPF
OG0003700	sp|Q3U3D7|T131L_MOUSE	tr|A0A8U0S8X9|A0A8U0S8X9_MUSPF
OG0003701	sp|Q3UH68|LIMC1_MOUSE	tr|A0A8U0NYI5|A0A8U0NYI5_MUSPF
OG0003702	sp|Q3UHR0|BAHC1_MOUSE	tr|A0A8U0SGF2|A0A8U0SGF2_MUSPF
OG0003703	sp|Q3USS3|DRC1_MOUSE	tr|M3YAR8|M3YAR8_MUSPF
OG0003704	sp|Q5DU41|LRC8B_MOUSE	tr|M3Y036|M3Y036_MUSPF
OG0003705	sp|Q5SSE9|ABCAD_MOUSE	tr|A0A8U0SM79|A0A8U0SM79_MUSPF
OG0003706	sp|Q60668|HNRPD_MOUSE	tr|A0A8U0RXN4|A0A8U0RXN4_MUSPF
OG0003707	sp|Q61097|KSR1_MOUSE	tr|A0A8U0MLV2|A0A8U0MLV2_MUSPF
OG0003708	sp|Q61160|FADD_MOUSE	tr|A0A8U0UNK2|A0A8U0UNK2_MUSPF
OG0003709	sp|Q61412|VSX2_MOUSE	tr|A0A8U0MEM9|A0A8U0MEM9_MUSPF
OG0003710	sp|Q62270|SRMS_MOUSE	tr|A0A8U0US51|A0A8U0US51_MUSPF
OG0003711	sp|Q62471|VNS1_MOUSE	tr|A0A8U0V4U4|A0A8U0V4U4_MUSPF
OG0003712	sp|Q64674|SPEE_MOUSE	tr|A0A8U0TH84|A0A8U0TH84_MUSPF
OG0003713	sp|Q6NVF9|CPSF6_MOUSE	tr|A0A8U0RUP1|A0A8U0RUP1_MUSPF
OG0003714	sp|Q6P1B1|XPP1_MOUSE	tr|M3XSM8|M3XSM8_MUSPF
OG0003715	sp|Q6PER3|MARE3_MOUSE	tr|A0A8U0N3X8|A0A8U0N3X8_MUSPF
OG0003716	sp|Q6PI62|GP173_MOUSE	tr|M3Z691|M3Z691_MUSPF
OG0003717	sp|Q71B07|D19L3_MOUSE	tr|M3Y993|M3Y993_MUSPF
OG0003718	sp|Q80YW5|BSPRY_MOUSE	tr|A0A8U0V4I8|A0A8U0V4I8_MUSPF
OG0003719	sp|Q8BGT0|OSTM1_MOUSE	tr|A0A8U0MRM7|A0A8U0MRM7_MUSPF
OG0003720	sp|Q8BHL6|FAP24_MOUSE	tr|A0A8U0TGJ0|A0A8U0TGJ0_MUSPF
OG0003721	sp|Q8BMP6|GCP60_MOUSE	tr|A0A8U0UR07|A0A8U0UR07_MUSPF
OG0003722	sp|Q8BUE1|SL9A4_MOUSE	tr|A0A8U0RZ45|A0A8U0RZ45_MUSPF
OG0003723	sp|Q8BXL7|ARFRP_MOUSE	tr|M3YAN1|M3YAN1_MUSPF
OG0003724	sp|Q8C0M8|DNAI1_MOUSE	tr|A0A8U0VAF0|A0A8U0VAF0_MUSPF
OG0003725	sp|Q8CFA2|GCST_MOUSE	tr|M3YQU8|M3YQU8_MUSPF
OG0003726	sp|Q8K071|TM221_MOUSE	tr|A0A8U0SA10|A0A8U0SA10_MUSPF
OG0003727	sp|Q8K1M6|DNM1L_MOUSE	tr|M3XMB9|M3XMB9_MUSPF
OG0003728	sp|Q8K298|ANLN_MOUSE	tr|A0A8U0TC03|A0A8U0TC03_MUSPF
OG0003729	sp|Q8K4G5|ABLM1_MOUSE	tr|A0A8U0SZZ7|A0A8U0SZZ7_MUSPF
OG0003730	sp|Q8R184|F110A_MOUSE	tr|G9L4K2|G9L4K2_MUSPF
OG0003731	sp|Q8R1R3|STAR7_MOUSE	tr|A0A8U0T923|A0A8U0T923_MUSPF
OG0003732	sp|Q8R2Q8|BST2_MOUSE	tr|A0A8U0SYT6|A0A8U0SYT6_MUSPF
OG0003733	sp|Q8VEK3|HNRPU_MOUSE	tr|A0A8U0SDG5|A0A8U0SDG5_MUSPF
OG0003734	sp|Q8VHQ9|ACO11_MOUSE	tr|A0A8U0R8R1|A0A8U0R8R1_MUSPF
OG0003735	sp|Q91VL9|ZBTB1_MOUSE	tr|A0A8U0MEF3|A0A8U0MEF3_MUSPF
OG0003736	sp|Q91WB2|PLPP7_MOUSE	tr|M3YMF1|M3YMF1_MUSPF
OG0003737	sp|Q99KZ6|ZN639_MOUSE	tr|A0A8U0SKP0|A0A8U0SKP0_MUSPF
OG0003738	sp|Q9CQV7|TIM14_MOUSE	tr|A0A8U0MK33|A0A8U0MK33_MUSPF
OG0003739	sp|Q9CR92|CCD96_MOUSE	tr|A0A8U0RXX3|A0A8U0RXX3_MUSPF
OG0003740	sp|Q9D2W0|FXYD4_MOUSE	tr|M3Z0R4|M3Z0R4_MUSPF
OG0003741	sp|Q9D361|SNR48_MOUSE	tr|A0A8U0MSV2|A0A8U0MSV2_MUSPF
OG0003742	sp|Q9D4H8|CUL2_MOUSE	tr|M3Y3K7|M3Y3K7_MUSPF
OG0003743	sp|Q9D8C4|IN35_MOUSE	tr|A0A8U0NJW3|A0A8U0NJW3_MUSPF
OG0003744	sp|Q9DCN7|RNFT1_MOUSE	tr|A0A8U0MM67|A0A8U0MM67_MUSPF
OG0003745	tr|Q9EQI5|Q9EQI5_MOUSE	tr|M3YCS6|M3YCS6_MUSPF
OG0003746	sp|Q9ES97|RTN3_MOUSE	tr|A0A8U0R9K7|A0A8U0R9K7_MUSPF
OG0003747	sp|Q9JHU3|CDK20_MOUSE	tr|M3YB15|M3YB15_MUSPF
OG0003748	sp|Q9WUF2|EGR4_MOUSE	tr|A0A8U0SQU1|A0A8U0SQU1_MUSPF
OG0003749	sp|Q9WUJ8|ORC6_MOUSE	tr|M3XUC6|M3XUC6_MUSPF
OG0003750	sp|Q9WV56|GDF2_MOUSE	tr|M3YC83|M3YC83_MUSPF
OG0003751	tr|A0A1B0GT39|A0A1B0GT39_MOUSE	tr|A0A8U0V670|A0A8U0V670_MUSPF
OG0003752	sp|A1KXC4|FAIM3_MOUSE	tr|A0A8U0SX27|A0A8U0SX27_MUSPF
OG0003753	sp|A2AJA7|AEGP_MOUSE	tr|A0A8U0S9E0|A0A8U0S9E0_MUSPF
OG0003754	sp|A2ARM1|PATL2_MOUSE	tr|A0A8U0NT42|A0A8U0NT42_MUSPF
OG0003755	sp|E9Q1P8|I2BP2_MOUSE	tr|A0A8U0NF38|A0A8U0NF38_MUSPF
OG0003756	sp|E9Q2Z1|CECR2_MOUSE	tr|A0A8U0NAH2|A0A8U0NAH2_MUSPF
OG0003757	tr|E9Q411|E9Q411_MOUSE	tr|M3YQ77|M3YQ77_MUSPF
OG0003758	tr|J3QK46|J3QK46_MOUSE	tr|A0A8U0UNI6|A0A8U0UNI6_MUSPF
OG0003759	sp|O09030|I13R1_MOUSE	tr|A0A8U0RHP2|A0A8U0RHP2_MUSPF
OG0003760	sp|O35954|PITM1_MOUSE	tr|A0A8U0RC76|A0A8U0RC76_MUSPF
OG0003761	sp|O35963|RB33B_MOUSE	tr|M3YXF8|M3YXF8_MUSPF
OG0003762	sp|P09242|PPBT_MOUSE	tr|M3YX93|M3YX93_MUSPF
OG0003763	sp|P20352|TF_MOUSE	tr|M3XW75|M3XW75_MUSPF
OG0003764	sp|P30285|CDK4_MOUSE	tr|A0A8U0NAV3|A0A8U0NAV3_MUSPF
OG0003765	sp|P52800|EFNB2_MOUSE	tr|M3YIE8|M3YIE8_MUSPF
OG0003766	sp|P59016|VP33B_MOUSE	tr|A0A8U0RIB6|A0A8U0RIB6_MUSPF
OG0003767	sp|P61364|OSTN_MOUSE	tr|M3XWL5|M3XWL5_MUSPF
OG0003768	sp|P97441|ZNT3_MOUSE	tr|M3YDT9|M3YDT9_MUSPF
OG0003769	sp|P97468|CML1_MOUSE	tr|M3Z3Y5|M3Z3Y5_MUSPF
OG0003770	sp|P97819|PLPL9_MOUSE	tr|A0A8U0V4K6|A0A8U0V4K6_MUSPF
OG0003771	sp|Q1ERP8|CLM9_MOUSE	tr|A0A8U0N8Y6|A0A8U0N8Y6_MUSPF
OG0003772	sp|Q2VPD4|BMAL2_MOUSE	tr|A0A8U0T9F6|A0A8U0T9F6_MUSPF
OG0003773	sp|Q2YDW7|KMT5A_MOUSE	tr|A0A8U0RR84|A0A8U0RR84_MUSPF
OG0003774	sp|Q3TBD2|HMHA1_MOUSE	tr|A0A8U0NLP2|A0A8U0NLP2_MUSPF
OG0003775	sp|Q3TDK6|ROGDI_MOUSE	tr|A0A8U0UUQ5|A0A8U0UUQ5_MUSPF
OG0003776	sp|Q3TVW5|TCHP_MOUSE	tr|M3XXX0|M3XXX0_MUSPF
OG0003777	sp|Q3UTZ3|TPC14_MOUSE	tr|A0A8U0SZ90|A0A8U0SZ90_MUSPF
OG0003778	sp|Q5SZ99|TRI38_MOUSE	tr|A0A8U0SAL4|A0A8U0SAL4_MUSPF
OG0003779	sp|Q61595|KTN1_MOUSE	tr|M3Y395|M3Y395_MUSPF
OG0003780	sp|Q64104|NR2E1_MOUSE	tr|M3YEH4|M3YEH4_MUSPF
OG0003781	sp|Q6DFW5|AT11B_MOUSE	tr|A0A8U0SN80|A0A8U0SN80_MUSPF
OG0003782	sp|Q6P1D5|SE6L1_MOUSE	tr|A0A8U0S7J5|A0A8U0S7J5_MUSPF
OG0003783	sp|Q6PHN1|CCD57_MOUSE	tr|A0A8U0SF89|A0A8U0SF89_MUSPF
OG0003784	sp|Q6U7H8|PI5L1_MOUSE	tr|A0A8U0SXP9|A0A8U0SXP9_MUSPF
OG0003785	sp|Q6ZQE4|NEMP1_MOUSE	tr|M3XRL4|M3XRL4_MUSPF
OG0003786	sp|Q7TQ69|TMC3_MOUSE	tr|A0A8U0NYJ5|A0A8U0NYJ5_MUSPF
OG0003787	sp|Q80SY6|ADAL_MOUSE	tr|A0A8U0RI49|A0A8U0RI49_MUSPF
OG0003788	sp|Q80UG8|TTLL4_MOUSE	tr|A0A8U0N1B7|A0A8U0N1B7_MUSPF
OG0003789	sp|Q80W99|CTSR3_MOUSE	tr|A0A8U0MK81|A0A8U0MK81_MUSPF
OG0003790	sp|Q80WK2|OSTB_MOUSE	tr|A0A8U0SYD5|A0A8U0SYD5_MUSPF
OG0003791	sp|Q8BGY6|B3GN5_MOUSE	tr|M3Z6D2|M3Z6D2_MUSPF
OG0003792	sp|Q8BHE3|ATCAY_MOUSE	tr|M3XZB8|M3XZB8_MUSPF
OG0003793	sp|Q8BVI4|DHPR_MOUSE	tr|A0A8U0NA63|A0A8U0NA63_MUSPF
OG0003794	sp|Q8BZF2|NIPA4_MOUSE	tr|M3YPW2|M3YPW2_MUSPF
OG0003795	sp|Q8C494|PRR33_MOUSE	tr|A0A8U0SYR0|A0A8U0SYR0_MUSPF
OG0003796	tr|Q8C7D3|Q8C7D3_MOUSE	tr|M3Z435|M3Z435_MUSPF
OG0003797	sp|Q8CD94|LIN52_MOUSE	tr|A0A8U0MEY9|A0A8U0MEY9_MUSPF
OG0003798	sp|Q8JZS7|HMGC2_MOUSE	tr|A0A8U0T4B7|A0A8U0T4B7_MUSPF
OG0003799	sp|Q8JZU2|TXTP_MOUSE	tr|M3XXI9|M3XXI9_MUSPF
OG0003800	sp|Q8QZT4|CRUM3_MOUSE	tr|A0A8U0V654|A0A8U0V654_MUSPF
OG0003801	sp|Q8VCA6|T161A_MOUSE	tr|M3YVK4|M3YVK4_MUSPF
OG0003802	sp|Q8VI78|PLA1A_MOUSE	tr|M3YAJ5|M3YAJ5_MUSPF
OG0003803	sp|Q91ZJ9|HYAL1_MOUSE	tr|A0A8U0SYM7|A0A8U0SYM7_MUSPF
OG0003804	sp|Q920L5|ELOV6_MOUSE	tr|M3YAU6|M3YAU6_MUSPF
OG0003805	sp|Q925E8|SPTSB_MOUSE	tr|A0A8U0SX21|A0A8U0SX21_MUSPF
OG0003806	sp|Q925Q8|DACH2_MOUSE	tr|A0A8U0S9M2|A0A8U0S9M2_MUSPF
OG0003807	tr|Q99M20|Q99M20_MOUSE	tr|A0A8U0N4J3|A0A8U0N4J3_MUSPF
OG0003808	sp|Q99NH2|PARD3_MOUSE	tr|A0A8U0RJ66|A0A8U0RJ66_MUSPF
OG0003809	sp|Q9CYR6|AGM1_MOUSE	tr|M3Y268|M3Y268_MUSPF
OG0003810	sp|Q9D1U0|GRIFN_MOUSE	tr|A0A8U0ND78|A0A8U0ND78_MUSPF
OG0003811	sp|Q9D2V7|CORO7_MOUSE	tr|A0A8U0NRY3|A0A8U0NRY3_MUSPF
OG0003812	sp|Q9D8Y1|T126A_MOUSE	tr|M3YEY6|M3YEY6_MUSPF
OG0003813	sp|Q9ES81|POPD3_MOUSE	tr|M3YDM2|M3YDM2_MUSPF
OG0003814	sp|Q9JJF9|SPP2A_MOUSE	tr|A0A8U0UR21|A0A8U0UR21_MUSPF
OG0003815	sp|Q9JLH8|TMOD4_MOUSE	tr|M3XY54|M3XY54_MUSPF
OG0003816	sp|Q9WUU7|CATZ_MOUSE	tr|A0A8U0MXX1|A0A8U0MXX1_MUSPF
OG0003817	sp|Q9Z1B3|PLCB1_MOUSE	tr|A0A8U0SFK9|A0A8U0SFK9_MUSPF
OG0003818	tr|A0A571BF98|A0A571BF98_MOUSE	tr|A0A8U0SWY8|A0A8U0SWY8_MUSPF
OG0003819	sp|A4Q9E5|TTLL3_MOUSE	tr|A0A8U0UKS7|A0A8U0UKS7_MUSPF
OG0003820	sp|O35126|ATN1_MOUSE	tr|M3YZA3|M3YZA3_MUSPF
OG0003821	sp|O35286|DHX15_MOUSE	tr|M3YZ71|M3YZ71_MUSPF
OG0003822	sp|P0C7M9|CLC2L_MOUSE	tr|A0A8U0TAX0|A0A8U0TAX0_MUSPF
OG0003823	sp|P12023|A4_MOUSE	tr|A0A8U0SEE6|A0A8U0SEE6_MUSPF
OG0003824	sp|P20722|BMP6_MOUSE	tr|A0A8U0MT59|A0A8U0MT59_MUSPF
OG0003825	sp|P28654|PGS2_MOUSE	tr|M3Y815|M3Y815_MUSPF
OG0003826	sp|P30999|CTND1_MOUSE	tr|M3XMJ4|M3XMJ4_MUSPF
OG0003827	sp|P32233|DRG1_MOUSE	tr|M3YN08|M3YN08_MUSPF
OG0003828	sp|P35584|FOXA3_MOUSE	tr|M3Y2A9|M3Y2A9_MUSPF
OG0003829	sp|P51642|CNTF_MOUSE	tr|M3XMK8|M3XMK8_MUSPF
OG0003830	sp|P61022|CHP1_MOUSE	tr|M3YBP1|M3YBP1_MUSPF
OG0003831	sp|Q00175|PRGR_MOUSE	tr|A0A8U0NGE8|A0A8U0NGE8_MUSPF
OG0003832	sp|Q03404|TFF2_MOUSE	tr|M3YCQ8|M3YCQ8_MUSPF
OG0003833	sp|Q14DL3|LRIQ3_MOUSE	tr|M3YI00|M3YI00_MUSPF
OG0003834	sp|Q3TCX3|KHDC4_MOUSE	tr|A0A8U0SI69|A0A8U0SI69_MUSPF
OG0003835	sp|Q3U9G9|LBR_MOUSE	tr|M3XZ50|M3XZ50_MUSPF
OG0003836	sp|Q3UEN2|SHLD2_MOUSE	tr|M3YC19|M3YC19_MUSPF
OG0003837	sp|Q3UFT3|GARE1_MOUSE	tr|A0A8U0UM69|A0A8U0UM69_MUSPF
OG0003838	tr|Q3V2L0|Q3V2L0_MOUSE	tr|A0A8U0V6Z6|A0A8U0V6Z6_MUSPF
OG0003839	sp|Q60636|PRDM1_MOUSE	tr|M3YDN9|M3YDN9_MUSPF
OG0003840	sp|Q61481|PDE1A_MOUSE	tr|A0A8U0UNF2|A0A8U0UNF2_MUSPF
OG0003841	sp|Q62151|RAGE_MOUSE	tr|A0A8U0NMS9|A0A8U0NMS9_MUSPF
OG0003842	sp|Q63918|CAVN2_MOUSE	tr|A0A8U0NX65|A0A8U0NX65_MUSPF
OG0003843	sp|Q66T02|PKHG5_MOUSE	tr|A0A8U0R818|A0A8U0R818_MUSPF
OG0003844	sp|Q6TCG2|PAQR9_MOUSE	tr|M3Z6K3|M3Z6K3_MUSPF
OG0003845	sp|Q6VYH9|HSH2D_MOUSE	tr|A0A8U0TG52|A0A8U0TG52_MUSPF
OG0003846	sp|Q7TPV4|MBB1A_MOUSE	tr|M3YJ02|M3YJ02_MUSPF
OG0003847	sp|Q7TQP3|GP119_MOUSE	tr|A0A8U0NDQ4|A0A8U0NDQ4_MUSPF
OG0003848	sp|Q80TD3|FNIP2_MOUSE	tr|A0A8U0SHG3|A0A8U0SHG3_MUSPF
OG0003849	sp|Q80WG7|TRI36_MOUSE	tr|A0A8U0URY7|A0A8U0URY7_MUSPF
OG0003850	sp|Q8BGK9|CC018_MOUSE	tr|M3YNK0|M3YNK0_MUSPF
OG0003851	sp|Q8BGY2|IF5A2_MOUSE	tr|M3Z095|M3Z095_MUSPF
