Orthogroup	Mus_musculus	Bos_taurus
OG0002031	sp|Q00612|G6PD1_MOUSE, sp|P97324|G6PD2_MOUSE	tr|A0A3Q1MM55|A0A3Q1MM55_BOVIN
OG0002032	sp|Q80UP8|S20A2_MOUSE	tr|F1N4U1|F1N4U1_BOVIN, sp|A1A4I1|S20A2_BOVIN
OG0002033	tr|Q9CR52|Q9CR52_MOUSE, sp|P47753|CAZA1_MOUSE	sp|A4FUA8|CAZA1_BOVIN
OG0002034	sp|Q61586|GPAT1_MOUSE	sp|Q5GJ77|GPAT1_BOVIN, tr|F1MDT6|F1MDT6_BOVIN
OG0002035	sp|Q99J47|DRS7B_MOUSE	tr|F1MN23|F1MN23_BOVIN, sp|Q3T0R4|DRS7B_BOVIN
OG0002037	sp|Q8BVF2|PDCL3_MOUSE	sp|Q0VCW8|PDCL3_BOVIN, tr|F1MTW8|F1MTW8_BOVIN
OG0002039	sp|P12388|PAI2_MOUSE	tr|F1N529|F1N529_BOVIN, tr|F1MG91|F1MG91_BOVIN
OG0002040	sp|P39876|TIMP3_MOUSE	tr|F6RQF5|F6RQF5_BOVIN, sp|P79121|TIMP3_BOVIN
OG0002041	sp|P31041|CD28_MOUSE	sp|Q28071|CD28_BOVIN, tr|A0A3Q1ND77|A0A3Q1ND77_BOVIN
OG0002042	sp|P08003|PDIA4_MOUSE	tr|F1MEN8|F1MEN8_BOVIN, sp|Q29RV1|PDIA4_BOVIN
OG0002043	sp|P47774|CCR7_MOUSE	tr|A0A3Q1MC05|A0A3Q1MC05_BOVIN, sp|Q5MD62|CCR7_BOVIN
OG0002044	sp|P55284|CADH5_MOUSE	sp|Q6URK6|CADH5_BOVIN, tr|G3MZL1|G3MZL1_BOVIN
OG0002046	sp|Q8CEE0|CEP57_MOUSE	sp|Q865V0|CEP57_BOVIN, tr|A0A3Q1LT15|A0A3Q1LT15_BOVIN
OG0002047	tr|B1AUV7|B1AUV7_MOUSE	tr|A0A3Q1LWI6|A0A3Q1LWI6_BOVIN, tr|A0A3Q1M0S9|A0A3Q1M0S9_BOVIN
OG0002048	sp|P22437|PGH1_MOUSE	sp|O62664|PGH1_BOVIN, tr|A0A452DI94|A0A452DI94_BOVIN
OG0002049	sp|Q91XF4|RN167_MOUSE	tr|E1BBM5|E1BBM5_BOVIN, tr|F1MFJ1|F1MFJ1_BOVIN
OG0002050	sp|Q8CBG9|RN170_MOUSE	sp|F1MK05|RN170_BOVIN, tr|A0A3Q1MRW5|A0A3Q1MRW5_BOVIN
OG0002051	sp|Q63829|COMD3_MOUSE	sp|Q3SZ76|COMD3_BOVIN, tr|F1MUK6|F1MUK6_BOVIN
OG0002052	sp|Q5DTT2|PSD1_MOUSE	sp|F1MUS9|PSD1_BOVIN, tr|G5E560|G5E560_BOVIN
OG0002053	sp|P61168|DRD2_MOUSE	sp|P20288|DRD2_BOVIN, tr|F1N4I3|F1N4I3_BOVIN
OG0002054	sp|C0HKG6|RNT2B_MOUSE, sp|C0HKG5|RNT2A_MOUSE	tr|F6QIT9|F6QIT9_BOVIN
OG0002055	sp|P48036|ANXA5_MOUSE	sp|P81287|ANXA5_BOVIN, tr|F6QVC9|F6QVC9_BOVIN
OG0002056	sp|Q8K2B3|SDHA_MOUSE	tr|G5E6M7|G5E6M7_BOVIN, sp|P31039|SDHA_BOVIN
OG0002057	sp|P41251|NRAM1_MOUSE	tr|F1MJ63|F1MJ63_BOVIN, sp|Q27981|NRAM1_BOVIN
OG0002058	sp|Q9D5H4|FTMT_MOUSE	tr|F1MMZ2|F1MMZ2_BOVIN, sp|Q2YDI9|FTMT_BOVIN
OG0002059	sp|O70378|EMC8_MOUSE	sp|Q32KL5|EMC8_BOVIN, tr|F1N5N2|F1N5N2_BOVIN
OG0002060	sp|Q91VN4|MIC25_MOUSE	tr|A0A3Q1LN56|A0A3Q1LN56_BOVIN, sp|Q32L35|MIC25_BOVIN
OG0002061	sp|Q80YD3|F205C_MOUSE	sp|Q32LN6|F205C_BOVIN, tr|A0A3Q1ND49|A0A3Q1ND49_BOVIN
OG0002062	sp|P70704|AT8A1_MOUSE	tr|A0A3Q1LQ26|A0A3Q1LQ26_BOVIN, sp|Q29449|AT8A1_BOVIN
OG0002063	sp|O35683|NDUA1_MOUSE	sp|Q02377|NDUA1_BOVIN, tr|A0A3Q1LRX9|A0A3Q1LRX9_BOVIN
OG0002064	sp|Q80WQ9|ZBED4_MOUSE, sp|D2EAC2|ZBED6_MOUSE	tr|A0A3Q1MAH1|A0A3Q1MAH1_BOVIN
OG0002065	sp|Q99MB1|TLR3_MOUSE	sp|Q5TJ59|TLR3_BOVIN, tr|A0A3S5ZPK8|A0A3S5ZPK8_BOVIN
OG0002066	sp|Q3UFY8|TM10C_MOUSE	sp|Q2KI45|TM10C_BOVIN, tr|A0A452DJ37|A0A452DJ37_BOVIN
OG0002067	sp|Q9CQC2|COL_MOUSE	sp|A0JNQ7|COL_BOVIN, tr|A0A3Q1M377|A0A3Q1M377_BOVIN
OG0002068	sp|Q8VDB9|S620A_MOUSE, sp|O88575|S620B_MOUSE	tr|A1A4L2|A1A4L2_BOVIN
OG0002069	sp|Q5SPX1|CC157_MOUSE	sp|A4IFI1|CC157_BOVIN, tr|A0A3Q1MAV7|A0A3Q1MAV7_BOVIN
OG0002070	sp|Q562E2|KCD19_MOUSE	sp|A7YWH3|KCD19_BOVIN, tr|A0A452DJC0|A0A452DJC0_BOVIN
OG0002071	sp|Q8BFW9|GTR12_MOUSE	tr|F1MIV2|F1MIV2_BOVIN, sp|Q5J316|GTR12_BOVIN
OG0002072	sp|P30561|AHR_MOUSE	tr|F1ML85|F1ML85_BOVIN, tr|A0A3Q1MAY4|A0A3Q1MAY4_BOVIN
OG0002073	sp|Q91XD6|VPS36_MOUSE	tr|F1MT69|F1MT69_BOVIN, sp|A5PK00|VPS36_BOVIN
OG0002074	sp|Q9D871|CEA18_MOUSE	tr|F1MU33|F1MU33_BOVIN, tr|A0A3Q1MI71|A0A3Q1MI71_BOVIN
OG0002075	tr|D3Z4Z0|D3Z4Z0_MOUSE	tr|G3MYD1|G3MYD1_BOVIN, tr|G5E6P9|G5E6P9_BOVIN
OG0002076	sp|P48281|VDR_MOUSE	tr|G5E5J5|G5E5J5_BOVIN, sp|Q28037|VDR_BOVIN
OG0002077	sp|Q64237|DOPO_MOUSE	sp|P15101|DOPO_BOVIN, tr|E1BF17|E1BF17_BOVIN
OG0002078	sp|Q8BW56|GTDC1_MOUSE	tr|A0A3Q1LKQ9|A0A3Q1LKQ9_BOVIN, sp|Q08DA7|GTDC1_BOVIN
OG0002079	sp|Q8CIE6|COPA_MOUSE	tr|A0A140T856|A0A140T856_BOVIN, sp|Q27954|COPA_BOVIN
OG0002080	sp|Q8K2Z8|UB2Q2_MOUSE, tr|Q8BW45|Q8BW45_MOUSE	sp|Q32L27|UB2Q2_BOVIN
OG0002081	sp|P13373|VPRE2_MOUSE, sp|P13372|VPREB_MOUSE	tr|A0A3Q1LWG9|A0A3Q1LWG9_BOVIN
OG0002082	sp|Q9Z2E2|MBD1_MOUSE, sp|Q9Z2D8|MBD3_MOUSE	tr|A0A3Q1MJ47|A0A3Q1MJ47_BOVIN
OG0002084	tr|Q30KN7|Q30KN7_MOUSE	tr|A0A3Q1LUH5|A0A3Q1LUH5_BOVIN, tr|A0A3Q1N5Q1|A0A3Q1N5Q1_BOVIN
OG0002085	sp|Q3UEZ8|NTCP4_MOUSE, tr|Q8BJG1|Q8BJG1_MOUSE	tr|A0JNQ1|A0JNQ1_BOVIN
OG0002086	sp|P97290|IC1_MOUSE	sp|P50448|F12AI_BOVIN, tr|E1BMJ0|E1BMJ0_BOVIN
OG0002087	sp|O70362|PHLD_MOUSE	tr|F1MNM2|F1MNM2_BOVIN, sp|P80109|PHLD_BOVIN
OG0002088	sp|Q8VI88|ODFP4_MOUSE	sp|Q0II41|ODFP4_BOVIN, tr|F1N363|F1N363_BOVIN
OG0002089	sp|Q8JZL2|MCHR1_MOUSE	tr|F1MJD1|F1MJD1_BOVIN, tr|F1N4Y7|F1N4Y7_BOVIN
OG0002090	sp|Q9CYH6|RRS1_MOUSE	tr|F1MPT7|F1MPT7_BOVIN, sp|Q2KIH4|RRS1_BOVIN
OG0002091	sp|Q66JT7|COQ2_MOUSE	sp|Q2KIQ4|COQ2_BOVIN, tr|F1N1G6|F1N1G6_BOVIN
OG0002092	sp|Q9D7J6|DNSL1_MOUSE	tr|F1MW13|F1MW13_BOVIN, sp|Q2QDE9|DNSL1_BOVIN
OG0002093	sp|Q8R3I3|COG6_MOUSE	sp|Q3SZI7|COG6_BOVIN, tr|F1MLE3|F1MLE3_BOVIN
OG0002094	sp|O70374|MTG8R_MOUSE	tr|A0A3Q1LU93|A0A3Q1LU93_BOVIN, tr|F1MJ18|F1MJ18_BOVIN
OG0002096	sp|Q9JHA8|VWA7_MOUSE	tr|A0A3Q1M993|A0A3Q1M993_BOVIN, sp|Q0V8J4|VWA7_BOVIN
OG0002097	sp|Q9EP82|WDR4_MOUSE	tr|A0A3Q1MFX4|A0A3Q1MFX4_BOVIN, sp|A7E3S5|WDR4_BOVIN
OG0002098	sp|Q60748|CRFR2_MOUSE, sp|P35347|CRFR1_MOUSE	tr|A0A3Q1N5S8|A0A3Q1N5S8_BOVIN
OG0002099	sp|Q8BS35|ALKMO_MOUSE	tr|E1B9D5|E1B9D5_BOVIN, tr|A0A3Q1NEB5|A0A3Q1NEB5_BOVIN
OG0002100	sp|Q9ERI5|JMJD6_MOUSE	tr|A0A452DJR2|A0A452DJR2_BOVIN, sp|Q58DS6|JMJD6_BOVIN
OG0002101	sp|Q62000|MIME_MOUSE	tr|A5D9E8|A5D9E8_BOVIN, sp|P19879|MIME_BOVIN
OG0002102	sp|Q8CIG8|ANM5_MOUSE	tr|F1N443|F1N443_BOVIN, sp|A7YW45|ANM5_BOVIN
OG0002103	tr|Q7TR79|Q7TR79_MOUSE	tr|E1BFA3|E1BFA3_BOVIN, tr|E1BNR4|E1BNR4_BOVIN
OG0002104	sp|Q9CPP7|LIPG_MOUSE	tr|F1MES3|F1MES3_BOVIN, sp|Q29458|LIPG_BOVIN
OG0002105	sp|Q9D735|TRIR_MOUSE	tr|F1MHW3|F1MHW3_BOVIN, tr|A0A3Q1LZ38|A0A3Q1LZ38_BOVIN
OG0002106	sp|O35386|PAHX_MOUSE	tr|G3MZ86|G3MZ86_BOVIN, sp|O18778|PAHX_BOVIN
OG0002107	sp|P23242|CXA1_MOUSE, sp|Q6S5G4|CXA6_MOUSE	sp|P18246|CXA1_BOVIN
OG0002108	sp|P21836|ACES_MOUSE	sp|P23795|ACES_BOVIN, tr|F1MIM4|F1MIM4_BOVIN
OG0002109	sp|Q61327|SC6A3_MOUSE	sp|P27922|SC6A3_BOVIN, tr|F1MAX1|F1MAX1_BOVIN
OG0002110	sp|Q8BTF8|RALYL_MOUSE	sp|Q08DJ0|RALYL_BOVIN, tr|F1N0Q3|F1N0Q3_BOVIN
OG0002111	sp|Q9JJC6|RIPL1_MOUSE	tr|A0A3Q1LYZ3|A0A3Q1LYZ3_BOVIN, sp|Q17QG3|RIPL1_BOVIN
OG0002112	sp|Q9CY21|BUD23_MOUSE	sp|Q58DP0|BUD23_BOVIN, tr|A0A452DIR9|A0A452DIR9_BOVIN
OG0002113	sp|A2AVZ9|S43A3_MOUSE	tr|A0A140T880|A0A140T880_BOVIN, sp|Q1JPD8|S43A3_BOVIN
OG0002114	sp|Q9ERU9|RBP2_MOUSE	tr|A0A3Q1LLS4|A0A3Q1LLS4_BOVIN, sp|P48820|RBP2_BOVIN
OG0002115	tr|Q61406|Q61406_MOUSE, tr|A0A668KLU9|A0A668KLU9_MOUSE	tr|A0A3Q1LSC6|A0A3Q1LSC6_BOVIN
OG0002116	tr|A0A075B5I8|A0A075B5I8_MOUSE	tr|G3X7Z4|G3X7Z4_BOVIN, tr|A0A3Q1MDB0|A0A3Q1MDB0_BOVIN
OG0002117	sp|Q9D3A9|TTYH1_MOUSE	sp|Q2KJ98|TTYH1_BOVIN, tr|A0A3Q1MHC3|A0A3Q1MHC3_BOVIN
OG0002118	sp|P04370|MBP_MOUSE	sp|P02687|MBP_BOVIN, tr|A0A3Q1MRJ3|A0A3Q1MRJ3_BOVIN
OG0002119	tr|Q9CQH1|Q9CQH1_MOUSE	tr|A0A3Q1M9S3|A0A3Q1M9S3_BOVIN, tr|A4IFN0|A4IFN0_BOVIN
OG0002120	sp|Q8K349|GIMA6_MOUSE	sp|A5PKB7|GIMA6_BOVIN, tr|A0A3Q1NBH0|A0A3Q1NBH0_BOVIN
OG0002121	sp|Q9D0V8|CINP_MOUSE	sp|A6H7E2|CINP_BOVIN, tr|A0A3Q1LM76|A0A3Q1LM76_BOVIN
OG0002122	sp|Q3U4H6|HEXD_MOUSE	sp|A6QNR0|HEXD_BOVIN, tr|F1MED7|F1MED7_BOVIN
OG0002123	sp|Q9CXF7|CHD1L_MOUSE	tr|F1MFS2|F1MFS2_BOVIN, sp|Q3B7N1|CHD1L_BOVIN
OG0002124	sp|Q8CIZ8|VWF_MOUSE	tr|F1N0R5|F1N0R5_BOVIN, sp|P80012|VWF_BOVIN
OG0002125	sp|A2AEY4|MA7D3_MOUSE	tr|F1N469|F1N469_BOVIN, tr|G3MZK6|G3MZK6_BOVIN
OG0002126	sp|P10107|ANXA1_MOUSE	tr|F1N650|F1N650_BOVIN, sp|P46193|ANXA1_BOVIN
OG0002127	sp|P40630|TFAM_MOUSE	sp|Q0II87|TFAM_BOVIN, tr|E1BA21|E1BA21_BOVIN
OG0002128	sp|Q04573|NPY1R_MOUSE, sp|Q61212|NPY6R_MOUSE	sp|Q1RMU8|NPY1R_BOVIN
OG0002129	sp|Q8BTS4|NUP54_MOUSE	tr|Q24K19|Q24K19_BOVIN, tr|F1N741|F1N741_BOVIN
OG0002130	sp|P25322|CCND1_MOUSE	sp|Q2KI22|CCND1_BOVIN, tr|A0A452DIV3|A0A452DIV3_BOVIN
OG0002131	sp|P48318|DCE1_MOUSE	sp|Q0VCA1|DCE1_BOVIN, tr|A0A3Q1M297|A0A3Q1M297_BOVIN
OG0002132	sp|O55098|STK10_MOUSE	sp|E1BK52|STK10_BOVIN, tr|A0A3Q1M334|A0A3Q1M334_BOVIN
OG0002133	sp|Q9EQ00|ROP1L_MOUSE	sp|Q3T024|ROP1L_BOVIN, tr|A0A3Q1MDV9|A0A3Q1MDV9_BOVIN
OG0002134	sp|Q5DTU0|AF1L2_MOUSE	sp|Q17R10|AF1L2_BOVIN, tr|A0A3Q1MUQ8|A0A3Q1MUQ8_BOVIN
OG0002135	sp|Q9JJD0|THA11_MOUSE	tr|A0A452DIT7|A0A452DIT7_BOVIN, sp|A5PKF5|THA11_BOVIN
OG0002136	sp|Q9DC71|RT15_MOUSE	sp|P82913|RT15_BOVIN, tr|A0A5H1ZRH5|A0A5H1ZRH5_BOVIN
OG0002137	sp|Q3UIK4|MET14_MOUSE	sp|A4IFD8|MET14_BOVIN, tr|F1MNV7|F1MNV7_BOVIN
OG0002138	sp|Q5U680|SAMC_MOUSE	tr|A0A3Q1MZV0|A0A3Q1MZV0_BOVIN, sp|A6QR09|SAMC_BOVIN
OG0002139	sp|Q9Z0F3|B2L10_MOUSE	tr|F1MV39|F1MV39_BOVIN, tr|E1B9B3|E1B9B3_BOVIN
OG0002140	sp|Q09TK9|ISK8_MOUSE, sp|Q6IE32|ISK7_MOUSE	tr|E1BNB0|E1BNB0_BOVIN
OG0002141	sp|Q07104|GDF3_MOUSE	tr|F1MH37|F1MH37_BOVIN, tr|F1MKJ7|F1MKJ7_BOVIN
OG0002142	sp|Q8CG76|ARK72_MOUSE	tr|F1MZC0|F1MZC0_BOVIN, tr|F1N6I4|F1N6I4_BOVIN
OG0002143	sp|Q8K0L0|ASB2_MOUSE	sp|Q3SX45|ASB2_BOVIN, tr|F1N2S1|F1N2S1_BOVIN
OG0002144	sp|P21126|UBL4A_MOUSE	tr|E1BMX8|E1BMX8_BOVIN, tr|F6QM50|F6QM50_BOVIN
OG0002145	sp|Q7M750|OPALI_MOUSE	sp|Q5E9I3|OPALI_BOVIN, tr|Q0VCK7|Q0VCK7_BOVIN
OG0002146	sp|O89017|LGMN_MOUSE	sp|Q95M12|LGMN_BOVIN, tr|A0A140T8D4|A0A140T8D4_BOVIN
OG0002147	sp|Q9QUR6|PPCE_MOUSE	sp|Q9XTA2|PPCE_BOVIN, tr|F6QHN4|F6QHN4_BOVIN
OG0002148	sp|Q8CEI1|BOLA3_MOUSE	tr|A0A3Q1LTP1|A0A3Q1LTP1_BOVIN, sp|Q3SZ84|BOLA3_BOVIN
OG0002149	sp|Q6DG52|CHUR_MOUSE	sp|Q2HJG7|CHUR_BOVIN, tr|A0A3Q1LZJ7|A0A3Q1LZJ7_BOVIN
OG0002150	sp|Q9CXI3|MOXD1_MOUSE	tr|E1B8M5|E1B8M5_BOVIN, tr|A0A3Q1M1J6|A0A3Q1M1J6_BOVIN
OG0002151	sp|A7XV07|SKIT8_MOUSE, sp|A7XV04|SKIT7_MOUSE	tr|A0A3Q1M4A5|A0A3Q1M4A5_BOVIN
OG0002152	sp|Q3SYP2|CTRC_MOUSE	sp|Q7M3E1|CTRC_BOVIN, tr|A0A3Q1MGU3|A0A3Q1MGU3_BOVIN
OG0002153	sp|Q3ULJ0|GPD1L_MOUSE	tr|A0A3Q1MUU4|A0A3Q1MUU4_BOVIN, tr|A6QQR7|A6QQR7_BOVIN
OG0002154	sp|Q9D061|ACBD6_MOUSE	sp|A2VDR2|ACBD6_BOVIN, tr|G3N0L6|G3N0L6_BOVIN
OG0002155	sp|P27773|PDIA3_MOUSE	tr|A5D7E8|A5D7E8_BOVIN, sp|P38657|PDIA3_BOVIN
OG0002156	sp|Q8R1Z9|RN121_MOUSE	tr|F1MP85|F1MP85_BOVIN, tr|A0A3Q1MYC8|A0A3Q1MYC8_BOVIN
OG0002157	sp|O08633|KRA81_MOUSE	tr|F1MTA9|F1MTA9_BOVIN, tr|A0A3Q1M399|A0A3Q1M399_BOVIN
OG0002158	sp|Q3UZZ4|OLFM4_MOUSE, tr|Q8BU90|Q8BU90_MOUSE	tr|F1MVJ8|F1MVJ8_BOVIN
OG0002159	sp|Q61425|HCDH_MOUSE	tr|A0A3Q1LS03|A0A3Q1LS03_BOVIN, tr|F1N338|F1N338_BOVIN
OG0002160	sp|P49718|MCM5_MOUSE	tr|A6H7F8|A6H7F8_BOVIN, sp|Q0V8B7|MCM5_BOVIN
OG0002161	sp|Q3UEG6|AGT2_MOUSE	sp|Q17QF0|AGT2_BOVIN, tr|F1MLG7|F1MLG7_BOVIN
OG0002162	sp|Q9Z1B7|MK13_MOUSE	sp|Q3T0N5|MK13_BOVIN, tr|Q5E9Q6|Q5E9Q6_BOVIN
OG0002163	sp|P97351|RS3A_MOUSE	sp|Q56JV9|RS3A_BOVIN, tr|G3N262|G3N262_BOVIN
OG0002164	sp|Q9Z2V4|PCKGC_MOUSE	sp|Q8HYZ4|PCKGC_BOVIN, tr|A0A3Q1MDS5|A0A3Q1MDS5_BOVIN
OG0002165	sp|Q925N2|SFXN2_MOUSE	sp|Q5EA43|SFXN2_BOVIN, tr|A0A140T855|A0A140T855_BOVIN
OG0002166	sp|Q9CQD7|PINLY_MOUSE	tr|E1BFZ1|E1BFZ1_BOVIN, tr|A0A3Q1MYY3|A0A3Q1MYY3_BOVIN
OG0002167	sp|Q8BH61|F13A_MOUSE	sp|P12260|F13A_BOVIN, tr|F1MW44|F1MW44_BOVIN
OG0002168	sp|Q9JJ89|CCD86_MOUSE	tr|F1MM20|F1MM20_BOVIN, sp|Q2TBX7|CCD86_BOVIN
OG0002169	sp|D3YV92|GAR2_MOUSE	sp|Q2YDE8|GAR2_BOVIN, tr|A0A3Q1MP23|A0A3Q1MP23_BOVIN
OG0002170	sp|O35465|FKBP8_MOUSE	tr|A0A3Q1LK42|A0A3Q1LK42_BOVIN, tr|A0A3Q1M3S6|A0A3Q1M3S6_BOVIN
OG0002171	sp|Q91W18|TDRD3_MOUSE	tr|A0A3Q1M8A8|A0A3Q1M8A8_BOVIN, sp|Q2HJG4|TDRD3_BOVIN
OG0002172	sp|P23188|FURIN_MOUSE	sp|Q28193|FURIN_BOVIN, tr|B0JYR0|B0JYR0_BOVIN
OG0002173	sp|Q8BW66|S2548_MOUSE	sp|Q3MHI3|S2548_BOVIN, tr|F1MVX3|F1MVX3_BOVIN
OG0002175	sp|Q8K2T1|NMRL1_MOUSE	tr|F1N4W7|F1N4W7_BOVIN, sp|Q0VCN1|NMRL1_BOVIN
OG0002176	sp|Q9D6S7|RRFM_MOUSE	sp|Q0VCQ4|RRFM_BOVIN, tr|G3X7D8|G3X7D8_BOVIN
OG0002177	sp|O54949|NLK_MOUSE	sp|E1BMN8|NLK_BOVIN, tr|H2XJE9|H2XJE9_BOVIN
OG0002178	sp|P27786|CP17A_MOUSE	tr|F1MJA7|F1MJA7_BOVIN, sp|P05185|CP17A_BOVIN
OG0002179	sp|Q9CZN8|GATA_MOUSE	sp|Q29RP9|GATA_BOVIN, tr|F1MYR8|F1MYR8_BOVIN
OG0002180	sp|Q9D9H3|MB3L1_MOUSE	tr|Q2KIS0|Q2KIS0_BOVIN, tr|G3N223|G3N223_BOVIN
OG0002181	sp|Q8K396|MND1_MOUSE	tr|F1MGT0|F1MGT0_BOVIN, sp|Q32L19|MND1_BOVIN
OG0002182	sp|Q9D1F5|MRNIP_MOUSE	tr|F1MIA0|F1MIA0_BOVIN, sp|Q3ZBG8|MRNIP_BOVIN
OG0002183	sp|Q7TNU6|ZN250_MOUSE	tr|A0A3Q1LIU8|A0A3Q1LIU8_BOVIN, sp|A3KN32|ZNF34_BOVIN
OG0002184	sp|Q9D8T4|TV23B_MOUSE	sp|Q29S14|TV23B_BOVIN, tr|A0A3Q1LVM1|A0A3Q1LVM1_BOVIN
OG0002185	sp|Q9QXP0|RHCG_MOUSE	tr|A0A3Q1M0T1|A0A3Q1M0T1_BOVIN, sp|Q2T9S6|RHCG_BOVIN
OG0002186	sp|Q3UYV8|DAAF3_MOUSE	tr|A0A452DHW9|A0A452DHW9_BOVIN, sp|F1MLB4|DAAF3_BOVIN
OG0002187	sp|Q9WTW4|TFEC_MOUSE	sp|A4IFU7|TFEC_BOVIN, tr|A0A3Q1LFW9|A0A3Q1LFW9_BOVIN
OG0002188	sp|Q921N7|TMM70_MOUSE	sp|A6H773|TMM70_BOVIN, tr|A0A452DJC9|A0A452DJC9_BOVIN
OG0002189	sp|Q6DIA9|FBX27_MOUSE, sp|Q9QZM8|FBX17_MOUSE	tr|A6QP19|A6QP19_BOVIN
OG0002190	tr|Q3UYP3|Q3UYP3_MOUSE, sp|Q8VD63|TSYL4_MOUSE	tr|A7MAZ0|A7MAZ0_BOVIN
OG0002191	sp|Q61333|TNAP2_MOUSE	tr|A0A3Q1M7I6|A0A3Q1M7I6_BOVIN, tr|E1BJZ6|E1BJZ6_BOVIN
OG0002192	sp|Q91W61|FXL15_MOUSE	tr|A0A452DI01|A0A452DI01_BOVIN, sp|E1BNS0|FXL15_BOVIN
OG0002193	tr|Q0VEP0|Q0VEP0_MOUSE, tr|Q9R0K4|Q9R0K4_MOUSE	tr|F1MDS8|F1MDS8_BOVIN
OG0002194	tr|Q3UZY6|Q3UZY6_MOUSE, tr|G3X8R7|G3X8R7_MOUSE	tr|F1ME16|F1ME16_BOVIN
OG0002195	sp|Q8R4V5|OIT3_MOUSE	tr|F1MH22|F1MH22_BOVIN, sp|Q29RU2|OIT3_BOVIN
OG0002196	sp|Q9JKA5|GPA33_MOUSE, sp|Q9CX63|IL40_MOUSE	tr|F1MHQ1|F1MHQ1_BOVIN
OG0002197	sp|Q91YI4|ARRB2_MOUSE	sp|P32120|ARRB2_BOVIN, tr|G3X811|G3X811_BOVIN
OG0002198	sp|Q99J08|S14L2_MOUSE	tr|A0A140T8D1|A0A140T8D1_BOVIN, sp|P58875|S14L2_BOVIN
OG0002199	sp|O35691|PININ_MOUSE	tr|Q3SYT5|Q3SYT5_BOVIN, sp|P79122|PININ_BOVIN
OG0002200	sp|Q99N85|RT18A_MOUSE	tr|F1MJC2|F1MJC2_BOVIN, sp|P82919|RT18A_BOVIN
OG0002201	sp|Q8BH00|AL8A1_MOUSE	tr|A0A140T874|A0A140T874_BOVIN, sp|Q0P5F9|AL8A1_BOVIN
OG0002202	sp|Q07646|MEST_MOUSE	tr|F1MZU5|F1MZU5_BOVIN, sp|Q2HJM9|MEST_BOVIN
OG0002203	sp|Q5XJY4|PARL_MOUSE	sp|Q2KHV4|PARL_BOVIN, tr|A0A452DJF2|A0A452DJF2_BOVIN
OG0002204	sp|Q9DA44|TSACC_MOUSE	sp|Q3T016|TSACC_BOVIN, tr|A0A3Q1NE77|A0A3Q1NE77_BOVIN
OG0002205	sp|P49891|ST1E1_MOUSE	sp|P19217|ST1E1_BOVIN, tr|Q3ZC30|Q3ZC30_BOVIN
OG0002206	sp|Q3UY34|CSTOS_MOUSE	sp|Q58CQ0|CSTOS_BOVIN, tr|F1MCQ8|F1MCQ8_BOVIN
OG0002207	sp|P47911|RL6_MOUSE	sp|Q58DQ3|RL6_BOVIN, tr|G3N2R1|G3N2R1_BOVIN
OG0002208	sp|Q9QZJ6|MFAP5_MOUSE	sp|Q28022|MFAP5_BOVIN, tr|A0A140T828|A0A140T828_BOVIN
OG0002209	sp|P07724|ALBU_MOUSE	tr|A0A140T897|A0A140T897_BOVIN, sp|P02769|ALBU_BOVIN
OG0002210	sp|Q9DB20|ATPO_MOUSE	sp|P13621|ATPO_BOVIN, tr|A0A3Q1LFS4|A0A3Q1LFS4_BOVIN
OG0002211	sp|P27546|MAP4_MOUSE	tr|A0A3Q1LJL4|A0A3Q1LJL4_BOVIN, sp|P36225|MAP4_BOVIN
OG0002212	sp|Q60930|VDAC2_MOUSE	sp|P68002|VDAC2_BOVIN, tr|A0A3Q1MAH7|A0A3Q1MAH7_BOVIN
OG0002213	sp|Q9CWJ3|KTBL1_MOUSE	tr|A0A3Q1MAK0|A0A3Q1MAK0_BOVIN, tr|E1BJI2|E1BJI2_BOVIN
OG0002214	sp|Q922R8|PDIA6_MOUSE	tr|A0A3Q1MRD2|A0A3Q1MRD2_BOVIN, tr|F6QH94|F6QH94_BOVIN
OG0002215	sp|Q8K013|GTPBA_MOUSE	sp|Q3MHG6|GTPBA_BOVIN, tr|A0A452DJB3|A0A452DJB3_BOVIN
OG0002216	sp|Q5U431|GPR39_MOUSE	sp|B4XF06|GPR39_BOVIN, tr|G3MWJ9|G3MWJ9_BOVIN
OG0002217	tr|Q8VGU9|Q8VGU9_MOUSE	tr|F1N7S2|F1N7S2_BOVIN, tr|E1BA90|E1BA90_BOVIN
OG0002218	tr|E9Q407|E9Q407_MOUSE	tr|E1BG03|E1BG03_BOVIN, tr|G3MZJ6|G3MZJ6_BOVIN
OG0002219	sp|Q64692|SIA8D_MOUSE	sp|Q6ZXC9|SIA8D_BOVIN, tr|F1MVI9|F1MVI9_BOVIN
OG0002220	tr|Q4PLS0|Q4PLS0_MOUSE	tr|A0A3Q1LTM1|A0A3Q1LTM1_BOVIN, tr|G3N2C1|G3N2C1_BOVIN
OG0002221	sp|Q3TZW7|BEX6_MOUSE, sp|Q9CWT2|BEX4_MOUSE	tr|G3N352|G3N352_BOVIN
OG0002222	sp|Q80YA3|DDHD1_MOUSE	sp|O46606|DDHD1_BOVIN, tr|A0A3Q1MMR4|A0A3Q1MMR4_BOVIN
OG0002223	sp|O35367|KERA_MOUSE	sp|O62702|KERA_BOVIN, tr|A0A140T890|A0A140T890_BOVIN
