Orthogroup	Mus_musculus	Capra_hircus
OG0000267	tr|J3QMS2|J3QMS2_MOUSE	tr|A0A452F2I4|A0A452F2I4_CAPHI, tr|A0A452G828|A0A452G828_CAPHI, tr|A0A452DPY5|A0A452DPY5_CAPHI, tr|A0A452G1W0|A0A452G1W0_CAPHI, tr|A0A452DLX8|A0A452DLX8_CAPHI, tr|A0A452G8X5|A0A452G8X5_CAPHI, tr|A0A452F651|A0A452F651_CAPHI
OG0000269	sp|Q9EQW8|NDST4_MOUSE	tr|A0A452G189|A0A452G189_CAPHI
OG0000269	sp|P52850|NDST2_MOUSE	tr|A0A452FKF6|A0A452FKF6_CAPHI
OG0000269	sp|Q3UHN9|NDST1_MOUSE	tr|A0A452EZE5|A0A452EZE5_CAPHI
OG0000269	sp|Q9EQH7|NDST3_MOUSE	tr|A0A452ESG6|A0A452ESG6_CAPHI
OG0000270	sp|P97351|RS3A_MOUSE	tr|A0A452DKX0|A0A452DKX0_CAPHI, tr|A0A452ERN4|A0A452ERN4_CAPHI, tr|A0A452DWB6|A0A452DWB6_CAPHI, tr|A0A452EVI7|A0A452EVI7_CAPHI, tr|A0A452DVQ3|A0A452DVQ3_CAPHI, tr|A0A452E377|A0A452E377_CAPHI, tr|A0A452EAP4|A0A452EAP4_CAPHI
OG0000271	tr|Q8VGW1|Q8VGW1_MOUSE	tr|A0A452E3V5|A0A452E3V5_CAPHI, tr|A0A452FES6|A0A452FES6_CAPHI
OG0000271	tr|Q8VG19|Q8VG19_MOUSE	tr|A0A452EFW2|A0A452EFW2_CAPHI, tr|A0A452DPB3|A0A452DPB3_CAPHI, tr|A0A452DMF5|A0A452DMF5_CAPHI, tr|A0A452DXW2|A0A452DXW2_CAPHI
OG0000272	sp|Q8BYM5|NLGN3_MOUSE	tr|A0A452G7Q7|A0A452G7Q7_CAPHI
OG0000272	sp|Q69ZK9|NLGN2_MOUSE	tr|A0A452FHQ1|A0A452FHQ1_CAPHI
OG0000272	sp|B0F2B4|NLGN4_MOUSE	tr|A0A452DUT1|A0A452DUT1_CAPHI
OG0000272	sp|Q99K10|NLGN1_MOUSE	tr|A0A452GA31|A0A452GA31_CAPHI
OG0000273	sp|Q7TNC8|GLRA2_MOUSE	tr|A0A452FCY7|A0A452FCY7_CAPHI
OG0000273	sp|Q91XP5|GLRA3_MOUSE	tr|A0A452E8S5|A0A452E8S5_CAPHI
OG0000273	sp|Q64018|GLRA1_MOUSE	tr|A0A452EZE1|A0A452EZE1_CAPHI
OG0000273	sp|Q61603|GLRA4_MOUSE	tr|A0A452F4S1|A0A452F4S1_CAPHI
OG0000275	sp|Q99246|CAC1D_MOUSE	tr|A0A452FAF0|A0A452FAF0_CAPHI
OG0000275	sp|Q9JIS7|CAC1F_MOUSE	tr|A0A452DKH5|A0A452DKH5_CAPHI
OG0000275	sp|Q02789|CAC1S_MOUSE	tr|A0A452EH06|A0A452EH06_CAPHI
OG0000275	sp|Q01815|CAC1C_MOUSE	tr|A0A452ERD9|A0A452ERD9_CAPHI
OG0000276	tr|Q923D1|Q923D1_MOUSE	tr|A0A452EPU4|A0A452EPU4_CAPHI
OG0000276	sp|Q0VAW7|ZN112_MOUSE	tr|A0A452G7I3|A0A452G7I3_CAPHI, tr|A0A452G624|A0A452G624_CAPHI, tr|A0A452ENJ1|A0A452ENJ1_CAPHI, tr|A0A452ENU3|A0A452ENU3_CAPHI, tr|A0A452GA80|A0A452GA80_CAPHI
OG0000277	sp|O54707|KLRD1_MOUSE	tr|A0A452EMR7|A0A452EMR7_CAPHI, tr|A0A452DTS8|A0A452DTS8_CAPHI, tr|A0A452EYI6|A0A452EYI6_CAPHI, tr|A0A452EQE2|A0A452EQE2_CAPHI, tr|A0A452EQN9|A0A452EQN9_CAPHI, tr|A0A452E4L9|A0A452E4L9_CAPHI, tr|A0A452DZN5|A0A452DZN5_CAPHI
OG0000278	sp|Q9WVL3|S12A7_MOUSE	tr|A0A452F7I3|A0A452F7I3_CAPHI
OG0000278	sp|Q91V14|S12A5_MOUSE	tr|A0A452EYH9|A0A452EYH9_CAPHI
OG0000278	sp|Q9JIS8|S12A4_MOUSE	tr|A0A452G615|A0A452G615_CAPHI
OG0000278	sp|Q924N4|S12A6_MOUSE	tr|A0A452E6L7|A0A452E6L7_CAPHI
OG0000279	sp|Q99JY3|GIMA4_MOUSE	tr|A0A452FZF6|A0A452FZF6_CAPHI, tr|A0A452FAD8|A0A452FAD8_CAPHI, tr|A0A452FCF1|A0A452FCF1_CAPHI, tr|A0A452FVL7|A0A452FVL7_CAPHI, tr|A0A452FT56|A0A452FT56_CAPHI, tr|A0A452EH55|A0A452EH55_CAPHI, tr|A0A452DRK8|A0A452DRK8_CAPHI
OG0000282	tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE	tr|A0A452EDL7|A0A452EDL7_CAPHI, tr|A0A452FCV7|A0A452FCV7_CAPHI
OG0000283	sp|Q9JLN5|ERMAP_MOUSE	tr|A0A452EHA3|A0A452EHA3_CAPHI
OG0000283	sp|Q62158|TRI27_MOUSE	tr|A0A452DPT1|A0A452DPT1_CAPHI, tr|A0A452E614|A0A452E614_CAPHI, tr|A0A452DW78|A0A452DW78_CAPHI, tr|A0A452EE24|A0A452EE24_CAPHI, tr|A0A452E0K7|A0A452E0K7_CAPHI
OG0000285	sp|Q8K354|CBR3_MOUSE	tr|A0A452FJ92|A0A452FJ92_CAPHI
OG0000285	tr|A0A1B0GRG8|A0A1B0GRG8_MOUSE, sp|P48758|CBR1_MOUSE	tr|A0A452DR39|A0A452DR39_CAPHI, tr|A0A452E9A7|A0A452E9A7_CAPHI, tr|A0A452F8Q2|A0A452F8Q2_CAPHI, tr|A0A452DTW8|A0A452DTW8_CAPHI
OG0000286	sp|P62754|RS6_MOUSE	tr|A0A452E3T9|A0A452E3T9_CAPHI, tr|A0A452DW37|A0A452DW37_CAPHI, tr|A0A452E6U0|A0A452E6U0_CAPHI, tr|A0A452FBY0|A0A452FBY0_CAPHI, tr|A0A452DMN7|A0A452DMN7_CAPHI, tr|A0A452E038|A0A452E038_CAPHI, tr|A0A452E855|A0A452E855_CAPHI
OG0000287	sp|Q8CJI4|H1FNT_MOUSE, sp|P15864|H12_MOUSE	tr|A0A452FKB0|A0A452FKB0_CAPHI
OG0000287	sp|P43277|H13_MOUSE	tr|A0A452E5I0|A0A452E5I0_CAPHI
OG0000287	sp|P43274|H14_MOUSE	tr|A0A452DSE1|A0A452DSE1_CAPHI
OG0000288	tr|F8VQ01|F8VQ01_MOUSE	tr|A0A452FRB3|A0A452FRB3_CAPHI
OG0000288	tr|F8VPZ8|F8VPZ8_MOUSE, tr|E9Q382|E9Q382_MOUSE, tr|A0A1B0GSF4|A0A1B0GSF4_MOUSE, tr|F8VQI7|F8VQI7_MOUSE, tr|E9PZ66|E9PZ66_MOUSE	tr|A0A452DPF3|A0A452DPF3_CAPHI
OG0000289	sp|O35098|DPYL4_MOUSE	tr|A0A452DKV8|A0A452DKV8_CAPHI
OG0000289	sp|P97427|DPYL1_MOUSE	tr|A0A452F078|A0A452F078_CAPHI
OG0000289	sp|Q62188|DPYL3_MOUSE	tr|A0A452F4M6|A0A452F4M6_CAPHI
OG0000289	sp|O08553|DPYL2_MOUSE	tr|A0A452G9S2|A0A452G9S2_CAPHI
OG0000291	sp|Q9D5H4|FTMT_MOUSE	tr|A0A452DQM4|A0A452DQM4_CAPHI
OG0000291	sp|P09528|FRIH_MOUSE	tr|A0A452FL49|A0A452FL49_CAPHI, tr|A1E459|A1E459_CAPHI, tr|A0A452F994|A0A452F994_CAPHI, tr|A0A452EE36|A0A452EE36_CAPHI, tr|A0A452G991|A0A452G991_CAPHI
OG0000293	sp|Q91XA9|CHIA_MOUSE	tr|A0A452FJU4|A0A452FJU4_CAPHI
OG0000293	tr|A0A0G2JDS2|A0A0G2JDS2_MOUSE, sp|O35744|CHIL3_MOUSE, sp|Q91Z98|CHIL4_MOUSE, tr|Q80W26|Q80W26_MOUSE, sp|Q9D7Q1|CHIT1_MOUSE	tr|A0A452FZD8|A0A452FZD8_CAPHI
OG0000294	sp|Q3UHK6|TEN4_MOUSE	tr|A0A452GAG4|A0A452GAG4_CAPHI
OG0000294	sp|Q9WTS5|TEN2_MOUSE	tr|A0A452G330|A0A452G330_CAPHI
OG0000294	sp|Q9WTS6|TEN3_MOUSE	tr|A0A452E731|A0A452E731_CAPHI
OG0000294	sp|Q9WTS4|TEN1_MOUSE	tr|A0A452G3U0|A0A452G3U0_CAPHI
OG0000295	sp|O08638|MYH11_MOUSE	tr|A0A452E5B5|A0A452E5B5_CAPHI
OG0000295	sp|Q8VDD5|MYH9_MOUSE	tr|A0A452FAS7|A0A452FAS7_CAPHI
OG0000295	sp|Q6URW6|MYH14_MOUSE	tr|A0A452FDH8|A0A452FDH8_CAPHI
OG0000295	sp|Q61879|MYH10_MOUSE	tr|A0A452F6C9|A0A452F6C9_CAPHI
OG0000296	tr|Q7TRP5|Q7TRP5_MOUSE	tr|A0A452E4H1|A0A452E4H1_CAPHI
OG0000296	tr|Q8VG79|Q8VG79_MOUSE, tr|Q8VGW3|Q8VGW3_MOUSE, tr|Q8VH00|Q8VH00_MOUSE, tr|Q7TRP4|Q7TRP4_MOUSE	tr|A0A452DYI1|A0A452DYI1_CAPHI, tr|A0A452GAP3|A0A452GAP3_CAPHI
OG0000297	tr|D3Z660|D3Z660_MOUSE, sp|Q9DCQ7|A1AT6_MOUSE, sp|Q00898|A1AT5_MOUSE, sp|Q00897|A1AT4_MOUSE, sp|P22599|A1AT2_MOUSE, sp|Q00896|A1AT3_MOUSE, sp|P07758|A1AT1_MOUSE	tr|A0A452FJ07|A0A452FJ07_CAPHI
OG0000298	sp|O88569|ROA2_MOUSE	tr|A0A452FNL0|A0A452FNL0_CAPHI, tr|A0A452E6E2|A0A452E6E2_CAPHI, tr|A0A452ETJ9|A0A452ETJ9_CAPHI, tr|A0A452E6Y3|A0A452E6Y3_CAPHI, tr|A0A452DX08|A0A452DX08_CAPHI, tr|A0A452ET32|A0A452ET32_CAPHI, tr|A0A452G608|A0A452G608_CAPHI
OG0000299	sp|Q8QZR3|EST2A_MOUSE, tr|E9PV38|E9PV38_MOUSE, sp|Q91WG0|EST2C_MOUSE, tr|Q6PDB7|Q6PDB7_MOUSE, tr|Q08ED5|Q08ED5_MOUSE, sp|Q8BK48|EST2E_MOUSE, tr|F6Z9B9|F6Z9B9_MOUSE	tr|A0A452F9A7|A0A452F9A7_CAPHI
OG0000300	sp|Q99J93|IFM2_MOUSE, sp|Q9CQW9|IFM3_MOUSE	tr|A0A452EU67|A0A452EU67_CAPHI, tr|A0A452FB14|A0A452FB14_CAPHI, tr|A0A452G810|A0A452G810_CAPHI, tr|A0A452F2S4|A0A452F2S4_CAPHI, tr|A0A452FE70|A0A452FE70_CAPHI, tr|A0A0A0U6N1|A0A0A0U6N1_CAPHI
OG0000302	sp|A2A7Z8|ADCL3_MOUSE, sp|Q8BM81|AD4F1_MOUSE, tr|A2A752|A2A752_MOUSE, tr|B1AVU5|B1AVU5_MOUSE, tr|B1ASB3|B1ASB3_MOUSE, tr|B1AVU7|B1AVU7_MOUSE, tr|B1AVU6|B1AVU6_MOUSE	tr|A0A452FAU6|A0A452FAU6_CAPHI
OG0000303	sp|Q9Z2W8|GRIA4_MOUSE	tr|A0A452FNN3|A0A452FNN3_CAPHI
OG0000303	sp|P23818|GRIA1_MOUSE	tr|A0A452EJQ2|A0A452EJQ2_CAPHI
OG0000303	sp|P23819|GRIA2_MOUSE	tr|A0A452EKB0|A0A452EKB0_CAPHI
OG0000303	sp|Q9Z2W9|GRIA3_MOUSE	tr|A0A452G987|A0A452G987_CAPHI
OG0000304	tr|E9Q007|E9Q007_MOUSE, sp|Q61767|3BHS4_MOUSE, sp|Q61694|3BHS5_MOUSE, sp|P24815|3BHS1_MOUSE, sp|P26150|3BHS3_MOUSE, sp|P26149|3BHS2_MOUSE, sp|O35469|3BHS6_MOUSE	tr|A5HEW2|A5HEW2_CAPHI
OG0000305	tr|Q8CF20|Q8CF20_MOUSE, sp|Q80YP6|ZIK1_MOUSE, tr|Q8BFS8|Q8BFS8_MOUSE, sp|B2RUI1|ZN551_MOUSE, tr|Q9CZ29|Q9CZ29_MOUSE, tr|Q7TNU5|Q7TNU5_MOUSE, tr|Q3UQL6|Q3UQL6_MOUSE	tr|A0A452FSF3|A0A452FSF3_CAPHI
OG0000324	sp|P06151|LDHA_MOUSE	tr|A0A452DP35|A0A452DP35_CAPHI, tr|A0A452E9I9|A0A452E9I9_CAPHI, tr|A0A452F4M2|A0A452F4M2_CAPHI
OG0000324	tr|Q8BVP2|Q8BVP2_MOUSE, sp|P00342|LDHC_MOUSE	tr|A0A452EGR2|A0A452EGR2_CAPHI
OG0000325	sp|P34984|OLF13_MOUSE, tr|Q8VGP6|Q8VGP6_MOUSE	tr|A0A452EL47|A0A452EL47_CAPHI, tr|A0A452G4M3|A0A452G4M3_CAPHI, tr|A0A452E0K1|A0A452E0K1_CAPHI, tr|A0A452DUG5|A0A452DUG5_CAPHI, tr|A0A452EB50|A0A452EB50_CAPHI
OG0000326	sp|Q9ES57|MO2R1_MOUSE, sp|Q5UKY4|MO2R3_MOUSE, sp|Q6XJV6|MO2R2_MOUSE, sp|Q6XJV4|MO2R4_MOUSE, sp|Q8BTP3|MO2R5_MOUSE	tr|A0A452FJF5|A0A452FJF5_CAPHI, tr|A0A452ESH9|A0A452ESH9_CAPHI
OG0000327	tr|Q8VFG7|Q8VFG7_MOUSE	tr|A0A452DU60|A0A452DU60_CAPHI
OG0000327	tr|Q7TRZ7|Q7TRZ7_MOUSE	tr|A0A452E3I0|A0A452E3I0_CAPHI, tr|A0A452FPW5|A0A452FPW5_CAPHI, tr|A0A452E124|A0A452E124_CAPHI, tr|A0A452FB76|A0A452FB76_CAPHI
OG0000328	tr|O88222|O88222_MOUSE, tr|F7BTU1|F7BTU1_MOUSE, tr|O88245|O88245_MOUSE, tr|F7AIG4|F7AIG4_MOUSE, tr|J3KMU4|J3KMU4_MOUSE, sp|P24399|ZN239_MOUSE	tr|A0A452DWZ8|A0A452DWZ8_CAPHI
OG0000330	sp|Q99L47|F10A1_MOUSE	tr|A0A452F1P8|A0A452F1P8_CAPHI, tr|A0A452G635|A0A452G635_CAPHI, tr|A0A452EQQ3|A0A452EQQ3_CAPHI, tr|A0A452ER29|A0A452ER29_CAPHI, tr|A0A452FID2|A0A452FID2_CAPHI, tr|A0A452FRI7|A0A452FRI7_CAPHI
OG0000332	sp|P03975|IGEB_MOUSE	tr|A0A452FIS5|A0A452FIS5_CAPHI, tr|A0A452EDM5|A0A452EDM5_CAPHI, tr|A0A452F3Q8|A0A452F3Q8_CAPHI, tr|A0A452EQS7|A0A452EQS7_CAPHI, tr|A0A452ETU6|A0A452ETU6_CAPHI, tr|A0A452G2U1|A0A452G2U1_CAPHI
OG0000334	tr|A2A590|A2A590_MOUSE, sp|Q3V2C1|KRA93_MOUSE, tr|A2A588|A2A588_MOUSE	tr|A0A452EVR2|A0A452EVR2_CAPHI, tr|A0A452G9K0|A0A452G9K0_CAPHI, tr|A0A452ELK9|A0A452ELK9_CAPHI, tr|A0A452FPY8|A0A452FPY8_CAPHI
OG0000336	tr|Q9WV19|Q9WV19_MOUSE	tr|A0A452F601|A0A452F601_CAPHI, tr|A0A452G887|A0A452G887_CAPHI, tr|A0A452FHT9|A0A452FHT9_CAPHI, tr|A0A452FTX2|A0A452FTX2_CAPHI, tr|A0A452F7C3|A0A452F7C3_CAPHI, tr|A0A452EHR2|A0A452EHR2_CAPHI
OG0000337	sp|Q9R092|H17B6_MOUSE	tr|A0A452EB66|A0A452EB66_CAPHI, tr|A0A452GAU9|A0A452GAU9_CAPHI, tr|A0A452E4P6|A0A452E4P6_CAPHI, tr|A0A452G554|A0A452G554_CAPHI, tr|A0A452FY31|A0A452FY31_CAPHI, tr|A0A452FNQ3|A0A452FNQ3_CAPHI
OG0000338	tr|A2AVC3|A2AVC3_MOUSE, tr|A2AVC4|A2AVC4_MOUSE	tr|A0A452F8P0|A0A452F8P0_CAPHI, tr|A0A452FAU8|A0A452FAU8_CAPHI, tr|A0A452DLA0|A0A452DLA0_CAPHI, tr|A0A452DKK5|A0A452DKK5_CAPHI, tr|A0A452G798|A0A452G798_CAPHI
OG0000339	tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE	tr|A0A452DX12|A0A452DX12_CAPHI, tr|A0A452E3X1|A0A452E3X1_CAPHI
OG0000339	tr|Q7TQU0|Q7TQU0_MOUSE, sp|Q60890|OLF11_MOUSE	tr|A0A452E0V4|A0A452E0V4_CAPHI
OG0000340	sp|P23607|ZFA_MOUSE, sp|P17012|ZFX_MOUSE	tr|A0A452EBN5|A0A452EBN5_CAPHI
OG0000340	sp|P20662|ZFY2_MOUSE, sp|P10925|ZFY1_MOUSE	tr|A0A452DVY7|A0A452DVY7_CAPHI, tr|A0A452FS71|A0A452FS71_CAPHI
OG0000341	tr|Q9EPG2|Q9EPG2_MOUSE	tr|A0A452EKY9|A0A452EKY9_CAPHI, tr|A0A452EA20|A0A452EA20_CAPHI
OG0000341	sp|P34986|OLF6_MOUSE	tr|A0A452EDT4|A0A452EDT4_CAPHI
OG0000341	tr|E9Q050|E9Q050_MOUSE	tr|A0A452E2T2|A0A452E2T2_CAPHI
OG0000342	tr|B1AVK5|B1AVK5_MOUSE	tr|A0A452DLL3|A0A452DLL3_CAPHI
OG0000342	tr|Q63ZW6|Q63ZW6_MOUSE	tr|A0A452G3N1|A0A452G3N1_CAPHI, tr|A0A452G6J0|A0A452G6J0_CAPHI, tr|A0A452FMR4|A0A452FMR4_CAPHI, tr|A0A452DL63|A0A452DL63_CAPHI
OG0000343	sp|Q8R0F9|S14L4_MOUSE	tr|A0A452FTQ0|A0A452FTQ0_CAPHI
OG0000343	sp|Q99J08|S14L2_MOUSE	tr|A0A452EKL6|A0A452EKL6_CAPHI
OG0000343	tr|Q5SQ27|Q5SQ27_MOUSE	tr|A0A452DPS5|A0A452DPS5_CAPHI
OG0000345	sp|Q60973|RBBP7_MOUSE	tr|A0A452FMT9|A0A452FMT9_CAPHI
OG0000345	sp|Q60972|RBBP4_MOUSE	tr|A0A452DX70|A0A452DX70_CAPHI, tr|A0A452FUP8|A0A452FUP8_CAPHI, tr|A0A452EUH8|A0A452EUH8_CAPHI, tr|A0A452DQC4|A0A452DQC4_CAPHI
OG0000346	sp|P21845|TRYB2_MOUSE, sp|Q02844|TRYB1_MOUSE, tr|Q80UR4|Q80UR4_MOUSE, sp|Q99MS4|PRS29_MOUSE, sp|Q924N9|PRS28_MOUSE	tr|A0A452G1R6|A0A452G1R6_CAPHI, tr|A0A452EHM3|A0A452EHM3_CAPHI
OG0000347	sp|Q80TS3|AGRL3_MOUSE	tr|A0A452FFA6|A0A452FFA6_CAPHI
OG0000347	sp|Q8JZZ7|AGRL2_MOUSE	tr|A0A452F6H6|A0A452F6H6_CAPHI
OG0000347	sp|Q80TR1|AGRL1_MOUSE	tr|A0A452G3S2|A0A452G3S2_CAPHI
OG0000348	sp|Q3U497|CLM7_MOUSE	tr|A0A452FRU3|A0A452FRU3_CAPHI, tr|A0A452EIC1|A0A452EIC1_CAPHI, tr|A0A452FZR0|A0A452FZR0_CAPHI, tr|A0A452F0P1|A0A452F0P1_CAPHI, tr|A0A452F3P1|A0A452F3P1_CAPHI, tr|A0A452FLG2|A0A452FLG2_CAPHI
OG0000349	tr|Q80UI7|Q80UI7_MOUSE, tr|Q8JZX6|Q8JZX6_MOUSE, sp|Q9QZ15|CLC4A_MOUSE, tr|Q5YIR8|Q5YIR8_MOUSE, tr|Q7TS58|Q7TS58_MOUSE, tr|Q67DU8|Q67DU8_MOUSE	tr|A0A452FRF3|A0A452FRF3_CAPHI
OG0000350	sp|Q91WK5|GCSH_MOUSE	tr|A0A452DNS5|A0A452DNS5_CAPHI, tr|A0A452E4P1|A0A452E4P1_CAPHI, tr|A0A452EX15|A0A452EX15_CAPHI, tr|A0A452E1E4|A0A452E1E4_CAPHI, tr|A0A452E9X9|A0A452E9X9_CAPHI, tr|A0A452DVR5|A0A452DVR5_CAPHI
OG0000351	sp|Q64516|GLPK_MOUSE	tr|A0A452FFR8|A0A452FFR8_CAPHI
OG0000351	sp|Q9WU65|GLPK2_MOUSE	tr|A0A452FHM3|A0A452FHM3_CAPHI, tr|A0A452E4Y9|A0A452E4Y9_CAPHI
OG0000351	tr|Q8C635|Q8C635_MOUSE	tr|A0A452ESH4|A0A452ESH4_CAPHI
OG0000352	tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE	tr|A0A452DNN7|A0A452DNN7_CAPHI
OG0000352	tr|Q8VH13|Q8VH13_MOUSE	tr|A0A452FSN4|A0A452FSN4_CAPHI
OG0000352	tr|Q8VH12|Q8VH12_MOUSE, tr|Q8VH16|Q8VH16_MOUSE	tr|A0A452FFD1|A0A452FFD1_CAPHI
OG0000354	sp|P00848|ATP6_MOUSE	tr|A0A452F0K8|A0A452F0K8_CAPHI, tr|A0A452EDG4|A0A452EDG4_CAPHI, tr|A0A452G285|A0A452G285_CAPHI, tr|A0A452F5I5|A0A452F5I5_CAPHI, sp|Q32644|ATP6_CAPHI, tr|D2KMK0|D2KMK0_CAPHI
OG0000355	tr|L7N264|L7N264_MOUSE, sp|Q9EP96|SO1A4_MOUSE, tr|M0QWR8|M0QWR8_MOUSE, sp|Q99J94|SO1A6_MOUSE, sp|Q91YY5|SO1A5_MOUSE, sp|Q9QXZ6|SO1A1_MOUSE	tr|A0A452F3I5|A0A452F3I5_CAPHI
OG0000356	sp|O70291|GRK4_MOUSE	tr|A0A452FKR5|A0A452FKR5_CAPHI
OG0000356	sp|O70293|GRK6_MOUSE	tr|A0A452FBC0|A0A452FBC0_CAPHI
OG0000356	sp|Q8VEB1|GRK5_MOUSE	tr|A0A452DRK1|A0A452DRK1_CAPHI
OG0000358	sp|Q61414|K1C15_MOUSE	tr|A0A452F6J7|A0A452F6J7_CAPHI
OG0000358	sp|P08730|K1C13_MOUSE	tr|A0A452FBC7|A0A452FBC7_CAPHI
OG0000358	sp|P02535|K1C10_MOUSE, sp|P19001|K1C19_MOUSE	tr|A0A452FYB3|A0A452FYB3_CAPHI
OG0000359	tr|Q8VF15|Q8VF15_MOUSE	tr|A0A452FUP4|A0A452FUP4_CAPHI
OG0000359	tr|Q8VG91|Q8VG91_MOUSE	tr|A0A452E0L5|A0A452E0L5_CAPHI, tr|A0A452EE26|A0A452EE26_CAPHI, tr|A0A452FYC3|A0A452FYC3_CAPHI, tr|A0A452F2L5|A0A452F2L5_CAPHI
OG0000360	sp|P70414|NAC1_MOUSE	tr|A0A452FJM1|A0A452FJM1_CAPHI
OG0000360	sp|S4R2P9|NAC3_MOUSE	tr|A0A452E6I4|A0A452E6I4_CAPHI
OG0000360	sp|Q8K596|NAC2_MOUSE	tr|A0A452DRU1|A0A452DRU1_CAPHI
OG0000361	sp|A2A5X4|KR291_MOUSE, sp|A2A5X5|KR161_MOUSE	tr|A0A452E869|A0A452E869_CAPHI
OG0000361	sp|Q9D7P0|KRA33_MOUSE, sp|Q9D638|KRA32_MOUSE	tr|A0A452G0Y3|A0A452G0Y3_CAPHI, tr|A0A452DQM1|A0A452DQM1_CAPHI
OG0000362	sp|P70670|NACAM_MOUSE	tr|A0A452F1L7|A0A452F1L7_CAPHI, tr|A0A452F3B1|A0A452F3B1_CAPHI, tr|A0A452EI16|A0A452EI16_CAPHI, tr|A0A452ERS2|A0A452ERS2_CAPHI, tr|A0A452E202|A0A452E202_CAPHI, tr|A0A452DT22|A0A452DT22_CAPHI
OG0000364	sp|Q9DBD0|ICA_MOUSE	tr|A0A452EW27|A0A452EW27_CAPHI
OG0000364	sp|P08071|TRFL_MOUSE	tr|A0A452EY47|A0A452EY47_CAPHI, sp|Q29477|TRFL_CAPHI
OG0000364	sp|Q921I1|TRFE_MOUSE	tr|A0A452FJF9|A0A452FJF9_CAPHI
OG0000368	sp|Q923D5|WBP11_MOUSE	tr|A0A452FJW4|A0A452FJW4_CAPHI, tr|A0A452E1W9|A0A452E1W9_CAPHI, tr|A0A452EC24|A0A452EC24_CAPHI, tr|A0A452FRQ5|A0A452FRQ5_CAPHI, tr|A0A452EIQ2|A0A452EIQ2_CAPHI, tr|A0A452E6S5|A0A452E6S5_CAPHI
OG0000369	tr|E9PWZ3|E9PWZ3_MOUSE	tr|A0A452FDN8|A0A452FDN8_CAPHI
OG0000369	sp|P27659|RL3_MOUSE	tr|A0A452F5A7|A0A452F5A7_CAPHI, tr|A0A452E3Q1|A0A452E3Q1_CAPHI, tr|A0A452EVG5|A0A452EVG5_CAPHI, tr|A0A452G2Z1|A0A452G2Z1_CAPHI
OG0000370	sp|Q5BKQ4|LIPR1_MOUSE	tr|A0A452DMJ9|A0A452DMJ9_CAPHI
OG0000370	sp|Q6P8U6|LIPP_MOUSE	tr|A0A452DNU8|A0A452DNU8_CAPHI
OG0000370	sp|P17892|LIPR2_MOUSE	tr|A0A452EXK2|A0A452EXK2_CAPHI, tr|A0A452E9M4|A0A452E9M4_CAPHI
OG0000371	sp|O08573|LEG9_MOUSE	tr|A0A452G582|A0A452G582_CAPHI, tr|A0A452DN72|A0A452DN72_CAPHI, tr|A0A452F5B9|A0A452F5B9_CAPHI, tr|A0A452FAH0|A0A452FAH0_CAPHI, tr|A0A452F1E3|A0A452F1E3_CAPHI, tr|A0A452E0Z6|A0A452E0Z6_CAPHI
OG0000372	sp|Q61183|PAPOA_MOUSE	tr|A0A452G1T8|A0A452G1T8_CAPHI
OG0000372	sp|Q9WVP6|PAPOB_MOUSE	tr|A0A452DVS2|A0A452DVS2_CAPHI, tr|A0A452E314|A0A452E314_CAPHI, tr|A0A452EQQ1|A0A452EQQ1_CAPHI, tr|A0A452FB68|A0A452FB68_CAPHI
OG0000373	sp|Q8K441|ABCA6_MOUSE	tr|A0A452EDS8|A0A452EDS8_CAPHI
OG0000373	sp|Q8K449|ABCA9_MOUSE	tr|A0A452GA13|A0A452GA13_CAPHI
OG0000373	sp|Q8K442|ABC8A_MOUSE, sp|Q8K440|ABC8B_MOUSE	tr|A0A452G8T0|A0A452G8T0_CAPHI
OG0000374	tr|W4VSN7|W4VSN7_MOUSE, sp|P47915|RL29_MOUSE	tr|A0A452E0D0|A0A452E0D0_CAPHI, tr|A0A452DW39|A0A452DW39_CAPHI, tr|A0A452DRS3|A0A452DRS3_CAPHI, tr|A0A452DPW2|A0A452DPW2_CAPHI, tr|A0A452EI45|A0A452EI45_CAPHI
OG0000375	sp|Q9DCY0|KEG1_MOUSE	tr|A0A452G606|A0A452G606_CAPHI
OG0000375	sp|Q5FW57|GLYAL_MOUSE	tr|A0A452EV79|A0A452EV79_CAPHI
OG0000375	sp|Q91XE0|GLYAT_MOUSE	tr|A0A452EGQ2|A0A452EGQ2_CAPHI
OG0000376	sp|Q6QNU9|TLR12_MOUSE, sp|Q6R5P0|TLR11_MOUSE, sp|Q6R5N8|TLR13_MOUSE	tr|A0A452E236|A0A452E236_CAPHI
OG0000376	sp|Q9EPQ1|TLR1_MOUSE, sp|Q9EPW9|TLR6_MOUSE	tr|A0A452FN74|A0A452FN74_CAPHI
OG0000377	sp|O54754|AOXA_MOUSE	tr|A0A452EHB0|A0A452EHB0_CAPHI
OG0000377	sp|Q5SGK3|AOXB_MOUSE	tr|A0A452FEH1|A0A452FEH1_CAPHI
