Orthogroup	Mus_musculus	Mesocricetus_auratus
OG0001234	sp|Q8K3H5|MYO3A_MOUSE	tr|A0A3Q0DBC3|A0A3Q0DBC3_MESAU
OG0001234	sp|Q1EG27|MYO3B_MOUSE	tr|A0A1U7QFY4|A0A1U7QFY4_MESAU
OG0001235	sp|P63242|IF5A1_MOUSE	tr|A0A3Q0DBA5|A0A3Q0DBA5_MESAU, tr|A0A3Q0CKZ3|A0A3Q0CKZ3_MESAU, tr|A0A1U7QHC7|A0A1U7QHC7_MESAU
OG0001236	tr|Q7TQQ3|Q7TQQ3_MOUSE	tr|A0A1U7Q624|A0A1U7Q624_MESAU
OG0001236	tr|Q8VG11|Q8VG11_MOUSE	tr|A0A1U8BFM8|A0A1U8BFM8_MESAU
OG0001237	sp|E9Q4S1|PDE8B_MOUSE	tr|A0A1U7QGN2|A0A1U7QGN2_MESAU
OG0001237	sp|O88502|PDE8A_MOUSE	tr|A0A3Q0CYR0|A0A3Q0CYR0_MESAU
OG0001238	sp|P49443|PPM1A_MOUSE	tr|A0A1U7QR01|A0A1U7QR01_MESAU
OG0001238	sp|P36993|PPM1B_MOUSE	tr|A0A1U7QYF3|A0A1U7QYF3_MESAU
OG0001239	sp|Q6P8J7|KCRS_MOUSE	tr|A0A1U7Q6G4|A0A1U7Q6G4_MESAU
OG0001239	sp|P30275|KCRU_MOUSE	tr|A0A1U7QB73|A0A1U7QB73_MESAU
OG0001240	sp|Q99JR1|SFXN1_MOUSE	tr|A0A1U7QGA1|A0A1U7QGA1_MESAU
OG0001240	sp|Q91V61|SFXN3_MOUSE	tr|A0A1U7Q2N8|A0A1U7Q2N8_MESAU
OG0001241	sp|Q80ZW0|STK35_MOUSE	tr|A0A3Q0CMH1|A0A3Q0CMH1_MESAU
OG0001241	sp|Q8QZR7|PDK1L_MOUSE	tr|A0A1U7QUV7|A0A1U7QUV7_MESAU
OG0001242	sp|O88952|LIN7C_MOUSE	tr|A0A1U7Q352|A0A1U7Q352_MESAU
OG0001242	sp|O88951|LIN7B_MOUSE	tr|A0A1U8CJE5|A0A1U8CJE5_MESAU
OG0001243	sp|P53810|PIPNA_MOUSE	tr|A0A1U7Q896|A0A1U7Q896_MESAU
OG0001243	sp|P53811|PIPNB_MOUSE	tr|A0A1U7QTQ3|A0A1U7QTQ3_MESAU
OG0001244	sp|P55012|S12A2_MOUSE	tr|A0A1U7QMA6|A0A1U7QMA6_MESAU
OG0001244	sp|P55014|S12A1_MOUSE	tr|A0A3Q0CN17|A0A3Q0CN17_MESAU
OG0001245	sp|P26955|IL3RB_MOUSE, sp|P26954|IL3B2_MOUSE	tr|A0A3Q0CKB7|A0A3Q0CKB7_MESAU, tr|A0A1U7RAN5|A0A1U7RAN5_MESAU
OG0001246	sp|Q80TT8|CUL9_MOUSE	tr|A0A1U8BTD5|A0A1U8BTD5_MESAU
OG0001246	sp|Q8VE73|CUL7_MOUSE	tr|A0A1U8BTB4|A0A1U8BTB4_MESAU
OG0001247	sp|Q64282|IFIT1_MOUSE, tr|Q3U687|Q3U687_MOUSE, tr|D3Z6F0|D3Z6F0_MOUSE	tr|A0A3Q0CJD1|A0A3Q0CJD1_MESAU
OG0001248	sp|Q9DCG6|PBLD1_MOUSE, sp|Q9CXN7|PBLD2_MOUSE	tr|A0A3Q0CKK6|A0A3Q0CKK6_MESAU, tr|A0A3Q0CRD8|A0A3Q0CRD8_MESAU
OG0001249	tr|Q8VGZ8|Q8VGZ8_MOUSE	tr|A0A1U7QT32|A0A1U7QT32_MESAU
OG0001249	tr|Q9EQQ7|Q9EQQ7_MOUSE	tr|A0A1U7QVT8|A0A1U7QVT8_MESAU
OG0001250	tr|Q3UTQ6|Q3UTQ6_MOUSE, tr|G3X9T2|G3X9T2_MOUSE, tr|Q9DC47|Q9DC47_MOUSE	tr|A0A1U7RFL7|A0A1U7RFL7_MESAU
OG0001251	sp|P02104|HBE_MOUSE	tr|A0A3Q0CX13|A0A3Q0CX13_MESAU, sp|P02094|HBB_MESAU, tr|A0A3Q0CEV2|A0A3Q0CEV2_MESAU
OG0001252	sp|Q99L43|CDS2_MOUSE	tr|A0A1U7QBF0|A0A1U7QBF0_MESAU
OG0001252	sp|P98191|CDS1_MOUSE	tr|A0A3Q0CVY1|A0A3Q0CVY1_MESAU
OG0001253	sp|Q8C7M3|TRIM9_MOUSE	tr|A0A3Q0CUV5|A0A3Q0CUV5_MESAU
OG0001253	sp|Q505D9|TRI67_MOUSE	tr|A0A3Q0D168|A0A3Q0D168_MESAU
OG0001254	sp|Q66JT1|LRC8E_MOUSE	tr|A0A1U8CNF7|A0A1U8CNF7_MESAU
OG0001254	sp|Q8R502|LRC8C_MOUSE	tr|A0A1U8CE62|A0A1U8CE62_MESAU
OG0001255	sp|Q6DIA9|FBX27_MOUSE	tr|A0A3Q0CD70|A0A3Q0CD70_MESAU
OG0001255	sp|Q9QZM8|FBX17_MOUSE	tr|A0A1U7R5D5|A0A1U7R5D5_MESAU
OG0001256	sp|Q9DB16|CB39L_MOUSE	tr|A0A3Q0CZ74|A0A3Q0CZ74_MESAU
OG0001256	sp|Q06138|CAB39_MOUSE	tr|A0A3Q0DA30|A0A3Q0DA30_MESAU
OG0001257	tr|G5E904|G5E904_MOUSE, sp|O35403|ST3A1_MOUSE	tr|A0A1U7QGA7|A0A1U7QGA7_MESAU, tr|A0A1U8BVH1|A0A1U8BVH1_MESAU
OG0001258	sp|P70266|F261_MOUSE	tr|A0A3Q0CET6|A0A3Q0CET6_MESAU
OG0001258	sp|Q6DTY7|F264_MOUSE	tr|A0A1U7QLZ4|A0A1U7QLZ4_MESAU
OG0001259	sp|P61967|AP1S1_MOUSE	tr|A0A3Q0D6Q7|A0A3Q0D6Q7_MESAU
OG0001259	sp|Q9DB50|AP1S2_MOUSE	tr|A0A3Q0CX43|A0A3Q0CX43_MESAU
OG0001260	sp|Q5DU57|SPT13_MOUSE	tr|A0A3Q0CZA1|A0A3Q0CZA1_MESAU
OG0001260	sp|Q3UTH8|ARHG9_MOUSE	tr|A0A1U8CBG9|A0A1U8CBG9_MESAU
OG0001261	sp|Q9Z1L5|CA2D3_MOUSE	tr|A0A3Q0CYJ3|A0A3Q0CYJ3_MESAU
OG0001261	sp|Q5RJF7|CA2D4_MOUSE	tr|A0A1U7QET3|A0A1U7QET3_MESAU
OG0001262	sp|P49446|PTPRE_MOUSE	tr|A0A3Q0CSX8|A0A3Q0CSX8_MESAU
OG0001262	sp|P18052|PTPRA_MOUSE	tr|A0A1U8BWA3|A0A1U8BWA3_MESAU
OG0001263	sp|P48967|MPIP3_MOUSE	tr|A0A1U7QYV8|A0A1U7QYV8_MESAU, tr|A0A1U8CI83|A0A1U8CI83_MESAU, sp|P48968|MPIP3_MESAU
OG0001264	sp|P70303|PYRG2_MOUSE	tr|A0A1U8C0H7|A0A1U8C0H7_MESAU
OG0001264	sp|P70698|PYRG1_MOUSE	tr|A0A1U8CTW9|A0A1U8CTW9_MESAU
OG0001265	sp|P13020|GELS_MOUSE	tr|A0A1U7R6U4|A0A1U7R6U4_MESAU
OG0001265	sp|Q60604|SCIN_MOUSE	tr|A0A3Q0D0H9|A0A3Q0D0H9_MESAU
OG0001266	sp|Q922W5|P5CR1_MOUSE	tr|A0A3Q0CPP6|A0A3Q0CPP6_MESAU
OG0001266	sp|Q922Q4|P5CR2_MOUSE	tr|A0A1U8C841|A0A1U8C841_MESAU
OG0001267	sp|Q9JLQ2|GIT2_MOUSE	tr|A0A1U7QTT3|A0A1U7QTT3_MESAU
OG0001267	sp|Q68FF6|GIT1_MOUSE	tr|A0A3Q0D2S7|A0A3Q0D2S7_MESAU
OG0001268	sp|P31361|PO3F3_MOUSE	tr|A0A3Q0D0C6|A0A3Q0D0C6_MESAU
OG0001268	sp|P62515|PO3F4_MOUSE	sp|Q812B1|PO3F4_MESAU
OG0001269	sp|Q6P3D0|NUD16_MOUSE	tr|A0A1U7R641|A0A1U7R641_MESAU
OG0001269	tr|E9Q9G1|E9Q9G1_MOUSE	tr|A0A1U7QAQ4|A0A1U7QAQ4_MESAU
OG0001270	sp|O35526|STX1A_MOUSE	tr|A0A1U7QJS4|A0A1U7QJS4_MESAU
OG0001270	sp|P61264|STX1B_MOUSE	tr|A0A1U7QEE5|A0A1U7QEE5_MESAU
OG0001272	sp|E9Q4N7|ARI1B_MOUSE	tr|A0A3Q0CIK2|A0A3Q0CIK2_MESAU
OG0001272	sp|A2BH40|ARI1A_MOUSE	tr|A0A3Q0D1W4|A0A3Q0D1W4_MESAU
OG0001273	sp|P28650|PURA1_MOUSE	tr|A0A1U7Q4F0|A0A1U7Q4F0_MESAU
OG0001273	sp|P46664|PURA2_MOUSE	tr|A0A3Q0D2N4|A0A3Q0D2N4_MESAU
OG0001274	tr|Q6NSQ5|Q6NSQ5_MOUSE, tr|E9Q422|E9Q422_MOUSE, tr|Q8C898|Q8C898_MOUSE	tr|A0A3Q0DB28|A0A3Q0DB28_MESAU
OG0001275	sp|Q6P9Z1|SMRD3_MOUSE	tr|A0A1U8CSW4|A0A1U8CSW4_MESAU
OG0001275	sp|Q61466|SMRD1_MOUSE	tr|A0A1U7Q9S2|A0A1U7Q9S2_MESAU
OG0001276	tr|L7N232|L7N232_MOUSE, tr|Q80XR7|Q80XR7_MOUSE, tr|Q8BIC7|Q8BIC7_MOUSE	tr|A0A1U7R5J6|A0A1U7R5J6_MESAU
OG0001277	tr|Q8VGJ1|Q8VGJ1_MOUSE, sp|Q60885|OLF9_MOUSE, tr|Q8VGC1|Q8VGC1_MOUSE	tr|A0A1U7R5J7|A0A1U7R5J7_MESAU
OG0001278	tr|Q5SZT6|Q5SZT6_MOUSE	tr|A0A3Q0CA82|A0A3Q0CA82_MESAU
OG0001278	sp|Q91VW9|ZKSC3_MOUSE	tr|A0A1U8CNW2|A0A1U8CNW2_MESAU
OG0001279	sp|Q8BW75|AOFB_MOUSE	tr|A0A1U7R6P4|A0A1U7R6P4_MESAU
OG0001279	sp|Q64133|AOFA_MOUSE	tr|A0A1U8CA40|A0A1U8CA40_MESAU
OG0001280	sp|P70312|HYAS2_MOUSE	tr|A0A1U8CRG4|A0A1U8CRG4_MESAU
OG0001280	sp|O08650|HYAS3_MOUSE	tr|A0A3Q0D0X6|A0A3Q0D0X6_MESAU
OG0001281	sp|Q8CFG8|CS1B_MOUSE, sp|Q8CG14|CS1A_MOUSE	tr|A0A1U7Q699|A0A1U7Q699_MESAU, sp|P15156|CASP_MESAU
OG0001282	sp|Q9CQE1|NPS3B_MOUSE	tr|A0A1U7QX00|A0A1U7QX00_MESAU
OG0001282	tr|B1AWZ3|B1AWZ3_MOUSE	tr|A0A1U7QLK2|A0A1U7QLK2_MESAU
OG0001283	sp|P59511|ATS20_MOUSE	tr|A0A3Q0CFC2|A0A3Q0CFC2_MESAU
OG0001283	tr|E9PUN6|E9PUN6_MOUSE	tr|A0A1U7QNF5|A0A1U7QNF5_MESAU
OG0001284	sp|Q6P5E4|UGGG1_MOUSE	tr|A0A3Q0CYW3|A0A3Q0CYW3_MESAU
OG0001284	tr|E9Q4X2|E9Q4X2_MOUSE	tr|A0A1U8CAW8|A0A1U8CAW8_MESAU
OG0001285	sp|P63037|DNJA1_MOUSE	tr|A0A1U8CHE2|A0A1U8CHE2_MESAU
OG0001285	sp|Q9JMC3|DNJA4_MOUSE	tr|A0A1U7QCR1|A0A1U7QCR1_MESAU
OG0001286	tr|D3Z1A5|D3Z1A5_MOUSE	tr|A0A1U7Q3E6|A0A1U7Q3E6_MESAU
OG0001286	sp|P58459|ATS10_MOUSE	tr|A0A1U7QUT2|A0A1U7QUT2_MESAU
OG0001287	sp|Q9DAK3|RHBT1_MOUSE	tr|A0A1U7QEX7|A0A1U7QEX7_MESAU
OG0001287	sp|Q91V93|RHBT2_MOUSE	tr|A0A1U7Q6P9|A0A1U7Q6P9_MESAU
OG0001288	sp|O55203|LDB2_MOUSE	tr|A0A1U7Q9M0|A0A1U7Q9M0_MESAU
OG0001288	sp|P70662|LDB1_MOUSE	tr|A0A1U7Q2N4|A0A1U7Q2N4_MESAU
OG0001289	sp|Q9JMK0|B4GT5_MOUSE	tr|A0A1U7QA69|A0A1U7QA69_MESAU
OG0001289	sp|Q9WVK5|B4GT6_MOUSE	tr|A0A3Q0DDI8|A0A3Q0DDI8_MESAU
OG0001290	tr|E9PWF9|E9PWF9_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE	tr|A0A3Q0CFW9|A0A3Q0CFW9_MESAU
OG0001291	tr|A0A1B0GSB0|A0A1B0GSB0_MOUSE, tr|B3F5L4|B3F5L4_MOUSE, sp|Q2VLH6|C163A_MOUSE	tr|A0A3Q0CI20|A0A3Q0CI20_MESAU
OG0001292	sp|A2RSQ0|DEN5B_MOUSE	tr|A0A3Q0CV47|A0A3Q0CV47_MESAU
OG0001292	sp|Q6PAL8|DEN5A_MOUSE	tr|A0A3Q0D002|A0A3Q0D002_MESAU
OG0001293	sp|Q61554|FBN1_MOUSE	tr|A0A1U8BKX0|A0A1U8BKX0_MESAU
OG0001293	sp|Q61555|FBN2_MOUSE	tr|A0A1U7Q9X5|A0A1U7Q9X5_MESAU
OG0001294	tr|Q8CC62|Q8CC62_MOUSE	tr|A0A1U7Q758|A0A1U7Q758_MESAU
OG0001294	sp|Q810U2|TDM1A_MOUSE	tr|A0A1U7QNL1|A0A1U7QNL1_MESAU
OG0001295	sp|Q3UHB1|NT5D3_MOUSE	tr|A0A3Q0CGH9|A0A3Q0CGH9_MESAU
OG0001295	tr|A0A2I3BR81|A0A2I3BR81_MOUSE	tr|A0A1U7R3T2|A0A1U7R3T2_MESAU
OG0001296	sp|Q8JZW8|PNMA3_MOUSE	tr|A0A1U8CW05|A0A1U8CW05_MESAU
OG0001296	sp|Q8C1C8|PNMA1_MOUSE	tr|A0A1U7RFZ8|A0A1U7RFZ8_MESAU
OG0001297	sp|Q3THS6|METK2_MOUSE	tr|A0A1U7QL04|A0A1U7QL04_MESAU
OG0001297	sp|Q91X83|METK1_MOUSE	tr|A0A1U8CM83|A0A1U8CM83_MESAU
OG0001298	tr|E9Q6R7|E9Q6R7_MOUSE	tr|A0A1U8D555|A0A1U8D555_MESAU
OG0001298	sp|P11531|DMD_MOUSE	tr|A0A3Q0D7S7|A0A3Q0D7S7_MESAU
OG0001299	sp|Q03350|TSP2_MOUSE	tr|A0A3Q0DCQ9|A0A3Q0DCQ9_MESAU
OG0001299	sp|P35441|TSP1_MOUSE	tr|A0A1U7Q315|A0A1U7Q315_MESAU
OG0001300	tr|B1AR10|B1AR10_MOUSE	tr|A0A3Q0DBC4|A0A3Q0DBC4_MESAU, tr|A0A1U7R970|A0A1U7R970_MESAU, tr|A0A1U8CS69|A0A1U8CS69_MESAU
OG0001301	sp|Q61990|PCBP2_MOUSE	tr|A0A3Q0CMK8|A0A3Q0CMK8_MESAU
OG0001301	sp|P60335|PCBP1_MOUSE	tr|A0A1U7QFH5|A0A1U7QFH5_MESAU
OG0001302	sp|Q5RJI2|CTL5_MOUSE	tr|A0A3Q0D8F8|A0A3Q0D8F8_MESAU
OG0001302	sp|Q8BY89|CTL2_MOUSE	tr|A0A3Q0CZW3|A0A3Q0CZW3_MESAU
OG0001303	tr|Q7TRS6|Q7TRS6_MOUSE	tr|A0A1U7Q9W8|A0A1U7Q9W8_MESAU
OG0001303	tr|E9Q546|E9Q546_MOUSE	tr|A0A1U7QVQ9|A0A1U7QVQ9_MESAU
OG0001304	sp|Q99MR0|ACL6B_MOUSE	tr|A0A1U7R3W0|A0A1U7R3W0_MESAU
OG0001304	sp|Q9Z2N8|ACL6A_MOUSE	tr|A0A1U8BQY9|A0A1U8BQY9_MESAU
OG0001305	sp|Q8K273|EMC5_MOUSE	tr|A0A3Q0DDY5|A0A3Q0DDY5_MESAU
OG0001305	sp|Q8R3L0|MMGT2_MOUSE	tr|A0A1U8BHC2|A0A1U8BHC2_MESAU
OG0001306	tr|Q8BS30|Q8BS30_MOUSE, sp|F2Z472|SVS3A_MOUSE, tr|Q8BZH8|Q8BZH8_MOUSE	tr|A0A1U8D323|A0A1U8D323_MESAU
OG0001307	tr|E0CZ42|E0CZ42_MOUSE	tr|A0A3Q0DC37|A0A3Q0DC37_MESAU
OG0001307	sp|Q9ESF1|OTOF_MOUSE	tr|A0A1U8BZC3|A0A1U8BZC3_MESAU
OG0001308	sp|O88174|MCP_MOUSE	tr|A0A3Q0D2F0|A0A3Q0D2F0_MESAU, tr|A0A1U7Q919|A0A1U7Q919_MESAU, tr|A0A1U8CRM3|A0A1U8CRM3_MESAU
OG0001309	sp|Q9EQF4|JUNO_MOUSE, sp|Q05685|FOLR2_MOUSE, sp|P35846|FOLR1_MOUSE	tr|A0A1U7QHH8|A0A1U7QHH8_MESAU
OG0001310	sp|Q8BH59|S2512_MOUSE	tr|A0A3Q0D540|A0A3Q0D540_MESAU
OG0001310	sp|Q9QXX4|S2513_MOUSE	tr|A0A1U7R814|A0A1U7R814_MESAU
OG0001311	sp|Q8BUN5|SMAD3_MOUSE	tr|A0A1U7QN15|A0A1U7QN15_MESAU
OG0001311	sp|Q62432|SMAD2_MOUSE	tr|A0A3Q0D1D1|A0A3Q0D1D1_MESAU
OG0001312	sp|Q9CQ24|FBX36_MOUSE	tr|A0A3Q0D6V5|A0A3Q0D6V5_MESAU
OG0001312	sp|Q9DAM5|TPC_MOUSE	tr|A0A3Q0CQ88|A0A3Q0CQ88_MESAU
OG0001313	sp|Q8K0D0|CDK17_MOUSE	tr|A0A1U8BVQ6|A0A1U8BVQ6_MESAU
OG0001313	sp|Q04735|CDK16_MOUSE	tr|A0A1U7R699|A0A1U7R699_MESAU
OG0001314	sp|Q5G5D5|SYNA_MOUSE	tr|A0A1U7Q9S5|A0A1U7Q9S5_MESAU
OG0001314	sp|Q8BI41|SYNB_MOUSE	tr|A0A1U7Q461|A0A1U7Q461_MESAU
OG0001315	sp|Q8R3R5|T185B_MOUSE	tr|A0A1U7QLW7|A0A1U7QLW7_MESAU
OG0001315	sp|A2AF53|T185A_MOUSE	tr|A0A1U7RFS8|A0A1U7RFS8_MESAU
OG0001316	sp|Q64707|U2AFL_MOUSE	tr|A0A1U8C0I1|A0A1U8C0I1_MESAU
OG0001316	sp|Q62377|U2AFM_MOUSE	tr|A0A1U7QA14|A0A1U7QA14_MESAU
OG0001317	sp|P70704|AT8A1_MOUSE	tr|A0A3Q0CSB1|A0A3Q0CSB1_MESAU
OG0001317	sp|P98200|AT8A2_MOUSE	tr|A0A3Q0CZA9|A0A3Q0CZA9_MESAU
OG0001318	sp|P28047|WNT7B_MOUSE	tr|A0A1U7Q3Z5|A0A1U7Q3Z5_MESAU
OG0001318	sp|P24383|WNT7A_MOUSE	tr|A0A1U7Q6Y2|A0A1U7Q6Y2_MESAU
OG0001319	sp|P32037|GTR3_MOUSE	tr|A0A1U8BR11|A0A1U8BR11_MESAU
OG0001319	sp|P17809|GTR1_MOUSE	tr|A0A1U7R993|A0A1U7R993_MESAU
OG0001320	sp|Q80TN7|NAV3_MOUSE	tr|A0A1U8BVP1|A0A1U8BVP1_MESAU
OG0001320	tr|E9Q842|E9Q842_MOUSE	tr|A0A1U8CFX8|A0A1U8CFX8_MESAU
OG0001321	sp|Q60756|TCF15_MOUSE, sp|Q64124|SCX_MOUSE	tr|A0A1U7Q332|A0A1U7Q332_MESAU, sp|Q60539|TCF15_MESAU
OG0001322	sp|Q3ULA2|FBW1A_MOUSE	tr|A0A1U8BU13|A0A1U8BU13_MESAU
OG0001322	sp|Q5SRY7|FBW1B_MOUSE	tr|A0A1U8BVW1|A0A1U8BVW1_MESAU
OG0001323	sp|Q922D8|C1TC_MOUSE	tr|A0A3Q0CUU0|A0A3Q0CUU0_MESAU
OG0001323	sp|Q3V3R1|C1TM_MOUSE	tr|A0A3Q0CHX2|A0A3Q0CHX2_MESAU
OG0001324	sp|P97784|CRY1_MOUSE	tr|A0A3Q0DD22|A0A3Q0DD22_MESAU
OG0001324	sp|Q9R194|CRY2_MOUSE	tr|A0A1U7QCS6|A0A1U7QCS6_MESAU
OG0001325	sp|Q80XR2|AT2C1_MOUSE	tr|A0A1U7QX20|A0A1U7QX20_MESAU
OG0001325	sp|A7L9Z8|AT2C2_MOUSE	tr|A0A1U7QRH9|A0A1U7QRH9_MESAU
OG0001326	sp|Q921L8|GLT11_MOUSE	tr|A0A1U8CTP7|A0A1U8CTP7_MESAU
OG0001326	sp|Q9D4M9|GLTL5_MOUSE	tr|A0A1U7RBU0|A0A1U7RBU0_MESAU
OG0001327	sp|Q9Z0V1|KCND3_MOUSE	tr|A0A1U7QPN6|A0A1U7QPN6_MESAU
OG0001327	sp|Q9Z0V2|KCND2_MOUSE	tr|A0A1U7QS64|A0A1U7QS64_MESAU
OG0001328	sp|Q91VN0|LRP5_MOUSE	tr|A0A1U7QDY2|A0A1U7QDY2_MESAU
OG0001328	sp|O88572|LRP6_MOUSE	tr|A0A1U7QTT4|A0A1U7QTT4_MESAU
OG0001329	sp|P70392|RGRF2_MOUSE	tr|A0A1U8CQF7|A0A1U8CQF7_MESAU
OG0001329	sp|P27671|RGRF1_MOUSE	tr|A0A1U8CDC6|A0A1U8CDC6_MESAU
OG0001330	sp|O08863|BIRC3_MOUSE, sp|Q62210|BIRC2_MOUSE	tr|A0A3Q0CJ95|A0A3Q0CJ95_MESAU, tr|A0A3Q0D392|A0A3Q0D392_MESAU
OG0001331	sp|Q9DB05|SNAA_MOUSE	tr|A0A1U8CYN1|A0A1U8CYN1_MESAU
OG0001331	sp|P28663|SNAB_MOUSE	tr|A0A3Q0CUG8|A0A3Q0CUG8_MESAU
OG0001332	sp|Q14BI2|GRM2_MOUSE	tr|A0A1U8BYR2|A0A1U8BYR2_MESAU
OG0001332	sp|Q9QYS2|GRM3_MOUSE	tr|A0A1U7QYC4|A0A1U7QYC4_MESAU
OG0001333	sp|Q8VHP7|ILEUB_MOUSE, sp|Q5SV42|ILEUC_MOUSE, sp|Q9D154|ILEUA_MOUSE	tr|A0A1U8BR26|A0A1U8BR26_MESAU
OG0001334	sp|Q91XL9|OSBL1_MOUSE	tr|A0A3Q0DCY4|A0A3Q0DCY4_MESAU
OG0001334	sp|Q8BX94|OSBL2_MOUSE	tr|A0A1U7QWG1|A0A1U7QWG1_MESAU
OG0001335	sp|Q6ZQ18|EFR3B_MOUSE	tr|A0A1U8C795|A0A1U8C795_MESAU
OG0001335	sp|Q8BG67|EFR3A_MOUSE	tr|A0A1U7R3L4|A0A1U7R3L4_MESAU
OG0001336	sp|Q8R534|ADM1B_MOUSE	tr|A0A1U8CLG6|A0A1U8CLG6_MESAU
OG0001336	sp|Q60813|ADM1A_MOUSE	tr|A0A1U7QWQ7|A0A1U7QWQ7_MESAU
OG0001337	tr|Q9D519|Q9D519_MOUSE, tr|Q497M0|Q497M0_MOUSE	tr|A0A1U7RF74|A0A1U7RF74_MESAU, tr|A0A1U7R4W3|A0A1U7R4W3_MESAU
OG0001338	sp|Q9Z2G0|FEM1B_MOUSE, sp|Q9Z2G1|FM1AA_MOUSE, sp|Q8C0T1|FM1AB_MOUSE	tr|A0A1U7R5H0|A0A1U7R5H0_MESAU
OG0001339	sp|Q9ES46|PARVB_MOUSE	tr|A0A3Q0CK75|A0A3Q0CK75_MESAU
OG0001339	sp|Q9EPC1|PARVA_MOUSE	tr|A0A1U7QK92|A0A1U7QK92_MESAU
OG0001340	sp|P22518|CLK1_MOUSE	tr|A0A1U7QEL6|A0A1U7QEL6_MESAU
OG0001340	sp|O35493|CLK4_MOUSE	tr|A0A1U8BVT6|A0A1U8BVT6_MESAU
OG0001341	tr|E9Q3K2|E9Q3K2_MOUSE	tr|A0A1U7QLG4|A0A1U7QLG4_MESAU
OG0001341	tr|Q8VF37|Q8VF37_MOUSE	tr|A0A1U7QCZ2|A0A1U7QCZ2_MESAU
OG0001342	sp|P61164|ACTZ_MOUSE	tr|A0A1U8BI71|A0A1U8BI71_MESAU
OG0001342	sp|Q8R5C5|ACTY_MOUSE	tr|A0A1U7QJU9|A0A1U7QJU9_MESAU
OG0001343	sp|Q3UV74|ITB2L_MOUSE	tr|A0A1U8BT74|A0A1U8BT74_MESAU
OG0001343	sp|P11835|ITB2_MOUSE	tr|A0A1U7R5P8|A0A1U7R5P8_MESAU
OG0001344	sp|P32507|NECT2_MOUSE	tr|A0A1U7R2X8|A0A1U7R2X8_MESAU
OG0001344	tr|Q8K094|Q8K094_MOUSE	tr|A0A1U8CMW7|A0A1U8CMW7_MESAU
OG0001345	sp|Q9D8X5|CNOT8_MOUSE	tr|A0A3Q0CNC3|A0A3Q0CNC3_MESAU
OG0001345	sp|Q60809|CNOT7_MOUSE	tr|A0A1U8BFK6|A0A1U8BFK6_MESAU
OG0001346	sp|Q8C7U7|GALT6_MOUSE	tr|A0A1U8BU90|A0A1U8BU90_MESAU
OG0001346	sp|P70419|GALT3_MOUSE	tr|A0A1U7QFY9|A0A1U7QFY9_MESAU
OG0001347	sp|Q9QUS6|TRIM1_MOUSE	tr|A0A1U7R7C3|A0A1U7R7C3_MESAU
OG0001347	sp|O70583|TRI18_MOUSE	tr|A0A1U8BXD6|A0A1U8BXD6_MESAU
OG0001348	sp|O54781|SRPK2_MOUSE	tr|A0A1U8CLF2|A0A1U8CLF2_MESAU
OG0001348	sp|Q9Z0G2|SRPK3_MOUSE	tr|A0A1U7RGR2|A0A1U7RGR2_MESAU
OG0001349	sp|Q5DQR4|STB5L_MOUSE	tr|A0A3Q0CU69|A0A3Q0CU69_MESAU
OG0001349	sp|Q8K400|STXB5_MOUSE	tr|A0A3Q0CHK9|A0A3Q0CHK9_MESAU
OG0001350	sp|Q8R121|ZPI_MOUSE	tr|A0A3Q0CM27|A0A3Q0CM27_MESAU
OG0001350	sp|Q06770|CBG_MOUSE	sp|Q60543|CBG_MESAU
OG0001351	sp|Q9QX29|TRPC5_MOUSE	tr|A0A1U7QN68|A0A1U7QN68_MESAU
OG0001351	sp|Q9QUQ5|TRPC4_MOUSE	tr|A0A1U8C6S6|A0A1U8C6S6_MESAU
OG0001352	sp|Q9WVP1|AP1M2_MOUSE	tr|A0A1U7QT54|A0A1U7QT54_MESAU
OG0001352	sp|P35585|AP1M1_MOUSE	tr|A0A1U7R432|A0A1U7R432_MESAU
OG0001353	sp|Q8BRK8|AAPK2_MOUSE	tr|A0A3Q0CTZ5|A0A3Q0CTZ5_MESAU
OG0001353	sp|Q5EG47|AAPK1_MOUSE	tr|A0A3Q0CDP0|A0A3Q0CDP0_MESAU
OG0001354	tr|Q8VG91|Q8VG91_MOUSE	tr|A0A1U7QML4|A0A1U7QML4_MESAU
OG0001354	tr|Q8VF15|Q8VF15_MOUSE	tr|A0A1U7Q565|A0A1U7Q565_MESAU
OG0001355	sp|Q8BH69|SPS1_MOUSE	tr|A0A1U7QXL5|A0A1U7QXL5_MESAU
OG0001355	sp|P97364|SPS2_MOUSE	tr|A0A1U7R764|A0A1U7R764_MESAU
OG0001356	sp|Q8C0S4|TT21A_MOUSE	tr|A0A1U8CPE4|A0A1U8CPE4_MESAU
OG0001356	sp|Q0HA38|TT21B_MOUSE	tr|A0A1U7QDF4|A0A1U7QDF4_MESAU
OG0001357	tr|B2RWH8|B2RWH8_MOUSE, tr|Q8C116|Q8C116_MOUSE, tr|G3X946|G3X946_MOUSE	tr|A0A1U7QNS3|A0A1U7QNS3_MESAU
OG0001358	tr|E9PUZ9|E9PUZ9_MOUSE	tr|A0A1U7Q405|A0A1U7Q405_MESAU
OG0001358	sp|Q69ZS0|PZRN3_MOUSE	tr|A0A1U7QNH3|A0A1U7QNH3_MESAU
