Orthogroup	Mus_musculus	Eschrichtius_robustus
OG0000455	sp|P48036|ANXA5_MOUSE, sp|P14824|ANXA6_MOUSE, sp|P97429|ANXA4_MOUSE, sp|O35639|ANXA3_MOUSE, sp|Q9JHQ0|ANXA9_MOUSE	tr|A0A2F0B5Y7|A0A2F0B5Y7_ESCRO
OG0000456	sp|Q9JJF0|NP1L5_MOUSE, sp|P28656|NP1L1_MOUSE, sp|Q78ZA7|NP1L4_MOUSE, sp|P51860|NP1L2_MOUSE, sp|Q794H2|NP1L3_MOUSE	tr|A0A2F0BE04|A0A2F0BE04_ESCRO
OG0000457	sp|Q61545|EWS_MOUSE	tr|A0A2F0B0W5|A0A2F0B0W5_ESCRO
OG0000457	tr|Q8BQ46|Q8BQ46_MOUSE, sp|P56959|FUS_MOUSE, sp|Q9R020|ZRAB2_MOUSE	tr|A0A2F0BM71|A0A2F0BM71_ESCRO
OG0000458	sp|P50586|TUB_MOUSE	tr|A0A2F0AV53|A0A2F0AV53_ESCRO
OG0000458	sp|P46686|TULP2_MOUSE	tr|A0A2F0AY72|A0A2F0AY72_ESCRO
OG0000458	sp|Q9Z273|TULP1_MOUSE	tr|A0A2F0AY04|A0A2F0AY04_ESCRO
OG0000459	sp|Q80YV3|TRRAP_MOUSE, sp|P97313|PRKDC_MOUSE, sp|Q9JLN9|MTOR_MOUSE, sp|Q62388|ATM_MOUSE, sp|Q9JKK8|ATR_MOUSE	tr|A0A2F0BCY8|A0A2F0BCY8_ESCRO
OG0000460	sp|P39053|DYN1_MOUSE	tr|A0A2F0AV48|A0A2F0AV48_ESCRO
OG0000460	sp|Q8BZ98|DYN3_MOUSE, sp|P39054|DYN2_MOUSE, sp|Q8K1M6|DNM1L_MOUSE	tr|A0A2F0BGF2|A0A2F0BGF2_ESCRO
OG0000461	sp|Q9D4J7|PHF6_MOUSE, tr|B4XVQ1|B4XVQ1_MOUSE, sp|Q8BVM9|PH11A_MOUSE, sp|A6H5X4|PHF11_MOUSE, tr|B4XVP9|B4XVP9_MOUSE	tr|A0A2F0AYV1|A0A2F0AYV1_ESCRO
OG0000462	sp|Q7TN31|AGGF1_MOUSE, sp|Q8BI72|CARF_MOUSE, sp|Q8BY02|NKRF_MOUSE, sp|Q9D211|C2AIL_MOUSE, sp|Q8CGZ0|CHERP_MOUSE	tr|A0A2F0BQB2|A0A2F0BQB2_ESCRO
OG0000463	sp|Q9D2P8|MOBP_MOUSE, sp|Q8K3I4|MYRIP_MOUSE, sp|Q91V27|MELPH_MOUSE, sp|Q80T23|SYTL5_MOUSE, sp|Q9R0Q1|SYTL4_MOUSE	tr|A0A2F0BN43|A0A2F0BN43_ESCRO
OG0000464	sp|Q9ERG2|STRN3_MOUSE, sp|O55106|STRN_MOUSE, sp|Q8CBE3|WDR37_MOUSE, sp|Q8BGF3|DAA10_MOUSE, sp|P58404|STRN4_MOUSE	tr|A0A2F0AWC3|A0A2F0AWC3_ESCRO
OG0000465	sp|Q6SJE0|GFRAL_MOUSE, sp|Q9JJT2|GFRA4_MOUSE, sp|O08842|GFRA2_MOUSE, sp|P97785|GFRA1_MOUSE, sp|O35118|GFRA3_MOUSE	tr|A0A2F0B680|A0A2F0B680_ESCRO
OG0000503	sp|Q99PN0|SC5A5_MOUSE	tr|A0A2F0BJZ8|A0A2F0BJZ8_ESCRO
OG0000503	sp|Q8BYF6|SC5A8_MOUSE, sp|Q49B93|SC5AC_MOUSE	tr|A0A2F0AYG8|A0A2F0AYG8_ESCRO
OG0000504	sp|P24547|IMDH2_MOUSE	tr|A0A2F0BGQ6|A0A2F0BGQ6_ESCRO, tr|A0A2F0BM29|A0A2F0BM29_ESCRO, tr|A0A2F0BPL4|A0A2F0BPL4_ESCRO, tr|A0A2F0BHB9|A0A2F0BHB9_ESCRO
OG0000505	sp|Q8BLJ3|PLCX3_MOUSE	tr|A0A2F0B4G4|A0A2F0B4G4_ESCRO
OG0000505	sp|Q8CHS4|PLCX1_MOUSE, sp|B2RXA1|PLCX2_MOUSE	tr|A0A2F0B8F7|A0A2F0B8F7_ESCRO
OG0000506	sp|Q61035|HARS1_MOUSE	tr|A0A2F0BJ78|A0A2F0BJ78_ESCRO
OG0000506	sp|Q99KK9|SYHM_MOUSE, sp|Q9QZ05|E2AK4_MOUSE	tr|A0A2F0BJ83|A0A2F0BJ83_ESCRO
OG0000507	sp|Q9Z262|CLD6_MOUSE	tr|A0A2F0BL95|A0A2F0BL95_ESCRO
OG0000507	sp|Q9Z0S7|CLD9_MOUSE	tr|A0A2F0B576|A0A2F0B576_ESCRO, tr|A0A2F0BLA2|A0A2F0BLA2_ESCRO
OG0000508	sp|P28661|SEPT4_MOUSE	tr|A0A2F0B5K3|A0A2F0B5K3_ESCRO
OG0000508	sp|P42209|SEPT1_MOUSE	tr|A0A2F0BMI1|A0A2F0BMI1_ESCRO, tr|A0A2F0BIG3|A0A2F0BIG3_ESCRO
OG0000509	sp|Q02053|UBA1_MOUSE, sp|P31254|UBA1Y_MOUSE, sp|Q8C7R4|UBA6_MOUSE, tr|Q9DBK7|Q9DBK7_MOUSE	tr|A0A2F0B057|A0A2F0B057_ESCRO
OG0000510	sp|P46735|MYO1B_MOUSE, sp|O88329|MYO1A_MOUSE, sp|Q1EG27|MYO3B_MOUSE, sp|Q8K3H5|MYO3A_MOUSE	tr|A0A2F0B356|A0A2F0B356_ESCRO
OG0000511	sp|Q8C2B3|HDAC7_MOUSE	tr|A0A2F0B528|A0A2F0B528_ESCRO
OG0000511	sp|Q6NZM9|HDAC4_MOUSE, sp|Q9Z2V6|HDAC5_MOUSE	tr|A0A2F0BIP6|A0A2F0BIP6_ESCRO
OG0000512	sp|P0C871|PA24B_MOUSE	tr|A0A2F0BF31|A0A2F0BF31_ESCRO
OG0000512	sp|Q50L41|PA24F_MOUSE	tr|A0A2F0B9W4|A0A2F0B9W4_ESCRO, tr|A0A2F0B7H9|A0A2F0B7H9_ESCRO
OG0000513	sp|Q9D5I4|DYLT5_MOUSE, sp|Q9CQ66|DYT2B_MOUSE, sp|Q8CDY7|DYLT4_MOUSE, sp|P11985|DYLT2_MOUSE	tr|A0A2F0BI48|A0A2F0BI48_ESCRO
OG0000514	tr|Q6WIZ7|Q6WIZ7_MOUSE, tr|Q6IMK7|Q6IMK7_MOUSE, tr|E9Q745|E9Q745_MOUSE, sp|Q8JZQ5|AOC1_MOUSE	tr|A0A2F0BNL5|A0A2F0BNL5_ESCRO
OG0000515	sp|O70283|WNT2B_MOUSE	tr|A0A2F0B0W0|A0A2F0B0W0_ESCRO
OG0000515	sp|P21552|WNT2_MOUSE	tr|A0A2F0BEE2|A0A2F0BEE2_ESCRO, tr|A0A2F0BEG5|A0A2F0BEG5_ESCRO
OG0000516	sp|Q91VB2|KCC1G_MOUSE	tr|A0A2F0B8Y2|A0A2F0B8Y2_ESCRO
OG0000516	sp|Q91YS8|KCC1A_MOUSE	tr|A0A2F0BP70|A0A2F0BP70_ESCRO, tr|A0A2F0B449|A0A2F0B449_ESCRO
OG0000517	sp|P39654|LOX15_MOUSE	tr|A0A2F0BG95|A0A2F0BG95_ESCRO
OG0000517	sp|P55249|LX12E_MOUSE, sp|P39655|LOX12_MOUSE	tr|A0A2F0BCZ3|A0A2F0BCZ3_ESCRO
OG0000518	sp|Q6DFY8|BRNP2_MOUSE	tr|A0A2F0AYW3|A0A2F0AYW3_ESCRO
OG0000518	sp|Q920P3|BRNP1_MOUSE, sp|Q499E0|BRNP3_MOUSE	tr|A0A2F0BJE6|A0A2F0BJE6_ESCRO
OG0000519	sp|O08599|STXB1_MOUSE	tr|A0A2F0B9V6|A0A2F0B9V6_ESCRO
OG0000519	sp|Q60770|STXB3_MOUSE, sp|Q64324|STXB2_MOUSE	tr|A0A2F0B465|A0A2F0B465_ESCRO
OG0000520	sp|Q9R0E1|PLOD3_MOUSE	tr|A0A2F0AV55|A0A2F0AV55_ESCRO
OG0000520	sp|Q9R0B9|PLOD2_MOUSE, sp|Q9R0E2|PLOD1_MOUSE	tr|A0A2F0BII5|A0A2F0BII5_ESCRO
OG0000521	sp|Q60885|OLF9_MOUSE, tr|Q8VGC1|Q8VGC1_MOUSE	tr|A0A2F0BDJ1|A0A2F0BDJ1_ESCRO
OG0000521	tr|Q8VGJ1|Q8VGJ1_MOUSE	tr|A0A2F0BJ17|A0A2F0BJ17_ESCRO
OG0000523	tr|Q8VGZ7|Q8VGZ7_MOUSE	tr|A0A2F0B5I9|A0A2F0B5I9_ESCRO
OG0000523	sp|Q8VBV9|O51E2_MOUSE	tr|A0A2F0BD35|A0A2F0BD35_ESCRO, tr|A0A2F0B1Z0|A0A2F0B1Z0_ESCRO
OG0000524	sp|Q08775|RUNX2_MOUSE	tr|A0A2F0B3A5|A0A2F0B3A5_ESCRO
OG0000524	sp|Q03347|RUNX1_MOUSE, sp|Q64131|RUNX3_MOUSE	tr|A0A2F0BCW8|A0A2F0BCW8_ESCRO
OG0000525	sp|P53762|ARNT_MOUSE, sp|Q61324|ARNT2_MOUSE, sp|Q9WTL8|BMAL1_MOUSE, sp|Q2VPD4|BMAL2_MOUSE	tr|A0A2F0B8Z0|A0A2F0B8Z0_ESCRO
OG0000527	sp|Q8R001|MARE2_MOUSE	tr|A0A2F0BD86|A0A2F0BD86_ESCRO
OG0000527	sp|Q61166|MARE1_MOUSE, sp|Q6PER3|MARE3_MOUSE	tr|A0A2F0BA16|A0A2F0BA16_ESCRO
OG0000528	sp|P63318|KPCG_MOUSE	tr|A0A2F0BEW7|A0A2F0BEW7_ESCRO
OG0000528	sp|P68404|KPCB_MOUSE, sp|P20444|KPCA_MOUSE	tr|A0A2F0BCQ0|A0A2F0BCQ0_ESCRO
OG0000529	tr|D4AFX7|D4AFX7_MOUSE	tr|A0A2F0BNT8|A0A2F0BNT8_ESCRO
OG0000529	sp|P60904|DNJC5_MOUSE, sp|Q9CQ94|DNJ5B_MOUSE	tr|A0A2F0AX21|A0A2F0AX21_ESCRO
OG0000530	sp|O55192|SC6A2_MOUSE	tr|A0A2F0AXB8|A0A2F0AXB8_ESCRO
OG0000530	sp|Q9JMA9|S6A14_MOUSE, sp|Q61327|SC6A3_MOUSE	tr|A0A2F0B0U7|A0A2F0B0U7_ESCRO
OG0000531	sp|Q9D236|HTRA3_MOUSE	tr|A0A2F0B444|A0A2F0B444_ESCRO
OG0000531	sp|A2RT60|HTRA4_MOUSE, sp|Q9R118|HTRA1_MOUSE	tr|A0A2F0BFF2|A0A2F0BFF2_ESCRO
OG0000532	tr|Q80X81|Q80X81_MOUSE, sp|Q8CAY6|THIC_MOUSE, sp|Q8BWT1|THIM_MOUSE, sp|Q8QZT1|THIL_MOUSE	tr|A0A2F0BAZ9|A0A2F0BAZ9_ESCRO
OG0000533	tr|E9PZM7|E9PZM7_MOUSE, sp|Q5U4C3|SFR19_MOUSE, sp|A6H619|PHRF1_MOUSE, sp|P58269|DPF3_MOUSE	tr|A0A2F0BKN4|A0A2F0BKN4_ESCRO
OG0000534	sp|Q9JIW5|SMAD9_MOUSE	tr|A0A2F0B2T8|A0A2F0B2T8_ESCRO
OG0000534	sp|P97454|SMAD5_MOUSE, sp|P70340|SMAD1_MOUSE	tr|A0A2F0AXY1|A0A2F0AXY1_ESCRO
OG0000535	sp|Q8R173|ZDHC3_MOUSE	tr|A0A2F0B4I2|A0A2F0B4I2_ESCRO
OG0000535	tr|Q810M4|Q810M4_MOUSE, sp|Q91WU6|ZDHC7_MOUSE	tr|A0A2F0B8E6|A0A2F0B8E6_ESCRO
OG0000536	sp|Q8R1V4|TMED4_MOUSE	tr|A0A2F0BKG4|A0A2F0BKG4_ESCRO
OG0000536	sp|Q99KF1|TMED9_MOUSE	tr|A0A2F0AY03|A0A2F0AY03_ESCRO, tr|A0A2F0BBW8|A0A2F0BBW8_ESCRO
OG0000537	sp|Q80UW5|MRCKG_MOUSE	tr|A0A2F0BCF6|A0A2F0BCF6_ESCRO
OG0000537	sp|Q3UU96|MRCKA_MOUSE, sp|Q7TT50|MRCKB_MOUSE	tr|A0A2F0B192|A0A2F0B192_ESCRO
OG0000538	sp|O35526|STX1A_MOUSE	tr|A0A2F0AXK1|A0A2F0AXK1_ESCRO
OG0000538	sp|P61264|STX1B_MOUSE	tr|A0A2F0B7J4|A0A2F0B7J4_ESCRO, tr|A0A2F0B2D0|A0A2F0B2D0_ESCRO
OG0000539	sp|O08581|KCNK1_MOUSE	tr|A0A2F0B5U9|A0A2F0B5U9_ESCRO
OG0000539	sp|Q9Z2T1|KCNK7_MOUSE, tr|Q3TBV4|Q3TBV4_MOUSE	tr|A0A2F0AY90|A0A2F0AY90_ESCRO
OG0000540	sp|P54285|CACB3_MOUSE	tr|A0A2F0B6Y9|A0A2F0B6Y9_ESCRO
OG0000540	sp|Q8CC27|CACB2_MOUSE, sp|Q8R3Z5|CACB1_MOUSE	tr|A0A2F0BH17|A0A2F0BH17_ESCRO
OG0000541	sp|O88561|S27A3_MOUSE	tr|A0A2F0B5H0|A0A2F0B5H0_ESCRO
OG0000541	sp|Q80WC9|ACSF4_MOUSE, sp|Q4LDG0|S27A5_MOUSE	tr|A0A2F0B9S5|A0A2F0B9S5_ESCRO
OG0000542	sp|Q3UV71|TMTC1_MOUSE	tr|A0A2F0B3X9|A0A2F0B3X9_ESCRO
OG0000542	sp|Q8BRH0|TMTC3_MOUSE, sp|Q8BG19|TMTC4_MOUSE	tr|A0A2F0BC33|A0A2F0BC33_ESCRO
OG0000543	sp|Q9CR35|CTRB1_MOUSE	tr|A0A2F0B2W3|A0A2F0B2W3_ESCRO, tr|A0A2F0BNB0|A0A2F0BNB0_ESCRO, tr|A0A2F0B2Z1|A0A2F0B2Z1_ESCRO, tr|A0A2F0BGF7|A0A2F0BGF7_ESCRO
OG0000544	sp|O88509|DNM3B_MOUSE	tr|A0A2F0AZI0|A0A2F0AZI0_ESCRO
OG0000544	sp|P0DOY1|DNM3C_MOUSE, sp|O88508|DNM3A_MOUSE	tr|A0A2F0BAD4|A0A2F0BAD4_ESCRO
OG0000545	sp|P62141|PP1B_MOUSE, sp|P63087|PP1G_MOUSE, sp|P62137|PP1A_MOUSE	tr|A0A2F0AZV6|A0A2F0AZV6_ESCRO, tr|A0A2F0BCV6|A0A2F0BCV6_ESCRO
OG0000546	sp|B1ARD8|SLFN8_MOUSE, sp|B1ARD6|SLFN9_MOUSE, sp|Q8CBA2|SLFN5_MOUSE, sp|V9GXG1|SLN14_MOUSE	tr|A0A2F0BG58|A0A2F0BG58_ESCRO
OG0000547	sp|Q9QZK2|BCAR3_MOUSE	tr|A0A2F0B8B3|A0A2F0B8B3_ESCRO
OG0000547	sp|Q9QZS8|SH2D3_MOUSE	tr|A0A2F0B443|A0A2F0B443_ESCRO, tr|A0A2F0AY89|A0A2F0AY89_ESCRO
OG0000548	sp|P15806|TFE2_MOUSE	tr|A0A2F0B254|A0A2F0B254_ESCRO
OG0000548	sp|Q61286|HTF4_MOUSE, sp|Q60722|ITF2_MOUSE	tr|A0A2F0AYJ2|A0A2F0AYJ2_ESCRO
OG0000549	sp|Q5F259|AN13B_MOUSE	tr|A0A2F0B5W7|A0A2F0B5W7_ESCRO
OG0000549	sp|Q3UX43|AN13C_MOUSE, sp|Q6PD24|AN13D_MOUSE	tr|A0A2F0B1S5|A0A2F0B1S5_ESCRO
OG0000550	sp|P02089|HBB2_MOUSE	tr|A0A2F0B9K9|A0A2F0B9K9_ESCRO
OG0000550	sp|P02104|HBE_MOUSE	tr|A0A2F0BA40|A0A2F0BA40_ESCRO, tr|A0A2F0BKA3|A0A2F0BKA3_ESCRO
OG0000552	tr|B1AVP0|B1AVP0_MOUSE, sp|Q8BYK5|PHAR3_MOUSE, sp|Q2M3X8|PHAR1_MOUSE, sp|Q501J7|PHAR4_MOUSE	tr|A0A2F0BE29|A0A2F0BE29_ESCRO
OG0000553	sp|Q9QYI7|DNJB8_MOUSE	tr|A0A2F0BH87|A0A2F0BH87_ESCRO
OG0000553	sp|O35723|DNJB3_MOUSE	tr|A0A2F0BGJ4|A0A2F0BGJ4_ESCRO, tr|A0A2F0B860|A0A2F0B860_ESCRO
OG0000554	sp|Q5SF07|IF2B2_MOUSE	tr|A0A2F0B1U9|A0A2F0B1U9_ESCRO
OG0000554	sp|Q9CPN8|IF2B3_MOUSE, sp|O88477|IF2B1_MOUSE	tr|A0A2F0B2Q9|A0A2F0B2Q9_ESCRO
OG0000555	sp|Q91YH5|ATLA3_MOUSE	tr|A0A2F0B8S0|A0A2F0B8S0_ESCRO
OG0000555	sp|Q6PA06|ATLA2_MOUSE, sp|Q8BH66|ATLA1_MOUSE	tr|A0A2F0AUG3|A0A2F0AUG3_ESCRO
OG0000556	sp|P26231|CTNA1_MOUSE, sp|Q65CL1|CTNA3_MOUSE, sp|Q61301|CTNA2_MOUSE	tr|A0A2F0BF44|A0A2F0BF44_ESCRO, tr|A0A2F0B0Y6|A0A2F0B0Y6_ESCRO
OG0000557	sp|Q6PHS9|CA2D2_MOUSE, sp|O08532|CA2D1_MOUSE, sp|Q5RJF7|CA2D4_MOUSE, sp|Q9Z1L5|CA2D3_MOUSE	tr|A0A2F0AV81|A0A2F0AV81_ESCRO
OG0000558	sp|Q9WUT3|KS6A2_MOUSE, sp|P18654|KS6A3_MOUSE, sp|Q7TPS0|KS6A6_MOUSE, sp|P18653|KS6A1_MOUSE	tr|A0A2F0BMA1|A0A2F0BMA1_ESCRO
OG0000559	tr|Q8VFQ1|Q8VFQ1_MOUSE	tr|A0A2F0BMB4|A0A2F0BMB4_ESCRO, tr|A0A2F0BD85|A0A2F0BD85_ESCRO, tr|A0A2F0B3Q3|A0A2F0B3Q3_ESCRO, tr|A0A2F0B9I1|A0A2F0B9I1_ESCRO
OG0000560	sp|P52840|ST1A1_MOUSE	tr|A0A2F0AWI5|A0A2F0AWI5_ESCRO
OG0000560	sp|Q80VR3|ST1C1_MOUSE	tr|A0A2F0B6E4|A0A2F0B6E4_ESCRO, tr|A0A2F0B277|A0A2F0B277_ESCRO
OG0000561	sp|Q9D0W5|PPIL1_MOUSE, sp|Q3TKY6|CWC27_MOUSE, sp|Q9CXG3|PPIL4_MOUSE, sp|Q9D6L8|PPIL3_MOUSE	tr|A0A2F0B823|A0A2F0B823_ESCRO
OG0000562	sp|Q9QZ47|TNNT3_MOUSE	tr|A0A2F0BDI7|A0A2F0BDI7_ESCRO
OG0000562	sp|O88346|TNNT1_MOUSE, sp|P50752|TNNT2_MOUSE	tr|A0A2F0B2R8|A0A2F0B2R8_ESCRO
OG0000563	sp|O70551|SRPK1_MOUSE, sp|Q9Z0G2|SRPK3_MOUSE	tr|A0A2F0BK43|A0A2F0BK43_ESCRO
OG0000563	sp|O54781|SRPK2_MOUSE	tr|A0A2F0B5A6|A0A2F0B5A6_ESCRO
OG0000564	sp|Q5U464|ASAP3_MOUSE, sp|Q9QWY8|ASAP1_MOUSE, sp|Q7SIG6|ASAP2_MOUSE, tr|J3KMP8|J3KMP8_MOUSE	tr|A0A2F0BA60|A0A2F0BA60_ESCRO
OG0000565	sp|P24369|PPIB_MOUSE	tr|A0A2F0BB05|A0A2F0BB05_ESCRO
OG0000565	sp|P30412|PPIC_MOUSE	tr|A0A2F0B0F1|A0A2F0B0F1_ESCRO, tr|A0A2F0B2B0|A0A2F0B2B0_ESCRO
OG0000566	sp|Q61271|ACV1B_MOUSE	tr|A0A2F0BHF8|A0A2F0BHF8_ESCRO
OG0000566	sp|Q8K348|ACV1C_MOUSE, sp|Q64729|TGFR1_MOUSE	tr|A0A2F0BD61|A0A2F0BD61_ESCRO
OG0000567	sp|Q8JZL7|RGF1B_MOUSE	tr|A0A2F0B5C4|A0A2F0B5C4_ESCRO
OG0000567	tr|A0A0N4SVR5|A0A0N4SVR5_MOUSE	tr|A0A2F0AW13|A0A2F0AW13_ESCRO, tr|A0A2F0BFQ7|A0A2F0BFQ7_ESCRO
OG0000568	sp|Q8R003|MBNL3_MOUSE	tr|A0A2F0BFA8|A0A2F0BFA8_ESCRO
OG0000568	sp|Q8C181|MBNL2_MOUSE, sp|Q9JKP5|MBNL1_MOUSE	tr|A0A2F0AWM9|A0A2F0AWM9_ESCRO
OG0000569	sp|O88910|MPP3_MOUSE	tr|A0A2F0BJ99|A0A2F0BJ99_ESCRO
OG0000569	sp|Q8BVD5|MPP7_MOUSE, sp|Q6P7F1|MPP4_MOUSE	tr|A0A2F0B702|A0A2F0B702_ESCRO
OG0000570	sp|P47739|AL3A1_MOUSE	tr|A0A2F0B2L8|A0A2F0B2L8_ESCRO
OG0000570	sp|P47740|AL3A2_MOUSE	tr|A0A2F0B9K1|A0A2F0B9K1_ESCRO, tr|A0A2F0B910|A0A2F0B910_ESCRO
OG0000571	sp|Q80YR5|SAFB2_MOUSE	tr|A0A2F0AWW1|A0A2F0AWW1_ESCRO
OG0000571	sp|D3YXK2|SAFB1_MOUSE	tr|A0A2F0BEH4|A0A2F0BEH4_ESCRO, tr|A0A2F0AWV9|A0A2F0AWV9_ESCRO
OG0000572	sp|P55144|TYRO3_MOUSE	tr|A0A2F0AWM8|A0A2F0AWM8_ESCRO
OG0000572	sp|Q60805|MERTK_MOUSE, sp|Q00993|UFO_MOUSE	tr|A0A2F0B8V6|A0A2F0B8V6_ESCRO
OG0000573	sp|Q5BLK4|TUT7_MOUSE, sp|B2RX14|TUT4_MOUSE, sp|Q9D0D3|PAPD1_MOUSE, sp|Q91YI6|GLD2_MOUSE	tr|A0A2F0B6T0|A0A2F0B6T0_ESCRO
OG0000574	sp|Q9ES82|POPD2_MOUSE	tr|A0A2F0BJQ4|A0A2F0BJQ4_ESCRO
OG0000574	sp|Q9ES83|POPD1_MOUSE, sp|Q9ES81|POPD3_MOUSE	tr|A0A2F0AY67|A0A2F0AY67_ESCRO
OG0000575	sp|Q9CQM2|ERD22_MOUSE	tr|A0A2F0BCM0|A0A2F0BCM0_ESCRO, tr|A0A2F0BH72|A0A2F0BH72_ESCRO, tr|A0A2F0BKA1|A0A2F0BKA1_ESCRO, tr|A0A2F0BJH2|A0A2F0BJH2_ESCRO
OG0000576	sp|A2A8Z1|OSBL9_MOUSE	tr|A0A2F0BF89|A0A2F0BF89_ESCRO
OG0000576	sp|Q8CI95|OSB11_MOUSE, sp|S4R1M9|OSB10_MOUSE	tr|A0A2F0B3P6|A0A2F0B3P6_ESCRO
OG0000577	sp|A2A6A1|GPTC8_MOUSE, tr|A0A0G2JGH6|A0A0G2JGH6_MOUSE, sp|A2AKY4|Z804A_MOUSE, sp|Q61858|GPAN1_MOUSE	tr|A0A2F0B7N8|A0A2F0B7N8_ESCRO
OG0000578	sp|Q3UNW5|TF2L1_MOUSE, sp|Q9ERA0|TFCP2_MOUSE, sp|Q811S7|UBIP1_MOUSE	tr|A0A2F0BEH9|A0A2F0BEH9_ESCRO, tr|A0A2F0BEG0|A0A2F0BEG0_ESCRO
OG0000579	sp|Q61576|FKB10_MOUSE	tr|A0A2F0B2X0|A0A2F0B2X0_ESCRO
OG0000579	sp|Q9Z247|FKBP9_MOUSE	tr|A0A2F0BKA7|A0A2F0BKA7_ESCRO, tr|A0A2F0B5G6|A0A2F0B5G6_ESCRO
OG0000580	tr|F7BAB2|F7BAB2_MOUSE	tr|A0A2F0B0E6|A0A2F0B0E6_ESCRO
OG0000580	sp|Q8CEF9|T132C_MOUSE, sp|Q76HP3|T132D_MOUSE	tr|A0A2F0AUR0|A0A2F0AUR0_ESCRO
OG0000581	sp|P22892|AP1G1_MOUSE	tr|A0A2F0B286|A0A2F0B286_ESCRO
OG0000581	sp|Q80V94|AP4E1_MOUSE, sp|O88512|AP1G2_MOUSE	tr|A0A2F0B635|A0A2F0B635_ESCRO
OG0000582	sp|O70340|NPTX2_MOUSE	tr|A0A2F0BB94|A0A2F0BB94_ESCRO
OG0000582	sp|Q62443|NPTX1_MOUSE	tr|A0A2F0BD52|A0A2F0BD52_ESCRO, tr|A0A2F0BDV2|A0A2F0BDV2_ESCRO
OG0000583	sp|P97368|MEIS3_MOUSE	tr|A0A2F0BJ68|A0A2F0BJ68_ESCRO
OG0000583	sp|Q60954|MEIS1_MOUSE, sp|P97367|MEIS2_MOUSE	tr|A0A2F0B7S0|A0A2F0B7S0_ESCRO
OG0000584	sp|Q61165|SL9A1_MOUSE	tr|A0A2F0AYN1|A0A2F0AYN1_ESCRO
OG0000584	tr|Q3ZAS0|Q3ZAS0_MOUSE, sp|Q8BUE1|SL9A4_MOUSE	tr|A0A2F0B8R6|A0A2F0B8R6_ESCRO
OG0000585	sp|Q925N2|SFXN2_MOUSE	tr|A0A2F0BA96|A0A2F0BA96_ESCRO
OG0000585	sp|Q91V61|SFXN3_MOUSE, sp|Q99JR1|SFXN1_MOUSE	tr|A0A2F0B202|A0A2F0B202_ESCRO
OG0000586	sp|Q8K4R9|DLGP5_MOUSE	tr|A0A2F0BEQ8|A0A2F0BEQ8_ESCRO
OG0000586	sp|Q8BJ42|DLGP2_MOUSE, sp|Q9D415|DLGP1_MOUSE	tr|A0A2F0BIR9|A0A2F0BIR9_ESCRO
OG0000587	sp|Q8BX22|SALL4_MOUSE	tr|A0A2F0BHT0|A0A2F0BHT0_ESCRO, tr|A0A2F0AUW9|A0A2F0AUW9_ESCRO, tr|A0A2F0B5W8|A0A2F0B5W8_ESCRO, tr|A0A2F0BED0|A0A2F0BED0_ESCRO
OG0000588	sp|Q9EQZ6|RPGF4_MOUSE	tr|A0A2F0B4M6|A0A2F0B4M6_ESCRO
OG0000588	sp|Q8C0Q9|RPGF5_MOUSE, sp|Q8VCC8|RPGF3_MOUSE	tr|A0A2F0B0Q6|A0A2F0B0Q6_ESCRO
OG0000589	sp|P51829|ADCY7_MOUSE	tr|A0A2F0B194|A0A2F0B194_ESCRO
OG0000589	sp|Q80TL1|ADCY2_MOUSE, sp|Q91WF3|ADCY4_MOUSE	tr|A0A2F0BJJ8|A0A2F0BJJ8_ESCRO
OG0000590	sp|P48453|PP2BB_MOUSE, sp|P63328|PP2BA_MOUSE, sp|P48455|PP2BC_MOUSE	tr|A0A2F0AVS9|A0A2F0AVS9_ESCRO, tr|A0A2F0B2T7|A0A2F0B2T7_ESCRO
OG0000591	sp|Q9JJ61|GLT16_MOUSE, sp|Q8BVG5|GLT14_MOUSE, sp|Q6PB93|GALT2_MOUSE	tr|A0A2F0AY79|A0A2F0AY79_ESCRO, tr|A0A2F0BIY3|A0A2F0BIY3_ESCRO
OG0000592	sp|P61793|LPAR1_MOUSE	tr|A0A2F0BL15|A0A2F0BL15_ESCRO
OG0000592	sp|Q9JL06|LPAR2_MOUSE, sp|Q9EQ31|LPAR3_MOUSE	tr|A0A2F0AVK3|A0A2F0AVK3_ESCRO
OG0000593	sp|Q9QXW9|LAT2_MOUSE	tr|A0A2F0B4Y2|A0A2F0B4Y2_ESCRO
OG0000593	sp|P63115|AAA1_MOUSE	tr|A0A2F0BCW5|A0A2F0BCW5_ESCRO, tr|A0A2F0AWH2|A0A2F0AWH2_ESCRO
OG0000594	sp|Q8C196|CPSM_MOUSE	tr|A0A2F0AWX4|A0A2F0AWX4_ESCRO
OG0000594	sp|P11725|OTC_MOUSE, sp|B2RQC6|PYR1_MOUSE	tr|A0A2F0B6Y3|A0A2F0B6Y3_ESCRO
OG0000595	sp|O88958|GNPI1_MOUSE	tr|A0A2F0AZ51|A0A2F0AZ51_ESCRO, tr|A0A2F0B1J0|A0A2F0B1J0_ESCRO, tr|A0A2F0B8A3|A0A2F0B8A3_ESCRO, tr|A0A2F0B1X4|A0A2F0B1X4_ESCRO
