Orthogroup	Mus_musculus	Octodon_degus
OG0002443	sp|Q61545|EWS_MOUSE	tr|A0A6P6EY13|A0A6P6EY13_OCTDE, tr|A0A6P3VA71|A0A6P3VA71_OCTDE
OG0002444	sp|Q8C0M9|ASGL1_MOUSE	tr|A0A6P3FTV2|A0A6P3FTV2_OCTDE, tr|A0A6P3V8F9|A0A6P3V8F9_OCTDE
OG0002445	sp|Q9CWR7|STEA1_MOUSE	tr|A0A6P3FWE5|A0A6P3FWE5_OCTDE, tr|A0A6P6EGD2|A0A6P6EGD2_OCTDE
OG0002446	sp|Q9JLY0|SOCS6_MOUSE	tr|A0A6P3VC00|A0A6P3VC00_OCTDE, tr|A0A6P3FUI7|A0A6P3FUI7_OCTDE
OG0002447	sp|O08784|TCOF_MOUSE	tr|A0A6P6EFE7|A0A6P6EFE7_OCTDE, tr|A0A6P6DAN7|A0A6P6DAN7_OCTDE
OG0002448	sp|P48774|GSTM5_MOUSE	tr|A0A6P3FWP3|A0A6P3FWP3_OCTDE, tr|A0A6P3F239|A0A6P3F239_OCTDE
OG0002449	sp|P52787|IF_MOUSE	tr|A0A6P3FXJ5|A0A6P3FXJ5_OCTDE, tr|A0A6P3FU37|A0A6P3FU37_OCTDE
OG0002450	sp|P70195|PSB7_MOUSE	tr|A0A6P3VCP0|A0A6P3VCP0_OCTDE, tr|A0A6P3FP27|A0A6P3FP27_OCTDE
OG0002451	sp|Q6PG04|CCD82_MOUSE	tr|A0A6P6DHY5|A0A6P6DHY5_OCTDE, tr|A0A6P6DZU2|A0A6P6DZU2_OCTDE
OG0002452	sp|Q8CFZ5|S22AC_MOUSE	tr|A0A6P3FSN2|A0A6P3FSN2_OCTDE, tr|A0A6P3FDN9|A0A6P3FDN9_OCTDE
OG0002453	sp|Q9CZX8|RS19_MOUSE	tr|A0A6P3VAL0|A0A6P3VAL0_OCTDE, tr|A0A6P6DJZ9|A0A6P6DJZ9_OCTDE
OG0002454	sp|Q9ET35|TR13B_MOUSE	tr|A0A6P3VCP8|A0A6P3VCP8_OCTDE, tr|A0A6P6D760|A0A6P6D760_OCTDE
OG0002455	sp|P63323|RS12_MOUSE	tr|A0A6P6D7U1|A0A6P6D7U1_OCTDE, tr|A0A6P3ES70|A0A6P3ES70_OCTDE
OG0002456	tr|B2RS76|B2RS76_MOUSE	tr|A0A6P3FZH9|A0A6P3FZH9_OCTDE, tr|A0A6P3F085|A0A6P3F085_OCTDE
OG0002457	sp|P86049|RBM46_MOUSE	tr|A0A6P6DNL2|A0A6P6DNL2_OCTDE, tr|A0A6P3F4D4|A0A6P3F4D4_OCTDE
OG0002458	sp|Q3TEA8|HP1B3_MOUSE	tr|A0A6P3VDD5|A0A6P3VDD5_OCTDE, tr|A0A6P6F171|A0A6P6F171_OCTDE
OG0002459	sp|Q8R1Z9|RN121_MOUSE	tr|A0A6P6F488|A0A6P6F488_OCTDE, tr|A0A6P3FPM3|A0A6P3FPM3_OCTDE
OG0002460	sp|P16110|LEG3_MOUSE	tr|A0A6P3F5B9|A0A6P3F5B9_OCTDE, tr|A0A6P3F7T9|A0A6P3F7T9_OCTDE
OG0002461	sp|Q922G0|S2536_MOUSE	tr|A0A6P3EPJ2|A0A6P3EPJ2_OCTDE, tr|A0A6P3FXL7|A0A6P3FXL7_OCTDE
OG0002462	tr|E9Q598|E9Q598_MOUSE	tr|A0A6P3FLE6|A0A6P3FLE6_OCTDE, tr|A0A6P3FPY7|A0A6P3FPY7_OCTDE
OG0002463	sp|P35700|PRDX1_MOUSE	tr|A0A6P3V9D0|A0A6P3V9D0_OCTDE, tr|A0A6P3F5B7|A0A6P3F5B7_OCTDE
OG0002464	sp|Q2M2N2|SPOPL_MOUSE	tr|A0A6P6ENP5|A0A6P6ENP5_OCTDE, tr|A0A6P3EKJ1|A0A6P3EKJ1_OCTDE
OG0002465	sp|Q8BHN5|RBM45_MOUSE	tr|A0A6P6ERP2|A0A6P6ERP2_OCTDE, tr|A0A6P3VBD8|A0A6P3VBD8_OCTDE
OG0002466	sp|Q8BMA6|SRP68_MOUSE	tr|A0A6P3ER64|A0A6P3ER64_OCTDE, tr|A0A6P3VAH6|A0A6P3VAH6_OCTDE
OG0002467	sp|Q8C6C7|F204A_MOUSE	tr|A0A6P6DYM6|A0A6P6DYM6_OCTDE, tr|A0A6P3EJL7|A0A6P3EJL7_OCTDE
OG0002468	sp|Q9JMB7|PIWL1_MOUSE	tr|A0A6P3FEU7|A0A6P3FEU7_OCTDE, tr|A0A6P6EWK4|A0A6P6EWK4_OCTDE
OG0002469	sp|Q9Z262|CLD6_MOUSE	tr|A0A6P3EP07|A0A6P3EP07_OCTDE, tr|A0A6P3EWK3|A0A6P3EWK3_OCTDE
OG0002470	sp|Q91W90|TXND5_MOUSE	tr|A0A6P3F1R3|A0A6P3F1R3_OCTDE, tr|A0A6P3FMS6|A0A6P3FMS6_OCTDE
OG0002471	sp|Q9CWW6|PIN4_MOUSE	tr|A0A6P3FBT5|A0A6P3FBT5_OCTDE, tr|A0A6P6DT45|A0A6P6DT45_OCTDE
OG0002472	sp|P48026|SAT1_MOUSE, sp|Q9D5N8|SATL1_MOUSE	tr|A0A6P3ET31|A0A6P3ET31_OCTDE
OG0002473	sp|A2AJQ3|D19L4_MOUSE	tr|A0A6P6DNK1|A0A6P6DNK1_OCTDE, tr|A0A6P6DAL2|A0A6P6DAL2_OCTDE
OG0002474	sp|P30276|CCNB2_MOUSE	tr|A0A6P6DVN7|A0A6P6DVN7_OCTDE, tr|A0A6P3EQE0|A0A6P3EQE0_OCTDE
OG0002475	sp|Q8BHG9|CGBP1_MOUSE	tr|A0A6P3V940|A0A6P3V940_OCTDE, tr|A0A6P6ERR3|A0A6P6ERR3_OCTDE
OG0002476	sp|Q9CR21|ACPM_MOUSE	tr|A0A6P3VD75|A0A6P3VD75_OCTDE, tr|A0A6P3EFU3|A0A6P3EFU3_OCTDE
OG0002477	tr|Q2M4I6|Q2M4I6_MOUSE	tr|A0A6P3F787|A0A6P3F787_OCTDE, tr|A0A6P3VAP4|A0A6P3VAP4_OCTDE
OG0002478	sp|Q71KU9|FGL1_MOUSE	tr|A0A6P3ELX4|A0A6P3ELX4_OCTDE, tr|A0A6P6F049|A0A6P6F049_OCTDE
OG0002479	sp|Q8BGA5|KRR1_MOUSE	tr|A0A6P3EQM1|A0A6P3EQM1_OCTDE, tr|A0A6P3V9T6|A0A6P3V9T6_OCTDE
OG0002480	sp|Q8K0U3|TMM17_MOUSE	tr|A0A6P3V9T0|A0A6P3V9T0_OCTDE, tr|A0A6P3F0P7|A0A6P3F0P7_OCTDE
OG0002481	sp|Q9JKT2|TR119_MOUSE	tr|A0A6P3FNR8|A0A6P3FNR8_OCTDE, tr|A0A6P3EKX8|A0A6P3EKX8_OCTDE
OG0002482	sp|Q8BG48|ST17B_MOUSE	tr|A0A6P3ENN1|A0A6P3ENN1_OCTDE, tr|A0A6P3F3M0|A0A6P3F3M0_OCTDE
OG0002483	sp|Q9DBZ5|EIF3K_MOUSE	tr|A0A6P3F1P3|A0A6P3F1P3_OCTDE, tr|A0A6P6EIE8|A0A6P6EIE8_OCTDE
OG0002484	sp|Q9QXP6|MKRN1_MOUSE	tr|A0A6P6E858|A0A6P6E858_OCTDE, tr|A0A6P6DR94|A0A6P6DR94_OCTDE
OG0002485	sp|O70591|PFD2_MOUSE	tr|A0A6P3F6M7|A0A6P3F6M7_OCTDE, tr|A0A6P6EEG1|A0A6P6EEG1_OCTDE
OG0002486	sp|O89051|ITM2B_MOUSE	tr|A0A6P3EW81|A0A6P3EW81_OCTDE, tr|A0A6P3EPR0|A0A6P3EPR0_OCTDE
OG0002487	sp|Q6PCP5|MFF_MOUSE	tr|A0A6P6F3T8|A0A6P6F3T8_OCTDE, tr|A0A6P6DU07|A0A6P6DU07_OCTDE
OG0002488	tr|Q8BLE2|Q8BLE2_MOUSE	tr|A0A6P3FK72|A0A6P3FK72_OCTDE, tr|A0A6P6D459|A0A6P6D459_OCTDE
OG0002489	sp|Q91WT4|DJC17_MOUSE	tr|A0A6P6DXY5|A0A6P6DXY5_OCTDE, tr|A0A6P3EGJ1|A0A6P3EGJ1_OCTDE
OG0002490	sp|O55237|CD70_MOUSE	tr|A0A6P6EKG8|A0A6P6EKG8_OCTDE, tr|A0A6P6EKW4|A0A6P6EKW4_OCTDE
OG0002491	sp|P62918|RL8_MOUSE	tr|A0A6P3FJV2|A0A6P3FJV2_OCTDE, tr|A0A6P3FHC8|A0A6P3FHC8_OCTDE
OG0002492	sp|Q64152|BTF3_MOUSE	tr|A0A6P3FAV2|A0A6P3FAV2_OCTDE, tr|A0A6P3FS54|A0A6P3FS54_OCTDE
OG0002493	sp|Q80ZW0|STK35_MOUSE	tr|A0A6P3VC20|A0A6P3VC20_OCTDE, tr|A0A6P3EY39|A0A6P3EY39_OCTDE
OG0002494	sp|Q9CZA6|NDE1_MOUSE	tr|A0A6P6DKI1|A0A6P6DKI1_OCTDE, tr|A0A6P3V9C9|A0A6P3V9C9_OCTDE
OG0002523	sp|A2ANU3|SYNG1_MOUSE	tr|A0A6P3FEF3|A0A6P3FEF3_OCTDE
OG0002524	sp|A2RRY8|SPAS1_MOUSE	tr|A0A6P6EVR2|A0A6P6EVR2_OCTDE
OG0002525	sp|B8JK39|ITA9_MOUSE	tr|A0A6P3EZG5|A0A6P3EZG5_OCTDE
OG0002526	sp|D3Z750|MRO2A_MOUSE	tr|A0A6P6F1A8|A0A6P6F1A8_OCTDE
OG0002527	sp|E9Q7P9|CDHR2_MOUSE	tr|A0A6P6EJ66|A0A6P6EJ66_OCTDE
OG0002528	tr|F6TNE3|F6TNE3_MOUSE	tr|A0A6P6EK41|A0A6P6EK41_OCTDE
OG0002529	sp|O09043|NAPSA_MOUSE	tr|A0A6P3FWX8|A0A6P3FWX8_OCTDE
OG0002530	sp|O35160|PITX3_MOUSE	tr|A0A6P3F872|A0A6P3F872_OCTDE
OG0002531	sp|O88942|NFAC1_MOUSE	tr|A0A6P6D6S9|A0A6P6D6S9_OCTDE
OG0002532	sp|P01027|CO3_MOUSE	tr|A0A6P3F6A3|A0A6P3F6A3_OCTDE
OG0002533	sp|P10833|RRAS_MOUSE	tr|A0A6P3FWV0|A0A6P3FWV0_OCTDE
OG0002534	sp|P12804|FGL2_MOUSE	tr|A0A6P3VCE9|A0A6P3VCE9_OCTDE
OG0002535	sp|P25233|NECD_MOUSE	tr|A0A6P3EGB4|A0A6P3EGB4_OCTDE
OG0002536	sp|P41160|LEP_MOUSE	tr|A0A6P3FB07|A0A6P3FB07_OCTDE
OG0002537	sp|P56812|PDCD5_MOUSE	tr|A0A6P3FFM5|A0A6P3FFM5_OCTDE
OG0002538	sp|P58058|NADK_MOUSE	tr|A0A6P6D6H9|A0A6P6D6H9_OCTDE
OG0002539	sp|P70191|TRAF5_MOUSE	tr|A0A6P3F8K6|A0A6P3F8K6_OCTDE
OG0002540	sp|P70277|SIA7B_MOUSE	tr|A0A6P6ECR0|A0A6P6ECR0_OCTDE
OG0002541	sp|P97433|ARG28_MOUSE	tr|A0A6P6DHD0|A0A6P6DHD0_OCTDE
OG0002542	sp|Q14B25|PRS48_MOUSE	tr|A0A6P3F4N5|A0A6P3F4N5_OCTDE
OG0002543	tr|Q30KN1|Q30KN1_MOUSE	tr|A0A6P3F5C2|A0A6P3F5C2_OCTDE
OG0002544	sp|Q3UIR3|DTX3L_MOUSE	tr|A0A6P6DDJ3|A0A6P6DDJ3_OCTDE
OG0002545	sp|Q3URY2|GEMC1_MOUSE	tr|A0A6P6D9V3|A0A6P6D9V3_OCTDE
OG0002546	sp|Q504P2|CL12A_MOUSE	tr|A0A6P3FWY7|A0A6P3FWY7_OCTDE
OG0002547	sp|Q5HZG4|TAF3_MOUSE	tr|A0A6P3FA21|A0A6P3FA21_OCTDE
OG0002548	sp|Q5HZH2|TSR3_MOUSE	tr|A0A6P6E5I2|A0A6P6E5I2_OCTDE
OG0002549	sp|Q60780|GAS7_MOUSE	tr|A0A6P3FR24|A0A6P3FR24_OCTDE
OG0002550	sp|Q60991|CP7B1_MOUSE	tr|A0A6P6DEY9|A0A6P6DEY9_OCTDE
OG0002551	sp|Q61153|IOD1_MOUSE	tr|A0A6P3FBJ7|A0A6P3FBJ7_OCTDE
OG0002552	sp|Q61602|GLI3_MOUSE	tr|A0A6P3ER93|A0A6P3ER93_OCTDE
OG0002553	sp|Q61711|SIAL_MOUSE	tr|A0A6P3F4B6|A0A6P3F4B6_OCTDE
OG0002554	sp|Q64368|DAZL_MOUSE	tr|A0A6P3ETF6|A0A6P3ETF6_OCTDE
OG0002555	sp|Q6QWF9|CK2N1_MOUSE	tr|A0A6P3FHG6|A0A6P3FHG6_OCTDE
OG0002556	sp|Q6R5P0|TLR11_MOUSE	tr|A0A6P3FCW3|A0A6P3FCW3_OCTDE
OG0002558	sp|Q6Y7W8|GGYF2_MOUSE	tr|A0A6P6F0R6|A0A6P6F0R6_OCTDE
OG0002559	sp|Q6ZWQ7|SPCS3_MOUSE	tr|A0A6P3FIA0|A0A6P3FIA0_OCTDE
OG0002560	sp|Q76I79|SSH1_MOUSE	tr|A0A6P3FBQ8|A0A6P3FBQ8_OCTDE
OG0002561	sp|Q80TL0|PPM1E_MOUSE	tr|A0A6P3FMW4|A0A6P3FMW4_OCTDE
OG0002562	sp|Q80UW2|FBX2_MOUSE	tr|A0A6P6D6T7|A0A6P6D6T7_OCTDE
OG0002563	sp|Q80ZA4|PKHL1_MOUSE	tr|A0A6P3FI28|A0A6P3FI28_OCTDE
OG0002564	sp|Q80ZK9|WDTC1_MOUSE	tr|A0A6P3FMJ5|A0A6P3FMJ5_OCTDE
OG0002565	sp|Q80ZQ9|ABITM_MOUSE	tr|A0A6P3FI71|A0A6P3FI71_OCTDE
OG0002566	sp|Q810M6|LIAT1_MOUSE	tr|A0A6P3FEA0|A0A6P3FEA0_OCTDE
OG0002567	sp|Q8BIJ6|SYIM_MOUSE	tr|A0A6P6E195|A0A6P6E195_OCTDE
OG0002568	sp|Q8BTH6|SCRT2_MOUSE	tr|A0A6P3F5E3|A0A6P3F5E3_OCTDE
OG0002569	sp|Q8BU03|PWP2_MOUSE	tr|A0A6P3EUH6|A0A6P3EUH6_OCTDE
OG0002570	sp|Q8C6A8|BHE22_MOUSE	tr|A0A6P3FQD3|A0A6P3FQD3_OCTDE
OG0002571	sp|Q8VHS6|ASB15_MOUSE	tr|A0A6P3FRW0|A0A6P3FRW0_OCTDE
OG0002572	sp|Q91VX9|TM168_MOUSE	tr|A0A6P6DAR7|A0A6P6DAR7_OCTDE
OG0002573	sp|Q91YE2|EGLN2_MOUSE	tr|A0A6P6DVD4|A0A6P6DVD4_OCTDE
OG0002574	sp|Q99LC9|PEX6_MOUSE	tr|A0A6P3ERH6|A0A6P3ERH6_OCTDE
OG0002575	sp|Q99ME2|WDR6_MOUSE	tr|A0A6P6DPJ3|A0A6P6DPJ3_OCTDE
OG0002576	tr|Q9CPU3|Q9CPU3_MOUSE	tr|A0A6P6F1P7|A0A6P6F1P7_OCTDE
OG0002577	sp|Q9CQY8|T4S20_MOUSE	tr|A0A6P3F3Y8|A0A6P3F3Y8_OCTDE
OG0002578	sp|Q9CZX7|PP4P2_MOUSE	tr|A0A6P3FMZ5|A0A6P3FMZ5_OCTDE
OG0002579	sp|Q9D1K7|CT027_MOUSE	tr|A0A6P6EQZ6|A0A6P6EQZ6_OCTDE
OG0002580	sp|Q9DA01|EPPI_MOUSE	tr|A0A6P6EWQ0|A0A6P6EWQ0_OCTDE
OG0002581	sp|Q9DBN1|STR6L_MOUSE	tr|A0A6P3VEQ6|A0A6P3VEQ6_OCTDE
OG0002582	sp|Q9DCF9|SSRG_MOUSE	tr|A0A6P3FHM8|A0A6P3FHM8_OCTDE
OG0002583	sp|Q9EQW7|KI13A_MOUSE	tr|A0A6P6E6Q6|A0A6P6E6Q6_OCTDE
OG0002584	sp|Q9JMK0|B4GT5_MOUSE	tr|A0A6P6EX60|A0A6P6EX60_OCTDE
OG0002585	sp|Q9QZC8|ABHD1_MOUSE	tr|A0A6P3EXI0|A0A6P3EXI0_OCTDE
OG0002586	sp|Q9QZW9|MNX1_MOUSE	tr|A0A6P6E8D3|A0A6P6E8D3_OCTDE
OG0002587	sp|Q9R0P5|DEST_MOUSE	tr|A0A6P3FDU7|A0A6P3FDU7_OCTDE
OG0002588	sp|Q9WTK3|GPAA1_MOUSE	tr|A0A6P3FJI2|A0A6P3FJI2_OCTDE
OG0002589	sp|Q9WV32|ARC1B_MOUSE	tr|A0A6P6EA44|A0A6P6EA44_OCTDE
OG0002590	sp|Q9Z1D1|EIF3G_MOUSE	tr|A0A6P3F6K4|A0A6P3F6K4_OCTDE
OG0002591	sp|Q9Z1J2|NEK4_MOUSE	tr|A0A6P6EGR1|A0A6P6EGR1_OCTDE
OG0002592	sp|A2ALS5|RPGP1_MOUSE	tr|A0A6P6F182|A0A6P6F182_OCTDE
OG0002593	sp|E9Q5C9|NOLC1_MOUSE	tr|A0A6P6EGW4|A0A6P6EGW4_OCTDE
OG0002594	sp|E9Q8Q8|SACA6_MOUSE	tr|A0A6P6DKU5|A0A6P6DKU5_OCTDE
OG0002595	sp|E9Q9W4|S27A6_MOUSE	tr|A0A6P3ETI7|A0A6P3ETI7_OCTDE
OG0002596	sp|O54828|RGS9_MOUSE	tr|A0A6P6ED51|A0A6P6ED51_OCTDE
OG0002597	sp|O70378|EMC8_MOUSE	tr|A0A6P3FTF0|A0A6P3FTF0_OCTDE
OG0002598	sp|O88939|ZBT7A_MOUSE	tr|A0A6P6EL40|A0A6P6EL40_OCTDE
OG0002599	sp|P03953|CFAD_MOUSE	tr|A0A6P3EVT2|A0A6P3EVT2_OCTDE
OG0002600	sp|P35383|P2RY2_MOUSE	tr|A0A6P6DD77|A0A6P6DD77_OCTDE
OG0002601	sp|P41136|ID2_MOUSE	tr|A0A6P6DLP5|A0A6P6DLP5_OCTDE
OG0002602	sp|P42682|TXK_MOUSE	tr|A0A6P3FVF1|A0A6P3FVF1_OCTDE
OG0002603	sp|P55937|GOGA3_MOUSE	tr|A0A6P6EVB5|A0A6P6EVB5_OCTDE
OG0002604	sp|P59110|SENP1_MOUSE	tr|A0A6P6F5B4|A0A6P6F5B4_OCTDE
OG0002605	sp|P70689|CXB6_MOUSE	tr|A0A6P6D5N2|A0A6P6D5N2_OCTDE
OG0002606	sp|Q02111|KPCT_MOUSE	tr|A0A6P6EU28|A0A6P6EU28_OCTDE
OG0002607	sp|Q14B62|PTHD1_MOUSE	tr|A0A6P3F835|A0A6P3F835_OCTDE
OG0002608	tr|Q32NY8|Q32NY8_MOUSE	tr|A0A6P6DJE7|A0A6P6DJE7_OCTDE
OG0002609	sp|Q3UB74|TBRG1_MOUSE	tr|A0A6P3F9H2|A0A6P3F9H2_OCTDE
OG0002610	sp|Q3US16|TEANC_MOUSE	tr|A0A6P6ESQ6|A0A6P6ESQ6_OCTDE
OG0002611	sp|Q58A65|JIP4_MOUSE	tr|A0A6P6EMT7|A0A6P6EMT7_OCTDE
OG0002612	sp|Q60634|FLOT2_MOUSE	tr|A0A6P3FDG6|A0A6P3FDG6_OCTDE
OG0002613	sp|Q60969|STYX_MOUSE	tr|A0A6P3F4R3|A0A6P3F4R3_OCTDE
OG0002614	sp|Q6RUT8|CC154_MOUSE	tr|A0A6P6E4D7|A0A6P6E4D7_OCTDE
OG0002615	sp|Q6T3U4|NPCL1_MOUSE	tr|A0A6P3ESJ8|A0A6P3ESJ8_OCTDE
OG0002616	sp|Q6TCG5|PAQR6_MOUSE	tr|A0A6P6EBL2|A0A6P6EBL2_OCTDE
OG0002617	sp|Q6VH22|IF172_MOUSE	tr|A0A6P3ELW2|A0A6P3ELW2_OCTDE
OG0002618	sp|Q6ZQI3|MLEC_MOUSE	tr|A0A6P3FFH2|A0A6P3FFH2_OCTDE
OG0002619	sp|Q7TSJ6|LATS2_MOUSE	tr|A0A6P6D496|A0A6P6D496_OCTDE
OG0002620	sp|Q80T21|ATL4_MOUSE	tr|A0A6P3F5T2|A0A6P3F5T2_OCTDE
OG0002621	sp|Q80TE0|RPAP1_MOUSE	tr|A0A6P6E8H8|A0A6P6E8H8_OCTDE
OG0002622	sp|Q80U70|SUZ12_MOUSE	tr|A0A6P3FE85|A0A6P3FE85_OCTDE
OG0002623	sp|Q8BG47|RN152_MOUSE	tr|A0A6P6F3C3|A0A6P6F3C3_OCTDE
OG0002624	sp|Q8BGF7|PAN2_MOUSE	tr|A0A6P3FJN2|A0A6P3FJN2_OCTDE
OG0002625	sp|Q8BGV4|TTI2_MOUSE	tr|A0A6P6EZK7|A0A6P6EZK7_OCTDE
OG0002626	sp|Q8BHT6|B3GLT_MOUSE	tr|A0A6P6EEQ6|A0A6P6EEQ6_OCTDE
OG0002627	sp|Q8BK62|OLFL3_MOUSE	tr|A0A6P6DC11|A0A6P6DC11_OCTDE
OG0002628	sp|Q8BMG8|MFTC_MOUSE	tr|A0A6P6DDM4|A0A6P6DDM4_OCTDE
OG0002629	sp|Q8BQ47|CNPY4_MOUSE	tr|A0A6P3ERS7|A0A6P3ERS7_OCTDE
OG0002630	sp|Q8BTI8|SRRM2_MOUSE	tr|A0A6P6E4E1|A0A6P6E4E1_OCTDE
OG0002631	sp|Q8BX02|KANK2_MOUSE	tr|A0A6P3FA86|A0A6P3FA86_OCTDE
OG0002632	sp|Q8BX22|SALL4_MOUSE	tr|A0A6P3FEI9|A0A6P3FEI9_OCTDE
OG0002633	sp|Q8CFV9|RIFK_MOUSE	tr|A0A6P6F280|A0A6P6F280_OCTDE
OG0002634	sp|Q8CHW5|BICL2_MOUSE	tr|A0A6P6E4W9|A0A6P6E4W9_OCTDE
OG0002635	sp|Q8VE38|OXND1_MOUSE	tr|A0A6P3F4H9|A0A6P3F4H9_OCTDE
OG0002636	sp|Q8VEA6|CRDL2_MOUSE	tr|A0A6P3F891|A0A6P3F891_OCTDE
OG0002637	sp|Q91XL3|UXS1_MOUSE	tr|A0A6P6ELJ6|A0A6P6ELJ6_OCTDE
OG0002638	sp|Q99LJ8|NGBR_MOUSE	tr|A0A6P6EFS3|A0A6P6EFS3_OCTDE
OG0002639	sp|Q99M02|MARH2_MOUSE	tr|A0A6P6DMH2|A0A6P6DMH2_OCTDE
OG0002640	sp|Q99MD8|MYNN_MOUSE	tr|A0A6P3EWS2|A0A6P3EWS2_OCTDE
OG0002641	sp|Q99N50|SYTL2_MOUSE	tr|A0A6P6EJ98|A0A6P6EJ98_OCTDE
OG0002642	sp|Q9D1G0|DNSL2_MOUSE	tr|A0A6P6E4K1|A0A6P6E4K1_OCTDE
OG0002643	sp|Q9D9B4|LRMDA_MOUSE	tr|A0A6P6ERE8|A0A6P6ERE8_OCTDE
OG0002644	sp|Q9DAG4|TEX37_MOUSE	tr|A0A6P3FME7|A0A6P3FME7_OCTDE
OG0002645	sp|Q9DBA9|TF2H1_MOUSE	tr|A0A6P6ESL2|A0A6P6ESL2_OCTDE
OG0002646	sp|Q9DBB9|CPN2_MOUSE	tr|A0A6P3FRX9|A0A6P3FRX9_OCTDE
OG0002647	sp|Q9DCX8|IYD1_MOUSE	tr|A0A6P3FV19|A0A6P3FV19_OCTDE
OG0002648	sp|Q9EPU4|CPSF1_MOUSE	tr|A0A6P3F4Y8|A0A6P3F4Y8_OCTDE
OG0002649	sp|Q9ERD8|PARVG_MOUSE	tr|A0A6P3FQN0|A0A6P3FQN0_OCTDE
OG0002650	sp|Q9ES83|POPD1_MOUSE	tr|A0A6P3F2T8|A0A6P3F2T8_OCTDE
OG0002651	sp|Q9JL15|LEG8_MOUSE	tr|A0A6P6D9U0|A0A6P6D9U0_OCTDE
OG0002652	sp|Q9WUQ7|DEXI_MOUSE	tr|A0A6P3EMB3|A0A6P3EMB3_OCTDE
OG0002653	tr|A0A140LIJ0|A0A140LIJ0_MOUSE	tr|A0A6P3F1Q0|A0A6P3F1Q0_OCTDE
OG0002654	sp|A2AJL3|FGGY_MOUSE	tr|A0A6P6E0A9|A0A6P6E0A9_OCTDE
OG0002655	sp|E9Q793|JHY_MOUSE	tr|A0A6P3F114|A0A6P3F114_OCTDE
OG0002656	sp|E9Q956|MCMD2_MOUSE	tr|A0A6P3FH81|A0A6P3FH81_OCTDE
OG0002657	tr|E9Q9K8|E9Q9K8_MOUSE	tr|A0A6P3FGD1|A0A6P3FGD1_OCTDE
OG0002658	tr|F6ZPB0|F6ZPB0_MOUSE	tr|A0A6P6EUL7|A0A6P6EUL7_OCTDE
OG0002659	tr|F8VQ39|F8VQ39_MOUSE	tr|A0A6P6E8B9|A0A6P6E8B9_OCTDE
OG0002660	sp|L0N7N1|KIF14_MOUSE	tr|A0A6P3EWK7|A0A6P3EWK7_OCTDE
OG0002661	sp|O35134|RPA1_MOUSE	tr|A0A6P3FQ25|A0A6P3FQ25_OCTDE
OG0002662	sp|O54957|LAT_MOUSE	tr|A0A6P6ELS1|A0A6P6ELS1_OCTDE
OG0002663	sp|O70354|CAH11_MOUSE	tr|A0A6P3FW20|A0A6P3FW20_OCTDE
OG0002664	sp|O88634|PAR4_MOUSE	tr|A0A6P3FKA5|A0A6P3FKA5_OCTDE
OG0002665	sp|O89050|MKLN1_MOUSE	tr|A0A6P3EKQ4|A0A6P3EKQ4_OCTDE
OG0002666	sp|P06800|PTPRC_MOUSE	tr|A0A6P6DT30|A0A6P6DT30_OCTDE
OG0002667	sp|P07744|K2C4_MOUSE	tr|A0A6P6F214|A0A6P6F214_OCTDE
OG0002668	sp|P19467|MUC13_MOUSE	tr|A0A6P6DCZ3|A0A6P6DCZ3_OCTDE
OG0002669	sp|P28301|LYOX_MOUSE	tr|A0A6P6EFN5|A0A6P6EFN5_OCTDE
OG0002670	sp|P33534|OPRK_MOUSE	tr|A0A6P6EME3|A0A6P6EME3_OCTDE
OG0002671	sp|P41245|MMP9_MOUSE	tr|A0A6P3FEN6|A0A6P3FEN6_OCTDE
OG0002672	sp|P43431|IL12A_MOUSE	tr|A0A6P3F6N6|A0A6P3F6N6_OCTDE
OG0002673	sp|P54823|DDX6_MOUSE	tr|A0A6P6EXE8|A0A6P6EXE8_OCTDE
OG0002674	sp|P60202|MYPR_MOUSE	tr|A0A6P3FQV7|A0A6P3FQV7_OCTDE
OG0002675	sp|P70181|PI51B_MOUSE	tr|A0A6P6EZF0|A0A6P6EZF0_OCTDE
OG0002676	sp|P70372|ELAV1_MOUSE	tr|A0A6P3FTA9|A0A6P3FTA9_OCTDE
OG0002677	sp|Q3UKY7|PRS38_MOUSE	tr|A0A6P3FYJ5|A0A6P3FYJ5_OCTDE
OG0002678	sp|Q3V3F6|MPZL3_MOUSE	tr|A0A6P3FC11|A0A6P3FC11_OCTDE
OG0002679	sp|Q5NCI0|URGCP_MOUSE	tr|A0A6P3F6H2|A0A6P3F6H2_OCTDE
OG0002680	sp|Q5U3K5|RABL6_MOUSE	tr|A0A6P3F7F7|A0A6P3F7F7_OCTDE
OG0002681	sp|Q61851|FGFR3_MOUSE	tr|A0A6P6D7B0|A0A6P6D7B0_OCTDE
OG0002682	sp|Q62443|NPTX1_MOUSE	tr|A0A6P3F5X7|A0A6P3F5X7_OCTDE
OG0002683	sp|Q6PGC7|S35E3_MOUSE	tr|A0A6P3F7M7|A0A6P3F7M7_OCTDE
OG0002684	sp|Q6Q899|DDX58_MOUSE	tr|A0A6P3EU51|A0A6P3EU51_OCTDE
OG0002685	sp|Q7TN37|TRPM4_MOUSE	tr|A0A6P6DQY5|A0A6P6DQY5_OCTDE
OG0002686	sp|Q80WT4|GP176_MOUSE	tr|A0A6P3V9U8|A0A6P3V9U8_OCTDE
