Orthogroup	Mus_musculus	Ornithorhynchus_anatinus
OG0002257	sp|P0DM65|BECN2_MOUSE, sp|O88597|BECN1_MOUSE	tr|F7DLU1|F7DLU1_ORNAN
OG0002258	sp|P84096|RHOG_MOUSE	tr|F7D392|F7D392_ORNAN, tr|F6QHA8|F6QHA8_ORNAN
OG0002259	sp|Q8BWG4|K1755_MOUSE, sp|Q3UPH7|ARH40_MOUSE	tr|A0A6I8NZG2|A0A6I8NZG2_ORNAN
OG0002260	sp|Q61830|MRC1_MOUSE, sp|Q64449|MRC2_MOUSE	tr|F7BYB6|F7BYB6_ORNAN
OG0002262	sp|Q80W94|MOGT2_MOUSE	tr|F6YUL5|F6YUL5_ORNAN, tr|F7FED5|F7FED5_ORNAN
OG0002263	sp|Q69ZI1|SH3R1_MOUSE, sp|Q8C120|SH3R3_MOUSE	tr|F6WWJ7|F6WWJ7_ORNAN
OG0002264	sp|Q9D0I6|WSDU1_MOUSE, sp|Q91WM3|U3IP2_MOUSE	tr|F7CG66|F7CG66_ORNAN
OG0002265	sp|Q9CXN7|PBLD2_MOUSE, sp|Q9DCG6|PBLD1_MOUSE	tr|A0A6I8PP57|A0A6I8PP57_ORNAN
OG0002266	sp|O88853|GALR3_MOUSE, sp|O88854|GALR2_MOUSE	tr|F6UKY2|F6UKY2_ORNAN
OG0002267	sp|Q61164|CTCF_MOUSE	tr|B2CMK8|B2CMK8_ORNAN, tr|A0A6I8P018|A0A6I8P018_ORNAN
OG0002268	sp|Q61398|PCOC1_MOUSE, sp|Q8R4W6|PCOC2_MOUSE	tr|A0A6I8PRS7|A0A6I8PRS7_ORNAN
OG0002269	sp|Q8BTF8|RALYL_MOUSE	tr|A0A6I8PK16|A0A6I8PK16_ORNAN, tr|F6WAT3|F6WAT3_ORNAN
OG0002270	sp|Q8K0E1|KCD15_MOUSE	tr|A0A6I8N0L6|A0A6I8N0L6_ORNAN, tr|A0A6I8NGI1|A0A6I8NGI1_ORNAN
OG0002271	sp|Q99JP6|HOME3_MOUSE, sp|Q9Z2Y3|HOME1_MOUSE	tr|A0A6I8NZ42|A0A6I8NZ42_ORNAN
OG0002272	tr|A0A2I3BR81|A0A2I3BR81_MOUSE	tr|F7EKX6|F7EKX6_ORNAN, tr|F7D6L8|F7D6L8_ORNAN
OG0002273	tr|A0A6I8MWX0|A0A6I8MWX0_MOUSE, tr|A0A338P6S8|A0A338P6S8_MOUSE	tr|A0A6I8P7H3|A0A6I8P7H3_ORNAN
OG0002274	sp|Q8VDB9|S620A_MOUSE, sp|O88575|S620B_MOUSE	tr|F6WCX1|F6WCX1_ORNAN
OG0002275	sp|P35486|ODPA_MOUSE, sp|P35487|ODPAT_MOUSE	tr|F6ZAF4|F6ZAF4_ORNAN
OG0002276	tr|Q3UW09|Q3UW09_MOUSE	tr|A0A6I8MZH9|A0A6I8MZH9_ORNAN, tr|A0A6I8NV89|A0A6I8NV89_ORNAN
OG0002277	sp|Q9DCW2|PLS2_MOUSE, sp|Q9JJ00|PLS1_MOUSE	tr|F7FQB2|F7FQB2_ORNAN
OG0002278	sp|P06151|LDHA_MOUSE	tr|A0A6I8PC18|A0A6I8PC18_ORNAN, tr|F7BRJ4|F7BRJ4_ORNAN
OG0002279	sp|P06281|RENI1_MOUSE, sp|P00796|RENI2_MOUSE	tr|A0A6I8NMV7|A0A6I8NMV7_ORNAN
OG0002280	sp|Q3TIW9|ENPP7_MOUSE	tr|A0A6I8MYU7|A0A6I8MYU7_ORNAN, tr|A0A6I8PH78|A0A6I8PH78_ORNAN
OG0002281	sp|Q60864|STIP1_MOUSE	tr|F6WSZ4|F6WSZ4_ORNAN, tr|F7EPZ6|F7EPZ6_ORNAN
OG0002282	sp|Q7TSK7|ATL2_MOUSE	tr|A0A6I8P972|A0A6I8P972_ORNAN, tr|F6U9E5|F6U9E5_ORNAN
OG0002283	sp|A8Y5H7|S14L1_MOUSE, tr|B2RXM5|B2RXM5_MOUSE	tr|A0A6I8N316|A0A6I8N316_ORNAN
OG0002284	sp|P61168|DRD2_MOUSE, sp|P30728|DRD3_MOUSE	tr|F6TGF3|F6TGF3_ORNAN
OG0002285	sp|P70225|I11RB_MOUSE, sp|Q64385|I11RA_MOUSE	tr|F7F4M7|F7F4M7_ORNAN
OG0002286	sp|Q3TNH5|F172A_MOUSE	tr|A0A6I8PIS0|A0A6I8PIS0_ORNAN, tr|F6PPK5|F6PPK5_ORNAN
OG0002287	sp|Q8K135|K319L_MOUSE, sp|Q5SZV5|K0319_MOUSE	tr|F6TAS1|F6TAS1_ORNAN
OG0002288	sp|Q9D3A8|CAPON_MOUSE	tr|A0A6I8P8I6|A0A6I8P8I6_ORNAN, tr|F7CSF2|F7CSF2_ORNAN
OG0002289	sp|Q3TMW1|C102A_MOUSE	tr|A0A6I8NG12|A0A6I8NG12_ORNAN, tr|A0A6I8P374|A0A6I8P374_ORNAN
OG0002290	sp|Q6P0X2|ZN511_MOUSE	tr|F6UDY7|F6UDY7_ORNAN, tr|F7D236|F7D236_ORNAN
OG0002291	sp|Q9JKL5|CHP3_MOUSE, tr|Q9DAJ7|Q9DAJ7_MOUSE	tr|A0A6I8NSA3|A0A6I8NSA3_ORNAN
OG0002292	sp|Q6S5G4|CXA6_MOUSE, sp|P23242|CXA1_MOUSE	tr|F6TH76|F6TH76_ORNAN
OG0002293	tr|Q3ZAS0|Q3ZAS0_MOUSE	tr|A0A6I8NGI9|A0A6I8NGI9_ORNAN, tr|F7F968|F7F968_ORNAN
OG0002294	sp|Q9R0A5|NEK3_MOUSE	tr|F6W794|F6W794_ORNAN, tr|A0A6I8P9F5|A0A6I8P9F5_ORNAN
OG0002295	sp|Q9Z0Z7|KLF5_MOUSE	tr|F7CZG5|F7CZG5_ORNAN, tr|A0A6I8NWC5|A0A6I8NWC5_ORNAN
OG0002296	sp|A0A088MLT8|IQIP1_MOUSE, sp|P0DPB4|SCHI1_MOUSE	tr|F6PGX7|F6PGX7_ORNAN
OG0002297	sp|P32442|MEOX1_MOUSE, sp|P32443|MEOX2_MOUSE	tr|A0A6I8PBU7|A0A6I8PBU7_ORNAN
OG0002298	sp|Q64433|CH10_MOUSE, tr|Q9JI95|Q9JI95_MOUSE	tr|F6U8E5|F6U8E5_ORNAN
OG0002299	sp|Q8R4G6|MGT5A_MOUSE, sp|Q765H6|MGT5B_MOUSE	tr|A0A6I8NNL7|A0A6I8NNL7_ORNAN
OG0002300	tr|Q8R3P8|Q8R3P8_MOUSE, tr|Q14B01|Q14B01_MOUSE	tr|F7E8Y2|F7E8Y2_ORNAN
OG0002301	sp|P47199|QOR_MOUSE	tr|F7ALH9|F7ALH9_ORNAN, tr|F7C1V4|F7C1V4_ORNAN
OG0002302	sp|Q8JZV4|RBM41_MOUSE	tr|A0A6I8MZQ3|A0A6I8MZQ3_ORNAN, tr|A0A6I8MX65|A0A6I8MX65_ORNAN
OG0002303	tr|Q3V3W4|Q3V3W4_MOUSE, tr|G3UW50|G3UW50_MOUSE	tr|F6ZN19|F6ZN19_ORNAN
OG0002304	sp|P35428|HES1_MOUSE	tr|A0A6I8N7Q4|A0A6I8N7Q4_ORNAN, tr|A0A6I8NWR2|A0A6I8NWR2_ORNAN
OG0002305	sp|P48302|EDNRB_MOUSE	tr|A0A6I8PI95|A0A6I8PI95_ORNAN, tr|F7FUV9|F7FUV9_ORNAN
OG0002306	sp|Q8R050|ERF3A_MOUSE, sp|Q149F3|ERF3B_MOUSE	tr|A0A6I8P1C2|A0A6I8P1C2_ORNAN
OG0002307	sp|Q60935|NAR1_MOUSE	tr|A0A6I8NNF4|A0A6I8NNF4_ORNAN, tr|A0A6I8NHS6|A0A6I8NHS6_ORNAN
OG0002308	sp|Q6IQX7|CHSS2_MOUSE, tr|Q3UU43|Q3UU43_MOUSE	tr|A0A6I8NEC0|A0A6I8NEC0_ORNAN
OG0002309	tr|E9Q9Q2|E9Q9Q2_MOUSE, sp|Q80TM6|R3HD2_MOUSE	tr|A0A6I8NJF0|A0A6I8NJF0_ORNAN
OG0002310	sp|Q60670|SIK1_MOUSE, sp|Q8CFH6|SIK2_MOUSE	tr|A0A6I8N9W4|A0A6I8N9W4_ORNAN
OG0002311	sp|Q91V45|KISSR_MOUSE	tr|A0A6I8N4S7|A0A6I8N4S7_ORNAN, tr|A0A6I8PH47|A0A6I8PH47_ORNAN
OG0002312	sp|Q9CQ29|RN151_MOUSE, sp|Q61382|TRAF4_MOUSE	tr|F7DVG7|F7DVG7_ORNAN
OG0002313	sp|Q9D0D5|T2EA_MOUSE	tr|A0A6I8N9P3|A0A6I8N9P3_ORNAN, tr|F7CJV3|F7CJV3_ORNAN
OG0002314	sp|Q9ERI6|RDH14_MOUSE	tr|A0A6I8PN37|A0A6I8PN37_ORNAN, tr|F6Y1X4|F6Y1X4_ORNAN
OG0002315	sp|A2A4P0|DHX8_MOUSE, sp|Q9ESX4|ZCC17_MOUSE	tr|A0A6I8MZ28|A0A6I8MZ28_ORNAN
OG0002316	sp|P01872|IGHM_MOUSE	tr|A0A6I8N1T2|A0A6I8N1T2_ORNAN, tr|A0A6I8P1P3|A0A6I8P1P3_ORNAN
OG0002317	sp|Q5SUE7|ADAD1_MOUSE, sp|Q9D5P4|ADAD2_MOUSE	tr|F6WWW2|F6WWW2_ORNAN
OG0002318	sp|Q9D9E0|S22AH_MOUSE	tr|A0A6I8NIF3|A0A6I8NIF3_ORNAN, tr|A0A6I8P1R9|A0A6I8P1R9_ORNAN
OG0002319	sp|Q9JHP7|PLGT2_MOUSE, sp|G5E897|PLGT3_MOUSE	tr|F7CT27|F7CT27_ORNAN
OG0002320	sp|Q7TSK3|PCDH8_MOUSE	tr|A0A6I8NQS3|A0A6I8NQS3_ORNAN, tr|A0A6I8PBD3|A0A6I8PBD3_ORNAN
OG0002321	sp|Q91WS7|DEPD7_MOUSE	tr|F6PY53|F6PY53_ORNAN, tr|F6W1W3|F6W1W3_ORNAN
OG0002322	sp|O35659|GLP1R_MOUSE, sp|Q61606|GLR_MOUSE	tr|A0A6I8P5H3|A0A6I8P5H3_ORNAN
OG0002323	sp|Q63844|MK03_MOUSE	tr|A0A6I8N415|A0A6I8N415_ORNAN, tr|A0A6I8NRC4|A0A6I8NRC4_ORNAN
OG0002324	sp|Q7TSY8|SGO2_MOUSE, tr|J3QMK1|J3QMK1_MOUSE	tr|A0A6I8P884|A0A6I8P884_ORNAN
OG0002325	tr|Q8VF27|Q8VF27_MOUSE	tr|A0A6I8PA37|A0A6I8PA37_ORNAN, tr|A0A6I8P4E9|A0A6I8P4E9_ORNAN
OG0002326	tr|H7BX60|H7BX60_MOUSE, sp|Q91WC1|POTE1_MOUSE	tr|F7GA63|F7GA63_ORNAN
OG0002327	sp|P63015|PAX6_MOUSE	tr|F6W0Z9|F6W0Z9_ORNAN, tr|A0A6I8N991|A0A6I8N991_ORNAN
OG0002328	sp|Q8BXJ9|TMM62_MOUSE	tr|A0A6I8PAF4|A0A6I8PAF4_ORNAN, tr|A0A6I8NSS0|A0A6I8NSS0_ORNAN
OG0002329	sp|Q8R5H1|UBP15_MOUSE, sp|Q6K1E7|GGNB1_MOUSE	tr|A0A6I8NG81|A0A6I8NG81_ORNAN
OG0002330	sp|P58021|TM9S2_MOUSE	tr|F6RAK0|F6RAK0_ORNAN, tr|F7CY05|F7CY05_ORNAN
OG0002331	sp|P97360|ETV6_MOUSE	tr|F7C2B6|F7C2B6_ORNAN, tr|A0A6I8NKX1|A0A6I8NKX1_ORNAN
OG0002332	sp|A2AWT3|AT7L3_MOUSE, sp|Q3UD01|A7L3B_MOUSE	tr|F7B178|F7B178_ORNAN
OG0002333	sp|Q9DA80|RSH3B_MOUSE, sp|Q3UFY4|RSH3A_MOUSE	tr|F6Z5G5|F6Z5G5_ORNAN
OG0002334	sp|Q8BI66|ZN526_MOUSE, sp|Q8BY46|ZN574_MOUSE	tr|A0A6I8N5L4|A0A6I8N5L4_ORNAN
OG0002335	sp|Q8JZU0|NUD13_MOUSE	tr|F6WL56|F6WL56_ORNAN, tr|F6U2W8|F6U2W8_ORNAN
OG0002336	sp|Q9JJJ3|AQP9_MOUSE	tr|F6ZU23|F6ZU23_ORNAN, tr|A0A6I8P9B8|A0A6I8P9B8_ORNAN
OG0002337	sp|Q9R1Y5|HIC1_MOUSE, sp|Q9JLZ6|HIC2_MOUSE	tr|A0A6I8N8A2|A0A6I8N8A2_ORNAN
OG0002338	tr|A0A0A6YXW6|A0A0A6YXW6_MOUSE, sp|P01878|IGHA_MOUSE	tr|F6TM34|F6TM34_ORNAN
OG0002339	sp|P58459|ATS10_MOUSE, tr|D3Z1A5|D3Z1A5_MOUSE	tr|A0A6I8P5F5|A0A6I8P5F5_ORNAN
OG0002340	sp|P97469|SNAI2_MOUSE	tr|F6QBK2|F6QBK2_ORNAN, tr|F7CKZ2|F7CKZ2_ORNAN
OG0002341	sp|Q3UVU3|ZNT10_MOUSE, sp|Q60738|ZNT1_MOUSE	tr|F7CCY3|F7CCY3_ORNAN
OG0002342	sp|Q922B1|MACD1_MOUSE, sp|Q3UYG8|MACD2_MOUSE	tr|A0A6I8PH81|A0A6I8PH81_ORNAN
OG0002343	sp|P97820|M4K4_MOUSE	tr|F6T2D5|F6T2D5_ORNAN, tr|F7BSW7|F7BSW7_ORNAN
OG0002344	sp|Q8K0L2|ENTP8_MOUSE	tr|A0A6I8NSW7|A0A6I8NSW7_ORNAN, tr|F7CZW2|F7CZW2_ORNAN
OG0002345	sp|Q8VI67|SP7_MOUSE, sp|Q9ESX2|SP6_MOUSE	tr|A0A6I8NV99|A0A6I8NV99_ORNAN
OG0002346	sp|Q9CPP0|NPM3_MOUSE	tr|A0A6I8NGU2|A0A6I8NGU2_ORNAN, tr|A0A6I8N931|A0A6I8N931_ORNAN
OG0002347	sp|Q9CRC9|GNPI2_MOUSE	tr|K7E8L7|K7E8L7_ORNAN, tr|A0A6I8N0M2|A0A6I8N0M2_ORNAN
OG0002348	tr|B1AWG4|B1AWG4_MOUSE, tr|A2A9H6|A2A9H6_MOUSE	tr|A0A6I8N206|A0A6I8N206_ORNAN
OG0002349	sp|O08785|CLOCK_MOUSE	tr|A0A6I8N5U5|A0A6I8N5U5_ORNAN, tr|F6T387|F6T387_ORNAN
OG0002350	sp|P56974|NRG2_MOUSE	tr|A0A6I8PQP2|A0A6I8PQP2_ORNAN, tr|A0A6I8NJU2|A0A6I8NJU2_ORNAN
OG0002351	sp|Q8JZM4|DNER_MOUSE	tr|F6V324|F6V324_ORNAN, tr|A0A6I8P8I5|A0A6I8P8I5_ORNAN
OG0002352	sp|Q9CR42|ANKR1_MOUSE, sp|Q812A3|ANR23_MOUSE	tr|F7E5N8|F7E5N8_ORNAN
OG0002353	sp|Q80T62|GP101_MOUSE, sp|B2RPY5|GP161_MOUSE	tr|A0A6I8PHU9|A0A6I8PHU9_ORNAN
OG0002354	sp|Q61136|PRP4B_MOUSE	tr|A0A6I8P297|A0A6I8P297_ORNAN, tr|A0A6I8NSZ4|A0A6I8NSZ4_ORNAN
OG0002356	sp|P48281|VDR_MOUSE, sp|O54915|NR1I2_MOUSE	tr|A0A6I8NYA3|A0A6I8NYA3_ORNAN
OG0002357	sp|P39039|MBL1_MOUSE, sp|P41317|MBL2_MOUSE	tr|A0A6I8PA76|A0A6I8PA76_ORNAN
OG0002358	sp|Q0VGT2|GLI2_MOUSE, sp|P47806|GLI1_MOUSE	tr|A0A6I8PD02|A0A6I8PD02_ORNAN
OG0002359	sp|Q9WTK7|STK11_MOUSE	tr|W8BZ02|W8BZ02_ORNAN, tr|F7EF25|F7EF25_ORNAN
OG0002360	sp|Q3U6B2|GP183_MOUSE	tr|F7DJD5|F7DJD5_ORNAN, tr|F7CXZ8|F7CXZ8_ORNAN
OG0002361	sp|Q9D110|MTHFS_MOUSE, tr|L7N466|L7N466_MOUSE	tr|A0A6I8NZH7|A0A6I8NZH7_ORNAN
OG0002362	sp|P57722|PCBP3_MOUSE, sp|P57724|PCBP4_MOUSE	tr|F6VQL1|F6VQL1_ORNAN
OG0002363	sp|Q8VIN1|PEBP2_MOUSE, sp|P70296|PEBP1_MOUSE	tr|A0A6I8NKV5|A0A6I8NKV5_ORNAN
OG0002364	sp|P58044|IDI1_MOUSE, sp|Q8BFZ6|IDI2_MOUSE	tr|A0A6I8N5G2|A0A6I8N5G2_ORNAN
OG0002365	sp|Q8BQS5|PAQR2_MOUSE	tr|F7F368|F7F368_ORNAN, tr|A0A6I8NCW0|A0A6I8NCW0_ORNAN
OG0002366	sp|Q9DCZ9|APH1C_MOUSE, sp|Q8C7N7|APH1B_MOUSE	tr|F7D644|F7D644_ORNAN
OG0002367	tr|J3QPY3|J3QPY3_MOUSE, sp|Q9WUD8|FAIM1_MOUSE	tr|A0A6I8NL27|A0A6I8NL27_ORNAN
OG0002368	sp|A6PWV5|ARI3C_MOUSE	tr|K7EAI7|K7EAI7_ORNAN, tr|A0A6I8N0W0|A0A6I8N0W0_ORNAN
OG0002369	sp|P05132|KAPCA_MOUSE	tr|F6URA9|F6URA9_ORNAN, tr|A0A6I8N9L6|A0A6I8N9L6_ORNAN
OG0002370	sp|P48964|MPIP1_MOUSE	tr|A0A6I8PDL4|A0A6I8PDL4_ORNAN, tr|A0A6I8P431|A0A6I8P431_ORNAN
OG0002371	sp|Q8CIB9|ESCO2_MOUSE, sp|Q69Z69|ESCO1_MOUSE	tr|F7EEG8|F7EEG8_ORNAN
OG0002372	sp|Q9EQF6|DPYL5_MOUSE	tr|F7DRE9|F7DRE9_ORNAN, tr|F7CVF2|F7CVF2_ORNAN
OG0002373	sp|O55176|PJA1_MOUSE, sp|Q80U04|PJA2_MOUSE	tr|F6SAX5|F6SAX5_ORNAN
OG0002374	sp|P43241|CDX2_MOUSE	tr|A0A6I8NCP2|A0A6I8NCP2_ORNAN, tr|A0A6I8P1U5|A0A6I8P1U5_ORNAN
OG0002375	sp|P47759|NSG2_MOUSE	tr|F7C8F3|F7C8F3_ORNAN, tr|A0A6I8NJT7|A0A6I8NJT7_ORNAN
OG0002376	sp|Q6NZA9|TAF9B_MOUSE, sp|Q8VI33|TAF9_MOUSE	tr|A0A6I8PLW2|A0A6I8PLW2_ORNAN
OG0002377	sp|Q9DAC7|TTC32_MOUSE	tr|A0A6I8PKG2|A0A6I8PKG2_ORNAN, tr|A0A6I8PR61|A0A6I8PR61_ORNAN
OG0002378	sp|Q6IMB1|RSLBA_MOUSE	tr|A0A6I8N503|A0A6I8N503_ORNAN, tr|A0A6I8P975|A0A6I8P975_ORNAN
OG0002379	sp|Q9D287|SPF27_MOUSE	tr|F7FQ59|F7FQ59_ORNAN, tr|A0A6I8PH76|A0A6I8PH76_ORNAN
OG0002380	sp|Q9WTV7|RNF12_MOUSE, sp|Q9DBU5|RNF6_MOUSE	tr|K7EG61|K7EG61_ORNAN
OG0002381	sp|Q6ZQ58|LARP1_MOUSE, tr|F6U5V1|F6U5V1_MOUSE	tr|A0A6I8NUI5|A0A6I8NUI5_ORNAN
OG0002382	sp|Q8CAL5|GPC5_MOUSE	tr|A0A6I8P560|A0A6I8P560_ORNAN, tr|A0A6I8N1H8|A0A6I8N1H8_ORNAN
OG0002383	tr|G5E8C2|G5E8C2_MOUSE, tr|E9PYD7|E9PYD7_MOUSE	tr|A0A6I8PKG6|A0A6I8PKG6_ORNAN
OG0002384	sp|P29755|AGTRB_MOUSE, sp|P29754|AGTRA_MOUSE	tr|F7GE79|F7GE79_ORNAN
OG0002385	sp|Q80YD6|SRGEF_MOUSE	tr|A0A6I8NQB5|A0A6I8NQB5_ORNAN, tr|A0A6I8NE51|A0A6I8NE51_ORNAN
OG0002386	sp|P09411|PGK1_MOUSE, sp|P09041|PGK2_MOUSE	tr|F6RUZ1|F6RUZ1_ORNAN
OG0002387	tr|Q3V061|Q3V061_MOUSE, sp|Q61510|TRI25_MOUSE	tr|F7GAT3|F7GAT3_ORNAN
OG0002388	sp|Q8VC66|ADIP_MOUSE	tr|F7FKA0|F7FKA0_ORNAN, tr|A0A6I8N424|A0A6I8N424_ORNAN
OG0002389	tr|A0A571BF63|A0A571BF63_MOUSE	tr|A0A6I8PCI7|A0A6I8PCI7_ORNAN, tr|A0A6I8MZ03|A0A6I8MZ03_ORNAN
OG0002390	sp|Q63850|NUP62_MOUSE, tr|A2AG10|A2AG10_MOUSE	tr|F6VNK5|F6VNK5_ORNAN
OG0002391	sp|P28322|ETV4_MOUSE, sp|P41164|ETV1_MOUSE	tr|F6V933|F6V933_ORNAN
OG0002392	sp|P58659|EVA1C_MOUSE	tr|F7GC87|F7GC87_ORNAN, tr|F6Z742|F6Z742_ORNAN
OG0002393	sp|Q6IFT4|RHG20_MOUSE	tr|A0A6I8NB09|A0A6I8NB09_ORNAN, tr|A0A6I8N785|A0A6I8N785_ORNAN
OG0002394	sp|Q99JY8|PLPP3_MOUSE	tr|A0A6I8NHW8|A0A6I8NHW8_ORNAN, tr|A0A6I8NCN9|A0A6I8NCN9_ORNAN
OG0002395	sp|Q3V0J4|ANR53_MOUSE, sp|Q9Z2F6|BCL3_MOUSE	tr|A0A6I8NE36|A0A6I8NE36_ORNAN
OG0002396	sp|Q8CG19|LTBP1_MOUSE, sp|O08999|LTBP2_MOUSE	tr|F6YZQ0|F6YZQ0_ORNAN
OG0002397	sp|P97765|WBP2_MOUSE	tr|A0A6I8PLN4|A0A6I8PLN4_ORNAN, tr|A0A6I8N013|A0A6I8N013_ORNAN
OG0002398	tr|Q9CR05|Q9CR05_MOUSE, sp|Q8BI36|JKAMP_MOUSE	tr|A0A6I8P8M2|A0A6I8P8M2_ORNAN
OG0002399	sp|Q5BKR2|SL9B2_MOUSE, sp|Q8C0X2|SL9B1_MOUSE	tr|F7C3Z8|F7C3Z8_ORNAN
OG0002400	sp|Q64310|SURF4_MOUSE	tr|A0A6I8PLN6|A0A6I8PLN6_ORNAN, tr|A0A6I8PP13|A0A6I8PP13_ORNAN
OG0002401	sp|Q80U72|SCRIB_MOUSE, sp|Q80VQ1|LRRC1_MOUSE	tr|A0A6I8NBJ1|A0A6I8NBJ1_ORNAN
OG0002402	sp|Q8CIV3|LIPH_MOUSE	tr|A0A6I8MYS8|A0A6I8MYS8_ORNAN, tr|F7CGN4|F7CGN4_ORNAN
OG0002403	sp|Q922Q9|CHID1_MOUSE	tr|A0A6I8NXF8|A0A6I8NXF8_ORNAN, tr|A0A6I8N2U5|A0A6I8N2U5_ORNAN
OG0002404	tr|Q8BHV4|Q8BHV4_MOUSE, sp|Q9D3J9|TASL_MOUSE	tr|A0A6I8P077|A0A6I8P077_ORNAN
OG0002405	sp|Q8BH73|QPCTL_MOUSE	tr|F6PST1|F6PST1_ORNAN, tr|A0A6I8NDR8|A0A6I8NDR8_ORNAN
OG0002406	sp|Q6DIB5|MEG10_MOUSE, sp|Q8VIK5|PEAR1_MOUSE	tr|F7A6H9|F7A6H9_ORNAN
OG0002407	sp|Q9CR40|KLH28_MOUSE	tr|F6SZN7|F6SZN7_ORNAN, tr|A0A6I8N959|A0A6I8N959_ORNAN
OG0002408	sp|O35493|CLK4_MOUSE	tr|F6YF59|F6YF59_ORNAN, tr|F7ADY7|F7ADY7_ORNAN
OG0002409	sp|A1A547|PGRP3_MOUSE, sp|Q0VB07|PGRP4_MOUSE	tr|A0A6I8PPD0|A0A6I8PPD0_ORNAN
OG0002410	sp|Q99LT0|DPY30_MOUSE, sp|Q99MH5|NDK5_MOUSE	tr|F7FRU9|F7FRU9_ORNAN
OG0002411	sp|Q8C0V9|FRMD6_MOUSE	tr|F6VPW5|F6VPW5_ORNAN, tr|A0A6I8NYT1|A0A6I8NYT1_ORNAN
OG0002412	sp|Q921Y0|MOB1A_MOUSE	tr|A0A6I8P9W5|A0A6I8P9W5_ORNAN, tr|A0A6I8PQ46|A0A6I8PQ46_ORNAN
OG0002413	sp|Q9R062|GLYG_MOUSE	tr|A0A6I8P4K3|A0A6I8P4K3_ORNAN, tr|F6ZHS4|F6ZHS4_ORNAN
OG0002414	sp|P70318|TIAR_MOUSE	tr|A0A6I8PR72|A0A6I8PR72_ORNAN, tr|A0A6I8P698|A0A6I8P698_ORNAN
OG0002415	tr|E9PY16|E9PY16_MOUSE	tr|A0A6I8NMV0|A0A6I8NMV0_ORNAN, tr|F7G0D2|F7G0D2_ORNAN
OG0002416	sp|P38533|HSF2_MOUSE	tr|F7EWF9|F7EWF9_ORNAN, tr|A0A6I8PHW9|A0A6I8PHW9_ORNAN
OG0002417	sp|O70584|NKX28_MOUSE, sp|P42586|NKX22_MOUSE	tr|A0A6I8P2N4|A0A6I8P2N4_ORNAN
OG0002418	sp|Q8BIW1|PRUN1_MOUSE	tr|F7FW44|F7FW44_ORNAN, tr|A0A6I8PFV6|A0A6I8PFV6_ORNAN
OG0002419	sp|Q6PDK2|KMT2D_MOUSE, sp|Q8BRH4|KMT2C_MOUSE	tr|A0A6I8P6H0|A0A6I8P6H0_ORNAN
OG0002420	sp|Q7TN88|PK1L2_MOUSE, sp|Q2EG98|PK1L3_MOUSE	tr|A0A6I8P6G4|A0A6I8P6G4_ORNAN
OG0002421	sp|Q3UFS0|ZY11B_MOUSE, sp|A2BFL2|ZY11A_MOUSE	tr|A0A6I8P871|A0A6I8P871_ORNAN
OG0002422	tr|Q8BGU0|Q8BGU0_MOUSE	tr|A0A6I8N101|A0A6I8N101_ORNAN, tr|F6XBH4|F6XBH4_ORNAN
OG0002423	sp|Q921Q3|ALG1_MOUSE	tr|A0A6I8NAH2|A0A6I8NAH2_ORNAN, tr|A0A6I8MYN1|A0A6I8MYN1_ORNAN
OG0002424	sp|Q02284|5HT1F_MOUSE	tr|A0A6I8N5W4|A0A6I8N5W4_ORNAN, tr|F7EPA8|F7EPA8_ORNAN
OG0002425	sp|Q60855|RIPK1_MOUSE	tr|A0A6I8PAJ3|A0A6I8PAJ3_ORNAN, tr|F7CKP5|F7CKP5_ORNAN
OG0002426	sp|Q9DCL8|IPP2_MOUSE, tr|Q6NSU2|Q6NSU2_MOUSE	tr|A0A6I8PAB7|A0A6I8PAB7_ORNAN
OG0002427	sp|Q8C4N4|LAAT1_MOUSE	tr|F7C123|F7C123_ORNAN, tr|F6RK42|F6RK42_ORNAN
OG0002428	sp|Q9WUU9|GANP_MOUSE	tr|A0A6I8PQC5|A0A6I8PQC5_ORNAN, tr|K7EDP1|K7EDP1_ORNAN
OG0002430	sp|P11672|NGAL_MOUSE, sp|Q6JVL5|LCN12_MOUSE	tr|A0A6I8NFI7|A0A6I8NFI7_ORNAN
OG0002431	sp|P70178|SIX5_MOUSE	tr|A0A6I8PIR0|A0A6I8PIR0_ORNAN, tr|A0A6I8NCE7|A0A6I8NCE7_ORNAN
OG0002432	sp|Q8BIQ5|CSTF2_MOUSE, sp|Q8C7E9|CSTFT_MOUSE	tr|A0A6I8PPI0|A0A6I8PPI0_ORNAN
OG0002433	sp|Q80VP2|SPAT7_MOUSE	tr|A0A6I8PIV5|A0A6I8PIV5_ORNAN, tr|A0A6I8PDL5|A0A6I8PDL5_ORNAN
OG0002434	sp|Q8K1K9|HINFP_MOUSE	tr|F6VMT9|F6VMT9_ORNAN, tr|A0A6I8PLJ2|A0A6I8PLJ2_ORNAN
OG0002435	sp|Q9CQM5|TXD17_MOUSE	tr|F7FLG4|F7FLG4_ORNAN, tr|A0A6I8NVW7|A0A6I8NVW7_ORNAN
OG0002436	sp|Q4U2R1|HERC2_MOUSE	tr|F6PZY5|F6PZY5_ORNAN, tr|A0A6I8PGB0|A0A6I8PGB0_ORNAN
OG0002437	sp|Q504N2|S22AF_MOUSE	tr|F7AQL8|F7AQL8_ORNAN, tr|A0A6I8NNZ5|A0A6I8NNZ5_ORNAN
