Orthogroup	Mus_musculus	Monodelphis_domestica
OG0003537	sp|Q3V0I2|PRR7_MOUSE	tr|F6VX44|F6VX44_MONDO
OG0003538	sp|Q9WTK8|SPO11_MOUSE	tr|F6X8N3|F6X8N3_MONDO
OG0003539	sp|Q8BHN5|RBM45_MOUSE	tr|F6X9L0|F6X9L0_MONDO
OG0003540	sp|Q7M756|PRS54_MOUSE	tr|F6XKM3|F6XKM3_MONDO
OG0003541	sp|P59113|FERM1_MOUSE	tr|F6YTW9|F6YTW9_MONDO
OG0003542	sp|Q8CE94|MOT13_MOUSE	tr|F6ZJR4|F6ZJR4_MONDO
OG0003543	sp|Q9D5T7|HORM1_MOUSE	tr|F6ZMA2|F6ZMA2_MONDO
OG0003544	sp|P28357|HXD9_MOUSE	tr|F7A9F7|F7A9F7_MONDO
OG0003545	tr|D3YXF5|D3YXF5_MOUSE	tr|F7BFI5|F7BFI5_MONDO
OG0003546	sp|Q8VHI4|CARTF_MOUSE	tr|F7BGQ8|F7BGQ8_MONDO
OG0003547	sp|Q8BYI9|TENR_MOUSE	tr|F7BXQ0|F7BXQ0_MONDO
OG0003548	sp|Q6NZL8|SCUB1_MOUSE	tr|F7CCK4|F7CCK4_MONDO
OG0003549	sp|Q91VR8|BRK1_MOUSE	tr|F7CH12|F7CH12_MONDO
OG0003550	sp|Q9D2D7|ZN687_MOUSE	tr|F7CMW7|F7CMW7_MONDO
OG0003551	sp|Q8VDF3|DAPK2_MOUSE	tr|F7CSM8|F7CSM8_MONDO
OG0003552	sp|Q62433|NDRG1_MOUSE	tr|F7DPF6|F7DPF6_MONDO
OG0003553	sp|Q9D2V8|MFS10_MOUSE	tr|F7DUZ0|F7DUZ0_MONDO
OG0003554	sp|O54825|BYST_MOUSE	tr|F7DYQ6|F7DYQ6_MONDO
OG0003555	sp|Q8BX32|SLX1_MOUSE	tr|F7EIL2|F7EIL2_MONDO
OG0003556	sp|Q9JII5|DAZP1_MOUSE	tr|F7EPU9|F7EPU9_MONDO
OG0003557	sp|Q80TL4|PHF24_MOUSE	tr|F7ET99|F7ET99_MONDO
OG0003558	sp|P35288|RAB23_MOUSE	tr|F7FC02|F7FC02_MONDO
OG0003559	sp|P28663|SNAB_MOUSE	tr|F7FDH1|F7FDH1_MONDO
OG0003560	sp|P52795|EFNB1_MOUSE	tr|F7FJ47|F7FJ47_MONDO
OG0003561	sp|Q8K5C0|GRHL2_MOUSE	tr|F7FSL0|F7FSL0_MONDO
OG0003562	sp|B2RXA1|PLCX2_MOUSE	tr|F7FTG8|F7FTG8_MONDO
OG0003563	sp|P70232|NCHL1_MOUSE	tr|F7FUN9|F7FUN9_MONDO
OG0003564	sp|Q8VC42|RMC1_MOUSE	tr|F7G2S1|F7G2S1_MONDO
OG0003565	sp|Q9DD16|NUD22_MOUSE	tr|H9H6E0|H9H6E0_MONDO
OG0003566	sp|Q04888|SOX10_MOUSE	tr|H9H793|H9H793_MONDO
OG0003567	sp|P52633|STAT6_MOUSE	tr|H9H8T9|H9H8T9_MONDO
OG0003568	sp|Q8CHT0|AL4A1_MOUSE	tr|A0A5F8G4F6|A0A5F8G4F6_MONDO
OG0003569	sp|Q8VHN8|TIRR_MOUSE	tr|A0A5F8G5N3|A0A5F8G5N3_MONDO
OG0003570	sp|Q9WV92|E41L3_MOUSE	tr|A0A5F8G8V8|A0A5F8G8V8_MONDO
OG0003571	sp|Q8CHT1|NGEF_MOUSE	tr|A0A5F8GIA1|A0A5F8GIA1_MONDO
OG0003572	sp|Q5U5V2|HYKK_MOUSE	tr|A0A5F8GJY9|A0A5F8GJY9_MONDO
OG0003574	sp|Q91VD9|NDUS1_MOUSE	tr|A0A5F8GMK1|A0A5F8GMK1_MONDO
OG0003575	sp|Q99PD7|NCKX3_MOUSE	tr|A0A5F8GQC2|A0A5F8GQC2_MONDO
OG0003576	sp|Q3UTD9|SIM15_MOUSE	tr|A0A5F8GRU0|A0A5F8GRU0_MONDO
OG0003577	sp|E0CYV9|CD054_MOUSE	tr|A0A5F8GRX2|A0A5F8GRX2_MONDO
OG0003578	sp|Q4V9Z5|SE6L2_MOUSE	tr|A0A5F8GSC4|A0A5F8GSC4_MONDO
OG0003579	sp|Q9D7S7|RL22L_MOUSE	tr|A0A5F8GTT4|A0A5F8GTT4_MONDO
OG0003580	sp|P61364|OSTN_MOUSE	tr|A0A5F8GUX3|A0A5F8GUX3_MONDO
OG0003581	sp|Q9D8N6|LIN37_MOUSE	tr|A0A5F8GZ74|A0A5F8GZ74_MONDO
OG0003582	sp|Q61006|MUSK_MOUSE	tr|A0A5F8H4Q7|A0A5F8H4Q7_MONDO
OG0003583	sp|Q9Z223|MOC2B_MOUSE	tr|A0A5F8H4Q8|A0A5F8H4Q8_MONDO
OG0003585	sp|Q9Z1R3|APOM_MOUSE	tr|A0A5F8HA42|A0A5F8HA42_MONDO
OG0003586	sp|Q8BHH1|AQP11_MOUSE	tr|A0A5F8HD25|A0A5F8HD25_MONDO
OG0003587	sp|Q8BVF4|CCD30_MOUSE	tr|A0A5F8HD59|A0A5F8HD59_MONDO
OG0003588	sp|Q9D8V0|HM13_MOUSE	tr|A0A5F8HH85|A0A5F8HH85_MONDO
OG0003589	sp|Q810P2|OD3L1_MOUSE	tr|F6QA79|F6QA79_MONDO
OG0003590	sp|Q08423|TFF1_MOUSE	tr|F6QZB8|F6QZB8_MONDO
OG0003591	sp|Q61818|RAI1_MOUSE	tr|F6R4X5|F6R4X5_MONDO
OG0003592	sp|Q8BTU1|CFA20_MOUSE	tr|F6R525|F6R525_MONDO
OG0003593	sp|P51450|RORG_MOUSE	tr|F6R6L9|F6R6L9_MONDO
OG0003594	sp|Q5SYL3|K0100_MOUSE	tr|F6RZW1|F6RZW1_MONDO
OG0003595	sp|P20152|VIME_MOUSE	tr|F6SFE6|F6SFE6_MONDO
OG0003596	sp|Q7TMC8|FCSK_MOUSE	tr|F6SRL5|F6SRL5_MONDO
OG0003597	sp|Q9ESQ8|NPVF_MOUSE	tr|F6TB25|F6TB25_MONDO
OG0003598	sp|Q8CH02|SUGP1_MOUSE	tr|F6UEG6|F6UEG6_MONDO
OG0003599	sp|Q9R233|TPSN_MOUSE	tr|F6UN46|F6UN46_MONDO
OG0003600	sp|Q6ZQA0|NBEL2_MOUSE	tr|F6VRA6|F6VRA6_MONDO
OG0003601	sp|Q9DBF7|CWC25_MOUSE	tr|F6WUE3|F6WUE3_MONDO
OG0003602	sp|Q6PDE8|MF13A_MOUSE	tr|F6X036|F6X036_MONDO
OG0003603	sp|O70152|DPM1_MOUSE	tr|F6XRX5|F6XRX5_MONDO
OG0003604	sp|Q91YE3|EGLN1_MOUSE	tr|F6XVI0|F6XVI0_MONDO
OG0003605	sp|O35600|ABCA4_MOUSE	tr|F6Y251|F6Y251_MONDO
OG0003606	sp|Q921I9|EXOS4_MOUSE	tr|F6YTK6|F6YTK6_MONDO
OG0003607	sp|Q64700|RBL2_MOUSE	tr|F6ZM79|F6ZM79_MONDO
OG0003608	sp|O88844|IDHC_MOUSE	tr|F6ZQM3|F6ZQM3_MONDO
OG0003609	sp|Q8K4Z6|GPC6A_MOUSE	tr|F6ZXM6|F6ZXM6_MONDO
OG0003610	tr|A6H6S0|A6H6S0_MOUSE	tr|F7A2R7|F7A2R7_MONDO
OG0003611	sp|Q80TZ9|RERE_MOUSE	tr|F7BJG3|F7BJG3_MONDO
OG0003612	sp|P17225|PTBP1_MOUSE	tr|F7BRN9|F7BRN9_MONDO
OG0003613	sp|Q9CXE7|TMED5_MOUSE	tr|F7C2E4|F7C2E4_MONDO
OG0003614	sp|Q8BGA9|OXA1L_MOUSE	tr|F7CH89|F7CH89_MONDO
OG0003615	sp|Q8C0M8|DNAI1_MOUSE	tr|F7CKQ6|F7CKQ6_MONDO
OG0003616	sp|Q9JKS5|HABP4_MOUSE	tr|F7E764|F7E764_MONDO
OG0003617	sp|Q9JIP7|S15A1_MOUSE	tr|F7EJN7|F7EJN7_MONDO
OG0003618	sp|Q5XK03|SERC4_MOUSE	tr|F7EKT9|F7EKT9_MONDO
OG0003619	sp|Q9CR41|HYPK_MOUSE	tr|F7EKV7|F7EKV7_MONDO
OG0003620	sp|O08644|EPHB6_MOUSE	tr|F7ES42|F7ES42_MONDO
OG0003621	sp|Q9D051|ODPB_MOUSE	tr|F7EZT1|F7EZT1_MONDO
OG0003622	tr|E9PXX8|E9PXX8_MOUSE	tr|F7F5N1|F7F5N1_MONDO
OG0003623	sp|Q9R155|S26A4_MOUSE	tr|F7F6U5|F7F6U5_MONDO
OG0003624	sp|Q62447|CCNC_MOUSE	tr|F7FG42|F7FG42_MONDO
OG0003625	sp|Q8BGP5|TM127_MOUSE	tr|F7FGB9|F7FGB9_MONDO
OG0003626	sp|O08762|NETR_MOUSE	tr|F7FP84|F7FP84_MONDO
OG0003627	tr|E9Q368|E9Q368_MOUSE	tr|F7FTF7|F7FTF7_MONDO
OG0003628	sp|Q8VBT2|SDHL_MOUSE	tr|F7GBQ6|F7GBQ6_MONDO
OG0003629	sp|D3YXS5|KIF28_MOUSE	tr|F7GCY0|F7GCY0_MONDO
OG0003630	tr|F8VQM2|F8VQM2_MOUSE	tr|A0A5F8G3R6|A0A5F8G3R6_MONDO
OG0003631	sp|Q99NH8|TREM2_MOUSE	tr|A0A5F8G768|A0A5F8G768_MONDO
OG0003632	sp|Q7TNV9|DFB14_MOUSE	tr|A0A5F8G7H6|A0A5F8G7H6_MONDO
OG0003633	sp|Q8VD37|SGIP1_MOUSE	tr|A0A5F8G8L4|A0A5F8G8L4_MONDO
OG0003634	sp|A8C756|THADA_MOUSE	tr|A0A5F8G8X8|A0A5F8G8X8_MONDO
OG0003635	sp|Q9Z125|CR3L1_MOUSE	tr|A0A5F8GAC3|A0A5F8GAC3_MONDO
OG0003636	sp|P48772|COX8B_MOUSE	tr|A0A5F8GD58|A0A5F8GD58_MONDO
OG0003637	sp|Q80TC5|POGK_MOUSE	tr|A0A5F8GG80|A0A5F8GG80_MONDO
OG0003638	sp|Q8BSD4|CXD4_MOUSE	tr|A0A5F8GLA2|A0A5F8GLA2_MONDO
OG0003639	sp|Q9D8K8|S2539_MOUSE	tr|A0A5F8GV14|A0A5F8GV14_MONDO
OG0003640	sp|P54923|ADPRH_MOUSE	tr|A0A5F8H0D8|A0A5F8H0D8_MONDO
OG0003641	sp|Q7TQ48|SRCA_MOUSE	tr|A0A5F8H0W2|A0A5F8H0W2_MONDO
OG0003642	sp|Q9DAX9|APBP2_MOUSE	tr|A0A5F8H2I1|A0A5F8H2I1_MONDO
OG0003643	sp|Q80UG1|FADS6_MOUSE	tr|A0A5F8HCJ0|A0A5F8HCJ0_MONDO
OG0003644	sp|Q8CFE2|HPF1_MOUSE	tr|F6Q138|F6Q138_MONDO
OG0003645	sp|Q9WVS0|ICOS_MOUSE	tr|F6QZ18|F6QZ18_MONDO
OG0003646	sp|P56563|LMIP_MOUSE	tr|F6RM38|F6RM38_MONDO
OG0003647	sp|Q9CZU4|ERAL1_MOUSE	tr|F6RYG3|F6RYG3_MONDO
OG0003648	sp|Q9DCE5|PK1IP_MOUSE	tr|F6S934|F6S934_MONDO
OG0003649	tr|Q3UU43|Q3UU43_MOUSE	tr|F6SCG6|F6SCG6_MONDO
OG0003650	sp|Q5U465|CC125_MOUSE	tr|F6SG99|F6SG99_MONDO
OG0003651	sp|O88569|ROA2_MOUSE	tr|F6TBC0|F6TBC0_MONDO
OG0003652	sp|P17809|GTR1_MOUSE	tr|F6TLZ1|F6TLZ1_MONDO
OG0003653	sp|P61168|DRD2_MOUSE	tr|F6TRD1|F6TRD1_MONDO
OG0003654	sp|Q61066|NR0B1_MOUSE	tr|F6UEV4|F6UEV4_MONDO
OG0003655	sp|Q8VEN2|PLET1_MOUSE	tr|F6UHU8|F6UHU8_MONDO
OG0003656	sp|Q8CDT7|CBCO1_MOUSE	tr|F6V307|F6V307_MONDO
OG0003657	sp|Q06831|SOX4_MOUSE	tr|F6WHW4|F6WHW4_MONDO
OG0003658	sp|Q9D258|ACBD7_MOUSE	tr|F6X568|F6X568_MONDO
OG0003660	sp|Q9D554|SF3A3_MOUSE	tr|F6YNL2|F6YNL2_MONDO
OG0003661	sp|Q6W3F0|P4HA3_MOUSE	tr|F6YZ60|F6YZ60_MONDO
OG0003662	sp|Q9CZG3|COMD8_MOUSE	tr|F6ZB31|F6ZB31_MONDO
OG0003663	sp|Q9QUL3|PA2GE_MOUSE	tr|F6ZRV6|F6ZRV6_MONDO
OG0003664	sp|A0A7N9VSG0|SPA5L_MOUSE	tr|F6ZSA6|F6ZSA6_MONDO
OG0003665	sp|Q8BGC3|MOT12_MOUSE	tr|F7ADU8|F7ADU8_MONDO
OG0003666	sp|Q7TSV4|PGM2_MOUSE	tr|F7B0S5|F7B0S5_MONDO
OG0003667	sp|Q8BIY1|GPTC3_MOUSE	tr|F7BH84|F7BH84_MONDO
OG0003668	sp|Q9ER65|CSTN2_MOUSE	tr|F7BPR7|F7BPR7_MONDO
OG0003669	sp|Q9D0G0|RT30_MOUSE	tr|F7C1A5|F7C1A5_MONDO
OG0003670	sp|P42228|STAT4_MOUSE	tr|F7CW94|F7CW94_MONDO
OG0003671	sp|P30275|KCRU_MOUSE	tr|F7DJD6|F7DJD6_MONDO
OG0003672	sp|P61406|EST1A_MOUSE	tr|F7DPA4|F7DPA4_MONDO
OG0003673	sp|Q5XFR0|EPAB2_MOUSE	tr|F7DTF3|F7DTF3_MONDO
OG0003674	sp|Q3UZZ6|ST1D1_MOUSE	tr|F7E232|F7E232_MONDO
OG0003675	sp|P70321|HXB13_MOUSE	tr|F7EIT9|F7EIT9_MONDO
OG0003676	sp|Q8R2K1|FUCM_MOUSE	tr|F7ESI4|F7ESI4_MONDO
OG0003677	sp|Q9CYK2|QPCT_MOUSE	tr|F7F2N3|F7F2N3_MONDO
OG0003678	sp|Q8R1T4|S35A3_MOUSE	tr|F7FA14|F7FA14_MONDO
OG0003679	sp|O55023|IMPA1_MOUSE	tr|F7FDS8|F7FDS8_MONDO
OG0003680	sp|P51174|ACADL_MOUSE	tr|F7FE37|F7FE37_MONDO
OG0003681	sp|Q3U3F9|GP160_MOUSE	tr|F7FZ51|F7FZ51_MONDO
OG0003682	sp|Q9EQD0|FZD5_MOUSE	tr|F7G1W9|F7G1W9_MONDO
OG0003683	tr|Q0VDY1|Q0VDY1_MOUSE	tr|F7G8C3|F7G8C3_MONDO
OG0003684	sp|Q8CIV7|OVOL2_MOUSE	tr|F7GFR3|F7GFR3_MONDO
OG0003685	sp|Q3KQP7|SPO16_MOUSE	tr|F7GLZ9|F7GLZ9_MONDO
OG0003686	sp|Q9QWR8|NAGAB_MOUSE	tr|K7E0I7|K7E0I7_MONDO
OG0003687	sp|Q0VBF8|STUM_MOUSE	tr|K7E2B1|K7E2B1_MONDO
OG0003688	sp|Q9WUL6|M3K14_MOUSE	tr|K7E4E9|K7E4E9_MONDO
OG0003689	sp|P03930|ATP8_MOUSE	tr|Q65CI9|Q65CI9_MONDO
OG0003690	sp|Q14B70|HDX_MOUSE	tr|A0A5F8G3U2|A0A5F8G3U2_MONDO
OG0003691	sp|Q8BFY0|PIRT_MOUSE	tr|A0A5F8G7W0|A0A5F8G7W0_MONDO
OG0003692	sp|P48453|PP2BB_MOUSE	tr|A0A5F8GCP4|A0A5F8GCP4_MONDO
OG0003693	sp|P97865|PEX7_MOUSE	tr|A0A5F8GCU4|A0A5F8GCU4_MONDO
OG0003694	sp|Q9D0K0|TBCD7_MOUSE	tr|A0A5F8GCY0|A0A5F8GCY0_MONDO
OG0003695	sp|Q9ERV1|MKRN2_MOUSE	tr|A0A5F8GDI2|A0A5F8GDI2_MONDO
OG0003696	sp|E9Q9D5|RBL2A_MOUSE	tr|A0A5F8GEL4|A0A5F8GEL4_MONDO
OG0003697	sp|Q8BH24|TM9S4_MOUSE	tr|A0A5F8GHS5|A0A5F8GHS5_MONDO
OG0003698	sp|O09114|PTGDS_MOUSE	tr|A0A5F8GL19|A0A5F8GL19_MONDO
OG0003699	sp|Q61056|TRPC1_MOUSE	tr|A0A5F8GPI0|A0A5F8GPI0_MONDO
OG0003700	sp|Q7TST3|SAM10_MOUSE	tr|A0A5F8GPY9|A0A5F8GPY9_MONDO
OG0003701	sp|Q91Y86|MK08_MOUSE	tr|A0A5F8GRP2|A0A5F8GRP2_MONDO
OG0003702	sp|Q9JJZ6|KLF13_MOUSE	tr|A0A5F8GW20|A0A5F8GW20_MONDO
OG0003703	sp|Q9QYJ3|DNJB1_MOUSE	tr|A0A5F8GXD0|A0A5F8GXD0_MONDO
OG0003704	sp|Q8JZZ7|AGRL2_MOUSE	tr|A0A5F8GYT6|A0A5F8GYT6_MONDO
OG0003705	sp|O88735|MAP7_MOUSE	tr|A0A5F8H4Z3|A0A5F8H4Z3_MONDO
OG0003706	sp|Q6NXK7|DPP10_MOUSE	tr|A0A5F8HCR1|A0A5F8HCR1_MONDO
OG0003707	sp|Q9WTJ2|OVOL1_MOUSE	tr|A0A5F8HDX3|A0A5F8HDX3_MONDO
OG0003708	sp|Q6YND2|ZN653_MOUSE	tr|A0A5F8HGH5|A0A5F8HGH5_MONDO
OG0003709	sp|Q9JHG2|RCAN2_MOUSE	tr|A0A5F8HJH5|A0A5F8HJH5_MONDO
OG0003710	sp|P62932|FBX40_MOUSE	tr|F6PWT5|F6PWT5_MONDO
OG0003711	sp|Q1HFZ0|NSUN2_MOUSE	tr|F6QCU8|F6QCU8_MONDO
OG0003712	sp|Q3TIT8|SPX3_MOUSE	tr|F6QNY2|F6QNY2_MONDO
OG0003713	sp|P58022|LOXL2_MOUSE	tr|F6S089|F6S089_MONDO
OG0003714	sp|Q9ERK0|RIPK4_MOUSE	tr|F6SNV5|F6SNV5_MONDO
OG0003715	sp|O55022|PGRC1_MOUSE	tr|F6SUN5|F6SUN5_MONDO
OG0003716	sp|P15089|CBPA3_MOUSE	tr|F6TIS2|F6TIS2_MONDO
OG0003717	sp|Q9R099|TBL2_MOUSE	tr|F6TVQ1|F6TVQ1_MONDO
OG0003718	sp|Q9CXX0|HYLS1_MOUSE	tr|F6UBS0|F6UBS0_MONDO
OG0003719	sp|Q9D7X1|KCTD4_MOUSE	tr|F6VCP9|F6VCP9_MONDO
OG0003720	sp|Q9DBX3|SUSD2_MOUSE	tr|F6WA41|F6WA41_MONDO
OG0003721	sp|Q8C7V3|UTP15_MOUSE	tr|F6WIR4|F6WIR4_MONDO
OG0003722	sp|Q3UVL4|VPS51_MOUSE	tr|F6WNP3|F6WNP3_MONDO
OG0003723	sp|Q8BH02|TOR4A_MOUSE	tr|F6WXT3|F6WXT3_MONDO
OG0003724	sp|Q8C522|ENDD1_MOUSE	tr|F6XA88|F6XA88_MONDO
OG0003725	sp|Q9QYL7|ABT1_MOUSE	tr|F6ZGV6|F6ZGV6_MONDO
OG0003726	sp|Q8BKU8|TM87B_MOUSE	tr|F6ZJJ7|F6ZJJ7_MONDO
OG0003727	sp|Q8C5L7|RBM34_MOUSE	tr|F7AKF5|F7AKF5_MONDO
OG0003728	tr|E9Q8M3|E9Q8M3_MOUSE	tr|F7AW83|F7AW83_MONDO
OG0003729	sp|Q8C6V3|TM212_MOUSE	tr|F7B530|F7B530_MONDO
OG0003730	sp|Q9WUH7|SEM4G_MOUSE	tr|F7B995|F7B995_MONDO
OG0003731	sp|Q9EP64|TNMD_MOUSE	tr|F7BQF2|F7BQF2_MONDO
OG0003732	sp|P61294|RAB6B_MOUSE	tr|F7BRL6|F7BRL6_MONDO
OG0003733	sp|Q61826|MADCA_MOUSE	tr|F7BUG9|F7BUG9_MONDO
OG0003734	sp|A2AGB2|CA087_MOUSE	tr|F7BVM2|F7BVM2_MONDO
OG0003735	sp|O88803|LECT2_MOUSE	tr|F7BWL0|F7BWL0_MONDO
OG0003736	sp|O88676|MMP23_MOUSE	tr|F7CDE4|F7CDE4_MONDO
OG0003737	sp|Q05910|ADAM8_MOUSE	tr|F7CYW1|F7CYW1_MONDO
OG0003738	sp|Q3V3N7|BBS1_MOUSE	tr|F7E4F6|F7E4F6_MONDO
OG0003739	sp|P27773|PDIA3_MOUSE	tr|F7E4L7|F7E4L7_MONDO
OG0003740	sp|Q8BRH0|TMTC3_MOUSE	tr|F7EP59|F7EP59_MONDO
OG0003741	sp|P0DW86|TM276_MOUSE	tr|F7EPE3|F7EPE3_MONDO
OG0003742	sp|Q9R226|KHDR3_MOUSE	tr|F7ESF8|F7ESF8_MONDO
OG0003743	sp|O88623|UBP2_MOUSE	tr|F7EVY9|F7EVY9_MONDO
OG0003744	sp|P33534|OPRK_MOUSE	tr|F7F9H9|F7F9H9_MONDO
OG0003745	sp|Q9EQ80|NIF3L_MOUSE	tr|F7FUK4|F7FUK4_MONDO
OG0003746	sp|Q8K3W3|CASC3_MOUSE	tr|F7G173|F7G173_MONDO
OG0003747	sp|Q61412|VSX2_MOUSE	tr|F7GCQ9|F7GCQ9_MONDO
OG0003748	sp|Q7TST5|LAMP3_MOUSE	tr|F7GE18|F7GE18_MONDO
OG0003749	sp|Q3UY51|LRC55_MOUSE	tr|F7GI56|F7GI56_MONDO
OG0003750	sp|Q8QZV0|DEDD2_MOUSE	tr|H9H6L1|H9H6L1_MONDO
OG0003751	sp|Q920C4|MS4A3_MOUSE	tr|K7E0X3|K7E0X3_MONDO
OG0003752	sp|Q924D0|RT4I1_MOUSE	tr|K7E2Y8|K7E2Y8_MONDO
OG0003753	sp|Q8BGS1|E41L5_MOUSE	tr|K7E3J9|K7E3J9_MONDO
OG0003754	sp|P04919|B3AT_MOUSE	tr|A0A5F8G2Q0|A0A5F8G2Q0_MONDO
OG0003755	sp|Q91YT8|CSCL1_MOUSE	tr|A0A5F8G2S3|A0A5F8G2S3_MONDO
OG0003756	sp|P26187|MGMT_MOUSE	tr|A0A5F8G7G1|A0A5F8G7G1_MONDO
OG0003757	sp|Q9QYB5|ADDG_MOUSE	tr|A0A5F8G8H5|A0A5F8G8H5_MONDO
OG0003758	sp|Q8BUJ9|LRP12_MOUSE	tr|A0A5F8G8W0|A0A5F8G8W0_MONDO
OG0003759	sp|P61979|HNRPK_MOUSE	tr|A0A5F8GCK3|A0A5F8GCK3_MONDO
OG0003761	sp|P14106|C1QB_MOUSE	tr|A0A5F8GMN8|A0A5F8GMN8_MONDO
OG0003762	sp|Q8VDB2|ALG12_MOUSE	tr|A0A5F8GNP0|A0A5F8GNP0_MONDO
OG0003763	sp|Q8CJI4|H1FNT_MOUSE	tr|A0A5F8GWT5|A0A5F8GWT5_MONDO
OG0003764	sp|Q99MQ3|PINK1_MOUSE	tr|A0A5F8H149|A0A5F8H149_MONDO
OG0003765	sp|Q60668|HNRPD_MOUSE	tr|A0A5F8H1B6|A0A5F8H1B6_MONDO
OG0003767	sp|Q059U7|INTU_MOUSE	tr|A0A5F8H3N6|A0A5F8H3N6_MONDO
OG0003768	sp|Q80XG9|LRRT4_MOUSE	tr|A0A5F8H6H0|A0A5F8H6H0_MONDO
OG0003769	sp|Q9D552|SPT17_MOUSE	tr|A0A5F8HCY6|A0A5F8HCY6_MONDO
OG0003770	sp|O35623|BET1_MOUSE	tr|A0A5F8HEH6|A0A5F8HEH6_MONDO
OG0003771	sp|Q8BH57|WDR48_MOUSE	tr|A0A5F8HFM9|A0A5F8HFM9_MONDO
OG0003772	sp|Q8BGS7|CEPT1_MOUSE	tr|A0A5F8HIQ3|A0A5F8HIQ3_MONDO
OG0003773	sp|Q9QZ57|HSPB3_MOUSE	tr|A0A5F8HJL6|A0A5F8HJL6_MONDO
OG0003774	sp|Q9CR02|TMA16_MOUSE	tr|A0A5F8HKG4|A0A5F8HKG4_MONDO
OG0003775	sp|Q9JMB1|THEG_MOUSE	tr|F6PJB2|F6PJB2_MONDO
OG0003776	sp|Q8BJ64|CHDH_MOUSE	tr|F6PZX9|F6PZX9_MONDO
OG0003777	tr|Q9JIZ5|Q9JIZ5_MOUSE	tr|F6Q6Q3|F6Q6Q3_MONDO
OG0003778	sp|Q8K4K3|TRIB2_MOUSE	tr|F6R3X2|F6R3X2_MONDO
OG0003779	tr|G3X972|G3X972_MOUSE	tr|F6RUF2|F6RUF2_MONDO
OG0003780	sp|Q61387|COX7R_MOUSE	tr|F6RV04|F6RV04_MONDO
OG0003781	sp|Q9ESD1|PRSS8_MOUSE	tr|F6S6A4|F6S6A4_MONDO
OG0003782	sp|P48776|T23O_MOUSE	tr|F6S7Q9|F6S7Q9_MONDO
OG0003783	sp|Q64127|TIF1A_MOUSE	tr|F6SEC3|F6SEC3_MONDO
OG0003784	sp|Q9QY15|DDX25_MOUSE	tr|F6TEM9|F6TEM9_MONDO
OG0003785	sp|Q91VE0|S27A4_MOUSE	tr|F6VZG6|F6VZG6_MONDO
OG0003786	sp|O35683|NDUA1_MOUSE	tr|F6W6M1|F6W6M1_MONDO
OG0003787	sp|O55047|TLK2_MOUSE	tr|F6W6Q0|F6W6Q0_MONDO
OG0003788	sp|Q8K2R5|ZN668_MOUSE	tr|F6WI83|F6WI83_MONDO
OG0003789	sp|Q64378|FKBP5_MOUSE	tr|F6WS11|F6WS11_MONDO
OG0003790	sp|Q9WUL5|PD1L2_MOUSE	tr|F6WY92|F6WY92_MONDO
OG0003791	sp|Q05306|COAA1_MOUSE	tr|F6Z7V6|F6Z7V6_MONDO
OG0003792	tr|F8VQK3|F8VQK3_MOUSE	tr|F6ZD47|F6ZD47_MONDO
OG0003793	tr|Q91XL1|Q91XL1_MOUSE	tr|F6ZFE5|F6ZFE5_MONDO
OG0003794	sp|O88576|S6A18_MOUSE	tr|F6ZGL9|F6ZGL9_MONDO
OG0003795	sp|Q8BHZ0|CYRIA_MOUSE	tr|F6ZPT8|F6ZPT8_MONDO
OG0003796	sp|Q11127|FUT4_MOUSE	tr|F6ZTC1|F6ZTC1_MONDO
OG0003797	sp|O35902|DSG3_MOUSE	tr|F7A1N0|F7A1N0_MONDO
OG0003798	sp|P81615|UCN1_MOUSE	tr|F7AVH6|F7AVH6_MONDO
OG0003799	sp|O88822|SC5D_MOUSE	tr|F7BNL4|F7BNL4_MONDO
OG0003800	sp|Q3U1F9|PHAG1_MOUSE	tr|F7BUW1|F7BUW1_MONDO
OG0003801	sp|Q9Z0L4|BMP15_MOUSE	tr|F7BWV1|F7BWV1_MONDO
OG0003802	sp|Q8CGK3|LONM_MOUSE	tr|F7BZI4|F7BZI4_MONDO
OG0003803	sp|O08796|EF2K_MOUSE	tr|F7C485|F7C485_MONDO
OG0003804	sp|Q99JX3|GORS2_MOUSE	tr|F7DHB7|F7DHB7_MONDO
OG0003805	sp|Q8CHD8|RFIP3_MOUSE	tr|F7E6J7|F7E6J7_MONDO
OG0003806	sp|Q3V1G4|OLM2B_MOUSE	tr|F7EA60|F7EA60_MONDO
OG0003807	sp|Q8C525|M21D2_MOUSE	tr|F7ELX9|F7ELX9_MONDO
OG0003808	sp|Q9D8P7|TF3C6_MOUSE	tr|F7F2A8|F7F2A8_MONDO
OG0003809	sp|Q8BKZ9|ODPX_MOUSE	tr|F7F2T0|F7F2T0_MONDO
OG0003810	sp|Q91VJ2|CAVN3_MOUSE	tr|F7FD45|F7FD45_MONDO
OG0003811	sp|Q9CWH6|PSMA8_MOUSE	tr|F7FSH0|F7FSH0_MONDO
OG0003812	sp|A2AJK6|CHD7_MOUSE	tr|F7G444|F7G444_MONDO
OG0003813	sp|Q9WUA6|AKT3_MOUSE	tr|F7GEK1|F7GEK1_MONDO
OG0003814	sp|Q9D1H0|RITA1_MOUSE	tr|F7GKN3|F7GKN3_MONDO
OG0003815	sp|Q9D706|RPAP3_MOUSE	tr|H9H6B7|H9H6B7_MONDO
