Orthogroup	Mus_musculus	Chinchilla_lanigera
OG0000522	sp|Q3UNW5|TF2L1_MOUSE	tr|A0A8C2YK68|A0A8C2YK68_CHILA
OG0000522	sp|Q811S7|UBIP1_MOUSE	tr|A0A8C2V662|A0A8C2V662_CHILA
OG0000522	sp|Q9ERA0|TFCP2_MOUSE	tr|A0A8C2UHQ0|A0A8C2UHQ0_CHILA
OG0000523	tr|E9Q438|E9Q438_MOUSE, tr|E9PXH6|E9PXH6_MOUSE, tr|Q7TRL9|Q7TRL9_MOUSE, tr|E9Q9Z0|E9Q9Z0_MOUSE, tr|E9Q840|E9Q840_MOUSE	tr|A0A8C2WDP5|A0A8C2WDP5_CHILA
OG0000524	tr|F8VQ29|F8VQ29_MOUSE	tr|A0A8C2YLA3|A0A8C2YLA3_CHILA
OG0000524	sp|Q9JKF1|IQGA1_MOUSE	tr|A0A8C2VXR3|A0A8C2VXR3_CHILA
OG0000524	sp|Q3UQ44|IQGA2_MOUSE	tr|A0A8C2VJQ6|A0A8C2VJQ6_CHILA
OG0000525	sp|Q8C4X2|KC1G3_MOUSE	tr|A0A8C2YIT9|A0A8C2YIT9_CHILA
OG0000525	sp|Q8BTH8|KC1G1_MOUSE	tr|A0A8C2VA78|A0A8C2VA78_CHILA
OG0000525	sp|Q8BVP5|KC1G2_MOUSE	tr|A0A8C2VT15|A0A8C2VT15_CHILA
OG0000526	sp|P62141|PP1B_MOUSE	tr|A0A8C2W780|A0A8C2W780_CHILA
OG0000526	sp|P63087|PP1G_MOUSE	tr|A0A8C2W6B6|A0A8C2W6B6_CHILA
OG0000526	sp|P62137|PP1A_MOUSE	tr|A0A8C2VVQ0|A0A8C2VVQ0_CHILA
OG0000527	tr|E9PV96|E9PV96_MOUSE, tr|K7N6B2|K7N6B2_MOUSE	tr|A0A8C2YV92|A0A8C2YV92_CHILA
OG0000527	tr|E9PYY2|E9PYY2_MOUSE, tr|E9Q7C5|E9Q7C5_MOUSE	tr|A0A8C2YVA9|A0A8C2YVA9_CHILA
OG0000528	tr|A0A668KM38|A0A668KM38_MOUSE, tr|A0A668KL92|A0A668KL92_MOUSE, tr|A0A668KLA7|A0A668KLA7_MOUSE, tr|A0A668KLA6|A0A668KLA6_MOUSE, tr|A0A668KLD8|A0A668KLD8_MOUSE	tr|A0A8C2VKN5|A0A8C2VKN5_CHILA
OG0000529	sp|Q9CPN8|IF2B3_MOUSE	tr|A0A8C2VJL2|A0A8C2VJL2_CHILA
OG0000529	sp|Q5SF07|IF2B2_MOUSE	tr|A0A8C2W1H9|A0A8C2W1H9_CHILA
OG0000529	sp|O88477|IF2B1_MOUSE	tr|A0A8C2VZV5|A0A8C2VZV5_CHILA
OG0000530	sp|P58390|KCNN2_MOUSE	tr|A0A8C2YU91|A0A8C2YU91_CHILA
OG0000530	sp|P58391|KCNN3_MOUSE	tr|A0A8C2UUU2|A0A8C2UUU2_CHILA
OG0000530	sp|Q9EQR3|KCNN1_MOUSE	tr|A0A8C2V3L6|A0A8C2V3L6_CHILA
OG0000531	sp|P28656|NP1L1_MOUSE	tr|A0A8C2UZA9|A0A8C2UZA9_CHILA
OG0000531	sp|Q794H2|NP1L3_MOUSE, sp|P51860|NP1L2_MOUSE, sp|Q9JJF0|NP1L5_MOUSE	tr|A0A8C2YPA5|A0A8C2YPA5_CHILA
OG0000532	sp|Q8JZR0|ACSL5_MOUSE	tr|A0A8C2UYH9|A0A8C2UYH9_CHILA
OG0000532	sp|P41216|ACSL1_MOUSE	tr|A0A8C2VPR9|A0A8C2VPR9_CHILA
OG0000532	sp|Q91WC3|ACSL6_MOUSE	tr|A0A8C2VYK0|A0A8C2VYK0_CHILA
OG0000533	sp|P60764|RAC3_MOUSE	tr|A0A8C2VGE0|A0A8C2VGE0_CHILA
OG0000533	sp|Q05144|RAC2_MOUSE	tr|A0A8C2VES4|A0A8C2VES4_CHILA, tr|A0A8C2VI56|A0A8C2VI56_CHILA, tr|A0A8C2W3M2|A0A8C2W3M2_CHILA
OG0000534	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A8C2UH29|A0A8C2UH29_CHILA
OG0000534	tr|A2RTN7|A2RTN7_MOUSE	tr|A0A8C2YI00|A0A8C2YI00_CHILA, tr|A0A8C2WA52|A0A8C2WA52_CHILA, tr|A0A8C2WCA5|A0A8C2WCA5_CHILA
OG0000535	sp|O88575|S620B_MOUSE, tr|A0A1L1SR47|A0A1L1SR47_MOUSE, tr|A0A1B0GSD2|A0A1B0GSD2_MOUSE, sp|Q8VDB9|S620A_MOUSE	tr|A0A8C2W3Z1|A0A8C2W3Z1_CHILA, tr|A0A8C2VXL1|A0A8C2VXL1_CHILA
OG0000536	sp|Q6SJQ7|CLM1_MOUSE, sp|Q8VCH2|CLM5_MOUSE, tr|A2A7W0|A2A7W0_MOUSE, tr|A2A7W1|A2A7W1_MOUSE, sp|Q6SJQ5|CLM3_MOUSE	tr|A0A8C2UTG6|A0A8C2UTG6_CHILA
OG0000537	sp|Q5UKY4|MO2R3_MOUSE, sp|Q6XJV6|MO2R2_MOUSE, sp|Q6XJV4|MO2R4_MOUSE, sp|Q8BTP3|MO2R5_MOUSE, sp|Q9ES57|MO2R1_MOUSE	tr|A0A8C2VBY0|A0A8C2VBY0_CHILA
OG0000558	sp|P35979|RL12_MOUSE	sp|Q6QMZ7|RL12_CHILA, tr|A0A8C2W6Q5|A0A8C2W6Q5_CHILA, tr|A0A8C2VPR7|A0A8C2VPR7_CHILA, tr|A0A8C2V0E8|A0A8C2V0E8_CHILA
OG0000559	sp|P98200|AT8A2_MOUSE	tr|A0A8C2VBM2|A0A8C2VBM2_CHILA
OG0000559	sp|P70704|AT8A1_MOUSE	tr|A0A8C2UST3|A0A8C2UST3_CHILA, tr|A0A8C2UN61|A0A8C2UN61_CHILA
OG0000560	sp|O70558|SPR2G_MOUSE	tr|A0A8C2YK32|A0A8C2YK32_CHILA, tr|A0A8C2YV29|A0A8C2YV29_CHILA, tr|A0A8C2UR16|A0A8C2UR16_CHILA, tr|A0A8C2URI1|A0A8C2URI1_CHILA
OG0000561	sp|Q8BVL9|JKIP1_MOUSE	tr|A0A8C2VFZ3|A0A8C2VFZ3_CHILA
OG0000561	tr|D3YXK0|D3YXK0_MOUSE, sp|Q5DTN8|JKIP3_MOUSE	tr|A0A8C2URU1|A0A8C2URU1_CHILA
OG0000562	sp|Q9D8Y0|EFHD2_MOUSE	tr|A0A8C2VVL8|A0A8C2VVL8_CHILA
OG0000562	sp|Q9D4J1|EFHD1_MOUSE	tr|A0A8C2VXV3|A0A8C2VXV3_CHILA, tr|A0A8C2VE37|A0A8C2VE37_CHILA
OG0000563	sp|P14869|RLA0_MOUSE	tr|A0A8C2USH8|A0A8C2USH8_CHILA, tr|A0A8C2UIT4|A0A8C2UIT4_CHILA, tr|A0A8C2UW05|A0A8C2UW05_CHILA, tr|A0A8C2VW60|A0A8C2VW60_CHILA
OG0000564	sp|Q9DBP5|KCY_MOUSE	tr|A0A8C2UH79|A0A8C2UH79_CHILA, tr|A0A8C2V1U9|A0A8C2V1U9_CHILA, tr|A0A8C2W7M3|A0A8C2W7M3_CHILA, tr|A0A8C2V828|A0A8C2V828_CHILA
OG0000565	sp|O35345|IMA7_MOUSE	tr|A0A8C2W4N3|A0A8C2W4N3_CHILA
OG0000565	sp|Q60960|IMA5_MOUSE	tr|A0A8C2VF34|A0A8C2VF34_CHILA, tr|A0A8C2VIN7|A0A8C2VIN7_CHILA
OG0000566	sp|Q9QWG7|ST1B1_MOUSE	tr|A0A8C2UYE7|A0A8C2UYE7_CHILA
OG0000566	sp|P49891|ST1E1_MOUSE, sp|Q3UZZ6|ST1D1_MOUSE	tr|A0A8C2YK88|A0A8C2YK88_CHILA
OG0000567	sp|Q6ZWZ2|UB2R2_MOUSE	tr|A0A8C2UV08|A0A8C2UV08_CHILA
OG0000567	sp|Q8CFI2|UB2R1_MOUSE, tr|A0A140T8I4|A0A140T8I4_MOUSE	tr|A0A8C2VBB7|A0A8C2VBB7_CHILA
OG0000568	sp|P51410|RL9_MOUSE	tr|A0A8C2UQL2|A0A8C2UQL2_CHILA, tr|A0A8C2UJC2|A0A8C2UJC2_CHILA, tr|A0A8C2VJC2|A0A8C2VJC2_CHILA, tr|A0A8C2W0G9|A0A8C2W0G9_CHILA
OG0000569	sp|P61089|UBE2N_MOUSE	tr|A0A8C2UYP5|A0A8C2UYP5_CHILA, tr|A0A8C2UFE6|A0A8C2UFE6_CHILA, tr|A0A8C2UMH6|A0A8C2UMH6_CHILA, tr|A0A8C2YIB0|A0A8C2YIB0_CHILA
OG0000570	sp|C8YR32|LOXH1_MOUSE	tr|A0A8C2VPT0|A0A8C2VPT0_CHILA
OG0000570	sp|Q8CGM2|RP1L1_MOUSE, sp|P56716|RP1_MOUSE	tr|A0A8C2VK20|A0A8C2VK20_CHILA
OG0000571	sp|Q9CQK7|RWDD1_MOUSE	tr|A0A8C2W5V1|A0A8C2W5V1_CHILA, tr|A0A8C2V3L4|A0A8C2V3L4_CHILA, tr|A0A8C2UL00|A0A8C2UL00_CHILA, tr|A0A8C2UHW9|A0A8C2UHW9_CHILA
OG0000572	sp|P08905|LYZ2_MOUSE, sp|P17897|LYZ1_MOUSE	tr|A0A8C2YT99|A0A8C2YT99_CHILA, tr|A0A8C2VHT8|A0A8C2VHT8_CHILA, tr|A0A8C2VIW1|A0A8C2VIW1_CHILA
OG0000573	sp|Q9D2M8|UB2V2_MOUSE	tr|A0A8C2V045|A0A8C2V045_CHILA
OG0000573	sp|Q9CZY3|UB2V1_MOUSE	tr|A0A8C2YQG3|A0A8C2YQG3_CHILA, tr|A0A8C2V3G4|A0A8C2V3G4_CHILA
OG0000574	sp|Q3UX61|NAA11_MOUSE	tr|A0A8C2UX33|A0A8C2UX33_CHILA
OG0000574	tr|Q9CQX6|Q9CQX6_MOUSE, sp|Q9QY36|NAA10_MOUSE	tr|A0A8C2UNA8|A0A8C2UNA8_CHILA
OG0000575	sp|P51682|CCR5_MOUSE, sp|Q9R0M1|XCR1_MOUSE, sp|P51683|CCR2_MOUSE	tr|A0A8C2W0F6|A0A8C2W0F6_CHILA, tr|A0A8C2VV47|A0A8C2VV47_CHILA
OG0000576	sp|Q3UPY5|GLBL2_MOUSE	tr|A0A8C2W6S3|A0A8C2W6S3_CHILA
OG0000576	sp|A2RSQ1|GLBL3_MOUSE, tr|F6Y113|F6Y113_MOUSE	tr|A0A8C2YTG8|A0A8C2YTG8_CHILA
OG0000577	tr|Q9Z0I6|Q9Z0I6_MOUSE, tr|Q9Z0I7|Q9Z0I7_MOUSE, tr|A0A1L1STQ7|A0A1L1STQ7_MOUSE, tr|Q3UV66|Q3UV66_MOUSE	tr|A0A8C2W512|A0A8C2W512_CHILA
OG0000578	tr|Q6QX36|Q6QX36_MOUSE, tr|Q8BNV8|Q8BNV8_MOUSE, sp|Q9JKE2|TREM1_MOUSE, tr|A9Q7H1|A9Q7H1_MOUSE	tr|A0A8C2VKG7|A0A8C2VKG7_CHILA
OG0000579	sp|Q8R5H1|UBP15_MOUSE	tr|A0A8C2W570|A0A8C2W570_CHILA
OG0000579	sp|Q6K1E7|GGNB1_MOUSE, sp|P35123|UBP4_MOUSE	tr|A0A8C2YMQ4|A0A8C2YMQ4_CHILA
OG0000580	tr|Q7TRW1|Q7TRW1_MOUSE	tr|A0A8C2YV87|A0A8C2YV87_CHILA
OG0000580	tr|Q8VFC3|Q8VFC3_MOUSE, tr|E9Q5F1|E9Q5F1_MOUSE	tr|A0A8C2WB10|A0A8C2WB10_CHILA
OG0000581	sp|Q99N07|M4A6D_MOUSE, sp|Q99N08|M4A6C_MOUSE, sp|Q99N09|M4A6B_MOUSE, sp|Q920C4|MS4A3_MOUSE	tr|A0A8C2UWC1|A0A8C2UWC1_CHILA
OG0000582	sp|P61982|1433G_MOUSE	tr|A0A8C2V9E3|A0A8C2V9E3_CHILA
OG0000582	sp|P68510|1433F_MOUSE	tr|A0A8C2W5Y2|A0A8C2W5Y2_CHILA, tr|A0A8C2VTM1|A0A8C2VTM1_CHILA
OG0000583	sp|P04345|CRGA_MOUSE	tr|A0A8C2VXF0|A0A8C2VXF0_CHILA
OG0000583	sp|P04344|CRGB_MOUSE	tr|A0A8C2VHT0|A0A8C2VHT0_CHILA, tr|A0A8C2VMV1|A0A8C2VMV1_CHILA
OG0000584	sp|Q922G0|S2536_MOUSE	tr|A0A8C2YQ97|A0A8C2YQ97_CHILA, tr|A0A8C2V375|A0A8C2V375_CHILA, tr|A0A8C2UM15|A0A8C2UM15_CHILA, tr|A0A8C2YKR6|A0A8C2YKR6_CHILA
OG0000585	sp|O70250|PGAM2_MOUSE	tr|A0A8C2UY23|A0A8C2UY23_CHILA
OG0000585	sp|Q9DBJ1|PGAM1_MOUSE	tr|A0A8C2UY47|A0A8C2UY47_CHILA, tr|A0A8C2UQP1|A0A8C2UQP1_CHILA
OG0000586	sp|Q69ZB3|TSYL5_MOUSE, sp|O88852|TSYL1_MOUSE, tr|Q3UYP3|Q3UYP3_MOUSE, sp|Q8VD63|TSYL4_MOUSE	tr|A0A8C2V730|A0A8C2V730_CHILA
OG0000587	sp|Q2VLH6|C163A_MOUSE, sp|Q60997|DMBT1_MOUSE, tr|A0A1B0GSB0|A0A1B0GSB0_MOUSE, tr|B3F5L4|B3F5L4_MOUSE	tr|A0A8C2YU57|A0A8C2YU57_CHILA
OG0000588	sp|Q9EPW9|TLR6_MOUSE	tr|A0A8C2W6E8|A0A8C2W6E8_CHILA
OG0000588	sp|Q9EPQ1|TLR1_MOUSE	tr|A0A8C2UYH2|A0A8C2UYH2_CHILA, tr|A0A8C2W6B2|A0A8C2W6B2_CHILA
OG0000589	sp|Q5SWP3|NACAD_MOUSE	tr|A0A8C2V498|A0A8C2V498_CHILA
OG0000589	sp|P70670|NACAM_MOUSE	tr|A0A8C2VRJ3|A0A8C2VRJ3_CHILA, sp|Q6QN10|NACA_CHILA
OG0000590	sp|V9GXG1|SLN14_MOUSE, sp|Q8CBA2|SLFN5_MOUSE, sp|B1ARD8|SLFN8_MOUSE, sp|B1ARD6|SLFN9_MOUSE	tr|A0A8C2V275|A0A8C2V275_CHILA
OG0000591	tr|Q8VGP6|Q8VGP6_MOUSE	tr|A0A8C2YV17|A0A8C2YV17_CHILA
OG0000591	sp|P34984|OLF13_MOUSE	tr|A0A8C2UL60|A0A8C2UL60_CHILA, tr|A0A8C2YV19|A0A8C2YV19_CHILA
OG0000592	sp|Q9D385|AR2BP_MOUSE	tr|A0A8C2VA73|A0A8C2VA73_CHILA, tr|A0A8C2UXI7|A0A8C2UXI7_CHILA, tr|A0A8C2VNX5|A0A8C2VNX5_CHILA, tr|A0A8C2UXJ8|A0A8C2UXJ8_CHILA
OG0000593	sp|O35709|ENC1_MOUSE	tr|A0A8C2VLD6|A0A8C2VLD6_CHILA
OG0000593	sp|Q8CDE2|CALI_MOUSE, sp|Q8R2P1|KLH25_MOUSE	tr|A0A8C2YRG7|A0A8C2YRG7_CHILA
OG0000594	sp|P09242|PPBT_MOUSE	tr|A0A8C2V6H3|A0A8C2V6H3_CHILA, tr|A0A8C2V4T1|A0A8C2V4T1_CHILA, tr|A0A8C2VZE0|A0A8C2VZE0_CHILA, tr|A0A8C2VAR6|A0A8C2VAR6_CHILA
OG0000595	tr|Q9DB24|Q9DB24_MOUSE, sp|Q8R0A5|TCAL3_MOUSE, sp|Q8CCT4|TCAL5_MOUSE	tr|A0A8C2UUL0|A0A8C2UUL0_CHILA, tr|A0A8C2UIH6|A0A8C2UIH6_CHILA
OG0000596	sp|Q60954|MEIS1_MOUSE	tr|A0A8C2VLM2|A0A8C2VLM2_CHILA
OG0000596	sp|P97367|MEIS2_MOUSE	tr|A0A8C2VWZ0|A0A8C2VWZ0_CHILA, tr|A0A8C2VCL3|A0A8C2VCL3_CHILA
OG0000597	sp|Q06986|SIAH2_MOUSE	tr|A0A8C2UWD9|A0A8C2UWD9_CHILA
OG0000597	sp|Q06985|SIA1B_MOUSE, sp|P61092|SIA1A_MOUSE	tr|A0A8C2V959|A0A8C2V959_CHILA
OG0000598	sp|Q8BGM5|BEST2_MOUSE	tr|A0A8C2VRR4|A0A8C2VRR4_CHILA
OG0000598	sp|O88870|BEST1_MOUSE	tr|A0A8C2VCA8|A0A8C2VCA8_CHILA, tr|A0A8C2V7T8|A0A8C2V7T8_CHILA
OG0000599	sp|Q8CI43|MYL6B_MOUSE	tr|A0A8C2VZJ0|A0A8C2VZJ0_CHILA
OG0000599	sp|Q60605|MYL6_MOUSE	tr|A0A8C2VZ38|A0A8C2VZ38_CHILA, tr|A0A8C2VA90|A0A8C2VA90_CHILA
OG0000600	sp|A2A432|CUL4B_MOUSE	tr|A0A8C2UJ91|A0A8C2UJ91_CHILA
OG0000600	sp|Q3TCH7|CUL4A_MOUSE	tr|A0A8C2YNQ1|A0A8C2YNQ1_CHILA, tr|A0A8C2USJ7|A0A8C2USJ7_CHILA
OG0000601	sp|Q6ZWY3|RS27L_MOUSE	tr|A0A8C2VHM0|A0A8C2VHM0_CHILA
OG0000601	sp|Q6ZWU9|RS27_MOUSE	tr|A0A8C2W590|A0A8C2W590_CHILA, tr|A0A8C2V4Z0|A0A8C2V4Z0_CHILA
OG0000602	tr|Q6WIZ7|Q6WIZ7_MOUSE, tr|Q6IMK7|Q6IMK7_MOUSE, tr|E9Q745|E9Q745_MOUSE, sp|Q8JZQ5|AOC1_MOUSE	tr|A0A8C2YIV8|A0A8C2YIV8_CHILA
OG0000603	sp|P97376|FRG1_MOUSE	tr|A0A8C2V6Y8|A0A8C2V6Y8_CHILA, tr|A0A8C2UL08|A0A8C2UL08_CHILA, tr|A0A8C2YPC1|A0A8C2YPC1_CHILA, tr|A0A8C2UY18|A0A8C2UY18_CHILA
OG0000604	tr|Q8BGU0|Q8BGU0_MOUSE	tr|A0A8C2VN74|A0A8C2VN74_CHILA, tr|A0A8C2VEI3|A0A8C2VEI3_CHILA, tr|A0A8C2VEF8|A0A8C2VEF8_CHILA, tr|A0A8C2VLC3|A0A8C2VLC3_CHILA
OG0000605	sp|P53810|PIPNA_MOUSE	tr|A0A8C2V3M6|A0A8C2V3M6_CHILA
OG0000605	sp|P53811|PIPNB_MOUSE	tr|A0A8C2VX32|A0A8C2VX32_CHILA, tr|A0A8C2VEP5|A0A8C2VEP5_CHILA
OG0000606	sp|Q9QYP6|AZI2_MOUSE	tr|A0A8C2VNT4|A0A8C2VNT4_CHILA, tr|A0A8C2UZG1|A0A8C2UZG1_CHILA, tr|A0A8C2W3B0|A0A8C2W3B0_CHILA, tr|A0A8C2UV72|A0A8C2UV72_CHILA
OG0000607	tr|Q7TRY5|Q7TRY5_MOUSE, tr|Q8VFP3|Q8VFP3_MOUSE, tr|Q8VF16|Q8VF16_MOUSE	tr|A0A8C2VZ18|A0A8C2VZ18_CHILA, tr|A0A8C2W5X1|A0A8C2W5X1_CHILA
OG0000608	tr|Q8VG01|Q8VG01_MOUSE	tr|A0A8C2WEZ5|A0A8C2WEZ5_CHILA
OG0000608	tr|Q7TRR2|Q7TRR2_MOUSE, tr|L7N224|L7N224_MOUSE	tr|A0A8C2VZ91|A0A8C2VZ91_CHILA
OG0000609	sp|Q8BSM7|LAT3_MOUSE	tr|A0A8C2UXB3|A0A8C2UXB3_CHILA
OG0000609	sp|A2AVZ9|S43A3_MOUSE, sp|Q8CGA3|LAT4_MOUSE	tr|A0A8C2VD63|A0A8C2VD63_CHILA
OG0000610	sp|Q9Z1M4|KS6B2_MOUSE	tr|A0A8C2YUC3|A0A8C2YUC3_CHILA
OG0000610	sp|Q8BSK8|KS6B1_MOUSE	tr|A0A8C2YI49|A0A8C2YI49_CHILA, tr|A0A8C2VY90|A0A8C2VY90_CHILA
OG0000611	sp|P63073|IF4E_MOUSE	tr|A0A8C2YJJ6|A0A8C2YJJ6_CHILA
OG0000611	sp|Q3UTA9|I4E1B_MOUSE	tr|A0A8C2UWH2|A0A8C2UWH2_CHILA, tr|A0A8C2VRA9|A0A8C2VRA9_CHILA
OG0000612	sp|Q61555|FBN2_MOUSE	tr|A0A8C2VME4|A0A8C2VME4_CHILA
OG0000612	sp|Q61554|FBN1_MOUSE	tr|A0A8C2UTV9|A0A8C2UTV9_CHILA, tr|A0A8C2VYA6|A0A8C2VYA6_CHILA
OG0000613	sp|Q924X2|CPT1B_MOUSE	tr|A0A8C2W7C0|A0A8C2W7C0_CHILA
OG0000613	sp|Q8BGD5|CPT1C_MOUSE, sp|P97742|CPT1A_MOUSE	tr|A0A8C2WAI4|A0A8C2WAI4_CHILA
OG0000614	sp|P29391|FRIL1_MOUSE, sp|P49945|FRIL2_MOUSE	tr|A0A8C2VGV8|A0A8C2VGV8_CHILA, tr|A0A8C2WE23|A0A8C2WE23_CHILA, tr|A0A8C2VCD7|A0A8C2VCD7_CHILA
OG0000615	tr|Q7TR80|Q7TR80_MOUSE, tr|Q7TR75|Q7TR75_MOUSE, tr|Q7TR71|Q7TR71_MOUSE	tr|A0A8C2WCQ7|A0A8C2WCQ7_CHILA, tr|A0A8C2VIG6|A0A8C2VIG6_CHILA
OG0000616	sp|O55033|NCK2_MOUSE	tr|A0A8C2VAI2|A0A8C2VAI2_CHILA
OG0000616	sp|Q99M51|NCK1_MOUSE	tr|A0A8C2VY77|A0A8C2VY77_CHILA, tr|A0A8C2UVA3|A0A8C2UVA3_CHILA
OG0000617	sp|P11672|NGAL_MOUSE	tr|A0A8C2W1B1|A0A8C2W1B1_CHILA, tr|A0A8C2UL41|A0A8C2UL41_CHILA, tr|A0A8C2ULJ3|A0A8C2ULJ3_CHILA, tr|A0A8C2UNU4|A0A8C2UNU4_CHILA
OG0000618	tr|E9PZ66|E9PZ66_MOUSE, tr|F8VQI7|F8VQI7_MOUSE	tr|A0A8C2W1W6|A0A8C2W1W6_CHILA, tr|A0A8C2W6G8|A0A8C2W6G8_CHILA, tr|A0A8C2W6D0|A0A8C2W6D0_CHILA
OG0000619	sp|P63158|HMGB1_MOUSE	tr|A0A8C2URC2|A0A8C2URC2_CHILA
OG0000619	sp|P30681|HMGB2_MOUSE	tr|A0A8C2UQ29|A0A8C2UQ29_CHILA, tr|A0A8C2VP62|A0A8C2VP62_CHILA
OG0000620	sp|P47955|RLA1_MOUSE	tr|A0A8C2VCC6|A0A8C2VCC6_CHILA, tr|A0A8C2W5Z4|A0A8C2W5Z4_CHILA, tr|A0A8C2W5B3|A0A8C2W5B3_CHILA, tr|A0A8C2YN29|A0A8C2YN29_CHILA
OG0000621	sp|P23463|HXD8_MOUSE	tr|A0A8C2YQM8|A0A8C2YQM8_CHILA
OG0000621	sp|P09632|HXB8_MOUSE, sp|P09025|HXC8_MOUSE	tr|A0A8C2VB41|A0A8C2VB41_CHILA
OG0000622	sp|P63242|IF5A1_MOUSE	tr|A0A8C2YSH2|A0A8C2YSH2_CHILA
OG0000622	sp|Q8BGY2|IF5A2_MOUSE	tr|A0A8C2VAT5|A0A8C2VAT5_CHILA, tr|A0A8C2VZ61|A0A8C2VZ61_CHILA
OG0000623	sp|Q8BZL8|LMO3_MOUSE	tr|A0A8C2VSY2|A0A8C2VSY2_CHILA
OG0000623	sp|Q924W9|RBTN1_MOUSE	tr|A0A8C2YSQ8|A0A8C2YSQ8_CHILA, tr|A0A8C2YUI5|A0A8C2YUI5_CHILA
OG0000624	sp|Q9CPX6|ATG3_MOUSE	tr|A0A8C2VZE7|A0A8C2VZE7_CHILA, tr|A0A8C2V2M1|A0A8C2V2M1_CHILA, tr|A0A8C2V6T6|A0A8C2V6T6_CHILA, tr|A0A8C2W895|A0A8C2W895_CHILA
OG0000625	sp|Q80W21|GSTM7_MOUSE	tr|A0A8C2VJJ3|A0A8C2VJJ3_CHILA
OG0000625	sp|Q8R5I6|GSTM4_MOUSE, sp|P48774|GSTM5_MOUSE	tr|A0A8C2V6U9|A0A8C2V6U9_CHILA
OG0000626	sp|Q60632|COT1_MOUSE	tr|A0A8C2UZB3|A0A8C2UZB3_CHILA
OG0000626	sp|P43136|NR2F6_MOUSE, sp|P43135|COT2_MOUSE	tr|A0A8C2VK66|A0A8C2VK66_CHILA
OG0000627	sp|Q8BZZ3|WWP1_MOUSE	tr|A0A8C2V4H0|A0A8C2V4H0_CHILA
OG0000627	sp|Q9DBH0|WWP2_MOUSE	tr|A0A8C2VGQ0|A0A8C2VGQ0_CHILA, tr|A0A8C2YK83|A0A8C2YK83_CHILA
OG0000628	sp|A2A7Z8|ADCL3_MOUSE	tr|A0A8C2UZM8|A0A8C2UZM8_CHILA, tr|A0A8C2YLW0|A0A8C2YLW0_CHILA, tr|A0A8C2V2K5|A0A8C2V2K5_CHILA, tr|A0A8C2V048|A0A8C2V048_CHILA
OG0000629	tr|Q9QWV1|Q9QWV1_MOUSE	tr|A0A8C2VSD1|A0A8C2VSD1_CHILA
OG0000629	sp|P01910|HA2K_MOUSE	tr|A0A8C2VH04|A0A8C2VH04_CHILA, tr|A0A8C2VJZ5|A0A8C2VJZ5_CHILA
OG0000630	tr|Q80Y34|Q80Y34_MOUSE	tr|A0A8C2VID2|A0A8C2VID2_CHILA
OG0000630	sp|A2A761|ZFP69_MOUSE	tr|A0A8C2VUW4|A0A8C2VUW4_CHILA, tr|A0A8C2ULE1|A0A8C2ULE1_CHILA
OG0000631	sp|Q9Z2F2|OASL2_MOUSE	tr|A0A8C2VUD1|A0A8C2VUD1_CHILA
OG0000631	sp|Q8VI94|OASL1_MOUSE	tr|A0A8C2W5Y3|A0A8C2W5Y3_CHILA, tr|A0A8C2YSF1|A0A8C2YSF1_CHILA
OG0000632	sp|Q91WN3|S7A13_MOUSE	tr|A0A8C2UW01|A0A8C2UW01_CHILA
OG0000632	tr|Q8VIE6|Q8VIE6_MOUSE	tr|A0A8C2V253|A0A8C2V253_CHILA, tr|A0A8C2UZN5|A0A8C2UZN5_CHILA
OG0000633	sp|P39038|CADH4_MOUSE	tr|A0A8C2YKI8|A0A8C2YKI8_CHILA
OG0000633	sp|P59862|CAD26_MOUSE, sp|P15116|CADH2_MOUSE	tr|A0A8C2W5B8|A0A8C2W5B8_CHILA
OG0000634	sp|Q9ERG2|STRN3_MOUSE	tr|A0A8C2VKB8|A0A8C2VKB8_CHILA
OG0000634	sp|O55106|STRN_MOUSE	tr|A0A8C2USN3|A0A8C2USN3_CHILA, tr|A0A8C2V7H3|A0A8C2V7H3_CHILA
OG0000636	sp|Q61990|PCBP2_MOUSE	tr|A0A8C2VUF8|A0A8C2VUF8_CHILA
OG0000636	sp|P60335|PCBP1_MOUSE	tr|A0A8C2YM59|A0A8C2YM59_CHILA, tr|A0A8C2YV85|A0A8C2YV85_CHILA
OG0000637	tr|Q8VF02|Q8VF02_MOUSE	tr|A0A8C2YUQ2|A0A8C2YUQ2_CHILA
OG0000637	tr|A0A1B0GRN7|A0A1B0GRN7_MOUSE, tr|Q8VGY8|Q8VGY8_MOUSE	tr|A0A8C2W6B1|A0A8C2W6B1_CHILA
OG0000638	sp|Q8BZJ7|DCNL2_MOUSE	tr|A0A8C2UR98|A0A8C2UR98_CHILA
OG0000638	tr|A0A1Y7VP24|A0A1Y7VP24_MOUSE, sp|Q9QZ73|DCNL1_MOUSE	tr|A0A8C2UGH5|A0A8C2UGH5_CHILA
OG0000639	sp|Q91WP0|MASP2_MOUSE	tr|A0A8C2VSE7|A0A8C2VSE7_CHILA
OG0000639	sp|Q8CG16|C1RA_MOUSE, sp|Q8CFG9|C1RB_MOUSE	tr|A0A8C2W066|A0A8C2W066_CHILA
