Orthogroup	Mus_musculus	Cebus_imitator
OG0000760	sp|Q8C1C8|PNMA1_MOUSE, sp|Q9ERH6|MOAP1_MOUSE, sp|Q8BHK0|PNMA2_MOUSE, sp|Q5DTT8|PNMA5_MOUSE	tr|A0A2K5PFZ0|A0A2K5PFZ0_CEBIM
OG0000761	tr|A0A0A6YXW6|A0A0A6YXW6_MOUSE, sp|P01878|IGHA_MOUSE	tr|A0A2K5PC93|A0A2K5PC93_CEBIM
OG0000761	sp|P01872|IGHM_MOUSE	tr|A0A2K5P8R3|A0A2K5P8R3_CEBIM
OG0000762	sp|Q9EST5|AN32B_MOUSE	tr|A0A2K5PAD9|A0A2K5PAD9_CEBIM
OG0000762	sp|Q64G17|AN32C_MOUSE, sp|O35381|AN32A_MOUSE	tr|A0A2K5PJL0|A0A2K5PJL0_CEBIM
OG0000763	sp|Q9QXA6|BAT1_MOUSE, tr|Q50E62|Q50E62_MOUSE, tr|Q8VIE6|Q8VIE6_MOUSE, sp|Q91WN3|S7A13_MOUSE	tr|A0A2K5SAI9|A0A2K5SAI9_CEBIM
OG0000764	sp|Q9D6P8|CALL3_MOUSE, sp|P0DP26|CALM1_MOUSE, sp|P0DP27|CALM2_MOUSE, sp|P0DP28|CALM3_MOUSE	tr|A0A2K5RRZ5|A0A2K5RRZ5_CEBIM
OG0000765	sp|Q61241|TSSK1_MOUSE	tr|A0A2K5S393|A0A2K5S393_CEBIM
OG0000765	sp|Q8C1R0|TSSK5_MOUSE, sp|O54863|TSSK2_MOUSE	tr|A0A2K5PMC7|A0A2K5PMC7_CEBIM
OG0000766	sp|A2RSQ1|GLBL3_MOUSE	tr|A0A2K5PMZ0|A0A2K5PMZ0_CEBIM
OG0000766	tr|F6Y113|F6Y113_MOUSE, sp|Q3UPY5|GLBL2_MOUSE	tr|A0A2K5RGW1|A0A2K5RGW1_CEBIM
OG0000767	tr|B4XVP9|B4XVP9_MOUSE, sp|A6H5X4|PHF11_MOUSE, tr|B4XVQ1|B4XVQ1_MOUSE, sp|Q8BVM9|PH11A_MOUSE	tr|A0A2K5PNJ6|A0A2K5PNJ6_CEBIM
OG0000768	sp|Q9ESN2|TRI39_MOUSE, sp|Q8VI40|TRI60_MOUSE, tr|Q8JZK6|Q8JZK6_MOUSE, sp|Q3UWZ0|TRI75_MOUSE	tr|A0A2K5SC03|A0A2K5SC03_CEBIM
OG0000769	sp|Q91ZX6|SENP2_MOUSE, tr|E9PXF3|E9PXF3_MOUSE, tr|D3Z741|D3Z741_MOUSE, tr|G3X9P9|G3X9P9_MOUSE	tr|A0A2K5QNR2|A0A2K5QNR2_CEBIM
OG0000770	tr|A0A571BEG0|A0A571BEG0_MOUSE, tr|G3X8W1|G3X8W1_MOUSE, tr|A0A1D5RM54|A0A1D5RM54_MOUSE, sp|A2AVR2|MROH7_MOUSE	tr|A0A2K5R0M6|A0A2K5R0M6_CEBIM
OG0000771	sp|P20852|CP2A5_MOUSE, sp|P15392|CP2A4_MOUSE, sp|P56593|CP2AC_MOUSE, tr|B2RXZ2|B2RXZ2_MOUSE	tr|A0A2K5PI51|A0A2K5PI51_CEBIM
OG0000772	tr|A0A075B5J3|A0A075B5J3_MOUSE, tr|A0A075B5J4|A0A075B5J4_MOUSE, sp|P01851|TCB2_MOUSE, sp|P01852|TCB1_MOUSE	tr|A0A2K5PVI6|A0A2K5PVI6_CEBIM
OG0000773	sp|Q99N08|M4A6C_MOUSE, sp|Q99N09|M4A6B_MOUSE, sp|Q99N07|M4A6D_MOUSE	tr|A0A2K5SGC7|A0A2K5SGC7_CEBIM, tr|A0A2K5RC11|A0A2K5RC11_CEBIM
OG0000774	tr|Q80V81|Q80V81_MOUSE, tr|Q8BIV1|Q8BIV1_MOUSE, tr|Q5PPQ4|Q5PPQ4_MOUSE, tr|G3X9T1|G3X9T1_MOUSE	tr|A0A2K5Q4C2|A0A2K5Q4C2_CEBIM
OG0000803	sp|Q9CZB0|C560_MOUSE	tr|A0A2K5PTG3|A0A2K5PTG3_CEBIM, tr|A0A2K5REQ9|A0A2K5REQ9_CEBIM, tr|A0A2K5QDF6|A0A2K5QDF6_CEBIM
OG0000804	sp|Q8VCQ3|NRBF2_MOUSE	tr|A0A2K5RHJ0|A0A2K5RHJ0_CEBIM, tr|A0A2K5P9J9|A0A2K5P9J9_CEBIM, tr|A0A2K5QEU9|A0A2K5QEU9_CEBIM
OG0000805	sp|Q02956|KPCZ_MOUSE	tr|A0A2K5QV74|A0A2K5QV74_CEBIM
OG0000805	sp|Q62074|KPCI_MOUSE	tr|A0A2K5Q4U6|A0A2K5Q4U6_CEBIM
OG0000806	sp|Q6ZPR4|KCNT1_MOUSE	tr|A0A2K5RPK7|A0A2K5RPK7_CEBIM
OG0000806	tr|D3Z649|D3Z649_MOUSE	tr|A0A2K5R196|A0A2K5R196_CEBIM
OG0000807	sp|Q3LS21|KCNK9_MOUSE	tr|A0A2K5QEJ5|A0A2K5QEJ5_CEBIM
OG0000807	sp|O35111|KCNK3_MOUSE	tr|A0A2K5RI26|A0A2K5RI26_CEBIM
OG0000808	sp|Q0KL02|TRIO_MOUSE	tr|A0A2K5QXJ8|A0A2K5QXJ8_CEBIM
OG0000808	sp|A2CG49|KALRN_MOUSE	tr|A0A2K5S3E8|A0A2K5S3E8_CEBIM
OG0000809	sp|Q80TF4|KLH13_MOUSE	tr|A0A2K5S6K9|A0A2K5S6K9_CEBIM
OG0000809	sp|Q6ZPT1|KLHL9_MOUSE	tr|A0A2K5QPX6|A0A2K5QPX6_CEBIM
OG0000810	sp|Q9JII6|AK1A1_MOUSE	tr|A0A2K5QAR5|A0A2K5QAR5_CEBIM, tr|A0A2K5QV95|A0A2K5QV95_CEBIM, tr|A0A2K5QZS3|A0A2K5QZS3_CEBIM
OG0000811	sp|Q8BPS4|GP180_MOUSE	tr|A0A2K5QFV5|A0A2K5QFV5_CEBIM, tr|A0A2K5QP08|A0A2K5QP08_CEBIM, tr|A0A2K5PPM2|A0A2K5PPM2_CEBIM
OG0000812	sp|Q80ZJ1|RAP2A_MOUSE	tr|A0A2K5PIP4|A0A2K5PIP4_CEBIM
OG0000812	sp|Q8BU31|RAP2C_MOUSE	tr|A0A2K5R148|A0A2K5R148_CEBIM
OG0000813	tr|B2RUS7|B2RUS7_MOUSE	tr|A0A2K5R6Y4|A0A2K5R6Y4_CEBIM
OG0000813	sp|P70170|ABCC9_MOUSE	tr|A0A2K5PYZ2|A0A2K5PYZ2_CEBIM
OG0000814	sp|P28047|WNT7B_MOUSE	tr|A0A2K5SA53|A0A2K5SA53_CEBIM
OG0000814	sp|P24383|WNT7A_MOUSE	tr|A0A2K5RFM0|A0A2K5RFM0_CEBIM
OG0000815	tr|F8VQC1|F8VQC1_MOUSE	tr|A0A2K5RFW9|A0A2K5RFW9_CEBIM, tr|A0A2K5RD71|A0A2K5RD71_CEBIM, tr|A0A2K5RCX0|A0A2K5RCX0_CEBIM
OG0000816	sp|A2AF53|T185A_MOUSE	tr|A0A2K5RPF2|A0A2K5RPF2_CEBIM
OG0000816	sp|Q8R3R5|T185B_MOUSE	tr|A0A2K5RV05|A0A2K5RV05_CEBIM
OG0000817	sp|Q9ERH4|NUSAP_MOUSE	tr|A0A2K5RYS3|A0A2K5RYS3_CEBIM, tr|A0A2K5PG77|A0A2K5PG77_CEBIM, tr|A0A2K5PCD5|A0A2K5PCD5_CEBIM
OG0000818	sp|Q9Z2D1|MTMR2_MOUSE	tr|A0A2K5S3D0|A0A2K5S3D0_CEBIM
OG0000818	sp|Q9Z2C4|MTMR1_MOUSE	tr|A0A2K5S8X7|A0A2K5S8X7_CEBIM
OG0000819	sp|D3Z7H8|CILP2_MOUSE	tr|A0A2K5QFF1|A0A2K5QFF1_CEBIM
OG0000819	sp|Q66K08|CILP1_MOUSE	tr|A0A2K5PV67|A0A2K5PV67_CEBIM
OG0000820	sp|Q80YX1|TENA_MOUSE	tr|A0A2K5QJV9|A0A2K5QJV9_CEBIM
OG0000820	sp|Q8BYI9|TENR_MOUSE	tr|A0A2K5QTI4|A0A2K5QTI4_CEBIM
OG0000821	sp|Q9CZY3|UB2V1_MOUSE	tr|A0A2K5RJC9|A0A2K5RJC9_CEBIM, tr|A0A2K5PA41|A0A2K5PA41_CEBIM, tr|A0A2K5PXT9|A0A2K5PXT9_CEBIM
OG0000822	tr|E0CZ42|E0CZ42_MOUSE	tr|A0A2K5RZE0|A0A2K5RZE0_CEBIM
OG0000822	sp|Q9ESF1|OTOF_MOUSE	tr|A0A2K5QWB1|A0A2K5QWB1_CEBIM
OG0000823	sp|P37804|TAGL_MOUSE	tr|A0A2K5R5I2|A0A2K5R5I2_CEBIM, tr|A0A2K5S5U2|A0A2K5S5U2_CEBIM, tr|A0A2K5SGG7|A0A2K5SGG7_CEBIM
OG0000824	sp|Q922B1|MACD1_MOUSE	tr|A0A2K5RJJ3|A0A2K5RJJ3_CEBIM
OG0000824	sp|Q3UYG8|MACD2_MOUSE	tr|A0A2K5PFL2|A0A2K5PFL2_CEBIM
OG0000825	sp|Q8K363|DDX18_MOUSE	tr|A0A2K5PID4|A0A2K5PID4_CEBIM, tr|A0A2K5QWW9|A0A2K5QWW9_CEBIM, tr|A0A2K5Q755|A0A2K5Q755_CEBIM
OG0000826	sp|O08709|PRDX6_MOUSE, tr|Q8BG37|Q8BG37_MOUSE	tr|A0A2K5PX14|A0A2K5PX14_CEBIM, tr|A0A2K5R2W5|A0A2K5R2W5_CEBIM
OG0000827	sp|P43135|COT2_MOUSE	tr|A0A2K5Q4E7|A0A2K5Q4E7_CEBIM
OG0000827	sp|Q60632|COT1_MOUSE	tr|A0A2K5Q289|A0A2K5Q289_CEBIM
OG0000828	sp|Q80YA7|DPP8_MOUSE	tr|A0A2K5Q3Y5|A0A2K5Q3Y5_CEBIM
OG0000828	sp|Q8BVG4|DPP9_MOUSE	tr|A0A2K5R876|A0A2K5R876_CEBIM
OG0000829	sp|Q80UM3|NAA15_MOUSE	tr|A0A2K5PX06|A0A2K5PX06_CEBIM
OG0000829	sp|Q9DBB4|NAA16_MOUSE	tr|A0A2K5QVY0|A0A2K5QVY0_CEBIM
OG0000830	sp|Q91WD4|CG025_MOUSE	tr|A0A2K5QP34|A0A2K5QP34_CEBIM, tr|A0A2K5R1H4|A0A2K5R1H4_CEBIM, tr|A0A2K5PL38|A0A2K5PL38_CEBIM
OG0000831	sp|Q497Q6|F228B_MOUSE	tr|A0A2K5RPS6|A0A2K5RPS6_CEBIM
OG0000831	sp|Q8CDW1|F228A_MOUSE	tr|A0A2K5R3J4|A0A2K5R3J4_CEBIM
OG0000832	sp|Q67E05|BPI_MOUSE	tr|A0A2K5SEQ4|A0A2K5SEQ4_CEBIM
OG0000832	sp|Q61805|LBP_MOUSE	tr|A0A2K5R4F6|A0A2K5R4F6_CEBIM
OG0000833	sp|Q91W59|RBMS1_MOUSE	tr|A0A2K5RU08|A0A2K5RU08_CEBIM
OG0000833	sp|Q8VC70|RBMS2_MOUSE	tr|A0A2K5RA22|A0A2K5RA22_CEBIM
OG0000834	sp|O35130|NEP1_MOUSE	tr|A0A2K5RQZ5|A0A2K5RQZ5_CEBIM, tr|A0A2K5QAN3|A0A2K5QAN3_CEBIM, tr|A0A2K5S021|A0A2K5S021_CEBIM
OG0000835	sp|Q8BPM2|M4K5_MOUSE	tr|A0A2K5PC77|A0A2K5PC77_CEBIM
OG0000835	sp|Q99JP0|M4K3_MOUSE	tr|A0A2K5RU01|A0A2K5RU01_CEBIM
OG0000836	sp|Q9Z1K6|ARI2_MOUSE	tr|A0A2K5PJ45|A0A2K5PJ45_CEBIM, tr|A0A2K5QU08|A0A2K5QU08_CEBIM, tr|A0A2K5S394|A0A2K5S394_CEBIM
OG0000837	sp|Q62233|SIX3_MOUSE	tr|A0A2K5QIA5|A0A2K5QIA5_CEBIM
OG0000837	sp|Q9QZ28|SIX6_MOUSE	tr|A0A2K5RWF7|A0A2K5RWF7_CEBIM
OG0000838	sp|Q6WKZ8|UBR2_MOUSE	tr|A0A2K5QUB7|A0A2K5QUB7_CEBIM
OG0000838	sp|O70481|UBR1_MOUSE	tr|A0A2K5RTD5|A0A2K5RTD5_CEBIM
OG0000839	sp|Q64430|ATP7A_MOUSE	tr|A0A2K5PID0|A0A2K5PID0_CEBIM
OG0000839	sp|Q64446|ATP7B_MOUSE	tr|A0A2K5RMV2|A0A2K5RMV2_CEBIM
OG0000841	sp|Q8R5A6|TB22A_MOUSE	tr|A0A2K5Q1I6|A0A2K5Q1I6_CEBIM
OG0000841	tr|Q80VE5|Q80VE5_MOUSE	tr|A0A2K5RY61|A0A2K5RY61_CEBIM
OG0000842	sp|Q9QZE5|COPG1_MOUSE	tr|A0A2K5PA10|A0A2K5PA10_CEBIM
OG0000842	sp|Q9QXK3|COPG2_MOUSE	tr|A0A2K5Q939|A0A2K5Q939_CEBIM
OG0000843	sp|Q01341|ADCY6_MOUSE	tr|A0A2K5Q9V5|A0A2K5Q9V5_CEBIM
OG0000843	sp|P84309|ADCY5_MOUSE	tr|A0A2K5RLA6|A0A2K5RLA6_CEBIM
OG0000844	sp|Q62348|TSN_MOUSE	tr|A0A2K5RJB3|A0A2K5RJB3_CEBIM, tr|A0A2K5S057|A0A2K5S057_CEBIM, tr|A0A2K5QN57|A0A2K5QN57_CEBIM
OG0000845	sp|Q9JKC8|AP3M1_MOUSE	tr|A0A2K5R0S5|A0A2K5R0S5_CEBIM
OG0000845	sp|Q8R2R9|AP3M2_MOUSE	tr|A0A2K5RI97|A0A2K5RI97_CEBIM
OG0000846	sp|Q9JKL5|CHP3_MOUSE	tr|A0A2K5PPX7|A0A2K5PPX7_CEBIM, tr|A0A2K5QD12|A0A2K5QD12_CEBIM, tr|A0A2K5RAY4|A0A2K5RAY4_CEBIM
OG0000847	sp|Q8R0W6|NFIP1_MOUSE	tr|A0A2K5S7I5|A0A2K5S7I5_CEBIM, tr|A0A2K5RHL0|A0A2K5RHL0_CEBIM, tr|A0A2K5RJZ8|A0A2K5RJZ8_CEBIM
OG0000848	sp|Q3THE2|ML12B_MOUSE	tr|A0A2K5PFD0|A0A2K5PFD0_CEBIM, tr|A0A2K5R322|A0A2K5R322_CEBIM, tr|A0A2K5RRQ8|A0A2K5RRQ8_CEBIM
OG0000849	sp|Q9CWM4|PFD1_MOUSE	tr|A0A2K5RNW7|A0A2K5RNW7_CEBIM, tr|A0A2K5RSD9|A0A2K5RSD9_CEBIM, tr|A0A2K5QLY8|A0A2K5QLY8_CEBIM
OG0000850	sp|Q9DAL9|FA24L_MOUSE, sp|Q8CF27|FA24A_MOUSE	tr|A0A2K5RV68|A0A2K5RV68_CEBIM, tr|A0A2K5RSM9|A0A2K5RSM9_CEBIM
OG0000851	sp|Q9D6A1|MYO1H_MOUSE	tr|A0A2K5QI71|A0A2K5QI71_CEBIM
OG0000851	sp|Q9WTI7|MYO1C_MOUSE	tr|A0A2K5RY29|A0A2K5RY29_CEBIM
OG0000852	sp|P47239|PAX7_MOUSE	tr|A0A2K5SFK1|A0A2K5SFK1_CEBIM
OG0000852	sp|P24610|PAX3_MOUSE	tr|A0A2K5PZZ2|A0A2K5PZZ2_CEBIM
OG0000853	sp|Q5SV42|ILEUC_MOUSE, sp|Q8VHP7|ILEUB_MOUSE, sp|Q9D154|ILEUA_MOUSE	tr|A0A2K5SGG3|A0A2K5SGG3_CEBIM
OG0000854	sp|Q8BWJ3|KPB2_MOUSE	tr|A0A2K5SHS0|A0A2K5SHS0_CEBIM
OG0000854	sp|P18826|KPB1_MOUSE	tr|A0A2K5PB35|A0A2K5PB35_CEBIM
OG0000855	sp|Q9QY36|NAA10_MOUSE	tr|A0A2K5RUQ6|A0A2K5RUQ6_CEBIM, tr|A0A2K5QZX8|A0A2K5QZX8_CEBIM, tr|A0A2K5RV49|A0A2K5RV49_CEBIM
OG0000856	tr|Q9D2F1|Q9D2F1_MOUSE	tr|A0A2K5PIC8|A0A2K5PIC8_CEBIM, tr|A0A2K5RWG8|A0A2K5RWG8_CEBIM, tr|A0A2K5RMA8|A0A2K5RMA8_CEBIM
OG0000857	sp|Q9CRB2|NHP2_MOUSE	tr|A0A2K5QWM8|A0A2K5QWM8_CEBIM, tr|A0A2K5RYR7|A0A2K5RYR7_CEBIM, tr|A0A2K5RZM1|A0A2K5RZM1_CEBIM
OG0000858	sp|Q80Z64|NANOG_MOUSE	tr|A0A2K5SDX1|A0A2K5SDX1_CEBIM, tr|A0A2K5PB38|A0A2K5PB38_CEBIM, tr|A0A2K5RLC1|A0A2K5RLC1_CEBIM
OG0000859	sp|A2AIG8|1A1L1_MOUSE	tr|A0A2K5RVH6|A0A2K5RVH6_CEBIM
OG0000859	sp|Q3UX83|1A1L2_MOUSE	tr|A0A2K5SH27|A0A2K5SH27_CEBIM
OG0000860	sp|Q9D662|SC23B_MOUSE	tr|A0A2K5QA45|A0A2K5QA45_CEBIM
OG0000860	sp|Q01405|SC23A_MOUSE	tr|A0A2K5PKW0|A0A2K5PKW0_CEBIM
OG0000861	sp|P56387|DYLT3_MOUSE	tr|A0A2K5QMP2|A0A2K5QMP2_CEBIM, tr|A0A2K5P9A8|A0A2K5P9A8_CEBIM, tr|A0A2K5PXW4|A0A2K5PXW4_CEBIM
OG0000862	sp|P62267|RS23_MOUSE	tr|A0A2K5Q0L1|A0A2K5Q0L1_CEBIM, tr|A0A2K5QSU5|A0A2K5QSU5_CEBIM, tr|A0A2K5R0Q9|A0A2K5R0Q9_CEBIM
OG0000863	sp|Q3UYK3|TBCD9_MOUSE	tr|A0A2K5RKH4|A0A2K5RKH4_CEBIM
OG0000863	sp|Q5SVR0|TBC9B_MOUSE	tr|A0A2K5RTS9|A0A2K5RTS9_CEBIM
OG0000864	sp|P97324|G6PD2_MOUSE, sp|Q00612|G6PD1_MOUSE	tr|A0A2K5RUG3|A0A2K5RUG3_CEBIM, tr|A0A2K5RPS8|A0A2K5RPS8_CEBIM
OG0000865	sp|Q9CQ10|CHMP3_MOUSE	tr|A0A2K5SIH0|A0A2K5SIH0_CEBIM, tr|A0A2K5QRN8|A0A2K5QRN8_CEBIM, tr|A0A2K5PBH6|A0A2K5PBH6_CEBIM
OG0000866	sp|Q91WT4|DJC17_MOUSE	tr|A0A2K5SG14|A0A2K5SG14_CEBIM, tr|A0A2K5QI34|A0A2K5QI34_CEBIM, tr|A0A2K5PEG9|A0A2K5PEG9_CEBIM
OG0000867	sp|P70335|ROCK1_MOUSE	tr|A0A2K5Q3G2|A0A2K5Q3G2_CEBIM
OG0000867	sp|P70336|ROCK2_MOUSE	tr|A0A2K5QC07|A0A2K5QC07_CEBIM
OG0000868	sp|E9Q4S1|PDE8B_MOUSE	tr|A0A2K5S4P9|A0A2K5S4P9_CEBIM
OG0000868	sp|O88502|PDE8A_MOUSE	tr|A0A2K5QSE3|A0A2K5QSE3_CEBIM
OG0000869	sp|P22892|AP1G1_MOUSE	tr|A0A2K5SJ06|A0A2K5SJ06_CEBIM
OG0000869	sp|O88512|AP1G2_MOUSE	tr|A0A2K5R4L9|A0A2K5R4L9_CEBIM
OG0000871	sp|Q9D2N4|DTNA_MOUSE	tr|A0A2K5SHE1|A0A2K5SHE1_CEBIM
OG0000871	sp|O70585|DTNB_MOUSE	tr|A0A2K5S6A5|A0A2K5S6A5_CEBIM
OG0000872	sp|Q9D1H6|NDUF4_MOUSE	tr|A0A2K5SHX0|A0A2K5SHX0_CEBIM, tr|A0A2K5RUA8|A0A2K5RUA8_CEBIM, tr|A0A2K5PVH8|A0A2K5PVH8_CEBIM
OG0000873	sp|E9Q4F7|ANR11_MOUSE	tr|A0A2K5RHH6|A0A2K5RHH6_CEBIM, tr|A0A2K5QYQ1|A0A2K5QYQ1_CEBIM, tr|A0A2K5PF78|A0A2K5PF78_CEBIM
OG0000874	sp|Q9QZI8|SERC1_MOUSE	tr|A0A2K5QNQ5|A0A2K5QNQ5_CEBIM
OG0000874	sp|Q9QZI9|SERC3_MOUSE	tr|A0A2K5RHA3|A0A2K5RHA3_CEBIM
OG0000875	sp|Q64280|LFTY1_MOUSE, sp|P57785|LFTY2_MOUSE	tr|A0A2K5QEI6|A0A2K5QEI6_CEBIM, tr|A0A2K5RAM4|A0A2K5RAM4_CEBIM
OG0000876	sp|Q64525|H2B2B_MOUSE	tr|A0A2K5RG83|A0A2K5RG83_CEBIM, tr|A0A2K5PC89|A0A2K5PC89_CEBIM, tr|A0A2K5PA05|A0A2K5PA05_CEBIM
OG0000877	sp|Q8K3P5|CNOT6_MOUSE	tr|A0A2K5RT09|A0A2K5RT09_CEBIM
OG0000877	sp|Q8VEG6|CNO6L_MOUSE	tr|A0A2K5QES0|A0A2K5QES0_CEBIM
OG0000878	sp|Q9WTX5|SKP1_MOUSE	tr|A0A2K5PD90|A0A2K5PD90_CEBIM, tr|A0A2K5SJK8|A0A2K5SJK8_CEBIM, tr|A0A2K5S0M4|A0A2K5S0M4_CEBIM
OG0000879	sp|Q9QX29|TRPC5_MOUSE	tr|A0A2K5PYA6|A0A2K5PYA6_CEBIM
OG0000879	sp|Q9QUQ5|TRPC4_MOUSE	tr|A0A2K5QUQ3|A0A2K5QUQ3_CEBIM
OG0000880	sp|P29416|HEXA_MOUSE	tr|A0A2K5Q2W8|A0A2K5Q2W8_CEBIM
OG0000880	sp|P20060|HEXB_MOUSE	tr|A0A2K5QK07|A0A2K5QK07_CEBIM
OG0000881	sp|Q6SJ95|TBPL2_MOUSE	tr|A0A2K5Q821|A0A2K5Q821_CEBIM
OG0000881	sp|P29037|TBP_MOUSE	tr|A0A2K5QJK0|A0A2K5QJK0_CEBIM
OG0000882	sp|E9Q4Z2|ACACB_MOUSE	tr|A0A2K5QF36|A0A2K5QF36_CEBIM
OG0000882	sp|Q5SWU9|ACACA_MOUSE	tr|A0A2K5PMV2|A0A2K5PMV2_CEBIM
OG0000883	sp|A2APV2|FMNL2_MOUSE	tr|A0A2K5QYA3|A0A2K5QYA3_CEBIM
OG0000883	sp|Q6ZPF4|FMNL3_MOUSE	tr|A0A2K5PI70|A0A2K5PI70_CEBIM
OG0000884	sp|Q8BGB2|TTC7A_MOUSE	tr|A0A2K5RVD4|A0A2K5RVD4_CEBIM
OG0000884	sp|E9Q6P5|TTC7B_MOUSE	tr|A0A2K5S3D8|A0A2K5S3D8_CEBIM
OG0000885	sp|Q8VDD8|WASH1_MOUSE	tr|A0A2K5R725|A0A2K5R725_CEBIM, tr|A0A2K5P9A3|A0A2K5P9A3_CEBIM, tr|A0A2K5RW85|A0A2K5RW85_CEBIM
OG0000886	sp|Q3UY34|CSTOS_MOUSE	tr|A0A2K5S6P8|A0A2K5S6P8_CEBIM, tr|A0A2K5SJV6|A0A2K5SJV6_CEBIM, tr|A0A2K5QL02|A0A2K5QL02_CEBIM
OG0000887	sp|Q8BG54|SPTC3_MOUSE	tr|A0A2K5PPM8|A0A2K5PPM8_CEBIM
OG0000887	sp|P97363|SPTC2_MOUSE	tr|A0A2K5PNG5|A0A2K5PNG5_CEBIM
OG0000888	sp|P50096|IMDH1_MOUSE	tr|A0A2K5PU75|A0A2K5PU75_CEBIM
OG0000888	sp|P24547|IMDH2_MOUSE	tr|A0A2K5SGV4|A0A2K5SGV4_CEBIM
OG0000889	sp|Q6P4U0|THS7B_MOUSE	tr|A0A2K5PYB4|A0A2K5PYB4_CEBIM
OG0000889	sp|Q69ZU6|THS7A_MOUSE	tr|A0A2K5QZ65|A0A2K5QZ65_CEBIM
OG0000890	sp|Q8BNI4|DERL2_MOUSE	tr|A0A2K5Q382|A0A2K5Q382_CEBIM, tr|A0A2K5QDV3|A0A2K5QDV3_CEBIM, tr|A0A2K5R176|A0A2K5R176_CEBIM
OG0000891	sp|Q91WG7|DGKG_MOUSE	tr|A0A2K5R3G9|A0A2K5R3G9_CEBIM
OG0000891	sp|Q6NS52|DGKB_MOUSE	tr|A0A2K5QG66|A0A2K5QG66_CEBIM
OG0000892	sp|Q8CHG7|RPGF2_MOUSE	tr|A0A2K5RBV4|A0A2K5RBV4_CEBIM
OG0000892	tr|Q5NCJ1|Q5NCJ1_MOUSE	tr|A0A2K5QW14|A0A2K5QW14_CEBIM
OG0000893	sp|Q9D2M8|UB2V2_MOUSE	tr|A0A2K5RTR3|A0A2K5RTR3_CEBIM, tr|A0A2K5RKE7|A0A2K5RKE7_CEBIM, tr|A0A2K5PGK5|A0A2K5PGK5_CEBIM
OG0000894	sp|P63280|UBC9_MOUSE	tr|A0A2K5PD73|A0A2K5PD73_CEBIM, tr|A0A2K5Q7X2|A0A2K5Q7X2_CEBIM, tr|A0A2K5RKX4|A0A2K5RKX4_CEBIM
OG0000895	sp|Q8C0V9|FRMD6_MOUSE	tr|A0A2K5PQQ9|A0A2K5PQQ9_CEBIM, tr|A0A2K5PQI3|A0A2K5PQI3_CEBIM, tr|A0A2K5SCK3|A0A2K5SCK3_CEBIM
OG0000896	tr|E9PUZ9|E9PUZ9_MOUSE	tr|A0A2K5SE68|A0A2K5SE68_CEBIM
OG0000896	sp|Q69ZS0|PZRN3_MOUSE	tr|A0A2K5R1T5|A0A2K5R1T5_CEBIM
OG0000897	sp|Q02111|KPCT_MOUSE	tr|A0A2K5RVT4|A0A2K5RVT4_CEBIM
OG0000897	sp|P28867|KPCD_MOUSE	tr|A0A2K5PDA0|A0A2K5PDA0_CEBIM
OG0000898	sp|Q61091|FZD8_MOUSE	tr|A0A2K5PIN6|A0A2K5PIN6_CEBIM
OG0000898	sp|Q9EQD0|FZD5_MOUSE	tr|A0A2K5PDS6|A0A2K5PDS6_CEBIM
OG0000899	sp|Q8BWG8|ARRB1_MOUSE	tr|A0A2K5Q0P3|A0A2K5Q0P3_CEBIM
OG0000899	sp|Q91YI4|ARRB2_MOUSE	tr|A0A2K5PPN1|A0A2K5PPN1_CEBIM
OG0000900	sp|Q9Z1G4|VPP1_MOUSE	tr|A0A2K5QDT6|A0A2K5QDT6_CEBIM
OG0000900	sp|Q920R6|VPP4_MOUSE	tr|A0A2K5Q3U1|A0A2K5Q3U1_CEBIM
OG0000901	sp|Q60718|ADAM2_MOUSE	tr|A0A2K5QIK2|A0A2K5QIK2_CEBIM
OG0000901	sp|Q8K410|ADA32_MOUSE	tr|A0A2K5Q7H9|A0A2K5Q7H9_CEBIM
OG0000902	sp|Q91ZX7|LRP1_MOUSE	tr|A0A2K5SEK3|A0A2K5SEK3_CEBIM
OG0000902	sp|Q9JI18|LRP1B_MOUSE	tr|A0A2K5QMZ9|A0A2K5QMZ9_CEBIM
OG0000903	sp|Q9D305|THAP2_MOUSE	tr|A0A2K5PHU7|A0A2K5PHU7_CEBIM, tr|A0A2K5PJD2|A0A2K5PJD2_CEBIM, tr|A0A2K5RF79|A0A2K5RF79_CEBIM
OG0000904	sp|Q920S2|PRS41_MOUSE	tr|A0A2K5PZ10|A0A2K5PZ10_CEBIM
OG0000904	sp|Q9JHJ7|TEST_MOUSE	tr|A0A2K5R4C7|A0A2K5R4C7_CEBIM
OG0000905	sp|P33173|KIF1A_MOUSE	tr|A0A2K5QXS0|A0A2K5QXS0_CEBIM
OG0000905	sp|Q60575|KIF1B_MOUSE	tr|A0A2K5PZ86|A0A2K5PZ86_CEBIM
OG0000906	sp|Q91WC0|SETD3_MOUSE	tr|A0A2K5Q0U6|A0A2K5Q0U6_CEBIM, tr|A0A2K5RP14|A0A2K5RP14_CEBIM, tr|A0A2K5R5K4|A0A2K5R5K4_CEBIM
OG0000907	sp|Q05BC3|EMAL1_MOUSE	tr|A0A2K5Q6X3|A0A2K5Q6X3_CEBIM
OG0000907	sp|Q7TNG5|EMAL2_MOUSE	tr|A0A2K5RAR8|A0A2K5RAR8_CEBIM
