Orthogroup	Mus_musculus	Oryctolagus_cuniculus
OG0002843	sp|P70218|M4K1_MOUSE, sp|Q8BPM2|M4K5_MOUSE	tr|G1T4J0|G1T4J0_RABIT
OG0002844	sp|Q9Z1Y9|IOD2_MOUSE, sp|Q91ZI8|IOD3_MOUSE	tr|G1TT28|G1TT28_RABIT
OG0002845	sp|P26361|CFTR_MOUSE	sp|Q00554|CFTR_RABIT, tr|A0A5F9CM45|A0A5F9CM45_RABIT
OG0002846	tr|G3X9F6|G3X9F6_MOUSE, sp|Q80VA5|S3TC2_MOUSE	tr|G1TYP1|G1TYP1_RABIT
OG0002847	sp|Q8C811|S35E2_MOUSE, sp|Q8CD26|S35E1_MOUSE	tr|A0A5F9DP14|A0A5F9DP14_RABIT
OG0002848	sp|Q91WD0|GP108_MOUSE, sp|Q8BUV8|GP107_MOUSE	tr|G1T887|G1T887_RABIT
OG0002849	sp|O70583|TRI18_MOUSE, sp|Q9QUS6|TRIM1_MOUSE	tr|G1T389|G1T389_RABIT
OG0002850	tr|E9Q573|E9Q573_MOUSE, tr|A0A077KA19|A0A077KA19_MOUSE	tr|A0A5F9DCR5|A0A5F9DCR5_RABIT
OG0002851	sp|P19228|CASA1_MOUSE	sp|P09115|CASA1_RABIT, tr|A0A5S8HCZ7|A0A5S8HCZ7_RABIT
OG0002852	sp|Q07079|IBP5_MOUSE, sp|P47878|IBP3_MOUSE	tr|G1U3C5|G1U3C5_RABIT
OG0002853	sp|O35261|E2F3_MOUSE, sp|Q61501|E2F1_MOUSE	tr|G1T789|G1T789_RABIT
OG0002854	sp|Q8BFW7|LPP_MOUSE, sp|Q9Z1Y4|TRIP6_MOUSE	tr|G1T1X2|G1T1X2_RABIT
OG0002855	sp|Q9CWX4|RUSD4_MOUSE, sp|Q8VCZ8|RUSD1_MOUSE	tr|G1TCW0|G1TCW0_RABIT
OG0002856	sp|Q9R0M4|PODXL_MOUSE	tr|G1TXA1|G1TXA1_RABIT, sp|Q28645|PODXL_RABIT
OG0002857	sp|Q9R118|HTRA1_MOUSE, sp|Q9D236|HTRA3_MOUSE	tr|G1T5H0|G1T5H0_RABIT
OG0002858	sp|O09164|SODE_MOUSE	sp|P41975|SODE_RABIT, tr|A0A5S8H9D4|A0A5S8H9D4_RABIT
OG0002859	sp|P13634|CAH1_MOUSE	sp|P07452|CAH1_RABIT, tr|G1SN31|G1SN31_RABIT
OG0002860	sp|P15409|OPSD_MOUSE	sp|P49912|OPSD_RABIT, tr|A0A5S8HJ78|A0A5S8HJ78_RABIT
OG0002861	sp|P15919|RAG1_MOUSE	sp|P34088|RAG1_RABIT, tr|G1TU62|G1TU62_RABIT
OG0002862	sp|Q05915|GCH1_MOUSE	tr|G1SIY3|G1SIY3_RABIT, tr|A0A5F9CTN8|A0A5F9CTN8_RABIT
OG0002863	sp|Q8BU00|IKZF5_MOUSE	tr|G1T577|G1T577_RABIT, tr|A0A5F9D7A6|A0A5F9D7A6_RABIT
OG0002864	tr|G3X9B4|G3X9B4_MOUSE, sp|Q8R3B7|BRD8_MOUSE	tr|G1SV08|G1SV08_RABIT
OG0002865	sp|Q921M7|CYRIB_MOUSE	tr|G1T5Y2|G1T5Y2_RABIT, tr|A0A5F9C9D2|A0A5F9C9D2_RABIT
OG0002866	sp|Q8BHD4|FRMD3_MOUSE, tr|Q9D7L5|Q9D7L5_MOUSE	tr|A0A5F9CL87|A0A5F9CL87_RABIT
OG0002867	sp|O55103|PRAX_MOUSE, tr|A0A7N9VR94|A0A7N9VR94_MOUSE	tr|G1U987|G1U987_RABIT
OG0002868	sp|P05017|IGF1_MOUSE	sp|Q95222|IGF1_RABIT, tr|G1TWE5|G1TWE5_RABIT
OG0002869	sp|P07750|IL4_MOUSE	sp|Q9MZR8|IL4_RABIT, tr|G1U6T7|G1U6T7_RABIT
OG0002870	sp|P43274|H14_MOUSE	sp|P02252|H14_RABIT, tr|A0A5S8HLQ6|A0A5S8HLQ6_RABIT
OG0002871	sp|P97414|KCNQ1_MOUSE	tr|A0A5F9D448|A0A5F9D448_RABIT, sp|Q9MYS6|KCNQ1_RABIT
OG0002872	sp|D3Z4I3|RBM24_MOUSE, sp|Q62176|RBM38_MOUSE	tr|A0A5F9C7G3|A0A5F9C7G3_RABIT
OG0002873	sp|Q03141|MARK3_MOUSE, sp|Q8CIP4|MARK4_MOUSE	tr|G1TC47|G1TC47_RABIT
OG0002874	tr|B9EKH0|B9EKH0_MOUSE, sp|Q7TQP0|GP141_MOUSE	tr|G1U412|G1U412_RABIT
OG0002875	sp|P09470|ACE_MOUSE	sp|P12822|ACE_RABIT, tr|G1TYT4|G1TYT4_RABIT
OG0002876	sp|Q00977|CXB2_MOUSE	tr|G1SYP9|G1SYP9_RABIT, tr|A0A5F9DGH3|A0A5F9DGH3_RABIT
OG0002877	sp|Q07456|AMBP_MOUSE, sp|Q9WU03|SPIT2_MOUSE	tr|A0A5F9D8I4|A0A5F9D8I4_RABIT
OG0002879	sp|Q60930|VDAC2_MOUSE	sp|P68003|VDAC2_RABIT, tr|A0A5F9DM33|A0A5F9DM33_RABIT
OG0002880	sp|Q8BXZ1|TMX3_MOUSE	tr|G1SMZ8|G1SMZ8_RABIT, tr|A0A5F9D5B9|A0A5F9D5B9_RABIT
OG0002881	sp|Q8BZM1|GLMN_MOUSE	tr|G1SG57|G1SG57_RABIT, tr|G1SED3|G1SED3_RABIT
OG0002882	sp|Q99MH6|NKD1_MOUSE, sp|Q8VE28|NKD2_MOUSE	tr|G1SNG8|G1SNG8_RABIT
OG0002883	sp|Q8VH51|RBM39_MOUSE	tr|B7NZJ5|B7NZJ5_RABIT, tr|G1SGL7|G1SGL7_RABIT
OG0002884	sp|Q921Q7|RIN1_MOUSE, sp|Q9D684|RIN2_MOUSE	tr|G1T9G8|G1T9G8_RABIT
OG0002885	sp|Q9JK38|GNA1_MOUSE	tr|G1STY8|G1STY8_RABIT, tr|G1TPR2|G1TPR2_RABIT
OG0002886	sp|E9Q6P5|TTC7B_MOUSE	tr|G1SW47|G1SW47_RABIT, tr|A0A5F9DAQ9|A0A5F9DAQ9_RABIT
OG0002887	sp|P97438|KCNK2_MOUSE, sp|O88454|KCNK4_MOUSE	tr|A0A5F9CR06|A0A5F9CR06_RABIT
OG0002888	sp|Q61805|LBP_MOUSE	sp|P17454|LBP_RABIT, tr|A0A5F9DVW5|A0A5F9DVW5_RABIT
OG0002889	sp|Q80UW3|RINL_MOUSE, sp|P59729|RIN3_MOUSE	tr|G1SPJ0|G1SPJ0_RABIT
OG0002890	sp|Q80WJ6|MRP9_MOUSE	tr|G1SGP5|G1SGP5_RABIT, tr|G1SGN8|G1SGN8_RABIT
OG0002891	sp|Q8JZZ0|UD3A2_MOUSE, sp|Q3UP75|UD3A1_MOUSE	tr|G1T193|G1T193_RABIT
OG0002892	sp|Q8CJ53|CIP4_MOUSE, sp|Q8K012|FBP1L_MOUSE	tr|G1SUV1|G1SUV1_RABIT
OG0002893	tr|Q9R0K4|Q9R0K4_MOUSE, tr|Q0VEP0|Q0VEP0_MOUSE	tr|G1TIT7|G1TIT7_RABIT
OG0002894	sp|O35345|IMA7_MOUSE	tr|G1STV1|G1STV1_RABIT, tr|G1TE61|G1TE61_RABIT
OG0002895	sp|P21275|BMP4_MOUSE	tr|G1T0L5|G1T0L5_RABIT, sp|O46576|BMP4_RABIT
OG0002896	sp|P35242|SFTPA_MOUSE	sp|P12842|SFTPA_RABIT, tr|A0A5F9CJ40|A0A5F9CJ40_RABIT
OG0002897	sp|P45700|MA1A1_MOUSE	tr|A0A5F9CVE4|A0A5F9CVE4_RABIT, sp|P45701|MA1A1_RABIT
OG0002898	sp|P47713|PA24A_MOUSE	tr|G1T7T8|G1T7T8_RABIT, sp|Q9TT38|PA24A_RABIT
OG0002899	sp|P70280|VAMP7_MOUSE	tr|A0A5F9DAS1|A0A5F9DAS1_RABIT, tr|G1SF35|G1SF35_RABIT
OG0002900	sp|Q61221|HIF1A_MOUSE, sp|Q0VBL6|HIF3A_MOUSE	tr|A0A5F9D5U2|A0A5F9D5U2_RABIT
OG0002901	sp|Q80TE3|MARH4_MOUSE, sp|Q3TZ87|MARH9_MOUSE	tr|G1TQM5|G1TQM5_RABIT
OG0002902	sp|Q9CWT2|BEX4_MOUSE, sp|Q3TZW7|BEX6_MOUSE	tr|G1SDB2|G1SDB2_RABIT
OG0002903	sp|Q8K337|I5P2_MOUSE, sp|Q9JII1|INP5E_MOUSE	tr|G1SNU8|G1SNU8_RABIT
OG0002904	sp|Q9CTH6|FCF1_MOUSE	tr|G1T6R8|G1T6R8_RABIT, tr|G1U3V5|G1U3V5_RABIT
OG0002905	sp|Q9D3H0|TMM80_MOUSE, sp|Q9CQC4|TM216_MOUSE	tr|A0A5F9CDK3|A0A5F9CDK3_RABIT
OG0002906	sp|A2AHC3|CAMP1_MOUSE, sp|Q8C1B1|CAMP2_MOUSE	tr|G1STQ3|G1STQ3_RABIT
OG0002907	tr|K7N5X7|K7N5X7_MOUSE, tr|E9PZU2|E9PZU2_MOUSE	tr|G1SHQ5|G1SHQ5_RABIT
OG0002908	sp|O88703|HCN2_MOUSE, sp|O88705|HCN3_MOUSE	tr|G1T8G0|G1T8G0_RABIT
OG0002909	sp|P17225|PTBP1_MOUSE, sp|Q8BHD7|PTBP3_MOUSE	tr|G1TE64|G1TE64_RABIT
OG0002910	sp|P21552|WNT2_MOUSE	sp|Q09YN1|WNT2_RABIT, tr|G1TB20|G1TB20_RABIT
OG0002911	sp|Q9Z0Y9|NR1H3_MOUSE, sp|Q60644|NR1H2_MOUSE	tr|D5MS64|D5MS64_RABIT
OG0002912	tr|Q6NXK9|Q6NXK9_MOUSE	tr|A0A5F9CF07|A0A5F9CF07_RABIT, tr|G1U019|G1U019_RABIT
OG0002913	sp|Q6NXN1|SZRD1_MOUSE	tr|A0A5F9C6Q1|A0A5F9C6Q1_RABIT, tr|A0A5F9C707|A0A5F9C707_RABIT
OG0002914	sp|Q8C7H1|MMAA_MOUSE	sp|Q5MFW3|MMAA_RABIT, tr|A0A5F9D3Q4|A0A5F9D3Q4_RABIT
OG0002915	sp|Q8JZS9|RM48_MOUSE	tr|G1TS94|G1TS94_RABIT, tr|G1SWY4|G1SWY4_RABIT
OG0002916	sp|Q8K0E3|SC5AB_MOUSE	sp|Q28728|SC5AB_RABIT, tr|A0A5S8H876|A0A5S8H876_RABIT
OG0002917	sp|Q9QUK0|CDKL2_MOUSE	sp|Q9TTK0|CDKL2_RABIT, tr|G1SJC0|G1SJC0_RABIT
OG0002918	sp|P56203|CATW_MOUSE, sp|Q9R013|CATF_MOUSE	tr|A0A5F9CY17|A0A5F9CY17_RABIT
OG0002919	sp|Q9R0Y5|KAD1_MOUSE	tr|A0A5F9D3K5|A0A5F9D3K5_RABIT, sp|P00569|KAD1_RABIT
OG0002920	tr|A0A0N4SVR5|A0A0N4SVR5_MOUSE, sp|Q8JZL7|RGF1B_MOUSE	tr|G1SZB4|G1SZB4_RABIT
OG0002921	sp|Q61164|CTCF_MOUSE, sp|A2APF3|CTCFL_MOUSE	tr|A0A5F9CRQ1|A0A5F9CRQ1_RABIT
OG0002922	sp|P14824|ANXA6_MOUSE	tr|G1SNS9|G1SNS9_RABIT, sp|Q9TS53|ANXA6_RABIT
OG0002923	sp|P23578|ACRO_MOUSE	sp|P48038|ACRO_RABIT, tr|G1TMU6|G1TMU6_RABIT
OG0002924	sp|P51885|LUM_MOUSE	tr|G1SP97|G1SP97_RABIT, sp|O46379|LUM_RABIT
OG0002925	sp|P58059|RT21_MOUSE	tr|G1TXA3|G1TXA3_RABIT, tr|G1SGR2|G1SGR2_RABIT
OG0002926	sp|Q8C0C7|SYFA_MOUSE, sp|Q99M01|SYFM_MOUSE	tr|A0A5F9C7B6|A0A5F9C7B6_RABIT
OG0002927	sp|Q8K0E8|FIBB_MOUSE	sp|P14478|FIBB_RABIT, tr|G1T0W8|G1T0W8_RABIT
OG0002928	sp|Q8K4P7|ST7L_MOUSE	tr|G1SCY2|G1SCY2_RABIT, tr|A0A5F9DMP2|A0A5F9DMP2_RABIT
OG0002929	sp|Q9QZD9|EIF3I_MOUSE	sp|Q5IH81|EIF3I_RABIT, tr|G1STF9|G1STF9_RABIT
OG0002930	sp|P06804|TNFA_MOUSE	tr|A0A5S8H7U2|A0A5S8H7U2_RABIT, sp|P04924|TNFA_RABIT
OG0002931	sp|P42866|OPRM_MOUSE, sp|P35377|OPRX_MOUSE	tr|A0A5F9CDI9|A0A5F9CDI9_RABIT
OG0002932	sp|P61971|NTF2_MOUSE	tr|A0A5F9CLB3|A0A5F9CLB3_RABIT, tr|G1SQR7|G1SQR7_RABIT
OG0002933	sp|P70194|CLC4F_MOUSE, sp|Q8VBX4|CLC4K_MOUSE	tr|G1T8P6|G1T8P6_RABIT
OG0002934	sp|Q8VCE2|GPN1_MOUSE	tr|G1T5U1|G1T5U1_RABIT, tr|A0A5F9C1U7|A0A5F9C1U7_RABIT
OG0002935	sp|Q9ESB3|HRG_MOUSE	tr|G1U754|G1U754_RABIT, sp|Q28640|HRG_RABIT
OG0002936	sp|Q9JMG7|HDGR3_MOUSE, sp|Q3UMU9|HDGR2_MOUSE	tr|G1SYC6|G1SYC6_RABIT
OG0002937	tr|E9Q9B7|E9Q9B7_MOUSE, sp|Q0VF94|NKPD1_MOUSE	tr|G1SKW4|G1SKW4_RABIT
OG0002938	sp|O55057|PDE6D_MOUSE	tr|G1U0Q4|G1U0Q4_RABIT, tr|G1SZ78|G1SZ78_RABIT
OG0002939	sp|P26040|EZRI_MOUSE	tr|A0A5F9D2U0|A0A5F9D2U0_RABIT, sp|Q8HZQ5|EZRI_RABIT
OG0002940	sp|P97370|AT1B3_MOUSE	tr|G1SD34|G1SD34_RABIT, sp|Q9GLC3|AT1B3_RABIT
OG0002941	sp|Q9JIH2|NUP50_MOUSE, tr|Q3V2K7|Q3V2K7_MOUSE	tr|A0A5F9DPB5|A0A5F9DPB5_RABIT
OG0002942	sp|Q61120|SHC3_MOUSE, sp|Q8BMC3|SHC2_MOUSE	tr|A0A5F9D2C2|A0A5F9D2C2_RABIT
OG0002943	sp|Q8BH35|CO8B_MOUSE	sp|P98137|CO8B_RABIT, tr|A0A5F9D9G2|A0A5F9D9G2_RABIT
OG0002944	sp|Q9CR63|COX16_MOUSE	tr|A0A5F9CBK6|A0A5F9CBK6_RABIT, tr|G1SVD7|G1SVD7_RABIT
OG0002945	sp|Q9QXD1|ACOX2_MOUSE	tr|G1SL72|G1SL72_RABIT, sp|O02767|ACOX2_RABIT
OG0002946	sp|Q9WVG9|MS3L1_MOUSE, tr|G3X992|G3X992_MOUSE	tr|A0A5F9C0Q1|A0A5F9C0Q1_RABIT
OG0002947	sp|P84096|RHOG_MOUSE	tr|G1TE13|G1TE13_RABIT, tr|A0A5F9D5I5|A0A5F9D5I5_RABIT
OG0002948	sp|Q5XFZ0|CR021_MOUSE	tr|G1TGD7|G1TGD7_RABIT, tr|A0A5F9CFT6|A0A5F9CFT6_RABIT
OG0002949	sp|Q6ZPG2|WDR90_MOUSE, sp|Q5F201|CFA52_MOUSE	tr|G1T9H9|G1T9H9_RABIT
OG0002950	sp|Q7TQB0|TR134_MOUSE, sp|Q7TQB9|TR143_MOUSE	tr|A0A5F9CTS2|A0A5F9CTS2_RABIT
OG0002951	tr|Q7TRZ7|Q7TRZ7_MOUSE	tr|G1TCJ0|G1TCJ0_RABIT, tr|A0A5F9CEW4|A0A5F9CEW4_RABIT
OG0002952	sp|Q8BPC6|IDHG2_MOUSE, sp|P70404|IDHG1_MOUSE	tr|A0A5F9CYA2|A0A5F9CYA2_RABIT
OG0002953	sp|Q8K2I1|FNTB_MOUSE	tr|G1U6L5|G1U6L5_RABIT, tr|G1T7D9|G1T7D9_RABIT
OG0002954	sp|Q8R2N0|TAP26_MOUSE	tr|A0A5F9C1K0|A0A5F9C1K0_RABIT, tr|G1TEH9|G1TEH9_RABIT
OG0002955	sp|Q9CQA0|CENPM_MOUSE	tr|G1SUS8|G1SUS8_RABIT, tr|A0A5F9DF26|A0A5F9DF26_RABIT
OG0002956	sp|Q9CR89|ERGI2_MOUSE	tr|A0A5F9CPH6|A0A5F9CPH6_RABIT, tr|G1TDB8|G1TDB8_RABIT
OG0002957	sp|Q9EPW4|CLC3A_MOUSE, sp|O88200|CLC11_MOUSE	tr|G1SGA6|G1SGA6_RABIT
OG0002958	sp|P39428|TRAF1_MOUSE, sp|P39429|TRAF2_MOUSE	tr|G1SPF0|G1SPF0_RABIT
OG0002959	sp|P86048|RL10L_MOUSE	tr|G1T9J0|G1T9J0_RABIT, tr|G1T117|G1T117_RABIT
OG0002960	sp|O08576|RUN3A_MOUSE, sp|Q6PDC0|RUN3B_MOUSE	tr|G1SR05|G1SR05_RABIT
OG0002961	sp|E9Q8T2|PRD15_MOUSE, sp|Q80V63|PRDM4_MOUSE	tr|B7NZN2|B7NZN2_RABIT
OG0002962	sp|Q99PN0|SC5A5_MOUSE, sp|Q8BYF6|SC5A8_MOUSE	tr|G1SJT8|G1SJT8_RABIT
OG0002963	sp|Q8K1B9|GLT18_MOUSE	tr|G1T8Z4|G1T8Z4_RABIT, tr|G1SXG0|G1SXG0_RABIT
OG0002964	sp|Q8VDS3|CBX7_MOUSE, sp|P30658|CBX2_MOUSE	tr|G1TQN2|G1TQN2_RABIT
OG0002965	sp|Q9DCG6|PBLD1_MOUSE, sp|Q9CXN7|PBLD2_MOUSE	tr|A0A5F9CBB2|A0A5F9CBB2_RABIT
OG0002966	sp|P0C1P0|PIGY_MOUSE	tr|A0A5F9CPZ6|A0A5F9CPZ6_RABIT, tr|A0A5F9CAX3|A0A5F9CAX3_RABIT
OG0002967	sp|P12968|IAPP_MOUSE	sp|Q07334|IAPP_RABIT, tr|G1SIN8|G1SIN8_RABIT
OG0002968	sp|P14847|CRP_MOUSE	sp|P02742|CRP_RABIT, tr|G1SMC0|G1SMC0_RABIT
OG0002969	sp|P25688|URIC_MOUSE	sp|P11645|URIC_RABIT, tr|A0A5F9DVI6|A0A5F9DVI6_RABIT
OG0002970	sp|Q00609|CD80_MOUSE	tr|G1SXC4|G1SXC4_RABIT, sp|P42070|CD80_RABIT
OG0002971	sp|Q5DTZ6|RN150_MOUSE, sp|Q8VEM1|GOLI_MOUSE	tr|G1T5F9|G1T5F9_RABIT
OG0002972	sp|Q9D489|SOLH2_MOUSE, sp|Q6IUP1|SOLH1_MOUSE	tr|G1TEK6|G1TEK6_RABIT
OG0002973	sp|Q9DAA6|EXOS1_MOUSE	tr|A0A5F9DGN3|A0A5F9DGN3_RABIT, tr|G1T271|G1T271_RABIT
OG0002974	sp|Q62351|TFR1_MOUSE, sp|Q9JKX3|TFR2_MOUSE	tr|G1TCW1|G1TCW1_RABIT
OG0002975	sp|Q9R0R1|TRFM_MOUSE	sp|O97490|TRFM_RABIT, tr|G1T5G0|G1T5G0_RABIT
OG0002976	sp|Q9Z0G4|CCN5_MOUSE, sp|P29268|CCN2_MOUSE	tr|G1SIE6|G1SIE6_RABIT
OG0002977	sp|Q99JP6|HOME3_MOUSE, sp|Q9Z2Y3|HOME1_MOUSE	tr|G1SXP5|G1SXP5_RABIT
OG0002978	sp|Q70E20|SNED1_MOUSE, sp|O08523|TECTA_MOUSE	tr|G1SF33|G1SF33_RABIT
OG0002979	sp|Q01237|HMDH_MOUSE	sp|Q29512|HMDH_RABIT, tr|G1TDP2|G1TDP2_RABIT
OG0002980	sp|Q08460|KCMA1_MOUSE	sp|Q9BG98|KCMA1_RABIT, tr|A0A5F9DMI8|A0A5F9DMI8_RABIT
OG0002981	tr|Q7TR53|Q7TR53_MOUSE, tr|Q7TR54|Q7TR54_MOUSE	tr|G1U3F6|G1U3F6_RABIT
OG0002982	sp|Q8VC33|NXNL1_MOUSE, sp|Q9D531|NXNL2_MOUSE	tr|G1TU74|G1TU74_RABIT
OG0002983	sp|Q9D563|TM114_MOUSE, sp|B1AQL3|TM235_MOUSE	tr|G1TSN8|G1TSN8_RABIT
OG0002984	sp|Q14BJ1|FA89A_MOUSE, sp|Q9QUI1|LRA25_MOUSE	tr|G1U7G3|G1U7G3_RABIT
OG0002985	sp|Q9WUG6|INSL5_MOUSE, sp|O09107|INSL3_MOUSE	tr|B1AAP9|B1AAP9_RABIT
OG0002986	sp|P58771|TPM1_MOUSE	tr|A0A5F9CXV7|A0A5F9CXV7_RABIT, sp|P58772|TPM1_RABIT
OG0002987	sp|Q7TSK7|ATL2_MOUSE	tr|A0A5F9C8C3|A0A5F9C8C3_RABIT, tr|A0A5F9D3H7|A0A5F9D3H7_RABIT
OG0002988	sp|Q9QY93|DCTP1_MOUSE	tr|A0A5F9D0D7|A0A5F9D0D7_RABIT, tr|G1SYJ8|G1SYJ8_RABIT
OG0002989	sp|A8Y5H7|S14L1_MOUSE, tr|B2RXM5|B2RXM5_MOUSE	tr|A0A5F9DLA1|A0A5F9DLA1_RABIT
OG0002990	tr|E9Q6D8|E9Q6D8_MOUSE, tr|D3YXF5|D3YXF5_MOUSE	tr|A0A5F9DR45|A0A5F9DR45_RABIT
OG0002991	sp|P30204|MSRE_MOUSE	tr|G1TSU0|G1TSU0_RABIT, sp|Q05585|MSRE_RABIT
OG0002992	sp|P56481|GASR_MOUSE	tr|G1STT9|G1STT9_RABIT, sp|P46627|GASR_RABIT
OG0002993	sp|Q64385|I11RA_MOUSE, sp|P70225|I11RB_MOUSE	tr|G1TR88|G1TR88_RABIT
OG0002994	sp|Q78HU3|MB12A_MOUSE, sp|Q6KAU4|MB12B_MOUSE	tr|G1T771|G1T771_RABIT
OG0002995	sp|Q7TND5|RPF1_MOUSE	tr|G1T849|G1T849_RABIT, tr|A0A5F9DSV6|A0A5F9DSV6_RABIT
OG0002996	sp|Q6P9K8|CSKI1_MOUSE, sp|Q8VHK1|CSKI2_MOUSE	tr|G1T246|G1T246_RABIT
OG0002997	sp|Q9WV03|FA50A_MOUSE, sp|Q9WTJ8|FA50B_MOUSE	tr|G1TE45|G1TE45_RABIT
OG0002998	sp|O09010|LFNG_MOUSE, sp|O09009|RFNG_MOUSE	tr|A0A5F9DR28|A0A5F9DR28_RABIT
OG0002999	sp|O35887|CALU_MOUSE	sp|Q6XLQ7|CALU_RABIT, tr|A0A5F9DCR4|A0A5F9DCR4_RABIT
OG0003000	sp|P27664|PDE6A_MOUSE, sp|P23440|PDE6B_MOUSE	tr|G1T694|G1T694_RABIT
OG0003001	sp|P54285|CACB3_MOUSE	sp|P54286|CACB3_RABIT, tr|G1SSZ4|G1SSZ4_RABIT
OG0003002	sp|Q60961|LAP4A_MOUSE, sp|Q61168|LAPM5_MOUSE	tr|G1TL87|G1TL87_RABIT
OG0003003	sp|Q62137|JAK3_MOUSE, sp|Q62120|JAK2_MOUSE	tr|G1TCI4|G1TCI4_RABIT
OG0003004	sp|Q6PCN7|HLTF_MOUSE	tr|A0A5F9DPH5|A0A5F9DPH5_RABIT, sp|Q95216|HLTF_RABIT
OG0003005	sp|Q80SU7|GVIN1_MOUSE	tr|G1TT67|G1TT67_RABIT, tr|G1TCE1|G1TCE1_RABIT
OG0003006	sp|Q8K1A6|C2D1A_MOUSE, sp|Q8BRN9|C2D1B_MOUSE	tr|G1SEF2|G1SEF2_RABIT
OG0003007	tr|Q8VGD7|Q8VGD7_MOUSE	tr|G1TS65|G1TS65_RABIT, tr|G1TRN8|G1TRN8_RABIT
OG0003008	sp|Q99PN3|TRI26_MOUSE	tr|G1TFH9|G1TFH9_RABIT, tr|G1TA05|G1TA05_RABIT
OG0003009	tr|Q9DAJ7|Q9DAJ7_MOUSE, sp|Q9JKL5|CHP3_MOUSE	tr|A0A5F9DCP1|A0A5F9DCP1_RABIT
OG0003010	sp|Q05685|FOLR2_MOUSE, sp|P35846|FOLR1_MOUSE	tr|A0A5F9DDF8|A0A5F9DDF8_RABIT
OG0003011	sp|P35951|LDLR_MOUSE	sp|P20063|LDLR_RABIT, tr|G1SDS2|G1SDS2_RABIT
OG0003012	sp|P50285|FMO1_MOUSE	tr|G1TNL3|G1TNL3_RABIT, sp|P17636|FMO1_RABIT
OG0003013	sp|Q3TT99|GDPD4_MOUSE	tr|U3KMX9|U3KMX9_RABIT, tr|G1SSI1|G1SSI1_RABIT
OG0003014	sp|Q99K24|S39A3_MOUSE, sp|Q9QZ03|S39A1_MOUSE	tr|G1TSX2|G1TSX2_RABIT
OG0003015	tr|E9Q492|E9Q492_MOUSE	tr|G1TEV3|G1TEV3_RABIT, tr|G1U4J0|G1U4J0_RABIT
OG0003016	sp|A0A088MLT8|IQIP1_MOUSE, sp|P0DPB4|SCHI1_MOUSE	tr|A0A5F9DJH9|A0A5F9DJH9_RABIT
OG0003017	sp|P32067|LA_MOUSE	tr|G1SZ76|G1SZ76_RABIT, sp|Q04504|LA_RABIT
OG0003018	sp|Q8VCU1|EST3B_MOUSE, sp|Q63880|EST3A_MOUSE	tr|G1SNB1|G1SNB1_RABIT
OG0003019	sp|P58501|PAXB1_MOUSE, sp|Q8BKT3|GCFC2_MOUSE	tr|G1SFZ5|G1SFZ5_RABIT
OG0003020	tr|Q14B01|Q14B01_MOUSE, tr|Q8R3P8|Q8R3P8_MOUSE	tr|G1TK23|G1TK23_RABIT
OG0003021	sp|Q9D1C3|PREY_MOUSE	tr|G1SLM9|G1SLM9_RABIT, tr|G1TAG3|G1TAG3_RABIT
OG0003022	sp|Q9D938|TM160_MOUSE	tr|G1TQ39|G1TQ39_RABIT, tr|A0A5F9CH40|A0A5F9CH40_RABIT
OG0003023	sp|Q9JJY3|NSMA2_MOUSE, sp|D6MZJ6|NSMA5_MOUSE	tr|G1T1N8|G1T1N8_RABIT
OG0003024	sp|Q9JHG2|RCAN2_MOUSE, sp|Q9JKK0|RCAN3_MOUSE	tr|G1TRD0|G1TRD0_RABIT
OG0003025	tr|E9Q518|E9Q518_MOUSE, tr|E9Q519|E9Q519_MOUSE	tr|G1U8L1|G1U8L1_RABIT
OG0003026	sp|P34984|OLF13_MOUSE, tr|Q8VGP6|Q8VGP6_MOUSE	tr|G1TQH4|G1TQH4_RABIT
OG0003027	sp|Q8VDR7|TGDS_MOUSE, sp|P23591|FCL_MOUSE	tr|G1SYY5|G1SYY5_RABIT
OG0003028	sp|P48302|EDNRB_MOUSE	tr|D6CI21|D6CI21_RABIT, sp|Q9N0W7|EDNRB_RABIT
OG0003029	sp|Q60670|SIK1_MOUSE, sp|Q8CFH6|SIK2_MOUSE	tr|G1T4C5|G1T4C5_RABIT
OG0003030	sp|Q9CY62|RN181_MOUSE	tr|G1U984|G1U984_RABIT, tr|G1SU52|G1SU52_RABIT
OG0003031	sp|P10400|POL1_MOUSE	tr|A0A5F9DDZ4|A0A5F9DDZ4_RABIT, tr|A0A5F9D2T5|A0A5F9D2T5_RABIT
OG0003032	sp|P34960|MMP12_MOUSE	sp|P79227|MMP12_RABIT, tr|G1SUW9|G1SUW9_RABIT
OG0003033	sp|Q9DAD6|PROF3_MOUSE, sp|P62962|PROF1_MOUSE	tr|G1SER8|G1SER8_RABIT
OG0003034	sp|Q6X7S9|EID2_MOUSE, tr|E9Q2Y0|E9Q2Y0_MOUSE	tr|G1TJL1|G1TJL1_RABIT
OG0003035	sp|Q80Y14|GLRX5_MOUSE	tr|G1T3R1|G1T3R1_RABIT, tr|A0A5F9CR19|A0A5F9CR19_RABIT
OG0003036	sp|Q8BG94|COMD7_MOUSE, sp|Q9CQ02|COMD4_MOUSE	tr|G1T773|G1T773_RABIT
OG0003037	sp|Q9ERV7|PIDD1_MOUSE, sp|Q8C8R3|ANK2_MOUSE	tr|A0A5F9CNS6|A0A5F9CNS6_RABIT
