Orthogroup	Mus_musculus	Microtus_ochrogaster
OG0000817	sp|O55225|OTOG_MOUSE	tr|A0A8J6G3I0|A0A8J6G3I0_MICOH
OG0000817	sp|F7A4A7|OTOGL_MOUSE	tr|A0A8J6KR37|A0A8J6KR37_MICOH, tr|A0A8J6GFW0|A0A8J6GFW0_MICOH
OG0000819	sp|P70392|RGRF2_MOUSE	tr|A0A8J6G753|A0A8J6G753_MICOH
OG0000819	sp|P27671|RGRF1_MOUSE	tr|A0A8J6KYC4|A0A8J6KYC4_MICOH, tr|A0A8J6GHV0|A0A8J6GHV0_MICOH
OG0000820	sp|P08032|SPTA1_MOUSE	tr|A0A8J6GRN0|A0A8J6GRN0_MICOH
OG0000820	sp|P16546|SPTN1_MOUSE	tr|A0A8J6FWA4|A0A8J6FWA4_MICOH, tr|A0A8J6G6F0|A0A8J6G6F0_MICOH
OG0000821	tr|Q3U4B1|Q3U4B1_MOUSE	tr|A0A8J6GCS5|A0A8J6GCS5_MICOH
OG0000821	sp|Q9CYZ8|SSBP2_MOUSE, sp|Q9D032|SSBP3_MOUSE	tr|A0A8J6GZH0|A0A8J6GZH0_MICOH
OG0000822	tr|Q8VGX7|Q8VGX7_MOUSE	tr|A0A8J6KV59|A0A8J6KV59_MICOH
OG0000822	tr|Q8VH14|Q8VH14_MOUSE	tr|A0A8J6KY42|A0A8J6KY42_MICOH, tr|A0A8J6GRF1|A0A8J6GRF1_MICOH
OG0000823	sp|P09405|NUCL_MOUSE	tr|A0A8J6GIY9|A0A8J6GIY9_MICOH, tr|A0A8J6G205|A0A8J6G205_MICOH, tr|A0A8J6G593|A0A8J6G593_MICOH, tr|A0A8J6G463|A0A8J6G463_MICOH
OG0000824	sp|Q6NZJ6|IF4G1_MOUSE	tr|A0A8J6GFT5|A0A8J6GFT5_MICOH
OG0000824	sp|Q80XI3|IF4G3_MOUSE	tr|A0A8J6GTM2|A0A8J6GTM2_MICOH, tr|A0A8J6G178|A0A8J6G178_MICOH
OG0000825	sp|Q9QUM9|PSA6_MOUSE	tr|A0A8J6L0T5|A0A8J6L0T5_MICOH, tr|A0A8J6GWR5|A0A8J6GWR5_MICOH, tr|A0A8J6GIG2|A0A8J6GIG2_MICOH, tr|A0A8J6KMC0|A0A8J6KMC0_MICOH
OG0000826	sp|Q91WJ8|FUBP1_MOUSE	tr|A0A8J6GIR6|A0A8J6GIR6_MICOH, tr|A0A8J6GNT3|A0A8J6GNT3_MICOH
OG0000826	sp|Q3U0V1|FUBP2_MOUSE	tr|A0A8J6GUM2|A0A8J6GUM2_MICOH
OG0000827	tr|D3Z6P9|D3Z6P9_MOUSE	tr|A0A8J6L3W3|A0A8J6L3W3_MICOH
OG0000827	sp|Q61656|DDX5_MOUSE, sp|Q501J6|DDX17_MOUSE	tr|A0A8J6GXT5|A0A8J6GXT5_MICOH
OG0000828	sp|D3Z7P3|GLSK_MOUSE	tr|A0A8J6KVI0|A0A8J6KVI0_MICOH
OG0000828	sp|Q571F8|GLSL_MOUSE	tr|A0A8J6KKV7|A0A8J6KKV7_MICOH, tr|A0A8J6G8D7|A0A8J6G8D7_MICOH
OG0000829	tr|Q8VF87|Q8VF87_MOUSE	tr|A0A8J6GLS1|A0A8J6GLS1_MICOH, tr|A0A8J6GLP7|A0A8J6GLP7_MICOH
OG0000829	tr|Q8VFA2|Q8VFA2_MOUSE	tr|A0A8J6KQ20|A0A8J6KQ20_MICOH
OG0000830	sp|Q8C0V7|SMKW_MOUSE	tr|A0A8J6KWK1|A0A8J6KWK1_MICOH, tr|A0A8J6FWT1|A0A8J6FWT1_MICOH, tr|A0A8J6L3P6|A0A8J6L3P6_MICOH, tr|A0A8J6G9F9|A0A8J6G9F9_MICOH
OG0000832	sp|Q9QX29|TRPC5_MOUSE	tr|A0A8J6L2P3|A0A8J6L2P3_MICOH
OG0000832	sp|Q9QUQ5|TRPC4_MOUSE	tr|A0A8J6L808|A0A8J6L808_MICOH, tr|A0A8J6G4E5|A0A8J6G4E5_MICOH
OG0000833	tr|Q8CCA5|Q8CCA5_MOUSE, tr|E9PUZ0|E9PUZ0_MOUSE, tr|E9PZG0|E9PZG0_MOUSE, tr|G3X9K7|G3X9K7_MOUSE	tr|A0A8J6L8I9|A0A8J6L8I9_MICOH
OG0000834	sp|P50396|GDIA_MOUSE	tr|A0A8J6KXP0|A0A8J6KXP0_MICOH, tr|A0A8J6FZ83|A0A8J6FZ83_MICOH
OG0000834	sp|Q61598|GDIB_MOUSE	tr|A0A8J6KXQ4|A0A8J6KXQ4_MICOH
OG0000835	sp|O35219|KCNH2_MOUSE	tr|A0A8J6H0G4|A0A8J6H0G4_MICOH
OG0000835	tr|Q32ME0|Q32ME0_MOUSE	tr|A0A8J6G3N1|A0A8J6G3N1_MICOH, tr|A0A8J6GJR1|A0A8J6GJR1_MICOH
OG0000836	sp|Q6P8I4|PCNP_MOUSE	tr|A0A8J6GC22|A0A8J6GC22_MICOH, tr|A0A8J6GSX9|A0A8J6GSX9_MICOH, tr|A0A8J6GVY4|A0A8J6GVY4_MICOH, tr|A0A8J6KRH5|A0A8J6KRH5_MICOH
OG0000838	tr|Q8BIV1|Q8BIV1_MOUSE	tr|A0A8J6L2I1|A0A8J6L2I1_MICOH
OG0000838	tr|Q5PPQ4|Q5PPQ4_MOUSE, tr|Q80V81|Q80V81_MOUSE	tr|A0A8J6GX11|A0A8J6GX11_MICOH
OG0000839	tr|Q8VG86|Q8VG86_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q7TR17|Q7TR17_MOUSE	tr|A0A8J6G3Q0|A0A8J6G3Q0_MICOH, tr|A0A8J6G1X1|A0A8J6G1X1_MICOH
OG0000840	sp|Q9Z1B3|PLCB1_MOUSE	tr|A0A8J6GIV2|A0A8J6GIV2_MICOH
OG0000840	sp|P51432|PLCB3_MOUSE	tr|A0A8J6KSV1|A0A8J6KSV1_MICOH, tr|A0A8J6KQS2|A0A8J6KQS2_MICOH
OG0000841	sp|Q8BPQ7|SGSM1_MOUSE	tr|A0A8J6GU89|A0A8J6GU89_MICOH
OG0000841	sp|Q80U12|SGSM2_MOUSE	tr|A0A8J6GU10|A0A8J6GU10_MICOH, tr|A0A8J6KSW8|A0A8J6KSW8_MICOH
OG0000842	sp|Q8BGS1|E41L5_MOUSE	tr|A0A8J6KKJ1|A0A8J6KKJ1_MICOH
OG0000842	sp|Q9JMC8|E41LB_MOUSE	tr|A0A8J6G5R1|A0A8J6G5R1_MICOH, tr|A0A8J6GVN7|A0A8J6GVN7_MICOH
OG0000843	sp|A2BE28|LAS1L_MOUSE	tr|A0A8J6KM27|A0A8J6KM27_MICOH, tr|A0A8J6GGB2|A0A8J6GGB2_MICOH, tr|A0A8J6GHU8|A0A8J6GHU8_MICOH, tr|A0A8J6G9C7|A0A8J6G9C7_MICOH
OG0000844	sp|O88508|DNM3A_MOUSE	tr|A0A8J6GKG3|A0A8J6GKG3_MICOH
OG0000844	sp|P0DOY1|DNM3C_MOUSE, sp|O88509|DNM3B_MOUSE	tr|A0A8J6GGB1|A0A8J6GGB1_MICOH
OG0000845	sp|Q8C3F2|F120C_MOUSE	tr|A0A8J6L5W0|A0A8J6L5W0_MICOH
OG0000845	sp|Q6A0A9|F120A_MOUSE	tr|A0A8J6GTK8|A0A8J6GTK8_MICOH, tr|A0A8J6KXB1|A0A8J6KXB1_MICOH
OG0000846	sp|P47856|GFPT1_MOUSE	tr|A0A8J6GGH6|A0A8J6GGH6_MICOH
OG0000846	sp|Q9Z2Z9|GFPT2_MOUSE	tr|A0A8J6L7A8|A0A8J6L7A8_MICOH, tr|A0A8J6GFG1|A0A8J6GFG1_MICOH
OG0000847	sp|B1AWN4|AT10B_MOUSE	tr|A0A8J6L0T8|A0A8J6L0T8_MICOH
OG0000847	sp|Q8K2X1|AT10D_MOUSE	tr|A0A8J6KJD2|A0A8J6KJD2_MICOH, tr|A0A8J6H256|A0A8J6H256_MICOH
OG0000848	tr|Q8VEV5|Q8VEV5_MOUSE, tr|Q8VFU6|Q8VFU6_MOUSE, tr|Q8VFU7|Q8VFU7_MOUSE	tr|A0A8J6KSU5|A0A8J6KSU5_MICOH, tr|A0A8J6KKX8|A0A8J6KKX8_MICOH
OG0000849	sp|O88343|S4A4_MOUSE	tr|A0A8J6GBX6|A0A8J6GBX6_MICOH
OG0000849	sp|E9Q3M5|S4A5_MOUSE	tr|A0A8J6L0Y5|A0A8J6L0Y5_MICOH, tr|A0A8J6L0Z4|A0A8J6L0Z4_MICOH
OG0000850	sp|Q8BKC5|IPO5_MOUSE	tr|A0A8J6FXA5|A0A8J6FXA5_MICOH
OG0000850	sp|Q8BIV3|RNBP6_MOUSE	tr|A0A8J6GUM1|A0A8J6GUM1_MICOH, tr|A0A8J6H2P0|A0A8J6H2P0_MICOH
OG0000851	sp|Q66JT0|WEE2_MOUSE	tr|A0A8J6GVT7|A0A8J6GVT7_MICOH, tr|A0A8J6GN48|A0A8J6GN48_MICOH
OG0000851	sp|Q9CYR0|SSBP_MOUSE	tr|A0A8J6KTV5|A0A8J6KTV5_MICOH
OG0000852	tr|E9Q4D1|E9Q4D1_MOUSE	tr|A0A8J6FY33|A0A8J6FY33_MICOH
OG0000852	sp|P59509|ATS19_MOUSE	tr|A0A8J6L356|A0A8J6L356_MICOH, tr|A0A8J6L0E6|A0A8J6L0E6_MICOH
OG0000853	sp|Q5U4E0|LHPL4_MOUSE, sp|Q9CTN8|LHPL3_MOUSE	tr|A0A8J6L9B7|A0A8J6L9B7_MICOH, tr|A0A8J6GD83|A0A8J6GD83_MICOH, tr|A0A8J6KW65|A0A8J6KW65_MICOH
OG0000854	sp|P31786|ACBP_MOUSE	tr|A0A8J6FW90|A0A8J6FW90_MICOH
OG0000854	sp|Q9D258|ACBD7_MOUSE, sp|Q9D061|ACBD6_MOUSE	tr|A0A8J6KNV6|A0A8J6KNV6_MICOH
OG0000856	sp|Q8CHC8|ADNP2_MOUSE	tr|A0A8J6KM53|A0A8J6KM53_MICOH, tr|A0A8J6KWJ6|A0A8J6KWJ6_MICOH, tr|A0A8J6GY58|A0A8J6GY58_MICOH, tr|A0A8J6KM62|A0A8J6KM62_MICOH
OG0000857	sp|P86048|RL10L_MOUSE	tr|A0A8J6L1G5|A0A8J6L1G5_MICOH
OG0000857	sp|Q6ZWV3|RL10_MOUSE	tr|A0A8J6G9L3|A0A8J6G9L3_MICOH, tr|A0A8J6G4D3|A0A8J6G4D3_MICOH
OG0000858	tr|Q8VF75|Q8VF75_MOUSE	tr|A0A8J6GCB0|A0A8J6GCB0_MICOH
OG0000858	tr|Q8VF74|Q8VF74_MOUSE, tr|Q8VF73|Q8VF73_MOUSE	tr|A0A8J6G9B1|A0A8J6G9B1_MICOH
OG0000859	tr|B1ARL3|B1ARL3_MOUSE, tr|Q7TRX0|Q7TRX0_MOUSE	tr|A0A8J6L1F9|A0A8J6L1F9_MICOH, tr|A0A8J6GTC9|A0A8J6GTC9_MICOH, tr|A0A8J6GDT7|A0A8J6GDT7_MICOH
OG0000860	sp|P12242|UCP1_MOUSE, sp|P56501|UCP3_MOUSE, sp|P70406|UCP2_MOUSE	tr|A0A8J6GJZ4|A0A8J6GJZ4_MICOH, tr|A0A8J6KYK0|A0A8J6KYK0_MICOH
OG0000861	sp|A2CG49|KALRN_MOUSE	tr|A0A8J6G689|A0A8J6G689_MICOH
OG0000861	sp|Q0KL02|TRIO_MOUSE	tr|A0A8J6KZ77|A0A8J6KZ77_MICOH, tr|A0A8J6KMX4|A0A8J6KMX4_MICOH
OG0000862	sp|Q61655|DD19A_MOUSE	tr|A0A8J6GMV2|A0A8J6GMV2_MICOH
OG0000862	tr|Q8BZY3|Q8BZY3_MOUSE	tr|A0A8J6KXU7|A0A8J6KXU7_MICOH, tr|A0A8J6G5W0|A0A8J6G5W0_MICOH
OG0000863	sp|P23359|BMP7_MOUSE	tr|A0A8J6KSQ7|A0A8J6KSQ7_MICOH
OG0000863	sp|P20722|BMP6_MOUSE, sp|P49003|BMP5_MOUSE	tr|A0A8J6GRD1|A0A8J6GRD1_MICOH
OG0000864	sp|Q99MK8|ARBK1_MOUSE	tr|A0A8J6G833|A0A8J6G833_MICOH
OG0000864	sp|Q3UYH7|ARBK2_MOUSE	tr|A0A8J6GLN4|A0A8J6GLN4_MICOH, tr|A0A8J6GU21|A0A8J6GU21_MICOH
OG0000865	sp|Q99MI1|RB6I2_MOUSE	tr|A0A8J6GKF3|A0A8J6GKF3_MICOH
OG0000865	sp|Q6PH08|ERC2_MOUSE	tr|A0A8J6GQ01|A0A8J6GQ01_MICOH, tr|A0A8J6L5N2|A0A8J6L5N2_MICOH
OG0000866	tr|G5E8C2|G5E8C2_MOUSE, tr|E9PYD7|E9PYD7_MOUSE	tr|A0A8J6H0U2|A0A8J6H0U2_MICOH, tr|A0A8J6KR62|A0A8J6KR62_MICOH, tr|A0A8J6G4P7|A0A8J6G4P7_MICOH
OG0000868	tr|Q8VGS2|Q8VGS2_MOUSE	tr|A0A8J6KX69|A0A8J6KX69_MICOH
OG0000868	tr|A2ARZ0|A2ARZ0_MOUSE, tr|Q7TR76|Q7TR76_MOUSE	tr|A0A8J6KX76|A0A8J6KX76_MICOH
OG0000869	sp|P98083|SHC1_MOUSE	tr|A0A8J6L0D8|A0A8J6L0D8_MICOH, tr|A0A8J6KLS6|A0A8J6KLS6_MICOH, tr|A0A8J6GJU9|A0A8J6GJU9_MICOH, tr|A0A8J6KKU2|A0A8J6KKU2_MICOH
OG0000870	tr|Q7TNL5|Q7TNL5_MOUSE	tr|A0A8J6GX43|A0A8J6GX43_MICOH
OG0000870	sp|Q60996|2A5G_MOUSE	tr|A0A8J6G8H6|A0A8J6G8H6_MICOH, tr|A0A8J6FYL9|A0A8J6FYL9_MICOH
OG0000871	sp|Q60597|ODO1_MOUSE	tr|A0A8J6L0V8|A0A8J6L0V8_MICOH
OG0000871	tr|E9Q7L0|E9Q7L0_MOUSE	tr|A0A8J6KTZ8|A0A8J6KTZ8_MICOH, tr|A0A8J6L177|A0A8J6L177_MICOH
OG0000872	sp|P70453|PDE7A_MOUSE	tr|A0A8J6H4J7|A0A8J6H4J7_MICOH
OG0000872	sp|Q9QXQ1|PDE7B_MOUSE	tr|A0A8J6GNW2|A0A8J6GNW2_MICOH, tr|A0A8J6GJV5|A0A8J6GJV5_MICOH
OG0000873	sp|P49698|HNF4A_MOUSE	tr|A0A8J6KJQ5|A0A8J6KJQ5_MICOH
OG0000873	sp|Q9WUU6|HNF4G_MOUSE	tr|A0A8J6GQK9|A0A8J6GQK9_MICOH, tr|A0A8J6G2C9|A0A8J6G2C9_MICOH
OG0000874	tr|Q80VE5|Q80VE5_MOUSE	tr|A0A8J6GWJ5|A0A8J6GWJ5_MICOH
OG0000874	sp|Q8R5A6|TB22A_MOUSE	tr|A0A8J6GVQ4|A0A8J6GVQ4_MICOH, tr|A0A8J6H2H1|A0A8J6H2H1_MICOH
OG0000875	sp|P35585|AP1M1_MOUSE	tr|A0A8J6G5X1|A0A8J6G5X1_MICOH
OG0000875	sp|Q9WVP1|AP1M2_MOUSE	tr|A0A8J6GJA2|A0A8J6GJA2_MICOH, tr|A0A8J6H2N0|A0A8J6H2N0_MICOH
OG0000877	tr|Q7TS53|Q7TS53_MOUSE, tr|G5E8J1|G5E8J1_MOUSE, tr|Q8VGL6|Q8VGL6_MOUSE	tr|A0A8J6GLL2|A0A8J6GLL2_MICOH, tr|A0A8J6GKK1|A0A8J6GKK1_MICOH
OG0000878	sp|O54788|DFFB_MOUSE	tr|A0A8J6GPC8|A0A8J6GPC8_MICOH, tr|A0A8J6L2R8|A0A8J6L2R8_MICOH, tr|A0A8J6GPD6|A0A8J6GPD6_MICOH, tr|A0A8J6GSU3|A0A8J6GSU3_MICOH
OG0000879	sp|Q8VCD6|REEP2_MOUSE, sp|Q8BGH4|REEP1_MOUSE, sp|Q8K072|REEP4_MOUSE, sp|Q99KK1|REEP3_MOUSE	tr|A0A8J6GN91|A0A8J6GN91_MICOH
OG0000880	sp|O08650|HYAS3_MOUSE	tr|A0A8J6GLC5|A0A8J6GLC5_MICOH
OG0000880	sp|P70312|HYAS2_MOUSE	tr|A0A8J6GFT9|A0A8J6GFT9_MICOH, tr|A0A8J6GEQ2|A0A8J6GEQ2_MICOH
OG0000881	sp|Q9Z1K8|YLAT1_MOUSE	tr|A0A8J6KZS0|A0A8J6KZS0_MICOH
OG0000881	sp|Q9Z127|LAT1_MOUSE, sp|Q8BGK6|YLAT2_MOUSE	tr|A0A8J6KVS6|A0A8J6KVS6_MICOH
OG0000882	tr|E9PXH6|E9PXH6_MOUSE, tr|E9Q438|E9Q438_MOUSE, tr|E9Q9Z0|E9Q9Z0_MOUSE, tr|E9Q840|E9Q840_MOUSE	tr|A0A8J6L1H9|A0A8J6L1H9_MICOH
OG0000883	sp|Q66X22|NLR9B_MOUSE, sp|Q66X03|NLR9A_MOUSE, sp|Q66X01|NLR9C_MOUSE	tr|A0A8J6L7H3|A0A8J6L7H3_MICOH, tr|A0A8J6GER4|A0A8J6GER4_MICOH
OG0000884	sp|O70372|TERT_MOUSE	tr|A0A8J6H320|A0A8J6H320_MICOH, tr|A0A8J6H199|A0A8J6H199_MICOH, tr|A0A8J6FYI3|A0A8J6FYI3_MICOH, tr|A0A8J6G0J1|A0A8J6G0J1_MICOH
OG0000885	sp|P41251|NRAM1_MOUSE	tr|A0A8J6GM26|A0A8J6GM26_MICOH
OG0000885	sp|P49282|NRAM2_MOUSE	tr|A0A8J6GAD7|A0A8J6GAD7_MICOH, tr|A0A8J6KSH7|A0A8J6KSH7_MICOH
OG0000886	tr|Q3V0U0|Q3V0U0_MOUSE, sp|Q9DCW2|PLS2_MOUSE, sp|Q9JJ00|PLS1_MOUSE, tr|J3QM92|J3QM92_MOUSE	tr|A0A8J6GMG9|A0A8J6GMG9_MICOH
OG0000888	sp|Q9QW08|PHOS_MOUSE	tr|A0A8J6G6Q5|A0A8J6G6Q5_MICOH, tr|A0A8J6G4U1|A0A8J6G4U1_MICOH, tr|A0A8J6G8U9|A0A8J6G8U9_MICOH, tr|A0A8J6L2Z5|A0A8J6L2Z5_MICOH
OG0000889	sp|P40142|TKT_MOUSE	tr|A0A8J6GT05|A0A8J6GT05_MICOH
OG0000889	sp|Q99MX0|TKTL1_MOUSE, sp|Q9D4D4|TKTL2_MOUSE	tr|A0A8J6G6W8|A0A8J6G6W8_MICOH
OG0000890	sp|Q6P9S7|GLT10_MOUSE	tr|A0A8J6GKS8|A0A8J6GKS8_MICOH
OG0000890	tr|E5D8G1|E5D8G1_MOUSE	tr|A0A8J6GWZ5|A0A8J6GWZ5_MICOH, tr|A0A8J6GUU7|A0A8J6GUU7_MICOH
OG0000891	sp|Q6VVW5|ANPRB_MOUSE	tr|A0A8J6KUV5|A0A8J6KUV5_MICOH
OG0000891	sp|Q6TL19|GUC2G_MOUSE, sp|P18293|ANPRA_MOUSE	tr|A0A8J6L0F2|A0A8J6L0F2_MICOH
OG0000892	sp|Q5RJF7|CA2D4_MOUSE	tr|A0A8J6GLL3|A0A8J6GLL3_MICOH
OG0000892	sp|Q9Z1L5|CA2D3_MOUSE	tr|A0A8J6L1A6|A0A8J6L1A6_MICOH, tr|A0A8J6KZI3|A0A8J6KZI3_MICOH
OG0000893	sp|P08071|TRFL_MOUSE	tr|A0A8J6G4H4|A0A8J6G4H4_MICOH
OG0000893	sp|Q9DBD0|ICA_MOUSE, sp|Q921I1|TRFE_MOUSE	tr|A0A8J6FVM2|A0A8J6FVM2_MICOH
OG0000894	sp|O88910|MPP3_MOUSE	tr|A0A8J6G451|A0A8J6G451_MICOH
OG0000894	sp|Q6P7F1|MPP4_MOUSE, sp|Q8BVD5|MPP7_MOUSE	tr|A0A8J6KKK1|A0A8J6KKK1_MICOH
OG0000895	sp|Q4VC17|ATS18_MOUSE	tr|A0A8J6L407|A0A8J6L407_MICOH
OG0000895	sp|Q69Z28|ATS16_MOUSE	tr|A0A8J6KU73|A0A8J6KU73_MICOH, tr|A0A8J6L5N3|A0A8J6L5N3_MICOH
OG0000896	sp|P83555|KI3L1_MOUSE, tr|Q673W2|Q673W2_MOUSE	tr|A0A8J6KQE3|A0A8J6KQE3_MICOH
OG0000896	sp|Q8C567|NCTR1_MOUSE	tr|A0A8J6G9Y2|A0A8J6G9Y2_MICOH
OG0000897	sp|P31649|S6A13_MOUSE	tr|A0A8J6GKV1|A0A8J6GKV1_MICOH
OG0000897	sp|P31650|S6A11_MOUSE, sp|P31651|S6A12_MOUSE	tr|A0A8J6GKH9|A0A8J6GKH9_MICOH
OG0000898	sp|P28334|5HT1B_MOUSE, sp|Q61224|5HT1D_MOUSE, sp|Q64264|5HT1A_MOUSE, sp|Q02284|5HT1F_MOUSE	tr|A0A8J6FWC9|A0A8J6FWC9_MICOH
OG0000899	sp|Q80SW1|SAHH2_MOUSE	tr|A0A8J6KJ31|A0A8J6KJ31_MICOH
OG0000899	sp|Q68FL4|SAHH3_MOUSE	tr|A0A8J6KUQ2|A0A8J6KUQ2_MICOH, tr|A0A8J6GCS7|A0A8J6GCS7_MICOH
OG0000900	sp|Q60960|IMA5_MOUSE	tr|A0A8J6G2K7|A0A8J6G2K7_MICOH
OG0000900	sp|O35345|IMA7_MOUSE	tr|A0A8J6L2U9|A0A8J6L2U9_MICOH, tr|A0A8J6KMV0|A0A8J6KMV0_MICOH
OG0000901	sp|Q8VEM8|MPCP_MOUSE	tr|A0A8J6FVL4|A0A8J6FVL4_MICOH, tr|A0A8J6G306|A0A8J6G306_MICOH, tr|A0A8J6KMS7|A0A8J6KMS7_MICOH, tr|A0A8J6FVL6|A0A8J6FVL6_MICOH
OG0000902	sp|Q91X34|BAAT_MOUSE	tr|A0A8J6G5K1|A0A8J6G5K1_MICOH
OG0000902	sp|A2AKK5|ACNT1_MOUSE, sp|Q8BGG9|ACNT2_MOUSE	tr|A0A8J6G2R6|A0A8J6G2R6_MICOH
OG0000903	sp|P47754|CAZA2_MOUSE	tr|A0A8J6GKD6|A0A8J6GKD6_MICOH
OG0000903	sp|P47753|CAZA1_MOUSE, tr|Q9CR52|Q9CR52_MOUSE	tr|A0A8J6GIF3|A0A8J6GIF3_MICOH
OG0000904	sp|Q6S5G4|CXA6_MOUSE	tr|A0A8J6KZD2|A0A8J6KZD2_MICOH
OG0000904	sp|Q01231|CXA5_MOUSE, sp|P23242|CXA1_MOUSE	tr|A0A8J6GBZ4|A0A8J6GBZ4_MICOH
OG0000905	sp|Q99L27|GMPR2_MOUSE	tr|A0A8J6KZR7|A0A8J6KZR7_MICOH
OG0000905	sp|Q9DCZ1|GMPR1_MOUSE, sp|Q8BM54|MYLIP_MOUSE	tr|A0A8J6KYB6|A0A8J6KYB6_MICOH
OG0000906	sp|Q9DBB4|NAA16_MOUSE	tr|A0A8J6FZH1|A0A8J6FZH1_MICOH, tr|A0A8J6H201|A0A8J6H201_MICOH
OG0000906	sp|Q80UM3|NAA15_MOUSE	tr|A0A8J6G7M1|A0A8J6G7M1_MICOH
OG0000907	sp|Q8R317|UBQL1_MOUSE	tr|A0A8J6KW42|A0A8J6KW42_MICOH
OG0000907	tr|Q9D4I8|Q9D4I8_MOUSE, sp|Q9QZM0|UBQL2_MOUSE	tr|A0A8J6GRL1|A0A8J6GRL1_MICOH
OG0000908	sp|Q9R1P1|PSB3_MOUSE	tr|A0A8J6KPK2|A0A8J6KPK2_MICOH, tr|A0A8J6GM48|A0A8J6GM48_MICOH, tr|A0A8J6KYA2|A0A8J6KYA2_MICOH, tr|A0A8J6KJ79|A0A8J6KJ79_MICOH
OG0000909	sp|Q8BLV3|SL9A7_MOUSE	tr|A0A8J6GDK9|A0A8J6GDK9_MICOH
OG0000909	sp|Q8BZ00|SL9A9_MOUSE, tr|A1L3P4|A1L3P4_MOUSE	tr|A0A8J6H015|A0A8J6H015_MICOH
OG0000910	sp|P11352|GPX1_MOUSE	tr|A0A8J6FVU1|A0A8J6FVU1_MICOH, tr|A0A8J6H2S5|A0A8J6H2S5_MICOH, tr|A0A8J6GPY4|A0A8J6GPY4_MICOH, tr|A0A8J6G748|A0A8J6G748_MICOH
OG0000911	sp|Q3UZZ6|ST1D1_MOUSE	tr|A0A8J6GBJ9|A0A8J6GBJ9_MICOH
OG0000911	sp|P49891|ST1E1_MOUSE, sp|Q9QWG7|ST1B1_MOUSE	tr|A0A8J6GBY5|A0A8J6GBY5_MICOH
OG0000913	sp|P63087|PP1G_MOUSE	tr|A0A8J6KM66|A0A8J6KM66_MICOH
OG0000913	sp|P62141|PP1B_MOUSE, sp|P62137|PP1A_MOUSE	tr|A0A8J6GB13|A0A8J6GB13_MICOH
OG0000914	tr|G5E8G3|G5E8G3_MOUSE	tr|A0A8J6GTE7|A0A8J6GTE7_MICOH
OG0000914	sp|Q99PJ0|NTRI_MOUSE	tr|A0A8J6GVG3|A0A8J6GVG3_MICOH, tr|A0A8J6GSK1|A0A8J6GSK1_MICOH
OG0000916	sp|Q8BST6|PELI2_MOUSE	tr|A0A8J6KRN2|A0A8J6KRN2_MICOH
OG0000916	sp|Q8BXR6|PELI3_MOUSE, sp|Q8C669|PELI1_MOUSE	tr|A0A8J6L5E1|A0A8J6L5E1_MICOH
OG0000917	tr|Q8CBC7|Q8CBC7_MOUSE	tr|A0A8J6KUI9|A0A8J6KUI9_MICOH, tr|A0A8J6L469|A0A8J6L469_MICOH, tr|A0A8J6LAS9|A0A8J6LAS9_MICOH, tr|A0A8J6GMR9|A0A8J6GMR9_MICOH
OG0000918	sp|S4R1M9|OSB10_MOUSE	tr|A0A8J6L3Z2|A0A8J6L3Z2_MICOH
OG0000918	sp|Q8CI95|OSB11_MOUSE	tr|A0A8J6H1C9|A0A8J6H1C9_MICOH, tr|A0A8J6KMW5|A0A8J6KMW5_MICOH
OG0000920	tr|Q8VF20|Q8VF20_MOUSE	tr|A0A8J6H2S7|A0A8J6H2S7_MICOH
OG0000920	tr|Q7TRV1|Q7TRV1_MOUSE	tr|A0A8J6H3E3|A0A8J6H3E3_MICOH, tr|A0A8J6H2A6|A0A8J6H2A6_MICOH
OG0000921	sp|P20263|PO5F1_MOUSE	tr|A0A8J6G8G4|A0A8J6G8G4_MICOH, tr|A0A8J6G226|A0A8J6G226_MICOH, tr|A0A8J6KRF8|A0A8J6KRF8_MICOH, tr|A0A8J6G630|A0A8J6G630_MICOH
OG0000922	tr|Q8VF80|Q8VF80_MOUSE, tr|B2RT27|B2RT27_MOUSE, tr|Q8VGP5|Q8VGP5_MOUSE	tr|A0A8J6KS11|A0A8J6KS11_MICOH, tr|A0A8J6KRK5|A0A8J6KRK5_MICOH
OG0000923	sp|P38649|BGAT_MOUSE	tr|A0A8J6GEA9|A0A8J6GEA9_MICOH, tr|A0A8J6H083|A0A8J6H083_MICOH, tr|A0A8J6FXH9|A0A8J6FXH9_MICOH, tr|A0A8J6KMT0|A0A8J6KMT0_MICOH
OG0000924	sp|Q00780|CO8A1_MOUSE	tr|A0A8J6KVH6|A0A8J6KVH6_MICOH, tr|A0A8J6GS82|A0A8J6GS82_MICOH
OG0000924	sp|Q05306|COAA1_MOUSE	tr|A0A8J6GBR1|A0A8J6GBR1_MICOH
OG0000925	sp|P49650|P2RY1_MOUSE, sp|Q99MT6|SUCR1_MOUSE, sp|Q920A1|CLTR2_MOUSE, sp|Q99JA4|CLTR1_MOUSE	tr|A0A8J6KSG1|A0A8J6KSG1_MICOH
OG0000926	sp|P46097|SYT2_MOUSE	tr|A0A8J6KZ71|A0A8J6KZ71_MICOH
OG0000926	sp|Q9R0N5|SYT5_MOUSE, sp|P46096|SYT1_MOUSE	tr|A0A8J6KWU7|A0A8J6KWU7_MICOH
