Orthogroup	Mus_musculus	Heterocephalus_glaber
OG0001182	sp|Q9D864|ARP6_MOUSE	tr|G5BBI1|G5BBI1_HETGA, tr|G5BLS8|G5BLS8_HETGA, tr|G5C9H3|G5C9H3_HETGA
OG0001183	sp|Q8BZ81|LRRT3_MOUSE, sp|Q8K377|LRRT1_MOUSE, sp|Q8BGA3|LRRT2_MOUSE	tr|G5BGZ3|G5BGZ3_HETGA
OG0001184	sp|Q9Z2I9|SUCB1_MOUSE	tr|G5BTQ7|G5BTQ7_HETGA, tr|G5BX35|G5BX35_HETGA, tr|G5BR65|G5BR65_HETGA
OG0001185	sp|Q8K009|AL1L2_MOUSE	tr|G5C465|G5C465_HETGA
OG0001185	sp|Q8R0Y6|AL1L1_MOUSE	tr|G5B0V1|G5B0V1_HETGA
OG0001186	sp|Q9Z1W9|STK39_MOUSE	tr|G5C5J5|G5C5J5_HETGA
OG0001186	sp|Q6P9R2|OXSR1_MOUSE	tr|G5C5P7|G5C5P7_HETGA
OG0001187	sp|P51943|CCNA2_MOUSE	tr|G5BBT1|G5BBT1_HETGA, tr|G5CAD1|G5CAD1_HETGA, tr|G5BTL2|G5BTL2_HETGA
OG0001188	sp|Q3B7Z2|OSBP1_MOUSE	tr|G5AP21|G5AP21_HETGA
OG0001188	sp|Q5QNQ6|OSBP2_MOUSE	tr|G5BBT9|G5BBT9_HETGA
OG0001189	sp|Q9Z2C5|MTM1_MOUSE	tr|G5C9N9|G5C9N9_HETGA, tr|G5AR70|G5AR70_HETGA, tr|G5C6E9|G5C6E9_HETGA
OG0001190	sp|Q8K458|PKR2_MOUSE	tr|G5B4W4|G5B4W4_HETGA
OG0001190	sp|Q9JKL1|PKR1_MOUSE	tr|G5AW02|G5AW02_HETGA
OG0001191	sp|P00184|CP1A1_MOUSE	tr|G5BEE9|G5BEE9_HETGA
OG0001191	sp|P00186|CP1A2_MOUSE	tr|G5AW16|G5AW16_HETGA
OG0001192	sp|B2RXC5|ZN382_MOUSE	tr|G5BK02|G5BK02_HETGA, tr|G5BK04|G5BK04_HETGA, tr|G5B3C7|G5B3C7_HETGA
OG0001193	sp|Q8BWJ3|KPB2_MOUSE	tr|G5BDT3|G5BDT3_HETGA
OG0001193	sp|P18826|KPB1_MOUSE	tr|G5AM89|G5AM89_HETGA
OG0001194	sp|O35732|CFLAR_MOUSE, sp|O89110|CASP8_MOUSE, sp|P97864|CASP7_MOUSE	tr|G5BKD7|G5BKD7_HETGA
OG0001195	sp|Q91YR1|TWF1_MOUSE	tr|G5BX31|G5BX31_HETGA
OG0001195	sp|Q9Z0P5|TWF2_MOUSE	tr|G5C8W0|G5C8W0_HETGA
OG0001196	sp|Q64527|WNT8A_MOUSE	tr|G5BA36|G5BA36_HETGA
OG0001196	sp|Q9WUD6|WNT8B_MOUSE	tr|G5CAE0|G5CAE0_HETGA
OG0001197	sp|Q7TT50|MRCKB_MOUSE	tr|G5AWG6|G5AWG6_HETGA
OG0001197	sp|Q3UU96|MRCKA_MOUSE	tr|G5BL22|G5BL22_HETGA
OG0001198	sp|Q9R207|NBN_MOUSE	tr|G5BBN9|G5BBN9_HETGA, tr|G5C1C4|G5C1C4_HETGA, tr|G5C864|G5C864_HETGA
OG0001199	sp|Q9Z0R6|ITSN2_MOUSE	tr|G5C388|G5C388_HETGA
OG0001199	sp|Q9Z0R4|ITSN1_MOUSE	tr|G5AM27|G5AM27_HETGA
OG0001200	tr|B1AW18|B1AW18_MOUSE, tr|Q0VG34|Q0VG34_MOUSE, tr|Q14BE7|Q14BE7_MOUSE	tr|G5C417|G5C417_HETGA
OG0001201	sp|Q62189|SNRPA_MOUSE	tr|G5C9W9|G5C9W9_HETGA, tr|G5BMF1|G5BMF1_HETGA, tr|G5C0L0|G5C0L0_HETGA
OG0001202	sp|P70312|HYAS2_MOUSE	sp|G5AY81|HYAS2_HETGA
OG0001202	sp|O08650|HYAS3_MOUSE	tr|G5AK52|G5AK52_HETGA
OG0001203	sp|Q61245|COBA1_MOUSE	tr|G5AYR1|G5AYR1_HETGA
OG0001203	tr|Q9JLI2|Q9JLI2_MOUSE	tr|G5B358|G5B358_HETGA
OG0001204	sp|P58321|UCHL4_MOUSE, sp|Q9JKB1|UCHL3_MOUSE	tr|G5B4I7|G5B4I7_HETGA, tr|G5C5G7|G5C5G7_HETGA
OG0001205	sp|Q6PAJ1|BCR_MOUSE	tr|G5B625|G5B625_HETGA
OG0001205	sp|Q5SSL4|ABR_MOUSE	tr|G5BVQ6|G5BVQ6_HETGA
OG0001206	sp|Q9D7M1|GID8_MOUSE	tr|G5C8E0|G5C8E0_HETGA, tr|G5BBE1|G5BBE1_HETGA, tr|G5C3V8|G5C3V8_HETGA
OG0001207	sp|Q8VIJ6|SFPQ_MOUSE	tr|G5C6D8|G5C6D8_HETGA
OG0001207	sp|Q8R326|PSPC1_MOUSE	tr|G5BKW4|G5BKW4_HETGA
OG0001208	sp|Q6ZPR4|KCNT1_MOUSE	tr|G5BQR6|G5BQR6_HETGA
OG0001208	tr|D3Z649|D3Z649_MOUSE	tr|G5BM68|G5BM68_HETGA
OG0001209	sp|P55014|S12A1_MOUSE	tr|G5BR17|G5BR17_HETGA
OG0001209	sp|P55012|S12A2_MOUSE	tr|G5AJK3|G5AJK3_HETGA
OG0001211	sp|P55292|DSC2_MOUSE	tr|G5C313|G5C313_HETGA
OG0001211	sp|P55850|DSC3_MOUSE	tr|G5C314|G5C314_HETGA
OG0001212	sp|Q9ERQ3|ZN704_MOUSE	tr|G5B3C0|G5B3C0_HETGA, tr|G5C8B9|G5C8B9_HETGA, tr|G5BAJ2|G5BAJ2_HETGA
OG0001213	sp|Q3TQI7|TLS1_MOUSE	tr|G5C8I4|G5C8I4_HETGA, tr|G5BET9|G5BET9_HETGA, tr|G5ASB6|G5ASB6_HETGA
OG0001214	sp|Q8BHS6|ARMX3_MOUSE	tr|G5AL45|G5AL45_HETGA
OG0001214	tr|E9PWM3|E9PWM3_MOUSE	tr|G5AX19|G5AX19_HETGA
OG0001215	sp|Q80X41|VRK1_MOUSE	tr|G5BWC7|G5BWC7_HETGA, tr|G5B4A2|G5B4A2_HETGA, tr|G5BUW2|G5BUW2_HETGA
OG0001216	sp|P70695|F16P2_MOUSE	tr|G5B6G9|G5B6G9_HETGA
OG0001216	sp|Q9QXD6|F16P1_MOUSE	tr|G5B6H0|G5B6H0_HETGA
OG0001217	sp|Q9ERG2|STRN3_MOUSE	tr|G5CAM2|G5CAM2_HETGA
OG0001217	sp|O55106|STRN_MOUSE	tr|G5BDT1|G5BDT1_HETGA
OG0001218	sp|P55288|CAD11_MOUSE	tr|G5AL51|G5AL51_HETGA
OG0001218	sp|P97291|CADH8_MOUSE	tr|G5AL48|G5AL48_HETGA
OG0001219	sp|P56402|AQP2_MOUSE	tr|G5AU09|G5AU09_HETGA
OG0001219	sp|Q9WTY4|AQP5_MOUSE	tr|G5AU08|G5AU08_HETGA
OG0001220	sp|Q99L27|GMPR2_MOUSE	tr|G5B285|G5B285_HETGA
OG0001220	sp|Q9DCZ1|GMPR1_MOUSE	tr|G5BT40|G5BT40_HETGA
OG0001221	sp|P22227|ZFP42_MOUSE	tr|G5B647|G5B647_HETGA, tr|G5B4W6|G5B4W6_HETGA, tr|G5C6U8|G5C6U8_HETGA
OG0001222	sp|Q64521|GPDM_MOUSE	tr|G5BEL8|G5BEL8_HETGA, tr|G5BE74|G5BE74_HETGA, tr|G5BQN8|G5BQN8_HETGA
OG0001223	sp|Q8K0E1|KCD15_MOUSE	tr|G5BXM0|G5BXM0_HETGA
OG0001223	sp|Q5M956|KCTD1_MOUSE	tr|G5BJS3|G5BJS3_HETGA
OG0001224	tr|A7UAK5|A7UAK5_MOUSE	tr|G5BP91|G5BP91_HETGA
OG0001224	sp|P70265|F262_MOUSE	tr|G5BP12|G5BP12_HETGA
OG0001225	sp|Q9R062|GLYG_MOUSE	tr|G5BQS2|G5BQS2_HETGA, tr|G5AW50|G5AW50_HETGA, tr|G5BSK5|G5BSK5_HETGA
OG0001226	sp|P61202|CSN2_MOUSE	tr|G5CA43|G5CA43_HETGA, tr|G5C148|G5C148_HETGA, tr|G5C1A0|G5C1A0_HETGA
OG0001227	sp|Q9D385|AR2BP_MOUSE	tr|G5C1H9|G5C1H9_HETGA, tr|G5C8U7|G5C8U7_HETGA, tr|G5AUE0|G5AUE0_HETGA
OG0001228	sp|Q5FWK3|RHG01_MOUSE	tr|G5ATC2|G5ATC2_HETGA
OG0001228	sp|Q9CXP4|RHG08_MOUSE	tr|G5BKH6|G5BKH6_HETGA
OG0001229	sp|Q62448|IF4G2_MOUSE	tr|G5BFG6|G5BFG6_HETGA, tr|G5AVR6|G5AVR6_HETGA, tr|G5BPP0|G5BPP0_HETGA
OG0001230	sp|E9Q7G0|NUMA1_MOUSE	tr|G5AVT2|G5AVT2_HETGA, tr|G5BQ65|G5BQ65_HETGA, tr|G5BQ64|G5BQ64_HETGA
OG0001231	sp|Q8CD15|RIOX2_MOUSE	tr|G5B0E4|G5B0E4_HETGA, tr|G5AXK0|G5AXK0_HETGA, tr|G5BXD4|G5BXD4_HETGA
OG0001232	sp|P27040|AVR2B_MOUSE	tr|G5C5P3|G5C5P3_HETGA
OG0001232	sp|P27038|AVR2A_MOUSE	tr|G5B7U0|G5B7U0_HETGA
OG0001233	sp|Q3TZ87|MARH9_MOUSE	tr|G5BEB7|G5BEB7_HETGA, tr|G5B1A5|G5B1A5_HETGA, tr|G5BEN6|G5BEN6_HETGA
OG0001234	sp|Q9Z1E4|GYS1_MOUSE	tr|G5BAG4|G5BAG4_HETGA
OG0001234	sp|Q8VCB3|GYS2_MOUSE	tr|G5BEG0|G5BEG0_HETGA
OG0001235	sp|P21552|WNT2_MOUSE	tr|G5B3R0|G5B3R0_HETGA
OG0001235	sp|O70283|WNT2B_MOUSE	tr|G5BNW6|G5BNW6_HETGA
OG0001236	sp|Q3TYU2|AT135_MOUSE	tr|G5BS73|G5BS73_HETGA
OG0001236	sp|Q5XF90|AT134_MOUSE	tr|G5BXF1|G5BXF1_HETGA
OG0001237	sp|Q922D4|PP6R3_MOUSE	tr|G5C1A1|G5C1A1_HETGA, tr|G5B3J7|G5B3J7_HETGA, tr|G5BTV1|G5BTV1_HETGA
OG0001238	sp|Q08943|SSRP1_MOUSE	tr|G5C5N8|G5C5N8_HETGA, tr|G5BLI6|G5BLI6_HETGA, tr|G5C2X8|G5C2X8_HETGA
OG0001239	sp|Q8R092|CA043_MOUSE	tr|G5BDC5|G5BDC5_HETGA, tr|G5C948|G5C948_HETGA, tr|G5ANU7|G5ANU7_HETGA
OG0001240	sp|Q3UKC1|TAXB1_MOUSE	tr|G5BD59|G5BD59_HETGA, tr|G5AMX1|G5AMX1_HETGA, tr|G5AN30|G5AN30_HETGA
OG0001241	sp|Q9JME5|AP3B2_MOUSE	tr|G5B1R3|G5B1R3_HETGA
OG0001241	sp|Q9Z1T1|AP3B1_MOUSE	tr|G5ASU7|G5ASU7_HETGA
OG0001242	sp|Q8BND5|QSOX1_MOUSE	tr|G5AYL7|G5AYL7_HETGA
OG0001242	sp|Q3TMX7|QSOX2_MOUSE	tr|G5B6B8|G5B6B8_HETGA
OG0001243	sp|Q8R2L5|RT18C_MOUSE, sp|Q99N85|RT18A_MOUSE	tr|G5AT12|G5AT12_HETGA, tr|G5B7E1|G5B7E1_HETGA
OG0001244	sp|Q8C5N3|CWC22_MOUSE, tr|A2AK44|A2AK44_MOUSE, tr|A2AK42|A2AK42_MOUSE	tr|G5BIR2|G5BIR2_HETGA
OG0001245	sp|Q61062|DVL3_MOUSE	tr|G5BTE2|G5BTE2_HETGA
OG0001245	sp|Q60838|DVL2_MOUSE	tr|G5B5A3|G5B5A3_HETGA
OG0001246	sp|Q7M6U3|TEX14_MOUSE	tr|G5C2R3|G5C2R3_HETGA, tr|G5C2R2|G5C2R2_HETGA, tr|G5AXZ0|G5AXZ0_HETGA
OG0001247	sp|Q3TKT4|SMCA4_MOUSE	tr|G5BUI4|G5BUI4_HETGA
OG0001247	sp|Q6DIC0|SMCA2_MOUSE	tr|G5C7C3|G5C7C3_HETGA
OG0001248	sp|Q9EPL4|METL9_MOUSE	tr|G5B7E4|G5B7E4_HETGA, tr|G5AVL0|G5AVL0_HETGA, tr|G5AP76|G5AP76_HETGA
OG0001249	sp|P70704|AT8A1_MOUSE	tr|G5AS20|G5AS20_HETGA
OG0001249	sp|P98200|AT8A2_MOUSE	tr|G5AMY0|G5AMY0_HETGA
OG0001250	sp|Q8CFI0|NED4L_MOUSE	tr|G5AYX9|G5AYX9_HETGA
OG0001250	sp|P46935|NEDD4_MOUSE	tr|G5B2Q3|G5B2Q3_HETGA
OG0001251	tr|S4R1M3|S4R1M3_MOUSE, tr|S4R1E0|S4R1E0_MOUSE, tr|S4R1G7|S4R1G7_MOUSE	tr|G5B9E4|G5B9E4_HETGA
OG0001252	tr|Q8VF84|Q8VF84_MOUSE	tr|G5B8C2|G5B8C2_HETGA, tr|G5BFX0|G5BFX0_HETGA, tr|G5BFX2|G5BFX2_HETGA
OG0001253	tr|Q3V1N5|Q3V1N5_MOUSE	tr|G5AUD6|G5AUD6_HETGA, tr|G5BKP4|G5BKP4_HETGA, tr|G5BT13|G5BT13_HETGA
OG0001254	sp|Q6P9Y7|ZFP82_MOUSE	tr|G5BWE9|G5BWE9_HETGA, tr|G5APZ7|G5APZ7_HETGA, tr|G5AMD1|G5AMD1_HETGA
OG0001255	sp|P61294|RAB6B_MOUSE, sp|P35279|RAB6A_MOUSE	tr|G5ASA2|G5ASA2_HETGA, tr|G5B1W8|G5B1W8_HETGA
OG0001256	sp|Q91WS4|BHMT2_MOUSE	tr|G5ASU1|G5ASU1_HETGA
OG0001256	sp|O35490|BHMT1_MOUSE	tr|G5ASU0|G5ASU0_HETGA
OG0001257	sp|Q80U59|K0232_MOUSE	tr|G5B2Z5|G5B2Z5_HETGA, tr|G5APD1|G5APD1_HETGA, tr|G5BTU1|G5BTU1_HETGA
OG0001258	sp|Q9WU19|HAOX1_MOUSE	tr|G5BAS2|G5BAS2_HETGA
OG0001258	sp|Q9NYQ2|HAOX2_MOUSE	tr|G5BDM6|G5BDM6_HETGA
OG0001259	sp|Q8R3L8|CDK8_MOUSE	tr|G5AMX6|G5AMX6_HETGA
OG0001259	sp|Q8BWD8|CDK19_MOUSE	tr|G5ARK3|G5ARK3_HETGA
OG0001260	sp|Q60809|CNOT7_MOUSE	tr|G5B8F1|G5B8F1_HETGA, tr|G5APK1|G5APK1_HETGA, tr|G5C5K2|G5C5K2_HETGA
OG0001261	sp|D3YWQ0|DGKI_MOUSE	tr|G5AM53|G5AM53_HETGA
OG0001261	sp|Q80UP3|DGKZ_MOUSE	tr|G5ATB6|G5ATB6_HETGA
OG0001262	sp|Q8BWY2|CLC1A_MOUSE, sp|Q149M0|CL12B_MOUSE	tr|G5BDZ5|G5BDZ5_HETGA, tr|G5ARD4|G5ARD4_HETGA
OG0001263	sp|Q9WTJ8|FA50B_MOUSE	tr|G5BGL6|G5BGL6_HETGA
OG0001263	sp|Q9WV03|FA50A_MOUSE	tr|G5BFL0|G5BFL0_HETGA
OG0001264	sp|O88174|MCP_MOUSE	tr|G5BP11|G5BP11_HETGA
OG0001264	sp|P08607|C4BPA_MOUSE	tr|G5BP10|G5BP10_HETGA
OG0001265	tr|B1ARV3|B1ARV3_MOUSE, tr|Q5SPH3|Q5SPH3_MOUSE	tr|G5C3L0|G5C3L0_HETGA, tr|G5BRH3|G5BRH3_HETGA
OG0001266	sp|Q9R226|KHDR3_MOUSE	tr|G5C6R4|G5C6R4_HETGA, tr|G5CAA5|G5CAA5_HETGA, tr|G5BJD2|G5BJD2_HETGA
OG0001267	tr|D3Z4R4|D3Z4R4_MOUSE	tr|G5BFB8|G5BFB8_HETGA
OG0001267	sp|Q99MA9|NKX61_MOUSE	tr|G5AT05|G5AT05_HETGA
OG0001268	sp|Q3URF8|KCD21_MOUSE, tr|E0CZ26|E0CZ26_MOUSE, sp|Q8K485|KCD11_MOUSE	tr|G5AW64|G5AW64_HETGA
OG0001269	sp|Q8BH65|DEN6A_MOUSE	tr|G5BE67|G5BE67_HETGA
OG0001269	sp|Q9D9V7|DEN6B_MOUSE	tr|G5B2H7|G5B2H7_HETGA
OG0001270	sp|Q91XQ0|DYH8_MOUSE	tr|G5B9F3|G5B9F3_HETGA
OG0001270	sp|Q8VHE6|DYH5_MOUSE	tr|G5C9V6|G5C9V6_HETGA
OG0001271	sp|Q9JLY0|SOCS6_MOUSE	tr|G5BQP7|G5BQP7_HETGA, tr|G5BD92|G5BD92_HETGA, tr|G5BQN9|G5BQN9_HETGA
OG0001272	sp|O54931|AKAP2_MOUSE	tr|G5C097|G5C097_HETGA, tr|G5BWE5|G5BWE5_HETGA, tr|G5BDA9|G5BDA9_HETGA
OG0001273	sp|Q7TN33|CELF6_MOUSE	tr|G5BGU8|G5BGU8_HETGA, tr|G5C617|G5C617_HETGA, tr|G5BHB3|G5BHB3_HETGA
OG0001274	tr|Q923D1|Q923D1_MOUSE	tr|G5CBN9|G5CBN9_HETGA, tr|G5CBP1|G5CBP1_HETGA, tr|G5CBP0|G5CBP0_HETGA
OG0001275	sp|P43241|CDX2_MOUSE, sp|Q07424|CDX4_MOUSE, sp|P18111|CDX1_MOUSE	tr|G5ATU8|G5ATU8_HETGA
OG0001276	sp|P31387|5HT5B_MOUSE	tr|G5AKE6|G5AKE6_HETGA
OG0001276	sp|P30966|5HT5A_MOUSE	tr|G5AVC8|G5AVC8_HETGA
OG0001277	sp|Q8BRK9|MA2A2_MOUSE	tr|G5CAB5|G5CAB5_HETGA
OG0001277	sp|P27046|MA2A1_MOUSE	tr|G5B435|G5B435_HETGA
OG0001278	sp|Q69ZZ6|TMCC1_MOUSE	tr|G5B7U3|G5B7U3_HETGA
OG0001278	sp|Q80W04|TMCC2_MOUSE	tr|G5B2D8|G5B2D8_HETGA
OG0001279	sp|Q91X60|ACHA2_MOUSE	tr|G5BY93|G5BY93_HETGA, tr|G5BPD4|G5BPD4_HETGA, tr|G5B9U7|G5B9U7_HETGA
OG0001280	sp|Q8C2S7|AMGO3_MOUSE, sp|Q80ZD8|AMGO1_MOUSE, sp|Q80ZD9|AMGO2_MOUSE	tr|G5BIQ3|G5BIQ3_HETGA
OG0001281	sp|Q9ES70|NEK6_MOUSE	tr|G5B6W8|G5B6W8_HETGA
OG0001281	sp|Q9ES74|NEK7_MOUSE	tr|G5BM78|G5BM78_HETGA
OG0001282	sp|Q8C2S0|UBP44_MOUSE	tr|G5C0T4|G5C0T4_HETGA
OG0001282	sp|Q6P9L4|UBP49_MOUSE	tr|G5BNI7|G5BNI7_HETGA
OG0001283	sp|Q6DFV7|NCOA7_MOUSE	tr|G5AYB6|G5AYB6_HETGA, tr|G5C4I3|G5C4I3_HETGA, tr|G5C4S9|G5C4S9_HETGA
OG0001284	sp|Q923J1|TRPM7_MOUSE	tr|G5C8S9|G5C8S9_HETGA
OG0001284	sp|Q8CIR4|TRPM6_MOUSE	tr|G5BHU0|G5BHU0_HETGA
OG0001285	sp|P23979|5HT3A_MOUSE	tr|G5AQV7|G5AQV7_HETGA, tr|G5BTE4|G5BTE4_HETGA, tr|G5B7G9|G5B7G9_HETGA
OG0001286	sp|Q99KK9|SYHM_MOUSE	tr|G5AR52|G5AR52_HETGA
OG0001286	sp|Q61035|HARS1_MOUSE	tr|G5AR53|G5AR53_HETGA
OG0001287	sp|Q9EPK7|XPO7_MOUSE	tr|G5B9P1|G5B9P1_HETGA
OG0001287	sp|Q99NF8|RBP17_MOUSE	tr|G5B473|G5B473_HETGA
OG0001288	sp|Q9D024|CCD47_MOUSE	tr|G5BDJ3|G5BDJ3_HETGA, tr|G5C8X2|G5C8X2_HETGA, tr|G5BE93|G5BE93_HETGA
OG0001289	sp|Q9CXK8|NIP7_MOUSE	tr|G5AK45|G5AK45_HETGA, tr|G5B3C8|G5B3C8_HETGA, tr|G5BKS2|G5BKS2_HETGA
OG0001290	sp|Q8CEC0|NUP88_MOUSE	tr|G5BW82|G5BW82_HETGA, tr|G5AYB4|G5AYB4_HETGA, tr|G5B861|G5B861_HETGA
OG0001291	sp|Q6P073|UB2J2_MOUSE	tr|G5B9C9|G5B9C9_HETGA
OG0001291	sp|Q9JJZ4|UB2J1_MOUSE	tr|G5C902|G5C902_HETGA
OG0001292	sp|P12710|FABPL_MOUSE	tr|G5AQ01|G5AQ01_HETGA, tr|G5AQW5|G5AQW5_HETGA, tr|G5AQ03|G5AQ03_HETGA
OG0001293	sp|P61979|HNRPK_MOUSE	tr|G5ARM9|G5ARM9_HETGA, tr|G5ALR5|G5ALR5_HETGA, tr|G5AKD9|G5AKD9_HETGA
OG0001294	sp|Q02053|UBA1_MOUSE, sp|P31254|UBA1Y_MOUSE	tr|G5BHI2|G5BHI2_HETGA, tr|G5AZF9|G5AZF9_HETGA
OG0001295	sp|P42230|STA5A_MOUSE, sp|P42232|STA5B_MOUSE	tr|G5B0K0|G5B0K0_HETGA, tr|G5B0K1|G5B0K1_HETGA
OG0001296	sp|C0HKG6|RNT2B_MOUSE, sp|C0HKG5|RNT2A_MOUSE	tr|G5BEN7|G5BEN7_HETGA, tr|G5C7S8|G5C7S8_HETGA
OG0001297	sp|Q8VE91|RETR1_MOUSE	tr|G5B0X9|G5B0X9_HETGA, tr|G5BF57|G5BF57_HETGA, tr|G5BGC9|G5BGC9_HETGA
OG0001298	sp|Q8BUH7|RNF26_MOUSE, tr|E9PVG0|E9PVG0_MOUSE	tr|G5BS95|G5BS95_HETGA, tr|G5BHP4|G5BHP4_HETGA
OG0001299	sp|Q9WTX5|SKP1_MOUSE	tr|G5B2A4|G5B2A4_HETGA, tr|G5C5Q1|G5C5Q1_HETGA, tr|G5BN11|G5BN11_HETGA
OG0001300	sp|P70257|NFIX_MOUSE	tr|G5BYV7|G5BYV7_HETGA
OG0001300	sp|Q02780|NFIA_MOUSE	tr|G5BSM5|G5BSM5_HETGA
OG0001301	sp|P62814|VATB2_MOUSE	tr|G5ARE5|G5ARE5_HETGA
OG0001301	sp|Q91YH6|VATB1_MOUSE	tr|G5B4Z1|G5B4Z1_HETGA
OG0001302	sp|Q8BJ56|PLPL2_MOUSE	tr|G5BAE2|G5BAE2_HETGA, tr|G5C8G3|G5C8G3_HETGA, tr|G5C8G2|G5C8G2_HETGA
OG0001303	sp|Q61142|SPIN1_MOUSE	tr|G5C375|G5C375_HETGA, tr|G5BC13|G5BC13_HETGA, tr|G5C6U7|G5C6U7_HETGA
OG0001304	sp|P59764|DOCK4_MOUSE	tr|G5BCA6|G5BCA6_HETGA
OG0001304	sp|Q8CIQ7|DOCK3_MOUSE	tr|G5BZT8|G5BZT8_HETGA
OG0001305	tr|Q8VFU6|Q8VFU6_MOUSE, tr|Q8VFU7|Q8VFU7_MOUSE	tr|G5BE58|G5BE58_HETGA, tr|G5BE59|G5BE59_HETGA
OG0001306	sp|P97501|FMO3_MOUSE	tr|G5BGT6|G5BGT6_HETGA
OG0001306	tr|J3QMN6|J3QMN6_MOUSE	tr|G5BGT5|G5BGT5_HETGA
OG0001307	sp|Q8CIL4|CA131_MOUSE	tr|G5BQJ2|G5BQJ2_HETGA, tr|G5BSZ5|G5BSZ5_HETGA, tr|G5BNF0|G5BNF0_HETGA
OG0001308	sp|Q9Z185|PADI1_MOUSE	tr|G5BZN4|G5BZN4_HETGA
OG0001308	sp|Q9Z183|PADI4_MOUSE	tr|G5BZN2|G5BZN2_HETGA
OG0001309	tr|Q8VGC6|Q8VGC6_MOUSE, tr|Q7TRA1|Q7TRA1_MOUSE, tr|Q7TRA2|Q7TRA2_MOUSE	tr|G5AK74|G5AK74_HETGA
OG0001310	sp|Q3UY34|CSTOS_MOUSE	tr|G5AWX8|G5AWX8_HETGA, tr|G5AU81|G5AU81_HETGA, tr|G5BUV5|G5BUV5_HETGA
OG0001311	sp|P79457|UTY_MOUSE	tr|G5BCN7|G5BCN7_HETGA
OG0001311	sp|O70546|KDM6A_MOUSE	tr|G5BKE2|G5BKE2_HETGA
OG0001312	sp|Q99MD9|NASP_MOUSE	tr|G5B984|G5B984_HETGA, tr|G5ARU4|G5ARU4_HETGA, tr|G5BCP9|G5BCP9_HETGA
OG0001313	sp|Q91Y47|FA11_MOUSE	tr|G5BNV1|G5BNV1_HETGA
OG0001313	sp|P26262|KLKB1_MOUSE	tr|G5BNV2|G5BNV2_HETGA
OG0001314	sp|P17532|TPH1_MOUSE	tr|G5BNP8|G5BNP8_HETGA
OG0001314	sp|Q8CGV2|TPH2_MOUSE	tr|G5BSX5|G5BSX5_HETGA
OG0001315	sp|Q99JT5|KRCC1_MOUSE	tr|G5ARN8|G5ARN8_HETGA, tr|G5C1Z5|G5C1Z5_HETGA, tr|G5AUA5|G5AUA5_HETGA
OG0001316	sp|P26443|DHE3_MOUSE	tr|G5C9M4|G5C9M4_HETGA, tr|G5ATF9|G5ATF9_HETGA, tr|G5C6Z4|G5C6Z4_HETGA
OG0001317	sp|P61027|RAB10_MOUSE	tr|G5CBK9|G5CBK9_HETGA, tr|G5BTQ3|G5BTQ3_HETGA, tr|G5C5L8|G5C5L8_HETGA
OG0001318	tr|D3Z1A5|D3Z1A5_MOUSE	tr|G5AL05|G5AL05_HETGA
OG0001318	sp|P58459|ATS10_MOUSE	tr|G5B4L2|G5B4L2_HETGA
OG0001319	sp|Q9EQW7|KI13A_MOUSE	tr|G5AXT5|G5AXT5_HETGA
OG0001319	tr|A0A286YCV9|A0A286YCV9_MOUSE	tr|G5AMH1|G5AMH1_HETGA
OG0001320	sp|Q80YF9|RHG33_MOUSE	tr|G5BXN7|G5BXN7_HETGA
OG0001320	sp|Q811P8|RHG32_MOUSE	tr|G5AY73|G5AY73_HETGA
OG0001321	sp|Q91ZD6|EAF2_MOUSE	tr|G5B951|G5B951_HETGA, tr|G5C158|G5C158_HETGA, tr|G5C6P6|G5C6P6_HETGA
OG0001323	sp|Q3TSG4|ALKB5_MOUSE	tr|G5BB52|G5BB52_HETGA, tr|G5BMX4|G5BMX4_HETGA, tr|G5BRY9|G5BRY9_HETGA
OG0001324	sp|Q60766|IRGM1_MOUSE, tr|A0A140LIF8|A0A140LIF8_MOUSE, tr|Q9DCE9|Q9DCE9_MOUSE	tr|G5BCB9|G5BCB9_HETGA
OG0001325	tr|E9PY16|E9PY16_MOUSE	tr|G5BUF1|G5BUF1_HETGA
OG0001325	sp|Q8R2V5|ADAP2_MOUSE	tr|G5BVM4|G5BVM4_HETGA
OG0001326	sp|B8JKV0|AMN1_MOUSE	tr|G5AUL6|G5AUL6_HETGA
OG0001326	sp|Q66JT5|TPGS2_MOUSE	tr|G5C754|G5C754_HETGA
OG0001327	sp|O88575|S620B_MOUSE, sp|Q8VDB9|S620A_MOUSE, tr|A0A1B0GSD2|A0A1B0GSD2_MOUSE	tr|G5ANN5|G5ANN5_HETGA
OG0001328	tr|G3XA20|G3XA20_MOUSE	tr|G5ANS7|G5ANS7_HETGA
OG0001328	sp|Q925T6|GRIP1_MOUSE	tr|G5AWA4|G5AWA4_HETGA
OG0001329	sp|Q9DC22|DCAF6_MOUSE	tr|G5AQ54|G5AQ54_HETGA, tr|G5ARE7|G5ARE7_HETGA, tr|G5AMD9|G5AMD9_HETGA
OG0001330	sp|P86793|CC21C_MOUSE, sp|P86792|CC21B_MOUSE, sp|P84444|CC21A_MOUSE	tr|G5B067|G5B067_HETGA
OG0001331	sp|P27671|RGRF1_MOUSE	tr|G5B3N8|G5B3N8_HETGA
OG0001331	sp|P70392|RGRF2_MOUSE	tr|G5BK73|G5BK73_HETGA
