Orthogroup	Mus_musculus	Propithecus_coquereli
OG0000644	sp|Q6P9L4|UBP49_MOUSE	tr|A0A2K6GNS0|A0A2K6GNS0_PROCO
OG0000644	sp|Q8C2S0|UBP44_MOUSE	tr|A0A2K6FYE9|A0A2K6FYE9_PROCO, tr|A0A2K6EWA6|A0A2K6EWA6_PROCO
OG0000647	sp|Q8BG51|MIRO1_MOUSE	tr|A0A2K6EYH9|A0A2K6EYH9_PROCO, tr|A0A2K6G0Z0|A0A2K6G0Z0_PROCO
OG0000647	sp|Q8JZN7|MIRO2_MOUSE	tr|A0A2K6FU92|A0A2K6FU92_PROCO
OG0000648	sp|Q9QUM9|PSA6_MOUSE	tr|A0A2K6H008|A0A2K6H008_PROCO, tr|A0A2K6FPN6|A0A2K6FPN6_PROCO, tr|A0A2K6F2G1|A0A2K6F2G1_PROCO, tr|A0A2K6FHX8|A0A2K6FHX8_PROCO
OG0000650	sp|P20263|PO5F1_MOUSE	tr|A0A2K6GV91|A0A2K6GV91_PROCO, tr|A0A2K6GZQ6|A0A2K6GZQ6_PROCO, tr|A0A2K6GPW2|A0A2K6GPW2_PROCO, tr|A0A2K6EFM1|A0A2K6EFM1_PROCO
OG0000651	sp|Q8CIN6|CELF3_MOUSE	tr|A0A2K6EIL3|A0A2K6EIL3_PROCO
OG0000651	sp|Q7TSY6|CELF4_MOUSE, sp|Q7TN33|CELF6_MOUSE	tr|A0A2K6FII5|A0A2K6FII5_PROCO
OG0000652	sp|Q60972|RBBP4_MOUSE	tr|A0A2K6GGD0|A0A2K6GGD0_PROCO
OG0000652	sp|Q60973|RBBP7_MOUSE	tr|A0A2K6G9Q5|A0A2K6G9Q5_PROCO, tr|A0A2K6ETV4|A0A2K6ETV4_PROCO
OG0000653	sp|O35709|ENC1_MOUSE	tr|A0A2K6GPM8|A0A2K6GPM8_PROCO
OG0000653	sp|Q8CDE2|CALI_MOUSE, sp|Q8R2P1|KLH25_MOUSE	tr|A0A2K6EEJ2|A0A2K6EEJ2_PROCO
OG0000654	sp|P84084|ARF5_MOUSE	tr|A0A2K6GUF2|A0A2K6GUF2_PROCO
OG0000654	sp|P61750|ARF4_MOUSE	tr|A0A2K6GAV3|A0A2K6GAV3_PROCO, tr|A0A2K6EFZ3|A0A2K6EFZ3_PROCO
OG0000655	sp|Q0VF58|COJA1_MOUSE	tr|A0A2K6GIQ3|A0A2K6GIQ3_PROCO
OG0000655	tr|E9Q7P1|E9Q7P1_MOUSE	tr|A0A2K6FIR9|A0A2K6FIR9_PROCO, tr|A0A2K6G7V2|A0A2K6G7V2_PROCO
OG0000656	sp|Q6E1M8|AWAT2_MOUSE	tr|A0A2K6F8S0|A0A2K6F8S0_PROCO
OG0000656	sp|A2ADU8|DG2L6_MOUSE	tr|A0A2K6GKK4|A0A2K6GKK4_PROCO, tr|A0A2K6FNV3|A0A2K6FNV3_PROCO
OG0000657	tr|E9Q985|E9Q985_MOUSE, tr|Q8VH08|Q8VH08_MOUSE, tr|Q8VH10|Q8VH10_MOUSE	tr|A0A2K6GJH6|A0A2K6GJH6_PROCO, tr|A0A2K6FWF8|A0A2K6FWF8_PROCO
OG0000659	sp|Q8R2R9|AP3M2_MOUSE	tr|A0A2K6FZ03|A0A2K6FZ03_PROCO, tr|A0A2K6EMW6|A0A2K6EMW6_PROCO
OG0000659	sp|Q9JKC8|AP3M1_MOUSE	tr|A0A2K6GRA8|A0A2K6GRA8_PROCO
OG0000660	sp|Q91WM1|STRBP_MOUSE	tr|A0A2K6GU26|A0A2K6GU26_PROCO
OG0000660	sp|Q9Z1X4|ILF3_MOUSE	tr|A0A2K6GQH8|A0A2K6GQH8_PROCO, tr|A0A2K6FP25|A0A2K6FP25_PROCO
OG0000661	sp|Q9ESE1|LRBA_MOUSE	tr|A0A2K6EHI5|A0A2K6EHI5_PROCO
OG0000661	sp|Q9EPN1|NBEA_MOUSE	tr|A0A2K6GA48|A0A2K6GA48_PROCO, tr|A0A2K6F9R3|A0A2K6F9R3_PROCO
OG0000662	sp|P11609|CD1D1_MOUSE, sp|P11610|CD1D2_MOUSE	tr|A0A2K6FT80|A0A2K6FT80_PROCO, tr|A0A2K6EGL7|A0A2K6EGL7_PROCO, tr|A0A2K6FB12|A0A2K6FB12_PROCO
OG0000663	sp|P23242|CXA1_MOUSE, sp|Q6S5G4|CXA6_MOUSE, sp|Q01231|CXA5_MOUSE, sp|P28235|CXA4_MOUSE	tr|A0A2K6GQ48|A0A2K6GQ48_PROCO
OG0000664	sp|Q5STT6|GAR3_MOUSE	tr|A0A2K6FE14|A0A2K6FE14_PROCO
OG0000664	tr|B7XG49|B7XG49_MOUSE	tr|A0A2K6G5C5|A0A2K6G5C5_PROCO, tr|A0A2K6GBG4|A0A2K6GBG4_PROCO
OG0000665	sp|Q60932|VDAC1_MOUSE	tr|A0A2K6EYM4|A0A2K6EYM4_PROCO
OG0000665	sp|Q60930|VDAC2_MOUSE	tr|A0A2K6G071|A0A2K6G071_PROCO, tr|A0A2K6EQV5|A0A2K6EQV5_PROCO
OG0000666	sp|P46467|VPS4B_MOUSE	tr|A0A2K6EVE6|A0A2K6EVE6_PROCO, tr|A0A2K6FL58|A0A2K6FL58_PROCO
OG0000666	sp|Q8VEJ9|VPS4A_MOUSE	tr|A0A2K6EJQ7|A0A2K6EJQ7_PROCO
OG0000667	sp|P53811|PIPNB_MOUSE	tr|A0A2K6EGY2|A0A2K6EGY2_PROCO
OG0000667	sp|P53810|PIPNA_MOUSE	tr|A0A2K6FAU5|A0A2K6FAU5_PROCO, tr|A0A2K6FKB7|A0A2K6FKB7_PROCO
OG0000668	sp|C8YR32|LOXH1_MOUSE	tr|A0A2K6GSW5|A0A2K6GSW5_PROCO
OG0000668	sp|Q8CGM2|RP1L1_MOUSE, sp|P56716|RP1_MOUSE	tr|A0A2K6EZI4|A0A2K6EZI4_PROCO
OG0000669	sp|Q01405|SC23A_MOUSE	tr|A0A2K6GFP6|A0A2K6GFP6_PROCO
OG0000669	sp|Q9D662|SC23B_MOUSE	tr|A0A2K6G484|A0A2K6G484_PROCO, tr|A0A2K6FPF2|A0A2K6FPF2_PROCO
OG0000671	sp|P04443|HBB0_MOUSE	tr|A0A2K6EP07|A0A2K6EP07_PROCO
OG0000671	sp|P02104|HBE_MOUSE	tr|A0A2K6EXW6|A0A2K6EXW6_PROCO, tr|A0A2K6ERW8|A0A2K6ERW8_PROCO
OG0000672	sp|Q8BNE1|TCAF1_MOUSE	tr|A0A2K6EZW5|A0A2K6EZW5_PROCO
OG0000672	sp|Q6QR59|TCAF3_MOUSE, sp|Q921K8|TCAF2_MOUSE	tr|A0A2K6GA08|A0A2K6GA08_PROCO
OG0000673	sp|Q811D2|ANR26_MOUSE, tr|E9PVZ3|E9PVZ3_MOUSE, tr|Q8CEQ9|Q8CEQ9_MOUSE, tr|Q9D5T2|Q9D5T2_MOUSE	tr|A0A2K6EI19|A0A2K6EI19_PROCO
OG0000674	sp|P52293|IMA1_MOUSE	tr|A0A2K6ERV8|A0A2K6ERV8_PROCO, tr|A0A2K6EZE7|A0A2K6EZE7_PROCO
OG0000674	sp|C0LLJ0|IMA8_MOUSE	tr|A0A2K6GMC3|A0A2K6GMC3_PROCO
OG0000675	sp|Q9Z306|S22A4_MOUSE	tr|A0A2K6FP55|A0A2K6FP55_PROCO
OG0000675	sp|Q9Z0E8|S22A5_MOUSE, sp|Q9WTN6|S22AL_MOUSE	tr|A0A2K6GM69|A0A2K6GM69_PROCO
OG0000676	sp|Q3V1D3|AMPD1_MOUSE	tr|A0A2K6EUS6|A0A2K6EUS6_PROCO
OG0000676	sp|O08739|AMPD3_MOUSE	tr|A0A2K6FBY3|A0A2K6FBY3_PROCO, tr|A0A2K6FTR5|A0A2K6FTR5_PROCO
OG0000677	sp|P62830|RL23_MOUSE	tr|A0A2K6F7K5|A0A2K6F7K5_PROCO, tr|A0A2K6GC51|A0A2K6GC51_PROCO, tr|A0A2K6FTK9|A0A2K6FTK9_PROCO, tr|A0A2K6FH06|A0A2K6FH06_PROCO
OG0000678	sp|O88852|TSYL1_MOUSE, tr|Q3UYP3|Q3UYP3_MOUSE, sp|Q8VD63|TSYL4_MOUSE, sp|Q69ZB3|TSYL5_MOUSE	tr|A0A2K6FUD7|A0A2K6FUD7_PROCO
OG0000679	sp|D3YZG8|MTD2L_MOUSE	tr|A0A2K6ER05|A0A2K6ER05_PROCO
OG0000679	sp|P18155|MTDC_MOUSE	tr|A0A2K6GT16|A0A2K6GT16_PROCO, tr|A0A2K6EXC8|A0A2K6EXC8_PROCO
OG0000680	sp|Q9JLA2|IL36A_MOUSE	tr|A0A2K6F680|A0A2K6F680_PROCO
OG0000680	sp|Q8R460|IL36G_MOUSE	tr|A0A2K6EY00|A0A2K6EY00_PROCO, tr|A0A2K6FUX4|A0A2K6FUX4_PROCO
OG0000681	sp|Q9CX83|ARMX1_MOUSE, sp|Q8K3A6|ARMX6_MOUSE, sp|Q8BHS6|ARMX3_MOUSE, sp|Q9D0L7|ARM10_MOUSE	tr|A0A2K6FG29|A0A2K6FG29_PROCO
OG0000682	tr|Q7TS19|Q7TS19_MOUSE, tr|Q8VET1|Q8VET1_MOUSE, tr|Q7TRK1|Q7TRK1_MOUSE, tr|A2RT31|A2RT31_MOUSE	tr|A0A2K6GQH5|A0A2K6GQH5_PROCO
OG0000683	sp|Q9D9M2|UBP12_MOUSE	tr|A0A2K6GTT5|A0A2K6GTT5_PROCO
OG0000683	sp|P62069|UBP46_MOUSE	tr|A0A2K6EL49|A0A2K6EL49_PROCO, tr|A0A2K6GWS0|A0A2K6GWS0_PROCO
OG0000684	sp|Q4VA61|DSCL1_MOUSE	tr|A0A2K6FW12|A0A2K6FW12_PROCO
OG0000684	sp|Q9ERC8|DSCAM_MOUSE	tr|A0A2K6GF37|A0A2K6GF37_PROCO, tr|A0A2K6FB82|A0A2K6FB82_PROCO
OG0000685	sp|Q9D385|AR2BP_MOUSE	tr|A0A2K6GIJ3|A0A2K6GIJ3_PROCO, tr|A0A2K6F6X8|A0A2K6F6X8_PROCO, tr|A0A2K6ESG8|A0A2K6ESG8_PROCO, tr|A0A2K6FSB6|A0A2K6FSB6_PROCO
OG0000687	sp|Q3UPY5|GLBL2_MOUSE	tr|A0A2K6EJT5|A0A2K6EJT5_PROCO
OG0000687	tr|F6Y113|F6Y113_MOUSE, sp|A2RSQ1|GLBL3_MOUSE	tr|A0A2K6FDT9|A0A2K6FDT9_PROCO
OG0000688	tr|Q6DIC6|Q6DIC6_MOUSE	tr|A0A2K6G5X1|A0A2K6G5X1_PROCO
OG0000688	sp|Q9QYH6|MAGD1_MOUSE	tr|A0A2K6FDY0|A0A2K6FDY0_PROCO, tr|A0A2K6FLL0|A0A2K6FLL0_PROCO
OG0000689	sp|O88445|AURKC_MOUSE, sp|O70126|AURKB_MOUSE	tr|A0A2K6F148|A0A2K6F148_PROCO, tr|A0A2K6FKL4|A0A2K6FKL4_PROCO, tr|A0A2K6ESE9|A0A2K6ESE9_PROCO
OG0000690	sp|Q9EST5|AN32B_MOUSE	tr|A0A2K6F4H2|A0A2K6F4H2_PROCO
OG0000690	sp|O35381|AN32A_MOUSE	tr|A0A2K6G7U0|A0A2K6G7U0_PROCO, tr|A0A2K6F8R2|A0A2K6F8R2_PROCO
OG0000691	sp|Q9D0K2|SCOT1_MOUSE	tr|A0A2K6GZP1|A0A2K6GZP1_PROCO
OG0000691	sp|Q9ESL0|SCO2B_MOUSE, sp|Q9JJN4|SCO2A_MOUSE	tr|A0A2K6GFT9|A0A2K6GFT9_PROCO
OG0000692	tr|A0A1B0GSD2|A0A1B0GSD2_MOUSE, tr|A0A1L1SR47|A0A1L1SR47_MOUSE, sp|O88575|S620B_MOUSE, sp|Q8VDB9|S620A_MOUSE	tr|A0A2K6EWD9|A0A2K6EWD9_PROCO
OG0000693	sp|P49282|NRAM2_MOUSE	tr|A0A2K6FGJ9|A0A2K6FGJ9_PROCO, tr|A0A2K6FYR5|A0A2K6FYR5_PROCO
OG0000693	sp|P41251|NRAM1_MOUSE	tr|A0A2K6FT89|A0A2K6FT89_PROCO
OG0000694	sp|Q6IFT4|RHG20_MOUSE, tr|B9EHI3|B9EHI3_MOUSE, tr|Q3V0P3|Q3V0P3_MOUSE, tr|E9PXM2|E9PXM2_MOUSE	tr|A0A2K6FKC6|A0A2K6FKC6_PROCO
OG0000695	sp|O88487|DC1I2_MOUSE	tr|A0A2K6F254|A0A2K6F254_PROCO
OG0000695	sp|O88485|DC1I1_MOUSE	tr|A0A2K6GPH0|A0A2K6GPH0_PROCO, tr|A0A2K6FK43|A0A2K6FK43_PROCO
OG0000696	sp|P18608|HMGN1_MOUSE	tr|A0A2K6G110|A0A2K6G110_PROCO, tr|A0A2K6FC28|A0A2K6FC28_PROCO, tr|A0A2K6ERT0|A0A2K6ERT0_PROCO, tr|A0A2K6GXT1|A0A2K6GXT1_PROCO
OG0000697	sp|Q6SJQ7|CLM1_MOUSE	tr|A0A2K6FWA2|A0A2K6FWA2_PROCO
OG0000697	sp|Q3U497|CLM7_MOUSE	tr|A0A2K6G3Z2|A0A2K6G3Z2_PROCO, tr|A0A2K6GUF4|A0A2K6GUF4_PROCO
OG0000699	sp|Q8K2F0|BRD3_MOUSE	tr|A0A2K6FTM6|A0A2K6FTM6_PROCO
OG0000699	sp|Q7JJ13|BRD2_MOUSE	tr|A0A2K6GBA4|A0A2K6GBA4_PROCO, tr|A0A2K6FI41|A0A2K6FI41_PROCO
OG0000700	tr|E0CYQ0|E0CYQ0_MOUSE	tr|A0A2K6G5M9|A0A2K6G5M9_PROCO
OG0000700	sp|Q8VC57|KCTD5_MOUSE	tr|A0A2K6FWN1|A0A2K6FWN1_PROCO, tr|A0A2K6GHV0|A0A2K6GHV0_PROCO
OG0000701	sp|Q8CFI2|UB2R1_MOUSE	tr|A0A2K6FRT4|A0A2K6FRT4_PROCO, tr|A0A2K6G9F2|A0A2K6G9F2_PROCO
OG0000701	sp|Q6ZWZ2|UB2R2_MOUSE	tr|A0A2K6EJ56|A0A2K6EJ56_PROCO
OG0000702	sp|P28293|CATG_MOUSE	tr|A0A2K6F6M9|A0A2K6F6M9_PROCO
OG0000702	sp|P04187|GRAB_MOUSE	tr|A0A2K6GN96|A0A2K6GN96_PROCO, tr|A0A2K6F611|A0A2K6F611_PROCO
OG0000703	sp|P62855|RS26_MOUSE	tr|A0A2K6GLQ6|A0A2K6GLQ6_PROCO, tr|A0A2K6F4C5|A0A2K6F4C5_PROCO, tr|A0A2K6GVH8|A0A2K6GVH8_PROCO, tr|A0A2K6GW91|A0A2K6GW91_PROCO
OG0000704	sp|O70507|HCN4_MOUSE	tr|A0A2K6EV33|A0A2K6EV33_PROCO
OG0000704	sp|O88704|HCN1_MOUSE, sp|O88703|HCN2_MOUSE	tr|A0A2K6FW75|A0A2K6FW75_PROCO
OG0000705	sp|Q4PZA2|ECE1_MOUSE	tr|A0A2K6EI16|A0A2K6EI16_PROCO
OG0000705	sp|P0DPE0|EFMT4_MOUSE, sp|P0DPD9|EFCE2_MOUSE	tr|A0A2K6GRJ9|A0A2K6GRJ9_PROCO
OG0000706	sp|O35643|AP1B1_MOUSE	tr|A0A2K6ES03|A0A2K6ES03_PROCO
OG0000706	sp|Q9DBG3|AP2B1_MOUSE	tr|A0A2K6FZX2|A0A2K6FZX2_PROCO, tr|A0A2K6FNY6|A0A2K6FNY6_PROCO
OG0000707	sp|Q5Y4Y6|GSDA3_MOUSE, sp|Q32M21|GSDA2_MOUSE	tr|A0A2K6FYS5|A0A2K6FYS5_PROCO
OG0000707	sp|Q9EST1|GSDMA_MOUSE	tr|A0A2K6FJH2|A0A2K6FJH2_PROCO
OG0000708	sp|P26040|EZRI_MOUSE	tr|A0A2K6EGN9|A0A2K6EGN9_PROCO
OG0000708	sp|P26043|RADI_MOUSE, sp|P26041|MOES_MOUSE	tr|A0A2K6EEY2|A0A2K6EEY2_PROCO
OG0000709	sp|Q5M956|KCTD1_MOUSE	tr|A0A2K6GWW8|A0A2K6GWW8_PROCO
OG0000709	sp|Q8K0E1|KCD15_MOUSE	tr|A0A2K6EM94|A0A2K6EM94_PROCO, tr|A0A2K6FKP8|A0A2K6FKP8_PROCO
OG0000710	sp|D3YXK2|SAFB1_MOUSE	tr|A0A2K6EWC8|A0A2K6EWC8_PROCO, tr|A0A2K6EP03|A0A2K6EP03_PROCO
OG0000710	sp|Q80YR5|SAFB2_MOUSE	tr|A0A2K6G7Y0|A0A2K6G7Y0_PROCO
OG0000711	sp|Q61704|ITIH3_MOUSE	tr|A0A2K6FTX0|A0A2K6FTX0_PROCO
OG0000711	sp|Q61702|ITIH1_MOUSE	tr|A0A2K6FWA3|A0A2K6FWA3_PROCO, tr|A0A2K6GQF1|A0A2K6GQF1_PROCO
OG0000712	tr|E9Q518|E9Q518_MOUSE, tr|E9Q519|E9Q519_MOUSE	tr|A0A2K6EHV4|A0A2K6EHV4_PROCO, tr|A0A2K6GN00|A0A2K6GN00_PROCO, tr|A0A2K6GQ26|A0A2K6GQ26_PROCO
OG0000713	tr|Q810P0|Q810P0_MOUSE, sp|D3YU32|T13C1_MOUSE, tr|A0A0G2JGA3|A0A0G2JGA3_MOUSE	tr|A0A2K6ELL5|A0A2K6ELL5_PROCO, tr|A0A2K6FYG0|A0A2K6FYG0_PROCO
OG0000714	sp|P50427|STS_MOUSE	tr|A0A2K6FQC6|A0A2K6FQC6_PROCO, tr|A0A2K6FQD7|A0A2K6FQD7_PROCO, tr|A0A2K6FST8|A0A2K6FST8_PROCO, tr|A0A2K6GK45|A0A2K6GK45_PROCO
OG0000715	sp|P35123|UBP4_MOUSE	tr|A0A2K6G842|A0A2K6G842_PROCO
OG0000715	sp|Q6K1E7|GGNB1_MOUSE, sp|Q8R5H1|UBP15_MOUSE	tr|A0A2K6FD13|A0A2K6FD13_PROCO
OG0000716	sp|P35700|PRDX1_MOUSE	tr|A0A2K6FFG7|A0A2K6FFG7_PROCO, tr|A0A2K6FKV8|A0A2K6FKV8_PROCO
OG0000716	sp|Q61171|PRDX2_MOUSE	tr|A0A2K6G8U2|A0A2K6G8U2_PROCO
OG0000717	sp|Q8C0R0|UBP37_MOUSE	tr|A0A2K6FS28|A0A2K6FS28_PROCO
OG0000717	sp|Q99MX1|UBP26_MOUSE, sp|Q9ES63|UBP29_MOUSE	tr|A0A2K6G5X2|A0A2K6G5X2_PROCO
OG0000718	sp|O08912|GALT1_MOUSE	tr|A0A2K6G5W2|A0A2K6G5W2_PROCO
OG0000718	sp|Q8CF93|GLT13_MOUSE	tr|A0A2K6EP23|A0A2K6EP23_PROCO, tr|A0A2K6FPQ3|A0A2K6FPQ3_PROCO
OG0000719	sp|Q9CRC9|GNPI2_MOUSE	tr|A0A2K6EVQ2|A0A2K6EVQ2_PROCO
OG0000719	sp|O88958|GNPI1_MOUSE	tr|A0A2K6FTL7|A0A2K6FTL7_PROCO, tr|A0A2K6GNJ1|A0A2K6GNJ1_PROCO
OG0000720	sp|Q7TT15|GLT17_MOUSE	tr|A0A2K6EIC6|A0A2K6EIC6_PROCO
OG0000720	tr|G3X942|G3X942_MOUSE	tr|A0A2K6ETL6|A0A2K6ETL6_PROCO, tr|A0A2K6ELD0|A0A2K6ELD0_PROCO
OG0000721	sp|Q61555|FBN2_MOUSE	tr|A0A2K6FD24|A0A2K6FD24_PROCO
OG0000721	sp|Q61554|FBN1_MOUSE	tr|A0A2K6FLK6|A0A2K6FLK6_PROCO, tr|A0A2K6GM71|A0A2K6GM71_PROCO
OG0000722	tr|E9PYD7|E9PYD7_MOUSE	tr|A0A2K6GX44|A0A2K6GX44_PROCO, tr|A0A2K6GZU9|A0A2K6GZU9_PROCO
OG0000722	tr|G5E8C2|G5E8C2_MOUSE	tr|A0A2K6EJ08|A0A2K6EJ08_PROCO
OG0000723	sp|P62715|PP2AB_MOUSE	tr|A0A2K6EY96|A0A2K6EY96_PROCO
OG0000723	sp|P63330|PP2AA_MOUSE	tr|A0A2K6FIR6|A0A2K6FIR6_PROCO, tr|A0A2K6GGQ3|A0A2K6GGQ3_PROCO
OG0000724	sp|Q99KF1|TMED9_MOUSE	tr|A0A2K6FV77|A0A2K6FV77_PROCO
OG0000724	sp|Q8R1V4|TMED4_MOUSE	tr|A0A2K6FE02|A0A2K6FE02_PROCO, tr|A0A2K6EE63|A0A2K6EE63_PROCO
OG0000725	sp|D3YXJ0|DGKH_MOUSE	tr|A0A2K6GP20|A0A2K6GP20_PROCO
OG0000725	sp|E9PUQ8|DGKD_MOUSE	tr|A0A2K6FHV9|A0A2K6FHV9_PROCO, tr|A0A2K6EVQ7|A0A2K6EVQ7_PROCO
OG0000726	sp|A6H5X4|PHF11_MOUSE, tr|B4XVP9|B4XVP9_MOUSE, tr|B4XVQ1|B4XVQ1_MOUSE, sp|Q8BVM9|PH11A_MOUSE	tr|A0A2K6GL31|A0A2K6GL31_PROCO
OG0000727	sp|A2RTL5|RSRC2_MOUSE	tr|A0A2K6FC82|A0A2K6FC82_PROCO, tr|A0A2K6FVQ7|A0A2K6FVQ7_PROCO, tr|A0A2K6FZK0|A0A2K6FZK0_PROCO, tr|A0A2K6GYV5|A0A2K6GYV5_PROCO
OG0000728	sp|P46097|SYT2_MOUSE	tr|A0A2K6F5P5|A0A2K6F5P5_PROCO
OG0000728	sp|P46096|SYT1_MOUSE	tr|A0A2K6GL58|A0A2K6GL58_PROCO, tr|A0A2K6GJC1|A0A2K6GJC1_PROCO
OG0000729	sp|Q8CAA7|PGM2L_MOUSE	tr|A0A2K6GMQ7|A0A2K6GMQ7_PROCO
OG0000729	sp|Q7TSV4|PGM2_MOUSE	tr|A0A2K6GAU2|A0A2K6GAU2_PROCO, tr|A0A2K6GR36|A0A2K6GR36_PROCO
OG0000730	sp|Q9QXD6|F16P1_MOUSE	tr|A0A2K6F2F9|A0A2K6F2F9_PROCO, tr|A0A2K6FDB6|A0A2K6FDB6_PROCO
OG0000730	sp|P70695|F16P2_MOUSE	tr|A0A2K6EK53|A0A2K6EK53_PROCO
OG0000731	sp|P61327|MGN_MOUSE	tr|A0A2K6EHM5|A0A2K6EHM5_PROCO, tr|A0A2K6ERJ0|A0A2K6ERJ0_PROCO, tr|A0A2K6EPB7|A0A2K6EPB7_PROCO, tr|A0A2K6FRK6|A0A2K6FRK6_PROCO
OG0000732	sp|P81122|IRS2_MOUSE, sp|Q9Z0Y7|IRS4_MOUSE, tr|Q4QQK2|Q4QQK2_MOUSE, sp|P35569|IRS1_MOUSE	tr|A0A2K6G1L5|A0A2K6G1L5_PROCO
OG0000733	sp|P60764|RAC3_MOUSE	tr|A0A2K6EIT9|A0A2K6EIT9_PROCO
OG0000733	sp|Q05144|RAC2_MOUSE	tr|A0A2K6FTA9|A0A2K6FTA9_PROCO, tr|A0A2K6F6G7|A0A2K6F6G7_PROCO
OG0000734	sp|P62908|RS3_MOUSE	tr|A0A2K6G1B7|A0A2K6G1B7_PROCO, tr|A0A2K6H0H9|A0A2K6H0H9_PROCO, tr|A0A2K6GMD0|A0A2K6GMD0_PROCO, tr|A0A2K6GF73|A0A2K6GF73_PROCO
OG0000735	sp|P97351|RS3A_MOUSE	tr|A0A2K6GU81|A0A2K6GU81_PROCO, tr|A0A2K6GAQ7|A0A2K6GAQ7_PROCO, tr|A0A2K6GQR3|A0A2K6GQR3_PROCO, tr|A0A2K6FG27|A0A2K6FG27_PROCO
OG0000736	sp|P05063|ALDOC_MOUSE	tr|A0A2K6GI68|A0A2K6GI68_PROCO
OG0000736	sp|Q91Y97|ALDOB_MOUSE	tr|A0A2K6GFM4|A0A2K6GFM4_PROCO, tr|A0A2K6GPN8|A0A2K6GPN8_PROCO
OG0000737	sp|Q08731|LIT2_MOUSE, sp|P43137|LIT1_MOUSE	tr|A0A2K6FIP9|A0A2K6FIP9_PROCO, tr|A0A2K6G318|A0A2K6G318_PROCO, tr|A0A2K6EGI3|A0A2K6EGI3_PROCO
OG0000738	tr|E9Q5M9|E9Q5M9_MOUSE	tr|A0A2K6FXM9|A0A2K6FXM9_PROCO, tr|A0A2K6EL15|A0A2K6EL15_PROCO, tr|A0A2K6EH14|A0A2K6EH14_PROCO, tr|A0A2K6F0A7|A0A2K6F0A7_PROCO
OG0000739	sp|Q05421|CP2E1_MOUSE	tr|A0A2K6ENZ9|A0A2K6ENZ9_PROCO, tr|A0A2K6FME4|A0A2K6FME4_PROCO, tr|A0A2K6EFA5|A0A2K6EFA5_PROCO, tr|A0A2K6GFS9|A0A2K6GFS9_PROCO
OG0000740	sp|P61255|RL26_MOUSE	tr|A0A2K6GAG4|A0A2K6GAG4_PROCO, tr|A0A2K6F7L7|A0A2K6F7L7_PROCO, tr|A0A2K6ER02|A0A2K6ER02_PROCO, tr|A0A2K6GJB0|A0A2K6GJB0_PROCO
OG0000741	sp|P41105|RL28_MOUSE	tr|A0A2K6GLD3|A0A2K6GLD3_PROCO, tr|A0A2K6EL44|A0A2K6EL44_PROCO, tr|A0A2K6FAM0|A0A2K6FAM0_PROCO, tr|A0A2K6EWY0|A0A2K6EWY0_PROCO
OG0000742	tr|A0A1B0GT27|A0A1B0GT27_MOUSE, tr|A0A140LII9|A0A140LII9_MOUSE, tr|A0A140LIU8|A0A140LIU8_MOUSE	tr|A0A2K6GJM7|A0A2K6GJM7_PROCO
OG0000743	sp|Q9DBC7|KAP0_MOUSE	tr|A0A2K6EGW2|A0A2K6EGW2_PROCO
OG0000743	sp|P12849|KAP1_MOUSE	tr|A0A2K6G1Y9|A0A2K6G1Y9_PROCO
OG0000744	sp|P17427|AP2A2_MOUSE	tr|A0A2K6FLK5|A0A2K6FLK5_PROCO
OG0000744	sp|P17426|AP2A1_MOUSE	tr|A0A2K6GI11|A0A2K6GI11_PROCO
OG0000745	sp|Q60675|LAMA2_MOUSE	tr|A0A2K6G4Z3|A0A2K6G4Z3_PROCO
OG0000745	sp|P19137|LAMA1_MOUSE	tr|A0A2K6ENL8|A0A2K6ENL8_PROCO
OG0000746	sp|P47739|AL3A1_MOUSE	tr|A0A2K6GI94|A0A2K6GI94_PROCO
OG0000746	sp|P47740|AL3A2_MOUSE	tr|A0A2K6EMD1|A0A2K6EMD1_PROCO
OG0000748	sp|C0HK79|ARXS1_MOUSE, sp|C0HK80|ARXS2_MOUSE, sp|Q6ZWQ7|SPCS3_MOUSE	tr|A0A2K6GYQ2|A0A2K6GYQ2_PROCO
OG0000750	tr|A0A286YCV9|A0A286YCV9_MOUSE	tr|A0A2K6GF40|A0A2K6GF40_PROCO
OG0000750	sp|Q9EQW7|KI13A_MOUSE	tr|A0A2K6ESL8|A0A2K6ESL8_PROCO
OG0000753	sp|P24823|PPBN_MOUSE, sp|P24822|PPBI_MOUSE, tr|F8VPQ6|F8VPQ6_MOUSE	tr|A0A2K6F2P7|A0A2K6F2P7_PROCO
OG0000754	sp|P42682|TXK_MOUSE	tr|A0A2K6GRX8|A0A2K6GRX8_PROCO
OG0000754	sp|P24604|TEC_MOUSE	tr|A0A2K6EYQ1|A0A2K6EYQ1_PROCO
OG0000755	sp|Q8VCK3|TBG2_MOUSE	tr|A0A2K6GPN1|A0A2K6GPN1_PROCO
OG0000755	sp|P83887|TBG1_MOUSE	tr|A0A2K6G337|A0A2K6G337_PROCO
OG0000756	sp|Q02111|KPCT_MOUSE	tr|A0A2K6GLU8|A0A2K6GLU8_PROCO
OG0000756	sp|P28867|KPCD_MOUSE	tr|A0A2K6GJN2|A0A2K6GJN2_PROCO
OG0000757	sp|Q60603|KCNH1_MOUSE	tr|A0A2K6FRV5|A0A2K6FRV5_PROCO
OG0000757	sp|Q920E3|KCNH5_MOUSE	tr|A0A2K6G7H1|A0A2K6G7H1_PROCO
