Orthogroup	Mus_musculus	Canis_lupus_familiaris
OG0002469	sp|Q8BTT6|UTP25_MOUSE	tr|A0A8I3MPH5|A0A8I3MPH5_CANLF, tr|A0A8P0NE37|A0A8P0NE37_CANLF
OG0002470	sp|Q8JZM8|MUC4_MOUSE	tr|A0A8I3Q0F8|A0A8I3Q0F8_CANLF, tr|A0A8P0NEU1|A0A8P0NEU1_CANLF
OG0002471	sp|D3Z2R5|SELN_MOUSE	tr|A0A8I3NGP6|A0A8I3NGP6_CANLF, tr|A0A8P0NZR8|A0A8P0NZR8_CANLF
OG0002472	sp|P01029|CO4B_MOUSE	tr|A0A8P0PB17|A0A8P0PB17_CANLF, tr|A0A8I3NH95|A0A8I3NH95_CANLF
OG0002473	tr|E9Q9H8|E9Q9H8_MOUSE	tr|A0A8I3Q338|A0A8I3Q338_CANLF, tr|A0A8P0SHK3|A0A8P0SHK3_CANLF
OG0002474	sp|Q2HXL6|EDEM3_MOUSE	tr|A0A8P0SUA8|A0A8P0SUA8_CANLF, tr|A0A8I3MMD9|A0A8I3MMD9_CANLF
OG0002475	sp|Q91ZU9|NMD3B_MOUSE	tr|A0A8P0TLL1|A0A8P0TLL1_CANLF, tr|A0A8I3NVR9|A0A8I3NVR9_CANLF
OG0002476	sp|Q9ERL9|GCYA1_MOUSE	sp|Q4ZHS0|GCYA1_CANLF, tr|A0A8I3NA83|A0A8I3NA83_CANLF
OG0002477	sp|Q5DU05|CE164_MOUSE	tr|A0A8P0NEV4|A0A8P0NEV4_CANLF, tr|A0A8I3MKL8|A0A8I3MKL8_CANLF
OG0002478	sp|Q9CYF5|RCC1L_MOUSE	tr|A0A8I3ML78|A0A8I3ML78_CANLF, tr|A0A8P0PQX4|A0A8P0PQX4_CANLF
OG0002479	sp|Q61207|SAP_MOUSE, sp|Q8C1C1|SAPL1_MOUSE	tr|A0A8I3MQM8|A0A8I3MQM8_CANLF
OG0002481	tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE, tr|E9PWA8|E9PWA8_MOUSE	tr|A0A8I3NKV7|A0A8I3NKV7_CANLF
OG0002482	sp|Q9JJK2|LANC2_MOUSE	tr|A0A8I3NL82|A0A8I3NL82_CANLF, tr|A0A8P0PL07|A0A8P0PL07_CANLF
OG0002483	sp|O35215|DOPD_MOUSE	tr|A0A8I3NMZ2|A0A8I3NMZ2_CANLF, tr|A0A8I3Q0N2|A0A8I3Q0N2_CANLF
OG0002484	sp|Q8BJW7|EME1_MOUSE	tr|A0A8P0P8X1|A0A8P0P8X1_CANLF, tr|A0A8I3NNG9|A0A8I3NNG9_CANLF
OG0002485	sp|Q9ET78|JPH2_MOUSE	tr|A0A8P0SQH4|A0A8P0SQH4_CANLF, tr|A0A8I3NPW3|A0A8I3NPW3_CANLF
OG0002486	sp|P52793|EFNA1_MOUSE	tr|A0A8I3NS68|A0A8I3NS68_CANLF, tr|A0A8P0SLB8|A0A8P0SLB8_CANLF
OG0002487	sp|Q8VED9|LEGL_MOUSE, sp|Q7TPX9|LEGLB_MOUSE	tr|A0A8I3P7T3|A0A8I3P7T3_CANLF
OG0002488	sp|Q9EQY0|ERN1_MOUSE	tr|A0A8I3PJV6|A0A8I3PJV6_CANLF, tr|A0A8P0PLQ6|A0A8P0PLQ6_CANLF
OG0002489	sp|Q9EST8|IKBZ_MOUSE	tr|A0A8I3PPM9|A0A8I3PPM9_CANLF, tr|A0A8P0NY37|A0A8P0NY37_CANLF
OG0002490	sp|Q1HFZ0|NSUN2_MOUSE	tr|A0A8I3PU93|A0A8I3PU93_CANLF, tr|A0A8P0TTA9|A0A8P0TTA9_CANLF
OG0002491	sp|A0JLY1|CF210_MOUSE	tr|A0A8I3PXV7|A0A8I3PXV7_CANLF, tr|A0A8P0NMV8|A0A8P0NMV8_CANLF
OG0002493	sp|Q8R2Y3|DOLK_MOUSE	tr|A0A8P0NZG1|A0A8P0NZG1_CANLF, tr|A0A8I3Q6H9|A0A8I3Q6H9_CANLF
OG0002494	sp|Q8BYC6|TAOK3_MOUSE	tr|A0A8I3QEX9|A0A8I3QEX9_CANLF, tr|A0A8P0P3Z6|A0A8P0P3Z6_CANLF
OG0002495	tr|Q3U0X6|Q3U0X6_MOUSE	tr|A0A8P0SUE5|A0A8P0SUE5_CANLF, tr|A0A8I3QFY3|A0A8I3QFY3_CANLF
OG0002496	sp|P35329|CD22_MOUSE	tr|A0A8I3MUW4|A0A8I3MUW4_CANLF, tr|A0A8P0N9G1|A0A8P0N9G1_CANLF
OG0002497	sp|Q91VN2|CK071_MOUSE	tr|A0A8P0NFJ5|A0A8P0NFJ5_CANLF, tr|A0A8I3MTJ0|A0A8I3MTJ0_CANLF
OG0002498	sp|O54991|CNTP1_MOUSE	tr|A0A8I3RUF6|A0A8I3RUF6_CANLF, tr|A0A8P0NGI4|A0A8P0NGI4_CANLF
OG0002499	sp|Q9JI99|SGPP1_MOUSE	tr|A0A8P0NPW9|A0A8P0NPW9_CANLF, tr|A0A8I3RQ09|A0A8I3RQ09_CANLF
OG0002500	sp|Q5U465|CC125_MOUSE	tr|A0A8P0NZB1|A0A8P0NZB1_CANLF, tr|A0A8I3NI75|A0A8I3NI75_CANLF
OG0002501	sp|Q9EQF4|JUNO_MOUSE	tr|A0A8P0PFU9|A0A8P0PFU9_CANLF, tr|A0A8I3P9X8|A0A8I3P9X8_CANLF
OG0002502	sp|P58390|KCNN2_MOUSE	tr|A0A8P0S674|A0A8P0S674_CANLF, tr|A0A8I3RW27|A0A8I3RW27_CANLF
OG0002503	sp|P70193|LRIG1_MOUSE	tr|A0A8I3N8H2|A0A8I3N8H2_CANLF, tr|A0A8P0SC22|A0A8P0SC22_CANLF
OG0002504	sp|P97433|ARG28_MOUSE	tr|A0A8P0SY69|A0A8P0SY69_CANLF, tr|A0A8I3MXJ0|A0A8I3MXJ0_CANLF
OG0002505	sp|Q9JHJ5|5HT3B_MOUSE	tr|A0A8P0PR42|A0A8P0PR42_CANLF, tr|A0A8I3MAG0|A0A8I3MAG0_CANLF
OG0002506	tr|F6XJP7|F6XJP7_MOUSE	tr|A0A8P0NCL3|A0A8P0NCL3_CANLF, tr|A0A8I3MGG5|A0A8I3MGG5_CANLF
OG0002507	sp|Q8C163|EXOG_MOUSE	tr|A0A8I3MWF9|A0A8I3MWF9_CANLF, tr|A0A8I3Q2Y5|A0A8I3Q2Y5_CANLF
OG0002508	sp|P02772|FETA_MOUSE	sp|Q8MJU5|FETA_CANLF, tr|A0A8I3N1E6|A0A8I3N1E6_CANLF
OG0002509	sp|Q9JKV5|SCAM4_MOUSE	tr|A0A8P0T478|A0A8P0T478_CANLF, tr|A0A8I3NQA2|A0A8I3NQA2_CANLF
OG0002510	sp|Q3TVP5|OTULL_MOUSE	tr|A0A8I3NQE8|A0A8I3NQE8_CANLF, tr|A0A8P0NB88|A0A8P0NB88_CANLF
OG0002511	sp|Q9D1E8|PLCE_MOUSE	tr|A0A8P0SDT0|A0A8P0SDT0_CANLF, tr|A0A8I3P9N9|A0A8I3P9N9_CANLF
OG0002512	sp|Q9D5U5|HDHD1_MOUSE	tr|A0A8I3PJR7|A0A8I3PJR7_CANLF, tr|A0A8P0NDF9|A0A8P0NDF9_CANLF
OG0002513	sp|Q8VFK2|O1002_MOUSE, sp|Q9QY00|OL154_MOUSE	tr|A0A8I3PJW5|A0A8I3PJW5_CANLF
OG0002514	sp|P12032|TIMP1_MOUSE	sp|P81546|TIMP1_CANLF, tr|A0A8I3Q4H4|A0A8I3Q4H4_CANLF
OG0002515	sp|Q8VCG4|CO8G_MOUSE	tr|A0A8P0NLR9|A0A8P0NLR9_CANLF, tr|A0A8I3RSI3|A0A8I3RSI3_CANLF
OG0002516	sp|Q9CQP0|RM33_MOUSE	tr|A0A8I3RTC3|A0A8I3RTC3_CANLF, tr|A0A8I3Q455|A0A8I3Q455_CANLF
OG0002517	tr|Q99NB3|Q99NB3_MOUSE	tr|A0A8P0NEU8|A0A8P0NEU8_CANLF, tr|A0A8I3S271|A0A8I3S271_CANLF
OG0002518	tr|Q3ULL6|Q3ULL6_MOUSE	tr|A0A8I3PTW8|A0A8I3PTW8_CANLF, tr|A0A8P0NJM4|A0A8P0NJM4_CANLF
OG0002519	sp|Q99ME3|SNCAP_MOUSE	tr|A0A8P0PAB8|A0A8P0PAB8_CANLF, tr|A0A8I3N7S2|A0A8I3N7S2_CANLF
OG0002520	sp|P37913|DNLI1_MOUSE	tr|A0A8I3MKM1|A0A8I3MKM1_CANLF, tr|A0A8P0PF61|A0A8P0PF61_CANLF
OG0002521	sp|Q66L44|CBARP_MOUSE	tr|A0A8P0PG65|A0A8P0PG65_CANLF, tr|A0A8I3NQL7|A0A8I3NQL7_CANLF
OG0002522	sp|Q8C729|F126B_MOUSE	tr|A0A8I3QW75|A0A8I3QW75_CANLF, tr|A0A8P0PME7|A0A8P0PME7_CANLF
OG0002523	sp|Q8CHG3|GCC2_MOUSE	tr|A0A8I3NBH2|A0A8I3NBH2_CANLF, tr|A0A8P0S832|A0A8P0S832_CANLF
OG0002524	sp|Q61371|IFT88_MOUSE	tr|A0A8P0SCJ4|A0A8P0SCJ4_CANLF, tr|A0A8I3PAE0|A0A8I3PAE0_CANLF
OG0002525	sp|Q9JJN5|CBPN_MOUSE	tr|A0A8I3NYS7|A0A8I3NYS7_CANLF, tr|A0A8P0SEL5|A0A8P0SEL5_CANLF
OG0002526	sp|Q8R1C0|KCNC4_MOUSE	tr|A0A8I3MI33|A0A8I3MI33_CANLF, tr|A0A8P0TQB9|A0A8P0TQB9_CANLF
OG0002527	sp|Q9WTQ8|TIM23_MOUSE	tr|A0A8I3PN69|A0A8I3PN69_CANLF, tr|A0A8I3MH63|A0A8I3MH63_CANLF
OG0002528	sp|Q921G6|LRCH4_MOUSE	tr|A0A8P0NRA3|A0A8P0NRA3_CANLF, tr|A0A8I3MJD2|A0A8I3MJD2_CANLF
OG0002529	sp|O54751|CRX_MOUSE	tr|A0A8I3MNR8|A0A8I3MNR8_CANLF, sp|Q8SQ03|CRX_CANLF
OG0002530	sp|Q4FZC9|SYNE3_MOUSE	tr|A0A8P0TJC6|A0A8P0TJC6_CANLF, tr|A0A8I3MPE2|A0A8I3MPE2_CANLF
OG0002531	sp|P35576|G6PC1_MOUSE	sp|O19133|G6PC1_CANLF, tr|A0A8I3MZQ1|A0A8I3MZQ1_CANLF
OG0002532	sp|Q8R3Y5|CS047_MOUSE	tr|A0A8I3N6V2|A0A8I3N6V2_CANLF, tr|A0A8P0N809|A0A8P0N809_CANLF
OG0002533	sp|Q06318|UTER_MOUSE	tr|A0A8P0SVA5|A0A8P0SVA5_CANLF, tr|A0A8I3N928|A0A8I3N928_CANLF
OG0002534	sp|Q5SZ99|TRI38_MOUSE	tr|A0A8P0SFT9|A0A8P0SFT9_CANLF, tr|A0A8I3PKV3|A0A8I3PKV3_CANLF
OG0002535	sp|P48026|SAT1_MOUSE, sp|Q9D5N8|SATL1_MOUSE	tr|A0A8I3Q633|A0A8I3Q633_CANLF
OG0002536	sp|Q8CF98|COL10_MOUSE	tr|A0A8I3RST0|A0A8I3RST0_CANLF, tr|A0A8P0ST96|A0A8P0ST96_CANLF
OG0002537	sp|Q91V45|KISSR_MOUSE	tr|A0A8I3S0V2|A0A8I3S0V2_CANLF, tr|A0A8P0SNM6|A0A8P0SNM6_CANLF
OG0002538	sp|Q8VCD6|REEP2_MOUSE	tr|A0A8I3PHT6|A0A8I3PHT6_CANLF, tr|A0A8P0N4G8|A0A8P0N4G8_CANLF
OG0002539	sp|Q9Z1A9|TBCD8_MOUSE	tr|A0A8I3NIQ0|A0A8I3NIQ0_CANLF, tr|A0A8P0N5B5|A0A8P0N5B5_CANLF
OG0002540	sp|Q8BMU0|ZNF76_MOUSE	tr|A0A8I3PYT9|A0A8I3PYT9_CANLF, tr|A0A8P0P8G5|A0A8P0P8G5_CANLF
OG0002541	sp|Q9QXE4|T53I1_MOUSE	tr|A0A8I3NZ14|A0A8I3NZ14_CANLF, tr|A0A8P0PGI9|A0A8P0PGI9_CANLF
OG0002542	sp|Q8BK58|HBAP1_MOUSE	tr|A0A8I3PIF2|A0A8I3PIF2_CANLF, tr|A0A8P0PIG3|A0A8P0PIG3_CANLF
OG0002543	sp|Q6PDH0|PHLB1_MOUSE	tr|A0A8P0SH68|A0A8P0SH68_CANLF, tr|A0A8I3RRJ3|A0A8I3RRJ3_CANLF
OG0002544	sp|Q8BZG5|MT25B_MOUSE	tr|A0A8P0SL43|A0A8P0SL43_CANLF, tr|A0A8I3N2U9|A0A8I3N2U9_CANLF
OG0002546	sp|Q8BYR1|TYW4_MOUSE, tr|A0A0U1RNF2|A0A0U1RNF2_MOUSE	tr|A0A8I3MBM2|A0A8I3MBM2_CANLF
OG0002547	sp|Q8CES1|PMIS2_MOUSE	tr|A0A8I3MKT5|A0A8I3MKT5_CANLF, tr|A0A8P0NS30|A0A8P0NS30_CANLF
OG0002548	sp|Q8BPI1|KTU_MOUSE	tr|A0A8P0PJN5|A0A8P0PJN5_CANLF, tr|A0A8I3N1M9|A0A8I3N1M9_CANLF
OG0002549	sp|Q3URV1|BROMI_MOUSE	tr|A0A8I3N8U5|A0A8I3N8U5_CANLF, tr|A0A8P0S793|A0A8P0S793_CANLF
OG0002550	tr|Q3SYJ2|Q3SYJ2_MOUSE	tr|A0A8P0NSY1|A0A8P0NSY1_CANLF, tr|A0A8I3NEB1|A0A8I3NEB1_CANLF
OG0002551	sp|Q8VCN5|CGL_MOUSE	tr|A0A8I3NI47|A0A8I3NI47_CANLF, tr|A0A8P0SZF9|A0A8P0SZF9_CANLF
OG0002552	sp|Q8CHR6|DPYD_MOUSE	tr|A0A8I3NMY5|A0A8I3NMY5_CANLF, tr|A0A8P0NLI5|A0A8P0NLI5_CANLF
OG0002553	sp|Q6P1Z5|PED1A_MOUSE	tr|A0A8I3NV31|A0A8I3NV31_CANLF, tr|A0A8P0N9C2|A0A8P0N9C2_CANLF
OG0002554	sp|Q3V3A7|RN207_MOUSE	tr|A0A8P0NZY2|A0A8P0NZY2_CANLF, tr|A0A8I3PJ15|A0A8I3PJ15_CANLF
OG0002555	sp|Q9D2I5|ARMC9_MOUSE	tr|A0A8P0NSA2|A0A8P0NSA2_CANLF, tr|A0A8I3PJT1|A0A8I3PJT1_CANLF
OG0002556	sp|O70496|CLCN7_MOUSE	tr|A0A8P0P1G5|A0A8P0P1G5_CANLF, tr|A0A8I3PP54|A0A8I3PP54_CANLF
OG0002557	tr|B1AUN2|B1AUN2_MOUSE	tr|A0A8P0N7H6|A0A8P0N7H6_CANLF, tr|A0A8I3PXU7|A0A8I3PXU7_CANLF
OG0002558	sp|P31230|AIMP1_MOUSE	tr|A0A8I3N315|A0A8I3N315_CANLF, tr|A0A8I3Q1I7|A0A8I3Q1I7_CANLF
OG0002559	sp|Q8K093|TRHDE_MOUSE	tr|A0A8I3PQ64|A0A8I3PQ64_CANLF, tr|A0A8P0N3T4|A0A8P0N3T4_CANLF
OG0002560	sp|Q8VEL2|MTMRE_MOUSE	tr|A0A8I3RWY6|A0A8I3RWY6_CANLF, tr|A0A8P0N840|A0A8P0N840_CANLF
OG0002561	sp|E2JF22|PIEZ1_MOUSE	tr|A0A8I3MUY4|A0A8I3MUY4_CANLF, tr|A0A8P0NKZ3|A0A8P0NKZ3_CANLF
OG0002562	sp|Q7TSG5|SH321_MOUSE	tr|A0A8I3QB20|A0A8I3QB20_CANLF, tr|A0A8P0P2Y5|A0A8P0P2Y5_CANLF
OG0002563	sp|P10493|NID1_MOUSE	tr|A0A8P0P645|A0A8P0P645_CANLF, tr|A0A8I3MUT8|A0A8I3MUT8_CANLF
OG0002564	sp|B1AWN4|AT10B_MOUSE	tr|A0A8I3MFV6|A0A8I3MFV6_CANLF, tr|A0A8P0P395|A0A8P0P395_CANLF
OG0002565	sp|Q9D8T7|SLIRP_MOUSE	tr|A0A8I3MXF3|A0A8I3MXF3_CANLF, tr|A0A8I3Q587|A0A8I3Q587_CANLF
OG0002566	sp|P58283|RN216_MOUSE	tr|A0A8P0TEJ5|A0A8P0TEJ5_CANLF, tr|A0A8I3NDQ1|A0A8I3NDQ1_CANLF
OG0002567	sp|P57110|ATS8_MOUSE	tr|A0A8I3NE19|A0A8I3NE19_CANLF, tr|A0A8P0PRK2|A0A8P0PRK2_CANLF
OG0002568	sp|Q9D0V8|CINP_MOUSE	tr|A0A8I3P2Y8|A0A8I3P2Y8_CANLF, tr|A0A8P0ST07|A0A8P0ST07_CANLF
OG0002569	sp|Q9WVQ5|MTNB_MOUSE	tr|A0A8I3PE93|A0A8I3PE93_CANLF, tr|A0A8P0SWS4|A0A8P0SWS4_CANLF
OG0002570	sp|B2B9E1|TRIQK_MOUSE	tr|A0A8I3PMK0|A0A8I3PMK0_CANLF, tr|A0A8P0TFS9|A0A8P0TFS9_CANLF
OG0002571	sp|Q9DAL3|CCD54_MOUSE	tr|A0A8P0NC77|A0A8P0NC77_CANLF, tr|A0A8I3PMQ2|A0A8I3PMQ2_CANLF
OG0002572	tr|A0A140LIV7|A0A140LIV7_MOUSE	tr|A0A8P0T4C4|A0A8P0T4C4_CANLF, tr|A0A8I3PMS3|A0A8I3PMS3_CANLF
OG0002573	sp|Q8K1A6|C2D1A_MOUSE	tr|A0A8I3PY22|A0A8I3PY22_CANLF, tr|A0A8P0NI15|A0A8P0NI15_CANLF
OG0002574	sp|P27546|MAP4_MOUSE	tr|A0A8P0PAK1|A0A8P0PAK1_CANLF, tr|A0A8I3RVJ6|A0A8I3RVJ6_CANLF
OG0002575	sp|Q9JHS3|LTOR2_MOUSE	tr|A0A8I3RXW5|A0A8I3RXW5_CANLF, tr|A0A8I3RXH6|A0A8I3RXH6_CANLF
OG0002576	sp|P16294|FA9_MOUSE	tr|A0A8I3SCE7|A0A8I3SCE7_CANLF, sp|P19540|FA9_CANLF
OG0002577	sp|P49452|CENPC_MOUSE	tr|A0A8I3N7T7|A0A8I3N7T7_CANLF, tr|A0A8P0N5R5|A0A8P0N5R5_CANLF
OG0002578	sp|O88554|PARP2_MOUSE	tr|A0A8I3P8W2|A0A8I3P8W2_CANLF, tr|A0A8P0P1S9|A0A8P0P1S9_CANLF
OG0002579	sp|Q3UZP4|SVIP_MOUSE	tr|A0A8P0P777|A0A8P0P777_CANLF, tr|A0A8I3PJ90|A0A8I3PJ90_CANLF
OG0002580	sp|Q9WVF6|PA2GD_MOUSE	tr|A0A8I3MN96|A0A8I3MN96_CANLF, tr|A0A8P0PJH6|A0A8P0PJH6_CANLF
OG0002581	sp|Q3UJF0|GPR55_MOUSE	tr|A0A8I3PDW8|A0A8I3PDW8_CANLF, tr|A0A8P0PK19|A0A8P0PK19_CANLF
OG0002582	sp|P32115|PAX4_MOUSE	tr|A0A8I3PW34|A0A8I3PW34_CANLF, tr|A0A8P0S7M7|A0A8P0S7M7_CANLF
OG0002583	tr|Q4PLS0|Q4PLS0_MOUSE	tr|A0A8P0S8F5|A0A8P0S8F5_CANLF, tr|A0A8I3MMP5|A0A8I3MMP5_CANLF
OG0002584	tr|Q8VF55|Q8VF55_MOUSE	tr|A0A8P0SCU8|A0A8P0SCU8_CANLF, tr|A0A8I3P2X2|A0A8I3P2X2_CANLF
OG0002585	sp|Q61711|SIAL_MOUSE	tr|A0A8P0SEN8|A0A8P0SEN8_CANLF, tr|A0A8I3NNX0|A0A8I3NNX0_CANLF
OG0002586	sp|Q9EQP6|ARRC_MOUSE	tr|A0A8I3PZ53|A0A8I3PZ53_CANLF, tr|A0A8P0SKU5|A0A8P0SKU5_CANLF
OG0002587	sp|Q18PI6|SLAF5_MOUSE	tr|A0A8P0TLI8|A0A8P0TLI8_CANLF, tr|A0A8I3QM62|A0A8I3QM62_CANLF
OG0002588	sp|P28236|CXA8_MOUSE	tr|E2R603|E2R603_CANLF, tr|A0A8I3NDS4|A0A8I3NDS4_CANLF
OG0002589	sp|Q8BJU9|RF1ML_MOUSE	tr|A0A8I3M9Z8|A0A8I3M9Z8_CANLF, tr|A0A8P0S6J3|A0A8P0S6J3_CANLF
OG0002590	tr|A0A087WR45|A0A087WR45_MOUSE	tr|A0A8I3MLZ1|A0A8I3MLZ1_CANLF, tr|A0A8P0SQN6|A0A8P0SQN6_CANLF
OG0002591	tr|Q9ERT2|Q9ERT2_MOUSE, sp|P21761|TRHR_MOUSE	tr|A0A8I3NHY0|A0A8I3NHY0_CANLF
OG0002592	sp|Q8C310|ROBO4_MOUSE	tr|A0A8I3NKF3|A0A8I3NKF3_CANLF, tr|A0A8P0NCW2|A0A8P0NCW2_CANLF
OG0002593	sp|Q7TSK3|PCDH8_MOUSE	tr|A0A8I3RZY4|A0A8I3RZY4_CANLF, tr|A0A8I3NKQ6|A0A8I3NKQ6_CANLF
OG0002594	sp|Q9D620|RFIP1_MOUSE	tr|A0A8P0N8Q2|A0A8P0N8Q2_CANLF, tr|A0A8I3NT34|A0A8I3NT34_CANLF
OG0002595	sp|Q8CAI1|CC142_MOUSE	tr|A0A8P0NAU5|A0A8P0NAU5_CANLF, tr|A0A8I3NY00|A0A8I3NY00_CANLF
OG0002596	sp|Q9Z0N1|IF2G_MOUSE, sp|Q9Z0N2|IF2H_MOUSE	tr|A0A8I3P243|A0A8I3P243_CANLF
OG0002597	sp|Q61216|MRE11_MOUSE	tr|A0A8I3P7Y4|A0A8I3P7Y4_CANLF, tr|A0A8P0S9S6|A0A8P0S9S6_CANLF
OG0002598	sp|Q5Y5T5|ZDHC8_MOUSE	tr|A0A8I3PRH3|A0A8I3PRH3_CANLF, sp|Q2THW8|ZDHC8_CANLF
OG0002599	sp|C0HKD9|MFA1B_MOUSE, sp|C0HKD8|MFA1A_MOUSE	tr|A0A8I3PUS6|A0A8I3PUS6_CANLF
OG0002600	sp|Q61983|NPT1_MOUSE	tr|A0A8P0SFK8|A0A8P0SFK8_CANLF, tr|A0A8I3PWG8|A0A8I3PWG8_CANLF
OG0002601	sp|Q8BIR2|ASTE1_MOUSE	tr|A0A8P0N8R7|A0A8P0N8R7_CANLF, tr|A0A8I3PXB1|A0A8I3PXB1_CANLF
OG0002602	sp|Q8BGA8|ACSM5_MOUSE, sp|Q91VA0|ACSM1_MOUSE	tr|A0A8I3RUC4|A0A8I3RUC4_CANLF
OG0002603	sp|E9Q555|RN213_MOUSE	tr|A0A8I3RZP8|A0A8I3RZP8_CANLF, tr|A0A8P0TW30|A0A8P0TW30_CANLF
OG0002604	tr|E9Q3G8|E9Q3G8_MOUSE	tr|A0A8I3S9D7|A0A8I3S9D7_CANLF, tr|A0A8P0NCE3|A0A8P0NCE3_CANLF
OG0002605	sp|Q9QZQ1|AFAD_MOUSE	tr|A0A8I3MW05|A0A8I3MW05_CANLF, tr|A0A8P0N422|A0A8P0N422_CANLF
OG0002606	sp|Q9JJF6|EFCC1_MOUSE	tr|A0A8P0N741|A0A8P0N741_CANLF, tr|A0A8I3P958|A0A8I3P958_CANLF
OG0002607	sp|P49582|ACHA7_MOUSE	tr|A0A8I3PAT2|A0A8I3PAT2_CANLF, tr|A0A8P0NCK2|A0A8P0NCK2_CANLF
OG0002608	tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE	tr|A0A8I3P8K5|A0A8I3P8K5_CANLF, tr|A0A8P0NEP8|A0A8P0NEP8_CANLF
OG0002609	sp|Q9JIM5|YIPF7_MOUSE	tr|A0A8P0NRR4|A0A8P0NRR4_CANLF, tr|A0A8I3NWF0|A0A8I3NWF0_CANLF
OG0002610	tr|E9Q9Q2|E9Q9Q2_MOUSE	tr|A0A8P0P4A3|A0A8P0P4A3_CANLF, tr|A0A8I3NNR5|A0A8I3NNR5_CANLF
OG0002611	sp|P0CW70|D19L2_MOUSE	tr|A0A8P0PS04|A0A8P0PS04_CANLF, tr|A0A8I3S6Q3|A0A8I3S6Q3_CANLF
OG0002612	sp|P30548|NK1R_MOUSE	sp|Q5DUB3|NK1R_CANLF, tr|A0A8P0SDI4|A0A8P0SDI4_CANLF
OG0002613	sp|Q8BX70|VP13C_MOUSE	tr|A0A8I3S388|A0A8I3S388_CANLF, tr|A0A8P0SL58|A0A8P0SL58_CANLF
OG0002614	sp|Q80UF7|TCAM1_MOUSE	tr|A0A8P0SQ68|A0A8P0SQ68_CANLF, tr|A0A8I3P245|A0A8I3P245_CANLF
OG0002615	sp|Q8BUM9|UBP43_MOUSE	tr|A0A8I3MPN8|A0A8I3MPN8_CANLF, tr|A0A8P0SSV1|A0A8P0SSV1_CANLF
OG0002616	sp|A0A286YEC0|CIROP_MOUSE	tr|A0A8P0TCJ4|A0A8P0TCJ4_CANLF, tr|A0A8I3MNJ2|A0A8I3MNJ2_CANLF
OG0002617	sp|P20239|ZP2_MOUSE	sp|P47983|ZP2_CANLF, tr|A0A8I3MQB5|A0A8I3MQB5_CANLF
OG0002618	sp|Q923T7|TRIM7_MOUSE	tr|A0A8P0NRU5|A0A8P0NRU5_CANLF, tr|A0A8I3N006|A0A8I3N006_CANLF
OG0002619	sp|Q9JIH2|NUP50_MOUSE, tr|Q3V2K7|Q3V2K7_MOUSE	tr|A0A8I3N975|A0A8I3N975_CANLF
OG0002620	sp|Q64253|LY6E_MOUSE	tr|A0A8P0TMH3|A0A8P0TMH3_CANLF, tr|A0A8I3NIQ2|A0A8I3NIQ2_CANLF
OG0002621	sp|Q8BVC1|DFB22_MOUSE	tr|Q30KR5|Q30KR5_CANLF, tr|A0A8I3NXX5|A0A8I3NXX5_CANLF
OG0002622	sp|Q3TC33|CC127_MOUSE	tr|A0A8P0SFU3|A0A8P0SFU3_CANLF, tr|A0A8I3P0I6|A0A8I3P0I6_CANLF
OG0002623	sp|P43029|GDF7_MOUSE	tr|A0A8I3P139|A0A8I3P139_CANLF, tr|A0A8P0PRK1|A0A8P0PRK1_CANLF
OG0002624	sp|Q9D6K9|CERS5_MOUSE	tr|A0A8P0SDG3|A0A8P0SDG3_CANLF, tr|A0A8I3P1Y0|A0A8I3P1Y0_CANLF
OG0002625	tr|Q3U1C4|Q3U1C4_MOUSE	tr|A0A8P0NXR6|A0A8P0NXR6_CANLF, tr|A0A8I3P6G5|A0A8I3P6G5_CANLF
OG0002626	sp|Q5DTW7|RESF1_MOUSE	tr|A0A8P0SQN5|A0A8P0SQN5_CANLF, tr|A0A8I3P6Z5|A0A8I3P6Z5_CANLF
OG0002627	sp|O35177|CASL_MOUSE	sp|A0A8I3PDQ1|CASL_CANLF, tr|A0A8P0NC68|A0A8P0NC68_CANLF
OG0002628	sp|Q9CZ05|AT7L1_MOUSE	tr|A0A8I3PTW7|A0A8I3PTW7_CANLF, tr|A0A8P0NSG9|A0A8P0NSG9_CANLF
OG0002629	sp|Q8BNV1|TRM2A_MOUSE, sp|Q8BQJ6|TRM2B_MOUSE	tr|A0A8I3Q3B5|A0A8I3Q3B5_CANLF
OG0002630	sp|O08983|HPS1_MOUSE	tr|A0A8P0SEF6|A0A8P0SEF6_CANLF, tr|A0A8I3Q440|A0A8I3Q440_CANLF
OG0002631	tr|A0A1L1SR01|A0A1L1SR01_MOUSE, sp|Q9JI67|B3GT5_MOUSE	tr|A0A8I3Q8H7|A0A8I3Q8H7_CANLF
OG0002632	tr|E9PUP1|E9PUP1_MOUSE	tr|A0A8P0NL45|A0A8P0NL45_CANLF, tr|A0A8I3RPQ0|A0A8I3RPQ0_CANLF
OG0002633	sp|Q6P8M1|TATD1_MOUSE	tr|A0A8I3RWN7|A0A8I3RWN7_CANLF, tr|A0A8P0N480|A0A8P0N480_CANLF
OG0002634	sp|P22005|PENK_MOUSE	tr|A0A8P0PQS2|A0A8P0PQS2_CANLF, tr|A0A8I3S6A4|A0A8I3S6A4_CANLF
