Orthogroup	Mus_musculus	Otolemur_garnettii
OG0001127	sp|Q8BFP9|PDK1_MOUSE	tr|H0XBW3|H0XBW3_OTOGA
OG0001128	sp|P11157|RIR2_MOUSE	tr|H0WVJ3|H0WVJ3_OTOGA
OG0001128	sp|Q6PEE3|RIR2B_MOUSE	tr|H0WQ03|H0WQ03_OTOGA
OG0001129	sp|Q91Y47|FA11_MOUSE	tr|H0WJV6|H0WJV6_OTOGA
OG0001129	sp|P26262|KLKB1_MOUSE	tr|H0WJV3|H0WJV3_OTOGA
OG0001130	sp|Q5SQM0|EMAL6_MOUSE	tr|H0XPD2|H0XPD2_OTOGA
OG0001130	sp|Q8BQM8|EMAL5_MOUSE	tr|H0WRZ3|H0WRZ3_OTOGA
OG0001131	tr|Q9EQ99|Q9EQ99_MOUSE, tr|Q7TRB7|Q7TRB7_MOUSE, tr|Q9EQA0|Q9EQA0_MOUSE	tr|H0XPE4|H0XPE4_OTOGA
OG0001132	sp|P59764|DOCK4_MOUSE	tr|H0XCP0|H0XCP0_OTOGA
OG0001132	sp|Q8CIQ7|DOCK3_MOUSE	tr|H0WJT4|H0WJT4_OTOGA
OG0001133	sp|A2ARZ3|FSIP2_MOUSE	tr|H0XZC6|H0XZC6_OTOGA
OG0001133	tr|A2AF73|A2AF73_MOUSE	tr|H0XM27|H0XM27_OTOGA
OG0001134	sp|P27467|WNT3A_MOUSE	tr|H0X974|H0X974_OTOGA
OG0001134	sp|P17553|WNT3_MOUSE	tr|H0WTI2|H0WTI2_OTOGA
OG0001135	sp|P35980|RL18_MOUSE	tr|H0Y2E3|H0Y2E3_OTOGA, tr|H0XVW3|H0XVW3_OTOGA, tr|H0WN09|H0WN09_OTOGA
OG0001136	sp|Q01320|TOP2A_MOUSE	tr|H0WJ18|H0WJ18_OTOGA
OG0001136	sp|Q64511|TOP2B_MOUSE	tr|H0WKM4|H0WKM4_OTOGA
OG0001137	sp|Q8C9H6|STRP2_MOUSE	tr|H0X9M8|H0X9M8_OTOGA
OG0001137	sp|Q8C079|STRP1_MOUSE	tr|H0X847|H0X847_OTOGA
OG0001138	sp|Q8BWD8|CDK19_MOUSE	tr|H0XZX1|H0XZX1_OTOGA
OG0001138	sp|Q8R3L8|CDK8_MOUSE	tr|H0WUH0|H0WUH0_OTOGA
OG0001139	sp|Q9JHD2|KAT2A_MOUSE	tr|H0X0K8|H0X0K8_OTOGA
OG0001139	sp|Q9JHD1|KAT2B_MOUSE	tr|H0XG45|H0XG45_OTOGA
OG0001141	sp|Q8R4K8|PAPP1_MOUSE	tr|H0WP89|H0WP89_OTOGA
OG0001141	tr|E9PZ87|E9PZ87_MOUSE	tr|H0WYP7|H0WYP7_OTOGA
OG0001142	sp|P23979|5HT3A_MOUSE	tr|H0WPM8|H0WPM8_OTOGA, tr|H0WJQ4|H0WJQ4_OTOGA, tr|H0XEP6|H0XEP6_OTOGA
OG0001143	sp|P24383|WNT7A_MOUSE	tr|H0XME5|H0XME5_OTOGA
OG0001143	sp|P28047|WNT7B_MOUSE	tr|H0XNG1|H0XNG1_OTOGA
OG0001144	sp|Q8CIN6|CELF3_MOUSE	tr|B4UT14|B4UT14_OTOGA
OG0001144	sp|Q7TSY6|CELF4_MOUSE	tr|H0X1R3|H0X1R3_OTOGA
OG0001145	sp|Q922D4|PP6R3_MOUSE	tr|H0WWY1|H0WWY1_OTOGA
OG0001145	sp|Q8R3Q2|PP6R2_MOUSE	tr|H0X942|H0X942_OTOGA
OG0001146	sp|B6A8R8|TARM1_MOUSE	tr|H0WUU7|H0WUU7_OTOGA, tr|H0XNY7|H0XNY7_OTOGA, tr|H0XNH7|H0XNH7_OTOGA
OG0001147	sp|O35344|IMA4_MOUSE	tr|H0WKJ7|H0WKJ7_OTOGA
OG0001147	sp|O35343|IMA3_MOUSE	tr|H0X6W3|H0X6W3_OTOGA
OG0001148	sp|P08032|SPTA1_MOUSE	tr|H0WG20|H0WG20_OTOGA
OG0001148	sp|P16546|SPTN1_MOUSE	tr|H0WUB1|H0WUB1_OTOGA
OG0001149	sp|Q9D0R2|SYTC_MOUSE	tr|H0WZY1|H0WZY1_OTOGA
OG0001149	sp|Q8BLY2|SYTC2_MOUSE	tr|H0XAZ1|H0XAZ1_OTOGA
OG0001150	sp|Q8C6M1|UBP20_MOUSE	tr|H0X194|H0X194_OTOGA
OG0001150	sp|Q8R5K2|UBP33_MOUSE	tr|H0XAS4|H0XAS4_OTOGA
OG0001151	sp|Q3THS6|METK2_MOUSE	tr|H0XMD0|H0XMD0_OTOGA
OG0001151	sp|Q91X83|METK1_MOUSE	tr|H0WNZ8|H0WNZ8_OTOGA
OG0001152	sp|Q9D6J3|YJU2_MOUSE	tr|H0XMB5|H0XMB5_OTOGA, tr|H0WJ36|H0WJ36_OTOGA, tr|H0XPT1|H0XPT1_OTOGA
OG0001153	sp|P23492|PNPH_MOUSE, tr|Q9D8C9|Q9D8C9_MOUSE	tr|H0X8W6|H0X8W6_OTOGA, tr|H0XHZ9|H0XHZ9_OTOGA
OG0001154	sp|Q6GQS1|SCMC3_MOUSE	tr|H0WXN2|H0WXN2_OTOGA
OG0001154	sp|A2ASZ8|SCMC2_MOUSE	tr|H0XM55|H0XM55_OTOGA
OG0001155	sp|O09106|HDAC1_MOUSE	tr|H0WSN3|H0WSN3_OTOGA
OG0001155	sp|P70288|HDAC2_MOUSE	tr|H0X3X3|H0X3X3_OTOGA
OG0001156	sp|Q60972|RBBP4_MOUSE	tr|H0X574|H0X574_OTOGA
OG0001156	sp|Q60973|RBBP7_MOUSE	tr|H0XCC5|H0XCC5_OTOGA
OG0001157	sp|Q9EQD0|FZD5_MOUSE	tr|H0Y136|H0Y136_OTOGA
OG0001157	sp|Q61091|FZD8_MOUSE	tr|H0XX54|H0XX54_OTOGA
OG0001158	tr|A1L3P4|A1L3P4_MOUSE	tr|H0WMT6|H0WMT6_OTOGA
OG0001158	sp|Q8BLV3|SL9A7_MOUSE	tr|H0WTQ6|H0WTQ6_OTOGA
OG0001159	sp|Q9QZZ4|MYO15_MOUSE	tr|H0X7V0|H0X7V0_OTOGA
OG0001159	tr|I7HPW8|I7HPW8_MOUSE	tr|H0WIM4|H0WIM4_OTOGA
OG0001160	sp|P84084|ARF5_MOUSE	tr|B4USU8|B4USU8_OTOGA
OG0001160	sp|P61750|ARF4_MOUSE	tr|H0X611|H0X611_OTOGA
OG0001161	sp|Q80VL1|TDRKH_MOUSE	tr|H0XKE4|H0XKE4_OTOGA, tr|H0XXS9|H0XXS9_OTOGA, tr|H0WJG0|H0WJG0_OTOGA
OG0001162	sp|Q9JI11|STK4_MOUSE	sp|A4K2Q5|STK4_OTOGA
OG0001162	sp|Q9JI10|STK3_MOUSE	tr|H0XF62|H0XF62_OTOGA
OG0001163	sp|P63073|IF4E_MOUSE	tr|H0WSZ0|H0WSZ0_OTOGA, tr|H0WHY1|H0WHY1_OTOGA, tr|H0XP97|H0XP97_OTOGA
OG0001164	sp|P63085|MK01_MOUSE	tr|H0WZV9|H0WZV9_OTOGA
OG0001164	sp|Q63844|MK03_MOUSE	tr|H0XRG7|H0XRG7_OTOGA
OG0001165	sp|O54833|CSK22_MOUSE	tr|H0WMG3|H0WMG3_OTOGA
OG0001165	sp|Q60737|CSK21_MOUSE	tr|H0WLB6|H0WLB6_OTOGA
OG0001166	sp|Q9JKC8|AP3M1_MOUSE	tr|H0XFX9|H0XFX9_OTOGA
OG0001166	sp|Q8R2R9|AP3M2_MOUSE	tr|H0WI08|H0WI08_OTOGA
OG0001167	sp|Q8CHG7|RPGF2_MOUSE	tr|H0X3Z3|H0X3Z3_OTOGA
OG0001167	tr|Q5NCJ1|Q5NCJ1_MOUSE	tr|H0XDS7|H0XDS7_OTOGA
OG0001168	sp|Q99M96|ST7_MOUSE	tr|H0X9D4|H0X9D4_OTOGA
OG0001168	sp|Q8K4P7|ST7L_MOUSE	tr|H0XAG0|H0XAG0_OTOGA
OG0001169	sp|D3YWQ0|DGKI_MOUSE	tr|H0X3J7|H0X3J7_OTOGA
OG0001169	sp|Q80UP3|DGKZ_MOUSE	tr|H0WKJ8|H0WKJ8_OTOGA
OG0001170	sp|Q9EPL0|XYLT2_MOUSE	tr|H0XI41|H0XI41_OTOGA
OG0001170	sp|Q811B1|XYLT1_MOUSE	tr|H0X8M9|H0X8M9_OTOGA
OG0001171	sp|Q9R0E1|PLOD3_MOUSE	tr|H0XM72|H0XM72_OTOGA
OG0001171	sp|Q9R0B9|PLOD2_MOUSE	tr|H0X1I8|H0X1I8_OTOGA
OG0001172	sp|P22726|WNT5B_MOUSE	tr|H0XKZ8|H0XKZ8_OTOGA
OG0001172	sp|P22725|WNT5A_MOUSE	tr|H0WWV7|H0WWV7_OTOGA
OG0001173	sp|P98191|CDS1_MOUSE	tr|H0XV83|H0XV83_OTOGA
OG0001173	sp|Q99L43|CDS2_MOUSE	tr|H0X3G3|H0X3G3_OTOGA
OG0001174	tr|A0A804C8T0|A0A804C8T0_MOUSE	tr|H0XPT7|H0XPT7_OTOGA
OG0001174	sp|Q14AM7|HAPR1_MOUSE	tr|H0WNR0|H0WNR0_OTOGA
OG0001175	sp|Q6ZPT1|KLHL9_MOUSE	tr|H0XIL2|H0XIL2_OTOGA
OG0001175	sp|Q80TF4|KLH13_MOUSE	tr|H0XAN5|H0XAN5_OTOGA
OG0001176	sp|Q8VCR2|DHB13_MOUSE	tr|H0X0Y8|H0X0Y8_OTOGA
OG0001176	sp|Q9EQ06|DHB11_MOUSE	tr|H0X0Z1|H0X0Z1_OTOGA
OG0001177	sp|Q64471|GSTT1_MOUSE	tr|H0X1L3|H0X1L3_OTOGA
OG0001177	sp|Q99L20|GSTT3_MOUSE	tr|H0XM74|H0XM74_OTOGA
OG0001178	sp|Q8C0V0|TLK1_MOUSE	tr|H0XFS7|H0XFS7_OTOGA
OG0001178	sp|O55047|TLK2_MOUSE	tr|H0WG62|H0WG62_OTOGA
OG0001179	sp|Q8VE92|RBM4B_MOUSE	tr|H0XDR2|H0XDR2_OTOGA
OG0001179	sp|Q8C7Q4|RBM4_MOUSE	tr|H0XDR0|H0XDR0_OTOGA
OG0001180	sp|Q9EQZ7|RIMS2_MOUSE	tr|H0XAL8|H0XAL8_OTOGA
OG0001180	sp|Q99NE5|RIMS1_MOUSE	tr|H0WLR2|H0WLR2_OTOGA
OG0001181	sp|Q9JLQ2|GIT2_MOUSE	tr|H0X6J7|H0X6J7_OTOGA
OG0001181	sp|Q68FF6|GIT1_MOUSE	tr|H0WH82|H0WH82_OTOGA
OG0001182	tr|Q6IMH7|Q6IMH7_MOUSE, tr|B2RSY5|B2RSY5_MOUSE	tr|H0XX02|H0XX02_OTOGA, tr|H0XSP2|H0XSP2_OTOGA
OG0001183	tr|A2BHP7|A2BHP7_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|A2AVT0|A2AVT0_MOUSE	tr|H0Y0F8|H0Y0F8_OTOGA
OG0001184	sp|P62281|RS11_MOUSE	tr|H0XXF4|H0XXF4_OTOGA, tr|H0WQB1|H0WQB1_OTOGA, tr|H0Y154|H0Y154_OTOGA
OG0001185	sp|Q3V3R1|C1TM_MOUSE	tr|H0X4G6|H0X4G6_OTOGA
OG0001185	sp|Q922D8|C1TC_MOUSE	tr|H0WRN6|H0WRN6_OTOGA
OG0001186	sp|Q8VEJ9|VPS4A_MOUSE	tr|H0XGJ0|H0XGJ0_OTOGA
OG0001186	sp|P46467|VPS4B_MOUSE	tr|H0WKI8|H0WKI8_OTOGA
OG0001187	sp|P62812|GBRA1_MOUSE	tr|H0X380|H0X380_OTOGA
OG0001187	sp|P26048|GBRA2_MOUSE	tr|H0XVV4|H0XVV4_OTOGA
OG0001188	sp|Q03350|TSP2_MOUSE	tr|H0XDT4|H0XDT4_OTOGA
OG0001188	sp|P35441|TSP1_MOUSE	tr|H0WZD1|H0WZD1_OTOGA
OG0001189	sp|Q69ZU6|THS7A_MOUSE	tr|H0X7S0|H0X7S0_OTOGA
OG0001189	sp|Q6P4U0|THS7B_MOUSE	tr|H0XH02|H0XH02_OTOGA
OG0001190	sp|Q01405|SC23A_MOUSE	tr|H0WQ62|H0WQ62_OTOGA
OG0001190	sp|Q9D662|SC23B_MOUSE	tr|H0WQ50|H0WQ50_OTOGA
OG0001191	tr|E9Q048|E9Q048_MOUSE, tr|F6UWZ4|F6UWZ4_MOUSE, tr|Q8C5D3|Q8C5D3_MOUSE	tr|H0XBU2|H0XBU2_OTOGA
OG0001192	sp|Q5QNQ6|OSBP2_MOUSE	tr|H0X1M7|H0X1M7_OTOGA
OG0001192	sp|Q3B7Z2|OSBP1_MOUSE	tr|H0WPQ1|H0WPQ1_OTOGA
OG0001193	sp|Q8BPW0|IQCJ_MOUSE, sp|A0A088MLT8|IQIP1_MOUSE, sp|P0DPB4|SCHI1_MOUSE	tr|H0X0B3|H0X0B3_OTOGA
OG0001194	sp|Q9JHJ0|TMOD3_MOUSE	tr|H0WKC6|H0WKC6_OTOGA
OG0001194	sp|Q9JKK7|TMOD2_MOUSE	tr|H0X9R0|H0X9R0_OTOGA
OG0001195	sp|Q9WV34|MPP2_MOUSE	tr|H0WYB3|H0WYB3_OTOGA
OG0001195	sp|Q9JLB0|PALS2_MOUSE	tr|H0WMP9|H0WMP9_OTOGA
OG0001196	sp|P28650|PURA1_MOUSE	tr|H0XD68|H0XD68_OTOGA
OG0001196	sp|P46664|PURA2_MOUSE	tr|H0XR41|H0XR41_OTOGA
OG0001197	sp|Q3UYH7|ARBK2_MOUSE	tr|H0WMT1|H0WMT1_OTOGA
OG0001197	sp|Q99MK8|ARBK1_MOUSE	tr|H0X349|H0X349_OTOGA
OG0001198	sp|Q64729|TGFR1_MOUSE	tr|H0WPB6|H0WPB6_OTOGA
OG0001198	sp|Q61271|ACV1B_MOUSE	tr|H0XRV7|H0XRV7_OTOGA
OG0001199	sp|Q8BZF8|PGM5_MOUSE	tr|H0XCL7|H0XCL7_OTOGA
OG0001199	sp|Q9D0F9|PGM1_MOUSE	tr|H0WRN9|H0WRN9_OTOGA
OG0001200	tr|Q52KH6|Q52KH6_MOUSE, tr|A2BG95|A2BG95_MOUSE, tr|A3KG49|A3KG49_MOUSE	tr|H0XIR1|H0XIR1_OTOGA
OG0001201	sp|Q63932|MP2K2_MOUSE	tr|H0WJ32|H0WJ32_OTOGA
OG0001201	sp|P31938|MP2K1_MOUSE	tr|H0XE68|H0XE68_OTOGA
OG0001202	sp|Q68FE8|Z280D_MOUSE	tr|H0WJE5|H0WJE5_OTOGA
OG0001202	sp|Q6P3Y5|Z280C_MOUSE	tr|H0X7J2|H0X7J2_OTOGA
OG0001203	tr|Q8VFG3|Q8VFG3_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE	tr|H0WUT8|H0WUT8_OTOGA
OG0001204	sp|Q8CGK7|GNAL_MOUSE	tr|H0WVI4|H0WVI4_OTOGA
OG0001204	sp|Q6R0H7|GNAS1_MOUSE	tr|H0XQE5|H0XQE5_OTOGA
OG0001205	sp|O88329|MYO1A_MOUSE	tr|H0WHV7|H0WHV7_OTOGA
OG0001205	sp|P46735|MYO1B_MOUSE	tr|H0WGH5|H0WGH5_OTOGA
OG0001206	sp|Q6DIB5|MEG10_MOUSE	tr|H0WU86|H0WU86_OTOGA
OG0001206	sp|Q80T91|MEG11_MOUSE	tr|H0WWR8|H0WWR8_OTOGA
OG0001207	sp|O35709|ENC1_MOUSE	tr|H0WZK5|H0WZK5_OTOGA
OG0001207	sp|Q8R2P1|KLH25_MOUSE	tr|H0XMS5|H0XMS5_OTOGA
OG0001208	sp|Q8VE97|SRSF4_MOUSE	tr|H0XDF0|H0XDF0_OTOGA
OG0001208	sp|Q3TWW8|SRSF6_MOUSE	tr|H0XBA0|H0XBA0_OTOGA
OG0001209	tr|Q8VGW5|Q8VGW5_MOUSE	tr|H0Y067|H0Y067_OTOGA
OG0001209	tr|Q8VH18|Q8VH18_MOUSE	tr|H0XUE1|H0XUE1_OTOGA
OG0001210	sp|O54829|RGS7_MOUSE	tr|H0X1K4|H0X1K4_OTOGA
OG0001210	sp|Q9Z2H2|RGS6_MOUSE	tr|H0X970|H0X970_OTOGA
OG0001211	tr|Q80T54|Q80T54_MOUSE, tr|Q3V3A3|Q3V3A3_MOUSE, sp|P30731|GPR83_MOUSE	tr|H0WKX2|H0WKX2_OTOGA
OG0001212	sp|Q8VE73|CUL7_MOUSE	tr|H0X7K0|H0X7K0_OTOGA
OG0001212	sp|Q80TT8|CUL9_MOUSE	tr|H0XEZ7|H0XEZ7_OTOGA
OG0001213	tr|Q8VF15|Q8VF15_MOUSE	tr|H0XRT3|H0XRT3_OTOGA
OG0001213	tr|Q8VG91|Q8VG91_MOUSE	tr|H0XXN0|H0XXN0_OTOGA
OG0001214	sp|Q9EPL2|CSTN1_MOUSE	tr|H0XCZ5|H0XCZ5_OTOGA
OG0001214	sp|Q9ER65|CSTN2_MOUSE	tr|H0XGN9|H0XGN9_OTOGA
OG0001215	tr|F6YNI8|F6YNI8_MOUSE	tr|H0WXW6|H0WXW6_OTOGA, tr|H0XHK9|H0XHK9_OTOGA, tr|H0XLV6|H0XLV6_OTOGA
OG0001216	sp|P61982|1433G_MOUSE	tr|H0XKR5|H0XKR5_OTOGA
OG0001216	sp|P68510|1433F_MOUSE	tr|B5FW73|B5FW73_OTOGA
OG0001217	sp|Q8R4U6|TOP1M_MOUSE	tr|H0WVR9|H0WVR9_OTOGA
OG0001217	sp|Q04750|TOP1_MOUSE	tr|H0WYH4|H0WYH4_OTOGA
OG0001218	sp|Q5SUV5|MYLK4_MOUSE	tr|H0X0I3|H0X0I3_OTOGA
OG0001218	sp|Q3UIZ8|MYLK3_MOUSE	tr|H0WGB8|H0WGB8_OTOGA
OG0001219	sp|Q3UU96|MRCKA_MOUSE	tr|H0XFW7|H0XFW7_OTOGA
OG0001219	sp|Q7TT50|MRCKB_MOUSE	tr|H0WKS8|H0WKS8_OTOGA
OG0001220	sp|Q8BMK1|METL2_MOUSE	tr|H0XBY0|H0XBY0_OTOGA
OG0001220	sp|A2AUU0|METL8_MOUSE	tr|H0X3Q3|H0X3Q3_OTOGA
OG0001221	tr|B1AXN3|B1AXN3_MOUSE, tr|Q8BVT7|Q8BVT7_MOUSE, sp|Q8VDJ3|VIGLN_MOUSE	tr|H0WH35|H0WH35_OTOGA
OG0001222	sp|Q69ZK0|PREX1_MOUSE	tr|H0WKV2|H0WKV2_OTOGA
OG0001222	sp|Q3LAC4|PREX2_MOUSE	tr|H0WP62|H0WP62_OTOGA
OG0001223	sp|Q6DYE8|ENPP3_MOUSE	tr|H0XH88|H0XH88_OTOGA
OG0001223	sp|P06802|ENPP1_MOUSE	tr|H0XAK5|H0XAK5_OTOGA
OG0001224	sp|Q8QZR5|ALAT1_MOUSE	tr|H0X865|H0X865_OTOGA
OG0001224	sp|Q8BGT5|ALAT2_MOUSE	tr|H0XAY9|H0XAY9_OTOGA
OG0001225	sp|A3KFX0|5NT1A_MOUSE	tr|H0WN49|H0WN49_OTOGA
OG0001225	sp|Q91YE9|5NT1B_MOUSE	tr|H0WJ84|H0WJ84_OTOGA
OG0001227	sp|P01904|HA21_MOUSE, sp|P04224|HA22_MOUSE	tr|H0WUA6|H0WUA6_OTOGA, tr|H0WYE1|H0WYE1_OTOGA
OG0001228	sp|Q9QZA0|CAH5B_MOUSE	tr|H0X4M2|H0X4M2_OTOGA
OG0001228	sp|P23589|CAH5A_MOUSE	tr|H0X5S9|H0X5S9_OTOGA
OG0001229	sp|Q6PGH4|F222A_MOUSE, sp|Q6P539|F222B_MOUSE	tr|H0XLK8|H0XLK8_OTOGA, tr|H0XHJ7|H0XHJ7_OTOGA
OG0001230	sp|Q7TNT2|FACR2_MOUSE	tr|H0XDG1|H0XDG1_OTOGA
OG0001230	sp|Q922J9|FACR1_MOUSE	tr|H0WR92|H0WR92_OTOGA
OG0001231	sp|Q9R0C0|BL1S6_MOUSE	tr|H0X9M6|H0X9M6_OTOGA, tr|H0XL92|H0XL92_OTOGA, tr|H0XS26|H0XS26_OTOGA
OG0001232	sp|D3YZG8|MTD2L_MOUSE	tr|H0WLD7|H0WLD7_OTOGA
OG0001232	sp|P18155|MTDC_MOUSE	tr|H0WZV3|H0WZV3_OTOGA
OG0001233	sp|P27040|AVR2B_MOUSE	tr|H0XRP7|H0XRP7_OTOGA
OG0001233	sp|P27038|AVR2A_MOUSE	tr|H0WNZ5|H0WNZ5_OTOGA
OG0001234	sp|Q6A026|PDS5A_MOUSE	tr|H0XSX2|H0XSX2_OTOGA
OG0001234	sp|Q4VA53|PDS5B_MOUSE	tr|H0WH00|H0WH00_OTOGA
OG0001235	sp|Q91YP2|NEUL_MOUSE	tr|H0X932|H0X932_OTOGA
OG0001235	sp|Q8C1A5|THOP1_MOUSE	tr|H0WGA4|H0WGA4_OTOGA
OG0001236	sp|Q62074|KPCI_MOUSE	tr|H0WSB9|H0WSB9_OTOGA
OG0001236	sp|Q02956|KPCZ_MOUSE	tr|H0WJ10|H0WJ10_OTOGA
OG0001238	sp|P55012|S12A2_MOUSE	tr|H0WYT9|H0WYT9_OTOGA
OG0001238	sp|P55014|S12A1_MOUSE	tr|H0X3Q2|H0X3Q2_OTOGA
OG0001239	sp|Q32KI9|ARSI_MOUSE	tr|H0WQA5|H0WQA5_OTOGA
OG0001239	sp|Q8BM89|ARSJ_MOUSE	tr|H0XP66|H0XP66_OTOGA
OG0001240	sp|Q9CQS7|DPA5A_MOUSE, sp|P85965|DPA5B_MOUSE	tr|H0Y0I3|H0Y0I3_OTOGA, tr|H0WFK9|H0WFK9_OTOGA
OG0001241	sp|P70351|EZH1_MOUSE	tr|H0X1I6|H0X1I6_OTOGA
OG0001241	sp|Q61188|EZH2_MOUSE	tr|H0X2K5|H0X2K5_OTOGA
OG0001242	sp|Q8BYI6|PCAT2_MOUSE	tr|H0WPG3|H0WPG3_OTOGA
OG0001242	sp|Q9D5U0|PCT2B_MOUSE	tr|H0XSR8|H0XSR8_OTOGA
OG0001243	tr|E9Q046|E9Q046_MOUSE, tr|Q80W76|Q80W76_MOUSE, tr|E9PYJ0|E9PYJ0_MOUSE	tr|H0XN29|H0XN29_OTOGA
OG0001244	sp|P21271|MYO5B_MOUSE	tr|H0XFK7|H0XFK7_OTOGA
OG0001244	sp|Q99104|MYO5A_MOUSE	tr|H0WNA0|H0WNA0_OTOGA
OG0001245	sp|Q8CH72|TRI32_MOUSE	tr|H0Y2B1|H0Y2B1_OTOGA
OG0001245	sp|Q3UP44|NHLC4_MOUSE	tr|H0XTI2|H0XTI2_OTOGA
OG0001246	sp|Q8BK26|FBX44_MOUSE	tr|H0X139|H0X139_OTOGA
OG0001246	sp|Q9QZN4|FBX6_MOUSE	tr|H0X142|H0X142_OTOGA
OG0001247	sp|Q60673|PTPRN_MOUSE	tr|H0XDJ7|H0XDJ7_OTOGA
OG0001247	sp|P80560|PTPR2_MOUSE	tr|H0X5E7|H0X5E7_OTOGA
OG0001248	sp|Q3TKT4|SMCA4_MOUSE	tr|H0XNK8|H0XNK8_OTOGA
OG0001248	sp|Q6DIC0|SMCA2_MOUSE	tr|H0XGQ9|H0XGQ9_OTOGA
OG0001249	tr|Q8VGY7|Q8VGY7_MOUSE, tr|E9Q564|E9Q564_MOUSE, tr|Q0VBH3|Q0VBH3_MOUSE	tr|H0XST6|H0XST6_OTOGA
OG0001250	sp|Q02384|SOS2_MOUSE	tr|H0XAX0|H0XAX0_OTOGA
OG0001250	sp|Q62245|SOS1_MOUSE	tr|H0WK98|H0WK98_OTOGA
OG0001251	sp|Q6PGB8|SMCA1_MOUSE	tr|H0WPT9|H0WPT9_OTOGA
OG0001251	sp|Q91ZW3|SMCA5_MOUSE	tr|H0X136|H0X136_OTOGA
OG0001252	sp|Q7TN02|MED26_MOUSE	tr|H0XY51|H0XY51_OTOGA, tr|H0XU31|H0XU31_OTOGA, tr|H0XYT6|H0XYT6_OTOGA
OG0001253	tr|Q8VET1|Q8VET1_MOUSE, tr|A2RT31|A2RT31_MOUSE, tr|Q7TRK1|Q7TRK1_MOUSE	tr|H0XZE4|H0XZE4_OTOGA
OG0001254	sp|P62069|UBP46_MOUSE	tr|H0WZ61|H0WZ61_OTOGA
OG0001254	sp|Q9D9M2|UBP12_MOUSE	tr|H0XHS6|H0XHS6_OTOGA
OG0001255	sp|Q4VA61|DSCL1_MOUSE	tr|H0WUA8|H0WUA8_OTOGA
OG0001255	sp|Q9ERC8|DSCAM_MOUSE	tr|H0XEB7|H0XEB7_OTOGA
OG0001256	tr|B1ARV3|B1ARV3_MOUSE, tr|Q5SPH3|Q5SPH3_MOUSE, sp|O09046|OXLA_MOUSE	tr|H0WRU0|H0WRU0_OTOGA
OG0001257	sp|Q9WVP1|AP1M2_MOUSE	tr|H0XB73|H0XB73_OTOGA
OG0001257	sp|P35585|AP1M1_MOUSE	tr|H0XEJ0|H0XEJ0_OTOGA
OG0001258	sp|Q6PAL8|DEN5A_MOUSE	tr|H0WMR0|H0WMR0_OTOGA
OG0001258	sp|A2RSQ0|DEN5B_MOUSE	tr|H0WZI9|H0WZI9_OTOGA
OG0001259	sp|Q61626|GRIK5_MOUSE	tr|H0XD91|H0XD91_OTOGA
OG0001259	sp|Q8BMF5|GRIK4_MOUSE	tr|H0WIU0|H0WIU0_OTOGA
OG0001260	sp|Q8BSK8|KS6B1_MOUSE	tr|H0WX39|H0WX39_OTOGA
OG0001260	sp|Q9Z1M4|KS6B2_MOUSE	tr|H0X362|H0X362_OTOGA
OG0001261	sp|Q149L6|DJB14_MOUSE	tr|H0WRV0|H0WRV0_OTOGA
OG0001261	sp|Q9CZJ9|DJC18_MOUSE	tr|H0XTQ6|H0XTQ6_OTOGA
OG0001262	sp|Q9Z2C4|MTMR1_MOUSE	tr|H0WXM3|H0WXM3_OTOGA
OG0001262	sp|Q9Z2D1|MTMR2_MOUSE	tr|H0WST7|H0WST7_OTOGA
OG0001263	sp|Q91WS4|BHMT2_MOUSE	tr|H0WYW1|H0WYW1_OTOGA
OG0001263	sp|O35490|BHMT1_MOUSE	tr|H0WUZ8|H0WUZ8_OTOGA
OG0001264	sp|Q3UNW5|TF2L1_MOUSE	tr|H0X612|H0X612_OTOGA
OG0001264	sp|Q9ERA0|TFCP2_MOUSE	tr|H0WXF7|H0WXF7_OTOGA
OG0001265	sp|Q61391|NEP_MOUSE	tr|H0X3Q5|H0X3Q5_OTOGA
OG0001265	sp|Q9JLI3|MMEL1_MOUSE	tr|H0WNI6|H0WNI6_OTOGA
OG0001266	sp|Q9JIF0|ANM1_MOUSE	tr|H0X5U3|H0X5U3_OTOGA
OG0001266	sp|Q6PAK3|ANM8_MOUSE	tr|H0WIQ6|H0WIQ6_OTOGA
OG0001267	tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE	tr|H0XZ03|H0XZ03_OTOGA
OG0001268	sp|Q5SUA5|MYO1G_MOUSE	tr|H0WG72|H0WG72_OTOGA
OG0001268	sp|Q5SYD0|MYO1D_MOUSE	tr|H0XDA9|H0XDA9_OTOGA
OG0001269	sp|Q6DFY8|BRNP2_MOUSE	tr|H0WN01|H0WN01_OTOGA
OG0001269	sp|Q499E0|BRNP3_MOUSE	tr|H0X784|H0X784_OTOGA
OG0001270	sp|Q8R554|OTU7A_MOUSE	tr|H0WMR4|H0WMR4_OTOGA
OG0001270	sp|B2RUR8|OTU7B_MOUSE	tr|H0XKA1|H0XKA1_OTOGA
OG0001271	sp|O70126|AURKB_MOUSE	tr|H0WJR5|H0WJR5_OTOGA
