Orthogroup	Mus_musculus	Ailuropoda_melanoleuca
OG0002332	sp|Q9CR57|RL14_MOUSE	tr|A0A7N5JLZ6|A0A7N5JLZ6_AILME, tr|G1L4I1|G1L4I1_AILME
OG0002333	sp|P40124|CAP1_MOUSE	tr|A0A7N5JNV1|A0A7N5JNV1_AILME, tr|G1LCP1|G1LCP1_AILME
OG0002334	sp|Q7TN88|PK1L2_MOUSE, sp|Q2EG98|PK1L3_MOUSE	tr|A0A7N5JR88|A0A7N5JR88_AILME
OG0002335	sp|Q9R0Q8|CLC4E_MOUSE	tr|A0A7N5JU19|A0A7N5JU19_AILME, tr|G1M451|G1M451_AILME
OG0002336	sp|Q9D0L1|ZBED3_MOUSE	tr|A0A7N5JUS1|A0A7N5JUS1_AILME, tr|A0A7N5KFH9|A0A7N5KFH9_AILME
OG0002337	sp|P0DOY1|DNM3C_MOUSE, sp|O88509|DNM3B_MOUSE	tr|A0A7N5KS47|A0A7N5KS47_AILME
OG0002338	sp|Q9WTL8|BMAL1_MOUSE, sp|Q2VPD4|BMAL2_MOUSE	tr|G1LYS0|G1LYS0_AILME
OG0002339	sp|P18406|CCN1_MOUSE	tr|A0A7N5KA38|A0A7N5KA38_AILME, tr|D2HBY1|D2HBY1_AILME
OG0002340	sp|Q8K2V1|PP4R1_MOUSE	tr|G1LM07|G1LM07_AILME, tr|A0A7N5KNM6|A0A7N5KNM6_AILME
OG0002341	tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE	tr|G1MM54|G1MM54_AILME
OG0002342	sp|Q9D7Y9|SLX4I_MOUSE	tr|A0A7N5KQJ3|A0A7N5KQJ3_AILME, tr|A0A7N5JC72|A0A7N5JC72_AILME
OG0002343	sp|D2J0Y4|CJ090_MOUSE	tr|G1LL74|G1LL74_AILME, tr|A0A7N5JKK0|A0A7N5JKK0_AILME
OG0002344	sp|Q9CWX4|RUSD4_MOUSE	tr|D2HV09|D2HV09_AILME, tr|A0A7N5JWE4|A0A7N5JWE4_AILME
OG0002345	sp|Q8R507|FKTN_MOUSE, sp|Q8CG64|FKRP_MOUSE	tr|A0A7N5K425|A0A7N5K425_AILME
OG0002346	tr|F6ZNL5|F6ZNL5_MOUSE	tr|A0A7N5K626|A0A7N5K626_AILME, tr|G1M9J8|G1M9J8_AILME
OG0002347	sp|Q9DCP9|DAZP2_MOUSE	tr|A0A7N5KCQ7|A0A7N5KCQ7_AILME, tr|A0A7N5KM79|A0A7N5KM79_AILME
OG0002348	sp|Q9ESN6|TRIM2_MOUSE	tr|A0A7N5P3M3|A0A7N5P3M3_AILME, sp|D2GXS7|TRIM2_AILME
OG0002349	sp|Q921H8|THIKA_MOUSE, sp|Q8VCH0|THIKB_MOUSE	tr|D2GZQ8|D2GZQ8_AILME
OG0002350	sp|Q7TSY8|SGO2_MOUSE, tr|J3QMK1|J3QMK1_MOUSE	tr|G1LFQ1|G1LFQ1_AILME
OG0002351	sp|Q8BTW3|EXOS6_MOUSE, sp|Q921I9|EXOS4_MOUSE	tr|G1LHM3|G1LHM3_AILME
OG0002352	sp|Q921F2|TADBP_MOUSE	tr|A0A7N5JD88|A0A7N5JD88_AILME, tr|A0A7N5JF89|A0A7N5JF89_AILME
OG0002353	sp|Q91XV3|BASP1_MOUSE	tr|A0A7N5K914|A0A7N5K914_AILME, tr|A0A7N5JFA0|A0A7N5JFA0_AILME
OG0002354	sp|Q9JHU9|INO1_MOUSE	tr|A0A7N5KAA7|A0A7N5KAA7_AILME, tr|A0A7N5P4V2|A0A7N5P4V2_AILME
OG0002355	sp|O08912|GALT1_MOUSE, sp|Q8CF93|GLT13_MOUSE	tr|G1LGA8|G1LGA8_AILME
OG0002356	sp|Q91YS8|KCC1A_MOUSE, sp|Q3UHL1|CAMKV_MOUSE	tr|G1MCW8|G1MCW8_AILME
OG0002357	sp|P35235|PTN11_MOUSE	tr|G1MDY7|G1MDY7_AILME, tr|G1LPR6|G1LPR6_AILME
OG0002358	sp|P61793|LPAR1_MOUSE, sp|Q9EQ31|LPAR3_MOUSE	tr|G1MI20|G1MI20_AILME
OG0002359	sp|Q8VIM6|STRC_MOUSE	tr|A0A7N5JN44|A0A7N5JN44_AILME, tr|G1M9V2|G1M9V2_AILME
OG0002360	sp|P30276|CCNB2_MOUSE	tr|G1LDA3|G1LDA3_AILME, tr|A0A7N5K4R1|A0A7N5K4R1_AILME
OG0002361	sp|Q9D198|SYF2_MOUSE	tr|A0A7N5KNQ7|A0A7N5KNQ7_AILME, tr|G1LU87|G1LU87_AILME
OG0002362	sp|P49003|BMP5_MOUSE, sp|P20722|BMP6_MOUSE	tr|D2HAN3|D2HAN3_AILME
OG0002363	sp|Q80WY3|NANO1_MOUSE, sp|P60322|NANO2_MOUSE	tr|D2I065|D2I065_AILME
OG0002364	sp|P52760|RIDA_MOUSE	tr|G1L170|G1L170_AILME, tr|A0A7N5P2V3|A0A7N5P2V3_AILME
OG0002365	sp|P13597|ICAM1_MOUSE	tr|G1LZ98|G1LZ98_AILME, tr|G1LZ25|G1LZ25_AILME
OG0002366	sp|Q8C6C9|LEG1H_MOUSE	tr|G1M809|G1M809_AILME, tr|G1M801|G1M801_AILME
OG0002367	sp|Q80YA9|CNKR2_MOUSE, tr|F6UK53|F6UK53_MOUSE	tr|G1MDK9|G1MDK9_AILME
OG0002368	tr|Q7TRY2|Q7TRY2_MOUSE, tr|E9Q4J3|E9Q4J3_MOUSE	tr|G1MKZ5|G1MKZ5_AILME
OG0002369	sp|Q9Z2F2|OASL2_MOUSE	tr|A0A7N5P996|A0A7N5P996_AILME, tr|A0A7N5KE87|A0A7N5KE87_AILME
OG0002370	sp|Q8BR92|PALM2_MOUSE, sp|Q9Z0P4|PALM_MOUSE	tr|A0A7N5KFR1|A0A7N5KFR1_AILME
OG0002371	sp|Q9DC33|HM20A_MOUSE	tr|D2HRK5|D2HRK5_AILME, tr|A0A7N5KBA6|A0A7N5KBA6_AILME
OG0002372	sp|P04247|MYG_MOUSE	sp|Q7M3C1|MYG_AILME, tr|D2HSS2|D2HSS2_AILME
OG0002373	sp|Q9CYA0|CREL2_MOUSE, sp|Q91XD7|CREL1_MOUSE	tr|G1L631|G1L631_AILME
OG0002374	sp|B1ARI9|PRR29_MOUSE, tr|G5E8K1|G5E8K1_MOUSE	tr|G1L832|G1L832_AILME
OG0002375	sp|Q8C8M1|SHCAF_MOUSE	tr|A0A7N5JCP2|A0A7N5JCP2_AILME, tr|G1LR92|G1LR92_AILME
OG0002376	sp|O08749|DLDH_MOUSE	tr|A0A7N5JJ25|A0A7N5JJ25_AILME, tr|G1M5U2|G1M5U2_AILME
OG0002377	sp|Q9R062|GLYG_MOUSE	tr|A0A7N5JUF0|A0A7N5JUF0_AILME, tr|A0A7N5P7A9|A0A7N5P7A9_AILME
OG0002378	sp|Q8VCX5|MICU1_MOUSE	sp|D2HZB0|MICU1_AILME, tr|A0A7N5KDW2|A0A7N5KDW2_AILME
OG0002379	tr|A0A0A6YXW6|A0A0A6YXW6_MOUSE, sp|P01878|IGHA_MOUSE	tr|G1L2M2|G1L2M2_AILME
OG0002380	sp|Q9D5S1|TX19B_MOUSE, sp|Q99MV2|TX19A_MOUSE	tr|G1LMW8|G1LMW8_AILME
OG0002381	sp|P57746|VATD_MOUSE	tr|G1LNQ3|G1LNQ3_AILME, tr|A0A7N5JUL7|A0A7N5JUL7_AILME
OG0002382	sp|Q04890|SOX12_MOUSE, sp|Q62249|SOX19_MOUSE	tr|G1LXC4|G1LXC4_AILME
OG0002383	sp|Q9D6M3|GHC1_MOUSE, sp|Q9DB41|GHC2_MOUSE	tr|G1MGK8|G1MGK8_AILME
OG0002384	sp|Q9ESF4|LFG1_MOUSE	tr|A0A7N5K0G0|A0A7N5K0G0_AILME, tr|A0A7N5K0S6|A0A7N5K0S6_AILME
OG0002385	sp|P56563|LMIP_MOUSE	tr|A0A7N5KMI6|A0A7N5KMI6_AILME, tr|G1M737|G1M737_AILME
OG0002386	sp|Q9CY58|PAIRB_MOUSE	tr|A0A7N5KJD5|A0A7N5KJD5_AILME, tr|G1LD20|G1LD20_AILME
OG0002387	sp|Q9DA11|LYZL6_MOUSE	tr|G1LMT5|G1LMT5_AILME, tr|A0A7N5KA08|A0A7N5KA08_AILME
OG0002388	sp|Q9ESJ1|CABL1_MOUSE	tr|G1MG92|G1MG92_AILME, tr|G1M556|G1M556_AILME
OG0002390	tr|Q9EQ98|Q9EQ98_MOUSE, tr|Q7TRB8|Q7TRB8_MOUSE	tr|G1MMF9|G1MMF9_AILME
OG0002391	tr|E9Q519|E9Q519_MOUSE, tr|E9Q518|E9Q518_MOUSE	tr|G1MPN7|G1MPN7_AILME
OG0002392	sp|Q8C5L6|INP5K_MOUSE	tr|A0A7N5JIF4|A0A7N5JIF4_AILME, tr|G1LN91|G1LN91_AILME
OG0002393	sp|C0HKD8|MFA1A_MOUSE, sp|C0HKD9|MFA1B_MOUSE	tr|D2GW43|D2GW43_AILME
OG0002394	tr|Q3TE80|Q3TE80_MOUSE, sp|P70213|FV1_MOUSE	tr|A0A7N5J8P7|A0A7N5J8P7_AILME
OG0002395	sp|O89110|CASP8_MOUSE	tr|G1LHK8|G1LHK8_AILME, tr|G1LHI9|G1LHI9_AILME
OG0002396	sp|Q9D818|SAPC2_MOUSE, sp|Q9CY86|SAPC1_MOUSE	tr|G1LIE2|G1LIE2_AILME
OG0002397	sp|Q9CX56|PSMD8_MOUSE	tr|G1LUZ5|G1LUZ5_AILME, tr|A0A7N5JG24|A0A7N5JG24_AILME
OG0002398	sp|Q9QZ28|SIX6_MOUSE	tr|G1M401|G1M401_AILME, tr|G1L892|G1L892_AILME
OG0002400	sp|Q9D581|EFC10_MOUSE	tr|A0A7N5JVT7|A0A7N5JVT7_AILME, tr|G1LYQ1|G1LYQ1_AILME
OG0002401	sp|Q2M2N2|SPOPL_MOUSE	tr|D2HMY7|D2HMY7_AILME, tr|G1L790|G1L790_AILME
OG0002402	sp|Q8BR21|F180A_MOUSE	tr|G1LM95|G1LM95_AILME, tr|G1LZP3|G1LZP3_AILME
OG0002403	sp|P97393|RHG05_MOUSE, sp|Q91YM2|RHG35_MOUSE	tr|G1LP43|G1LP43_AILME
OG0002404	sp|P35564|CALX_MOUSE	tr|A0A7N5KBN3|A0A7N5KBN3_AILME, tr|G1LQL2|G1LQL2_AILME
OG0002405	sp|Q6PE13|PRRT3_MOUSE, sp|B2RU40|PRRT4_MOUSE	tr|G1MCG4|G1MCG4_AILME
OG0002406	sp|Q9DCS9|NDUBA_MOUSE	tr|G1LPI7|G1LPI7_AILME, tr|A0A7N5K6P0|A0A7N5K6P0_AILME
OG0002407	sp|O88445|AURKC_MOUSE	tr|A0A7N5KC04|A0A7N5KC04_AILME, tr|G1LEA0|G1LEA0_AILME
OG0002408	sp|Q5FW57|GLYAL_MOUSE, sp|Q91XE0|GLYAT_MOUSE	tr|A0A7N5P342|A0A7N5P342_AILME
OG0002409	sp|P39749|FEN1_MOUSE, sp|Q9QZ11|EXO1_MOUSE	tr|D2H9H2|D2H9H2_AILME
OG0002410	sp|Q9JMC2|INSM2_MOUSE, sp|Q63ZV0|INSM1_MOUSE	tr|D2HKI4|D2HKI4_AILME
OG0002411	sp|Q9D1P0|RM13_MOUSE	tr|A0A7N5K1S1|A0A7N5K1S1_AILME, tr|G1L619|G1L619_AILME
OG0002412	sp|J3QNX5|SHSA8_MOUSE, sp|Q9CZN4|SHSA9_MOUSE	tr|A0A7N5JHR5|A0A7N5JHR5_AILME
OG0002413	sp|Q8VC52|RBPS2_MOUSE, sp|Q9WVB0|RBPMS_MOUSE	tr|A0A7N5P330|A0A7N5P330_AILME
OG0002414	sp|B1AVH7|TBD2A_MOUSE	tr|G1LD85|G1LD85_AILME, sp|D2H0G5|TBD2A_AILME
OG0002415	sp|Q7M757|BRC3L_MOUSE, sp|P46737|BRCC3_MOUSE	tr|G1LZT1|G1LZT1_AILME
OG0002416	sp|P97799|NRSN1_MOUSE	tr|A0A7N5JSR9|A0A7N5JSR9_AILME, tr|A0A7N5JMJ0|A0A7N5JMJ0_AILME
OG0002417	sp|Q6V595|KLHL6_MOUSE, sp|Q8BRG6|KLH24_MOUSE	tr|A0A7N5KM03|A0A7N5KM03_AILME
OG0002418	sp|Q6XQH0|G3ST2_MOUSE, tr|Q3ULK5|Q3ULK5_MOUSE	tr|A0A7N5KQZ6|A0A7N5KQZ6_AILME
OG0002419	tr|F8VPU6|F8VPU6_MOUSE, sp|P70398|USP9X_MOUSE	tr|G1LK65|G1LK65_AILME
OG0002420	sp|P53798|FDFT_MOUSE	tr|A0A7N5JGC4|A0A7N5JGC4_AILME, tr|A0A7N5JAU6|A0A7N5JAU6_AILME
OG0002421	sp|Q8BIV3|RNBP6_MOUSE, sp|Q8BKC5|IPO5_MOUSE	tr|G1LB35|G1LB35_AILME
OG0002422	tr|B1AZR0|B1AZR0_MOUSE, sp|Q9JI74|KLHL1_MOUSE	tr|G1LDZ2|G1LDZ2_AILME
OG0002423	sp|P62342|SELT_MOUSE	tr|A0A7N5JJB7|A0A7N5JJB7_AILME, tr|G1LQ42|G1LQ42_AILME
OG0002424	sp|P70182|PI51A_MOUSE	tr|A0A7N5KEQ6|A0A7N5KEQ6_AILME, tr|G1LGQ0|G1LGQ0_AILME
OG0002425	sp|Q99L45|IF2B_MOUSE	tr|A0A7N5JV45|A0A7N5JV45_AILME, tr|A0A7N5KL16|A0A7N5KL16_AILME
OG0002426	sp|Q9CWS1|RN135_MOUSE, sp|Q61510|TRI25_MOUSE	tr|A0A7N5P561|A0A7N5P561_AILME
OG0002427	sp|P97760|RPB3_MOUSE	tr|D2GTX3|D2GTX3_AILME, tr|A0A7N5KQI9|A0A7N5KQI9_AILME
OG0002428	sp|Q3UX83|1A1L2_MOUSE, sp|A2AIG8|1A1L1_MOUSE	tr|G1LDV9|G1LDV9_AILME
OG0002429	sp|Q640M1|UT14A_MOUSE, sp|Q6EJB6|UT14B_MOUSE	tr|G1M934|G1M934_AILME
OG0002430	sp|P30280|CCND2_MOUSE, sp|P25322|CCND1_MOUSE	tr|A0A7N5P3R9|A0A7N5P3R9_AILME
OG0002431	sp|P55271|CDN2B_MOUSE	tr|D2H5B1|D2H5B1_AILME, tr|A0A7N5P6A9|A0A7N5P6A9_AILME
OG0002432	tr|Q8CDE8|Q8CDE8_MOUSE, sp|Q5IBH6|SPE4A_MOUSE	tr|G1LJC3|G1LJC3_AILME
OG0002433	sp|Q9JKB1|UCHL3_MOUSE, sp|P58321|UCHL4_MOUSE	tr|A0A7N5KM99|A0A7N5KM99_AILME
OG0002434	sp|Q60867|NDF1_MOUSE	tr|A0A7N5KIS9|A0A7N5KIS9_AILME, tr|D2HJ32|D2HJ32_AILME
OG0002435	sp|Q91YE9|5NT1B_MOUSE, sp|A3KFX0|5NT1A_MOUSE	tr|D2I598|D2I598_AILME
OG0002436	sp|Q8R015|BL1S5_MOUSE	tr|G1MG16|G1MG16_AILME, tr|A0A7N5JME0|A0A7N5JME0_AILME
OG0002437	sp|Q8R0W6|NFIP1_MOUSE	tr|A0A7N5PAP2|A0A7N5PAP2_AILME, tr|A0A7N5JQJ6|A0A7N5JQJ6_AILME
OG0002438	sp|P19783|COX41_MOUSE	tr|A0A7N5K8C4|A0A7N5K8C4_AILME, tr|G1MIX7|G1MIX7_AILME
OG0002439	sp|Q7M732|RTL1_MOUSE	tr|A0A7N5P0P6|A0A7N5P0P6_AILME, tr|G1LX15|G1LX15_AILME
OG0002440	sp|Q62418|DBNL_MOUSE	tr|A0A7N5KLM3|A0A7N5KLM3_AILME, tr|A0A7N5P265|A0A7N5P265_AILME
OG0002441	sp|Q9D695|SPB7_MOUSE	tr|G1M9I2|G1M9I2_AILME, tr|D2HUT1|D2HUT1_AILME
OG0002442	sp|P0DMN7|DCAM1_MOUSE, sp|D3Z6H8|DCAM2_MOUSE	tr|G1L9Z3|G1L9Z3_AILME
OG0002443	tr|J3QPY3|J3QPY3_MOUSE, sp|Q9WUD8|FAIM1_MOUSE	tr|G1LF27|G1LF27_AILME
OG0002444	sp|Q8K0Q5|RHG18_MOUSE, sp|E9Q6X9|RHG40_MOUSE	tr|A0A7N5JAC8|A0A7N5JAC8_AILME
OG0002445	tr|A0A0B4J1G7|A0A0B4J1G7_MOUSE, sp|P04214|TVB6_MOUSE	tr|A0A7N5JPN0|A0A7N5JPN0_AILME
OG0002446	sp|Q8R2H9|PHOP1_MOUSE, sp|Q9D9M5|PHOP2_MOUSE	tr|A0A7N5P689|A0A7N5P689_AILME
OG0002447	sp|A2A7Z8|ADCL3_MOUSE	tr|G1LJJ0|G1LJJ0_AILME, tr|A0A7N5JQB1|A0A7N5JQB1_AILME
OG0002448	sp|Q9CZA6|NDE1_MOUSE	tr|G1LSL7|G1LSL7_AILME, tr|G1MKJ0|G1MKJ0_AILME
OG0002449	sp|P20443|ARRS_MOUSE	tr|A0A7N5KQL1|A0A7N5KQL1_AILME, tr|G1MD04|G1MD04_AILME
OG0002450	tr|Q61635|Q61635_MOUSE	tr|A0A7N5JD25|A0A7N5JD25_AILME, tr|G1MKQ8|G1MKQ8_AILME
OG0002451	sp|P52293|IMA1_MOUSE	tr|A0A7N5P130|A0A7N5P130_AILME, tr|A0A7N5JH66|A0A7N5JH66_AILME
OG0002452	sp|Q8R191|SNG3_MOUSE, sp|O55100|SNG1_MOUSE	tr|A0A7N5KKI4|A0A7N5KKI4_AILME
OG0002453	tr|Q5RKV8|Q5RKV8_MOUSE, sp|A1L314|MPEG1_MOUSE	tr|D2HZE0|D2HZE0_AILME
OG0002454	sp|Q9CZ83|RM55_MOUSE	tr|A0A7N5JUQ8|A0A7N5JUQ8_AILME, tr|G1MCX3|G1MCX3_AILME
OG0002455	sp|Q3V124|EID3_MOUSE, tr|G3XA30|G3XA30_MOUSE	tr|A0A7N5JG88|A0A7N5JG88_AILME
OG0002456	sp|P28656|NP1L1_MOUSE	tr|G1LIU3|G1LIU3_AILME, tr|G1LAD9|G1LAD9_AILME
OG0002457	sp|Q8CCK0|H2AW_MOUSE, sp|Q9QZQ8|H2AY_MOUSE	tr|G1MHR3|G1MHR3_AILME
OG0002458	sp|P28229|CXG1_MOUSE, sp|Q8BQU6|CXG2_MOUSE	tr|D2HCW4|D2HCW4_AILME
OG0002459	sp|P04441|HG2A_MOUSE	tr|G1LDD9|G1LDD9_AILME, tr|A0A7N5K6Y7|A0A7N5K6Y7_AILME
OG0002460	sp|Q8R173|ZDHC3_MOUSE	tr|G1L5V2|G1L5V2_AILME, tr|G1M081|G1M081_AILME
OG0002461	sp|P70412|CUZD1_MOUSE, sp|Q8R4W6|PCOC2_MOUSE	tr|G1M253|G1M253_AILME
OG0002462	sp|Q5PT54|NTCP5_MOUSE, sp|P21129|P3_MOUSE	tr|G1L0G8|G1L0G8_AILME
OG0002463	sp|P58544|BTBD1_MOUSE, tr|E9PUS2|E9PUS2_MOUSE	tr|G1L179|G1L179_AILME
OG0002464	sp|O08677|KNG1_MOUSE, tr|Q6S9I3|Q6S9I3_MOUSE	tr|G1L2E0|G1L2E0_AILME
OG0002465	sp|Q9CQ07|LRC18_MOUSE	tr|G1LV04|G1LV04_AILME, tr|A0A7N5J8W0|A0A7N5J8W0_AILME
OG0002466	sp|Q9D9G3|CHIC2_MOUSE	tr|G1MJ55|G1MJ55_AILME, tr|A0A7N5JF97|A0A7N5JF97_AILME
OG0002467	tr|Q9D7L5|Q9D7L5_MOUSE, sp|Q8BHD4|FRMD3_MOUSE	tr|A0A7N5JR36|A0A7N5JR36_AILME
OG0002468	sp|Q9CWT2|BEX4_MOUSE, sp|Q3TZW7|BEX6_MOUSE	tr|D2I6F6|D2I6F6_AILME
OG0002469	sp|Q61878|PRG2_MOUSE, sp|Q9JL95|PRG3_MOUSE	tr|G1M7A8|G1M7A8_AILME
OG0002470	tr|Q8VH14|Q8VH14_MOUSE, tr|Q8VGX7|Q8VGX7_MOUSE	tr|A0A7N5JFX4|A0A7N5JFX4_AILME
OG0002471	sp|Q5SSZ5|TENS3_MOUSE	tr|A0A7N5JT78|A0A7N5JT78_AILME, tr|A0A7N5P878|A0A7N5P878_AILME
OG0002472	sp|O70218|HMX1_MOUSE, sp|P42581|HMX3_MOUSE	tr|A0A7N5KAQ3|A0A7N5KAQ3_AILME
OG0002473	sp|O35740|CITE2_MOUSE	tr|A0A7N5KGU4|A0A7N5KGU4_AILME, tr|A0A7N5JZS0|A0A7N5JZS0_AILME
OG0002474	sp|Q6P9Q4|FHOD1_MOUSE, sp|Q76LL6|FHOD3_MOUSE	tr|G1L260|G1L260_AILME
OG0002475	sp|P47740|AL3A2_MOUSE, sp|P47739|AL3A1_MOUSE	tr|G1LCM7|G1LCM7_AILME
OG0002476	tr|E9Q6S0|E9Q6S0_MOUSE	tr|G1LVP3|G1LVP3_AILME, tr|A0A7N5JRY6|A0A7N5JRY6_AILME
OG0002477	tr|Q8VFQ3|Q8VFQ3_MOUSE, tr|Q8VFQ4|Q8VFQ4_MOUSE	tr|G1MNY3|G1MNY3_AILME
OG0002478	sp|Q91WB2|PLPP7_MOUSE	tr|A0A7N5JLP3|A0A7N5JLP3_AILME, tr|A0A7N5KAH7|A0A7N5KAH7_AILME
OG0002479	sp|Q149R9|LPAR5_MOUSE	tr|A0A7N5KQR0|A0A7N5KQR0_AILME, tr|A0A7N5P6M8|A0A7N5P6M8_AILME
OG0002480	sp|Q8VI38|GBGT1_MOUSE, sp|P38649|BGAT_MOUSE	tr|A0A7N5P5Y3|A0A7N5P5Y3_AILME
OG0002481	sp|Q3UVU3|ZNT10_MOUSE, sp|Q60738|ZNT1_MOUSE	tr|D2H655|D2H655_AILME
OG0002482	sp|P11276|FINC_MOUSE	tr|A0A7N5KK19|A0A7N5KK19_AILME, tr|G1LA89|G1LA89_AILME
OG0002483	sp|P58019|CD59B_MOUSE, sp|O55186|CD59A_MOUSE	tr|G1LL89|G1LL89_AILME
OG0002484	sp|Q8BTU1|CFA20_MOUSE	tr|G1MFS2|G1MFS2_AILME, tr|A0A7N5JGY3|A0A7N5JGY3_AILME
OG0002485	sp|P51885|LUM_MOUSE	tr|A0A7N5JNP5|A0A7N5JNP5_AILME, tr|G1M7Y9|G1M7Y9_AILME
OG0002486	sp|P24622|CRYAA_MOUSE	tr|A0A7N5JPR8|A0A7N5JPR8_AILME, tr|G1LJP3|G1LJP3_AILME
OG0002487	sp|Q9ES90|GPR35_MOUSE	tr|A0A7N5JVB6|A0A7N5JVB6_AILME, tr|A0A7N5KC54|A0A7N5KC54_AILME
OG0002488	sp|Q8BTI9|PK3CB_MOUSE, sp|O35904|PK3CD_MOUSE	tr|G1LF96|G1LF96_AILME
OG0002489	sp|P0CC03|ST6B1_MOUSE	tr|G1MGT1|G1MGT1_AILME, tr|A0A7N5KNY6|A0A7N5KNY6_AILME
OG0002491	sp|Q6NXK5|DUS11_MOUSE	tr|A0A7N5P1H3|A0A7N5P1H3_AILME, tr|A0A7N5P3N4|A0A7N5P3N4_AILME
OG0002492	sp|P34986|OLF6_MOUSE, tr|Q8VGL1|Q8VGL1_MOUSE	tr|G1MPE5|G1MPE5_AILME
OG0002493	sp|Q69ZX6|MOR2A_MOUSE, sp|Q8C5W4|MOR2B_MOUSE	tr|A0A7N5JEB4|A0A7N5JEB4_AILME
OG0002494	sp|Q9D8Y0|EFHD2_MOUSE, sp|Q9D4J1|EFHD1_MOUSE	tr|A0A7N5K3T9|A0A7N5K3T9_AILME
OG0002495	sp|Q8CH62|LTO1_MOUSE	tr|A0A7N5K3Z7|A0A7N5K3Z7_AILME, tr|G1L5C2|G1L5C2_AILME
OG0002496	sp|Q8CBE3|WDR37_MOUSE, sp|Q99LC2|CSTF1_MOUSE	tr|A0A7N5KBF9|A0A7N5KBF9_AILME
OG0002497	sp|Q9D832|DNJB4_MOUSE, sp|Q9QYJ3|DNJB1_MOUSE	tr|D2HJ67|D2HJ67_AILME
OG0002498	tr|A2AVK5|A2AVK5_MOUSE	tr|G1ML52|G1ML52_AILME, tr|A0A7N5KF68|A0A7N5KF68_AILME
OG0002499	sp|Q9QYG0|NDRG2_MOUSE	tr|A0A7N5JC74|A0A7N5JC74_AILME, tr|A0A7N5JST2|A0A7N5JST2_AILME
OG0002501	sp|Q80UC6|GPR62_MOUSE, sp|Q8C010|GPR61_MOUSE	tr|D2HBH5|D2HBH5_AILME
OG0002502	sp|P08101|FCGR2_MOUSE, sp|P08508|FCGR3_MOUSE	tr|G1L4G4|G1L4G4_AILME
OG0002503	tr|A0A6I8MX03|A0A6I8MX03_MOUSE, sp|Q921J4|UBE2S_MOUSE	tr|G1LAQ6|G1LAQ6_AILME
OG0002504	sp|P52912|TIA1_MOUSE	tr|A0A7N5JYS2|A0A7N5JYS2_AILME, tr|G1MC90|G1MC90_AILME
OG0002505	sp|Q9ES07|S15A2_MOUSE, sp|Q9JIP7|S15A1_MOUSE	tr|G1M6M9|G1M6M9_AILME
OG0002506	sp|Q91YJ3|THYN1_MOUSE	tr|A0A7N5JTY0|A0A7N5JTY0_AILME, tr|G1LL90|G1LL90_AILME
OG0002507	sp|P54227|STMN1_MOUSE	tr|G1LUS1|G1LUS1_AILME, tr|A0A7N5JYS1|A0A7N5JYS1_AILME
OG0002508	sp|Q8CGR7|UPP2_MOUSE, sp|P52624|UPP1_MOUSE	tr|A0A7N5K2X8|A0A7N5K2X8_AILME
OG0002509	sp|O88597|BECN1_MOUSE	tr|G1MKJ1|G1MKJ1_AILME, tr|A0A7N5K7W5|A0A7N5K7W5_AILME
OG0002510	sp|B1AZI6|THOC2_MOUSE, tr|E9Q5E2|E9Q5E2_MOUSE	tr|G1M8K4|G1M8K4_AILME
OG0002511	sp|P41230|KDM5C_MOUSE, sp|Q62240|KDM5D_MOUSE	tr|A0A7N5P3U9|A0A7N5P3U9_AILME
OG0002512	sp|Q9D306|MGT4C_MOUSE	tr|G1MP96|G1MP96_AILME, tr|D2HY50|D2HY50_AILME
OG0002513	sp|Q3U492|KCP_MOUSE, sp|Q9JLL0|CRIM1_MOUSE	tr|G1LEQ3|G1LEQ3_AILME
OG0002514	sp|Q3UHX2|HAP28_MOUSE	tr|G1LI61|G1LI61_AILME, tr|A0A7N5JSJ2|A0A7N5JSJ2_AILME
OG0002515	sp|Q9JLK7|CABP1_MOUSE	tr|A0A7N5K9Y1|A0A7N5K9Y1_AILME, tr|A0A7N5KPD2|A0A7N5KPD2_AILME
OG0002516	sp|P52483|UB2E3_MOUSE	tr|A0A7N5KLY2|A0A7N5KLY2_AILME, tr|A0A7N5KHR7|A0A7N5KHR7_AILME
OG0002517	sp|Q9JLB9|NECT3_MOUSE	tr|A0A7N5P0P2|A0A7N5P0P2_AILME, tr|G1MIM9|G1MIM9_AILME
OG0002518	sp|Q62465|VAT1_MOUSE	tr|A0A7N5JSS0|A0A7N5JSS0_AILME, tr|G1L7Q6|G1L7Q6_AILME
OG0002519	sp|C0HKG6|RNT2B_MOUSE, sp|C0HKG5|RNT2A_MOUSE	tr|G1LS38|G1LS38_AILME
OG0002520	sp|Q6P1G0|HEAT6_MOUSE	tr|G1M3A5|G1M3A5_AILME, tr|A0A7N5JJ54|A0A7N5JJ54_AILME
OG0002521	sp|Q61212|NPY6R_MOUSE, sp|Q04573|NPY1R_MOUSE	tr|D2HXK2|D2HXK2_AILME
OG0002522	sp|P97792|CXAR_MOUSE, tr|Q1RME4|Q1RME4_MOUSE	tr|G1M7I6|G1M7I6_AILME
OG0002523	sp|P70257|NFIX_MOUSE	tr|A0A7N5JYY1|A0A7N5JYY1_AILME, tr|A0A7N5JN20|A0A7N5JN20_AILME
