Orthogroup	Mus_musculus	Balaenoptera_physalus
OG0000649	sp|Q08369|GATA4_MOUSE	tr|A0A6A1Q302|A0A6A1Q302_BALPH
OG0000649	sp|P97489|GATA5_MOUSE	tr|A0A6A1Q952|A0A6A1Q952_BALPH
OG0000649	sp|Q61169|GATA6_MOUSE	tr|A0A6A1QIW9|A0A6A1QIW9_BALPH
OG0000650	sp|Q9Z1B7|MK13_MOUSE	tr|A0A643CG93|A0A643CG93_BALPH
OG0000650	sp|Q9WUI1|MK11_MOUSE, sp|P47811|MK14_MOUSE, sp|O08911|MK12_MOUSE	tr|A0A643CAK2|A0A643CAK2_BALPH
OG0000651	sp|P29387|GBB4_MOUSE	tr|A0A643CK36|A0A643CK36_BALPH
OG0000651	sp|P62880|GBB2_MOUSE	tr|A0A643CDL6|A0A643CDL6_BALPH
OG0000651	sp|P62874|GBB1_MOUSE	tr|A0A643CHT6|A0A643CHT6_BALPH
OG0000652	sp|P61315|G3ST3_MOUSE	tr|A0A6A1QH85|A0A6A1QH85_BALPH
OG0000652	tr|Q3ULK5|Q3ULK5_MOUSE, sp|Q6XQH0|G3ST2_MOUSE, sp|Q9JHE4|G3ST1_MOUSE	tr|A0A6A1QBW0|A0A6A1QBW0_BALPH
OG0000653	sp|Q8BL65|ABLM2_MOUSE	tr|A0A6A1QGC4|A0A6A1QGC4_BALPH
OG0000653	sp|Q69ZX8|ABLM3_MOUSE	tr|A0A643C2R4|A0A643C2R4_BALPH
OG0000653	sp|Q8K4G5|ABLM1_MOUSE	tr|A0A6A1QGU5|A0A6A1QGU5_BALPH
OG0000654	sp|P59108|CPNE2_MOUSE	tr|A0A643BYT3|A0A643BYT3_BALPH
OG0000654	sp|Q8BT60|CPNE3_MOUSE	tr|A0A643CFE4|A0A643CFE4_BALPH
OG0000654	sp|Q8C166|CPNE1_MOUSE	tr|A0A643CFK4|A0A643CFK4_BALPH
OG0000655	tr|E9PUL3|E9PUL3_MOUSE, tr|Q9EQR4|Q9EQR4_MOUSE, sp|Q9QX15|CA3A1_MOUSE, tr|Q3UW98|Q3UW98_MOUSE, sp|Q6Q473|CLA4A_MOUSE	tr|A0A643BPK3|A0A643BPK3_BALPH
OG0000656	sp|Q2VLH6|C163A_MOUSE	tr|A0A643CAF6|A0A643CAF6_BALPH
OG0000656	sp|Q8BV57|SRCRL_MOUSE, tr|A0A1B0GSB0|A0A1B0GSB0_MOUSE, tr|B3F5L4|B3F5L4_MOUSE	tr|A0A643CAT6|A0A643CAT6_BALPH
OG0000657	tr|E9PXF3|E9PXF3_MOUSE, tr|G3X9P9|G3X9P9_MOUSE, tr|D3Z741|D3Z741_MOUSE, sp|Q91ZX6|SENP2_MOUSE, sp|P59110|SENP1_MOUSE	tr|A0A6A1QEJ6|A0A6A1QEJ6_BALPH
OG0000658	sp|Q05A56|HYAL4_MOUSE, tr|Q9D4E9|Q9D4E9_MOUSE, sp|O35632|HYAL2_MOUSE, sp|Q8VEI3|HYAL3_MOUSE, sp|Q91ZJ9|HYAL1_MOUSE	tr|A0A643CDA3|A0A643CDA3_BALPH
OG0000684	sp|Q9DCD0|6PGD_MOUSE	tr|A0A6A1Q100|A0A6A1Q100_BALPH, tr|A0A6A1Q0N7|A0A6A1Q0N7_BALPH, tr|A0A6A1Q049|A0A6A1Q049_BALPH, tr|A0A643BUM8|A0A643BUM8_BALPH
OG0000685	sp|P26039|TLN1_MOUSE	tr|A0A643BYQ2|A0A643BYQ2_BALPH
OG0000685	sp|Q9ERE8|TLRN1_MOUSE, sp|Q71LX4|TLN2_MOUSE	tr|A0A6A1QJI3|A0A6A1QJI3_BALPH
OG0000686	tr|F8VPK8|F8VPK8_MOUSE	tr|A0A643C3F7|A0A643C3F7_BALPH
OG0000686	tr|F6ZNL5|F6ZNL5_MOUSE	tr|A0A643CBI7|A0A643CBI7_BALPH, tr|A0A643CAJ3|A0A643CAJ3_BALPH
OG0000687	sp|Q9D9V2|EQTN_MOUSE	tr|A0A643BSH4|A0A643BSH4_BALPH
OG0000687	sp|Q7TT28|REXO1_MOUSE	tr|A0A643BMB9|A0A643BMB9_BALPH, tr|A0A643BSK3|A0A643BSK3_BALPH
OG0000688	sp|P58463|FOXP2_MOUSE	tr|A0A643CI64|A0A643CI64_BALPH
OG0000688	sp|Q9DBY0|FOXP4_MOUSE, sp|P58462|FOXP1_MOUSE	tr|A0A6A1QBA2|A0A6A1QBA2_BALPH
OG0000689	sp|Q80UE6|WNK4_MOUSE	tr|A0A643CBY7|A0A643CBY7_BALPH
OG0000689	sp|Q80XP9|WNK3_MOUSE, sp|Q3UH66|WNK2_MOUSE	tr|A0A6A1Q641|A0A6A1Q641_BALPH
OG0000690	sp|P62317|SMD2_MOUSE	tr|A0A643CEC4|A0A643CEC4_BALPH, tr|A0A643BWT2|A0A643BWT2_BALPH, tr|A0A6A1Q8W8|A0A6A1Q8W8_BALPH, tr|A0A6A1Q2A2|A0A6A1Q2A2_BALPH
OG0000691	sp|Q9D7F7|CHM4C_MOUSE	tr|A0A643CD01|A0A643CD01_BALPH
OG0000691	sp|Q9D8B3|CHM4B_MOUSE	tr|A0A643BR87|A0A643BR87_BALPH, tr|A0A6A1Q3R9|A0A6A1Q3R9_BALPH
OG0000692	sp|Q9ET77|JPH3_MOUSE	tr|A0A6A1QAG4|A0A6A1QAG4_BALPH
OG0000692	sp|Q9ET78|JPH2_MOUSE, sp|Q9ET80|JPH1_MOUSE	tr|A0A643CLS4|A0A643CLS4_BALPH
OG0000693	sp|O35409|FOLH1_MOUSE	tr|A0A6A1QH40|A0A6A1QH40_BALPH
OG0000693	tr|A0A0N4SUJ3|A0A0N4SUJ3_MOUSE, sp|Q9CZR2|NALD2_MOUSE	tr|A0A6A1QF55|A0A6A1QF55_BALPH
OG0000694	sp|Q5DU25|IQEC2_MOUSE	tr|A0A643BQI9|A0A643BQI9_BALPH
OG0000694	sp|Q3TES0|IQEC3_MOUSE, sp|Q8R0S2|IQEC1_MOUSE	tr|A0A643BS35|A0A643BS35_BALPH
OG0000695	sp|Q9JIK5|DDX21_MOUSE	tr|A0A643BUB1|A0A643BUB1_BALPH
OG0000695	sp|Q99MJ9|DDX50_MOUSE	tr|A0A643BU27|A0A643BU27_BALPH, tr|A0A643BZ19|A0A643BZ19_BALPH
OG0000696	sp|Q9JM62|REEP6_MOUSE	tr|A0A643BSX4|A0A643BSX4_BALPH
OG0000696	sp|Q60870|REEP5_MOUSE	tr|A0A6A1QE24|A0A6A1QE24_BALPH, tr|A0A643AUE8|A0A643AUE8_BALPH
OG0000697	sp|Q8C7Q4|RBM4_MOUSE, sp|Q8VE92|RBM4B_MOUSE	tr|A0A6A1QEH2|A0A6A1QEH2_BALPH, tr|A0A6A1QHC9|A0A6A1QHC9_BALPH, tr|A0A6A1QHX1|A0A6A1QHX1_BALPH
OG0000698	sp|Q5SYD0|MYO1D_MOUSE	tr|A0A643CID4|A0A643CID4_BALPH
OG0000698	sp|Q5SUA5|MYO1G_MOUSE	tr|A0A643CJH4|A0A643CJH4_BALPH, tr|A0A6A1QMA5|A0A6A1QMA5_BALPH
OG0000699	sp|Q8VDF3|DAPK2_MOUSE	tr|A0A6A1Q969|A0A6A1Q969_BALPH
OG0000699	sp|O54784|DAPK3_MOUSE	tr|A0A6A1QI17|A0A6A1QI17_BALPH, tr|A0A643C9K2|A0A643C9K2_BALPH
OG0000700	sp|Q99LB2|DHRS4_MOUSE	tr|A0A643BSE2|A0A643BSE2_BALPH
OG0000700	tr|Q149L0|Q149L0_MOUSE	tr|A0A643BRA6|A0A643BRA6_BALPH, tr|A0A643BW06|A0A643BW06_BALPH
OG0000701	tr|E9Q166|E9Q166_MOUSE	tr|A0A643CCX8|A0A643CCX8_BALPH
OG0000701	sp|Q8CDM1|ATAD2_MOUSE	tr|A0A643CDU6|A0A643CDU6_BALPH, tr|A0A643CEM3|A0A643CEM3_BALPH
OG0000702	sp|Q5SDA5|GUC2F_MOUSE	tr|A0A643BMU2|A0A643BMU2_BALPH
OG0000702	sp|A0A0U1RPR8|GUC2D_MOUSE, sp|P52785|GUC2E_MOUSE	tr|A0A6A1Q0Q3|A0A6A1Q0Q3_BALPH
OG0000703	sp|A2AVR2|MROH7_MOUSE, tr|E9PYI4|E9PYI4_MOUSE, tr|G3X8W1|G3X8W1_MOUSE, tr|A0A571BEG0|A0A571BEG0_MOUSE	tr|A0A6A1Q5G9|A0A6A1Q5G9_BALPH
OG0000704	tr|E9PWZ3|E9PWZ3_MOUSE	tr|A0A6A1Q5S0|A0A6A1Q5S0_BALPH
OG0000704	sp|P27659|RL3_MOUSE	tr|A0A6A1QD53|A0A6A1QD53_BALPH, tr|A0A643BUV5|A0A643BUV5_BALPH
OG0000705	sp|P62069|UBP46_MOUSE	tr|A0A643BNL5|A0A643BNL5_BALPH
OG0000705	sp|Q9D9M2|UBP12_MOUSE	tr|A0A6A1QAE1|A0A6A1QAE1_BALPH, tr|A0A643BMM2|A0A643BMM2_BALPH
OG0000706	sp|P0C028|NUD11_MOUSE, sp|P0C027|NUD10_MOUSE	tr|A0A643BNG1|A0A643BNG1_BALPH, tr|A0A6A1Q6W9|A0A6A1Q6W9_BALPH, tr|A0A643ATE4|A0A643ATE4_BALPH
OG0000707	tr|E9Q287|E9Q287_MOUSE	tr|A0A6A1QE71|A0A6A1QE71_BALPH
OG0000707	sp|Q8C9W3|ATS2_MOUSE, tr|E9PX39|E9PX39_MOUSE	tr|A0A643CDQ3|A0A643CDQ3_BALPH
OG0000708	sp|Q8CBY0|GATC_MOUSE	tr|A0A6A1Q7Y1|A0A6A1Q7Y1_BALPH, tr|A0A6A1Q983|A0A6A1Q983_BALPH, tr|A0A643ATF0|A0A643ATF0_BALPH, tr|A0A6A1Q7A5|A0A6A1Q7A5_BALPH
OG0000709	sp|Q05793|PGBM_MOUSE	tr|A0A6A1Q689|A0A6A1Q689_BALPH, tr|A0A643C4V1|A0A643C4V1_BALPH
OG0000709	sp|Q4VBE4|EGFLA_MOUSE	tr|A0A6A1QCP7|A0A6A1QCP7_BALPH
OG0000710	tr|Q6DIC6|Q6DIC6_MOUSE	tr|A0A643BUZ7|A0A643BUZ7_BALPH
OG0000710	sp|Q9QYH6|MAGD1_MOUSE	tr|A0A643BK73|A0A643BK73_BALPH, tr|A0A643C0V1|A0A643C0V1_BALPH
OG0000711	sp|Q9D0V7|RCAS1_MOUSE	tr|A0A6A1QE96|A0A6A1QE96_BALPH, tr|A0A643C6R6|A0A643C6R6_BALPH, tr|A0A643CIL5|A0A643CIL5_BALPH, tr|A0A643CDU3|A0A643CDU3_BALPH
OG0000712	sp|P59279|RAB2B_MOUSE	tr|A0A6A1Q453|A0A6A1Q453_BALPH, tr|A0A643CC87|A0A643CC87_BALPH, tr|A0A643CBI6|A0A643CBI6_BALPH, tr|A0A643C7P4|A0A643C7P4_BALPH
OG0000713	sp|Q6A026|PDS5A_MOUSE	tr|A0A643C138|A0A643C138_BALPH
OG0000713	sp|Q4VA53|PDS5B_MOUSE	tr|A0A6A1QBV8|A0A6A1QBV8_BALPH, tr|A0A6A1QC40|A0A6A1QC40_BALPH
OG0000714	sp|Q9D106|PEPA5_MOUSE	tr|A0A643BQV0|A0A643BQV0_BALPH
OG0000714	tr|B7ZWD6|B7ZWD6_MOUSE	tr|A0A643BQN7|A0A643BQN7_BALPH, tr|A0A643C0T9|A0A643C0T9_BALPH
OG0000715	tr|G3X992|G3X992_MOUSE, sp|Q9WVG9|MS3L1_MOUSE	tr|A0A643BK88|A0A643BK88_BALPH, tr|A0A643BLZ1|A0A643BLZ1_BALPH, tr|A0A643C126|A0A643C126_BALPH
OG0000716	tr|Q5NCJ1|Q5NCJ1_MOUSE	tr|A0A6A1QAU9|A0A6A1QAU9_BALPH
OG0000716	sp|Q8CHG7|RPGF2_MOUSE	tr|A0A643C2A0|A0A643C2A0_BALPH, tr|A0A6A1QEN5|A0A6A1QEN5_BALPH
OG0000717	sp|P60335|PCBP1_MOUSE	tr|A0A6A1QHJ6|A0A6A1QHJ6_BALPH, tr|A0A643CFQ8|A0A643CFQ8_BALPH, tr|A0A643C9F6|A0A643C9F6_BALPH, tr|A0A643CKP1|A0A643CKP1_BALPH
OG0000718	sp|P08122|CO4A2_MOUSE	tr|A0A6A1QBS5|A0A6A1QBS5_BALPH, tr|A0A643C2T6|A0A643C2T6_BALPH, tr|A0A6A1Q5K7|A0A6A1Q5K7_BALPH, tr|A0A643BW21|A0A643BW21_BALPH
OG0000719	sp|P70318|TIAR_MOUSE	tr|A0A6A1QEL2|A0A6A1QEL2_BALPH
OG0000719	sp|P52912|TIA1_MOUSE	tr|A0A643CJV8|A0A643CJV8_BALPH, tr|A0A6A1QHR7|A0A6A1QHR7_BALPH
OG0000720	sp|Q8CD54|PIEZ2_MOUSE	tr|A0A6A1QGF7|A0A6A1QGF7_BALPH
OG0000720	sp|E2JF22|PIEZ1_MOUSE	tr|A0A643CJM7|A0A643CJM7_BALPH, tr|A0A6A1QAH3|A0A6A1QAH3_BALPH
OG0000721	sp|Q9JLR1|S61A2_MOUSE	tr|A0A643BT50|A0A643BT50_BALPH, tr|A0A6A1QJ70|A0A6A1QJ70_BALPH
OG0000721	sp|P61620|S61A1_MOUSE	tr|A0A6A1Q420|A0A6A1Q420_BALPH
OG0000722	sp|P52187|KCJ12_MOUSE	tr|A0A6A1Q268|A0A6A1Q268_BALPH
OG0000722	sp|P52189|KCNJ4_MOUSE, sp|P35561|KCNJ2_MOUSE	tr|A0A6A1Q763|A0A6A1Q763_BALPH
OG0000723	sp|Q9WUH5|TRI10_MOUSE	tr|A0A6A1Q6C6|A0A6A1Q6C6_BALPH
OG0000723	sp|Q3V3A7|RN207_MOUSE, tr|G3UY57|G3UY57_MOUSE	tr|A0A6A1Q982|A0A6A1Q982_BALPH
OG0000724	sp|P62754|RS6_MOUSE	tr|A0A6A1QEW2|A0A6A1QEW2_BALPH, tr|A0A6A1Q3V7|A0A6A1Q3V7_BALPH, tr|A0A6A1QB37|A0A6A1QB37_BALPH, tr|A0A6A1QEQ1|A0A6A1QEQ1_BALPH
OG0000725	sp|P53810|PIPNA_MOUSE, sp|P53811|PIPNB_MOUSE	tr|A0A6A1QI64|A0A6A1QI64_BALPH, tr|A0A6A1Q715|A0A6A1Q715_BALPH, tr|A0A643BLQ2|A0A643BLQ2_BALPH
OG0000726	sp|Q8CE13|CCD17_MOUSE	tr|A0A643BVL0|A0A643BVL0_BALPH
OG0000726	sp|Q6NZP2|GPBL1_MOUSE	tr|A0A6A1Q5Y2|A0A6A1Q5Y2_BALPH, tr|A0A643BVR8|A0A643BVR8_BALPH
OG0000727	sp|Q923T9|KCC2G_MOUSE, sp|Q6PHZ2|KCC2D_MOUSE, sp|P11798|KCC2A_MOUSE, sp|P28652|KCC2B_MOUSE	tr|A0A643C4Q6|A0A643C4Q6_BALPH
OG0000728	sp|P48320|DCE2_MOUSE	tr|A0A643CEN7|A0A643CEN7_BALPH
OG0000728	sp|P48318|DCE1_MOUSE	tr|A0A6A1QDJ6|A0A6A1QDJ6_BALPH, tr|A0A643BU94|A0A643BU94_BALPH
OG0000729	sp|Q60972|RBBP4_MOUSE	tr|A0A643BLK2|A0A643BLK2_BALPH
OG0000729	sp|Q60973|RBBP7_MOUSE	tr|A0A6A1QGS9|A0A6A1QGS9_BALPH, tr|A0A6A1Q5H4|A0A6A1Q5H4_BALPH
OG0000730	sp|O88445|AURKC_MOUSE	tr|A0A643C0U0|A0A643C0U0_BALPH, tr|A0A6A1Q3R4|A0A6A1Q3R4_BALPH
OG0000730	sp|P97477|AURKA_MOUSE	tr|A0A643BM39|A0A643BM39_BALPH
OG0000731	sp|F8VPU2|FARP1_MOUSE	tr|A0A6A1Q713|A0A6A1Q713_BALPH
OG0000731	sp|Q91VS8|FARP2_MOUSE	tr|A0A643C5X2|A0A643C5X2_BALPH, tr|A0A643C722|A0A643C722_BALPH
OG0000732	sp|P45376|ALDR_MOUSE	tr|A0A643C6A8|A0A643C6A8_BALPH, tr|A0A6A1Q426|A0A6A1Q426_BALPH, tr|A0A643BXJ1|A0A643BXJ1_BALPH, tr|A0A643C1I1|A0A643C1I1_BALPH
OG0000733	sp|Q9WUA3|PFKAP_MOUSE	tr|A0A6A1Q751|A0A6A1Q751_BALPH
OG0000733	sp|P12382|PFKAL_MOUSE, sp|P47857|PFKAM_MOUSE	tr|A0A6A1QAN5|A0A6A1QAN5_BALPH
OG0000734	sp|Q8C0X2|SL9B1_MOUSE	tr|A0A6A1Q6D9|A0A6A1Q6D9_BALPH, tr|A0A6A1Q8T7|A0A6A1Q8T7_BALPH
OG0000734	sp|Q5BKR2|SL9B2_MOUSE	tr|A0A6A1QC45|A0A6A1QC45_BALPH
OG0000735	sp|Q8BGB2|TTC7A_MOUSE	tr|A0A6A1QAV3|A0A6A1QAV3_BALPH
OG0000735	sp|E9Q6P5|TTC7B_MOUSE	tr|A0A6A1QAR9|A0A6A1QAR9_BALPH, tr|A0A643CGL3|A0A643CGL3_BALPH
OG0000736	sp|O54799|NMBR_MOUSE	tr|A0A643BPZ1|A0A643BPZ1_BALPH
OG0000736	sp|P21729|GRPR_MOUSE	tr|A0A643BQ06|A0A643BQ06_BALPH, tr|A0A643BWZ5|A0A643BWZ5_BALPH
OG0000737	sp|Q63850|NUP62_MOUSE	tr|A0A643BRV1|A0A643BRV1_BALPH, tr|A0A643BZ30|A0A643BZ30_BALPH, tr|A0A643C933|A0A643C933_BALPH, tr|A0A643C930|A0A643C930_BALPH
OG0000738	sp|P70689|CXB6_MOUSE	tr|A0A643BVJ0|A0A643BVJ0_BALPH
OG0000738	sp|Q00977|CXB2_MOUSE	tr|A0A643BVU9|A0A643BVU9_BALPH, tr|A0A643BVF3|A0A643BVF3_BALPH
OG0000739	sp|Q8R4F0|MCLN3_MOUSE	tr|A0A643C2C0|A0A643C2C0_BALPH
OG0000739	sp|Q99J21|MCLN1_MOUSE, sp|Q8K595|MCLN2_MOUSE	tr|A0A643C313|A0A643C313_BALPH
OG0000740	sp|Q6ZPQ6|PITM2_MOUSE	tr|A0A643CK70|A0A643CK70_BALPH
OG0000740	sp|O35954|PITM1_MOUSE, sp|Q3UHE1|PITM3_MOUSE	tr|A0A643CIT5|A0A643CIT5_BALPH
OG0000741	sp|P0CW70|D19L2_MOUSE, sp|A6X919|D19L1_MOUSE	tr|A0A6A1Q872|A0A6A1Q872_BALPH, tr|A0A643ATM3|A0A643ATM3_BALPH, tr|A0A6A1Q7N6|A0A6A1Q7N6_BALPH
OG0000742	sp|P97823|LYPA1_MOUSE	tr|A0A6A1QID6|A0A6A1QID6_BALPH, tr|A0A643C085|A0A643C085_BALPH, tr|A0A643CF02|A0A643CF02_BALPH, tr|A0A643C473|A0A643C473_BALPH
OG0000743	sp|P02089|HBB2_MOUSE, sp|P02088|HBB1_MOUSE, tr|A8DUK4|A8DUK4_MOUSE	tr|A0A643BL68|A0A643BL68_BALPH, tr|A0A643BKP7|A0A643BKP7_BALPH
OG0000744	sp|Q925F3|R144A_MOUSE	tr|A0A643BUA1|A0A643BUA1_BALPH
OG0000744	sp|D3YYI7|RN217_MOUSE, sp|Q8BKD6|R144B_MOUSE	tr|A0A6A1QP95|A0A6A1QP95_BALPH
OG0000745	sp|P61327|MGN_MOUSE	tr|A0A6A1Q5X8|A0A6A1Q5X8_BALPH, tr|A0A643BZG0|A0A643BZG0_BALPH, tr|A0A643BQ14|A0A643BQ14_BALPH, tr|A0A643CGJ1|A0A643CGJ1_BALPH
OG0000746	sp|Q9CQE8|RTRAF_MOUSE	tr|A0A6A1Q305|A0A6A1Q305_BALPH, tr|A0A643C453|A0A643C453_BALPH, tr|A0A643C0V7|A0A643C0V7_BALPH, tr|A0A643AU31|A0A643AU31_BALPH
OG0000747	sp|P16015|CAH3_MOUSE	tr|A0A643C0A9|A0A643C0A9_BALPH
OG0000747	sp|P00920|CAH2_MOUSE	tr|A0A643C118|A0A643C118_BALPH, tr|A0A643C2P8|A0A643C2P8_BALPH
OG0000748	sp|P61967|AP1S1_MOUSE	tr|A0A643CDK8|A0A643CDK8_BALPH
OG0000748	sp|Q9DB50|AP1S2_MOUSE	tr|A0A643C417|A0A643C417_BALPH, tr|A0A643C442|A0A643C442_BALPH
OG0000750	sp|P58545|BTBD3_MOUSE	tr|A0A643CEA6|A0A643CEA6_BALPH
OG0000750	sp|Q8K2J9|BTBD6_MOUSE	tr|A0A6A1Q6K5|A0A6A1Q6K5_BALPH, tr|A0A643CFC3|A0A643CFC3_BALPH
OG0000751	sp|P70224|GIMA1_MOUSE	tr|A0A643ATA5|A0A643ATA5_BALPH
OG0000751	sp|Q8K349|GIMA6_MOUSE	tr|A0A643BPX2|A0A643BPX2_BALPH, tr|A0A643BP17|A0A643BP17_BALPH
OG0000752	sp|Q5Y5T2|ZDH18_MOUSE	tr|A0A643BZZ0|A0A643BZZ0_BALPH
OG0000752	sp|Q8BQQ1|ZDH14_MOUSE, sp|P59268|ZDHC9_MOUSE	tr|A0A6A1Q2M0|A0A6A1Q2M0_BALPH
OG0000753	sp|Q6P9K9|NRX3A_MOUSE	tr|A0A6A1Q237|A0A6A1Q237_BALPH
OG0000753	sp|Q9CS84|NRX1A_MOUSE, sp|E9Q7X7|NRX2A_MOUSE	tr|A0A6A1QBT7|A0A6A1QBT7_BALPH
OG0000754	sp|Q5SW25|P12L2_MOUSE	tr|A0A643BN77|A0A643BN77_BALPH
OG0000754	sp|Q8K3Z9|PO121_MOUSE	tr|A0A643C7Z9|A0A643C7Z9_BALPH, tr|A0A643BXW3|A0A643BXW3_BALPH
OG0000755	sp|Q80Y44|DDX10_MOUSE	tr|A0A643C6S5|A0A643C6S5_BALPH
OG0000755	sp|Q8K363|DDX18_MOUSE	tr|A0A643C7K0|A0A643C7K0_BALPH, tr|A0A6A1Q9C0|A0A6A1Q9C0_BALPH
OG0000756	sp|Q8K4I3|ARHG6_MOUSE	tr|A0A643C3G0|A0A643C3G0_BALPH
OG0000756	sp|Q9ES28|ARHG7_MOUSE	tr|A0A6A1Q7M8|A0A6A1Q7M8_BALPH, tr|A0A6A1Q7M7|A0A6A1Q7M7_BALPH
OG0000757	sp|Q9JLZ6|HIC2_MOUSE	tr|A0A643CBA4|A0A643CBA4_BALPH
OG0000757	sp|Q9R1Y5|HIC1_MOUSE, sp|Q8JZL0|ZN467_MOUSE	tr|A0A643ATA7|A0A643ATA7_BALPH
OG0000758	sp|Q9CQ26|STABP_MOUSE	tr|A0A643BPQ0|A0A643BPQ0_BALPH
OG0000758	sp|Q76N33|STALP_MOUSE	tr|A0A6A1Q757|A0A6A1Q757_BALPH, tr|A0A643BWH6|A0A643BWH6_BALPH
OG0000759	sp|P20782|ACHE_MOUSE	tr|A0A643BM73|A0A643BM73_BALPH
OG0000759	sp|P02716|ACHD_MOUSE, sp|P04760|ACHG_MOUSE	tr|A0A6A1Q230|A0A6A1Q230_BALPH
OG0000760	sp|O70451|MOT2_MOUSE	tr|A0A643BZ98|A0A643BZ98_BALPH
OG0000760	sp|P53986|MOT1_MOUSE	tr|A0A643BS05|A0A643BS05_BALPH, tr|A0A643BSL8|A0A643BSL8_BALPH
OG0000761	tr|Q5SPH3|Q5SPH3_MOUSE	tr|A0A643CE23|A0A643CE23_BALPH
OG0000761	sp|O09046|OXLA_MOUSE, tr|B1ARV3|B1ARV3_MOUSE	tr|A0A643BTD4|A0A643BTD4_BALPH
OG0000762	sp|Q2XU92|ACBG2_MOUSE	tr|A0A6A1Q0Y2|A0A6A1Q0Y2_BALPH
OG0000762	tr|Q08EE8|Q08EE8_MOUSE, sp|Q99PU5|ACBG1_MOUSE	tr|A0A643CEX8|A0A643CEX8_BALPH
OG0000763	sp|Q99LG2|TNPO2_MOUSE	tr|A0A6A1QC08|A0A6A1QC08_BALPH
OG0000763	sp|Q8BFY9|TNPO1_MOUSE	tr|A0A643CI70|A0A643CI70_BALPH, tr|A0A643C7T1|A0A643C7T1_BALPH
OG0000764	tr|G3X942|G3X942_MOUSE, sp|Q7TT15|GLT17_MOUSE, sp|Q8K1B9|GLT18_MOUSE	tr|A0A6A1QDI7|A0A6A1QDI7_BALPH, tr|A0A643BN60|A0A643BN60_BALPH
OG0000765	sp|Q99L13|3HIDH_MOUSE	tr|A0A643C710|A0A643C710_BALPH, tr|A0A643BPM7|A0A643BPM7_BALPH, tr|A0A643C3G8|A0A643C3G8_BALPH, tr|A0A643BVD8|A0A643BVD8_BALPH
OG0000766	sp|P00186|CP1A2_MOUSE	tr|A0A643C0G8|A0A643C0G8_BALPH
OG0000766	sp|P00184|CP1A1_MOUSE	tr|A0A643C5D7|A0A643C5D7_BALPH, tr|A0A643C197|A0A643C197_BALPH
OG0000767	sp|Q7TPZ8|CBPA1_MOUSE	tr|A0A643CHI8|A0A643CHI8_BALPH, tr|A0A643CHJ9|A0A643CHJ9_BALPH
OG0000767	sp|Q8R4H4|CBPA5_MOUSE	tr|A0A643CHK2|A0A643CHK2_BALPH
OG0000768	sp|P18155|MTDC_MOUSE	tr|A0A643BPL0|A0A643BPL0_BALPH
OG0000768	sp|D3YZG8|MTD2L_MOUSE	tr|A0A643C1G8|A0A643C1G8_BALPH, tr|A0A643BL48|A0A643BL48_BALPH
OG0000769	sp|P32037|GTR3_MOUSE	tr|A0A643CB78|A0A643CB78_BALPH
OG0000769	sp|P14246|GTR2_MOUSE, sp|P17809|GTR1_MOUSE	tr|A0A6A1Q448|A0A6A1Q448_BALPH
OG0000770	sp|Q61200|NXPH1_MOUSE	tr|A0A643BX82|A0A643BX82_BALPH
OG0000770	sp|Q61199|NXPH2_MOUSE	tr|A0A643CBE0|A0A643CBE0_BALPH, tr|A0A643CBE1|A0A643CBE1_BALPH
OG0000771	sp|Q921I0|ORML1_MOUSE	tr|A0A643BUG8|A0A643BUG8_BALPH
OG0000771	sp|Q9CPZ6|ORML3_MOUSE	tr|A0A643CAW7|A0A643CAW7_BALPH, tr|A0A643CER0|A0A643CER0_BALPH
OG0000772	sp|Q99J08|S14L2_MOUSE	tr|A0A6A1Q9W7|A0A6A1Q9W7_BALPH
OG0000772	sp|Q8R0F9|S14L4_MOUSE, tr|Q5SQ27|Q5SQ27_MOUSE	tr|A0A6A1QGX2|A0A6A1QGX2_BALPH
OG0000773	sp|P59325|IF5_MOUSE	tr|A0A643BYN6|A0A643BYN6_BALPH, tr|A0A643BML4|A0A643BML4_BALPH, tr|A0A643C0J6|A0A643C0J6_BALPH, tr|A0A643BXZ2|A0A643BXZ2_BALPH
OG0000775	sp|P49117|NR2C2_MOUSE	tr|A0A643BYF3|A0A643BYF3_BALPH
OG0000775	sp|Q505F1|NR2C1_MOUSE	tr|A0A643C6K0|A0A643C6K0_BALPH, tr|A0A643BM19|A0A643BM19_BALPH
OG0000776	sp|Q9WVR4|FXR2_MOUSE	tr|A0A643BVH5|A0A643BVH5_BALPH, tr|A0A643ATH3|A0A643ATH3_BALPH
OG0000776	sp|Q61584|FXR1_MOUSE	tr|A0A643BYF9|A0A643BYF9_BALPH
OG0000777	sp|A2AF47|DOC11_MOUSE	tr|A0A6A1Q3H1|A0A6A1Q3H1_BALPH
OG0000777	sp|Q8BZN6|DOC10_MOUSE, sp|Q8BIK4|DOCK9_MOUSE	tr|A0A6A1Q5W4|A0A6A1Q5W4_BALPH
OG0000778	sp|Q8K297|GT251_MOUSE	tr|A0A6A1QDA2|A0A6A1QDA2_BALPH
OG0000778	sp|A3KGW5|GT253_MOUSE, sp|Q6NVG7|GT252_MOUSE	tr|A0A6A1QDS7|A0A6A1QDS7_BALPH
OG0000779	sp|O55026|ENTP2_MOUSE	tr|A0A643BSG1|A0A643BSG1_BALPH
