Orthogroup	Mus_musculus	Trichechus_manatus_latirostris
OG0000274	sp|Q5SGK3|AOXB_MOUSE	tr|A0A2Y9RA02|A0A2Y9RA02_TRIMA
OG0000274	sp|O54754|AOXA_MOUSE	tr|A0A2Y9DP21|A0A2Y9DP21_TRIMA
OG0000274	sp|Q00519|XDH_MOUSE	tr|A0A2Y9RCP8|A0A2Y9RCP8_TRIMA
OG0000275	tr|Q8VGH0|Q8VGH0_MOUSE, tr|Q8VGG9|Q8VGG9_MOUSE, tr|Q8VGH1|Q8VGH1_MOUSE, tr|Q8VFE6|Q8VFE6_MOUSE, tr|A0A0N4SUP0|A0A0N4SUP0_MOUSE, tr|Q8VGK1|Q8VGK1_MOUSE, tr|B9EHG2|B9EHG2_MOUSE	tr|A0A2Y9EBQ4|A0A2Y9EBQ4_TRIMA
OG0000277	tr|Q7TS10|Q7TS10_MOUSE, tr|Q7TS05|Q7TS05_MOUSE, tr|B2RVZ1|B2RVZ1_MOUSE, tr|Q7TS04|Q7TS04_MOUSE, tr|Q7TS08|Q7TS08_MOUSE, tr|F8VQ84|F8VQ84_MOUSE, tr|Q7TS07|Q7TS07_MOUSE	tr|A0A2Y9QNQ6|A0A2Y9QNQ6_TRIMA
OG0000278	tr|F6Z9B9|F6Z9B9_MOUSE, sp|Q8BK48|EST2E_MOUSE, sp|Q91WG0|EST2C_MOUSE, tr|Q6PDB7|Q6PDB7_MOUSE, tr|E9PV38|E9PV38_MOUSE, tr|Q08ED5|Q08ED5_MOUSE, sp|Q8QZR3|EST2A_MOUSE	tr|A0A2Y9DC20|A0A2Y9DC20_TRIMA
OG0000280	tr|E9PWS4|E9PWS4_MOUSE	tr|A0A2Y9DV92|A0A2Y9DV92_TRIMA
OG0000280	sp|P70423|CTR3_MOUSE	tr|A0A2Y9DS53|A0A2Y9DS53_TRIMA
OG0000280	sp|Q09143|CTR1_MOUSE	tr|A0A2Y9DZ95|A0A2Y9DZ95_TRIMA
OG0000280	sp|P18581|CTR2_MOUSE	tr|A0A2Y9DXE2|A0A2Y9DXE2_TRIMA
OG0000281	sp|Q61879|MYH10_MOUSE	tr|A0A2Y9QXP5|A0A2Y9QXP5_TRIMA
OG0000281	sp|Q8VDD5|MYH9_MOUSE	tr|A0A2Y9QTU2|A0A2Y9QTU2_TRIMA
OG0000281	sp|Q6URW6|MYH14_MOUSE	tr|A0A2Y9DV83|A0A2Y9DV83_TRIMA
OG0000281	sp|O08638|MYH11_MOUSE	tr|A0A2Y9DET8|A0A2Y9DET8_TRIMA
OG0000282	sp|P57780|ACTN4_MOUSE	tr|A0A2Y9RU26|A0A2Y9RU26_TRIMA
OG0000282	sp|Q7TPR4|ACTN1_MOUSE	tr|A0A2Y9DB33|A0A2Y9DB33_TRIMA
OG0000282	sp|O88990|ACTN3_MOUSE	tr|A0A2Y9DZZ3|A0A2Y9DZZ3_TRIMA
OG0000282	sp|Q9JI91|ACTN2_MOUSE	tr|A0A2Y9DDZ1|A0A2Y9DDZ1_TRIMA
OG0000283	tr|B1AWC9|B1AWC9_MOUSE	tr|A0A2Y9D737|A0A2Y9D737_TRIMA
OG0000283	sp|Q3UEI1|PDE4C_MOUSE	tr|A0A2Y9E1K1|A0A2Y9E1K1_TRIMA
OG0000283	sp|O89084|PDE4A_MOUSE	tr|A0A2Y9DPB7|A0A2Y9DPB7_TRIMA
OG0000283	sp|Q01063|PDE4D_MOUSE	tr|A0A2Y9DSW1|A0A2Y9DSW1_TRIMA
OG0000284	sp|Q6P1F6|2ABA_MOUSE	tr|A0A2Y9RAV0|A0A2Y9RAV0_TRIMA
OG0000284	sp|Q6ZWR4|2ABB_MOUSE	tr|A0A2Y9E0U3|A0A2Y9E0U3_TRIMA
OG0000284	sp|Q8BG02|2ABG_MOUSE	tr|A0A2Y9DY43|A0A2Y9DY43_TRIMA
OG0000285	tr|Q7TR87|Q7TR87_MOUSE	tr|A0A2Y9G4Y1|A0A2Y9G4Y1_TRIMA, tr|A0A2Y9E949|A0A2Y9E949_TRIMA, tr|A0A2Y9EA42|A0A2Y9EA42_TRIMA, tr|A0A2Y9G1N4|A0A2Y9G1N4_TRIMA, tr|A0A2Y9G1P2|A0A2Y9G1P2_TRIMA, tr|A0A2Y9G1A7|A0A2Y9G1A7_TRIMA, tr|A0A2Y9G1F2|A0A2Y9G1F2_TRIMA
OG0000286	sp|P62880|GBB2_MOUSE	tr|A0A2Y9E5X9|A0A2Y9E5X9_TRIMA
OG0000286	sp|Q61011|GBB3_MOUSE	tr|A0A2Y9E566|A0A2Y9E566_TRIMA
OG0000286	sp|P62874|GBB1_MOUSE	tr|A0A2Y9RJ78|A0A2Y9RJ78_TRIMA
OG0000286	sp|P29387|GBB4_MOUSE	tr|A0A2Y9DWK4|A0A2Y9DWK4_TRIMA
OG0000287	sp|Q5DTT8|PNMA5_MOUSE	tr|A0A2Y9EAE4|A0A2Y9EAE4_TRIMA
OG0000287	sp|Q8C1C8|PNMA1_MOUSE	tr|A0A2Y9DBP8|A0A2Y9DBP8_TRIMA
OG0000287	sp|Q8BHK0|PNMA2_MOUSE	tr|A0A2Y9QGE1|A0A2Y9QGE1_TRIMA, tr|A0A2Y9QI96|A0A2Y9QI96_TRIMA, tr|A0A2Y9QN91|A0A2Y9QN91_TRIMA
OG0000288	sp|Q8CJF9|AGO3_MOUSE	tr|A0A2Y9DCD7|A0A2Y9DCD7_TRIMA
OG0000288	sp|Q8CJG1|AGO1_MOUSE	tr|A0A2Y9QUI4|A0A2Y9QUI4_TRIMA
OG0000288	sp|Q8CJF8|AGO4_MOUSE	tr|A0A2Y9DCW0|A0A2Y9DCW0_TRIMA
OG0000288	sp|Q8CJG0|AGO2_MOUSE	tr|A0A2Y9E5F1|A0A2Y9E5F1_TRIMA
OG0000289	sp|P22227|ZFP42_MOUSE	tr|A0A2Y9DX80|A0A2Y9DX80_TRIMA
OG0000289	sp|Q00899|TYY1_MOUSE	tr|A0A2Y9FZC7|A0A2Y9FZC7_TRIMA
OG0000289	sp|Q3TTC2|TYY2_MOUSE	tr|A0A2Y9RNF2|A0A2Y9RNF2_TRIMA
OG0000290	sp|P28652|KCC2B_MOUSE	tr|A0A2Y9E4B2|A0A2Y9E4B2_TRIMA
OG0000290	sp|Q6PHZ2|KCC2D_MOUSE	tr|A0A2Y9E2S8|A0A2Y9E2S8_TRIMA
OG0000290	sp|P11798|KCC2A_MOUSE	tr|A0A2Y9E0N4|A0A2Y9E0N4_TRIMA
OG0000290	sp|Q923T9|KCC2G_MOUSE	tr|A0A2Y9RDV2|A0A2Y9RDV2_TRIMA
OG0000291	tr|Q7TQV1|Q7TQV1_MOUSE, tr|Q8VFZ4|Q8VFZ4_MOUSE, tr|Q8VFZ5|Q8VFZ5_MOUSE, tr|K7N645|K7N645_MOUSE, tr|Q8VEW1|Q8VEW1_MOUSE, tr|Q8VFZ6|Q8VFZ6_MOUSE, tr|Q7TRU4|Q7TRU4_MOUSE	tr|A0A2Y9D7Z9|A0A2Y9D7Z9_TRIMA
OG0000294	sp|P20764|IGLL1_MOUSE, sp|P01843|LAC1_MOUSE, tr|A0A0G2JE99|A0A0G2JE99_MOUSE, tr|A0A0G2JEK5|A0A0G2JEK5_MOUSE, sp|P01837|IGKC_MOUSE, sp|P01844|LAC2_MOUSE, sp|P01845|LAC3_MOUSE	tr|A0A2Y9RP46|A0A2Y9RP46_TRIMA
OG0000295	sp|O35317|PBX3_MOUSE	tr|A0A2Y9DJA3|A0A2Y9DJA3_TRIMA
OG0000295	sp|P41778|PBX1_MOUSE	tr|A0A2Y9RUZ7|A0A2Y9RUZ7_TRIMA
OG0000295	sp|Q99NE9|PBX4_MOUSE	tr|A0A2Y9RSG6|A0A2Y9RSG6_TRIMA
OG0000295	sp|O35984|PBX2_MOUSE	tr|A0A2Y9ECZ4|A0A2Y9ECZ4_TRIMA
OG0000296	sp|Q68EF4|GRM4_MOUSE	tr|A0A2Y9E9M9|A0A2Y9E9M9_TRIMA
OG0000296	sp|Q68ED2|GRM7_MOUSE	tr|A0A2Y9D5U6|A0A2Y9D5U6_TRIMA
OG0000296	sp|P47743|GRM8_MOUSE	tr|A0A2Y9RLV7|A0A2Y9RLV7_TRIMA
OG0000296	sp|Q5NCH9|GRM6_MOUSE	tr|A0A2Y9RRL3|A0A2Y9RRL3_TRIMA
OG0000297	sp|Q8C1T8|CLC2H_MOUSE, sp|Q80XD9|CLC2E_MOUSE, tr|Q8C634|Q8C634_MOUSE, sp|Q91V08|CLC2D_MOUSE, sp|Q9D676|CLC2G_MOUSE, sp|Q8VI21|CLC2F_MOUSE, sp|Q9WVF9|CLC2I_MOUSE	tr|A0A2Y9RYX7|A0A2Y9RYX7_TRIMA
OG0000298	sp|Q9QZS6|HS3SB_MOUSE	tr|A0A2Y9DJR7|A0A2Y9DJR7_TRIMA
OG0000298	sp|Q5GFD5|HS3S6_MOUSE	tr|A0A2Y9QLH3|A0A2Y9QLH3_TRIMA
OG0000298	tr|D3YVV6|D3YVV6_MOUSE	tr|A0A2Y9DF99|A0A2Y9DF99_TRIMA
OG0000298	sp|Q8BKN6|HS3SA_MOUSE	tr|A0A2Y9DK67|A0A2Y9DK67_TRIMA
OG0000299	sp|P18653|KS6A1_MOUSE	tr|A0A2Y9R0F7|A0A2Y9R0F7_TRIMA
OG0000299	sp|P18654|KS6A3_MOUSE	tr|A0A2Y9DX92|A0A2Y9DX92_TRIMA
OG0000299	sp|Q7TPS0|KS6A6_MOUSE	tr|A0A2Y9DQR6|A0A2Y9DQR6_TRIMA
OG0000299	sp|Q9WUT3|KS6A2_MOUSE	tr|A0A2Y9D6P4|A0A2Y9D6P4_TRIMA
OG0000300	tr|Q6P8Y2|Q6P8Y2_MOUSE, sp|Q9DAL7|IQCF5_MOUSE	tr|A0A2Y9D6M6|A0A2Y9D6M6_TRIMA, tr|A0A2Y9G004|A0A2Y9G004_TRIMA
OG0000300	sp|Q9D9K8|IQCF1_MOUSE	tr|A0A2Y9D6P5|A0A2Y9D6P5_TRIMA, tr|A0A2Y9D6Q4|A0A2Y9D6Q4_TRIMA, tr|A0A2Y9D6T1|A0A2Y9D6T1_TRIMA
OG0000301	sp|P16277|BLK_MOUSE	tr|A0A2Y9RLV2|A0A2Y9RLV2_TRIMA
OG0000301	sp|P06240|LCK_MOUSE	tr|A0A2Y9QM62|A0A2Y9QM62_TRIMA
OG0000301	sp|P08103|HCK_MOUSE	tr|A0A2Y9QI70|A0A2Y9QI70_TRIMA
OG0000301	sp|P25911|LYN_MOUSE	tr|A0A2Y9DEI9|A0A2Y9DEI9_TRIMA
OG0000302	sp|P23818|GRIA1_MOUSE	tr|A0A2Y9DB28|A0A2Y9DB28_TRIMA
OG0000302	sp|Q9Z2W9|GRIA3_MOUSE	tr|A0A2Y9DR96|A0A2Y9DR96_TRIMA
OG0000302	sp|Q9Z2W8|GRIA4_MOUSE	tr|A0A2Y9DWQ5|A0A2Y9DWQ5_TRIMA
OG0000302	sp|P23819|GRIA2_MOUSE	tr|A0A2Y9DVT7|A0A2Y9DVT7_TRIMA
OG0000303	tr|Q8BIG3|Q8BIG3_MOUSE, tr|D3YX18|D3YX18_MOUSE, tr|D3Z714|D3Z714_MOUSE, tr|A0A087WQL6|A0A087WQL6_MOUSE, tr|A0A087WPH4|A0A087WPH4_MOUSE, tr|Q3V4B6|Q3V4B6_MOUSE, tr|E9Q0A8|E9Q0A8_MOUSE	tr|A0A2Y9QEB6|A0A2Y9QEB6_TRIMA
OG0000304	sp|Q8K2I3|FMO2_MOUSE	tr|A0A2Y9RRJ1|A0A2Y9RRJ1_TRIMA
OG0000304	sp|P97872|FMO5_MOUSE	tr|A0A2Y9R7Z2|A0A2Y9R7Z2_TRIMA
OG0000304	tr|Q8C116|Q8C116_MOUSE, tr|B2RWH8|B2RWH8_MOUSE, tr|G3X946|G3X946_MOUSE	tr|A0A2Y9G002|A0A2Y9G002_TRIMA
OG0000305	sp|P63034|CYH2_MOUSE	tr|A0A2Y9DV91|A0A2Y9DV91_TRIMA
OG0000305	sp|Q80YW0|CYH4_MOUSE	tr|A0A2Y9DGU0|A0A2Y9DGU0_TRIMA
OG0000305	sp|O08967|CYH3_MOUSE	tr|A0A2Y9RHQ7|A0A2Y9RHQ7_TRIMA
OG0000305	sp|Q9QX11|CYH1_MOUSE	tr|A0A2Y9R055|A0A2Y9R055_TRIMA
OG0000306	tr|Q3UWK9|Q3UWK9_MOUSE	tr|A0A2Y9G5E2|A0A2Y9G5E2_TRIMA
OG0000306	sp|Q9D5H4|FTMT_MOUSE	tr|A0A2Y9E032|A0A2Y9E032_TRIMA
OG0000306	sp|P09528|FRIH_MOUSE	tr|A0A2Y9E088|A0A2Y9E088_TRIMA
OG0000307	sp|Q8BYM5|NLGN3_MOUSE	tr|A0A2Y9DSC6|A0A2Y9DSC6_TRIMA
OG0000307	sp|Q99K10|NLGN1_MOUSE	tr|A0A2Y9G2X3|A0A2Y9G2X3_TRIMA
OG0000307	sp|Q69ZK9|NLGN2_MOUSE	tr|A0A2Y9DK54|A0A2Y9DK54_TRIMA
OG0000307	sp|B0F2B4|NLGN4_MOUSE	tr|A0A2Y9E184|A0A2Y9E184_TRIMA
OG0000308	sp|Q03385|GNDS_MOUSE	tr|A0A2Y9QZE2|A0A2Y9QZE2_TRIMA, tr|A0A2Y9RI18|A0A2Y9RI18_TRIMA, tr|A0A2Y9RP78|A0A2Y9RP78_TRIMA, tr|A0A2Y9G1Q2|A0A2Y9G1Q2_TRIMA, tr|A0A2Y9RXC1|A0A2Y9RXC1_TRIMA, tr|A0A2Y9G3P9|A0A2Y9G3P9_TRIMA, tr|A0A2Y9G1L9|A0A2Y9G1L9_TRIMA
OG0000309	tr|Q5SZT6|Q5SZT6_MOUSE, sp|Q91VW9|ZKSC3_MOUSE	tr|A0A2Y9E4V2|A0A2Y9E4V2_TRIMA, tr|A0A2Y9RRI1|A0A2Y9RRI1_TRIMA, tr|A0A2Y9DTX5|A0A2Y9DTX5_TRIMA, tr|A0A2Y9QS19|A0A2Y9QS19_TRIMA, tr|A0A2Y9RH24|A0A2Y9RH24_TRIMA, tr|A0A2Y9RPM8|A0A2Y9RPM8_TRIMA
OG0000310	tr|J3QMS2|J3QMS2_MOUSE	tr|A0A2Y9RLD6|A0A2Y9RLD6_TRIMA, tr|A0A2Y9G0Z0|A0A2Y9G0Z0_TRIMA, tr|A0A2Y9DZE1|A0A2Y9DZE1_TRIMA, tr|A0A2Y9E7R0|A0A2Y9E7R0_TRIMA, tr|A0A2Y9RNJ4|A0A2Y9RNJ4_TRIMA, tr|A0A2Y9REA0|A0A2Y9REA0_TRIMA, tr|A0A2Y9DVM4|A0A2Y9DVM4_TRIMA
OG0000311	tr|Q8VG96|Q8VG96_MOUSE	tr|A0A2Y9E4X4|A0A2Y9E4X4_TRIMA, tr|A0A2Y9E575|A0A2Y9E575_TRIMA, tr|A0A2Y9E4N1|A0A2Y9E4N1_TRIMA, tr|A0A2Y9E6J4|A0A2Y9E6J4_TRIMA, tr|A0A2Y9E4X9|A0A2Y9E4X9_TRIMA, tr|A0A2Y9E653|A0A2Y9E653_TRIMA, tr|A0A2Y9E553|A0A2Y9E553_TRIMA
OG0000312	sp|P09056|LIF_MOUSE	tr|A0A2Y9E4Y7|A0A2Y9E4Y7_TRIMA, tr|A0A2Y9E3H4|A0A2Y9E3H4_TRIMA, tr|A0A2Y9E7G6|A0A2Y9E7G6_TRIMA, tr|A0A2Y9E5Y3|A0A2Y9E5Y3_TRIMA, tr|A0A2Y9DQR2|A0A2Y9DQR2_TRIMA, tr|A0A2Y9FXQ6|A0A2Y9FXQ6_TRIMA, tr|A0A2Y9DQD2|A0A2Y9DQD2_TRIMA
OG0000313	tr|Q8VGZ6|Q8VGZ6_MOUSE	tr|A0A2Y9G201|A0A2Y9G201_TRIMA
OG0000313	tr|E9PWA8|E9PWA8_MOUSE	tr|A0A2Y9G5N1|A0A2Y9G5N1_TRIMA, tr|A0A2Y9E9V5|A0A2Y9E9V5_TRIMA, tr|A0A2Y9G4V1|A0A2Y9G4V1_TRIMA, tr|A0A2Y9ECY3|A0A2Y9ECY3_TRIMA, tr|A0A2Y9ECK1|A0A2Y9ECK1_TRIMA
OG0000314	sp|Q8CFZ5|S22AC_MOUSE	tr|A0A2Y9FZE2|A0A2Y9FZE2_TRIMA, tr|A0A2Y9FZD3|A0A2Y9FZD3_TRIMA, tr|A0A2Y9RFE3|A0A2Y9RFE3_TRIMA, tr|A0A2Y9DYP9|A0A2Y9DYP9_TRIMA, tr|A0A2Y9G306|A0A2Y9G306_TRIMA, tr|A0A2Y9DYW1|A0A2Y9DYW1_TRIMA, tr|A0A2Y9E0B5|A0A2Y9E0B5_TRIMA
OG0000318	sp|P39087|GRIK2_MOUSE	tr|A0A2Y9DD88|A0A2Y9DD88_TRIMA
OG0000318	sp|B1AS29|GRIK3_MOUSE	tr|A0A2Y9DCF4|A0A2Y9DCF4_TRIMA
OG0000318	sp|Q60934|GRIK1_MOUSE	tr|A0A2Y9QLW2|A0A2Y9QLW2_TRIMA, tr|A0A2Y9QGG8|A0A2Y9QGG8_TRIMA
OG0000319	sp|Q8CDC0|SPB13_MOUSE	tr|A0A2Y9DQR3|A0A2Y9DQR3_TRIMA
OG0000319	tr|Q6UKZ0|Q6UKZ0_MOUSE, tr|G3X9V8|G3X9V8_MOUSE, tr|A2RSF9|A2RSF9_MOUSE, tr|Q9D1Q5|Q9D1Q5_MOUSE	tr|A0A2Y9DQV8|A0A2Y9DQV8_TRIMA
OG0000322	sp|Q5BKQ4|LIPR1_MOUSE	tr|A0A2Y9FZH9|A0A2Y9FZH9_TRIMA
OG0000322	sp|Q6P8U6|LIPP_MOUSE	tr|A0A2Y9DI37|A0A2Y9DI37_TRIMA
OG0000322	sp|P17892|LIPR2_MOUSE	tr|A0A2Y9DIM1|A0A2Y9DIM1_TRIMA
OG0000323	sp|Q63739|TP4A1_MOUSE	tr|A0A2Y9RJ72|A0A2Y9RJ72_TRIMA
OG0000323	sp|O70274|TP4A2_MOUSE	tr|A0A2Y9DBV6|A0A2Y9DBV6_TRIMA, tr|A0A2Y9RRQ0|A0A2Y9RRQ0_TRIMA, tr|A0A2Y9QE13|A0A2Y9QE13_TRIMA, tr|A0A2Y9DCL4|A0A2Y9DCL4_TRIMA
OG0000324	tr|E9Q9Z0|E9Q9Z0_MOUSE, tr|E9Q840|E9Q840_MOUSE, tr|Q7TRL9|Q7TRL9_MOUSE, tr|Q7TRW1|Q7TRW1_MOUSE, tr|E9PXH6|E9PXH6_MOUSE, tr|E9Q438|E9Q438_MOUSE	tr|A0A2Y9G3Y5|A0A2Y9G3Y5_TRIMA
OG0000325	sp|Q5UKY4|MO2R3_MOUSE, sp|Q6XJV4|MO2R4_MOUSE, sp|Q8BTP3|MO2R5_MOUSE, sp|Q9ES57|MO2R1_MOUSE, sp|Q6XJV6|MO2R2_MOUSE	tr|A0A2Y9FY47|A0A2Y9FY47_TRIMA, tr|A0A2Y9QTC8|A0A2Y9QTC8_TRIMA
OG0000326	sp|P28862|MMP3_MOUSE	tr|A0A2Y9E2C8|A0A2Y9E2C8_TRIMA, tr|A0A2Y9E2P9|A0A2Y9E2P9_TRIMA
OG0000326	sp|P34960|MMP12_MOUSE	tr|A0A2Y9EC40|A0A2Y9EC40_TRIMA
OG0000326	sp|O55123|MMP10_MOUSE	tr|A0A2Y9E9V1|A0A2Y9E9V1_TRIMA
OG0000327	sp|Q3V132|ADT4_MOUSE	tr|A0A2Y9E8Q6|A0A2Y9E8Q6_TRIMA
OG0000327	sp|P48962|ADT1_MOUSE	tr|A0A2Y9DY89|A0A2Y9DY89_TRIMA
OG0000327	sp|P51881|ADT2_MOUSE	tr|A0A2Y9E189|A0A2Y9E189_TRIMA, tr|A0A2Y9DRW1|A0A2Y9DRW1_TRIMA
OG0000328	tr|Q8VGE1|Q8VGE1_MOUSE, tr|E9PWV2|E9PWV2_MOUSE, tr|Q8VG32|Q8VG32_MOUSE, tr|E9Q8X1|E9Q8X1_MOUSE, tr|A0A140T8J6|A0A140T8J6_MOUSE	tr|A0A2Y9QPJ5|A0A2Y9QPJ5_TRIMA, tr|A0A2Y9QH80|A0A2Y9QH80_TRIMA
OG0000329	tr|D3YU55|D3YU55_MOUSE, sp|Q7M724|TR106_MOUSE, sp|Q7M725|TR107_MOUSE, sp|Q7M722|TR114_MOUSE, sp|Q9JKT4|TR105_MOUSE, sp|Q7M723|TR104_MOUSE	tr|A0A2Y9G4A0|A0A2Y9G4A0_TRIMA
OG0000330	sp|Q8K440|ABC8B_MOUSE	tr|A0A2Y9R0S9|A0A2Y9R0S9_TRIMA
OG0000330	sp|Q8K441|ABCA6_MOUSE	tr|A0A2Y9QT44|A0A2Y9QT44_TRIMA
OG0000330	sp|Q8K449|ABCA9_MOUSE	tr|A0A2Y9QNI9|A0A2Y9QNI9_TRIMA
OG0000331	sp|V9GXG1|SLN14_MOUSE	tr|A0A2Y9E1M3|A0A2Y9E1M3_TRIMA
OG0000331	sp|B1ARD8|SLFN8_MOUSE, sp|B1ARD6|SLFN9_MOUSE	tr|A0A2Y9RJW2|A0A2Y9RJW2_TRIMA
OG0000331	sp|Q8CBA2|SLFN5_MOUSE	tr|A0A2Y9RJV2|A0A2Y9RJV2_TRIMA
OG0000333	tr|L7MU75|L7MU75_MOUSE	tr|A0A2Y9FVH6|A0A2Y9FVH6_TRIMA
OG0000333	tr|Q7TQV4|Q7TQV4_MOUSE, tr|Q3KPC7|Q3KPC7_MOUSE, tr|Q8VGB1|Q8VGB1_MOUSE, tr|Q8VFY3|Q8VFY3_MOUSE	tr|A0A2Y9DCP4|A0A2Y9DCP4_TRIMA
OG0000334	tr|Q5GAN1|Q5GAN1_MOUSE, sp|P97802|ANG3_MOUSE, tr|Q5GAN0|Q5GAN0_MOUSE, sp|Q3TMQ6|ANG4_MOUSE, sp|Q64438|ANG2_MOUSE, sp|P21570|ANGI_MOUSE	tr|A0A2Y9EDQ6|A0A2Y9EDQ6_TRIMA
OG0000335	tr|Q0VB29|Q0VB29_MOUSE, tr|A2AUS6|A2AUS6_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|Q7TR12|Q7TR12_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE, tr|A2AV13|A2AV13_MOUSE	tr|A0A2Y9QQE5|A0A2Y9QQE5_TRIMA
OG0000338	sp|P04344|CRGB_MOUSE	tr|A0A2Y9FXJ3|A0A2Y9FXJ3_TRIMA, tr|A0A2Y9RA07|A0A2Y9RA07_TRIMA, tr|A0A2Y9DPN3|A0A2Y9DPN3_TRIMA
OG0000338	sp|Q61597|CRGC_MOUSE	tr|A0A2Y9DP57|A0A2Y9DP57_TRIMA, tr|A0A2Y9FXH2|A0A2Y9FXH2_TRIMA
OG0000339	sp|Q8R4Y0|FCRL1_MOUSE	tr|A0A2Y9QDT9|A0A2Y9QDT9_TRIMA
OG0000339	tr|Q9EQY5|Q9EQY5_MOUSE	tr|A0A2Y9G1Z9|A0A2Y9G1Z9_TRIMA, tr|A0A2Y9QHW0|A0A2Y9QHW0_TRIMA, tr|A0A2Y9QQ58|A0A2Y9QQ58_TRIMA, tr|A0A2Y9QQ84|A0A2Y9QQ84_TRIMA
OG0000342	sp|Q6P2K6|P4R3A_MOUSE	tr|A0A2Y9QVW0|A0A2Y9QVW0_TRIMA
OG0000342	sp|Q922R5|P4R3B_MOUSE	tr|A0A2Y9D7V7|A0A2Y9D7V7_TRIMA
OG0000342	tr|A2ADI4|A2ADI4_MOUSE, sp|Q3V0Y1|P4R3C_MOUSE	tr|A0A2Y9EBZ4|A0A2Y9EBZ4_TRIMA
OG0000343	tr|D3Z1H5|D3Z1H5_MOUSE, tr|D3Z5D4|D3Z5D4_MOUSE, sp|Q91ZX1|C209A_MOUSE, sp|Q91ZW8|C209D_MOUSE, sp|Q8CJ91|C209B_MOUSE, sp|Q91ZW9|C209C_MOUSE	tr|A0A2Y9FXH7|A0A2Y9FXH7_TRIMA
OG0000347	sp|Q921I1|TRFE_MOUSE	tr|A0A2Y9RE56|A0A2Y9RE56_TRIMA
OG0000347	sp|Q9DBD0|ICA_MOUSE	tr|A0A2Y9FY91|A0A2Y9FY91_TRIMA
OG0000347	sp|P08071|TRFL_MOUSE	tr|A0A2Y9G278|A0A2Y9G278_TRIMA, tr|A0A2Y9QT50|A0A2Y9QT50_TRIMA
OG0000348	tr|E9Q7E7|E9Q7E7_MOUSE	tr|A0A2Y9G1V1|A0A2Y9G1V1_TRIMA
OG0000348	tr|E9Q0Q2|E9Q0Q2_MOUSE	tr|A0A2Y9G1Q8|A0A2Y9G1Q8_TRIMA
OG0000348	tr|E9Q5F1|E9Q5F1_MOUSE, tr|E9Q0M4|E9Q0M4_MOUSE	tr|A0A2Y9EB59|A0A2Y9EB59_TRIMA
OG0000349	sp|Q6NVE3|SPI2C_MOUSE	tr|A0A2Y9RBN9|A0A2Y9RBN9_TRIMA
OG0000349	sp|Q61142|SPIN1_MOUSE	tr|A0A2Y9DVW3|A0A2Y9DVW3_TRIMA, tr|A0A2Y9DV34|A0A2Y9DV34_TRIMA, tr|A0A2Y9RIU1|A0A2Y9RIU1_TRIMA, tr|A0A2Y9RIY9|A0A2Y9RIY9_TRIMA
OG0000350	tr|Q7TRK4|Q7TRK4_MOUSE, tr|Q8VFA1|Q8VFA1_MOUSE, tr|Q8VFE1|Q8VFE1_MOUSE, tr|Q8VFD9|Q8VFD9_MOUSE, tr|Q8VFE4|Q8VFE4_MOUSE, tr|Q7TQU7|Q7TQU7_MOUSE	tr|A0A2Y9G388|A0A2Y9G388_TRIMA
OG0000351	sp|Q9CPW0|CNTP2_MOUSE, sp|Q99P47|CNTP4_MOUSE, tr|E9PY62|E9PY62_MOUSE, sp|Q0V8T9|CTP5A_MOUSE, sp|Q0V8T7|CTP5C_MOUSE, sp|Q0V8T8|CTP5B_MOUSE	tr|A0A2Y9RMC4|A0A2Y9RMC4_TRIMA
OG0000352	tr|Q7TNE6|Q7TNE6_MOUSE	tr|A0A2Y9G2Q4|A0A2Y9G2Q4_TRIMA, tr|A0A2Y9QQN0|A0A2Y9QQN0_TRIMA, tr|A0A2Y9FVQ8|A0A2Y9FVQ8_TRIMA, tr|A0A2Y9R5X5|A0A2Y9R5X5_TRIMA, tr|A0A2Y9G236|A0A2Y9G236_TRIMA, tr|A0A2Y9QJ86|A0A2Y9QJ86_TRIMA
OG0000353	sp|P30677|GNA14_MOUSE	tr|A0A2Y9DXP6|A0A2Y9DXP6_TRIMA
OG0000353	sp|P21278|GNA11_MOUSE	tr|A0A2Y9DQ23|A0A2Y9DQ23_TRIMA
OG0000353	sp|P21279|GNAQ_MOUSE	tr|A0A2Y9RPL6|A0A2Y9RPL6_TRIMA
OG0000354	sp|Q8VHX6|FLNC_MOUSE	tr|A0A2Y9DY15|A0A2Y9DY15_TRIMA
OG0000354	sp|Q80X90|FLNB_MOUSE	tr|A0A2Y9QN18|A0A2Y9QN18_TRIMA
OG0000354	sp|Q8BTM8|FLNA_MOUSE	tr|A0A2Y9QPC1|A0A2Y9QPC1_TRIMA, tr|A0A2Y9EC65|A0A2Y9EC65_TRIMA
OG0000355	tr|Q8VGH6|Q8VGH6_MOUSE	tr|A0A2Y9G0N5|A0A2Y9G0N5_TRIMA
OG0000355	tr|Q8VGH5|Q8VGH5_MOUSE, sp|Q60889|OLF5_MOUSE, tr|Q8VF33|Q8VF33_MOUSE, tr|F6VB59|F6VB59_MOUSE	tr|A0A2Y9RPN8|A0A2Y9RPN8_TRIMA
