Orthogroup	Mus_musculus	Pongo_abelii
OG0000840	sp|Q9EQK5|MVP_MOUSE	sp|Q5R9N2|MVP_PONAB, tr|A0A2J8TK80|A0A2J8TK80_PONAB, tr|A0A8I5UKN1|A0A8I5UKN1_PONAB
OG0000841	sp|Q8VCV9|MF4B1_MOUSE, tr|J3QNS5|J3QNS5_MOUSE, tr|E9PYY6|E9PYY6_MOUSE	tr|A0A8I5TA10|A0A8I5TA10_PONAB
OG0000842	sp|E9Q4S1|PDE8B_MOUSE	tr|H2PFX7|H2PFX7_PONAB
OG0000842	sp|O88502|PDE8A_MOUSE	tr|A0A2J8SG88|A0A2J8SG88_PONAB
OG0000843	sp|Q8BPP0|ZN436_MOUSE	tr|A0A8I5TTV2|A0A8I5TTV2_PONAB, tr|A0A6D2VTT5|A0A6D2VTT5_PONAB, sp|Q5R5Y7|ZN436_PONAB
OG0000844	sp|Q9EQU5|SET_MOUSE	tr|A0A8I5U0T0|A0A8I5U0T0_PONAB, tr|A0A8I5TXV8|A0A8I5TXV8_PONAB, tr|A0A8I5T4W4|A0A8I5T4W4_PONAB
OG0000845	sp|Q9Z2N8|ACL6A_MOUSE	tr|A0A2J8WGS2|A0A2J8WGS2_PONAB
OG0000845	sp|Q99MR0|ACL6B_MOUSE	tr|H2PLP4|H2PLP4_PONAB
OG0000846	sp|P22605|RARB_MOUSE	tr|H2PBB6|H2PBB6_PONAB
OG0000846	sp|P11416|RARA_MOUSE	tr|A0A8I5TAE1|A0A8I5TAE1_PONAB
OG0000847	sp|P62242|RS8_MOUSE	tr|A0A8I5YSS0|A0A8I5YSS0_PONAB, tr|H2N7M3|H2N7M3_PONAB, tr|A0A8I5YLM1|A0A8I5YLM1_PONAB
OG0000848	sp|P10711|TCEA1_MOUSE	tr|A0A8I5TCA9|A0A8I5TCA9_PONAB
OG0000848	sp|P97823|LYPA1_MOUSE	sp|Q5RBR7|LYPA1_PONAB
OG0000849	sp|Q9DB77|QCR2_MOUSE	tr|A0A8I5YQS5|A0A8I5YQS5_PONAB, tr|A0A8I5UJ82|A0A8I5UJ82_PONAB, tr|H2NQC9|H2NQC9_PONAB
OG0000850	sp|Q9QYI6|DNJB9_MOUSE	sp|Q5R9A4|DNJB9_PONAB, tr|A0A8I5YKE4|A0A8I5YKE4_PONAB, tr|H2PN79|H2PN79_PONAB
OG0000852	sp|Q61292|LAMB2_MOUSE	tr|A0A2J8TA47|A0A2J8TA47_PONAB
OG0000852	sp|P02469|LAMB1_MOUSE	tr|H2PN73|H2PN73_PONAB
OG0000853	sp|P47856|GFPT1_MOUSE	tr|H2P5Z1|H2P5Z1_PONAB
OG0000853	sp|Q9Z2Z9|GFPT2_MOUSE	tr|H2PHM6|H2PHM6_PONAB
OG0000854	sp|Q80X95|RRAGA_MOUSE	tr|H2PS37|H2PS37_PONAB
OG0000854	sp|Q6NTA4|RRAGB_MOUSE	tr|A0A8I5UNR4|A0A8I5UNR4_PONAB
OG0000855	sp|Q80TR1|AGRL1_MOUSE	tr|A0A8I5TEE6|A0A8I5TEE6_PONAB
OG0000855	sp|Q8JZZ7|AGRL2_MOUSE	tr|A0A8I5YUX9|A0A8I5YUX9_PONAB
OG0000856	sp|Q91X34|BAAT_MOUSE, sp|Q8BGG9|ACNT2_MOUSE, sp|A2AKK5|ACNT1_MOUSE	tr|A0A6D2WIK2|A0A6D2WIK2_PONAB
OG0000857	tr|S4R1M3|S4R1M3_MOUSE, tr|S4R1E0|S4R1E0_MOUSE, tr|S4R1G7|S4R1G7_MOUSE	tr|A0A2J8RMF8|A0A2J8RMF8_PONAB
OG0000858	sp|Q7TNG5|EMAL2_MOUSE	tr|A0A8I5YUT2|A0A8I5YUT2_PONAB
OG0000858	sp|Q05BC3|EMAL1_MOUSE	tr|H2NM87|H2NM87_PONAB
OG0000859	sp|Q9D593|VATE2_MOUSE	tr|A0A6D2VTE9|A0A6D2VTE9_PONAB
OG0000859	sp|P50518|VATE1_MOUSE	tr|H2P3K2|H2P3K2_PONAB
OG0000860	sp|Q9DAF3|DDI1_MOUSE	tr|H2NF42|H2NF42_PONAB
OG0000860	sp|A2ADY9|DDI2_MOUSE	tr|H2N8Z2|H2N8Z2_PONAB
OG0000861	tr|Q8VGL6|Q8VGL6_MOUSE, tr|G5E8J1|G5E8J1_MOUSE, tr|Q7TS53|Q7TS53_MOUSE	tr|A0A8I5TRM6|A0A8I5TRM6_PONAB
OG0000862	sp|B2RX12|MRP3_MOUSE	tr|H2NTM7|H2NTM7_PONAB
OG0000862	sp|O35379|MRP1_MOUSE	tr|H2NQ85|H2NQ85_PONAB
OG0000863	sp|P08508|FCGR3_MOUSE, sp|P08101|FCGR2_MOUSE	tr|A0A2J8SLD3|A0A2J8SLD3_PONAB, tr|H2N504|H2N504_PONAB
OG0000864	sp|P58269|DPF3_MOUSE	tr|A0A2J8T4J0|A0A2J8T4J0_PONAB
OG0000864	sp|Q9QX66|DPF1_MOUSE	tr|H2NYN0|H2NYN0_PONAB
OG0000865	sp|P14234|FGR_MOUSE	tr|A0A6D2W2I8|A0A6D2W2I8_PONAB
OG0000865	sp|P39688|FYN_MOUSE	tr|A0A2J8U1C4|A0A2J8U1C4_PONAB
OG0000866	sp|Q8BG54|SPTC3_MOUSE	tr|H2P120|H2P120_PONAB
OG0000866	sp|P97363|SPTC2_MOUSE	tr|H2NLX2|H2NLX2_PONAB
OG0000867	sp|Q7TSF0|DSG1C_MOUSE, sp|Q7TSF1|DSG1B_MOUSE, sp|Q61495|DSG1A_MOUSE	tr|H2NW44|H2NW44_PONAB
OG0000868	sp|Q5H8B9|FREM3_MOUSE	tr|H2PEE4|H2PEE4_PONAB
OG0000868	sp|Q6NVD0|FREM2_MOUSE	tr|H2NJP2|H2NJP2_PONAB
OG0000869	sp|Q8K3I8|DFB19_MOUSE	tr|H2P1J4|H2P1J4_PONAB
OG0000869	sp|Q8K3U4|DFB36_MOUSE	tr|H2P1J6|H2P1J6_PONAB
OG0000870	tr|Q8VGJ1|Q8VGJ1_MOUSE, tr|Q8VGC1|Q8VGC1_MOUSE, sp|Q60885|OLF9_MOUSE	tr|A0A8I5UEK5|A0A8I5UEK5_PONAB
OG0000871	sp|P31254|UBA1Y_MOUSE, tr|Q9DBK7|Q9DBK7_MOUSE, sp|Q02053|UBA1_MOUSE	tr|H2PVF8|H2PVF8_PONAB
OG0000872	sp|P21278|GNA11_MOUSE	tr|H2NWY9|H2NWY9_PONAB
OG0000872	sp|P21279|GNAQ_MOUSE	tr|A0A8I5T2Q4|A0A8I5T2Q4_PONAB
OG0000873	sp|P63325|RS10_MOUSE	tr|A0A8I5TCW7|A0A8I5TCW7_PONAB, tr|A0A8I5TVD0|A0A8I5TVD0_PONAB, tr|H2P1H2|H2P1H2_PONAB
OG0000874	sp|Q7M753|PANK2_MOUSE	tr|H2P1B1|H2P1B1_PONAB
OG0000874	sp|Q8R2W9|PANK3_MOUSE	tr|H2PHB3|H2PHB3_PONAB
OG0000875	sp|Q80U19|DAAM2_MOUSE	tr|H2PIY5|H2PIY5_PONAB
OG0000875	sp|Q8BPM0|DAAM1_MOUSE	tr|H2NLD7|H2NLD7_PONAB
OG0000876	tr|Q920G5|Q920G5_MOUSE	tr|A0A8I5YQN3|A0A8I5YQN3_PONAB, tr|H2NE82|H2NE82_PONAB, tr|A0A2J8SVI5|A0A2J8SVI5_PONAB
OG0000877	sp|Q8CBW4|DC121_MOUSE, sp|Q8BGW4|DC122_MOUSE	tr|H2PWP9|H2PWP9_PONAB, tr|A0A8I5T8C2|A0A8I5T8C2_PONAB
OG0000878	sp|Q9Z1W9|STK39_MOUSE	tr|A0A8I5YRA8|A0A8I5YRA8_PONAB
OG0000878	sp|Q6P9R2|OXSR1_MOUSE	sp|Q5R495|OXSR1_PONAB
OG0000880	sp|Q07230|ZSCA2_MOUSE	tr|A0A2J8SG69|A0A2J8SG69_PONAB, sp|Q5RCD9|ZSCA2_PONAB, tr|A0A8I5TUM2|A0A8I5TUM2_PONAB
OG0000881	sp|P69566|RANB9_MOUSE	tr|H2PHZ1|H2PHZ1_PONAB
OG0000881	sp|Q6VN19|RBP10_MOUSE	tr|A0A8I5TTD7|A0A8I5TTD7_PONAB
OG0000882	sp|Q8CIP3|MRGX1_MOUSE	tr|H2NDX2|H2NDX2_PONAB, tr|A0A8I5T0H6|A0A8I5T0H6_PONAB, tr|H2NDZ4|H2NDZ4_PONAB
OG0000883	tr|Q3TS87|Q3TS87_MOUSE, sp|O09005|DEGS1_MOUSE	tr|A0A2J8U2C3|A0A2J8U2C3_PONAB, sp|Q5RE51|DEGS1_PONAB
OG0000884	sp|Q6UQ17|AT8B3_MOUSE	tr|H2NWV2|H2NWV2_PONAB
OG0000884	sp|Q148W0|AT8B1_MOUSE	tr|H2NWF0|H2NWF0_PONAB
OG0000885	sp|Q8CIR4|TRPM6_MOUSE	tr|H2PSE2|H2PSE2_PONAB
OG0000885	sp|Q923J1|TRPM7_MOUSE	tr|H2NN79|H2NN79_PONAB
OG0000886	sp|Q9Z0H6|CST9_MOUSE	tr|H2P180|H2P180_PONAB, tr|H2P178|H2P178_PONAB, tr|H2P177|H2P177_PONAB
OG0000887	sp|P58544|BTBD1_MOUSE	tr|H2NP25|H2NP25_PONAB
OG0000887	tr|E9PUS2|E9PUS2_MOUSE	tr|H2NWV8|H2NWV8_PONAB
OG0000888	sp|Q69ZN7|MYOF_MOUSE	tr|H2NB16|H2NB16_PONAB
OG0000888	sp|Q9ESD7|DYSF_MOUSE	tr|A0A2J8XBW7|A0A2J8XBW7_PONAB
OG0000889	sp|P03940|CP21A_MOUSE	tr|A0A8I5U519|A0A8I5U519_PONAB, tr|H2PIM4|H2PIM4_PONAB, tr|A0A8I5TS91|A0A8I5TS91_PONAB
OG0000890	sp|Q08639|TFDP1_MOUSE	tr|H2PV98|H2PV98_PONAB, tr|H2PXM3|H2PXM3_PONAB, tr|A0A8I5YUK5|A0A8I5YUK5_PONAB
OG0000891	sp|Q6V4S5|SDK2_MOUSE	tr|H2NUK9|H2NUK9_PONAB
OG0000891	sp|Q3UH53|SDK1_MOUSE	tr|H2PLD3|H2PLD3_PONAB
OG0000892	sp|P69744|TRPV5_MOUSE	tr|A0A8I5T7H7|A0A8I5T7H7_PONAB
OG0000892	sp|Q91WD2|TRPV6_MOUSE	tr|A0A2J8V2V6|A0A2J8V2V6_PONAB
OG0000893	sp|P27659|RL3_MOUSE	tr|A0A8I5ULG4|A0A8I5ULG4_PONAB, tr|A0A8I5U9W0|A0A8I5U9W0_PONAB, tr|A0A8I5UAT1|A0A8I5UAT1_PONAB
OG0000894	sp|P55105|BMP8B_MOUSE, sp|P34821|BMP8A_MOUSE	tr|H2N7V4|H2N7V4_PONAB, tr|H2N7W1|H2N7W1_PONAB
OG0000895	sp|P63158|HMGB1_MOUSE	tr|A0A6D2WW75|A0A6D2WW75_PONAB, tr|A0A8I5TKB9|A0A8I5TKB9_PONAB, tr|H2P3W9|H2P3W9_PONAB
OG0000896	sp|Q9DBJ1|PGAM1_MOUSE	sp|Q5RFB8|PGAM1_PONAB, tr|H2NB66|H2NB66_PONAB, tr|A0A8I5YTD8|A0A8I5YTD8_PONAB
OG0000897	sp|Q9WTZ8|BEX2_MOUSE, sp|Q9R224|BEX1_MOUSE	tr|A0A2J8VB35|A0A2J8VB35_PONAB, tr|A0A8I5YU92|A0A8I5YU92_PONAB
OG0000898	sp|Q8C9S8|ATG4A_MOUSE, tr|A0A0G2JFS9|A0A0G2JFS9_MOUSE	sp|Q5R699|ATG4A_PONAB, tr|H2PWG1|H2PWG1_PONAB
OG0000899	sp|A2AGX3|PRD11_MOUSE	tr|H2PP01|H2PP01_PONAB, tr|A0A8I5UYD9|A0A8I5UYD9_PONAB, tr|A0A8I5YVE2|A0A8I5YVE2_PONAB
OG0000900	sp|P43135|COT2_MOUSE	tr|H2NP93|H2NP93_PONAB
OG0000900	sp|Q60632|COT1_MOUSE	tr|A0A8I5UNN3|A0A8I5UNN3_PONAB
OG0000901	sp|Q7TNP2|2AAB_MOUSE	tr|A0A8I5T0Q8|A0A8I5T0Q8_PONAB
OG0000901	sp|Q76MZ3|2AAA_MOUSE	tr|H2NZY2|H2NZY2_PONAB
OG0000902	sp|Q80T19|HEPC2_MOUSE, sp|Q9EQ21|HEPC_MOUSE	tr|A0A2J8RRC4|A0A2J8RRC4_PONAB, sp|Q5NVR8|HEPC_PONAB
OG0000903	tr|Q3UQH6|Q3UQH6_MOUSE, sp|Q8BMC0|LPAR6_MOUSE, sp|Q8BLG2|LPAR4_MOUSE	tr|H2PW41|H2PW41_PONAB
OG0000904	sp|Q8R313|EXOC6_MOUSE	tr|A0A8I5TSZ2|A0A8I5TSZ2_PONAB
OG0000904	sp|A6H5Z3|EXC6B_MOUSE	tr|H2P5V5|H2P5V5_PONAB
OG0000905	sp|Q3TCH7|CUL4A_MOUSE	tr|H2NKD8|H2NKD8_PONAB
OG0000905	sp|A2A432|CUL4B_MOUSE	tr|A0A8I5TKX1|A0A8I5TKX1_PONAB
OG0000906	tr|A0A140LJC7|A0A140LJC7_MOUSE, sp|Q91ZX7|LRP1_MOUSE, sp|Q9JI18|LRP1B_MOUSE	tr|H2P7H1|H2P7H1_PONAB
OG0000907	tr|Q3UJ22|Q3UJ22_MOUSE	tr|A0A2J8WX26|A0A2J8WX26_PONAB, tr|H2PWW0|H2PWW0_PONAB, tr|A0A2J8WX12|A0A2J8WX12_PONAB
OG0000908	sp|Q9JM63|KCJ10_MOUSE	tr|A0A8I5TLD9|A0A8I5TLD9_PONAB
OG0000908	sp|O88932|KCJ15_MOUSE	tr|A0A2J8UAI0|A0A2J8UAI0_PONAB
OG0000909	tr|A0A494BAW1|A0A494BAW1_MOUSE	tr|H2NN42|H2NN42_PONAB
OG0000909	tr|A2AQ92|A2AQ92_MOUSE	tr|A0A2J8S471|A0A2J8S471_PONAB
OG0000910	sp|P31750|AKT1_MOUSE	tr|A0A2J8SZ71|A0A2J8SZ71_PONAB
OG0000910	sp|Q60823|AKT2_MOUSE	tr|H2NYU6|H2NYU6_PONAB
OG0000911	tr|Q8VFE6|Q8VFE6_MOUSE, tr|Q7TRX1|Q7TRX1_MOUSE, tr|Q7TRX2|Q7TRX2_MOUSE	tr|H2NS83|H2NS83_PONAB
OG0000912	sp|Q9QXE7|TBL1X_MOUSE	tr|A0A2J8W4R2|A0A2J8W4R2_PONAB
OG0000912	sp|Q8BHJ5|TBL1R_MOUSE	tr|A0A663D7J5|A0A663D7J5_PONAB
OG0000913	sp|Q8C0S4|TT21A_MOUSE	tr|H2PB47|H2PB47_PONAB
OG0000913	sp|Q0HA38|TT21B_MOUSE	tr|H2P7P9|H2P7P9_PONAB
OG0000914	sp|Q14DK4|GPAT2_MOUSE	tr|A0A8I5TYR5|A0A8I5TYR5_PONAB, tr|H2P539|H2P539_PONAB, tr|A0A2J8QZF7|A0A2J8QZF7_PONAB
OG0000915	sp|Q8C669|PELI1_MOUSE	tr|H2P619|H2P619_PONAB
OG0000915	sp|Q8BST6|PELI2_MOUSE	tr|A0A8I5YJW3|A0A8I5YJW3_PONAB
OG0000916	sp|Q920S2|PRS41_MOUSE	tr|H2NPV9|H2NPV9_PONAB
OG0000916	sp|Q9JHJ7|TEST_MOUSE	tr|H2NRZ7|H2NRZ7_PONAB
OG0000917	sp|Q99JW1|AB17A_MOUSE	tr|H2NWV5|H2NWV5_PONAB
OG0000917	sp|Q7M759|AB17B_MOUSE	tr|H2PSD5|H2PSD5_PONAB
OG0000918	tr|B9EJL3|B9EJL3_MOUSE, sp|Q2VIS4|FILA2_MOUSE, sp|Q8VHD8|HORN_MOUSE	tr|A0A6D2XFJ1|A0A6D2XFJ1_PONAB
OG0000919	sp|Q99MJ9|DDX50_MOUSE	tr|A0A2J8WRD2|A0A2J8WRD2_PONAB
OG0000919	sp|Q9JIK5|DDX21_MOUSE	tr|H2NAQ5|H2NAQ5_PONAB
OG0000920	sp|O35682|MYADM_MOUSE, sp|Q08AU7|MADL2_MOUSE	tr|A0A2J8UA48|A0A2J8UA48_PONAB, sp|Q5R6H1|MYADM_PONAB
OG0000921	sp|P32037|GTR3_MOUSE	tr|A0A2J8TBX0|A0A2J8TBX0_PONAB, tr|H2NGD8|H2NGD8_PONAB, sp|Q5R608|GTR3_PONAB
OG0000922	sp|Q52KE7|CCNL1_MOUSE	sp|Q5RD50|CCNL1_PONAB
OG0000922	sp|Q9JJA7|CCNL2_MOUSE	tr|K7ETM0|K7ETM0_PONAB
OG0000923	sp|Q62377|U2AFM_MOUSE, sp|Q64707|U2AFL_MOUSE	tr|H2PUZ9|H2PUZ9_PONAB, tr|A0A8I5T358|A0A8I5T358_PONAB
OG0000924	sp|Q8BUE7|MUC20_MOUSE	tr|A0A8I5T8S4|A0A8I5T8S4_PONAB, tr|A0A8I5T1J7|A0A8I5T1J7_PONAB, tr|A0A8I5TDH6|A0A8I5TDH6_PONAB
OG0000925	sp|Q9CXS4|CENPV_MOUSE	tr|H2NSU9|H2NSU9_PONAB, tr|H2PVN9|H2PVN9_PONAB, tr|H2PVN8|H2PVN8_PONAB
OG0000927	tr|B9EKK6|B9EKK6_MOUSE, tr|E0CX47|E0CX47_MOUSE	tr|A0A6D2W2E0|A0A6D2W2E0_PONAB, sp|Q5RCA5|NXPE3_PONAB
OG0000928	sp|Q60629|EPHA5_MOUSE	tr|H2PDB2|H2PDB2_PONAB
OG0000928	sp|P29319|EPHA3_MOUSE	tr|H2PA12|H2PA12_PONAB
OG0000929	sp|Q9CPW0|CNTP2_MOUSE	tr|A0A8I5YVF5|A0A8I5YVF5_PONAB, sp|Q5RD64|CNTP2_PONAB, tr|H2PNY4|H2PNY4_PONAB
OG0000930	sp|Q9WUB6|CLCKB_MOUSE, sp|Q9WUB7|CLCKA_MOUSE	tr|A0A8I5U6U4|A0A8I5U6U4_PONAB, tr|H2N8Y0|H2N8Y0_PONAB
OG0000931	sp|Q02357|ANK1_MOUSE	tr|A0A8I5YSX3|A0A8I5YSX3_PONAB
OG0000931	sp|G5E8K5|ANK3_MOUSE	tr|H2NAT9|H2NAT9_PONAB
OG0000932	tr|E9PXN1|E9PXN1_MOUSE, tr|Q91X93|Q91X93_MOUSE, tr|E9Q7E4|E9Q7E4_MOUSE	tr|H2NGK4|H2NGK4_PONAB
OG0000933	sp|Q9DAC9|PO5F2_MOUSE, sp|P20263|PO5F1_MOUSE	tr|A0A8I5YLY6|A0A8I5YLY6_PONAB, tr|H2PL01|H2PL01_PONAB
OG0000934	sp|Q8BQM8|EMAL5_MOUSE	tr|A0A8I5U1H9|A0A8I5U1H9_PONAB
OG0000934	sp|Q5SQM0|EMAL6_MOUSE	tr|H2P674|H2P674_PONAB
OG0000935	sp|Q62210|BIRC2_MOUSE	tr|A0A6D2XY77|A0A6D2XY77_PONAB
OG0000935	sp|O08863|BIRC3_MOUSE	tr|A0A8I5U4Q7|A0A8I5U4Q7_PONAB
OG0000936	sp|P17553|WNT3_MOUSE	tr|H2NTP4|H2NTP4_PONAB
OG0000936	sp|P27467|WNT3A_MOUSE	tr|H2N3H7|H2N3H7_PONAB
OG0000937	sp|P63028|TCTP_MOUSE	tr|H2NJT3|H2NJT3_PONAB, tr|A0A8I5TQK4|A0A8I5TQK4_PONAB, tr|H2PUS9|H2PUS9_PONAB
OG0000938	sp|Q01320|TOP2A_MOUSE	tr|H2NU77|H2NU77_PONAB
OG0000938	sp|Q64511|TOP2B_MOUSE	tr|A0A8I5YM37|A0A8I5YM37_PONAB
OG0000939	sp|Q64430|ATP7A_MOUSE	tr|H2PW38|H2PW38_PONAB
OG0000939	sp|Q64446|ATP7B_MOUSE	tr|A0A8I5YQ01|A0A8I5YQ01_PONAB
OG0000940	sp|Q9JHD2|KAT2A_MOUSE	tr|A0A8I5T8C0|A0A8I5T8C0_PONAB
OG0000940	sp|Q9JHD1|KAT2B_MOUSE	tr|H2PBC4|H2PBC4_PONAB
OG0000942	sp|Q8CIN6|CELF3_MOUSE	tr|A0A8I5U0K8|A0A8I5U0K8_PONAB
OG0000942	sp|Q7TSY6|CELF4_MOUSE	sp|Q5NVC8|CELF4_PONAB
OG0000943	sp|O35344|IMA4_MOUSE	tr|A0A8I5TUH3|A0A8I5TUH3_PONAB
OG0000943	sp|O35343|IMA3_MOUSE	tr|H2PBW1|H2PBW1_PONAB
OG0000944	sp|P16546|SPTN1_MOUSE	tr|H2PTJ9|H2PTJ9_PONAB
OG0000944	sp|P08032|SPTA1_MOUSE	tr|H2N587|H2N587_PONAB
OG0000945	sp|Q8BLY2|SYTC2_MOUSE	tr|A0A8I5YNQ7|A0A8I5YNQ7_PONAB
OG0000945	sp|Q9D0R2|SYTC_MOUSE	tr|A0A8I5UF13|A0A8I5UF13_PONAB
OG0000946	sp|Q3THS6|METK2_MOUSE	sp|Q5R5H1|METK2_PONAB
OG0000946	sp|Q91X83|METK1_MOUSE	tr|H2NAF6|H2NAF6_PONAB
OG0000947	tr|E9Q549|E9Q549_MOUSE	tr|H2NEG9|H2NEG9_PONAB, tr|A0A8I5YV85|A0A8I5YV85_PONAB, tr|H2NEH0|H2NEH0_PONAB
OG0000948	sp|O54863|TSSK2_MOUSE, sp|Q8C1R0|TSSK5_MOUSE, sp|Q61241|TSSK1_MOUSE	tr|A0A8I5TNF3|A0A8I5TNF3_PONAB
OG0000949	sp|P63085|MK01_MOUSE	tr|A0A2J8RZC2|A0A2J8RZC2_PONAB
OG0000949	sp|Q63844|MK03_MOUSE	tr|A0A2J8TJW8|A0A2J8TJW8_PONAB
OG0000950	sp|Q9JKC8|AP3M1_MOUSE	sp|Q5R478|AP3M1_PONAB
OG0000950	sp|Q8R2R9|AP3M2_MOUSE	tr|A0A6D2VTV7|A0A6D2VTV7_PONAB
OG0000951	sp|Q9Z2C9|MTMR7_MOUSE	tr|H2PVU7|H2PVU7_PONAB, sp|Q5R6F6|MTMR7_PONAB, tr|H2PPM8|H2PPM8_PONAB
OG0000952	sp|Q8CHG7|RPGF2_MOUSE	tr|K7EW39|K7EW39_PONAB
OG0000952	tr|Q5NCJ1|Q5NCJ1_MOUSE	tr|H2PGG6|H2PGG6_PONAB
OG0000953	sp|Q8K4P7|ST7L_MOUSE	tr|A0A8I5TFD8|A0A8I5TFD8_PONAB
OG0000953	sp|Q99M96|ST7_MOUSE	sp|Q2IBE0|ST7_PONAB
OG0000954	sp|Q9EPN1|NBEA_MOUSE	tr|A0A8I5TII4|A0A8I5TII4_PONAB
OG0000954	sp|Q9ESE1|LRBA_MOUSE	tr|H2PEH7|H2PEH7_PONAB
OG0000955	sp|Q80UP3|DGKZ_MOUSE	tr|H2NDL2|H2NDL2_PONAB
OG0000955	sp|D3YWQ0|DGKI_MOUSE	tr|A0A8I5T9G8|A0A8I5T9G8_PONAB
OG0000956	sp|Q99M80|PTPRT_MOUSE	tr|H2P1Y8|H2P1Y8_PONAB
OG0000956	sp|P28828|PTPRM_MOUSE	tr|H2NVW2|H2NVW2_PONAB
OG0000957	sp|Q7TT00|SP20H_MOUSE	tr|A0A8I5SY94|A0A8I5SY94_PONAB, sp|Q5R724|SP20H_PONAB, tr|A0A8I5T1L2|A0A8I5T1L2_PONAB
OG0000958	tr|Q8VEZ5|Q8VEZ5_MOUSE, tr|Q8VEZ4|Q8VEZ4_MOUSE, tr|Q8VGP8|Q8VGP8_MOUSE	tr|H2NDE1|H2NDE1_PONAB
OG0000959	sp|Q9QYF9|NDRG3_MOUSE	sp|Q5RA95|NDRG3_PONAB
OG0000959	sp|Q8BTG7|NDRG4_MOUSE	tr|A0A8I5TGC9|A0A8I5TGC9_PONAB
OG0000960	sp|Q8C7Q4|RBM4_MOUSE	tr|H2NCQ4|H2NCQ4_PONAB
OG0000960	sp|Q8VE92|RBM4B_MOUSE	tr|A0A8I5U794|A0A8I5U794_PONAB
OG0000961	sp|Q9QZW0|AT11C_MOUSE	tr|A0A8I5T6G5|A0A8I5T6G5_PONAB
OG0000961	sp|P98197|AT11A_MOUSE	tr|H2NKC8|H2NKC8_PONAB
OG0000962	sp|A1L314|MPEG1_MOUSE, tr|Q5RKV8|Q5RKV8_MOUSE	sp|Q5RBP9|MPEG1_PONAB, tr|H2NDC7|H2NDC7_PONAB
OG0000963	sp|Q8VC82|RHBL1_MOUSE	tr|A0A8I5YSG4|A0A8I5YSG4_PONAB
OG0000963	sp|P58873|RHBL3_MOUSE	tr|A0A8I5YQH3|A0A8I5YQH3_PONAB
OG0000964	sp|Q8CHW1|THAP1_MOUSE	tr|H2PN78|H2PN78_PONAB, tr|H2NYJ5|H2NYJ5_PONAB, sp|Q5RCE4|THAP1_PONAB
OG0000965	sp|Q9CR95|NECP1_MOUSE	tr|A0A6D2WT79|A0A6D2WT79_PONAB, sp|Q5R630|NECP1_PONAB, tr|A0A8I5TMX7|A0A8I5TMX7_PONAB
OG0000966	sp|Q9D0B0|SRSF9_MOUSE	tr|A0A8I5UVE1|A0A8I5UVE1_PONAB, tr|H2PUB3|H2PUB3_PONAB, tr|H2NIV7|H2NIV7_PONAB
OG0000967	tr|E9Q048|E9Q048_MOUSE, tr|Q8C5D3|Q8C5D3_MOUSE, tr|F6UWZ4|F6UWZ4_MOUSE	tr|A0A8I5U396|A0A8I5U396_PONAB
OG0000968	sp|P02104|HBE_MOUSE	tr|H2NED9|H2NED9_PONAB, tr|H2NED8|H2NED8_PONAB, tr|A0A6D2W595|A0A6D2W595_PONAB
OG0000969	sp|Q9JKK7|TMOD2_MOUSE	tr|H2NN88|H2NN88_PONAB
OG0000969	sp|Q9JHJ0|TMOD3_MOUSE	tr|A0A8I5TN30|A0A8I5TN30_PONAB
OG0000970	sp|P46664|PURA2_MOUSE	tr|H2N387|H2N387_PONAB
OG0000970	sp|P28650|PURA1_MOUSE	tr|A0A8I5TW12|A0A8I5TW12_PONAB
OG0000971	sp|P41233|ABCA1_MOUSE, sp|Q91V24|ABCA7_MOUSE, sp|P41234|ABCA2_MOUSE	tr|H2PSY4|H2PSY4_PONAB
OG0000972	sp|Q3UX83|1A1L2_MOUSE	tr|H2NDM8|H2NDM8_PONAB
OG0000972	sp|A2AIG8|1A1L1_MOUSE	tr|H2NDM7|H2NDM7_PONAB
OG0000973	sp|Q99MK8|ARBK1_MOUSE	tr|H2NCP1|H2NCP1_PONAB
OG0000973	sp|Q3UYH7|ARBK2_MOUSE	tr|H2P3W1|H2P3W1_PONAB
OG0000974	sp|Q8VDS7|CE57L_MOUSE	tr|A0A8I5TR23|A0A8I5TR23_PONAB, tr|A0A8I5UGD1|A0A8I5UGD1_PONAB, tr|A0A8I5TT41|A0A8I5TT41_PONAB
OG0000975	tr|Q8VFN6|Q8VFN6_MOUSE	tr|H2NFN2|H2NFN2_PONAB, tr|A0A8I5TV07|A0A8I5TV07_PONAB, tr|H2NKP8|H2NKP8_PONAB
OG0000976	sp|Q68FE8|Z280D_MOUSE	tr|H2NNB9|H2NNB9_PONAB
OG0000976	sp|Q6P3Y5|Z280C_MOUSE	tr|H2PWR8|H2PWR8_PONAB
OG0000977	sp|Q6R0H7|GNAS1_MOUSE	tr|H2P2F2|H2P2F2_PONAB
OG0000977	sp|Q8CGK7|GNAL_MOUSE	tr|A0A8I5T0Q1|A0A8I5T0Q1_PONAB
OG0000978	sp|Q8VBW9|OLF63_MOUSE	tr|A0A8I5YLC5|A0A8I5YLC5_PONAB, tr|H2NXX1|H2NXX1_PONAB, tr|A0A8I5YNA8|A0A8I5YNA8_PONAB
OG0000979	tr|Q8VFU7|Q8VFU7_MOUSE, tr|Q8VFU6|Q8VFU6_MOUSE, tr|Q8VEV5|Q8VEV5_MOUSE	tr|A0A2J8UI81|A0A2J8UI81_PONAB
