Orthogroup	Mus_musculus	Castor_canadensis
OG0002499	sp|Q08093|CNN2_MOUSE	tr|A0A8B7VFA2|A0A8B7VFA2_CASCN, tr|A0A250YFS1|A0A250YFS1_CASCN
OG0002500	sp|Q80V94|AP4E1_MOUSE	tr|A0A8B7WE87|A0A8B7WE87_CASCN, tr|A0A8C0XKE8|A0A8C0XKE8_CASCN
OG0002501	sp|O35516|NOTC2_MOUSE	tr|A0A8B7WJA7|A0A8B7WJA7_CASCN, tr|A0A8B7WIV7|A0A8B7WIV7_CASCN
OG0002502	sp|P97328|KHK_MOUSE	tr|A0A8C0W3Y7|A0A8C0W3Y7_CASCN, tr|A0A250YDG4|A0A250YDG4_CASCN
OG0002503	sp|Q9DA03|LYRM7_MOUSE	tr|A0A250XUU6|A0A250XUU6_CASCN, tr|A0A8B7VJT9|A0A8B7VJT9_CASCN
OG0002504	sp|Q8CHS7|DRS7C_MOUSE	tr|A0A8B7VQ30|A0A8B7VQ30_CASCN, tr|A0A250XY84|A0A250XY84_CASCN
OG0002505	sp|Q8C3X4|GUF1_MOUSE	tr|A0A250XYZ6|A0A250XYZ6_CASCN, tr|A0A8C0ZXG6|A0A8C0ZXG6_CASCN
OG0002506	sp|Q61503|5NTD_MOUSE	tr|A0A250Y308|A0A250Y308_CASCN, tr|A0A8B7W9A9|A0A8B7W9A9_CASCN
OG0002507	sp|Q91WG8|GLCNE_MOUSE	tr|A0A8B7UKX6|A0A8B7UKX6_CASCN, tr|A0A250Y415|A0A250Y415_CASCN
OG0002508	sp|Q8BHZ5|CYREN_MOUSE	tr|A0A250YAF8|A0A250YAF8_CASCN, tr|A0A8B7VFH1|A0A8B7VFH1_CASCN
OG0002509	sp|Q8BHG2|CZIB_MOUSE	tr|A0A8B7U366|A0A8B7U366_CASCN, tr|A0A250YAK6|A0A250YAK6_CASCN
OG0002510	sp|Q9R062|GLYG_MOUSE	tr|A0A250YFP5|A0A250YFP5_CASCN, tr|A0A8B7W1V2|A0A8B7W1V2_CASCN
OG0002511	sp|Q03172|ZEP1_MOUSE	tr|A0A8B7TLG7|A0A8B7TLG7_CASCN, tr|A0A8B7W7M0|A0A8B7W7M0_CASCN
OG0002512	sp|P34152|FAK1_MOUSE	tr|A0A250Y6S0|A0A250Y6S0_CASCN, tr|A0A8B7TYH7|A0A8B7TYH7_CASCN
OG0002513	sp|Q6P4T2|U520_MOUSE	tr|A0A8B7U3W7|A0A8B7U3W7_CASCN, tr|A0A8B7U3V4|A0A8B7U3V4_CASCN
OG0002514	sp|Q8BTV1|TUSC3_MOUSE, sp|Q9CQY5|MAGT1_MOUSE	tr|A0A8B7UJS3|A0A8B7UJS3_CASCN
OG0002515	sp|Q8BW00|PTH_MOUSE	tr|A0A8B7UKI3|A0A8B7UKI3_CASCN, tr|A0A250XWB4|A0A250XWB4_CASCN
OG0002516	sp|Q4ACU6|SHAN3_MOUSE	tr|A0A8B7UZB0|A0A8B7UZB0_CASCN, tr|A0A8C0WFW2|A0A8C0WFW2_CASCN
OG0002517	sp|Q62315|JARD2_MOUSE	tr|A0A250Y794|A0A250Y794_CASCN, tr|A0A8B7V0C3|A0A8B7V0C3_CASCN
OG0002518	sp|Q61144|PSN2_MOUSE	tr|A0A250YIA3|A0A250YIA3_CASCN, tr|A0A8B7V509|A0A8B7V509_CASCN
OG0002519	sp|Q8VEE0|RPE_MOUSE	tr|A0A250YD19|A0A250YD19_CASCN, tr|A0A8B7VAM6|A0A8B7VAM6_CASCN
OG0002520	sp|Q924W5|SMC6_MOUSE	tr|A0A250Y6V4|A0A250Y6V4_CASCN, tr|A0A8B7VBD1|A0A8B7VBD1_CASCN
OG0002521	tr|A0A5F8MPQ6|A0A5F8MPQ6_MOUSE	tr|A0A8B7VC64|A0A8B7VC64_CASCN, tr|A0A8B7W1X9|A0A8B7W1X9_CASCN
OG0002522	sp|Q9DB38|ZN580_MOUSE	tr|A0A250YAW3|A0A250YAW3_CASCN, tr|A0A8B7VGW0|A0A8B7VGW0_CASCN
OG0002523	sp|Q8VBV7|CSN8_MOUSE	tr|A0A8B7VVM7|A0A8B7VVM7_CASCN, tr|A0A250YC27|A0A250YC27_CASCN
OG0002524	sp|Q60809|CNOT7_MOUSE	tr|A0A250YEH5|A0A250YEH5_CASCN, tr|A0A8B7W084|A0A8B7W084_CASCN
OG0002525	sp|Q9CYI0|NJMU_MOUSE	tr|A0A8B7WH87|A0A8B7WH87_CASCN, tr|A0A8C0ZXY0|A0A8C0ZXY0_CASCN
OG0002526	sp|O88559|MEN1_MOUSE	tr|A0A8C0XGT9|A0A8C0XGT9_CASCN, tr|A0A250Y3P9|A0A250Y3P9_CASCN
OG0002527	sp|Q9JM51|PTGES_MOUSE	tr|A0A8B7VDV4|A0A8B7VDV4_CASCN, tr|A0A8C0XIH0|A0A8C0XIH0_CASCN
OG0002528	sp|Q9WVC3|CAV2_MOUSE	tr|A0A250XVF4|A0A250XVF4_CASCN, tr|A0A8B7UYJ1|A0A8B7UYJ1_CASCN
OG0002529	sp|Q1XH17|TRI72_MOUSE	tr|A0A250Y1L2|A0A250Y1L2_CASCN, tr|A0A8B7TZT6|A0A8B7TZT6_CASCN
OG0002530	sp|Q9DC48|PRP17_MOUSE	tr|A0A8B7UFA4|A0A8B7UFA4_CASCN, tr|A0A250Y2Z3|A0A250Y2Z3_CASCN
OG0002531	sp|P54923|ADPRH_MOUSE	tr|A0A250YGF0|A0A250YGF0_CASCN, tr|A0A8B7VJF0|A0A8B7VJF0_CASCN
OG0002532	sp|Q8VEM9|KLDC3_MOUSE	tr|A0A8B7U559|A0A8B7U559_CASCN, tr|A0A250YH18|A0A250YH18_CASCN
OG0002533	sp|Q9JM05|PIAS4_MOUSE	tr|A0A250YJ85|A0A250YJ85_CASCN, tr|A0A8C0XUE8|A0A8C0XUE8_CASCN
OG0002534	sp|Q6P9J9|ANO6_MOUSE	tr|A0A8B7UCA1|A0A8B7UCA1_CASCN, tr|A0A250YLZ8|A0A250YLZ8_CASCN
OG0002535	sp|C0LLJ0|IMA8_MOUSE	tr|A0A8B7THH2|A0A8B7THH2_CASCN, tr|A0A8B7UEN7|A0A8B7UEN7_CASCN
OG0002536	tr|Q8BIN3|Q8BIN3_MOUSE	tr|A0A8B7VE40|A0A8B7VE40_CASCN, tr|A0A8B7TJF7|A0A8B7TJF7_CASCN
OG0002537	sp|P97429|ANXA4_MOUSE	tr|A0A8B7TLC1|A0A8B7TLC1_CASCN, tr|A0A8B7TL84|A0A8B7TL84_CASCN
OG0002538	sp|Q8K3H0|DP13A_MOUSE	tr|A0A8B7TYC3|A0A8B7TYC3_CASCN, tr|A0A250Y4I2|A0A250Y4I2_CASCN
OG0002539	sp|Q8C0M0|WDR59_MOUSE	tr|A0A8B7U909|A0A8B7U909_CASCN, tr|A0A8B7U939|A0A8B7U939_CASCN
OG0002540	tr|D3YYJ7|D3YYJ7_MOUSE, sp|Q8R1M8|MPTX_MOUSE	tr|A0A8B7W6F1|A0A8B7W6F1_CASCN
OG0002541	sp|Q62280|SSXT_MOUSE	tr|A0A250YGZ3|A0A250YGZ3_CASCN, tr|A0A8B7W6S0|A0A8B7W6S0_CASCN
OG0002542	sp|Q8BX51|SGCZ_MOUSE, sp|P82348|SGCG_MOUSE	tr|A0A8C0WGL6|A0A8C0WGL6_CASCN
OG0002543	sp|Q9DCK3|TSN4_MOUSE	tr|A0A250XWW6|A0A250XWW6_CASCN, tr|A0A8B7W7E7|A0A8B7W7E7_CASCN
OG0002544	sp|P01910|HA2K_MOUSE	tr|A0A8C0WSG2|A0A8C0WSG2_CASCN, tr|A0A250XX22|A0A250XX22_CASCN
OG0002545	sp|C0HKD9|MFA1B_MOUSE, sp|C0HKD8|MFA1A_MOUSE	tr|A0A250Y139|A0A250Y139_CASCN
OG0002546	sp|Q8BJ51|MFS11_MOUSE	tr|A0A8B7UET4|A0A8B7UET4_CASCN, tr|A0A250Y173|A0A250Y173_CASCN
OG0002547	sp|Q8C2P3|DUS1L_MOUSE	tr|A0A8B7WIP0|A0A8B7WIP0_CASCN, tr|A0A250Y1G3|A0A250Y1G3_CASCN
OG0002548	sp|Q9JL60|GMEB1_MOUSE	tr|A0A8B7U3F8|A0A8B7U3F8_CASCN, tr|A0A250Y2Z8|A0A250Y2Z8_CASCN
OG0002549	sp|Q8C6U2|S66A3_MOUSE	tr|A0A8B7UGB8|A0A8B7UGB8_CASCN, tr|A0A250YBW5|A0A250YBW5_CASCN
OG0002550	sp|Q9JK48|SHLB1_MOUSE	tr|A0A250YGK2|A0A250YGK2_CASCN, tr|A0A8B7UKH9|A0A8B7UKH9_CASCN
OG0002551	sp|P50247|SAHH_MOUSE	tr|A0A8B7V528|A0A8B7V528_CASCN, tr|A0A250YHW2|A0A250YHW2_CASCN
OG0002552	sp|Q7TPQ3|SHPRH_MOUSE	tr|A0A8B7TLF4|A0A8B7TLF4_CASCN, tr|A0A8B7TLE6|A0A8B7TLE6_CASCN
OG0002553	sp|Q9Z2L6|MINP1_MOUSE	tr|A0A8B7TXL1|A0A8B7TXL1_CASCN, tr|A0A250YIT9|A0A250YIT9_CASCN
OG0002554	sp|Q60680|IKKA_MOUSE	tr|A0A8B7TXU3|A0A8B7TXU3_CASCN, tr|A0A250YL28|A0A250YL28_CASCN
OG0002555	sp|Q7TSK2|SEZ6_MOUSE, sp|Q4V9Z5|SE6L2_MOUSE	tr|A0A8B7U6Y6|A0A8B7U6Y6_CASCN
OG0002556	sp|Q924T7|RNF31_MOUSE	tr|A0A8B7UHK7|A0A8B7UHK7_CASCN, tr|A0A250Y6U4|A0A250Y6U4_CASCN
OG0002557	sp|Q63961|EGLN_MOUSE	tr|A0A8B7UJW4|A0A8B7UJW4_CASCN, tr|A0A250Y459|A0A250Y459_CASCN
OG0002558	sp|P59941|SIR6_MOUSE	sp|A0A250YGJ5|SIR6_CASCN, tr|A0A8B7UPB4|A0A8B7UPB4_CASCN
OG0002559	sp|P56393|COX7B_MOUSE	tr|A0A8C0XPE4|A0A8C0XPE4_CASCN, tr|A0A8B7UJM2|A0A8B7UJM2_CASCN
OG0002560	sp|Q8BGI5|PEX26_MOUSE	tr|A0A250XY37|A0A250XY37_CASCN, tr|A0A8B7W5H3|A0A8B7W5H3_CASCN
OG0002561	sp|O35594|IFT81_MOUSE	tr|A0A250Y486|A0A250Y486_CASCN, tr|A0A8B7WGC5|A0A8B7WGC5_CASCN
OG0002562	sp|Q80Y50|CMTA2_MOUSE	tr|A0A250Y714|A0A250Y714_CASCN, tr|A0A8B7UFT2|A0A8B7UFT2_CASCN
OG0002563	sp|Q9D8B3|CHM4B_MOUSE	tr|A0A250YCQ8|A0A250YCQ8_CASCN, tr|A0A250YCR1|A0A250YCR1_CASCN
OG0002564	sp|Q80UN1|KCTD9_MOUSE	tr|A0A8B7USN5|A0A8B7USN5_CASCN, tr|A0A250YEG4|A0A250YEG4_CASCN
OG0002565	sp|Q6P9N1|HYCCI_MOUSE, sp|Q8C729|F126B_MOUSE	tr|A0A250YJE3|A0A250YJE3_CASCN
OG0002566	sp|Q9D2X5|SCC4_MOUSE	tr|A0A250YKF5|A0A250YKF5_CASCN, tr|A0A8B7W5W7|A0A8B7W5W7_CASCN
OG0002568	tr|F8VQG7|F8VQG7_MOUSE	tr|A0A8B7WH62|A0A8B7WH62_CASCN, tr|A0A8B7UAQ1|A0A8B7UAQ1_CASCN
OG0002569	sp|Q99JP6|HOME3_MOUSE	tr|A0A8B7UGJ0|A0A8B7UGJ0_CASCN, tr|A0A8B7U5G8|A0A8B7U5G8_CASCN
OG0002570	sp|P52482|UB2E1_MOUSE	tr|A0A8B7UZM9|A0A8B7UZM9_CASCN, tr|A0A8B7UYI2|A0A8B7UYI2_CASCN
OG0002571	sp|Q9JLV1|BAG3_MOUSE	tr|A0A250Y348|A0A250Y348_CASCN, tr|A0A8B7V146|A0A8B7V146_CASCN
OG0002572	sp|Q6NZL6|TONSL_MOUSE	tr|A0A8B7V4C6|A0A8B7V4C6_CASCN, tr|A0A250Y7S0|A0A250Y7S0_CASCN
OG0002573	sp|Q99JX1|TAF11_MOUSE	tr|A0A250YCH5|A0A250YCH5_CASCN, tr|A0A250XVA4|A0A250XVA4_CASCN
OG0002574	sp|Q9Z2A7|DGAT1_MOUSE	tr|A0A8B7V5H0|A0A8B7V5H0_CASCN, tr|A0A250Y1Y1|A0A250Y1Y1_CASCN
OG0002575	sp|Q5F2E8|TAOK1_MOUSE	tr|A0A8B7U7Z9|A0A8B7U7Z9_CASCN, tr|A0A250Y6I0|A0A250Y6I0_CASCN
OG0002576	sp|Q9CZG9|PDZ11_MOUSE	tr|A0A250Y9X8|A0A250Y9X8_CASCN, tr|A0A8B7W3D7|A0A8B7W3D7_CASCN
OG0002577	sp|Q9R1S0|B9D1_MOUSE	tr|A0A250YC16|A0A250YC16_CASCN, tr|A0A8B7W843|A0A8B7W843_CASCN
OG0002578	sp|Q8VE62|PAIP1_MOUSE	tr|A0A250YGN3|A0A250YGN3_CASCN, tr|A0A8B7UZW5|A0A8B7UZW5_CASCN
OG0002579	sp|Q9D5K4|S1PBP_MOUSE	tr|A0A250YH80|A0A250YH80_CASCN, tr|A0A8B7VC48|A0A8B7VC48_CASCN
OG0002580	sp|Q571E4|GALNS_MOUSE	tr|A0A8B7VAY2|A0A8B7VAY2_CASCN, tr|A0A250YJC5|A0A250YJC5_CASCN
OG0002581	tr|A2A7B5|A2A7B5_MOUSE	tr|A0A8C0XEU3|A0A8C0XEU3_CASCN, tr|A0A250YMD2|A0A250YMD2_CASCN
OG0002582	sp|Q6PD29|ZN513_MOUSE	tr|A0A250YIX4|A0A250YIX4_CASCN, tr|A0A8B7TY98|A0A8B7TY98_CASCN
OG0002583	sp|Q8BXQ6|AMPO_MOUSE	tr|A0A8B7U6E6|A0A8B7U6E6_CASCN, tr|A0A8B7U508|A0A8B7U508_CASCN
OG0002584	sp|Q9DC58|DRAM1_MOUSE	tr|A0A250YD45|A0A250YD45_CASCN, tr|A0A8B7U6Q2|A0A8B7U6Q2_CASCN
OG0002585	sp|Q9QZR5|HIPK2_MOUSE	tr|A0A250Y744|A0A250Y744_CASCN, tr|A0A8B7UMU7|A0A8B7UMU7_CASCN
OG0002586	sp|Q8C2S5|FBXL5_MOUSE	tr|A0A8B7V8F2|A0A8B7V8F2_CASCN, tr|A0A250YKU8|A0A250YKU8_CASCN
OG0002588	sp|P62849|RS24_MOUSE	tr|A0A8C0X5X5|A0A8C0X5X5_CASCN, tr|A0A250Y9Z4|A0A250Y9Z4_CASCN
OG0002589	sp|Q6NXK5|DUS11_MOUSE	tr|A0A250XYJ7|A0A250XYJ7_CASCN, tr|A0A250XYM2|A0A250XYM2_CASCN
OG0002590	sp|Q9JIB4|TF2H2_MOUSE	tr|A0A8B7UF61|A0A8B7UF61_CASCN, tr|A0A250Y016|A0A250Y016_CASCN
OG0002591	sp|Q9D9E0|S22AH_MOUSE	tr|A0A8B7W4B8|A0A8B7W4B8_CASCN, tr|A0A250Y2D5|A0A250Y2D5_CASCN
OG0002592	sp|P52963|E41LA_MOUSE	tr|A0A8B7WD83|A0A8B7WD83_CASCN, tr|A0A250Y4C3|A0A250Y4C3_CASCN
OG0002593	sp|Q9QZC7|PKHB2_MOUSE	tr|A0A8B7U819|A0A8B7U819_CASCN, tr|A0A250YCU5|A0A250YCU5_CASCN
OG0002594	sp|Q4VA61|DSCL1_MOUSE, sp|Q9ERC8|DSCAM_MOUSE	tr|A0A8B7TLN5|A0A8B7TLN5_CASCN
OG0002595	sp|Q04758|IPKB_MOUSE	tr|A0A8B7WFS6|A0A8B7WFS6_CASCN, tr|A0A8B7TPY1|A0A8B7TPY1_CASCN
OG0002596	sp|Q8K0V4|CNOT3_MOUSE	tr|A0A250Y4U2|A0A250Y4U2_CASCN, tr|A0A8B7U905|A0A8B7U905_CASCN
OG0002597	sp|Q9JIM3|ER6L2_MOUSE	tr|A0A8B7U9L7|A0A8B7U9L7_CASCN, tr|A0A8B7U5I2|A0A8B7U5I2_CASCN
OG0002598	sp|A2AA28|MET23_MOUSE	tr|A0A250XVV1|A0A250XVV1_CASCN, tr|A0A8B7UFP5|A0A8B7UFP5_CASCN
OG0002599	sp|Q6P3A8|ODBB_MOUSE	tr|A0A8B7W5G4|A0A8B7W5G4_CASCN, tr|A0A8B7UJ53|A0A8B7UJ53_CASCN
OG0002600	sp|Q9Z179|SHCBP_MOUSE, sp|Q3TTP0|SHP1L_MOUSE	tr|A0A8B7V302|A0A8B7V302_CASCN
OG0002601	sp|Q60698|SKI_MOUSE	tr|A0A8B7V6P8|A0A8B7V6P8_CASCN, tr|A0A250Y4Q4|A0A250Y4Q4_CASCN
OG0002602	sp|P21981|TGM2_MOUSE	tr|A0A8B7V9J7|A0A8B7V9J7_CASCN, tr|A0A250Y478|A0A250Y478_CASCN
OG0002603	sp|Q8BGI4|FA13A_MOUSE	tr|A0A8C0VYX3|A0A8C0VYX3_CASCN, tr|A0A8B7VDX4|A0A8B7VDX4_CASCN
OG0002604	sp|Q8VCA6|T161A_MOUSE	tr|A0A250Y1M4|A0A250Y1M4_CASCN, tr|A0A8B7VZT5|A0A8B7VZT5_CASCN
OG0002605	sp|Q8K310|MATR3_MOUSE	tr|A0A8B7W3I3|A0A8B7W3I3_CASCN, tr|A0A250Y5V8|A0A250Y5V8_CASCN
OG0002606	sp|Q9WTK0|NUPR1_MOUSE, sp|Q497P3|NUPR2_MOUSE	tr|A0A8C0VUJ4|A0A8C0VUJ4_CASCN
OG0002607	sp|D3YYU8|OBSL1_MOUSE	tr|A0A250Y6J4|A0A250Y6J4_CASCN, tr|A0A8B7W198|A0A8B7W198_CASCN
OG0002608	sp|Q45HK4|SH21C_MOUSE, sp|O35324|SH21B_MOUSE	tr|A0A250Y9Q3|A0A250Y9Q3_CASCN
OG0002609	sp|Q9CXV9|DCNL5_MOUSE	tr|A0A250YD35|A0A250YD35_CASCN, tr|A0A8B7UXC0|A0A8B7UXC0_CASCN
OG0002610	sp|Q9D7G9|MISS_MOUSE, sp|Q8BH93|MISSL_MOUSE	tr|A0A250YDD9|A0A250YDD9_CASCN
OG0002611	sp|P10711|TCEA1_MOUSE	tr|A0A8B7UNL7|A0A8B7UNL7_CASCN, tr|A0A250YEZ3|A0A250YEZ3_CASCN
OG0002612	sp|Q6ZPI3|LCOR_MOUSE	tr|A0A250YHZ7|A0A250YHZ7_CASCN, tr|A0A8B7W8C1|A0A8B7W8C1_CASCN
OG0002613	sp|Q9DC26|S46A3_MOUSE	tr|A0A250YIF3|A0A250YIF3_CASCN, tr|A0A8B7VK83|A0A8B7VK83_CASCN
OG0002614	sp|Q3U288|ZN710_MOUSE	tr|A0A250YKP5|A0A250YKP5_CASCN, tr|A0A8B7VP91|A0A8B7VP91_CASCN
OG0002615	tr|D3YV94|D3YV94_MOUSE	tr|A0A8B7TLE4|A0A8B7TLE4_CASCN, tr|A0A8B7TZT7|A0A8B7TZT7_CASCN
OG0002616	sp|Q99K67|AASS_MOUSE	tr|A0A8B7UEJ2|A0A8B7UEJ2_CASCN, tr|A0A8B7UIW6|A0A8B7UIW6_CASCN
OG0002617	sp|Q9Z2C4|MTMR1_MOUSE	tr|A0A8B7UUQ9|A0A8B7UUQ9_CASCN, tr|A0A8B7UR46|A0A8B7UR46_CASCN
OG0002618	sp|Q61026|NCOA2_MOUSE	tr|A0A8B7UVF7|A0A8B7UVF7_CASCN, tr|A0A8B7UX08|A0A8B7UX08_CASCN
OG0002619	sp|Q9CQV7|TIM14_MOUSE	tr|A0A8B7V0I8|A0A8B7V0I8_CASCN, tr|A0A250Y983|A0A250Y983_CASCN
OG0002620	sp|D2EAC2|ZBED6_MOUSE	tr|A0A8C0XFG0|A0A8C0XFG0_CASCN, tr|A0A8B7VDI3|A0A8B7VDI3_CASCN
OG0002621	sp|P41216|ACSL1_MOUSE	tr|A0A8B7VJS8|A0A8B7VJS8_CASCN, tr|A0A250YKY4|A0A250YKY4_CASCN
OG0002622	sp|Q9CZH8|CCD77_MOUSE	tr|A0A8B7VJU9|A0A8B7VJU9_CASCN, tr|A0A250YIL0|A0A250YIL0_CASCN
OG0002623	sp|P16951|ATF2_MOUSE	tr|A0A8B7VUF7|A0A8B7VUF7_CASCN, tr|A0A8B7UZS0|A0A8B7UZS0_CASCN
OG0002624	sp|Q9DD02|HIKES_MOUSE	tr|A0A8B7WDR4|A0A8B7WDR4_CASCN, tr|A0A8B7UZH3|A0A8B7UZH3_CASCN
OG0002625	sp|Q8R507|FKTN_MOUSE	tr|A0A8B7U3V7|A0A8B7U3V7_CASCN, tr|A0A8B7WGV2|A0A8B7WGV2_CASCN
OG0002626	sp|Q8K2F8|LS14A_MOUSE	tr|A0A250Y1D3|A0A250Y1D3_CASCN, tr|A0A250Y164|A0A250Y164_CASCN
OG0002627	sp|O70405|ULK1_MOUSE	tr|A0A250Y6U6|A0A250Y6U6_CASCN, tr|A0A8B7VZH2|A0A8B7VZH2_CASCN
OG0002628	sp|Q80VV3|4EBP3_MOUSE	tr|A0A250Y8S4|A0A250Y8S4_CASCN, tr|A0A8B7TK14|A0A8B7TK14_CASCN
OG0002629	sp|Q6S5I3|S115A_MOUSE	tr|A0A250Y8Z7|A0A250Y8Z7_CASCN, tr|A0A8B7WCL4|A0A8B7WCL4_CASCN
OG0002630	sp|Q9Z130|HNRDL_MOUSE, tr|Q9D3U4|Q9D3U4_MOUSE	tr|A0A250YHN2|A0A250YHN2_CASCN
OG0002631	tr|A2AG10|A2AG10_MOUSE, sp|Q63850|NUP62_MOUSE	tr|A0A250YJD4|A0A250YJD4_CASCN
OG0002632	sp|Q80UP5|AN13A_MOUSE	tr|A0A250YJY0|A0A250YJY0_CASCN, tr|A0A8B7U6K0|A0A8B7U6K0_CASCN
OG0002633	sp|Q60887|OL148_MOUSE	tr|A0A8C0ZLT2|A0A8C0ZLT2_CASCN, tr|A0A8B7TPJ6|A0A8B7TPJ6_CASCN
OG0002634	sp|O09159|MA2B1_MOUSE	tr|A0A8B7TXC1|A0A8B7TXC1_CASCN, tr|A0A8B7UHK5|A0A8B7UHK5_CASCN
OG0002635	sp|Q9CXF0|KYNU_MOUSE	tr|A0A8B7UAU7|A0A8B7UAU7_CASCN, tr|A0A250YIJ1|A0A250YIJ1_CASCN
OG0002636	tr|Q3U1C4|Q3U1C4_MOUSE	tr|A0A8B7UF02|A0A8B7UF02_CASCN, tr|A0A8B7UBB3|A0A8B7UBB3_CASCN
OG0002637	sp|Q3UGF1|WDR19_MOUSE	tr|A0A8B7USK3|A0A8B7USK3_CASCN, tr|A0A8B7UTI5|A0A8B7UTI5_CASCN
OG0002638	sp|Q9R1E6|ENPP2_MOUSE	tr|A0A8B7UWT4|A0A8B7UWT4_CASCN, tr|A0A8B7UV48|A0A8B7UV48_CASCN
OG0002639	sp|Q9D4V3|CCD83_MOUSE	tr|A0A8B7UVK8|A0A8B7UVK8_CASCN, tr|A0A8B7TT10|A0A8B7TT10_CASCN
OG0002640	sp|Q8BMB3|IF4E2_MOUSE	tr|A0A250YDF7|A0A250YDF7_CASCN, tr|A0A8B7V9M2|A0A8B7V9M2_CASCN
OG0002641	sp|Q9ER99|RSCA1_MOUSE	tr|A0A250YKB5|A0A250YKB5_CASCN, tr|A0A8B7VD07|A0A8B7VD07_CASCN
OG0002642	tr|E9Q3H4|E9Q3H4_MOUSE	tr|A0A8B7VME9|A0A8B7VME9_CASCN, tr|A0A8B7VBQ9|A0A8B7VBQ9_CASCN
OG0002643	sp|Q9JM93|AR6P4_MOUSE	tr|A0A250XWV8|A0A250XWV8_CASCN, tr|A0A8C0WSY5|A0A8C0WSY5_CASCN
OG0002644	sp|Q9CQB2|MCRI2_MOUSE	tr|A0A8B7VQT7|A0A8B7VQT7_CASCN, tr|A0A250XVH8|A0A250XVH8_CASCN
OG0002645	sp|Q8BTV2|CPSF7_MOUSE	tr|A0A250Y1L3|A0A250Y1L3_CASCN, tr|A0A8B7UN68|A0A8B7UN68_CASCN
OG0002646	sp|P70280|VAMP7_MOUSE	tr|A0A250YCM2|A0A250YCM2_CASCN, tr|A0A8B7VVD5|A0A8B7VVD5_CASCN
OG0002647	sp|Q9DCN2|NB5R3_MOUSE	tr|A0A250YF42|A0A250YF42_CASCN, tr|A0A8B7VFI5|A0A8B7VFI5_CASCN
OG0002648	sp|A2ADU8|DG2L6_MOUSE, sp|Q6E1M8|AWAT2_MOUSE	tr|A0A8B7TMJ4|A0A8B7TMJ4_CASCN
OG0002649	tr|F8VPK8|F8VPK8_MOUSE, tr|F6ZNL5|F6ZNL5_MOUSE	tr|A0A8B7TMQ9|A0A8B7TMQ9_CASCN
OG0002650	sp|Q8BLG0|PHF20_MOUSE	tr|A0A8C0WYR7|A0A8C0WYR7_CASCN, tr|A0A8B7TMS4|A0A8B7TMS4_CASCN
OG0002651	sp|Q3V1H3|HPHL1_MOUSE	tr|A0A8B7TTH6|A0A8B7TTH6_CASCN, tr|A0A8B7TS09|A0A8B7TS09_CASCN
OG0002652	sp|Q9D4P7|GSTT4_MOUSE	tr|A0A8B7WD73|A0A8B7WD73_CASCN, tr|A0A8B7TW03|A0A8B7TW03_CASCN
OG0002653	sp|P19091|ANDR_MOUSE, sp|Q00175|PRGR_MOUSE	tr|A0A8B7USH1|A0A8B7USH1_CASCN
OG0002654	sp|Q9JIL6|GPC5D_MOUSE	tr|A0A8B7V1P8|A0A8B7V1P8_CASCN, tr|A0A8B7TU27|A0A8B7TU27_CASCN
OG0002655	sp|Q9WTK3|GPAA1_MOUSE	tr|A0A8B7V573|A0A8B7V573_CASCN, tr|A0A250Y3S9|A0A250Y3S9_CASCN
OG0002656	sp|Q8CI11|GNL3_MOUSE	tr|A0A8B7VJV4|A0A8B7VJV4_CASCN, tr|A0A250YJL2|A0A250YJL2_CASCN
OG0002657	sp|Q8BJ83|TM2D3_MOUSE	tr|A0A250XWG4|A0A250XWG4_CASCN, tr|A0A8B7VR69|A0A8B7VR69_CASCN
OG0002658	sp|Q8CIG3|KDM1B_MOUSE	tr|A0A8B7VWG1|A0A8B7VWG1_CASCN, tr|A0A250YLR2|A0A250YLR2_CASCN
OG0002659	sp|Q8K2H2|OTU6B_MOUSE, sp|Q6IE21|OTU6A_MOUSE	tr|A0A8B7WCQ4|A0A8B7WCQ4_CASCN
OG0002660	sp|Q921L5|COG2_MOUSE	tr|A0A8B7WEL3|A0A8B7WEL3_CASCN, tr|A0A250YL75|A0A250YL75_CASCN
OG0002661	sp|Q3UQ28|PXDN_MOUSE	tr|A0A8B7W4M5|A0A8B7W4M5_CASCN, tr|A0A8B7WIE8|A0A8B7WIE8_CASCN
OG0002662	sp|Q3KNY0|IGFN1_MOUSE	tr|A0A8B7VWP9|A0A8B7VWP9_CASCN, tr|A0A8B7WIX8|A0A8B7WIX8_CASCN
OG0002664	sp|Q6NV83|SR140_MOUSE	tr|A0A250Y6F0|A0A250Y6F0_CASCN, tr|A0A8B7UGG4|A0A8B7UGG4_CASCN
OG0002665	sp|P49945|FRIL2_MOUSE, sp|P29391|FRIL1_MOUSE	tr|A0A250YB07|A0A250YB07_CASCN
OG0002666	sp|Q64010|CRK_MOUSE	tr|A0A250YEY8|A0A250YEY8_CASCN, tr|A0A8B7U146|A0A8B7U146_CASCN
OG0002667	sp|Q8K021|SCAM1_MOUSE	tr|A0A250YFW9|A0A250YFW9_CASCN, tr|A0A8B7W698|A0A8B7W698_CASCN
OG0002668	sp|P35821|PTN1_MOUSE	tr|A0A8B7VTL2|A0A8B7VTL2_CASCN, tr|A0A250YI07|A0A250YI07_CASCN
