Orthogroup	Mus_musculus	Mandrillus_leucophaeus
OG0000381	tr|A0A0N4SUP0|A0A0N4SUP0_MOUSE	tr|A0A2K5XR59|A0A2K5XR59_MANLE, tr|A0A2K5XQP6|A0A2K5XQP6_MANLE
OG0000382	tr|A0A1Y7VP24|A0A1Y7VP24_MOUSE	tr|A0A2K5ZHY5|A0A2K5ZHY5_MANLE, tr|A0A2K5ZSS2|A0A2K5ZSS2_MANLE, tr|A0A2K5YXF7|A0A2K5YXF7_MANLE
OG0000382	sp|Q9QZ73|DCNL1_MOUSE, sp|Q8BZJ7|DCNL2_MOUSE	tr|A0A2K6AJF2|A0A2K6AJF2_MANLE
OG0000383	sp|Q8R2W9|PANK3_MOUSE	tr|A0A2K5ZQZ9|A0A2K5ZQZ9_MANLE
OG0000383	sp|Q8K4K6|PANK1_MOUSE	tr|A0A2K5ZMA5|A0A2K5ZMA5_MANLE
OG0000383	sp|Q7M753|PANK2_MOUSE	tr|A0A2K6A7E5|A0A2K6A7E5_MANLE
OG0000384	sp|A7TZE6|SKIT1_MOUSE, sp|A7XUX6|SKIT2_MOUSE, sp|A7TZF3|SKIT4_MOUSE, sp|A7TZF0|SKIT3_MOUSE, sp|A7XUZ6|SKIT6_MOUSE, sp|A7XUY5|SKIT5_MOUSE	tr|A0A2K5YLB0|A0A2K5YLB0_MANLE
OG0000385	sp|Q9QXZ6|SO1A1_MOUSE, sp|Q91YY5|SO1A5_MOUSE, sp|Q9EP96|SO1A4_MOUSE, tr|M0QWR8|M0QWR8_MOUSE, tr|L7N264|L7N264_MOUSE, sp|Q99J94|SO1A6_MOUSE	tr|A0A2K5XX10|A0A2K5XX10_MANLE
OG0000386	sp|Q6SJQ5|CLM3_MOUSE, tr|A2A7W1|A2A7W1_MOUSE, tr|A2A7W0|A2A7W0_MOUSE, sp|Q8VCH2|CLM5_MOUSE	tr|A0A2K5Y5J2|A0A2K5Y5J2_MANLE
OG0000386	sp|Q6SJQ7|CLM1_MOUSE	tr|A0A2K5Y7R0|A0A2K5Y7R0_MANLE
OG0000387	sp|Q61090|FZD7_MOUSE	tr|A0A2K5XTY7|A0A2K5XTY7_MANLE
OG0000387	sp|O70421|FZD1_MOUSE, sp|Q61091|FZD8_MOUSE, sp|Q9EQD0|FZD5_MOUSE, sp|Q9JIP6|FZD2_MOUSE	tr|A0A2K5XEE5|A0A2K5XEE5_MANLE
OG0000388	tr|A0A286YDM5|A0A286YDM5_MOUSE, tr|Q7TS17|Q7TS17_MOUSE, tr|A0A0U1RP76|A0A0U1RP76_MOUSE, tr|Q8VGU2|Q8VGU2_MOUSE, tr|A1L1B4|A1L1B4_MOUSE, tr|Q8VET6|Q8VET6_MOUSE	tr|A0A2K6AIK3|A0A2K6AIK3_MANLE
OG0000389	tr|Q7TQZ0|Q7TQZ0_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|Q8VGP3|Q8VGP3_MOUSE, tr|Q8VG62|Q8VG62_MOUSE, sp|Q60881|OL142_MOUSE, tr|Q8VGN8|Q8VGN8_MOUSE	tr|A0A2K5XF50|A0A2K5XF50_MANLE
OG0000390	tr|Q8VEY1|Q8VEY1_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE	tr|A0A2K5ZR81|A0A2K5ZR81_MANLE
OG0000407	sp|Q8CCG4|DPPA4_MOUSE	tr|A0A2K6AFD9|A0A2K6AFD9_MANLE
OG0000407	sp|Q9CWH0|DPPA2_MOUSE	tr|A0A2K5Z8Z3|A0A2K5Z8Z3_MANLE, tr|A0A2K6A5L6|A0A2K6A5L6_MANLE, tr|A0A2K5YL87|A0A2K5YL87_MANLE
OG0000408	sp|Q62101|KPCD1_MOUSE	tr|A0A2K5ZLL7|A0A2K5ZLL7_MANLE
OG0000408	sp|Q8BZ03|KPCD2_MOUSE	tr|A0A2K6A1Q1|A0A2K6A1Q1_MANLE
OG0000408	sp|Q8K1Y2|KPCD3_MOUSE	tr|A0A2K5YNM8|A0A2K5YNM8_MANLE
OG0000410	sp|Q03141|MARK3_MOUSE	tr|A0A2K5ZP50|A0A2K5ZP50_MANLE
OG0000410	sp|Q05512|MARK2_MOUSE	tr|A0A2K6AB51|A0A2K6AB51_MANLE
OG0000410	sp|Q8VHJ5|MARK1_MOUSE	tr|A0A2K5YF41|A0A2K5YF41_MANLE
OG0000411	sp|P54754|EPHB3_MOUSE	tr|A0A2K6AKF8|A0A2K6AKF8_MANLE
OG0000411	sp|Q8CBF3|EPHB1_MOUSE	tr|A0A2K5YT89|A0A2K5YT89_MANLE
OG0000411	sp|P54763|EPHB2_MOUSE	tr|A0A2K5YPJ6|A0A2K5YPJ6_MANLE
OG0000412	sp|P0CW70|D19L2_MOUSE	tr|A0A2K5Y9E6|A0A2K5Y9E6_MANLE, tr|A0A2K5YTX6|A0A2K5YTX6_MANLE, tr|A0A2K6A6V4|A0A2K6A6V4_MANLE
OG0000412	sp|A6X919|D19L1_MOUSE	tr|A0A2K5XXP1|A0A2K5XXP1_MANLE
OG0000413	sp|P60766|CDC42_MOUSE	tr|A0A2K6A6F2|A0A2K6A6F2_MANLE, tr|A0A2K6A3J4|A0A2K6A3J4_MANLE, tr|A0A2K5YS95|A0A2K5YS95_MANLE, tr|A0A2K5YSY0|A0A2K5YSY0_MANLE, tr|A0A2K5XXZ3|A0A2K5XXZ3_MANLE
OG0000414	sp|Q8BUR4|DOCK1_MOUSE	tr|A0A2K5XDX6|A0A2K5XDX6_MANLE
OG0000414	sp|Q8C3J5|DOCK2_MOUSE	tr|A0A2K5Y241|A0A2K5Y241_MANLE
OG0000414	sp|B2RY04|DOCK5_MOUSE	tr|A0A2K5ZE70|A0A2K5ZE70_MANLE
OG0000415	sp|P63137|GBRB2_MOUSE	tr|A0A2K5XEM9|A0A2K5XEM9_MANLE
OG0000415	sp|P50571|GBRB1_MOUSE	tr|A0A2K5ZF27|A0A2K5ZF27_MANLE
OG0000415	sp|P63080|GBRB3_MOUSE	tr|A0A2K5YGR4|A0A2K5YGR4_MANLE
OG0000417	sp|Q60960|IMA5_MOUSE	tr|A0A2K5Y941|A0A2K5Y941_MANLE
OG0000417	sp|O35345|IMA7_MOUSE	tr|A0A2K6A233|A0A2K6A233_MANLE, tr|A0A2K6AEF3|A0A2K6AEF3_MANLE, tr|A0A2K5Y9L4|A0A2K5Y9L4_MANLE
OG0000418	sp|P28656|NP1L1_MOUSE	tr|A0A2K5YY98|A0A2K5YY98_MANLE, tr|A0A2K6AL79|A0A2K6AL79_MANLE, tr|A0A2K5XV15|A0A2K5XV15_MANLE, tr|A0A2K6A8Q5|A0A2K6A8Q5_MANLE, tr|A0A2K5YVS0|A0A2K5YVS0_MANLE
OG0000419	sp|Q8BNA6|FAT3_MOUSE	tr|A0A2K5ZMT9|A0A2K5ZMT9_MANLE
OG0000419	sp|Q5F226|FAT2_MOUSE	tr|A0A2K5YNU5|A0A2K5YNU5_MANLE
OG0000419	tr|A0A1L1SQU7|A0A1L1SQU7_MOUSE	tr|A0A2K5Z6D1|A0A2K5Z6D1_MANLE
OG0000420	sp|Q61025|IFT20_MOUSE	tr|A0A2K5Z9W9|A0A2K5Z9W9_MANLE, tr|A0A2K5XRH5|A0A2K5XRH5_MANLE, tr|A0A2K5YPG2|A0A2K5YPG2_MANLE, tr|A0A2K5YCQ7|A0A2K5YCQ7_MANLE, tr|A0A2K5YDF2|A0A2K5YDF2_MANLE
OG0000421	tr|E9PX39|E9PX39_MOUSE	tr|A0A2K5ZZE3|A0A2K5ZZE3_MANLE
OG0000421	tr|E9Q287|E9Q287_MOUSE	tr|A0A2K5YJI7|A0A2K5YJI7_MANLE
OG0000421	sp|Q8C9W3|ATS2_MOUSE	tr|A0A2K5ZFN8|A0A2K5ZFN8_MANLE
OG0000422	sp|Q99JI6|RAP1B_MOUSE	tr|A0A2K5ZKR9|A0A2K5ZKR9_MANLE, tr|A0A2K5XN94|A0A2K5XN94_MANLE
OG0000422	sp|P62835|RAP1A_MOUSE	tr|A0A2K5ZII5|A0A2K5ZII5_MANLE, tr|A0A2K5XZR9|A0A2K5XZR9_MANLE
OG0000423	sp|P08752|GNAI2_MOUSE	tr|A0A2K5XRQ2|A0A2K5XRQ2_MANLE
OG0000423	sp|B2RSH2|GNAI1_MOUSE	tr|A0A2K6A1A2|A0A2K6A1A2_MANLE
OG0000423	sp|Q9DC51|GNAI3_MOUSE	tr|A0A2K5ZEK6|A0A2K5ZEK6_MANLE
OG0000424	sp|Q6PEE3|RIR2B_MOUSE	tr|A0A2K5XZ70|A0A2K5XZ70_MANLE
OG0000424	sp|P11157|RIR2_MOUSE	tr|A0A2K5ZFT2|A0A2K5ZFT2_MANLE, tr|A0A2K5YTB9|A0A2K5YTB9_MANLE, tr|A0A2K5Z4X3|A0A2K5Z4X3_MANLE
OG0000425	tr|E9PWR4|E9PWR4_MOUSE	tr|A0A2K5ZM29|A0A2K5ZM29_MANLE
OG0000425	sp|Q3UH60|DIP2B_MOUSE	tr|A0A2K5YM87|A0A2K5YM87_MANLE
OG0000425	sp|Q8BWT5|DIP2A_MOUSE	tr|A0A2K6A1F5|A0A2K6A1F5_MANLE
OG0000427	sp|P29974|CNGA1_MOUSE	tr|A0A2K5ZU38|A0A2K5ZU38_MANLE
OG0000427	sp|Q9JJZ8|CNGA3_MOUSE	tr|A0A2K5XH60|A0A2K5XH60_MANLE
OG0000427	sp|Q62398|CNGA2_MOUSE	tr|A0A2K5XCZ6|A0A2K5XCZ6_MANLE
OG0000428	sp|P32037|GTR3_MOUSE	tr|A0A2K5YZM4|A0A2K5YZM4_MANLE, tr|A0A2K5XIS7|A0A2K5XIS7_MANLE, tr|A0A2K5XF76|A0A2K5XF76_MANLE
OG0000428	sp|P17809|GTR1_MOUSE	tr|A0A2K5XKY4|A0A2K5XKY4_MANLE
OG0000429	sp|C0LLJ0|IMA8_MOUSE	tr|A0A2K6A4U0|A0A2K6A4U0_MANLE
OG0000429	sp|P52293|IMA1_MOUSE	tr|A0A2K5Y597|A0A2K5Y597_MANLE, tr|A0A2K5ZNS0|A0A2K5ZNS0_MANLE, tr|A0A2K5YGI5|A0A2K5YGI5_MANLE
OG0000430	sp|P56546|CTBP2_MOUSE	tr|A0A2K5YGF0|A0A2K5YGF0_MANLE
OG0000430	sp|O88712|CTBP1_MOUSE	tr|A0A2K6AL04|A0A2K6AL04_MANLE, tr|A0A2K5Y280|A0A2K5Y280_MANLE, tr|A0A2K5YB91|A0A2K5YB91_MANLE
OG0000432	sp|P61255|RL26_MOUSE	tr|A0A2K5XP42|A0A2K5XP42_MANLE, tr|A0A2K5ZJR3|A0A2K5ZJR3_MANLE, tr|A0A2K5ZFH0|A0A2K5ZFH0_MANLE, tr|A0A2K5XJ21|A0A2K5XJ21_MANLE, tr|A0A2K5XF19|A0A2K5XF19_MANLE
OG0000433	sp|P31750|AKT1_MOUSE	tr|A0A2K5ZJA3|A0A2K5ZJA3_MANLE
OG0000433	sp|Q60823|AKT2_MOUSE	tr|A0A2K5Z269|A0A2K5Z269_MANLE
OG0000433	sp|Q9WUA6|AKT3_MOUSE	tr|A0A2K6AA78|A0A2K6AA78_MANLE
OG0000434	sp|Q9CQ90|CI085_MOUSE	tr|A0A2K6AHN2|A0A2K6AHN2_MANLE, tr|A0A2K5XAP0|A0A2K5XAP0_MANLE, tr|A0A2K5Z1J0|A0A2K5Z1J0_MANLE, tr|A0A2K5ZMS2|A0A2K5ZMS2_MANLE, tr|A0A2K5XTH1|A0A2K5XTH1_MANLE
OG0000435	sp|Q80TS3|AGRL3_MOUSE	tr|A0A2K5XTP8|A0A2K5XTP8_MANLE
OG0000435	sp|Q80TR1|AGRL1_MOUSE	tr|A0A2K6A057|A0A2K6A057_MANLE
OG0000435	sp|Q8JZZ7|AGRL2_MOUSE	tr|A0A2K5YFR8|A0A2K5YFR8_MANLE
OG0000436	tr|A3KG49|A3KG49_MOUSE, tr|A2BG95|A2BG95_MOUSE, tr|Q52KH6|Q52KH6_MOUSE, sp|Q4VA55|PWP3B_MOUSE, sp|Q6DID5|PWP3A_MOUSE	tr|A0A2K5YWU1|A0A2K5YWU1_MANLE
OG0000437	tr|V9GX34|V9GX34_MOUSE	tr|A0A2K5Z0Z0|A0A2K5Z0Z0_MANLE
OG0000437	sp|Q923L3|CSMD1_MOUSE	tr|A0A2K6ACL8|A0A2K6ACL8_MANLE
OG0000437	sp|Q80T79|CSMD3_MOUSE	tr|A0A2K5Z8Z5|A0A2K5Z8Z5_MANLE
OG0000438	sp|A2AGL3|RYR3_MOUSE	tr|A0A2K6AEX2|A0A2K6AEX2_MANLE
OG0000438	sp|E9PZQ0|RYR1_MOUSE	tr|A0A2K5ZPV5|A0A2K5ZPV5_MANLE
OG0000438	sp|E9Q401|RYR2_MOUSE	tr|A0A2K5Y2P1|A0A2K5Y2P1_MANLE
OG0000439	sp|Q8VI33|TAF9_MOUSE	tr|A0A2K5YFP9|A0A2K5YFP9_MANLE, tr|A0A2K5XWZ8|A0A2K5XWZ8_MANLE, tr|A0A2K6A6W5|A0A2K6A6W5_MANLE
OG0000439	sp|Q6NZA9|TAF9B_MOUSE	tr|A0A2K5YHW9|A0A2K5YHW9_MANLE
OG0000441	sp|P22605|RARB_MOUSE	tr|A0A2K5Z0E7|A0A2K5Z0E7_MANLE
OG0000441	sp|P18911|RARG_MOUSE	tr|A0A2K5XRE9|A0A2K5XRE9_MANLE
OG0000441	sp|P11416|RARA_MOUSE	tr|A0A2K6A937|A0A2K6A937_MANLE
OG0000442	sp|P30115|GSTA3_MOUSE	tr|A0A2K6A8D9|A0A2K6A8D9_MANLE, tr|A0A2K5ZE24|A0A2K5ZE24_MANLE, tr|A0A2K5ZCL1|A0A2K5ZCL1_MANLE, tr|A0A2K6ADU0|A0A2K6ADU0_MANLE, tr|A0A2K5XVT0|A0A2K5XVT0_MANLE
OG0000443	tr|B2RXQ2|B2RXQ2_MOUSE	tr|A0A2K5ZY52|A0A2K5ZY52_MANLE
OG0000443	tr|B8QI36|B8QI36_MOUSE	tr|A0A2K6A799|A0A2K6A799_MANLE
OG0000443	sp|Q8BSS9|LIPA2_MOUSE	tr|A0A2K6A9A8|A0A2K6A9A8_MANLE
OG0000444	sp|Q9CR47|NSA2_MOUSE	tr|A0A2K5YSP9|A0A2K5YSP9_MANLE, tr|A0A2K5Z1T7|A0A2K5Z1T7_MANLE, tr|A0A2K5YJK8|A0A2K5YJK8_MANLE, tr|A0A2K5XA41|A0A2K5XA41_MANLE, tr|A0A2K5XJD7|A0A2K5XJD7_MANLE
OG0000445	tr|Q7TNL5|Q7TNL5_MOUSE	tr|A0A2K5Z3B5|A0A2K5Z3B5_MANLE
OG0000445	sp|Q60996|2A5G_MOUSE	tr|A0A2K5YR48|A0A2K5YR48_MANLE, tr|A0A2K5XPS5|A0A2K5XPS5_MANLE, tr|A0A2K5XU02|A0A2K5XU02_MANLE
OG0000446	sp|P61979|HNRPK_MOUSE	tr|A0A2K6A4F6|A0A2K6A4F6_MANLE, tr|A0A2K6A4F5|A0A2K6A4F5_MANLE, tr|A0A2K5ZRK5|A0A2K5ZRK5_MANLE, tr|A0A2K6AGE3|A0A2K6AGE3_MANLE, tr|A0A2K6A2W9|A0A2K6A2W9_MANLE
OG0000447	sp|P62827|RAN_MOUSE	tr|A0A2K5XQ17|A0A2K5XQ17_MANLE
OG0000447	sp|Q61820|RANT_MOUSE, tr|Q14AA6|Q14AA6_MOUSE	tr|A0A2K5XMD0|A0A2K5XMD0_MANLE, tr|A0A2K5Z9K1|A0A2K5Z9K1_MANLE
OG0000448	tr|W4VSN7|W4VSN7_MOUSE, sp|P47915|RL29_MOUSE	tr|A0A2K5YT36|A0A2K5YT36_MANLE, tr|A0A2K5XCJ3|A0A2K5XCJ3_MANLE, tr|A0A2K5YF76|A0A2K5YF76_MANLE, tr|A0A2K5Z3X8|A0A2K5Z3X8_MANLE
OG0000449	sp|Q8R429|AT2A1_MOUSE	tr|A0A2K5XDJ3|A0A2K5XDJ3_MANLE
OG0000449	sp|Q64518|AT2A3_MOUSE	tr|A0A2K5Y3S6|A0A2K5Y3S6_MANLE
OG0000449	sp|O55143|AT2A2_MOUSE	tr|A0A2K5ZQ82|A0A2K5ZQ82_MANLE
OG0000450	sp|Q80UN1|KCTD9_MOUSE	tr|A0A2K5YXE6|A0A2K5YXE6_MANLE, tr|A0A2K5YF27|A0A2K5YF27_MANLE, tr|A0A2K6AA38|A0A2K6AA38_MANLE, tr|A0A2K5ZVI4|A0A2K5ZVI4_MANLE, tr|A0A2K5Y5P4|A0A2K5Y5P4_MANLE
OG0000451	tr|B1AR51|B1AR51_MOUSE	tr|A0A2K5YCM6|A0A2K5YCM6_MANLE
OG0000451	tr|E9Q7N9|E9Q7N9_MOUSE	tr|A0A2K5XNK5|A0A2K5XNK5_MANLE
OG0000451	sp|Q69Z23|DYH17_MOUSE	tr|A0A2K5Z8J8|A0A2K5Z8J8_MANLE
OG0000452	sp|Q3TXX4|VGLU1_MOUSE	tr|A0A2K5YUB3|A0A2K5YUB3_MANLE
OG0000452	sp|Q8BFU8|VGLU3_MOUSE	tr|A0A2K5ZTH2|A0A2K5ZTH2_MANLE
OG0000452	sp|Q8BLE7|VGLU2_MOUSE	tr|A0A2K5Z6R0|A0A2K5Z6R0_MANLE
OG0000453	sp|P50427|STS_MOUSE	tr|A0A2K5YDV4|A0A2K5YDV4_MANLE, tr|A0A2K6ABX9|A0A2K6ABX9_MANLE, tr|A0A2K5XHC4|A0A2K5XHC4_MANLE, tr|A0A2K5YHM5|A0A2K5YHM5_MANLE, tr|A0A2K5YSZ7|A0A2K5YSZ7_MANLE
OG0000454	sp|Q8CEG8|UBP27_MOUSE	tr|A0A2K5X9U5|A0A2K5X9U5_MANLE
OG0000454	sp|B1AY15|UBP51_MOUSE	tr|A0A2K5YTS6|A0A2K5YTS6_MANLE
OG0000454	sp|Q5DU02|UBP22_MOUSE	tr|A0A2K5ZPJ6|A0A2K5ZPJ6_MANLE
OG0000455	sp|P63318|KPCG_MOUSE	tr|A0A2K5ZA71|A0A2K5ZA71_MANLE
OG0000455	sp|P68404|KPCB_MOUSE	tr|A0A2K5Z9H5|A0A2K5Z9H5_MANLE
OG0000455	sp|P20444|KPCA_MOUSE	tr|A0A2K5YZI3|A0A2K5YZI3_MANLE
OG0000456	sp|Q9DC53|CPNE8_MOUSE	tr|A0A2K5XT24|A0A2K5XT24_MANLE
OG0000456	sp|Q1RLL3|CPNE9_MOUSE	tr|A0A2K5YQ44|A0A2K5YQ44_MANLE
OG0000456	sp|Q8JZW4|CPNE5_MOUSE	tr|A0A2K5ZY11|A0A2K5ZY11_MANLE
OG0000457	sp|O35381|AN32A_MOUSE	tr|A0A2K5XY36|A0A2K5XY36_MANLE, tr|A0A2K5ZIJ9|A0A2K5ZIJ9_MANLE
OG0000457	sp|Q9EST5|AN32B_MOUSE	tr|A0A2K5XUX1|A0A2K5XUX1_MANLE, tr|A0A2K6A387|A0A2K6A387_MANLE
OG0000458	sp|Q9QZC1|TRPC3_MOUSE	tr|A0A2K5YMQ3|A0A2K5YMQ3_MANLE
OG0000458	sp|Q9WVC5|TRPC7_MOUSE	tr|A0A2K5YLP6|A0A2K5YLP6_MANLE
OG0000458	sp|Q61143|TRPC6_MOUSE	tr|A0A2K5ZHR0|A0A2K5ZHR0_MANLE
OG0000459	sp|Q5IBH6|SPE4A_MOUSE, tr|Q8CDE8|Q8CDE8_MOUSE	tr|A0A2K5YUF6|A0A2K5YUF6_MANLE, tr|A0A2K5ZRQ0|A0A2K5ZRQ0_MANLE, tr|A0A2K6AFE7|A0A2K6AFE7_MANLE, tr|A0A2K5YNK1|A0A2K5YNK1_MANLE
OG0000460	sp|P61327|MGN_MOUSE	tr|A0A2K6ACI3|A0A2K6ACI3_MANLE
OG0000460	sp|Q9CQL1|MGN2_MOUSE	tr|A0A2K6A8G8|A0A2K6A8G8_MANLE, tr|A0A2K5ZZ14|A0A2K5ZZ14_MANLE, tr|A0A2K5ZTI5|A0A2K5ZTI5_MANLE
OG0000461	sp|Q8BVF2|PDCL3_MOUSE	tr|A0A2K5XT40|A0A2K5XT40_MANLE, tr|A0A2K5Z9R9|A0A2K5Z9R9_MANLE, tr|A0A2K5ZWA4|A0A2K5ZWA4_MANLE, tr|A0A2K5ZVY3|A0A2K5ZVY3_MANLE, tr|A0A2K6ABH0|A0A2K6ABH0_MANLE
OG0000462	sp|A2AHL1|ANO3_MOUSE	tr|A0A2K5Z059|A0A2K5Z059_MANLE
OG0000462	sp|P86044|ANO9_MOUSE	tr|A0A2K5XFQ2|A0A2K5XFQ2_MANLE
OG0000462	sp|Q8C5H1|ANO4_MOUSE	tr|A0A2K6AEU5|A0A2K6AEU5_MANLE
OG0000463	sp|Q05685|FOLR2_MOUSE	tr|A0A2K5XKY8|A0A2K5XKY8_MANLE
OG0000463	sp|P35846|FOLR1_MOUSE	tr|A0A2K5ZD61|A0A2K5ZD61_MANLE, tr|A0A2K6A9J8|A0A2K6A9J8_MANLE, tr|A0A2K5Y8J7|A0A2K5Y8J7_MANLE
OG0000464	sp|Q9CVI2|F133B_MOUSE	tr|A0A2K6AD73|A0A2K6AD73_MANLE, tr|A0A2K5XVY4|A0A2K5XVY4_MANLE, tr|A0A2K5ZG72|A0A2K5ZG72_MANLE, tr|A0A2K5XI49|A0A2K5XI49_MANLE, tr|A0A2K5XPK7|A0A2K5XPK7_MANLE
OG0000465	sp|P70340|SMAD1_MOUSE	tr|A0A2K5YVF0|A0A2K5YVF0_MANLE
OG0000465	sp|P97454|SMAD5_MOUSE	tr|A0A2K5YSA7|A0A2K5YSA7_MANLE
OG0000465	sp|Q9JIW5|SMAD9_MOUSE	tr|A0A2K5Z8I7|A0A2K5Z8I7_MANLE
OG0000466	sp|Q61233|PLSL_MOUSE	tr|A0A2K5ZE29|A0A2K5ZE29_MANLE
OG0000466	sp|Q99K51|PLST_MOUSE	tr|A0A2K5XXG6|A0A2K5XXG6_MANLE
OG0000466	sp|Q3V0K9|PLSI_MOUSE	tr|A0A2K5XKC6|A0A2K5XKC6_MANLE
OG0000467	sp|Q91WC3|ACSL6_MOUSE	tr|A0A2K5YXY2|A0A2K5YXY2_MANLE
OG0000467	sp|Q8JZR0|ACSL5_MOUSE	tr|A0A2K5ZGJ2|A0A2K5ZGJ2_MANLE
OG0000467	sp|P41216|ACSL1_MOUSE	tr|A0A2K6A2C3|A0A2K6A2C3_MANLE
OG0000468	sp|Q8BHK3|S36A2_MOUSE	tr|A0A2K5XD32|A0A2K5XD32_MANLE
OG0000468	sp|Q8K4D3|S36A1_MOUSE	tr|A0A2K5ZXP3|A0A2K5ZXP3_MANLE
OG0000468	sp|Q811P0|S36A3_MOUSE	tr|A0A2K5ZAY4|A0A2K5ZAY4_MANLE
OG0000469	sp|P51410|RL9_MOUSE	tr|A0A2K5YXM6|A0A2K5YXM6_MANLE, tr|A0A2K6AC63|A0A2K6AC63_MANLE, tr|A0A2K5ZAZ2|A0A2K5ZAZ2_MANLE, tr|A0A2K6A014|A0A2K6A014_MANLE, tr|A0A2K5XJA3|A0A2K5XJA3_MANLE
OG0000470	tr|E9Q7P2|E9Q7P2_MOUSE	tr|A0A2K5ZM59|A0A2K5ZM59_MANLE
OG0000470	tr|Q5SUF7|Q5SUF7_MOUSE	tr|A0A2K5Z2R6|A0A2K5Z2R6_MANLE
OG0000470	sp|O88427|CAC1H_MOUSE	tr|A0A2K5XQ92|A0A2K5XQ92_MANLE
OG0000471	tr|E9Q3R6|E9Q3R6_MOUSE	tr|A0A2K5YXC4|A0A2K5YXC4_MANLE, tr|A0A2K5ZWX4|A0A2K5ZWX4_MANLE, tr|A0A2K5XXM0|A0A2K5XXM0_MANLE, tr|A0A2K5ZG38|A0A2K5ZG38_MANLE, tr|A0A2K6AKD0|A0A2K6AKD0_MANLE
OG0000472	sp|Q812A2|SRGP3_MOUSE	tr|A0A2K5XJ85|A0A2K5XJ85_MANLE
OG0000472	sp|Q91Z69|SRGP1_MOUSE	tr|A0A2K5ZMG0|A0A2K5ZMG0_MANLE
OG0000472	sp|Q91Z67|SRGP2_MOUSE	tr|A0A2K6A7C7|A0A2K6A7C7_MANLE
OG0000474	sp|Q64487|PTPRD_MOUSE	tr|A0A2K6A4P9|A0A2K6A4P9_MANLE
OG0000474	sp|B0V2N1|PTPRS_MOUSE	tr|A0A2K5XBZ9|A0A2K5XBZ9_MANLE
OG0000474	sp|A2A8L5|PTPRF_MOUSE	tr|A0A2K5Y7Q0|A0A2K5Y7Q0_MANLE
OG0000475	sp|P61079|UB2D3_MOUSE, sp|P62838|UB2D2_MOUSE	tr|A0A2K5Z505|A0A2K5Z505_MANLE, tr|A0A2K5ZUV0|A0A2K5ZUV0_MANLE, tr|A0A2K6AIA7|A0A2K6AIA7_MANLE, tr|A0A2K5ZAY2|A0A2K5ZAY2_MANLE
OG0000476	sp|Q9QWK5|BIR1A_MOUSE, sp|Q9JIB3|BIR1G_MOUSE, sp|Q9JIB6|BIR1F_MOUSE, sp|Q9R016|BIR1E_MOUSE, sp|Q9QUK4|BIR1B_MOUSE	tr|A0A2K5Z869|A0A2K5Z869_MANLE
OG0000477	sp|Q9D1C1|UBE2C_MOUSE	tr|A0A2K5XBV2|A0A2K5XBV2_MANLE, tr|A0A2K5YJ39|A0A2K5YJ39_MANLE, tr|A0A2K5ZUX1|A0A2K5ZUX1_MANLE, tr|A0A2K5XFS3|A0A2K5XFS3_MANLE, tr|A0A2K5XY29|A0A2K5XY29_MANLE
OG0000478	sp|P20612|GNAT1_MOUSE	tr|A0A2K6AKH4|A0A2K6AKH4_MANLE
OG0000478	sp|Q3V3I2|GNAT3_MOUSE	tr|A0A2K5YEJ5|A0A2K5YEJ5_MANLE
OG0000478	sp|P50149|GNAT2_MOUSE	tr|A0A2K5XXK1|A0A2K5XXK1_MANLE
OG0000479	sp|O09106|HDAC1_MOUSE	tr|A0A2K5ZI19|A0A2K5ZI19_MANLE
OG0000479	sp|P70288|HDAC2_MOUSE	tr|A0A2K6AEA9|A0A2K6AEA9_MANLE, tr|A0A2K5YS57|A0A2K5YS57_MANLE, tr|A0A2K5ZYV4|A0A2K5ZYV4_MANLE
OG0000480	sp|O54879|HMGB3_MOUSE	tr|A0A2K5YRH1|A0A2K5YRH1_MANLE, tr|A0A2K6AA39|A0A2K6AA39_MANLE, tr|A0A2K5ZMZ4|A0A2K5ZMZ4_MANLE, tr|A0A2K5YVW7|A0A2K5YVW7_MANLE, tr|A0A2K5Z0K1|A0A2K5Z0K1_MANLE
OG0000481	sp|Q8BTM8|FLNA_MOUSE	tr|A0A2K5ZJF3|A0A2K5ZJF3_MANLE
OG0000481	sp|Q80X90|FLNB_MOUSE	tr|A0A2K5YCW4|A0A2K5YCW4_MANLE
OG0000481	sp|Q8VHX6|FLNC_MOUSE	tr|A0A2K6A9D6|A0A2K6A9D6_MANLE
OG0000482	sp|P27664|PDE6A_MOUSE	tr|A0A2K5Z480|A0A2K5Z480_MANLE
OG0000482	sp|P23440|PDE6B_MOUSE	tr|A0A2K6AAF6|A0A2K6AAF6_MANLE
OG0000482	sp|Q91ZQ1|PDE6C_MOUSE	tr|A0A2K6AAN1|A0A2K6AAN1_MANLE
OG0000483	sp|Q9JKF1|IQGA1_MOUSE	tr|A0A2K6A8D7|A0A2K6A8D7_MANLE
OG0000483	sp|Q3UQ44|IQGA2_MOUSE	tr|A0A2K5XWY8|A0A2K5XWY8_MANLE
