Orthogroup	Mus_musculus	Vicugna_pacos
OG0001394	sp|Q811U4|MFN1_MOUSE	tr|A0A6I9IEX9|A0A6I9IEX9_VICPA
OG0001394	sp|Q80U63|MFN2_MOUSE	tr|A0A6J0AJ78|A0A6J0AJ78_VICPA
OG0001395	sp|Q8BGS7|CEPT1_MOUSE	tr|A0A6J0APV1|A0A6J0APV1_VICPA
OG0001395	sp|Q8C025|CHPT1_MOUSE	tr|A0A6I9IMX3|A0A6I9IMX3_VICPA
OG0001396	sp|Q8CGT6|PIWL4_MOUSE	tr|A0A6I9IC71|A0A6I9IC71_VICPA
OG0001396	sp|Q9JMB7|PIWL1_MOUSE	tr|A0A6J2ZZ60|A0A6J2ZZ60_VICPA
OG0001397	sp|P59113|FERM1_MOUSE	tr|A0A6J3AB42|A0A6J3AB42_VICPA
OG0001397	sp|Q8CIB5|FERM2_MOUSE	tr|A0A6J0AB50|A0A6J0AB50_VICPA
OG0001398	sp|Q8BSM7|LAT3_MOUSE	tr|A0A6J3BLD3|A0A6J3BLD3_VICPA
OG0001398	sp|Q8CGA3|LAT4_MOUSE	tr|A0A6I9IN17|A0A6I9IN17_VICPA
OG0001399	sp|Q8K458|PKR2_MOUSE	tr|A0A6J3A965|A0A6J3A965_VICPA
OG0001399	sp|Q9JKL1|PKR1_MOUSE	tr|A0A6I9I1A7|A0A6I9I1A7_VICPA
OG0001400	sp|O88487|DC1I2_MOUSE	tr|A0A6J3AI98|A0A6J3AI98_VICPA
OG0001400	sp|O88485|DC1I1_MOUSE	tr|A0A6I9IDC8|A0A6I9IDC8_VICPA
OG0001401	sp|Q14BI2|GRM2_MOUSE	tr|A0A6I9HUC0|A0A6I9HUC0_VICPA
OG0001401	sp|Q9QYS2|GRM3_MOUSE	tr|A0A6I9IGN4|A0A6I9IGN4_VICPA
OG0001402	sp|Q9CYI4|LUC7L_MOUSE	tr|A0A6I9I5J1|A0A6I9I5J1_VICPA
OG0001402	sp|Q7TNC4|LC7L2_MOUSE	tr|A0A6I9IGN3|A0A6I9IGN3_VICPA
OG0001404	sp|A2A5R2|BIG2_MOUSE	tr|A0A6J0ALF6|A0A6J0ALF6_VICPA
OG0001404	sp|G3X9K3|BIG1_MOUSE	tr|A0A6J3BRN5|A0A6J3BRN5_VICPA
OG0001405	sp|P03975|IGEB_MOUSE	tr|A0A6J3B5N4|A0A6J3B5N4_VICPA, tr|A0A6J2ZZY3|A0A6J2ZZY3_VICPA, tr|A0A6J3A3W3|A0A6J3A3W3_VICPA
OG0001406	sp|Q8BMN3|ACHB3_MOUSE	tr|A0A6J3BPS4|A0A6J3BPS4_VICPA
OG0001406	sp|Q2MKA5|ACHA5_MOUSE	tr|A0A6J3BQ78|A0A6J3BQ78_VICPA
OG0001407	sp|Q9R194|CRY2_MOUSE	tr|A0A6I9IHC7|A0A6I9IHC7_VICPA
OG0001407	sp|P97784|CRY1_MOUSE	tr|A0A6I9IAW8|A0A6I9IAW8_VICPA
OG0001408	sp|Q9Z2W1|STK25_MOUSE	tr|A0A6I9ICD8|A0A6I9ICD8_VICPA
OG0001408	sp|Q99KH8|STK24_MOUSE	tr|A0A6J0ARA3|A0A6J0ARA3_VICPA
OG0001409	sp|Q8VDG6|M3K21_MOUSE	tr|A0A6I9IHZ5|A0A6I9IHZ5_VICPA
OG0001409	sp|Q3U1V8|M3K9_MOUSE	tr|A0A6J3APA4|A0A6J3APA4_VICPA
OG0001410	sp|Q5SRY7|FBW1B_MOUSE	tr|A0A6I9HXR6|A0A6I9HXR6_VICPA
OG0001410	sp|Q3ULA2|FBW1A_MOUSE	tr|A0A6I9IHE4|A0A6I9IHE4_VICPA
OG0001411	tr|A0A0N4SUK7|A0A0N4SUK7_MOUSE	tr|A0A6I9I077|A0A6I9I077_VICPA
OG0001411	sp|Q8C9R9|EFCB8_MOUSE	tr|A0A6J0AGW7|A0A6J0AGW7_VICPA
OG0001412	sp|P40936|INMT_MOUSE	tr|A0A6J0AE10|A0A6J0AE10_VICPA
OG0001412	sp|O55239|NNMT_MOUSE	tr|A0A6I9IBZ1|A0A6I9IBZ1_VICPA
OG0001413	sp|Q8BZ21|KAT6A_MOUSE	tr|A0A6J3BME0|A0A6J3BME0_VICPA
OG0001413	sp|Q8BRB7|KAT6B_MOUSE	tr|A0A6J3AWE6|A0A6J3AWE6_VICPA
OG0001414	sp|Q9D6K9|CERS5_MOUSE	tr|A0A6J3AZD9|A0A6J3AZD9_VICPA
OG0001414	sp|Q8C172|CERS6_MOUSE	tr|A0A6I9I1I4|A0A6I9I1I4_VICPA
OG0001415	sp|O70583|TRI18_MOUSE	tr|A0A6J3A132|A0A6J3A132_VICPA
OG0001415	sp|Q9QUS6|TRIM1_MOUSE	tr|A0A6J3AAJ4|A0A6J3AAJ4_VICPA
OG0001416	sp|P80317|TCPZ_MOUSE	tr|A0A6J3BBJ3|A0A6J3BBJ3_VICPA
OG0001416	sp|Q61390|TCPW_MOUSE	tr|A0A6I9IJL7|A0A6I9IJL7_VICPA
OG0001417	sp|P81069|GABP2_MOUSE	tr|A0A6J0AYA9|A0A6J0AYA9_VICPA
OG0001417	sp|Q00420|GABP1_MOUSE	tr|A0A6I9IEL5|A0A6I9IEL5_VICPA
OG0001418	sp|Q3SYP2|CTRC_MOUSE	tr|A0A6I9HUT5|A0A6I9HUT5_VICPA
OG0001418	sp|P05208|CEL2A_MOUSE	tr|A0A6I9HWX1|A0A6I9HWX1_VICPA
OG0001419	sp|Q8BXP5|PANKY_MOUSE	tr|A0A6J3ACW3|A0A6J3ACW3_VICPA, tr|A0A6J0B1V6|A0A6J0B1V6_VICPA, tr|A0A6J3AZ92|A0A6J3AZ92_VICPA
OG0001420	sp|Q2NL51|GSK3A_MOUSE	tr|A0A6J0APH8|A0A6J0APH8_VICPA
OG0001420	sp|Q9WV60|GSK3B_MOUSE	tr|A0A6I9IH59|A0A6I9IH59_VICPA
OG0001421	sp|P86792|CC21B_MOUSE, sp|P84444|CC21A_MOUSE, sp|P86793|CC21C_MOUSE	tr|A0A6J3AFF9|A0A6J3AFF9_VICPA
OG0001422	sp|Q91X46|ARHG3_MOUSE	tr|A0A6J0ACS5|A0A6J0ACS5_VICPA
OG0001422	sp|Q9Z206|ARHG8_MOUSE	tr|A0A6J3A1H9|A0A6J3A1H9_VICPA
OG0001423	sp|Q921M7|CYRIB_MOUSE	tr|A0A6J0ANH9|A0A6J0ANH9_VICPA
OG0001423	sp|Q8BHZ0|CYRIA_MOUSE	tr|A0A6J3B5Q4|A0A6J3B5Q4_VICPA
OG0001424	sp|P70339|FRAT1_MOUSE, tr|Q9WVA7|Q9WVA7_MOUSE, sp|Q8K025|FRAT2_MOUSE	tr|A0A6J3AXV7|A0A6J3AXV7_VICPA
OG0001425	sp|O70311|NMT2_MOUSE	tr|A0A6J2ZZB6|A0A6J2ZZB6_VICPA
OG0001425	sp|O70310|NMT1_MOUSE	tr|A0A6I9IN73|A0A6I9IN73_VICPA
OG0001426	sp|Q62176|RBM38_MOUSE	tr|A0A6J3BBG0|A0A6J3BBG0_VICPA
OG0001426	sp|D3Z4I3|RBM24_MOUSE	tr|A0A6J3BFG3|A0A6J3BFG3_VICPA
OG0001427	sp|Q8VC57|KCTD5_MOUSE	tr|A0A6J0AJP0|A0A6J0AJP0_VICPA
OG0001427	tr|E0CYQ0|E0CYQ0_MOUSE	tr|A0A6J3B611|A0A6J3B611_VICPA
OG0001428	sp|Q9JJN2|ZFHX4_MOUSE	tr|A0A6J3BUF3|A0A6J3BUF3_VICPA
OG0001428	sp|Q61329|ZFHX3_MOUSE	tr|A0A6J3ASF7|A0A6J3ASF7_VICPA
OG0001429	sp|Q6ZWZ2|UB2R2_MOUSE, sp|Q8CFI2|UB2R1_MOUSE, tr|A0A140T8I4|A0A140T8I4_MOUSE	tr|A0A6J3A8Y9|A0A6J3A8Y9_VICPA
OG0001430	sp|Q3UYK3|TBCD9_MOUSE	tr|A0A6I9IN01|A0A6I9IN01_VICPA
OG0001430	sp|Q5SVR0|TBC9B_MOUSE	tr|A0A6J0AAI6|A0A6J0AAI6_VICPA
OG0001431	sp|P97367|MEIS2_MOUSE	tr|A0A6J3A6D0|A0A6J3A6D0_VICPA
OG0001431	sp|Q60954|MEIS1_MOUSE	tr|A0A6J0AE93|A0A6J0AE93_VICPA
OG0001432	sp|Q3UP75|UD3A1_MOUSE, sp|Q8JZZ0|UD3A2_MOUSE	tr|A0A6J3AIR5|A0A6J3AIR5_VICPA, tr|A0A6I9I169|A0A6I9I169_VICPA
OG0001433	sp|P04117|FABP4_MOUSE	tr|A0A6I9I5Y5|A0A6I9I5Y5_VICPA
OG0001433	sp|O08716|FABP9_MOUSE	tr|A0A6I9I2M8|A0A6I9I2M8_VICPA
OG0001434	sp|P62855|RS26_MOUSE	tr|A0A6J0ATB6|A0A6J0ATB6_VICPA, tr|A0A6I9IQP2|A0A6I9IQP2_VICPA, tr|A0A6J0AIS3|A0A6J0AIS3_VICPA
OG0001435	sp|Q8BX46|SKOR1_MOUSE	tr|A0A6J3ALE5|A0A6J3ALE5_VICPA
OG0001435	sp|A7M7C7|SKOR2_MOUSE	tr|A0A6J3BR47|A0A6J3BR47_VICPA
OG0001436	sp|P97479|MYO7A_MOUSE	tr|A0A6J3AVP5|A0A6J3AVP5_VICPA
OG0001436	sp|Q99MZ6|MYO7B_MOUSE	tr|A0A6J0AGG0|A0A6J0AGG0_VICPA
OG0001437	sp|Q9Z0Y9|NR1H3_MOUSE	tr|A0A6I9IGF0|A0A6I9IGF0_VICPA
OG0001437	sp|Q60644|NR1H2_MOUSE	tr|A0A6I9IBS0|A0A6I9IBS0_VICPA
OG0001438	sp|Q8BXL9|IFFO1_MOUSE	tr|A0A6J0ASC8|A0A6J0ASC8_VICPA
OG0001438	sp|Q8R2V2|IFFO2_MOUSE	tr|A0A6I9HYA5|A0A6I9HYA5_VICPA
OG0001439	sp|P28563|DUS1_MOUSE	tr|A0A6I9I0A5|A0A6I9I0A5_VICPA
OG0001439	sp|Q05922|DUS2_MOUSE	tr|A0A6I9I519|A0A6I9I519_VICPA
OG0001440	sp|P48542|KCNJ6_MOUSE	tr|A0A6I9I895|A0A6I9I895_VICPA
OG0001440	sp|P48545|KCNJ5_MOUSE	tr|A0A6I9IGD3|A0A6I9IGD3_VICPA
OG0001441	sp|Q3TYU2|AT135_MOUSE	tr|A0A6I9I3T1|A0A6I9I3T1_VICPA
OG0001441	sp|Q5XF90|AT134_MOUSE	tr|A0A6J0AFH5|A0A6J0AFH5_VICPA
OG0001443	sp|Q9DBG3|AP2B1_MOUSE	tr|A0A6I9IS00|A0A6I9IS00_VICPA
OG0001443	sp|O35643|AP1B1_MOUSE	tr|A0A6J0AUZ6|A0A6J0AUZ6_VICPA
OG0001444	sp|Q9DD20|MET7B_MOUSE	tr|A0A6J3AXC5|A0A6J3AXC5_VICPA, tr|A0A6J3B3J4|A0A6J3B3J4_VICPA, tr|A0A6I9IUU7|A0A6I9IUU7_VICPA
OG0001445	sp|Q8VBX4|CLC4K_MOUSE	tr|A0A6J3AD93|A0A6J3AD93_VICPA
OG0001445	sp|P70194|CLC4F_MOUSE	tr|A0A6I9I1D4|A0A6I9I1D4_VICPA
OG0001446	sp|Q8JZL7|RGF1B_MOUSE	tr|A0A6I9HZD2|A0A6I9HZD2_VICPA
OG0001446	sp|Q9D300|RGF1C_MOUSE	tr|A0A6I9HXM6|A0A6I9HXM6_VICPA
OG0001447	sp|P33033|MC3R_MOUSE	tr|A0A6I9I933|A0A6I9I933_VICPA
OG0001447	sp|P41149|MC5R_MOUSE	tr|A0A6J0AWF8|A0A6J0AWF8_VICPA
OG0001448	sp|Q99K70|RRAGC_MOUSE	tr|A0A6J3B1C7|A0A6J3B1C7_VICPA
OG0001448	sp|Q7TT45|RRAGD_MOUSE	tr|A0A6I9I2W0|A0A6I9I2W0_VICPA
OG0001449	sp|P53657|KPYR_MOUSE	tr|A0A6I9IKQ5|A0A6I9IKQ5_VICPA
OG0001449	sp|P52480|KPYM_MOUSE	tr|A0A6J0AWW5|A0A6J0AWW5_VICPA
OG0001450	sp|Q5DTH5|TSH1_MOUSE	tr|A0A6I9IJ11|A0A6I9IJ11_VICPA
OG0001450	sp|Q8CGV9|TSH3_MOUSE	tr|A0A6J3A2W7|A0A6J3A2W7_VICPA
OG0001451	sp|Q9EPL8|IPO7_MOUSE	tr|A0A6I9I7S2|A0A6I9I7S2_VICPA
OG0001451	sp|Q7TMY7|IPO8_MOUSE	tr|A0A6J2ZWX6|A0A6J2ZWX6_VICPA
OG0001452	sp|Q80W94|MOGT2_MOUSE	tr|A0A6J3BBM1|A0A6J3BBM1_VICPA, tr|A0A6J3A417|A0A6J3A417_VICPA, tr|A0A6J3A1Z9|A0A6J3A1Z9_VICPA
OG0001453	sp|P45481|CBP_MOUSE	tr|A0A6J3BAS2|A0A6J3BAS2_VICPA
OG0001453	sp|B2RWS6|EP300_MOUSE	tr|A0A6I9IB42|A0A6I9IB42_VICPA
OG0001454	sp|Q60760|GRB10_MOUSE	tr|A0A6J3A0Y2|A0A6J3A0Y2_VICPA
OG0001454	sp|Q03160|GRB7_MOUSE	tr|A0A6J3B4I1|A0A6J3B4I1_VICPA
OG0001455	sp|Q6JPI3|MD13L_MOUSE	tr|A0A6J0AK71|A0A6J0AK71_VICPA
OG0001455	sp|Q5SWW4|MED13_MOUSE	tr|A0A6I9ISV7|A0A6I9ISV7_VICPA
OG0001456	sp|Q8VDB9|S620A_MOUSE, sp|O88575|S620B_MOUSE, tr|A0A1B0GSD2|A0A1B0GSD2_MOUSE	tr|A0A6I9I2F4|A0A6I9I2F4_VICPA
OG0001457	sp|P35486|ODPA_MOUSE	tr|A0A6I9INH5|A0A6I9INH5_VICPA
OG0001457	sp|P35487|ODPAT_MOUSE	tr|A0A6J0APH7|A0A6J0APH7_VICPA
OG0001458	sp|Q80YR5|SAFB2_MOUSE	tr|A0A6J3BK48|A0A6J3BK48_VICPA
OG0001458	sp|D3YXK2|SAFB1_MOUSE	tr|A0A6J3BIG0|A0A6J3BIG0_VICPA
OG0001459	sp|O88470|FOXL2_MOUSE	tr|A0A6I9ISV8|A0A6I9ISV8_VICPA
OG0001459	sp|Q61345|FOXD1_MOUSE	tr|A0A6I9IST9|A0A6I9IST9_VICPA
OG0001460	tr|B2RXM5|B2RXM5_MOUSE	tr|A0A6I9I5Z6|A0A6I9I5Z6_VICPA
OG0001460	sp|A8Y5H7|S14L1_MOUSE	tr|A0A6J0AAW7|A0A6J0AAW7_VICPA
OG0001461	sp|P17095|HMGA1_MOUSE	tr|A0A6J0AIX2|A0A6J0AIX2_VICPA, tr|A0A6J3A659|A0A6J3A659_VICPA, tr|A0A6I9I274|A0A6I9I274_VICPA
OG0001462	sp|Q9ER74|SALL1_MOUSE	tr|A0A6J0AN55|A0A6J0AN55_VICPA
OG0001462	sp|Q62255|SALL3_MOUSE	tr|A0A6J3A1Y8|A0A6J3A1Y8_VICPA
OG0001463	sp|Q99JY9|ARP3_MOUSE	tr|A0A6I9HWC7|A0A6I9HWC7_VICPA
OG0001463	sp|Q641P0|ARP3B_MOUSE	tr|A0A6J3A8R9|A0A6J3A8R9_VICPA
OG0001464	sp|Q06348|PRRX2_MOUSE	tr|A0A6I9I7P7|A0A6I9I7P7_VICPA
OG0001464	sp|F6YCR7|RHX13_MOUSE	tr|A0A6J3A1V3|A0A6J3A1V3_VICPA
OG0001465	sp|O09009|RFNG_MOUSE	tr|A0A6I9HYH2|A0A6I9HYH2_VICPA
OG0001465	sp|O09010|LFNG_MOUSE	tr|A0A6J0AU91|A0A6J0AU91_VICPA
OG0001466	sp|Q9DBE0|CSAD_MOUSE	tr|A0A6J0AG06|A0A6J0AG06_VICPA
OG0001466	sp|Q80WP8|GADL1_MOUSE	tr|A0A6I9I2H2|A0A6I9I2H2_VICPA
OG0001467	tr|A0A494BB12|A0A494BB12_MOUSE	tr|A0A6J0AI92|A0A6J0AI92_VICPA, tr|A0A6J3BAS4|A0A6J3BAS4_VICPA, tr|A0A6J3AT27|A0A6J3AT27_VICPA
OG0001468	sp|P27671|RGRF1_MOUSE	tr|A0A6I9ICC3|A0A6I9ICC3_VICPA
OG0001468	sp|P70392|RGRF2_MOUSE	tr|A0A6J3A989|A0A6J3A989_VICPA
OG0001469	sp|P47937|NK3R_MOUSE	tr|A0A6J0AZQ7|A0A6J0AZQ7_VICPA
OG0001469	sp|P30548|NK1R_MOUSE	tr|A0A6J3B5A2|A0A6J3B5A2_VICPA
OG0001470	tr|B2RUS7|B2RUS7_MOUSE	tr|A0A6J3AT19|A0A6J3AT19_VICPA
OG0001470	sp|P70170|ABCC9_MOUSE	tr|A0A6J2ZX31|A0A6J2ZX31_VICPA
OG0001471	tr|Q14B01|Q14B01_MOUSE, tr|Q8R3P8|Q8R3P8_MOUSE	tr|A0A6I9I8L7|A0A6I9I8L7_VICPA, tr|A0A6I9IQ48|A0A6I9IQ48_VICPA
OG0001472	sp|Q8VHS5|ASB16_MOUSE	tr|A0A6I9IS47|A0A6I9IS47_VICPA
OG0001472	sp|Q8VHA6|ASB18_MOUSE	tr|A0A6J3AJF5|A0A6J3AJF5_VICPA
OG0001473	sp|B2RXV4|FLVC1_MOUSE	tr|A0A6J3BJE1|A0A6J3BJE1_VICPA
OG0001473	sp|Q91X85|FLVC2_MOUSE	tr|A0A6I9IBE2|A0A6I9IBE2_VICPA
OG0001474	tr|E9Q519|E9Q519_MOUSE	tr|A0A6J3ATY7|A0A6J3ATY7_VICPA
OG0001474	tr|E9Q518|E9Q518_MOUSE	tr|A0A6I9I7A2|A0A6I9I7A2_VICPA
OG0001475	sp|P47199|QOR_MOUSE	tr|A0A6I9HYG4|A0A6I9HYG4_VICPA, tr|A0A6I9IMP6|A0A6I9IMP6_VICPA, tr|A0A6J3B6U4|A0A6J3B6U4_VICPA
OG0001476	sp|Q922Q4|P5CR2_MOUSE	tr|A0A6I9HYE0|A0A6I9HYE0_VICPA
OG0001476	sp|Q922W5|P5CR1_MOUSE	tr|A0A6J3AF24|A0A6J3AF24_VICPA
OG0001477	sp|Q8R050|ERF3A_MOUSE	tr|A0A6I9I8M7|A0A6I9I8M7_VICPA
OG0001477	sp|Q149F3|ERF3B_MOUSE	tr|A0A6I9IRU7|A0A6I9IRU7_VICPA
OG0001478	sp|Q9ER42|BARX1_MOUSE	tr|A0A6J0AR86|A0A6J0AR86_VICPA
OG0001478	sp|O08686|BARX2_MOUSE	tr|A0A6J2ZY52|A0A6J2ZY52_VICPA
OG0001479	sp|Q9QZM0|UBQL2_MOUSE	tr|A0A6I9IS83|A0A6I9IS83_VICPA
OG0001479	sp|Q8R317|UBQL1_MOUSE	tr|A0A6I9IFM1|A0A6I9IFM1_VICPA
OG0001480	tr|A2AFI6|A2AFI6_MOUSE	tr|A0A6J3A2J4|A0A6J3A2J4_VICPA
OG0001480	sp|P58021|TM9S2_MOUSE	tr|A0A6I9IBN2|A0A6I9IBN2_VICPA
OG0001481	sp|Q4VA55|PWP3B_MOUSE	tr|A0A6J3A4F4|A0A6J3A4F4_VICPA
OG0001481	sp|Q6DID5|PWP3A_MOUSE	tr|A0A6J0ANT2|A0A6J0ANT2_VICPA
OG0001482	sp|Q6PGN3|DCLK2_MOUSE	tr|A0A6J3AZT9|A0A6J3AZT9_VICPA
OG0001482	sp|Q9JLM8|DCLK1_MOUSE	tr|A0A6J3B0W7|A0A6J3B0W7_VICPA
OG0001483	sp|Q5EG47|AAPK1_MOUSE	tr|A0A6J0AP28|A0A6J0AP28_VICPA
OG0001483	sp|Q8BRK8|AAPK2_MOUSE	tr|A0A6J3B628|A0A6J3B628_VICPA
OG0001484	sp|Q8K595|MCLN2_MOUSE	tr|A0A6J3ALP6|A0A6J3ALP6_VICPA
OG0001484	sp|Q8R4F0|MCLN3_MOUSE	tr|A0A6J3AQE2|A0A6J3AQE2_VICPA
OG0001485	sp|Q9CPR8|NSE3_MOUSE	tr|A0A6J3A338|A0A6J3A338_VICPA
OG0001485	tr|Q99PB1|Q99PB1_MOUSE	tr|A0A6J0AFD4|A0A6J0AFD4_VICPA
OG0001486	sp|Q60809|CNOT7_MOUSE	tr|A0A6I9HZR3|A0A6I9HZR3_VICPA
OG0001486	sp|Q9D8X5|CNOT8_MOUSE	tr|A0A6I9INV4|A0A6I9INV4_VICPA
OG0001487	sp|Q9JLR1|S61A2_MOUSE, sp|P61620|S61A1_MOUSE	tr|A0A6J3AF53|A0A6J3AF53_VICPA, tr|A0A6I9IC74|A0A6I9IC74_VICPA
OG0001488	sp|Q8VGR9|O1044_MOUSE, tr|Q8VFL0|Q8VFL0_MOUSE	tr|A0A6I9IML1|A0A6I9IML1_VICPA, tr|A0A6J3A9Y1|A0A6J3A9Y1_VICPA
OG0001489	sp|Q62468|VILI_MOUSE	tr|A0A6I9I9V1|A0A6I9I9V1_VICPA
OG0001489	sp|O88398|AVIL_MOUSE	tr|A0A6I9IST8|A0A6I9IST8_VICPA
OG0001490	sp|P52623|UCK1_MOUSE	tr|A0A6J3ALN8|A0A6J3ALN8_VICPA
OG0001490	sp|Q99PM9|UCK2_MOUSE	tr|A0A6J3BE80|A0A6J3BE80_VICPA
OG0001491	sp|Q5RJF7|CA2D4_MOUSE	tr|A0A6J2ZY98|A0A6J2ZY98_VICPA
OG0001491	sp|Q9Z1L5|CA2D3_MOUSE	tr|A0A6J3B8C5|A0A6J3B8C5_VICPA
OG0001492	sp|Q8R5H1|UBP15_MOUSE	tr|A0A6I9IQE8|A0A6I9IQE8_VICPA
OG0001492	sp|P35123|UBP4_MOUSE	tr|A0A6I9HUW6|A0A6I9HUW6_VICPA
OG0001493	sp|P28663|SNAB_MOUSE	tr|A0A6I9I8B0|A0A6I9I8B0_VICPA
OG0001493	sp|Q9DB05|SNAA_MOUSE	tr|A0A6I9IC00|A0A6I9IC00_VICPA
OG0001494	sp|Q9DB16|CB39L_MOUSE	tr|A0A6J3B0I5|A0A6J3B0I5_VICPA
OG0001494	sp|Q06138|CAB39_MOUSE	tr|A0A6J3AM90|A0A6J3AM90_VICPA
OG0001495	tr|G3X972|G3X972_MOUSE	tr|A0A6J0B0Q6|A0A6J0B0Q6_VICPA
OG0001495	tr|Q6NXL1|Q6NXL1_MOUSE	tr|A0A6I9IIH5|A0A6I9IIH5_VICPA
OG0001496	sp|P46935|NEDD4_MOUSE	tr|A0A6J3A6U0|A0A6J3A6U0_VICPA
OG0001496	sp|Q8CFI0|NED4L_MOUSE	tr|A0A6J3BME3|A0A6J3BME3_VICPA
OG0001497	sp|Q5SZT7|NKAPL_MOUSE	tr|A0A6I9IP70|A0A6I9IP70_VICPA
OG0001497	sp|Q9D0F4|NKAP_MOUSE	tr|A0A6I9IMK1|A0A6I9IMK1_VICPA
OG0001498	sp|Q9D2L6|AGRF4_MOUSE	tr|A0A6J3BFG4|A0A6J3BFG4_VICPA
OG0001498	sp|E9Q4J9|AGRF2_MOUSE	tr|A0A6I9I443|A0A6I9I443_VICPA
OG0001499	sp|Q9R1Y5|HIC1_MOUSE	tr|A0A6J3B409|A0A6J3B409_VICPA
OG0001499	sp|Q9JLZ6|HIC2_MOUSE	tr|A0A6I9IL64|A0A6I9IL64_VICPA
OG0001500	sp|P52912|TIA1_MOUSE	tr|A0A6I9I3L4|A0A6I9I3L4_VICPA
OG0001500	sp|P70318|TIAR_MOUSE	tr|A0A6I9I0C0|A0A6I9I0C0_VICPA
OG0001501	sp|Q8R1K4|AT2L2_MOUSE	tr|A0A6J3BFW2|A0A6J3BFW2_VICPA
OG0001501	sp|Q8BWU8|AT2L1_MOUSE	tr|A0A6I9IHK4|A0A6I9IHK4_VICPA
OG0001502	tr|D3Z1A5|D3Z1A5_MOUSE	tr|A0A6J0ATF2|A0A6J0ATF2_VICPA
OG0001502	sp|P58459|ATS10_MOUSE	tr|A0A6I9IA92|A0A6I9IA92_VICPA
OG0001503	sp|O54732|MMP15_MOUSE	tr|A0A6J3ARQ5|A0A6J3ARQ5_VICPA
OG0001503	sp|P53690|MMP14_MOUSE	tr|A0A6I9IRV1|A0A6I9IRV1_VICPA
OG0001504	sp|P97291|CADH8_MOUSE	tr|A0A6I9II16|A0A6I9II16_VICPA
OG0001504	sp|P55288|CAD11_MOUSE	tr|A0A6I9II80|A0A6I9II80_VICPA
OG0001505	sp|Q4VC17|ATS18_MOUSE	tr|A0A6J3AUE5|A0A6J3AUE5_VICPA
OG0001505	sp|Q69Z28|ATS16_MOUSE	tr|A0A6J3A8Y4|A0A6J3A8Y4_VICPA
OG0001506	sp|O08912|GALT1_MOUSE	tr|A0A6J3BGH6|A0A6J3BGH6_VICPA
OG0001506	sp|Q8CF93|GLT13_MOUSE	tr|A0A6J3AME9|A0A6J3AME9_VICPA
OG0001507	tr|D3YXJ9|D3YXJ9_MOUSE, sp|Q9D7U6|CLD22_MOUSE	tr|A0A6I9IBY2|A0A6I9IBY2_VICPA, tr|A0A6J0ABW8|A0A6J0ABW8_VICPA
OG0001508	sp|Q8C050|KS6A5_MOUSE	tr|A0A6J3ARG4|A0A6J3ARG4_VICPA
OG0001508	sp|Q9Z2B9|KS6A4_MOUSE	tr|A0A6I9INH9|A0A6I9INH9_VICPA
OG0001509	sp|Q8BTI7|ANR52_MOUSE	tr|A0A6J3B1D9|A0A6J3B1D9_VICPA
OG0001509	sp|B2RXR6|ANR44_MOUSE	tr|A0A6J0AX04|A0A6J0AX04_VICPA
OG0001510	sp|Q8K1S3|UNC5B_MOUSE	tr|A0A6J0AV75|A0A6J0AV75_VICPA
OG0001510	sp|O08747|UNC5C_MOUSE	tr|A0A6I9IF61|A0A6I9IF61_VICPA
OG0001511	sp|Q7TN33|CELF6_MOUSE	tr|A0A6J3BSR4|A0A6J3BSR4_VICPA
OG0001511	sp|Q8CIN6|CELF3_MOUSE	tr|A0A6I9IRL3|A0A6I9IRL3_VICPA
OG0001512	sp|P97364|SPS2_MOUSE	tr|A0A6J3BAS0|A0A6J3BAS0_VICPA
OG0001512	sp|Q8BH69|SPS1_MOUSE	tr|A0A6J0ATG1|A0A6J0ATG1_VICPA
OG0001513	sp|Q7TT15|GLT17_MOUSE	tr|A0A6I9I230|A0A6I9I230_VICPA
OG0001513	tr|G3X942|G3X942_MOUSE	tr|A0A6J2ZX38|A0A6J2ZX38_VICPA
OG0001514	sp|Q9WTI7|MYO1C_MOUSE	tr|A0A6I9IKD5|A0A6I9IKD5_VICPA
OG0001514	sp|Q9D6A1|MYO1H_MOUSE	tr|A0A6I9I9P7|A0A6I9I9P7_VICPA
OG0001515	sp|Q8VCB3|GYS2_MOUSE	tr|A0A6I9I2B2|A0A6I9I2B2_VICPA
OG0001515	sp|Q9Z1E4|GYS1_MOUSE	tr|A0A6I9ICU7|A0A6I9ICU7_VICPA
OG0001516	sp|Q8CBQ5|P4K2B_MOUSE	tr|A0A6J0AKK3|A0A6J0AKK3_VICPA
OG0001516	sp|Q2TBE6|P4K2A_MOUSE	tr|A0A6I9IHJ4|A0A6I9IHJ4_VICPA
OG0001517	sp|Q9DBS9|OSBL3_MOUSE	tr|A0A6J3A8V6|A0A6J3A8V6_VICPA
OG0001517	sp|Q8BXR9|OSBL6_MOUSE	tr|A0A6J0ASJ2|A0A6J0ASJ2_VICPA
OG0001518	sp|P54841|MAFB_MOUSE, sp|P54843|MAF_MOUSE, sp|Q8CF90|MAFA_MOUSE	tr|A0A6J0A9W6|A0A6J0A9W6_VICPA
OG0001519	sp|P28271|ACOHC_MOUSE	tr|A0A6I9INS3|A0A6I9INS3_VICPA
OG0001519	sp|Q811J3|IREB2_MOUSE	tr|A0A6I9IEW3|A0A6I9IEW3_VICPA
