Orthogroup	Mus_musculus	Balaenoptera_musculus
OG0000646	sp|Q9EPQ1|TLR1_MOUSE	tr|A0A8B8XHD9|A0A8B8XHD9_BALMU, tr|A0A8B8XHM9|A0A8B8XHM9_BALMU
OG0000647	sp|Q9D358|PPAC_MOUSE	tr|A0A8B8Z226|A0A8B8Z226_BALMU, tr|A0A8B8X4M5|A0A8B8X4M5_BALMU, tr|A0A8B8Z3A4|A0A8B8Z3A4_BALMU, tr|A0A8C0CRJ6|A0A8C0CRJ6_BALMU
OG0000648	sp|P14115|RL27A_MOUSE	tr|A0A8C0CX09|A0A8C0CX09_BALMU, tr|A0A8B8Y3X1|A0A8B8Y3X1_BALMU, tr|A0A8B8W802|A0A8B8W802_BALMU, tr|A0A8B8VPT3|A0A8B8VPT3_BALMU
OG0000649	tr|E9Q3K0|E9Q3K0_MOUSE, tr|E9Q8Z1|E9Q8Z1_MOUSE, tr|E9Q6D3|E9Q6D3_MOUSE, tr|Q9D496|Q9D496_MOUSE	tr|A0A8B8Z2R5|A0A8B8Z2R5_BALMU
OG0000650	tr|A0A140T8J7|A0A140T8J7_MOUSE, tr|Q8VGJ6|Q8VGJ6_MOUSE, tr|Q7TQS3|Q7TQS3_MOUSE, tr|Q8VF55|Q8VF55_MOUSE	tr|A0A8B8Y6J8|A0A8B8Y6J8_BALMU
OG0000651	sp|Q8JZQ5|AOC1_MOUSE, tr|Q6WIZ7|Q6WIZ7_MOUSE, tr|E9Q745|E9Q745_MOUSE, tr|Q6IMK7|Q6IMK7_MOUSE	tr|A0A8B8YDK8|A0A8B8YDK8_BALMU
OG0000652	sp|Q99J93|IFM2_MOUSE, sp|Q9CQW9|IFM3_MOUSE	tr|A0A8B8Y6Z0|A0A8B8Y6Z0_BALMU, tr|A0A8B8YFT2|A0A8B8YFT2_BALMU, tr|A0A8B8XYX2|A0A8B8XYX2_BALMU
OG0000653	sp|P11499|HS90B_MOUSE	tr|A0A8B8YNV1|A0A8B8YNV1_BALMU
OG0000653	sp|P07901|HS90A_MOUSE	tr|A0A8B8WA84|A0A8B8WA84_BALMU, tr|A0A8B8WNP2|A0A8B8WNP2_BALMU
OG0000654	tr|B7XG49|B7XG49_MOUSE	tr|A0A8B8XQG7|A0A8B8XQG7_BALMU
OG0000654	sp|Q5STT6|GAR3_MOUSE	tr|A0A8B8YPY9|A0A8B8YPY9_BALMU, tr|A0A8B8X5W1|A0A8B8X5W1_BALMU
OG0000655	tr|Q9CPN7|Q9CPN7_MOUSE, tr|F6R7E8|F6R7E8_MOUSE, tr|Q9CPN9|Q9CPN9_MOUSE	tr|A0A8B8YEA0|A0A8B8YEA0_BALMU, tr|A0A8B8YDP3|A0A8B8YDP3_BALMU
OG0000656	sp|Q9CR21|ACPM_MOUSE	tr|A0A8B8WYP8|A0A8B8WYP8_BALMU, tr|A0A8B8Z360|A0A8B8Z360_BALMU, tr|A0A8B8XMZ4|A0A8B8XMZ4_BALMU, tr|A0A8C0E1T2|A0A8C0E1T2_BALMU
OG0000657	sp|Q6SJ95|TBPL2_MOUSE	tr|A0A8B8WL56|A0A8B8WL56_BALMU
OG0000657	sp|P29037|TBP_MOUSE	tr|A0A8C0DYQ2|A0A8C0DYQ2_BALMU, tr|A0A8B8YZ06|A0A8B8YZ06_BALMU
OG0000658	tr|Q8BGU0|Q8BGU0_MOUSE	tr|A0A8B8X5W8|A0A8B8X5W8_BALMU, tr|A0A8B8X351|A0A8B8X351_BALMU, tr|A0A8B8X307|A0A8B8X307_BALMU, tr|A0A8B8X5B6|A0A8B8X5B6_BALMU
OG0000659	sp|P51678|CCR3_MOUSE	tr|A0A8B8YWI6|A0A8B8YWI6_BALMU
OG0000659	sp|P51675|CCR1_MOUSE, sp|P51676|CC1L1_MOUSE	tr|A0A8B8YZA4|A0A8B8YZA4_BALMU
OG0000660	sp|E9PXX9|S28A1_MOUSE	tr|A0A8B8WL72|A0A8B8WL72_BALMU
OG0000660	sp|O88627|S28A2_MOUSE, tr|A2AWR5|A2AWR5_MOUSE	tr|A0A8B8WK55|A0A8B8WK55_BALMU
OG0000661	tr|O88933|O88933_MOUSE	tr|A0A8B8WF81|A0A8B8WF81_BALMU
OG0000661	sp|O35602|RX_MOUSE	tr|A0A8B8X6V4|A0A8B8X6V4_BALMU, tr|A0A8B8V4P2|A0A8B8V4P2_BALMU
OG0000662	sp|Q61554|FBN1_MOUSE	tr|A0A8B8WKY3|A0A8B8WKY3_BALMU
OG0000662	sp|Q61555|FBN2_MOUSE	tr|A0A8B8X0Z2|A0A8B8X0Z2_BALMU, tr|A0A8B8X5E1|A0A8B8X5E1_BALMU
OG0000663	sp|Q91ZX6|SENP2_MOUSE, tr|D3Z741|D3Z741_MOUSE, tr|G3X9P9|G3X9P9_MOUSE, tr|E9PXF3|E9PXF3_MOUSE	tr|A0A8C0CZE0|A0A8C0CZE0_BALMU
OG0000664	sp|O08739|AMPD3_MOUSE	tr|A0A8C0HYS5|A0A8C0HYS5_BALMU
OG0000664	sp|Q3V1D3|AMPD1_MOUSE	tr|A0A8B8YRE4|A0A8B8YRE4_BALMU, tr|A0A8B8X6Q7|A0A8B8X6Q7_BALMU
OG0000665	sp|Q6PCM2|INT6_MOUSE	tr|A0A8C0DZQ3|A0A8C0DZQ3_BALMU
OG0000665	tr|Q3UJ22|Q3UJ22_MOUSE, sp|Q8BND4|INT6L_MOUSE	tr|A0A8B8WFK7|A0A8B8WFK7_BALMU
OG0000666	sp|P24721|ASGR2_MOUSE	tr|A0A8B8W5P9|A0A8B8W5P9_BALMU
OG0000666	sp|P34927|ASGR1_MOUSE	tr|A0A8B8W5P8|A0A8B8W5P8_BALMU, tr|A0A8B8W2X5|A0A8B8W2X5_BALMU
OG0000667	sp|P24547|IMDH2_MOUSE	tr|A0A8B8YNI6|A0A8B8YNI6_BALMU
OG0000667	sp|P50096|IMDH1_MOUSE	tr|A0A8B8X7G7|A0A8B8X7G7_BALMU, tr|A0A8B8YJT2|A0A8B8YJT2_BALMU
OG0000668	sp|A2AF53|T185A_MOUSE	tr|A0A8B8WI97|A0A8B8WI97_BALMU, tr|A0A8B8WDL6|A0A8B8WDL6_BALMU
OG0000668	sp|Q8R3R5|T185B_MOUSE	tr|A0A8C0CLJ5|A0A8C0CLJ5_BALMU
OG0000669	sp|P59108|CPNE2_MOUSE	tr|A0A8C0DSL4|A0A8C0DSL4_BALMU
OG0000669	sp|Q8C166|CPNE1_MOUSE, sp|Q8BT60|CPNE3_MOUSE	tr|A0A8B8VNI0|A0A8B8VNI0_BALMU
OG0000670	sp|P26231|CTNA1_MOUSE	tr|A0A8B8X044|A0A8B8X044_BALMU, tr|A0A8B8XJG3|A0A8B8XJG3_BALMU
OG0000670	sp|Q61301|CTNA2_MOUSE	tr|A0A8B8Z4Y4|A0A8B8Z4Y4_BALMU
OG0000671	sp|P14211|CALR_MOUSE	tr|A0A8B8VQN0|A0A8B8VQN0_BALMU, tr|A0A8C0HWR6|A0A8C0HWR6_BALMU
OG0000671	tr|Q3TQS0|Q3TQS0_MOUSE	tr|A0A8B8XQF7|A0A8B8XQF7_BALMU
OG0000672	sp|Q7TMY7|IPO8_MOUSE	tr|A0A8B8YJE9|A0A8B8YJE9_BALMU
OG0000672	sp|Q9EPL8|IPO7_MOUSE	tr|A0A8B8XTA6|A0A8B8XTA6_BALMU, tr|A0A8B8Y0R5|A0A8B8Y0R5_BALMU
OG0000673	sp|Q99MJ9|DDX50_MOUSE	tr|A0A8B8VLF8|A0A8B8VLF8_BALMU, tr|A0A8B8XIY7|A0A8B8XIY7_BALMU
OG0000673	sp|Q9JIK5|DDX21_MOUSE	tr|A0A8C0ECU6|A0A8C0ECU6_BALMU
OG0000674	sp|P56812|PDCD5_MOUSE	tr|A0A8C0DZV6|A0A8C0DZV6_BALMU, tr|A0A8B8VMZ8|A0A8B8VMZ8_BALMU, tr|A0A8B8YRK7|A0A8B8YRK7_BALMU, tr|A0A8B8VXT2|A0A8B8VXT2_BALMU
OG0000675	sp|Q9WTN6|S22AL_MOUSE, sp|Q9Z0E8|S22A5_MOUSE	tr|A0A8B8WYK2|A0A8B8WYK2_BALMU
OG0000675	sp|Q9Z306|S22A4_MOUSE	tr|A0A8C0DLT8|A0A8C0DLT8_BALMU
OG0000676	tr|A0A1L1STQ7|A0A1L1STQ7_MOUSE, tr|Q3UV66|Q3UV66_MOUSE, tr|Q9Z0I6|Q9Z0I6_MOUSE, tr|Q9Z0I7|Q9Z0I7_MOUSE	tr|A0A8B8WBY9|A0A8B8WBY9_BALMU
OG0000677	sp|P13745|GSTA1_MOUSE, tr|Q6P8Q0|Q6P8Q0_MOUSE, sp|P10648|GSTA2_MOUSE, tr|E9Q6L7|E9Q6L7_MOUSE	tr|A0A8B8YUG6|A0A8B8YUG6_BALMU
OG0000678	sp|O88569|ROA2_MOUSE	tr|A0A8B8X110|A0A8B8X110_BALMU, tr|A0A8B8Y9J3|A0A8B8Y9J3_BALMU, tr|A0A8B8X108|A0A8B8X108_BALMU, tr|A0A8B8VEE3|A0A8B8VEE3_BALMU
OG0000679	sp|Q9Z185|PADI1_MOUSE	tr|A0A8B8YT59|A0A8B8YT59_BALMU
OG0000679	sp|Q9Z184|PADI3_MOUSE, sp|Q9Z183|PADI4_MOUSE	tr|A0A8B8VE00|A0A8B8VE00_BALMU
OG0000680	tr|O55179|O55179_MOUSE, tr|Q497M6|Q497M6_MOUSE, tr|Q0P538|Q0P538_MOUSE, sp|Q07440|B2LA1_MOUSE	tr|A0A8C0CSU7|A0A8C0CSU7_BALMU
OG0000681	sp|P62849|RS24_MOUSE	tr|A0A8B8YR84|A0A8B8YR84_BALMU, tr|A0A8B8XHY4|A0A8B8XHY4_BALMU, tr|A0A8B8VJJ0|A0A8B8VJJ0_BALMU, tr|A0A8B8VSA2|A0A8B8VSA2_BALMU
OG0000682	sp|Q8CGK6|IFNL3_MOUSE, sp|Q4VK74|IFNL2_MOUSE	tr|A0A8B8VDG4|A0A8B8VDG4_BALMU, tr|A0A8B8VZU6|A0A8B8VZU6_BALMU, tr|A0A8B8W0B8|A0A8B8W0B8_BALMU
OG0000683	sp|O88445|AURKC_MOUSE	tr|A0A8B8VTZ8|A0A8B8VTZ8_BALMU
OG0000683	sp|O70126|AURKB_MOUSE	tr|A0A8B8WME1|A0A8B8WME1_BALMU, tr|A0A8B8W2C7|A0A8B8W2C7_BALMU
OG0000684	sp|Q9Z0K8|VNN1_MOUSE	tr|A0A8B8Z1Q4|A0A8B8Z1Q4_BALMU
OG0000684	sp|Q9QZ25|VNN3_MOUSE	tr|A0A8C0DTZ7|A0A8C0DTZ7_BALMU, tr|A0A8B8Z1R7|A0A8B8Z1R7_BALMU
OG0000685	sp|Q9D8E6|RL4_MOUSE	tr|A0A8C0CIH8|A0A8C0CIH8_BALMU, tr|A0A8C0I0N9|A0A8C0I0N9_BALMU, tr|A0A8B8YQ65|A0A8B8YQ65_BALMU, tr|A0A8B8XXV2|A0A8B8XXV2_BALMU
OG0000686	tr|Q9D6S9|Q9D6S9_MOUSE, tr|Q8K198|Q8K198_MOUSE	tr|A0A8B8X7X8|A0A8B8X7X8_BALMU, tr|A0A8B8XAE8|A0A8B8XAE8_BALMU, tr|A0A8B8X7K1|A0A8B8X7K1_BALMU
OG0000687	sp|Q91X34|BAAT_MOUSE	tr|A0A8B8XSS7|A0A8B8XSS7_BALMU
OG0000687	sp|A2AKK5|ACNT1_MOUSE, sp|Q8BGG9|ACNT2_MOUSE	tr|A0A8B8XQY3|A0A8B8XQY3_BALMU
OG0000688	sp|P62821|RAB1A_MOUSE	tr|A0A8B8Z449|A0A8B8Z449_BALMU
OG0000688	sp|Q9D1G1|RAB1B_MOUSE	tr|A0A8B8XXM4|A0A8B8XXM4_BALMU, tr|A0A8B8Y7D0|A0A8B8Y7D0_BALMU
OG0000689	sp|P47964|RL36_MOUSE	tr|A0A8B8VLF4|A0A8B8VLF4_BALMU, tr|A0A8B8WWW2|A0A8B8WWW2_BALMU, tr|A0A8B8VYM2|A0A8B8VYM2_BALMU, tr|A0A8C0DNZ7|A0A8C0DNZ7_BALMU
OG0000690	sp|Q67E05|BPI_MOUSE	tr|A0A8B8VAJ9|A0A8B8VAJ9_BALMU
OG0000690	sp|Q61805|LBP_MOUSE	tr|A0A8C0E1B3|A0A8C0E1B3_BALMU, tr|A0A8B8V8G1|A0A8B8V8G1_BALMU
OG0000691	sp|Q5DU02|UBP22_MOUSE	tr|A0A8B8W6J1|A0A8B8W6J1_BALMU
OG0000691	sp|B1AY15|UBP51_MOUSE, sp|Q8CEG8|UBP27_MOUSE	tr|A0A8B8WDD6|A0A8B8WDD6_BALMU
OG0000692	tr|A0A1W2P860|A0A1W2P860_MOUSE, tr|J3QJV4|J3QJV4_MOUSE	tr|A0A8B8X7Z3|A0A8B8X7Z3_BALMU, tr|A0A8B8XAG8|A0A8B8XAG8_BALMU, tr|A0A8B8XAH1|A0A8B8XAH1_BALMU
OG0000693	sp|O70138|MMP8_MOUSE	tr|A0A8B8Y6A1|A0A8B8Y6A1_BALMU
OG0000693	sp|Q9EPL5|MMP1A_MOUSE, sp|Q9EPL6|MMP1B_MOUSE	tr|A0A8B8Y6V6|A0A8B8Y6V6_BALMU
OG0000694	sp|Q8VDB9|S620A_MOUSE, sp|O88575|S620B_MOUSE, tr|A0A1B0GSD2|A0A1B0GSD2_MOUSE, sp|O88576|S6A18_MOUSE	tr|A0A8B8YP70|A0A8B8YP70_BALMU
OG0000695	sp|Q811D2|ANR26_MOUSE, tr|E9PVZ3|E9PVZ3_MOUSE, tr|Q8CEQ9|Q8CEQ9_MOUSE, tr|Q9D5T2|Q9D5T2_MOUSE	tr|A0A8B8WQD4|A0A8B8WQD4_BALMU
OG0000696	sp|Q8BVM2|ANTRL_MOUSE	tr|A0A8B8VGJ4|A0A8B8VGJ4_BALMU
OG0000696	tr|A0A2I3BPJ2|A0A2I3BPJ2_MOUSE, sp|Q6DFX2|ANTR2_MOUSE	tr|A0A8B8XNV0|A0A8B8XNV0_BALMU
OG0000697	sp|Q99NB5|GSDMC_MOUSE, sp|Q3TR54|GSDC4_MOUSE, sp|Q2KHK6|GSDC2_MOUSE, sp|Q8CB12|GSDC3_MOUSE	tr|A0A8B8VPL5|A0A8B8VPL5_BALMU
OG0000698	sp|P63037|DNJA1_MOUSE	tr|A0A8C0HTF2|A0A8C0HTF2_BALMU
OG0000698	sp|Q9JMC3|DNJA4_MOUSE	tr|A0A8B8XKL6|A0A8B8XKL6_BALMU, tr|A0A8B8WJU0|A0A8B8WJU0_BALMU
OG0000699	sp|Q99KF1|TMED9_MOUSE	tr|A0A8C0HXU2|A0A8C0HXU2_BALMU
OG0000699	sp|Q8R1V4|TMED4_MOUSE	tr|A0A8B8X0U0|A0A8B8X0U0_BALMU, tr|A0A8B8YD10|A0A8B8YD10_BALMU
OG0000700	sp|Q9Z1V0|OLF49_MOUSE	tr|A0A8B8WL36|A0A8B8WL36_BALMU
OG0000700	tr|Q8VF30|Q8VF30_MOUSE, tr|E9Q0Z1|E9Q0Z1_MOUSE	tr|A0A8B8Y0M1|A0A8B8Y0M1_BALMU
OG0000701	sp|Q9CR35|CTRB1_MOUSE	tr|A0A8B8YHK5|A0A8B8YHK5_BALMU, tr|A0A8C0DUD7|A0A8C0DUD7_BALMU, tr|A0A8C0DTV2|A0A8C0DTV2_BALMU, tr|A0A8C0DSW6|A0A8C0DSW6_BALMU
OG0000702	sp|Q1JRP2|TM11C_MOUSE, sp|Q14C59|TM11B_MOUSE, sp|Q8BZ10|TM11G_MOUSE, sp|Q5S248|TM11E_MOUSE	tr|A0A8B8XF60|A0A8B8XF60_BALMU
OG0000703	sp|Q812C9|AOC2_MOUSE	tr|A0A8C0E2V9|A0A8C0E2V9_BALMU
OG0000703	sp|O70423|AOC3_MOUSE	tr|A0A8C0I6A5|A0A8C0I6A5_BALMU, tr|A0A8B8W385|A0A8B8W385_BALMU
OG0000704	sp|Q9QWG7|ST1B1_MOUSE	tr|A0A8B8XI34|A0A8B8XI34_BALMU
OG0000704	sp|Q9D939|ST1C2_MOUSE, sp|Q80VR3|ST1C1_MOUSE	tr|A0A8B8Z4N1|A0A8B8Z4N1_BALMU
OG0000705	sp|Q8BRK9|MA2A2_MOUSE	tr|A0A8C0CBT3|A0A8C0CBT3_BALMU
OG0000705	sp|O54782|MA2B2_MOUSE, sp|P27046|MA2A1_MOUSE	tr|A0A8C0CH87|A0A8C0CH87_BALMU
OG0000706	sp|P39655|LOX12_MOUSE	tr|A0A8B8W8N5|A0A8B8W8N5_BALMU
OG0000706	sp|P55249|LX12E_MOUSE, sp|P39654|LOX15_MOUSE	tr|A0A8B8WA55|A0A8B8WA55_BALMU
OG0000707	sp|J3QMK6|AL3B3_MOUSE, sp|E9Q3E1|AL3B2_MOUSE, sp|Q80VQ0|AL3B1_MOUSE	tr|A0A8B8Y628|A0A8B8Y628_BALMU, tr|A0A8C0CID0|A0A8C0CID0_BALMU
OG0000708	sp|Q8BJR6|PRS27_MOUSE, sp|Q80WM7|PRS33_MOUSE, tr|E9Q409|E9Q409_MOUSE, sp|Q9QYZ9|PRS30_MOUSE	tr|A0A8C0I0A2|A0A8C0I0A2_BALMU
OG0000709	tr|B4XVP9|B4XVP9_MOUSE, tr|B4XVQ1|B4XVQ1_MOUSE, sp|Q8BVM9|PH11A_MOUSE, sp|A6H5X4|PHF11_MOUSE	tr|A0A8B8VQT0|A0A8B8VQT0_BALMU
OG0000732	sp|Q04750|TOP1_MOUSE	tr|A0A8B8V8M2|A0A8B8V8M2_BALMU
OG0000732	sp|Q8R4U6|TOP1M_MOUSE	tr|A0A8B8VN59|A0A8B8VN59_BALMU
OG0000733	sp|P97291|CADH8_MOUSE	tr|A0A8B8W1R0|A0A8B8W1R0_BALMU
OG0000733	sp|P55288|CAD11_MOUSE	tr|A0A8C0DEG5|A0A8C0DEG5_BALMU
OG0000734	sp|P48026|SAT1_MOUSE	tr|A0A8C0E461|A0A8C0E461_BALMU
OG0000734	sp|Q9D5N8|SATL1_MOUSE	tr|A0A8B8WFK0|A0A8B8WFK0_BALMU
OG0000735	sp|Q9WTZ9|BEX3_MOUSE	tr|A0A8B8WFP5|A0A8B8WFP5_BALMU, tr|A0A8B8WFX5|A0A8B8WFX5_BALMU, tr|A0A8B8YU25|A0A8B8YU25_BALMU
OG0000736	tr|A0A494BAW1|A0A494BAW1_MOUSE	tr|A0A8B8WQB6|A0A8B8WQB6_BALMU
OG0000736	tr|A2AQ92|A2AQ92_MOUSE	tr|A0A8B8WK49|A0A8B8WK49_BALMU
OG0000737	sp|P70392|RGRF2_MOUSE	tr|A0A8B8X3I4|A0A8B8X3I4_BALMU
OG0000737	sp|P27671|RGRF1_MOUSE	tr|A0A8B8WWA7|A0A8B8WWA7_BALMU
OG0000738	sp|Q8VEE0|RPE_MOUSE	tr|A0A8B8XUJ0|A0A8B8XUJ0_BALMU, tr|A0A8B8YAX1|A0A8B8YAX1_BALMU, tr|A0A8B8VTH4|A0A8B8VTH4_BALMU
OG0000739	sp|P16283|B3A3_MOUSE	tr|A0A8B8XZ47|A0A8B8XZ47_BALMU
OG0000739	sp|P13808|B3A2_MOUSE	tr|A0A8B8YDZ5|A0A8B8YDZ5_BALMU
OG0000740	sp|Q9ERV1|MKRN2_MOUSE	tr|A0A8B8YXG4|A0A8B8YXG4_BALMU, tr|A0A8B8YY11|A0A8B8YY11_BALMU, tr|A0A8B8XES5|A0A8B8XES5_BALMU
OG0000741	sp|Q9Z130|HNRDL_MOUSE	tr|A0A8B8XCL0|A0A8B8XCL0_BALMU, tr|A0A8C0CEC0|A0A8C0CEC0_BALMU, tr|A0A8B8W9A1|A0A8B8W9A1_BALMU
OG0000742	sp|Q5F259|AN13B_MOUSE	tr|A0A8B8W319|A0A8B8W319_BALMU
OG0000742	sp|Q6PD24|AN13D_MOUSE	tr|A0A8C0CGZ6|A0A8C0CGZ6_BALMU
OG0000743	sp|P84104|SRSF3_MOUSE	tr|A0A8B8YTT3|A0A8B8YTT3_BALMU, tr|A0A8B8XC95|A0A8B8XC95_BALMU, tr|A0A8B8W8E3|A0A8B8W8E3_BALMU
OG0000744	sp|Q01965|LY9_MOUSE	tr|A0A8B8VWG2|A0A8B8VWG2_BALMU, tr|A0A8B8V3P9|A0A8B8V3P9_BALMU, tr|A0A8B8WMG9|A0A8B8WMG9_BALMU
OG0000745	sp|Q7TMB8|CYFP1_MOUSE	tr|A0A8B8Y5Z6|A0A8B8Y5Z6_BALMU
OG0000745	sp|Q5SQX6|CYFP2_MOUSE	tr|A0A8B8X496|A0A8B8X496_BALMU
OG0000746	sp|P0CW70|D19L2_MOUSE	tr|A0A8B8YCY9|A0A8B8YCY9_BALMU
OG0000746	sp|A6X919|D19L1_MOUSE	tr|A0A8B8YA52|A0A8B8YA52_BALMU
OG0000747	sp|Q62082|MYL10_MOUSE	tr|A0A8B8VBW0|A0A8B8VBW0_BALMU
OG0000747	sp|Q9QVP4|MLRA_MOUSE	tr|A0A8B8YAG6|A0A8B8YAG6_BALMU
OG0000748	sp|P28656|NP1L1_MOUSE	tr|A0A8B8YG16|A0A8B8YG16_BALMU, tr|A0A8B8YAX6|A0A8B8YAX6_BALMU, tr|A0A8C0I1B0|A0A8C0I1B0_BALMU
OG0000749	sp|Q8BHY3|ANO1_MOUSE	tr|A0A8B8YGC1|A0A8B8YGC1_BALMU
OG0000749	sp|Q8CFW1|ANO2_MOUSE	tr|A0A8B8YGM9|A0A8B8YGM9_BALMU
OG0000750	sp|Q99JY9|ARP3_MOUSE	tr|A0A8C0C5Y8|A0A8C0C5Y8_BALMU
OG0000750	sp|Q641P0|ARP3B_MOUSE	tr|A0A8B8Y9N3|A0A8B8Y9N3_BALMU
OG0000751	sp|Q9JJX8|ST32B_MOUSE	tr|A0A8C0CIS8|A0A8C0CIS8_BALMU
OG0000751	sp|Q8QZV4|ST32C_MOUSE	tr|A0A8C0DAC7|A0A8C0DAC7_BALMU
OG0000752	sp|Q8BL00|CDHR3_MOUSE, tr|D3Z1Y0|D3Z1Y0_MOUSE, tr|A0A1B0GR31|A0A1B0GR31_MOUSE	tr|A0A8C0CRQ2|A0A8C0CRQ2_BALMU
OG0000753	sp|Q91XD2|LIMS2_MOUSE	tr|A0A8C0HWN2|A0A8C0HWN2_BALMU
OG0000753	sp|Q99JW4|LIMS1_MOUSE	tr|A0A8B8Z4M1|A0A8B8Z4M1_BALMU
OG0000754	sp|Q3THS6|METK2_MOUSE	tr|A0A8B8Z0H2|A0A8B8Z0H2_BALMU
OG0000754	sp|Q91X83|METK1_MOUSE	tr|A0A8B8VJ07|A0A8B8VJ07_BALMU
OG0000755	sp|Q8C4V4|FBXL3_MOUSE	tr|A0A8B8VRH7|A0A8B8VRH7_BALMU
OG0000755	sp|Q8BFZ4|FXL21_MOUSE	tr|A0A8B8X360|A0A8B8X360_BALMU
OG0000756	sp|E9Q3M5|S4A5_MOUSE	tr|A0A8B8Z603|A0A8B8Z603_BALMU
OG0000756	sp|O88343|S4A4_MOUSE	tr|A0A8B8XFK6|A0A8B8XFK6_BALMU
OG0000757	sp|Q6VVW5|ANPRB_MOUSE	tr|A0A8B8XLM1|A0A8B8XLM1_BALMU
OG0000757	sp|P18293|ANPRA_MOUSE	tr|A0A8B8VPX9|A0A8B8VPX9_BALMU
OG0000758	sp|P24823|PPBN_MOUSE, tr|F8VPQ6|F8VPQ6_MOUSE, sp|P24822|PPBI_MOUSE	tr|A0A8B8XVT3|A0A8B8XVT3_BALMU
OG0000759	sp|Q9WTL8|BMAL1_MOUSE	tr|A0A8B8Y0U6|A0A8B8Y0U6_BALMU
OG0000759	sp|Q2VPD4|BMAL2_MOUSE	tr|A0A8B8YIC5|A0A8B8YIC5_BALMU
OG0000760	sp|Q9CQC9|SAR1B_MOUSE	tr|A0A8C0C5I4|A0A8C0C5I4_BALMU
OG0000760	sp|P36536|SAR1A_MOUSE	tr|A0A8B8VJ82|A0A8B8VJ82_BALMU
OG0000761	sp|Q9Z2C4|MTMR1_MOUSE	tr|A0A8B8WDQ7|A0A8B8WDQ7_BALMU
OG0000761	sp|Q9Z2D1|MTMR2_MOUSE	tr|A0A8C0CUL1|A0A8C0CUL1_BALMU
OG0000762	sp|Q9WVD5|ORNT1_MOUSE	tr|A0A8C0E1Z3|A0A8C0E1Z3_BALMU
OG0000762	tr|Q99ML6|Q99ML6_MOUSE	tr|A0A8B8X355|A0A8B8X355_BALMU
OG0000763	sp|Q9CWH6|PSMA8_MOUSE	tr|A0A8B8V3H8|A0A8B8V3H8_BALMU
OG0000763	sp|Q9Z2U0|PSA7_MOUSE	tr|A0A8C0D698|A0A8C0D698_BALMU
OG0000764	sp|Q6ZWV3|RL10_MOUSE	tr|A0A8B8WUK3|A0A8B8WUK3_BALMU, tr|A0A8B8X0Z1|A0A8B8X0Z1_BALMU, tr|A0A8B8WH93|A0A8B8WH93_BALMU
OG0000765	tr|A0A0N4SVQ0|A0A0N4SVQ0_MOUSE, sp|O70169|PRS39_MOUSE, sp|A6H6T1|PRS40_MOUSE	tr|A0A8B8XSY2|A0A8B8XSY2_BALMU
OG0000766	sp|Q14BX2|PRS55_MOUSE, sp|Q9D9M0|PRS52_MOUSE, tr|A0A286YDY8|A0A286YDY8_MOUSE	tr|A0A8B8XTR4|A0A8B8XTR4_BALMU
OG0000767	sp|P48301|TEAD2_MOUSE	tr|A0A8B8XBC4|A0A8B8XBC4_BALMU, tr|A0A8B8YCZ7|A0A8B8YCZ7_BALMU, tr|A0A8B8VZN4|A0A8B8VZN4_BALMU
OG0000768	sp|P35347|CRFR1_MOUSE	tr|A0A8B8W977|A0A8B8W977_BALMU
OG0000768	sp|Q60748|CRFR2_MOUSE	tr|A0A8B8YE45|A0A8B8YE45_BALMU
OG0000769	sp|Q8R493|ACHB4_MOUSE	tr|A0A8B8WRY1|A0A8B8WRY1_BALMU
OG0000769	sp|Q9ERK7|ACHB2_MOUSE	tr|A0A8B8V6S2|A0A8B8V6S2_BALMU
OG0000770	sp|Q9Z223|MOC2B_MOUSE	tr|A0A8B8WUY1|A0A8B8WUY1_BALMU, tr|A0A8B8XJW8|A0A8B8XJW8_BALMU, tr|A0A8B8X164|A0A8B8X164_BALMU
OG0000771	sp|Q8VCB3|GYS2_MOUSE	tr|A0A8B8YP85|A0A8B8YP85_BALMU
OG0000771	sp|Q9Z1E4|GYS1_MOUSE	tr|A0A8B8VVU8|A0A8B8VVU8_BALMU
OG0000772	sp|Q64280|LFTY1_MOUSE, sp|P57785|LFTY2_MOUSE	tr|A0A8C0CAQ3|A0A8C0CAQ3_BALMU, tr|A0A8B8Z7G5|A0A8B8Z7G5_BALMU
OG0000773	sp|Q9QXK3|COPG2_MOUSE	tr|A0A8B8YDS7|A0A8B8YDS7_BALMU
OG0000773	sp|Q9QZE5|COPG1_MOUSE	tr|A0A8C0DAK0|A0A8C0DAK0_BALMU
OG0000774	sp|Q8VII3|CST14_MOUSE	tr|A0A8B8VDB9|A0A8B8VDB9_BALMU
OG0000774	sp|Q9DAN8|CST12_MOUSE	tr|A0A8B8VCL2|A0A8B8VCL2_BALMU
OG0000775	sp|O70546|KDM6A_MOUSE	tr|A0A8B8WG37|A0A8B8WG37_BALMU
OG0000775	sp|P79457|UTY_MOUSE	tr|A0A8B8WIT0|A0A8B8WIT0_BALMU
OG0000776	sp|Q80TD3|FNIP2_MOUSE	tr|A0A8B8XI61|A0A8B8XI61_BALMU
OG0000776	sp|Q68FD7|FNIP1_MOUSE	tr|A0A8B8X4C0|A0A8B8X4C0_BALMU
