Orthogroup	Mus_musculus	Suricata_suricatta
OG0001452	sp|Q62245|SOS1_MOUSE	tr|A0A673SP62|A0A673SP62_SURSU
OG0001453	sp|Q6PGB8|SMCA1_MOUSE	tr|A0A673UGQ2|A0A673UGQ2_SURSU
OG0001453	sp|Q91ZW3|SMCA5_MOUSE	tr|A0A673SVF5|A0A673SVF5_SURSU
OG0001454	sp|Q9D9M2|UBP12_MOUSE	tr|A0A673SWM9|A0A673SWM9_SURSU
OG0001454	sp|P62069|UBP46_MOUSE	tr|A0A673T719|A0A673T719_SURSU
OG0001455	sp|Q9ERC8|DSCAM_MOUSE	tr|A0A673SX34|A0A673SX34_SURSU
OG0001455	sp|Q4VA61|DSCL1_MOUSE	tr|A0A673V602|A0A673V602_SURSU
OG0001456	sp|Q9WUD6|WNT8B_MOUSE	tr|A0A673U9A2|A0A673U9A2_SURSU
OG0001456	sp|Q64527|WNT8A_MOUSE	tr|A0A673SSX4|A0A673SSX4_SURSU
OG0001457	sp|O09046|OXLA_MOUSE, tr|Q5SPH3|Q5SPH3_MOUSE, tr|B1ARV3|B1ARV3_MOUSE	tr|A0A673V8C8|A0A673V8C8_SURSU
OG0001458	sp|P35585|AP1M1_MOUSE	tr|A0A673TLH6|A0A673TLH6_SURSU
OG0001458	sp|Q9WVP1|AP1M2_MOUSE	tr|A0A673UYR3|A0A673UYR3_SURSU
OG0001459	sp|Q6PAL8|DEN5A_MOUSE	tr|A0A673TUU2|A0A673TUU2_SURSU
OG0001459	sp|A2RSQ0|DEN5B_MOUSE	tr|A0A673UD10|A0A673UD10_SURSU
OG0001460	sp|Q7TN99|CPEB3_MOUSE	tr|A0A673T557|A0A673T557_SURSU
OG0001460	sp|Q812E0|CPEB2_MOUSE	tr|A0A673SSS8|A0A673SSS8_SURSU
OG0001461	sp|Q61626|GRIK5_MOUSE	tr|A0A673VHZ3|A0A673VHZ3_SURSU
OG0001461	sp|Q8BMF5|GRIK4_MOUSE	tr|A0A673TL97|A0A673TL97_SURSU
OG0001462	sp|Q8BSK8|KS6B1_MOUSE	tr|A0A673VRP0|A0A673VRP0_SURSU
OG0001462	sp|Q9Z1M4|KS6B2_MOUSE	tr|A0A673TRC8|A0A673TRC8_SURSU
OG0001463	sp|Q8VCC6|CCM2L_MOUSE	tr|A0A673UXV9|A0A673UXV9_SURSU
OG0001463	sp|Q8K2Y9|CCM2_MOUSE	tr|A0A673SZB7|A0A673SZB7_SURSU
OG0001464	sp|Q9D6F4|GBRA4_MOUSE	tr|A0A673TKP8|A0A673TKP8_SURSU
OG0001464	sp|P16305|GBRA6_MOUSE	tr|A0A673U0T7|A0A673U0T7_SURSU
OG0001465	sp|Q9Z2C4|MTMR1_MOUSE	tr|A0A673VEN4|A0A673VEN4_SURSU
OG0001465	sp|Q9Z2D1|MTMR2_MOUSE	tr|A0A673TLN1|A0A673TLN1_SURSU
OG0001466	sp|Q61391|NEP_MOUSE	tr|A0A673U5G4|A0A673U5G4_SURSU
OG0001466	sp|Q9JLI3|MMEL1_MOUSE	tr|A0A673TXS3|A0A673TXS3_SURSU
OG0001467	sp|Q9ES70|NEK6_MOUSE	tr|A0A673TJM8|A0A673TJM8_SURSU
OG0001467	sp|Q9ES74|NEK7_MOUSE	tr|A0A673TMP9|A0A673TMP9_SURSU
OG0001468	sp|Q9QZS5|SGK2_MOUSE	tr|A0A673VBZ5|A0A673VBZ5_SURSU
OG0001468	sp|Q9WVC6|SGK1_MOUSE	tr|A0A673UFB0|A0A673UFB0_SURSU
OG0001469	sp|A2RT60|HTRA4_MOUSE	tr|A0A673T7Y0|A0A673T7Y0_SURSU
OG0001469	sp|Q9R118|HTRA1_MOUSE	tr|A0A673T4Z6|A0A673T4Z6_SURSU
OG0001470	sp|P70312|HYAS2_MOUSE	tr|A0A673VC36|A0A673VC36_SURSU
OG0001470	sp|O08650|HYAS3_MOUSE	tr|A0A673U8K3|A0A673U8K3_SURSU
OG0001471	sp|P56383|AT5G2_MOUSE	tr|A0A673T3D5|A0A673T3D5_SURSU, tr|A0A673U707|A0A673U707_SURSU, tr|A0A673TSC0|A0A673TSC0_SURSU
OG0001472	sp|Q5SUA5|MYO1G_MOUSE	tr|A0A673SZK8|A0A673SZK8_SURSU
OG0001472	sp|Q5SYD0|MYO1D_MOUSE	tr|A0A673UQA0|A0A673UQA0_SURSU
OG0001473	sp|Q8R4C2|RUFY2_MOUSE	tr|A0A673U880|A0A673U880_SURSU
OG0001473	sp|Q8BIJ7|RUFY1_MOUSE	tr|A0A673T7C4|A0A673T7C4_SURSU
OG0001474	sp|P0DN90|T254B_MOUSE, sp|P0DN91|T254C_MOUSE, sp|P0DN89|T254A_MOUSE	tr|A0A673UM21|A0A673UM21_SURSU
OG0001475	sp|Q499E0|BRNP3_MOUSE	tr|A0A673TCC6|A0A673TCC6_SURSU
OG0001475	sp|Q6DFY8|BRNP2_MOUSE	tr|A0A673V4M2|A0A673V4M2_SURSU
OG0001476	sp|Q9D8N2|DEN10_MOUSE	tr|A0A673TD21|A0A673TD21_SURSU, tr|A0A673SUT6|A0A673SUT6_SURSU, tr|A0A673SVE1|A0A673SVE1_SURSU
OG0001477	sp|Q8R554|OTU7A_MOUSE	tr|A0A673UP57|A0A673UP57_SURSU
OG0001477	sp|B2RUR8|OTU7B_MOUSE	tr|A0A673TQY5|A0A673TQY5_SURSU
OG0001478	sp|P29037|TBP_MOUSE	tr|A0A673UPC1|A0A673UPC1_SURSU
OG0001478	sp|Q6SJ95|TBPL2_MOUSE	tr|A0A673UI89|A0A673UI89_SURSU
OG0001479	sp|Q6NZL8|SCUB1_MOUSE	tr|A0A673UNH9|A0A673UNH9_SURSU
OG0001479	sp|Q66PY1|SCUB3_MOUSE	tr|A0A673SYS0|A0A673SYS0_SURSU
OG0001480	sp|Q9Z2V4|PCKGC_MOUSE	tr|A0A673UQV0|A0A673UQV0_SURSU
OG0001480	sp|Q8BH04|PCKGM_MOUSE	tr|A0A673UPL7|A0A673UPL7_SURSU
OG0001481	sp|Q8R4I1|ATX7_MOUSE	tr|A0A673TJT9|A0A673TJT9_SURSU
OG0001481	sp|Q9CZ05|AT7L1_MOUSE	tr|A0A673UNV5|A0A673UNV5_SURSU
OG0001482	sp|Q9D0K2|SCOT1_MOUSE, sp|Q9ESL0|SCO2B_MOUSE, sp|Q9JJN4|SCO2A_MOUSE	tr|A0A673T6A6|A0A673T6A6_SURSU
OG0001483	sp|P56716|RP1_MOUSE	tr|A0A673VEJ8|A0A673VEJ8_SURSU
OG0001483	sp|C8YR32|LOXH1_MOUSE	tr|A0A673VVG7|A0A673VVG7_SURSU
OG0001484	tr|E9Q5M4|E9Q5M4_MOUSE	tr|A0A673U8N9|A0A673U8N9_SURSU
OG0001484	sp|O88532|ZFR_MOUSE	tr|A0A673SZ76|A0A673SZ76_SURSU
OG0001485	sp|Q9DBT4|ENTP4_MOUSE	tr|A0A673T209|A0A673T209_SURSU
OG0001485	sp|Q3TCT4|ENTP7_MOUSE	tr|A0A673UAD6|A0A673UAD6_SURSU
OG0001486	sp|Q9DBD2|MARH8_MOUSE	tr|A0A673SXF6|A0A673SXF6_SURSU
OG0001486	sp|Q6NZQ8|MARH1_MOUSE	tr|A0A673SXB9|A0A673SXB9_SURSU
OG0001488	sp|Q8BHY3|ANO1_MOUSE	tr|A0A673TC72|A0A673TC72_SURSU
OG0001488	sp|Q8CFW1|ANO2_MOUSE	tr|A0A673TUB9|A0A673TUB9_SURSU
OG0001489	sp|Q9DAK3|RHBT1_MOUSE	tr|A0A673TLM2|A0A673TLM2_SURSU
OG0001489	sp|Q91V93|RHBT2_MOUSE	tr|A0A673T7Z7|A0A673T7Z7_SURSU
OG0001490	sp|P48320|DCE2_MOUSE	tr|A0A673VAU4|A0A673VAU4_SURSU
OG0001490	sp|P48318|DCE1_MOUSE	tr|A0A673U365|A0A673U365_SURSU
OG0001491	sp|Q8C7U7|GALT6_MOUSE	tr|A0A673TIN6|A0A673TIN6_SURSU
OG0001491	sp|P70419|GALT3_MOUSE	tr|A0A673UUV3|A0A673UUV3_SURSU
OG0001492	sp|Q91X60|ACHA2_MOUSE	tr|A0A673THY9|A0A673THY9_SURSU
OG0001492	sp|O70174|ACHA4_MOUSE	tr|A0A673USD6|A0A673USD6_SURSU
OG0001493	sp|P98195|ATP9B_MOUSE	tr|A0A673V1R6|A0A673V1R6_SURSU
OG0001493	sp|O70228|ATP9A_MOUSE	tr|A0A673UNE5|A0A673UNE5_SURSU
OG0001494	sp|Q9JLC4|SORC1_MOUSE	tr|A0A673SYS2|A0A673SYS2_SURSU
OG0001494	sp|Q8VI51|SORC3_MOUSE	tr|A0A673T436|A0A673T436_SURSU
OG0001495	sp|O88904|HIPK1_MOUSE	tr|A0A673VSD8|A0A673VSD8_SURSU
OG0001495	sp|Q9QZR5|HIPK2_MOUSE	tr|A0A673SPX0|A0A673SPX0_SURSU
OG0001496	sp|Q61084|M3K3_MOUSE	tr|A0A673VUN1|A0A673VUN1_SURSU
OG0001496	sp|Q61083|M3K2_MOUSE	tr|A0A673SRG2|A0A673SRG2_SURSU
OG0001497	sp|Q810C0|SLIK2_MOUSE, sp|Q8C110|SLIK6_MOUSE, sp|Q810C1|SLIK1_MOUSE	tr|A0A673UUX8|A0A673UUX8_SURSU
OG0001498	sp|Q8R5C5|ACTY_MOUSE	tr|A0A673UGL2|A0A673UGL2_SURSU
OG0001498	sp|P61164|ACTZ_MOUSE	tr|A0A673SRK5|A0A673SRK5_SURSU
OG0001499	sp|Q9CQ74|LERL1_MOUSE	tr|A0A673T297|A0A673T297_SURSU
OG0001499	sp|O89013|OBRG_MOUSE	tr|A0A673USY5|A0A673USY5_SURSU
OG0001500	tr|A2AS37|A2AS37_MOUSE	tr|A0A673U8Z4|A0A673U8Z4_SURSU
OG0001500	sp|P06684|CO5_MOUSE	tr|A0A673U5T1|A0A673U5T1_SURSU
OG0001501	sp|P49282|NRAM2_MOUSE	tr|A0A673TMA0|A0A673TMA0_SURSU
OG0001501	sp|P41251|NRAM1_MOUSE	tr|A0A673TEC5|A0A673TEC5_SURSU
OG0001502	sp|P97717|ADA1B_MOUSE	tr|A0A673TUS7|A0A673TUS7_SURSU
OG0001502	sp|P97714|ADA1D_MOUSE	tr|A0A673TH90|A0A673TH90_SURSU
OG0001503	sp|E9PXF8|MTMRD_MOUSE	tr|A0A673TJM7|A0A673TJM7_SURSU
OG0001503	sp|Q6ZPE2|MTMR5_MOUSE	tr|A0A673UKS6|A0A673UKS6_SURSU
OG0001504	sp|Q8VHP8|RB40B_MOUSE	tr|A0A673VPR3|A0A673VPR3_SURSU
OG0001504	sp|Q8VHQ4|RB40C_MOUSE	tr|A0A673TYX2|A0A673TYX2_SURSU
OG0001505	sp|Q9JLM9|GRB14_MOUSE	tr|A0A673V447|A0A673V447_SURSU
OG0001505	sp|Q60760|GRB10_MOUSE	tr|A0A673T9A6|A0A673T9A6_SURSU
OG0001506	sp|Q80TJ7|PHF8_MOUSE	tr|A0A673V7Y9|A0A673V7Y9_SURSU
OG0001506	sp|Q9WTU0|PHF2_MOUSE	tr|A0A673UA01|A0A673UA01_SURSU
OG0001507	sp|Q922J3|CLIP1_MOUSE	tr|A0A673UWD8|A0A673UWD8_SURSU
OG0001507	sp|Q9Z0H8|CLIP2_MOUSE	tr|A0A673UBC6|A0A673UBC6_SURSU
OG0001508	sp|Q8BWW9|PKN2_MOUSE	tr|A0A673TJ64|A0A673TJ64_SURSU
OG0001508	sp|P70268|PKN1_MOUSE	tr|A0A673VEF8|A0A673VEF8_SURSU
OG0001509	sp|Q3UFJ6|T184A_MOUSE	tr|A0A673TNT9|A0A673TNT9_SURSU
OG0001509	sp|Q8BG09|T184B_MOUSE	tr|A0A673UTC6|A0A673UTC6_SURSU
OG0001510	sp|Q8C033|ARHGA_MOUSE	tr|A0A673SJP5|A0A673SJP5_SURSU
OG0001510	sp|A2AWP8|ARGAL_MOUSE	tr|A0A673TBD1|A0A673TBD1_SURSU
OG0001511	sp|P43024|CX6A1_MOUSE	tr|A0A673UEL6|A0A673UEL6_SURSU, tr|A0A673UE21|A0A673UE21_SURSU, tr|A0A673TPB8|A0A673TPB8_SURSU
OG0001512	sp|P49446|PTPRE_MOUSE	tr|A0A673TA48|A0A673TA48_SURSU
OG0001512	sp|P18052|PTPRA_MOUSE	tr|A0A673TZ42|A0A673TZ42_SURSU
OG0001513	sp|Q8C3F2|F120C_MOUSE	tr|A0A673V8P7|A0A673V8P7_SURSU
OG0001513	sp|Q6A0A9|F120A_MOUSE	tr|A0A673U6Y2|A0A673U6Y2_SURSU
OG0001514	tr|A0A0A6YVU8|A0A0A6YVU8_MOUSE, sp|Q9JKV1|ADRM1_MOUSE	tr|A0A673V6D5|A0A673V6D5_SURSU, tr|A0A673TN10|A0A673TN10_SURSU
OG0001515	sp|Q2M2N2|SPOPL_MOUSE	tr|A0A673T9N4|A0A673T9N4_SURSU
OG0001515	sp|Q6ZWS8|SPOP_MOUSE	tr|A0A673UKH5|A0A673UKH5_SURSU
OG0001517	sp|Q8BV66|IFI44_MOUSE	tr|A0A673U1W7|A0A673U1W7_SURSU
OG0001517	sp|Q9BDB7|IF44L_MOUSE	tr|A0A673U2A0|A0A673U2A0_SURSU
OG0001518	sp|Q91V76|CK054_MOUSE	tr|A0A673T4A7|A0A673T4A7_SURSU, tr|A0A673SZA2|A0A673SZA2_SURSU, tr|A0A673TEE2|A0A673TEE2_SURSU
OG0001519	sp|P40201|CHD1_MOUSE	tr|A0A673SR80|A0A673SR80_SURSU
OG0001519	sp|E9PZM4|CHD2_MOUSE	tr|A0A673T9I4|A0A673T9I4_SURSU
OG0001520	sp|Q9JKN6|NOVA1_MOUSE	tr|A0A673U2V0|A0A673U2V0_SURSU
OG0001520	sp|A0A1W2P872|NOVA2_MOUSE	tr|A0A673VL67|A0A673VL67_SURSU
OG0001521	tr|Q9D548|Q9D548_MOUSE	tr|A0A673VJ05|A0A673VJ05_SURSU
OG0001521	sp|P53996|CNBP_MOUSE	tr|A0A673TFE5|A0A673TFE5_SURSU
OG0001522	sp|Q4JIM5|ABL2_MOUSE	tr|A0A673VBL4|A0A673VBL4_SURSU
OG0001522	sp|P00520|ABL1_MOUSE	tr|A0A673T6V0|A0A673T6V0_SURSU
OG0001523	sp|Q6P9Z1|SMRD3_MOUSE	tr|A0A673TXF7|A0A673TXF7_SURSU
OG0001523	sp|Q61466|SMRD1_MOUSE	tr|A0A673TPN5|A0A673TPN5_SURSU
OG0001524	sp|Q80U63|MFN2_MOUSE	tr|A0A673TV83|A0A673TV83_SURSU
OG0001524	sp|Q811U4|MFN1_MOUSE	tr|A0A673TD43|A0A673TD43_SURSU
OG0001525	sp|O08709|PRDX6_MOUSE, tr|Q8BG37|Q8BG37_MOUSE	tr|A0A673UCI8|A0A673UCI8_SURSU, tr|A0A673TH65|A0A673TH65_SURSU
OG0001526	sp|Q3V1G4|OLM2B_MOUSE	tr|A0A673U0K9|A0A673U0K9_SURSU
OG0001526	sp|Q8BHP7|OLM2A_MOUSE	tr|A0A673T752|A0A673T752_SURSU
OG0001527	sp|Q9CR36|GKN1_MOUSE, sp|Q9D0T7|GKN3_MOUSE	tr|A0A673SS44|A0A673SS44_SURSU, tr|A0A673VKJ2|A0A673VKJ2_SURSU
OG0001528	tr|A0A286YDU8|A0A286YDU8_MOUSE	tr|A0A673TRP4|A0A673TRP4_SURSU
OG0001528	sp|Q8CFW7|C2D2A_MOUSE	tr|A0A673T361|A0A673T361_SURSU
OG0001529	sp|Q8N7N5|DCAF8_MOUSE	tr|A0A673TJA0|A0A673TJA0_SURSU
OG0001529	tr|A2AHY8|A2AHY8_MOUSE	tr|A0A673UYU8|A0A673UYU8_SURSU
OG0001530	sp|O35683|NDUA1_MOUSE	tr|A0A673SKG8|A0A673SKG8_SURSU, tr|A0A673VND5|A0A673VND5_SURSU, tr|A0A673ST44|A0A673ST44_SURSU
OG0001531	sp|Q8BSM7|LAT3_MOUSE	tr|A0A673U625|A0A673U625_SURSU
OG0001531	sp|Q8CGA3|LAT4_MOUSE	tr|A0A673VRR4|A0A673VRR4_SURSU
OG0001532	sp|Q8K458|PKR2_MOUSE	tr|A0A673TB35|A0A673TB35_SURSU
OG0001532	sp|Q9JKL1|PKR1_MOUSE	tr|A0A673SNE5|A0A673SNE5_SURSU
OG0001533	sp|O88487|DC1I2_MOUSE	tr|A0A673VS49|A0A673VS49_SURSU
OG0001533	sp|O88485|DC1I1_MOUSE	tr|A0A673SML3|A0A673SML3_SURSU
OG0001534	sp|P51682|CCR5_MOUSE	tr|A0A673U0F7|A0A673U0F7_SURSU
OG0001534	sp|P51683|CCR2_MOUSE	tr|A0A673TTB0|A0A673TTB0_SURSU
OG0001535	sp|Q9QYS2|GRM3_MOUSE	tr|A0A673T2U6|A0A673T2U6_SURSU
OG0001535	sp|Q14BI2|GRM2_MOUSE	tr|A0A673T9S6|A0A673T9S6_SURSU
OG0001536	sp|A2A5R2|BIG2_MOUSE	tr|A0A673V8U9|A0A673V8U9_SURSU
OG0001536	sp|G3X9K3|BIG1_MOUSE	tr|A0A673UXP1|A0A673UXP1_SURSU
OG0001537	sp|Q2MKA5|ACHA5_MOUSE	tr|A0A673UIC4|A0A673UIC4_SURSU
OG0001537	sp|Q8BMN3|ACHB3_MOUSE	tr|A0A673T033|A0A673T033_SURSU
OG0001538	sp|Q8BNX1|CLC4G_MOUSE	tr|A0A673TKD2|A0A673TKD2_SURSU, tr|A0A673TJM5|A0A673TJM5_SURSU, tr|A0A673VN70|A0A673VN70_SURSU
OG0001539	sp|Q9R194|CRY2_MOUSE	tr|A0A673U6I2|A0A673U6I2_SURSU
OG0001539	sp|P97784|CRY1_MOUSE	tr|A0A673TG07|A0A673TG07_SURSU
OG0001540	sp|Q99KH8|STK24_MOUSE	tr|A0A673TI81|A0A673TI81_SURSU
OG0001540	sp|Q9Z2W1|STK25_MOUSE	tr|A0A673T2G9|A0A673T2G9_SURSU
OG0001541	sp|P30966|5HT5A_MOUSE	tr|A0A673TKN1|A0A673TKN1_SURSU
OG0001541	sp|P31387|5HT5B_MOUSE	tr|A0A673THN6|A0A673THN6_SURSU
OG0001542	sp|Q00941|CSF2R_MOUSE	tr|A0A673VSA8|A0A673VSA8_SURSU
OG0001542	sp|P26952|IL3RA_MOUSE	tr|A0A673VHJ4|A0A673VHJ4_SURSU
OG0001543	sp|Q3ULA2|FBW1A_MOUSE	tr|A0A673UFB7|A0A673UFB7_SURSU
OG0001543	sp|Q5SRY7|FBW1B_MOUSE	tr|A0A673UB88|A0A673UB88_SURSU
OG0001545	sp|Q8R4X3|RBM12_MOUSE, sp|Q80YR9|R12BA_MOUSE, sp|Q66JV4|R12BB_MOUSE	tr|A0A673UZ59|A0A673UZ59_SURSU
OG0001546	sp|Q8BRB7|KAT6B_MOUSE	tr|A0A673UVS0|A0A673UVS0_SURSU
OG0001546	sp|Q8BZ21|KAT6A_MOUSE	tr|A0A673SM66|A0A673SM66_SURSU
OG0001547	sp|Q9D6K9|CERS5_MOUSE	tr|A0A673TZ87|A0A673TZ87_SURSU
OG0001547	sp|Q8C172|CERS6_MOUSE	tr|A0A673U9I3|A0A673U9I3_SURSU
OG0001548	sp|Q9QUS6|TRIM1_MOUSE	tr|A0A673UTP0|A0A673UTP0_SURSU
OG0001548	sp|O70583|TRI18_MOUSE	tr|A0A673UAK5|A0A673UAK5_SURSU
OG0001549	sp|Q924H0|NPFF2_MOUSE	tr|A0A673SP16|A0A673SP16_SURSU
OG0001549	tr|E9Q468|E9Q468_MOUSE	tr|A0A673VG31|A0A673VG31_SURSU
OG0001550	sp|Q9WV60|GSK3B_MOUSE	tr|A0A673SU43|A0A673SU43_SURSU
OG0001550	sp|Q2NL51|GSK3A_MOUSE	tr|A0A673VRA8|A0A673VRA8_SURSU
OG0001551	sp|P28184|MT3_MOUSE	tr|A0A673SXV5|A0A673SXV5_SURSU, tr|A0A673UA67|A0A673UA67_SURSU, tr|A0A673VAZ9|A0A673VAZ9_SURSU
OG0001552	sp|P84444|CC21A_MOUSE, sp|P86792|CC21B_MOUSE, sp|P86793|CC21C_MOUSE	tr|A0A673USM1|A0A673USM1_SURSU
OG0001553	tr|Q7TRW7|Q7TRW7_MOUSE	tr|A0A673VA23|A0A673VA23_SURSU, tr|A0A673VAA5|A0A673VAA5_SURSU, tr|A0A673VJB1|A0A673VJB1_SURSU
OG0001554	sp|Q7JJ13|BRD2_MOUSE	tr|A0A673U0Z0|A0A673U0Z0_SURSU
OG0001554	sp|Q8K2F0|BRD3_MOUSE	tr|A0A673VTB9|A0A673VTB9_SURSU
OG0001555	sp|Q8VC57|KCTD5_MOUSE	tr|A0A673U6F7|A0A673U6F7_SURSU
OG0001555	sp|Q8CEZ0|KCTD2_MOUSE	tr|A0A673VMZ1|A0A673VMZ1_SURSU
OG0001556	sp|Q9DC28|KC1D_MOUSE	tr|A0A673VD93|A0A673VD93_SURSU
OG0001556	sp|Q9JMK2|KC1E_MOUSE	tr|A0A673UFL1|A0A673UFL1_SURSU
OG0001557	sp|Q9DCG9|TR112_MOUSE	tr|A0A673UXS2|A0A673UXS2_SURSU, tr|A0A673UJW6|A0A673UJW6_SURSU, tr|A0A673VHP4|A0A673VHP4_SURSU
OG0001558	sp|Q9JJN2|ZFHX4_MOUSE	tr|A0A673VGA5|A0A673VGA5_SURSU
OG0001558	sp|Q61329|ZFHX3_MOUSE	tr|A0A673V578|A0A673V578_SURSU
OG0001559	sp|Q569E7|ZN697_MOUSE	tr|A0A673UDH0|A0A673UDH0_SURSU
OG0001559	sp|Q8BLB0|ZFP3_MOUSE	tr|A0A673V8I0|A0A673V8I0_SURSU
OG0001560	tr|A0A140T8I4|A0A140T8I4_MOUSE, sp|Q8CFI2|UB2R1_MOUSE	tr|A0A673TD82|A0A673TD82_SURSU, tr|A0A673V3E9|A0A673V3E9_SURSU
OG0001561	sp|Q3UYK3|TBCD9_MOUSE	tr|A0A673SPC4|A0A673SPC4_SURSU
OG0001561	sp|Q5SVR0|TBC9B_MOUSE	tr|A0A673T9A0|A0A673T9A0_SURSU
OG0001562	sp|P97367|MEIS2_MOUSE	tr|A0A673UI06|A0A673UI06_SURSU
OG0001562	sp|Q60954|MEIS1_MOUSE	tr|A0A673SWE7|A0A673SWE7_SURSU
OG0001563	sp|Q8BJQ9|CGAT1_MOUSE	tr|A0A673T257|A0A673T257_SURSU
OG0001563	sp|Q8C1F4|CGAT2_MOUSE	tr|A0A673SYV8|A0A673SYV8_SURSU
OG0001564	sp|P24526|MYP2_MOUSE	tr|A0A673VJF0|A0A673VJF0_SURSU
OG0001564	sp|O08716|FABP9_MOUSE	tr|A0A673VJ57|A0A673VJ57_SURSU
OG0001565	sp|P56183|RRP1_MOUSE	tr|A0A673T249|A0A673T249_SURSU
OG0001565	sp|Q91YK2|RRP1B_MOUSE	tr|A0A673T007|A0A673T007_SURSU
OG0001566	sp|Q9QZ29|IGB1B_MOUSE, sp|Q61249|IGBP1_MOUSE	tr|A0A673UD65|A0A673UD65_SURSU, tr|A0A673VAV2|A0A673VAV2_SURSU
OG0001567	sp|Q62158|TRI27_MOUSE	tr|A0A673SYL1|A0A673SYL1_SURSU
OG0001567	sp|Q9JJ26|MEFV_MOUSE	tr|A0A673UK03|A0A673UK03_SURSU
OG0001568	sp|A7M7C7|SKOR2_MOUSE	tr|A0A673VUR2|A0A673VUR2_SURSU
OG0001568	sp|Q8BX46|SKOR1_MOUSE	tr|A0A673TGG2|A0A673TGG2_SURSU
OG0001569	sp|P97479|MYO7A_MOUSE	tr|A0A673TTH2|A0A673TTH2_SURSU
OG0001569	sp|Q99MZ6|MYO7B_MOUSE	tr|A0A673T2R4|A0A673T2R4_SURSU
OG0001570	sp|Q9CTH6|FCF1_MOUSE	tr|A0A673TJK1|A0A673TJK1_SURSU, tr|A0A673TMJ0|A0A673TMJ0_SURSU, tr|A0A673UAP1|A0A673UAP1_SURSU
OG0001571	sp|Q4PZA2|ECE1_MOUSE	tr|A0A673U2K5|A0A673U2K5_SURSU
OG0001571	sp|P0DPD9|EFCE2_MOUSE	tr|A0A673UBW0|A0A673UBW0_SURSU
OG0001572	sp|P48542|KCNJ6_MOUSE	tr|A0A673SV79|A0A673SV79_SURSU
OG0001572	sp|P48545|KCNJ5_MOUSE	tr|A0A673TV87|A0A673TV87_SURSU
OG0001573	sp|Q3TYU2|AT135_MOUSE	tr|A0A673TDB0|A0A673TDB0_SURSU
OG0001573	sp|Q5XF90|AT134_MOUSE	tr|A0A673T1V2|A0A673T1V2_SURSU
OG0001574	sp|O35643|AP1B1_MOUSE	tr|A0A673TRA6|A0A673TRA6_SURSU
OG0001574	sp|Q9DBG3|AP2B1_MOUSE	tr|A0A673UWG6|A0A673UWG6_SURSU
OG0001575	sp|P51829|ADCY7_MOUSE	tr|A0A673VQ68|A0A673VQ68_SURSU
OG0001575	sp|Q80TL1|ADCY2_MOUSE	tr|A0A673T961|A0A673T961_SURSU
OG0001576	sp|P70194|CLC4F_MOUSE	tr|A0A673T558|A0A673T558_SURSU
OG0001576	sp|Q8VBX4|CLC4K_MOUSE	tr|A0A673T5B8|A0A673T5B8_SURSU
OG0001577	sp|Q9EST1|GSDMA_MOUSE, sp|Q5Y4Y6|GSDA3_MOUSE, sp|Q32M21|GSDA2_MOUSE	tr|A0A673UE54|A0A673UE54_SURSU
OG0001578	sp|Q7TT45|RRAGD_MOUSE	tr|A0A673TX21|A0A673TX21_SURSU
OG0001578	sp|Q99K70|RRAGC_MOUSE	tr|A0A673UIX8|A0A673UIX8_SURSU
OG0001579	tr|E9PUA5|E9PUA5_MOUSE, sp|Q9QWT9|KIFC1_MOUSE	tr|A0A673U4E3|A0A673U4E3_SURSU, tr|A0A673U165|A0A673U165_SURSU
OG0001580	sp|O08736|CASPC_MOUSE, sp|P29452|CASP1_MOUSE, sp|P70343|CASP4_MOUSE	tr|A0A673TFK7|A0A673TFK7_SURSU
OG0001581	sp|P0DM65|BECN2_MOUSE	tr|A0A673TAF4|A0A673TAF4_SURSU
OG0001581	sp|O88597|BECN1_MOUSE	tr|A0A673V270|A0A673V270_SURSU
OG0001582	sp|P53657|KPYR_MOUSE	tr|A0A673T584|A0A673T584_SURSU
OG0001582	sp|P52480|KPYM_MOUSE	tr|A0A673U7I6|A0A673U7I6_SURSU
OG0001583	sp|Q9EPL8|IPO7_MOUSE	tr|A0A673U025|A0A673U025_SURSU
OG0001583	sp|Q7TMY7|IPO8_MOUSE	tr|A0A673UH44|A0A673UH44_SURSU
OG0001584	sp|P45481|CBP_MOUSE	tr|A0A673UX92|A0A673UX92_SURSU
OG0001584	sp|B2RWS6|EP300_MOUSE	tr|A0A673VA06|A0A673VA06_SURSU
OG0001585	sp|Q5ND56|TLC3A_MOUSE	tr|A0A673UFM8|A0A673UFM8_SURSU
OG0001585	sp|Q7TNV1|TLC3B_MOUSE	tr|A0A673VFA3|A0A673VFA3_SURSU
OG0001586	sp|Q6JPI3|MD13L_MOUSE	tr|A0A673V670|A0A673V670_SURSU
OG0001586	sp|Q5SWW4|MED13_MOUSE	tr|A0A673VRR3|A0A673VRR3_SURSU
OG0001587	sp|P58390|KCNN2_MOUSE	tr|A0A673SV77|A0A673SV77_SURSU
OG0001587	sp|Q9EQR3|KCNN1_MOUSE	tr|A0A673UHG6|A0A673UHG6_SURSU
OG0001588	tr|G3X8R7|G3X8R7_MOUSE	tr|A0A673UW47|A0A673UW47_SURSU, tr|A0A673VU27|A0A673VU27_SURSU, tr|A0A673UVN3|A0A673UVN3_SURSU
OG0001589	sp|P35487|ODPAT_MOUSE	tr|A0A673U1Z4|A0A673U1Z4_SURSU
