Orthogroup	Mus_musculus	Loxodonta_africana
OG0000969	sp|Q62280|SSXT_MOUSE	tr|G3SXS7|G3SXS7_LOXAF
OG0000969	sp|Q8BW22|CREST_MOUSE	tr|G3UCG8|G3UCG8_LOXAF
OG0000970	tr|E9PZS7|E9PZS7_MOUSE, tr|A0A2I3BRI6|A0A2I3BRI6_MOUSE	tr|G3TT24|G3TT24_LOXAF, tr|G3UH00|G3UH00_LOXAF
OG0000972	sp|Q6GYP7|RGPA1_MOUSE	tr|G3T1G7|G3T1G7_LOXAF
OG0000972	sp|A3KGS3|RGPA2_MOUSE	tr|G3T7T9|G3T7T9_LOXAF
OG0000973	sp|P47739|AL3A1_MOUSE	tr|G3SRD0|G3SRD0_LOXAF
OG0000973	sp|P47740|AL3A2_MOUSE	tr|G3SRD4|G3SRD4_LOXAF
OG0000974	sp|Q5STE3|FSTL4_MOUSE	tr|G3TD55|G3TD55_LOXAF
OG0000974	sp|Q8BFR2|FSTL5_MOUSE	tr|G3SWU7|G3SWU7_LOXAF
OG0000975	sp|Q8K4G2|CONA1_MOUSE, sp|Q99MQ5|COPA1_MOUSE	tr|G3U090|G3U090_LOXAF, tr|G3T2A5|G3T2A5_LOXAF
OG0000976	sp|P06909|CFAH_MOUSE, tr|E9Q8B5|E9Q8B5_MOUSE	tr|G3U7N2|G3U7N2_LOXAF, tr|G3TCF6|G3TCF6_LOXAF
OG0000977	sp|Q8VDJ3|VIGLN_MOUSE, tr|Q8BVT7|Q8BVT7_MOUSE, tr|B1AXN3|B1AXN3_MOUSE	tr|G3TDX9|G3TDX9_LOXAF
OG0000978	sp|Q8BND4|INT6L_MOUSE	tr|G3U237|G3U237_LOXAF
OG0000978	sp|Q6PCM2|INT6_MOUSE	tr|G3U4J0|G3U4J0_LOXAF
OG0000979	sp|A2AQW0|M3K15_MOUSE	tr|G3T3Q6|G3T3Q6_LOXAF
OG0000979	sp|O35099|M3K5_MOUSE	tr|G3SM05|G3SM05_LOXAF
OG0000980	sp|Q3TRM4|PLPL6_MOUSE	tr|G3TCL9|G3TCL9_LOXAF
OG0000980	sp|A2AJ88|PLPL7_MOUSE	tr|G3T5N9|G3T5N9_LOXAF
OG0000981	sp|Q9D256|ISK12_MOUSE, sp|Q8BT20|ISK6_MOUSE, tr|M0QWD8|M0QWD8_MOUSE	tr|G3TGW9|G3TGW9_LOXAF
OG0000982	sp|Q8C9H6|STRP2_MOUSE	tr|G3TPU8|G3TPU8_LOXAF
OG0000982	sp|Q8C079|STRP1_MOUSE	tr|G5E6X5|G5E6X5_LOXAF
OG0000983	sp|Q80TJ1|CAPS1_MOUSE	tr|G3T5T7|G3T5T7_LOXAF
OG0000983	sp|Q8BYR5|CAPS2_MOUSE	tr|G3U7M0|G3U7M0_LOXAF
OG0000984	sp|O35347|DGCR6_MOUSE	tr|G3SY37|G3SY37_LOXAF, tr|G3UHL6|G3UHL6_LOXAF, tr|G3UKU1|G3UKU1_LOXAF
OG0000985	sp|P57785|LFTY2_MOUSE, sp|Q64280|LFTY1_MOUSE	tr|G3SPU8|G3SPU8_LOXAF, tr|G3SPV1|G3SPV1_LOXAF
OG0000986	sp|Q3UU96|MRCKA_MOUSE	tr|G3SQM7|G3SQM7_LOXAF
OG0000986	sp|Q7TT50|MRCKB_MOUSE	tr|G3U7V3|G3U7V3_LOXAF
OG0000987	sp|Q8K1X4|NCKPL_MOUSE	tr|G3T6U3|G3T6U3_LOXAF
OG0000987	sp|P28660|NCKP1_MOUSE	tr|G3U357|G3U357_LOXAF
OG0000988	sp|Q80XL6|ACD11_MOUSE, tr|D3Z7X0|D3Z7X0_MOUSE, sp|Q8K370|ACD10_MOUSE	tr|G3TE92|G3TE92_LOXAF
OG0000989	sp|Q9QXE7|TBL1X_MOUSE	tr|G3TNE0|G3TNE0_LOXAF
OG0000989	sp|Q8BHJ5|TBL1R_MOUSE	tr|G3TMD6|G3TMD6_LOXAF
OG0000990	sp|Q8BUN5|SMAD3_MOUSE	tr|G3TQF5|G3TQF5_LOXAF
OG0000990	sp|Q62432|SMAD2_MOUSE	tr|G3SL58|G3SL58_LOXAF
OG0000991	sp|Q8VCB3|GYS2_MOUSE	tr|G3SMP7|G3SMP7_LOXAF
OG0000991	sp|Q9Z1E4|GYS1_MOUSE	tr|G3SZN0|G3SZN0_LOXAF
OG0000992	sp|Q61598|GDIB_MOUSE	tr|G3T2W8|G3T2W8_LOXAF
OG0000992	sp|P50396|GDIA_MOUSE	tr|G3T2G4|G3T2G4_LOXAF
OG0000993	sp|Q9CWE6|OOEP_MOUSE	tr|G3TA07|G3TA07_LOXAF, tr|G3TA04|G3TA04_LOXAF, tr|G3U5J0|G3U5J0_LOXAF
OG0000994	sp|Q641P0|ARP3B_MOUSE	tr|G3TU07|G3TU07_LOXAF
OG0000994	sp|Q99JY9|ARP3_MOUSE	tr|G3TB55|G3TB55_LOXAF
OG0000995	sp|Q9QZE5|COPG1_MOUSE	tr|G3TCA2|G3TCA2_LOXAF
OG0000995	sp|Q9QXK3|COPG2_MOUSE	tr|G5E741|G5E741_LOXAF
OG0000996	sp|P61965|WDR5_MOUSE	tr|G3T717|G3T717_LOXAF
OG0000996	sp|Q9D7H2|WDR5B_MOUSE	tr|G3TG94|G3TG94_LOXAF
OG0000997	sp|Q9DBP0|NPT2B_MOUSE	tr|G3T878|G3T878_LOXAF, tr|G3TB42|G3TB42_LOXAF, tr|G3TT08|G3TT08_LOXAF
OG0000998	sp|Q8BGX1|PED1B_MOUSE	tr|G3TVB5|G3TVB5_LOXAF
OG0000998	sp|Q6P1Z5|PED1A_MOUSE	tr|G3U4B0|G3U4B0_LOXAF
OG0000999	sp|Q7TMI3|UHRF2_MOUSE	tr|G3SM59|G3SM59_LOXAF
OG0000999	sp|Q8VDF2|UHRF1_MOUSE	tr|G3U795|G3U795_LOXAF
OG0001000	sp|Q4VA61|DSCL1_MOUSE	tr|G3TN36|G3TN36_LOXAF
OG0001000	sp|Q9ERC8|DSCAM_MOUSE	tr|G3SW45|G3SW45_LOXAF
OG0001001	tr|B9EHE6|B9EHE6_MOUSE	tr|G3TEV0|G3TEV0_LOXAF, tr|G3UM59|G3UM59_LOXAF, tr|G3TQ89|G3TQ89_LOXAF
OG0001002	sp|P18052|PTPRA_MOUSE	tr|G3UK63|G3UK63_LOXAF
OG0001002	sp|P49446|PTPRE_MOUSE	tr|G3T1W2|G3T1W2_LOXAF
OG0001003	tr|Q7TS18|Q7TS18_MOUSE	tr|G3U7V0|G3U7V0_LOXAF, tr|G3U9Q1|G3U9Q1_LOXAF, tr|G3ULA2|G3ULA2_LOXAF
OG0001004	sp|Q8CHG7|RPGF2_MOUSE	tr|G3SLG2|G3SLG2_LOXAF
OG0001004	tr|Q5NCJ1|Q5NCJ1_MOUSE	tr|G3SLS5|G3SLS5_LOXAF
OG0001005	sp|Q9CZW4|ACSL3_MOUSE	tr|G3SNX6|G3SNX6_LOXAF
OG0001005	sp|Q9QUJ7|ACSL4_MOUSE	tr|G3TMX1|G3TMX1_LOXAF
OG0001006	sp|Q5XPT3|LARG2_MOUSE	tr|G3TP39|G3TP39_LOXAF
OG0001006	sp|Q9Z1M7|LARG1_MOUSE	tr|G3TKC6|G3TKC6_LOXAF
OG0001007	sp|Q9ESD7|DYSF_MOUSE	tr|G3U2T8|G3U2T8_LOXAF
OG0001007	sp|Q69ZN7|MYOF_MOUSE	tr|G3UBG7|G3UBG7_LOXAF
OG0001008	sp|Q4ACU6|SHAN3_MOUSE	tr|G3UBH2|G3UBH2_LOXAF
OG0001008	sp|Q80Z38|SHAN2_MOUSE	tr|G3TLB5|G3TLB5_LOXAF
OG0001009	tr|A0A286YCV9|A0A286YCV9_MOUSE	tr|G3SUG2|G3SUG2_LOXAF
OG0001009	sp|Q9EQW7|KI13A_MOUSE	tr|G3T257|G3T257_LOXAF
OG0001010	sp|Q7M759|AB17B_MOUSE	tr|G3TS35|G3TS35_LOXAF
OG0001010	sp|Q8VCV1|AB17C_MOUSE	tr|G3UIN8|G3UIN8_LOXAF
OG0001011	sp|Q9JJZ9|CNGB3_MOUSE	tr|G3SS84|G3SS84_LOXAF
OG0001011	tr|E1AZ71|E1AZ71_MOUSE	tr|G3SYD6|G3SYD6_LOXAF
OG0001012	sp|Q8C255|DPEP2_MOUSE	tr|G3T5L1|G3T5L1_LOXAF
OG0001012	sp|Q9DA79|DPEP3_MOUSE	tr|G3T5K7|G3T5K7_LOXAF
OG0001013	sp|Q9ESE1|LRBA_MOUSE	tr|G3TCN9|G3TCN9_LOXAF
OG0001013	sp|Q9EPN1|NBEA_MOUSE	tr|G3T7F2|G3T7F2_LOXAF
OG0001014	sp|Q0VE82|CPNE7_MOUSE	tr|G3THC7|G3THC7_LOXAF
OG0001014	sp|Q8BLR2|CPNE4_MOUSE	tr|G3T8X6|G3T8X6_LOXAF
OG0001015	tr|A2AQ92|A2AQ92_MOUSE	tr|G3TI83|G3TI83_LOXAF
OG0001015	tr|A0A494BAW1|A0A494BAW1_MOUSE	tr|G3TI59|G3TI59_LOXAF
OG0001016	sp|E9Q4N7|ARI1B_MOUSE	tr|G3T8M1|G3T8M1_LOXAF
OG0001016	sp|A2BH40|ARI1A_MOUSE	tr|G3TJ68|G3TJ68_LOXAF
OG0001017	sp|Q9D2N4|DTNA_MOUSE	tr|G3SX34|G3SX34_LOXAF
OG0001017	sp|O70585|DTNB_MOUSE	tr|G3TAU6|G3TAU6_LOXAF
OG0001018	sp|Q8VE73|CUL7_MOUSE	tr|G3TIH5|G3TIH5_LOXAF
OG0001018	sp|Q80TT8|CUL9_MOUSE	tr|G3T5B8|G3T5B8_LOXAF
OG0001019	sp|A2AGH6|MED12_MOUSE	tr|G3UM84|G3UM84_LOXAF
OG0001019	sp|Q8BQM9|MD12L_MOUSE	tr|G3UCI9|G3UCI9_LOXAF
OG0001020	tr|Q7TQQ3|Q7TQQ3_MOUSE	tr|G3UNA2|G3UNA2_LOXAF
OG0001020	tr|Q8VG11|Q8VG11_MOUSE	tr|G3TDK3|G3TDK3_LOXAF
OG0001021	tr|F8VQ05|F8VQ05_MOUSE	tr|G3SS11|G3SS11_LOXAF
OG0001021	sp|E9Q8I9|FRY_MOUSE	tr|G3SQX8|G3SQX8_LOXAF
OG0001022	sp|Q8BZF8|PGM5_MOUSE	tr|G3U0B4|G3U0B4_LOXAF
OG0001022	sp|Q9D0F9|PGM1_MOUSE	tr|G3SV06|G3SV06_LOXAF
OG0001023	sp|P11531|DMD_MOUSE, sp|Q8CJ27|ASPM_MOUSE, tr|E9Q6R7|E9Q6R7_MOUSE	tr|G3SWR9|G3SWR9_LOXAF
OG0001024	sp|Q8VEG6|CNO6L_MOUSE	tr|G3T7H8|G3T7H8_LOXAF
OG0001024	sp|Q8K3P5|CNOT6_MOUSE	tr|G3THJ5|G3THJ5_LOXAF
OG0001025	tr|Q7TNL5|Q7TNL5_MOUSE	tr|G3UMW6|G3UMW6_LOXAF
OG0001025	sp|Q60996|2A5G_MOUSE	tr|G3TTC8|G3TTC8_LOXAF
OG0001026	sp|Q99L88|SNTB1_MOUSE	tr|G3TAH1|G3TAH1_LOXAF
OG0001026	sp|Q61235|SNTB2_MOUSE	tr|G3TWL9|G3TWL9_LOXAF
OG0001027	sp|Q9CZS1|AL1B1_MOUSE	tr|G3U8G8|G3U8G8_LOXAF
OG0001027	sp|P47738|ALDH2_MOUSE	tr|G3TSH9|G3TSH9_LOXAF
OG0001028	tr|E9PX47|E9PX47_MOUSE, tr|Q9WU94|Q9WU94_MOUSE	tr|G3UAJ3|G3UAJ3_LOXAF, tr|G3UJ48|G3UJ48_LOXAF
OG0001029	sp|Q8K458|PKR2_MOUSE	tr|G3SY53|G3SY53_LOXAF
OG0001029	sp|Q9JKL1|PKR1_MOUSE	tr|G3T8K7|G3T8K7_LOXAF
OG0001030	sp|Q9JME5|AP3B2_MOUSE	tr|G3TDT9|G3TDT9_LOXAF
OG0001030	sp|Q9Z1T1|AP3B1_MOUSE	tr|G3T5Q7|G3T5Q7_LOXAF
OG0001031	sp|P32067|LA_MOUSE	tr|G3U2Z3|G3U2Z3_LOXAF, tr|G3TTL3|G3TTL3_LOXAF, tr|G3SMH8|G3SMH8_LOXAF
OG0001032	sp|Q3TIV5|ZC3HF_MOUSE	tr|G3SNS7|G3SNS7_LOXAF, tr|G3TV58|G3TV58_LOXAF, tr|G3TZD4|G3TZD4_LOXAF
OG0001033	sp|Q6A051|ATRN1_MOUSE	tr|G3SUK3|G3SUK3_LOXAF
OG0001033	sp|Q9WU60|ATRN_MOUSE	tr|G3T448|G3T448_LOXAF
OG0001034	sp|Q6PD03|2A5A_MOUSE	tr|G3T5P3|G3T5P3_LOXAF
OG0001034	sp|Q6PD28|2A5B_MOUSE	tr|G3T148|G3T148_LOXAF
OG0001035	sp|Q4VK74|IFNL2_MOUSE, sp|Q8CGK6|IFNL3_MOUSE	tr|G3TQK4|G3TQK4_LOXAF, tr|G3TPN7|G3TPN7_LOXAF
OG0001036	tr|A2AMW3|A2AMW3_MOUSE	tr|G3SRV5|G3SRV5_LOXAF
OG0001036	sp|Q9R0Y8|GBRG1_MOUSE	tr|G3STH9|G3STH9_LOXAF
OG0001037	sp|P70336|ROCK2_MOUSE	tr|G3SZH5|G3SZH5_LOXAF
OG0001037	sp|P70335|ROCK1_MOUSE	tr|G3TF10|G3TF10_LOXAF
OG0001038	sp|Q5EG47|AAPK1_MOUSE	tr|G3TJJ9|G3TJJ9_LOXAF
OG0001038	sp|Q8BRK8|AAPK2_MOUSE	tr|G3TA29|G3TA29_LOXAF
OG0001039	sp|Q925H0|ASIC2_MOUSE	tr|G3TPW5|G3TPW5_LOXAF
OG0001039	sp|Q6NXK8|ASIC1_MOUSE	tr|G3TRH0|G3TRH0_LOXAF
OG0001040	sp|O88492|PLIN4_MOUSE	tr|G3UDZ0|G3UDZ0_LOXAF
OG0001040	sp|Q9DBG5|PLIN3_MOUSE	tr|G3UJJ3|G3UJJ3_LOXAF
OG0001041	sp|Q9QYH6|MAGD1_MOUSE	tr|G3UFV7|G3UFV7_LOXAF, tr|G3U8C6|G3U8C6_LOXAF, tr|G3T1J7|G3T1J7_LOXAF
OG0001042	tr|Q8C6B0|Q8C6B0_MOUSE, tr|G3X9G9|G3X9G9_MOUSE, tr|Q5I0W6|Q5I0W6_MOUSE	tr|G3T749|G3T749_LOXAF
OG0001043	tr|Q9D434|Q9D434_MOUSE	tr|G3TPT9|G3TPT9_LOXAF
OG0001043	tr|Q14BQ3|Q14BQ3_MOUSE	tr|G3TZT7|G3TZT7_LOXAF
OG0001044	sp|O35638|STAG2_MOUSE	tr|G3U8W8|G3U8W8_LOXAF
OG0001044	sp|Q9D3E6|STAG1_MOUSE	tr|G3TKL3|G3TKL3_LOXAF
OG0001045	sp|Q02780|NFIA_MOUSE	tr|G3U2T1|G3U2T1_LOXAF
OG0001045	sp|P70257|NFIX_MOUSE	tr|G3UI80|G3UI80_LOXAF
OG0001046	sp|G3X9R7|RN148_MOUSE, sp|Q14B02|RN133_MOUSE, sp|Q9D304|RN128_MOUSE	tr|G3SR73|G3SR73_LOXAF
OG0001047	sp|Q9JHD1|KAT2B_MOUSE	tr|G3SXX5|G3SXX5_LOXAF
OG0001047	sp|Q9JHD2|KAT2A_MOUSE	tr|G3T106|G3T106_LOXAF
OG0001048	sp|P47962|RL5_MOUSE	tr|G3T8E3|G3T8E3_LOXAF, tr|G3TYR5|G3TYR5_LOXAF, tr|G3TSV6|G3TSV6_LOXAF
OG0001049	sp|P16546|SPTN1_MOUSE	tr|G3UBG5|G3UBG5_LOXAF
OG0001049	sp|P08032|SPTA1_MOUSE	tr|G3T8R3|G3T8R3_LOXAF
OG0001050	sp|F7A4A7|OTOGL_MOUSE	tr|G3TG63|G3TG63_LOXAF
OG0001050	sp|O55225|OTOG_MOUSE	tr|G3SV44|G3SV44_LOXAF
OG0001051	sp|Q9WTJ8|FA50B_MOUSE	tr|G3ULD4|G3ULD4_LOXAF
OG0001051	sp|Q9WV03|FA50A_MOUSE	tr|G3T2G7|G3T2G7_LOXAF
OG0001052	sp|P18826|KPB1_MOUSE	tr|G3SZ49|G3SZ49_LOXAF
OG0001052	sp|Q8BWJ3|KPB2_MOUSE	tr|G3T3Q0|G3T3Q0_LOXAF
OG0001053	sp|Q9DBR7|MYPT1_MOUSE	tr|G3TDK0|G3TDK0_LOXAF
OG0001053	sp|A0A140LI88|ANR31_MOUSE	tr|G3TZS7|G3TZS7_LOXAF
OG0001054	sp|Q60597|ODO1_MOUSE	tr|G3TBV2|G3TBV2_LOXAF
OG0001054	tr|E9Q7L0|E9Q7L0_MOUSE	tr|G3T247|G3T247_LOXAF
OG0001055	sp|Q8BYC6|TAOK3_MOUSE	tr|G3TF90|G3TF90_LOXAF
OG0001055	sp|Q5F2E8|TAOK1_MOUSE	tr|G3SP97|G3SP97_LOXAF
OG0001056	sp|Q62074|KPCI_MOUSE	tr|G3SV72|G3SV72_LOXAF
OG0001056	sp|Q02956|KPCZ_MOUSE	tr|G3TKV6|G3TKV6_LOXAF
OG0001057	sp|Q9QZ25|VNN3_MOUSE, sp|Q9Z0K8|VNN1_MOUSE	tr|G3TT93|G3TT93_LOXAF, tr|G3TIK0|G3TIK0_LOXAF
OG0001058	sp|P97309|MESP1_MOUSE	tr|G3TTH7|G3TTH7_LOXAF
OG0001058	sp|O08574|MESP2_MOUSE	tr|G3TQ17|G3TQ17_LOXAF
OG0001059	sp|O70145|NCF2_MOUSE	tr|G3T1D4|G3T1D4_LOXAF
OG0001059	sp|Q8CJ00|NOXA1_MOUSE	tr|G3UFM1|G3UFM1_LOXAF
OG0001060	sp|Q9D9M2|UBP12_MOUSE	tr|G3SZK6|G3SZK6_LOXAF
OG0001060	sp|P62069|UBP46_MOUSE	tr|G3T9U0|G3T9U0_LOXAF
OG0001061	sp|P09411|PGK1_MOUSE	tr|G3T8H2|G3T8H2_LOXAF
OG0001061	sp|P09041|PGK2_MOUSE	tr|G3T214|G3T214_LOXAF
OG0001062	sp|Q69Z28|ATS16_MOUSE	tr|G3T753|G3T753_LOXAF
OG0001062	sp|Q4VC17|ATS18_MOUSE	tr|G3TDK5|G3TDK5_LOXAF
OG0001063	sp|Q9JKC8|AP3M1_MOUSE	tr|G3TLB9|G3TLB9_LOXAF
OG0001063	sp|Q8R2R9|AP3M2_MOUSE	tr|G3T546|G3T546_LOXAF
OG0001065	sp|Q99MD6|TRXR3_MOUSE	tr|G3TB25|G3TB25_LOXAF
OG0001065	sp|Q9JMH6|TRXR1_MOUSE	tr|G3TF14|G3TF14_LOXAF
OG0001066	sp|Q8BH59|S2512_MOUSE	tr|G3TKZ5|G3TKZ5_LOXAF
OG0001066	sp|Q9QXX4|S2513_MOUSE	tr|G3TKT9|G3TKT9_LOXAF
OG0001067	sp|Q925T6|GRIP1_MOUSE	tr|G3SYL5|G3SYL5_LOXAF
OG0001067	tr|G3XA20|G3XA20_MOUSE	tr|G3TSJ5|G3TSJ5_LOXAF
OG0001068	sp|A2AJ15|MA1B1_MOUSE	tr|G3U854|G3U854_LOXAF, tr|G3TTP5|G3TTP5_LOXAF, tr|G3UAU7|G3UAU7_LOXAF
OG0001069	sp|P35383|P2RY2_MOUSE	tr|G3U1Y6|G3U1Y6_LOXAF
OG0001069	sp|Q9JJS7|P2RY4_MOUSE	tr|G3U4Q2|G3U4Q2_LOXAF
OG0001070	tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE	tr|G3U7N9|G3U7N9_LOXAF
OG0001071	sp|Q61824|ADA12_MOUSE	tr|G3T798|G3T798_LOXAF
OG0001071	sp|O35674|ADA19_MOUSE	tr|G3TVN3|G3TVN3_LOXAF
OG0001072	sp|Q80UM3|NAA15_MOUSE	tr|G3SQR1|G3SQR1_LOXAF
OG0001072	sp|Q9DBB4|NAA16_MOUSE	tr|G3TSM8|G3TSM8_LOXAF
OG0001073	sp|P17427|AP2A2_MOUSE	tr|G3T2S6|G3T2S6_LOXAF
OG0001073	sp|P17426|AP2A1_MOUSE	tr|G3UBX0|G3UBX0_LOXAF
OG0001074	sp|Q2MHE5|DOK6_MOUSE	tr|G3TB27|G3TB27_LOXAF
OG0001074	sp|Q99KE3|DOK4_MOUSE	tr|G3TY78|G3TY78_LOXAF
OG0001075	sp|Q63844|MK03_MOUSE	tr|G3UNI7|G3UNI7_LOXAF
OG0001075	sp|P63085|MK01_MOUSE	tr|G3T4W5|G3T4W5_LOXAF
OG0001076	sp|P45700|MA1A1_MOUSE	tr|G3T5R2|G3T5R2_LOXAF
OG0001076	sp|P39098|MA1A2_MOUSE	tr|G3TII9|G3TII9_LOXAF
OG0001077	sp|Q61414|K1C15_MOUSE	tr|G3TJ27|G3TJ27_LOXAF
OG0001077	sp|P08730|K1C13_MOUSE	tr|G3U571|G3U571_LOXAF
OG0001078	sp|P35441|TSP1_MOUSE	tr|G3SQW2|G3SQW2_LOXAF
OG0001078	sp|Q03350|TSP2_MOUSE	tr|G3U8M9|G3U8M9_LOXAF
OG0001079	tr|E9PUS2|E9PUS2_MOUSE	tr|G3U129|G3U129_LOXAF
OG0001079	sp|P58544|BTBD1_MOUSE	tr|G3SQL0|G3SQL0_LOXAF
OG0001080	sp|Q6DFY8|BRNP2_MOUSE	tr|G3TKJ0|G3TKJ0_LOXAF
OG0001080	sp|Q499E0|BRNP3_MOUSE	tr|G3SZ54|G3SZ54_LOXAF
OG0001081	sp|O35379|MRP1_MOUSE	tr|G3T738|G3T738_LOXAF
OG0001081	sp|B2RX12|MRP3_MOUSE	tr|G3SZC9|G3SZC9_LOXAF
OG0001082	sp|P12849|KAP1_MOUSE	tr|G3TQ81|G3TQ81_LOXAF
OG0001082	sp|Q9DBC7|KAP0_MOUSE	tr|G3SLL5|G3SLL5_LOXAF
OG0001083	sp|Q8BWR8|RHPN2_MOUSE	tr|G3TBK8|G3TBK8_LOXAF
OG0001083	sp|Q61085|RHPN1_MOUSE	tr|G3U7U6|G3U7U6_LOXAF
OG0001084	sp|P16092|FGFR1_MOUSE	tr|G3TKE5|G3TKE5_LOXAF
OG0001084	sp|P21803|FGFR2_MOUSE	tr|G3UN36|G3UN36_LOXAF
OG0001085	sp|Q05A56|HYAL4_MOUSE, sp|Q812F3|HYAL5_MOUSE, sp|P48794|HYALP_MOUSE	tr|G3UNT0|G3UNT0_LOXAF
OG0001086	sp|P59111|KCNH8_MOUSE	tr|G3SLC7|G3SLC7_LOXAF
OG0001086	tr|A2A5F7|A2A5F7_MOUSE	tr|G3TYS9|G3TYS9_LOXAF
OG0001087	sp|Q6A026|PDS5A_MOUSE	tr|G3T1L7|G3T1L7_LOXAF
OG0001087	sp|Q4VA53|PDS5B_MOUSE	tr|G3SX77|G3SX77_LOXAF
OG0001088	sp|Q9D0R2|SYTC_MOUSE	tr|G3T4H5|G3T4H5_LOXAF
OG0001088	sp|Q8BLY2|SYTC2_MOUSE	tr|G3T8G5|G3T8G5_LOXAF
OG0001090	tr|A0A5F8MPM5|A0A5F8MPM5_MOUSE	tr|G3UDK4|G3UDK4_LOXAF
OG0001090	sp|O08750|NFIL3_MOUSE	tr|G3TVW7|G3TVW7_LOXAF
OG0001091	sp|A2AAJ9|OBSCN_MOUSE	tr|G3TNU4|G3TNU4_LOXAF
OG0001091	sp|D3YYU8|OBSL1_MOUSE	tr|G3UHW4|G3UHW4_LOXAF
OG0001092	sp|Q5SVR0|TBC9B_MOUSE	tr|G3TKE8|G3TKE8_LOXAF
OG0001092	sp|Q3UYK3|TBCD9_MOUSE	tr|G3SND4|G3SND4_LOXAF
OG0001093	sp|A2A5R2|BIG2_MOUSE	tr|G3SYG7|G3SYG7_LOXAF
OG0001093	sp|G3X9K3|BIG1_MOUSE	tr|G3T7R5|G3T7R5_LOXAF
OG0001094	sp|P0DMN7|DCAM1_MOUSE, sp|D3Z6H8|DCAM2_MOUSE	tr|G3UBI2|G3UBI2_LOXAF, tr|G3TAW0|G3TAW0_LOXAF
OG0001095	sp|Q8BYH8|CHD9_MOUSE	tr|G3TF17|G3TF17_LOXAF
OG0001095	sp|A2AJK6|CHD7_MOUSE	tr|G3UE09|G3UE09_LOXAF
OG0001096	sp|P22723|GBRG2_MOUSE	tr|G3TVP5|G3TVP5_LOXAF
OG0001096	sp|P27681|GBRG3_MOUSE	tr|G3T2R7|G3T2R7_LOXAF
OG0001097	sp|P70695|F16P2_MOUSE	tr|G3T615|G3T615_LOXAF
OG0001097	sp|Q9QXD6|F16P1_MOUSE	tr|G3T618|G3T618_LOXAF
OG0001098	sp|Q9Z1Y4|TRIP6_MOUSE, sp|Q71FD7|FBLI1_MOUSE, sp|Q62523|ZYX_MOUSE	tr|G3TTB9|G3TTB9_LOXAF
OG0001099	sp|Q6PFQ7|RASL2_MOUSE	tr|G3U8E3|G3U8E3_LOXAF
OG0001099	sp|Q9Z268|RASL1_MOUSE	tr|G3TCJ4|G3TCJ4_LOXAF
OG0001100	sp|Q9D6K9|CERS5_MOUSE, sp|P27545|CERS1_MOUSE, sp|Q8C172|CERS6_MOUSE	tr|G3SM41|G3SM41_LOXAF
OG0001101	sp|O35488|S27A2_MOUSE	tr|G3SUV0|G3SUV0_LOXAF
OG0001101	sp|Q4LDG0|S27A5_MOUSE	tr|G3SR21|G3SR21_LOXAF
OG0001102	sp|P30561|AHR_MOUSE	tr|G3TEX6|G3TEX6_LOXAF
OG0001102	sp|Q3U1U7|AHRR_MOUSE	tr|G3UJA9|G3UJA9_LOXAF
OG0001103	sp|P22725|WNT5A_MOUSE	tr|G3SQZ0|G3SQZ0_LOXAF
OG0001103	sp|P22726|WNT5B_MOUSE	tr|G3TFS1|G3TFS1_LOXAF
OG0001104	sp|Q9QZR5|HIPK2_MOUSE	tr|G3U4C6|G3U4C6_LOXAF
OG0001104	sp|O88904|HIPK1_MOUSE	tr|G3TZS0|G3TZS0_LOXAF
OG0001105	sp|O70468|MYPC3_MOUSE	tr|G3UJD8|G3UJD8_LOXAF
OG0001105	sp|Q5XKE0|MYPC2_MOUSE	tr|G3U3Y5|G3U3Y5_LOXAF
OG0001106	sp|Q9Z1W9|STK39_MOUSE	tr|G3SMD4|G3SMD4_LOXAF
OG0001106	sp|Q6P9R2|OXSR1_MOUSE	tr|G3UBG3|G3UBG3_LOXAF
OG0001107	sp|Q8BMF5|GRIK4_MOUSE	tr|G3TIJ1|G3TIJ1_LOXAF
OG0001107	sp|Q61626|GRIK5_MOUSE	tr|G3T0J8|G3T0J8_LOXAF
OG0001108	sp|Q91YH6|VATB1_MOUSE	tr|G3TQV9|G3TQV9_LOXAF
OG0001108	sp|P62814|VATB2_MOUSE	tr|G3TXW2|G3TXW2_LOXAF
OG0001109	sp|Q6NVG7|GT252_MOUSE	tr|G3TBK6|G3TBK6_LOXAF
OG0001109	sp|Q8K297|GT251_MOUSE	tr|G3UNC9|G3UNC9_LOXAF
OG0001110	sp|Q571F8|GLSL_MOUSE	tr|G3SQ31|G3SQ31_LOXAF
OG0001110	sp|D3Z7P3|GLSK_MOUSE	tr|G3T6B1|G3T6B1_LOXAF
OG0001111	sp|Q504P2|CL12A_MOUSE	tr|G3ULL2|G3ULL2_LOXAF
OG0001111	sp|Q149M0|CL12B_MOUSE	tr|G3T8S4|G3T8S4_LOXAF
OG0001112	sp|Q3UZ39|LRRF1_MOUSE	tr|G3TFU3|G3TFU3_LOXAF
OG0001112	sp|Q91WK0|LRRF2_MOUSE	tr|G3THQ6|G3THQ6_LOXAF
OG0001113	sp|Q60967|PAPS1_MOUSE	tr|G3TKS2|G3TKS2_LOXAF
