Orthogroup	Homo_sapiens	Colobus_angolensis_palliatus
OG0000469	sp|P49207|RL34_HUMAN	tr|A0A2K5HCF3|A0A2K5HCF3_COLAP, tr|A0A2K5JZQ9|A0A2K5JZQ9_COLAP, tr|A0A2K5HCH5|A0A2K5HCH5_COLAP, tr|A0A2K5IZ39|A0A2K5IZ39_COLAP, tr|A0A2K5IWH8|A0A2K5IWH8_COLAP
OG0000470	sp|Q8NGY3|OR6K3_HUMAN, sp|Q8NGW6|OR6K6_HUMAN, sp|Q8NGY6|OR6N2_HUMAN, sp|Q8NGY5|OR6N1_HUMAN, sp|Q8NGY2|OR6K2_HUMAN	tr|A0A2K5J0L6|A0A2K5J0L6_COLAP
OG0000471	sp|Q92736|RYR2_HUMAN	tr|A0A2K5HIU8|A0A2K5HIU8_COLAP
OG0000471	sp|P21817|RYR1_HUMAN	tr|A0A2K5H8P0|A0A2K5H8P0_COLAP
OG0000471	sp|Q15413|RYR3_HUMAN	tr|A0A2K5IN02|A0A2K5IN02_COLAP
OG0000472	sp|O14950|ML12B_HUMAN	tr|A0A2K5KBZ1|A0A2K5KBZ1_COLAP
OG0000472	sp|P19105|ML12A_HUMAN	tr|A0A2K5HBB3|A0A2K5HBB3_COLAP
OG0000472	sp|P24844|MYL9_HUMAN	tr|A0A2K5HE57|A0A2K5HE57_COLAP
OG0000474	sp|P09429|HMGB1_HUMAN	tr|A0A2K5K463|A0A2K5K463_COLAP
OG0000474	sp|B2RPK0|HGB1A_HUMAN	tr|A0A2K5HC21|A0A2K5HC21_COLAP, tr|A0A2K5HJF1|A0A2K5HJF1_COLAP, tr|A0A2K5I695|A0A2K5I695_COLAP
OG0000475	sp|Q5JTY5|ZNG1C_HUMAN, sp|Q4V339|ZNG1F_HUMAN, sp|Q5RIA9|ZNG1E_HUMAN, sp|Q9BRT8|ZNG1A_HUMAN, sp|Q8IUF1|ZNG1B_HUMAN	tr|A0A2K5JPK6|A0A2K5JPK6_COLAP
OG0000476	sp|P60891|PRPS1_HUMAN	tr|A0A2K5IHV0|A0A2K5IHV0_COLAP
OG0000476	sp|P11908|PRPS2_HUMAN	tr|A0A2K5HC33|A0A2K5HC33_COLAP
OG0000476	sp|P21108|PRPS3_HUMAN	tr|A0A2K5K624|A0A2K5K624_COLAP
OG0000477	sp|Q16280|CNGA2_HUMAN	tr|A0A2K5HFU2|A0A2K5HFU2_COLAP
OG0000477	sp|Q16281|CNGA3_HUMAN	tr|A0A2K5HA11|A0A2K5HA11_COLAP
OG0000477	sp|P29973|CNGA1_HUMAN	tr|A0A2K5K369|A0A2K5K369_COLAP
OG0000478	sp|Q8NA70|FA47B_HUMAN	tr|A0A2K5K199|A0A2K5K199_COLAP
OG0000478	sp|Q5JRC9|FA47A_HUMAN, sp|A6NHR8|FA47D_HUMAN, sp|Q5HY64|FA47C_HUMAN	tr|A0A2K5ICJ6|A0A2K5ICJ6_COLAP
OG0000479	sp|P21217|FUT3_HUMAN	tr|A0A2K5ISP1|A0A2K5ISP1_COLAP
OG0000479	sp|Q11128|FUT5_HUMAN, sp|P51993|FUT6_HUMAN, sp|P22083|FUT4_HUMAN	tr|A0A2K5IT08|A0A2K5IT08_COLAP
OG0000480	sp|Q13177|PAK2_HUMAN	tr|A0A2K5JP04|A0A2K5JP04_COLAP
OG0000480	sp|Q13153|PAK1_HUMAN	tr|A0A2K5HQ45|A0A2K5HQ45_COLAP
OG0000480	sp|O75914|PAK3_HUMAN	tr|A0A2K5J8M8|A0A2K5J8M8_COLAP
OG0000481	sp|Q5BKY9|F133B_HUMAN	tr|A0A2K5HKK1|A0A2K5HKK1_COLAP
OG0000481	sp|Q8N9E0|F133A_HUMAN	tr|A0A2K5IGL4|A0A2K5IGL4_COLAP, tr|A0A2K5HX00|A0A2K5HX00_COLAP, tr|A0A2K5HJJ8|A0A2K5HJJ8_COLAP
OG0000482	sp|P51790|CLCN3_HUMAN	tr|A0A2K5IW48|A0A2K5IW48_COLAP
OG0000482	sp|P51795|CLCN5_HUMAN	tr|A0A2K5IZM0|A0A2K5IZM0_COLAP
OG0000482	sp|P51793|CLCN4_HUMAN	tr|A0A2K5HTY3|A0A2K5HTY3_COLAP
OG0000483	sp|P21333|FLNA_HUMAN	tr|A0A2K5J3K3|A0A2K5J3K3_COLAP
OG0000483	sp|O75369|FLNB_HUMAN	tr|A0A2K5IIF3|A0A2K5IIF3_COLAP
OG0000483	sp|Q14315|FLNC_HUMAN	tr|A0A2K5JZA3|A0A2K5JZA3_COLAP
OG0000484	sp|O94813|SLIT2_HUMAN	tr|A0A2K5ITP5|A0A2K5ITP5_COLAP
OG0000484	sp|O75093|SLIT1_HUMAN	tr|A0A2K5JNB7|A0A2K5JNB7_COLAP
OG0000484	sp|O75094|SLIT3_HUMAN	tr|A0A2K5JC26|A0A2K5JC26_COLAP
OG0000485	sp|O75937|DNJC8_HUMAN	tr|A0A2K5H8A7|A0A2K5H8A7_COLAP, tr|A0A2K5J589|A0A2K5J589_COLAP, tr|A0A2K5HHT0|A0A2K5HHT0_COLAP, tr|A0A2K5H7X1|A0A2K5H7X1_COLAP, tr|A0A2K5JQ52|A0A2K5JQ52_COLAP
OG0000486	sp|P13796|PLSL_HUMAN	tr|A0A2K5JRB6|A0A2K5JRB6_COLAP
OG0000486	sp|P13797|PLST_HUMAN	tr|A0A2K5IFJ8|A0A2K5IFJ8_COLAP
OG0000486	sp|Q14651|PLSI_HUMAN	tr|A0A2K5JCL7|A0A2K5JCL7_COLAP
OG0000487	sp|Q96PZ7|CSMD1_HUMAN	tr|A0A2K5JND0|A0A2K5JND0_COLAP
OG0000487	sp|Q7Z407|CSMD3_HUMAN	tr|A0A2K5I486|A0A2K5I486_COLAP
OG0000487	sp|Q7Z408|CSMD2_HUMAN	tr|A0A2K5IE77|A0A2K5IE77_COLAP
OG0000488	tr|A0A0G2JQZ4|A0A0G2JQZ4_HUMAN, sp|P10635|CP2D6_HUMAN, tr|A0A1B0GTQ1|A0A1B0GTQ1_HUMAN, sp|A0A087X1C5|CP2D7_HUMAN	tr|A0A2K5JUZ7|A0A2K5JUZ7_COLAP, tr|A0A2K5JND8|A0A2K5JND8_COLAP
OG0000489	sp|Q6VEQ5|WASH2_HUMAN, sp|C4AMC7|WASH3_HUMAN, sp|A8K0Z3|WASH1_HUMAN, sp|Q9NQA3|WASH6_HUMAN, sp|A8MWX3|WASH4_HUMAN	tr|A0A2K5J8N9|A0A2K5J8N9_COLAP
OG0000490	sp|P10826|RARB_HUMAN	tr|A0A2K5JFA9|A0A2K5JFA9_COLAP
OG0000490	sp|P10276|RARA_HUMAN	tr|A0A2K5IJ25|A0A2K5IJ25_COLAP
OG0000490	sp|P13631|RARG_HUMAN	tr|A0A2K5KCQ7|A0A2K5KCQ7_COLAP
OG0000491	sp|Q9NZH4|PTTG3_HUMAN	tr|A0A2K5J1U1|A0A2K5J1U1_COLAP
OG0000491	sp|Q9NZH5|PTTG2_HUMAN, sp|O95997|PTTG1_HUMAN	tr|A0A2K5IJZ7|A0A2K5IJZ7_COLAP, tr|A0A2K5JMZ6|A0A2K5JMZ6_COLAP
OG0000492	sp|Q9Y6E0|STK24_HUMAN	tr|A0A2K5IFP7|A0A2K5IFP7_COLAP
OG0000492	sp|O00506|STK25_HUMAN	tr|A0A2K5I8P0|A0A2K5I8P0_COLAP
OG0000492	sp|Q8TF76|HASP_HUMAN	tr|A0A2K5HNF6|A0A2K5HNF6_COLAP
OG0000493	sp|A6NIE9|PRS29_HUMAN, sp|A8MTI9|PRS47_HUMAN, sp|Q9BZJ3|TRYD_HUMAN, sp|Q15661|TRYB1_HUMAN, sp|P20231|TRYB2_HUMAN	tr|A0A2K5HEM7|A0A2K5HEM7_COLAP
OG0000494	sp|Q5CZA5|ZN805_HUMAN	tr|A0A2K5ILR4|A0A2K5ILR4_COLAP
OG0000494	sp|O43296|ZN264_HUMAN	tr|A0A2K5KBA4|A0A2K5KBA4_COLAP
OG0000494	sp|Q08ER8|ZN543_HUMAN	tr|A0A2K5KC89|A0A2K5KC89_COLAP
OG0000495	sp|P0DTE8|AMY1C_HUMAN, sp|P0DUB6|AMY1A_HUMAN, sp|P0DTE7|AMY1B_HUMAN, sp|P04746|AMYP_HUMAN, sp|P19961|AMY2B_HUMAN	tr|A0A2K5K8X0|A0A2K5K8X0_COLAP
OG0000496	tr|A0A2R8YF49|A0A2R8YF49_HUMAN, tr|A0A5F9ZGZ6|A0A5F9ZGZ6_HUMAN, sp|A5YM69|ARG35_HUMAN, tr|A0A2R8YFR7|A0A2R8YFR7_HUMAN, sp|Q12774|ARHG5_HUMAN	tr|A0A2K5J4B1|A0A2K5J4B1_COLAP
OG0000507	sp|P42766|RL35_HUMAN	tr|A0A2K5HKR4|A0A2K5HKR4_COLAP, tr|A0A2K5IGK5|A0A2K5IGK5_COLAP, tr|A0A2K5HN23|A0A2K5HN23_COLAP, tr|A0A2K5HC90|A0A2K5HC90_COLAP
OG0000508	sp|P08217|CEL2A_HUMAN	tr|A0A2K5I2R0|A0A2K5I2R0_COLAP, tr|A0A2K5JLN3|A0A2K5JLN3_COLAP
OG0000508	sp|P08218|CEL2B_HUMAN	tr|A0A2K5IAA2|A0A2K5IAA2_COLAP
OG0000509	sp|P14207|FOLR2_HUMAN	tr|A0A2K5HJW8|A0A2K5HJW8_COLAP
OG0000509	sp|P41439|FOLR3_HUMAN	tr|A0A2K5K8W1|A0A2K5K8W1_COLAP, tr|A0A2K5J707|A0A2K5J707_COLAP
OG0000510	sp|O95376|ARI2_HUMAN	tr|A0A2K5I8J3|A0A2K5I8J3_COLAP, tr|A0A2K5IPM6|A0A2K5IPM6_COLAP, tr|A0A2K5K4K1|A0A2K5K4K1_COLAP, tr|A0A2K5I9T2|A0A2K5I9T2_COLAP
OG0000511	sp|P27635|RL10_HUMAN	tr|A0A2K5JV98|A0A2K5JV98_COLAP
OG0000511	sp|Q96L21|RL10L_HUMAN	tr|A0A2K5ILK8|A0A2K5ILK8_COLAP, tr|A0A2K5I9F4|A0A2K5I9F4_COLAP
OG0000512	sp|Q7Z7E8|UB2Q1_HUMAN	tr|A0A2K5J0K4|A0A2K5J0K4_COLAP
OG0000512	tr|A0A0G2JLW4|A0A0G2JLW4_HUMAN, sp|Q8WVN8|UB2Q2_HUMAN	tr|A0A2K5KB31|A0A2K5KB31_COLAP
OG0000513	sp|P17032|ZN37A_HUMAN	tr|A0A2K5H782|A0A2K5H782_COLAP
OG0000513	sp|Q9BY31|ZN717_HUMAN	tr|A0A2K5HRJ9|A0A2K5HRJ9_COLAP, tr|A0A2K5HPN3|A0A2K5HPN3_COLAP
OG0000514	sp|Q6UB35|C1TM_HUMAN	tr|A0A2K5IRV8|A0A2K5IRV8_COLAP
OG0000514	sp|P11586|C1TC_HUMAN	tr|A0A2K5KB24|A0A2K5KB24_COLAP, tr|A0A2K5K340|A0A2K5K340_COLAP
OG0000515	sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN	tr|A0A2K5JI48|A0A2K5JI48_COLAP
OG0000516	sp|Q05940|VMAT2_HUMAN	tr|A0A2K5H8L9|A0A2K5H8L9_COLAP
OG0000516	sp|Q16572|VACHT_HUMAN, sp|P54219|VMAT1_HUMAN	tr|A0A2K5JR81|A0A2K5JR81_COLAP
OG0000517	sp|Q9BUE6|ISCA1_HUMAN	tr|A0A2K5I4P1|A0A2K5I4P1_COLAP, tr|A0A2K5K8Q6|A0A2K5K8Q6_COLAP, tr|A0A2K5JGH4|A0A2K5JGH4_COLAP, tr|A0A2K5JIA6|A0A2K5JIA6_COLAP
OG0000518	sp|Q9UBU8|MO4L1_HUMAN	tr|A0A2K5KEL9|A0A2K5KEL9_COLAP, tr|A0A2K5IS53|A0A2K5IS53_COLAP, tr|A0A2K5INP2|A0A2K5INP2_COLAP, tr|A0A2K5IJQ0|A0A2K5IJQ0_COLAP
OG0000519	sp|P14324|FPPS_HUMAN	tr|A0A2K5IK19|A0A2K5IK19_COLAP, tr|A0A2K5IYQ7|A0A2K5IYQ7_COLAP, tr|A0A2K5H9F0|A0A2K5H9F0_COLAP, tr|A0A2K5IGY6|A0A2K5IGY6_COLAP
OG0000520	sp|O76015|KRT38_HUMAN	tr|A0A2K5JFX8|A0A2K5JFX8_COLAP
OG0000520	sp|O76014|KRT37_HUMAN	tr|A0A2K5HWV3|A0A2K5HWV3_COLAP, tr|A0A2K5HFF1|A0A2K5HFF1_COLAP
OG0000521	sp|Q5T2N8|ATD3C_HUMAN	tr|A0A2K5JSJ3|A0A2K5JSJ3_COLAP
OG0000521	sp|Q9NVI7|ATD3A_HUMAN, sp|Q5T9A4|ATD3B_HUMAN	tr|A0A2K5JWC8|A0A2K5JWC8_COLAP
OG0000523	sp|P07951|TPM2_HUMAN	tr|A0A2K5KBE7|A0A2K5KBE7_COLAP
OG0000523	sp|P09493|TPM1_HUMAN, sp|P06753|TPM3_HUMAN	tr|A0A2K5I4W2|A0A2K5I4W2_COLAP
OG0000524	sp|P39019|RS19_HUMAN	tr|A0A2K5HPR1|A0A2K5HPR1_COLAP, tr|A0A2K5HKT5|A0A2K5HKT5_COLAP, tr|A0A2K5IWH7|A0A2K5IWH7_COLAP, tr|A0A2K5HNZ2|A0A2K5HNZ2_COLAP
OG0000525	sp|Q9BSJ6|PIMRE_HUMAN	tr|A0A2K5IGJ4|A0A2K5IGJ4_COLAP, tr|A0A2K5K899|A0A2K5K899_COLAP, tr|A0A2K5K6J9|A0A2K5K6J9_COLAP, tr|A0A2K5HTV2|A0A2K5HTV2_COLAP
OG0000526	sp|P46779|RL28_HUMAN	tr|A0A2K5HDJ7|A0A2K5HDJ7_COLAP, tr|A0A2K5JKT6|A0A2K5JKT6_COLAP, tr|A0A2K5H8K2|A0A2K5H8K2_COLAP, tr|A0A2K5HQ42|A0A2K5HQ42_COLAP
OG0000527	sp|O00501|CLD5_HUMAN, sp|P56747|CLD6_HUMAN, sp|Q96B33|CLD23_HUMAN, sp|O14493|CLD4_HUMAN	tr|A0A2K5HJ71|A0A2K5HJ71_COLAP
OG0000528	sp|Q07444|NKG2E_HUMAN	tr|A0A2K5K6D0|A0A2K5K6D0_COLAP
OG0000528	sp|P26717|NKG2C_HUMAN, sp|P26715|NKG2A_HUMAN	tr|A0A2K5JGL2|A0A2K5JGL2_COLAP
OG0000529	sp|Q9C0K3|ARP3C_HUMAN	tr|A0A2K5JU54|A0A2K5JU54_COLAP
OG0000529	sp|Q9P1U1|ARP3B_HUMAN, sp|P61158|ARP3_HUMAN	tr|A0A2K5K9G8|A0A2K5K9G8_COLAP
OG0000530	sp|A0A0B4J273|TVA34_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|A0A0B4J276|TVA25_HUMAN	tr|A0A2K5H873|A0A2K5H873_COLAP
OG0000531	sp|P61326|MGN_HUMAN	tr|A0A2K5J1A4|A0A2K5J1A4_COLAP
OG0000531	sp|Q96A72|MGN2_HUMAN	tr|A0A2K5JAF8|A0A2K5JAF8_COLAP, tr|A0A2K5I7B6|A0A2K5I7B6_COLAP
OG0000532	sp|Q14CN2|CLCA4_HUMAN	tr|A0A2K5JBD7|A0A2K5JBD7_COLAP
OG0000532	sp|A8K7I4|CLCA1_HUMAN	tr|A0A2K5JIW4|A0A2K5JIW4_COLAP, tr|A0A2K5J414|A0A2K5J414_COLAP
OG0000533	sp|Q70Z44|5HT3D_HUMAN	tr|A0A2K5K4H7|A0A2K5K4H7_COLAP
OG0000533	sp|A5X5Y0|5HT3E_HUMAN, sp|Q8WXA8|5HT3C_HUMAN	tr|A0A2K5JZ41|A0A2K5JZ41_COLAP
OG0000534	sp|Q16853|AOC3_HUMAN	tr|A0A2K5HM35|A0A2K5HM35_COLAP
OG0000534	sp|O75106|AOC2_HUMAN	tr|A0A2K5JKG1|A0A2K5JKG1_COLAP, tr|A0A2K5J9W6|A0A2K5J9W6_COLAP
OG0000535	sp|O75874|IDHC_HUMAN	tr|A0A2K5HFM9|A0A2K5HFM9_COLAP
OG0000535	sp|P48735|IDHP_HUMAN	tr|A0A2K5HCJ2|A0A2K5HCJ2_COLAP, tr|A0A2K5I361|A0A2K5I361_COLAP
OG0000536	sp|Q99623|PHB2_HUMAN	tr|A0A2K5IGP5|A0A2K5IGP5_COLAP, tr|A0A2K5I600|A0A2K5I600_COLAP, tr|A0A2K5I6T9|A0A2K5I6T9_COLAP, tr|A0A2K5I9K3|A0A2K5I9K3_COLAP
OG0000537	sp|P63146|UBE2B_HUMAN	tr|A0A2K5I3S9|A0A2K5I3S9_COLAP
OG0000537	sp|P49459|UBE2A_HUMAN	tr|A0A2K5JLZ6|A0A2K5JLZ6_COLAP, tr|A0A2K5IZN5|A0A2K5IZN5_COLAP
OG0000538	sp|Q9BUY5|ZN426_HUMAN	tr|A0A2K5K9E3|A0A2K5K9E3_COLAP
OG0000538	sp|Q96MU6|ZN778_HUMAN	tr|A0A2K5IU05|A0A2K5IU05_COLAP, tr|A0A2K5JJF9|A0A2K5JJF9_COLAP
OG0000539	sp|Q1AE95|T183B_HUMAN	tr|A0A2K5JL00|A0A2K5JL00_COLAP, tr|A0A2K5JRD7|A0A2K5JRD7_COLAP
OG0000539	sp|Q8IXX5|T183A_HUMAN	tr|A0A2K5J538|A0A2K5J538_COLAP
OG0000544	sp|P10589|COT1_HUMAN	tr|A0A2K5HRY1|A0A2K5HRY1_COLAP
OG0000544	sp|P10588|NR2F6_HUMAN, sp|P24468|COT2_HUMAN	tr|A0A2K5I2X0|A0A2K5I2X0_COLAP
OG0000545	sp|Q9Y490|TLN1_HUMAN	tr|A0A2K5J7D2|A0A2K5J7D2_COLAP
OG0000545	sp|Q9H1K6|TLRN1_HUMAN, sp|Q9Y4G6|TLN2_HUMAN	tr|A0A2K5J5W9|A0A2K5J5W9_COLAP
OG0000546	sp|Q96QA6|YPEL2_HUMAN	tr|A0A2K5HA87|A0A2K5HA87_COLAP
OG0000546	sp|P61236|YPEL3_HUMAN, sp|O60688|YPEL1_HUMAN	tr|A0A2K5K6R9|A0A2K5K6R9_COLAP
OG0000547	sp|Q9HAU4|SMUF2_HUMAN	tr|A0A2K5JCL1|A0A2K5JCL1_COLAP
OG0000547	sp|Q9HCE7|SMUF1_HUMAN	tr|A0A2K5I891|A0A2K5I891_COLAP, tr|A0A2K5JJJ7|A0A2K5JJJ7_COLAP
OG0000548	sp|P36578|RL4_HUMAN	tr|A0A2K5K0B5|A0A2K5K0B5_COLAP, tr|A0A2K5JZ59|A0A2K5JZ59_COLAP, tr|A0A2K5J1R2|A0A2K5J1R2_COLAP, tr|A0A2K5JN00|A0A2K5JN00_COLAP
OG0000549	sp|Q8N4Q1|MIA40_HUMAN	tr|A0A2K5IN76|A0A2K5IN76_COLAP, tr|A0A2K5HNH4|A0A2K5HNH4_COLAP, tr|A0A2K5KDT2|A0A2K5KDT2_COLAP, tr|A0A2K5HEZ4|A0A2K5HEZ4_COLAP
OG0000550	sp|O75608|LYPA1_HUMAN	tr|A0A2K5JUQ7|A0A2K5JUQ7_COLAP, tr|A0A2K5JW34|A0A2K5JW34_COLAP, tr|A0A2K5IMD9|A0A2K5IMD9_COLAP, tr|A0A2K5JTR2|A0A2K5JTR2_COLAP
OG0000551	sp|O43603|GALR2_HUMAN, sp|Q969F8|KISSR_HUMAN, sp|P47211|GALR1_HUMAN, sp|O60755|GALR3_HUMAN	tr|A0A2K5JXS0|A0A2K5JXS0_COLAP
OG0000552	sp|Q8N114|SHSA5_HUMAN	tr|A0A2K5IGS4|A0A2K5IGS4_COLAP, tr|A0A2K5HEM8|A0A2K5HEM8_COLAP, tr|A0A2K5HTQ0|A0A2K5HTQ0_COLAP, tr|A0A2K5K8W9|A0A2K5K8W9_COLAP
OG0000553	sp|Q9Y2K9|STB5L_HUMAN	tr|A0A2K5K3P8|A0A2K5K3P8_COLAP
OG0000553	sp|Q5T5C0|STXB5_HUMAN	tr|A0A2K5IY94|A0A2K5IY94_COLAP, tr|A0A2K5IK51|A0A2K5IK51_COLAP
OG0000554	sp|P62906|RL10A_HUMAN	tr|A0A2K5J227|A0A2K5J227_COLAP, tr|A0A2K5IPY0|A0A2K5IPY0_COLAP, tr|A0A2K5JKF5|A0A2K5JKF5_COLAP, tr|A0A2K5HL32|A0A2K5HL32_COLAP
OG0000555	sp|A0A5B9|TRBC2_HUMAN, sp|P0DTU4|TRBR2_HUMAN, sp|P01850|TRBC1_HUMAN	tr|A0A2K5HN78|A0A2K5HN78_COLAP, tr|A0A2K5HJ06|A0A2K5HJ06_COLAP
OG0000556	sp|P48304|REG1B_HUMAN	tr|A0A2K5KAH3|A0A2K5KAH3_COLAP
OG0000556	sp|P05451|REG1A_HUMAN	tr|A0A2K5HAA1|A0A2K5HAA1_COLAP, tr|A0A2K5JP57|A0A2K5JP57_COLAP
OG0000557	sp|O95807|TM50A_HUMAN	tr|A0A2K5I388|A0A2K5I388_COLAP
OG0000557	sp|P56557|TM50B_HUMAN	tr|A0A2K5HTQ9|A0A2K5HTQ9_COLAP, tr|A0A2K5HMH0|A0A2K5HMH0_COLAP
OG0000558	sp|A8MYX2|FM25E_HUMAN, sp|B3EWG3|FM25A_HUMAN, sp|B3EWG5|FM25C_HUMAN, sp|B3EWG6|FM25G_HUMAN	tr|A0A2K5HMJ2|A0A2K5HMJ2_COLAP
OG0000559	sp|O95294|RASL1_HUMAN	tr|A0A2K5HQI9|A0A2K5HQI9_COLAP
OG0000559	sp|C9J798|RAS4B_HUMAN, sp|O43374|RASL2_HUMAN	tr|A0A2K5IC87|A0A2K5IC87_COLAP
OG0000560	sp|Q9Y6L6|SO1B1_HUMAN	tr|A0A2K5KFG5|A0A2K5KFG5_COLAP
OG0000560	sp|G3V0H7|SO1B7_HUMAN, sp|Q9NPD5|SO1B3_HUMAN	tr|A0A2K5IFC0|A0A2K5IFC0_COLAP
OG0000561	sp|P50616|TOB1_HUMAN, sp|Q14106|TOB2_HUMAN	tr|A0A2K5JD49|A0A2K5JD49_COLAP
OG0000561	sp|P62324|BTG1_HUMAN	tr|A0A2K5IWC5|A0A2K5IWC5_COLAP
OG0000562	sp|P20290|BTF3_HUMAN	tr|A0A2K5JU09|A0A2K5JU09_COLAP, tr|A0A2K5IAH5|A0A2K5IAH5_COLAP, tr|A0A2K5I9G9|A0A2K5I9G9_COLAP, tr|A0A2K5HIT7|A0A2K5HIT7_COLAP
OG0000563	sp|Q92747|ARC1A_HUMAN	tr|A0A2K5K7C8|A0A2K5K7C8_COLAP, tr|A0A2K5IN22|A0A2K5IN22_COLAP, tr|A0A2K5KCU7|A0A2K5KCU7_COLAP, tr|A0A2K5HWR5|A0A2K5HWR5_COLAP
OG0000564	sp|P05177|CP1A2_HUMAN	tr|A0A2K5J8B6|A0A2K5J8B6_COLAP
OG0000564	sp|P04798|CP1A1_HUMAN	tr|A0A2K5ID80|A0A2K5ID80_COLAP, tr|A0A2K5HSF0|A0A2K5HSF0_COLAP
OG0000565	sp|P51854|TKTL1_HUMAN	tr|A0A2K5HZR1|A0A2K5HZR1_COLAP
OG0000565	sp|Q9H0I9|TKTL2_HUMAN, sp|P29401|TKT_HUMAN	tr|A0A2K5IHS9|A0A2K5IHS9_COLAP
OG0000566	sp|P61978|HNRPK_HUMAN	tr|A0A2K5JV09|A0A2K5JV09_COLAP, tr|A0A2K5HIB6|A0A2K5HIB6_COLAP, tr|A0A2K5HHH5|A0A2K5HHH5_COLAP, tr|A0A2K5J1F3|A0A2K5J1F3_COLAP
OG0000567	sp|O75947|ATP5H_HUMAN	tr|A0A2K5IUM4|A0A2K5IUM4_COLAP, tr|A0A2K5I6K4|A0A2K5I6K4_COLAP, tr|A0A2K5HD18|A0A2K5HD18_COLAP, tr|A0A2K5K9S0|A0A2K5K9S0_COLAP
OG0000568	sp|O14682|ENC1_HUMAN	tr|A0A2K5HQY6|A0A2K5HQY6_COLAP
OG0000568	sp|Q13939|CALI_HUMAN, sp|Q9H0H3|KLH25_HUMAN	tr|A0A2K5HD88|A0A2K5HD88_COLAP
OG0000569	sp|P18077|RL35A_HUMAN	tr|A0A2K5HHU6|A0A2K5HHU6_COLAP, tr|A0A2K5HK20|A0A2K5HK20_COLAP, tr|A0A2K5JIH7|A0A2K5JIH7_COLAP, tr|A0A2K5HCU0|A0A2K5HCU0_COLAP
OG0000570	sp|Q5MIZ7|P4R3B_HUMAN	tr|A0A2K5HQL5|A0A2K5HQL5_COLAP
OG0000570	sp|Q6ZMV5|P4R3C_HUMAN, sp|Q6IN85|P4R3A_HUMAN	tr|A0A2K5IP61|A0A2K5IP61_COLAP
OG0000571	sp|Q5H9J9|T11X2_HUMAN	tr|A0A2K5J501|A0A2K5J501_COLAP
OG0000571	sp|B4DZS4|T11X1_HUMAN, sp|Q8WWU5|TCP11_HUMAN	tr|A0A2K5KG85|A0A2K5KG85_COLAP
OG0000573	sp|Q9H4Y5|GSTO2_HUMAN	tr|A0A2K5K5X8|A0A2K5K5X8_COLAP
OG0000573	sp|P78417|GSTO1_HUMAN	tr|A0A2K5HRP7|A0A2K5HRP7_COLAP, tr|A0A2K5HFA7|A0A2K5HFA7_COLAP
OG0000574	sp|Q9H9S3|S61A2_HUMAN	tr|A0A2K5HH42|A0A2K5HH42_COLAP
OG0000574	sp|P61619|S61A1_HUMAN	tr|A0A2K5JC33|A0A2K5JC33_COLAP, tr|A0A2K5ISH1|A0A2K5ISH1_COLAP
OG0000575	sp|P00747|PLMN_HUMAN	tr|A0A2K5HKG1|A0A2K5HKG1_COLAP
OG0000575	sp|Q16609|LPAL2_HUMAN, sp|P08519|APOA_HUMAN	tr|A0A2K5JZG6|A0A2K5JZG6_COLAP
OG0000576	sp|P24534|EF1B_HUMAN	tr|A0A2K5KAJ1|A0A2K5KAJ1_COLAP, tr|A0A2K5HWT2|A0A2K5HWT2_COLAP, tr|A0A2K5JJ92|A0A2K5JJ92_COLAP, tr|A0A2K5HRX8|A0A2K5HRX8_COLAP
OG0000577	sp|Q96T83|SL9A7_HUMAN	tr|A0A2K5I866|A0A2K5I866_COLAP
OG0000577	sp|Q92581|SL9A6_HUMAN	tr|A0A2K5IW97|A0A2K5IW97_COLAP, tr|A0A2K5JW33|A0A2K5JW33_COLAP
OG0000579	sp|Q08170|SRSF4_HUMAN	tr|A0A2K5I1K0|A0A2K5I1K0_COLAP
OG0000579	sp|Q13247|SRSF6_HUMAN	tr|A0A2K5K9D7|A0A2K5K9D7_COLAP, tr|A0A2K5JIG8|A0A2K5JIG8_COLAP
OG0000580	sp|Q01130|SRSF2_HUMAN	tr|A0A2K5HYZ5|A0A2K5HYZ5_COLAP
OG0000580	sp|Q9BRL6|SRSF8_HUMAN	tr|A0A2K5I3K3|A0A2K5I3K3_COLAP, tr|A0A2K5HQJ1|A0A2K5HQJ1_COLAP
OG0000581	sp|A0A0B4J271|TVAL3_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN	tr|A0A2K5HP91|A0A2K5HP91_COLAP, tr|A0A2K5HPD1|A0A2K5HPD1_COLAP
OG0000582	sp|Q969M7|UBE2F_HUMAN	tr|A0A2K5JS07|A0A2K5JS07_COLAP, tr|A0A2K5HRJ6|A0A2K5HRJ6_COLAP, tr|A0A2K5I1P8|A0A2K5I1P8_COLAP, tr|A0A2K5JDT1|A0A2K5JDT1_COLAP
OG0000583	sp|Q96NG5|ZN558_HUMAN	tr|A0A2K5JRJ1|A0A2K5JRJ1_COLAP
