Orthogroup	Homo_sapiens	Heterocephalus_glaber
OG0000267	sp|O75051|PLXA2_HUMAN	tr|G5BP07|G5BP07_HETGA
OG0000267	sp|P51805|PLXA3_HUMAN	tr|G5BFL1|G5BFL1_HETGA
OG0000267	sp|Q9UIW2|PLXA1_HUMAN	tr|G5B327|G5B327_HETGA
OG0000267	sp|Q9HCM2|PLXA4_HUMAN	tr|G5C7Z8|G5C7Z8_HETGA
OG0000268	sp|Q8IYU4|UBQLN_HUMAN	tr|G5AM88|G5AM88_HETGA
OG0000268	sp|Q9UHD9|UBQL2_HUMAN	tr|G5C131|G5C131_HETGA
OG0000268	sp|Q9UMX0|UBQL1_HUMAN	tr|G5BP04|G5BP04_HETGA
OG0000269	sp|Q8NGI9|OR5A2_HUMAN	tr|G5AP29|G5AP29_HETGA
OG0000269	sp|Q8NGI8|O5AN1_HUMAN	tr|G5AP34|G5AP34_HETGA, tr|G5AP35|G5AP35_HETGA, tr|G5AP31|G5AP31_HETGA, tr|G5AP30|G5AP30_HETGA, tr|G5AP32|G5AP32_HETGA
OG0000270	sp|P35609|ACTN2_HUMAN	tr|G5APM7|G5APM7_HETGA
OG0000270	sp|Q08043|ACTN3_HUMAN	tr|G5BWY6|G5BWY6_HETGA
OG0000270	sp|O43707|ACTN4_HUMAN	tr|G5AMB0|G5AMB0_HETGA
OG0000270	sp|P12814|ACTN1_HUMAN	tr|G5C7W9|G5C7W9_HETGA
OG0000271	sp|A8K0S8|ME3L2_HUMAN, sp|A6NDR6|ME3L1_HUMAN, sp|Q99687|MEIS3_HUMAN	tr|G5AV12|G5AV12_HETGA
OG0000271	sp|O14770|MEIS2_HUMAN	tr|G5BVY0|G5BVY0_HETGA
OG0000271	sp|O00470|MEIS1_HUMAN	tr|G5BH47|G5BH47_HETGA
OG0000272	sp|P11362|FGFR1_HUMAN	tr|G5B0B1|G5B0B1_HETGA
OG0000272	sp|P21802|FGFR2_HUMAN	tr|G5B5S0|G5B5S0_HETGA
OG0000272	sp|P22607|FGFR3_HUMAN	tr|G5BCI7|G5BCI7_HETGA
OG0000272	sp|P22455|FGFR4_HUMAN	tr|G5BQ00|G5BQ00_HETGA
OG0000273	sp|Q92536|YLAT2_HUMAN	tr|G5C690|G5C690_HETGA
OG0000273	sp|Q9GIP4|LAT1L_HUMAN, sp|Q8MH63|LAT1N_HUMAN, sp|Q01650|LAT1_HUMAN, sp|Q9UM01|YLAT1_HUMAN	tr|G5C2F4|G5C2F4_HETGA, tr|G5ASI9|G5ASI9_HETGA
OG0000274	sp|P62995|TRA2B_HUMAN	tr|G5BT19|G5BT19_HETGA, tr|G5C1J5|G5C1J5_HETGA, tr|G5BFI5|G5BFI5_HETGA, tr|G5C0X2|G5C0X2_HETGA, tr|G5BUV6|G5BUV6_HETGA, tr|G5BKA4|G5BKA4_HETGA, tr|G5BT96|G5BT96_HETGA
OG0000275	sp|P51959|CCNG1_HUMAN	tr|G5BZ20|G5BZ20_HETGA, tr|G5BBZ1|G5BBZ1_HETGA, tr|G5C1C0|G5C1C0_HETGA, tr|G5BGZ4|G5BGZ4_HETGA, tr|G5BE60|G5BE60_HETGA, tr|G5C5D4|G5C5D4_HETGA, tr|G5B245|G5B245_HETGA
OG0000276	sp|Q92830|KAT2A_HUMAN	tr|G5B0K7|G5B0K7_HETGA
OG0000276	sp|Q92831|KAT2B_HUMAN	tr|G5BD32|G5BD32_HETGA, tr|G5C4Y4|G5C4Y4_HETGA, tr|G5BVT6|G5BVT6_HETGA, tr|G5C9N3|G5C9N3_HETGA, tr|G5B3I6|G5B3I6_HETGA
OG0000277	sp|O95803|NDST3_HUMAN	tr|G5C8R4|G5C8R4_HETGA
OG0000277	sp|P52849|NDST2_HUMAN	tr|G5C7H9|G5C7H9_HETGA
OG0000277	sp|P52848|NDST1_HUMAN	tr|G5B717|G5B717_HETGA
OG0000277	sp|Q9H3R1|NDST4_HUMAN	tr|G5B0G6|G5B0G6_HETGA
OG0000278	sp|Q9UKI8|TLK1_HUMAN	tr|G5BLX2|G5BLX2_HETGA
OG0000278	sp|Q86UE8|TLK2_HUMAN	tr|G5BAQ3|G5BAQ3_HETGA, tr|G5BK55|G5BK55_HETGA, tr|G5BNU8|G5BNU8_HETGA, tr|G5BCA7|G5BCA7_HETGA, tr|G5BDK8|G5BDK8_HETGA
OG0000279	sp|Q9NY91|SC5A4_HUMAN	tr|G5BBV9|G5BBV9_HETGA
OG0000279	sp|P31639|SC5A2_HUMAN	tr|G5BYB8|G5BYB8_HETGA
OG0000279	sp|A0PJK1|SC5AA_HUMAN	tr|G5B622|G5B622_HETGA
OG0000279	sp|P13866|SC5A1_HUMAN	tr|G5BBV8|G5BBV8_HETGA
OG0000280	sp|P29508|SPB3_HUMAN, sp|P48594|SPB4_HUMAN	tr|G5BH03|G5BH03_HETGA, tr|G5BH04|G5BH04_HETGA
OG0000280	sp|P05546|HEP2_HUMAN, sp|P48595|SPB10_HUMAN, sp|Q9UIV8|SPB13_HUMAN	tr|G5BH02|G5BH02_HETGA
OG0000281	sp|Q8IUA7|ABCA9_HUMAN	tr|G5BEL1|G5BEL1_HETGA
OG0000281	sp|O94911|ABCA8_HUMAN	tr|G5B0B9|G5B0B9_HETGA, tr|G5B0B8|G5B0B8_HETGA
OG0000281	sp|Q8WWZ4|ABCAA_HUMAN, sp|Q8N139|ABCA6_HUMAN	tr|G5BEL2|G5BEL2_HETGA
OG0000282	sp|P15311|EZRI_HUMAN	tr|G5BCM2|G5BCM2_HETGA
OG0000282	sp|P26038|MOES_HUMAN	tr|G5AW49|G5AW49_HETGA
OG0000282	sp|P35241|RADI_HUMAN	tr|G5C2E0|G5C2E0_HETGA
OG0000284	sp|P35580|MYH10_HUMAN	tr|G5B5G2|G5B5G2_HETGA
OG0000284	sp|Q7Z406|MYH14_HUMAN	tr|G5B8S2|G5B8S2_HETGA
OG0000284	sp|P35579|MYH9_HUMAN	tr|G5BAW7|G5BAW7_HETGA
OG0000284	sp|P35749|MYH11_HUMAN	tr|G5AK10|G5AK10_HETGA
OG0000285	sp|P51508|ZNF81_HUMAN	tr|G5B0C9|G5B0C9_HETGA
OG0000285	sp|P51814|ZNF41_HUMAN	tr|G5AMD2|G5AMD2_HETGA, tr|G5B3R5|G5B3R5_HETGA
OG0000285	sp|Q9Y473|ZN175_HUMAN, sp|Q5JVG2|ZN484_HUMAN	tr|G5ALJ9|G5ALJ9_HETGA
OG0000286	sp|Q92729|PTPRU_HUMAN	tr|G5APA1|G5APA1_HETGA
OG0000286	sp|Q15262|PTPRK_HUMAN	tr|G5BW57|G5BW57_HETGA
OG0000286	sp|P28827|PTPRM_HUMAN	tr|G5C056|G5C056_HETGA
OG0000286	sp|O14522|PTPRT_HUMAN	tr|G5BCX1|G5BCX1_HETGA
OG0000287	sp|Q15700|DLG2_HUMAN	tr|G5BUR2|G5BUR2_HETGA
OG0000287	sp|Q92796|DLG3_HUMAN	tr|G5B6C6|G5B6C6_HETGA
OG0000287	sp|P78352|DLG4_HUMAN	tr|G5B5A1|G5B5A1_HETGA
OG0000287	sp|Q12959|DLG1_HUMAN	tr|G5ALD4|G5ALD4_HETGA
OG0000288	sp|P49792|RBP2_HUMAN, sp|Q7Z3J3|RGPD4_HUMAN, sp|A6NKT7|RGPD3_HUMAN, sp|P0DJD0|RGPD1_HUMAN, sp|P0DJD1|RGPD2_HUMAN, sp|Q99666|RGPD5_HUMAN, sp|O14715|RGPD8_HUMAN	tr|G5CB92|G5CB92_HETGA
OG0000289	sp|P15104|GLNA_HUMAN	tr|G5BT34|G5BT34_HETGA, tr|G5APQ2|G5APQ2_HETGA, tr|G5BQB3|G5BQB3_HETGA, tr|G5B6D0|G5B6D0_HETGA, tr|G5ATT0|G5ATT0_HETGA, tr|G5C049|G5C049_HETGA, tr|G5BT12|G5BT12_HETGA
OG0000290	sp|P51812|KS6A3_HUMAN	tr|G5B3X2|G5B3X2_HETGA
OG0000290	sp|Q15418|KS6A1_HUMAN	tr|G5AUR8|G5AUR8_HETGA
OG0000290	sp|Q15349|KS6A2_HUMAN	tr|G5BDY1|G5BDY1_HETGA
OG0000290	sp|Q9UK32|KS6A6_HUMAN	tr|G5BZE1|G5BZE1_HETGA
OG0000291	sp|Q2M2H8|MGAL_HUMAN	tr|G5C5V2|G5C5V2_HETGA
OG0000291	sp|P14410|SUIS_HUMAN	tr|G5ATG2|G5ATG2_HETGA
OG0000291	sp|O43451|MGA_HUMAN	tr|G5BMC2|G5BMC2_HETGA, tr|G5AM51|G5AM51_HETGA, tr|G5AVS0|G5AVS0_HETGA
OG0000292	sp|Q9H223|EHD4_HUMAN	tr|G5BM21|G5BM21_HETGA
OG0000292	sp|Q9NZN4|EHD2_HUMAN	tr|G5AV18|G5AV18_HETGA
OG0000292	sp|Q9H4M9|EHD1_HUMAN	tr|G5B6N5|G5B6N5_HETGA
OG0000292	sp|Q9NZN3|EHD3_HUMAN	tr|G5B8M4|G5B8M4_HETGA
OG0000293	sp|Q7Z3Z0|K1C25_HUMAN	tr|G5AX70|G5AX70_HETGA
OG0000293	sp|Q7Z3Y9|K1C26_HUMAN	tr|G5AX69|G5AX69_HETGA
OG0000293	sp|Q7Z3Y7|K1C28_HUMAN	tr|G5AX67|G5AX67_HETGA
OG0000293	sp|Q7Z3Y8|K1C27_HUMAN	tr|G5AX68|G5AX68_HETGA
OG0000294	sp|A6NCN2|KR87P_HUMAN	tr|G5BL99|G5BL99_HETGA
OG0000294	sp|P78386|KRT85_HUMAN	tr|G5B3Q0|G5B3Q0_HETGA
OG0000294	sp|P78385|KRT83_HUMAN, sp|Q14533|KRT81_HUMAN	tr|G5BL97|G5BL97_HETGA
OG0000295	sp|O00398|P2Y10_HUMAN, sp|Q9BXC1|GP174_HUMAN, sp|Q99677|LPAR4_HUMAN, sp|P43657|LPAR6_HUMAN, sp|Q9Y271|CLTR1_HUMAN, sp|Q9NS75|CLTR2_HUMAN, sp|P32249|GP183_HUMAN	tr|G5C843|G5C843_HETGA
OG0000296	sp|P82279|CRUM1_HUMAN	tr|G5BP36|G5BP36_HETGA
OG0000296	sp|P08865|RSSA_HUMAN, tr|A0A8I5KQE6|A0A8I5KQE6_HUMAN	tr|G5C1T8|G5C1T8_HETGA, tr|G5BFN8|G5BFN8_HETGA, tr|G5ALW6|G5ALW6_HETGA, tr|G5BPX7|G5BPX7_HETGA
OG0000297	sp|Q14195|DPYL3_HUMAN	tr|G5BTH0|G5BTH0_HETGA
OG0000297	sp|Q16555|DPYL2_HUMAN	tr|G5BY99|G5BY99_HETGA
OG0000297	sp|O14531|DPYL4_HUMAN	tr|G5BFB4|G5BFB4_HETGA
OG0000297	sp|Q14194|DPYL1_HUMAN	tr|G5B318|G5B318_HETGA
OG0000298	sp|Q13177|PAK2_HUMAN	tr|G5ALC8|G5ALC8_HETGA, tr|G5AKE2|G5AKE2_HETGA
OG0000298	sp|O75914|PAK3_HUMAN	tr|G5C7Y8|G5C7Y8_HETGA
OG0000298	sp|Q13153|PAK1_HUMAN	tr|G5AW75|G5AW75_HETGA
OG0000299	sp|Q9UKV8|AGO2_HUMAN	tr|G5C8Y7|G5C8Y7_HETGA
OG0000299	sp|Q9H9G7|AGO3_HUMAN	tr|G5C6F2|G5C6F2_HETGA
OG0000299	sp|Q9HCK5|AGO4_HUMAN	tr|G5C6F0|G5C6F0_HETGA
OG0000299	sp|Q9UL18|AGO1_HUMAN	tr|G5C6F1|G5C6F1_HETGA
OG0000300	sp|Q9Y3Q4|HCN4_HUMAN	tr|G5BRF0|G5BRF0_HETGA
OG0000300	sp|Q9P1Z3|HCN3_HUMAN	tr|G5BDF9|G5BDF9_HETGA
OG0000300	sp|O60741|HCN1_HUMAN	tr|G5ARL1|G5ARL1_HETGA
OG0000300	sp|Q9UL51|HCN2_HUMAN	tr|G5C5W2|G5C5W2_HETGA
OG0000301	sp|Q14241|ELOA1_HUMAN	tr|G5BHY4|G5BHY4_HETGA
OG0000301	sp|Q8IYF1|ELOA2_HUMAN, tr|A0A087WVK4|A0A087WVK4_HUMAN, tr|A0A8I5KIY5|A0A8I5KIY5_HUMAN, tr|A0A8I5KDJ8|A0A8I5KDJ8_HUMAN, tr|A0A8I5KCP1|A0A8I5KCP1_HUMAN	tr|G5C138|G5C138_HETGA
OG0000302	sp|P07327|ADH1A_HUMAN, sp|P00326|ADH1G_HUMAN, sp|P00325|ADH1B_HUMAN, sp|P08319|ADH4_HUMAN, sp|P11766|ADHX_HUMAN, sp|P28332|ADH6_HUMAN, sp|P40394|ADH7_HUMAN	tr|G5AVQ9|G5AVQ9_HETGA
OG0000310	sp|O75534|CSDE1_HUMAN	tr|G5ATE9|G5ATE9_HETGA, tr|G5B658|G5B658_HETGA, tr|G5AW23|G5AW23_HETGA, tr|G5AQ96|G5AQ96_HETGA, tr|G5B452|G5B452_HETGA, tr|G5B3T4|G5B3T4_HETGA
OG0000311	sp|Q9UDX4|S14L3_HUMAN	tr|G5APU7|G5APU7_HETGA
OG0000311	sp|O76054|S14L2_HUMAN	tr|G5APU9|G5APU9_HETGA
OG0000311	sp|B5MCN3|S14L6_HUMAN, sp|Q9UDX3|S14L4_HUMAN	tr|G5APU6|G5APU6_HETGA
OG0000312	sp|P50148|GNAQ_HUMAN	tr|G5BLA6|G5BLA6_HETGA
OG0000312	sp|O95837|GNA14_HUMAN	tr|G5BLA5|G5BLA5_HETGA
OG0000312	sp|P29992|GNA11_HUMAN	tr|G5B0I0|G5B0I0_HETGA, tr|G5AKR3|G5AKR3_HETGA
OG0000313	sp|Q15365|PCBP1_HUMAN	tr|G5C6V6|G5C6V6_HETGA, tr|G5C2H1|G5C2H1_HETGA
OG0000313	sp|Q15366|PCBP2_HUMAN	tr|G5BZ62|G5BZ62_HETGA, tr|G5BEQ0|G5BEQ0_HETGA, tr|G5BIF5|G5BIF5_HETGA
OG0000314	sp|Q5F1R6|DJC21_HUMAN	tr|G5BQ91|G5BQ91_HETGA, tr|G5C5J4|G5C5J4_HETGA, tr|G5C8M8|G5C8M8_HETGA, tr|G5BXS4|G5BXS4_HETGA, tr|G5BAE3|G5BAE3_HETGA, tr|G5BIB9|G5BIB9_HETGA
OG0000315	sp|Q2TB90|HKDC1_HUMAN	tr|G5B183|G5B183_HETGA
OG0000315	sp|P19367|HXK1_HUMAN	tr|G5B184|G5B184_HETGA
OG0000315	sp|P52789|HXK2_HUMAN	tr|G5AXE1|G5AXE1_HETGA, tr|G5C1S8|G5C1S8_HETGA
OG0000316	sp|Q9Y484|WIPI4_HUMAN	tr|G5BJJ5|G5BJJ5_HETGA, tr|G5BJJ6|G5BJJ6_HETGA, tr|G5BRR6|G5BRR6_HETGA, tr|G5BDT9|G5BDT9_HETGA, tr|G5BDT8|G5BDT8_HETGA, tr|G5C953|G5C953_HETGA
OG0000317	sp|Q9Y5P0|O51B4_HUMAN	tr|G5BS36|G5BS36_HETGA
OG0000317	sp|Q9Y5P1|O51B2_HUMAN, sp|Q9H341|O51M1_HUMAN, sp|Q9H339|O51B5_HUMAN, sp|Q9H340|O51B6_HUMAN	tr|G5BS37|G5BS37_HETGA
OG0000318	sp|Q92526|TCPW_HUMAN, sp|P40227|TCPZ_HUMAN	tr|G5ASS3|G5ASS3_HETGA, tr|G5BKP9|G5BKP9_HETGA, tr|G5BCM6|G5BCM6_HETGA, tr|G5C3W0|G5C3W0_HETGA, tr|G5BRB8|G5BRB8_HETGA
OG0000319	sp|A8K7I4|CLCA1_HUMAN	tr|G5CB31|G5CB31_HETGA
OG0000319	sp|Q14CN2|CLCA4_HUMAN	tr|G5CB27|G5CB27_HETGA, tr|G5CB30|G5CB30_HETGA, tr|G5CB29|G5CB29_HETGA, tr|G5CB28|G5CB28_HETGA
OG0000320	sp|P13797|PLST_HUMAN	tr|G5AMW4|G5AMW4_HETGA, tr|G5C8S4|G5C8S4_HETGA
OG0000320	sp|P13796|PLSL_HUMAN	tr|G5C1E6|G5C1E6_HETGA
OG0000320	sp|Q14651|PLSI_HUMAN	tr|G5AZ54|G5AZ54_HETGA
OG0000321	sp|O95819|M4K4_HUMAN	tr|G5C8V8|G5C8V8_HETGA
OG0000321	sp|Q9UKE5|TNIK_HUMAN	tr|G5BT58|G5BT58_HETGA
OG0000321	sp|Q8N4C8|MINK1_HUMAN	tr|G5BWA2|G5BWA2_HETGA
OG0000322	sp|Q9UHC7|MKRN1_HUMAN	tr|G5B567|G5B567_HETGA
OG0000322	sp|Q13434|MKRN4_HUMAN	tr|G5BWQ0|G5BWQ0_HETGA, tr|G5C300|G5C300_HETGA, tr|G5C3M2|G5C3M2_HETGA, tr|G5C337|G5C337_HETGA
OG0000323	sp|Q8NGN6|O10G7_HUMAN, sp|Q8NGN5|O10G8_HUMAN, sp|Q8NGN3|O10G4_HUMAN, sp|Q8NGN4|O10G9_HUMAN	tr|G5C595|G5C595_HETGA, tr|G5C597|G5C597_HETGA, tr|G5C596|G5C596_HETGA
OG0000325	sp|P23416|GLRA2_HUMAN	tr|G5C7U9|G5C7U9_HETGA
OG0000325	sp|O75311|GLRA3_HUMAN	tr|G5AKC6|G5AKC6_HETGA
OG0000325	sp|P23415|GLRA1_HUMAN	tr|G5BN25|G5BN25_HETGA
OG0000326	sp|Q8NDX2|VGLU3_HUMAN	tr|G5BBI3|G5BBI3_HETGA
OG0000326	sp|Q9P2U8|VGLU2_HUMAN	tr|G5AR28|G5AR28_HETGA
OG0000326	sp|Q9BYT1|S17A9_HUMAN, sp|Q9P2U7|VGLU1_HUMAN	tr|G5B8N7|G5B8N7_HETGA
OG0000327	sp|Q8WU90|ZC3HF_HUMAN	tr|G5BWS3|G5BWS3_HETGA, tr|G5BDP2|G5BDP2_HETGA, tr|G5AVE0|G5AVE0_HETGA, tr|G5BYJ6|G5BYJ6_HETGA, tr|G5BKJ9|G5BKJ9_HETGA, tr|G5APF5|G5APF5_HETGA
OG0000328	sp|Q8WWQ0|PHIP_HUMAN	tr|G5BC11|G5BC11_HETGA
OG0000328	sp|Q9NSI6|BRWD1_HUMAN	tr|G5AM05|G5AM05_HETGA
OG0000328	sp|Q6RI45|BRWD3_HUMAN	tr|G5BM64|G5BM64_HETGA, tr|G5B3E3|G5B3E3_HETGA
OG0000329	sp|P40426|PBX3_HUMAN	tr|G5B6V4|G5B6V4_HETGA
OG0000329	sp|P40424|PBX1_HUMAN	tr|G5AQ27|G5AQ27_HETGA
OG0000329	sp|Q9BYU1|PBX4_HUMAN, sp|P40425|PBX2_HUMAN	tr|G5C3I6|G5C3I6_HETGA
OG0000330	sp|P10114|RAP2A_HUMAN	tr|G5BGX6|G5BGX6_HETGA, tr|G5B177|G5B177_HETGA
OG0000330	sp|Q9Y3L5|RAP2C_HUMAN	tr|G5B3J0|G5B3J0_HETGA
OG0000330	sp|P61225|RAP2B_HUMAN	tr|G5AJW4|G5AJW4_HETGA
OG0000331	sp|P15880|RS2_HUMAN	tr|G5AKT6|G5AKT6_HETGA, tr|G5BZ05|G5BZ05_HETGA, tr|G5ATV0|G5ATV0_HETGA, tr|G5C9I9|G5C9I9_HETGA, tr|G5B5U2|G5B5U2_HETGA, tr|G5BY57|G5BY57_HETGA
OG0000332	sp|Q92747|ARC1A_HUMAN	tr|G5AJV2|G5AJV2_HETGA, tr|G5BP88|G5BP88_HETGA, tr|G5AX88|G5AX88_HETGA, tr|G5ARU3|G5ARU3_HETGA, tr|G5C9U3|G5C9U3_HETGA, tr|G5B030|G5B030_HETGA
OG0000333	sp|Q8NGQ6|OR9I1_HUMAN	tr|G5B6T7|G5B6T7_HETGA, tr|G5B1E7|G5B1E7_HETGA, tr|G5BBL2|G5BBL2_HETGA, tr|G5BBL3|G5BBL3_HETGA, tr|G5AMP8|G5AMP8_HETGA, tr|G5AMQ6|G5AMQ6_HETGA
OG0000334	sp|Q15915|ZIC1_HUMAN	tr|G5AQB4|G5AQB4_HETGA
OG0000334	sp|Q8N9L1|ZIC4_HUMAN, sp|Q96T25|ZIC5_HUMAN, sp|O60481|ZIC3_HUMAN, sp|O95409|ZIC2_HUMAN	tr|G5B1U4|G5B1U4_HETGA
OG0000335	sp|P41229|KDM5C_HUMAN	tr|G5BAY8|G5BAY8_HETGA
OG0000335	sp|Q9BY66|KDM5D_HUMAN, sp|P29375|KDM5A_HUMAN	tr|G5BFK4|G5BFK4_HETGA, tr|G5B3K6|G5B3K6_HETGA, tr|G5BWQ1|G5BWQ1_HETGA
OG0000336	sp|P45983|MK08_HUMAN	tr|G5B0W2|G5B0W2_HETGA
OG0000336	sp|P53779|MK10_HUMAN	tr|G5C950|G5C950_HETGA
OG0000336	sp|P45984|MK09_HUMAN	tr|G5B172|G5B172_HETGA, tr|G5C7A6|G5C7A6_HETGA
OG0000338	sp|Q9NY56|OBP2A_HUMAN, sp|Q9NPH6|OBP2B_HUMAN	tr|G5B1T8|G5B1T8_HETGA, tr|G5BQR2|G5BQR2_HETGA, tr|G5B8J5|G5B8J5_HETGA, tr|G5ANW4|G5ANW4_HETGA, tr|G5B1T9|G5B1T9_HETGA
OG0000339	sp|Q06203|PUR1_HUMAN	tr|G5BS66|G5BS66_HETGA
OG0000339	sp|Q06210|GFPT1_HUMAN	tr|G5BNZ1|G5BNZ1_HETGA
OG0000339	sp|O94808|GFPT2_HUMAN	tr|G5C7A5|G5C7A5_HETGA
OG0000340	sp|Q9UKA9|PTBP2_HUMAN	tr|G5BDN9|G5BDN9_HETGA
OG0000340	sp|O95758|PTBP3_HUMAN	tr|G5BWR8|G5BWR8_HETGA
OG0000340	sp|P26599|PTBP1_HUMAN	tr|G5C5X1|G5C5X1_HETGA, tr|G5BKI3|G5BKI3_HETGA
OG0000341	sp|Q6Y2X3|DJC14_HUMAN	tr|G5BBA1|G5BBA1_HETGA, tr|G5C1H6|G5C1H6_HETGA, tr|G5AMN8|G5AMN8_HETGA, tr|G5ARS4|G5ARS4_HETGA, tr|G5BJP8|G5BJP8_HETGA, tr|G5BBS8|G5BBS8_HETGA
OG0000342	sp|Q9BYG3|MK67I_HUMAN	tr|G5B456|G5B456_HETGA, tr|G5APY2|G5APY2_HETGA, tr|G5BRM6|G5BRM6_HETGA, tr|G5BKC7|G5BKC7_HETGA, tr|G5AWW6|G5AWW6_HETGA, tr|G5AS30|G5AS30_HETGA
OG0000343	sp|P46937|YAP1_HUMAN	tr|G5BUB5|G5BUB5_HETGA, tr|G5ATD1|G5ATD1_HETGA, tr|G5B5V5|G5B5V5_HETGA, tr|G5C4L7|G5C4L7_HETGA, tr|G5C880|G5C880_HETGA, tr|G5AT69|G5AT69_HETGA
OG0000344	sp|Q8NGJ2|O52H1_HUMAN	tr|G5BS57|G5BS57_HETGA
OG0000344	sp|Q96RD2|O52B2_HUMAN	tr|G5BBR9|G5BBR9_HETGA
OG0000344	sp|Q8NGK2|O52B4_HUMAN	tr|G5B9B9|G5B9B9_HETGA
OG0000345	sp|Q9ULV0|MYO5B_HUMAN	tr|G5AX33|G5AX33_HETGA
OG0000345	sp|Q9NQX4|MYO5C_HUMAN	tr|G5C9D2|G5C9D2_HETGA
OG0000345	sp|Q9Y4I1|MYO5A_HUMAN	tr|G5C9D1|G5C9D1_HETGA
OG0000347	sp|Q9NQC7|CYLD_HUMAN	tr|G5C252|G5C252_HETGA, tr|G5B433|G5B433_HETGA, tr|G5BL75|G5BL75_HETGA, tr|G5AWB4|G5AWB4_HETGA, tr|G5B949|G5B949_HETGA, tr|G5AW00|G5AW00_HETGA
OG0000348	sp|O15020|SPTN2_HUMAN	tr|G5BWZ4|G5BWZ4_HETGA
OG0000348	sp|Q01082|SPTB2_HUMAN	tr|G5B8V8|G5B8V8_HETGA
OG0000348	sp|Q9NRC6|SPTN5_HUMAN, sp|P11277|SPTB1_HUMAN	tr|G5BD06|G5BD06_HETGA
OG0000349	sp|Q96KC2|ARL5B_HUMAN	tr|G5BMZ3|G5BMZ3_HETGA
OG0000349	sp|Q9Y689|ARL5A_HUMAN	tr|G5BIX8|G5BIX8_HETGA, tr|G5AQ14|G5AQ14_HETGA
OG0000349	sp|A6NH57|ARL5C_HUMAN	tr|G5C871|G5C871_HETGA
OG0000350	sp|Q9H0N0|RAB6C_HUMAN, sp|Q53S08|RAB6D_HUMAN	tr|G5B1W8|G5B1W8_HETGA
OG0000350	sp|P20340|RAB6A_HUMAN, sp|Q5JT25|RAB41_HUMAN, sp|Q9NRW1|RAB6B_HUMAN	tr|G5ASA2|G5ASA2_HETGA
OG0000351	sp|Q8NH76|O56B4_HUMAN	tr|G5BBS0|G5BBS0_HETGA
OG0000351	sp|Q8NGI3|O56B1_HUMAN	tr|G5ANS1|G5ANS1_HETGA, tr|G5ANR9|G5ANR9_HETGA
OG0000351	sp|Q8NGI1|O56B2_HUMAN	tr|G5ANR8|G5ANR8_HETGA
OG0000352	sp|Q09472|EP300_HUMAN	tr|G5BVC4|G5BVC4_HETGA
OG0000352	sp|Q92793|CBP_HUMAN	tr|G5C634|G5C634_HETGA, tr|G5BVC5|G5BVC5_HETGA, tr|G5BVC6|G5BVC6_HETGA, tr|G5B1G6|G5B1G6_HETGA
OG0000353	sp|Q9H2X9|S12A5_HUMAN	tr|G5B7Q2|G5B7Q2_HETGA
OG0000353	sp|Q9Y666|S12A7_HUMAN	tr|G5BPH9|G5BPH9_HETGA
OG0000353	sp|Q9UP95|S12A4_HUMAN, sp|Q9UHW9|S12A6_HUMAN	tr|G5C2A1|G5C2A1_HETGA
OG0000354	sp|P48065|S6A12_HUMAN	tr|G5BWQ3|G5BWQ3_HETGA
OG0000354	sp|Q9NSD5|S6A13_HUMAN	tr|G5BWQ2|G5BWQ2_HETGA
OG0000354	sp|P48067|SC6A9_HUMAN, sp|P48066|S6A11_HUMAN	tr|G5C226|G5C226_HETGA
OG0000355	sp|P14678|RSMB_HUMAN	tr|G5B4R7|G5B4R7_HETGA
OG0000355	sp|P63162|RSMN_HUMAN	tr|G5B3C1|G5B3C1_HETGA, tr|G5C3T8|G5C3T8_HETGA, tr|G5C8W5|G5C8W5_HETGA, tr|G5C215|G5C215_HETGA
OG0000356	sp|P62191|PRS4_HUMAN	tr|G5AZZ0|G5AZZ0_HETGA, tr|G5AJV0|G5AJV0_HETGA, tr|G5BQ40|G5BQ40_HETGA, tr|G5BJN6|G5BJN6_HETGA, tr|G5ANH0|G5ANH0_HETGA, tr|G5AMZ3|G5AMZ3_HETGA
OG0000357	sp|P32298|GRK4_HUMAN	tr|G5BCG8|G5BCG8_HETGA
OG0000357	sp|P34947|GRK5_HUMAN	tr|G5BVX1|G5BVX1_HETGA
OG0000357	sp|P43250|GRK6_HUMAN	tr|G5BQ10|G5BQ10_HETGA, tr|G5BAY0|G5BAY0_HETGA
OG0000358	sp|Q9NT68|TEN2_HUMAN	tr|G5BP45|G5BP45_HETGA
OG0000358	sp|Q9P273|TEN3_HUMAN	tr|G5CB37|G5CB37_HETGA
OG0000358	sp|Q9UKZ4|TEN1_HUMAN, sp|Q6N022|TEN4_HUMAN	tr|G5BEF2|G5BEF2_HETGA
OG0000359	sp|P12268|IMDH2_HUMAN	tr|G5BKE3|G5BKE3_HETGA, tr|G5BZV1|G5BZV1_HETGA
OG0000359	sp|P20839|IMDH1_HUMAN	tr|G5BHA1|G5BHA1_HETGA, tr|G5B885|G5B885_HETGA, tr|G5B731|G5B731_HETGA
OG0000360	sp|P38646|GRP75_HUMAN	tr|G5BA48|G5BA48_HETGA, tr|G5BC29|G5BC29_HETGA, tr|G5AQB6|G5AQB6_HETGA, tr|G5B9Y3|G5B9Y3_HETGA, tr|G5AZ64|G5AZ64_HETGA, tr|G5B3F0|G5B3F0_HETGA
OG0000361	sp|Q15172|2A5A_HUMAN	tr|G5BYQ7|G5BYQ7_HETGA
