Orthogroup	Homo_sapiens	Ornithorhynchus_anatinus
OG0002636	sp|Q8TCT0|CERK1_HUMAN	tr|F7CVX6|F7CVX6_ORNAN, tr|A0A6I8NND4|A0A6I8NND4_ORNAN
OG0002637	sp|O14672|ADA10_HUMAN	tr|A0A6I8NCT7|A0A6I8NCT7_ORNAN, tr|F7AW43|F7AW43_ORNAN
OG0002638	sp|P04217|A1BG_HUMAN	tr|F7CJ35|F7CJ35_ORNAN, tr|F7EXF3|F7EXF3_ORNAN
OG0002639	sp|P60323|NANO3_HUMAN	tr|F7BIJ7|F7BIJ7_ORNAN, tr|F7AWA9|F7AWA9_ORNAN
OG0002640	sp|P61247|RS3A_HUMAN	tr|A0A6I8NIK0|A0A6I8NIK0_ORNAN, tr|F7CNK4|F7CNK4_ORNAN
OG0002641	sp|A6NCI8|CB078_HUMAN	tr|F6VTW1|F6VTW1_ORNAN, tr|A0A6I8NYD9|A0A6I8NYD9_ORNAN
OG0002642	sp|Q12906|ILF3_HUMAN	tr|A0A6I8NM23|A0A6I8NM23_ORNAN, tr|A0A6I8N7R3|A0A6I8N7R3_ORNAN
OG0002643	sp|Q8IYS1|P20D2_HUMAN	tr|A0A6I8NQ92|A0A6I8NQ92_ORNAN, tr|A0A6I8NI59|A0A6I8NI59_ORNAN
OG0002644	sp|Q9H6L2|TM231_HUMAN	tr|A0A6I8PG81|A0A6I8PG81_ORNAN, tr|F7EEP0|F7EEP0_ORNAN
OG0002645	sp|O43680|TCF21_HUMAN	tr|F6UVM0|F6UVM0_ORNAN, tr|A0A6I8PMX0|A0A6I8PMX0_ORNAN
OG0002646	sp|O95201|ZN205_HUMAN	tr|A0A6I8N8L9|A0A6I8N8L9_ORNAN, tr|F6XAN0|F6XAN0_ORNAN
OG0002647	sp|O95239|KIF4A_HUMAN, sp|Q2VIQ3|KIF4B_HUMAN	tr|A0A6I8N9D1|A0A6I8N9D1_ORNAN
OG0002648	sp|P10916|MLRV_HUMAN	tr|F7FFU4|F7FFU4_ORNAN, tr|F6TQH6|F6TQH6_ORNAN
OG0002649	sp|Q502X0|MORN2_HUMAN	tr|F7BWT4|F7BWT4_ORNAN, tr|F6ZWT1|F6ZWT1_ORNAN
OG0002650	sp|Q6L8Q7|PDE12_HUMAN	tr|A0A6I8P333|A0A6I8P333_ORNAN, tr|F6SAD7|F6SAD7_ORNAN
OG0002651	sp|Q96GX2|A7L3B_HUMAN, sp|Q14CW9|AT7L3_HUMAN	tr|F7B178|F7B178_ORNAN
OG0002652	sp|Q96M95|CCD42_HUMAN, sp|A6NFT4|CFA73_HUMAN	tr|A0A6I8MXD0|A0A6I8MXD0_ORNAN
OG0002653	sp|Q9HD89|RETN_HUMAN, sp|Q9BQ08|RETNB_HUMAN	tr|A0A6I8NQG5|A0A6I8NQG5_ORNAN
OG0002654	sp|Q9UBQ7|GRHPR_HUMAN	tr|A0A6I8NY03|A0A6I8NY03_ORNAN, tr|F6RSC9|F6RSC9_ORNAN
OG0002656	sp|Q7Z4N8|P4HA3_HUMAN, sp|O15460|P4HA2_HUMAN	tr|A0A6I8P8K1|A0A6I8P8K1_ORNAN
OG0002657	sp|Q8NEM0|MCPH1_HUMAN	tr|A0A6I8MXW3|A0A6I8MXW3_ORNAN, tr|A0A6I8PCV2|A0A6I8PCV2_ORNAN
OG0002658	sp|Q9C0D9|EPT1_HUMAN	tr|F7C0Y7|F7C0Y7_ORNAN, tr|F7CUY9|F7CUY9_ORNAN
OG0002659	sp|Q8WVD5|RN141_HUMAN, sp|Q9NS56|TOPRS_HUMAN	tr|F7CHJ3|F7CHJ3_ORNAN
OG0002660	sp|Q9P2H5|UBP35_HUMAN, sp|Q8NB14|UBP38_HUMAN	tr|F7DTX2|F7DTX2_ORNAN
OG0002661	sp|P0DPD6|ECE2_HUMAN, sp|P0DPD8|EFCE2_HUMAN	tr|A0A6I8PRK3|A0A6I8PRK3_ORNAN
OG0002662	sp|Q12913|PTPRJ_HUMAN	tr|A0A6I8N662|A0A6I8N662_ORNAN, tr|A0A6I8N443|A0A6I8N443_ORNAN
OG0002663	sp|Q86TH1|ATL2_HUMAN	tr|A0A6I8P972|A0A6I8P972_ORNAN, tr|F6U9E5|F6U9E5_ORNAN
OG0002664	sp|Q8IZN7|D107A_HUMAN	tr|A0A6I8P4I4|A0A6I8P4I4_ORNAN, sp|P0C8A7|DEFB3_ORNAN
OG0002665	sp|Q9Y2H6|FND3A_HUMAN	tr|F6S2F1|F6S2F1_ORNAN, tr|A0A6I8NQU9|A0A6I8NQU9_ORNAN
OG0002666	sp|O95206|PCDH8_HUMAN	tr|A0A6I8NQS3|A0A6I8NQS3_ORNAN, tr|A0A6I8PBD3|A0A6I8PBD3_ORNAN
OG0002667	sp|Q13546|RIPK1_HUMAN	tr|F7CKP5|F7CKP5_ORNAN, tr|A0A6I8PAJ3|A0A6I8PAJ3_ORNAN
OG0002668	sp|Q99801|NKX31_HUMAN	tr|F7ENZ5|F7ENZ5_ORNAN, tr|A0A6I8NSP8|A0A6I8NSP8_ORNAN
OG0002669	sp|Q9NRC9|OTOR_HUMAN	tr|A0A6I8NYD7|A0A6I8NYD7_ORNAN, tr|A0A6I8P2F4|A0A6I8P2F4_ORNAN
OG0002670	sp|O43524|FOXO3_HUMAN, sp|A0A2Z4LIS9|FXO3B_HUMAN	tr|F6XNR4|F6XNR4_ORNAN
OG0002671	sp|O75052|CAPON_HUMAN	tr|F7CSF2|F7CSF2_ORNAN, tr|A0A6I8P8I6|A0A6I8P8I6_ORNAN
OG0002672	sp|Q96MZ0|GD1L1_HUMAN, sp|Q8TB36|GDAP1_HUMAN	tr|A0A6I8NRE8|A0A6I8NRE8_ORNAN
OG0002673	sp|Q3YEC7|RABL6_HUMAN	tr|A0A6I8NHN0|A0A6I8NHN0_ORNAN, tr|A0A6I8PS76|A0A6I8PS76_ORNAN
OG0002674	sp|Q4KMZ8|NKAI1_HUMAN, sp|Q5VXU1|NKAI2_HUMAN	tr|F7FNI9|F7FNI9_ORNAN
OG0002675	sp|Q68CJ6|SLIP_HUMAN	tr|F6RPB3|F6RPB3_ORNAN, tr|F7EEJ8|F7EEJ8_ORNAN
OG0002676	sp|Q71SY5|MED25_HUMAN, sp|Q86YD1|PTOV1_HUMAN	tr|A0A6I8NMY3|A0A6I8NMY3_ORNAN
OG0002677	sp|Q8NFU0|BEST4_HUMAN	tr|A0A6I8P982|A0A6I8P982_ORNAN, tr|A0A6I8NB55|A0A6I8NB55_ORNAN
OG0002678	sp|P24311|COX7B_HUMAN, sp|Q8TF08|CX7B2_HUMAN	tr|A0A6I8PC20|A0A6I8PC20_ORNAN
OG0002679	sp|Q16584|M3K11_HUMAN	tr|A0A6I8NB41|A0A6I8NB41_ORNAN, tr|A0A6I8P619|A0A6I8P619_ORNAN
OG0002680	sp|Q8TF05|PP4R1_HUMAN	tr|A0A6I8N8N4|A0A6I8N8N4_ORNAN, tr|F7ESD6|F7ESD6_ORNAN
OG0002681	sp|Q9GZT4|SRR_HUMAN	tr|A0A6I8PH84|A0A6I8PH84_ORNAN, tr|F6VSJ5|F6VSJ5_ORNAN
OG0002682	sp|Q9P0G3|KLK14_HUMAN	tr|F6PGC6|F6PGC6_ORNAN, tr|A0A6I8NXK1|A0A6I8NXK1_ORNAN
OG0002683	sp|A6NEC2|PSAL_HUMAN, sp|P55786|PSA_HUMAN	tr|F6QBE2|F6QBE2_ORNAN
OG0002684	sp|P47736|RPGP1_HUMAN	tr|A0A6I8P1Q1|A0A6I8P1Q1_ORNAN, tr|A0A6I8NB22|A0A6I8NB22_ORNAN
OG0002685	sp|Q8NGX5|O10K1_HUMAN	tr|F6XIC2|F6XIC2_ORNAN, tr|F7G706|F7G706_ORNAN
OG0002686	sp|Q9BZX2|UCK2_HUMAN, sp|Q9HA47|UCK1_HUMAN	tr|F7EGD4|F7EGD4_ORNAN
OG0002687	sp|Q99715|COCA1_HUMAN, sp|Q02388|CO7A1_HUMAN	tr|F7FXD5|F7FXD5_ORNAN
OG0002688	sp|P22415|USF1_HUMAN, sp|Q15853|USF2_HUMAN	tr|A0A6I8P8S1|A0A6I8P8S1_ORNAN
OG0002689	sp|A6NFN3|RFOX3_HUMAN, sp|Q9NWB1|RFOX1_HUMAN	tr|F6SR19|F6SR19_ORNAN
OG0002690	sp|A8MUU1|FB5L3_HUMAN, sp|Q01469|FABP5_HUMAN	tr|F7FRZ0|F7FRZ0_ORNAN
OG0002691	sp|O95947|TBX6_HUMAN	tr|A0A6I8PB57|A0A6I8PB57_ORNAN, tr|F6PNU6|F6PNU6_ORNAN
OG0002692	sp|Q96LB8|PGRP4_HUMAN, sp|Q96LB9|PGRP3_HUMAN	tr|A0A6I8PPD0|A0A6I8PPD0_ORNAN
OG0002693	sp|Q99501|GA2L1_HUMAN	tr|A0A6I8NIV3|A0A6I8NIV3_ORNAN, tr|A0A6I8NBF1|A0A6I8NBF1_ORNAN
OG0002694	sp|Q15569|TESK1_HUMAN	tr|A0A6I8PA55|A0A6I8PA55_ORNAN, tr|A0A6I8N9J5|A0A6I8N9J5_ORNAN
OG0002695	sp|Q9P1W9|PIM2_HUMAN, sp|Q86V86|PIM3_HUMAN	tr|A0A6I8NC79|A0A6I8NC79_ORNAN
OG0002696	sp|O95833|CLIC3_HUMAN	tr|F7DP96|F7DP96_ORNAN, tr|A0A6I8PEQ5|A0A6I8PEQ5_ORNAN
OG0002697	sp|Q53RD9|FBLN7_HUMAN	tr|A0A6I8N7Q9|A0A6I8N7Q9_ORNAN, tr|F6RSP8|F6RSP8_ORNAN
OG0002698	sp|Q8N6D2|RN182_HUMAN	tr|F7D323|F7D323_ORNAN, tr|F6VYB7|F6VYB7_ORNAN
OG0002699	sp|Q8NHX9|TPC2_HUMAN	tr|A0A7D9NKP3|A0A7D9NKP3_ORNAN, tr|F7D475|F7D475_ORNAN
OG0002700	sp|Q92747|ARC1A_HUMAN, sp|O15143|ARC1B_HUMAN	tr|F6QTB5|F6QTB5_ORNAN
OG0002701	sp|A0A0U1RQI7|KLF18_HUMAN, sp|Q9UIH9|KLF15_HUMAN	tr|F7CLT3|F7CLT3_ORNAN
OG0002702	sp|Q13609|DNSL3_HUMAN	tr|F7D6Z8|F7D6Z8_ORNAN, tr|A0A6I8NVQ4|A0A6I8NVQ4_ORNAN
OG0002703	sp|Q96A05|VATE2_HUMAN, sp|P36543|VATE1_HUMAN	tr|A0A6I8NZK7|A0A6I8NZK7_ORNAN
OG0002704	sp|Q15198|PGFRL_HUMAN	tr|A0A6I8PI21|A0A6I8PI21_ORNAN, tr|F7BWR1|F7BWR1_ORNAN
OG0002705	sp|Q86UW1|OSTA_HUMAN	tr|A0A6I8NMF9|A0A6I8NMF9_ORNAN, tr|A0A6I8P5D2|A0A6I8P5D2_ORNAN
OG0002706	sp|Q9H2W2|MIXL1_HUMAN	tr|F7EUM2|F7EUM2_ORNAN, tr|A0A6I8NF41|A0A6I8NF41_ORNAN
OG0002707	sp|Q9H8S9|MOB1A_HUMAN	tr|A0A6I8PQ46|A0A6I8PQ46_ORNAN, tr|A0A6I8P9W5|A0A6I8P9W5_ORNAN
OG0002708	sp|Q92777|SYN2_HUMAN	tr|A0A6I8NRN9|A0A6I8NRN9_ORNAN, tr|A0A6I8NWU2|A0A6I8NWU2_ORNAN
OG0002709	tr|A0A1W2PR95|A0A1W2PR95_HUMAN, sp|P78318|IGBP1_HUMAN	tr|A0A6I8NUA2|A0A6I8NUA2_ORNAN
OG0002710	sp|Q9UBX8|B4GT6_HUMAN, sp|O43286|B4GT5_HUMAN	tr|A0A6I8PGX7|A0A6I8PGX7_ORNAN
OG0002711	sp|Q5MY95|ENTP8_HUMAN	tr|F7CZW2|F7CZW2_ORNAN, tr|A0A6I8NSW7|A0A6I8NSW7_ORNAN
OG0002712	sp|Q6TFL3|CC171_HUMAN	tr|F7G167|F7G167_ORNAN, tr|F7FKZ0|F7FKZ0_ORNAN
OG0002713	sp|O00398|P2Y10_HUMAN	tr|A0A6I8NK74|A0A6I8NK74_ORNAN, tr|A0A6I8P163|A0A6I8P163_ORNAN
OG0002714	sp|Q9Y2Y8|PRG3_HUMAN, sp|P13727|PRG2_HUMAN	tr|F7DJB9|F7DJB9_ORNAN
OG0002715	sp|Q99680|GPR22_HUMAN	tr|F6ZNQ4|F6ZNQ4_ORNAN, tr|A0A6I8NTR4|A0A6I8NTR4_ORNAN
OG0002716	sp|Q9HAT1|LMA1L_HUMAN, sp|P49257|LMAN1_HUMAN	tr|F6SIY1|F6SIY1_ORNAN
OG0002717	sp|Q14457|BECN1_HUMAN, sp|A8MW95|BECN2_HUMAN	tr|F7DLU1|F7DLU1_ORNAN
OG0002718	sp|O60285|NUAK1_HUMAN	tr|F6RTJ5|F6RTJ5_ORNAN, tr|A0A6I8NPH4|A0A6I8NPH4_ORNAN
OG0002719	sp|P78412|IRX6_HUMAN, sp|P78413|IRX4_HUMAN	tr|A0A6I8PL72|A0A6I8PL72_ORNAN
OG0002720	sp|Q02040|AK17A_HUMAN	tr|F6ZHL0|F6ZHL0_ORNAN, tr|A0A6I8MY92|A0A6I8MY92_ORNAN
OG0002721	sp|Q86WA6|BPHL_HUMAN	tr|F7CKQ8|F7CKQ8_ORNAN, tr|A0A6I8PMH9|A0A6I8PMH9_ORNAN
OG0002722	sp|P42574|CASP3_HUMAN	tr|A0A6I8NMY8|A0A6I8NMY8_ORNAN, tr|A0A6I8N7K8|A0A6I8N7K8_ORNAN
OG0002723	sp|P51956|NEK3_HUMAN	tr|A0A6I8P9F5|A0A6I8P9F5_ORNAN, tr|F6W794|F6W794_ORNAN
OG0002724	sp|Q9UKI9|PO2F3_HUMAN	tr|F7FEG1|F7FEG1_ORNAN, tr|F6WZL9|F6WZL9_ORNAN
OG0002725	sp|Q15831|STK11_HUMAN	tr|F7EF25|F7EF25_ORNAN, tr|W8BZ02|W8BZ02_ORNAN
OG0002726	sp|Q6W2J9|BCOR_HUMAN, sp|Q8N888|BCOR2_HUMAN	tr|A0A6I8PJJ0|A0A6I8PJJ0_ORNAN
OG0002727	sp|Q9BXA6|TSSK6_HUMAN	tr|F6RC58|F6RC58_ORNAN, tr|F7FPB8|F7FPB8_ORNAN
OG0002728	sp|Q13472|TOP3A_HUMAN	tr|F6Z0N0|F6Z0N0_ORNAN, tr|A0A6I8MYW7|A0A6I8MYW7_ORNAN
OG0002729	sp|Q9H649|NSUN3_HUMAN, sp|Q96CB9|NSUN4_HUMAN	tr|F7DVP4|F7DVP4_ORNAN
OG0002730	sp|Q96IZ5|RBM41_HUMAN	tr|A0A6I8MZQ3|A0A6I8MZQ3_ORNAN, tr|A0A6I8MX65|A0A6I8MX65_ORNAN
OG0002731	sp|A0MZ66|SHOT1_HUMAN	tr|A0A6I8PIZ0|A0A6I8PIZ0_ORNAN, tr|A0A6I8N9D9|A0A6I8N9D9_ORNAN
OG0002732	sp|P56159|GFRA1_HUMAN	tr|F7GDA5|F7GDA5_ORNAN, tr|A0A6I8P881|A0A6I8P881_ORNAN
OG0002733	sp|Q6UY11|DLK2_HUMAN	tr|A0A6I8P5A0|A0A6I8P5A0_ORNAN, tr|A0A6I8PC71|A0A6I8PC71_ORNAN
OG0002734	sp|P31930|QCR1_HUMAN, sp|O75439|MPPB_HUMAN	tr|F7FEC1|F7FEC1_ORNAN
OG0002735	sp|O14653|GOSR2_HUMAN	tr|A0A6I8PIU4|A0A6I8PIU4_ORNAN, tr|A0A6I8NUL5|A0A6I8NUL5_ORNAN
OG0002736	sp|Q12891|HYAL2_HUMAN	tr|F6Y407|F6Y407_ORNAN, tr|F7G4T3|F7G4T3_ORNAN
OG0002737	sp|Q8WXI2|CNKR2_HUMAN	tr|A0A6I8NKE2|A0A6I8NKE2_ORNAN, tr|F6XS37|F6XS37_ORNAN
OG0002738	sp|Q9BVL4|SELO_HUMAN	tr|K7EE50|K7EE50_ORNAN, tr|F6ZVU6|F6ZVU6_ORNAN
OG0002739	sp|O95931|CBX7_HUMAN	tr|F6U3G8|F6U3G8_ORNAN, tr|A0A6I8N0E9|A0A6I8N0E9_ORNAN
OG0002740	sp|Q8IZD6|S22AF_HUMAN	tr|F7AQL8|F7AQL8_ORNAN, tr|A0A6I8NNZ5|A0A6I8NNZ5_ORNAN
OG0002741	sp|Q9H3Q3|G3ST2_HUMAN	tr|F6YIV9|F6YIV9_ORNAN, tr|A0A6I8NHP5|A0A6I8NHP5_ORNAN
OG0002742	sp|P09912|IFI6_HUMAN	tr|F6T3K5|F6T3K5_ORNAN, tr|A0A6I8NZ89|A0A6I8NZ89_ORNAN
OG0002743	sp|Q13523|PRP4B_HUMAN	tr|A0A6I8NSZ4|A0A6I8NSZ4_ORNAN, tr|A0A6I8P297|A0A6I8P297_ORNAN
OG0002744	sp|Q86V24|PAQR2_HUMAN	tr|A0A6I8NCW0|A0A6I8NCW0_ORNAN, tr|F7F368|F7F368_ORNAN
OG0002745	sp|Q8N196|SIX5_HUMAN	tr|A0A6I8NCE7|A0A6I8NCE7_ORNAN, tr|A0A6I8PIR0|A0A6I8PIR0_ORNAN
OG0002746	sp|Q9H579|MROH8_HUMAN	tr|F6S560|F6S560_ORNAN, tr|A0A6I8PK26|A0A6I8PK26_ORNAN
OG0002747	sp|O60927|PP1RB_HUMAN	tr|F7BXW8|F7BXW8_ORNAN, tr|A0A6I8PHT7|A0A6I8PHT7_ORNAN
OG0002748	sp|Q6ZP29|LAAT1_HUMAN	tr|F6RK42|F6RK42_ORNAN, tr|F7C123|F7C123_ORNAN
OG0002749	sp|Q9H160|ING2_HUMAN	tr|A0A6I8NWG1|A0A6I8NWG1_ORNAN, tr|A0A6I8NPC7|A0A6I8NPC7_ORNAN
OG0002750	sp|P25101|EDNRA_HUMAN	tr|F6VIX5|F6VIX5_ORNAN, tr|A0A6I8PI95|A0A6I8PI95_ORNAN
OG0002751	sp|Q8NCB2|CAMKV_HUMAN	tr|F7EC83|F7EC83_ORNAN, tr|A0A6I8P6Q3|A0A6I8P6Q3_ORNAN
OG0002752	sp|Q9BX79|STRA6_HUMAN	tr|F6SK71|F6SK71_ORNAN, tr|A0A6I8PGN5|A0A6I8PGN5_ORNAN
OG0002753	sp|P15090|FABP4_HUMAN	tr|A0A6I8NGR1|A0A6I8NGR1_ORNAN, tr|A0A6I8N4L9|A0A6I8N4L9_ORNAN
OG0002754	sp|Q9BYR8|KRA31_HUMAN	tr|A0A6I8PM27|A0A6I8PM27_ORNAN, tr|F7BUS0|F7BUS0_ORNAN
OG0002755	sp|Q9UBY0|SL9A2_HUMAN	tr|F7F968|F7F968_ORNAN, tr|A0A6I8NGI9|A0A6I8NGI9_ORNAN
OG0002756	sp|Q9Y4I5|MTL5_HUMAN	tr|A0A6I8NX86|A0A6I8NX86_ORNAN, tr|A0A6I8N8Z3|A0A6I8N8Z3_ORNAN
OG0002757	sp|O60318|GANP_HUMAN	tr|K7EDP1|K7EDP1_ORNAN, tr|A0A6I8PQC5|A0A6I8PQC5_ORNAN
OG0002758	sp|P46379|BAG6_HUMAN	tr|K7EFA7|K7EFA7_ORNAN, sp|A7X5R6|BAG6_ORNAN
OG0002759	sp|Q9BTP6|ZBED2_HUMAN	tr|F7G3I7|F7G3I7_ORNAN, tr|A0A6I8NQW5|A0A6I8NQW5_ORNAN
OG0002760	sp|P58658|EVA1C_HUMAN	tr|F7GC87|F7GC87_ORNAN, tr|F6Z742|F6Z742_ORNAN
OG0002761	sp|Q13501|SQSTM_HUMAN	tr|A0A6I8P366|A0A6I8P366_ORNAN, tr|F7BXQ2|F7BXQ2_ORNAN
OG0002762	sp|Q14789|GOGB1_HUMAN	tr|A0A6I8PR33|A0A6I8PR33_ORNAN, tr|F7CIY8|F7CIY8_ORNAN
OG0002763	sp|P22234|PUR6_HUMAN	tr|A0A6I8N3N0|A0A6I8N3N0_ORNAN, tr|F6W6Y5|F6W6Y5_ORNAN
OG0002764	sp|P61970|NTF2_HUMAN	tr|A0A6I8NDV4|A0A6I8NDV4_ORNAN, tr|A0A6I8PIF9|A0A6I8PIF9_ORNAN
OG0002765	sp|O94919|ENDD1_HUMAN	tr|F6U935|F6U935_ORNAN, tr|K7E841|K7E841_ORNAN
OG0002766	sp|Q96C03|MID49_HUMAN	tr|F7FZ56|F7FZ56_ORNAN, tr|A0A6I8PGR2|A0A6I8PGR2_ORNAN
OG0002767	sp|Q9UPY5|XCT_HUMAN	tr|A0A6I8NR86|A0A6I8NR86_ORNAN, tr|F7ANJ8|F7ANJ8_ORNAN
OG0002768	sp|Q9Y6X3|SCC4_HUMAN	tr|F7FZT8|F7FZT8_ORNAN, tr|A0A6I8PEI6|A0A6I8PEI6_ORNAN
OG0002784	sp|A6NCL1|GEMC1_HUMAN	tr|F7DXQ7|F7DXQ7_ORNAN
OG0002785	sp|O15182|CETN3_HUMAN	tr|A0A6I8N3J6|A0A6I8N3J6_ORNAN
OG0002786	sp|O15552|FFAR2_HUMAN	tr|F6VHN4|F6VHN4_ORNAN
OG0002787	sp|O43731|ERD23_HUMAN	tr|K7EFN6|K7EFN6_ORNAN
OG0002788	sp|O95926|SYF2_HUMAN	tr|A0A6I8N0K9|A0A6I8N0K9_ORNAN
OG0002789	sp|P17081|RHOQ_HUMAN	tr|A0A6I8NHU4|A0A6I8NHU4_ORNAN
OG0002790	sp|P22003|BMP5_HUMAN	tr|F7FIN8|F7FIN8_ORNAN
OG0002791	sp|P23759|PAX7_HUMAN	tr|A0A6I8NAG5|A0A6I8NAG5_ORNAN
OG0002792	sp|P28360|MSX1_HUMAN	tr|A0A6I8NIF4|A0A6I8NIF4_ORNAN
OG0002793	sp|P31267|HXA6_HUMAN	tr|F7EBY1|F7EBY1_ORNAN
OG0002794	sp|P36021|MOT8_HUMAN	tr|F7BHA6|F7BHA6_ORNAN
OG0002795	sp|P54253|ATX1_HUMAN	tr|A0A6I8NNW7|A0A6I8NNW7_ORNAN
OG0002796	sp|Q09019|DMWD_HUMAN	tr|A0A6I8NT65|A0A6I8NT65_ORNAN
OG0002797	sp|Q12981|SEC20_HUMAN	tr|A0A6I8NSF7|A0A6I8NSF7_ORNAN
OG0002798	sp|Q13214|SEM3B_HUMAN	tr|A0A6I8N2Q7|A0A6I8N2Q7_ORNAN
OG0002799	sp|Q13535|ATR_HUMAN	tr|A0A6I8NKR0|A0A6I8NKR0_ORNAN
OG0002800	sp|Q4G163|FBX43_HUMAN	tr|A0A6I8NDC7|A0A6I8NDC7_ORNAN
OG0002801	sp|Q5TF39|MFS4B_HUMAN	tr|K7EDH7|K7EDH7_ORNAN
OG0002802	sp|Q5TIA1|MEI1_HUMAN	tr|F7AUF9|F7AUF9_ORNAN
OG0002803	sp|Q6NV75|GP153_HUMAN	tr|F6PU54|F6PU54_ORNAN
OG0002804	sp|Q6NZY7|BORG3_HUMAN	tr|A0A6I8PDN0|A0A6I8PDN0_ORNAN
OG0002806	sp|Q6URK8|TEPP_HUMAN	tr|A0A6I8NYU8|A0A6I8NYU8_ORNAN
OG0002808	sp|Q86YV5|PRAG1_HUMAN	tr|A0A6I8P539|A0A6I8P539_ORNAN
OG0002809	sp|Q8IU57|INLR1_HUMAN	tr|A0A6I8N555|A0A6I8N555_ORNAN
OG0002810	sp|Q8IVV8|NKAI4_HUMAN	tr|F7DEW6|F7DEW6_ORNAN
OG0002811	sp|Q8IX01|SUGP2_HUMAN	tr|A0A6I8NTS7|A0A6I8NTS7_ORNAN
OG0002812	sp|Q8N128|F177A_HUMAN	tr|F6PG82|F6PG82_ORNAN
OG0002813	sp|Q8NAT1|PMGT2_HUMAN	tr|F6TKM2|F6TKM2_ORNAN
OG0002814	sp|Q8NB25|F184A_HUMAN	tr|A0A6I8NYQ4|A0A6I8NYQ4_ORNAN
OG0002815	sp|Q8NE63|HIPK4_HUMAN	tr|F6USB0|F6USB0_ORNAN
OG0002816	sp|Q8NEB7|ACRBP_HUMAN	tr|A0A6I8PBM0|A0A6I8PBM0_ORNAN
OG0002817	sp|Q8TBY0|RBM46_HUMAN	tr|F6SUX6|F6SUX6_ORNAN
OG0002818	sp|Q96CA5|BIRC7_HUMAN	tr|K7E9I1|K7E9I1_ORNAN
OG0002819	sp|Q96G97|BSCL2_HUMAN	tr|A0A6I8NHJ2|A0A6I8NHJ2_ORNAN
OG0002820	sp|Q96HD1|CREL1_HUMAN	tr|F6TYU2|F6TYU2_ORNAN
OG0002821	sp|Q96HD9|ACY3_HUMAN	tr|K7EI09|K7EI09_ORNAN
OG0002822	sp|Q96HI0|SENP5_HUMAN	tr|A0A6I8PNC3|A0A6I8PNC3_ORNAN
OG0002823	sp|Q96NH3|BROMI_HUMAN	tr|F6TH68|F6TH68_ORNAN
OG0002824	sp|Q96SZ5|AEDO_HUMAN	tr|F6RU52|F6RU52_ORNAN
OG0002825	sp|Q9BQ61|TRIR_HUMAN	tr|A0A6I8PGF9|A0A6I8PGF9_ORNAN
OG0002826	sp|Q9BU40|CRDL1_HUMAN	tr|F7AJ85|F7AJ85_ORNAN
OG0002827	sp|Q9BV40|VAMP8_HUMAN	tr|A0A6I8P4C9|A0A6I8P4C9_ORNAN
OG0002828	sp|Q9BYG0|B3GN5_HUMAN	tr|F7D0E1|F7D0E1_ORNAN
OG0002829	sp|Q9BZE3|BARH1_HUMAN	tr|A0A6I8NMH0|A0A6I8NMH0_ORNAN
OG0002830	sp|Q9BZL4|PP12C_HUMAN	tr|A0A6I8NUU1|A0A6I8NUU1_ORNAN
OG0002831	sp|Q9C086|IN80B_HUMAN	tr|F6TT63|F6TT63_ORNAN
OG0002832	sp|Q9H2E6|SEM6A_HUMAN	tr|A0A6I8NDS3|A0A6I8NDS3_ORNAN
OG0002833	sp|Q9H8J5|MANS1_HUMAN	tr|A0A6I8PB76|A0A6I8PB76_ORNAN
OG0002834	sp|Q9NVZ3|NECP2_HUMAN	tr|F6UMG4|F6UMG4_ORNAN
OG0002835	sp|Q9NZC4|EHF_HUMAN	tr|F6PQA3|F6PQA3_ORNAN
OG0002836	sp|Q9P0V8|SLAF8_HUMAN	tr|A0A6I8MXU3|A0A6I8MXU3_ORNAN
OG0002837	sp|Q9P2E3|ZNFX1_HUMAN	tr|F6XDN7|F6XDN7_ORNAN
OG0002838	sp|Q9UL25|RAB21_HUMAN	tr|A0A6I8PGN7|A0A6I8PGN7_ORNAN
OG0002839	sp|Q9Y421|FA32A_HUMAN	tr|A0A6I8NUE4|A0A6I8NUE4_ORNAN
OG0002840	sp|A6H8M9|CDHR4_HUMAN	tr|F7EUF5|F7EUF5_ORNAN
OG0002841	sp|A9YTQ3|AHRR_HUMAN	tr|F7E0C2|F7E0C2_ORNAN
OG0002842	sp|O14867|BACH1_HUMAN	tr|A0A6I8P0G2|A0A6I8P0G2_ORNAN
OG0002843	sp|O15547|P2RX6_HUMAN	tr|F6SNM7|F6SNM7_ORNAN
OG0002844	sp|O75078|ADA11_HUMAN	tr|A0A6I8N8C6|A0A6I8N8C6_ORNAN
OG0002845	sp|O75387|LAT3_HUMAN	tr|F7FT44|F7FT44_ORNAN
OG0002846	sp|O95479|G6PE_HUMAN	tr|F7A5Q3|F7A5Q3_ORNAN
OG0002847	sp|O95772|STR3N_HUMAN	tr|A0A6I8MZ54|A0A6I8MZ54_ORNAN
OG0002848	sp|P06729|CD2_HUMAN	tr|A0A6I8MXJ4|A0A6I8MXJ4_ORNAN
OG0002849	sp|P0DMC3|ELA_HUMAN	tr|A0A6I8NSL9|A0A6I8NSL9_ORNAN
OG0002851	sp|P46777|RL5_HUMAN	tr|F7FG88|F7FG88_ORNAN
OG0002852	sp|P51816|AFF2_HUMAN	tr|A0A6I8NP25|A0A6I8NP25_ORNAN
OG0002853	sp|P51888|PRELP_HUMAN	tr|A0A6I8NZI9|A0A6I8NZI9_ORNAN
