Orthogroup	Homo_sapiens	Phyllostomus_discolor
OG0001454	sp|Q5T2W1|NHRF3_HUMAN, sp|A8MUH7|PDZ1P_HUMAN	tr|A0A6J2KS92|A0A6J2KS92_9CHIR
OG0001456	sp|Q9H4I8|SEHL2_HUMAN, sp|Q9NQF3|SERHL_HUMAN	tr|A0A7E6D8I5|A0A7E6D8I5_9CHIR
OG0001457	sp|Q9NRZ5|PLCD_HUMAN, sp|Q9NRZ7|PLCC_HUMAN	tr|A0A6J2L0G5|A0A6J2L0G5_9CHIR
OG0001458	sp|O15117|FYB1_HUMAN	tr|A0A6J2N6V0|A0A6J2N6V0_9CHIR, tr|A0A7E6DCT7|A0A7E6DCT7_9CHIR
OG0001459	sp|P13224|GP1BB_HUMAN, sp|Q7Z2Q7|LRR70_HUMAN	tr|A0A6J2MW39|A0A6J2MW39_9CHIR
OG0001460	sp|P47929|LEG7_HUMAN	tr|A0A6J2N857|A0A6J2N857_9CHIR, tr|A0A6J2N768|A0A6J2N768_9CHIR
OG0001463	sp|B3SHH9|TM114_HUMAN, sp|A6NFC5|TM235_HUMAN	tr|A0A6J2MX67|A0A6J2MX67_9CHIR
OG0001464	sp|P0CE72|ONCO_HUMAN, sp|P0CE71|OCM2_HUMAN	tr|A0A6J2N3V7|A0A6J2N3V7_9CHIR
OG0001465	sp|A0A1B0GWK0|PVLEF_HUMAN, sp|P20472|PRVA_HUMAN	tr|A0A6J2NA51|A0A6J2NA51_9CHIR
OG0001466	sp|P98168|ZXDA_HUMAN, sp|P98169|ZXDB_HUMAN	tr|A0A6J2MI09|A0A6J2MI09_9CHIR
OG0001467	sp|Q9UHA3|RLP24_HUMAN	tr|A0A7E6D0F4|A0A7E6D0F4_9CHIR, tr|A0A6J2L715|A0A6J2L715_9CHIR
OG0001468	sp|O43291|SPIT2_HUMAN	tr|A0A6J2MZ67|A0A6J2MZ67_9CHIR, tr|A0A7E6EE51|A0A7E6EE51_9CHIR
OG0001469	sp|Q06055|AT5G2_HUMAN	tr|A0A6J2N784|A0A6J2N784_9CHIR, tr|A0A6J2M8E5|A0A6J2M8E5_9CHIR
OG0001470	sp|Q75N03|HAKAI_HUMAN, sp|Q8N7E2|CBLL2_HUMAN	tr|A0A6J2MNN8|A0A6J2MNN8_9CHIR
OG0001471	sp|O43866|CD5L_HUMAN, sp|Q8WTU2|SRB4D_HUMAN	tr|A0A6J2M4F7|A0A6J2M4F7_9CHIR
OG0001472	sp|Q6ZTU2|E400N_HUMAN, sp|Q96L91|EP400_HUMAN	tr|A0A7E6CTV9|A0A7E6CTV9_9CHIR
OG0001473	sp|Q9BYR7|KRA32_HUMAN, sp|Q9BYR6|KRA33_HUMAN	tr|A0A6J2MI08|A0A6J2MI08_9CHIR
OG0001474	sp|O75787|RENR_HUMAN	tr|A0A6J2MGQ2|A0A6J2MGQ2_9CHIR, tr|A0A6J2L3M9|A0A6J2L3M9_9CHIR
OG0001475	sp|B7ZAQ6|GPHRA_HUMAN, sp|P0CG08|GPHRB_HUMAN	tr|A0A6J2KUE0|A0A6J2KUE0_9CHIR
OG0001476	sp|P22626|ROA2_HUMAN	tr|A0A7E6DBD2|A0A7E6DBD2_9CHIR, tr|A0A6J2MTE5|A0A6J2MTE5_9CHIR
OG0001477	sp|P51809|VAMP7_HUMAN	tr|A0A6J2MED7|A0A6J2MED7_9CHIR, tr|A0A7E6DVX4|A0A7E6DVX4_9CHIR
OG0001478	sp|Q1L5Z9|LONF2_HUMAN, sp|Q496Y0|LONF3_HUMAN	tr|A0A7E6D1G5|A0A7E6D1G5_9CHIR
OG0001479	sp|Q96JN0|LCOR_HUMAN, sp|Q8N3X6|LCORL_HUMAN	tr|A0A7E6DUS3|A0A7E6DUS3_9CHIR
OG0001480	sp|Q96P71|NECA3_HUMAN, sp|Q8N987|NECA1_HUMAN	tr|A0A6J2MQ60|A0A6J2MQ60_9CHIR
OG0001481	sp|A0A1B0GVS7|MDFI2_HUMAN, sp|Q9P1T7|MDFIC_HUMAN	tr|A0A6J2MP13|A0A6J2MP13_9CHIR
OG0001482	sp|Q9ULW6|NP1L2_HUMAN, sp|A6NFF2|NP1L6_HUMAN	tr|A0A6J2MGZ3|A0A6J2MGZ3_9CHIR
OG0001483	sp|Q02543|RL18A_HUMAN	tr|A0A6J2MB00|A0A6J2MB00_9CHIR, tr|A0A7E6DHH7|A0A7E6DHH7_9CHIR
OG0001484	sp|Q12791|KCMA1_HUMAN	tr|A0A7E6EHI1|A0A7E6EHI1_9CHIR, tr|A0A7E6DW21|A0A7E6DW21_9CHIR
OG0001485	sp|Q86WS3|OOSP2_HUMAN, sp|A8MZH6|OOSP1_HUMAN	tr|A0A6J2LSY8|A0A6J2LSY8_9CHIR
OG0001486	sp|Q9Y2B1|RXLT1_HUMAN	tr|A0A7E6D8L2|A0A7E6D8L2_9CHIR, tr|A0A6J2L3M5|A0A6J2L3M5_9CHIR
OG0001487	sp|E5RIL1|UPKL2_HUMAN, sp|B0FP48|UPK3L_HUMAN	tr|A0A7E6DBY1|A0A7E6DBY1_9CHIR
OG0001488	sp|O75452|RDH16_HUMAN, sp|O14756|H17B6_HUMAN	tr|A0A6J2NBP0|A0A6J2NBP0_9CHIR
OG0001490	sp|P09093|CEL3A_HUMAN, sp|P08861|CEL3B_HUMAN	tr|A0A7E6DQC8|A0A7E6DQC8_9CHIR
OG0001491	sp|Q9H1M0|N62CL_HUMAN, sp|P37198|NUP62_HUMAN	tr|A0A6J2N086|A0A6J2N086_9CHIR
OG0001492	sp|Q6UWV6|ENPP7_HUMAN	tr|A0A7E6DDK3|A0A7E6DDK3_9CHIR, tr|A0A7E6CDZ9|A0A7E6CDZ9_9CHIR
OG0001493	sp|Q99624|S38A3_HUMAN, sp|Q8WUX1|S38A5_HUMAN	tr|A0A6J2M2E9|A0A6J2M2E9_9CHIR
OG0001494	sp|Q9BRT6|LLPH_HUMAN	tr|A0A6J2N703|A0A6J2N703_9CHIR, tr|A0A7E6D2D8|A0A7E6D2D8_9CHIR
OG0001495	sp|Q9BY19|M4A8_HUMAN	tr|A0A7E6E2Y9|A0A7E6E2Y9_9CHIR, tr|A0A6J2M1F6|A0A6J2M1F6_9CHIR
OG0001496	sp|Q93008|USP9X_HUMAN, sp|O00507|USP9Y_HUMAN	tr|A0A7E6D001|A0A7E6D001_9CHIR
OG0001497	sp|P51959|CCNG1_HUMAN	tr|A0A7E6D5R7|A0A7E6D5R7_9CHIR, tr|A0A6J2MWW5|A0A6J2MWW5_9CHIR
OG0001499	sp|Q14094|CCNI_HUMAN, sp|Q6ZMN8|CCNI2_HUMAN	tr|A0A6J2L1X2|A0A6J2L1X2_9CHIR
OG0001500	sp|Q7L2K0|TEDC2_HUMAN	tr|A0A7E6CX75|A0A7E6CX75_9CHIR, tr|A0A6J2LGK1|A0A6J2LGK1_9CHIR
OG0001501	sp|Q9H0Q3|FXYD6_HUMAN, sp|P58550|FXYD8_HUMAN	tr|A0A6J2M463|A0A6J2M463_9CHIR
OG0001502	sp|Q9UBR5|CKLF_HUMAN, sp|Q8IZ96|CKLF1_HUMAN	tr|A0A6J2KX36|A0A6J2KX36_9CHIR
OG0001504	sp|A6NMN3|F170B_HUMAN, sp|A1A519|F170A_HUMAN	tr|A0A6J2L0J5|A0A6J2L0J5_9CHIR
OG0001505	sp|P05787|K2C8_HUMAN	tr|A0A7E6D2C9|A0A7E6D2C9_9CHIR, tr|A0A6J2N9S9|A0A6J2N9S9_9CHIR
OG0001506	sp|P47985|UCRI_HUMAN, sp|P0C7P4|UCRIL_HUMAN	tr|A0A6J2L2L6|A0A6J2L2L6_9CHIR
OG0001507	sp|Q8IWL1|SFPA2_HUMAN, sp|Q8IWL2|SFTA1_HUMAN	tr|A0A6J2LQU5|A0A6J2LQU5_9CHIR
OG0001508	sp|Q9Y2D0|CAH5B_HUMAN, sp|Q8WTZ4|CA5BL_HUMAN	tr|A0A7E6D3F9|A0A7E6D3F9_9CHIR
OG0001509	sp|P98170|XIAP_HUMAN, sp|Q96P09|BIRC8_HUMAN	tr|A0A6J2MF75|A0A6J2MF75_9CHIR
OG0001510	sp|P0C645|OR4E1_HUMAN	tr|A0A6J2L3B0|A0A6J2L3B0_9CHIR, tr|A0A6J2L1H7|A0A6J2L1H7_9CHIR
OG0001511	sp|Q66K66|TM198_HUMAN	tr|A0A7E6D6U9|A0A7E6D6U9_9CHIR, tr|A0A6J2LHN7|A0A6J2LHN7_9CHIR
OG0001512	sp|Q8WWI5|CTL1_HUMAN, sp|Q8N4M1|CTL3_HUMAN	tr|A0A7E6DFY1|A0A7E6DFY1_9CHIR
OG0001513	sp|Q9UJU3|ZN112_HUMAN	tr|A0A7E6CPJ2|A0A7E6CPJ2_9CHIR, tr|A0A6J2N6T6|A0A6J2N6T6_9CHIR
OG0001514	sp|P36222|CH3L1_HUMAN, sp|Q15782|CH3L2_HUMAN	tr|A0A6J2NAY4|A0A6J2NAY4_9CHIR
OG0001515	sp|Q6ZUA9|MROH5_HUMAN	tr|A0A7E6E9F1|A0A7E6E9F1_9CHIR, tr|A0A7E6E8H3|A0A7E6E8H3_9CHIR
OG0001516	sp|Q8IYW4|ENTD1_HUMAN, sp|O95208|EPN2_HUMAN	tr|A0A6J2NE45|A0A6J2NE45_9CHIR
OG0001517	sp|Q96EF6|FBX17_HUMAN, sp|Q8NI29|FBX27_HUMAN	tr|A0A7E6CRC9|A0A7E6CRC9_9CHIR
OG0001518	sp|Q9HBJ7|UBP29_HUMAN, sp|Q9BXU7|UBP26_HUMAN	tr|A0A6J2MM25|A0A6J2MM25_9CHIR
OG0001519	sp|Q99944|EGFL8_HUMAN, sp|Q9UHF1|EGFL7_HUMAN	tr|A0A7E6DH20|A0A7E6DH20_9CHIR
OG0001520	sp|P00738|HPT_HUMAN, sp|P00739|HPTR_HUMAN	tr|A0A7E6CM72|A0A7E6CM72_9CHIR
OG0001521	sp|Q6P575|BGP11_HUMAN, sp|P08236|BGLR_HUMAN	tr|A0A6J2MIY7|A0A6J2MIY7_9CHIR
OG0001522	sp|Q9H1C3|GL8D2_HUMAN, sp|Q68CQ7|GL8D1_HUMAN	tr|A0A6J2N988|A0A6J2N988_9CHIR
OG0001523	sp|Q8NC69|KCTD6_HUMAN, sp|Q8N5I3|KCNRG_HUMAN	tr|A0A6J2M479|A0A6J2M479_9CHIR
OG0001524	sp|Q93009|UBP7_HUMAN	tr|A0A6J2L0D9|A0A6J2L0D9_9CHIR, tr|A0A6J2M585|A0A6J2M585_9CHIR
OG0001525	sp|Q99218|AMELY_HUMAN, sp|Q99217|AMELX_HUMAN	tr|A0A6J2MEI4|A0A6J2MEI4_9CHIR
OG0001526	sp|O15488|GLYG2_HUMAN, sp|P46976|GLYG_HUMAN	tr|A0A7E6D3C5|A0A7E6D3C5_9CHIR
OG0001527	sp|O43809|CPSF5_HUMAN	tr|A0A7E6DCN9|A0A7E6DCN9_9CHIR, tr|A0A6J2KU64|A0A6J2KU64_9CHIR
OG0001528	sp|P05538|DQB2_HUMAN, sp|P01920|DQB1_HUMAN	tr|A0A6J2LDQ5|A0A6J2LDQ5_9CHIR
OG0001529	sp|P0C617|O5AL1_HUMAN	tr|A0A6J2LXY2|A0A6J2LXY2_9CHIR, tr|A0A6J2LWF4|A0A6J2LWF4_9CHIR
OG0001530	sp|P21291|CSRP1_HUMAN, sp|Q16527|CSRP2_HUMAN	tr|A0A6J2N3I3|A0A6J2N3I3_9CHIR
OG0001531	sp|P22105|TENX_HUMAN, sp|Q16473|TENXA_HUMAN	tr|A0A7E6DKV1|A0A7E6DKV1_9CHIR
OG0001532	sp|Q6PIV2|FOXR1_HUMAN, sp|Q6PJQ5|FOXR2_HUMAN	tr|A0A7E6DYR0|A0A7E6DYR0_9CHIR
OG0001533	sp|Q8N609|TR1L1_HUMAN, sp|Q15629|TRAM1_HUMAN	tr|A0A6J2NHQ8|A0A6J2NHQ8_9CHIR
OG0001534	sp|Q9NY59|NSMA2_HUMAN	tr|A0A6J2NCM4|A0A6J2NCM4_9CHIR, tr|A0A6J2KXA8|A0A6J2KXA8_9CHIR
OG0001535	sp|Q8NAP1|CAST3_HUMAN, sp|A6NHX0|CAST2_HUMAN	tr|A0A6J2LZZ7|A0A6J2LZZ7_9CHIR
OG0001536	sp|Q9H9S4|CB39L_HUMAN, sp|Q9Y376|CAB39_HUMAN	tr|A0A6J2LH79|A0A6J2LH79_9CHIR
OG0001537	sp|Q9Y337|KLK5_HUMAN, sp|Q9Y5K2|KLK4_HUMAN	tr|A0A6J2MYP7|A0A6J2MYP7_9CHIR
OG0001538	sp|O43824|GTPB6_HUMAN	tr|A0A6J2KUX0|A0A6J2KUX0_9CHIR, tr|A0A6J2L1S7|A0A6J2L1S7_9CHIR
OG0001539	sp|O95050|INMT_HUMAN, sp|P40261|NNMT_HUMAN	tr|A0A6J2LXR4|A0A6J2LXR4_9CHIR
OG0001540	sp|P26373|RL13_HUMAN	tr|A0A7E6CF68|A0A7E6CF68_9CHIR, tr|A0A6J2KQU8|A0A6J2KQU8_9CHIR
OG0001541	sp|Q6UX06|OLFM4_HUMAN	tr|A0A6J2MSJ0|A0A6J2MSJ0_9CHIR, tr|A0A7E6E055|A0A7E6E055_9CHIR
OG0001542	sp|Q86Y33|CD20B_HUMAN, sp|Q12834|CDC20_HUMAN	tr|A0A7E6DRF9|A0A7E6DRF9_9CHIR
OG0001543	sp|Q99661|KIF2C_HUMAN	tr|A0A7E6E911|A0A7E6E911_9CHIR, tr|A0A6J2LP92|A0A6J2LP92_9CHIR
OG0001544	sp|Q5TAP6|UT14C_HUMAN, sp|Q9BVJ6|UT14A_HUMAN	tr|A0A6J2MJD6|A0A6J2MJD6_9CHIR
OG0001545	sp|Q9H444|CHM4B_HUMAN, sp|P59074|CHM4P_HUMAN	tr|A0A6J2MK32|A0A6J2MK32_9CHIR
OG0001548	sp|Q6PJE2|POZP3_HUMAN, sp|P21754|ZP3_HUMAN	tr|A0A6J2M139|A0A6J2M139_9CHIR
OG0001549	sp|P26718|NKG2D_HUMAN	tr|A0A7E6DAE6|A0A7E6DAE6_9CHIR, tr|A0A7E6D7Q8|A0A7E6D7Q8_9CHIR
OG0001550	sp|Q16553|LY6E_HUMAN, sp|O43653|PSCA_HUMAN	tr|A0A6J2NCG3|A0A6J2NCG3_9CHIR
OG0001551	sp|Q8NHY5|HUS1B_HUMAN, sp|O60921|HUS1_HUMAN	tr|A0A6J2M5F8|A0A6J2M5F8_9CHIR
OG0001552	sp|Q9NP60|IRPL2_HUMAN, sp|Q9NZN1|IRPL1_HUMAN	tr|A0A6J2MLB2|A0A6J2MLB2_9CHIR
OG0001553	sp|Q9P000|COMD9_HUMAN	tr|A0A6J2M3N5|A0A6J2M3N5_9CHIR, tr|A0A7E6CLQ8|A0A7E6CLQ8_9CHIR
OG0001554	sp|Q01081|U2AF1_HUMAN, sp|Q8WU68|U2AF4_HUMAN	tr|A0A6J2L1G5|A0A6J2L1G5_9CHIR
OG0001555	sp|Q8TF30|WHAMM_HUMAN, sp|Q1A5X7|WHAL1_HUMAN	tr|A0A7E6CQ05|A0A7E6CQ05_9CHIR
OG0001556	sp|Q6P474|PDXD2_HUMAN, sp|Q6P996|PDXD1_HUMAN	tr|A0A7E6DC95|A0A7E6DC95_9CHIR
OG0001557	sp|Q7L1Q6|5MP2_HUMAN	tr|A0A7E6DLI8|A0A7E6DLI8_9CHIR, tr|A0A6J2LL14|A0A6J2LL14_9CHIR
OG0001558	sp|Q8NGK6|O52I1_HUMAN, sp|Q8NH67|O52I2_HUMAN	tr|A0A7E6E044|A0A7E6E044_9CHIR
OG0001560	sp|Q9C019|TRI15_HUMAN, sp|Q9UDY6|TRI10_HUMAN	tr|A0A6J2LFH2|A0A6J2LFH2_9CHIR
OG0001561	sp|A6NFU8|PGPIL_HUMAN, sp|Q9NXJ5|PGPI_HUMAN	tr|A0A6J2MB77|A0A6J2MB77_9CHIR
OG0001562	sp|Q92817|EVPL_HUMAN, sp|A8MZ36|EVPLL_HUMAN	tr|A0A6J2MB64|A0A6J2MB64_9CHIR
OG0001563	sp|O43542|XRCC3_HUMAN, sp|O15315|RA51B_HUMAN	tr|A0A6J2L732|A0A6J2L732_9CHIR
OG0001564	sp|Q8N271|PROM2_HUMAN, sp|O43490|PROM1_HUMAN	tr|A0A6J2LA46|A0A6J2LA46_9CHIR
OG0001565	sp|Q00325|MPCP_HUMAN	tr|A0A7E6DSQ8|A0A7E6DSQ8_9CHIR, tr|A0A7E6D8J5|A0A7E6D8J5_9CHIR
OG0001566	sp|Q12792|TWF1_HUMAN, sp|Q6IBS0|TWF2_HUMAN	tr|A0A6J2NCM1|A0A6J2NCM1_9CHIR
OG0001567	sp|Q96MC4|C295L_HUMAN, sp|Q9C0D2|CE295_HUMAN	tr|A0A7E6DZD8|A0A7E6DZD8_9CHIR
OG0001568	sp|Q9NNX6|CD209_HUMAN, sp|Q9H2X3|CLC4M_HUMAN	tr|A0A7E6ECH4|A0A7E6ECH4_9CHIR
OG0001569	sp|Q9Y3L3|3BP1_HUMAN, sp|Q6ZT62|BGIN_HUMAN	tr|A0A6J2NGI1|A0A6J2NGI1_9CHIR
OG0001570	sp|O15205|UBD_HUMAN	tr|A0A6J2LGU9|A0A6J2LGU9_9CHIR, tr|A0A6J2LFH9|A0A6J2LFH9_9CHIR
OG0001571	sp|P0DI82|TPC2B_HUMAN, sp|P0DI81|TPC2A_HUMAN	tr|A0A6J2MGD5|A0A6J2MGD5_9CHIR
OG0001572	sp|Q96S86|HPLN3_HUMAN, sp|P10915|HPLN1_HUMAN	tr|A0A6J2MKJ7|A0A6J2MKJ7_9CHIR
OG0001573	sp|P48039|MTR1A_HUMAN, sp|P49286|MTR1B_HUMAN	tr|A0A6J2MRM0|A0A6J2MRM0_9CHIR
OG0001574	sp|P18577|RHCE_HUMAN, sp|Q02161|RHD_HUMAN	tr|A0A6J2LTB0|A0A6J2LTB0_9CHIR
OG0001575	sp|Q96S42|NODAL_HUMAN	tr|A0A7E6CKZ6|A0A7E6CKZ6_9CHIR, tr|A0A6J2LLT1|A0A6J2LLT1_9CHIR
OG0001576	sp|Q99613|EIF3C_HUMAN, sp|B5ME19|EIFCL_HUMAN	tr|A0A6J2N1N2|A0A6J2N1N2_9CHIR
OG0001577	sp|Q9H773|DCTP1_HUMAN	tr|A0A6J2LWK0|A0A6J2LWK0_9CHIR, tr|A0A7E6DDT3|A0A7E6DDT3_9CHIR
OG0001578	sp|Q92478|CLC2B_HUMAN, sp|Q9UHP7|CLC2D_HUMAN	tr|A0A7E6D7S7|A0A7E6D7S7_9CHIR
OG0001579	sp|O43760|SNG2_HUMAN, sp|A8MWL6|SNG2L_HUMAN	tr|A0A6J2M9M0|A0A6J2M9M0_9CHIR
OG0001580	sp|P82279|CRUM1_HUMAN, sp|Q5IJ48|CRUM2_HUMAN	tr|A0A6J2LYS2|A0A6J2LYS2_9CHIR
OG0001581	sp|Q9HCL2|GPAT1_HUMAN, sp|Q6NUI2|GPAT2_HUMAN	tr|A0A6J2LQN3|A0A6J2LQN3_9CHIR
OG0001582	sp|Q6DWJ6|GP139_HUMAN, sp|Q7Z601|GP142_HUMAN	tr|A0A6J2MB18|A0A6J2MB18_9CHIR
OG0001583	sp|O94768|ST17B_HUMAN, sp|Q9UEE5|ST17A_HUMAN	tr|A0A6J2LFV2|A0A6J2LFV2_9CHIR
OG0001584	sp|P49454|CENPF_HUMAN	tr|A0A7E6CPF1|A0A7E6CPF1_9CHIR, tr|A0A7E6CYA0|A0A7E6CYA0_9CHIR
OG0001585	sp|Q6PP77|XKR2_HUMAN, sp|Q5GH77|XKR3_HUMAN	tr|A0A6J2MH11|A0A6J2MH11_9CHIR
OG0001586	sp|Q9NSN8|SNTG1_HUMAN, sp|Q9NY99|SNTG2_HUMAN	tr|A0A6J2M4V5|A0A6J2M4V5_9CHIR
OG0001588	sp|O15217|GSTA4_HUMAN	tr|A0A6J2LCZ0|A0A6J2LCZ0_9CHIR, tr|A0A6J2LF71|A0A6J2LF71_9CHIR
OG0001590	sp|P56851|EP3B_HUMAN, sp|Q14507|EP3A_HUMAN	tr|A0A7E6DWN5|A0A7E6DWN5_9CHIR
OG0001591	sp|Q86XK3|SFR1_HUMAN	tr|A0A7E6DWP1|A0A7E6DWP1_9CHIR, tr|A0A7E6DF52|A0A7E6DF52_9CHIR
OG0001592	sp|Q96D09|GASP2_HUMAN, sp|Q5JY77|GASP1_HUMAN	tr|A0A6J2MFU6|A0A6J2MFU6_9CHIR
OG0001593	sp|Q9Y289|SC5A6_HUMAN	tr|A0A7E6E473|A0A7E6E473_9CHIR, tr|A0A6J2LXT4|A0A6J2LXT4_9CHIR
OG0001594	sp|P62491|RB11A_HUMAN, sp|Q15907|RB11B_HUMAN	tr|A0A6J2L7S6|A0A6J2L7S6_9CHIR
OG0001595	sp|Q8NEA9|GMCL2_HUMAN, sp|Q96IK5|GMCL1_HUMAN	tr|A0A6J2M1A2|A0A6J2M1A2_9CHIR
OG0001596	tr|A0A8I5KTY6|A0A8I5KTY6_HUMAN, sp|Q15776|ZKSC8_HUMAN	tr|A0A6J2KVP1|A0A6J2KVP1_9CHIR
OG0001597	sp|P09669|COX6C_HUMAN	tr|A0A6J2KY24|A0A6J2KY24_9CHIR, tr|A0A7E6E804|A0A7E6E804_9CHIR
OG0001598	sp|P0C862|C1T9A_HUMAN, sp|B2RNN3|C1T9B_HUMAN	tr|A0A6J2N8K5|A0A6J2N8K5_9CHIR
OG0001599	sp|Q8ND61|CC020_HUMAN	tr|A0A6J2M3Y1|A0A6J2M3Y1_9CHIR, tr|A0A7E6D7Y7|A0A7E6D7Y7_9CHIR
OG0001600	sp|K9M1U5|IFNL4_HUMAN	tr|A0A6J2N1P8|A0A6J2N1P8_9CHIR, tr|A0A7E6CP58|A0A7E6CP58_9CHIR
OG0001601	sp|O15172|PSPHL_HUMAN, sp|P78330|SERB_HUMAN	tr|A0A6J2LQP8|A0A6J2LQP8_9CHIR
OG0001602	sp|Q9H6X2|ANTR1_HUMAN, sp|A6NF34|ANTRL_HUMAN	tr|A0A6J2LXI2|A0A6J2LXI2_9CHIR
OG0001603	sp|P25311|ZA2G_HUMAN	tr|A0A6J2LA22|A0A6J2LA22_9CHIR, tr|A0A7E6D9X3|A0A7E6D9X3_9CHIR
OG0001605	sp|P0C7U1|ASA2B_HUMAN, sp|Q9NR71|ASAH2_HUMAN	tr|A0A6J2LN83|A0A6J2LN83_9CHIR
OG0001606	sp|Q9Y6M9|NDUB9_HUMAN	tr|A0A6J2NCY2|A0A6J2NCY2_9CHIR, tr|A0A7E6DAH6|A0A7E6DAH6_9CHIR
OG0001607	sp|Q96NS8|CLUP3_HUMAN, sp|O75153|CLU_HUMAN	tr|A0A7E6EDX8|A0A7E6EDX8_9CHIR
OG0001608	sp|P49638|TTPA_HUMAN	tr|A0A7E6E875|A0A7E6E875_9CHIR, tr|A0A6J2NIG8|A0A6J2NIG8_9CHIR
OG0001609	sp|Q86VL8|S47A2_HUMAN	tr|A0A6J2NFB8|A0A6J2NFB8_9CHIR, tr|A0A7E6EBV0|A0A7E6EBV0_9CHIR
OG0001610	sp|Q8TDS4|HCAR2_HUMAN, sp|P49019|HCAR3_HUMAN	tr|A0A6J2MV93|A0A6J2MV93_9CHIR
OG0001611	sp|Q8WW24|TEKT4_HUMAN, sp|Q8WZ33|MAFIP_HUMAN	tr|A0A6J2N487|A0A6J2N487_9CHIR
OG0001612	sp|O75131|CPNE3_HUMAN, sp|Q99829|CPNE1_HUMAN	tr|A0A6J2M6P9|A0A6J2M6P9_9CHIR
OG0001613	sp|Q9UM73|ALK_HUMAN, sp|P29376|LTK_HUMAN	tr|A0A7E6E2Q7|A0A7E6E2Q7_9CHIR
OG0001614	sp|Q9Y615|ACL7A_HUMAN	tr|A0A6J2KR40|A0A6J2KR40_9CHIR, tr|A0A6J2MGM9|A0A6J2MGM9_9CHIR
OG0001615	sp|Q8NB59|SYT14_HUMAN, sp|Q58G82|SY14L_HUMAN	tr|A0A6J2N429|A0A6J2N429_9CHIR
OG0001616	sp|Q7L513|FCRLA_HUMAN, sp|Q6DN72|FCRL6_HUMAN	tr|A0A7E6CWU3|A0A7E6CWU3_9CHIR
OG0001617	sp|Q8IWY8|ZSC29_HUMAN, sp|Q9NX65|ZSC32_HUMAN	tr|A0A6J2L4V4|A0A6J2L4V4_9CHIR
OG0001619	sp|Q8NAM6|ZSCA4_HUMAN	tr|A0A6J2N4L9|A0A6J2N4L9_9CHIR, tr|A0A6J2N4E4|A0A6J2N4E4_9CHIR
OG0001620	sp|O43290|SNUT1_HUMAN	tr|A0A7E6CR12|A0A7E6CR12_9CHIR, tr|A0A6J2M3Z4|A0A6J2M3Z4_9CHIR
OG0001621	sp|P37108|SRP14_HUMAN	tr|A0A7E6ED11|A0A7E6ED11_9CHIR, tr|A0A6J2L853|A0A6J2L853_9CHIR
OG0001622	sp|Q49A26|GLYR1_HUMAN	tr|A0A6J2MGV3|A0A6J2MGV3_9CHIR, tr|A0A7E6DBS8|A0A7E6DBS8_9CHIR
OG0001623	sp|Q6P2D0|ZFP1_HUMAN	tr|A0A7E6CPV4|A0A7E6CPV4_9CHIR, tr|A0A7E6CF30|A0A7E6CF30_9CHIR
OG0001624	sp|Q6P995|F171B_HUMAN	tr|A0A6J2LIS6|A0A6J2LIS6_9CHIR, tr|A0A6J2LDI3|A0A6J2LDI3_9CHIR
OG0001625	sp|Q6PF15|KLH35_HUMAN, sp|Q6TFL4|KLH24_HUMAN	tr|A0A6J2L0U9|A0A6J2L0U9_9CHIR
OG0001626	sp|Q9Y4E1|WAC2C_HUMAN, sp|Q641Q2|WAC2A_HUMAN	tr|A0A6J2LK13|A0A6J2LK13_9CHIR
OG0001627	sp|O60397|COX7S_HUMAN, sp|P14406|CX7A2_HUMAN	tr|A0A6J2LEE1|A0A6J2LEE1_9CHIR
OG0001628	sp|P20848|A1ATR_HUMAN, sp|P01009|A1AT_HUMAN	tr|A0A6J2L6R7|A0A6J2L6R7_9CHIR
OG0001629	sp|P11387|TOP1_HUMAN, sp|Q969P6|TOP1M_HUMAN	tr|A0A6J2MJE1|A0A6J2MJE1_9CHIR
OG0001630	sp|P80162|CXCL6_HUMAN, sp|P42830|CXCL5_HUMAN	tr|A0A6J2L3F7|A0A6J2L3F7_9CHIR
OG0001631	sp|Q6NTF7|ABC3H_HUMAN, sp|Q9GZX7|AICDA_HUMAN	tr|A0A6J2NG38|A0A6J2NG38_9CHIR
OG0001632	sp|Q75MW2|ZN767_HUMAN, sp|Q6NUN9|ZN746_HUMAN	tr|A0A6J2MQJ0|A0A6J2MQJ0_9CHIR
OG0001633	sp|Q8N1Q1|CAH13_HUMAN, sp|P00915|CAH1_HUMAN	tr|A0A6J2M5E7|A0A6J2M5E7_9CHIR
OG0001634	sp|Q8WUJ0|STYX_HUMAN	tr|A0A6J2L8I1|A0A6J2L8I1_9CHIR, tr|A0A7E6D1A9|A0A7E6D1A9_9CHIR
OG0001635	sp|Q8WVT3|TPC12_HUMAN	tr|A0A7E6DX86|A0A7E6DX86_9CHIR, tr|A0A6J2M076|A0A6J2M076_9CHIR
OG0001636	sp|O15266|SHOX_HUMAN, sp|O60902|SHOX2_HUMAN	tr|A0A6J2L039|A0A6J2L039_9CHIR
OG0001637	sp|P00973|OAS1_HUMAN	tr|A0A7E6DRZ8|A0A7E6DRZ8_9CHIR, tr|A0A6J2N2R1|A0A6J2N2R1_9CHIR
OG0001638	sp|P62861|RS30_HUMAN, sp|A6NDN8|UBIML_HUMAN	tr|A0A6J2LYY7|A0A6J2LYY7_9CHIR
