Orthogroup	Homo_sapiens	Ictidomys_tridecemlineatus
OG0000222	sp|Q9UIA0|CYH4_HUMAN	tr|A0A287D9C2|A0A287D9C2_ICTTR
OG0000222	sp|Q15438|CYH1_HUMAN	tr|I3M4J2|I3M4J2_ICTTR
OG0000222	sp|Q99418|CYH2_HUMAN	tr|I3LWA2|I3LWA2_ICTTR
OG0000222	sp|O43739|CYH3_HUMAN	tr|A0A287DE83|A0A287DE83_ICTTR
OG0000223	sp|P06753|TPM3_HUMAN	tr|I3N3G2|I3N3G2_ICTTR
OG0000223	sp|P67936|TPM4_HUMAN	tr|A0A287CSB3|A0A287CSB3_ICTTR, tr|I3NAM1|I3NAM1_ICTTR, tr|A0A287DBS3|A0A287DBS3_ICTTR, tr|I3N766|I3N766_ICTTR, tr|I3N690|I3N690_ICTTR
OG0000224	sp|Q05639|EF1A2_HUMAN	tr|I3N3B8|I3N3B8_ICTTR
OG0000224	sp|Q5VTE0|EF1A3_HUMAN, sp|P68104|EF1A1_HUMAN	tr|A0A287D6W3|A0A287D6W3_ICTTR, tr|A0A287D423|A0A287D423_ICTTR, tr|A0A287D737|A0A287D737_ICTTR, tr|I3MA74|I3MA74_ICTTR
OG0000226	sp|A1A580|KR231_HUMAN, sp|Q3LI76|KR151_HUMAN, sp|Q3SY46|KR133_HUMAN, sp|Q3LI77|KR134_HUMAN, sp|Q8IUC0|KR131_HUMAN, sp|Q52LG2|KR132_HUMAN	tr|A0A287DGB9|A0A287DGB9_ICTTR
OG0000227	sp|Q8TD07|RAE1E_HUMAN, sp|Q5VY80|ULBP6_HUMAN, sp|Q9BZM5|ULBP2_HUMAN, sp|Q6H3X3|ULBP5_HUMAN, sp|Q9BZM6|ULBP1_HUMAN, sp|Q9BZM4|ULBP3_HUMAN	tr|I3LYH2|I3LYH2_ICTTR
OG0000228	sp|Q01955|CO4A3_HUMAN	tr|A0A287D8U1|A0A287D8U1_ICTTR, tr|I3MYD3|I3MYD3_ICTTR, tr|I3M3Z8|I3M3Z8_ICTTR, tr|I3LW59|I3LW59_ICTTR, tr|I3M358|I3M358_ICTTR, tr|I3N655|I3N655_ICTTR
OG0000229	sp|Q9BV35|SCMC3_HUMAN	tr|I3M0B5|I3M0B5_ICTTR
OG0000229	sp|Q6KCM7|SCMC2_HUMAN	tr|I3MVF5|I3MVF5_ICTTR
OG0000229	sp|Q6NUK1|SCMC1_HUMAN	tr|I3N408|I3N408_ICTTR, tr|I3MS45|I3MS45_ICTTR
OG0000230	sp|Q96R27|OR2M4_HUMAN	tr|I3NEV8|I3NEV8_ICTTR
OG0000230	sp|Q96R28|OR2M2_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG81|OR2M7_HUMAN	tr|I3MSR0|I3MSR0_ICTTR
OG0000231	sp|Q14241|ELOA1_HUMAN, sp|Q8IYF1|ELOA2_HUMAN, tr|A0A087WVK4|A0A087WVK4_HUMAN, tr|A0A8I5KCP1|A0A8I5KCP1_HUMAN, tr|A0A8I5KDJ8|A0A8I5KDJ8_HUMAN, tr|A0A8I5KIY5|A0A8I5KIY5_HUMAN	tr|I3MXY2|I3MXY2_ICTTR
OG0000232	sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|O95221|OR5F1_HUMAN, sp|Q8NGP9|O5AR1_HUMAN, sp|Q8NGR4|OR5C1_HUMAN	tr|I3N5U7|I3N5U7_ICTTR
OG0000234	sp|A8MTI9|PRS47_HUMAN, sp|Q9NRR2|TRYG1_HUMAN, sp|Q9BZJ3|TRYD_HUMAN, sp|P20231|TRYB2_HUMAN, sp|Q15661|TRYB1_HUMAN	tr|I3M1T8|I3M1T8_ICTTR, tr|A0A287CYY7|A0A287CYY7_ICTTR
OG0000235	sp|P14091|CATE_HUMAN	tr|A0A287DE23|A0A287DE23_ICTTR
OG0000235	sp|P20142|PEPC_HUMAN, sp|P0DJD8|PEPA3_HUMAN, sp|P0DJD7|PEPA4_HUMAN, sp|P0DJD9|PEPA5_HUMAN	tr|I3NG57|I3NG57_ICTTR
OG0000238	sp|Q9UDX3|S14L4_HUMAN	tr|I3MLY5|I3MLY5_ICTTR
OG0000238	sp|Q9UDX4|S14L3_HUMAN	tr|I3MLY0|I3MLY0_ICTTR
OG0000238	sp|O76054|S14L2_HUMAN	tr|I3N3S4|I3N3S4_ICTTR
OG0000239	sp|Q13064|MKRN3_HUMAN	tr|I3M785|I3M785_ICTTR
OG0000239	sp|Q6NVV0|MKRN5_HUMAN	tr|I3NC50|I3NC50_ICTTR
OG0000239	sp|Q13434|MKRN4_HUMAN, sp|Q9UHC7|MKRN1_HUMAN	tr|A0A287D5G2|A0A287D5G2_ICTTR
OG0000240	sp|Q8WZ94|OR5P3_HUMAN	tr|I3M852|I3M852_ICTTR
OG0000240	sp|Q8WZ92|OR5P2_HUMAN	tr|I3NH14|I3NH14_ICTTR, tr|I3MNX0|I3MNX0_ICTTR, tr|A0A287D7X2|A0A287D7X2_ICTTR, tr|I3NH39|I3NH39_ICTTR
OG0000241	sp|O95416|SOX14_HUMAN, sp|Q9Y651|SOX21_HUMAN, sp|Q05066|SRY_HUMAN, sp|Q06945|SOX4_HUMAN, sp|O15370|SOX12_HUMAN, sp|P35716|SOX11_HUMAN	tr|A0A287D385|A0A287D385_ICTTR
OG0000242	sp|Q8NH64|O51A7_HUMAN	tr|I3N8Y5|I3N8Y5_ICTTR
OG0000242	sp|Q8NGJ5|O51L1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NGJ7|O51A2_HUMAN	tr|I3MZ53|I3MZ53_ICTTR
OG0000245	sp|P22626|ROA2_HUMAN	tr|A0A287D861|A0A287D861_ICTTR, tr|A0A287DBH7|A0A287DBH7_ICTTR, tr|A0A287DAC3|A0A287DAC3_ICTTR, tr|A0A287DAU9|A0A287DAU9_ICTTR, tr|I3N8Q7|I3N8Q7_ICTTR, tr|A0A287D2B0|A0A287D2B0_ICTTR
OG0000246	sp|Q5T764|IFT1B_HUMAN	tr|I3NFG2|I3NFG2_ICTTR, tr|I3MYN8|I3MYN8_ICTTR, tr|I3NE72|I3NE72_ICTTR
OG0000246	sp|P09914|IFIT1_HUMAN, sp|Q13325|IFIT5_HUMAN	tr|I3N037|I3N037_ICTTR
OG0000247	sp|Q9P0L2|MARK1_HUMAN	tr|I3M557|I3M557_ICTTR
OG0000247	sp|P27448|MARK3_HUMAN	tr|A0A287CSM1|A0A287CSM1_ICTTR
OG0000247	sp|Q96RG2|PASK_HUMAN, sp|Q7KZI7|MARK2_HUMAN	tr|A0A287CS61|A0A287CS61_ICTTR
OG0000248	sp|Q96PE6|ZIM3_HUMAN, sp|Q9NZV7|ZIM2_HUMAN, sp|Q5JUW0|KRBX4_HUMAN, sp|Q2M3X9|ZN674_HUMAN, sp|Q14587|ZN268_HUMAN, sp|P51523|ZNF84_HUMAN	tr|A0A287D0B5|A0A287D0B5_ICTTR
OG0000249	sp|Q6IEV9|OR4CB_HUMAN	tr|I3NG92|I3NG92_ICTTR, tr|A0A287CZK8|A0A287CZK8_ICTTR, tr|I3MZK0|I3MZK0_ICTTR
OG0000249	sp|Q8NGL9|OR4CG_HUMAN	tr|I3N0R4|I3N0R4_ICTTR, tr|A0A287CYM4|A0A287CYM4_ICTTR
OG0000250	sp|A2RUR9|C144A_HUMAN, sp|Q6NUI1|C144L_HUMAN, sp|Q3MJ40|C144B_HUMAN, sp|Q8IYA2|C144C_HUMAN	tr|A0A287CWB4|A0A287CWB4_ICTTR
OG0000250	sp|Q9UPS8|ANR26_HUMAN	tr|I3N9N1|I3N9N1_ICTTR
OG0000251	sp|P48065|S6A12_HUMAN	tr|I3LXK9|I3LXK9_ICTTR
OG0000251	sp|Q9NSD5|S6A13_HUMAN	tr|I3LXL0|I3LXL0_ICTTR
OG0000251	sp|P31641|SC6A6_HUMAN, sp|P48066|S6A11_HUMAN	tr|I3NBK8|I3NBK8_ICTTR
OG0000252	sp|P08842|STS_HUMAN	tr|I3N2C8|I3N2C8_ICTTR
OG0000252	sp|P51690|ARSL_HUMAN, sp|P54793|ARSF_HUMAN, sp|Q5FYA8|ARSH_HUMAN, sp|P51689|ARSD_HUMAN	tr|I3NCT6|I3NCT6_ICTTR
OG0000253	sp|Q96PQ5|IPP2L_HUMAN, sp|Q6NXS1|IPP2B_HUMAN, sp|P41236|IPP2_HUMAN, sp|O14990|IPP2C_HUMAN	tr|I3N224|I3N224_ICTTR, tr|A0A287D8N6|A0A287D8N6_ICTTR, tr|I3M6D2|I3M6D2_ICTTR
OG0000255	sp|Q9UGF7|O12D3_HUMAN	tr|A0A287DCJ5|A0A287DCJ5_ICTTR, tr|I3NFP9|I3NFP9_ICTTR
OG0000255	sp|P58182|O12D2_HUMAN, sp|P0DN82|O12D1_HUMAN	tr|I3N220|I3N220_ICTTR, tr|I3NDH8|I3NDH8_ICTTR
OG0000256	sp|O95477|ABCA1_HUMAN	tr|I3LYA3|I3LYA3_ICTTR
OG0000256	sp|Q8IZY2|ABCA7_HUMAN	tr|I3N9G6|I3N9G6_ICTTR
OG0000256	sp|P78363|ABCA4_HUMAN	tr|A0A287DAF5|A0A287DAF5_ICTTR, tr|A0A287CUA2|A0A287CUA2_ICTTR
OG0000257	sp|P62140|PP1B_HUMAN	tr|I3MZK2|I3MZK2_ICTTR
OG0000257	sp|P36873|PP1G_HUMAN	tr|I3MDJ7|I3MDJ7_ICTTR
OG0000257	sp|P62136|PP1A_HUMAN	tr|A0A287CYB5|A0A287CYB5_ICTTR
OG0000258	sp|Q8TD57|DYH3_HUMAN	tr|I3M987|I3M987_ICTTR
OG0000258	sp|Q8WXX0|DYH7_HUMAN	tr|I3MUG8|I3MUG8_ICTTR
OG0000258	sp|Q9P2D7|DYH1_HUMAN	tr|A0A287D697|A0A287D697_ICTTR, tr|I3MF05|I3MF05_ICTTR
OG0000259	sp|Q9H2X3|CLC4M_HUMAN, sp|Q9NNX6|CD209_HUMAN	tr|A0A287D5S7|A0A287D5S7_ICTTR, tr|I3MW17|I3MW17_ICTTR, tr|I3NEH4|I3NEH4_ICTTR, tr|I3N131|I3N131_ICTTR, tr|A0A287D7H5|A0A287D7H5_ICTTR
OG0000260	sp|Q96P63|SPB12_HUMAN	tr|I3M9Q9|I3M9Q9_ICTTR
OG0000260	sp|P29508|SPB3_HUMAN, sp|P48594|SPB4_HUMAN, sp|Q9UIV8|SPB13_HUMAN	tr|I3MRE6|I3MRE6_ICTTR, tr|I3N5Z4|I3N5Z4_ICTTR
OG0000261	sp|P35221|CTNA1_HUMAN	tr|I3LXU8|I3LXU8_ICTTR
OG0000261	sp|P26232|CTNA2_HUMAN	tr|I3MZY4|I3MZY4_ICTTR
OG0000261	sp|Q9UI47|CTNA3_HUMAN	tr|A0A287DB70|A0A287DB70_ICTTR, tr|A0A287D0Q4|A0A287D0Q4_ICTTR
OG0000262	sp|P12931|SRC_HUMAN	tr|I3MRX6|I3MRX6_ICTTR
OG0000262	sp|P06241|FYN_HUMAN	tr|I3M9M0|I3M9M0_ICTTR
OG0000262	sp|P09769|FGR_HUMAN	tr|I3MV50|I3MV50_ICTTR
OG0000263	sp|P23416|GLRA2_HUMAN	tr|I3M311|I3M311_ICTTR
OG0000263	sp|O75311|GLRA3_HUMAN	tr|I3M6W5|I3M6W5_ICTTR
OG0000263	sp|P23415|GLRA1_HUMAN	tr|I3MQM4|I3MQM4_ICTTR
OG0000264	sp|P42892|ECE1_HUMAN	tr|I3M8Y4|I3M8Y4_ICTTR
OG0000264	sp|P0DPD7|EFMT4_HUMAN, sp|A8MUP2|CSKMT_HUMAN, sp|P0DPD6|ECE2_HUMAN, sp|P0DPD8|EFCE2_HUMAN	tr|I3MB88|I3MB88_ICTTR
OG0000265	sp|P09429|HMGB1_HUMAN	tr|A0A287D0R4|A0A287D0R4_ICTTR
OG0000265	sp|P23497|SP100_HUMAN, sp|B2RPK0|HGB1A_HUMAN	tr|A0A287CZC1|A0A287CZC1_ICTTR, tr|I3M8X3|I3M8X3_ICTTR, tr|A0A287D4U7|A0A287D4U7_ICTTR
OG0000266	sp|O43451|MGA_HUMAN	tr|A0A287DB05|A0A287DB05_ICTTR
OG0000266	sp|P14410|SUIS_HUMAN	tr|I3MLB5|I3MLB5_ICTTR
OG0000266	sp|Q2M2H8|MGAL_HUMAN	tr|I3MT95|I3MT95_ICTTR
OG0000267	sp|P62701|RS4X_HUMAN	tr|A0A287CZ21|A0A287CZ21_ICTTR, tr|A0A287DDB9|A0A287DDB9_ICTTR, tr|A0A287D3M1|A0A287D3M1_ICTTR
OG0000267	sp|P22090|RS4Y1_HUMAN, sp|Q8TD47|RS4Y2_HUMAN	tr|I3N7V2|I3N7V2_ICTTR
OG0000268	sp|Q9Y247|FA50B_HUMAN	tr|I3NB17|I3NB17_ICTTR
OG0000268	sp|Q14320|FA50A_HUMAN	tr|I3M4A0|I3M4A0_ICTTR, tr|A0A287CTT7|A0A287CTT7_ICTTR, tr|A0A287D8J2|A0A287D8J2_ICTTR, tr|A0A287DCS7|A0A287DCS7_ICTTR
OG0000269	sp|Q14240|IF4A2_HUMAN	tr|A0A287D8V9|A0A287D8V9_ICTTR, tr|A0A287D9Q8|A0A287D9Q8_ICTTR
OG0000269	sp|P60842|IF4A1_HUMAN	tr|A0A287CV49|A0A287CV49_ICTTR, tr|A0A287D231|A0A287D231_ICTTR, tr|A0A287DCG9|A0A287DCG9_ICTTR
OG0000270	sp|Q8NH80|O10D3_HUMAN	tr|I3N852|I3N852_ICTTR
OG0000270	sp|Q8NGN7|O10D4_HUMAN	tr|I3MFD4|I3MFD4_ICTTR, tr|I3MYG8|I3MYG8_ICTTR, tr|I3M4X6|I3M4X6_ICTTR, tr|I3N541|I3N541_ICTTR
OG0000271	sp|O95180|CAC1H_HUMAN	tr|I3MV28|I3MV28_ICTTR, tr|I3NEL7|I3NEL7_ICTTR
OG0000271	sp|O43497|CAC1G_HUMAN	tr|I3NCW9|I3NCW9_ICTTR
OG0000271	sp|Q9P0X4|CAC1I_HUMAN	tr|I3N0U5|I3N0U5_ICTTR
OG0000272	sp|Q96RD2|O52B2_HUMAN	tr|I3N0I0|I3N0I0_ICTTR
OG0000272	sp|Q8NGJ2|O52H1_HUMAN	tr|I3MWH3|I3MWH3_ICTTR, tr|A0A287D2G3|A0A287D2G3_ICTTR
OG0000272	sp|Q8NGF0|O52B6_HUMAN	tr|I3MZJ6|I3MZJ6_ICTTR
OG0000273	sp|P78368|KC1G2_HUMAN	tr|I3MVW2|I3MVW2_ICTTR
OG0000273	sp|Q9Y6M4|KC1G3_HUMAN	tr|I3LZV3|I3LZV3_ICTTR
OG0000273	sp|Q9HCP0|KC1G1_HUMAN	tr|A0A287DGG2|A0A287DGG2_ICTTR, tr|A0A287DAB7|A0A287DAB7_ICTTR
OG0000274	sp|O43423|AN32C_HUMAN	tr|A0A287CRW3|A0A287CRW3_ICTTR, tr|I3N4H7|I3N4H7_ICTTR
OG0000274	sp|O95626|AN32D_HUMAN, sp|P39687|AN32A_HUMAN, sp|Q92688|AN32B_HUMAN	tr|I3M6Y9|I3M6Y9_ICTTR
OG0000275	sp|Q9BX51|GGTL1_HUMAN, sp|Q14390|GGTL2_HUMAN, sp|B5MD39|GGTL3_HUMAN, sp|P36268|GGT2_HUMAN, sp|A6NGU5|GGT3_HUMAN, sp|P19440|GGT1_HUMAN	tr|I3MMR9|I3MMR9_ICTTR
OG0000276	sp|Q9UGH3|S23A2_HUMAN	tr|I3MPY8|I3MPY8_ICTTR
OG0000276	sp|Q9UHI7|S23A1_HUMAN	tr|I3N562|I3N562_ICTTR, tr|I3NF31|I3NF31_ICTTR, tr|A0A287DCU0|A0A287DCU0_ICTTR, tr|I3MNI8|I3MNI8_ICTTR
OG0000277	sp|Q96ET8|TV23C_HUMAN, sp|Q9NYZ1|TV23B_HUMAN	tr|I3LX33|I3LX33_ICTTR, tr|A0A287D8F0|A0A287D8F0_ICTTR, tr|A0A287DAW3|A0A287DAW3_ICTTR, tr|A0A287D6K3|A0A287D6K3_ICTTR, tr|A0A287D7S9|A0A287D7S9_ICTTR
OG0000278	sp|P18085|ARF4_HUMAN	tr|A0A287DDW4|A0A287DDW4_ICTTR, tr|A0A287CZ52|A0A287CZ52_ICTTR, tr|A0A287CZS3|A0A287CZS3_ICTTR
OG0000278	sp|Q969Q4|ARL11_HUMAN, sp|P84085|ARF5_HUMAN	tr|I3LZS4|I3LZS4_ICTTR
OG0000279	sp|P23468|PTPRD_HUMAN	tr|A0A287D609|A0A287D609_ICTTR
OG0000279	sp|P10586|PTPRF_HUMAN	tr|A0A287CWC7|A0A287CWC7_ICTTR
OG0000279	sp|P42701|I12R1_HUMAN, sp|Q13332|PTPRS_HUMAN	tr|A0A287D152|A0A287D152_ICTTR
OG0000280	sp|Q8NGE7|OR9K2_HUMAN	tr|I3NG49|I3NG49_ICTTR, tr|I3MZB8|I3MZB8_ICTTR, tr|I3N1I7|I3N1I7_ICTTR, tr|I3MYA0|I3MYA0_ICTTR, tr|A0A287DFL4|A0A287DFL4_ICTTR, tr|I3MZB2|I3MZB2_ICTTR
OG0000281	sp|O60331|PI51C_HUMAN	tr|A0A287DCD0|A0A287DCD0_ICTTR
OG0000281	sp|O14986|PI51B_HUMAN	tr|I3NEE3|I3NEE3_ICTTR
OG0000281	sp|Q99755|PI51A_HUMAN, sp|A2A3N6|PIPSL_HUMAN	tr|I3LX03|I3LX03_ICTTR
OG0000282	sp|Q96NI8|ZN570_HUMAN	tr|I3N4C1|I3N4C1_ICTTR
OG0000282	sp|Q9BX82|ZN471_HUMAN, sp|Q6ECI4|ZN470_HUMAN, sp|Q5EBM4|ZN542_HUMAN, sp|Q96ND8|ZN583_HUMAN	tr|I3MUK1|I3MUK1_ICTTR
OG0000283	sp|P62753|RS6_HUMAN	tr|I3NFA9|I3NFA9_ICTTR, tr|I3MWX8|I3MWX8_ICTTR, tr|A0A287CT63|A0A287CT63_ICTTR, tr|I3N654|I3N654_ICTTR, tr|I3LZZ8|I3LZZ8_ICTTR, tr|A0A287D3G2|A0A287D3G2_ICTTR
OG0000290	sp|Q6PKH6|DR4L2_HUMAN, sp|Q9BTZ2|DHRS4_HUMAN, sp|P0CG22|DR4L1_HUMAN	tr|I3MUB9|I3MUB9_ICTTR
OG0000290	sp|Q13268|DHRS2_HUMAN	tr|I3NCJ2|I3NCJ2_ICTTR
OG0000292	sp|Q92904|DAZL_HUMAN, sp|Q9NR90|DAZ3_HUMAN, sp|Q13117|DAZ2_HUMAN, sp|Q86SG3|DAZ4_HUMAN, sp|Q9NQZ3|DAZ1_HUMAN	tr|I3N6N2|I3N6N2_ICTTR
OG0000294	sp|Q8NGQ5|OR9Q1_HUMAN	tr|I3MNW4|I3MNW4_ICTTR
OG0000294	sp|Q8NGE9|OR9Q2_HUMAN	tr|I3N223|I3N223_ICTTR
OG0000294	sp|Q8NGQ6|OR9I1_HUMAN	tr|I3NH24|I3NH24_ICTTR
OG0000295	sp|Q9H7D0|DOCK5_HUMAN	tr|I3MC94|I3MC94_ICTTR
OG0000295	sp|Q92608|DOCK2_HUMAN	tr|I3MRQ1|I3MRQ1_ICTTR
OG0000295	sp|Q14185|DOCK1_HUMAN	tr|A0A287CSA8|A0A287CSA8_ICTTR
OG0000296	sp|Q9NYC9|DYH9_HUMAN	tr|I3MJK1|I3MJK1_ICTTR
OG0000296	sp|Q96DT5|DYH11_HUMAN	tr|I3MFE0|I3MFE0_ICTTR
OG0000296	sp|Q9UFH2|DYH17_HUMAN	tr|A0A287CT58|A0A287CT58_ICTTR
OG0000297	sp|Q8IZJ1|UNC5B_HUMAN	tr|I3N214|I3N214_ICTTR
OG0000297	sp|Q6UXZ4|UNC5D_HUMAN	tr|I3LWC1|I3LWC1_ICTTR
OG0000297	sp|O95185|UNC5C_HUMAN	tr|I3MPC2|I3MPC2_ICTTR
OG0000298	sp|Q8N7N1|F86B1_HUMAN, sp|P0C5J1|F86B2_HUMAN, sp|Q96G04|EF2KT_HUMAN, sp|Q9NVL1|F86C1_HUMAN, sp|A6NEL3|F86C2_HUMAN	tr|I3MQU1|I3MQU1_ICTTR
OG0000299	sp|Q6P9H4|CNKR3_HUMAN	tr|I3NHU9|I3NHU9_ICTTR
OG0000299	sp|Q8WWN9|ICEF1_HUMAN	tr|I3LWL2|I3LWL2_ICTTR
OG0000299	sp|G9CGD6|CNIPF_HUMAN	tr|A0A287CYV8|A0A287CYV8_ICTTR
OG0000300	sp|O95450|ATS2_HUMAN	tr|I3M4Z1|I3M4Z1_ICTTR
OG0000300	sp|Q8WXS8|ATS14_HUMAN	tr|I3M1F7|I3M1F7_ICTTR
OG0000300	sp|O15072|ATS3_HUMAN	tr|I3MM94|I3MM94_ICTTR
OG0000302	sp|Q96LR5|UB2E2_HUMAN	tr|A0A287D3N9|A0A287D3N9_ICTTR
OG0000302	sp|P51965|UB2E1_HUMAN	tr|A0A287DCN0|A0A287DCN0_ICTTR, tr|A0A287DAN2|A0A287DAN2_ICTTR, tr|I3M1U5|I3M1U5_ICTTR
OG0000303	sp|P16499|PDE6A_HUMAN	tr|I3MC68|I3MC68_ICTTR
OG0000303	sp|P51160|PDE6C_HUMAN	tr|I3MXY1|I3MXY1_ICTTR
OG0000303	sp|P35913|PDE6B_HUMAN	tr|I3NHK8|I3NHK8_ICTTR
OG0000305	sp|Q8N7R7|CCYL1_HUMAN, sp|Q5T2Q4|CCYL2_HUMAN, sp|P0C7X3|CCYL3_HUMAN, sp|Q6PGQ1|DRIC1_HUMAN, sp|Q6IC83|CV042_HUMAN	tr|I3MRM7|I3MRM7_ICTTR
OG0000306	sp|Q8NDX2|VGLU3_HUMAN	tr|I3MHY4|I3MHY4_ICTTR
OG0000306	sp|Q9P2U7|VGLU1_HUMAN	tr|I3MN88|I3MN88_ICTTR
OG0000306	sp|Q9P2U8|VGLU2_HUMAN	tr|I3LYH5|I3LYH5_ICTTR
OG0000307	sp|Q8NF50|DOCK8_HUMAN	tr|I3MRH5|I3MRH5_ICTTR
OG0000307	sp|Q96N67|DOCK7_HUMAN	tr|I3M5D6|I3M5D6_ICTTR
OG0000307	sp|Q96HP0|DOCK6_HUMAN	tr|I3NEI8|I3NEI8_ICTTR
OG0000308	sp|Q7Z408|CSMD2_HUMAN	tr|I3MD09|I3MD09_ICTTR
OG0000308	sp|Q96PZ7|CSMD1_HUMAN	tr|I3MHR4|I3MHR4_ICTTR
OG0000308	sp|Q7Z407|CSMD3_HUMAN	tr|I3MKQ0|I3MKQ0_ICTTR
OG0000309	sp|Q8NHY6|ZFP28_HUMAN	tr|I3N8E7|I3N8E7_ICTTR
OG0000309	sp|P17097|ZNF7_HUMAN	tr|A0A287D827|A0A287D827_ICTTR, tr|A0A287DFB0|A0A287DFB0_ICTTR, tr|A0A287D3R0|A0A287D3R0_ICTTR
OG0000310	sp|Q6VEQ5|WASH2_HUMAN, sp|C4AMC7|WASH3_HUMAN, sp|A8MWX3|WASH4_HUMAN, sp|Q9NQA3|WASH6_HUMAN, sp|A8K0Z3|WASH1_HUMAN	tr|I3MT98|I3MT98_ICTTR
OG0000311	sp|P13929|ENOB_HUMAN	tr|I3LX49|I3LX49_ICTTR
OG0000311	sp|P06733|ENOA_HUMAN	tr|I3MIE7|I3MIE7_ICTTR
OG0000311	sp|P09104|ENOG_HUMAN	tr|A0A287D0I7|A0A287D0I7_ICTTR
OG0000312	sp|Q92598|HS105_HUMAN	tr|A0A287CZC8|A0A287CZC8_ICTTR
OG0000312	sp|O95757|HS74L_HUMAN	tr|I3MNT2|I3MNT2_ICTTR
OG0000312	sp|P34932|HSP74_HUMAN	tr|I3MD68|I3MD68_ICTTR
OG0000313	sp|Q14643|ITPR1_HUMAN	tr|A0A287D0Q8|A0A287D0Q8_ICTTR
OG0000313	sp|Q14573|ITPR3_HUMAN	tr|A0A287CW02|A0A287CW02_ICTTR
OG0000313	sp|Q14571|ITPR2_HUMAN	tr|A0A287CSI1|A0A287CSI1_ICTTR
OG0000314	sp|Q14839|CHD4_HUMAN	tr|I3MA51|I3MA51_ICTTR
OG0000314	sp|Q12873|CHD3_HUMAN	tr|I3MTW5|I3MTW5_ICTTR
OG0000314	sp|Q8TDI0|CHD5_HUMAN	tr|A0A287D8N5|A0A287D8N5_ICTTR
OG0000316	sp|Q8N6D2|RN182_HUMAN, tr|A0A7I2V3R4|A0A7I2V3R4_HUMAN, sp|P0DH78|RN224_HUMAN, sp|Q9NXI6|RN186_HUMAN, tr|A0A2R8Y4M4|A0A2R8Y4M4_HUMAN	tr|I3NGC4|I3NGC4_ICTTR
OG0000318	sp|P41597|CCR2_HUMAN	tr|I3LZ09|I3LZ09_ICTTR
OG0000318	sp|P51679|CCR4_HUMAN, sp|O00421|CCRL2_HUMAN, sp|P51681|CCR5_HUMAN	tr|I3N4E7|I3N4E7_ICTTR
OG0000319	sp|Q14315|FLNC_HUMAN	tr|A0A287DEL9|A0A287DEL9_ICTTR
OG0000319	sp|P21333|FLNA_HUMAN	tr|I3M5H3|I3M5H3_ICTTR
OG0000319	sp|O75369|FLNB_HUMAN	tr|I3MEM4|I3MEM4_ICTTR
OG0000320	sp|P01242|SOM2_HUMAN, sp|P01241|SOMA_HUMAN, sp|Q14406|CSHL_HUMAN, sp|P0DML3|CSH2_HUMAN, sp|P0DML2|CSH1_HUMAN	tr|I3MCP8|I3MCP8_ICTTR
OG0000321	sp|Q9BZL6|KPCD2_HUMAN	tr|I3N0U4|I3N0U4_ICTTR
OG0000321	sp|O94806|KPCD3_HUMAN	tr|I3MLX2|I3MLX2_ICTTR
OG0000321	sp|Q15139|KPCD1_HUMAN	tr|I3M371|I3M371_ICTTR
OG0000323	sp|Q9ULV4|COR1C_HUMAN	tr|I3MHL7|I3MHL7_ICTTR
OG0000323	sp|Q6QEF8|CORO6_HUMAN	tr|A0A287D5X9|A0A287D5X9_ICTTR
OG0000323	sp|Q9BR76|COR1B_HUMAN	tr|I3MQ83|I3MQ83_ICTTR
OG0000325	sp|O00555|CAC1A_HUMAN	tr|A0A287D3S1|A0A287D3S1_ICTTR
OG0000325	sp|Q00975|CAC1B_HUMAN	tr|I3M4N4|I3M4N4_ICTTR
OG0000325	sp|Q15878|CAC1E_HUMAN	tr|I3MDF0|I3MDF0_ICTTR
OG0000326	sp|Q9NZJ9|NUDT4_HUMAN	tr|I3NGH1|I3NGH1_ICTTR
OG0000326	sp|A0A024RBG1|NUD4B_HUMAN, sp|Q8NFP7|NUD10_HUMAN, sp|Q96G61|NUD11_HUMAN	tr|I3MYL1|I3MYL1_ICTTR
OG0000327	sp|Q86YQ8|CPNE8_HUMAN	tr|I3M662|I3M662_ICTTR
OG0000327	sp|Q8IYJ1|CPNE9_HUMAN	tr|A0A287CV10|A0A287CV10_ICTTR
OG0000327	sp|Q9HCH3|CPNE5_HUMAN	tr|I3NAU5|I3NAU5_ICTTR
OG0000328	sp|P01229|LSHB_HUMAN, sp|P0DN86|CGB3_HUMAN, sp|P0DN87|CGB7_HUMAN, sp|Q6NT52|CGB2_HUMAN, sp|A6NKQ9|CGB1_HUMAN	tr|I3MM21|I3MM21_ICTTR
OG0000329	sp|Q15797|SMAD1_HUMAN	tr|I3MG69|I3MG69_ICTTR
OG0000329	sp|O15198|SMAD9_HUMAN	tr|I3M942|I3M942_ICTTR
OG0000329	sp|Q99717|SMAD5_HUMAN	tr|I3MI02|I3MI02_ICTTR
OG0000330	sp|P50148|GNAQ_HUMAN	tr|I3MUA0|I3MUA0_ICTTR
OG0000330	sp|O95837|GNA14_HUMAN	tr|I3MC30|I3MC30_ICTTR
