Orthogroup	Homo_sapiens	Microcebus_murinus
OG0001579	sp|P0DKB6|MPC1L_HUMAN, sp|Q9Y5U8|MPC1_HUMAN	tr|A0A8B7H6Y3|A0A8B7H6Y3_MICMU
OG0001580	sp|P51800|CLCKA_HUMAN, sp|P51801|CLCKB_HUMAN	tr|A0A8B7WPB2|A0A8B7WPB2_MICMU
OG0001581	sp|Q86XT9|TM219_HUMAN	tr|A0A8C5W502|A0A8C5W502_MICMU, tr|A0A8B7GAZ2|A0A8B7GAZ2_MICMU
OG0001582	sp|Q96SB4|SRPK1_HUMAN	tr|A0A8C5W694|A0A8C5W694_MICMU, tr|A0A8C5XBC4|A0A8C5XBC4_MICMU
OG0001583	sp|Q99990|VGLL1_HUMAN, sp|Q8N8G2|VGLL2_HUMAN	tr|A0A8B7FL11|A0A8B7FL11_MICMU
OG0001584	sp|Q9NQI0|DDX4_HUMAN	tr|A0A8C6EJM6|A0A8C6EJM6_MICMU, tr|A0A8C5VBV1|A0A8C5VBV1_MICMU
OG0001585	sp|Q5H9B9|BM2KL_HUMAN, sp|Q9NSY1|BMP2K_HUMAN	tr|A0A8C5VE20|A0A8C5VE20_MICMU
OG0001586	sp|Q0D2K5|EGFEM_HUMAN, sp|O75095|MEGF6_HUMAN	tr|A0A8C5Y2H5|A0A8C5Y2H5_MICMU
OG0001587	sp|O95415|BRI3_HUMAN	tr|A0A8C5Y9R2|A0A8C5Y9R2_MICMU, tr|A0A8B7WQX2|A0A8B7WQX2_MICMU
OG0001588	sp|Q86VY9|T200A_HUMAN, sp|Q69YZ2|T200B_HUMAN	tr|A0A8B7ED46|A0A8B7ED46_MICMU
OG0001589	sp|Q96P66|GP101_HUMAN, sp|Q8N6U8|GP161_HUMAN	tr|A0A8C5V2J7|A0A8C5V2J7_MICMU
OG0001590	sp|Q96T37|RBM15_HUMAN, sp|Q8NDT2|RB15B_HUMAN	tr|A0A8C5VL89|A0A8C5VL89_MICMU
OG0001591	sp|Q9NVE5|UBP40_HUMAN	tr|A0A8C6EJQ0|A0A8C6EJQ0_MICMU, tr|A0A8C6EK09|A0A8C6EK09_MICMU
OG0001592	sp|P0C7V9|ME15P_HUMAN, sp|A6NJ78|MET15_HUMAN	tr|A0A8B7F5Q5|A0A8B7F5Q5_MICMU
OG0001593	sp|Q06945|SOX4_HUMAN, sp|O15370|SOX12_HUMAN	tr|A0A8C5XQN7|A0A8C5XQN7_MICMU
OG0001594	sp|A8MUH7|PDZ1P_HUMAN, sp|Q5T2W1|NHRF3_HUMAN	tr|A0A8B7G5Z7|A0A8B7G5Z7_MICMU
OG0001595	sp|Q4V348|Z658B_HUMAN, sp|Q5TYW1|ZN658_HUMAN	tr|A0A8C5XKT3|A0A8C5XKT3_MICMU
OG0001596	sp|Q96RF0|SNX18_HUMAN	tr|A0A8B7FSX3|A0A8B7FSX3_MICMU, tr|A0A8C5YA36|A0A8C5YA36_MICMU
OG0001597	sp|Q9BV97|ZN747_HUMAN, sp|Q96H86|ZN764_HUMAN	tr|A0A8C5YB37|A0A8C5YB37_MICMU
OG0001598	sp|Q9H4I8|SEHL2_HUMAN, sp|Q9NQF3|SERHL_HUMAN	tr|A0A8B7EQE9|A0A8B7EQE9_MICMU
OG0001599	sp|Q9NX08|COMD8_HUMAN	tr|A0A8C5UU07|A0A8C5UU07_MICMU, tr|A0A8C5Y3Z8|A0A8C5Y3Z8_MICMU
OG0001600	sp|Q9NY26|S39A1_HUMAN	tr|A0A8C5VDE1|A0A8C5VDE1_MICMU, tr|A0A8C5VFR6|A0A8C5VFR6_MICMU
OG0001601	sp|Q7L0X0|TRIL_HUMAN, sp|P13224|GP1BB_HUMAN	tr|A0A8B7H6G8|A0A8B7H6G8_MICMU
OG0001602	sp|Q04837|SSBP_HUMAN	tr|A0A8C5Y7C4|A0A8C5Y7C4_MICMU, tr|A0A8C5XML5|A0A8C5XML5_MICMU
OG0001603	sp|Q6ZU69|F205A_HUMAN, sp|Q63HN1|F205B_HUMAN	tr|A0A8C5V3Y7|A0A8C5V3Y7_MICMU
OG0001604	sp|Q5VZ03|NXNL2_HUMAN, sp|Q96CM4|NXNL1_HUMAN	tr|A0A8C5XYM2|A0A8C5XYM2_MICMU
OG0001605	sp|Q9NYL9|TMOD3_HUMAN, sp|Q9NZR1|TMOD2_HUMAN	tr|A0A8C5VH17|A0A8C5VH17_MICMU
OG0001606	sp|Q9UNF1|MAGD2_HUMAN	tr|A0A8C5W5J0|A0A8C5W5J0_MICMU, tr|A0A8C5VEG0|A0A8C5VEG0_MICMU
OG0001607	sp|O43674|NDUB5_HUMAN	tr|A0A8C5YH84|A0A8C5YH84_MICMU, tr|A0A8B7X2R3|A0A8B7X2R3_MICMU
OG0001608	sp|P08588|ADRB1_HUMAN, sp|P07550|ADRB2_HUMAN	tr|A0A8C5URK7|A0A8C5URK7_MICMU
OG0001609	sp|Q6UXV4|MIC27_HUMAN	tr|A0A8C5W325|A0A8C5W325_MICMU, tr|A0A8C5W0A3|A0A8C5W0A3_MICMU
OG0001610	sp|Q9P0J1|PDP1_HUMAN, sp|Q9P2J9|PDP2_HUMAN	tr|A0A8C6ECZ1|A0A8C6ECZ1_MICMU
OG0001611	sp|Q9ULQ1|TPC1_HUMAN	tr|A0A8C5UZQ0|A0A8C5UZQ0_MICMU, tr|A0A8C5VK85|A0A8C5VK85_MICMU
OG0001612	sp|Q9Y294|ASF1A_HUMAN	tr|A0A8B7EJY7|A0A8B7EJY7_MICMU, tr|A0A8C5V4C9|A0A8C5V4C9_MICMU
OG0001613	sp|Q9Y2B2|PIGL_HUMAN	tr|A0A8C6EI13|A0A8C6EI13_MICMU, tr|A0A8C5VII0|A0A8C5VII0_MICMU
OG0001614	sp|A3KN83|SBNO1_HUMAN	tr|A0A8C5Y2A0|A0A8C5Y2A0_MICMU, tr|A0A8C5URX8|A0A8C5URX8_MICMU
OG0001615	sp|O43734|CIKS_HUMAN	tr|A0A8C5UUI4|A0A8C5UUI4_MICMU, tr|A0A8C5VSM3|A0A8C5VSM3_MICMU
OG0001616	sp|P51858|HDGF_HUMAN, sp|Q5TGJ6|HDGL1_HUMAN	tr|A0A8B7GJP5|A0A8B7GJP5_MICMU
OG0001617	sp|Q06055|AT5G2_HUMAN	tr|A0A8C5XMC7|A0A8C5XMC7_MICMU, tr|A0A8C5VQ58|A0A8C5VQ58_MICMU
OG0001618	sp|Q07020|RL18_HUMAN	tr|A0A8C5Y622|A0A8C5Y622_MICMU, tr|A0A8B7WUM3|A0A8B7WUM3_MICMU
OG0001619	sp|Q14CX7|NAA25_HUMAN	tr|A0A8C5VT49|A0A8C5VT49_MICMU, tr|A0A8C5XJJ7|A0A8C5XJJ7_MICMU
OG0001620	sp|Q75N03|HAKAI_HUMAN, sp|Q8N7E2|CBLL2_HUMAN	tr|A0A8B7F3I2|A0A8B7F3I2_MICMU
OG0001621	sp|Q8IU81|I2BP1_HUMAN, sp|Q9H1B7|I2BPL_HUMAN	tr|A0A8B7G4X5|A0A8B7G4X5_MICMU
OG0001622	sp|Q96L91|EP400_HUMAN, sp|Q6ZTU2|E400N_HUMAN	tr|A0A8C5UZA1|A0A8C5UZA1_MICMU
OG0001624	sp|Q9HAF1|EAF6_HUMAN	tr|A0A8B7HEG8|A0A8B7HEG8_MICMU, tr|A0A8C5VD70|A0A8C5VD70_MICMU
OG0001625	sp|Q8NFT6|DBF4B_HUMAN, sp|Q9UBU7|DBF4A_HUMAN	tr|A0A8B7HG63|A0A8B7HG63_MICMU
OG0001626	sp|P0CG08|GPHRB_HUMAN, sp|B7ZAQ6|GPHRA_HUMAN	tr|A0A8C5VXC1|A0A8C5VXC1_MICMU
OG0001627	sp|P22626|ROA2_HUMAN	tr|A0A8C6EII8|A0A8C6EII8_MICMU, tr|A0A8B7H0L5|A0A8B7H0L5_MICMU
OG0001628	sp|P29033|CXB2_HUMAN, sp|A6NN92|CXE1_HUMAN	tr|A0A8B7HBD4|A0A8B7HBD4_MICMU
OG0001629	sp|Q5BKY1|LRC10_HUMAN, sp|A6NIK2|LR10B_HUMAN	tr|A0A8C5VJB1|A0A8C5VJB1_MICMU
OG0001630	sp|O00767|SCD_HUMAN, sp|Q86SK9|SCD5_HUMAN	tr|A0A8C5XY19|A0A8C5XY19_MICMU
OG0001631	sp|Q96JN0|LCOR_HUMAN, sp|Q8N3X6|LCORL_HUMAN	tr|A0A8C5Y030|A0A8C5Y030_MICMU
OG0001632	sp|Q9UI43|MRM2_HUMAN, sp|Q9UET6|TRM7_HUMAN	tr|A0A8C5VCQ5|A0A8C5VCQ5_MICMU
OG0001633	sp|P42566|EPS15_HUMAN	tr|A0A8C5V7I3|A0A8C5V7I3_MICMU, tr|A0A8B7H5E8|A0A8B7H5E8_MICMU
OG0001634	sp|P51970|NDUA8_HUMAN	tr|A0A8B7GUV2|A0A8B7GUV2_MICMU, tr|A0A8C5VAH1|A0A8C5VAH1_MICMU
OG0001635	sp|Q96HQ2|C2AIL_HUMAN	tr|A0A8C5XNU9|A0A8C5XNU9_MICMU, tr|A0A8B7G752|A0A8B7G752_MICMU
OG0001636	sp|Q9BQ31|KCNS3_HUMAN	tr|A0A8C5XHQ2|A0A8C5XHQ2_MICMU, tr|A0A8C5XP25|A0A8C5XP25_MICMU
OG0001637	sp|Q9NZV7|ZIM2_HUMAN, sp|Q9GZU2|PEG3_HUMAN	tr|A0A8C5VX84|A0A8C5VX84_MICMU
OG0001638	sp|Q9P1T7|MDFIC_HUMAN	tr|A0A8C5UQA8|A0A8C5UQA8_MICMU, tr|A0A8C5V9B9|A0A8C5V9B9_MICMU
OG0001639	sp|P06493|CDK1_HUMAN	tr|A0A8C6EJR0|A0A8C6EJR0_MICMU, tr|A0A8C5UR10|A0A8C5UR10_MICMU
OG0001640	sp|Q8WUF8|F172A_HUMAN, sp|A6NC97|F172B_HUMAN	tr|A0A8C5Y8S2|A0A8C5Y8S2_MICMU
OG0001641	sp|O94992|HEXI1_HUMAN, sp|Q96MH2|HEXI2_HUMAN	tr|A0A8C5XVS6|A0A8C5XVS6_MICMU
OG0001642	sp|O00165|HAX1_HUMAN	tr|A0A8C5VZT5|A0A8C5VZT5_MICMU, tr|A0A8C5XDA3|A0A8C5XDA3_MICMU
OG0001643	sp|O43610|SPY3_HUMAN, sp|O43597|SPY2_HUMAN	tr|A0A8B7HT89|A0A8B7HT89_MICMU
OG0001644	sp|Q9H1M0|N62CL_HUMAN, sp|P37198|NUP62_HUMAN	tr|A0A8C5UW84|A0A8C5UW84_MICMU
OG0001645	sp|Q53HL2|BOREA_HUMAN	tr|A0A8C5Y714|A0A8C5Y714_MICMU, tr|A0A8C5YAI3|A0A8C5YAI3_MICMU
OG0001646	sp|Q6P3S1|DEN1B_HUMAN	tr|A0A8C5XRS9|A0A8C5XRS9_MICMU, tr|A0A8B7EWR9|A0A8B7EWR9_MICMU
OG0001647	sp|Q9H6W3|RIOX1_HUMAN, sp|Q8IUF8|RIOX2_HUMAN	tr|A0A8C5YIY9|A0A8C5YIY9_MICMU
OG0001648	sp|Q9BRT6|LLPH_HUMAN	tr|A0A8C5XH98|A0A8C5XH98_MICMU, tr|A0A8B7X5V4|A0A8B7X5V4_MICMU
OG0001649	sp|Q9BY19|M4A8_HUMAN, sp|Q9NXJ0|M4A12_HUMAN	tr|A0A8C5YDI5|A0A8C5YDI5_MICMU
OG0001650	sp|Q9H1K1|ISCU_HUMAN	tr|A0A8C5WAY5|A0A8C5WAY5_MICMU, tr|A0A8C5XY78|A0A8C5XY78_MICMU
OG0001651	sp|Q9NS86|LANC2_HUMAN	tr|A0A8C5W4U9|A0A8C5W4U9_MICMU, tr|A0A8C5VHJ4|A0A8C5VHJ4_MICMU
OG0001652	sp|Q9Y5P3|RAI2_HUMAN, sp|A7XYQ1|SOBP_HUMAN	tr|A0A8C5W4A2|A0A8C5W4A2_MICMU
OG0001654	sp|Q93008|USP9X_HUMAN, sp|O00507|USP9Y_HUMAN	tr|A0A8C5VP67|A0A8C5VP67_MICMU
OG0001655	sp|O95992|CH25H_HUMAN, sp|Q15800|MSMO1_HUMAN	tr|A0A8C5XEF3|A0A8C5XEF3_MICMU
OG0001656	sp|P09131|P3_HUMAN, sp|Q5PT55|NTCP5_HUMAN	tr|A0A8C5V4T8|A0A8C5V4T8_MICMU
OG0001658	sp|Q6ZS82|R9BP_HUMAN, sp|Q6MZT1|R7BP_HUMAN	tr|A0A8C5XM44|A0A8C5XM44_MICMU
OG0001659	sp|Q9H0Q3|FXYD6_HUMAN, sp|P58550|FXYD8_HUMAN	tr|A0A8C5UMJ4|A0A8C5UMJ4_MICMU
OG0001661	sp|P05787|K2C8_HUMAN	tr|A0A8C5Y3G1|A0A8C5Y3G1_MICMU, tr|A0A8C5YHA4|A0A8C5YHA4_MICMU
OG0001662	sp|P0C7P4|UCRIL_HUMAN, sp|P47985|UCRI_HUMAN	tr|A0A8C5XMJ1|A0A8C5XMJ1_MICMU
OG0001663	sp|P21912|SDHB_HUMAN	tr|A0A8C5Y9M1|A0A8C5Y9M1_MICMU, tr|A0A8B7G853|A0A8B7G853_MICMU
OG0001664	sp|Q8IWL1|SFPA2_HUMAN, sp|Q8IWL2|SFTA1_HUMAN	tr|A0A8B7G6M0|A0A8B7G6M0_MICMU
OG0001665	sp|P98170|XIAP_HUMAN, sp|Q96P09|BIRC8_HUMAN	tr|A0A8C5UQL7|A0A8C5UQL7_MICMU
OG0001666	sp|Q9NXU5|ARL15_HUMAN	tr|A0A8C5VUE0|A0A8C5VUE0_MICMU, tr|A0A8B7FSW8|A0A8B7FSW8_MICMU
OG0001667	sp|Q9NYS7|WSB2_HUMAN	tr|A0A8B7FS78|A0A8B7FS78_MICMU, tr|A0A8C5VTP1|A0A8C5VTP1_MICMU
OG0001669	sp|P06744|G6PI_HUMAN	tr|A0A8C5W1X1|A0A8C5W1X1_MICMU, tr|A0A8C5Y2X1|A0A8C5Y2X1_MICMU
OG0001670	sp|Q66K66|TM198_HUMAN	tr|A0A8C5W510|A0A8C5W510_MICMU, tr|A0A8B7ELB7|A0A8B7ELB7_MICMU
OG0001671	sp|Q6UXR4|SPA13_HUMAN, sp|P29622|KAIN_HUMAN	tr|A0A8C5V4S9|A0A8C5V4S9_MICMU
OG0001672	sp|Q92843|B2CL2_HUMAN, sp|Q07817|B2CL1_HUMAN	tr|A0A8B7FNN3|A0A8B7FNN3_MICMU
OG0001673	sp|Q9UKD2|MRT4_HUMAN	tr|A0A8C5XBN9|A0A8C5XBN9_MICMU, tr|A0A8C5W631|A0A8C5W631_MICMU
OG0001674	sp|Q9Y232|CDYL_HUMAN	tr|A0A8C5XJ66|A0A8C5XJ66_MICMU, tr|A0A8C5VU27|A0A8C5VU27_MICMU
OG0001675	sp|Q9Y619|ORNT1_HUMAN, sp|Q9BXI2|ORNT2_HUMAN	tr|A0A8B7FX45|A0A8B7FX45_MICMU
OG0001676	sp|O95084|PRS23_HUMAN, sp|Q8N3Z0|PRS35_HUMAN	tr|A0A8C5W9M8|A0A8C5W9M8_MICMU
OG0001677	sp|Q5M9Q1|NKAPL_HUMAN, sp|Q8N5F7|NKAP_HUMAN	tr|A0A8C5V0G9|A0A8C5V0G9_MICMU
OG0001678	sp|Q5TA31|RN187_HUMAN, sp|Q96F44|TRI11_HUMAN	tr|A0A8C5VHA6|A0A8C5VHA6_MICMU
OG0001679	sp|Q96EF6|FBX17_HUMAN, sp|Q8NI29|FBX27_HUMAN	tr|A0A8B7H3W1|A0A8B7H3W1_MICMU
OG0001680	sp|Q8TBC4|UBA3_HUMAN	tr|A0A8C5VT92|A0A8C5VT92_MICMU, tr|A0A8C5Y7V2|A0A8C5Y7V2_MICMU
OG0001681	sp|Q8TCG1|CIP2A_HUMAN	tr|A0A8C5YJM5|A0A8C5YJM5_MICMU, tr|A0A8C5XJT6|A0A8C5XJT6_MICMU
OG0001682	sp|Q96C92|ENTR1_HUMAN	tr|A0A8C5VPM8|A0A8C5VPM8_MICMU, tr|A0A8B7HJD9|A0A8B7HJD9_MICMU
OG0001683	sp|Q99720|SGMR1_HUMAN	tr|A0A8C5YCW1|A0A8C5YCW1_MICMU, tr|A0A8C5WA70|A0A8C5WA70_MICMU
OG0001684	sp|Q9HBJ7|UBP29_HUMAN, sp|Q9BXU7|UBP26_HUMAN	tr|A0A8C5VFG3|A0A8C5VFG3_MICMU
OG0001685	sp|P00738|HPT_HUMAN, sp|P00739|HPTR_HUMAN	tr|A0A8C5VY55|A0A8C5VY55_MICMU
OG0001686	sp|Q6P575|BGP11_HUMAN, sp|P08236|BGLR_HUMAN	tr|A0A8C5UW48|A0A8C5UW48_MICMU
OG0001687	sp|Q00610|CLH1_HUMAN, sp|P53675|CLH2_HUMAN	tr|A0A8C5VAQ4|A0A8C5VAQ4_MICMU
OG0001688	sp|O75368|SH3L1_HUMAN, sp|P55822|SH3BG_HUMAN	tr|A0A8C5W9H7|A0A8C5W9H7_MICMU
OG0001689	sp|Q13474|DRP2_HUMAN	tr|A0A8C5VGH6|A0A8C5VGH6_MICMU, tr|A0A8C5W1Y3|A0A8C5W1Y3_MICMU
OG0001690	sp|Q8N5L8|RP25L_HUMAN, sp|Q9BUL9|RPP25_HUMAN	tr|A0A8B7GSC6|A0A8B7GSC6_MICMU
OG0001691	sp|Q8NFB2|T185A_HUMAN, sp|Q9H7F4|T185B_HUMAN	tr|A0A8B7EKU1|A0A8B7EKU1_MICMU
OG0001692	sp|Q8NFJ8|BHE22_HUMAN, sp|Q8NDY6|BHE23_HUMAN	tr|A0A8C5VZQ7|A0A8C5VZQ7_MICMU
OG0001693	sp|Q99218|AMELY_HUMAN, sp|Q99217|AMELX_HUMAN	tr|A0A8C5XGA6|A0A8C5XGA6_MICMU
OG0001694	sp|Q9UL15|BAG5_HUMAN	tr|A0A8B7I0P6|A0A8B7I0P6_MICMU, tr|A0A8C5VGC2|A0A8C5VGC2_MICMU
OG0001695	sp|U3KPV4|A3LT2_HUMAN	tr|A0A8C5V4N6|A0A8C5V4N6_MICMU, tr|A0A8B7GDR1|A0A8B7GDR1_MICMU
OG0001696	sp|O75610|LFTY1_HUMAN, sp|O00292|LFTY2_HUMAN	tr|A0A8C5XTA5|A0A8C5XTA5_MICMU
OG0001697	sp|O75506|HSBP1_HUMAN	tr|A0A8C5VNN9|A0A8C5VNN9_MICMU, tr|A0A8C5UUR9|A0A8C5UUR9_MICMU
OG0001698	sp|P0DKB5|TPBGL_HUMAN, sp|Q13641|TPBG_HUMAN	tr|A0A8C5XS38|A0A8C5XS38_MICMU
OG0001699	sp|P22105|TENX_HUMAN, sp|Q16473|TENXA_HUMAN	tr|A0A8C5VC37|A0A8C5VC37_MICMU
OG0001700	sp|Q6PIV2|FOXR1_HUMAN, sp|Q6PJQ5|FOXR2_HUMAN	tr|A0A8C5YGK8|A0A8C5YGK8_MICMU
OG0001701	sp|Q8IWE4|DCNL3_HUMAN	tr|A0A8B7I471|A0A8B7I471_MICMU, tr|A0A8C5W678|A0A8C5W678_MICMU
OG0001702	sp|Q8N609|TR1L1_HUMAN, sp|Q15629|TRAM1_HUMAN	tr|A0A8C5YD50|A0A8C5YD50_MICMU
OG0001703	sp|A6NI15|MSGN1_HUMAN, sp|Q9BRJ9|MESP1_HUMAN	tr|A0A8C6EFD3|A0A8C6EFD3_MICMU
OG0001705	sp|Q96NL1|TMM74_HUMAN, sp|Q9NUR3|TM74B_HUMAN	tr|A0A8C5XEB8|A0A8C5XEB8_MICMU
OG0001706	sp|Q9NY59|NSMA2_HUMAN	tr|A0A8C5Y1X7|A0A8C5Y1X7_MICMU, tr|A0A8B7ERR9|A0A8B7ERR9_MICMU
OG0001707	sp|A6NHX0|CAST2_HUMAN, sp|Q8NAP1|CAST3_HUMAN	tr|A0A8B7ERD3|A0A8B7ERD3_MICMU
OG0001708	sp|O60296|TRAK2_HUMAN	tr|A0A8B7X7V6|A0A8B7X7V6_MICMU, tr|A0A8C5XP95|A0A8C5XP95_MICMU
OG0001709	sp|O60383|GDF9_HUMAN, sp|O95972|BMP15_HUMAN	tr|A0A8B7G733|A0A8B7G733_MICMU
OG0001710	sp|Q5JR98|DYLT4_HUMAN, sp|Q8WW35|DYT2B_HUMAN	tr|A0A8B7HFH4|A0A8B7HFH4_MICMU
OG0001711	sp|Q9NZ53|PDXL2_HUMAN, sp|O00592|PODXL_HUMAN	tr|A0A8C5Y866|A0A8C5Y866_MICMU
OG0001712	sp|Q9P0P8|MRES1_HUMAN	tr|A0A8C5UNR7|A0A8C5UNR7_MICMU, tr|A0A8C5XHT3|A0A8C5XHT3_MICMU
OG0001713	sp|Q9Y3C4|TPRKB_HUMAN	tr|A0A8C5XVR3|A0A8C5XVR3_MICMU, tr|A0A8C5VVJ7|A0A8C5VVJ7_MICMU
OG0001714	sp|O95050|INMT_HUMAN, sp|P40261|NNMT_HUMAN	tr|A0A8B7F6N5|A0A8B7F6N5_MICMU
OG0001715	sp|P26373|RL13_HUMAN	tr|A0A8B7HT45|A0A8B7HT45_MICMU, tr|A0A8C5W9L7|A0A8C5W9L7_MICMU
OG0001716	sp|P35244|RFA3_HUMAN	tr|A0A8C5ULE4|A0A8C5ULE4_MICMU, tr|A0A8C5W1D6|A0A8C5W1D6_MICMU
OG0001717	sp|Q53R41|FAKD1_HUMAN, sp|Q7L8L6|FAKD5_HUMAN	tr|A0A8C5VRQ5|A0A8C5VRQ5_MICMU
OG0001718	sp|Q5QJ38|TCHL1_HUMAN, sp|Q9UBG3|CRNN_HUMAN	tr|A0A8C5VII7|A0A8C5VII7_MICMU
OG0001719	sp|Q8N983|RM43_HUMAN	tr|A0A8C5YF18|A0A8C5YF18_MICMU, tr|A0A8C5W158|A0A8C5W158_MICMU
OG0001720	sp|Q9BTK6|PAGR1_HUMAN	tr|A0A8C6EHF9|A0A8C6EHF9_MICMU, tr|A0A8C5Y2R7|A0A8C5Y2R7_MICMU
OG0001721	sp|Q5TAP6|UT14C_HUMAN, sp|Q9BVJ6|UT14A_HUMAN	tr|A0A8B7FCI2|A0A8B7FCI2_MICMU
OG0001722	sp|P21754|ZP3_HUMAN, sp|Q6PJE2|POZP3_HUMAN	tr|A0A8C5V1X0|A0A8C5V1X0_MICMU
OG0001723	sp|Q15007|FL2D_HUMAN	tr|A0A8C5XRP0|A0A8C5XRP0_MICMU, tr|A0A8B7G115|A0A8B7G115_MICMU
OG0001724	sp|O60921|HUS1_HUMAN, sp|Q8NHY5|HUS1B_HUMAN	tr|A0A8C5XCB3|A0A8C5XCB3_MICMU
OG0001725	sp|Q9BZI7|REN3B_HUMAN, sp|Q9H1J1|REN3A_HUMAN	tr|A0A8C5USZ0|A0A8C5USZ0_MICMU
OG0001726	sp|P14324|FPPS_HUMAN	tr|A0A8C5UT09|A0A8C5UT09_MICMU, tr|A0A8C5W8M7|A0A8C5W8M7_MICMU
OG0001727	sp|P54750|PDE1A_HUMAN, sp|Q14123|PDE1C_HUMAN	tr|A0A8B7HVA6|A0A8B7HVA6_MICMU
OG0001728	sp|Q1A5X7|WHAL1_HUMAN, sp|Q8TF30|WHAMM_HUMAN	tr|A0A8C5V9R1|A0A8C5V9R1_MICMU
OG0001729	sp|Q5VW00|DC122_HUMAN, sp|Q5VU92|DC121_HUMAN	tr|A0A8B7EMA8|A0A8B7EMA8_MICMU
OG0001730	sp|Q6P996|PDXD1_HUMAN, sp|Q6P474|PDXD2_HUMAN	tr|A0A8C5V7A0|A0A8C5V7A0_MICMU
OG0001731	sp|Q6UX53|MET7B_HUMAN, sp|Q9H8H3|MET7A_HUMAN	tr|A0A8B7G638|A0A8B7G638_MICMU
OG0001732	sp|Q8NGK6|O52I1_HUMAN, sp|Q8NH67|O52I2_HUMAN	tr|A0A8C5VVW8|A0A8C5VVW8_MICMU
OG0001733	sp|Q9HC44|GPBL1_HUMAN	tr|A0A8C5UUP4|A0A8C5UUP4_MICMU, tr|A0A8B7F7W2|A0A8B7F7W2_MICMU
OG0001734	sp|Q9NXG2|THUM1_HUMAN	tr|A0A8C5VCT4|A0A8C5VCT4_MICMU, tr|A0A8C5VJC2|A0A8C5VJC2_MICMU
OG0001735	sp|A8MZ36|EVPLL_HUMAN, sp|Q92817|EVPL_HUMAN	tr|A0A8C5UTM1|A0A8C5UTM1_MICMU
OG0001736	sp|P05165|PCCA_HUMAN	tr|A0A8C5VFP2|A0A8C5VFP2_MICMU, tr|A0A8C5W8Z5|A0A8C5W8Z5_MICMU
OG0001737	sp|Q2VPA4|CR1L_HUMAN, sp|P17927|CR1_HUMAN	tr|A0A8C5VXZ1|A0A8C5VXZ1_MICMU
OG0001738	sp|P39019|RS19_HUMAN	tr|A0A8C5XXT2|A0A8C5XXT2_MICMU, tr|A0A8C5XBW6|A0A8C5XBW6_MICMU
OG0001739	sp|P51151|RAB9A_HUMAN	tr|A0A8C5YHX8|A0A8C5YHX8_MICMU, tr|A0A8B7HSR7|A0A8B7HSR7_MICMU
OG0001740	sp|P55809|SCOT1_HUMAN, sp|Q9BYC2|SCOT2_HUMAN	tr|A0A8B7H978|A0A8B7H978_MICMU
OG0001741	sp|P57076|CF298_HUMAN	tr|A0A8C6EI64|A0A8C6EI64_MICMU, tr|A0A8C5XYI1|A0A8C5XYI1_MICMU
OG0001742	sp|Q13042|CDC16_HUMAN	tr|A0A8C5Y222|A0A8C5Y222_MICMU, tr|A0A8C5V0H9|A0A8C5V0H9_MICMU
OG0001743	sp|Q9C0D2|CE295_HUMAN, sp|Q96MC4|C295L_HUMAN	tr|A0A8C5V9G2|A0A8C5V9G2_MICMU
OG0001744	sp|Q96SU4|OSBL9_HUMAN	tr|A0A8B7EZT5|A0A8B7EZT5_MICMU, tr|A0A8C5XBC8|A0A8C5XBC8_MICMU
OG0001745	sp|Q9NNX6|CD209_HUMAN, sp|Q9H2X3|CLC4M_HUMAN	tr|A0A8C5Y8Q1|A0A8C5Y8Q1_MICMU
OG0001746	sp|Q6ZT62|BGIN_HUMAN, sp|Q9Y3L3|3BP1_HUMAN	tr|A0A8B7HWX9|A0A8B7HWX9_MICMU
OG0001747	sp|P0DI81|TPC2A_HUMAN, sp|P0DI82|TPC2B_HUMAN	tr|A0A8C5UPF1|A0A8C5UPF1_MICMU
OG0001748	sp|P80098|CCL7_HUMAN, sp|P13500|CCL2_HUMAN	tr|A0A8B7ETN9|A0A8B7ETN9_MICMU
OG0001749	sp|P49585|PCY1A_HUMAN	tr|A0A8C5VH98|A0A8C5VH98_MICMU, tr|A0A8B7HFJ1|A0A8B7HFJ1_MICMU
OG0001750	sp|P18577|RHCE_HUMAN, sp|Q02161|RHD_HUMAN	tr|A0A8C5VRW7|A0A8C5VRW7_MICMU
OG0001751	sp|Q06124|PTN11_HUMAN	tr|A0A8C5XZK3|A0A8C5XZK3_MICMU, tr|A0A8B7HDH5|A0A8B7HDH5_MICMU
OG0001752	sp|Q99613|EIF3C_HUMAN, sp|B5ME19|EIFCL_HUMAN	tr|A0A8B7FZ25|A0A8B7FZ25_MICMU
OG0001753	sp|Q9NTK5|OLA1_HUMAN	tr|A0A8C5VUI2|A0A8C5VUI2_MICMU, tr|A0A8C5UJS9|A0A8C5UJS9_MICMU
OG0001754	sp|O00217|NDUS8_HUMAN	tr|A0A8B7FUM3|A0A8B7FUM3_MICMU, tr|A0A8C5VAK9|A0A8C5VAK9_MICMU
OG0001755	sp|O95232|LC7L3_HUMAN	tr|A0A8C5VGW9|A0A8C5VGW9_MICMU, tr|A0A8C5VYW6|A0A8C5VYW6_MICMU
OG0001756	sp|P01111|RASN_HUMAN	tr|A0A8B7WR35|A0A8B7WR35_MICMU, tr|A0A8C5VEZ1|A0A8C5VEZ1_MICMU
