Orthogroup	Homo_sapiens	Marmota_monax
OG0002686	sp|Q6ZN01|MASTR_HUMAN, sp|Q8IZQ8|MYCD_HUMAN	tr|A0A5E4CDP1|A0A5E4CDP1_MARMO
OG0002687	sp|Q96GA7|SDSL_HUMAN, sp|P20132|SDHL_HUMAN	tr|A0A5E4A3Z5|A0A5E4A3Z5_MARMO
OG0002688	sp|Q9NY72|SCN3B_HUMAN, sp|Q07699|SCN1B_HUMAN	tr|A0A5E4AN14|A0A5E4AN14_MARMO
OG0002689	sp|Q9UKJ1|PILRA_HUMAN, sp|Q9UKJ0|PILRB_HUMAN	tr|A0A5E4CSS6|A0A5E4CSS6_MARMO
OG0002691	sp|A3KMH1|VWA8_HUMAN	tr|A0A5E4DBC4|A0A5E4DBC4_MARMO, tr|A0A5E4CMB8|A0A5E4CMB8_MARMO
OG0002692	sp|O76093|FGF18_HUMAN, sp|O60258|FGF17_HUMAN	tr|A0A5E4C7L1|A0A5E4C7L1_MARMO
OG0002693	tr|A0A096LPJ9|A0A096LPJ9_HUMAN, sp|P02489|CRYAA_HUMAN	tr|A0A5E4CUR7|A0A5E4CUR7_MARMO
OG0002694	sp|P09486|SPRC_HUMAN	tr|A0A5E4DD94|A0A5E4DD94_MARMO, tr|A0A5E4BR95|A0A5E4BR95_MARMO
OG0002696	sp|P18848|ATF4_HUMAN	tr|A0A5E4CZX5|A0A5E4CZX5_MARMO, tr|A0A5E4AIX5|A0A5E4AIX5_MARMO
OG0002697	sp|P23246|SFPQ_HUMAN	tr|A0A5E4APM8|A0A5E4APM8_MARMO, tr|A0A5E4BPE5|A0A5E4BPE5_MARMO
OG0002699	sp|Q5SRH9|TT39A_HUMAN	tr|A0A5E4CID2|A0A5E4CID2_MARMO, tr|A0A5E4ANX5|A0A5E4ANX5_MARMO
OG0002700	sp|Q7LGC8|CHST3_HUMAN	tr|A0A5E4C8L1|A0A5E4C8L1_MARMO, tr|A0A5E4DCC9|A0A5E4DCC9_MARMO
OG0002701	sp|Q9BWD3|RTL8A_HUMAN, sp|Q17RB0|RTL8B_HUMAN	tr|A0A5E4D2W0|A0A5E4D2W0_MARMO
OG0002702	sp|Q9BYM8|HOIL1_HUMAN, sp|Q9H0F6|SHRPN_HUMAN	tr|A0A5E4CWW1|A0A5E4CWW1_MARMO
OG0002703	sp|Q9Y2L6|FRM4B_HUMAN	tr|A0A5E4AVR5|A0A5E4AVR5_MARMO, tr|A0A5E4BSD4|A0A5E4BSD4_MARMO
OG0002704	sp|O76003|GLRX3_HUMAN	tr|A0A5E4BCM1|A0A5E4BCM1_MARMO, tr|A0A5E4DCM9|A0A5E4DCM9_MARMO
OG0002705	sp|P01375|TNFA_HUMAN	tr|A0A5E4DD05|A0A5E4DD05_MARMO, tr|A0A5E4C1G0|A0A5E4C1G0_MARMO
OG0002706	sp|P01876|IGHA1_HUMAN, sp|P01877|IGHA2_HUMAN	tr|A0A5E4CFB2|A0A5E4CFB2_MARMO
OG0002707	sp|P56749|CLD12_HUMAN	tr|A0A5E4C9M3|A0A5E4C9M3_MARMO, tr|A0A5E4CMR7|A0A5E4CMR7_MARMO
OG0002708	sp|Q14973|NTCP_HUMAN	tr|A0A493QJC8|A0A493QJC8_MARMO, tr|A0A5E4DBZ0|A0A5E4DBZ0_MARMO
OG0002709	sp|Q15013|MD2BP_HUMAN	tr|A0A5E4A7R0|A0A5E4A7R0_MARMO, tr|A0A5E4AKP3|A0A5E4AKP3_MARMO
OG0002710	sp|Q16769|QPCT_HUMAN	tr|A0A5E4BVZ4|A0A5E4BVZ4_MARMO, tr|A0A5E4BW03|A0A5E4BW03_MARMO
OG0002711	sp|Q5ZPR3|CD276_HUMAN	tr|A0A5E4B7U4|A0A5E4B7U4_MARMO, tr|A0A5E4A875|A0A5E4A875_MARMO
OG0002712	sp|Q6PKG0|LARP1_HUMAN	tr|A0A5E4D6G6|A0A5E4D6G6_MARMO, tr|A0A5E4A377|A0A5E4A377_MARMO
OG0002713	sp|Q9NVH0|EXD2_HUMAN, sp|Q8N9H8|MUT7_HUMAN	tr|A0A5E4AZU7|A0A5E4AZU7_MARMO
OG0002714	sp|Q8TAA5|GRPE2_HUMAN	tr|A0A5E4CNB4|A0A5E4CNB4_MARMO, tr|A0A5E4B0R2|A0A5E4B0R2_MARMO
OG0002715	sp|Q92764|KRT35_HUMAN	tr|A0A5E4CPS5|A0A5E4CPS5_MARMO, tr|A0A5E4CQ43|A0A5E4CQ43_MARMO
OG0002716	sp|Q9BYV2|TRI54_HUMAN, sp|Q969Q1|TRI63_HUMAN	tr|A0A5E4D4T4|A0A5E4D4T4_MARMO
OG0002717	sp|Q96DT0|LEG12_HUMAN	tr|A0A5E4A1E8|A0A5E4A1E8_MARMO, tr|A0A5E4BZP5|A0A5E4BZP5_MARMO
OG0002718	sp|Q9NUL5|SHFL_HUMAN	tr|A0A5E4A9Z5|A0A5E4A9Z5_MARMO, tr|A0A5E4DCM2|A0A5E4DCM2_MARMO
OG0002719	sp|A8K979|ERI2_HUMAN	tr|A0A5E4A730|A0A5E4A730_MARMO, tr|A0A5E4D4V5|A0A5E4D4V5_MARMO
OG0002720	sp|P35270|SPRE_HUMAN	tr|A0A5E4BE59|A0A5E4BE59_MARMO, tr|A0A5E4BF52|A0A5E4BF52_MARMO
OG0002721	sp|P69891|HBG1_HUMAN, sp|P69892|HBG2_HUMAN	tr|A0A5E4CZ23|A0A5E4CZ23_MARMO
OG0002722	sp|Q5JSH3|WDR44_HUMAN, sp|Q6UXN9|WDR82_HUMAN	tr|A0A5E4BN91|A0A5E4BN91_MARMO
OG0002724	sp|P08048|ZFY_HUMAN, sp|P17010|ZFX_HUMAN	tr|A0A5E4D5F2|A0A5E4D5F2_MARMO
OG0002725	sp|Q8N9I0|SYT2_HUMAN, sp|P21579|SYT1_HUMAN	tr|A0A5E4AI80|A0A5E4AI80_MARMO
OG0002726	sp|P53674|CRBB1_HUMAN	tr|A0A5E4B4N4|A0A5E4B4N4_MARMO, tr|A0A5E4CCK3|A0A5E4CCK3_MARMO
OG0002727	sp|Q16563|SYPL1_HUMAN	tr|A0A5E4C895|A0A5E4C895_MARMO, tr|A0A5E4BRD0|A0A5E4BRD0_MARMO
OG0002728	sp|Q2NL67|PARP6_HUMAN, sp|Q8N3A8|PARP8_HUMAN	tr|A0A5E4BC70|A0A5E4BC70_MARMO
OG0002729	sp|Q5T4S7|UBR4_HUMAN	tr|A0A5E4A1X6|A0A5E4A1X6_MARMO, tr|A0A5E4DKC7|A0A5E4DKC7_MARMO
OG0002730	sp|Q96AY2|EME1_HUMAN	tr|A0A5E4CXW8|A0A5E4CXW8_MARMO, tr|A0A5E4BUJ5|A0A5E4BUJ5_MARMO
OG0002731	sp|A0A494BZU4|T217B_HUMAN, sp|Q8N7C4|TM217_HUMAN	tr|A0A5E4B9X1|A0A5E4B9X1_MARMO
OG0002732	sp|Q6ZVW7|I17EL_HUMAN, sp|Q8NFR9|I17RE_HUMAN	tr|A0A5E4AJV6|A0A5E4AJV6_MARMO
OG0002733	sp|O14908|GIPC1_HUMAN, sp|Q8TF64|GIPC3_HUMAN	tr|A0A5E4DAE2|A0A5E4DAE2_MARMO
OG0002734	sp|Q9NP55|BPIA1_HUMAN, sp|Q96DR5|BPIA2_HUMAN	tr|A0A5E4CW69|A0A5E4CW69_MARMO
OG0002735	sp|P17020|ZNF16_HUMAN, sp|Q96NJ6|ZFP3_HUMAN	tr|A0A5E4CUH4|A0A5E4CUH4_MARMO
OG0002736	sp|Q9UK23|NAGPA_HUMAN	tr|A0A5E4DIU0|A0A5E4DIU0_MARMO, tr|A0A5E4AZD0|A0A5E4AZD0_MARMO
OG0002737	sp|Q9Y2C9|TLR6_HUMAN, sp|Q15399|TLR1_HUMAN	tr|A0A5E4ALZ8|A0A5E4ALZ8_MARMO
OG0002738	sp|P05114|HMGN1_HUMAN	tr|A0A5E4B8D6|A0A5E4B8D6_MARMO, tr|A0A5E4BQ74|A0A5E4BQ74_MARMO
OG0002739	sp|P23588|IF4B_HUMAN	tr|A0A5E4DBC1|A0A5E4DBC1_MARMO, tr|A0A5E4A9A5|A0A5E4A9A5_MARMO
OG0002740	sp|P43005|EAA3_HUMAN	tr|A0A5E4CFI3|A0A5E4CFI3_MARMO, tr|A0A5E4CFA4|A0A5E4CFA4_MARMO
OG0002741	sp|Q68EM7|RHG17_HUMAN	tr|A0A5E4DA34|A0A5E4DA34_MARMO, tr|A0A5E4CXF5|A0A5E4CXF5_MARMO
OG0002742	sp|Q9NV66|TYW1_HUMAN, sp|Q6NUM6|TYW1B_HUMAN	tr|A0A5E4ACQ0|A0A5E4ACQ0_MARMO
OG0002743	sp|Q8WZ55|BSND_HUMAN	tr|A0A5E4BD82|A0A5E4BD82_MARMO, tr|A0A5E4DBN4|A0A5E4DBN4_MARMO
OG0002744	sp|Q96BI1|S22AI_HUMAN	tr|A0A5E4CMC0|A0A5E4CMC0_MARMO, tr|A0A5E4DJI8|A0A5E4DJI8_MARMO
OG0002745	sp|Q9NTI7|INKA2_HUMAN, sp|Q96EL1|INKA1_HUMAN	tr|A0A5E4BS21|A0A5E4BS21_MARMO
OG0002746	sp|Q9C0B2|CFA74_HUMAN	tr|A0A5E4BBH6|A0A5E4BBH6_MARMO, tr|A0A5E4DCR5|A0A5E4DCR5_MARMO
OG0002747	sp|Q9NVV4|PAPD1_HUMAN	tr|A0A5E4ANG5|A0A5E4ANG5_MARMO, tr|A0A5E4DD80|A0A5E4DD80_MARMO
OG0002748	sp|O00506|STK25_HUMAN	tr|A0A5E4AE53|A0A5E4AE53_MARMO, tr|A0A5E4DAX4|A0A5E4DAX4_MARMO
OG0002750	sp|P11117|PPAL_HUMAN	tr|A0A5E4C6Y8|A0A5E4C6Y8_MARMO, tr|A0A5E4DIF1|A0A5E4DIF1_MARMO
OG0002751	sp|Q8IU85|KCC1D_HUMAN, sp|Q14012|KCC1A_HUMAN	tr|A0A5E4AXN3|A0A5E4AXN3_MARMO
OG0002752	sp|Q8IXK2|GLT12_HUMAN, sp|Q8N4A0|GALT4_HUMAN	tr|A0A5E4AW47|A0A5E4AW47_MARMO
OG0002753	sp|Q8WWQ0|PHIP_HUMAN	tr|A0A5E4A6W9|A0A5E4A6W9_MARMO, tr|A0A5E4CL78|A0A5E4CL78_MARMO
OG0002754	sp|Q9H0E3|SP130_HUMAN	tr|A0A5E4DC50|A0A5E4DC50_MARMO, tr|A0A5E4B095|A0A5E4B095_MARMO
OG0002755	sp|Q9NTG7|SIR3_HUMAN	tr|A0A5E4D7I3|A0A5E4D7I3_MARMO, tr|A0A5E4DE02|A0A5E4DE02_MARMO
OG0002756	sp|Q9P299|COPZ2_HUMAN	tr|A0A5E4AEQ1|A0A5E4AEQ1_MARMO, tr|A0A5E4CF63|A0A5E4CF63_MARMO
OG0002757	sp|Q9Y223|GLCNE_HUMAN	tr|A0A5E4DLA9|A0A5E4DLA9_MARMO, tr|A0A5E4A6F1|A0A5E4A6F1_MARMO
OG0002758	sp|Q9Y2W6|TDRKH_HUMAN	tr|A0A5E4AFM8|A0A5E4AFM8_MARMO, tr|A0A5E4ARD5|A0A5E4ARD5_MARMO
OG0002759	sp|O75151|PHF2_HUMAN	tr|A0A5E4DDF2|A0A5E4DDF2_MARMO, tr|A0A5E4CJY9|A0A5E4CJY9_MARMO
OG0002760	sp|O75152|ZC11A_HUMAN, sp|A0A1B0GTU1|ZC11B_HUMAN	tr|A0A5E4CLH3|A0A5E4CLH3_MARMO
OG0002761	sp|O75493|CAH11_HUMAN, sp|Q9NS85|CAH10_HUMAN	tr|A0A5E4BAN1|A0A5E4BAN1_MARMO
OG0002762	sp|P07355|ANXA2_HUMAN, sp|A6NMY6|AXA2L_HUMAN	tr|A0A5E4AFX2|A0A5E4AFX2_MARMO
OG0002763	sp|P02763|A1AG1_HUMAN, sp|P19652|A1AG2_HUMAN	tr|A0A5E4BF10|A0A5E4BF10_MARMO
OG0002764	sp|Q15126|PMVK_HUMAN	tr|A0A5E4CTP5|A0A5E4CTP5_MARMO, tr|A0A5E4A7A9|A0A5E4A7A9_MARMO
OG0002765	sp|Q5T1M5|FKB15_HUMAN	tr|A0A5E4BFC5|A0A5E4BFC5_MARMO, tr|A0A5E4DF77|A0A5E4DF77_MARMO
OG0002766	sp|Q8N2M4|TM86A_HUMAN, sp|Q8N661|TM86B_HUMAN	tr|A0A5E4DI46|A0A5E4DI46_MARMO
OG0002767	sp|Q9P278|FNIP2_HUMAN	tr|A0A5E4BZ87|A0A5E4BZ87_MARMO, tr|A0A5E4AQ25|A0A5E4AQ25_MARMO
OG0002768	sp|Q9UJX4|APC5_HUMAN	tr|A0A5E4BVH4|A0A5E4BVH4_MARMO, tr|A0A5E4AR24|A0A5E4AR24_MARMO
OG0002769	sp|O43439|MTG8R_HUMAN	tr|A0A5E4DDK5|A0A5E4DDK5_MARMO, tr|A0A5E4BMV1|A0A5E4BMV1_MARMO
OG0002770	sp|Q9BPW8|NIPS1_HUMAN, sp|O75323|NIPS2_HUMAN	tr|A0A5E4ARV3|A0A5E4ARV3_MARMO
OG0002771	sp|O75665|OFD1_HUMAN	tr|A0A5E4BJH6|A0A5E4BJH6_MARMO, tr|A0A5E4CL04|A0A5E4CL04_MARMO
OG0002772	sp|O94819|KBTBB_HUMAN, sp|Q96G42|KLD7B_HUMAN	tr|A0A5E4CED1|A0A5E4CED1_MARMO
OG0002773	sp|P62508|ERR3_HUMAN, sp|O95718|ERR2_HUMAN	tr|A0A5E4BKH7|A0A5E4BKH7_MARMO
OG0002774	sp|P27635|RL10_HUMAN, sp|Q96L21|RL10L_HUMAN	tr|A0A5E4CXC9|A0A5E4CXC9_MARMO
OG0002775	sp|P35232|PHB1_HUMAN	tr|A0A5E4BQP2|A0A5E4BQP2_MARMO, tr|A0A5E4BLX1|A0A5E4BLX1_MARMO
OG0002776	sp|P42166|LAP2A_HUMAN	tr|A0A5E4BZT9|A0A5E4BZT9_MARMO, tr|A0A5E4D3E4|A0A5E4D3E4_MARMO
OG0002777	sp|Q13614|MTMR2_HUMAN	tr|A0A5E4DDB6|A0A5E4DDB6_MARMO, tr|A0A5E4D3Y5|A0A5E4D3Y5_MARMO
OG0002779	sp|Q8TD17|ZN398_HUMAN, sp|Q6IV72|ZN425_HUMAN	tr|A0A5E4CTD6|A0A5E4CTD6_MARMO
OG0002780	sp|Q7Z2E3|APTX_HUMAN, sp|Q96T60|PNKP_HUMAN	tr|A0A5E4BA86|A0A5E4BA86_MARMO
OG0002781	sp|Q99814|EPAS1_HUMAN, sp|Q16665|HIF1A_HUMAN	tr|A0A5E4B5W4|A0A5E4B5W4_MARMO
OG0002782	sp|Q9P2F6|RHG20_HUMAN	tr|A0A5E4C601|A0A5E4C601_MARMO, tr|A0A5E4A5J4|A0A5E4A5J4_MARMO
OG0002783	sp|O43280|TREA_HUMAN	tr|A0A5E4A3Z7|A0A5E4A3Z7_MARMO, tr|A0A5E4A2E7|A0A5E4A2E7_MARMO
OG0002784	sp|P07202|PERT_HUMAN	tr|A0A5E4C792|A0A5E4C792_MARMO, tr|A0A5E4C8A7|A0A5E4C8A7_MARMO
OG0002785	sp|P12755|SKI_HUMAN	tr|A0A5E4CX21|A0A5E4CX21_MARMO, tr|A0A5E4BB53|A0A5E4BB53_MARMO
OG0002786	sp|Q13370|PDE3B_HUMAN	tr|A0A5E4BW86|A0A5E4BW86_MARMO, tr|A0A5E4D1G2|A0A5E4D1G2_MARMO
OG0002787	sp|Q5TGS1|HES3_HUMAN	tr|A0A5E4DJC9|A0A5E4DJC9_MARMO, tr|A0A5E4B061|A0A5E4B061_MARMO
OG0002788	sp|Q66K74|MAP1S_HUMAN	tr|A0A5E4ABT3|A0A5E4ABT3_MARMO, tr|A0A5E4BKS2|A0A5E4BKS2_MARMO
OG0002789	sp|Q6ZQR2|CFA77_HUMAN	tr|A0A5E4DIE1|A0A5E4DIE1_MARMO, tr|A0A5E4BKZ9|A0A5E4BKZ9_MARMO
OG0002790	sp|Q8IV48|ERI1_HUMAN	tr|A0A5E4BTU7|A0A5E4BTU7_MARMO, tr|A0A5E4CXL1|A0A5E4CXL1_MARMO
OG0002792	sp|O94953|KDM4B_HUMAN	tr|A0A5E4D2Z9|A0A5E4D2Z9_MARMO, tr|A0A5E4CF55|A0A5E4CF55_MARMO
OG0002793	sp|O14718|OPSX_HUMAN, sp|P47804|RGR_HUMAN	tr|A0A5E4B0X2|A0A5E4B0X2_MARMO
OG0002794	sp|Q5THJ4|VP13D_HUMAN	tr|A0A5E4DKI2|A0A5E4DKI2_MARMO, tr|A0A5E4BUK0|A0A5E4BUK0_MARMO
OG0002795	sp|Q96CS4|ZN689_HUMAN	tr|A0A5E4C4P2|A0A5E4C4P2_MARMO, tr|A0A5E4AGA9|A0A5E4AGA9_MARMO
OG0002796	sp|Q96SW2|CRBN_HUMAN	tr|A0A5E4CCA4|A0A5E4CCA4_MARMO, tr|A0A5E4BMG0|A0A5E4BMG0_MARMO
OG0002797	sp|Q9BRK0|REEP2_HUMAN, sp|Q9H902|REEP1_HUMAN	tr|A0A5E4BKY3|A0A5E4BKY3_MARMO
OG0002798	sp|Q969J5|I22R2_HUMAN, sp|Q9UHF4|I20RA_HUMAN	tr|A0A5E4C1S8|A0A5E4C1S8_MARMO
OG0002799	sp|Q9UJ41|RABX5_HUMAN	tr|A0A5E4D8Z0|A0A5E4D8Z0_MARMO, tr|A0A5E4AE08|A0A5E4AE08_MARMO
OG0002800	sp|Q9UPQ9|TNR6B_HUMAN	tr|A0A5E4CQL4|A0A5E4CQL4_MARMO, tr|A0A5E4AJU8|A0A5E4AJU8_MARMO
OG0002801	sp|Q9Y2P0|ZN835_HUMAN, sp|Q8N8Y5|ZFP41_HUMAN	tr|A0A5E4D4J9|A0A5E4D4J9_MARMO
OG0002802	sp|Q9Y5R5|DMRT2_HUMAN	tr|A0A5E4BTK5|A0A5E4BTK5_MARMO, tr|A0A5E4DD17|A0A5E4DD17_MARMO
OG0002803	sp|O75830|SPI2_HUMAN, sp|Q99574|NEUS_HUMAN	tr|A0A5E4C9K3|A0A5E4C9K3_MARMO
OG0002804	sp|O95170|CDRT1_HUMAN, sp|Q5XX13|FBW10_HUMAN	tr|A0A5E4ASQ1|A0A5E4ASQ1_MARMO
OG0002805	sp|O00305|CACB4_HUMAN, sp|P54284|CACB3_HUMAN	tr|A0A5E4BSA8|A0A5E4BSA8_MARMO
OG0002806	sp|Q5JQS6|GSAML_HUMAN, sp|Q8N6F7|GCSAM_HUMAN	tr|A0A5E4BTR3|A0A5E4BTR3_MARMO
OG0002807	sp|Q5TCZ1|SPD2A_HUMAN	tr|A0A5E4AYU4|A0A5E4AYU4_MARMO, tr|A0A5E4BFQ8|A0A5E4BFQ8_MARMO
OG0002808	sp|Q9NRN7|ADPPT_HUMAN	tr|A0A5E4BY15|A0A5E4BY15_MARMO, tr|A0A5E4BJ12|A0A5E4BJ12_MARMO
OG0002809	sp|Q9NVK5|FGOP2_HUMAN	tr|A0A5E4D9B9|A0A5E4D9B9_MARMO, tr|A0A5E4CZ48|A0A5E4CZ48_MARMO
OG0002810	sp|Q9ULN7|PNM8B_HUMAN, sp|A0A1B0GUJ8|PNM8C_HUMAN	tr|A0A5E4BN02|A0A5E4BN02_MARMO
OG0002811	sp|P53992|SC24C_HUMAN, sp|O94855|SC24D_HUMAN	tr|A0A5E4ANF0|A0A5E4ANF0_MARMO
OG0002812	sp|O95630|STABP_HUMAN	tr|A0A5E4BBU2|A0A5E4BBU2_MARMO, tr|A0A5E4ALK0|A0A5E4ALK0_MARMO
OG0002813	sp|Q8NHH9|ATLA2_HUMAN, sp|Q8WXF7|ATLA1_HUMAN	tr|A0A5E4CMD5|A0A5E4CMD5_MARMO
OG0002814	sp|Q92536|YLAT2_HUMAN, sp|Q9UM01|YLAT1_HUMAN	tr|A0A5E4CZZ3|A0A5E4CZZ3_MARMO
OG0002815	sp|Q96L96|ALPK3_HUMAN	tr|A0A5E4DJ97|A0A5E4DJ97_MARMO, tr|A0A5E4BY71|A0A5E4BY71_MARMO
OG0002816	sp|Q9P296|C5AR2_HUMAN	tr|A0A5E4BPH9|A0A5E4BPH9_MARMO, tr|A0A5E4BY19|A0A5E4BY19_MARMO
OG0002817	sp|Q9UBP4|DKK3_HUMAN	tr|A0A5E4B5T2|A0A5E4B5T2_MARMO, tr|A0A5E4DDB1|A0A5E4DDB1_MARMO
OG0002818	sp|O14602|IF1AY_HUMAN, sp|P47813|IF1AX_HUMAN	tr|A0A5E4CB60|A0A5E4CB60_MARMO
OG0002819	sp|O95721|SNP29_HUMAN	tr|A0A5E4A2S5|A0A5E4A2S5_MARMO, tr|A0A5E4AQI7|A0A5E4AQI7_MARMO
OG0002820	sp|P13385|TDGF1_HUMAN, sp|P51864|TDGF3_HUMAN	tr|A0A5E4BWZ5|A0A5E4BWZ5_MARMO
OG0002821	sp|P35968|VGFR2_HUMAN	tr|A0A5E4CNW7|A0A5E4CNW7_MARMO, tr|A0A5E4CW08|A0A5E4CW08_MARMO
OG0002822	sp|P60893|GPR85_HUMAN	tr|A0A5E4C8H8|A0A5E4C8H8_MARMO, tr|A0A5E4C885|A0A5E4C885_MARMO
OG0002823	sp|Q7Z3K3|POGZ_HUMAN	tr|A0A5E4CHK0|A0A5E4CHK0_MARMO, tr|A0A5E4BAF9|A0A5E4BAF9_MARMO
OG0002824	sp|Q5T601|AGRF1_HUMAN, sp|Q8IZF3|AGRF4_HUMAN	tr|A0A5E4BL82|A0A5E4BL82_MARMO
OG0002826	sp|O95259|KCNH1_HUMAN, sp|Q8NCM2|KCNH5_HUMAN	tr|A0A5E4CPA1|A0A5E4CPA1_MARMO
OG0002827	sp|Q96HH4|TM169_HUMAN	tr|A0A5E4C979|A0A5E4C979_MARMO, tr|A0A5E4CB44|A0A5E4CB44_MARMO
OG0002828	sp|Q9H5I5|PIEZ2_HUMAN	tr|A0A5E4DIJ6|A0A5E4DIJ6_MARMO, tr|A0A5E4AW79|A0A5E4AW79_MARMO
OG0002829	sp|Q9NUC0|SRTD4_HUMAN	tr|A0A5E4BTD4|A0A5E4BTD4_MARMO, tr|A0A5E4DGW8|A0A5E4DGW8_MARMO
OG0002830	sp|O94983|CMTA2_HUMAN	tr|A0A5E4DIU8|A0A5E4DIU8_MARMO, tr|A0A5E4CWR1|A0A5E4CWR1_MARMO
OG0002831	sp|A0A0B4J2D5|GAL3B_HUMAN, sp|P0DPI2|GAL3A_HUMAN	tr|A0A5E4C7K9|A0A5E4C7K9_MARMO
OG0002832	sp|Q5SVS4|KMCP1_HUMAN, sp|O95258|UCP5_HUMAN	tr|A0A5E4CLA3|A0A5E4CLA3_MARMO
OG0002833	sp|Q6ZRI0|OTOG_HUMAN, sp|Q3ZCN5|OTOGL_HUMAN	tr|A0A5E4A6E3|A0A5E4A6E3_MARMO
OG0002834	sp|Q8IWZ6|BBS7_HUMAN	tr|A0A5E4C3E2|A0A5E4C3E2_MARMO, tr|A0A5E4ARY0|A0A5E4ARY0_MARMO
OG0002835	sp|P21675|TAF1_HUMAN, sp|Q8IZX4|TAF1L_HUMAN	tr|A0A5E4C7Q0|A0A5E4C7Q0_MARMO
OG0002836	sp|Q8N165|PDK1L_HUMAN	tr|A0A5E4D444|A0A5E4D444_MARMO, tr|A0A5E4D4X5|A0A5E4D4X5_MARMO
OG0002837	sp|A6NFZ4|FA24A_HUMAN, sp|Q8N5W8|FA24B_HUMAN	tr|A0A5E4BZ63|A0A5E4BZ63_MARMO
OG0002838	sp|P41229|KDM5C_HUMAN, sp|Q9BY66|KDM5D_HUMAN	tr|A0A5E4CL67|A0A5E4CL67_MARMO
OG0002839	sp|Q9Y448|SKAP_HUMAN	tr|A0A5E4CKH5|A0A5E4CKH5_MARMO, tr|A0A5E4AZD7|A0A5E4AZD7_MARMO
OG0002840	sp|O60512|B4GT3_HUMAN	tr|A0A5E4CRE2|A0A5E4CRE2_MARMO, tr|A0A5E4CJ46|A0A5E4CJ46_MARMO
OG0002841	sp|O60725|ICMT_HUMAN	tr|A0A5E4C317|A0A5E4C317_MARMO, tr|A0A5E4AWX8|A0A5E4AWX8_MARMO
OG0002842	sp|P28290|ITPI2_HUMAN	tr|A0A5E4C0P3|A0A5E4C0P3_MARMO, tr|A0A5E4D8E3|A0A5E4D8E3_MARMO
OG0002843	sp|Q9NR34|MA1C1_HUMAN, sp|P33908|MA1A1_HUMAN	tr|A0A5E4C4H8|A0A5E4C4H8_MARMO
OG0002844	sp|P58004|SESN2_HUMAN	tr|A0A5E4DB51|A0A5E4DB51_MARMO, tr|A0A5E4ACW5|A0A5E4ACW5_MARMO
OG0002845	sp|P78364|PHC1_HUMAN	tr|A0A5E4AZB0|A0A5E4AZB0_MARMO, tr|A0A5E4CS56|A0A5E4CS56_MARMO
OG0002846	sp|Q08345|DDR1_HUMAN	tr|A0A5E4CJM0|A0A5E4CJM0_MARMO, tr|A0A5E4D156|A0A5E4D156_MARMO
OG0002847	sp|Q5T7W7|TSTD2_HUMAN	tr|A0A5E4BS16|A0A5E4BS16_MARMO, tr|A0A5E4CDI3|A0A5E4CDI3_MARMO
OG0002848	sp|Q92804|RBP56_HUMAN, sp|P35637|FUS_HUMAN	tr|A0A5E4APC7|A0A5E4APC7_MARMO
OG0002849	sp|Q96J92|WNK4_HUMAN	tr|A0A5E4B8M9|A0A5E4B8M9_MARMO, tr|A0A5E4BXM5|A0A5E4BXM5_MARMO
OG0002850	sp|Q9NW82|WDR70_HUMAN	tr|A0A5E4CUU0|A0A5E4CUU0_MARMO, tr|A0A5E4AYJ9|A0A5E4AYJ9_MARMO
OG0002851	sp|Q9P0L0|VAPA_HUMAN	tr|A0A5E4AT14|A0A5E4AT14_MARMO, tr|A0A5E4AXZ6|A0A5E4AXZ6_MARMO
OG0002852	sp|A2VCK2|DCD2B_HUMAN	tr|A0A5E4AWF2|A0A5E4AWF2_MARMO, tr|A0A5E4AXA3|A0A5E4AXA3_MARMO
OG0002853	sp|P04053|TDT_HUMAN, sp|Q9NP87|DPOLM_HUMAN	tr|A0A5E4CH10|A0A5E4CH10_MARMO
OG0002854	sp|P46776|RL27A_HUMAN	tr|A0A5E4B7J2|A0A5E4B7J2_MARMO, tr|A0A5E4AWW8|A0A5E4AWW8_MARMO
OG0002855	sp|P48431|SOX2_HUMAN	tr|A0A5E4AN83|A0A5E4AN83_MARMO, tr|A0A5E4BA49|A0A5E4BA49_MARMO
OG0002856	sp|P53611|PGTB2_HUMAN	tr|A0A5E4B494|A0A5E4B494_MARMO, tr|A0A5E4BFI8|A0A5E4BFI8_MARMO
OG0002857	sp|Q3LI83|KR241_HUMAN, sp|Q8IUC1|KR111_HUMAN	tr|A0A5E4CH34|A0A5E4CH34_MARMO
OG0002858	sp|Q8TF39|ZN483_HUMAN	tr|A0A5E4CIR9|A0A5E4CIR9_MARMO, tr|A0A5E4CXK0|A0A5E4CXK0_MARMO
OG0002859	sp|Q8WXR4|MYO3B_HUMAN, sp|Q8NEV4|MYO3A_HUMAN	tr|A0A5E4B1S3|A0A5E4B1S3_MARMO
OG0002860	sp|Q96IZ6|MET2A_HUMAN, sp|Q6P1Q9|MET2B_HUMAN	tr|A0A5E4BUF7|A0A5E4BUF7_MARMO
OG0002861	sp|Q9UBU2|DKK2_HUMAN	tr|A0A5E4CCN6|A0A5E4CCN6_MARMO, tr|A0A5E4CBJ5|A0A5E4CBJ5_MARMO
OG0002862	sp|Q9UKZ9|PCOC2_HUMAN	tr|A0A5E4DI75|A0A5E4DI75_MARMO, tr|A0A5E4C7J8|A0A5E4C7J8_MARMO
