Orthogroup	Homo_sapiens	Rousettus_aegyptiacus
OG0002074	sp|A1KZ92|PXDNL_HUMAN, sp|Q92626|PXDN_HUMAN	tr|A0A7J8FLS8|A0A7J8FLS8_ROUAE
OG0002075	sp|P42772|CDN2B_HUMAN, sp|P42771|CDN2A_HUMAN	tr|A0A7J8IGB4|A0A7J8IGB4_ROUAE
OG0002076	sp|Q13449|LSAMP_HUMAN, sp|Q6UXZ0|TMIG1_HUMAN	tr|A0A7J8HRY3|A0A7J8HRY3_ROUAE
OG0002077	sp|Q99805|TM9S2_HUMAN	tr|A0A7J8E038|A0A7J8E038_ROUAE, tr|A0A7J8EL07|A0A7J8EL07_ROUAE
OG0002078	sp|Q13825|AUHM_HUMAN, sp|Q86YB7|ECHD2_HUMAN	tr|A0A7J8IG37|A0A7J8IG37_ROUAE
OG0002079	sp|Q95460|HMR1_HUMAN	tr|A0A7J8BF63|A0A7J8BF63_ROUAE, tr|A0A7J8FJN0|A0A7J8FJN0_ROUAE
OG0002080	sp|Q6P2I3|FAH2B_HUMAN, sp|Q96GK7|FAH2A_HUMAN	tr|A0A7J8FJ25|A0A7J8FJ25_ROUAE
OG0002081	sp|Q9NS71|GKN1_HUMAN, sp|P0CG01|GKN3_HUMAN	tr|A0A7J8FHH3|A0A7J8FHH3_ROUAE
OG0002082	sp|Q9P2H3|IFT80_HUMAN, sp|Q9Y3F4|STRAP_HUMAN	tr|A0A7J8JPL7|A0A7J8JPL7_ROUAE
OG0002083	sp|P48230|T4S4_HUMAN	tr|A0A7J8HXF7|A0A7J8HXF7_ROUAE, tr|A0A7J8HX09|A0A7J8HX09_ROUAE
OG0002084	sp|Q3T8J9|GON4L_HUMAN, sp|Q9H869|YYAP1_HUMAN	tr|A0A7J8BD25|A0A7J8BD25_ROUAE
OG0002085	sp|Q53S99|CB083_HUMAN, sp|Q9BZV2|S19A3_HUMAN	tr|A0A7J8JLI9|A0A7J8JLI9_ROUAE
OG0002086	sp|Q86XR7|TCAM2_HUMAN, sp|Q8IUC6|TCAM1_HUMAN	tr|A0A7J8BWI9|A0A7J8BWI9_ROUAE
OG0002087	sp|P22792|CPN2_HUMAN, sp|Q13641|TPBG_HUMAN	tr|A0A7J8KIL5|A0A7J8KIL5_ROUAE
OG0002088	sp|Q6ZT77|ZN826_HUMAN, sp|Q49A33|Z876P_HUMAN	tr|A0A7J8BST0|A0A7J8BST0_ROUAE
OG0002089	sp|Q9NQV7|PRDM9_HUMAN, sp|Q9NQW5|PRDM7_HUMAN	tr|A0A7J8FJJ9|A0A7J8FJJ9_ROUAE
OG0002090	sp|Q8NET1|D108B_HUMAN, sp|A8MXU0|DB108_HUMAN	tr|A0A7J8DW08|A0A7J8DW08_ROUAE
OG0002091	sp|O00429|DNM1L_HUMAN	tr|A0A7J8JD36|A0A7J8JD36_ROUAE, tr|A0A7J8JHI1|A0A7J8JHI1_ROUAE
OG0002092	sp|P03952|KLKB1_HUMAN, sp|P03951|FA11_HUMAN	tr|A0A7J8DWN6|A0A7J8DWN6_ROUAE
OG0002093	sp|P05413|FABPH_HUMAN	tr|A0A7J8K856|A0A7J8K856_ROUAE, tr|A0A7J8C1M8|A0A7J8C1M8_ROUAE
OG0002094	sp|Q9P218|COKA1_HUMAN	tr|A0A7J8DHI1|A0A7J8DHI1_ROUAE, tr|A0A7J8DFR9|A0A7J8DFR9_ROUAE
OG0002095	sp|Q9Y3Q8|T22D4_HUMAN	tr|A0A7J8EWM8|A0A7J8EWM8_ROUAE, tr|A0A7J8F4Q2|A0A7J8F4Q2_ROUAE
OG0002096	sp|Q9Y2E5|MA2B2_HUMAN, sp|O00754|MA2B1_HUMAN	tr|A0A7J8BS66|A0A7J8BS66_ROUAE
OG0002097	sp|P49448|DHE4_HUMAN, sp|P00367|DHE3_HUMAN	tr|A0A7J8G988|A0A7J8G988_ROUAE
OG0002098	sp|Q15833|STXB2_HUMAN, sp|P61764|STXB1_HUMAN	tr|A0A7J8IU84|A0A7J8IU84_ROUAE
OG0002099	sp|Q658Y4|F91A1_HUMAN, sp|P0C866|F91A2_HUMAN	tr|A0A7J8C1P9|A0A7J8C1P9_ROUAE
OG0002100	sp|O14788|TNF11_HUMAN, sp|Q6UY13|YB003_HUMAN	tr|A0A7J8DZZ1|A0A7J8DZZ1_ROUAE
OG0002101	sp|Q702N8|XIRP1_HUMAN	tr|A0A7J8HX60|A0A7J8HX60_ROUAE, tr|A0A7J8HWZ5|A0A7J8HWZ5_ROUAE
OG0002102	sp|Q96AZ1|EFMT3_HUMAN, sp|Q8WXB1|MT21A_HUMAN	tr|A0A7J8JIS7|A0A7J8JIS7_ROUAE
OG0002103	sp|Q14774|HLX_HUMAN, sp|A6NMT0|DBX1_HUMAN	tr|A0A7J8GXD2|A0A7J8GXD2_ROUAE
OG0002104	sp|Q6PII5|HAGHL_HUMAN, sp|Q16775|GLO2_HUMAN	tr|A0A7J8EZA6|A0A7J8EZA6_ROUAE
OG0002106	sp|Q8TDE3|RNAS8_HUMAN, sp|Q9H1E1|RNAS7_HUMAN	tr|A0A7J8IR67|A0A7J8IR67_ROUAE
OG0002107	sp|Q9BQC3|DPH2_HUMAN, sp|Q9BZG8|DPH1_HUMAN	tr|A0A7J8K799|A0A7J8K799_ROUAE
OG0002108	sp|P06727|APOA4_HUMAN, sp|Q6Q788|APOA5_HUMAN	tr|A0A7J8GV44|A0A7J8GV44_ROUAE
OG0002109	sp|Q9NVW2|RNF12_HUMAN	tr|A0A7J8EKY4|A0A7J8EKY4_ROUAE, tr|A0A7J8ELP2|A0A7J8ELP2_ROUAE
OG0002110	sp|A0A0A6YYC5|TVA14_HUMAN	tr|A0A7J8IUP4|A0A7J8IUP4_ROUAE, tr|A0A7J8IVE6|A0A7J8IVE6_ROUAE
OG0002111	sp|O43463|SUV91_HUMAN, sp|Q53H47|SETMR_HUMAN	tr|A0A7J8EM68|A0A7J8EM68_ROUAE
OG0002112	sp|P0DTL6|ZTRF1_HUMAN	tr|A0A7J8C1A4|A0A7J8C1A4_ROUAE, tr|A0A7J8C1A9|A0A7J8C1A9_ROUAE
OG0002113	sp|Q96PX9|PKH4B_HUMAN, sp|Q58EX7|PKHG4_HUMAN	tr|A0A7J8CKM9|A0A7J8CKM9_ROUAE
OG0002114	sp|Q8IUE0|TF2LY_HUMAN, sp|Q8IUE1|TF2LX_HUMAN	tr|A0A7J8EMH5|A0A7J8EMH5_ROUAE
OG0002115	sp|Q8IXX5|T183A_HUMAN, sp|Q1AE95|T183B_HUMAN	tr|A0A7J8BAG8|A0A7J8BAG8_ROUAE
OG0002116	sp|P02008|HBAZ_HUMAN	tr|A0A7J8EYW8|A0A7J8EYW8_ROUAE, tr|A0A7J8EZC9|A0A7J8EZC9_ROUAE
OG0002117	sp|Q99426|TBCB_HUMAN, sp|Q14203|DCTN1_HUMAN	tr|A0A7J8CM63|A0A7J8CM63_ROUAE
OG0002118	sp|Q9UQ88|CD11A_HUMAN, sp|P21127|CD11B_HUMAN	tr|A0A7J8K651|A0A7J8K651_ROUAE
OG0002119	sp|Q9H936|GHC1_HUMAN, sp|Q9H1K4|GHC2_HUMAN	tr|A0A7J8H795|A0A7J8H795_ROUAE
OG0002120	sp|Q9P1P4|TAAR3_HUMAN, sp|Q9P1P5|TAAR2_HUMAN	tr|A0A7J8KHW8|A0A7J8KHW8_ROUAE
OG0002121	tr|A0A3B3IU46|A0A3B3IU46_HUMAN, sp|Q9BTL3|RAMAC_HUMAN	tr|A0A7J8CL57|A0A7J8CL57_ROUAE
OG0002122	sp|P0DN25|C1C1L_HUMAN, sp|Q96EU7|C1GLC_HUMAN	tr|A0A7J8EI95|A0A7J8EI95_ROUAE
OG0002123	sp|Q86VH4|LRRT4_HUMAN	tr|A0A7J8FJD8|A0A7J8FJD8_ROUAE, tr|A0A7J8FJT7|A0A7J8FJT7_ROUAE
OG0002124	sp|Q14493|SLBP_HUMAN	tr|A0A7J8EAA4|A0A7J8EAA4_ROUAE, tr|A0A7J8FJK3|A0A7J8FJK3_ROUAE
OG0002125	sp|Q5VTD9|GFI1B_HUMAN, sp|Q15072|OZF_HUMAN	tr|A0A7J8IJX4|A0A7J8IJX4_ROUAE
OG0002126	sp|Q86V97|KBTB6_HUMAN, sp|Q8WVZ9|KBTB7_HUMAN	tr|A0A7J8DXW3|A0A7J8DXW3_ROUAE
OG0002127	sp|Q92544|TM9S4_HUMAN, sp|O15321|TM9S1_HUMAN	tr|A0A7J8DLS2|A0A7J8DLS2_ROUAE
OG0002128	sp|Q9Y4F9|RIPR2_HUMAN, sp|Q96MK2|RIPR3_HUMAN	tr|A0A7J8DK43|A0A7J8DK43_ROUAE
OG0002129	sp|P58304|VSX2_HUMAN, sp|Q9NZR4|VSX1_HUMAN	tr|A0A7J8IWV4|A0A7J8IWV4_ROUAE
OG0002130	sp|Q5H9U9|DDX6L_HUMAN, sp|Q8IY21|DDX60_HUMAN	tr|A0A7J8BQS6|A0A7J8BQS6_ROUAE
OG0002131	sp|Q9BXW4|MLP3C_HUMAN, sp|Q9H492|MLP3A_HUMAN	tr|A0A7J8DJ78|A0A7J8DJ78_ROUAE
OG0002132	sp|O14668|TMG1_HUMAN, sp|Q9BZD7|TMG3_HUMAN	tr|A0A7J8ELT4|A0A7J8ELT4_ROUAE
OG0002133	sp|P47902|CDX1_HUMAN, sp|O14627|CDX4_HUMAN	tr|A0A7J8FEX8|A0A7J8FEX8_ROUAE
OG0002134	sp|Q6UWW0|LCN15_HUMAN	tr|A0A7J8IKU1|A0A7J8IKU1_ROUAE, tr|A0A7J8IKV3|A0A7J8IKV3_ROUAE
OG0002135	sp|Q9ULK2|AT7L1_HUMAN	tr|A0A7J8C2F7|A0A7J8C2F7_ROUAE, tr|A0A7J8D444|A0A7J8D444_ROUAE
OG0002136	sp|Q68DX3|FRPD2_HUMAN, sp|Q6IN97|FRP2L_HUMAN	tr|A0A7J8G7H7|A0A7J8G7H7_ROUAE
OG0002137	sp|Q9NWY4|HPF1_HUMAN, sp|A8MVJ9|HPF1L_HUMAN	tr|A0A7J8BR93|A0A7J8BR93_ROUAE
OG0002138	sp|Q9UFP1|GAK1A_HUMAN, sp|Q6UWH4|GAK1B_HUMAN	tr|A0A7J8BRJ7|A0A7J8BRJ7_ROUAE
OG0002139	sp|P78347|GTF2I_HUMAN	tr|A0A7J8HSQ2|A0A7J8HSQ2_ROUAE, tr|A0A7J8EZB1|A0A7J8EZB1_ROUAE
OG0002140	sp|Q05923|DUS2_HUMAN	tr|A0A7J8FH61|A0A7J8FH61_ROUAE, tr|A0A7J8K7T2|A0A7J8K7T2_ROUAE
OG0002141	sp|Q13492|PICAL_HUMAN	tr|A0A7J8EKS8|A0A7J8EKS8_ROUAE, tr|A0A7J8H558|A0A7J8H558_ROUAE
OG0002142	sp|O75038|PLCH2_HUMAN	tr|A0A7J8KEC1|A0A7J8KEC1_ROUAE, tr|A0A7J8HTP1|A0A7J8HTP1_ROUAE
OG0002143	sp|P54252|ATX3_HUMAN, sp|Q9H3M9|ATX3L_HUMAN	tr|A0A7J8IEX6|A0A7J8IEX6_ROUAE
OG0002144	sp|Q12933|TRAF2_HUMAN, sp|Q9BUZ4|TRAF4_HUMAN	tr|A0A7J8IV18|A0A7J8IV18_ROUAE
OG0002145	sp|Q96G91|P2Y11_HUMAN, sp|P47900|P2RY1_HUMAN	tr|A0A7J8HTB9|A0A7J8HTB9_ROUAE
OG0002146	sp|Q9HCD5|NCOA5_HUMAN	tr|A0A7J8DJG4|A0A7J8DJG4_ROUAE, tr|A0A7J8CHS6|A0A7J8CHS6_ROUAE
OG0002147	sp|P43378|PTN9_HUMAN, sp|P17706|PTN2_HUMAN	tr|A0A7J8DKF6|A0A7J8DKF6_ROUAE
OG0002148	sp|Q00G26|PLIN5_HUMAN, sp|O60664|PLIN3_HUMAN	tr|A0A7J8BUI6|A0A7J8BUI6_ROUAE
OG0002150	sp|Q9NSV4|DIAP3_HUMAN	tr|A0A7J8EIX2|A0A7J8EIX2_ROUAE, tr|A0A7J8DWZ9|A0A7J8DWZ9_ROUAE
OG0002151	sp|P51817|PRKX_HUMAN, sp|O43930|PRKY_HUMAN	tr|A0A7J8B7R4|A0A7J8B7R4_ROUAE
OG0002152	sp|Q6NUI6|CHADL_HUMAN	tr|A0A7J8JBF2|A0A7J8JBF2_ROUAE, tr|A0A7J8JBH6|A0A7J8JBH6_ROUAE
OG0002153	sp|Q92535|PIGC_HUMAN	tr|A0A7J8BH54|A0A7J8BH54_ROUAE, tr|A0A7J8HRE7|A0A7J8HRE7_ROUAE
OG0002154	sp|P15538|C11B1_HUMAN, sp|P19099|C11B2_HUMAN	tr|A0A7J8C2S4|A0A7J8C2S4_ROUAE
OG0002155	sp|P24534|EF1B_HUMAN	tr|A0A7J8JGW0|A0A7J8JGW0_ROUAE, tr|A0A7J8JCM7|A0A7J8JCM7_ROUAE
OG0002156	sp|Q6ZUS5|CC121_HUMAN	tr|A0A7J8FEG2|A0A7J8FEG2_ROUAE, tr|A0A7J8D4K9|A0A7J8D4K9_ROUAE
OG0002157	sp|P50221|MEOX1_HUMAN, sp|O95231|VENTX_HUMAN	tr|A0A7J8GBW7|A0A7J8GBW7_ROUAE
OG0002158	sp|Q8IWR1|TRI59_HUMAN, sp|O60858|TRI13_HUMAN	tr|A0A7J8DZM9|A0A7J8DZM9_ROUAE
OG0002159	sp|Q8IY57|YAF2_HUMAN, sp|Q8N488|RYBP_HUMAN	tr|A0A7J8JPC5|A0A7J8JPC5_ROUAE
OG0002160	sp|P83881|RL36A_HUMAN	tr|A0A7J8ELG8|A0A7J8ELG8_ROUAE, tr|A0A7J8ISL8|A0A7J8ISL8_ROUAE
OG0002161	sp|A8MTI9|PRS47_HUMAN	tr|A0A7J8JG93|A0A7J8JG93_ROUAE, tr|A0A7J8ING1|A0A7J8ING1_ROUAE
OG0002162	sp|P49902|5NTC_HUMAN, sp|Q86YG4|NT5D4_HUMAN	tr|A0A7J8GD78|A0A7J8GD78_ROUAE
OG0002163	sp|Q15392|DHC24_HUMAN	tr|A0A7J8K739|A0A7J8K739_ROUAE, tr|A0A7J8BT33|A0A7J8BT33_ROUAE
OG0002164	sp|Q00765|REEP5_HUMAN, sp|Q96HR9|REEP6_HUMAN	tr|A0A7J8F358|A0A7J8F358_ROUAE
OG0002165	sp|Q96RI1|NR1H4_HUMAN	tr|A0A7J8BG76|A0A7J8BG76_ROUAE, tr|A0A7J8JIN5|A0A7J8JIN5_ROUAE
OG0002166	sp|O75376|NCOR1_HUMAN, sp|Q9H4R4|CT191_HUMAN	tr|A0A7J8GD61|A0A7J8GD61_ROUAE
OG0002167	sp|A8MTB9|CEA18_HUMAN, sp|Q2WEN9|CEA16_HUMAN	tr|A0A7J8CER0|A0A7J8CER0_ROUAE
OG0002168	sp|P07225|PROS_HUMAN, sp|P04278|SHBG_HUMAN	tr|A0A7J8HTT7|A0A7J8HTT7_ROUAE
OG0002169	sp|Q8WYK0|ACO12_HUMAN, sp|Q8WXI4|ACO11_HUMAN	tr|A0A7J8K491|A0A7J8K491_ROUAE
OG0002170	tr|A0A8I5KW96|A0A8I5KW96_HUMAN, sp|P27144|KAD4_HUMAN	tr|A0A7J8K4M7|A0A7J8K4M7_ROUAE
OG0002171	sp|Q5VUY0|ADCL3_HUMAN, sp|Q5VUY2|ADCL4_HUMAN	tr|A0A7J8K435|A0A7J8K435_ROUAE
OG0002172	sp|Q9Y4R7|TTLL3_HUMAN, sp|A6PVC2|TTLL8_HUMAN	tr|A0A7J8HXH0|A0A7J8HXH0_ROUAE
OG0002173	sp|Q58HT5|AWAT1_HUMAN	tr|A0A7J8EHU9|A0A7J8EHU9_ROUAE, tr|A0A7J8F1F2|A0A7J8F1F2_ROUAE
OG0002174	sp|Q9ULY5|CLC4E_HUMAN, sp|Q6ZS10|CL17A_HUMAN	tr|A0A7J8JD70|A0A7J8JD70_ROUAE
OG0002175	sp|Q8N1E2|LYG1_HUMAN, sp|Q86SG7|LYG2_HUMAN	tr|A0A7J8FJD4|A0A7J8FJD4_ROUAE
OG0002176	sp|Q8N9B8|RGF1A_HUMAN	tr|A0A7J8GF68|A0A7J8GF68_ROUAE, tr|A0A7J8IKW8|A0A7J8IKW8_ROUAE
OG0002177	sp|Q969X2|SIA7F_HUMAN, sp|Q9BVH7|SIA7E_HUMAN	tr|A0A7J8KHK3|A0A7J8KHK3_ROUAE
OG0002178	sp|Q8N0Z9|VSI10_HUMAN, sp|A6NGN9|IGLO5_HUMAN	tr|A0A7J8CGU6|A0A7J8CGU6_ROUAE
OG0002179	sp|Q9H8K7|PAAT_HUMAN, sp|Q499Y3|YJ016_HUMAN	tr|A0A7J8G4V4|A0A7J8G4V4_ROUAE
OG0002180	sp|P0DJR0|GIMD1_HUMAN, sp|Q9UG22|GIMA2_HUMAN	tr|A0A7J8D5K2|A0A7J8D5K2_ROUAE
OG0002181	sp|Q14202|ZMYM3_HUMAN, sp|Q5VZL5|ZMYM4_HUMAN	tr|A0A7J8EMJ1|A0A7J8EMJ1_ROUAE
OG0002182	sp|Q8TEQ0|SNX29_HUMAN, sp|Q8IUI4|S29P2_HUMAN	tr|A0A7J8F479|A0A7J8F479_ROUAE
OG0002183	sp|O00459|P85B_HUMAN, sp|P27986|P85A_HUMAN	tr|A0A7J8F247|A0A7J8F247_ROUAE
OG0002184	sp|P47989|XDH_HUMAN, sp|Q06278|AOXA_HUMAN	tr|A0A7J8FP21|A0A7J8FP21_ROUAE
OG0002185	sp|Q86VR7|VS10L_HUMAN, sp|Q15109|RAGE_HUMAN	tr|A0A7J8K4H7|A0A7J8K4H7_ROUAE
OG0002186	sp|P02792|FRIL_HUMAN	tr|A0A7J8KAU6|A0A7J8KAU6_ROUAE, tr|A0A7J8CG75|A0A7J8CG75_ROUAE
OG0002187	sp|P46109|CRKL_HUMAN	tr|A0A7J8GXW1|A0A7J8GXW1_ROUAE, tr|A0A7J8GAL7|A0A7J8GAL7_ROUAE
OG0002188	sp|Q8N6W0|CELF5_HUMAN	tr|A0A7J8BQT6|A0A7J8BQT6_ROUAE, tr|A0A7J8DFU4|A0A7J8DFU4_ROUAE
OG0002189	sp|Q6NUR6|R216L_HUMAN, sp|Q9NWF9|RN216_HUMAN	tr|A0A7J8FLS6|A0A7J8FLS6_ROUAE
OG0002190	sp|Q96K31|CH076_HUMAN, sp|Q96EF9|ZHX1R_HUMAN	tr|A0A7J8C145|A0A7J8C145_ROUAE
OG0002191	sp|P08758|ANXA5_HUMAN	tr|A0A7J8BN67|A0A7J8BN67_ROUAE, tr|A0A7J8BSH0|A0A7J8BSH0_ROUAE
OG0002192	sp|Q8ND82|Z280C_HUMAN, sp|Q6N043|Z280D_HUMAN	tr|A0A7J8IW96|A0A7J8IW96_ROUAE
OG0002193	sp|Q969R5|LMBL2_HUMAN	tr|A0A7J8JHG0|A0A7J8JHG0_ROUAE, tr|A0A7J8JGY4|A0A7J8JGY4_ROUAE
OG0002194	sp|P40337|VHL_HUMAN, sp|Q6RSH7|VHLL_HUMAN	tr|A0A7J8HS74|A0A7J8HS74_ROUAE
OG0002195	sp|Q8N3H0|TAFA2_HUMAN, sp|Q7Z5A9|TAFA1_HUMAN	tr|A0A7J8JFF8|A0A7J8JFF8_ROUAE
OG0002196	sp|Q9H000|MKRN2_HUMAN	tr|A0A7J8KB76|A0A7J8KB76_ROUAE, tr|A0A7J8HU28|A0A7J8HU28_ROUAE
OG0002197	tr|A0A7I2V3R4|A0A7I2V3R4_HUMAN, sp|Q8N6D2|RN182_HUMAN	tr|A0A7J8KFL8|A0A7J8KFL8_ROUAE
OG0002198	sp|P09326|CD48_HUMAN	tr|A0A7J8BE74|A0A7J8BE74_ROUAE, tr|A0A7J8BC12|A0A7J8BC12_ROUAE
OG0002199	sp|P25024|CXCR1_HUMAN, sp|P25025|CXCR2_HUMAN	tr|A0A7J8JD35|A0A7J8JD35_ROUAE
OG0002200	sp|Q6IV72|ZN425_HUMAN, sp|Q6ZMS7|ZN783_HUMAN	tr|A0A7J8D9I3|A0A7J8D9I3_ROUAE
OG0002201	sp|Q7Z5Y6|BMP8A_HUMAN, sp|P34820|BMP8B_HUMAN	tr|A0A7J8KAQ0|A0A7J8KAQ0_ROUAE
OG0002202	sp|Q96F15|GIMA5_HUMAN	tr|A0A7J8D6L3|A0A7J8D6L3_ROUAE, tr|A0A7J8D5J4|A0A7J8D5J4_ROUAE
OG0002204	sp|P53367|ARFP1_HUMAN	tr|A0A7J8EK68|A0A7J8EK68_ROUAE, tr|A0A7J8BPY7|A0A7J8BPY7_ROUAE
OG0002205	sp|Q7L4S7|ARMX6_HUMAN	tr|A0A7J8EIC9|A0A7J8EIC9_ROUAE, tr|A0A7J8EJY6|A0A7J8EJY6_ROUAE
OG0002206	sp|Q6VAB6|KSR2_HUMAN, sp|Q8IVT5|KSR1_HUMAN	tr|A0A7J8H1G2|A0A7J8H1G2_ROUAE
OG0002207	sp|P0C7M6|IQCF3_HUMAN, sp|Q8IXL9|IQCF2_HUMAN	tr|A0A7J8HSI9|A0A7J8HSI9_ROUAE
OG0002208	sp|Q99619|SPSB2_HUMAN	tr|A0A7J8JM60|A0A7J8JM60_ROUAE, tr|A0A7J8ILR0|A0A7J8ILR0_ROUAE
OG0002209	sp|Q15270|NKX11_HUMAN, sp|Q9UD57|NKX12_HUMAN	tr|A0A7J8E9D5|A0A7J8E9D5_ROUAE
OG0002210	sp|O75319|DUS11_HUMAN	tr|A0A7J8GB18|A0A7J8GB18_ROUAE, tr|A0A7J8FII7|A0A7J8FII7_ROUAE
OG0002211	sp|Q4VC39|HIG2B_HUMAN, sp|Q9BW72|HIG2A_HUMAN	tr|A0A7J8FGW0|A0A7J8FGW0_ROUAE
OG0002212	sp|Q8IYP2|PRS58_HUMAN	tr|A0A7J8D7U6|A0A7J8D7U6_ROUAE, tr|A0A7J8JFZ5|A0A7J8JFZ5_ROUAE
OG0002213	sp|Q96JQ5|M4A4A_HUMAN, sp|Q96PG1|M4A4E_HUMAN	tr|A0A7J8H309|A0A7J8H309_ROUAE
OG0002214	sp|Q96Q15|SMG1_HUMAN, sp|Q6P435|SMG1L_HUMAN	tr|A0A7J8F420|A0A7J8F420_ROUAE
OG0002215	sp|A6NC42|DPPA5_HUMAN, sp|Q587J8|KHDC3_HUMAN	tr|A0A7J8K790|A0A7J8K790_ROUAE
OG0002216	sp|P30408|T4S1_HUMAN, sp|O14894|T4S5_HUMAN	tr|A0A7J8HWY8|A0A7J8HWY8_ROUAE
OG0002217	sp|Q9Y3B3|TMED7_HUMAN, sp|Q9Y3Q3|TMED3_HUMAN	tr|A0A7J8CMA3|A0A7J8CMA3_ROUAE
OG0002218	sp|Q8WTU0|DDI1_HUMAN, sp|Q5TDH0|DDI2_HUMAN	tr|A0A7J8GYV7|A0A7J8GYV7_ROUAE
OG0002219	sp|Q5VVQ6|OTU1_HUMAN, sp|Q96JH7|VCIP1_HUMAN	tr|A0A7J8C4Z2|A0A7J8C4Z2_ROUAE
OG0002220	sp|A0A1W2PR19|GSTT4_HUMAN, tr|A0A1W2PRG0|A0A1W2PRG0_HUMAN	tr|A0A7J8GZX4|A0A7J8GZX4_ROUAE
OG0002221	sp|Q8N7F7|UBL4B_HUMAN, sp|P11441|UBL4A_HUMAN	tr|A0A7J8BI17|A0A7J8BI17_ROUAE
OG0002222	sp|Q8N8N7|PTGR2_HUMAN, sp|Q14914|PTGR1_HUMAN	tr|A0A7J8IQ72|A0A7J8IQ72_ROUAE
OG0002223	sp|Q5XKR9|F104B_HUMAN, sp|Q969W3|F104A_HUMAN	tr|A0A7J8G800|A0A7J8G800_ROUAE
OG0002224	sp|Q7RTX1|TS1R1_HUMAN, sp|Q8TE23|TS1R2_HUMAN	tr|A0A7J8KAL8|A0A7J8KAL8_ROUAE
OG0002226	sp|P15509|CSF2R_HUMAN	tr|A0A7J8B7J0|A0A7J8B7J0_ROUAE, tr|A0A7J8B863|A0A7J8B863_ROUAE
OG0002227	sp|P21506|ZNF10_HUMAN, sp|Q6NX49|ZN544_HUMAN	tr|A0A7J8H9D6|A0A7J8H9D6_ROUAE
OG0002228	sp|P28715|ERCC5_HUMAN	tr|A0A7J8DWG0|A0A7J8DWG0_ROUAE, tr|A0A7J8DWH4|A0A7J8DWH4_ROUAE
OG0002229	sp|Q8WV44|TRI41_HUMAN, sp|Q96A61|TRI52_HUMAN	tr|A0A7J8FJN4|A0A7J8FJN4_ROUAE
OG0002230	sp|Q96AD5|PLPL2_HUMAN, sp|Q7Z6Z6|PLPL5_HUMAN	tr|A0A7J8H4E9|A0A7J8H4E9_ROUAE
OG0002231	sp|Q9UJN7|ZN391_HUMAN, tr|A0A087WUV0|A0A087WUV0_HUMAN	tr|A0A7J8FDP6|A0A7J8FDP6_ROUAE
OG0002233	sp|Q9BRL6|SRSF8_HUMAN, sp|Q01130|SRSF2_HUMAN	tr|A0A7J8GGM3|A0A7J8GGM3_ROUAE
OG0002234	tr|A0A087X1L8|A0A087X1L8_HUMAN, sp|O75144|ICOSL_HUMAN	tr|A0A7J8B706|A0A7J8B706_ROUAE
OG0002235	sp|Q14847|LASP1_HUMAN	tr|A0A7J8G9U0|A0A7J8G9U0_ROUAE, tr|A0A7J8E8T4|A0A7J8E8T4_ROUAE
OG0002236	sp|P30101|PDIA3_HUMAN	tr|A0A7J8IQM4|A0A7J8IQM4_ROUAE, tr|A0A7J8JGQ2|A0A7J8JGQ2_ROUAE
OG0002237	sp|P62753|RS6_HUMAN	tr|A0A7J8IR93|A0A7J8IR93_ROUAE, tr|A0A7J8GBB8|A0A7J8GBB8_ROUAE
OG0002238	sp|Q92830|KAT2A_HUMAN, sp|Q92831|KAT2B_HUMAN	tr|A0A7J8HRF8|A0A7J8HRF8_ROUAE
OG0002239	sp|Q9UNT1|RBL2B_HUMAN, sp|Q9UBK7|RBL2A_HUMAN	tr|A0A7J8JM36|A0A7J8JM36_ROUAE
OG0002240	sp|P04118|COL_HUMAN, sp|A2RUU4|COLL1_HUMAN	tr|A0A7J8K6E5|A0A7J8K6E5_ROUAE
OG0002241	sp|Q08257|QOR_HUMAN	tr|A0A7J8K6N2|A0A7J8K6N2_ROUAE, tr|A0A7J8BEF6|A0A7J8BEF6_ROUAE
OG0002242	sp|Q6NSW5|DE10B_HUMAN, sp|Q8TCE6|DEN10_HUMAN	tr|A0A7J8G7Y0|A0A7J8G7Y0_ROUAE
OG0002243	sp|Q8IZJ4|RGDSR_HUMAN, sp|Q12967|GNDS_HUMAN	tr|A0A7J8ILQ9|A0A7J8ILQ9_ROUAE
OG0002244	sp|P17026|ZNF22_HUMAN	tr|A0A7J8HSR7|A0A7J8HSR7_ROUAE, tr|A0A7J8GIB5|A0A7J8GIB5_ROUAE
OG0002245	sp|Q6UY27|PATE2_HUMAN	tr|A0A7J8H508|A0A7J8H508_ROUAE, tr|A0A7J8H1N1|A0A7J8H1N1_ROUAE
OG0002246	sp|Q9BZE2|PUS3_HUMAN	tr|A0A7J8H4W3|A0A7J8H4W3_ROUAE, tr|A0A7J8H4P1|A0A7J8H4P1_ROUAE
OG0002247	sp|Q9H446|RWDD1_HUMAN	tr|A0A7J8C2G5|A0A7J8C2G5_ROUAE, tr|A0A7J8KG86|A0A7J8KG86_ROUAE
OG0002248	sp|O60888|CUTA_HUMAN	tr|A0A7J8K6P8|A0A7J8K6P8_ROUAE, tr|A0A7J8IM70|A0A7J8IM70_ROUAE
OG0002249	sp|Q2TBE0|C19L2_HUMAN, sp|Q69YN2|C19L1_HUMAN	tr|A0A7J8G609|A0A7J8G609_ROUAE
