Orthogroup	Homo_sapiens	Balaenoptera_physalus
OG0001742	sp|O15247|CLIC2_HUMAN	tr|A0A643ATB5|A0A643ATB5_BALPH, tr|A0A6A1Q048|A0A6A1Q048_BALPH, tr|A0A643CCJ2|A0A643CCJ2_BALPH
OG0001743	sp|P28749|RBL1_HUMAN	tr|A0A643CFM5|A0A643CFM5_BALPH
OG0001743	sp|Q08999|RBL2_HUMAN	tr|A0A643CBW3|A0A643CBW3_BALPH
OG0001744	sp|Q8TAE6|PP14C_HUMAN	tr|A0A6A1Q6L3|A0A6A1Q6L3_BALPH
OG0001744	sp|Q96C90|PP14B_HUMAN	tr|A0A6A1Q0D1|A0A6A1Q0D1_BALPH
OG0001745	sp|Q494W8|CRFM7_HUMAN, sp|P36544|ACHA7_HUMAN, tr|A0A1W2PN81|A0A1W2PN81_HUMAN	tr|A0A643BYM9|A0A643BYM9_BALPH
OG0001746	sp|Q96FV3|TSN17_HUMAN	tr|A0A643C6N4|A0A643C6N4_BALPH
OG0001746	sp|P62079|TSN5_HUMAN	tr|A0A643C4U0|A0A643C4U0_BALPH
OG0001747	sp|B1ANY3|F220P_HUMAN, sp|Q7Z4H9|F220A_HUMAN	tr|A0A643C8M0|A0A643C8M0_BALPH, tr|A0A643BQG4|A0A643BQG4_BALPH
OG0001748	sp|Q96N28|PLD3A_HUMAN	tr|A0A6A1QJ46|A0A6A1QJ46_BALPH
OG0001748	sp|Q9Y3B1|PLD3B_HUMAN	tr|A0A643CJI9|A0A643CJI9_BALPH
OG0001749	sp|P22413|ENPP1_HUMAN	tr|A0A643CEF8|A0A643CEF8_BALPH
OG0001749	sp|O14638|ENPP3_HUMAN	tr|A0A6A1PZB3|A0A6A1PZB3_BALPH
OG0001750	sp|O75964|ATP5L_HUMAN, sp|Q7Z4Y8|AT5L2_HUMAN	tr|A0A6A1QBU2|A0A6A1QBU2_BALPH, tr|A0A6A1QDK9|A0A6A1QDK9_BALPH
OG0001751	sp|Q08AD1|CAMP2_HUMAN	tr|A0A6A1QH18|A0A6A1QH18_BALPH
OG0001751	sp|Q9P1Y5|CAMP3_HUMAN	tr|A0A6A1Q045|A0A6A1Q045_BALPH
OG0001752	sp|O95067|CCNB2_HUMAN	tr|A0A6A1Q6L4|A0A6A1Q6L4_BALPH
OG0001752	sp|Q8WWL7|CCNB3_HUMAN	tr|A0A643BMF2|A0A643BMF2_BALPH
OG0001753	sp|Q9Y691|KCMB2_HUMAN, sp|Q86W47|KCMB4_HUMAN, sp|Q9NPA1|KCMB3_HUMAN	tr|A0A643BUM4|A0A643BUM4_BALPH
OG0001754	sp|Q9H2K8|TAOK3_HUMAN	tr|A0A6A1QJR2|A0A6A1QJR2_BALPH
OG0001754	sp|Q7L7X3|TAOK1_HUMAN	tr|A0A643C1R4|A0A643C1R4_BALPH
OG0001755	sp|Q93074|MED12_HUMAN	tr|A0A6A1Q2E0|A0A6A1Q2E0_BALPH
OG0001755	sp|Q86YW9|MD12L_HUMAN	tr|A0A643C8Q7|A0A643C8Q7_BALPH
OG0001756	sp|Q8J025|APCD1_HUMAN	tr|A0A6A1QDW1|A0A6A1QDW1_BALPH
OG0001756	sp|Q8NCL9|APCDL_HUMAN	tr|A0A643CJA9|A0A643CJA9_BALPH
OG0001757	sp|Q02790|FKBP4_HUMAN	tr|A0A6A1QGA6|A0A6A1QGA6_BALPH, tr|A0A6A1QN32|A0A6A1QN32_BALPH, tr|A0A643C3U3|A0A643C3U3_BALPH
OG0001758	sp|P31949|S10AB_HUMAN	tr|A0A643BT43|A0A643BT43_BALPH, tr|A0A643BSL6|A0A643BSL6_BALPH, tr|A0A6A1QB16|A0A6A1QB16_BALPH
OG0001759	sp|Q8WTX9|ZDHC1_HUMAN, sp|P0C7U3|ZH11B_HUMAN, sp|Q9H8X9|ZDH11_HUMAN	tr|A0A643C147|A0A643C147_BALPH
OG0001760	sp|P31391|SSR4_HUMAN	tr|A0A6A1QET2|A0A6A1QET2_BALPH
OG0001760	sp|P30872|SSR1_HUMAN	tr|A0A6A1QFD3|A0A6A1QFD3_BALPH
OG0001761	sp|P21926|CD9_HUMAN	tr|A0A643C6L9|A0A643C6L9_BALPH
OG0001761	sp|P60033|CD81_HUMAN	tr|A0A6A1Q1E5|A0A6A1Q1E5_BALPH
OG0001762	sp|Q7LDG7|GRP2_HUMAN	tr|A0A6A1Q9X0|A0A6A1Q9X0_BALPH
OG0001762	sp|Q8IV61|GRP3_HUMAN	tr|A0A643BMY2|A0A643BMY2_BALPH
OG0001763	sp|Q96P11|NSUN5_HUMAN, sp|Q3KNT7|NSN5B_HUMAN, sp|Q63ZY6|NSN5C_HUMAN	tr|A0A643BX72|A0A643BX72_BALPH
OG0001764	sp|P09661|RU2A_HUMAN	tr|A0A6A1Q269|A0A6A1Q269_BALPH
OG0001764	sp|Q9H2I8|LRMDA_HUMAN	tr|A0A643BVP1|A0A643BVP1_BALPH
OG0001765	sp|Q9ULM6|CNOT6_HUMAN	tr|A0A6A1QF33|A0A6A1QF33_BALPH
OG0001765	sp|Q96LI5|CNO6L_HUMAN	tr|A0A643BY50|A0A643BY50_BALPH
OG0001766	sp|Q13637|RAB32_HUMAN	tr|A0A643BVU4|A0A643BVU4_BALPH
OG0001766	sp|P57729|RAB38_HUMAN	tr|A0A6A1QHP6|A0A6A1QHP6_BALPH
OG0001767	sp|Q6DN72|FCRL6_HUMAN	tr|A0A643C3W5|A0A643C3W5_BALPH
OG0001767	sp|Q7L513|FCRLA_HUMAN	tr|A0A643BSH6|A0A643BSH6_BALPH
OG0001768	sp|P35670|ATP7B_HUMAN	tr|A0A643CCZ2|A0A643CCZ2_BALPH
OG0001768	sp|Q04656|ATP7A_HUMAN	tr|A0A643BLW8|A0A643BLW8_BALPH
OG0001769	sp|Q13033|STRN3_HUMAN	tr|A0A643CE87|A0A643CE87_BALPH
OG0001769	sp|O43815|STRN_HUMAN	tr|A0A643CHX7|A0A643CHX7_BALPH
OG0001770	sp|O60902|SHOX2_HUMAN	tr|A0A643BTX6|A0A643BTX6_BALPH
OG0001770	sp|O15266|SHOX_HUMAN	tr|A0A643CIL8|A0A643CIL8_BALPH
OG0001771	sp|Q9NWW6|NRK1_HUMAN	tr|A0A6A1PXR4|A0A6A1PXR4_BALPH
OG0001771	sp|Q9NPI5|NRK2_HUMAN	tr|A0A643C9P5|A0A643C9P5_BALPH
OG0001772	sp|P62745|RHOB_HUMAN	tr|A0A6A1Q619|A0A6A1Q619_BALPH, tr|A0A6A1Q0B9|A0A6A1Q0B9_BALPH, tr|A0A643C9U9|A0A643C9U9_BALPH
OG0001773	sp|Q8WZA2|RPGF4_HUMAN	tr|A0A6A1QHQ2|A0A6A1QHQ2_BALPH
OG0001773	sp|O95398|RPGF3_HUMAN	tr|A0A6A1Q916|A0A6A1Q916_BALPH
OG0001774	sp|O96007|MOC2B_HUMAN	tr|A0A6A1Q4U3|A0A6A1Q4U3_BALPH, tr|A0A6A1QHV2|A0A6A1QHV2_BALPH, tr|A0A643BNF8|A0A643BNF8_BALPH
OG0001775	sp|Q8NFP4|MDGA1_HUMAN	tr|A0A6A1Q6C7|A0A6A1Q6C7_BALPH
OG0001775	sp|Q7Z553|MDGA2_HUMAN	tr|A0A643BRD8|A0A643BRD8_BALPH
OG0001776	sp|A0AVI2|FR1L5_HUMAN, sp|O75923|DYSF_HUMAN, sp|Q9NZM1|MYOF_HUMAN	tr|A0A643BZK4|A0A643BZK4_BALPH
OG0001777	sp|O75106|AOC2_HUMAN, sp|Q16853|AOC3_HUMAN, sp|P19801|AOC1_HUMAN	tr|A0A643C6X7|A0A643C6X7_BALPH
OG0001778	sp|P47992|XCL1_HUMAN, sp|Q9UBD3|XCL2_HUMAN	tr|A0A6A1Q564|A0A6A1Q564_BALPH, tr|A0A6A1Q366|A0A6A1Q366_BALPH
OG0001779	sp|Q6PJE2|POZP3_HUMAN	tr|A0A6A1Q999|A0A6A1Q999_BALPH
OG0001779	sp|P21754|ZP3_HUMAN	tr|A0A643BXJ7|A0A643BXJ7_BALPH
OG0001780	sp|A0A3B3IRV3|MCTS2_HUMAN, sp|Q9ULC4|MCTS1_HUMAN	tr|A0A643C1T4|A0A643C1T4_BALPH, tr|A0A643C2E8|A0A643C2E8_BALPH
OG0001781	sp|P23258|TBG1_HUMAN, sp|Q9NRH3|TBG2_HUMAN	tr|A0A643CBX1|A0A643CBX1_BALPH, tr|A0A643CC61|A0A643CC61_BALPH
OG0001782	sp|P05455|LA_HUMAN	tr|A0A6A1Q758|A0A6A1Q758_BALPH, tr|A0A643BSU9|A0A643BSU9_BALPH, tr|A0A643CHJ5|A0A643CHJ5_BALPH
OG0001783	sp|Q9Y4B5|MTCL1_HUMAN, sp|Q5TF21|SOGA3_HUMAN, sp|O94964|SOGA1_HUMAN	tr|A0A6A1QAL4|A0A6A1QAL4_BALPH
OG0001784	sp|Q16594|TAF9_HUMAN	tr|A0A6A1QIJ8|A0A6A1QIJ8_BALPH
OG0001784	sp|Q9HBM6|TAF9B_HUMAN	tr|A0A643BLW3|A0A643BLW3_BALPH
OG0001785	sp|Q8WV16|DCAF4_HUMAN, sp|Q8NA75|DC4L2_HUMAN, sp|Q3SXM0|DC4L1_HUMAN	tr|A0A6A1QJ44|A0A6A1QJ44_BALPH
OG0001786	sp|P42025|ACTY_HUMAN	tr|A0A6A1Q2K9|A0A6A1Q2K9_BALPH
OG0001786	sp|P61163|ACTZ_HUMAN	tr|A0A643BXW2|A0A643BXW2_BALPH
OG0001787	sp|O43320|FGF16_HUMAN	tr|A0A643C2I3|A0A643C2I3_BALPH
OG0001787	sp|Q9NP95|FGF20_HUMAN	tr|A0A6A1Q393|A0A6A1Q393_BALPH
OG0001788	sp|Q9C000|NLRP1_HUMAN	tr|A0A6A1QDQ6|A0A6A1QDQ6_BALPH
OG0001788	sp|Q9Y2G2|CARD8_HUMAN	tr|A0A643C7E9|A0A643C7E9_BALPH
OG0001789	sp|Q96A57|TM230_HUMAN	tr|A0A643C8Q1|A0A643C8Q1_BALPH, tr|A0A643BPN8|A0A643BPN8_BALPH, tr|A0A643BRS2|A0A643BRS2_BALPH
OG0001790	sp|Q9Y597|KCTD3_HUMAN	tr|A0A643BKV8|A0A643BKV8_BALPH
OG0001790	sp|Q8TBC3|SHKB1_HUMAN	tr|A0A643C9G3|A0A643C9G3_BALPH
OG0001791	sp|P80303|NUCB2_HUMAN	tr|A0A6A1QIV0|A0A6A1QIV0_BALPH
OG0001791	sp|Q02818|NUCB1_HUMAN	tr|A0A6A1Q047|A0A6A1Q047_BALPH
OG0001792	sp|Q8TCJ2|STT3B_HUMAN	tr|A0A643C8X1|A0A643C8X1_BALPH
OG0001792	sp|P46977|STT3A_HUMAN	tr|A0A643BTB3|A0A643BTB3_BALPH
OG0001793	sp|O60518|RNBP6_HUMAN	tr|A0A643BZF7|A0A643BZF7_BALPH
OG0001793	sp|O00410|IPO5_HUMAN	tr|A0A6A1Q6H7|A0A6A1Q6H7_BALPH
OG0001794	sp|P28300|LYOX_HUMAN	tr|A0A643CBZ9|A0A643CBZ9_BALPH
OG0001794	sp|Q08397|LOXL1_HUMAN	tr|A0A643C0I2|A0A643C0I2_BALPH
OG0001795	sp|O76082|S22A5_HUMAN	tr|A0A643C2W6|A0A643C2W6_BALPH
OG0001795	sp|Q9H015|S22A4_HUMAN	tr|A0A643C2G7|A0A643C2G7_BALPH
OG0001796	sp|P54840|GYS2_HUMAN	tr|A0A643C7K2|A0A643C7K2_BALPH
OG0001796	sp|P13807|GYS1_HUMAN	tr|A0A6A1PXW6|A0A6A1PXW6_BALPH
OG0001797	sp|Q00266|METK1_HUMAN	tr|A0A643BNX7|A0A643BNX7_BALPH
OG0001797	sp|P31153|METK2_HUMAN	tr|A0A6A1Q4H5|A0A6A1Q4H5_BALPH
OG0001798	sp|P35442|TSP2_HUMAN	tr|A0A643C8Z8|A0A643C8Z8_BALPH
OG0001798	sp|P07996|TSP1_HUMAN	tr|A0A6A1Q4R2|A0A6A1Q4R2_BALPH
OG0001799	sp|Q9NQW1|SC31B_HUMAN	tr|A0A643C141|A0A643C141_BALPH
OG0001799	sp|O94979|SC31A_HUMAN	tr|A0A643BN84|A0A643BN84_BALPH
OG0001800	sp|Q9UN30|SCML1_HUMAN	tr|A0A643C500|A0A643C500_BALPH, tr|A0A6A1Q3J1|A0A6A1Q3J1_BALPH, tr|A0A643BR31|A0A643BR31_BALPH
OG0001801	sp|Q8IXK2|GLT12_HUMAN	tr|A0A643BS73|A0A643BS73_BALPH
OG0001801	sp|Q8N4A0|GALT4_HUMAN	tr|A0A6A1PZ40|A0A6A1PZ40_BALPH
OG0001802	sp|Q9NXW2|DJB12_HUMAN	tr|A0A643BYZ8|A0A643BYZ8_BALPH
OG0001802	sp|Q8TBM8|DJB14_HUMAN	tr|A0A643CB65|A0A643CB65_BALPH
OG0001803	sp|Q8TAV4|STML3_HUMAN	tr|A0A6A1QAW1|A0A6A1QAW1_BALPH
OG0001803	sp|P27105|STOM_HUMAN	tr|A0A6A1Q1J4|A0A6A1Q1J4_BALPH
OG0001804	sp|P34741|SDC2_HUMAN	tr|A0A643CBE8|A0A643CBE8_BALPH
OG0001804	sp|P18827|SDC1_HUMAN	tr|A0A6A1Q672|A0A6A1Q672_BALPH
OG0001805	sp|Q14344|GNA13_HUMAN	tr|A0A6A1Q9L2|A0A6A1Q9L2_BALPH
OG0001805	sp|Q03113|GNA12_HUMAN	tr|A0A6A1Q811|A0A6A1Q811_BALPH
OG0001806	sp|P11234|RALB_HUMAN	tr|A0A643BMT1|A0A643BMT1_BALPH
OG0001806	sp|P11233|RALA_HUMAN	tr|A0A6A1Q0R2|A0A6A1Q0R2_BALPH
OG0001807	sp|Q9NR22|ANM8_HUMAN	tr|A0A643C3V2|A0A643C3V2_BALPH
OG0001807	sp|Q99873|ANM1_HUMAN	tr|A0A643BRN7|A0A643BRN7_BALPH
OG0001808	sp|Q16394|EXT1_HUMAN	tr|A0A643C956|A0A643C956_BALPH
OG0001808	sp|Q92935|EXTL1_HUMAN	tr|A0A6A1Q060|A0A6A1Q060_BALPH
OG0001809	sp|P48546|GIPR_HUMAN	tr|A0A643CEF3|A0A643CEF3_BALPH
OG0001809	sp|P47871|GLR_HUMAN	tr|A0A643C713|A0A643C713_BALPH
OG0001810	sp|P15086|CBPB1_HUMAN, sp|P15088|CBPA3_HUMAN, sp|Q8IVL8|CBPO_HUMAN	tr|A0A6A1Q893|A0A6A1Q893_BALPH
OG0001811	sp|Q4KMP7|TB10B_HUMAN	tr|A0A643C3M4|A0A643C3M4_BALPH
OG0001811	sp|Q9BXI6|TB10A_HUMAN	tr|A0A6A1QB53|A0A6A1QB53_BALPH
OG0001812	sp|O75891|AL1L1_HUMAN	tr|A0A6A1Q5C1|A0A6A1Q5C1_BALPH
OG0001812	sp|Q3SY69|AL1L2_HUMAN	tr|A0A6A1QD00|A0A6A1QD00_BALPH
OG0001813	sp|Q8IYD1|ERF3B_HUMAN	tr|A0A643BLE3|A0A643BLE3_BALPH
OG0001813	sp|P15170|ERF3A_HUMAN	tr|A0A643C5A3|A0A643C5A3_BALPH
OG0001814	sp|P08100|OPSD_HUMAN	tr|A0A6A1QDV5|A0A6A1QDV5_BALPH
OG0001814	sp|Q9H1Y3|OPN3_HUMAN	tr|A0A643C986|A0A643C986_BALPH
OG0001815	sp|Q9BY11|PACN1_HUMAN	tr|A0A643CA20|A0A643CA20_BALPH
OG0001815	sp|Q9UNF0|PACN2_HUMAN	tr|A0A643BY68|A0A643BY68_BALPH
OG0001816	sp|Q7L576|CYFP1_HUMAN	tr|A0A643BX42|A0A643BX42_BALPH
OG0001816	sp|Q96F07|CYFP2_HUMAN	tr|A0A6A1Q9D9|A0A6A1Q9D9_BALPH
OG0001817	sp|Q14699|RFTN1_HUMAN	tr|A0A6A1QCD4|A0A6A1QCD4_BALPH
OG0001817	sp|Q52LD8|RFTN2_HUMAN	tr|A0A6A1QEG9|A0A6A1QEG9_BALPH
OG0001818	sp|Q5VYJ5|MALR1_HUMAN, sp|Q6UXC1|AEGP_HUMAN, sp|Q7Z304|MAMC2_HUMAN	tr|A0A643BSL2|A0A643BSL2_BALPH
OG0001819	sp|Q9H0F5|RNF38_HUMAN	tr|A0A6A1QD51|A0A6A1QD51_BALPH
OG0001819	sp|Q7L0R7|RNF44_HUMAN	tr|A0A643C6E8|A0A643C6E8_BALPH
OG0001820	sp|Q16760|DGKD_HUMAN	tr|A0A643C8V8|A0A643C8V8_BALPH
OG0001820	sp|Q86XP1|DGKH_HUMAN	tr|A0A6A1Q2P3|A0A6A1Q2P3_BALPH
OG0001821	sp|Q5VTQ0|TT39B_HUMAN	tr|A0A643CF31|A0A643CF31_BALPH
OG0001821	sp|Q5SRH9|TT39A_HUMAN	tr|A0A643BVJ2|A0A643BVJ2_BALPH
OG0001822	sp|Q13319|CD5R2_HUMAN	tr|A0A643CHN7|A0A643CHN7_BALPH
OG0001822	sp|Q15078|CD5R1_HUMAN	tr|A0A643CI28|A0A643CI28_BALPH
OG0001823	sp|P08473|NEP_HUMAN	tr|A0A643C0Z6|A0A643C0Z6_BALPH
OG0001823	sp|Q495T6|MMEL1_HUMAN	tr|A0A643CI50|A0A643CI50_BALPH
OG0001824	sp|Q9ULQ0|STRP2_HUMAN	tr|A0A643CIZ7|A0A643CIZ7_BALPH
OG0001824	sp|Q5VSL9|STRP1_HUMAN	tr|A0A643C249|A0A643C249_BALPH
OG0001825	sp|O43752|STX6_HUMAN	tr|A0A6A1QE38|A0A6A1QE38_BALPH
OG0001825	sp|O60499|STX10_HUMAN	tr|A0A643BP31|A0A643BP31_BALPH
OG0001826	sp|Q8TDD2|SP7_HUMAN, sp|Q8IXZ3|SP8_HUMAN, sp|P0CG40|SP9_HUMAN	tr|A0A643C9F1|A0A643C9F1_BALPH
OG0001827	sp|O43432|IF4G3_HUMAN	tr|A0A6A1PXH1|A0A6A1PXH1_BALPH
OG0001827	sp|Q04637|IF4G1_HUMAN	tr|A0A6A1Q140|A0A6A1Q140_BALPH
OG0001828	sp|Q96MG8|PCMD1_HUMAN	tr|A0A643CA69|A0A643CA69_BALPH
OG0001828	sp|Q9NV79|PCMD2_HUMAN	tr|A0A6A1Q933|A0A6A1Q933_BALPH
OG0001829	sp|Q7Z407|CSMD3_HUMAN, sp|Q7Z408|CSMD2_HUMAN, sp|Q96PZ7|CSMD1_HUMAN	tr|A0A643BX32|A0A643BX32_BALPH
OG0001830	sp|P61812|TGFB2_HUMAN	tr|A0A643C5F9|A0A643C5F9_BALPH
OG0001830	sp|P10600|TGFB3_HUMAN	tr|A0A643CB62|A0A643CB62_BALPH
OG0001831	sp|O00744|WN10B_HUMAN	tr|A0A643CGF3|A0A643CGF3_BALPH
OG0001831	sp|Q9GZT5|WN10A_HUMAN	tr|A0A643CGR8|A0A643CGR8_BALPH
OG0001832	sp|Q96RE7|NACC1_HUMAN	tr|A0A6A1QC99|A0A6A1QC99_BALPH
OG0001832	sp|Q96BF6|NACC2_HUMAN	tr|A0A643C1E2|A0A643C1E2_BALPH
OG0001833	sp|Q5VY09|IER5_HUMAN, sp|Q5T953|IER5L_HUMAN, sp|Q9BTL4|IER2_HUMAN	tr|A0A643BNF0|A0A643BNF0_BALPH
OG0001834	sp|Q9NZH8|IL36G_HUMAN	tr|A0A643BNT8|A0A643BNT8_BALPH
OG0001834	sp|Q9UHA7|IL36A_HUMAN	tr|A0A643BNF7|A0A643BNF7_BALPH
OG0001835	sp|Q01543|FLI1_HUMAN	tr|A0A643C416|A0A643C416_BALPH
OG0001835	sp|P11308|ERG_HUMAN	tr|A0A6A1Q2E2|A0A6A1Q2E2_BALPH
OG0001836	sp|Q8WWF8|CAPSL_HUMAN	tr|A0A643CC96|A0A643CC96_BALPH
OG0001836	sp|Q13938|CAYP1_HUMAN	tr|A0A6A1PY29|A0A6A1PY29_BALPH
OG0001837	sp|Q9Y6A5|TACC3_HUMAN	tr|A0A643CDF7|A0A643CDF7_BALPH, tr|A0A643BVP7|A0A643BVP7_BALPH, tr|A0A643C026|A0A643C026_BALPH
OG0001838	sp|P02489|CRYAA_HUMAN, tr|A0A096LPJ9|A0A096LPJ9_HUMAN, sp|Q9BQS6|HSPB9_HUMAN	tr|A0A643CDP1|A0A643CDP1_BALPH
OG0001839	sp|O75146|HIP1R_HUMAN	tr|A0A643CJD0|A0A643CJD0_BALPH
OG0001839	sp|O00291|HIP1_HUMAN	tr|A0A643BWS8|A0A643BWS8_BALPH
OG0001840	sp|Q9NPG3|UBN1_HUMAN	tr|A0A643C2P4|A0A643C2P4_BALPH
OG0001840	sp|Q6ZU65|UBN2_HUMAN	tr|A0A6A1Q4A3|A0A6A1Q4A3_BALPH
OG0001841	sp|Q9HB90|RRAGC_HUMAN	tr|A0A6A1QGZ0|A0A6A1QGZ0_BALPH
OG0001841	sp|Q9NQL2|RRAGD_HUMAN	tr|A0A6A1Q5F7|A0A6A1Q5F7_BALPH
OG0001842	sp|Q6XZB0|LIPI_HUMAN	tr|A0A643BSM1|A0A643BSM1_BALPH
OG0001842	sp|Q8WWY8|LIPH_HUMAN	tr|A0A6A1Q7K9|A0A6A1Q7K9_BALPH
OG0001843	sp|Q9H9L3|I20L2_HUMAN	tr|A0A643C274|A0A643C274_BALPH, tr|A0A6A1Q4P1|A0A6A1Q4P1_BALPH, tr|A0A6A1Q7Q7|A0A6A1Q7Q7_BALPH
OG0001844	sp|Q8NFU1|BEST2_HUMAN	tr|A0A6A1QAP9|A0A6A1QAP9_BALPH
OG0001844	sp|Q8NFU0|BEST4_HUMAN	tr|A0A643BWZ4|A0A643BWZ4_BALPH
OG0001845	sp|O75333|TBX10_HUMAN	tr|A0A643BQP4|A0A643BQP4_BALPH
OG0001845	sp|O43435|TBX1_HUMAN	tr|A0A6A1QI46|A0A6A1QI46_BALPH
OG0001846	sp|Q9ULM0|PKHH1_HUMAN	tr|A0A643CB83|A0A643CB83_BALPH
OG0001846	sp|Q8IVE3|PKHH2_HUMAN	tr|A0A643C0P1|A0A643C0P1_BALPH
OG0001847	sp|P61956|SUMO2_HUMAN	tr|A0A643BPZ4|A0A643BPZ4_BALPH, tr|A0A643BX29|A0A643BX29_BALPH, tr|A0A643CDB4|A0A643CDB4_BALPH
OG0001848	sp|Q96AQ8|MCUR1_HUMAN	tr|A0A6A1QBL8|A0A6A1QBL8_BALPH, tr|A0A643BUI4|A0A643BUI4_BALPH, tr|A0A6A1QCI5|A0A6A1QCI5_BALPH
OG0001849	sp|Q9ULH1|ASAP1_HUMAN	tr|A0A643C502|A0A643C502_BALPH
OG0001849	sp|O43150|ASAP2_HUMAN	tr|A0A643BSF5|A0A643BSF5_BALPH
OG0001850	sp|O00555|CAC1A_HUMAN, sp|Q15878|CAC1E_HUMAN, sp|Q00975|CAC1B_HUMAN	tr|A0A643CCG4|A0A643CCG4_BALPH
OG0001851	sp|Q8WWK9|CKAP2_HUMAN	tr|A0A643BPT2|A0A643BPT2_BALPH, tr|A0A643BZ72|A0A643BZ72_BALPH, tr|A0A643CCU2|A0A643CCU2_BALPH
OG0001852	sp|Q96PX1|RN157_HUMAN	tr|A0A6A1Q369|A0A6A1Q369_BALPH
OG0001852	sp|O60291|MGRN1_HUMAN	tr|A0A643C2G6|A0A643C2G6_BALPH
OG0001853	sp|Q96CC6|RHDF1_HUMAN	tr|A0A6A1Q5V5|A0A6A1Q5V5_BALPH
OG0001853	sp|Q6PJF5|RHDF2_HUMAN	tr|A0A6A1Q379|A0A6A1Q379_BALPH
OG0001854	sp|Q4VNC0|AT135_HUMAN	tr|A0A6A1Q9P6|A0A6A1Q9P6_BALPH
OG0001854	sp|Q4VNC1|AT134_HUMAN	tr|A0A6A1Q6R5|A0A6A1Q6R5_BALPH
OG0001855	sp|Q9NR97|TLR8_HUMAN	tr|A0A6A1Q718|A0A6A1Q718_BALPH
OG0001855	sp|Q9NYK1|TLR7_HUMAN	tr|A0A6A1QA00|A0A6A1QA00_BALPH
OG0001856	sp|Q8NFF2|NCKX4_HUMAN	tr|A0A643BQV3|A0A643BQV3_BALPH
OG0001856	sp|Q9HC58|NCKX3_HUMAN	tr|A0A6A1QAJ9|A0A6A1QAJ9_BALPH
OG0001857	sp|Q9NYQ3|HAOX2_HUMAN	tr|A0A643CGW9|A0A643CGW9_BALPH
OG0001857	sp|Q9UJM8|HAOX1_HUMAN	tr|A0A6A1QD93|A0A6A1QD93_BALPH
OG0001858	sp|P23396|RS3_HUMAN	tr|A0A643CBT8|A0A643CBT8_BALPH, tr|A0A643BQL8|A0A643BQL8_BALPH, tr|A0A643ATU0|A0A643ATU0_BALPH
OG0001859	sp|P27487|DPP4_HUMAN, sp|P42658|DPP6_HUMAN, sp|Q8N608|DPP10_HUMAN	tr|A0A643C7A7|A0A643C7A7_BALPH
OG0001860	sp|Q7Z698|SPRE2_HUMAN	tr|A0A6A1Q5Z5|A0A6A1Q5Z5_BALPH
OG0001860	sp|Q2MJR0|SPRE3_HUMAN	tr|A0A643BSH9|A0A643BSH9_BALPH
OG0001861	sp|Q8N436|CPXM2_HUMAN	tr|A0A643CHP7|A0A643CHP7_BALPH
OG0001861	sp|Q8IUX7|AEBP1_HUMAN	tr|A0A6A1QHT2|A0A6A1QHT2_BALPH
OG0001862	tr|A0A499FJF3|A0A499FJF3_HUMAN, sp|Q3KRB8|RHGBB_HUMAN, sp|Q6P4F7|RHGBA_HUMAN	tr|A0A6A1QHX3|A0A6A1QHX3_BALPH
OG0001863	sp|O43314|VIP2_HUMAN	tr|A0A643C4T7|A0A643C4T7_BALPH
OG0001863	sp|Q6PFW1|VIP1_HUMAN	tr|A0A6A1Q2L5|A0A6A1Q2L5_BALPH
OG0001864	sp|Q8IXI2|MIRO1_HUMAN	tr|A0A643CJI4|A0A643CJI4_BALPH
OG0001864	sp|Q8IXI1|MIRO2_HUMAN	tr|A0A6A1Q2X7|A0A6A1Q2X7_BALPH
OG0001865	sp|Q9H0U4|RAB1B_HUMAN, sp|Q92928|RAB1C_HUMAN, sp|P62820|RAB1A_HUMAN	tr|A0A6A1Q7W6|A0A6A1Q7W6_BALPH
OG0001866	sp|Q5TAX3|TUT4_HUMAN	tr|A0A6A1QAB0|A0A6A1QAB0_BALPH
OG0001866	sp|Q5VYS8|TUT7_HUMAN	tr|A0A6A1Q264|A0A6A1Q264_BALPH
OG0001867	sp|Q14678|KANK1_HUMAN	tr|A0A6A1QF60|A0A6A1QF60_BALPH
OG0001867	sp|Q6NY19|KANK3_HUMAN	tr|A0A6A1Q026|A0A6A1Q026_BALPH
OG0001868	sp|P02549|SPTA1_HUMAN	tr|A0A643BU63|A0A643BU63_BALPH
OG0001868	sp|Q13813|SPTN1_HUMAN	tr|A0A6A1QK59|A0A6A1QK59_BALPH
OG0001869	sp|P32322|P5CR1_HUMAN	tr|A0A643C7G0|A0A643C7G0_BALPH
OG0001869	sp|Q96C36|P5CR2_HUMAN	tr|A0A643BUS3|A0A643BUS3_BALPH
OG0001870	sp|P31150|GDIA_HUMAN, sp|P50395|GDIB_HUMAN	tr|A0A643C2D7|A0A643C2D7_BALPH, tr|A0A6A1QB38|A0A6A1QB38_BALPH
OG0001871	sp|P33947|ERD22_HUMAN	tr|A0A643C7E5|A0A643C7E5_BALPH
OG0001871	sp|P24390|ERD21_HUMAN	tr|A0A643CE18|A0A643CE18_BALPH
OG0001872	sp|P11086|PNMT_HUMAN, sp|O95050|INMT_HUMAN, sp|P40261|NNMT_HUMAN	tr|A0A643CFQ7|A0A643CFQ7_BALPH
OG0001873	sp|Q9HD43|PTPRH_HUMAN, sp|Q12913|PTPRJ_HUMAN, sp|P23467|PTPRB_HUMAN	tr|A0A6A1Q9T2|A0A6A1Q9T2_BALPH
