Orthogroup	Homo_sapiens	Sciurus_vulgaris
OG0001130	sp|Q8TDY3|ACTT2_HUMAN	tr|A0A8D2AHL1|A0A8D2AHL1_SCIVU
OG0001130	sp|Q8TDG2|ACTT1_HUMAN	tr|A0A8D2JPF5|A0A8D2JPF5_SCIVU
OG0001131	sp|Q15399|TLR1_HUMAN	tr|A0A8D2B896|A0A8D2B896_SCIVU
OG0001131	sp|Q9Y2C9|TLR6_HUMAN	tr|A0A8D2B771|A0A8D2B771_SCIVU
OG0001132	sp|P23588|IF4B_HUMAN	tr|A0A8D2D9J5|A0A8D2D9J5_SCIVU, tr|A0A8D2DUG5|A0A8D2DUG5_SCIVU, tr|A0A8D2DMQ8|A0A8D2DMQ8_SCIVU
OG0001133	sp|P49641|MA2A2_HUMAN	tr|A0A8D2CNL4|A0A8D2CNL4_SCIVU
OG0001133	sp|Q16706|MA2A1_HUMAN	tr|A0A8D2D9H2|A0A8D2D9H2_SCIVU
OG0001134	sp|P11117|PPAL_HUMAN	tr|A0A8D2JIH1|A0A8D2JIH1_SCIVU
OG0001134	sp|Q9BZG2|PPAT_HUMAN	tr|A0A8D2JSA0|A0A8D2JSA0_SCIVU
OG0001135	sp|Q5SZK8|FREM2_HUMAN	tr|A0A8D2B1Q8|A0A8D2B1Q8_SCIVU
OG0001135	sp|P0C091|FREM3_HUMAN	tr|A0A8D2BD43|A0A8D2BD43_SCIVU
OG0001136	sp|P17812|PYRG1_HUMAN	tr|A0A8D2B7Z7|A0A8D2B7Z7_SCIVU
OG0001136	sp|Q9NRF8|PYRG2_HUMAN	tr|A0A8D2DC26|A0A8D2DC26_SCIVU
OG0001137	sp|Q9ULV0|MYO5B_HUMAN	tr|A0A8D2DJ02|A0A8D2DJ02_SCIVU
OG0001137	sp|Q9Y4I1|MYO5A_HUMAN	tr|A0A8D2B952|A0A8D2B952_SCIVU
OG0001138	sp|O43497|CAC1G_HUMAN	tr|A0A8D2B678|A0A8D2B678_SCIVU
OG0001138	sp|O95180|CAC1H_HUMAN	tr|A0A8D2DTN4|A0A8D2DTN4_SCIVU
OG0001140	sp|Q86TS9|RM52_HUMAN	tr|A0A8D2AX80|A0A8D2AX80_SCIVU, tr|A0A8D2D174|A0A8D2D174_SCIVU, tr|A0A8D2AKX8|A0A8D2AKX8_SCIVU
OG0001141	sp|Q96JG8|MAGD4_HUMAN	tr|A0A8D2D7A8|A0A8D2D7A8_SCIVU
OG0001141	sp|Q9Y5V3|MAGD1_HUMAN	tr|A0A8D2D6S3|A0A8D2D6S3_SCIVU
OG0001142	sp|P51532|SMCA4_HUMAN, sp|O14981|BTAF1_HUMAN, sp|P51531|SMCA2_HUMAN	tr|A0A8D2DW15|A0A8D2DW15_SCIVU
OG0001143	sp|P62508|ERR3_HUMAN	tr|A0A8D2JPQ9|A0A8D2JPQ9_SCIVU
OG0001143	sp|O95718|ERR2_HUMAN	tr|A0A8D2DQG7|A0A8D2DQG7_SCIVU
OG0001144	sp|O75038|PLCH2_HUMAN	tr|A0A8D2AED4|A0A8D2AED4_SCIVU
OG0001144	sp|Q4KWH8|PLCH1_HUMAN	tr|A0A8D2B444|A0A8D2B444_SCIVU
OG0001145	sp|Q8NGH6|O52L2_HUMAN, sp|Q8NGH7|O52L1_HUMAN	tr|A0A8D2B1U5|A0A8D2B1U5_SCIVU, tr|A0A8D2B2S6|A0A8D2B2S6_SCIVU
OG0001146	sp|P14867|GBRA1_HUMAN	tr|A0A8D2DIK5|A0A8D2DIK5_SCIVU
OG0001146	sp|P47869|GBRA2_HUMAN	tr|A0A8D2E127|A0A8D2E127_SCIVU
OG0001147	sp|P57054|PIGP_HUMAN	tr|A0A8D2DTC4|A0A8D2DTC4_SCIVU, tr|A0A8D2DHJ1|A0A8D2DHJ1_SCIVU, tr|A0A8D2DHR8|A0A8D2DHR8_SCIVU
OG0001148	sp|P59046|NAL12_HUMAN	tr|A0A8D2DRI6|A0A8D2DRI6_SCIVU, tr|A0A8D2DUD9|A0A8D2DUD9_SCIVU, tr|A0A8D2DGH4|A0A8D2DGH4_SCIVU
OG0001149	sp|P62837|UB2D2_HUMAN	tr|A0A8D2DVZ2|A0A8D2DVZ2_SCIVU
OG0001149	sp|P61077|UB2D3_HUMAN	tr|A0A8D2B9Z0|A0A8D2B9Z0_SCIVU
OG0001150	sp|Q8NH73|OR4S2_HUMAN	tr|A0A8D2JIT3|A0A8D2JIT3_SCIVU
OG0001150	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A8D2CSF9|A0A8D2CSF9_SCIVU
OG0001151	sp|Q9P283|SEM5B_HUMAN	tr|A0A8D2AZM4|A0A8D2AZM4_SCIVU
OG0001151	sp|Q13591|SEM5A_HUMAN	tr|A0A8D2AZP2|A0A8D2AZP2_SCIVU
OG0001152	sp|Q9NTI5|PDS5B_HUMAN	tr|A0A8D2CWY9|A0A8D2CWY9_SCIVU
OG0001152	sp|Q29RF7|PDS5A_HUMAN	tr|A0A8D2B3N7|A0A8D2B3N7_SCIVU
OG0001153	sp|O00219|HYAS3_HUMAN	tr|A0A8D2D978|A0A8D2D978_SCIVU
OG0001153	sp|Q92819|HYAS2_HUMAN	tr|A0A8D2CLW7|A0A8D2CLW7_SCIVU
OG0001154	sp|Q9Y3A6|TMED5_HUMAN	tr|A0A8D2JHW2|A0A8D2JHW2_SCIVU, tr|A0A8D2AK77|A0A8D2AK77_SCIVU, tr|A0A8D2JK74|A0A8D2JK74_SCIVU
OG0001155	sp|O95169|NDUB8_HUMAN	tr|A0A8D2AM04|A0A8D2AM04_SCIVU, tr|A0A8D2CK35|A0A8D2CK35_SCIVU, tr|A0A8D2B4G5|A0A8D2B4G5_SCIVU
OG0001156	sp|O43422|P52K_HUMAN	tr|A0A8D2CU82|A0A8D2CU82_SCIVU, tr|A0A8D2DME1|A0A8D2DME1_SCIVU, tr|A0A8D2DTH6|A0A8D2DTH6_SCIVU
OG0001157	sp|P35916|VGFR3_HUMAN	tr|A0A8D2AUR4|A0A8D2AUR4_SCIVU
OG0001157	sp|P35968|VGFR2_HUMAN	tr|A0A8D2DKK7|A0A8D2DKK7_SCIVU
OG0001158	sp|Q8NCM2|KCNH5_HUMAN	tr|A0A8D2AMB5|A0A8D2AMB5_SCIVU
OG0001158	sp|O95259|KCNH1_HUMAN	tr|A0A8D2JP53|A0A8D2JP53_SCIVU
OG0001159	sp|Q9BTP7|FAP24_HUMAN	tr|A0A8D2DPN4|A0A8D2DPN4_SCIVU, tr|A0A8D2DL20|A0A8D2DL20_SCIVU, tr|A0A8D2JIP4|A0A8D2JIP4_SCIVU
OG0001160	sp|Q9NRD9|DUOX1_HUMAN	tr|A0A8D2AKY6|A0A8D2AKY6_SCIVU
OG0001160	sp|Q9NRD8|DUOX2_HUMAN	tr|A0A8D2AIU4|A0A8D2AIU4_SCIVU
OG0001161	sp|P41229|KDM5C_HUMAN	tr|A0A8D2JM60|A0A8D2JM60_SCIVU
OG0001161	sp|Q9BY66|KDM5D_HUMAN	tr|A0A8D2CQY3|A0A8D2CQY3_SCIVU
OG0001162	sp|Q9NVJ2|ARL8B_HUMAN	tr|A0A8D2E042|A0A8D2E042_SCIVU
OG0001162	sp|Q96BM9|ARL8A_HUMAN	tr|A0A8D2CSM4|A0A8D2CSM4_SCIVU
OG0001163	sp|P28290|ITPI2_HUMAN	tr|A0A8D2AUX9|A0A8D2AUX9_SCIVU, tr|A0A8D2JQM8|A0A8D2JQM8_SCIVU, tr|A0A8D2ARR0|A0A8D2ARR0_SCIVU
OG0001164	sp|P43487|RANG_HUMAN	tr|A0A8D2D5Q9|A0A8D2D5Q9_SCIVU, tr|A0A8D2DF87|A0A8D2DF87_SCIVU, tr|A0A8D2CPS1|A0A8D2CPS1_SCIVU
OG0001165	sp|Q5EB52|MEST_HUMAN	tr|A0A8D2DRL1|A0A8D2DRL1_SCIVU, tr|A0A8D2B784|A0A8D2B784_SCIVU, tr|A0A8D2JIR2|A0A8D2JIR2_SCIVU
OG0001166	sp|Q5T7W7|TSTD2_HUMAN	tr|A0A8D2JMJ8|A0A8D2JMJ8_SCIVU, tr|A0A8D2D818|A0A8D2D818_SCIVU, tr|A0A8D2DH27|A0A8D2DH27_SCIVU
OG0001167	sp|Q8NF91|SYNE1_HUMAN	tr|A0A8D2CSS9|A0A8D2CSS9_SCIVU
OG0001167	sp|Q8WXH0|SYNE2_HUMAN	tr|A0A8D2AFU9|A0A8D2AFU9_SCIVU
OG0001168	sp|Q9NUS5|AP5S1_HUMAN	tr|A0A8D2DMW9|A0A8D2DMW9_SCIVU, tr|A0A8D2DBJ5|A0A8D2DBJ5_SCIVU, tr|A0A8D2CNC4|A0A8D2CNC4_SCIVU
OG0001169	sp|P05198|IF2A_HUMAN	tr|A0A8D2BEX1|A0A8D2BEX1_SCIVU, tr|A0A8D2JKQ0|A0A8D2JKQ0_SCIVU, tr|A0A8D2JQE6|A0A8D2JQE6_SCIVU
OG0001170	sp|P49590|SYHM_HUMAN	tr|A0A8D2DKW9|A0A8D2DKW9_SCIVU
OG0001170	sp|P12081|HARS1_HUMAN	tr|A0A8D2DPG2|A0A8D2DPG2_SCIVU
OG0001171	sp|Q8NEV4|MYO3A_HUMAN	tr|A0A8D2D075|A0A8D2D075_SCIVU
OG0001171	sp|Q8WXR4|MYO3B_HUMAN	tr|A0A8D2DZA8|A0A8D2DZA8_SCIVU
OG0001172	sp|P86452|ZBED6_HUMAN, sp|O96006|ZBED1_HUMAN, sp|Q96FA7|ZB10P_HUMAN	tr|A0A8D2CP68|A0A8D2CP68_SCIVU
OG0001173	sp|P07315|CRGC_HUMAN	tr|A0A8D2AUA9|A0A8D2AUA9_SCIVU
OG0001173	sp|P11844|CRGA_HUMAN	tr|A0A8D2CLR9|A0A8D2CLR9_SCIVU
OG0001174	sp|Q13574|DGKZ_HUMAN	tr|A0A8D2D5K7|A0A8D2D5K7_SCIVU
OG0001174	sp|O75912|DGKI_HUMAN	tr|A0A8D2JP21|A0A8D2JP21_SCIVU
OG0001175	sp|Q15155|NOMO1_HUMAN, sp|Q5JPE7|NOMO2_HUMAN, sp|P69849|NOMO3_HUMAN	tr|A0A8D2DKR2|A0A8D2DKR2_SCIVU
OG0001176	sp|Q92572|AP3S1_HUMAN	tr|A0A8D2JGN6|A0A8D2JGN6_SCIVU, tr|A0A8D2DN84|A0A8D2DN84_SCIVU, tr|A0A8D2D7H9|A0A8D2D7H9_SCIVU
OG0001177	sp|Q9H2B2|SYT4_HUMAN	tr|A0A8D2DNI9|A0A8D2DNI9_SCIVU
OG0001177	sp|Q9BT88|SYT11_HUMAN	tr|A0A8D2AHT0|A0A8D2AHT0_SCIVU
OG0001178	sp|Q6KCM7|SCMC2_HUMAN	tr|A0A8D2D5F2|A0A8D2D5F2_SCIVU
OG0001178	sp|Q9BV35|SCMC3_HUMAN	tr|A0A8D2DV66|A0A8D2DV66_SCIVU
OG0001179	sp|P07996|TSP1_HUMAN	tr|A0A8D2CNK0|A0A8D2CNK0_SCIVU
OG0001179	sp|P35442|TSP2_HUMAN	tr|A0A8D2B274|A0A8D2B274_SCIVU
OG0001180	sp|Q14995|NR1D2_HUMAN	tr|A0A8D2DUQ4|A0A8D2DUQ4_SCIVU, tr|A0A8D2JG51|A0A8D2JG51_SCIVU, tr|A0A8D2CSY2|A0A8D2CSY2_SCIVU
OG0001181	sp|Q8IYS8|BD1L2_HUMAN, sp|Q96IK1|BOD1_HUMAN	tr|A0A8D2DRR0|A0A8D2DRR0_SCIVU, tr|A0A8D2CW03|A0A8D2CW03_SCIVU
OG0001182	sp|Q8TAG9|EXOC6_HUMAN	tr|A0A8D2ANG4|A0A8D2ANG4_SCIVU
OG0001182	sp|Q9Y2D4|EXC6B_HUMAN	tr|A0A8D2JP89|A0A8D2JP89_SCIVU
OG0001183	sp|Q9Y316|MEMO1_HUMAN	tr|A0A8D2DXX1|A0A8D2DXX1_SCIVU, tr|A0A8D2DUG3|A0A8D2DUG3_SCIVU, tr|A0A8D2AXA7|A0A8D2AXA7_SCIVU
OG0001184	sp|P55212|CASP6_HUMAN	tr|A0A8D2CX59|A0A8D2CX59_SCIVU, tr|A0A8D2E5A5|A0A8D2E5A5_SCIVU, tr|A0A8D2DXM2|A0A8D2DXM2_SCIVU
OG0001185	sp|Q8NA75|DC4L2_HUMAN, sp|Q3SXM0|DC4L1_HUMAN, sp|Q8WV16|DCAF4_HUMAN	tr|A0A8D2B9S5|A0A8D2B9S5_SCIVU
OG0001186	sp|Q96R30|OR2V2_HUMAN	tr|A0A8D2AUC4|A0A8D2AUC4_SCIVU
OG0001186	sp|Q8NHB1|OR2V1_HUMAN	tr|A0A8D2B155|A0A8D2B155_SCIVU
OG0001187	sp|O43313|ATMIN_HUMAN	tr|A0A8D2D3X5|A0A8D2D3X5_SCIVU, tr|A0A8D2CVU9|A0A8D2CVU9_SCIVU, tr|A0A8D2D2Q6|A0A8D2D2Q6_SCIVU
OG0001188	sp|Q7Z4G4|TRM11_HUMAN	tr|A0A8D2DXA4|A0A8D2DXA4_SCIVU, tr|A0A8D2B1Q9|A0A8D2B1Q9_SCIVU, tr|A0A8D2DL17|A0A8D2DL17_SCIVU
OG0001189	sp|Q96ET8|TV23C_HUMAN, sp|Q9NYZ1|TV23B_HUMAN	tr|A0A8D2ARN4|A0A8D2ARN4_SCIVU, tr|A0A8D2JIX0|A0A8D2JIX0_SCIVU
OG0001190	sp|O60234|GMFG_HUMAN	tr|A0A8D2E079|A0A8D2E079_SCIVU
OG0001190	sp|P60983|GMFB_HUMAN	tr|A0A8D2AXJ4|A0A8D2AXJ4_SCIVU
OG0001191	sp|Q5JT82|KLF17_HUMAN	tr|A0A8D2ANW1|A0A8D2ANW1_SCIVU, tr|A0A8D2ASJ8|A0A8D2ASJ8_SCIVU, tr|A0A8D2JN42|A0A8D2JN42_SCIVU
OG0001192	sp|Q8TDW4|ST7L_HUMAN	tr|A0A8D2DFS6|A0A8D2DFS6_SCIVU
OG0001192	sp|Q9NRC1|ST7_HUMAN	tr|A0A8D2JNM6|A0A8D2JNM6_SCIVU
OG0001193	sp|Q8TEM1|PO210_HUMAN	tr|A0A8D2D3T7|A0A8D2D3T7_SCIVU
OG0001193	sp|Q5VU65|P210L_HUMAN	tr|A0A8D2CTH9|A0A8D2CTH9_SCIVU
OG0001194	sp|Q9HAT8|PELI2_HUMAN	tr|A0A8D2ANY7|A0A8D2ANY7_SCIVU
OG0001194	sp|Q96FA3|PELI1_HUMAN	tr|A0A8D2DQ91|A0A8D2DQ91_SCIVU
OG0001195	sp|Q04656|ATP7A_HUMAN	tr|A0A8D2CVJ1|A0A8D2CVJ1_SCIVU
OG0001195	sp|P35670|ATP7B_HUMAN	tr|A0A8D2ATQ3|A0A8D2ATQ3_SCIVU
OG0001196	sp|P00374|DYR_HUMAN, sp|Q86XF0|DYR2_HUMAN	tr|A0A8D2CSW8|A0A8D2CSW8_SCIVU, tr|A0A8D2DEC8|A0A8D2DEC8_SCIVU
OG0001197	sp|Q09428|ABCC8_HUMAN	tr|A0A8D2B188|A0A8D2B188_SCIVU
OG0001197	sp|O60706|ABCC9_HUMAN	tr|A0A8D2DT95|A0A8D2DT95_SCIVU
OG0001198	sp|P22059|OSBP1_HUMAN	tr|A0A8D2CVE2|A0A8D2CVE2_SCIVU, tr|A0A8D2AYA6|A0A8D2AYA6_SCIVU, tr|A0A8D2AY10|A0A8D2AY10_SCIVU
OG0001199	sp|P61626|LYSC_HUMAN	tr|A0A8D2JLY1|A0A8D2JLY1_SCIVU, tr|A0A8D2JLS9|A0A8D2JLS9_SCIVU, tr|A0A8D2D6Q8|A0A8D2D6Q8_SCIVU
OG0001200	sp|Q16099|GRIK4_HUMAN	tr|A0A8D2DAB0|A0A8D2DAB0_SCIVU
OG0001200	sp|Q16478|GRIK5_HUMAN	tr|A0A8D2DZ28|A0A8D2DZ28_SCIVU
OG0001201	sp|Q16822|PCKGM_HUMAN	tr|A0A8D2ALH7|A0A8D2ALH7_SCIVU
OG0001201	sp|P35558|PCKGC_HUMAN	tr|A0A8D2ARX5|A0A8D2ARX5_SCIVU
OG0001202	sp|P16118|F261_HUMAN	tr|A0A8D2CRR8|A0A8D2CRR8_SCIVU
OG0001202	sp|Q16877|F264_HUMAN	tr|A0A8D2D361|A0A8D2D361_SCIVU
OG0001203	sp|O75891|AL1L1_HUMAN	tr|A0A8D2DD62|A0A8D2DD62_SCIVU
OG0001203	sp|Q3SY69|AL1L2_HUMAN	tr|A0A8D2CSN5|A0A8D2CSN5_SCIVU
OG0001204	sp|Q15672|TWST1_HUMAN	tr|A0A8D2JIN1|A0A8D2JIN1_SCIVU
OG0001204	sp|Q8WVJ9|TWST2_HUMAN	tr|A0A8D2B5Q7|A0A8D2B5Q7_SCIVU
OG0001205	sp|Q00059|TFAM_HUMAN	tr|A0A8D2CL19|A0A8D2CL19_SCIVU, tr|A0A8D2JP44|A0A8D2JP44_SCIVU, tr|A0A8D2B9H5|A0A8D2B9H5_SCIVU
OG0001206	sp|Q9NYV4|CDK12_HUMAN	tr|A0A8D2JKL1|A0A8D2JKL1_SCIVU
OG0001206	sp|Q14004|CDK13_HUMAN	tr|A0A8D2AY51|A0A8D2AY51_SCIVU
OG0001207	sp|Q5VZM2|RRAGB_HUMAN	tr|A0A8D2DQH2|A0A8D2DQH2_SCIVU
OG0001207	sp|Q7L523|RRAGA_HUMAN	tr|A0A8D2DS11|A0A8D2DS11_SCIVU
OG0001208	sp|Q7L7X3|TAOK1_HUMAN	tr|A0A8D2DA61|A0A8D2DA61_SCIVU
OG0001208	sp|Q9H2K8|TAOK3_HUMAN	tr|A0A8D2BE78|A0A8D2BE78_SCIVU
OG0001209	sp|P42356|PI4KA_HUMAN, sp|Q8N8J0|PI4P1_HUMAN, sp|A4QPH2|PI4P2_HUMAN	tr|A0A8D2CNY2|A0A8D2CNY2_SCIVU
OG0001210	sp|Q9HBH7|BEX1_HUMAN, sp|Q9BXY8|BEX2_HUMAN	tr|A0A8D2DPP8|A0A8D2DPP8_SCIVU, tr|A0A8D2DSB4|A0A8D2DSB4_SCIVU
OG0001211	sp|Q9GZQ8|MLP3B_HUMAN, sp|A6NCE7|MP3B2_HUMAN, sp|Q9H492|MLP3A_HUMAN	tr|A0A8D2E0T4|A0A8D2E0T4_SCIVU
OG0001212	sp|Q9H4T2|ZSC16_HUMAN, sp|P49910|ZN165_HUMAN, sp|Q16670|ZSC26_HUMAN	tr|A0A8D2CZY0|A0A8D2CZY0_SCIVU
OG0001213	sp|Q9NVD7|PARVA_HUMAN	tr|A0A8D2JMI5|A0A8D2JMI5_SCIVU, tr|A0A8D2JPE6|A0A8D2JPE6_SCIVU, tr|A0A8D2CRU9|A0A8D2CRU9_SCIVU
OG0001214	sp|P22314|UBA1_HUMAN	tr|A0A8D2CWD2|A0A8D2CWD2_SCIVU
OG0001214	sp|P41226|UBA7_HUMAN	tr|A0A8D2JT59|A0A8D2JT59_SCIVU
OG0001215	sp|Q15172|2A5A_HUMAN	tr|A0A8D2D9M0|A0A8D2D9M0_SCIVU
OG0001215	sp|Q16537|2A5E_HUMAN	tr|A0A8D2AQI5|A0A8D2AQI5_SCIVU
OG0001216	sp|Q719H9|KCTD1_HUMAN	tr|A0A8D2BED3|A0A8D2BED3_SCIVU
OG0001216	sp|Q96SI1|KCD15_HUMAN	tr|A0A8D2DUS7|A0A8D2DUS7_SCIVU
OG0001217	sp|Q9H3H9|TCAL2_HUMAN, sp|Q96EI5|TCAL4_HUMAN	tr|A0A8D2DQ12|A0A8D2DQ12_SCIVU, tr|A0A8D2DPV0|A0A8D2DPV0_SCIVU
OG0001218	sp|Q14151|SAFB2_HUMAN	tr|A0A8D2DI57|A0A8D2DI57_SCIVU
OG0001218	sp|Q15424|SAFB1_HUMAN	tr|A0A8D2DKX4|A0A8D2DKX4_SCIVU
OG0001219	sp|Q5T2N8|ATD3C_HUMAN, sp|Q9NVI7|ATD3A_HUMAN, sp|Q5T9A4|ATD3B_HUMAN	tr|A0A8D2AHI0|A0A8D2AHI0_SCIVU
OG0001220	sp|Q8N9N2|ASCC1_HUMAN	tr|A0A8D2DNP3|A0A8D2DNP3_SCIVU, tr|A0A8D2DIT7|A0A8D2DIT7_SCIVU, tr|A0A8D2JNN1|A0A8D2JNN1_SCIVU
OG0001221	sp|Q9UKC9|FBXL2_HUMAN	tr|A0A8D2D871|A0A8D2D871_SCIVU
OG0001221	sp|Q96IG2|FXL20_HUMAN	tr|A0A8D2D0Y2|A0A8D2D0Y2_SCIVU
OG0001222	sp|Q9UK53|ING1_HUMAN	tr|A0A8D2AIR6|A0A8D2AIR6_SCIVU, tr|A0A8D2DJT2|A0A8D2DJT2_SCIVU, tr|A0A8D2D016|A0A8D2D016_SCIVU
OG0001223	sp|P15151|PVR_HUMAN	tr|A0A8D2DF29|A0A8D2DF29_SCIVU
OG0001223	sp|Q92692|NECT2_HUMAN	tr|A0A8D2JPG8|A0A8D2JPG8_SCIVU
OG0001224	sp|Q9UPT9|UBP22_HUMAN	tr|A0A8D2AV60|A0A8D2AV60_SCIVU
OG0001224	sp|Q70EK9|UBP51_HUMAN	tr|A0A8D2DNV0|A0A8D2DNV0_SCIVU
OG0001225	sp|Q7Z3Z3|PIWL3_HUMAN	tr|A0A8D2B2C8|A0A8D2B2C8_SCIVU
OG0001225	sp|Q96J94|PIWL1_HUMAN	tr|A0A8D2AZS1|A0A8D2AZS1_SCIVU
OG0001226	sp|Q9H8W3|F204A_HUMAN	tr|A0A8D2AEU7|A0A8D2AEU7_SCIVU, tr|A0A8D2D303|A0A8D2D303_SCIVU, tr|A0A8D2AQ26|A0A8D2AQ26_SCIVU
OG0001227	sp|Q7Z2G1|H2BWT_HUMAN, sp|P0C1H6|H2BFM_HUMAN	tr|A0A8D2DL83|A0A8D2DL83_SCIVU, tr|A0A8D2DMW5|A0A8D2DMW5_SCIVU
OG0001228	sp|O75636|FCN3_HUMAN, sp|Q15485|FCN2_HUMAN, sp|O00602|FCN1_HUMAN	tr|A0A8D2DKH1|A0A8D2DKH1_SCIVU
OG0001229	sp|Q17RY0|CPEB4_HUMAN	tr|A0A8D2CVL0|A0A8D2CVL0_SCIVU
OG0001229	sp|Q7Z5Q1|CPEB2_HUMAN	tr|A0A8D2CNC8|A0A8D2CNC8_SCIVU
OG0001230	sp|O43861|ATP9B_HUMAN	tr|A0A8D2CRE6|A0A8D2CRE6_SCIVU
OG0001230	sp|O75110|ATP9A_HUMAN	tr|A0A8D2CJQ7|A0A8D2CJQ7_SCIVU
OG0001231	sp|O75015|FCG3B_HUMAN, sp|P08637|FCG3A_HUMAN	tr|A0A8D2B5J9|A0A8D2B5J9_SCIVU, tr|A0A8D2D0G2|A0A8D2D0G2_SCIVU
OG0001232	sp|Q00975|CAC1B_HUMAN	tr|A0A8D2JRS3|A0A8D2JRS3_SCIVU
OG0001232	sp|O00555|CAC1A_HUMAN	tr|A0A8D2DY97|A0A8D2DY97_SCIVU
OG0001233	sp|Q96PJ5|FCRL4_HUMAN, sp|Q96RD9|FCRL5_HUMAN, sp|Q96P31|FCRL3_HUMAN	tr|A0A8D2AWE5|A0A8D2AWE5_SCIVU
OG0001234	sp|Q9BYD1|RM13_HUMAN	tr|A0A8D2AQH9|A0A8D2AQH9_SCIVU, tr|A0A8D2AU09|A0A8D2AU09_SCIVU, tr|A0A8D2CNF2|A0A8D2CNF2_SCIVU
OG0001235	sp|Q9H4A6|GOLP3_HUMAN	tr|A0A8D2BC89|A0A8D2BC89_SCIVU, tr|A0A8D2JKI6|A0A8D2JKI6_SCIVU, tr|A0A8D2DEI3|A0A8D2DEI3_SCIVU
OG0001236	sp|Q9HAZ1|CLK4_HUMAN	tr|A0A8D2AR00|A0A8D2AR00_SCIVU
OG0001236	sp|P49759|CLK1_HUMAN	tr|A0A8D2CM58|A0A8D2CM58_SCIVU
OG0001237	sp|Q9UBW7|ZMYM2_HUMAN	tr|A0A8D2D3R6|A0A8D2D3R6_SCIVU
OG0001237	sp|Q9UJ78|ZMYM5_HUMAN	tr|A0A8D2D2L4|A0A8D2D2L4_SCIVU
OG0001238	sp|Q9Y2C5|S17A4_HUMAN, sp|Q14916|NPT1_HUMAN, sp|O00476|NPT4_HUMAN	tr|A0A8D2D117|A0A8D2D117_SCIVU
OG0001239	sp|O94915|FRYL_HUMAN	tr|A0A8D2DXH2|A0A8D2DXH2_SCIVU
OG0001239	sp|Q5TBA9|FRY_HUMAN	tr|A0A8D2DLN0|A0A8D2DLN0_SCIVU
OG0001240	sp|Q5JUK3|KCNT1_HUMAN	tr|A0A8D2E1P5|A0A8D2E1P5_SCIVU
OG0001240	sp|Q6UVM3|KCNT2_HUMAN	tr|A0A8D2B639|A0A8D2B639_SCIVU
OG0001241	sp|Q9BWT6|MND1_HUMAN	tr|A0A8D2CK20|A0A8D2CK20_SCIVU, tr|A0A8D2D4D4|A0A8D2D4D4_SCIVU, tr|A0A8D2AH41|A0A8D2AH41_SCIVU
OG0001242	sp|Q9BXV9|GON7_HUMAN	tr|A0A8D2AG53|A0A8D2AG53_SCIVU, tr|A0A8D2AR96|A0A8D2AR96_SCIVU, tr|A0A8D2DJM2|A0A8D2DJM2_SCIVU
OG0001243	sp|Q9Y2A7|NCKP1_HUMAN	tr|A0A8D2DTL5|A0A8D2DTL5_SCIVU
OG0001243	sp|P55160|NCKPL_HUMAN	tr|A0A8D2AIM6|A0A8D2AIM6_SCIVU
OG0001244	sp|P28331|NDUS1_HUMAN	tr|A0A8D2AXP6|A0A8D2AXP6_SCIVU, tr|A0A8D2AT52|A0A8D2AT52_SCIVU, tr|A0A8D2AKH0|A0A8D2AKH0_SCIVU
OG0001245	sp|Q14CZ0|HAPR1_HUMAN	tr|A0A8D2JS34|A0A8D2JS34_SCIVU, tr|A0A8D2B3C6|A0A8D2B3C6_SCIVU, tr|A0A8D2E4Q4|A0A8D2E4Q4_SCIVU
OG0001246	sp|Q92782|DPF1_HUMAN	tr|A0A8D2DD39|A0A8D2DD39_SCIVU
OG0001246	sp|Q92784|DPF3_HUMAN	tr|A0A8D2B968|A0A8D2B968_SCIVU
OG0001247	sp|Q86TA1|MOB3B_HUMAN	tr|A0A8D2DY93|A0A8D2DY93_SCIVU
OG0001247	sp|Q96BX8|MOB3A_HUMAN	tr|A0A8D2DLF2|A0A8D2DLF2_SCIVU
OG0001248	sp|Q9UQB9|AURKC_HUMAN	tr|A0A8D2DTI5|A0A8D2DTI5_SCIVU
OG0001248	sp|Q96GD4|AURKB_HUMAN	tr|A0A8D2CTS2|A0A8D2CTS2_SCIVU
OG0001249	sp|Q9BXT6|M10L1_HUMAN	tr|A0A8D2CPE2|A0A8D2CPE2_SCIVU
OG0001249	sp|Q9HCE1|MOV10_HUMAN	tr|A0A8D2JNV3|A0A8D2JNV3_SCIVU
OG0001250	sp|Q8N3S3|PHTF2_HUMAN	tr|A0A8D2DDT5|A0A8D2DDT5_SCIVU
OG0001250	sp|Q9UMS5|PHTF1_HUMAN	tr|A0A8D2DHK6|A0A8D2DHK6_SCIVU
OG0001251	sp|Q712K3|UB2R2_HUMAN	tr|A0A8D2DEX9|A0A8D2DEX9_SCIVU
OG0001251	sp|P49427|UB2R1_HUMAN	tr|A0A8D2D2Q2|A0A8D2D2Q2_SCIVU
OG0001252	sp|P49840|GSK3A_HUMAN	tr|A0A8D2JSF7|A0A8D2JSF7_SCIVU
OG0001252	sp|P49841|GSK3B_HUMAN	tr|A0A8D2CZ83|A0A8D2CZ83_SCIVU
OG0001253	sp|Q52LR7|EPC2_HUMAN	tr|A0A8D2AUG7|A0A8D2AUG7_SCIVU, tr|A0A8D2DFL5|A0A8D2DFL5_SCIVU, tr|A0A8D2DFD1|A0A8D2DFD1_SCIVU
