Orthogroup	Homo_sapiens	Lipotes_vexillifer
OG0002151	sp|Q14493|SLBP_HUMAN	tr|A0A340XQ43|A0A340XQ43_LIPVE, tr|A0A340Y6E9|A0A340Y6E9_LIPVE
OG0002152	sp|P83105|HTRA4_HUMAN, sp|Q92743|HTRA1_HUMAN	tr|A0A340Y7H2|A0A340Y7H2_LIPVE
OG0002153	tr|A0A0B4J2E5|A0A0B4J2E5_HUMAN, sp|Q15269|PWP2_HUMAN	tr|A0A340WY25|A0A340WY25_LIPVE
OG0002154	sp|Q06609|RAD51_HUMAN	tr|A0A340XMJ8|A0A340XMJ8_LIPVE, tr|A0A340WHS7|A0A340WHS7_LIPVE
OG0002155	sp|Q07352|TISB_HUMAN	tr|A0A340X600|A0A340X600_LIPVE, tr|A0A340WZL8|A0A340WZL8_LIPVE
OG0002156	sp|Q6P5S2|LEG1H_HUMAN	tr|A0A340WH67|A0A340WH67_LIPVE, tr|A0A340WM02|A0A340WM02_LIPVE
OG0002157	sp|P05204|HMGN2_HUMAN	tr|A0A340XCJ5|A0A340XCJ5_LIPVE, tr|A0A340XJI0|A0A340XJI0_LIPVE
OG0002158	sp|P29803|ODPAT_HUMAN, sp|P08559|ODPA_HUMAN	tr|A0A340YAA4|A0A340YAA4_LIPVE
OG0002159	sp|Q5H9U9|DDX6L_HUMAN, sp|Q8IY21|DDX60_HUMAN	tr|A0A340XE12|A0A340XE12_LIPVE
OG0002160	sp|P09001|RM03_HUMAN	tr|A0A340X6L6|A0A340X6L6_LIPVE, tr|A0A340YHB8|A0A340YHB8_LIPVE
OG0002161	sp|Q9NX38|ABITM_HUMAN	tr|A0A340YH50|A0A340YH50_LIPVE, tr|A0A340WLL2|A0A340WLL2_LIPVE
OG0002162	sp|P16562|CRIS2_HUMAN, sp|P54108|CRIS3_HUMAN	tr|A0A340WR40|A0A340WR40_LIPVE
OG0002163	sp|Q15041|AR6P1_HUMAN	tr|A0A340X678|A0A340X678_LIPVE, tr|A0A340Y013|A0A340Y013_LIPVE
OG0002164	sp|Q6IN97|FRP2L_HUMAN, sp|Q68DX3|FRPD2_HUMAN	tr|A0A340X0R6|A0A340X0R6_LIPVE
OG0002165	sp|Q6W0C5|DPPA3_HUMAN	tr|A0A340Y828|A0A340Y828_LIPVE, tr|A0A340YAE9|A0A340YAE9_LIPVE
OG0002166	sp|Q96BF3|TMIG2_HUMAN	tr|A0A340WFG6|A0A340WFG6_LIPVE, tr|A0A340XH51|A0A340XH51_LIPVE
OG0002167	sp|Q9NWY4|HPF1_HUMAN, sp|A8MVJ9|HPF1L_HUMAN	tr|A0A340XBI4|A0A340XBI4_LIPVE
OG0002168	sp|P18077|RL35A_HUMAN	tr|A0A340WJB8|A0A340WJB8_LIPVE, tr|A0A340Y0Y5|A0A340Y0Y5_LIPVE
OG0002169	sp|A2A3N6|PIPSL_HUMAN, sp|Q99755|PI51A_HUMAN	tr|A0A340XFS3|A0A340XFS3_LIPVE
OG0002170	sp|O15523|DDX3Y_HUMAN, sp|O00571|DDX3X_HUMAN	tr|A0A340XB15|A0A340XB15_LIPVE
OG0002171	sp|P54252|ATX3_HUMAN, sp|Q9H3M9|ATX3L_HUMAN	tr|A0A340X0E7|A0A340X0E7_LIPVE
OG0002172	sp|Q12889|OVGP1_HUMAN	tr|A0A340WR21|A0A340WR21_LIPVE, tr|A0A340WQJ4|A0A340WQJ4_LIPVE
OG0002173	sp|Q8N2G4|LYPD1_HUMAN	tr|A0A340XXS5|A0A340XXS5_LIPVE, tr|A0A340Y7Q4|A0A340Y7Q4_LIPVE
OG0002174	sp|Q9UDV6|ZN212_HUMAN	tr|A0A340WJP9|A0A340WJP9_LIPVE, tr|A0A340YBV2|A0A340YBV2_LIPVE
OG0002175	sp|P00558|PGK1_HUMAN, sp|P07205|PGK2_HUMAN	tr|A0A340WFK2|A0A340WFK2_LIPVE
OG0002176	sp|P09661|RU2A_HUMAN	tr|A0A340WR83|A0A340WR83_LIPVE, tr|A0A340WU74|A0A340WU74_LIPVE
OG0002177	sp|Q2M3W8|ZN181_HUMAN, sp|Q9NR11|ZN302_HUMAN	tr|A0A340YDE7|A0A340YDE7_LIPVE
OG0002178	sp|P51817|PRKX_HUMAN, sp|O43930|PRKY_HUMAN	tr|A0A340XNE3|A0A340XNE3_LIPVE
OG0002179	sp|P19099|C11B2_HUMAN, sp|P15538|C11B1_HUMAN	tr|A0A340XZ72|A0A340XZ72_LIPVE
OG0002180	sp|P40925|MDHC_HUMAN	tr|A0A340XVH7|A0A340XVH7_LIPVE, tr|A0A340WDH9|A0A340WDH9_LIPVE
OG0002181	sp|Q7Z5Y7|KCD20_HUMAN	tr|A0A340WZV7|A0A340WZV7_LIPVE, tr|A0A340Y749|A0A340Y749_LIPVE
OG0002182	sp|Q7Z692|CEA19_HUMAN, sp|Q2WEN9|CEA16_HUMAN	tr|A0A340XBD8|A0A340XBD8_LIPVE
OG0002183	sp|O15162|PLS1_HUMAN, sp|Q9NRY7|PLS2_HUMAN	tr|A0A340Y0R9|A0A340Y0R9_LIPVE
OG0002184	sp|O75752|B3GL1_HUMAN	tr|A0A340WYQ3|A0A340WYQ3_LIPVE, tr|A0A340Y9H3|A0A340Y9H3_LIPVE
OG0002185	sp|A6NJW9|CD8B2_HUMAN, sp|P10966|CD8B_HUMAN	tr|A0A340Y5M5|A0A340Y5M5_LIPVE
OG0002186	sp|P17482|HXB9_HUMAN, sp|P31274|HXC9_HUMAN	tr|A0A340Y0R0|A0A340Y0R0_LIPVE
OG0002187	sp|P50221|MEOX1_HUMAN, sp|O95231|VENTX_HUMAN	tr|A0A340X1F1|A0A340X1F1_LIPVE
OG0002188	sp|Q14515|SPRL1_HUMAN	tr|A0A340WUM7|A0A340WUM7_LIPVE, tr|A0A340WV87|A0A340WV87_LIPVE
OG0002189	sp|Q9P1A2|PP4RL_HUMAN, sp|Q8TF05|PP4R1_HUMAN	tr|A0A340XEH6|A0A340XEH6_LIPVE
OG0002190	sp|Q9Y697|NFS1_HUMAN	tr|A0A340WL55|A0A340WL55_LIPVE, tr|A0A340Y522|A0A340Y522_LIPVE
OG0002191	sp|O15529|GPR42_HUMAN, sp|O14843|FFAR3_HUMAN	tr|A0A340YES0|A0A340YES0_LIPVE
OG0002192	sp|Q5JPH6|SYEM_HUMAN	tr|A0A340WSV7|A0A340WSV7_LIPVE, tr|A0A340WZ70|A0A340WZ70_LIPVE
OG0002193	sp|Q99697|PITX2_HUMAN	tr|A0A340WVI7|A0A340WVI7_LIPVE, tr|A0A340WTI1|A0A340WTI1_LIPVE
OG0002194	sp|Q9BSG5|RTBDN_HUMAN	tr|A0A340Y7G3|A0A340Y7G3_LIPVE, tr|A0A340X670|A0A340X670_LIPVE
OG0002195	sp|Q86YG4|NT5D4_HUMAN, sp|P49902|5NTC_HUMAN	tr|A0A340YDH8|A0A340YDH8_LIPVE
OG0002196	sp|Q5T6X4|F162B_HUMAN, sp|Q96A26|F162A_HUMAN	tr|A0A340WJK9|A0A340WJK9_LIPVE
OG0002197	sp|Q8NBV4|PLPP7_HUMAN	tr|A0A340WL73|A0A340WL73_LIPVE, tr|A0A340X1K8|A0A340X1K8_LIPVE
OG0002198	sp|Q96RI1|NR1H4_HUMAN	tr|A0A340XMA6|A0A340XMA6_LIPVE, tr|A0A340XVK1|A0A340XVK1_LIPVE
OG0002199	sp|Q9H467|CUED2_HUMAN	tr|A0A340Y0Z7|A0A340Y0Z7_LIPVE, tr|A0A340Y9T7|A0A340Y9T7_LIPVE
OG0002200	sp|Q9H4R4|CT191_HUMAN, sp|O75376|NCOR1_HUMAN	tr|A0A340XTR4|A0A340XTR4_LIPVE
OG0002201	sp|Q9UM44|HHLA2_HUMAN, sp|Q7Z7D3|VTCN1_HUMAN	tr|A0A340XJW8|A0A340XJW8_LIPVE
OG0002202	sp|P06132|DCUP_HUMAN	tr|A0A340Y817|A0A340Y817_LIPVE, tr|A0A340WTK5|A0A340WTK5_LIPVE
OG0002203	sp|P36957|ODO2_HUMAN	tr|A0A340XI89|A0A340XI89_LIPVE, tr|A0A340XK21|A0A340XK21_LIPVE
OG0002204	sp|Q8WWU7|ITLN2_HUMAN, sp|Q8WWA0|ITLN1_HUMAN	tr|A0A340YGX0|A0A340YGX0_LIPVE
OG0002205	sp|Q99689|FEZ1_HUMAN	tr|A0A340XWU8|A0A340XWU8_LIPVE, tr|A0A340Y9R3|A0A340Y9R3_LIPVE
OG0002206	sp|P27144|KAD4_HUMAN, tr|A0A8I5KW96|A0A8I5KW96_HUMAN	tr|A0A340XF82|A0A340XF82_LIPVE
OG0002207	sp|Q15695|U2AFL_HUMAN, sp|Q15696|U2AFM_HUMAN	tr|A0A340XZ55|A0A340XZ55_LIPVE
OG0002208	sp|Q5VUY2|ADCL4_HUMAN, sp|Q5VUY0|ADCL3_HUMAN	tr|A0A340XST9|A0A340XST9_LIPVE
OG0002209	sp|P49419|AL7A1_HUMAN	tr|A0A340XR29|A0A340XR29_LIPVE, tr|A0A340Y4E4|A0A340Y4E4_LIPVE
OG0002210	sp|A6NK97|S22AK_HUMAN, sp|Q4U2R8|S22A6_HUMAN	tr|A0A340XL84|A0A340XL84_LIPVE
OG0002211	sp|Q9BQ49|SMIM7_HUMAN	tr|A0A340WLV0|A0A340WLV0_LIPVE, tr|A0A340XLP9|A0A340XLP9_LIPVE
OG0002212	sp|Q86WD7|SPA9_HUMAN, sp|P05543|THBG_HUMAN	tr|A0A340XM70|A0A340XM70_LIPVE
OG0002213	sp|Q8IXS6|PALM2_HUMAN, tr|C9JA33|C9JA33_HUMAN	tr|A0A340WQD8|A0A340WQD8_LIPVE
OG0002214	sp|Q8TCC3|RM30_HUMAN	tr|A0A340YKI8|A0A340YKI8_LIPVE, tr|A0A340Y5F6|A0A340Y5F6_LIPVE
OG0002215	sp|P86397|HTD2_HUMAN	tr|A0A340XJY0|A0A340XJY0_LIPVE, tr|A0A340WJH8|A0A340WJH8_LIPVE
OG0002216	sp|Q13241|KLRD1_HUMAN, sp|Q9NY25|CLC5A_HUMAN	tr|A0A340YCD1|A0A340YCD1_LIPVE
OG0002217	sp|Q8TEQ0|SNX29_HUMAN, sp|Q8IUI4|S29P2_HUMAN	tr|A0A340XRP9|A0A340XRP9_LIPVE
OG0002218	sp|Q8TC17|GRAPL_HUMAN, sp|Q13588|GRAP_HUMAN	tr|A0A340WFU8|A0A340WFU8_LIPVE
OG0002219	sp|Q92738|US6NL_HUMAN	tr|A0A340WZZ1|A0A340WZZ1_LIPVE, tr|A0A340WP49|A0A340WP49_LIPVE
OG0002220	sp|Q92908|GATA6_HUMAN	tr|A0A340WNT4|A0A340WNT4_LIPVE, tr|A0A340WNL3|A0A340WNL3_LIPVE
OG0002221	sp|O95685|PPR3D_HUMAN	tr|A0A340YCR5|A0A340YCR5_LIPVE, tr|A0A340YE19|A0A340YE19_LIPVE
OG0002222	sp|P23526|SAHH_HUMAN	tr|A0A340WL91|A0A340WL91_LIPVE, tr|A0A340XWI8|A0A340XWI8_LIPVE
OG0002223	sp|P63208|SKP1_HUMAN	tr|A0A340YID8|A0A340YID8_LIPVE, tr|A0A340WE56|A0A340WE56_LIPVE
OG0002224	sp|Q3MIR4|CC50B_HUMAN	tr|A0A340YGJ4|A0A340YGJ4_LIPVE, tr|A0A340X1U2|A0A340X1U2_LIPVE
OG0002225	sp|Q68DD2|PA24F_HUMAN, sp|Q9UP65|PA24C_HUMAN	tr|A0A340XFF3|A0A340XFF3_LIPVE
OG0002226	sp|Q96I36|COX14_HUMAN	tr|A0A340WZS0|A0A340WZS0_LIPVE, tr|A0A340XCC1|A0A340XCC1_LIPVE
OG0002227	sp|Q9NQR4|NIT2_HUMAN	tr|A0A340WI12|A0A340WI12_LIPVE, tr|A0A340X2B6|A0A340X2B6_LIPVE
OG0002228	sp|P21728|DRD1_HUMAN, sp|P21918|DRD5_HUMAN	tr|A0A340XWN6|A0A340XWN6_LIPVE
OG0002229	sp|P46937|YAP1_HUMAN	tr|A0A340WJ71|A0A340WJ71_LIPVE, tr|A0A340WIT2|A0A340WIT2_LIPVE
OG0002230	sp|P60602|ROMO1_HUMAN	tr|A0A340WJS3|A0A340WJS3_LIPVE, tr|A0A340Y6Z6|A0A340Y6Z6_LIPVE
OG0002231	sp|P86790|CCZ1B_HUMAN, sp|P86791|CCZ1_HUMAN	tr|A0A340WPL3|A0A340WPL3_LIPVE
OG0002232	sp|Q9NWF9|RN216_HUMAN, sp|Q6NUR6|R216L_HUMAN	tr|A0A340WC59|A0A340WC59_LIPVE
OG0002233	sp|Q9Y2Y0|AR2BP_HUMAN	tr|A0A340YA73|A0A340YA73_LIPVE, tr|A0A340XF79|A0A340XF79_LIPVE
OG0002234	sp|Q9H7L9|SDS3_HUMAN	tr|A0A340XA66|A0A340XA66_LIPVE, tr|A0A340WWD2|A0A340WWD2_LIPVE
OG0002235	sp|A6NKN8|PC4L1_HUMAN	tr|A0A340YD13|A0A340YD13_LIPVE, tr|A0A340Y1P7|A0A340Y1P7_LIPVE
OG0002236	sp|P36542|ATPG_HUMAN	tr|A0A340XDD4|A0A340XDD4_LIPVE, tr|A0A340Y055|A0A340Y055_LIPVE
OG0002237	sp|P83876|TXN4A_HUMAN	tr|A0A340WSI0|A0A340WSI0_LIPVE, tr|A0A340X9W0|A0A340X9W0_LIPVE
OG0002238	sp|Q06787|FMR1_HUMAN	tr|A0A340XBJ2|A0A340XBJ2_LIPVE, tr|A0A340WP66|A0A340WP66_LIPVE
OG0002239	sp|Q5VU43|MYOME_HUMAN	tr|A0A340X6K3|A0A340X6K3_LIPVE, tr|A0A340XW53|A0A340XW53_LIPVE
OG0002240	sp|Q96K31|CH076_HUMAN, sp|Q96EF9|ZHX1R_HUMAN	tr|A0A340X7U1|A0A340X7U1_LIPVE
OG0002241	sp|Q9H2K2|TNKS2_HUMAN, sp|O95271|TNKS1_HUMAN	tr|A0A340YHR8|A0A340YHR8_LIPVE
OG0002242	sp|A0A1B0GWB2|PRT1B_HUMAN, sp|Q99946|PRRT1_HUMAN	tr|A0A340XKM2|A0A340XKM2_LIPVE
OG0002243	sp|Q969R5|LMBL2_HUMAN	tr|A0A340XUK8|A0A340XUK8_LIPVE, tr|A0A340X4G5|A0A340X4G5_LIPVE
OG0002244	sp|Q5SRD1|TI23B_HUMAN, sp|O14925|TIM23_HUMAN	tr|A0A340WIJ8|A0A340WIJ8_LIPVE
OG0002245	sp|P17481|HXB8_HUMAN, sp|P31273|HXC8_HUMAN	tr|A0A340Y0Y6|A0A340Y0Y6_LIPVE
OG0002246	sp|Q6RSH7|VHLL_HUMAN, sp|P40337|VHL_HUMAN	tr|A0A340YHM6|A0A340YHM6_LIPVE
OG0002247	sp|Q9BUY7|EFC11_HUMAN	tr|A0A340YE44|A0A340YE44_LIPVE, tr|A0A340XGM6|A0A340XGM6_LIPVE
OG0002248	sp|Q9H3H1|MOD5_HUMAN	tr|A0A340WC81|A0A340WC81_LIPVE, tr|A0A340X3V1|A0A340X3V1_LIPVE
OG0002249	sp|O95751|LDOC1_HUMAN	tr|A0A340WQ84|A0A340WQ84_LIPVE, tr|A0A340WMG1|A0A340WMG1_LIPVE
OG0002250	sp|P00480|OTC_HUMAN	tr|A0A340Y836|A0A340Y836_LIPVE, tr|A0A340WRA1|A0A340WRA1_LIPVE
OG0002251	sp|Q5XKR4|OTP_HUMAN	tr|A0A340YKM8|A0A340YKM8_LIPVE, tr|A0A340YIV3|A0A340YIV3_LIPVE
OG0002252	sp|Q6ZMS7|ZN783_HUMAN, sp|Q6IV72|ZN425_HUMAN	tr|A0A340YA15|A0A340YA15_LIPVE
OG0002253	sp|Q9Y4X5|ARI1_HUMAN	tr|A0A340XNM4|A0A340XNM4_LIPVE, tr|A0A340XG30|A0A340XG30_LIPVE
OG0002254	sp|O14618|CCS_HUMAN	tr|A0A340WHT1|A0A340WHT1_LIPVE, tr|A0A340XLJ8|A0A340XLJ8_LIPVE
OG0002255	sp|Q14183|DOC2A_HUMAN	tr|A0A340X0J5|A0A340X0J5_LIPVE, tr|A0A340WP19|A0A340WP19_LIPVE
OG0002256	sp|Q6UWY0|ARSK_HUMAN	tr|A0A340WL78|A0A340WL78_LIPVE, tr|A0A340YGP3|A0A340YGP3_LIPVE
OG0002258	sp|O14607|UTY_HUMAN, sp|O15550|KDM6A_HUMAN	tr|A0A340XCS2|A0A340XCS2_LIPVE
OG0002259	sp|P31040|SDHA_HUMAN	tr|A0A340Y406|A0A340Y406_LIPVE, tr|A0A340YKG4|A0A340YKG4_LIPVE
OG0002260	sp|P54886|P5CS_HUMAN	tr|A0A340YFH3|A0A340YFH3_LIPVE, tr|A0A340Y8G1|A0A340Y8G1_LIPVE
OG0002261	sp|Q7L4S7|ARMX6_HUMAN	tr|A0A340Y6P1|A0A340Y6P1_LIPVE, tr|A0A340Y8A9|A0A340Y8A9_LIPVE
OG0002262	sp|P0C7M6|IQCF3_HUMAN, sp|Q8IXL9|IQCF2_HUMAN	tr|A0A340WR11|A0A340WR11_LIPVE
OG0002263	sp|Q8NHM5|KDM2B_HUMAN	tr|A0A340WVJ2|A0A340WVJ2_LIPVE, tr|A0A340WP55|A0A340WP55_LIPVE
OG0002264	sp|Q8WWT9|S13A3_HUMAN	tr|A0A340YCQ1|A0A340YCQ1_LIPVE, tr|A0A340WBT1|A0A340WBT1_LIPVE
OG0002265	sp|O00194|RB27B_HUMAN, sp|P51159|RB27A_HUMAN	tr|A0A340X541|A0A340X541_LIPVE
OG0002266	sp|Q9BW72|HIG2A_HUMAN, sp|Q4VC39|HIG2B_HUMAN	tr|A0A340XVG8|A0A340XVG8_LIPVE
OG0002267	sp|Q86VU5|CMTD1_HUMAN	tr|A0A340Y718|A0A340Y718_LIPVE, tr|A0A340XVZ1|A0A340XVZ1_LIPVE
OG0002268	sp|Q6P435|SMG1L_HUMAN, sp|Q96Q15|SMG1_HUMAN	tr|A0A340Y5J7|A0A340Y5J7_LIPVE
OG0002269	sp|P25325|THTM_HUMAN	tr|A0A340WXQ5|A0A340WXQ5_LIPVE, tr|A0A340XVP6|A0A340XVP6_LIPVE
OG0002270	sp|P30408|T4S1_HUMAN	tr|A0A340WQ01|A0A340WQ01_LIPVE, tr|A0A340YIV8|A0A340YIV8_LIPVE
OG0002271	sp|B1ANY3|F220P_HUMAN, sp|Q7Z4H9|F220A_HUMAN	tr|A0A340WJN0|A0A340WJN0_LIPVE
OG0002272	sp|Q8TCI5|PIFO_HUMAN	tr|A0A340WKU5|A0A340WKU5_LIPVE, tr|A0A340WQU9|A0A340WQU9_LIPVE
OG0002273	sp|Q9NR20|DYRK4_HUMAN, sp|Q92630|DYRK2_HUMAN	tr|A0A340XTZ9|A0A340XTZ9_LIPVE
OG0002274	sp|Q9BZA5|TXNG2_HUMAN, sp|Q9NUQ3|TXLNG_HUMAN	tr|A0A340WZW0|A0A340WZW0_LIPVE
OG0002275	sp|P48029|SC6A8_HUMAN	tr|A0A340X574|A0A340X574_LIPVE, tr|A0A340X728|A0A340X728_LIPVE
OG0002276	sp|Q8TBQ9|KISHA_HUMAN	tr|A0A340WY62|A0A340WY62_LIPVE, tr|A0A340WRM1|A0A340WRM1_LIPVE
OG0002277	sp|Q8WTU0|DDI1_HUMAN, sp|Q5TDH0|DDI2_HUMAN	tr|A0A340XD36|A0A340XD36_LIPVE
OG0002278	sp|Q9Y3B7|RM11_HUMAN	tr|A0A340XKS0|A0A340XKS0_LIPVE, tr|A0A340Y7A3|A0A340Y7A3_LIPVE
OG0002279	sp|Q9BQR3|PRS27_HUMAN	tr|A0A340Y0F0|A0A340Y0F0_LIPVE, tr|A0A340WXE8|A0A340WXE8_LIPVE
OG0002280	sp|O00462|MANBA_HUMAN	tr|A0A340Y153|A0A340Y153_LIPVE, tr|A0A340XUN5|A0A340XUN5_LIPVE
OG0002281	sp|Q07837|SLC31_HUMAN	tr|A0A340WHY2|A0A340WHY2_LIPVE, tr|A0A340XLX3|A0A340XLX3_LIPVE
OG0002282	sp|Q68CQ1|MROH7_HUMAN, sp|Q9H579|MROH8_HUMAN	tr|A0A340YDY3|A0A340YDY3_LIPVE
OG0002283	sp|Q9NRP4|SDHF3_HUMAN	tr|A0A340WVH3|A0A340WVH3_LIPVE, tr|A0A340WJ86|A0A340WJ86_LIPVE
OG0002284	sp|P30046|DOPD_HUMAN, sp|A6NHG4|DDTL_HUMAN	tr|A0A340WNI8|A0A340WNI8_LIPVE
OG0002285	sp|Q96AB6|NTAN1_HUMAN	tr|A0A340XDP6|A0A340XDP6_LIPVE, tr|A0A340Y688|A0A340Y688_LIPVE
OG0002286	sp|O95139|NDUB6_HUMAN	tr|A0A340WJ74|A0A340WJ74_LIPVE, tr|A0A340XUE1|A0A340XUE1_LIPVE
OG0002288	sp|Q9BRL6|SRSF8_HUMAN, sp|Q01130|SRSF2_HUMAN	tr|A0A340WYD5|A0A340WYD5_LIPVE
OG0002289	sp|Q4VNC1|AT134_HUMAN, sp|Q4VNC0|AT135_HUMAN	tr|A0A340X8E3|A0A340X8E3_LIPVE
OG0002290	sp|Q9UJC5|SH3L2_HUMAN	tr|A0A340WIJ7|A0A340WIJ7_LIPVE, tr|A0A340X9F7|A0A340X9F7_LIPVE
OG0002291	sp|Q9UJJ7|RUSD1_HUMAN	tr|A0A340X180|A0A340X180_LIPVE, tr|A0A340Y162|A0A340Y162_LIPVE
OG0002292	sp|O75144|ICOSL_HUMAN, tr|A0A087X1L8|A0A087X1L8_HUMAN	tr|A0A340WZT2|A0A340WZT2_LIPVE
OG0002293	sp|P63218|GBG5_HUMAN	tr|A0A340Y4C6|A0A340Y4C6_LIPVE, tr|A0A340Y029|A0A340Y029_LIPVE
OG0002294	sp|Q5HYK3|COQ5_HUMAN	tr|A0A340WF85|A0A340WF85_LIPVE, tr|A0A340WZY1|A0A340WZY1_LIPVE
OG0002295	sp|Q96ND8|ZN583_HUMAN, sp|Q9BX82|ZN471_HUMAN	tr|A0A340X809|A0A340X809_LIPVE
OG0002296	sp|P00156|CYB_HUMAN	tr|A0A340X2F3|A0A340X2F3_LIPVE, sp|Q9MI64|CYB_LIPVE
OG0002297	sp|Q9NRH1|YAE1_HUMAN	tr|A0A340XRS7|A0A340XRS7_LIPVE, tr|A0A340Y6K2|A0A340Y6K2_LIPVE
OG0002298	sp|Q9NS37|ZHANG_HUMAN	tr|A0A340WJH2|A0A340WJH2_LIPVE, tr|A0A340WJJ3|A0A340WJJ3_LIPVE
OG0002299	sp|Q9UBK7|RBL2A_HUMAN, sp|Q9UNT1|RBL2B_HUMAN	tr|A0A340X453|A0A340X453_LIPVE
OG0002300	sp|A2RUU4|COLL1_HUMAN, sp|P04118|COL_HUMAN	tr|A0A340Y129|A0A340Y129_LIPVE
OG0002301	sp|Q8N7C3|TRIMM_HUMAN	tr|A0A340Y807|A0A340Y807_LIPVE, tr|A0A340Y1V6|A0A340Y1V6_LIPVE
OG0002302	sp|Q8TCU3|S7A13_HUMAN	tr|A0A340XNT0|A0A340XNT0_LIPVE, tr|A0A340YFH2|A0A340YFH2_LIPVE
OG0002303	sp|Q5JX69|F209B_HUMAN, sp|Q5JX71|F209A_HUMAN	tr|A0A340XSM8|A0A340XSM8_LIPVE
OG0002304	sp|P40429|RL13A_HUMAN, sp|Q6NVV1|R13P3_HUMAN	tr|A0A340XVP5|A0A340XVP5_LIPVE
OG0002305	sp|Q5JW98|CAHM4_HUMAN, sp|Q9HA72|CAHM2_HUMAN	tr|A0A340YER8|A0A340YER8_LIPVE
OG0002306	sp|Q6BCY4|NB5R2_HUMAN, sp|P00387|NB5R3_HUMAN	tr|A0A340WY63|A0A340WY63_LIPVE
OG0002307	sp|P78371|TCPB_HUMAN	tr|A0A340XWA8|A0A340XWA8_LIPVE, tr|A0A340XQH9|A0A340XQH9_LIPVE
OG0002308	sp|Q6IQ19|CCSAP_HUMAN	tr|A0A340WID1|A0A340WID1_LIPVE, tr|A0A340WBA4|A0A340WBA4_LIPVE
OG0002309	sp|Q8TCE6|DEN10_HUMAN, sp|Q6NSW5|DE10B_HUMAN	tr|A0A340YAZ7|A0A340YAZ7_LIPVE
OG0002310	sp|Q12967|GNDS_HUMAN, sp|Q8IZJ4|RGDSR_HUMAN	tr|A0A340WZU4|A0A340WZU4_LIPVE
OG0002311	sp|Q969W3|F104A_HUMAN	tr|A0A340XHG1|A0A340XHG1_LIPVE, tr|A0A340YL80|A0A340YL80_LIPVE
OG0002312	sp|Q9Y3C0|WASC3_HUMAN	tr|A0A340WGD5|A0A340WGD5_LIPVE, tr|A0A340WQI4|A0A340WQI4_LIPVE
OG0002313	sp|P82664|RT10_HUMAN	tr|A0A340X9N1|A0A340X9N1_LIPVE, tr|A0A340WIF1|A0A340WIF1_LIPVE
OG0002314	sp|O60888|CUTA_HUMAN	tr|A0A340WXF6|A0A340WXF6_LIPVE, tr|A0A340XPD9|A0A340XPD9_LIPVE
OG0002315	sp|P03897|NU3M_HUMAN	tr|Q2YG59|Q2YG59_LIPVE, tr|A0A340Y1N2|A0A340Y1N2_LIPVE
OG0002316	sp|P06401|PRGR_HUMAN	tr|A0A340WMA8|A0A340WMA8_LIPVE, tr|A0A340W845|A0A340W845_LIPVE
OG0002317	sp|Q6NUJ1|SAPL1_HUMAN, sp|P07602|SAP_HUMAN	tr|A0A340X0B7|A0A340X0B7_LIPVE
OG0002318	sp|P23396|RS3_HUMAN	tr|A0A340X7P9|A0A340X7P9_LIPVE, tr|A0A340YF65|A0A340YF65_LIPVE
OG0002319	sp|Q96ME1|FXL18_HUMAN	tr|A0A340WHY7|A0A340WHY7_LIPVE, tr|A0A340WJH0|A0A340WJH0_LIPVE
OG0002320	sp|Q9NQH7|XPP3_HUMAN	tr|A0A340X281|A0A340X281_LIPVE, tr|A0A340WGA9|A0A340WGA9_LIPVE
OG0002321	sp|Q9Y2B0|CNPY2_HUMAN	tr|A0A340Y7R1|A0A340Y7R1_LIPVE, tr|A0A340X1U8|A0A340X1U8_LIPVE
OG0002322	sp|Q8N6I1|EID2_HUMAN	tr|A0A340WXN1|A0A340WXN1_LIPVE, tr|A0A340YCX7|A0A340YCX7_LIPVE
OG0002323	sp|Q8TDU9|RL3R2_HUMAN	tr|A0A340YDR3|A0A340YDR3_LIPVE, tr|A0A340YLA5|A0A340YLA5_LIPVE
OG0002324	sp|Q9NYB9|ABI2_HUMAN	tr|A0A340X4P9|A0A340X4P9_LIPVE, tr|A0A340WCC0|A0A340WCC0_LIPVE
OG0002325	sp|Q9Y2S2|CRYL1_HUMAN	tr|A0A340XWI7|A0A340XWI7_LIPVE, tr|A0A340XAX1|A0A340XAX1_LIPVE
OG0002326	sp|P00505|AATM_HUMAN	tr|A0A340YAA8|A0A340YAA8_LIPVE, tr|A0A340WYC9|A0A340WYC9_LIPVE
OG0002327	sp|P61769|B2MG_HUMAN	tr|A0A340Y6E3|A0A340Y6E3_LIPVE, tr|A0A340WBK4|A0A340WBK4_LIPVE
OG0002328	sp|Q9BZX4|ROP1B_HUMAN, sp|Q9HAT0|ROP1A_HUMAN	tr|A0A340WJI7|A0A340WJI7_LIPVE
OG0002329	sp|Q15722|LT4R1_HUMAN, sp|Q9NPC1|LT4R2_HUMAN	tr|A0A340YGY2|A0A340YGY2_LIPVE
OG0002330	sp|O95563|MPC2_HUMAN	tr|A0A340XDI8|A0A340XDI8_LIPVE, tr|A0A340Y8J7|A0A340Y8J7_LIPVE
OG0002331	sp|P08243|ASNS_HUMAN	tr|A0A340WLJ1|A0A340WLJ1_LIPVE, tr|A0A340WVH0|A0A340WVH0_LIPVE
OG0002332	sp|P61086|UBE2K_HUMAN	tr|A0A340WLL0|A0A340WLL0_LIPVE, tr|A0A340YD30|A0A340YD30_LIPVE
