Orthogroup	Homo_sapiens	Ursus_maritimus
OG0001532	sp|Q6UX53|MET7B_HUMAN, sp|Q9H8H3|MET7A_HUMAN	tr|A0A384D7P4|A0A384D7P4_URSMA
OG0001533	sp|Q8N7X8|SIGL1_HUMAN	tr|A0A384BK62|A0A384BK62_URSMA, tr|A0A384BL01|A0A384BL01_URSMA
OG0001534	sp|Q8NH67|O52I2_HUMAN, sp|Q8NGK6|O52I1_HUMAN	tr|A0A384DF76|A0A384DF76_URSMA
OG0001535	sp|A8MZ36|EVPLL_HUMAN, sp|Q92817|EVPL_HUMAN	tr|A0A8M1GM86|A0A8M1GM86_URSMA
OG0001536	sp|Q2VPA4|CR1L_HUMAN, sp|P17927|CR1_HUMAN	tr|A0A8M1G492|A0A8M1G492_URSMA
OG0001537	sp|P37802|TAGL2_HUMAN	tr|A0A8M1GJ44|A0A8M1GJ44_URSMA, tr|A0A8M1G456|A0A8M1G456_URSMA
OG0001538	sp|P39019|RS19_HUMAN	tr|A0A8M1FD05|A0A8M1FD05_URSMA, tr|A0A452T9I1|A0A452T9I1_URSMA
OG0001539	sp|P51151|RAB9A_HUMAN	tr|A0A384DQL6|A0A384DQL6_URSMA, tr|A0A8M1G6X0|A0A8M1G6X0_URSMA
OG0001540	sp|Q00325|MPCP_HUMAN	tr|A0A8M1FGM7|A0A8M1FGM7_URSMA, tr|A0A384BUN3|A0A384BUN3_URSMA
OG0001541	sp|Q6IBS0|TWF2_HUMAN, sp|Q12792|TWF1_HUMAN	tr|A0A8M1GRE1|A0A8M1GRE1_URSMA
OG0001542	sp|Q9NNX6|CD209_HUMAN, sp|Q9H2X3|CLC4M_HUMAN	tr|A0A384DR49|A0A384DR49_URSMA
OG0001543	sp|Q6ZT62|BGIN_HUMAN, sp|Q9Y3L3|3BP1_HUMAN	tr|A0A8M1GP56|A0A8M1GP56_URSMA
OG0001544	sp|O15205|UBD_HUMAN	tr|A0A8M1GZC6|A0A8M1GZC6_URSMA, tr|A0A8M1GXU4|A0A8M1GXU4_URSMA
OG0001545	sp|P0DI82|TPC2B_HUMAN, sp|P0DI81|TPC2A_HUMAN	tr|A0A384CIG7|A0A384CIG7_URSMA
OG0001546	sp|P13500|CCL2_HUMAN, sp|P51671|CCL11_HUMAN	tr|A0A384CFP7|A0A384CFP7_URSMA
OG0001547	sp|P49286|MTR1B_HUMAN, sp|P48039|MTR1A_HUMAN	tr|A0A384DNW5|A0A384DNW5_URSMA
OG0001548	sp|P18577|RHCE_HUMAN, sp|Q02161|RHD_HUMAN	tr|A0A384CD68|A0A384CD68_URSMA
OG0001549	sp|Q06124|PTN11_HUMAN	tr|A0A8M1EY68|A0A8M1EY68_URSMA, tr|A0A8M1H0C0|A0A8M1H0C0_URSMA
OG0001550	sp|Q7Z6L0|PRRT2_HUMAN	tr|A0A8M1G5X8|A0A8M1G5X8_URSMA, tr|A0A8M1G6V0|A0A8M1G6V0_URSMA
OG0001551	sp|B5ME19|EIFCL_HUMAN, sp|Q99613|EIF3C_HUMAN	tr|A0A384BME4|A0A384BME4_URSMA
OG0001552	sp|Q9UNX3|RL26L_HUMAN, sp|P61254|RL26_HUMAN	tr|A0A384BUG1|A0A384BUG1_URSMA
OG0001553	sp|O14641|DVL2_HUMAN	tr|A0A8M1FUP4|A0A8M1FUP4_URSMA, tr|A0A8M1FTT3|A0A8M1FTT3_URSMA
OG0001554	sp|A8MWL6|SNG2L_HUMAN, sp|O43760|SNG2_HUMAN	tr|A0A8M1GMR8|A0A8M1GMR8_URSMA
OG0001555	sp|Q5VYV0|FOXB2_HUMAN	tr|A0A8M1EYZ0|A0A8M1EYZ0_URSMA, tr|A0A8M1F585|A0A8M1F585_URSMA
OG0001556	sp|Q9BUW7|BBLN_HUMAN, sp|Q8N1Y9|YI025_HUMAN	tr|A0A8M1G075|A0A8M1G075_URSMA
OG0001557	sp|P00746|CFAD_HUMAN, sp|P51124|GRAM_HUMAN	tr|A0A8M1FZZ7|A0A8M1FZZ7_URSMA
OG0001558	sp|Q15526|SURF1_HUMAN	tr|A0A452VER3|A0A452VER3_URSMA, tr|A0A8M1FXH2|A0A8M1FXH2_URSMA
OG0001559	sp|Q6PP77|XKR2_HUMAN, sp|Q5GH77|XKR3_HUMAN	tr|A0A384CYQ6|A0A384CYQ6_URSMA
OG0001560	sp|A0A1B0GWH4|HSFX3_HUMAN, sp|A0A1B0GTS1|HSFX4_HUMAN	tr|A0A8M1FP32|A0A8M1FP32_URSMA
OG0001562	sp|P35475|IDUA_HUMAN	tr|A0A8M1FLA5|A0A8M1FLA5_URSMA, tr|A0A384DKM8|A0A384DKM8_URSMA
OG0001564	sp|Q99259|DCE1_HUMAN	tr|A0A384BRY0|A0A384BRY0_URSMA, tr|A0A384D9B0|A0A384D9B0_URSMA
OG0001565	sp|Q9NPJ6|MED4_HUMAN	tr|A0A384DE19|A0A384DE19_URSMA, tr|A0A8M1GF24|A0A8M1GF24_URSMA
OG0001566	sp|Q6UWW0|LCN15_HUMAN, sp|P41222|PTGDS_HUMAN	tr|A0A8M1FYR1|A0A8M1FYR1_URSMA
OG0001567	sp|Q15907|RB11B_HUMAN, sp|P62491|RB11A_HUMAN	tr|A0A384DJ52|A0A384DJ52_URSMA
OG0001569	sp|A6NGR9|MROH6_HUMAN	tr|A0A384D7S4|A0A384D7S4_URSMA, tr|A0A8M1FF09|A0A8M1FF09_URSMA
OG0001570	sp|B2RNN3|C1T9B_HUMAN, sp|P0C862|C1T9A_HUMAN	tr|A0A384C649|A0A384C649_URSMA
OG0001571	sp|Q8ND61|CC020_HUMAN	tr|A0A384CMJ4|A0A384CMJ4_URSMA, tr|A0A8M1GCA2|A0A8M1GCA2_URSMA
OG0001572	sp|Q96A47|ISL2_HUMAN	tr|A0A8M1GS58|A0A8M1GS58_URSMA, tr|A0A8M1GS63|A0A8M1GS63_URSMA
OG0001573	sp|Q9BY60|GBRL3_HUMAN, sp|Q9H0R8|GBRL1_HUMAN	tr|A0A384CLG6|A0A384CLG6_URSMA
OG0001574	sp|P13639|EF2_HUMAN	tr|A0A8M1FVA2|A0A8M1FVA2_URSMA, tr|A0A8M1FZA7|A0A8M1FZA7_URSMA
OG0001575	sp|O15172|PSPHL_HUMAN, sp|P78330|SERB_HUMAN	tr|A0A384CPR1|A0A384CPR1_URSMA
OG0001576	sp|Q5XUX1|FBXW9_HUMAN	tr|A0A8M1FQ49|A0A8M1FQ49_URSMA, tr|A0A8M1FYB6|A0A8M1FYB6_URSMA
OG0001577	sp|Q9BRT2|UQCC2_HUMAN	tr|A0A384CA61|A0A384CA61_URSMA, tr|A0A8M1FJG2|A0A8M1FJG2_URSMA
OG0001578	sp|Q5T4F7|SFRP5_HUMAN, sp|Q8N474|SFRP1_HUMAN	tr|A0A8M1FH25|A0A8M1FH25_URSMA
OG0001580	sp|Q96N20|ZN75A_HUMAN	tr|A0A384CJJ7|A0A384CJJ7_URSMA, tr|A0A384CJI7|A0A384CJI7_URSMA
OG0001581	sp|Q9NQG6|MID51_HUMAN	tr|A0A384DAE9|A0A384DAE9_URSMA, tr|A0A8M1G264|A0A8M1G264_URSMA
OG0001582	sp|P0C7U1|ASA2B_HUMAN, sp|Q9NR71|ASAH2_HUMAN	tr|A0A384C0F3|A0A384C0F3_URSMA
OG0001583	sp|Q9NZU1|FLRT1_HUMAN	tr|A0A384DJH6|A0A384DJH6_URSMA, tr|A0A384C3G9|A0A384C3G9_URSMA
OG0001584	sp|Q96NS8|CLUP3_HUMAN, sp|O75153|CLU_HUMAN	tr|A0A8M1GQQ4|A0A8M1GQQ4_URSMA
OG0001585	sp|P16989|YBOX3_HUMAN	tr|A0A8M1FBP3|A0A8M1FBP3_URSMA, tr|A0A8M1GQV6|A0A8M1GQV6_URSMA
OG0001586	sp|P49019|HCAR3_HUMAN, sp|Q8TDS4|HCAR2_HUMAN	tr|A0A384BWT8|A0A384BWT8_URSMA
OG0001587	sp|Q8WZ33|MAFIP_HUMAN, sp|Q8WW24|TEKT4_HUMAN	tr|A0A8M1G4D0|A0A8M1G4D0_URSMA
OG0001588	sp|Q8TAX9|GSDMB_HUMAN, sp|Q96QA5|GSDMA_HUMAN	tr|A0A384BY79|A0A384BY79_URSMA
OG0001589	sp|Q9P126|CLC1B_HUMAN	tr|A0A384CLI5|A0A384CLI5_URSMA, tr|A0A384CLG3|A0A384CLG3_URSMA
OG0001590	sp|P25116|PAR1_HUMAN, sp|P55085|PAR2_HUMAN	tr|A0A8M1F440|A0A8M1F440_URSMA
OG0001591	sp|P80370|DLK1_HUMAN	tr|A0A8M1H0X2|A0A8M1H0X2_URSMA, tr|A0A8M1GNB1|A0A8M1GNB1_URSMA
OG0001592	sp|Q58G82|SY14L_HUMAN, sp|Q8NB59|SYT14_HUMAN	tr|A0A384CX96|A0A384CX96_URSMA
OG0001594	sp|Q8NGQ1|OR9G4_HUMAN	tr|A0A384CDE6|A0A384CDE6_URSMA, tr|A0A384DLZ6|A0A384DLZ6_URSMA
OG0001595	sp|P27708|PYR1_HUMAN	tr|A0A8M1F680|A0A8M1F680_URSMA, tr|A0A8M1FBT4|A0A8M1FBT4_URSMA
OG0001596	sp|P81534|D103A_HUMAN, sp|O15263|DFB4A_HUMAN	tr|A0A384DBG0|A0A384DBG0_URSMA
OG0001597	sp|O95045|UPP2_HUMAN, sp|Q16831|UPP1_HUMAN	tr|A0A384D3R6|A0A384D3R6_URSMA
OG0001598	sp|Q8NCL9|APCDL_HUMAN, sp|Q8J025|APCD1_HUMAN	tr|A0A8M1FZ72|A0A8M1FZ72_URSMA
OG0001599	sp|Q8WU10|PYRD1_HUMAN	tr|A0A8M1FGX5|A0A8M1FGX5_URSMA, tr|A0A384DES8|A0A384DES8_URSMA
OG0001600	sp|Q641Q2|WAC2A_HUMAN, sp|Q9Y4E1|WAC2C_HUMAN	tr|A0A8M1F9N6|A0A8M1F9N6_URSMA
OG0001601	sp|P14406|CX7A2_HUMAN, sp|O60397|COX7S_HUMAN	tr|A0A384BKN2|A0A384BKN2_URSMA
OG0001602	sp|Q8NH04|O2T27_HUMAN, sp|P0C7T2|OR2T7_HUMAN	tr|A0A384BH50|A0A384BH50_URSMA
OG0001603	sp|P10275|ANDR_HUMAN	tr|A0A8M1FTB5|A0A8M1FTB5_URSMA, tr|A0A8M1G540|A0A8M1G540_URSMA
OG0001604	sp|P11387|TOP1_HUMAN, sp|Q969P6|TOP1M_HUMAN	tr|A0A8M1GH57|A0A8M1GH57_URSMA
OG0001605	sp|Q15149|PLEC_HUMAN	tr|A0A8M1FE51|A0A8M1FE51_URSMA, tr|A0A8M1EWY8|A0A8M1EWY8_URSMA
OG0001606	sp|Q6NTF7|ABC3H_HUMAN	tr|A0A8M1GFI3|A0A8M1GFI3_URSMA, tr|A0A384BQR4|A0A384BQR4_URSMA
OG0001607	sp|Q75MW2|ZN767_HUMAN, sp|Q6NUN9|ZN746_HUMAN	tr|A0A8M1GY43|A0A8M1GY43_URSMA
OG0001608	sp|Q8N1Q1|CAH13_HUMAN	tr|A0A8M1F0J5|A0A8M1F0J5_URSMA, tr|A0A384BXM7|A0A384BXM7_URSMA
OG0001609	sp|P00973|OAS1_HUMAN	tr|A0A384BY08|A0A384BY08_URSMA, tr|A0A8M1F3F6|A0A8M1F3F6_URSMA
OG0001610	sp|P51610|HCFC1_HUMAN	tr|A0A8M1FHE4|A0A8M1FHE4_URSMA, tr|A0A8M1FLC4|A0A8M1FLC4_URSMA
OG0001611	sp|A6NDN8|UBIML_HUMAN, sp|P62861|RS30_HUMAN	tr|A0A384DJN9|A0A384DJN9_URSMA
OG0001612	sp|P0CF97|F200B_HUMAN, sp|Q8TCP9|F200A_HUMAN	tr|A0A384CP34|A0A384CP34_URSMA
OG0001613	sp|Q9HAB3|S52A2_HUMAN, sp|Q9NWF4|S52A1_HUMAN	tr|A0A384BIA4|A0A384BIA4_URSMA
OG0001614	sp|Q9Y2Z0|SGT1_HUMAN	tr|A0A8M1F0Y2|A0A8M1F0Y2_URSMA, tr|A0A384DDB9|A0A384DDB9_URSMA
OG0001615	sp|P01024|CO3_HUMAN	tr|A0A8M1FPW0|A0A8M1FPW0_URSMA, tr|A0A8M1FLF3|A0A8M1FLF3_URSMA
OG0001616	sp|P17947|SPI1_HUMAN	tr|A0A8M1GLU9|A0A8M1GLU9_URSMA, tr|A0A8M1GU13|A0A8M1GU13_URSMA
OG0001617	sp|W5XKT8|SACA6_HUMAN	tr|A0A8M1GA16|A0A8M1GA16_URSMA, tr|A0A8M1G2Y4|A0A8M1G2Y4_URSMA
OG0001618	sp|Q96R84|OR1F2_HUMAN, sp|O43749|OR1F1_HUMAN	tr|A0A384CJH1|A0A384CJH1_URSMA
OG0001619	sp|Q96RE7|NACC1_HUMAN	tr|A0A8M1FST3|A0A8M1FST3_URSMA, tr|A0A8M1FLF2|A0A8M1FLF2_URSMA
OG0001620	sp|Q9UJG1|MSPD1_HUMAN	tr|A0A384CZG6|A0A384CZG6_URSMA, tr|A0A8M1G3S1|A0A8M1G3S1_URSMA
OG0001621	sp|P13928|ANXA8_HUMAN, sp|Q5VT79|AXA81_HUMAN	tr|A0A8M1FB15|A0A8M1FB15_URSMA
OG0001622	sp|Q9BSH4|TACO1_HUMAN	tr|A0A384DKQ5|A0A384DKQ5_URSMA, tr|A0A8M1GKY4|A0A8M1GKY4_URSMA
OG0001623	sp|Q9H210|OR2D2_HUMAN	tr|A0A384BHH7|A0A384BHH7_URSMA, tr|A0A384DQF0|A0A384DQF0_URSMA
OG0001624	sp|Q9H6K5|PRR36_HUMAN	tr|A0A8M1FSF6|A0A8M1FSF6_URSMA, tr|A0A8M1FLG7|A0A8M1FLG7_URSMA
OG0001626	tr|A0A096LPJ9|A0A096LPJ9_HUMAN, sp|P02489|CRYAA_HUMAN	tr|A0A384DN69|A0A384DN69_URSMA
OG0001627	sp|P56693|SOX10_HUMAN	tr|A0A8M1GCS0|A0A8M1GCS0_URSMA, tr|A0A8M1GBJ7|A0A8M1GBJ7_URSMA
OG0001628	sp|Q9BWD3|RTL8A_HUMAN, sp|Q17RB0|RTL8B_HUMAN	tr|A0A384CZH0|A0A384CZH0_URSMA
OG0001629	sp|P40198|CEAM3_HUMAN, sp|O75871|CEAM4_HUMAN	tr|A0A452VDT2|A0A452VDT2_URSMA
OG0001630	sp|P52292|IMA1_HUMAN	tr|A0A8M1GWZ1|A0A8M1GWZ1_URSMA, tr|A0A384CAI1|A0A384CAI1_URSMA
OG0001631	sp|Q5JNZ3|ZN311_HUMAN	tr|A0A8M1GYJ8|A0A8M1GYJ8_URSMA, tr|A0A8M1H4R4|A0A8M1H4R4_URSMA
OG0001633	sp|Q969T4|UB2E3_HUMAN	tr|A0A8M1F7K1|A0A8M1F7K1_URSMA, tr|A0A384BT66|A0A384BT66_URSMA
OG0001634	sp|Q96HT8|MR1L1_HUMAN, sp|Q9Y605|MOFA1_HUMAN	tr|A0A384DB82|A0A384DB82_URSMA
OG0001635	sp|Q9Y3Y2|CHTOP_HUMAN	tr|A0A384CKB2|A0A384CKB2_URSMA, tr|A0A384CJ24|A0A384CJ24_URSMA
OG0001636	sp|Q8TF47|ZFP90_HUMAN, sp|Q52M93|Z585B_HUMAN	tr|A0A8M1G1D4|A0A8M1G1D4_URSMA
OG0001637	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A384DTE7|A0A384DTE7_URSMA, tr|A0A384DT69|A0A384DT69_URSMA
OG0001638	sp|Q8TA86|RP9_HUMAN	tr|A0A8M1GYX8|A0A8M1GYX8_URSMA, tr|A0A8M1GXY0|A0A8M1GXY0_URSMA
OG0001639	sp|Q86VP1|TAXB1_HUMAN	tr|A0A384BPZ3|A0A384BPZ3_URSMA, tr|A0A8M1FV94|A0A8M1FV94_URSMA
OG0001640	sp|Q9GZY4|COA1_HUMAN	tr|A0A384DQ36|A0A384DQ36_URSMA, tr|A0A8M1GYU1|A0A8M1GYU1_URSMA
OG0001641	sp|Q15399|TLR1_HUMAN, sp|Q9Y2C9|TLR6_HUMAN	tr|A0A8M1FK05|A0A8M1FK05_URSMA
OG0001642	sp|Q6ZVS7|F183B_HUMAN, sp|A6NL82|F183A_HUMAN	tr|A0A8M1FKV1|A0A8M1FKV1_URSMA
OG0001643	sp|O95944|NCTR2_HUMAN, sp|Q6UXN2|TRML4_HUMAN	tr|A0A8M1GUF9|A0A8M1GUF9_URSMA
OG0001644	sp|P16109|LYAM3_HUMAN	tr|A0A8M1FJJ3|A0A8M1FJJ3_URSMA, tr|A0A8M1GB98|A0A8M1GB98_URSMA
OG0001645	sp|Q9NV66|TYW1_HUMAN, sp|Q6NUM6|TYW1B_HUMAN	tr|A0A384CPQ4|A0A384CPQ4_URSMA
OG0001646	sp|Q9UJW3|DNM3L_HUMAN, tr|A0A096LPK6|A0A096LPK6_HUMAN	tr|A0A8M1F6V1|A0A8M1F6V1_URSMA
OG0001647	sp|A0A1W2PPF3|DUXB_HUMAN	tr|A0A8M1G655|A0A8M1G655_URSMA, tr|A0A8M1F9X4|A0A8M1F9X4_URSMA
OG0001648	sp|P19429|TNNI3_HUMAN, sp|P19237|TNNI1_HUMAN	tr|A0A384BL94|A0A384BL94_URSMA
OG0001649	sp|O75152|ZC11A_HUMAN, sp|A0A1B0GTU1|ZC11B_HUMAN	tr|A0A384BLC4|A0A384BLC4_URSMA
OG0001650	sp|P07355|ANXA2_HUMAN, sp|A6NMY6|AXA2L_HUMAN	tr|A0A384DB73|A0A384DB73_URSMA
OG0001651	sp|Q5SWA1|PR15B_HUMAN	tr|A0A8M1G9W2|A0A8M1G9W2_URSMA, tr|A0A384CTD4|A0A384CTD4_URSMA
OG0001652	sp|Q96EF0|MTMR8_HUMAN, sp|Q9Y217|MTMR6_HUMAN	tr|A0A8M1F626|A0A8M1F626_URSMA
OG0001653	sp|Q96P20|NLRP3_HUMAN	tr|A0A384DTD1|A0A384DTD1_URSMA, tr|A0A8M1FMW1|A0A8M1FMW1_URSMA
OG0001654	sp|Q9P2F6|RHG20_HUMAN	tr|A0A384BYS4|A0A384BYS4_URSMA, tr|A0A8M1FUZ5|A0A8M1FUZ5_URSMA
OG0001655	sp|Q9UPT6|JIP3_HUMAN	tr|A0A8M1G9H4|A0A8M1G9H4_URSMA, tr|A0A8M1G9Z0|A0A8M1G9Z0_URSMA
OG0001656	sp|P18825|ADA2C_HUMAN	tr|A0A8M1FBU5|A0A8M1FBU5_URSMA, tr|A0A8M1FBS3|A0A8M1FBS3_URSMA
OG0001657	sp|O43921|EFNA2_HUMAN, sp|P52803|EFNA5_HUMAN	tr|A0A8M1F3M2|A0A8M1F3M2_URSMA
OG0001658	sp|Q15417|CNN3_HUMAN	tr|A0A384CM82|A0A384CM82_URSMA, tr|A0A8M1G5N7|A0A8M1G5N7_URSMA
OG0001659	sp|Q8NGH7|O52L1_HUMAN, sp|Q8NGH6|O52L2_HUMAN	tr|A0A384DQ90|A0A384DQ90_URSMA
OG0001660	sp|Q99816|TS101_HUMAN	tr|A0A8M1H0A1|A0A8M1H0A1_URSMA, tr|A0A8M1GGM5|A0A8M1GGM5_URSMA
OG0001661	sp|P32242|OTX1_HUMAN	tr|A0A8M1F7D7|A0A8M1F7D7_URSMA, tr|A0A8M1F892|A0A8M1F892_URSMA
OG0001662	sp|P57086|SCND1_HUMAN	tr|A0A8M1GEV4|A0A8M1GEV4_URSMA, tr|A0A384CDE1|A0A384CDE1_URSMA
OG0001663	sp|O95661|DIRA3_HUMAN, sp|Q96HU8|DIRA2_HUMAN	tr|A0A384C2L9|A0A384C2L9_URSMA
OG0001664	sp|Q9UPQ9|TNR6B_HUMAN	tr|A0A8M1GCX1|A0A8M1GCX1_URSMA, tr|A0A452UFC7|A0A452UFC7_URSMA
OG0001665	sp|P29728|OAS2_HUMAN, sp|Q9Y6K5|OAS3_HUMAN	tr|A0A384BXA8|A0A384BXA8_URSMA
OG0001666	sp|O95170|CDRT1_HUMAN, sp|Q5XX13|FBW10_HUMAN	tr|A0A384BPP9|A0A384BPP9_URSMA
OG0001667	sp|O00154|BACH_HUMAN, sp|Q6ZUV0|BACHL_HUMAN	tr|A0A384CDU2|A0A384CDU2_URSMA
OG0001668	sp|P0DMW5|SIL2B_HUMAN, sp|P0DMW4|SIL2A_HUMAN	tr|A0A8M1FJD3|A0A8M1FJD3_URSMA
OG0001669	sp|Q9UQC2|GAB2_HUMAN, sp|Q2WGN9|GAB4_HUMAN	tr|A0A8M1FXD5|A0A8M1FXD5_URSMA
OG0001670	sp|Q6ZRH7|CTSRG_HUMAN	tr|A0A8M1G5I1|A0A8M1G5I1_URSMA, tr|A0A8M1G4W7|A0A8M1G4W7_URSMA
OG0001671	sp|Q5TZA2|CROCC_HUMAN, sp|Q8IVE0|CROL2_HUMAN	tr|A0A8M1H337|A0A8M1H337_URSMA
OG0001672	sp|Q8N7B9|EFCB3_HUMAN	tr|A0A8M1GN70|A0A8M1GN70_URSMA, tr|A0A384CAD0|A0A384CAD0_URSMA
OG0001673	sp|O14602|IF1AY_HUMAN, sp|P47813|IF1AX_HUMAN	tr|A0A8M1G411|A0A8M1G411_URSMA
OG0001674	sp|P0CG35|TB15B_HUMAN, sp|P0CG34|TB15A_HUMAN	tr|A0A8M1FZ54|A0A8M1FZ54_URSMA
OG0001675	sp|P51864|TDGF3_HUMAN, sp|P13385|TDGF1_HUMAN	tr|A0A384D5M0|A0A384D5M0_URSMA
OG0001676	sp|P60510|PP4C_HUMAN	tr|A0A8M1GVB2|A0A8M1GVB2_URSMA, tr|A0A384BLI7|A0A384BLI7_URSMA
OG0001677	sp|Q99676|ZN184_HUMAN	tr|A0A452TWU8|A0A452TWU8_URSMA, tr|A0A384C8P5|A0A384C8P5_URSMA
OG0001678	sp|P68036|UB2L3_HUMAN, sp|A0A1B0GUS4|UB2L5_HUMAN	tr|A0A8M1F0D3|A0A8M1F0D3_URSMA
OG0001679	sp|P00492|HPRT_HUMAN	tr|A0A8M1FSU9|A0A8M1FSU9_URSMA, tr|A0A384CQA4|A0A384CQA4_URSMA
OG0001680	sp|P03956|MMP1_HUMAN	tr|A0A384C0K8|A0A384C0K8_URSMA, tr|A0A384C1R2|A0A384C1R2_URSMA
OG0001681	sp|A0A0B4J2D5|GAL3B_HUMAN, sp|P0DPI2|GAL3A_HUMAN	tr|A0A8M1FAF2|A0A8M1FAF2_URSMA
OG0001682	sp|P10071|GLI3_HUMAN	tr|A0A8M1GYT6|A0A8M1GYT6_URSMA, tr|A0A8M1GXP1|A0A8M1GXP1_URSMA
OG0001683	sp|Q8IZX4|TAF1L_HUMAN, sp|P21675|TAF1_HUMAN	tr|A0A8M1FTZ3|A0A8M1FTZ3_URSMA
OG0001684	sp|Q8N5W8|FA24B_HUMAN, sp|A6NFZ4|FA24A_HUMAN	tr|A0A384BLX9|A0A384BLX9_URSMA
OG0001685	sp|Q9Y657|SPIN1_HUMAN	tr|A0A8M1F6H9|A0A8M1F6H9_URSMA, tr|A0A384C3Y5|A0A384C3Y5_URSMA
OG0001686	sp|O60512|B4GT3_HUMAN	tr|A0A384CVT1|A0A384CVT1_URSMA, tr|A0A384BK55|A0A384BK55_URSMA
OG0001687	sp|O75494|SRS10_HUMAN	tr|A0A384C2Y4|A0A384C2Y4_URSMA, tr|A0A8M1EVV0|A0A8M1EVV0_URSMA
OG0001688	sp|P00450|CERU_HUMAN	tr|A0A384DEX8|A0A384DEX8_URSMA, tr|A0A384DEW6|A0A384DEW6_URSMA
OG0001689	sp|Q9H1U9|S2551_HUMAN, sp|Q3SY17|S2552_HUMAN	tr|A0A384DGG3|A0A384DGG3_URSMA
OG0001690	sp|Q4G0T1|SRCRM_HUMAN	tr|A0A384BGM5|A0A384BGM5_URSMA, tr|A0A8M1FB19|A0A8M1FB19_URSMA
OG0001691	sp|Q6IB77|GLYAT_HUMAN	tr|A0A384CC15|A0A384CC15_URSMA, tr|A0A384CD90|A0A384CD90_URSMA
OG0001692	sp|Q9NZK7|PA2GE_HUMAN, sp|P14555|PA2GA_HUMAN	tr|A0A8M1F0G8|A0A8M1F0G8_URSMA
OG0001693	sp|Q92949|FOXJ1_HUMAN	tr|A0A8M1GJC6|A0A8M1GJC6_URSMA, tr|A0A8M1GN51|A0A8M1GN51_URSMA
OG0001694	sp|Q6P1Q9|MET2B_HUMAN, sp|Q96IZ6|MET2A_HUMAN	tr|A0A8M1GNM4|A0A8M1GNM4_URSMA
OG0001695	sp|Q9UHI7|S23A1_HUMAN	tr|A0A384DFQ5|A0A384DFQ5_URSMA, tr|A0A8M1FBZ7|A0A8M1FBZ7_URSMA
OG0001697	sp|A6NGB0|T191C_HUMAN, sp|P0C7N4|T191B_HUMAN	tr|A0A8M1F1V4|A0A8M1F1V4_URSMA
OG0001698	sp|P0CG47|UBB_HUMAN	tr|A0A8M1FRL2|A0A8M1FRL2_URSMA, tr|A0A384BWP8|A0A384BWP8_URSMA
OG0001699	sp|P0CW23|AKAI1_HUMAN, sp|Q9P0M2|AKA7G_HUMAN	tr|A0A8M1FK24|A0A8M1FK24_URSMA
OG0001700	sp|Q8TD33|SG1C1_HUMAN, sp|P0DMR2|SG1C2_HUMAN	tr|A0A8M1GT73|A0A8M1GT73_URSMA
OG0001701	sp|Q14032|BAAT_HUMAN	tr|A0A384DHG4|A0A384DHG4_URSMA, tr|A0A384DGG1|A0A384DGG1_URSMA
OG0001702	sp|Q8N0T1|RBIS_HUMAN	tr|A0A384DND8|A0A384DND8_URSMA, tr|A0A384BXL8|A0A384BXL8_URSMA
OG0001703	sp|P59780|AP3S2_HUMAN, sp|Q92572|AP3S1_HUMAN	tr|A0A8M1FCJ2|A0A8M1FCJ2_URSMA
OG0001704	sp|Q9GZS9|CHST5_HUMAN, sp|Q9GZX3|CHST6_HUMAN	tr|A0A8M1G1N2|A0A8M1G1N2_URSMA
OG0001705	sp|P02745|C1QA_HUMAN	tr|A0A384CEH5|A0A384CEH5_URSMA, tr|A0A384CEM3|A0A384CEM3_URSMA
OG0001706	sp|P0CK96|S352B_HUMAN, sp|P0CK97|S35E2_HUMAN	tr|A0A384DS67|A0A384DS67_URSMA
OG0001707	sp|Q6A1A2|PDPK2_HUMAN, sp|O15530|PDPK1_HUMAN	tr|A0A8M1G716|A0A8M1G716_URSMA
OG0001708	sp|Q8IYS8|BD1L2_HUMAN, sp|Q96IK1|BOD1_HUMAN	tr|A0A384C7Y8|A0A384C7Y8_URSMA
OG0001709	sp|O94903|PLPHP_HUMAN	tr|A0A384BRE1|A0A384BRE1_URSMA, tr|A0A384BQE2|A0A384BQE2_URSMA
OG0001710	sp|Q13907|IDI1_HUMAN, sp|Q9BXS1|IDI2_HUMAN	tr|A0A384D2T7|A0A384D2T7_URSMA
OG0001711	sp|O43374|RASL2_HUMAN, sp|C9J798|RAS4B_HUMAN	tr|A0A8M1G5D4|A0A8M1G5D4_URSMA
OG0001712	sp|P08913|ADA2A_HUMAN	tr|A0A8M1FEC6|A0A8M1FEC6_URSMA, tr|A0A8M1FES4|A0A8M1FES4_URSMA
OG0001713	sp|P17302|CXA1_HUMAN	tr|A0A8M1G285|A0A8M1G285_URSMA, tr|A0A384C3C9|A0A384C3C9_URSMA
OG0001714	sp|Q02930|CREB5_HUMAN	tr|A0A8M1GY00|A0A8M1GY00_URSMA, tr|A0A452T2V7|A0A452T2V7_URSMA
OG0001715	sp|Q9BY27|DGC6L_HUMAN, sp|Q14129|DGCR6_HUMAN	tr|A0A8M1F141|A0A8M1F141_URSMA
OG0001716	sp|Q86X55|CARM1_HUMAN	tr|A0A8M1FPF5|A0A8M1FPF5_URSMA, tr|A0A8M1EZ18|A0A8M1EZ18_URSMA
