Orthogroup	Homo_sapiens	Vombatus_ursinus
OG0000322	sp|Q9NY91|SC5A4_HUMAN	tr|A0A4X2LFA3|A0A4X2LFA3_VOMUR
OG0000322	sp|P13866|SC5A1_HUMAN	tr|A0A4X2KU08|A0A4X2KU08_VOMUR
OG0000322	sp|P53794|SC5A3_HUMAN, sp|P31639|SC5A2_HUMAN	tr|A0A4X2KJH8|A0A4X2KJH8_VOMUR
OG0000323	sp|Q92952|KCNN1_HUMAN	tr|A0A4X2LCD8|A0A4X2LCD8_VOMUR
OG0000323	sp|Q9H2S1|KCNN2_HUMAN	tr|A0A4X2KDV7|A0A4X2KDV7_VOMUR
OG0000323	sp|Q9UGI6|KCNN3_HUMAN	tr|A0A4X2M4X4|A0A4X2M4X4_VOMUR, tr|A0A4X2LF72|A0A4X2LF72_VOMUR
OG0000324	sp|Q9P0X4|CAC1I_HUMAN	tr|A0A4X2K341|A0A4X2K341_VOMUR
OG0000324	sp|O95180|CAC1H_HUMAN	tr|A0A4X2LA55|A0A4X2LA55_VOMUR
OG0000324	sp|O43497|CAC1G_HUMAN	tr|A0A4X2M8B3|A0A4X2M8B3_VOMUR, tr|A0A4X2M1F8|A0A4X2M1F8_VOMUR
OG0000325	sp|P08603|CFAH_HUMAN, sp|Q9BXR6|FHR5_HUMAN, sp|Q02985|FHR3_HUMAN, sp|Q92496|FHR4_HUMAN, sp|Q03591|FHR1_HUMAN, sp|P36980|FHR2_HUMAN	tr|A0A4X2KIK3|A0A4X2KIK3_VOMUR
OG0000326	sp|Q9BYE3|LCE3D_HUMAN, sp|Q5T5B0|LCE3E_HUMAN, sp|Q5T5A8|LCE3C_HUMAN, sp|Q5TA76|LCE3A_HUMAN, sp|Q5TA77|LCE3B_HUMAN, sp|Q5TA78|LCE4A_HUMAN	tr|A0A4X2LNZ4|A0A4X2LNZ4_VOMUR
OG0000327	sp|Q92688|AN32B_HUMAN	tr|A0A4X2L0F8|A0A4X2L0F8_VOMUR
OG0000327	sp|P39687|AN32A_HUMAN, sp|O43423|AN32C_HUMAN, sp|O95626|AN32D_HUMAN	tr|A0A4X2M7Z2|A0A4X2M7Z2_VOMUR, tr|A0A4X2LPI3|A0A4X2LPI3_VOMUR
OG0000328	sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NH94|OR1L1_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NGR8|OR1L8_HUMAN, sp|Q15612|OR1Q1_HUMAN	tr|A0A4X2LJL3|A0A4X2LJL3_VOMUR
OG0000329	sp|P78352|DLG4_HUMAN	tr|A0A4X2JUG5|A0A4X2JUG5_VOMUR
OG0000329	sp|Q12959|DLG1_HUMAN, sp|Q15700|DLG2_HUMAN, sp|Q92796|DLG3_HUMAN	tr|A0A4X2KE79|A0A4X2KE79_VOMUR, tr|A0A4X2L395|A0A4X2L395_VOMUR
OG0000330	sp|P13584|CP4B1_HUMAN	tr|A0A4X2LQ05|A0A4X2LQ05_VOMUR, tr|A0A4X2LDD3|A0A4X2LDD3_VOMUR, tr|A0A4X2LLF6|A0A4X2LLF6_VOMUR, tr|A0A4X2LPQ3|A0A4X2LPQ3_VOMUR, tr|A0A4X2LDE5|A0A4X2LDE5_VOMUR, tr|A0A4X2LDG3|A0A4X2LDG3_VOMUR
OG0000331	sp|P19440|GGT1_HUMAN, sp|P36268|GGT2_HUMAN, sp|A6NGU5|GGT3_HUMAN, sp|B5MD39|GGTL3_HUMAN, sp|Q9BX51|GGTL1_HUMAN, sp|Q14390|GGTL2_HUMAN	tr|A0A4X2M151|A0A4X2M151_VOMUR
OG0000332	sp|Q8TDB6|DTX3L_HUMAN	tr|A0A4X2KED1|A0A4X2KED1_VOMUR, tr|A0A4X2LVA1|A0A4X2LVA1_VOMUR, tr|A0A4X2LIV0|A0A4X2LIV0_VOMUR, tr|A0A4X2LNP1|A0A4X2LNP1_VOMUR, tr|A0A4X2LZ03|A0A4X2LZ03_VOMUR, tr|A0A4X2M0Q9|A0A4X2M0Q9_VOMUR
OG0000333	sp|Q6U7Q0|ZN322_HUMAN	tr|A0A4X2L6F8|A0A4X2L6F8_VOMUR, tr|A0A4X2KXR0|A0A4X2KXR0_VOMUR
OG0000333	sp|P17026|ZNF22_HUMAN	tr|A0A4X2LYG0|A0A4X2LYG0_VOMUR
OG0000333	sp|Q8N8Y5|ZFP41_HUMAN	tr|A0A4X2JTN3|A0A4X2JTN3_VOMUR
OG0000334	sp|Q16875|F263_HUMAN	tr|A0A4X2JPC1|A0A4X2JPC1_VOMUR
OG0000334	sp|O60825|F262_HUMAN	tr|A0A4X2L0Y5|A0A4X2L0Y5_VOMUR
OG0000334	sp|P16118|F261_HUMAN, sp|Q16877|F264_HUMAN	tr|A0A4X2LSM0|A0A4X2LSM0_VOMUR
OG0000335	sp|Q9H223|EHD4_HUMAN	tr|A0A4X2KHT0|A0A4X2KHT0_VOMUR
OG0000335	sp|Q9NZN3|EHD3_HUMAN	tr|A0A4X2LYG2|A0A4X2LYG2_VOMUR
OG0000335	sp|Q9H4M9|EHD1_HUMAN	tr|A0A4X2K3V0|A0A4X2K3V0_VOMUR
OG0000337	sp|Q8IWY4|SCUB1_HUMAN	tr|A0A4X2KDC1|A0A4X2KDC1_VOMUR
OG0000337	sp|Q9NQ36|SCUB2_HUMAN	tr|A0A4X2K8N0|A0A4X2K8N0_VOMUR
OG0000337	sp|Q8IX30|SCUB3_HUMAN	tr|A0A4X2LI55|A0A4X2LI55_VOMUR, tr|A0A4X2LI61|A0A4X2LI61_VOMUR
OG0000338	sp|P49913|CAMP_HUMAN	tr|A0A4X2KYM2|A0A4X2KYM2_VOMUR, tr|A0A4X2KYM8|A0A4X2KYM8_VOMUR, tr|A0A4X2KTY3|A0A4X2KTY3_VOMUR, tr|A0A4X2M5S5|A0A4X2M5S5_VOMUR, tr|A0A4X2M5T0|A0A4X2M5T0_VOMUR, tr|A0A4X2LIM4|A0A4X2LIM4_VOMUR
OG0000339	sp|P47883|OR3A4_HUMAN	tr|A0A4X2M9A4|A0A4X2M9A4_VOMUR, tr|A0A4X2LPF1|A0A4X2LPF1_VOMUR
OG0000339	sp|P47888|OR3A3_HUMAN, sp|P47893|OR3A2_HUMAN, sp|P47881|OR3A1_HUMAN	tr|A0A4X2L487|A0A4X2L487_VOMUR
OG0000340	sp|P33527|MRP1_HUMAN	tr|A0A4X2KGY8|A0A4X2KGY8_VOMUR
OG0000340	sp|O15438|MRP3_HUMAN	tr|A0A4X2LUY7|A0A4X2LUY7_VOMUR
OG0000340	sp|O95255|MRP6_HUMAN	tr|A0A4X2LXS1|A0A4X2LXS1_VOMUR, tr|A0A4X2K9A9|A0A4X2K9A9_VOMUR
OG0000341	sp|Q5QGZ9|CL12A_HUMAN, sp|Q6UXN8|CLC9A_HUMAN, sp|Q9BXN2|CLC7A_HUMAN, sp|P78380|OLR1_HUMAN, sp|Q2HXU8|CL12B_HUMAN, sp|Q8NC01|CLC1A_HUMAN	tr|A0A4X2KIA7|A0A4X2KIA7_VOMUR
OG0000342	sp|Q96PY5|FMNL2_HUMAN	tr|A0A4X2LBY1|A0A4X2LBY1_VOMUR, tr|A0A4X2M486|A0A4X2M486_VOMUR
OG0000342	sp|O95466|FMNL1_HUMAN	tr|A0A4X2KNM1|A0A4X2KNM1_VOMUR
OG0000342	sp|Q8IVF7|FMNL3_HUMAN	tr|A0A4X2KHA1|A0A4X2KHA1_VOMUR
OG0000343	sp|Q99758|ABCA3_HUMAN	tr|A0A4X2KJW3|A0A4X2KJW3_VOMUR, tr|A0A4X2LF17|A0A4X2LF17_VOMUR, tr|A0A4X2M0G3|A0A4X2M0G3_VOMUR, tr|A0A4X2M5U5|A0A4X2M5U5_VOMUR, tr|A0A4X2KAP2|A0A4X2KAP2_VOMUR, tr|A0A4X2KQW7|A0A4X2KQW7_VOMUR
OG0000344	sp|Q8NGE7|OR9K2_HUMAN	tr|A0A4X2KNC0|A0A4X2KNC0_VOMUR, tr|A0A4X2KG69|A0A4X2KG69_VOMUR, tr|A0A4X2KNB0|A0A4X2KNB0_VOMUR, tr|A0A4X2K9J4|A0A4X2K9J4_VOMUR, tr|A0A4X2KNY4|A0A4X2KNY4_VOMUR, tr|A0A4X2KFZ6|A0A4X2KFZ6_VOMUR
OG0000345	sp|P99999|CYC_HUMAN	tr|A0A4X2JYK6|A0A4X2JYK6_VOMUR, tr|A0A4X2KF76|A0A4X2KF76_VOMUR, tr|A0A4X2KEJ1|A0A4X2KEJ1_VOMUR, tr|A0A4X2JNK0|A0A4X2JNK0_VOMUR, tr|A0A4X2LWL2|A0A4X2LWL2_VOMUR, tr|A0A4X2KUX2|A0A4X2KUX2_VOMUR
OG0000346	sp|Q8N1N0|CLC4F_HUMAN	tr|A0A4X2JP04|A0A4X2JP04_VOMUR, tr|A0A4X2JUQ0|A0A4X2JUQ0_VOMUR
OG0000346	sp|Q9UJ71|CLC4K_HUMAN	tr|A0A4X2JUG7|A0A4X2JUG7_VOMUR, tr|A0A4X2JS20|A0A4X2JS20_VOMUR, tr|A0A4X2LYJ9|A0A4X2LYJ9_VOMUR
OG0000347	sp|P47989|XDH_HUMAN	tr|A0A4X2LYD6|A0A4X2LYD6_VOMUR
OG0000347	sp|Q06278|AOXA_HUMAN	tr|A0A4X2L1C3|A0A4X2L1C3_VOMUR, tr|A0A4X2L102|A0A4X2L102_VOMUR, tr|A0A4X2LQ40|A0A4X2LQ40_VOMUR, tr|A0A4X2KQK3|A0A4X2KQK3_VOMUR
OG0000348	sp|Q15438|CYH1_HUMAN	tr|A0A4X2KTE8|A0A4X2KTE8_VOMUR
OG0000348	sp|Q99418|CYH2_HUMAN	tr|A0A4X2KYQ5|A0A4X2KYQ5_VOMUR
OG0000348	sp|O43739|CYH3_HUMAN	tr|A0A4X2LPD2|A0A4X2LPD2_VOMUR, tr|A0A4X2LGR7|A0A4X2LGR7_VOMUR
OG0000349	sp|Q9HA82|CERS4_HUMAN	tr|A0A4X2ME84|A0A4X2ME84_VOMUR, tr|A0A4X2MCL9|A0A4X2MCL9_VOMUR, tr|A0A4X2MF43|A0A4X2MF43_VOMUR, tr|A0A4X2ME69|A0A4X2ME69_VOMUR, tr|A0A4X2MF62|A0A4X2MF62_VOMUR, tr|A0A4X2M7V3|A0A4X2M7V3_VOMUR
OG0000350	sp|P23396|RS3_HUMAN	tr|A0A4X2LN67|A0A4X2LN67_VOMUR, tr|A0A4X2KKM1|A0A4X2KKM1_VOMUR, tr|A0A4X2K358|A0A4X2K358_VOMUR, tr|A0A4X2K7P3|A0A4X2K7P3_VOMUR, tr|A0A4X2LFL9|A0A4X2LFL9_VOMUR, tr|A0A4X2KA33|A0A4X2KA33_VOMUR
OG0000351	sp|O75123|ZN623_HUMAN	tr|A0A4X2JZQ0|A0A4X2JZQ0_VOMUR, tr|A0A4X2JS75|A0A4X2JS75_VOMUR, tr|A0A4X2KYF1|A0A4X2KYF1_VOMUR, tr|A0A4X2MAC4|A0A4X2MAC4_VOMUR, tr|A0A4X2M9W4|A0A4X2M9W4_VOMUR, tr|A0A4X2MES4|A0A4X2MES4_VOMUR
OG0000352	sp|Q15004|PAF15_HUMAN	tr|A0A4X2LH24|A0A4X2LH24_VOMUR, tr|A0A4X2KHI0|A0A4X2KHI0_VOMUR, tr|A0A4X2KRE1|A0A4X2KRE1_VOMUR, tr|A0A4X2KY71|A0A4X2KY71_VOMUR, tr|A0A4X2KFY6|A0A4X2KFY6_VOMUR, tr|A0A4X2LEH2|A0A4X2LEH2_VOMUR
OG0000353	sp|Q96PJ5|FCRL4_HUMAN	tr|A0A4X2L033|A0A4X2L033_VOMUR, tr|A0A4X2JTR2|A0A4X2JTR2_VOMUR, tr|A0A4X2L833|A0A4X2L833_VOMUR, tr|A0A4X2L8C0|A0A4X2L8C0_VOMUR, tr|A0A4X2LAG7|A0A4X2LAG7_VOMUR, tr|A0A4X2L725|A0A4X2L725_VOMUR
OG0000354	sp|P51648|AL3A2_HUMAN	tr|A0A4X2KK85|A0A4X2KK85_VOMUR
OG0000354	sp|P30838|AL3A1_HUMAN	tr|A0A4X2KCX4|A0A4X2KCX4_VOMUR, tr|A0A4X2K3T6|A0A4X2K3T6_VOMUR, tr|A0A4X2KJZ6|A0A4X2KJZ6_VOMUR, tr|A0A4X2KK26|A0A4X2KK26_VOMUR
OG0000355	sp|Q8TDS7|MRGRD_HUMAN	tr|A0A4X2M7H5|A0A4X2M7H5_VOMUR, tr|A0A4X2KYP6|A0A4X2KYP6_VOMUR, tr|A0A4X2L3L4|A0A4X2L3L4_VOMUR, tr|A0A4X2L531|A0A4X2L531_VOMUR, tr|A0A4X2KPQ1|A0A4X2KPQ1_VOMUR, tr|A0A4X2L3N7|A0A4X2L3N7_VOMUR
OG0000364	sp|Q9NR90|DAZ3_HUMAN, sp|Q86SG3|DAZ4_HUMAN, sp|Q9NQZ3|DAZ1_HUMAN, sp|Q13117|DAZ2_HUMAN, sp|Q92904|DAZL_HUMAN	tr|A0A4X2LU30|A0A4X2LU30_VOMUR
OG0000365	sp|Q14185|DOCK1_HUMAN	tr|A0A4X2MDT8|A0A4X2MDT8_VOMUR
OG0000365	sp|Q9H7D0|DOCK5_HUMAN	tr|A0A4X2JQG6|A0A4X2JQG6_VOMUR
OG0000365	sp|Q92608|DOCK2_HUMAN	tr|A0A4X2K075|A0A4X2K075_VOMUR
OG0000366	sp|O94823|AT10B_HUMAN	tr|A0A4X2K6X2|A0A4X2K6X2_VOMUR
OG0000366	sp|O60312|AT10A_HUMAN	tr|A0A4X2KVN2|A0A4X2KVN2_VOMUR
OG0000366	sp|Q9P241|AT10D_HUMAN	tr|A0A4X2KIC6|A0A4X2KIC6_VOMUR
OG0000367	sp|Q9UFH2|DYH17_HUMAN	tr|A0A4X2KN39|A0A4X2KN39_VOMUR
OG0000367	sp|Q96DT5|DYH11_HUMAN	tr|A0A4X2K5L1|A0A4X2K5L1_VOMUR
OG0000367	sp|Q9NYC9|DYH9_HUMAN	tr|A0A4X2LC28|A0A4X2LC28_VOMUR
OG0000368	sp|Q8NCW6|GLT11_HUMAN	tr|A0A4X2KNA1|A0A4X2KNA1_VOMUR
OG0000368	sp|Q7Z4T8|GLTL5_HUMAN	tr|A0A4X2KFE7|A0A4X2KFE7_VOMUR, tr|A0A4X2M8J1|A0A4X2M8J1_VOMUR, tr|A0A4X2KMI9|A0A4X2KMI9_VOMUR
OG0000369	sp|O95450|ATS2_HUMAN	tr|A0A4X2KHW2|A0A4X2KHW2_VOMUR
OG0000369	sp|Q8WXS8|ATS14_HUMAN	tr|A0A4X2LBH8|A0A4X2LBH8_VOMUR
OG0000369	sp|O15072|ATS3_HUMAN	tr|A0A4X2KJR1|A0A4X2KJR1_VOMUR
OG0000371	sp|O43186|CRX_HUMAN, sp|A6NJG6|ARGFX_HUMAN	tr|A0A4X2JWF1|A0A4X2JWF1_VOMUR
OG0000371	sp|P32243|OTX2_HUMAN, sp|P32242|OTX1_HUMAN	tr|A0A4X2KYS9|A0A4X2KYS9_VOMUR
OG0000372	sp|P01034|CYTC_HUMAN, sp|P28325|CYTD_HUMAN, sp|P09228|CYTT_HUMAN, sp|P01036|CYTS_HUMAN, sp|P01037|CYTN_HUMAN	tr|A0A4X2LHK0|A0A4X2LHK0_VOMUR
OG0000373	sp|P48443|RXRG_HUMAN	tr|A0A4X2K220|A0A4X2K220_VOMUR
OG0000373	sp|P19793|RXRA_HUMAN	tr|A0A4X2KGV1|A0A4X2KGV1_VOMUR
OG0000373	sp|P28702|RXRB_HUMAN	tr|A0A4X2LF45|A0A4X2LF45_VOMUR
OG0000374	sp|P51160|PDE6C_HUMAN	tr|A0A4X2LXF7|A0A4X2LXF7_VOMUR
OG0000374	sp|P16499|PDE6A_HUMAN, sp|P35913|PDE6B_HUMAN	tr|A0A4X2L608|A0A4X2L608_VOMUR, tr|A0A4X2LKK0|A0A4X2LKK0_VOMUR
OG0000376	sp|Q5T2Q4|CCYL2_HUMAN, sp|P0C7X3|CCYL3_HUMAN, sp|Q8N7R7|CCYL1_HUMAN	tr|A0A4X2K252|A0A4X2K252_VOMUR
OG0000376	sp|Q8ND76|CCNY_HUMAN	tr|A0A4X2M0A7|A0A4X2M0A7_VOMUR
OG0000377	sp|Q8NDX2|VGLU3_HUMAN	tr|A0A4X2MD15|A0A4X2MD15_VOMUR
OG0000377	sp|Q9P2U8|VGLU2_HUMAN	tr|A0A4X2K1Y5|A0A4X2K1Y5_VOMUR
OG0000377	sp|Q9P2U7|VGLU1_HUMAN	tr|A0A4X2KUX0|A0A4X2KUX0_VOMUR
OG0000378	sp|Q8NF50|DOCK8_HUMAN	tr|A0A4X2KIM5|A0A4X2KIM5_VOMUR
OG0000378	sp|Q96N67|DOCK7_HUMAN	tr|A0A4X2KIR2|A0A4X2KIR2_VOMUR
OG0000378	sp|Q96HP0|DOCK6_HUMAN	tr|A0A4X2KT50|A0A4X2KT50_VOMUR
OG0000379	sp|Q7Z407|CSMD3_HUMAN	tr|A0A4X2LL79|A0A4X2LL79_VOMUR
OG0000379	sp|Q96PZ7|CSMD1_HUMAN	tr|A0A4X2KH46|A0A4X2KH46_VOMUR
OG0000379	sp|Q7Z408|CSMD2_HUMAN	tr|A0A4X2K186|A0A4X2K186_VOMUR
OG0000380	sp|Q5JUX0|SPIN3_HUMAN, sp|Q99865|SPI2A_HUMAN, sp|Q9BPZ2|SPI2B_HUMAN, sp|Q56A73|SPIN4_HUMAN, sp|Q9Y657|SPIN1_HUMAN	tr|A0A4X2KSC1|A0A4X2KSC1_VOMUR
OG0000381	sp|A6NFQ2|TCAF2_HUMAN, tr|A0A1B0GVM2|A0A1B0GVM2_HUMAN, sp|Q9Y4C2|TCAF1_HUMAN	tr|A0A4X2M363|A0A4X2M363_VOMUR, tr|A0A4X2M7L4|A0A4X2M7L4_VOMUR, tr|A0A4X2M948|A0A4X2M948_VOMUR
OG0000382	sp|P62760|VISL1_HUMAN	tr|A0A4X2M480|A0A4X2M480_VOMUR
OG0000382	sp|P43080|GUC1A_HUMAN, sp|Q9UMX6|GUC1B_HUMAN, sp|Q9UM19|HPCL4_HUMAN	tr|A0A4X2LWL3|A0A4X2LWL3_VOMUR
OG0000383	sp|Q8WVN8|UB2Q2_HUMAN, tr|A0A0G2JLW4|A0A0G2JLW4_HUMAN	tr|A0A4X2KYX6|A0A4X2KYX6_VOMUR
OG0000383	sp|Q7Z7E8|UB2Q1_HUMAN	tr|A0A4X2LUB0|A0A4X2LUB0_VOMUR, tr|A0A4X2LA51|A0A4X2LA51_VOMUR
OG0000384	sp|Q9NQA3|WASH6_HUMAN, sp|A8MWX3|WASH4_HUMAN, sp|A8K0Z3|WASH1_HUMAN, sp|Q6VEQ5|WASH2_HUMAN, sp|C4AMC7|WASH3_HUMAN	tr|A0A4X2KCN5|A0A4X2KCN5_VOMUR
OG0000385	sp|Q14571|ITPR2_HUMAN	tr|A0A4X2L816|A0A4X2L816_VOMUR
OG0000385	sp|Q14573|ITPR3_HUMAN	tr|A0A4X2LJB4|A0A4X2LJB4_VOMUR
OG0000385	sp|Q14643|ITPR1_HUMAN	tr|A0A4X2KIY4|A0A4X2KIY4_VOMUR
OG0000386	sp|Q12873|CHD3_HUMAN	tr|A0A4X2JYN2|A0A4X2JYN2_VOMUR
OG0000386	sp|Q8TDI0|CHD5_HUMAN	tr|A0A4X2MDW2|A0A4X2MDW2_VOMUR
OG0000386	sp|Q14839|CHD4_HUMAN	tr|A0A4X2JV30|A0A4X2JV30_VOMUR
OG0000387	sp|Q9BYV2|TRI54_HUMAN	tr|A0A4X2LP01|A0A4X2LP01_VOMUR
OG0000387	sp|Q9BYV6|TRI55_HUMAN	tr|A0A4X2LBB1|A0A4X2LBB1_VOMUR, tr|A0A4X2L2W7|A0A4X2L2W7_VOMUR, tr|A0A4X2LP91|A0A4X2LP91_VOMUR
OG0000389	sp|O75369|FLNB_HUMAN	tr|A0A4X2K733|A0A4X2K733_VOMUR
OG0000389	sp|P21333|FLNA_HUMAN	tr|A0A4X2LTT0|A0A4X2LTT0_VOMUR
OG0000389	sp|Q14315|FLNC_HUMAN	tr|A0A4X2K133|A0A4X2K133_VOMUR
OG0000390	sp|P01241|SOMA_HUMAN, sp|P01242|SOM2_HUMAN, sp|P0DML2|CSH1_HUMAN, sp|Q14406|CSHL_HUMAN, sp|P0DML3|CSH2_HUMAN	tr|A0A4X2KVJ8|A0A4X2KVJ8_VOMUR
OG0000391	sp|Q15139|KPCD1_HUMAN	tr|A0A4X2JTS8|A0A4X2JTS8_VOMUR
OG0000391	sp|O94806|KPCD3_HUMAN	tr|A0A4X2K248|A0A4X2K248_VOMUR
OG0000391	sp|Q9BZL6|KPCD2_HUMAN	tr|A0A4X2KIL1|A0A4X2KIL1_VOMUR
OG0000392	sp|Q8NGC0|O5AU1_HUMAN	tr|A0A4X2KJ99|A0A4X2KJ99_VOMUR, tr|A0A4X2JWI8|A0A4X2JWI8_VOMUR, tr|A0A4X2LDS6|A0A4X2LDS6_VOMUR
OG0000392	sp|Q8NGP9|O5AR1_HUMAN	tr|A0A4X2K049|A0A4X2K049_VOMUR
OG0000393	sp|Q9UMR7|CLC4A_HUMAN, sp|Q8WTT0|CLC4C_HUMAN, sp|Q6EIG7|CLC6A_HUMAN, sp|Q8WXI8|CLC4D_HUMAN, sp|Q9ULY5|CLC4E_HUMAN	tr|A0A4X2MD86|A0A4X2MD86_VOMUR
OG0000395	sp|P01229|LSHB_HUMAN, sp|A6NKQ9|CGB1_HUMAN, sp|P0DN86|CGB3_HUMAN, sp|P0DN87|CGB7_HUMAN, sp|Q6NT52|CGB2_HUMAN	tr|A0A4X2L4F6|A0A4X2L4F6_VOMUR
OG0000396	sp|O15198|SMAD9_HUMAN	tr|A0A4X2LIW1|A0A4X2LIW1_VOMUR
OG0000396	sp|Q15797|SMAD1_HUMAN	tr|A0A4X2KUC7|A0A4X2KUC7_VOMUR
OG0000396	sp|Q99717|SMAD5_HUMAN	tr|A0A4X2KE67|A0A4X2KE67_VOMUR
OG0000397	sp|Q5T2L2|AKCL1_HUMAN, sp|P17516|AK1C4_HUMAN, sp|P42330|AK1C3_HUMAN, sp|Q04828|AK1C1_HUMAN, sp|P52895|AK1C2_HUMAN	tr|A0A4X2MCP8|A0A4X2MCP8_VOMUR
OG0000398	sp|Q5VZR4|MF14C_HUMAN, sp|Q5SR56|MF14B_HUMAN	tr|A0A4X2K811|A0A4X2K811_VOMUR
OG0000398	sp|Q96MC6|MF14A_HUMAN	tr|A0A4X2JN32|A0A4X2JN32_VOMUR, tr|A0A4X2JUG9|A0A4X2JUG9_VOMUR
OG0000399	sp|P11166|GTR1_HUMAN	tr|A0A4X2LN96|A0A4X2LN96_VOMUR, tr|A0A4X2KW66|A0A4X2KW66_VOMUR
OG0000399	sp|Q8TDB8|GTR14_HUMAN, sp|P11169|GTR3_HUMAN	tr|A0A4X2LG64|A0A4X2LG64_VOMUR
OG0000401	sp|Q8IZP7|H6ST3_HUMAN	tr|A0A4X2M049|A0A4X2M049_VOMUR
OG0000401	sp|O60243|H6ST1_HUMAN	tr|A0A4X2KV21|A0A4X2KV21_VOMUR
OG0000401	sp|Q96MM7|H6ST2_HUMAN	tr|A0A4X2K571|A0A4X2K571_VOMUR
OG0000403	sp|A6NMU1|O52A4_HUMAN, sp|Q9UKL2|O52A1_HUMAN, sp|Q9H2C5|O52A5_HUMAN	tr|A0A4X2K351|A0A4X2K351_VOMUR, tr|A0A4X2LH10|A0A4X2LH10_VOMUR, tr|A0A4X2K0I1|A0A4X2K0I1_VOMUR
OG0000404	sp|P41218|MNDA_HUMAN, sp|Q6K0P9|IFIX_HUMAN, sp|Q16666|IF16_HUMAN, sp|W6CW81|PYDC5_HUMAN, sp|O14862|AIM2_HUMAN	tr|A0A4X2JZV1|A0A4X2JZV1_VOMUR
OG0000405	sp|P04271|S100B_HUMAN, sp|P25815|S100P_HUMAN, sp|Q6XPR3|RPTN_HUMAN, sp|Q07283|TRHY_HUMAN, sp|P20930|FILA_HUMAN	tr|A0A4X2M1C5|A0A4X2M1C5_VOMUR
OG0000406	sp|Q16654|PDK4_HUMAN	tr|A0A4X2JTI1|A0A4X2JTI1_VOMUR
OG0000406	sp|Q15119|PDK2_HUMAN	tr|A0A4X2KEW8|A0A4X2KEW8_VOMUR
OG0000406	sp|Q15120|PDK3_HUMAN	tr|A0A4X2KWA3|A0A4X2KWA3_VOMUR
OG0000407	sp|Q86WG3|ATCAY_HUMAN	tr|A0A4X2MF47|A0A4X2MF47_VOMUR
OG0000407	sp|Q12982|BNIP2_HUMAN	tr|A0A4X2JWP1|A0A4X2JWP1_VOMUR, tr|A0A4X2LIU4|A0A4X2LIU4_VOMUR, tr|A0A4X2LI09|A0A4X2LI09_VOMUR
OG0000408	sp|P61326|MGN_HUMAN	tr|A0A4X2K577|A0A4X2K577_VOMUR
OG0000408	sp|Q96A72|MGN2_HUMAN	tr|A0A4X2KEF4|A0A4X2KEF4_VOMUR, tr|A0A4X2M3D5|A0A4X2M3D5_VOMUR, tr|A0A4X2LKJ7|A0A4X2LKJ7_VOMUR
OG0000409	sp|A6NHC0|CAN8_HUMAN	tr|A0A4X2KKC0|A0A4X2KKC0_VOMUR
OG0000409	sp|P17655|CAN2_HUMAN	tr|A0A4X2KQ95|A0A4X2KQ95_VOMUR
OG0000409	sp|P07384|CAN1_HUMAN	tr|A0A4X2K0Y3|A0A4X2K0Y3_VOMUR
OG0000410	sp|P49407|ARRB1_HUMAN	tr|A0A4X2LJP5|A0A4X2LJP5_VOMUR
OG0000410	sp|P36575|ARRC_HUMAN	tr|A0A4X2KYC1|A0A4X2KYC1_VOMUR
OG0000410	sp|P32121|ARRB2_HUMAN	tr|A0A4X2JSH8|A0A4X2JSH8_VOMUR
OG0000411	sp|A8CG34|P121C_HUMAN, sp|A6NF01|P121B_HUMAN, sp|Q96HA1|P121A_HUMAN, sp|Q96KW2|P12L2_HUMAN, sp|Q8N7R1|P1L12_HUMAN	tr|A0A4X2JXR4|A0A4X2JXR4_VOMUR
OG0000412	sp|P34903|GBRA3_HUMAN	tr|A0A4X2M0B0|A0A4X2M0B0_VOMUR
OG0000412	sp|P14867|GBRA1_HUMAN	tr|A0A4X2K411|A0A4X2K411_VOMUR
OG0000412	sp|P47869|GBRA2_HUMAN	tr|A0A4X2KN70|A0A4X2KN70_VOMUR
OG0000413	sp|P16615|AT2A2_HUMAN	tr|A0A4X2K9X4|A0A4X2K9X4_VOMUR
OG0000413	sp|Q93084|AT2A3_HUMAN	tr|A0A4X2MEK8|A0A4X2MEK8_VOMUR
OG0000413	sp|O14983|AT2A1_HUMAN	tr|A0A4X2KD56|A0A4X2KD56_VOMUR
OG0000415	sp|Q8WTU2|SRB4D_HUMAN	tr|A0A4X2LJX1|A0A4X2LJX1_VOMUR, tr|A0A4X2LTN0|A0A4X2LTN0_VOMUR, tr|A0A4X2L0T4|A0A4X2L0T4_VOMUR, tr|A0A4X2LRG0|A0A4X2LRG0_VOMUR, tr|A0A4X2K4Q9|A0A4X2K4Q9_VOMUR
OG0000416	sp|Q86VZ2|WDR5B_HUMAN	tr|A0A4X2LA69|A0A4X2LA69_VOMUR
OG0000416	sp|P61964|WDR5_HUMAN	tr|A0A4X2MBN0|A0A4X2MBN0_VOMUR, tr|A0A4X2LQ03|A0A4X2LQ03_VOMUR, tr|A0A4X2KBB4|A0A4X2KBB4_VOMUR
OG0000417	sp|O14815|CAN9_HUMAN, sp|A8MX76|CAN14_HUMAN, sp|Q6MZZ7|CAN13_HUMAN, sp|Q9UMQ6|CAN11_HUMAN, sp|P20807|CAN3_HUMAN	tr|A0A4X2KGY1|A0A4X2KGY1_VOMUR
